Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Jun 8 2008 	 Loved Elysee 	 stay several hotel NYC Elysee far away well . room excellent fantastic terrace great weather good . continental breakfast ok , fill , good selection . free wine canape evening definite bonus ! room double definitely small , fact NYC standard , positively spacious bathroom beautifully appoint spotlessly clean . staff absolutely fine , helpful friendly . try Monkey Bar restaurant hotel , would definitely recommend . dish unfamiliar ( although widely travel ) server really knowledgeable helpful came choose dish . good meal go again . also , location hotel excellent contrary review TA , find noisy . really glad cancel Hilton reservation choose hotel instead - definitely book ! 
 Jun 7 2008 	 never return hotel 	 wife book 5 night stay hotel choose internet . upon arrival , receive uncourteous front desk person never encounter long year travel . question hotel debiting credit card overal bill advance , question person answer like , could go another hotel NYC ! since cancellation notice 48 hour , leave hotel two day stay . ask see hotel manager , , course , never show up . a part extremely unpleasant experience , hotel , average . location ok , hotel quite noisy . breakfast mediocre , so - call evening drink nothing indifferent wine cheap cookie . needless say never return place . 
 Jun 2 2008 	 enchant Elysee 	 husband enchant Hotel Elysee two night midweek stay . choose hotel solely proximity Museum Modern Art . little know would fall love nearly everything place . if ' ve ever stay small hotel Paris offseason , know feel benefit privacy hotel stay warmth hospitality visit good friend ( also happen lovely home ) .The moment taxi driver drop we couple hundred foot short hotel , Elysee bellman rush welcome we take luggage hand . walk lobby , four fresh smile face greet we behind reception desk . young man woman could not nicer helpful , swear never go home sleep ! room seventh floor face street . small impeccably decorate lay . wee bit street noise nothing unusual jarring . gracious sit area enjoy bottle champagne , desk ( free Wifi ) overlook great architecture E. 54th St. , handsome marble bathroom terrific shower , , comfortable bed , ton closet drawer space . long day sightseeing , dining shopping , enjoy come & quot ; home & quot ; & quot ; sit spell & quot ; second floor library dining area . 's nothing like coffee , cookie , minute quiet time comfy couch reinvigorate big night street NY . daily breakfast happy hour simple , gracious , touch add comfort relaxation . the Monkey Bar next door great place meet friend head dinner -- everyone NY seem know spot . we ' ve visit New York 10 - 12 time year , try new hotel every time . trip , long feel need -- ' m ready make commitment . husband agree return Hotel Elysee -- last , ' ve find little New York home . 
 may 30 2008 	 Elysee great option 	 always love location Elysee . staff friendly concierge help make dinner reservation . Room & amp ; bathroom small side could use update . would stay ... right price ! 
 may 27 2008 	 european feel good Manhattan value 	 family stay Elysee Memorial Weekend . two room , one front 4th floor , one rear 8th floor . neither terrace special feature . low front room avoid due noise . window single glaze every street noise come , almost amplify time -- conversation across street could hear , garbage pick - up bad . ask UPPER REAR ! ! ! say , hotel well locate midtown , good value Manhattan . feel like small european hotel -- smallish room , well keep . minimal lobby , pleasant concierge bell staff . breakfast buffet nice -- special -- staff go way help -- toast bagel forth . weekday wine cheese hour also nice -- wish weekend well ! Monkey Bar restaurant fun . food asian fusion , serve family style , quite good . idea Open Table limit available reservation 6:30 8:15 -- go absolutely empty restaurant ! also sense dress code ( jacket gentleman ) weekend -- seem quite low key . recommend Elysee good midtown value small , european style stay . 
 may 27 2008 	 Excellent Boutique Hotel 	 select Hotel Elysee 10 year Anniversary . stay upscale hotel city like warmth intimacy property . staff gracious welcoming . minor difficulty get taxi dinner . ( leave extra time bellman hail one ! ! ! ) definately return hotel . 
 May 20 2008 	 Fabulous every way 	 fabulous hotel every way . great location , beautiful room helpful staff . buffet breakfast lovely afternoon wine nibble welcome . really happy hotel would definitely return . 
 May 19 2008 	 Elysee Disappointment 	 expect luxury hotel step back time . hotel may jewel year ago , time expect encounter dust ( top armoire headboard ) . light dim everywhere , elevator slow arrive every time bathtub height wine bottle . hairdryer tubing attach look like central vacuuming wonder Ernestine switchboard somewhere . continental breakfast nice enough price , disappointed hotel . I have ask room high floor avoid street noise give one although book month advance . noise noticeable immediately . ask move put low floor face ' courtyard ' large group fan coil unit noisy traffic . plan four night stay turn one night stay search something nice . find Millenium Broadway exceed expectation . 
 May 12 2008 	 Elysee = Perfection 	 New York City epicenter many world 's fine thing : food , fashion , business finance , etc . always stun see chain restaurant hotel pack tourist many unbelieveable option exist truly quintessential & quot ; New York Experience . & quot ; wife come week long vacation visit family . choose Elysee close proxmity shopping , restaurant , entertainment . come every way imaginable . room clean , elegant , comfortable . staff incredibly accomodate offer world class service . stay Elysee , really feel like guest someone 's home instead drone 40 story monolith fanny pack heart NY t - shirt . John general manager personally go way make sure good vacation possible . small attention detail truly make vacation relax memorable could be . PROS : close subway , world class restaurant , shopping , Central Park , excellent service without overbear , clean comfortable room , free breakfast , free happy hour wine snack , service , SERVICE , SERVICECONS : hotel could anything rain last day there . rest assure , Hotel Elysee meet expectatio . never NYC , eat TGI Friday Crapplebee 's , stay chain hotel . stay Hotel Elysee revel outstanding service , quality room , perfect location . 
 May 7 2008 	 fabulous find Manhattan 	 6 - night stay Hotel Elysee hope forand ! room ( junior suite , . 144 ) perfect -- include comfortable hotel bed ever sleep ! entire staff attentive , gracious , courteous helpful , concierge crew young woman deliver room service breakfast doormen bellman . location unbeatable -- close shopping anyone could want , plus Rockefeller Center , Central Park , many terrific restaurant . an add bonus Monkey Bar restaurant downstairs -- order room service dinner two night marvel quality food . California 's Wine Country , bastion fine dining , meal ' ve Sonoma Napa rival Chef Christopher Cheung turn Monkey Bar . Bravo ! walk like Waldorf - Astoria , Palace grand hotel nearby , would still opt boutique charm Elysee . lovely comfortable place return day 's adventure make New York sojourn special indeed . worth every penny . we look forward next trip Manhattan , definitely plan stay Elysee . 
 May 1 2008 	 Perfect every way ! 	 return 2 night stay Hotel Elysee , choose basis review . say besides & quot ; perfect every way & quot ; ? fabulous location , first - class restaurant within walking distance ( even across street ) , adorable ambiance , lovely spacious room , european feel , fantastic breakfast week - night wine cheese reception come price room , reasonable price great location , helpful overly cutsey front desk staff , free internet , could go . Suffice say stay Hotel Elysee every NY trip . never stay another over - price large chain . would recommend book well advance since hotel get consistently great review . 
 May 1 2008 	 great location 	 Hotel Elysee third four HK Hotels ' ve stay NYC ( Library Hotel & amp ; Casablanca Hotel two ) . offer reasonable rate ( NYC standard ) , nice amenity usually find price ( extend continental breakfast & amp ; evening wine reception ) . room Hotel Elysee ( convenient location midtown ) large three hotel & amp ; clean ( FIRST & amp ; important criterion ) . AC / heating unit bit noisy , could find fault room . comfortable bed , quiet , beautiful marble bathroom , large closet , complimentary robe , etc . staff pleasant , although city many time , ask restaurant type recommendation / conceirge service . consider large chain hotel ( Hyatt , Marriott , Hilton ) rate almost twice cost Hotel Elysee -- little / no & quot ; charm , & quot ; would never stay one long could get room . 
 Apr 29 2008 	 expectation 	 excellent stay Elysee . wonderful large room 14th Floor balcony view ask . breakfast afternoon cheese wine really enjoy . hotel ideally situate close main attraction Central Park across road Metro quiet road . would definitely stay . 
 Apr 16 2008 	 great value 	 make reservation base Trip Advisor review impressed hotel . excellent location heart thing yet tuck away quiet . stay 14th floor room beautiful , large balcony . know hotel room NYC expensive thought would get average room big price , feel hotel far exceed expectation . quality furnishing bed amenity top - notch . helpful knowledgeable front desk crew able provide we good information recommendation . breakfast afternoon refreshment top quality . also free access internet room access computer breakfast room huge plus . definitely stay future trip city highly recommend hotel friend . 
 Apr 8 2008 	 one good NYC - will love 	 like french style , will love hotel . one time favorite NYC . hotel conveniently locate everything midtown . walk shop attraction . room traditional . bathroom beautiful wonderful thick towel . complimentary breakfast serve Club Room every morning also offer complimentary wine cheese reception late afternoon early evening . beverage snack also available free charge . 's great way relax late day see city . hotel feel like home away home choose traditional look . fun place stay . 
 Apr 2 2008 	 would stay ! 	 first stay Manhattan awhile . hotel beautiful ! suite spacious spotless . bathroom beautiful . bed wonderfully comfortable . staff could nicer competent . definitely go back . 
 Mar 31 2008 	 underwhelme vs expectation 	 expect ~ $ 375 night . room fair sized ( NY standard ) nice bathroom , issue property . first , heating system room extremely noisy kick . awaken every night least heater / radiator clunk clink action . second , 1 elevator entire hotel 15 floor room , always wait several minute elevator arrive . last , bed linen clean , scratchy - quite snuff price . on plus side , morning breakfast great convenience . afternoon wine cheese nice surprise . 
 Mar 28 2008 	 love Elysee Hotel 	 look 4 star hotel go girlfriend last June . one thing like location build first 20th century refurbish all . we make reservation [ - ] , nice modify one date check hotel gumtrip.com resolve problem quickly . other thing like much staff , know many original place recommend we city fancy room . I good opinion hotel . 
 Mar 27 2008 	 Excellent Hotel ! 	 daughter deluxe king room Hotel Elysee ; large room NYC hotel standard well decorate . complimentary breakfast good . staff accomodate help we restaurant reservation . stay New York frequently , far , good hotel experience ' ve time . highly recommend . Karen Gettman 
 Mar 20 2008 	 great stay 	 + : great location , good size room Manhattan , comfortable bed.- : could well selection breakfast , street noise . 
 Mar 12 2008 	 Top Spot ! 	 first time hotel really like . firstly good location right pk 5th good business shopping . low key , low rise compare hotel ' ve stay ny well . welcome staff . room great surprisingly big price . bathroom good also . say stay back 4th floor noise air conditioning fan quite extreme not stay long bother know would come wife would upset . choice need try get high front . great lunch small italian - Cellini - opposite hotel recommend also . ( $ 30 lunch glass wine ) . complimentary breakfast second floor 7 am excellent huge choice cereal , pastry , croissant , fruit , various coffee etc . comfortable room load day paper etc . not try complimentary wine evening Monkey bar look good . great find can not see anybody disappoint stay . shall certainly return one hotel central Manhattan come within company budget . can not get brother stay Warwick nearby like . 
 Mar 3 2008 	 Awesome location service 	 can not find well location reasonable price . stay twice room perfect detail . concierge desk staff perfect gentleman , wish command ! Monkey Bar next door wonderful restaurant allow return daily activite never leave property . ample variety breakfast food serve 2nd floor parlor , tea coffee business center available day . will not stay anywhere else midtown ! 
 Mar 2 2008 	 great place Anniversary ! 	 Staff fabulous , go way see stay great . excellent restaurant referal . quiet clean room . go back ! 
 Feb 28 2008 	 newly find gem 	 Elysee recommend friend longtime patron hotel visit confirm praise . entire staff - - ( front desk , maid , bellman , clubroom staff ) could pleasant accommodate . could not ask well location . our suite except relative smallness bathroom well appoint comfortable . hotel quiet wonderful respite hustle bustle city outside . the offering clubroom aspect exceptional . stay many four five star hotel New York prefer return Elysee . 
 Feb 19 2008 	 wonderful stay 	 staff always friendly ; location convenient shopping museum , locate close bus subway line . breakfast afternoon tea delightful . 
 Feb 2 2008 	 genuine good service overall nice hotel 	 stay hotel night three four time year decade . motivate leave review recognise not easy delivery level service long period time , can not individual , result hotel 's culture . breakfast good , wine cheese evening generous enjoyable . range room type style elegant , albeit little fade decor . friend stay well know hotel area try , return Elysee never disappoint . 
 Jan 28 2008 	 wonderful boutique hotel good part Manhattan 	 Elysee wonderful small hotel excellent staff great location . great staff , cookie coffee PM breakfast . civilized hotel NY need . kids hotel , adult location discern NY tourist person stay personal business need . 
 Jan 20 2008 	 first time Hotel Elysee - love ! 	 love everything Hotel Elysee . room comfortable , spacious clean . enjoy spend time club room second floor , breakfast afternoon snack , quiet place meet old friend not see year . make stay memorable staff . everyone - manager , front desk / concierge man woman , waitress club room , porter cleaner - exceptionally friendly attentive . stay , come see hotel staff happy family share genuine interest ensure , guest , perfectly satisfied time . definitely stay Hotel Elysee next New York . 
 Jan 18 2008 	 could not ask 	 trip New York make enjoyable stay hotel . draw we Elysee fact complimentary breakfast include price . breakfast ! Continental may always plenty offer wwith curteous staff always ready replenish empty plate . evening bring wine along biscuit , cheese various nibble . complimentary far exceed expectation . room comfortable clean fresh towel every day bed turn night . staff friendly keen help . location hotel ideal we away biz still within walking distance . would certainly go back Elysee make another trip ny 
 Jan 14 2008 	 Excellent Hotel ! 	 stay Hotel Elysee New York City Saturday night . room concierge floor balcony . breakfast Sunday morning similiar upscale european hotel 's . service beyond excellent - every step way - arrive depart - service staff could well . want cup tea 12:30 a.m. come night get immediately . room - beautifully furnish comfortable bed . truly look forward stay Hotel Elysee . 
 Jan 14 2008 	 Hotel 	 Staying Hotel Elysee wonderful experience . locate one Manhattan 's desirable area , acess City 's attraction easily within reach . hotel offer calm serenity . lobby room beautifully decorate . room little different ( terrace ) make stay interesting . hotel also offer Club Room serve lovely continental breakfast wine cheese afternoon . staff informative , helpful friendly . hotel one well keep secret New York City . 
 Jan 11 2008 	 Fantastic ! 	 Elysee place family stay business pleasure . location ideal perfect sight seeing . convenience large hotel , quaintness charm get boutique hotel . staff willing help anything need , make stay much enjoyable . would not stay anywhere else . 
 Jan 8 2008 	 wonderful experience ! ! ! 	 recent stay Elysee marvelous ! moment arrive staff friendly courteous Doorman Front Desk even attentive young lady breakfast room – please . room wonderful , exactly expect . worry first front facing room , ' ve read complaint noise , concern put rest first night noise minimal especially give be midtown Manhattan ( although bed comfortable could slept anything ) ! final comment bathroom wife fussy thing . although bit small like impeccably clean marble extra nice touch . Elysee new favorite hotel NYC value , location , staff far exceed previous experience New York . 
 Jan 6 2008 	 back ! ! 	 wife recently spend great long wknd NY Elysee . staff wonderful & quot ; extras & quot ; huge perk ! especially love wine reception Friday evening .. great way start night ! room spacious clean . hotel location could well ! 
 Jan 3 2008 	 good location good value 	 price location good value . room little shotty need lose bit faux french theme , overall ... would stay . 
 Dec 27 2007 	 expect 	 Pluses - location convenient sight Manhattan . complimentary wine hor d'oeuvre good . complimentary continental breakfast average . minus - one would expect price . stay week group room various floor hotel . look 's room . small , extremely small bathroom , minibar . least 3 room floor next elevator hear time . surprised soap never change get thin end week . radiator clang , bang gurgle loud enough wake couple time night . report tell , system old nothing do . one friend heat 2 night take long fix faulty thermostat . hotel states concierge service , ask harbor tour , give couple brochure , one date 2005 , . service good mediocre . ( get used open front door ) even cut price half , would go back . 
 Dec 18 2007 	 Loved Hotel Elysee 	 spend 2 night hotel every thing wonderful . hotel staff extremely friendly helpful . room newly renovate clean bed pillow comfortable hotel ever sleep . breakfast good include plenty selection tasty fresh fruit , pastry , bread , bagel , cereal even boil egg . hotel great location within walk distance 5th madison Aves . shopping , Rockefeller Plaza short cab ride train station . really enjoy stay return ! 
 Nov 26 2007 	 great overall experience 	 want go Macy 's Thanksgiving Day Parade stay somewhere close . able walk Hotel Elysee Broadway within minute get great view spot . also able walk Rockefeller Center many great place shopping night . room beautiful clean everything need . familiar Manhattan , staff take good care us parking car affordable rate give we direction insight thing see city . stay Manhattan definitely back Hotel Elysee . 
 Nov 25 2007 	 Elysee good place stay 	 really enjoy stay , room pleasent , housekeep excellent . breakfast bit mundane ( do not want see boil egg begel 6 month ) , drink canape evening really nice touch . food monkey bar good spoil extremely high price alcoholic beverage , would use expensive . overall experience excellent . 
 Nov 20 2007 	 Excellent Stay Hotel Elysee 	 husband spend week wonderful Hotel Elysee . first visit NYC , great within walk distance 5th Avenue , Central Park , MOMA , Rockefeller Center , Broadway . room spacious comfortable , thank friendly housekeeping staff , keep spotless throughout entire stay . long walk around City , Bellmen would always greet smile pleasant conversation – also extremely helpful direction . surprised spending quite bit time 2nd floor lounge area . space large many comfortable chair couch . complimentary breakfast great selection bread pastry attendant pleasant always willing help / clear away plate . afternoon , ' go back lounge cheese , cookie , snack . Front Desk staff make number great dinner ( lunch ) suggestion – suggestion always follow offer make reservation we . appreciate free wifi – even though hotel provide computer access internet guest , nice able sit lounge laptop afternoon catch email . ' stay many hotel around world definitely one good experience ' – across board . sometimes , hotel great location , poorly - run ruin experience . ' definitely case Hotel Elysee . hotel ' great spot ' tightly - run ship , fantastic staff every level . definitely return ! 
 Nov 9 2007 	 marvellous oasis NYC 	 love everything Elysee . room excellent - spacious elegant good marble bathroom , keep spotlessly clean . one room beautiful balcony pot plant lovely terrace furniture . room quiet locate high hotel - exactly request . email dealing beforehand staff efficient , provide everything ask . arrival reception staff incredibly pleasant attitude mirror staff meet throughout stay . US certainly teach we Brits deal customer service , impeccable pleasant throughout hotel throughout NYC . club room Floor 2 marvellous well serviced . thoroughly enjoy use bolthole whack late afternoon . coffee tea always available prosecco , wine , cheese nibble greatly appreciate aperitifs appetiser go evening . although ' the thing ' go breakfast NYC , much preferred lovely breakfast Elysee leisure , could plan day comfort . location Elysee superb - two block 5th Avenue , short distance Central Park , Rockerfeller Centre , Grand central station , UN building , Lincoln Center , near enough fortunately near Broadway . find area tacky delight hotel locate . summary , would find hard well Elysee way . much prefer small , quiet elegant hotel good get . 
 Oct 26 2007 	 lovely room well situate 	 pleasantly surprised find lovely , tasteful decor Elysee . room decorate shade pale yellow light blue , botanical print wall . tiny bathroom , ! entryway work desk lamp nice touch , include continental breakfast ( good quality ) evening snack . staff check - in check - out courteous . stay quiet lovely . would delight return conveniently locate hotel ( even though bed height comfort ) ! 
 Oct 22 2007 	 great location ! 	 Location excellent - quick walk Saks ! Breakfast feature whole grain roll scando like freshly squeeze orange juice , make dismal filter coffee thermos jug . lovely room , big expect , unusually hot humid outside , air - conditioner even high set weak . single slow elevator full hotel mean waiting bit . 
 Oct 19 2007 	 Oasis Desert 	 wife recently spend week Hotel Elysee find ambiance charming staff friendly . upon arrival welcome arrive home hotel ' doorman front desk staff . arrive check - in staff hold bag explore site sound New York . upon enter lobby surprise beautiful centerpiece flower illuminated room . unlike many hotel room New York City , room spacious furniture excellent condition . additionally , enjoy use free wi - fi . my wife skeptical complementary breakfast hotel offer , find nice touch , offer assortment goody , include coffee , tea , wide variety pastry , fresh fruit salad , along number periodical read pleasure . hotel centrally locate within easy walk distance Central Park plenty shopping . multiple occasion , contact hotel concierge restaurant recommendation make excellent choice reservation without prompt . would highly recommend Hotel Elysee look forward many comfortable visit . 
 Oct 13 2007 	 tourist 	 return Hotel 1st Oct 07 - 6th Oct 07 . hotel wan na . staff attitude customer . usual tourist type visit NYC . middle aged dinner suit ballgown 7 pm staff interested . during stay shower develop leak . would turn . staff isolate water room fo rth evening . shower toilet run water room . duty manager seem think okay . speak general manager refund evening . service would expect . staff front desk look arrive leave say middle aged couple woman pearl necklace forget 
 Oct 10 2007 	 Excellent Hotel Lovely Place stay NYC 	 helpful people Front Desk , . lovely room classical ambience . bathroom tiny beautifully equip finish . Air Conditioning noisy . one ( slow ) elevator hotel , prepare wait . Gorgeous lounge / breakfast / cocktail area library . real find top area . 
 Oct 2 2007 	 disappointment ! 	 usually stay sister property Manhattan book . first stay Hotel Elysee front desk staff intolerable . help anyone approach positive manner . get attention require repeat approach . room ready early , fine , wait wait wait . finally , check time , ask 3rd time request front desk manager , room miraculously ready ! shabby room ! customer service go dealing crew . argumentative ( two we ) , evasive , hateful ! coworker neither one ever go back hostile hotel hell ! 
 Sep 22 2007 	 Pleasant surprise ! 	 Elysee ' come highly recommend disappoint . return September 3 night become fan . club room pleasant breakfast wine cheese spread plentiful . certainly return recommend friend . location can not beat . 
 Sep 12 2007 	 well Worth 	 Sept. 12 2007 Hotel exceed expectation service ambiance . also feel 's location plus . everyone clean help front desk extremely helpful . we would definitely recommend Elysee would stay . minor area mini - suite sign get tired . sure excellent staff wil attend minor issue . see next trip New York . 
 Sep 10 2007 	 Charming Hotel 	 enjoy stay Elysee . staff welcome helpful various transportation issue develop due taxi strike . Elysee convert regular large hotel NYC small , charming hotel like one . look forward return soon , stay hotel one sister property ( Giraffe Library ) . 
 Sep 5 2007 	 Hotel Elysee gem ! 	 first - time guest Hotel Elysee : ' ve stay various hotel NYC throughout year Sheraton W -two location - Hotel QT , Drake , Hudson Hotel Bryant Park Hotel . Hotel Elysee exceed expectation thus far , provide good NYC hotel experience overall . the hotel 's location ideal usual NYC tourist activity like shop Fifth Avenue , view art moma , walk around Central Park people - watch Rockefeller Center . yet hotel still close enough subway station , one easily hop train go downtown experience city & quot ; grit & quot ; neighborhoods & quot ; character & quot ; uptown visit museum dot Fifth Avenue . Grand central station short distance hotel one probably venture past Park Avenue mid - town office shut day homeless set camp . ( encounter & quot ; camp & quot ; late - night stroll . ) hotel clean , well - maintain well - price ( US $ 325 / night plus tax include breakfast afternoon wine ) . ambience one old - world yet unpretentious civility . room - small use room steriod - nicely lay decorate , albeit traditional style . I read review mention low water pressure , slow elevator - one - street noise , experience . ( stay fifth floor street - face room near elevator . ) negative think loud air - conditioning unit poorly lay - out bathroom - door barely clear toilet . area improvement would staff : not attitude - although one morning , breakfast staff library friendly - professional welcoming need polish . 
 Sep 1 2007 	 Outstanding concierge 	 relaxed atmosphere friendly efficient staff . concierge give top suggestion evening entertainment ( Comedy Cellar Daniel restaurant ) . breakfast plenty choice include fresh fruit pastry . enjoy early evening appetizer include quality wine , cheese , cracker etc ... whilst use free internet service . downer noisy Manhattan garbage collector lorry early hour ..... presumably unavoidable 24h New York city . however , credit Elysee , request immediately move we quieter room back hotel . would stay - great location shopping . 
 Aug 29 2007 	 Hotel Elysee Fabulous ! 	 Date:8/7/07 - 8/11/07reviewer : TripAdvisor member San Antonio , txfamily three ( son age 14 ) stay suite 4 night . Suite huge New York standard . nicely decorate , great king bed large marble bathroom ( separate shower tub ) . room 10th floor face street -- street noise ( particularly early morning ) , bad . second floor clubroom complimentary continental breakfast outstanding ! service perfect . second floor library complimentary computer internet access . staff overall great -- friendly helpful . full time concierge , front desk staff knowledgable . location super -- 57th Street Madison Park . be block half great 5th Ave shop close Central Park Rockefeller Center . also easy walk distance Broadway show Times Square . try Monkey Bar restaurant , recently change menu long steak house . Hotel Elysee wonderful boutique hotel perfect location ; recommend without hesitation ! 
 Aug 28 2007 	 charming hotel ... average staff 	 hotel quaint , charming boutique hotel european feel . other note , room get coffee / tea day well nice breakfast morning . also computer available internet use . room decent sized ( ny ) quite comfortable . room clean ... decorate nicely . much nice generic hotel chain . downside staff . seem somewhat immature , lack sophistication would expect hotel caliber . bare minimun , exhude professionalism . overall , great hotel highly recommend . 
 Aug 25 2007 	 Outstanding Service 	 second time visit NYC Elysee Hotel . location , location , location ... Elysee close everything staff & quot ; second none & quot ; . hotel 's atmosphere invite staff helpfull direction make reservation good venue NYC . continue stay next visit NYC reccommend Elysee interested individual . great time ! ! 
 Aug 13 2007 	 typical European Hotel 	 husband return weekend NY . even though request early check - in , room ready til 2 . except Charles doorman extremely courteous helpful , impressed hotel staff . room reminiscent small european hotel . king room clean small . bathroom even small ! . get sink , need close door . small dressing room could store toiletry put makeup . lady long hair , bring hairdryer . one bathroom little power . airconditione difficult operate . either cold stuffy . room clean till mid late afternoon . one elevator , prepare wait . sure try Monkey bar drink . 's fun place . , hotel average . would probably stay elsewhere next visit . 
 Aug 13 2007 	 wonderful boutique hotel Manhattan 	 stay recently long weekend first weekend August . like go city crowd Elysee offer good rate . room $ 315 Thursday night $ 295 Friday Saturday night . may seem like lot NYC afterall , include room price good sized complimentary breakfast buffet well complimentary tea snack early evening , free wine weekday evening . room clean comfortably furnish bathrobe , mini - bar , safe , etc .. toiletry Gilchrist & amp ; Soames fully replenish day . maid service also great . one good thing hotel location E. 54th Madison Park convenient Grand Central Station , Midtown Upper East Side . subway 2 - 3 short block away . also several grocery / convenience store within 100 yd radius hotel , well liquor store carry good selection wine directly across street . stay hotel 4 - 5 time always return . dependable , classy place good value part Manhattan . 
 Aug 11 2007 	 impressed 	 enjoyable place stay . we make trip NYC year ' ve stay handful hotel recent year . none stand memory except Elysee . 's calm quiet , staff friendly courteous , decor nicely do subdue - elegance sort way . room large NYC standard , comfortable quiet ( 12th floor ) .there complimentary continental breakfast morning complimentary wine - and - cheese buffet evening . checkout time civilized 1 pm.no one thing make Elysee stand , lot little thing , take altogether , add enjoyable experience . 
 Aug 11 2007 	 Elysee 's Deal 	 Hotel Elysee great location great price . if ' ve New York City already know room tend small side , Elysee 's room quite large roomy . bathroom large , huge tub dressing area . large closet several dresser unpack . complaint hairdryer , 1200 watt ..... not anything like mine home take twice long normal dry hair , next time would take own . we find Hotel Elysee tripadvisor usual review convince we depart usual large hotel choice small , boutique size hotel . nice 5 - 6 room floor 15 floor hotel , downside 1 elevator service entire place . alot wait elevator arrive . there free wi - fi hotel , , slow . quick connection . computer guest use 2nd floor . on upside , Club Room 2nd Floor nice continental breakfast available 10:30am definitely perk , day snack evening cocktail . 5 pm , choice champagne , white red wine fruit variety cheese . nice place unwind , kick evening town . we overly impress staff . nobody ' knock sock ' stay try go extra mile we , do not complaint anyone either . the location great well ... close 5th Ave shopping ! like stay , try tripadvisor.com suggestion next time . husband prefer large hotels restaurant / bar choice elevator .... think twice leave room return back anything could take ! 
 Aug 7 2007 	 great hotel - would go back 	 first trip New York birthday love city Hotel Elysee perfect choice . a lovely boutique hotel , good size room , great location , friendly staff . lounge complimentary drink snack end day fantastic day sightseeing . the front desk friendly helpful , recommend excellent restaurant ; book car etc . room good size especially expect box size room New York . certainly case Elysee . would recommend room one high level street noise also away lift . 
 Aug 1 2007 	 Piece Tranquility 	 husband state Elysee four night 26 July 30 July . hotel lovely clean high specification decor . bed amazing , comfortable linen high standard . stay 15 floor ( top ) quiet little traffic noise . one slight negative , one elevator hotel busy time stop every floor . the Club Room availbale continental breakfast , good also open coffee cookie 12 - 5 . monkey bar lack atmosphere drink price . , hotel excellent . ideally locate Midtown sight . would recommend hotel . 
 Jul 31 2007 	 centrally locate quiet hotel indifferent service 	 hotel great location near 5th Avenue shopping weekend 's ideal . room small clean , comfortable quiet . inclusive continental breakfast get good start day . whilst hotel staff friendly not expect grade service , 's 's bad service bit slow disconnected . overall would reasonably happy stay next trip New York will give somewhere else try . 
 Jul 31 2007 	 Perfect New York hotel 	 visit New York often , since discover Elysee several year ago , hotel would consider . warm welcoming , atmosphere small european hotel . location wonderful , walk distance many part city . room varied comfortable , bathroom excellent . unlike many hotel , adequate sit space , lighting , temperature control place put toiletry bathroom . staff outstandingly helpful friendly . love visit lovely & quot ; club room & quot ; , breakfast snack serve . include breakfast , free WiFi public computer club room , Elysee also bargain part Manhattan . 
 Jul 26 2007 	 Charming Hotel 	 three day New York City see Wicked Jersey Boys . great location theatre district . wonderful breakfast . friendly staff . 
 Jul 26 2007 	 Excellent NYC hotel ! 	 stay 22 - 24 July king room back hotel extremely quiet . include breakfast free wi fi make room rate quite reasonable compare hotel charge item . much appreciate exceptional treatment open Club room 4:30 insomniac still european time work computer without distrube wife ! breakfast good continental breakfast see bed extremely comfortable . great location top return visitor sure . Gary 
 Jul 23 2007 	 Great Hotel Perfect Location 	 girlfriend 's getaway weekend Hotel Elysee fabulous time ! centrally locate right center great shopping , close restaurant eat NYC 's Restaurant Week staff could not nicer . valet parking great -- even clean coffee cup car -- keep bag we could check front desk clerk helpful , even give we location Sephora store around city ! room clean well appoint quiet . great come back hotel Broadway Show cookie tea Club Room go bed . complimentary Continental breakfast also great — free use computer Club Room . would highly recommend great hotel New York getaway weekend . 
 Jul 17 2007 	 never Disappointed Hotel Elysee 	 Returned Hotel Elysee weekend NY , July 13 - 15 , 2007 , , wonderful stay . fact , fourth fifth time Elysee never disappoint . room lovely clean staff always polite helpful . special treat store we visit , room balcony complete table chair pot flower . wonderful ! 
 Jul 17 2007 	 Hotel Elysee c' bon ! 	 July 15 last - minute one - nighter NYC . great hotel $ 300 . pleasant room corner window . second floor lounge comfortable great continental breakfast tea , coffee fruit available rest day . peaceful place put foot . problem wake - up call never happen . , not matter . already recommend Hotel Elysee friend . 
 Jul 14 2007 	 50th birthday Celebration NYC Great Elysee ! 	 July 14 , 2007 . spend long weekend July 6 - 9 explore Manhattan tourist . use TripAdvisor help we find hotel outrageously expensive GREAT location ...... Hotel Elysee definitely ! friendly front desk staff , nice quiet room third floor , attentive housekeeping definitely excellent location . love come back every afternoon quick rest continue exploration . will back ! 
 Jul 11 2007 	 top notch 	 stay July 6 - 9 begin express wonderful accomodation . thing complain say slow elevator . room dark , quiet , elegantly appoint . water pressure great . service excellent . 2nd floor club room beyond expectation . breakfast outstanding afternoon wine / cheese like bed breakfast country . king size bed room come twin sleeper well . get reasonable rate place want stay NYC . excellent location , really gem other describe . 
