Great 	 great hotel . stay room 609 spacious . friendly staff , large room easy access central london ( 25mins tube ) . room hotel could facelift , comfort quality would stay . get good price online book early . stay many London hotel cramp room rude staff professional place 
 stay room food awful ! ! ! ! 	 partner stayed weekend go think hotel nice . room need date , old fashioned furniture style . first be not bother went breakfast food terrible . scramble egg runny , veggy option good good choice food could get . tea coffee cold fruit fresh ! ! ! ! would recomme stay ! ! ! 
 Feb 26 2008 	 Nice hotel reasonable price 	 reading trip advisor article , expectation low l find hotel pleasant . l would rate 3.5star . room antique style decoration l like & amp ; location excellent get central London without pay London price . canary Wharf new part London peaceful & amp ; safe intense crowd . l particularly think gym good l see hotel . free weight little old running equipment , pool , spa & amp ; layout gym big refreshing . staff lovely & amp ; chatty.l order hote chocolate & amp ; dessert room service love hot chocolate come pot actually hot arrived room . l not breakfast nice walk Canary Wharf Square . my main negative shower room . l could get temperature right & amp ; water pressure weak . however , shower gym downstairs good . 
 Feb 24 2008 	 Horrid ! 	 Britannia canary wharf seriously need decoration feel like last decorate 1950 , room awful come strong sewage smell . need say ... 
 Feb 13 2008 	 still hideous 	 last misfortune stay Britannia almost 18 month ago think ( naively perhaps ) vary numerous problem hotel would address . wrong be . problem start check gentleman man reception could work prepaid booking make avoid usual lengthy check check . even beyond 15 minute later call manager sort problem out . on plus side room clean . downside need redecoration old fitting , peel wallpaper worn carpet . room also rather old fashioned plenty dark wood wonderfully kitch chandelier . presumably height decorative opulence early 1980 's 's reminiscent Blackpool B & amp ; B be try hard . the bed akin sleep cobblestone cover thin layer cloth . double bed actually make two mattress additional pain hard ridge run middle bed . God forbid actually try roll night without run risk break spine . add utter misery misfortune put room overlook water . understand room command premium although ' m entirely sure view Docklands Light Railway building site worth extra cash . dlr run early morning late night , noisy . sound proof general non - existent . one point think set crossroad headboard wobble room next door close door . could also hear every grunt , groan splash neighbour 's early morning bowel movement . even though stay company 's expense , refuse pay absolutely extortionate £ 13.50 breakfast . would encourage hotel , especially profit margin not seem go hotel itself . please not make mistake . positive outlook willingness forgive horribly abuse Britannia International . frankly , feel violate . ' ve stay comfortable one man tent . even though location convenient Canary Wharf , DLR stop within couple minute walk ibis , Novotel Marriot hotel . would not hesitate choose Britannia . 
 Feb 4 2008 	 recommend 	 upon check , offer upsell we expensive room complimentary breakfast ( rip 13.50gbp ) . go , find 11th floor room , enter room must climb spiral staircase get actual room . room huge London standard balcony . unfortunately , first day lie bed get jet lag , hear guy yell phone , presumably nearby room , use obscene language . go time . also , smell greasy cooking room ( 11th floor ! ) morning . breakfast fair , great . front desk unable even provide antacid return evening , tell we store open hour either . state , even basic hotel least sell roll antacid . would stay hotel , though like area . if use call card ( reasonable way make international call ) dial ' 9 ' outside line , code list card phone . dial ' 9 ' , will not charge toll - free call ; otherwise be 2 quid . 
 Jan 25 2008 	 never -- would never recommend 	 stay 6 night week ago hotel . reason stay hotel could accomdate party budget division pay expense . business trip fund come global budget . trust -- -none senior management would stay hotel voluntarily . our problem start reception . girl check we terrible communication skill take forever . rate different agency quote , time tired want rest dinner . it look like may nice hotel 's day , need serious refurbishing overhaul . everything old , worn , saggy , peel wallpaper , etc . overly decorate heavy , ornate , dusty fixture , wallpaper , threadbare carpet . hallway dark , etc . the plus size room bathroom , generous . oh , one plus 's location office , nice , walk distance . no alarm clock , bed two twin push together sag mattress . noisy night , loud noise come room either side ( bathroom pipe , etc . ) .We finally escape Hilton Canary Wharf , breath fresh air ! ! ! ! beautiful hotel . seriously , 140 pound night hotel ashamed -- -spend update ! ! ! 
 Jan 4 2008 	 Musty ! Word ! 	 well book expedia , see review last minute thought would risk , say review spot , place old musty . first impression outside look quite nice , inside completely different story ! upon check amazed amount brass ugly statue everywhere , remind somewhere would grand thirty year ago pass sell date . we tell booking could find system guy deal we looked sound like do not want there . room old decor- great view 02 dome canary wharf ! lighting hallway came walk , feel like stay shine hotel . do not stay help . shame canary wharf really nice area nice shop locally good acesss jubillee line central london . 
 Dec 12 2007 	 look like good value 's 	 smart - look 4 - star fifteen minute central London half rate other ? not mislead : rate soft reason . the location be ok be business Docklands ( work firm tight travel policy ) otherwise would not want . none traditional sight London within walk distance , taxi ride long tube cram commuter day . the ironic thing half money England within mile place , site heart London 's new business centre . decent product , hotel could charge whatever want . yet Britannia suffer badly under - investment . bathroom bedroom old - fashioned thing leave Docklands whole place look bit 1990s . some investment need not huge : much would cost clean lift graffiti , replace bulb be gloomy ? several well hotel dockland many appeal four - star London . would stay elsewhere , even mean pay . 
 Nov 26 2007 	 fine overnight stay follow concert holiday ! 	 book hotel go concert O2 want hotel nearer O2 rather middle London . we not disappoint location . hotel one stop away O2 walk distance Canary Wharf ( Jubilee Line ) South Quay ( DLR ) .Our room overlook Canary Wharf water quiet well picturesque night . as late booking arrive find people book not notify hotel ! man serve we reception extremely helpful even upgrade two room book move adjoining keep we wait ( not long wait way ) ! friend make use one many comfy sofas reception area whilst wait we check in . he absolutely fantastic wish have make note name could write management praise he . as arrive concert door open not time eat , visit bar use pool can not comment they . our room fine size wise , however decorate furnish old fashioned style use faux antique ... ? ? hotel middle modern part London not make interior modern ? ? bed comfy ( room 710 ) perfect night sleep room clean tidy . even though 1 pillow bed , usual , extra one wardrobe . the heating room work well plenty warm enough we return concert . the bathroom , however , let though . clean shower bath function well hot water , crake wall tile near floor opposite toilet feel bit old need replacement . we leave next morning without breakfast not want pay £ 13.50 ! pay £ 99 room not think bad room London short notice , would dissatisfied hotel pay more . the Britannia International exactly want somewhere shower put head night . I would book hotel want somewhere stay concert O2 's perfect , be go holiday London really would stay somewhere else be neither tourist area hotel would want spend lot time . 
 Nov 18 2007 	 one night enough 	 stay International 6 year ago due location book weekend break recently . one stop O2 perfect concert break . however , expect decor change date last visiste ! bed uncomfortable spring come , wall paper thin even card entry system giving ( take we 3 card change porter force door open get room - want checking ) .The bar convenient reasonably price although beer flat wine choice poor . 
 Nov 10 2007 	 tired 	 stay hotel regularly company book . pay would stay else . clean enough hotel tired worn edge . staff helpfull enough . food wise Jennys carvery good deal nice selection . if get £ 100 good deal advertise price high . towel smell vinegar tv fuzzy picture 6 channel . over fine night 2 business . 
 Nov 8 2007 	 bad really 	 stay Brit couple time month . hotel must around interior little old school . staff helpful , room nice , always clean nicely make . room service good , bar handy , also gym , never use . whole good hotel couple night london , handy jubilee line DLR , also right doorstep canada square lot bar restaurant . always ask room 8th floor want reliable internet access , always ask room face road not want keep awake dlr , wake build site next door . 
 Nov 4 2007 	 good base need 	 read review website dread stay . 40th birthday combine go watch man utd play arsenal sit . stay two night , do not problem rude staff everyone polite . food ok eat pizza place meal fine . bar bit expensive london . good thing hotel location . right next Canary Wharf shop bar restaurant doorstep . get day tube pass go london excellent .. saturday night go west end see show get back easy think last tube 12.15 back canary wharf night bus . felt really safe canary wharf 24 hour security . hotel room fine , bit problem lack hot water sort straight away , room bit date sleep . bed comfy , do not let review hotel put , do not want central london still want bar restaurant hotel great find , use go concert O2 
 Oct 28 2007 	 Location top overall average 	 second visit Britannia International hotel , time spur - of - the - moment thing . do not think parking , intend park Byng Street ( 30 sec walk away restriction parking weekend ) . limit underground parking , £ 15 overnight , somewhat except city , except expire 9 am 3 quid hour . check - in problem . like reviewer , problem room card key , guest resort call staff member help . first visit fortunate get river / Canary Whalf view , extremely attractive feature hotel , disappointingly time face street side . sure , would certainly recommend ask river view . room nice warming feel usual facility , tv channel limit - ch1 - 5 , Sky News , something else . there free wireless Internet , bonus ' ve bring wireless device . choice three restaurant , nice lounge area nice settee overlook river . leisure facility on - site , not use look they . rather disappointing experience breakfast next morning . room want pay breakfast extra . go main breakfast restaurant , ask want Continental Full English . opt Continental , redirect restaurant next door . basically two choice cereal - Rice Crispies Corn Flakes , basket bread , Tea / Coffee . available table cup , could not get Tea / Coffee . waiter wander around actually help . think sod , go back next door upgrade full English explain problem . tell could continental room alongside full English ( could not first place , not know ) . full selection Continental item would expect ! feel try fob cheap lousy service . what love hotel : - location . Perfect explore Canary Whalf area . dlr station road . safe feeling area.- view , get it.- free internet access get vote.- free paper , magazine , journal scatter around . what hate hotel : - nothing really ! one two disappointment , nothing complain . 
 Oct 25 2007 	 would never stay money 	 stay hotel Sep 07 highly convenient location work Canary Wharf . £ 160 night double room 's poor value money though . bad : bed comfortable . Spongey mattress , flat pillow . LOUD LOUD loud . ' ve get room face DLR groaned creak loudly night early morning . impossible ignore . time ask quiet room , get one face away dlr , however , noise high volume air - conditioning roof building really really loud . mean , check 6 time window be not open . traffic noise also come strongly . would bring earplug case , be not . telly 5 channel be not tune setup well . safe room . find staggering . valuable ( eg . passport ) would store reception , people note , staff be not exactly snappy have quite pain check - in stuff time . Keycard door work 1 15 swipe . go get new one , bad . check - in seem take eternity , several go backroom . check , another couple gentleman also seem difficulty room reserve work , staff could not seem find reservation . good : curtain black - out least dark loud . room clean , little worn . facility like ironing , trouser press present . Convenient Canada Square / Canary Wharf , actually long walk think walk quite way get bridge . Staff do not seem rude , people say , bit slow / inefficient . as room pay fine , could not stay ridiculously noisy . 
 Oct 5 2007 	 bad expect great either ... 	 company book hotel 3 night month ( October ) . read review , prepare worst . maybe 's view hotel not strong . indeed , although problem , still not think awful . maybe be also could claim money back expense ... first , let tell much business hotel , suitable tourist mainly location middle office building . unless be go concert Millennium dome ( O2 Arena 's call day ) . be 1 stop DLR 1 stop tube ( Jubilee line North Greenwich ) .I check 2 pm pretty quick . reception staff polite ( time round anyway ) . come room big ( London anyway ) fairly clean . tv be get usual terrestrial channel plus Sky sport , Sky news ITV3 . bathroom fine size powerful enough shower . thing not like bed really uncomfortable : could feel every spring lie mattress , pillow hard brick ! anyway , later check bill . turn hard charge first day night , charge £ 455 instead £ 315 . go back reception refund £ 140 difference . wish have apologize go . lucky notice , be quite big difference cost . I meal hotel , simply time year get dark early long day work not feel like go . choice around hotel quite poor well . even though be 10mins walk Canary Wharf , either sandwich place shop , restaurant expensive . so first evening dinner french - style restaurant . food ok , even though restaurant half - empty wait nearly hour half serve bit chicken cherry tomato ! well bored , hungry eat everything eat : 2 small bread butter side plate ! people restaurant complain well . soon finish eat leave table ask pay go . be finally get apology . there two restaurant hotel . buffet one fine price ( plus 's buffet not wait eat ) , italian - style one really not serve nice food . room service well . especially one thing inedible : garlic bread seem like burn , hard oily pizza base ... anyway , be bad experience , apart able get back room 's ' ve get push key card right opening door . colleague mine though tv not work , reception tell go watch tv lobby really not acceptable ... facility hotel also include bar , pool table , gym indoor swimming pool . gym pool basement . pool 's fairly small shallow , 's relax swimming . gym be get bicycle running machine , nothing special well nothing like look shape . guess 's hotel 's get star , also probably impose entrance make look well really be . look back review , really seem like awful hotel , really not feel like stay ruin not expect moon business hotel area . would say 's average , far bad hotel world ... 
 Oct 4 2007 	 think long hard 	 stay Britannia close O2 , go see gig . arrive hotel tell book name , suddenly find 5 min later . friend arrive lucky ! ! tell - room . end book different hotel , even though room confirmation email . hotel interested . ask speak manager no - one come . tell wait - 1hr later one come tell hotel fully book room . request non - smoking room , get smoking room ashtray remove . stank smoke , point request bedding change . the room general decor look tired , wake 07.30am room service even though & quot ; disturb & quot ; sign hang door . the LDR ( London dockland railway ) situate 1/2 mile away trundling past every 20mins around 06.30am . make quiet noise . 
 Sep 24 2007 	 not waste money 	 Britannia International Docklands LondonTerrible , terrible , terrible . would waste money . just let say late July late Sept. it business area . person would think hotel would try accommodate long term guest . big group one problem . would say 98 percent people problem . they promise group lot not follow though . example : new comfortable bed . get bed might well sleep concrete slab . refrigerator also promise group yet never receive . it take 3 hour get check . room date wall paper fall wall . the water pressure room poor good ( water pressure hard time keep shower valve ) change room . lucky change even time room could live with . the Staff helpful . sure not seem like want . let alone enjoy work . one occasion , leave room go & amp ; place ' please service room ' placard door handle . return little later , placard turn around show ' do disturb ' side . apparently , rather actually service room , maid service flip sign around ! gettte change front desk become onerous task . regardless small currency offer , front desk clerk ALWAYS go back . waste time look cash drawer front , seem stall look confused . hard change 20 pound note small bill ? want drink bar line 5 , prepared wait least 15 minute . in London smoke enclose space ( be cool ) step outside smoke outdoor patio , bartender tell manager manager ( Jason ) call police . police come give manager dirty look smile we leave . course visit , constantly harass go smoke . ridiculous ! everyday something else . if say stay Britannia International Docklands London ... don't . its friendly place . 
 Sep 24 2007 	 bad Hotel Earth 	 Food terrible , service non - existant , front desk people could speak english nobody seem idea reservation . it take 12 hour ( joke ) get room sort key would work . hotel staff right hostlie . group 50 people several people sick breakfast . room run hot water staff seem unconcerned this . I travel live world worst ever experience . stay away ! 
 Sep 23 2007 	 enjoyable stay ! 	 fabulous location , decent service room luxuryb part lovely view window . enjoy stay ! 
 Sep 23 2007 	 Average 	 stay three night September . room bit musty ( can not open window ) date decor spacious enough may require e.g . tea / coffee , iron , tv , AC , etc .. location good ( five minute Jubilee line Canary Wharf , DLR Bank ) .would not first choice next time would not like pay rack rate . 
 Sep 20 2007 	 poor quality attitude 	 stay hotel visit play West end visit Billingsgate next morning . experience expect . as note reviewer , staff friendly service rather slow ; particular staff try avoid customer queue . room get alright , hower , difficult book wake - up call . advertised number work , reception answer switch - board grumpy . the first surprise , hotel bar close 15 minute guest wait get something drink ; quite unique never experience . next one hotel run nibble Friday evening ; bar nothing send we room service - room - service not anything complain bar send guest . finally , hotel concierge know hotel pool - ask colleague whether one find it . when arrive back home , send letter ( paper email ) Britannia complain service hotel . foolishly , expect reply ; justification , apology least acknowledgement . far , hear nothing expect future . final straw avoid group whenever possible . 
 Sep 11 2007 	 great location 	 husband stay Britannina International Hotel London September one night . location 5minute tube journey O2 Arena go see Prince concert . fly Heathrow hope tube hotel . hotel locate 5min walk Canary Warf tube station dockland . 4 star hotel , old style decore , staff friendly . it bar , restaurant niteclub get chance try . bedroom clean , spacious aircon , tv , tea / coffee , iron room service . Mattress bit springie sleepable . price good £ 99 executive double unsuite . breakfast include cost £ 13.50 per person . think £ 27 expensive breakfast , well option lovely deli accross road main entrance hotel serve day breakfast £ 4.50 each . over experience hotel good , great location nite O2 Arena close city tube site see 
 Sep 8 2007 	 Bad Services Worst Hotel ever 	 return one week business trip London worst possible hotel ever stay , price pay . mention thing : •Staff extremely rude , person phone•the phone room not working call repair , tell could next morning - room service ? ? Emergency ? ? care ... ? •dirty towel fold nice neat , would notice dirty huge black stain open ... •the bed sheet clean , contain hair , also hole corner , get rip barb wire ... •toiletrie replaced - bring safe side ... •good luck expect phone call family friend - one answer hotel 's main phone line someone answer 10 ring , transfer wrong room ... •the mattress room old thin spring wear , comfortable level ... •breakfast hotel ? want get sick ! first morning never .... good luck find clean dish silverware ... not expect greet serve anyone ; however , expect charge get seat ! •if plan use swimming pool , sauna , etc , prepared pay extra ... •safety another issue - enter exit hotel please , clean staff leave room wide open cleaning , make possible anyone enter room times.•Room service knock door 3 time late night , different night , even though never order anything ... •Do not even think sleep past 7:00 morning : Docklands Light Railway run close building site construction right outside window . I really disappoint hotel definitively would recommend anyone . 
 Aug 29 2007 	 Lovely facility 	 go great view , quiet , gym , jacuzzi room , pool table . staff ok not would like anyway . like gym member even not stay . lot , could not everything . would go . 
 Aug 17 2007 	 bad stay 	 due stay hotel 5 night part we move house - pay husband company . arrive Friday evening 9 pm check . lobby pack full drunk . check process lengthy unfriendly . room family room appearance old folk home . window open due design hotel air conditioning not go 25 degree . make hyperventilate bed ! breakfast next day unfriendly full workman old people . choice food appalling staff unfriendly . whole place grubby feel . decide breakfast would check go sleep floor new house - yes bad ! ! go check ask check . honest tell member staff hate place . meet argument whatsoever . car park £ 15 6 pm 9 am room £ 160 night . complete utter rip . thankfully husband company pay bill . 
 Aug 15 2007 	 disgraceful ! 	 book room wife Bocelli concert O2 , spur moment thing book three day arrival , travel abroad wife Newcastle live . arrive hotel 5 pm first want check meet wife train return hotel . refuse room book credit card , explain wife card would hotel within hour , hotel would let check in . where rule card holder arrive partner ? stay hotel . Eric Smith general manager , find arrogant useless . month later credit card statement came take payment booking . fay account departmment refunded money , helpful . telephone head office ask speak MD , want boss company aware go , put p.a .. Gayle Sainthouse , try fob refuse give name M.D. , , interested customer service customer service industry ? one thing certain , Gayle Sainthouse certainly not ! also useless ! never attempt book Britannia hotel , absoloutely disgraceful . Keith Barrett , seghill , Northumberland . 
 Aug 7 2007 	 average 	 stay time spend bit time Canary Wharf work . hotel lobby give reasonable impression , fool . stay 5 different time company work top list ( £ 80 - £ 100 night roughly ) . room date . chinz order day . flake gold tap , tile 80 's , pattern wall paper , none particularly well maintain . shower more either freeze death , cause skin blister . move tap millimeter suffer ! room 934 reference . order room service . Sirloin steak , fry side salad , along half bottle house red . come £ 30 without doubt bad meal ever . could actually tell whether sirloin beef , pork . leave salad mostly old lettuce , chip awful . pay £ 30 , warn . the bed 's comfortable room stay . old mattress , get , duvet , rather old fashioned blanket eiderdown ! , think 70 's 80 's ! short , hotel good location , cheap , apart , forget . warn ! 
 Aug 6 2007 	 Beautifull - love hotel 	 2nd time stay time much happy . room beautiful , comfortable atmosphere . clean room service everyday good standard . breakfast much improve actually quite good . english breakfast could help , could much like . alot choice , , even boil egg ! breakfast room nice reasonably comfortable . much enjoy stay not want leave ! 
 Jul 26 2007 	 worth cheap deal .. 	 stay bargin rate - work Canary Wharf well average Holiday Inn Express Ibis hotel . it be get little shaby however room tired - room great view staff seem happy move well room can . I not rate food however quite often hotel full confused tour group / conference delegate . full rate complete rip - look special worth ! 
 Jul 24 2007 	 average 	 70 pound double room 's bad . could better though . date room , uncomfortable bed , quite far central London . plus points- excellent view Wharf , big room , minute near tube station . 
 Jul 19 2007 	 miss opportunity 	 ' ve stay Britannia twice . first room reasonable size dark bathroom need refurbishment . late stay huge room view water , Canary Wharf Millenium dome . decor fairly old - fashioned - think aim victorian look . room public area clean . bed two single push together cheap uncomfortable mattress although bathroom well condition sink plug would not stay closed get shower temperature right take . although include room cost , not bother breakfast time . restaurant fantastic view water food unappeale jug use tea / coffee not seem keep separate , get tea taste coffee . decent sized kettle room together coffee sachet , teabag biscuit . overall feel hotel miss great opportunity - c , ean , good sized room great location close dlr station 10 minute walkway Canary Wharf shop restaurant . let poor food , poor mattress dirty window spoil great view . look like another hotel build close think Britannia may lose custom . 
 Jun 18 2007 	 Yep get pay ... 	 book one night lastminute.com ' executive double ' ( know not get - definitely standard ) . fairly good first impression - rather old fashioned warm welcoming . staff completely unremarkable although efficient . room , well ... old fashioned say least , clean . clean sheet towel generally tidy - problem respect . thing would say window outside grubby , obscure view . however attribute massive building site right outside window ... admit , weekend not much noise building site , may different story throughout week . not quiet room world hot . fan noisy throughout night not seem awful lot anyway ... spend much night fight bedclothe attempt cool ! shower rather appalling - much hot / cold / hot / cold ... pressure bad . oh hairdryer not work ... main thing irritated place someone burst room 7:30am Sunday morning . admittedly not ' do Disturb ' sign door , not customary knock first anyway ? ? certainly great move part . anyway , despite everything , actually fairly enjoyable time . nothing hotel ' wowed ' boyfriend , particularly impressed , clean , tidy , anonymous great location . exactly hope . 
 Jun 16 2007 	 get pay 	 Staff service good , hotel clean . mattress must old hotel , though , pad spring . hot water available -- -if take shower 8 am . 8 am , hot water tap produce air intermittent spits hot water . colleague similar report mattresse hot water . 
 Jun 3 2007 	 great hotel - huge room good service 	 stay hotel bank holiday weekend honestly say wonderful time . jaw almost hit ground see big bedroom bed comfortable even though two single push together . addition , view 6th floor spectacular . my major concern go swanky appartment block build right next door ) go lot building noise soon b ) probably block view across Thames Millennium Dome . unlikely stay unfortunately . I can not comment food room only . the location hotel excellent - hundred metre near dlr station . 
 Jun 2 2007 	 Good Hotel 	 good business traveler , internet work hotel room . 
 may 31 2007 	 terrible hotel price stay somewhere else ! ! 	 travel Canary Whary regularly couple year stay one night Britannia never ! rate GBP 130 & quot ; executive room & quot ; . arrival inform , despite book room , executive style room leave . give room describe awful . tiny , outdated single bed scratchy woolen bed cover . hotel right beside DLR line , addition awful room put great deal noise pass train . reduction room rate check extremely dissapointe give box put in . breakfast free . little staff coordination instead normal table , guest expect sit galley style benchs afford little privacy pretty uncomfortable hotel busy . food poor . the good thing say hotel location . knowledge mid price hotel Canary Wharf area Marriott , Hilton Four Seasons top end . say , stay locally , take Hilton Docklands across river , although good , much well joint . well still stay one hotel river take clipper tube Canary Wharf . 
 May 28 2007 	 Cheap 	 stay one night , cost around £ 70 . set rate far high ( ludicrous - not expect anyone pay ) .The hotel rather old - fashioned , extremely naff decor ( tonne chinz , gaudy chandelier etc ) . not go expect styish stay , be ok price . the staff , one notable exception , sullen uncooperative . check pain . ' ve see bad , would expect well , even low price . the room ugly rest hotel , fairly small . double bed clearly two single push together , big ridge middle . clean , though , bathroom . shower bit crummy , work . breakfast well aviode - 's free - for - all buffet ( get tea coffee , example , help thermos - jug counter ) . table not set properly . we not use basement pool , look - 's fairly small , look ok.overall - need somewhere stay lowish price , hotel ok - make sure not pay standard rate , ridiculous . want good hotel , 's Hilton road . 
 May 21 2007 	 be ok ... nothing special ... bad 	 hotel 10 day business . stay three different room pretty good idea hotel . tell not get internet 2nd , 3rd , 4th & amp ; 5th floor inconvenience . need internet move 8th floor . room standard small size , nice view canary wharf staff accommodate request . even hook we room service late night even kitchen close nice . I spend couple night two room two small bed . honest think small bed ever sleep entire life . roll would fall . ( fact fall bed ... joke ) . bed 5th floor comfortable , one 8th floor comfortable , fairly hit miss . the last night suite upper floor . ok room nice , big great bath room , dining / desk area large comfortable bed . pretty happy whole time room .. bathroom majorly upgrade jacuzzi tube ect . food : buffet good offer wide variety & quot ; english & quot ; food . enjoy meal lot .... fact gain 5 pound 10 day . lol.it convenient Canary Wharf business district really would want tourist . if could make one suggestion owner hotel , would tell need quit push two small bed together make one big bed . get big mattress . make huge difference comfort . overall regret stay , would happily . bad place certainly nothing special . I do lot travel though England not lot compare property , take account reading review . 
 May 21 2007 	 fine get bargain rate 	 outside look like 70 's concrete block . inside 's chintz ornament bit odd . confusion check ( have book twin room give double ; next room give already occupy ) upgrade consequently get big room anticipate . room fine although curtain not exactly keep daylight one bed squeak awful lot . bathroom nice though good shower / bath . would get last minute bargain rate though perfectly happy value money . great location need Canary Wharf etc handy anywhere DLR route include Greenwich . 
 Apr 30 2007 	 Fine 	 like previous reviewer find hotel nowhere near bad describe . lounge area comfortable , bedroom ( standard one ) little date ( yes also problem ' key ' ) clean quite comfortable ; staff generally pleasant aswell . Carvery Jenny 's pretty average , one night pizza pizzeria fine . probably worth pay £ 75 night get cheap 's well worth . 
 Apr 22 2007 	 problem 	 Booked AIRMILES & amp ; not bad deal yet nearly cry read review . however ready battle arrive hotelAt 9 pm , time & amp ; , take 10 minute greet foyer get room - ' m unhappy & amp ; check 10.30am . the room good size extra pillow & amp ; blanket wardrobe . complaint luggage stand . hate put case bed , idea drag way ! Decor good & amp ; bedroom & amp ; bathroom clean . in cold light day wallpaper & amp ; skirt board little scuffed ( shame former occupant not inform Housekeeping measure take remedy fault ! ) bed linen & amp ; towel pristine . air conditioning work ok figure out . we dlr view room bit noisy not bother we first night & amp ; great close public transport . Continental Breakfast include booking , upgrade full english £ 5.50 thought bit much available . nobody actually check take though . first morning many table uncleared arrive breakfast ask could table clear next window & amp ; do straight away . Breakfast not Hilton Le Meridion standard ok get past lunch time . sign tea coffee , help ( coffee blue thermos flask , tea white ) ask staff bring fresh . breakfast buffet seem little understaffed not pay lot room can not expect hotel overstaff restaurant . conservatory Bar great place drink end day & amp ; staff friendly . drink not seem overly price either . the room keycard seem little ' eccentric ' ask reception nice lady come straight away get we sort . jiggled card , twiddle door handle & amp ; muddle through . think read shower - well first morning get bath tap run , temperature ok etc , switch shower , shower head jump stand & amp ; soak & amp ; quite bit bathroom . second day - we never learn ! third morning take bath . we real problem , nowhere London quiet . staff friendly & amp ; helpful & amp ; even though hotel undergo refurbishment & amp ; full really great place stay . 
 Mar 15 2007 	 Loved ! 	 stay three night , not understand terrible review hotel nice . book excecutive room comfortable clean finger test dust ! ! ! ! ! ! ! ! sheet nice crisp . bathroom nice clean shower powerful hot like people say review . two negative , decide cup tea coffee downstair beware expensive ! think upgrade room think . excecutive room people pay £ 100 room not nice tired floral ! good location would stay . excellent break way go see Rock absolutely brilliant . 
 Mar 8 2007 	 cold shower 	 could not get hotel immediate vicinity Canary Wharf , place offer next good thing . one important factor hotel shower , ' m happy put weak shower long not spend age try vain tweak temperature ! however , shower Britannia attrocious ! weak ( despite tremendous pressure bath tap ) , mix cold water mixer will find cold water push hot water back boiler completely turn shower turn bath tap restore ! net effect , use hot water matter hot cold happen be . we tell concierge say & quot ; get problem shower , be normal & quot ; .move onto bar , be fairly low - rent affair , kind place would expect less salubrious part city . feel quite place suit : - ) interestingly , bar surround heavy duty cage - work , sure ! not try food not fill much confidence ability , besides , tube nearby eat easy enough nearby . I will not stay agin , next time availablity Wharf , will simply stay near City use tube morning . 
 Mar 8 2007 	 Horrific ! ! ! ! ! 	 arrive greet hotel receptionist big attitude problem I ve come across- service smile think ! ! problem room honest mix could easily resolve , however appear much trouble , finally allocate room find dirty , musty smell perfectly honest be not sheer exhaustion desparation would stay ! give assistance bag put top floor hotel smoker area despite fact heavily pregnant ! ! ! keep awake pass plane night hotel fault understandably do not exactly warn ! hotel bar nice setting overlook wharf shame staff ! venture london LOVELY meal return greet poor attitude hotel staff decide leave next day . make feel uncomfortable check first opportunity next morning , much less smooth arrival . shabby hotel ( yes picture look nice different experiance venture ! ! ! ) attitute staff ruin break . 
 Mar 1 2007 	 great bargain price look alternative 's full price 	 stay hotel twice , 2004 2005 Christmas . time , run offer make room £ 21 per person , per night - include taxis - London outrageously cheap . on second visit noticed base rate - upwards £ 100 per night . pay , have disgust . hotel quite treck attraction , find Tube easy enough . be probably look 30 minute journeytime include walk either DLR Canary Wharf Tube stop . as htoel - Rooms pretty basic , clean . tea make facility room . heat bother - another reviewer say , will not go low 22.5 , window not open , would really irk pay lot room , cheap however overlook thingsI currently look stay London , not offer bargain rate , put compell find something close attraction . 
 Feb 26 2007 	 enjoy Britannia - Loved location 	 book double room [ -- -- ] bargain £ 55 PRPN , include breakfast , overall well satisfied stay . read poor review bit concerned . however , find aspect well satisfactory . reception downstair bar / set area look right onto dock give impression 4 star facility . room ( enter key card ) 5th floor victorian decor keep rest hotel , generally good condition although bit approach re - furbishing time ( carpet bit worn etc ) .Did complain air - con hot , maintenance man suddenly appear open locked window , seem trick . breakfast adequate buffet , although tell qualified cold continental , ignore . finally good aspect Hotel location , right South Quay dock , nearby footbridge take Canary Wharf , skyscraper , bar , underground shop , tube DLR ready take old London town . 
 Feb 23 2007 	 simply rubbish hotel 	 review someone stay 20 time . reason convenient location Canary Wharf ( office time ) . say , often decide stay much away office avoid it . the hotel , renovate , could ok . unfortunately , be old tired . 30 % time ( least ) , something work room . get room face DLR , be really noisy forget easy sleep . if ... problem really personnel . sorry say first replace management entirely fail duty . many problem stay ( typically something working room ) . bad part often take hour ( day ) talk manager . able , capable fake plant hotel ... strongly suggest unless pick hotel proximity whatever goal , simply avoid place . hotel like can not please anybody , even low possible standard . 
 Feb 13 2007 	 catastrophe . . . 	 Hotel Britannia International sad sorry hotel whose lone attraction fact centrally locate Canary Wharf close Tube station . the facility date , structure tired old . wear carpet , mouldy tile , andshabby , back - break bed amenity await . glum staff meander listlessly assign task , look almost unhappy guest compel serve . fairness , attitude perhaps stem fact staff member compel work , second - rate environment flog customer exhorbitant price . substandard workplace make even routine item check change 50 Euro note utter nightmarefor involve . travel business need bed central location Canary Wharf , Britannia International tolerablealternative though hardly desirable one . constrict , look elsewhere save money grief . 
 Feb 12 2007 	 expectation 	 hotel situate near canary warf tube . place look wonderful . clean , room amazing Thames view ( even back side one ) . restroom clean modern , bed fine . one small problem might heat ok.i scared review find hotel GREAT worth money.the breakfast also wonderful.dont hesitate book want 4 star london hotel can not afford Hilton ! 
