well 	 stay Priceline rate good experience . first , put 32nd floor one good view Montreal ' ve . ( we Priceline regular usually expect something low floor view parking lot . ) second , bed fantastic . third , right top Metro . yes , room date lobby seem bit fuddy - duddy be 40 . overall , would mind stay . 
 Mar 15 2007 	 clean friendly close Bell Centre 	 boyfriend find great rate online ( Mariott web site ) stop head south holiday . pre - book go Bell Centre hockey game location important . the hotel clean , staff friendly , room spacious . food restaurant expensive tasty worth price . our complaint never actually receive wakeup call ( 6:30 plane catch ) .. fortunately backup alarm clock come through . I would certainly stay next visit Montreal . highly recommend ! 
 Mar 3 2007 	 would stay 	 stay 3 day Marriott Chateau Champlain February . take via trian Montreal , hotel locate conveniently 2 minute walk away . room clean amazing view city Montreal . bed comfortable big fluffy duvet . stay include buffet breakfast morning . food typical buffet , great , bad either . visit bar downstairs couple occasion , although staff friendly , food good . little disappointed . eat dinner hotel restaurant comment food . hotel good fitness facility pool hot tub . work twice swam use hot tub . although hotel Old Montreal expect , cold wanderie around outside anyways . take taxi need go use underground tunnel quite extensive . really enjoy stay would go back hotel . 
 Jan 14 2007 	 Great Hotel 	 Standard Marriott hotel - great . nice location ( though bit outside old Montreal ) , close central station & amp ; underground shopping . great breakfast ( 16 $ c ) . 
 Jan 7 2007 	 always know expect Marriott ! 	 beautiful hotel great location . clean comfortable room . outstanding service . Marriott always first choice would definitely return recommend hotel anyone . 
 Dec 23 2006 	 great hotel good location 	 recently stay 20 night Montreal Marriott Chateau Champlain , November 20 2006 December 10 2006 . Montreal Marriott Chateau Champlain good location ; two block Sainte - Catherine many restaurant department store ; hotel completely smoke free , nice . standard room , 336 square foot ( 31 square meter ) , king bed , locate 19th floor , view downtown Montreal . I please room even furniture part wall begin show sign wear tear . air condition work perfectly water pressure shower good . the bed comfortable , complementary wireless high - speed internet work perfectly . I order room service one occasion good . housekeeping fine room clean whole time . room quite could hear anything neighbor , even little disturbed neighbor slam door . could hear elevator disturb ice - machine . enough tv channel able watch NFL Thursdays , Sundays Mondays . also able watch game Montreal Canadians hockey game well . Hockey night Canada Saturdays must hockey fan . less good room safe room . there five fast elevator hotel need wait long elevator , except Saturdays . Saturdays people use elevator need wait perhaps 5 minute elevator come floor . lobby impressive . perfect meeting point seat comfortable chair locate lobby relax . dinner restaurant locate premise hotel , Restaurant Samuel de Champlain , good little expensive . would like sandwich coffee muffin recommend small restaurant call Le Muffin . locate end hallway pass Restaurant Samuel de Champlain . le muffin 7 - 8 time 20 day , warm sandwich bottle water . if would like nice fast food experience like Thai food , go Thai Express locate food court Simons department store , two block Marriott Chateau Champlain , Sainte - Catherine Metcalfe . Thai Express many time trip Montreal . previous visit Montreal , stay Clarion Hotel & amp ; Suites Downtown , Hotel Maritime Plaza , Le Montfort ( four time ) , La Presidence Deluxe Apartments , Hotel Omni Mont - Royal , Marriott Chateau Champlain . Montreal Marriott Chateau Champlain good hotel experience far Montreal . would definitely recommend hotel would stay Marriott Chateau Champlain next time Montreal . 
 Dec 21 2006 	 warm comfortable super hotel 	 stay Ultra modern disappoint W Montreal , happy walk warm , charming lobby Chateau Champlain . king size bed one comfortable bed ever room spacious great bathroom , iron board , blowdryer ... everything need . hotel even great selection movie could purchase . room service great , everything great . stay hotel next time visit Montreal . really true gem ! 
 Dec 4 2006 	 Little Piece French Heaven 	 hotel absolutely HEAVENLY ! can not even think one complaint . great location , beautiful room , wonderful restaurant , elegant , luxurious , good ! even elevator speak french ! would highly recommend hotel . bed pillow comfortable ' ve ever experience hotel . room bathroom quite large . feel pamper love every minute it . perfect place .... short walk downtown Montreal . staff accomodate . gay friendly hotel . 
 Nov 26 2006 	 4 star sure 	 Perfect location want able walk shop , go restaurant Old Towne . beautifully appoint room , quiet , wonderful staff concierge service terrific inhouse amenity , include indoor pool one actually swim , bar restaurant , etc . reasonably price hotels.com . 
 Oct 17 2006 	 great location city visit 	 Hotel : Marriott centrally locate , walk distance old city downtown . find Metro stop right hotel nice , esp long day . room decent size tastefully appoint . bar Marriott really pricy- martini $ 13- even strong dollar , 's bit muchgreat pillow comforter . town : enjoy two local spot breakfast- Cafe Cora Eggcentric- moderately price , great food full local color . th walk tour old city informative aand cover great deal 90 minute . also like ooutside cafe Plaza St Jacques . 
 Oct 2 2006 	 Beaucoup Kudos Montreal 's Marriott 	 return weekend hotel superb experience reasonable rate . distinguish feature include : convenient location , lovely room terrific view unique floor ceiling half - moon window , prompt courteous service every level , delicious buffet breakfast 2 include weekend rate $ 199 ( canadian ) per night . 
 Sep 27 2006 	 comfiest bed ever sleep ! 	 stay Marriott Chateau Champlain August 9th-17th attend conference Fairmont nearby . really impressed number feature hotel , namely : huge , exceptionally comfortable bed - 9 pillow different type , duvet mattress topper add comfort . free wifi - may come standard many north american hotel , Brit use pay $ 10 usd per hour wifi access UK ( scandalous ! ) , free easy access internet every room fantastic . spacious room , separate dressing area , clean bathroom power shower , lovely orange ginger toiletry . staff friendly helpful . hotel 's location fantastic - within easy walk distance shop , restaurant , tourist site . elevator hotel provide direct access metro underground city mean not even need step outside bad weather . breakfast good , waiter charm . the hotel offer everything could possibly need 10 night stay would recommend anyone . 
 Sep 26 2006 	 hotel romantic ... 	 domestic partner stay Chateau Champlain birthday ( September ) 4 night . originally Montreal . romance still work & quot ; Chateau Champlain & quot ; . ideally locate heart downtown Montreal , perfect shopping well business traveler . tourist bureau sightseeing tour start locate across park face hotel . Chateau Champlain , nicknamed & quot ; cheese grater & quot ; montrealer due unique architecture , originally build 1967 World Fair . know since host wedding graduation reception mostly . also cater business traveler well hockey team fan . less 1 block away Bell Center core business district . room small romantic funishe victorian style . love old fashioned dressing area adjacent marble bathroom . ambiance room bit retro classy ; one like different . bed super comfortable . Chateau Champlain also provide guest private elevator straight metro station underneath bridge street straight park : cool ! : - ) well ... picture worth thousand word ... put . enjoy ! 
 Sep 25 2006 	 Excellent hotel highly recommend . 	 stay hotel 5 night love every minute . hotel excellent location , staff helpful polite , room clean service A1 . hotel staff kind give room 31st floor view spectactular . hotel also directly Metro make convenient catch train walk underground system . highly recommend book directly hotel website able book 5 night reasonable rate . 5 star service 3 star price ! ! ! would definately stay ! ! ! ! ! 
 Sep 22 2006 	 positive experience Labor Day weekend 	 husband go Montreal three night celebrate anniversary please hotel . location truly fantastic -- many place visit within walk distance metro hotel easy access . area feel safe us night . staff polite helpful . receive couple gift deliver situated room absence . find front desk bit understaffed wait little long check . room , agree view excellent . request room overlook Dorchester Square will great view city ! bathroom nice clean . find rest amenity room average expect Marriott - clean satisfactory . 
 Sep 4 2006 	 great location 	 will start say wife Asian well encounter problem Marriott Chateau Champlain . greet warmly bell captain front desk staff . receive complimentary bottle water chocolate arrive room . though room slightly worn , view receive incredible , overlook park , toward Mont Royal . concierge help we get reservation Au Pied de Cochon give we tip Vieux Montreal . hotel right top Montreal subway provide easy access transportation explore city . think overall good experience . 
 Aug 28 2006 	 discrimination - stay away be asian 	 parent stay Marriott Chateau Champlain week August 2006 . service terrible bell captain ignore we need order taxi airport . one Asians stay hotel badly treat . hotel service one bad Marriott chain greatly disappointed . worth money . go somewhere else . 
 Aug 19 2006 	 Marriott - swing roundabout 	 stay conference . good thing view breakfast . room mostly great view various direction downtown Montreal . breakfast excellent value - meeting Intercontinental one morning charge 50 per cent half selection buffet - helpful attentive dining room staff . generally staff work hard offer pleasant experience . however , bedroom feel little shabby , although bed comfortable clean high standard . furniture seem see well day fitting begin need maintenance - closet door , example , not fit properly . not think yet serious objection soon . pool nice would soon get crowd - go 07:00 wake early jet lag fine , although little short get really good exercise . location excellent - everywhere would want walk within 10 - 15 minute Metro station right underneath hotel . overall , think pretty good value , would interested see reviewer think next year not meaningful refurbishment meantime . 
 Aug 16 2006 	 Great Hotel 	 Montreal bachelor party last weekend July 2006 . bit comparison shopping , discover Marriott seem offer good value ... cheap rate amenity . I great stay think really offer fantastic value . room nice , bed extremely comfortable , room bathroom clean . hotel also centrally locate easy walk area want go , include Crescent street bar Old Montreal steak house dinner ( mention bachelor party ) . thing less ideal we hotel pool indoor consider end July would much pleasant lounge outdoor pool . course , write review stay hotel January ' m sure have reference indoor pool major positive . 
 Aug 15 2006 	 Fine 	 hotel well - locate . room furnishing ok , bed ( mattress bedding ) great . bathroom adequate , old - fashioned 60 's style closet / dressing area nice lighted mirror make great putting makeup someone else use bathroom . direct entrance Metro quite convenient easy walk downtown location ( include underground ) . staff fine , although Concierge try helpful , twice give we inaccurate direction - one time many mile . hear happen another guest . 
 Aug 13 2006 	 Spectacular view 	 every room hotel spectacular view magnificant city ! really can not go wrong staying regard . , yes , bed comfortable other say ! era ever shrink hotel room , pleasant surprise good - sized room wardrobe area . well , echo comment other convenience location business leisure traveller . criticism room bit shabby . smell stuffy ( like old smoke old carpet , although supposedly non - smoking room ) . furniture nick , past prime ; carpet little bad wear . try room service 3 occasion : be little expensive quality , 's adequate hot meal long day work siteseee . creme brulee disappointing ; mushroom soup burger ok ; oatmeal green apple world yummy ! 
 Aug 5 2006 	 Great Hotel ! 	 Marriott Chateau Champlain great hotel . concierge bellboy helpful . room huge window give great view city . bed extremely comfortable sheet soft . hotel overall clean . do not worry hvae speak french get montreal . one meet speak english . hotel amazing woul reccomend anyone want stay montreal . within walk distance tourist attraction like Rue Ste . Catharine Old Montreal Metro stop th hotel convenient want go olympic stadium biodome . 
 Jul 30 2006 	 great place stay ! 	 perfect location Montreal . stay 4 night . staff friendly helpful even though hotel fully book . room locate 12th floor large bright love bay window give fantastic view city . impressed Gym swimming pool . could overhaul . hotel centrally locate area interest within walk distance . tourism office less 5 minute walk . Old Montreal 15 -20 minute walk . Rue Sainte Catherine 5 - 10 minute walk McGill University 15 - 20 minute walk . take elevator locate behind concierge desk metro underground shopping area . casino shuttle bus also pick people front hotel . will stay hotel go Montreal . 
 Jul 23 2006 	 could lot bad stay ! 	 first thing say hotel staff amongst friendliest helpful ' ve come across . not mind practise bit & quot ; Francais & quot ; , even though ' m great language , revert English see struggle ! room really nice . decor date good possible way , welcome change bland modern decor get lot place . bed wonderfully comfortable room coffee maker , tv , air condition nice big bathroom plenty towel toiletry . gripe would two small carton milk not enough 4 cup coffee machine make . apart small gripe , can not fault Marriott . attend conference Sheraton , literally around corner , main thoroughfare couple minute away . also , bus airport depart regularly front hotel ( doorman helpful time etc ) , be ideal location . finally , hotel bar nice nice bar food menu reasonable price ( Montreal ) . be go Montreal , could sure bad stay Marriott ! oh , not forget , be do thing tip maid $ 1 $ 2 day , nice , great job ! 
 Jul 22 2006 	 Excellent Comedy Festival 	 wife back spending & quot ; Sweet Deal & quot ; Montreal attend wonderful comedy festival , Laughs . spend 3 night ( 3rd night half price ) Marriott Chateau Champlain find well worth price ! doorman bell boys housekeeper , everyone helpful , bilingual knowledgeable . breakfast buffet also include sweet deal include many hot cold item satisfy we find place supper . coupon , shower gel pamphlet make complimentary gift bag . ice cream bring room sign well ! Laughs outstanding festival something everybody find hotel visit ! find hotel 's attention detail & quot ; laugh matter & quot ; back next year . 
 Jul 22 2006 	 would stay 	 Loved hotel . little concerned speak french , problem . everyone speak english problem communicate . room great - large Sheraton downtown friend stay . good thing room bed ! invite pillow comforter . lay bed , want get soft comfortable . not eat restaurant , order room service breakfast & amp ; pleased . one thing miss slipper & amp ; bathrobe sister receive room . big deal though stay one night . lobby big & quot ; posh & quot ; several store . bell man & amp ; concierge helpfull , even suggest visit & quot ; tourist & quot ; area . overall , would definetly come back next time around . 
 Jul 18 2006 	 # 1 Hotel Downtown Montreal Nice 	 Marriott do good job add plushness lobby bed . hotel 40 year old , need refurbishing . worthwhile ask high floor -- view half - moon shape window superb -- bed great , reason not upgrade towel match . odd , amateurish carpentry work bathroom adjoining dressing area take away feel first - class hotel . however , clean , nicely furnished , excellent location , well - design build good insulation traffic noise , good service -- one well large hotel downtown Montreal , absolute good . enjoy comfortable stay . 
 Jul 9 2006 	 Nice Hotel Nice Location 	 hotel good ' ve , decent location excellent . good part hotel far connection metro underground mall Montreal . helpful get one part city another . room pretty standard . bed nice , although affect back bit may personal problem . really downgrade would give room shower change cold hot back cold every minute . sort annoying perhaps dangerous small child not know operate shower control . , nice hotel able get $ 85 rate make even nice . maybe would different opinion pay excess $ 200 . 
 Jul 1 2006 	 wow ! hotel ! 	 always say : & quot ; get pay & quot ; . hotel expensive , hotel . normally not sleep well bed , certainly sleep well bed hotel . mattresse really good not often get . room spotless ( fussy customer come cleanliness ) . staff front desk helpful . car park valet parking deliver promptly . high floor view great . would definitely stay . 
 Jun 27 2006 	 AWESOME ! 	 really enjoy stay MArriott Chateau Champlaign . hotel nice centrally locate . room accomodate WOW , view ! hotel staff friendly area , front desk restaurant doorman . understand other rate hotel poor . classy , comfortable centrally locate hotel . THUMBS family . 
 Jun 13 2006 	 central location 	 use Marriott point stay hotel . disappoint Silver Member concierge level access concierge breakfast . not know hotel Marriott 's , use access . hotel central location within decent walk attraction . also metro station close train station . the restaurant food good bit pricey . arrive late eat dinner 9:00 pm practically empty , service waitress really slow . seem disappear 20 minute time . king size bed nice , comfort average . stair enter hotel sure handicap person would enter . tough time take daughter stroller time want exit enter hotel . use point , would definitely stay small boutique hotel . 
 Jun 11 2006 	 Comfort convenience Montreal 	 spend two day Chateau Champlain impress accommodation : room large , bright airy , bed exceptionally comfortable , location could better : within easy walk distance business district , historic old district , university shopping district , well direct access Underground city . highly recommend . 
 Jun 10 2006 	 good location friendly staff bit tired 	 stay hotel week May 2006 . room clean bed great little tired need paint work . maintenance poor air con die twice trip toilet flush . seal around door light room night mean feel part ever go corridor . staff friendly helpful however thing fix . food good standard room service excellent . 
 May 23 2006 	 Conveneniet hospitable 	 nice location good view side building ( face Place du Canada ) . able see beautiful not - so - beautiful building . Metro stop underneath hotel incredibly , incredibly , incredibly convenient . Montreal Underground ultimately silly hotel staff us service emphasize we . room well date Marriott room gotten use . new Marriott bed linen extraordinary . batroom 8 one scale 1 - 10 . showerhead head . curtain flimsy though . really like closet / dressing area outside bath could closed rest room . room furnishing ( desk table , side table , armoir ) adequate . free wireless , room internet big bonus ( Marriotts take note ) . oddly shape window huge give spectacular view . slept curtains open couple night see light form tall building Ste . Catherine . huge hotel little way in - hotel dining entertainment option . good hotel downtown train line . plenty nearby . sometimes would nice restaurant bar choice . consider hotel 30 floor , would think would one small lobby bar . staff bar great though . much bourbon Canada . front desk great well . operator slow getting call though . I really would enjoy hotel Habs still play ( season end week early arrival ) . arena share Metro stop old beautiful two train station two building . Americans afraid language barrier , everyone meet hotel speak English friendlly switch english native tongue . staff answer phone eventually default English . 
 May 18 2006 	 Chateau Champlain Marriot- Nice Hotel 	 second trip Montreal December 2005 , decide stay Marriott Chateau Champlain read mixed review . rate $ 250 CAD 2 night . say really like hotel . location great fantastic view city mountain ( request high floor city view ) . staff really friendly . package include buffet breakfast , good , gift arrival . room clean true bathroom date bad critic make . problem occur arrive back one night , strong scent smoke . call concierge immediately offer another room upgrade . ' m glad choose stay hotel ... view worth money alone ! 
 May 16 2006 	 Good Hotel . Great Location . 	 stay Chateau Marriott Champlain wonderful time . 30th floor great view city . room decor look new , everything clean neat . location great , hotel locate right metro line . 20 minute walk Old Port 10 minute walk Golden Mile . definitely excellent choice weekend Montreal . 
 May 8 2006 	 good experience great one 	 hotel could use bit update . room smallish side decor need refresher . armoire held TV , dresser store clothe . plus side , view nice bed super comfortable ( good sleep ' ve hotel ) . fitness center adequate ( pool seem sort nasty ) ; hotel staff courteous ; dry cleaning service prompt subway stop bottom hotel convenient . bad experience overall , expect little rate . 
 Apr 30 2006 	 Outstanding 	 stay 7 night April ......... room great view unreal . be plan trip Montreal , stay Marriott . 
 Apr 11 2006 	 GREAT GREAT GREAT 	 Montreal Marriott Chateau Champlain great ! great location , great staff great view room ! everybody take care we like customer ! new Marriott Beds fantastic , numerous pilow ! hotel connect underground Via Train Station shopping - not even need go outside ! 
 Apr 5 2006 	 first last stay 	 return home stay Marriott four night . recommend hotel . room ok , service terrible . felt treat rude , almost disdainful manner front desk staff ( manager ) answer question service job description . pleasant exception ( Peter , bell captain , nice helpful ) , overall , many mistake make unwillingness correct mistake problem - solve find acceptable solution . tone , & quot ; like lump & quot ; . oh yes , plumber come fix toilet nice , -- although could not completely fix , try hard apologize inconvenience . good thing hotel convenient location , accessibility Metro hotel lobby , abundance pillow bed , view city window , breakfast buffet . one server ( not get name ) waffle expert -- make beautiful , delicious strawberry waffle part buffet ask . decide stay , make sure say require guarantee type room want ( not request , tell want confirm guarantee ) specific . make stick arrive . persistent , firm , not back get type room request . exhausting , hassle , necessary . also , make sure require non - smoking room , insist housekeeper smoke room s / he make room . also , make sure lose something contact lose find say not , not take answer . contact housekeeping ( apparently housekeep not always turn thing lose find ) still not get help , find someone willing go housekeeping office look around -- way finally recover car key . second thought , stay , use valet service car -- cost , will few hassle way around . finally , time crunch , call way ahead time need bellhop -- wait 45 minute service . hotel general area Marriott , next time plan try one . return Marriott ? . 
 Mar 24 2006 	 gorgeous room mix service review 	 hotel quite lovely , extremely comfortable king size bed , lot pillow , great duvet . definitely nice choice romantic getaway , business traveller , single couple alike . manage get good rate ~ $ 145 probably would not spend stay ohtel future . as loyal Marriott reward member , upper floor request grant , check - in polite efficient . room beautiful certainly well appoint . search around phone book , call request one bring room , along toothpaste . shortly thereafter , old gentleman bring toothpaste . notice phone book , ask sure find phonebook room . say check cupboard drawer , mention odd . ask could enter room check . find bit odd , however allow . sure enough ( much dismay ) , one drawer contain phone book ... back . first open drawer find one , guess not open far enough . feel little silly apologize , gentleman seem pleased prove wrong . at rate , wonderfully restful sleep , fabulous breakfast bring promptly room morning request time , friendly room service lady , ask restful night 's sleep . wonderful check - out agent , however anticipate pay debit ( bank ) card , credit card . not take bank / cash / debit card , unfortunately . find quite odd . the concierge helpful store luggage afternoon , despite doormen step outside assist upon arrival , open door . ' m sure stand , ? conclusion , love room , love breakfast service check - in agent , however bellman wish assist gentleman believe phone book room leave bitter taste mouth . but would stay . 
 Mar 23 2006 	 montreal favorite 	 live Vermont , easy three hour drive downtown Montreal , frequent visitor past 15 year various hotel downtown area . price right , Marriott good deal . booked & quot ; Sweet Deal & quot ; promotion , include free buffet breakfast two . agree reviewer state service breakfast somewhat formal . find waitstaff , rather overly formal & quot ; host & quot ; seem pride intimidate enter domain . happy see Sunday ! Buffet ok , good . room : book tell room & quot ; deluxe & quot ; furnishing , size , include suite . believe room deluxe look like room post another tripadvisor member . actually quite lovely , crisp white duvet , nice array 6 pillow neckroll , beautiful drape new carpeting . ( 18th floor overlook park ) . bathroom small , separate dressing area nice make room seem large . robe . also usual table two armchair , desk high speed internet work fine . the pool hot tub nicely heated although crowded family child . locker area change , find acceptable hotel class . also attendant nearly rip towel 6 year old son 's shoulder leave pool area go back room . without change room , one return room without soak wet ? find innapropriate . hotel - service - respect guest ? ? location : good location , new underground connection allow walk underground way Old Port . great cold weather . far Chinatown St. Catherine . Bell Center right next door indoor skating , fun watch . parking : self park hotel , busy week day , Saturday & amp ; Sunday nearly empty . SUV 's may fit , valet parking available outside big vehicle . $ 14.00 self park per day , good price downtown . overall like hotel . two three property prefer overall service room size , price right Marriott good choice . 
 Jan 15 2006 	 try ! 	 visit 12/26 01/01 fantastic stay . worried read previous report hotel might disappoint - absolutely ! room comfortable 3 we view breathtake Mont Royale . staff ( every one ) could helpful pleasant . hotel centrally locate need never go outside get anywhere wish . facility first class subway access directly hotel . we already recommend hotel family friend , next visit know exactly stay - right . try be treat . 
 Jan 7 2006 	 can not wait go back 	 stay New Year 's weekend Chateau Champlain . room big , bright , airy . also , large , crescent shape window provide we plenty sunlight magnificent view Mt . Royale . hotel staff pleasant informative . plaza level gym big hotel gym provide much needed exercise work sumptuous buffet breakfast consume hotel restaurant morning . hotel centrally locate downtown Montreal , not leave hotel use Metro train subway station directly beneath hotel . I wonderful vacation , next trip Montreal already book . guess hotel ? 
 Dec 1 2005 	 one well worn hotel 	 hotel serious need face - lift staff . hard tell room last re - do , long ago part answer . mildew shower , dozen coat paint paint surface wall paper bathroom serious water damage . bright side , wireless internet access well average free first night . it difficult ( read 10 minute discussion ) get non - smoking room would reserve , however , staff finally seem find one wait line twice ( front desk seem understaffed number room hotel ) . service restaurant also slow ( although polite ) ; could tell 2 server entire venue lot impatient customer . it would seem hotel busy stop refurbish , certaily need . 
 Nov 17 2005 	 nice hotel ! ... 	 stay 4 night October 2005 . location awesome , not even go outside catch metro . breakfast buffet good , although little expensive . hotel also close proximity Saint Catherine . room nice clean , housekeep great job everyday . request fulfil staff friendly . enjoy stay would definitely stay , find great bargain Expedia . 
 Sep 16 2005 	 great view 	 great value & quot ; sweet deal & quot ; , nice hot tub , view unmatched , must stay sweet deal . 
 Sep 11 2005 	 Disappointed Marriott standard 	 spend 3 night business trip . king bed comfortable vanity area nice keeping clothe , luggage , stuff way ... since room big . wi - fi work fine I . bathroom show age , leaky tub poor water pressure , toilet stain LOOSE toilet seat , go unfixed duration stay despite inform clerk night check . towel mix bag collection yellow , off - white , white , stain . service would expect Marriott . check - in clerk , bell man , door man rude . check - in clerk roll eye ask put reward number reservation . dare forgot put booked room ! late flight leaving want leave bag bell desk . bell man morning afternoon shift ask haul bag put onto shelf luggage room . door man rude ask often shuttle come . scream 20 minute want nothing . Refused tell last one , tell wait curb . definitely worth $ 200 / night price tag . be completely 1 - star service . steer clear place try Delta , Sheraton , W instead . 
 Aug 28 2005 	 nice enough will not return 	 stay Marriott Chateau Champlain 4 night , search find impressive hotel could afford holiday . usually stay 4 - 5 star hotel anniversary , expect certain level impressiveness Chateau Champlain , apparently four star hotel . unfortunately fairly disappointed . firstly , fairness , must mention staff excellent . everyone front desk team waitstaff bellman clean maid go way friendly provide top service . rarely encounter remarkable staff hotel . nothing would we . ask . furthermore , quite convenient everything . walk EVERYWHERE ease , see Marriott sign high sky orient find way back hotel . Metro connect hotel , even well . visit Montreal notice pretty much * * hotel , * anywhere * city convenient . however , hotel need major facelift . shower ( stay two room 4 day ) function like harshly spray garden hose anything else . bad shower , BAR none , ever encounter ( even 2 star hotel ) . bathroom tile , clearly genuine marble , look old yellowed . toilet flush well , yellowed towel stand amongst new bright - white one . maybe matter , luxurious bathroom important sign , , enter high class hotel . the room look much like holiday - Inn type room . nothing remarkable , nothing real complain except stains ceiling general wear tear furniture . first room lack work internet port , second room 's socket fail half way stay entire outlet die reason could discern . all , nothing real complain , apart service hotel leave severely underwhelme Chateau Champlain definitely return . 
 Aug 28 2005 	 love hotel 	 return trip Montreal , stay 6 day MarriottChateau Champlain , friendley staff , try pool , room nice , private , Breakfast excellant , loved decor Hotel , Bar nice , food good . Bar Staff avarage . close shopping , sight . overall delighted hotel . 
 Aug 21 2005 	 somewhat dissapointe .... 	 recently stay Marriott Chateau Champlain 3 night . guy check we bare minimum friendly . swipe card give we key ( two room ) . room hard usage . chair hole . spot ceiling look like water stain . bad in - room safe . place stay electronic safe , nothing . bed ok , nothing special . pool small , water cold hard get use . pool attendant watch everyone make feel uncomfortable . excited staying , hotel turn 3 star , that s generous . 
 Aug 18 2005 	 nice slow internet 	 pleased hotel ; location , room , view , staff , cleanliness excellent . one big dissapointment internet connection . 's nice 's free soooo slow . 
 Jul 31 2005 	 bad well option area 	 stay late July one night . location good Bonaventure metro station across street Gare Centrale ( main train station ) nearby . room average good value price . prefer location Residence Inn Downtown well value little close many restaurant shopping option rue Ste - Catherine Ouest , rue Peel , etc . 
 Jul 29 2005 	 IMPRESSIVE 	 find good hotel . it ideally situate explore old new Montreal . our room 28th floor afford superb view city . room spacious spotlessly clean tidy . staff attentive need , always helpful informative . if return Montreal would hesitate use hotel . 
 Jul 5 2005 	 Nice hotel location horrible service 	 third time stay hotel last 2 year second time issue . first problem honour offer 100 Marriott dollar book VISA card - take many phone call lot time ( waste ) order get clearly advertise website . time , reservation indicate one rate , hotel charge another rate ( $ 40 ) . confirmation email , call Marriott get back , receive poor service problem still resolve 3 phone call ... would expect $ 200 + per night hotel . that say , hotel room decent size , bed OK , washroom pretty good . location fantastic , 3 block walk St Catherine Street . Dont think Ill stay though ... service brutal . 
 Jul 4 2005 	 Great Place ! ! 	 come back Marriott July Canada Day Long Weekend ... stay various Marriotts around world , many hotel include Fairmont , Westin , Four Seasons , Intercontinental , & amp ; Meridien . have room 2 double bed face river 25th floor . room quite nice , large size . be almost typical Marriott room design look , except nice large window vanity area washroom . closet door make area bit cramp , big deal anyways . believe suites upstairs we much large size , also much expensive . personally like cozy comfortable feel . there boutique atmosphere hotel - not seem much like & quot ; chain & quot ; be , especially nice feeling since be city like Montreal . service great - front desk helpful , lobby excellent . metro right downstairs . not need cab anywhere everything pretty much walk distance ( Ste . Catherine Street , Restaurants , Nightclubs , etc .. ) . bring drink & amp ; alcohol , hotel one get pricey ( anywhere pretty much ) .I would recommend swedish massage spa ( ask Tatiyana ) - decent price relax . wireless internet free fast , must get modem front desk ( $ 250 deposit ) .All , good weekend stay . 
 Jun 25 2005 	 good . 	 come back first ( last ) trip Montreal . service good , start bell captain concierge . the location hotel superb . 
 may 31 2005 	 Great Downtown Location good quality hotel 	 wife come back trip Montreal . spend several day try decide stay finally book Marriott Chateau Champlain , total price 4 night $ 645 . opinion , expensive type hotel . HOTEL PLUS : nice clean room bit small price , great downtown location , nice view hotel , direct access Subway station ( cost $ 2.50 per person one way ) , access underground shopping area restaurant , many nearby building , friendly knowledgeable staff . amenity include room service , nice pool hot tub , good size gym . spa , hair salon also premise offer service reasonable price . HOTEL MINUS : nothing include price room . Mattress hard ... hotel restaurant expensive , expect pay around $ 20 breakfast , $ 30 + dinner per person . instead , 5 minute walk take underground shopping / restaurant area get breakfast less $ 7 per person . self parking $ 14 per day . Valet parking $ 21 per day . plan drive around town , make sure use valet parking since would pay $ 14 self park every single time exit parking garage . also notice parking area near hotel charge $ 7 $ 10 per day . note subway ( metro call Montreal ) take virtually destination . all , look great location hotel nice amenity not mind extra expense , Marriott good choice . information visit website . ' ve also include picture take . 
 May 24 2005 	 suitable hotel family travel child 	 stay 3 child . room suitable 4 people small crowded large furniture . placement crib 1 year old make thing bad block exit room entrance bathroom , everytime need move crib come we . uncomfortable make impossible we decent night sleep . another non - child friendly issue shallow area pool 1.5 meter ( 4.9 ' ) deep basically child swim , hot tub one age 10 allow use . unfortunate reservation staff ( make directly hotel ) notify we issue upfront . supposedly suit available hotel , ask upgrade saw room ( would happy pay difference make clear management ) per front desk , nothing available . provide we free breakfast two day instead . would recommend hotel travel business couple . 
 Mar 18 2005 	 nicebut updadate would nice 	 nice staff . room smoking concirge floor little date wear ( case good replace , bathroom remodel ) comfortable great view mountain surround downtown area . concierge lounge open weekend 3 service food , breakfast , afternoon snack , desert . all nice . great location adjacent underground city Metro . I would stay price right . 
 Jan 16 2005 	 Typical Marriott 	 travel 100k+ mile per year North America business , end stay mostly Marriott- Hilton - affiliate property . the Marriott Chateau Champlain stay typical Marriott : consistent , pleasant , mostly unremarkable . check - in staff fast , efficient , proficient . the room stay high floor . basic uninteresting , non - offensive Marriott room . show 's age little , dress area 's shaggy carpeting mismatch mirror light bulb bite 1979 appearance , everything clean . steam iron function properly , get job do . the room free WiFi internet access , great departure typical full - service Marriotts US web access room wire - only expensive . breakfast staff almost overbearingly attentive formal sort way , pleasant . unlike US full - service Marriotts , breakfast buffet not make - to - order omelett , otherwise typical Marriott buffet . location convenient business traveler . I must say previous stay Montreal far interesting , stay Old Montreal Auberge Bonaparte , small hotel way personality . time choose Marriott , time trip enjoy area , hotel place work sleep hour . next time ' m back leisure time , ' m choose Auberge Bonaparte . 
