good 	 4 night stay s.f . look good value quiet location , could not make well choice . hotel really clean quiet want , also right around corner Fillmore Street Pacific Heights cow hollow area , really great walk around great boutique cafe restaurant . front desk staff little hit miss , really nice know lot good information , other kind clueless . enough helpful one overlook one not great . room king bed nice view window seat . reasonable fitness center equipment good shape . across street three bus line run downtown right around hotel bus stop go place city - easy get around public transportation foot . 
 Birthday trip 	 hotel really cute ! 's japanese culture theme right across street Japan town San Francisco . hotel staff nice room kitschy . kind anime - esque mural wall furniture modern cute.the restaurant lobby yummy serve traditional japanese breakfast . also serve shabu shabu dinner . I would definitely stay ! 
 Oct 22 2007 	 highly impressed ! 	 husband visit San Fran sole intent stay property birthday . honestly say expectation fully meet J - pop themed hotel ! room exceptionally clean , comfortable spacious . mention unique ! ! loved giant Fatboy beanbag ! linen exceptional quality , especially enjoy comforter find tuck away dresser drawer ! front desk staff super friendly inviting , well knowledgeable city . find hotel fun awesome almost not want leave room , remember San Francisco ... ! plan stay least time return s.f.thank Hotel TOMO ! ! 
 Oct 10 2007 	 great find 	 great affordable place stay . newly remodeled . fairly spartan service amenity . clean bed great . stay one deluxe king . conveniently locate city center / Union square 's . J - town somewhat diminutive pretty cool . would definitely consider another stay city . can not beat value . 
 Oct 3 2007 	 super cool hotel uniquely awesome experience ! ! 	 awesome hotel ! little worried would fall short expectation base previous review , everything good get . moment step lobby , surround j - pop theme decor - cool . room spacious clean . alarm clock radio ipod dock , flat screen tv , jumbo beanbag , mini fridge . part room / hotel clean well - keep . bathroom nothing special - kinda hope coolness would extended , oh well . service friendly helpful . location excellent , right japantown . lot good restaurant nearby , safe neighborhood union square 5 - 10 minute bus ride away . switch hotel couple night meet couple friend stay close convention center . really wished not move ! compare courtyard marriott , room big amenity ( fridge , ipod radio ) half cost . would definitely stay come SF ! 
 Sep 10 2007 	 bad parking guest laundry 	 research hotel best western site . and two amenity listedwere indoor parking site guest laundry . ( also 2007 AAA Tourbook listsonsite parking . ) turn theparke limited guest laundry facility . the sign parking garage state , " 35 space inthe parking garage . full sign , please ask frontdesk alternate parking . " hotel 125 room ! essentially park russian Roulette situation . tochange plan ' get guarantee parking . we bicycle van go cycle aroundgolden Gate Park . figure get parkwith public transportation , without bike , since ' want movefrom parking garage . alternate parking around corner nextblock Japan Center . give directionsby Tomo staff fail indicatewhat name parking structure . get around corner call cell see right place . structure noisy 24 - hr access . ( pay fee advance leave go lobby find parking level automate machine locate . tomo didreimburse charge . ) pm 8/21/07 hot water wife ' bath ; 8/25 thewater hot ; tepid . the place renovate room comfortable clean ; however , wife ' care wall graphic ( black silhouettedfigure frightening wake middle night ) .So stay punctuate parking hassle andthe annoyance unreliable hot water situation . the parking situation misrepresent amenity listsof best western website AAA book . becorrecte ! send complaint , misrepresentation , Best Western , AAA , website TripAdvisor , hotel owner Joie de Vivre Hotel . 
 Sep 6 2007 	 nice surprise ! 	 book Hotel Tomo close people visit . wonderful surpise ! hotel look brand new ( , find , due recent renovation ) everything nice clean ! hotel staff friendly accomodate include help we print boarding pass let we park garage quick hour free . I also highly recommend Mum 's shabu - shabu ! eat rare restaurant . , agree another reviewer skip breakfast ... head Denny be instead . my tiny complaint location room . right outside employee breakroom , hear staff quite frequently sometimes early hour . also , end hotel think must back daycare center child play scream property next door ... reasonable hour not really matter . , other say , bit away & quot ; action & quot ; .I recommend rechecke hotel rate close get trip . first book , rate $ 120 , check couple week prior even low $ 95 change ! , even though not big heavenly bed 5 star hotel restaurant , pleasant stay money . would definitely recommend friend . 
 Aug 30 2007 	 enoye tomo 
 Aug 23 2007 	 Loved Tomo 
 Aug 12 2007 	 's manager ? 
 Aug 5 2007 	 Hotel Tomo good value 
 Jul 22 2007 	 ok hotel bad parking 
 Jul 17 2007 	 Fantastic Discovery 
 Jul 2 2007 	 really cool hotel 
 May 24 2007 	 j - pop gem low pacific heights/ japantown . 
 Oct 31 2009 	 perfecto 
 Oct 22 2009 	 Un peu loin de tout . 
 Oct 21 2009 	 bien pesar del aviso de incendio 
 Oct 9 2009 	 Schönes Hotel Japan Town 
 Sep 20 2009 	 rénové 
 Aug 31 2009 	 Un giapponese San Francisco 
 Aug 25 2009 	 Chambre agréable 
 Aug 21 2009 	 Molto carino ! ! ! ! ! 
 Aug 5 2009 	 Ein interessante Hotel Japantown 
 Jun 3 2009 	 nett Hotel SF 
 May 7 2009 	 Bon hôtel à recommander 
 Feb 4 2009 	 Incontournable 
 Jan 7 2009 	 San Fransisco Refreshed 
 Jan 5 2009 	 bon compromis 
 Dec 7 2008 	 Super Aufenthalt 
 Sep 6 2008 	 tomo ! 
 Aug 31 2008 	 hotel caratteristico commodo ai mezzi lontano dal centro 
 Jun 18 2008 	 Hôtel calme 
 May 23 2008 	 Luces Sombras 
