will 	 stay whole week Thanksgiving Holiday love every minute . room cleanest fresh hotel stay . sheet comfortable choice pillow , either soft firm . view greatest , not spend much time look window . morning enjoy breakfat buffet gather round crap table ( $ 3.00 minimum , great ) get crowd . first , complain slot tight , last night morning leave , . staff friendly helpful not mind ask dumb question . room big , arrive , husband ask book suite . location convenient us daughter family live close able forego rental car . take shuttle strip one day hassle - free . life good Suncoast Hotel Casino . 
 Apr 22 2006 	 Great Hotel - Strip 	 wife recently stay Suncoast April 9 - 13 . work hotel near location work . compare hotel strip nice quiet place . definately & quot ; local & quot ; casino clientel neighboring area . first pull giant gold window outside look great . inside casino open enough get around without bump everyone every machine nice change lot other visit . check - in Sunday afternoon 3:00 easy , line . complaint end 2 queen instead king prefer , lady counter say booked night . since not reserve room ( work ) not specify want king , big deal , hotel fault . main part room average hotel room 2 queen work desk , cabinet 25ish & quot ; tv , lounge chair ottoman . average feature window - 3 giant floor cele window take whole wall , bathroom huge counter two sink seperate room toilet shower . wall nice tile spotless . shower tile also spotless great water pressure drain fine , something ' ve find many hotel . one thing look forward view , ok . high rise condo 's build room face , one side mountain , side strip way distance . could see , condo main view . eat 4 different restaurant there:1 . St. Tropez buffet - really good deal eat three time , night arrive , regular breakfast come back later check eat Easter buffet . time food fresh selection something everyone Chinese / mongolian mexican italian meat potato . also , desert bar huge . time service wonderful . plate always pick right away drink keep full . 2 . Cafe Siena - quite good well . dinner one evening order chinese menu good . , service exceptional . friendly attentive . great breakfast special , $ 1.95 2 plate size pancake , 2 egg sausage . fill rest day . alone morning bring book read waitress make sure coffee water keep full long , never rush get , think really nice.3 . Senor Miguels - good restaurant , great other list . red snapper tasty . nothing memorable place though.4 . Via Veneto - quite good , get right 5 place almost empty . atmosphere elegant , people dress everything short suit . food good italian , service great empty , get ready leave place fill take 30 minute get credit card back go pay , impress that . some note hotel / casino / resort . 16 screen movie theater , bowling ally never get around use , look quite nice . also , bingo wife love go 9AM bingo session give free donut . like go end win $ 275 one morning . never chance use pool , although open 11:00 evening . however , wife say fine . we use shuttle strip couple time , time completely dependant traffic . take 15min completely open road . time luggage move Barbary Coast take 45min traffic stop go ( mostly stop ) . overall happy clean good service . location long way strip , place 1st timer , much lay back atmosphere strip hotel . would definately consider stay even vacation , possibly never leave hotel . 
 Mar 17 2006 	 clean quietreasonable 	 stay specifically avoid strip glad . room large clean , shower excellent water pressure , hear noise people walk hall openig door etc . , hear nothing casino . yes , casino smokey casino not ? server dress skimpy outfits , casino , dealer , wait staff , front desk personnel , house - keeping really nice , friendly helpful . sure ask room mountain view , spectacular . breakfast buffet worth money , mexican restaurant so - so , Cafe Sienna B B- ( not get french fry . ) not try Primos , highly recommend Steakhouse Circus Circus . yes know Hotel Circus Circus dump restaurant GREAT . since weather cool not use pool sparkle clean workout room reasonable size . overall would stay like much venetian half price tag . ( Travel WebSite 84.99 per night ! ) one thing not like shampoo husband not mind . 
 Mar 11 2006 	 great hotel price 	 hotel nice . new clean . room spacious . bathroom nothing spectacular clean nice . Food Silverado 's Vitto 's excellent . food Oyster Bar good . attend conference food serve also average .... esp conference food . miss not spa pool open yet ... come summer 2006 . price ( 79 per night ) overlook . take shuttle strip twice . time bad ride time . take cab airport Suncoast less $ 20 2 people .... 25 tip . bowling alley , site cinema kid area nice big plus travel family . kid area charge 6 per hour per child . not children we ... check area great . kid would blast . bell staff courteous helpful dinner recommendation . Front desk staff courteous efficient . we would return ... especially spa pool complete . this great business couple get away location ... would not hesitate bring kid next time . plenty keep entertain . there be plenty Suncoast .... strip not far away want action . 
 Feb 27 2006 	 want see Vegas 	 fine hotel casino not need shuttle airport not want see strip . shuttle airport run 2 4 hour interval . 11 am next shuttle 3 pm . taxi $ 50 . hotel 25 minute strip traffic shuttle strip convenient either . casino veryu smoky go get room . room large nice would consider average excellent . terrible shuttle service would rate hotel much high . not want leave vehicle would nice place stay . 
 Feb 2 2006 	 hotel exceed expectation 	 though far strip , hotel nicely sized ( not get lose ) , clean fairly new . bowling alley Bingo begin odd hour . 2 1 ice cream sundae 's HUGE not go unless be challenge . $ 2.00 crap fun table cold every time play . dealer mostly know not come across overly friendly . room also HUGE bathroom . nicely tile floor , double sink area separate toilet tub . want casino experience without & quot ; Strip & quot ; feel , would check Suncoast . oh , be suburban neighborhood , many local restaurant , shop even grocery store nearby . 
 Jan 15 2006 	 Good Location Bad Location 	 Hotel room Las Vegas annual electronics show [ ces ] expensive and/or hard find . Suncoast seem like decent place , book it . it fact locate far Strip , bit close downtown . life near place Marriott Regent hotel / casino Angel Park golf course across street . essentially isolate island . not car , -- -.the good news location quiet , desert setting . additionally , clientelle seem notch would expect cheap hotel casino downtown . huge room spotless ! high speed internet $ 9.95 day , not bother . comfortable bed extra pillow . big bathroom two sink seperate bath / shower . Minimal tv channel [ basic ] , casino not want watch tv room anyway ! buffet well average . normally would never recommend Vegas casino family child , Suncoast might execption . 16 theater , 64 - lane bowling , large arcade decent snack bar . problem get movie theater parent / kid walk casino . bit annoying many movie start nearly time . I night Rose Bowl game bar zoo . game however , thing return status quo . great place night two , get ' cabin fever ' , make sure car ! 
 Jan 9 2006 	 place smell ! 	 July 2005 conference , would bother write review except see other rank highly . place pit , way far strip even poker . would never stay ! 
 Nov 7 2005 	 Love Suncoast 	 soon husband ( get marry October 31st las vegas , love . trouble get valet parking bellhop . food great great view mountian . stay 5th floor . Played game love . crap table start $ 2 mim roulett table start $ .50 mim . 
 Sep 28 2005 	 money ! ! ! ! ! 	 sit room Suncoast write reveiw , via high speed internet service provide hotel $ 9.99 fee . ( bargin since probably save $ 100 24 hour period , use computer instead gamble ! ! ) trip advisor traveler bible . surprised negative comment Suncoast , positve witch steered give try . we check Monday , Sept. 26 depart today Sept. 28.since season week , may experience heavey smoke , bad service disgrundle staff write about . the room huge , bathroom gigantic , bed heavenly . ( must coast hotel trait , Barbary coast bed ) book trip reservation , pay $ 44 night , receive coupon book upon arrival free luch buffet offer . the buffet wonderful . we stay strip , do fancy dancy hotel want try someplace local recommend amenity want decent price . find right here . this video poker heaven ! ordered & quot ; American Casino Guide & quot ; internet fill valuable gambling information 2 one coupon room food , gam . use suncoast coupon , fabulous dinner buffet ( Tues Filet Mingion , Prime Rib Seafood etc ) , 2 1 , save $ 15 . , Rampart nex door . we go use coupon stay Las Vegas Club downtown fremont street leave . $ 49 night $ 59 new tower room . another valuable sight & quot ; Cheapo Las vegas & quot ; , critic everything buffet Vegas . along Trip Advisor , American Casino guide , trip cost we mostly gambling expense . we look forward try Coast hotel experience far positive . so , want get away strip , want great place stay , want take movie ( 18 screen movie theater ) , comfy bed , decent price , high speed internet , perfect size workout room , great air conditioning , good food great price place ! hope much fun ! ! ! 
 Sep 22 2005 	 excellent hotel far Strip Las Vegas 	 excellent hotel amaze big room cheap price , espectacular view . 
 Sep 22 2005 	 clean room could not escape cigarette smoke 	 stay suncoast attend business seminar recently . room clean comfortable , could not escape overwhelming cigarette cigar smoke casino . hotel 's amenity ( restaurant , movie theater , conference room , bowling alley ) accessible casino , could not avoid haze . health definitely suffer stay . nearly check - out discover large picture window room could not open ventilation . suncoast nice amenity toxic air ruin experience . offer bell service check - in even though catch fleeting glimpse someone uniform look bell person . front desk small , understaffed , lobby , line snake - out row slot machine . find hotel elevator front desk challenge well leave adventuresome . suncoast hotel afterthought casino . & quot ; resort & quot ; expect would stay . would also recommend bring adolescent boy suncoast , unless expose waitress lingerie hot Victoria 's Secret not problem family . 
 Sep 9 2005 	 LOVED SUNCOAST 	 stay august 23 - 26 , husband 16 yr son upon arrival switch 2 room suite WOW big glass window , 2 seperate bedroom master bathroom one room king bed marble 2 double tile . big picture window face golf course , pool mountain . large living room two couch , dining table tv room bathroom . AAA 229.00 PER NIGHT . hotel clean noisy bowling alley , movie theater arcade thursday pool party 21 never hear noise . eat coffee shop good breakfast nice service , also restaurant snack place . lot place right road eat also KONA GRILL GREAT also chilis , mac grill lot fast food mall across way . lastly strip 15 - 20 away take freeway close easy 95 - to 15 not take Charleston many light . back sure . 
 Aug 27 2005 	 never feel deceive review 	 write complain . write warn trusting reader believe rave review Suncoast . use Trip Advisor year ; swear , travel without consult . feel , retrospect , utterly deceive rave review suncoast resort . strength , book we wedding anniversary . ouch ! litany woe begin : one come help we bag first drive . $ 240 night room ordinary . ( example , in - room safe -- staple every hotel ' ve ever stay ) . dinner service Primo 's bad , bad , bad ; take forever we wait , despite half - empty restaurant ; food tasteless . slot machine give paper ticket , coin drop win ( trend Las Vegas not aware ) . since in - room safe ; next morning try leave laptop personnel inside security cage ; say box rent , could take responsibility computer ; write book laptop file could not afford anyone read steal , leave lug around Strip day . incidentally , take far long time get downtown Summerlin area Strip , review say . decide have enough . go Internet Trip Advisor , learn venetian resort king luxury suite sink living room $ 169 night , $ 70 less suncoast . booked . check Suncoast 7 p.m. venetian . three bellman surround car drive Venetian ; whisk bag inside . gorgeous classical music play . breath - take decor art along walk registration desk main hotel . room stunning ; beautiful antique classy decoration - - Vivaldi ! ! in - room safe easily store lap - top . helpful concierge stay phone 15 minute gettte we ticket late night show ( Jubilee ! ) . slot produce coin drop tray whenever . like old day . ( ' m nostalgia , especially fantastic anniversary ! ) Heaven ! will go back venetian minute . every resort appeal people . know ( heavy ) market Suncoast - - dismay near - by Marriott 's . $ 52 night room appeal family , gambling table inexpensive . think visitor weigh whether stay , need tell ( attempt ) overwhelming ` ` rave & quot ; suncoast deceiving . clean , inexpensive large hotel , way town . period . 
 Aug 26 2005 	 definitely good hotel money 	 pro : $ 52 / night ( weekday ) , fairly large room , nice golf course / mountain view ( sure ask upon check - in ) , nice bathroom dual sink / marble counter / large & quot ; earth & quot ; -tiled side wall / strong water power , free breakfast buffet every morning ( give free voucher upon check - in ) .cons : 3rd night stay could smell smoke come A / c vent , tap water good tasting , bath towel full loose LINT , & quot ; Therapeutic Thursday & quot ; pool party loud 10:30pm ( baby cry night ) .Overall hotel good get high mark people give . also , close nice shopping restaurant ( e.g. , Cheesecake Factory , ClaimJumper , Chilis , Roy 's Hawaiian Fusion , etc . ) . drive Red Rock Canyon calm quiet beautiful , 15 minute drive hotel . strip 20 - 25 minute drive . would stay ? probably open try new SouthCoast Hotel open early 2006 . hotel south strip close we Los Angeles folk . day 's end , recommend hotel reservation . 
 Aug 23 2005 	 good value . 	 good value want strip hotel , sure stay go somewhere bit central . room spacious , clean nice particularly good view also bite noisy due large air con unit locate nearby . buffet good value money food good . cocktail casino bar poor . service good , probably well experience anywhere Vegas . 
 Aug 19 2005 	 truly great 	 away hustle bustle city center , locate beautiful landscape close , say close , really mean , shop hotel dining . room big , great furniture , clean everything could whish , pool big clean , nice jacuzzi , nice buffet , cheap deal stay hotel many hot deal . will definitely go back ! ! 
 Aug 19 2005 	 great price 	 Pros- pay $ 52 night include free buffet breakfast . room large , clean upscale . pool , work facility hot tub great . property way strip backdrop mountain . high end mall close , good restaraunt call Kona Grill . close major roadway . property include golf , bowling alley movie theater . cons- walk casino go anywhere , include register hotel go breakfast . ton smoke casino . 
 Aug 4 2005 	 Best keep secret Las Vegas ! 	 beautiful property , large , clean room * * * cold * * * air conditioning ( will want desert ! ) , staff extremely friendly helpful , absolutely wonderful restaurant , casino extremely clean ( not know , never close , course ) like rest hotel . room casino side although see ( clean ) roof casino , also million dollar view Las Vegas , especially night city sparkle . request much staff department . ' ve never see clean room . decor tasteful modern . perhaps good , 's Strip . visit casino Strip let tell glad stay Suncoast . feel like come home return room . sorry leave definitely come back . sure get Club card slot . even little playing point add fast used get great free meal . eat almost meal Suncoast delicious . not miss rasberry iced tea , 's good world . not child service dedicate well . will not feel left . explore property . be large ( fit 64 - lane state art bowling alley 2nd floor make quiet would not know 's , not know ) , be ridiculously large irritating like many hotel Strip . can not wait go back next year . thank , suncoast ! 
 Jul 25 2005 	 well keep secret ! 	 weigh comment , decide go favor good review ignore bad one many reason . arrive thur Suncoast must say , $ 50 find & quot ; Golden Goose & quot ; .Whoever say suncoast smokey , need stay Holiday Inn ( casino ) . ' m smoker , however mature enough accept by - product smoke go along scheme thing . I not read anyone complain free drink half naked waitress pass ( true smokescreen ) .There reason call & quot ; Sin City & quot ; . care get & quot ; golf course view & quot ; , Tiger Woods be not waive . 550sq ft . room sufficient , decorate beautifully ; close curtain enjoy - that view . although husband ate bkfst free coupon , buffet $ 5.95 , expect & quot ; delicious delicacy & quot ; $ 6 anyway ? front desk staff handing coupon book free buffet ticket & quot ; Hand Fist & quot ; , care not taste like mamma 's cooking . I take kid bowling coupon , saw & quot ; Fantastic 4 & quot ; theatre ( free popcorn coupon ) .For & quot ; Goldilocks & quot ; look clean air , orthopedic mattress , gorgeous view , cuisine meal , good price : & quot ; stay Home & quot ; .For we look well keep secret : try Suncoast . I want thank tripadvisor great tool come vacation planing . also & quot ; Golden Goose & quot ; . 
 Jul 19 2005 	 well expect ! 	 return 4 night stay Suncoast Las Vegas . usually stay JW Marriott locate right next Suncoast not room available thought would try Suncoast . say really impressed around . price : book online directly Suncoast 's website . room rate get $ 59 night include breakfast buffet 2 , 2 pass pool party , coupon book discount ice cream , coffe , free popcorn movie theatre , bowling , golf coupon many . $ 59 night really wonder quality room go get . surprise ! room : locate non - smoking floor , nice ! room large Vegas standard . room 2 double bed - comfortable way , comfy chair ottoman , table 3 chair , armoire tv , desk chair . travel family 4 , 2 adult , 2 toddler . plenty room never felt cramp . bathroom mid size , slide door seperate sink / vanity area toilet / shower area . soap , shampoo , bath gel , hair dryer availble . not include inside picture room , go suncoast website will see exactly room look like , bedding , decor , etc . nice . floor ceiling window really give room nice open feel . great view golf course , pool , JW room . comparison JW room , difference bathroom large . room actually nice suncoast 3rd price 's great deal ! service : Excellent - Valets , bell service , room service , pool server , front desk , security , everyone come contact exceptionally nice ! food : price food excellent , reasonable ! try mexican restaurant lunch one day , pretty good food ! bill 3 adult 2 toddler $ 25 entree , drink ! price great , espcially lunch special ! also ice cream ice cream shop , huge sundaes $ 4 , get 2 1 coupon book ! pastry coffe place , good ! Room Service price well ' ve ever see . state service charge $ 2 per person , never charge $ 2 total , even order group 7 pool . full american breakfast - egg , bacon , toast , hash brown - $ 7.95 , cereal $ 2.95 , pancake - 4 big ' ve see , $ 4.95 . also room service pool one afternoon - Chicken finger fry - enough 2 share $ 8.95 , soft drink $ 2.00 - not bring one single cup , bring carafe full soda ice cup , get 3 full drink . , across way JW will pay double triple price room service difference quality , think food Suncoast actually well ! pool : be big pool , be ok never crowded . one morning go 9 am swim never 3 4 people pool we . stay 2 pm be alone half time . 's also seperate jaccuzi step 's patio . first day arrive pool warm kid not even want swim , next morning temp nice cool . casino : SMOKEY ! ! ! ! initially pull casino could smell smoke get car , luckily either get use filter start work little well not seem bad day 2 ! not really gamble , slot , casino look nice , not crowded , mix young old . resort also movie theater , bowling alley , kid club , restaurant not try . would definetly stay , husband agree suncoast well JW respect except pool ( pool JW fantastic ! ) . great room , good inexpensive food , lot food choice . Suncoast also locate near shopping center will find Cheesecake Factory , Claim Jumper , Mimi 's , Chili 's , PF Changs . will 20 - 30 minute strip depend traffic , oh yes traffic ! 's traffic comporable LA Orange County , freeway mess ! anyone try get use beltway , ignore , be bad freeway traffic ! would recommend suncoast family , young people not party animal , old folk . be parti not place , belong strip ! 
 Jul 14 2005 	 Terrific Place Stay 	 wife stay many hotel Vegas past 30 year say SunCoast rank well overall . stay 3 night ( Sun - Tues ) 4 day one good trip Vegas . hotel great part town - Summerlin . one new area Las Vegas surround great shopping mall Restaurants . mix residential / business area definitely upper class area . the Hotel attractive outside lot self parking use valet service . find casino plenty big big get lose . check quickly go room ; nice size room floor ceiling window overlook Badlands golf course ..... view ! ! ! room clean nicely decorate ( well Vegas hotel ) . call bell desk luggage within 3 minute room . we find service good everyone find staff friendly efficient . hotel everything want - plenty gaming , variety food , nice movie theater , pool spa ( guess one drawback might pool big ) , gym , hair salon , etc . regard food , read several post regard poor quality food . Monday night , go strip pay $ 22 buffet Ceasars Palace . Tuesday night eat Suncoast Buffet $ 13 find much well Ceasars . also eat breakfast buffet eat coffee shop find good . complaint food . also Seattles Best Coffee bar ice cream stand enjoy . also great bowling alley . if look exciting night life crowd strip , place . bore either . find crowd mixed age somewhat like might find strip old local find strip casino . big disappointment poker room enjoy play . for care , good look cocktail waitress ' ve see Vegas . see one Rio girl attractive . good , go home money come . lot video poker machine - see casino . let Ride table though . table minimum blackjack mostly $ 5 . 30 minute drive strip traffic drawback , get strip like grow tired crowd , nice get back Suncoast . definitely find new place stay Las Vegas . look forward next trip . 
 Jun 27 2005 	 really outstanding ! 	 Suncoast , beat path 's really worth drive . room huge , well bathroom . also spotless . variety restaurant . ( go hungry mexican restaurant -- -the chip salsa w / bean fill ! ) able get room four day week $ 51.00 per night ' net . price go considerably Friday night still , rent car , not stay strip . believe relax place . view surround mountain incredible . appreciate Nevada unless get away Las Vegas . also hotel 12 mile , , Red Rocks awesome . also , big point gamble slot , etc . , mean nothing we . bartender great . downside , hotel registration give good direction not particular pleasant . housekeeper often frown . possibly much work . good tip help . parking valet smile happy help pool beautiful empty morning evening . casino smokey , be pretty much case anywhere would go . kid 13 16 love . book four day ( Expedia ) receive breakfast every morning . buffet average not expect get incredible meal . go elsewhere vacation strictly food . upscale restaurant ( Primo 's ) average service , good prime rib fabulous chicken . place teenager picky eater . think cost room service reasonable well . 
 Jun 26 2005 	 well pleased 	 stay suncoast june 12 thru 17 june 19 thru 21 , vegas numerous time stay strip hotel , time want hotel away hustle bustle strip find gem call suncoast . this hotel everything could fault way , staff friendly face like hotel , property clean room spotlessly clean wonderful view golf course , check give voucher free buffet breakfast awesome . hotel shuttle strip etc , use hire car stay . suncoast stay next time vegas . 
 Jun 12 2005 	 wonderful stay Suncoast ! 	 husband take week vacation Vegas - first part week stay strip ( TI ) , head Zion National Park day back Vegas . we stay later part trip Suncoast pleasantly surprised accommodation ! room BEAUTIFUL although room overlook rooftop casino , mind 100 degree + sun us closing blind day help keep room cool . I stay every hotel / casino strip Vegas ( favorite Rio Suites ) room similar size Rio . the food bad - pretty standard far buffet go . although 20 minute ride strip really nice away hustle bustle , yet hotel / casino offer many thing ! pool nice quite , compliant bar open stay , make stop store water take pool we . on last day , late flight allow we pay extra 1/2 day could check later even though totally book . I would highly recommend Suncoast would definitely stay ! 
 May 29 2005 	 4.5 5 : 15 Minutes Strip ; Rooms Outstand ; food - poor 	 suncoast nice , comfortable , friendly off - strip hotel . Part Coast Casinos ( affiliate Sam Boyd 's empire ) , clearly & quot ; class & quot ; already classy company . I arrive early , 9:30 Monday morning . though desk clerk bark bit early check - in , explain flight take 7 want least check - in baggage medicine could damage heat car trunk . suddenly okay . find perfect room third floor ( non - smoking ) , face golf course ( odd numbered room ) , foot elevator ice machine . what room ! , end two queen bed . amenity - two comfortable bed ; three telephone ( one next toilet ) ; 18 & quot ; tv ( bit small , apparently remedied new hotel open next year , Southcoast .. plasma widescreen ) ; nice chair ottoman , dining table three chair roller bottom , write desk . coffee maker , travel web site say . instead , Seattle 's good coffee stand short walk across casino room . price reasonable ( think Starbucks ) , think coffee far superior Starbucks ( not taste burn like 's ) .You hit jackpot bathroom , oatmeal soap , milk honey hand soap , shampoo , conditioner , hand lotion , mouthwash something else can not quite remember . AC get cold , even 100 degree day ( transition week -- start low 80 F finish 101 F ) . foul taste smell water ... nice . plenty towel plus washcloth . telephone next toilet intrigue . would really busy guy gal use one . have afraid person end phone would hear flush bad . not get people talk cell phone sit stall public restroom . yet hear important , life - alter conversation one , ? downstair casino nice choice gaming . everything be available , include old slot machine like ( three wheel kind actually know ' ve ) . be 18 screen movie theater , see Star war : Revenge Sith . several restaurant . eat Cafe . Skip Porterhouse steak , friend . special , shoe leather supple . breakfast St. Tropez Buffet pretty bland pedestrian . thing smell tasted freezer burn . be get incredibly complete fitness center look almost complete 24 Hour Fitness ' ve ever see . thing not free weight . towel plenty Sierra Spring water dispenser cool partche body , workout . three tv ( much big screen room ) keep divert sweating . be even panic button somebody get ill accident . room 2nd floor , executive office also locate . sadly , not look like anybody use . sure not 10 morning . sad , sad . around corner fitness center exit pool area . wow ! , nice quiet . mean quiet ! hot tub olympic sized pool , separate area . plenty shade , . not Tropicana 's & quot ; Island & quot ; mega - pool would find strip hotel , wet soothe , nice new - ageish music play . maybe 10 people . will take hundred surround garish , loud pool day . the distance strip bad think . difficult time get strip morning afternoon rush hour , 7 - 9 4 - 6 pm . whatever , not use Tropicana time -- ongoing construction continue 2005 . generally , take half - hour get back forth rush hour . rest time , drive 15 - 20 minute town surface street . either drive Charleston via Summerlin Hwy , connect 15 Freeway . find take equal time , scenery Charleston Sahara interesting . also lot construction go moment Charleston Tropicana along Alta Dr ( Alta street front hotel ) . want get Tropicana ( also way , way much construction go , year 's end ) , go Alta Dr Charleston , turn left , take cross street right strip mall Barnes Noble . cut much time cuss trip . so friend , afraid stay Suncoast , especially be business trip . away strip actually pleasant experience . 's 15 minute away , Suncoast also shuttle Barbary Coast , right Flamingo LV Blvd . get even without car . all - in - all , give 4.25 5 . food good restaurant Station Casinos , especially Sunset Station , would rate 5 around . hotel 5 . food 2.a week get home bill arrive . nice promotion material new hotel , Southcoast , open early 2006 . also enclose two , generous coupon 20 % next visit suncoast $ 20 credit restaurant . wow ! , indeed , classy place good management excellent marketing . certianly come back . I ' ve also post picture room , view , fitness center , pool area . enjoy ! good regard good LUCK ! 
 May 10 2005 	 Far Strip Nice 	 stay sister hotel ... basically , New Years , various hotel close Strip book . suncoast staff helpful & amp ; friendly , even flight delay reschedule shuttle pick - up airport -- -use ! suncoast far airport free save money . the room bathroom clean spacious . buffet downstairs decent . downside , , distance Strip . shuttle times convenient , especially want spend night town . cab fare Strip hotel cost we around $ 30 . , keep mind . hope help ! 
 May 8 2005 	 First Time Strip 	 first time stay hotel away Strip . room suncoast large Vegas hotel . room large window great view golf course ajacent hotel . hotel friendly staff . problem room next lagre air conditiione unit service entire hotel make room sound jet airplane continue rumble never stop . depend sensitive one noise , could make stay miserable especially try sleep . hotel run shuttle Strip , dependant schedule . not look far map drive Suncoast Strip definate hassle traffic . overall , nice hotel room away air conditioning unit would note negative say probabley would stay . room rate nothing special distance strip make difference . 
 May 2 2005 	 room without view 	 even - number room third floor look onto casino roof view block hotel 's faux facade . aside view sky distant mountain , nothing see debris accumulate casino roof . the & quot ; front desk & quot ; one side casino , elevator room . gas mask would helpful crossing smoke fill space , fill senior puff away spend Social Security benefit . the coffee shop offer $ 1.95 & quot ; graveyard special & quot ; breakfast , would indeed send graveyard eat regularly . it be possible walk good market ( Von 's , Whole Foods ) , Barnes noble bookstore , interesting restaurant ( Kona Grill , PF Chang 's , even Roy 's ) be adventurous type . everything else interest long drive away . 
 Apr 12 2005 	 Great Vacation ! 	 stay Suncoast 03/25/05 04/01/05 . 14 year old daughter us want stay strip . suncoast perfect . rent car travel strip elsewhere problem . room large keep spotlessly clean . restaurant good , eat place also . pool area great , practically time year . staff helpful polite . view room beautiful . not go golf course look great . lot new shopping restaurant opportunity area North Las Vegas . mile Red Rock Canyon , spectacular . daughter love picture take , perfect spot . thing would recommend hotel put refrigerator room . , great trip would definitely stay suncoast ! P.S . make sure go Liberace Museum . 's great fun . husband reluctant go , really like car . Hoover Dam must . almost exactly 20 year since last . change . certainly one amazing thing ever see . 
 Apr 7 2005 	 beautiful place -- - 	 stay property 3/27 - 4/4 . room nice , large , double sink bath , separate shower / toilet area . room service good price quite reasonable . great little Mexican Rest./ Area arround property golf orient . close mountain . complaint shuttle driver seem leave little early ( miss twice ) 1st time go Caesars see CELINE taxi $ 30 . , either set watch ahead get shuttle area 10 - 15 minute early . like away bustle strip Casino really pack local . nice waitress outfit see ( LOL ) . plus , movie theater bowling alley . , would definately stay . 
 Feb 19 2005 	 Far Strip great local joint 	 stay boyfriend last year around Thanksgiving . think good stay . room spacious . get use hot tub gym facility . pretty decent . clean . be look fancy not stay . 's good basic hotel . food decent . dinner 24 hour cafe . would probably eat dinner elsewhere . breakfast buffet pretty good price . cheap . early bird breakfast special amazing early still night . 's bowling alley movie - plex 's non - gambling thing . not stay want go strip not car . need car stay . would stay access car want stay somewhere bit cheap . 
 Jan 12 2005 	 love suncoast 	 beautiful room view golf course . little way worth drive . restaurant great food movie theatre resort . good security ! would definately recommend Suncoast . 
 Nov 26 2004 	 Great Place ! 	 stay golf three day great time ! room fourth floor overlook golf course . could sit couch look thru & quot ; wall windows & quot ; watch golfer . bed great . 6 ' 2 hubby love shower , massage high . St tropez buffet excellent . oyster bar great . service great every . stay Golden Nugget weekend , room big nice . back ! 
 Nov 21 2004 	 Great Hotel .... 	 nice Hotel quiet comfortable room . inadvertantly leave camera room check noon phone ask ( 3 pm check time ) supposedly go check room tell camera . also , one else check room time . would seem dishonest employee ....... careful belonging ! ! ! ! ! ! ! 
 Oct 29 2004 	 good Stay LasVegas 	 go LasVegas medical appointment book room Suncoast Hotel & amp ; Casino . triedalot different hotel LasVegas . theroom service exemplary . we hear absolutely noise nightand find stay enjoyable . wechose use room service werequite tired food excellent andagain service good hotel stay . theview golf course bea - utiful . stay although short wasmost enjoyable relaxing ; notwant go home , like pamperedfeele . sure return again . b . Walton & amp ; J. Winsor 
 Oct 14 2004 	 wonderful stay 	 stay suncoast business week . great time . room good size bed LARGE comfortable . like restroom . double sink ( be , nice ) . thing would ask change shuttle times strip . come little often . great stay , would come back another stay ! 
 Oct 2 2004 	 another great stay suncoast 	 third stay Suncoast . wife love stay . hotel good distance strip , bad thing . room clean large . price fair . buffet great , especially breakfast . tired long line check , wait buffet try Suncoast . 
 Sep 29 2004 	 great Diversion 	 wife stay Sept 22 - to-26 . 11th trip Vegas 10 - year , good trip date . stay place like Rio , Paris , Cessars , Golden Nugget , MGM . Suncoast imo beat . relief hustle bustle strip . traffic , 10 - minute check , treat like someone special , wife break even slot , push shove get around casino . I go Vegas play golf blackjack . place hit bull - eye , right next two excellent course Bad Lands Angel Fire . plenty low limit Black Jack table knowledgeable courteous dealer . food ok , location resort near well upscale restaurant Vegas . strip 10 - minute drive away must experience , nice return reality back Suncoast . return place every time come back Vegas 
 Sep 14 2004 	 little piece heaven 	 husband home 2 week R & amp ; R Army Iraq . speak w/ reservation book give we nice discount . get , early - like 10:00am , put we well available . room middle 6th floor . stay w/ 8/15 - 8/19 . woke sun rise golf course sunset canyon .... breath fresh air ! also love fact away strip . stay strip 2 night really kind appaule whole atmosphere place . thankful serenity Suncoast bring . slot LOT loose strip bid table game much low . ( blackjack start .50 cent ! ) recommend place everyone stay . oh - .99 cent breakfast great . 
 Sep 8 2004 	 far away ................. 	 stay Suncoast Aug 30- Sept. 2 , 2004.everythe aspect hotel excellent , check breeze 10 min top . Clerk put we 9th floor overlook golfcourse . Bellman bring bag promptly make sure adequate amout towel ect . hotel surround upscale nieghborhood , several shopping center plenty eat choice . favorite P.F.Changs Cheesecake Factory within 5 min . hotel . $ 2 min crap $ 3 b.j . available along $ 5 single deck BJ . us lowroller type . compe several meal stay . note bit strip we plus . Less noise , trafffic kid . probley new homebase twice yaer vegas trip . 
 Sep 4 2004 	 Suncoast make error pay . 	 receive great comp offer month , thought would give Suncoast another chance , even though take favorite machine . day receive great comp , sign place casino & quot ; computer error , & quot ; would honor comp send . think honor inasmuch error , would show fantastic pr admit error , would go ahead honor month . not care local ..... 
 Aug 30 2004 	 really nice place 	 nice place stay . 
 Aug 12 2004 	 great ! ! 	 room large , clean , ceiling floor window look golf course . food buffet average . give coupon book great discount food everything else . casino smokey . great place stay , will deffinitely stay . 
