Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Mar 16 2009 	 Total Lack Service 	 choose Roosevelt weekend trip great location reasonable rate . totally unprepared complete lack service . unlike anything ' ve ever experience . arrive taxi doorman anyone entrance hotel take bag . carry short flight stairs lobby check . offer service bellman accompany room help bag . room small , especially bathroom , adequate . 3 night stay , contact hotel staff turn hair dryer light room go . call desk hotel maintenance worker arrive fairly promptly remedy situation explain someone next room use hair dryer time ! problem HOTEL use hair dryer morning uncommon thing ! overall would say location outstanding , hotel ok , staff totally disintereste . 
 Mar 15 2009 	 horrible 	 Problems Roosevelt Hotel New York City : 2:20 front desk call & amp ; say complaint Tv loud . tell woman mistake Tv asleep hour . sis 62 & amp ; 64 yrs . old . she say warning happen security call knock door . explain mistaken rude continue threaten . go lobby one ask mananger man come phone hbis hand . I make complaint night mananger day manager next day . I tell would get back one ever . able go back sleep night tired .We several day one ever contact we . leave 3/01 fill comment card explain incident . hear anything allfrom Hotel . wake we us middle night something , threaten we . we awake rest night . it terrible costly experiance . quite scarry . room small fine . tv good . view window claimed & quot ; view & quot ; inside hotel look airconditione unit wall hotel . 
 Mar 13 2009 	 Great NYC hotel business traveler 	 grand old hotel . room partially renovate large clean NY room . hotel large lobby busy bar restaurant . location great meeting - near many large banking finance company . price , one well deal ny business traveler . 
 Mar 13 2009 	 Rude Staff 	 day stay hotel without problem , incident Wendy receptionist so - call manager enough say employee would never stay Roosevelt hotel.- Wendy Receptionist rude bare call colleague name matching room number computer . room register one name.- rude people try reach room phone , ' gangsta ' attitude ! - & quot ; -manager & quot ; tell would press charge person stay room name not , say stay illegally hotel 4 night . shocked ! fill form upon arrival ! - receive well service budget hotel around world include 3rd world country.- unbelievable . 
 Mar 11 2009 	 great location shabby place 	 really well locate central Manhattan desperate need refurb , fact simply look shabby . room stay extremely cramp noisy ( although fair , expect Manhattan ! ) .It not unpleasant not ruin holiday , would expect lot well money 
 Mar 10 2009 	 amazing experience 	 amazing enter lobby charm . Checkin do quickly without problem friendly staff member . get room 9th floor face 46th street . room big 32 & quot ; flatscreen wonderful comfortable king size bed . suspect upgrade room pay & quot ; cozy room queen size bed & quot ; room much . bathroom big clean . decor bit worn room everything sparkle clean . room clean every day sheet / towel change time . fitness room 2nd floor nice clean everyday . also fresh fruit available . use restaurant roomservice price seem little bit expensive side , due hotel excellent location lot cafe reataurant nearby . general staff friendly many smile general knowledge hotel offering ( like webzone etc ) impressive . Checkin do quickly fuzz store luggage couple hour bellboy friendly helpful also pick luggage . concern aircondition . kinda old bit noisy . fortunately necessary use stay . spend 8 night hotel enjoy every minute . 
 Mar 7 2009 	 good hotel superb clean fantastic location tick box 	 ( 2 good mate ) stay end Jan Feb lovely hotel . arrive see amazing lobby breathtaking make feel bit special . the check - in lady really lovely tell 30th birthday upgrade we king suite free ! ask $ 100 deposit breakage get back damage do . the room give 14th floor view office not bother not ! room greet we clean , tastefully decorate two double bed ! one ! bed soooo comfy peace quiet apart hum traffic honking taxi horns- NYC ! bathroom decent shower / bath provide complimentary toiletry , fluffy white towel hair dryer ! cable tv decent 37 ' plasma tv watch . criticism tea / coffee make facility fill bucket ice keep drink cold - use buy big carton orange juice stick ice we ! vend machine fizzy drink would not waste money . you get room service expensive . Madison Bar hotel serve variety alcohol , cocktails coffee etc . warn expensive splashing - well worth ! cocktail around $ 15 ! would highly recommend hotel - tip yellow cab JFK airport $ 45 + tip toll - money get limo ( $ 55 ) airport hotel ultimate way spend last hour glorious city - position excellent times square , empire state , rockerfeller centre , broadway , central park generally everywhere - stay visit call home home 
 Mar 4 2009 	 amazing 	 get great deal , amazing hotel . great location ! ! service ok , room nice . even small NYC room usually . Got upgrade free arrival . stay 8 night . negative thing hotel airport transfer expensive . bed comfy ! ! love old , real ny feeling ! 
 Mar 3 2009 	 good hotel great location 	 stay 2 night attend conference . room small furnishing bit worn ( new flat screen tv ) , everything clean good working order . unlike other , able manage climate control , though take time . staff efficient , somewhat diffident . location excellent anything Midtown . would definitely stay business travel . 
 Mar 3 2009 	 disappoint 	 want treat one & quot ; Grand Dames & quot ; NYC Hotels . lobbyand restaurant beautiful , rest hotel disappointment . check 3:00 , leave bag . 's everything fall apart . send 3 different place leave bag . disorganize . long line . like airport . never go thru hotel . arrive evening , one get bag . Front desk call bell hop insist bring room instead wait . guess ? bring tiny , warm room , stand stare tip ( job ... late ) . 
 Mar 2 2009 	 hotel great simply love 	 boyfriend spend 5 day Roosevelt thoroughly enjoy . location perfect room size ok we not anything complain . room always clean sheet fresh crisp . bathroom also clean whilst small fine we . may add bed soooo comfortable proceed change bed soon come back holiday could long bear think sleep less Roosevelt standard type bed could write whole lot bed ... tv nice wide range tv show , movie , news tv . hotel food nice though little expensive would definitely recommend Roosevelt hotel family friend fact next time ' m NYC will probably go back . 
 Feb 28 2009 	 Superb hotel great location 	 partner stay Roosevelt hotel New York city 5 day valentine weekend 2009 . arrived greet friendly staff willing help . checked upgrade well room free charge couple well room spare . tehotel staff polite willing help porter helpful give yu advice need . the hotel modern whole appearence fantastic . room great huge bed everything need room . maidskept room clean tidy daily basis anyway intrusive . thre wide choice room service option require . we could ask well locate hotel , Roosevelt well situate central park Rockefella centre anything else would wish see / do whilst stay NYC short walk/ Taxi ride away good bar deli 's close . grand central station 200yards hotel commute hotel make easy indeed . would highly recommend Gordon Ramsay 's & quot ; Maze & quot ; restauant London Hotel , less informal dining & quot ; Eamon 's bar grill & quot ; 2 min walk hotel . hotel good restaurant ad shop open much day . thoroughly impressed stay Roosevelt hotel would happily return decide go back NYC . would highly recommend tis hotel anyone plan visit NYC . think hotel atmoshpere , staff performance room service quality one good hotel stay outside UK . 
 Feb 24 2009 	 good value clean comfortable 	 husband 's 2nd stay Roosevelt . previously stay new year 's eve 2007 - 2008 get upgrade king minisuite . time not lucky , room nice anyway . 9th floor bit street noise Friday afternoon quiet Saturday . clean decently sized NYC , bed comfortable . towel thick water pressure shower great . get special deal include free breakfast voucher dining room . food adequate , good choice hot dish egg , bacon , sausage , waffle , pancake , usual cereal , bagel , toast , juice coffee . not tell charge $ 12 gratuity use voucher ... leave cash tip table . oh well . also , hotel charge internet service , , price room , think free . regardless , location great , staff friendly would definitely stay . 
 Feb 23 2009 	 great value location 	 yes , cozy queen really small true many hotel room NYC . room nicely appoint , comfortable bed , bathroom recently remodel -- quite nice . lobby great , good bar find staff helpful . window open feel important room orient interior block high floor relatively quiet ( NYC ) . may get upgrade , always reasonable ask quiet room window open . Tip , not lug bag stair upon arrival , walk around right hall elevator . can not say enough location -- favorite hotel area city get everywhere quickly easily . stay week would definitely stay . 
 Feb 23 2009 	 Great Hotel ! ! ! ! ! 	 perfect hotel absolute perfect location ( 1.5 block Grand Central Station 5 block Times Square ) . staff friendly helpful everything take care bag recommend restaurant make reservation . room lack size , make comfort cleanliness . would definitely stay problem recommend Roosevelt anyone think go NYC . 
 Feb 23 2009 	 Great Hotel - Great Location 	 great hotel real good location . Stayed gf 4 night great value money deal Expedia . ( precious bad experience ) . room nice clean roomy . noisy though 11th floor . nice helpful staff arrival , one member staff rude othe great . arrange limo return ...... ( take change change arrival airport ) .TIP : do not take lift outside airport unmarke car guy ahnge around arrival . Guy drive Gf 's handbag do not return . take Yellow Cab note cab number case . cheaper either 
 Feb 22 2009 	 great anniversary ! 	 book trip Priceline pay $ 115 night ( cozy queen ) . call ask king bed say would mark reservation request . check tell anniversary upgrade we again . we big , clean comfortable king room 11th floor . location perfect nice doorman get us cab need one . happy tip feel obligate pressure so . wonderful trip . Anne 
 Feb 21 2009 	 New York 	 would highly recommend hotel afford - since ' Maid Manhattan ' ( star J - Lo ) film understand become quite expensive stay . however , fantastic location adjacent Grand Central Station within easy walk distance Broadway , Times Square direction , Central Park . travel hotel beautifully decorate Christmas . never eat hotel can not comment food use adjacent deli breakfast good & amp ; great fun - price base weight plate full ! fabulous hotel ; tasteful , elegant comfortable . old style grandeur without stuffy truly contribute New York experience . 
 Feb 20 2009 	 upgrade ! ! ! reason ! ! ! 	 girlfriend visit roosevelt 3 night valentine . get front desk upgrade king superior room . bed MASSIVE ! nice room clean plasma screen . bathroom little date bath shallow top drain bath low , decent bath water run time , though , least hot . apart room nice little time spend room comfortable . lobby amazing , nice classic marble gold effect nice bar , however beer lemonade $ 11 ( little expensive ) hotel . overall love roosevelt would definately stay . btw position fantastic- 5th Ave 1 min walk , grand central 30 sec walk , times square 10 min walk . great ! ! ! 
 Feb 16 2009 	 great location ok price 	 hotelbook.com sell rate $ 149.00 ( tax service ) quite good rate . two night business schedule ( weather ) not get go much . say , hotel fabulous location easy walk Saks 5th Avenue , stone throw Grand Central Station . grand old hotel might see 's day generally nice feel . check - in quick efficient corner room allocate nice . bed well supply pillow etc old slanting / tired mattress see many hotel day , spoil chance good sleep . bathroom ok shower curtain get way decent shower . ( hotel still unhealthy thing ? ) . room service good , tad pricey ( WiFi access ) fault time venture many eat place around hotel . huge old style NY hotel certainly see good 's day , give fab location . want independent hotel air grace great place city - give Roosevelt think . 
 Feb 15 2009 	 Love Roosevelt Hotel 	 boyfriend book Roosevelt great deal Expedia website , pay around £ 700 queen room ( name ' cosy queen ' - petite big enough ) eight night . think excellent value money . we arrive around 3 pm greet friendly doorman . check quickly slightly frosty member staff , joke relax even give we useful tip - call home expensive room could buy inexpensive calling card nearby drugstore . we show room , say compact nice . decent size build - in wardrobe dressing table . chest drawer bite pain keep stuff suitcase . one thing amuse we instal nice large flatscreen tv , wiring joke ! hub bolt middle wall wire everywhere . the bathroom clean bath / shower , look little dated compare hotel . the good thing room bed ! comfiest bed either we ever sleep - firm soft time 's possible ? ! room great base hotel well place next Grand Central Station able pop back day want , rest and/or romantic interlude .... hotel well place quick walk Times Square , reasonable stroll Central Park , minute metro Grand Central . we struggle start find nice place breakfast eventually find Pershing Square delicious breakfast - recommend egg benedict - Central Cafe salad sesame chicken good . beware though - buffet stone cold ! criticism have doorman little mercenary . tip $ 2 $ 3 every interaction involve someone carry bag - bad consider distance usually 3 foot ! obvious compare note good tipper , store bag last day couple hour , doorman get $ 2 , go collect guy get reluctant help put outside door storage cupboard make effort help we take front hotel ! leave , go hail yellow taxi back JFK , cost flat fare $ 45 ( rise $ 60 factor $ 5 toll tunnel tip ) . doorman muscle practically bundle we hotel limousine , say flat fare $ 55 . hardly seem bargain guy not ask - telling . anyway , limo fine end pay $ 62 include tip , not much . incidentally driver take circuitous route avoid toll tunnel , save $ 5 . journey take little long result not problem we . all , stay enjoyable would definitely go back . 
 Feb 15 2009 	 good hotel great location 	 partner travel New York November 2008 decide stay Roosevelt Hotel reading review Trip Advisor . check - in process fast easy , people reception desk friendly helpful . room stay good condition , big , small neither . bed good , bathroom ok clean . location great , within walk distance Central Station , 5th Avenue Times Square . downside : price drink bar , food restaurant . well eat drink outside hotel . 
 Feb 14 2009 	 convenient typical old NY hotel 	 good thing Roosevelt location right midtown . convenient Grand Central , Rockefeller Center , Times Square etc . room tiny would expect . window face fire escape . could hardly put suitcase room without trip everything . bed good though , comfy . bathroom okay , room put 2 toilet bag . lift terrible . wait 10 minute least . lot people enter via basement slow everything . 12th floor honestly be well walk burden case . busy July could not expect anything else . room service patchy . issue , not expect resolve phone . save trouble go lobby sort there . lobby overcrowd nowhere sit . People queue place park wait service concierge . , July know , be see hotel bad . staff seem inured chaos . concierge good hand , know everything ticket , restaurant , subway etc . also aircrew hotel sometimes couple crew check front . can not imagine frustrating must stay , though . would not want stay couple night . stay week , bite bullet find apartment hotel condo short stay . stay tiny room week partner would murder probably . bottom line : standard old NY hotel . great location tourist . reasonably price . not expect anything special . 
 Feb 11 2009 	 great location fault 	 daughter stay Roosevelt weekend Feb.6 - 8 . trip surprise celebrate birthday . see 2 show alot shopping location perfect . able take airtrain subway JFK 5th Ave/53rd St. stop walk 8 blocks- easy ( 50 minute ) . also two block catch subway Grand Central go downtown . book hotel Expedia get rate 118 ( include taxis ) , choose ! room booked & quot ; cozy queen & quot ; upgrade king upon arrival . room 7th floor view interior ( reduce noise night , although quiet area midtown ) . room not big sleep . coffee maker Blake Todds across street great breakfast coffee . bathroom small tub not drain well manage fine . room not clean Saturday even though go 9:30 5:00 . since 2 night not concern , not feel bad leave tip maid . concierge hold bag Sunday we charge . stay Parc Central , Warwick , Intercontinental , Wellington price perfect . would much rather money pocket spend thing city . 
 Feb 11 2009 	 Excellent ! 	 hotel absolutely brilliant ! nervous initially review little negative . check prompt friendly , although 21st birthday think going offer upgrade , realise booked expedia . difference make ? ? ? ? do not know ! room give lovely 12th floor far far away lift soooo quiet . however take earplug incase . bed linen bathroom clean really good size . first time New York , location important hotel perfect place ! walk EVERYWHERE get cab airport . obviously need reasonably good shape work well we . do not seem probem staff expect tip , however make sure carry lot $ 1 bill , otherwise may find give $ 5 guy carry 2 bag three stair like ! ! 
 Feb 10 2009 	 around bad experience 	 travel NY several time stay many different class hotel , say Roosevelt first time ever unpleasantly surprised condition property , relative pay . short review : recommended plan pay via debit card , gorgeous lobby , RUDE staff , filthy guest area , cramp room , break equipment ( window , A / c , etc . ) , ask directly tip nearly everyone hotel staff , worth price . full review : & quot ; get pay & quot ; go double Manhattan , seeing pay $ 200 per night stay 5 day , expect much receive trip ( 2/5 - 2/9/2009 ) . say , may feel well stay outdated room pay lot less , still would not recommend hotel anyone base terrible service . it partially fault reading review book hotel , seem echo problem . think lot reviewer Trip Advisor must stay room ! pro : - location , proximity Grand Central / Midtown Manhattan- beautiful lobby- comfortable bedcon : - doormen pushy rude demand tip opening taxi door ( see happen people one person apologize not cash , doorman give direction near ATM tell shift hour ! ) - arcade ( shopping mall ) ground floor hotel close early evening close , elevator service 1st floor . climb / carry bag 2 flight stair . ( note traveler problem stair ) - offer assistance take luggage stair . , not problem since small bag , someone large luggage , would make several trips- front desk staff rude , right start . make reservation telephone , check look like make 2 reservation initially woman front desk want charge ' late cancellation fee ' need 2nd room . stand ground refuse pay , relent check . - plan use debit card payment initially unable hotel REQUIRES pre - authorization total room & amp ; tax amount plus $ 100 per day & quot ; incidentals & quot ; . case , $ 1400 , daily transaction limit debit card $ 500 , could not use . * * reason include & quot ; con & quot ; work travel industry many year currently travel 10 + time per year never see hotel require pre - auth total amount , plus incidental . typically , pre - auth 1 night room & amp ; tax guest right ability charge incidental & quot ; blocked & quot ; account ( mean can not use phone long distance , order pay - per - view , etc . ) . * * - due pre - authorization issue , use separate credit card & quot ; guarantee & quot ; make staggered payment every couple day debit card keep charge $ 500 [ bank 's policy , may problem people ] . however , time would make payment , front desk staff would act like difficult thing world . one woman even ask instead go bank withdraw cash could pay way not computer entry . not option , grudgingly make payment hostile end throw card counter walk away . ' ve never anyone give hard time give money ! - also , time make payment , woman tell , would pre - authorize separate hold would put credit card . time , would $ 1400 , regardless long already . , not problem , anyone else try thing , would need able charge $ 1400 x 3 ( number payment make debit card ) = $ 4200 . make sense one could explain it.- room problem : key reader door would work intermittently , need card swipe 15 - 20 time would read- room problem : A / c extremely noisy ( sound like jackhammer ) . also , A / c window , curtain keep open get cool air room.- room problem : dresser foot bed , 10 & quot ; mattress . pull suitcase space . also hit hip / leg sharp corner several times- room problem : bathtub would not hold water , drain seal break . low water pressure , take 20 minute fill bath tub ( drain stopper close 5 minute ) . - room problem : tv static , unable watch programs- call manager duty explain problem room scrutinize . justify need room change , told & quot ; room available & quot ; could check noon would need leave luggage bell desk would see could . room , would ready 4 pm might take smoking room.- point , want change hotel , cancellation policy 24 hour would already pay current day PLUS charge $ 75 fee cancel stay start . , never hear hotel.- Bellmen unhelpful pushy - man sit bell desk actually help anyone , instead would point stand someone else come along . man come eventually old man pronounce limp . obviously condition haul bag , carry ( set 3 stair ) closet bag store . give claim check , old man man desk hit tip , even though neither do anything whatsoever . feel obligated tip , since would back hour collect bag not want get & quot ; lost & quot ; closet.- Housekeeping staff need watch foul language . 2 housekeeping lady talk hall ( pass right next clearly see ) guest Disturb sign door say & quot ; [ - ] not want [ - ] room clean right [ - ] wait tomorrow ' m go [ - ] break ! & quot ; - get new room , even bad . basically downgrade small room aesthetic problem few functional one . a / c work , actually window unit poor patchwork seal . noise city pour curtain keep open feel air . card reader door spotty . - hallway filthy . edge rug vacuum long time -- dark green carpet show dust well . entire hallway smell like musty garbage.- room dingy dusty , well - clean . crown molding look horribly beat - up wallpaper peeling . - elevator slow rickety . feel fortunate not get trap ! - would nice : light hallway not bright . shine room night door peep hole lighten whole place . ( addition city light come window curtain can not close ) .- would nice : pillow option . pillow bed extra firm , end neck ache every morning . would ever stay . would not recommend anyone plan stay several day . tremendous deal , say $ 120 night , be day two , might fair trade hassle . staff really drag entire trip time . 
 Feb 10 2009 	 Rooms Basic 	 wife go conference come couple day later . room nice size amenity . coffee maker room . iron board never put away bed straighten , change . bath room small . separate vanity counter space . pedestal sink . good couple night long stay . 
 Feb 10 2009 	 Fab location 	 stay Roosevelt Hotel 2nd Feb till 7th Feb 2009 . get taxi JFK include toll come $ 50 . arrive hotel 4.30 - 5pm join small queue check . check really easy give name show photo ID ( passport ) need credit card authorise incidental . bank card hand nothing charge . book cozy room upgrade check superior room . sound good difference room slightly big 2 double bed . bed really comfy slightly small , big bed home could we . bathroom compact perfectly fine . hotel incredibly warm air nearly time get use . room 16th floor clean everyday fresh towel everyday . hotel ideal go explore New york everything within walk distance grand central station across road . not eat hotel although look nice eat cheap . time leave check involve we hand door key ask doorman order we car , get lincoln town car back JFK $ 60 include tip . 
 Feb 6 2009 	 hotel practice credit card fraud 	 stay 12 - 26 - 2008 Mid - Winter Special $ 209 include room breakfast buffet two . checkout bill correctly $ 209 + taxis . later credit card another $ 56 second charge . well ... several phone call hang rude staff ( everyone work miserable ) . charge another $ 56 breakfast already include . waste much time phone file Dispute AMEX take 2 month get money hassle . speak lady Pearl Accounting Dept ... return phone call basically liar . now think 2nd time happen .... think part routine 
 Feb 3 2009 	 fabulous location great hotel ! 	 partner stay 17th Jan week . perfect place stay ! drawback last day , store luggage , go get go airport , say & quot ; service free , however gratuatary tip often give & quot ; carry case one flight stair ( 3 total ) make feel uncomfortable rest lobby afterwards leave . anyway , dont LET PUT ...... hotel perfect location Times Square , Central Park , 5th Avenue , Bloomingdales , Macy 's main sight ! Times square 10 minute walk , walk slowly . walk 5th Ave central park 20 minute , 5 hour stop shop . Metlife build litterally accross road get Grand Central , , go main door hotel , straight accross road tiny entrance Grand Central ! ! would not notice unless next it . the room clean good size . nice plasma HD tv , new york spend room ? ? time recharge batterie camara leg . the maid friendly always say hello reception staff pleasent , know people ! ask high floor , get well view . view rockerfella . 
 Feb 2 2009 	 Positive : Location -- -- negative : staff 	 good thing hotel . location breakfast buffet terrific . will not rely subway taxi get anywhere . much within walking distance ... Minskoff Theater Lion King play , Times Square , Rockefeller Center , etc . lobby hotel jaw - dropping gorgeous . there be great pizza place 55 W. 45th St. call Little Italy pizza parlor . Delicious ! ! also good Irish Pub street . like New York hotel -- room small , even Superior room small Roosevelt bathroom uncomfortably cramp need renovation . despite many elevator , slow cramp full . be 6th 7th floor , prepare wait awhile ... 19 floor hotel . Food Room service good call something available , substitute something else . ' m picky eater , good meal especially price . perhaps disappointing thing Roosevelt Hotel staff . room size condition forgive , overall attitude people work . many people can not please ' m sure 's easy staff deal day day . however , believe people like , appreciate friendly greeting people actually take pride job place work . not see Roosevelt . even people work breakfast buffet ... although efficient , never smile seem miserable . Front desk service slow molasse organize . Bell hop busy chat amongst help unless be dress fur tip well . Maids hover rush ... ask check out . just read review ... comment January alone ..... & quot ; cranky door man , staff friendly , bad Customer service ever ! , staff helpful always bad mood . & quot ; whoever run show Roosevelt thank lucky star location , one thing hotel go . 
 Jan 26 2009 	 Ask want NYC hotel place tick every box . 	 get back 6 night glad book not listen negative review . ask want NYC hotel Roosevelt tick box . 1 ] location : not need use subway . place within walk distance major attraction . 2 ] safety : locate within busy area heart NY matter time always feel safe.3 ] room size : room fair ny everything generally small . use crash pad suit need completely.4 ] staff : generally pleasant . other complain cleaning staff find outstanding . also never get pressure leave room . not disturb sign leave room late make sure put please clean room sign leave . else staff know go ? 5 ] tipping : never feel pressured give tip . Staff ask require assistance obviously tip get help . not want help simply say . 
 Jan 26 2009 	 convenient location 	 first demerit hotel : room cleanup abit late daily though , wait til 3 pm room not clean yet . room pretty small ( lack space comfortably open luggage ) work table also small anything tiny laptop , use laptop bed time & amp ; eat room tedious . merit ( greatly overwhelm demerit opinion ) hotel great location ; could walk almost everywhere - empire State Building , Fifth Ave Shopping , Broadway . subway near well ( behind hotel ) decide head Guggenheim / Tokyo Met museum . 's korean supermarket / eatery open til late near need late snack / pizza ( pizza great ) , generally lively area safe walk around alone day / night . 
 Jan 25 2009 	 Decent Midtown Hotel 	 Roosevelt Hotel great look decently price hotel midtown Manhattan . good feature hotel obviously 's location 45th Street @ Madison Ave , stone 's throw Grand central station make public transport breeze . hotel room clean , bed extremely comfortable , size room decent NYC . minor , negative comment . feel though bathroom could use update not perfect condition clearly show age hotel . also , not seem many accessible electrical outlet , make plug multiple device difficult ( particularly two people staying room ) . overall hotel decent choice great location . 
 Jan 25 2009 	 bad place 	 stay 5 night . location hotel perfect . whole impression average : hall , lift room need refreshment . room rather small clean cosy . bed comfortable ( little bit soft ) . condition work well ( loudly ) . window look hotel ventilation system unpleasant also noisy even window clouse . 
 Jan 23 2009 	 great hotel location 	 Excellent hotel , great location . old classy reception . room stay bit worn , however hotel make plenty old charm . 
 Jan 23 2009 	 great location ! 	 stay 3 night would say ignore bad review . I fussy find hotel 2 clean staff helpful . we eat hotel price steep ! across road gr8 deli breakfast every day . would def stay . 
 Jan 18 2009 	 Great Find 	 stay Roosevelt three time . time , find good , affordable option visit New York . Roosevelt high - end luxury hotel . typical chain hotel . , room clean generally well - keep . tour Manhattan , location great . short walk number site close Grand Central Station public transportation . 
 Jan 16 2009 	 great outside poor inside 	 great position , heart midtown Manhattan , front Grand Central Station . great hall nice gym . really really small old room , bathroom awful . consider pay 220 $ per room per night . be aware ask tip to:1 ) take luggage street elevator2 ) take luggage elevator room3 ) take luggage inside deposit4 ) take luggage outside depositthis way much . 
 Jan 15 2009 	 unsatisfactory service 	 really excited go roosevelt night , stay one night , boyfriend . upon arrive queue 20 minute order check . alone would okay upon finally check around 7 pm tell room still ready . little choice matter leave bag concierge go dinner walk come back hour half later . one couple queue front we yet stand 30 minute time slowly queue build behind we , meanwhile 2 people reception one deal check in . make bad people walk pass queue staff reception serve people wait . anyway finally check find room want bath . loan behold bath plug airtight wait 10 minute water get hot run bath find shortly water drain . naturally call reception tell evening waiting would wait 30 - 45 minute someone come fix bath . man come go fix bath proceed run one find man fix problem anyway call another 15 minute bath fix . unfortunately point exhausted enjoy . overall seem roosevelt need efficient reduce waiting time last thing people want face travel . 
 Jan 15 2009 	 would not stay ... 	 boyfriend stay 5 night Christmas . book directly hotel website . luckily print confirmation go check , lady reception say book we be not another two day . show book confirmation 5 minute silence apology , give we key room . room tiny seem clean , bathroom also small clean . LOT dust curtain , do not think ever clean . air conditioner do not really work properly . room service food overprice . eat expensive . , hotel great location would not recommend would never stay . room way small staff never really friendly . 
 Jan 13 2009 	 Rooseveldt Hotel NYC 	 despite bad review get recently 17 year old daughter stay day Xmas 2008 . - quite like hardly tip anyone except bar etc.- ask ! bit run - down , old establishment . a week early stay two son neighbour Hyatt - new , elegant really different ! bathtub drain clog ! ~awjr 
 Jan 11 2009 	 bad Customer service ever ! 	 work Hotels past 4 year , ever dare behave Roosevelt Hotel employee , would got fire ! probably say enough stay ! addition , believe management poor : 4 diamond Hotels take one hour check baggage . ridiculous ! fun part share incredible nasty customer service story people Hotel . DON " GO ! 
 Jan 11 2009 	 get ready tip everyone ..... work 	 arrive get ready tip first porter opening door look forward tip , go check - inn fast room not ready early , not mind give luggage guy control luggae room- , ask money , pick luggage , leave routine , even book cab concierge pay tip , Greedy staff ............ room not bad ( half clean mind ) comftable bed , enter bathroom shock , 's room old sink curtuian middle room . good thing bout hotel '' central area manhattan , be quite area 's safe lobby nice look like 5 star hotel . price pay think overprice standard hotel pay around 350.00 dollar nightly .... 
 Jan 9 2009 	 nothing special 	 hello , New York holiday stay Roosevelt Hotel . definetly fresh hotel stay . everything seem old , dusty desperate need renevation . amount dust whiche room shocking . almost difficult breath bed . mention bathroom whiche problem remember Franklin Roosevelt . staff helpful always bad mood . room service expensive bad . food cold strange looking . 
 Jan 9 2009 	 great President / Bad Hotel 	 Priceline sell 31/2 * hotel . . heat could controled room . either ( hot ) ( cold ) . attempt open window point pull muscle walk around NY 4 day pain . window open . control heat . oh heater noisey . in order get toilet flush hold handle 10 second . the room door heavy door slam yiou careful guest . light sleeper , stay away .. charge $ 15 day internet . hotel free . the room decorate old style nothing attractive . one small trash ask another . I ask smelly shower curtain change leave mouth wash bottle give . sink , hide shower curtain , juts tub try adjust drain crack head sink . think demise . large bump . I ' m happy get alive . oh want cab one day ask door man stand taxi . say yes , stand . sake assist guest ? said & quot ; well lady not ask that . & quot ; control freak . get taxi lose tip . the loby nice front desk staff curteous . the concierge send we close restaurant . 
