absolute 	 travel , stay White Swan Inn , San Francisco , perfect . staff always extremely attentative helpful . hotel 's ambience surpass other . beautifully appoint room antique , fireplace lot extra ammenitie . inn centrally locate important SF site . everytime opportunity SF , always stay White Swan Inn . price value beat . honestly think thing would made stay well . 
 charming boutique hotel 	 wife spend 4 night attend conference . location excellent , minute Chinatown Gate Union Square . staff helpful friendly . multicourse hot breakfast pleasant surprise , usual muffin coffee . room comfortable , well appoint , fireplace welcome SF night cool foggy . would gladly stay again . PMM Michigan 
 Aug 21 2007 	 nice -- ( ! ! ) Quality Control Attention Detail need . 	 White Swan inn nice property locate convenient location -- ( ! ! ) -- need self - inspection quality control lose star diamond , assume , ' ve work earn long period time . my wife stay White Swan recent conference require attend . stay 2 night . front desk staff welcome we nicely although beware -- really bellman speak . person duty person sit front desk , require carry luggage front stairs lobby . nice guy front desk probably would assist luggage ask ... one ask place lot diamond star ? good review Trip Advisor publication award diamond star , decide stay property 's suite accomodation : Ashleigh Suite . nice , , beware -- certain thing know . living room part suite face front hotel , directly Bush Street ... ground level . be tad bit noisy bad -- not mind street noise . hotel air - condition would necessarily bad thing give San Francisco usually pretty cool , temperature - wise open window . however -- living room portion Ashleigh Suite , window open . close plexi - glass presumably thwart people break . theory , be great idea -- practice , way cool room outside air window not open . in bedroom portion Ashleigh Suite , window open , beware -- thing one know . bedroom portion face , essence , small courtyard . 's narrow courtyard room ( ground level Ashleigh Suite ) top floor face one another . 's really unexpected 's small , old building . -- narrow courtyard become disgusting pigeon sanctuary fill pigeon poop ; fight bird , white feather window sill constant cooing . can not get someone month wash garden hose ? can not something keep bird ? not need open window , non - issue . want fresh air room ( remember , A / c ) , expect everything connect pigeon . oh -- way -- cook come 5:30 get complimentary breakfast prepare hear Ashleigh Suite ... decide leave window open . almost room . guess kitchen must right Suite . ' m sure would lower voice call front desk , one call front desk something like place lot diamond star ? decor Ashleigh Suite nice beware -- be get tired worn soon , rather later , owner go perform overhaul . two lamp break fall apart turn . bedspread , new , nice -- be get old . bathroom ( two Ashleigh Suite 's basically two connect room ) clean still , feel age . new tile floor ? not get wrong . place nice . location outstanding . valet parking work fine . ( cost $ 34 per night wait 30 minute call car get -- ' manageable ) .The breakfast plentiful fresh fruit , pastry , quiche , sausage toast . pretty much thing everyday -- still , average ... include rate . the room refrigerator stock complimentary water soft drink . many place know ? afternoon wine cheese nice touch although , one night , serve green salad , thing . thing like green olive salad odd ... practical . still , though , be complimentary . there small patio main dining area -- -- lock inviting . the bottom line : good place , nice location , friendly people -- owner well start think quality control attention detail . & quot ; Quality control & quot ; & quot ; attention detail & quot ; , say do , factor help decide many diamond star . 
 Aug 20 2007 	 Great Inn Great Location Great Service ... 	 husband stay anniversary . book Luxury King room anniversary . decide White Swan read great review site . arrived greet warmly genlteman front desk . check quick efficient . present list local restaurant check find useful within short walk hotel . front desk great source suggestion type place want eat . nice surprise open door find bottle champagne , chocolate , balloon note welcome we . we really enjoy buffet breakfast morning , pleasure wake morning able go downstairs breakfast wait . normal continental breakfast B & amp ; B 's wonderful full breakfast assortment bake good , hot cereal quiche , fruit salad , scramble egg , sausage , ect .. coffee tea available time anytime . the evening wine hour also treat , many guest gather around fireplace chat day city . meet nice people visit world . the room clean cozy fireplace nice sit front long day sightseeing . understand room . good thing White Swan though staff , always willing answer question good make we feel could not enough we . would definately stay . 
 Aug 10 2007 	 Excellent boutique hotel 	 stay White Swan June 2007 think nice boutique style hotel . warmly greet entire staff accomodate . quite fussy bed , king bed comfortable good linen pillow . amenity also good - gas fireplace , old fashioned decent bathroom , mini fridge , generous breakfast serve downstairs . White Swan convenient see San Francisco give quality fairly price . 
 Aug 10 2007 	 's great place stay 	 husband stay White Swan Inn anniversary . stay la Petite Auberge ( hotel next door own company ) , book . front desk suggest try White Swan indeed room ! stay one night , hope return soon . get San Francisco late get lose , great folk front desk guide we right hotel trouble . room spacious cozy . bathrobe use fireplace ( one every room believe ) . get valet parking add price room , wholeheartedly recommend service . take care car anyone know , park SF horrible ! worry car great . let know need extra early morning wait we need it . the breakfast great . homemade bread , quiche , sausage , oatmeal , cereal , fresh fruit , coffee tea provide ( , ' m sure , could not try ) .The White Swan close lot place interest SF . 's hop chinatown close Union Square . really conveniently locate many thing . season visitor San Francisco , hear staff give great advice visitor recommend wonderful place visit . ask concierge history hotel extremely knowledgeable . I would recommend White Swan inn anyone . 's cozy , comfortable relaxing evening room . 
 Aug 4 2007 	 LOVED place ! 	 stay late July 2007 favorably impress entire experience . White Swan Inn choose base review post Trip Advisor . gracious folk front desk helpful whenever question . room ! beautiful -- spacious tastefully decorate . love gas fireplace turn evening . advise even middle summer , San Francisco chilly night ! breakfast buffet varied find fill . fresh fruit , pastry , cereal , egg flan , bacon , sausage ham , juice , coffee tea available morning . afternoon wine reception another perk . Friday evening , live music -- delightful guitar flute duo . also like fresh cookie around clock availability coffee tea . the location hill Union Square . trouble walk Square , Moscone ( Convention ) Center Curran Theatre see Jersey Boys . walk hill bit challenging would not recommend try negotiate luggage tow . however , go hill luggage problem walk several block Sunday morning get Powell St. BART station $ 6.35 trip Oakland Airport . way , take BART Powell St. hop taxi White Swan Inn . ( additional $ 10 include tip driver . ) hotel part Joie de Vivre chain California hotel . book White Swan Inn , would suggest join free Joie de Vivre Club , get point towards free amenity well choice gift upon arrival hotel . web search Joie de Vivre hotel quickly join Club online . ask preference , opt bottle red wine wait we open door room . I would go back White Swan Inn heartbeat ! 
 Jul 19 2007 	 european charm San Francisco 	 second time stay White Swan know expect . time book top floor king room . room huge city standard , separate dressing area extra sink area , large walk - in closet , bar area additional sink . bed comfortable room clean . addition complementary soft drink water , refrig . plenty room store anything else one might want keep chill . we find overall service good , maid good job keeping room clean front desk call cab provide direction ever go . valet help bag , we , issue . the breakfast definitely gourmet , adequate plentiful . like fact always coffee tea available nice wine hour . no , hotel spank new , claim . fact , be part charm . remind we high end , old european hotel . the bathroom huge , clean extra sink dress area make smallish bathroom . air conditioning , be really need . window easy open provide nice breeze , sure shut go sleep bar behind hotel get noisy closing . overall , nice experience thank good staff pleasant , even romantic surrounding . 
 Jul 15 2007 	 love chintz ! 	 see good review White Swan Inn receive Trip Advisor book two night start holiday . extend another night . fire room lovely touch nice able light flick switch bed able get lovely cosy room . room nicely decorate , clean , spacious even teddy bear sit bed ! small kitchen space contain small sink , fridge coffee make facility . complimentary drink fridge real plus . the inclusive continental breakfast describe & quot ; gourmet & quot ; hotel detail possibly exaggeration . although extensive , nice selection sausage , egg flan , cereal , fruit , porridge , pastry , toast , juice , tea coffee , serve character fill setting . plenty day siteseee . the thing would add stay would service front desk . problem stay feel slightly impersonal . the location perfect get one block away cablecar take Wharfs , Union Square . overall , next time visit San Francisco would happy return hotel recommend friend . 
 Jul 11 2007 	 nice place fun extra ! 	 husband stay 4 night begin May & amp ; actually hot weekend ! need conference Moscone convention center . walk time since hot take 7 - dollar cab ride conference day . street confuse hill way back hotel main city area super steep cause thigh calf burn ! anyways , take cab $ 40 airport get check promptly . room pretty big , big expect ! best part free mini - fridge room 2 coke , sprite , diet coke , bottle water - replace daily . bed queen , bathroom nice , white fluffy accent Aveda product really nice touch . hotel decorate old english style teddy bear everywhere . style fine . free cookie nice touch . we go free wine appetizer hour couple time , nice ! breakfast good . Quiche , cereal , bread , fruit offer daily . plus juice coffee tea offer . Better Holiday Inn continental breakfast , sure ! hotel like 7 - 8 block major shopping area convention center . walk hill big deal fact recommend it . I go beach one day . take BART friend live . recommend ! Fisherman 's W. totally touristy new chain non - chain restaurant . get crab cute fish market ... oh go Alcatraz well . nice tour . buy ticket online & amp ; advance . show sign sell follow 3 day ! overall , good trip . decent hotel fun little extras good price . can not remember exactly think pay around $ 175 night AAA discount . 
 Jul 11 2007 	 Real Charmer 	 description darle hotel hotel entirely accurate . cozy , comfortable place stay . room generously size feel like bedroom home cookie - cutter hotel room . bathroom adequate , dress room luxury . breakfast excellent . easy location . affordable valet parking great benefit . everything hotel promise truth . way , White Swan meet expecation . make exceed expectation caliber staff . 
 Jun 18 2007 	 great find SanFrancisco 	 love stay White Swan Inn . enjoy room plenty space comfortable furniture -- work fireplace . homey . bed comfortable . wine cheese hour give we opportunity mingle guest pleaant . the breakfast day reallyexcellent -- hot dish , fruit , pastry , cereal muffin . excellent . the room clean . small complaint bathroom -- spolessly clean , could use little updating . however consider build quite old , do wonderful rehab job . if stay think pleasantly surprise hotel friendly helpful stafff . Barbara Fuery 
 May 31 2007 	 fantastic place stay 	 mention pass travel agent trip San Francisco celebrate partner 's birthday still surprised ( delighted ) find birthday balloon , half bottle sparkle wine rather sweet Teddy bear wait greet we ! great place stay : central , helpful friendly staff , comfortable bed good breakfast . wine cheese reception give opportunity meet guest meet really nice people - want private plenty place sit read quietly . be new San Francisco restaurant recomendation helpful - great place within walking distance . can not really go wrong want experience stay small , welcoming , affordable , inn right centre beautiful city . 
 May 30 2007 	 hide gem Bay Area 	 originally book typical generic high rise hotel stay SF Memorial Day read aritcle quirky boutique hotel Bay Area . read Joie de Vivre chain hotel , instantly cancel previous reservation book one White Swan Inn decide neighborhood ( Nob Hill ) want stay in . I ' m sure anything could well regard stay . contact twice stay see special requirement way allow we store luggage charge entire day ( check noon , Red Eye ) .everythe hotel top notch . room huge even big bathroom . work gas fireplace room ( need apparently Memorial Day fall middle Winter SF ) , refrigerator stock soda water charge well free refill desire . every afternoon , wine cheese provide downstair lobby , nice breakfast buffet include rate . additional $ 5.00 per person , could breakfast deliver room . the weekend package purchase include parking , SF hotel high $ 50 / day , allow priviledge . the service provide staff well 5 star hotel ' ve stay . whether provide direction call restaurant let know would 10 minute late , happy always smile face . I would stay , service level jdv property , would stay . 
 May 29 2007 	 relax Accomodating - Nice Atmosphere 	 although stay one night , obvious great close convenient hide - away place interested stay close major downtown S. F. site point interest . room clean , spacious , well appoint - no upsetting surprize disappointment . can not beat fireplace unwind . well maintain old building yet age add character place . staff gracious welcoming . price right . definitely hope return someday . 
 May 20 2007 	 another Great Review ! 	 prefer Boutique Hotel experience compare namebrand , chain hotel White Swan Inn perfect example reason . great location San Francisco block Union Square F line cable car . staff superb attentive moment arrive . miss complimentary social hour upon check hotel employee offer glass wine room , nice fireplace . the room comfortable cozy could relaxed evening want enjoy city 's offering . can not say enough quality staff . everyone friendly , accomodate willing go & quot ; extra mile & quot ; kudo White Swan Inn success . 
 May 19 2007 	 little oasis 	 wonderful oasis heart Union Square district . enter front door would never know major city . quiet spacious room , friendly staff fabulous breakfast . 
 May 18 2007 	 Super Hotel Super Staff 	 stay weekend May . go limb book hotel comfort zone ( chain hotel ) . read review confident stay would enjoyable . even well expect . front desk staff super job recommede restaurant eat . plus hotel book full menu . room comfortable . like well stock fridge free soft drink water everyday . great able take couple water we day adventure . breakfast super , neat see staff come new dish everyday . think cool dish homemade fom freezer . Cinco de Mayo mexican style quiche . lobby different cookie everyday cookie jar , could easily frozen chocolate chop cookie . day different kind cookie ( russian tea ball , Lemon poppyseed , shortbread sort , oatmeal chip ) . location great , except one hill Powell street walk reach hotel BART . one complaint , usually love , water pressure shower strong actually hurt . love , would recomme hotel anyone want enjoy & quot ; different & quot ; hotel SF . 
 May 15 2007 	 White Swan Inn 	 stay White Swan night weekend . room top floor large nice fireplace 4 poster bed . bathroom little small , hotel character rather perfect dimension ! room nice , however feel tiny bit grubby - maybe nature old fitting furniture.e like room fridge stock free soft drink , inexpensive way make good impression ! breakfast wine reception free guest nice cosy area nice food / drink . the reason low score one night , 4 am domestic dispute neighbour become quite frightening . try call hotel reception noone answer phone . eventually police turn . least 2 hour could contact reception . concern another , serious incident hotel ? complain hotel manager explain receptionist neighbouring hotel help another guest time . say solution make receptionist mobile telephone future . hopefully noone else night like without assistance reception . all would recommend hotel like somewhere character . like gleam modern room place ! 
 may 10 2007 	 enjoy stay 	 wonderful stay White Swan Inn . location convenient Union Square , chinatown cable car . room lovely , clean quiet . enjoy breakfast , especially french toast one morning . staff pleasant helpful , though somewhat busy time . would definitely stay . much atmosphere small hotel like rather large chain . 
 May 2 2007 	 Standard Old Botique Hotel 	 think positive , negative , describe true . quaint , maybe quirky old hotel decent location . nicely decorate excellent personal service . breakfast good , although & quot ; hot & quot ; item lukewarm . bed comfortable . yes , fixture old , wood / tile floor old , 's rust bathroom . bug , not book . big complaint street noise second floor room . every hour , awake new sound : car horn , loud talk street , arguing , garbage truck , tire skid , etc . write hotel recommend get dual pan window . hotel reply ask high floor . , kind place , either wear excellent earplug night get high floor possible . 
 Mar 14 2007 	 wonderful romantic inn 	 friendly , romantic little getaway inn , convenient Union Square . find accommodation charming comfortable , nice fireplace , lovely breakfast . 
 Mar 6 2007 	 wonderful people great accomodation 	 Hotel right heart Nob Hill . warm inviting . people meet breakfast afternoon Wine Cheese Hour return guest . staff helpful . muich pleasant stay impersonal chain hotel . feel saferknowe someone know leave expect return . theymade trip San Francisco friend wedding seem special . 
 Mar 3 2007 	 Home Away home 	 second time stay ! immediately feel come home ! warm jar fresh baked cookie entry way . give hearty welcome , check room 5 hour early , enjoy wonderful breakfast downstairs charming entertainment area , warm glow fire several fireplace . room sparkle clean quite comfortable . stay 3 night could stay month . staff terrific accomodating ! love ! 
 Feb 13 2007 	 pleasant 	 nice little place . large , comfortable room , pleasant common area . fireplace galore . actual reading room ( book , fireplace - get picture ) . could stand update point 's issue . seek modern chic luxury , want pleasant retreat city reasonable price ( San Francisco ) consider . 
 Dec 30 2006 	 Great overall 	 lot research decide stay San Francisco , happy choice White Swan Inn . small , quiet , romantic , beautifully decorate , breakfast great . staff helpful , location ideally situate Nob Hill Union Square . the negative : cold , heat room . get space heater front desk . bathroom door would not close ( usual quirk old building ) . big gripe cold room central air heat . would stay . scream kid like get hotel near Fisherman 's Wharf , noise bad several block Union Square . definitely romantic couple decent price . 
 Dec 13 2006 	 Friendly Staff 	 husband stay two night conference St. Francis . hotel quaintness area breakfast wine cheese hour cute . elevator always work . room good size bathroom mold around tile tub . good sized dressing room however . fireplace great room nice romantic feel . Mattress little firm husband note faint mothball smell ( ) . short walk Union Sqare although steep one . nice touch complimentay soft drink , water , split champagne room . think good value stay somewhere else next time . 
 Dec 11 2006 	 great location 	 great place stay , staff great knowledge area . room wonderful cozy . breakfeast afternoon wine appitizer good . close cable car stop . highley recommend stay . 
 Oct 6 2006 	 superb stay 	 start 3 week tour USA six night stay thewhite Swan . everything breakfast evening nibble wine superb . the concierge , Brendan , helpful , room clean . I hesitation recommend hotel anybody . 
 Sep 23 2006 	 traveler beware 	 cute place - convenient location . really look forward quite time . hope quickly eliminate early hour first morning White Swan . awoke think construction go room we . ask desk tell we family two child stay . tell noise say would take care . child noise continue throughout stay . nothing kid - . start jump around 6 am somewhat bothersom .... especially be pay top $ $ pleasure complaint totally ignore front desk . next time will stay somewhere else . Winner - Honolulu , HI 
 Aug 15 2006 	 White Swan great ! 	 see generally positive review site , wife decide stay part honeymoon please . want stay cute , unique boutique kind hotel big hotel chain exactly get . will try break review make helpful.1 . Room & amp ; Decor : stay Luxury King Room top floor find great deal . like old world , european kind charm room definitely . like antique style furniture , wood floor entry , little nook fridge , separate vanity area walk - in closet , fireplace , comforter , soft linen , etc . plenty big . like mention , decor like old european feel , look stay room hotel chain ; be like hilton , marriott , etc . be definitely modern . -- small boutique hotel , tower 's neighboring building ; therefore , offer much view . top floor able see top several tall bulding it.2 . cleanliness : generally pleased . yes , old place bathroom sparkle new ; old tub , toilet , etc . even carpet old vaccume regularly . definitely clean hygenic . wife not mind expect old , never problem cleanliness . not give place white glove test nothing stand time there.3 . service : great service entire trip . turn service offer every night , linen towel change promptly request , etc . even refuse turn - down service still offer we chocolate . -- first night bellboy ( think 's ) notice VCR room immediately go get one . -- front desk probably get tired question restaurant direction ask polite answer one . give great suggestion place eat ( Cafe Claude , Mama 's , Kate 's Kitchen , etc . ) contrary experience , call cab we right away need last day . guess depend there . -- book room ask front desk anything honeymooner tell would try something . not expect anything gracious champagne , chocolate , teddy bear wait . 4 . a / c : book hotel room call bunch boutique non - boutique hotel ask question . surprised find boutique style hotel not A / c . bit nervous problem ( begin July ) . window open actually cold night . maybe top floor breeze nice steady time , actually cold . google climate SF find Aug Sept hotter Jun / Jul , guess go good time , especially heat wave pass through.5 . location : towards nob hill , 10 min walk Union Square ( shopping , public transportation almost anywhere SF ) , 5 min walk Powell St ( catch cable car , will take public transport lot suggest get pass , otherwise be like $ 5 ride , totally worth we ) , 10 min China town . since nob hill , walk anywhere mean go up / down hill . not mind hate walk up / down hill might you . -- away union square never problem beggar people think might mug . see crazy look people every , never bother we everything ' ve hear , trouble tenderloin district side Union square . actually see quite college aged kid walk around area . 6 . breakfast : really enjoy breakfast , although well breakfast hotel . offer variety slice fruit ( melon , etc . ) standard fruit ( apple , banana , etc . ) . always hot oatmeal . also quiche . hot recently bring one time , guess good timing . see people would complain cold quiche . last slice think sit . not well still taste right . also offer variety cold cereal , orange juice , coffee , etc . usually sort breakfast meat well , usually sausage sausage patty . , item great hot , sometimes sit while.7 . Cookie Jar : first come go small flight stair front desk , cookie jar armoir top stair . usually stock great cookie / other baked good everynight come back sort dessert sit jar , like bundt cake , lemon bar , etc . needless say love get little treat time come back.8 . elevator : yes , elevator old elevator ; one close outer slide door inner gate order work . go back old world , european thing . love think cutest thing ( decorate well never problem work ; remember close door exit ) . however , be look something modern might place you . ok long review time . overall great experience ; like room , great service , would definitely go back , especially get great deal . like ' ve say , be want old , antique kind experience . want modern , great hotel SF ' m sure will love . 
 Aug 7 2006 	 great inn within walking distance everything 	 stay White swan Inn 2 night first week August . inn cozy . parking right front valet get parking package discount rate . ask 30 minute window bring car around . problem plan ahead . inn could use bell hop one bag not huge deal we . 5th floor room . view still great room . decor floral AC really not need . ceiling fan would nice touch . room even come complete teddy bear available purchase momento . mornign breakfast good - usually quice well cereal toast . evening wine reception nice touch complete cheese cracker . study area breakfast wine reception dark quiet nice decor . would recommend inn . 
 Jul 5 2006 	 Great Honeymoon 	 first stop honeymoon great place stay . centrally locate Union Sq able see San Francisco . walk Chinatown , Northbeach Waterfront/ service housekeeping bell boy awesome front desk bit pissy ( would not call we cab ! ! ! ) fabulous service otherwise . the breakfast always yummy spread fresh fruit we watch weight appreciate . would stay agian . 
 Jun 21 2006 	 great deal San Francisco 	 great little hotel every respect:1 . location : heart town Union Square , Chinatown Nob Hill ; 2 . facility : great little hotel stunning room ; 3 . service : friendly people full breakfast cocktail hour include room charge4 : price : hard beat $ 169 per night . wonderful time . certainly stay . 
 Jun 15 2006 	 cup tea 	 maybe known , maybe . property air conditioning . probably problem 300 day year . city warm spell visit , lack A / C render guest room public room uncomfortably warm . the staff seem stretch thin visit . afternoon reception , cheese not put till halfway . white wine match warmth common area . breakfast next morning , quiche even remotely warm , much less hot . since one replace empty , barely enough second one four we get couple bite anyway . we long intrigue property . maybe hit bad day . 
 Jun 5 2006 	 1st time San Francisco 	 spend 6 day 5 night White Swan Inn . choose B & amp ; b also fireplace room . not much view alright we . room decent size . bed comfortable . problem sleep . complaint would tub . let us say not & quot ; SQUEAKY & quot ; clean . size bathroom fine though . breakfast every morning good convenient , especially day rent car drive Muir wood Napa Valley . able breakfast early 7 am walk block pick rental car . also like evening wine service . able meet hotel guest talk go see . really like location hotel . easy walk distance China Town , car rental , cable car Niketown / shopping . problem lift . hotel staff nice friendly helpful suggesting restaurant sightseeing locale . all , nice place stay . 
 May 22 2006 	 okay top choice 	 stay White Swan Petite Auberge , sister property , past , several year . quite disappointed recent stay , especially compare last stay , still & quot ; 4 Sisters Inn . & quot ; staff vary indifferent excellent . room attractive dusty bathroom especially ( corner , towel bar , etc . ) . turndown service one 3 night . noisy bed sag middle . the morning breakfast good , & quot ; like use be . & quot ; next time will stay somewhere else . 
 may 12 2006 	 excellent place stay ! 	 love place . town convention easy walk Moscone . also convenient bus cable car . breakfast awesome every day : fresh fruit , oatmeal , banana bread muffin scratch , egg dish . love happy hour pm wine snack . would definitely stay next time SF . 
 Apr 20 2006 	 romantic ! ! 	 husband go back San Francisco 28th wedding anniversary , stay White Swan Inn . find online research book room . disappointed ! little gem perfect want intimacy romance . centrally locate , within walk distace many site . room beautiful work gas fireplace , shelf line wonderful old book browse read . along adorable teddy bear prop pillow bed . room also nice separate area small refrigerator , sink coffemaker . the wine social afternoon delightful , guest seem much enjoy chat , sip wine , taste hor douvresand getting know other . the thing would make small hotel well would bellman ready help time call cab , luggage anything else may require . concierge would nice plus . ' ve stay boutique hotel San Francisco Concierge , be extremely helpful . we highly recommend charming amd romantic boutique hotel anyone want hustle bustle large chain hotel . 
 Apr 18 2006 	 enjoyable quirky definately English ! 	 choose White Swan want avoid another bland american hotel , certainly get something different ! room large comfortable , although bathroom small date fitting . the corridor reception decorate style charactured & quot ; Olde England & quot ; , & quot ; .. tribute luxury hotel England . & quot ; like provincial hotel France . the lounge salon area comfortable great place meet guest especially wine cheese 5 pm , sumptuous breakfast . enable we get good recommendation . the staff helpful . 
 Apr 15 2006 	 Excellent Service ! ! ! 	 boyfriend recently first vacation together N. California . San Francisco stay White Swan . really wish hotel trip could match service quality White Swan . Bell boy ( Andy ? ) excellent enthusiastic give we recommendation . also great location ; hotel close cable car union square . would definitely recommend place friend family . 
 Apr 4 2006 	 wonderful time 	 patronize White Swan Inn couple year stay Inn pleasant . time , however , certain feature need update ; particular , bathroom . fortunate extra dressing area help tremendously . enjoy quaintness Inn . like convenience shopping area within walking distance . complimentary breakfast wine / cheese amenity wonderful feature -- thank ! look forward another pleasant stay future . 
 Mar 30 2006 	 way know San Fran 	 wife visit White Swan Inn San Francisco 2 anniversary . love City , love explore guide , Rick Evans , provide Inn . treat . lucky opportunity introduce San Francisco care enthusistic person . hope return chance meet Rick . GilDallas , Tx 
 Mar 30 2006 	 Fabulous 	 hotel much offer , location ( 2 block cable car ) , room romantic fireplace poster bed , staff always help , breakfast incredible nothing like ' ve ever , afternoon wine reception , total package . well yet come , tour Rick Golden Gate Greeter program . 3 incridible hour someone love city show we place sure one ever see tour . travel US , Mexico , Europe Israel never experience learn much could not wait get back part 2 . 
 Mar 16 2006 	 Wonderful b 	 stay Room 56 , fifth ( top ) floor , look back building . ' m complain -- make quiet room , ambiance reasonably sunny , like mine shaft . spacious room decorate English flower print plaid ; gas - fire fireplace easy use ; housekeeping spotless ; coffee - maker fridge make easy do - it - yourself snack ; Aveda toiletry . antique elevator seem sound . short walk Union Square , neighborhood decently safe ( city ! . ) staff helpful direction , anything request . the complimentary breakfast excellent minor flaw ( hope fix , suggestion . ) cook good , assortment nice baked good , fruit , bread cereal . hot dish would excellent serve piece keep hot . , cook know baked egg dish , meat , potato serve avery morning , hotel need invest well electric chafing serve piece justice . nice complimentary wine hor d'ouevres cocktail time . the lounge area comfortable , nicely decorate , people spread . nice weather , table wall - garden area would pleasant . while stay San Francisco many time , enjoy property , would easily stay , depend locational need plan . a small sunlit room treadmill , recombinant bike , tv , walk around not enough . 
 Feb 6 2006 	 great stay White Swan Inn 	 wife stay White Swan Inn one week vacation sightseeing . enjoy stay thoroughly . staff exceptionally courteous helpful . room ( deluxe king ) roomy comfortable charming romantic fireplace gas log . breakfast plentiful hot cold dish . morning treat substantial enough last good part day . evening wine cheese presentation delightful , conversation guest . quirky cage elevator times charming – time madden guest forgot close gate - like door , thus make elevator inoperable . would recommend hotel without hesitation . situate perfectly Union Square , Chinatown , public transportation . unfamiliar San Francisco , sure ask front desk hotel ' list 20 " Guide Sheets . " quite helpful get orient area . 
 Jan 21 2006 	 WONDERFUL BOUTIQUE HOTEL 	 sister return three - night stay White Swan Inn , love ! room spacious , fireplace room lovely extra . breakfast buffet delicious , thoroughly enjoy afternoon wine hour . be walk , could not well location . 's half - way Nob Hill Union Square , China Town easy walk , public transportation close . sink bathroom little counter space - could barely fit toiletry , second person would big trouble . sister 's room , right next door , lot counter space , bathroom . definitely stay , would recommend friend . decor definitely victorian - think lot wallpaper floral / stripe / etc . print , be look soothe zen room , not . sister sure like ! 
 Jan 4 2006 	 love White Swan 	 enjoy wonderful hospitality thischarming B & amp ; B downtown San Francisco . their wine cheese reception thefull cook breakfast buffet top offa comfortable night 's stay queensuite fireplace . we would highly recommend B & amp ; b itsoverall quality , ease transit , walk distance shopping restaurant plus affordability . 
 Dec 7 2005 	 thing keep mind ... 	 like White Swan , will stay . find feature cite other nice , e.g. , breakfast , happy - hour , etc . but spite glow report , thing remember . first , White Swan boutique hotel ; 4 star hotel ( fact , call 3 star ) . accordingly , decor particularly high standard , e.g. , bed quality one would find Hyatt even Marriott . I stay Room 41 front , friend stay Room 55 towards back . room large , bathroom tiny . mean tiny ; sink area small could get shoulder square front sink . bathtub also narrow standard US tub mean shower stand bit sideways . bathroom also could use thorough cleaning ( hair wall behind door bit black mold grow tile tub surround ) . say , not spend great deal time bathroom . our room minor problem . one lamp miss bulb , fireplace keep go , toilet function properly . report front desk , bulb replace problem address 3 day stay . morning departure toilet give good - oh , poor room clean ! major problem noise , basic traffic , garbage truck early morning . soundproof window cost much understand hotel invest least window front . report guest back noise much problem . 
 Nov 15 2005 	 find ! 	 wonderful place great service pleasing , homey feel . fireplace romantic , room huge bathroom clean ' ve ever see . People go way thing we . free cookie , free pop , free breakfast free wine cheese reception . chocolate pillow add charm . ' ve stay Pan Pacific Palace SF White Swan beat hand atmosphere service . Dave Helen back ! 
 Nov 7 2005 	 nice place - poor service 	 good location , nice room excellent breakfast . small bathroom . know way around SF , ' bad place stay . ' look assistance service front desk , stay somewhere else . get friendly helpful service ' normally get B & amp ; b . maybe bad week , find Nevin arrogant extremely rude . day shift ' much help either . 
 Sep 18 2005 	 Wonderful b 	 friend get back San Francisco stay @ White Swan Inn Monday Friday . wonderful stay . inn homey comfortable . Nevin ( work front desk evening ) fantastic whole staff . breakfast morning excellent wine & amp ; cheese hour evening nice . give we chance meet guest mingle . room clean comfortable . enjoy complimentary bottle champagne box chocolate provide evening . would definitely stay encourage . Thank 's Inn help make vacation enjoyable . Jill & amp ; Joy Tampa Florida 
 Sep 14 2005 	 home away home 	 husband book long weekend San Francisco search internet city hotel , choose White Swan location amenity note advertisement . fact stay two additional day . disappointed . little gem place heart city . great location , quiet neighborhood street , safe . wonderfully attentive staff , friendly yet professional . take care request even provide surprise birthday gift wine deliver room ( chocolate balloon ) . room sunny , nicely sized , comfortable furnishing , arm chair fireplace loveseat window . bed linen super comfy . lovely gas fireplace . tuck away little alcove coffee , refrig . stock complimentary drink . wet bar . bath clean well sized nice marble vanity . charming lobby ( jar freshly bake homemade cookie everyday ) . excellent breakfast every morning , main salon downstairs . area spacious cozy , set like several drawing room country manor . also two outside garden area lovely , hard believe city sitting . evening wine cheese social nice , allow meet guest , compare outing find point interest . highly recommend charming establishment . future trip San Francisco always include stay White Swan . 
 Jul 21 2005 	 Staff make difference ! 	 return stay White Swan Inn , San Francisco . the room warm inviting , , find staff extremely friendly , courtious helpful . answer question , go beyond ! side note , amenity excellent . we look forward return White Swan Inn ! 
 Jul 17 2005 	 European Feel 	 return 2 night lovely hotel . like stay small hotel Europe . enjoy everything location . breakfast fun accomodation fourth floor room nice . location quiet , close shopping cable car . 
 Jul 7 2005 	 Fabulous White Swan Inn 	 Wonderfull Inn , awsome decorate , large room good breakfast ( include rate ) could ask . downstair living room spacious well appoint , free soda , water , wine cheese daily . could not ask nice hotel staff . close everything San Francisco reasonable rate . must go inn wife return . could not ask well . 
 Jul 5 2005 	 wonderful Bed 	 family recently stay White Swan five night . deluxe king deluxe twin room . room spacious , nicely decorate , pleasant come back end day . hotel new building every comfort want . breakfast terrific . front desk give we list recommend restaurant check , offer help reservation . hotel convenient touring city , really enjoy it . in look small hotel great location , lot character , would recommend White Swan . one caution might good place elderly person . elevator small sometimes wait . use stair time , fine we . 
