great 	 wife stay honeymoon . want comfortable luxury hotel close Mag . Mile . able get Corner King 21st floor . great view . plus - amazing bed - the shower lavish - hotel staff helpful - Breakfast ( free make reservation online ) delicious filling - Location ( near Mag Mile Whole Foods around corner easy snack ) -mp3 docking station nice add on - the gym sufficient quick workout - the Spa helpful massage feel wonderful alot walk around Chicago wife enjoy manicure facial . minus -The second floor entrance slight problem nothing can not handle - the ceiling much look at - the spa price higher use seem inline downtown Chicago . see not alot negative thing say Dana . service great , view wonderful amenity lavish . would recommend hotel young couple hip famile visit Chicago leisure 
 Nice 	 Dana excellent hotel heart downtown Chicago . ultra modern styling personalize friendly staff . 
 Oct 28 2008 	 return dana HOTEL SPA ! 	 boyfriend recently stay Dana Hotel . recommend colleague 's friend live Chicago first time Chicago . moment arrive , moment leave treat guest stay . 's obvious pride customer service anything need ( like toothpaste ! ! ) take care quickly . door man , bell hop , even hotess restaurant downstair would hold conversation we opon enter exiting building . knowledgeable area recommend great place eat , sight see , go night . hotel locate close Mag Mile ... walk back , think 's 4 block ? 's also locate great area near alot restaurant place go . stayed & quot ; Serene King & quot ; amazing . corner room floor ceiling window view great . never feel like stay hotel , rather really nice upscale condo . everything room modern include show view bed pull curtain privacy . favorite part shower head literally head ... relaxing ! bed comfortable overstuff comforter . room romantic without try hard . night stay Dana go & quot ; Vertigo Lounge & quot ; either go close evening . music chill relaxing , put dancing mood seat pretty comfortable . like sit nice living room great view , dim light . not go onto & quot ; outside patio & quot ; little cold outside . walk check Spa ... look really nice . not anything do , promise return definitely ! also nice workout area equipment ' ve never see lol ! also not get chance eat restaurant , night seem pretty busy . , boyfriend LOVED Dana Hotel enjoy stay . recommend hotel anyone visit Chicago . plan return early 2009 . hope help future travel Chicago ! : ) 
 Oct 21 2008 	 good hotel town 	 Excellent hidden hotel especially couple , well comfortable bedding lot ofpillow , modern room , good shower whole world . very clean room bathroom 
 Oct 15 2008 	 Quirky Hotel 	 Dana quirky . mostly good way , bad . background : friend college - age stay interview . never really feel like staff recognize us guest -- nobody ever open front door we one night almost not let we upstairs ( weekend night ) not room key . upon arrival , take elevator lobby ground floor . get bit annoying walk up / down stair every time , be nothing worth complain , something note . check - in pretty seamless , get room ( cozy king ) , perfect size we . room nice -- nice bed , nice tv , beautiful bathroom , balcony . small 4 - star room , not exorbitant price match , perfect location nearby magnificent mile train ( though nearby food leave something desire ) . careful though -- wood floor slippery ! turn service chocolate cover fortune cookie -- nice ! , would stay hotel . seem bizarre pretty hip hotel not really cater crowd , businessman / retire couple category . 
 Oct 9 2008 	 first - time Boutique Hotel stay 	 Chicago friend 's 60th birthday select Dana location ( also part air / hotel package Expedia ) . say never stay & quot ; Boutique Hotel & quot ; find whole experience wonderful ! staff excellent attentive sincere way . get room , heating / cool register work properly . quick phone call downstairs register adjust remote location . hotel locate red line CTA . two block Mag Mile . love location . eat restaurant ( AjaSteak ) nice continental breakfast one morning ( include fresh fruit , cereal , coffee , fruit juice , oatmeal , yogurt , bagel pastry ) free . the staff remember name would great we personally lobby see . overall excellent experience . 
 Sep 24 2008 	 2 Thumbs season ( cynical ) traveller ! 	 stay Dana business , Sept. 17 19 . travel quite lot business ( 1 - 2 trip per month ) - become resign low expectation - bed bug mold seem like 4 star luxury . but say blow away service , room , comfort Dana . sure , new hotel , still work kink ... & quot ; new & quot ; bedside table deliver first night . , trivial . bed comfortable , room fantastic . also add , get courtesy upgrade nirvana suite - pleasant surprise beautiful room . , staff comfort make stay . continental breakfast lounge pleasant ( tasty ) surprise . european - usually find US.I ' m surprised review list staff rude unfriendly . certainly experience .... pleasant , kind attentive - check - in , room service , concierge , housekeeping doorman . interact make feel welcome home . the Dana place will stay Chicago . 's first . usually , will take cheapest good enough thing find priceline . Dana - worth extra cost , ' m sure gem get discover , get pricy ! - traveller know travel ( polite , reasonable expectation ) - adore place . remember -it open , expect kink . 
 Sep 22 2008 	 great hotel Great Locationl 	 overall experience great ! staff helpful . stay Serene King room . room average size king hotel room . bed excellent . bathroom small size shower large hotel shower unique . bathroom open bedroom nice curtain cover window . view office build large floor cele window really like . drink bar - on first floor ( kinda weird walk restarurant ) ok . Dana walk distance many great bar resturant . book online got & quot ; weekend package & quot ; include parking usually $ 40 + night $ 50 dollar fuel card , pay gas get chicago back . room come $ 303 . could get deal like back ! great experience 
 Sep 19 2008 	 completely ridiculous ! 	 stay serenity suite time around low price due poor experience previously Dana . want give one last shot write completely . say , put someone handicap accessible suite guest obviously handicap ridiculous . secondly , picture 800 % doctor website look glorious room actually look . website show stone seat shower area . bathroom include luxury . website also show privacy curtain window dividing bedroom living area . room curtain . room lot break lighting fixture , painter tape EVERYWHERE , yes be talk bright blue tape various wall throughout room . also include cost abandon LUNCH cooler balcony outside . room would normally cost upward $ 500 night . least run thru put guest room ? professional place . call front desk discuss issue , greet blatant rudeness . & quot ; well , see problem stay last time , time ? .. would like downgrade normal room . & quot ; friend never talk condescendingly . surely come back . ever . ' m sure Trump would provide high level service without obvious snobbery carelessness . positive note , complimentary breakfast downstairs main floor pretty nice spread . Delicious granola , fruit , bagel , etc . not pay hundred dollar bagel , ? 
 Sep 15 2008 	 Blah Blah DANA 	 far good . ok be feel room layout poor leave room corporate feel . unpainted ceiling not fit . shower nice unless ' ve already get nice one home . poor light entire room . sheet bed far W type quality end will not back urge head street elswhere . 
 Sep 15 2008 	 great stay Dana 	 wife & amp ; recently stay Dana Hotel & amp ; Spa 9 - 12 thru 9 - 14 fantastic experience . Chicago convention also anniversary . able check early Friday could go convention wife could go shop . upgrade Serenity suite fantastic . corner room balcony living room bedroom . beautiful wood floor , 2 37 & quot ; flat panel t.v 's big 2 person shower ever see . bed comfortable glass wall separate living room bedroom . sleek & amp ; modern , cozy . wine cooler , snack , robe , slipper , etc . drink sushi AJASteak . very cool . try restaurant Chicago dinner . complimentary continental breakfast morning . service impeccable ! ! genuine care without & quot ; palm & quot ; time . can not wait go back try spa Vertigo lounge open . travel country definetly make top 5 . go Dana . 
 Sep 2 2008 	 Super Chic 	 boyfriend stay hotel Labor Day weekend 3 night absolutely wonderful stay . stay one serene king room window lucke get corner room ! two full wall window fabulous view downtown Trump Tower . bed linen super comfortable definitely little sluggish get bed morning . complimentary breakfast downstairs morning , research Chicago hotel rareity . really can not say enough good thing . wish rooftop bar open , still construction will not open another 2 week . we dinner aja one night inexpensive definitely delicious . server fabulous , like every staff person hotel . take time sit patio enjoy ambiance . would definitely recommend hotel sure stay next trip ! 
 Aug 30 2008 	 Shhh ! 's still secret 	 sure small ultra modern taste . , go directly . stay room 1015 call & quot ; cozy king & quot ; . corner room . window tiny balcony , king bed , desk area , two low stool table , mini bar , closet bath . yes , drape waterfall shower control room side ... not bother . nice tv , phone sound system . clean tranquil . noise stay . staff exceptionally friendly helpful . Dana locate nice convenient area . book directly hotel good deal 6 day stay . would absolutely stay recommend anyone visit Chicago . not kid ( 8 9 ) we , would comfortable large room . one criticism must walk restaurant ground floor get room . though elevator behind restaurant reception area stair directly inside street entrace , separate entrance second floor hotel lobby . really like hotel wish could stayed long two day . 
 Aug 29 2008 	 wonderful hotel ! ! 	 husband stay read positive reivew online disappoint . staff without exception fabulous -- friendly helpful . room bedding view beverage snack offer unusally good . wonderful comfy robe room slipper bottle wine offer room ( reasonable price ! ) really good -- fairly fussy . room quiet decorate like W Hotel view great . remind W Hotel , small boutique hotel . location can not beat either . definitely go back ! 
 Aug 19 2008 	 love dana 	 o.k , start ? ? hotel grand . world traveller - mostly work . say , hotel surpass expectation . great stay . staff amaaaziie . you see yourself . you ask meet Kennedy . profesional charming guy , ever meet . dana definitely make good choice hire guy . his simply 5 star . also mention , style ! family can not stop talk experience . try spa.it luxury . promise family could stay every year . great Job guy . 
 Aug 12 2008 	 great stay Dana 	 husband stay Dana four night . love time Chicago thing stay Dana . the location AWESOME . 3 block Mag Mile , 3 block North River gallery district , 20 minute walk Milennium Park Art Institute , 10 minute Merchandise Mart , 1 minute Whole Foods , lot public transit option . the room modern nicely furnish , though small side . bed fantastic - large comfortable great linen . shower also amazing great showerhead ( want get one house ! ) also close bed , glass wall curtain control person outside bathroom . find strange , particulary since see whole bathroom wall . ( do not know , like business private ) staff friendly , need anything accomodate . however , like go kinda quietly find inquire tad much - think get ask stay go least 7 time first day . be not bad thing necessarily , depend preference . one last complaint - hotel noisy . do not mind city noise traffic , noise inside hotel grating . perhaps poor luck stay next couple yahoo love play loud bass music 1 am go room 18 time hour , something hotel do not seem cushion noise well . hear door closing hall ( door [ -- ] loud ! ) .I do not want end bad note really good time . leave cookies night . bathrobe slipper nice . coffee ( Green Mountain ) free good quality ready 3 minute . 's good place stay , would not spend $ 300 night stay . ( tip : find good rate travelocity call hotel give good rate guarantee discount 10 % , end stay $ 170 night well worth ) . 
 Jul 31 2008 	 terrific experience 	 stay Dana wonderful . spend night celebrate anniversary summer . live Chicago , suburb , familiar downtown watch progress Dana spring . service excellent ... friendly , professional , accomodating . room gorgeous ... modern cement ceiling great furnishing linen . location perfect ( opinion ) ... block away chaos shop Magnificent Mile , close enough walk time want ; close excellent resaurant bar . ' ve stay four / five star property city would recommend hotel ... fraction price . definitely book property . ( note : wish picture room website . worth see . ) 
 Jul 25 2008 	 5 star Dana Hotel 	 spend last weekend Dana Hotel & amp ; Spa mom sister glorious birthday weekend . room immaculate staff impeccable . new hotel , not sure would everything tip top shape say , incredibly impressed . use many amenity hotel include work room , spa restaurant . spa last minute decision rain opt stay . facial massage absolutely luxurious . feel like stay five star hotel . stay , make sure try Mr. Kites candy keep room case hungry . MMMMM delicious overprice minibar food ! oh pillow soft fluffy ! ! look , may want leave bed ! ! can not wait come back birthday weekend next year ! 
 Jul 21 2008 	 New Chicago Hot Spot 	 live Chicago , want stay downtown 5 - year anniversary . wife find hotel search online . walk lunch receive full tour room spa Sales Manager . brand new hotel open month ago , still midst finish . modern neat amenity room . great location towner look shop touristy activity . from moment arrive time leave , treat like king queen . Patrick bellhop take care we second walk car . need leave car downstairs check ( problem ) . give corner room , number 812 balcony face north ceiling floor window . room modern feel understand build form recycle material , include wood floor etc ... shower get , actually great water pressure window allow watch tv : ) . bed super comfy blackout shade allow we sleep ! chance visit bar restaurant plan , hop come back midnight . guess local go start make hot spot . also go spa , although look pretty nice tour ( lot tile thing make form recycle material ) .For $ 250 , value supreme service impeccable . would highly recommend anyone come town , even business ! 
 Jul 19 2008 	 great room - paint fume dealbreaker 	 3.0 rating reflect mixed experience - aspect qualify 5.0 , paint fume fact make 1.0.pro : great location ; extremely helpful friendly staff ; free wi - fi ; room beautifully appoint exciting design detail amazing picture window view ( balcony ) ; good coffee maker room complimentary coffee tea ; great bath product . con : exciting design detail try hard not work well practice ; poor sound - proof hallway street . big problem time visit hotel spank new ( 1 month old ) chemical fume paint , carpet , furniture etc . overwhelming cause we check prematurely first night . expect fume problem solve time , although A / c source air circulation , may take . air clear , hotel great choice be look modern , chic cool . 
 Nov 22 2009 	 Realmente un espacio para relajarse 
 Nov 13 2009 	 très bon rapport qualité prix 
 Oct 7 2009 	 Excellent hotel 
 Sep 16 2009 	 Hôtel idéal 
 Sep 10 2009 	 Originale e con Notevole Vista 
 Nov 14 2008 	 ottima esperienza 
