elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Apr 18 2008 	 room ok staff need training 	 recently stay Le Meridien business trip . problem hotel problem , staff member not even pretend care . someone ( staff ) knock repeatedly door 6:30 morning reason , apology . tell checkout , apology . ask wireless access lobby ( already promise pay ) , tell casually not work . point pay problem , one seem care . management need take close look teach staff least pretend like care guest . 
 Apr 14 2008 	 lovely hotel San Francisco 	 stay business Le Meridien month . conveniently locate business pleasure . room slide glass door open ( increase rarity ) view bay . fitness room well equip clean . I order room service breakfast - service great coffee piping hot . the good part stay luxurious bed , comforter sound soother . one good night sleep hotel room Le Meridien ! needless say , will back next time ' m SF . 
 Apr 9 2008 	 good get deal . 	 quite happy stay hotel . clean design well . pay less $ 200 night , regular rate normal season twice . would consider stay price right , normally charge , outrageous . would put quality Hotel Nikko , Orchard , Argent ( good , $ 200 ) . not look deal , look elsewhere ( like Fairmont , price similar ) . not find hotel anything special compare hotel stay city . say , good stay . room nice . location good . like walk , easy get Chinatown , North Beach , Embarcadero , etc . disagree poster state nowhere eat nearby . long willing walk 5 - 10 minute , reach 100 option ( Chinatown North Beach ) . stay , park across street Embarcadero one . be $ 30 24 hour . hotel charge $ 50 . weekend , find street parking free . make sure read sign know need move car . park Embarcadero . 
 Apr 8 2008 	 Gim break 	 guess reviewer stay version property stay , loud party next door cease distraction move 2 . also , renovation complete , feel free confirm , definitely still paint . kind sad location , exterior , set , everything other say true , 's staff , ask anything , toothpaste , shaving cream , help , direction draw map state California . could use quality control mostly , could use selectivity come party . ' m sure anything special property see other could think , could much well . 
 Apr 7 2008 	 Hip SF Hotel 	 stay suite nicely decorate big plasma tv center room could watch bed private living area . first nice suprise . pleasure stay hip luxury hotel . highly recommend hotel since 's central make cab fare moderate go different neighborhood . stay short not chance check bar hotel lobby , next time . 
 Apr 7 2008 	 Good Location Hotel 	 hotel locate convenient place.walk Embakardero China town.the people hotel warm . remember name check - in . 
 Apr 5 2008 	 Le Meridien - the good 	 travel extensively throughout US hotel 5 star area . good service , polite staff , quiet room , knowledgable concierge , comfortable bed , great spa product bath , good room view , great exercise area , nice pool , great restaurant superior service wine list . spend one day meeting accomodation locate quiet floor welcome staff . , not enough , superb location bay shopping ! hotel first list visit . 
 Apr 2 2008 	 Loved Loved place 	 look weekend get away SF find great deal hotel . booked room Expedia . accord , normal rate $ 500 + per night . get room $ 159.00 Saturday night . great place stay , clean , fresh , modern , excellent staff , room beautiful , nice flat screen , dvd player , stereo , perfect . complaint . location near Embarcadero Ferry Building . great location like walk around blend local . since weekend , restaurant near hotel close , fine since dinner evening plan elsewhere . another bonus , since near Bay Bridge side City , rather quiet night able sleep window open keep awake road / street noise ! new place stay weekend get aways SF . 
 Mar 29 2008 	 PERFECT every WAY 	 's reason like stay Starwood Hotels -- strive excellence meet expectation frequent Starwood hotel guest . Le Meridien Hotel exception . perfect hotel every way . staff extremely competent , helpful polite . stay business , also bring son . hotel provide babysitter ( licensed & amp ; bond ) absolute gem . upgrade studio suite king bed . gorgeous view bay . huge room , huge bathroom . every amenity could think . plenty room move around , even extra rollaway cot , iron board multiple computer . room service excellent , especially breakfast . great coffee . close everything . Valet quick . bed comfortable bed ever , never want get . restful sleep ever hotel . definitely stay . good hotel ' ve stay San Francisco . hotel rate 5 star deserve every star . 
 Mar 25 2008 	 Fabulous Hotel 	 beautiful hotel moment walk ! concierge lady nice , helpful . hallway carpeting smell new . guestroom 2 double bed , large sit area . gorgeous room , bathroom . not eat hotel . starbuck across street , Embaradero Center also across street . Center comprise 4 high rise building continuous walkway street level , outdoor entrance store eatery . area great . 30 minute walk Pier 39 , Union Square . financial district kind dead night . would not walk alone . overall fabulous weekend stay two daughter ! 
 Feb 28 2008 	 wonderful weekend getaway 	 beautiful hotel attention detail . moment drop car @ Valet breakfast restaurant check - out . housekeeping prompt request extra pillow . Room Service extremely efficient . nice touch complimenty coffee & amp ; tea lobby ! sound music elevator enjoy different , also enjoy music lobby . room perfect , spotless modern . bed dreamy . complimentry beauty product delicious & amp ; luxurious ( basil & amp ; lime body soap ! ) , granite bathroom everything need ( scale , hair dryer , magnifying mirror ! ) . Le Meridien first class operation well worth every $ . stay @ many hotel SF Le Meridien far good . easy , enjoyable relax start finish ! 
 Feb 27 2008 	 nice hotel good location great concierge 	 hotel room nice , typical . concierge desk really fantastic . always friendly great local advise . resturant lobby bar - special breakfast slow expensive . eat elsewhere really enjoy stay ! 
 Feb 21 2008 	 good hotel Financial District city 	 firstly , statement last reviewer comment Le Meridien Hotel San Francisco on - site gym incorrect . actually one good on - site gym feature hotel - a weight machine every body part , free weight every cardio machine think , mention open guest 24 hour day . daily gym - goer important always stay reason alone . far rest hotel , find service impeccable apparently concierge staff know fine knowledgeable city . room breathtaking view city bay extremely spacious . hotel implement art program provide complimentary pass Yerba Buena Arts Center guest check . nice , classy touch would say ! love hotel would recommend highly type traveler ! 
 Feb 18 2008 	 old business - hint french romance 	 wife live Bay Area stay Le Meridien SPG point single night get away kid bit . property recently take Le Meridien brand Starwood ( formerly Park Hyatt ) , hope Starwood would spruce place bit , consistent Le Meridien property . wrong . place pure business hotel , rather dark musty one . hint charm property . also , on - site gym - must travel ten block , although get use swanky Bay Club . nothing particularly awful , hope much hotel rating . 
 Feb 18 2008 	 comfy modern room ... 	 return weekend stay ( Feb 16 - 18 2008 ) . read review TripAdvisor , check hotel 's website discover running & quot ; sale & quot ; good select weekend 2008 . find room $ 150 ( + taxis ) decide jump opportunity weekend getaway . fly Oakland use airbart+bart system get SF ( cost $ 6.55 way ) . be convenient use either SFO Oakland get town ; highly recommend . pack light problem walk 3 block Embarcadero ( Montgomery ) BART station hotel . arrive hotel noon expect drop luggage , surprised find room ready check we early . room book sale 2 double bed , request King bed instead quickly accommodate . nice , easy process polite professional staff . room tastefully decorate modern , comfy furniture . nice bathroom , great - smell toiletry , nicely stock mini - bar expect pay 4 star price snack drink . for quick , inexpensive breakfast choice walk Embarcadero Center mall . keep walk check choice Ferry Building . the hotel locate financial district entertainment / night life immediate surround area non - existent , SF walk block will join hustle bustle city . the concierge helpful booking dinner Chaya . slight disappointment complimentary car service never available use . guess will try book way advance next time visit hotel . 
 Feb 14 2008 	 Loved Le Meridien ! ! 	 come SF NADA Convention , book vendor . pay $ 299 / not King room . bad price every hotel town book . arrive Thursday- early , key attend convention . graciously upgrade King room city bay view 23rd floor . ask room 2310 awesome view ! view encompass Trans America building , Coit tower , part Bay Bridge surround water city . well ! ! many thank front desk staff- Joshua . the room comfortable two us , husband . bed great - pillow / comforter , etc . contemporary , simple elegance decor . location get A+ . crowd , noise seem safe- always big factor we travel . Ferry Terminal quick walk - great ! several restaurant shop . take quick ride Muni tram ( $ 1.50 ) Ferry Terminal Fisherman 's Warf . fast easy . also take BART airport- easy . take cab BART stop hotel - short ride . save $ 45 dinner ! many great choice . love Ozumo 's Sushi ! concierge staff get a+ well . William stand professional manner , knowledge ability help every situation . always recommend perfect restaurant . multi - tasking , always give vip service . many thank William help . great asset hotel . Fitness Center also good . clean , neat . fresh towel , water , fruit . machine work . housekeeping staff even wash workout clothe free day ! eat one breakfast hotel 's Park Grill . food service excellent- A+ . downside charge $ 6.00 cup coffee . go Lobby get delicious free cup first . can not go wrong hotel . husband say home miss Le Meridien . rare statement come . not hesitate book . trip Advisor reviewer write right- be great ! 
 Feb 5 2008 	 find good price need saty 	 husband go short trip San Fran . want stay downtown find really good deal hotels.com hotel nice hotel stay long time . room big , great view Bay bridge coit tower . finial district pretty quite night . bar around also movie theater . hotel town car sercive drop we Fog city dinner walk back . woudl pay list price room get great room $ 170 . 
 Jan 19 2008 	 Felt like celebrity ! 	 find low rate Travelocity . Contacted Le Meridien directly get low rate , plus another 10 % . mention anniversary ask room one high floor . book junior suite $ 135 . arrive , find upgrade full King Suite 24th floor . room also jacuzzi tub . view bay beautiful . ( Ths $ 600 room ) concierge know name greet we name whenever enter lobby . location great easily walk Union Square pier . wonderful stay would love stay . 
 Jan 12 2008 	 well do ! 	 former Park Hyatt Hotel San Francisco . recently hotel change hand Le Meridien . 's perfect business location heart financial district near embarcadero . business traveler love location , however leisure traveler may find bit far heart city , thing like Union Square . the hotel 's lobby feel little cold . marble chrome seem little date little sterile cold . however staff great helpful warm cold lobby smile . the room nice , bit small side , nice amentie like cozy comforter great product bathroom . some room stunning view bay . lucky view look building could make bay . the service level good , personally like location little hussle bussle tourist mob . however think lobby date hotel could use make - over . this good choice San Francisco , first choice . 
 Jan 11 2008 	 absolutely wonderful ... 	 ( wife another couple ) choose hotel originally great deal receive . arrive , bellhop valet right ready offer assistance . check ask possibility get dvd player room , brief bit explaining would extra charge . however , explain tell book room dvd player would include rate , front desk immediately check unpacked bag instal . brief problem head room . open door greet plush , modern room nicely decorate . put stay top , make we awe hotel concierge . stop desk recommendation dinner finish concierge schedule reservation two restaurant , schedule hotel 's car take we pick we one evening , reschedule cancel Alcatraz tour . every restaurant recommend delicious . staff hotel rise beyond make stay wonderful . 
 Jan 5 2008 	 love hotel 	 stay Le Meridien chain lot never disappointed . one exception . beautiful room , marshmallow - like comfortable bed marble bathroom . staff also professional , courteous friendly . conveniently locate near Embarcadero Center , well - know taxi driver . 
 Jan 5 2008 	 wonderful Hotel- always enjoy stay 	 decide spend New Year 's SF . check many hotel site price , turn Hotwire see great room deal 4 1/2 star hotel , comment figure Le Meridian . frequent Park Hyatt customer , anxious return . well hotel , high quality standard . check quickly , nice room two slider opening view Bay Bridge Ferry Building Embarcadero office tower . nice big bathroom really comfortable bed . room spotless . bag deliver bell man , fill ice bucket leave we . contact concierge arrive help make brunch reservation , pleasure deal concierge staff- friendly , helpful , professional . would definately return property , relax return day city . 
 Jan 3 2008 	 highly recommend 	 place usually stay SF price right take chance boy surprise ! entire family love hotel , everyone go way help slight request location perfect walk Chinatown even Union Square ( nice 10 minute walk ) . room large bed comfortable . bathroom do marble nice , thing wish large tub soak walking day ! really enjoyed stay next trip SF . 
 Jan 3 2008 	 good ! 	 family stay 3 night , love thing dislike other . concierge great ! front desk staff lousy . wall also thin , could hear everything go next door . stay hit bottom check charge 3 night instead 2 . reserve room stay 2 night get 1 free package website . offer honor staff duty rude lazy , not want lift one finger help , basically refuse anything mistake . yell get manager reverse charge . Bottomline , would stay price . want find hotel well service . 
 Jan 3 2008 	 can not wait go back ! 	 little apprehensive financial district location weekend , visit Union Square area shopping , thankful peaceful place return to . the hotel good ' ve stay SF . rarely say , staff incredible . everyone aknowledge come go , concierge friendly helpful , press elevator button see come load package , etc . morning , coffee available lobby mid - morning , hot cider tea cake . ( learn later could request in - room coffee pot . ) room huge , SPG Gold , get bay view room $ 139 . bed incredible . not understand previous comment slide bathroom door . mind , get door completely way . I would go way stay SF . not want leave , can not wait go back . 
 Jan 1 2008 	 Fantastic Hotel 	 really enjoy stay hotel ; staff extremely friendly helpful along great location two block Wharf China Town . room clean bedding first class . would definitely stay . 
 Dec 27 2007 	 nice stay 	 stay Park Hyatt still great place stay SFO . studio suite separate living room separate awkwardly place tv credenza . clean , sophisticated , good deal well . return next trip San Francisco . 
 Dec 26 2007 	 vip treatment comfort value 	 great hotel , especially stay several day use & quot ; launch pad & quot ; destination city . the room exceedingly spacious , comfortable , feature lot nice amenity make feel home . mild criticism lighting could slightly well , internet connection price bit steep . room - facility whole - quiet , even hotel busier , feel though entire place . check - in check - out take less minute , outstanding . customer service impeccable - staff make sure address name - give guest feeling vip' . the neighborhood hotel situate heart Financial District , feel safe quiet . within easy walk distance transit cable car . would think plus travel family and/or child . all , highly recommend hotel , definitely stay . get price quite bargain San Francisco , customer service definitely reason compel return . 
 Dec 22 2007 	 Great Hotel 	 stay Le Meridien two night December . excellent experience . staff friendly , call wife name fromthe moment arrive . hotel modern decor clean . room spotless . bed comfortable clean . travel 9 - month - old always concerned cleanliness hotel . the hotel locate financial district , tend get quiet area business hour . starbuck right outside front door convenient , well SF Soup Compnay ( fast food ) right around corner . shopping area directly across street , appear cater working crowd close early . you walk Union Square ; however , cab ride hotel Westfield Nordstrom Center cost we $ 7 , recommend cab depend weather . overall , get room $ 129/ night Expedia money , highly recommend hotel . also kid / infant friendly . 
 Dec 9 2007 	 clean efficient good location 	 stay hotel 5 night service impeccable . newspaper doorstep morning near reception desk self service coffee table available guest . also need use hotel 's overnight dry cleaning service coat ready early morning . concierge also friendly helpful . location good although weekend may feel wee bit deserted . room spacious veranda view bay bridge magnificent . would expect , however , free use internet . 
 Nov 6 2007 	 average hotel service so - so 	 stay free night Le Meridien use SPG point . upon check - in , staff lukewarm well . friendly rude , indifferent . room clean quiet despite next elevator . take awhile bellhop deliver luggage help pick upon checkout . average stay . 
 Nov 4 2007 	 fantastic time 	 stay two night fantastic . room clean , concierge brilliant location great . would definately stay . 
 Nov 3 2007 	 great hotel business travel - avoid room end 06 	 Service would expect Starwood hotel - great ! staff gracious extremely helpful . top notch conceirge . even doorman excellent . also , starwood member , perk - get upgrade suite . fuss coffee maker room like burst java right get . perfect hotel business . hotel always full extremely quiet . please read follow closely light sleeper : stay room number end 06 . corner suites w / living room give fabulous view Coit tower Bay bridge ( sound like good ) , room also directly hotel 's parking garage ! middle night , hear beep , beep , beep - - garage sensor . 14th floor , maybe high would okay ? anyway , would not risk . call guest service , immediately relocate opposite corner & amp ; high floor , 24th . Suite room end 01 city view corner suite noise free . would stay travel business ? definitely . 06 room ! love location , comfortable bed top notch service . always variation room regardless stay , differenciate hotel other great customer service & amp ; respond issue , key good stay ! 
 Oct 29 2007 	 Great Location Nice Hotel 	 stay 3 day everything possible San Francisco great . course , great part get hotel $ 93 / night Priceline , hotel weekend go $ 469 / night . : - ) check , could tell problem . staff seem little stressed ( still pleasant ) people wait long time . show look scruffy , drive 9 hour coastal highway . guy help we pleasant professional . say overbooke , say have already purchase pay room . go back check manager , check we . one we ( : - ( ) get last standard room place . 2 couple we upgrade Suites ! $ 93 night . amazing . never balk give we room price . room nice clean . bed comfy . robe great . slide door bathroom plain stupid . like could open window get fresh air . could not hear street noise , business district weekend . not eat can not comment food . location excellent . block chinatown water . bad walk Fisherman 's Wharf . subway also block away . Embarcadero Center attach hotel via walk - way ; eat dinner one night park car . cheaper Valet convenient ! pay $ 30 day . we eat Elephant Castle across street fine . staff really pleasant , food ok . ( real british food , try ! ) overall would stay . 
 Oct 28 2007 	 excellent pricey 	 husband spend 7 night Le Meridien first leg honeymoon . choose Le Meridien wonderful experience one Budapest year ago good rating receive traveller . we book via American Express deal , buy two night get third free , book block make week . we arrive hotel approx 10 pm . check - in quick efficient staff pleasant . our room top floor corner get view city sea great . the room amazing . spotlessly clean . separate lounge area , bedroom bathroom absolutely massive . the king - sized bed really comfy probably good night sleep ' ve long time . plenty wardrobe drawer space . bathroom marble tile huge sink bath shower . toiletry nice . the room make every day . the hotel concierge helpful keen assist husband leave coat jumper back taxi . eventually get back . also supply large umbrella upon request cater rainy day Alcatraz . there little business room hide rear concierge desk would not otherwise know . inform English guest meet . ask use free internet use facility print out . a good thing notice towards end stay compimentary tea coffee serve one side entrance lounge morning . think 10 be though , one morning check nothing there . the hotel 's location financial district excellent we . bit way main shopping area therefore little bit quieter think . still 5/10mins walk main centre still close restaurant pub . we end pay £ 300 per night stay , time book not mind honeymoon . however , stay Marriott hotel second week honeymoon , £ 100 less per night , think pay quite lot money get Meridien . enjoy huge room brilliant view ' m sure nice hotel offer money . 
 Oct 25 2007 	 Best Concierge ever meet 	 get excellent rate hotel Expedia . since San Francisco many time , not care much stay price right . room nice comfortable . quiet . good view TransAmerica tower ... partial view bay . location tourist friendly . easy get tourist sight . shine star hotel concierge staff . good Laura stand . send we 4 good restaruant . watched greet & quot ; regulars & quot ; handle problem tour operator failed pick guest . patience saint help couple book multiple tour 4 day period . awesome ! 
 Oct 24 2007 	 property par Park Hyatt replace 	 since stay property many time Park Hyatt , decide try Le Meridien . property look minor furniture rug change lobby . suite 19 look exception new carpeting . perhaps nitpick , sense lobby staff polish prior Park Hyatt staff . see familiar face greet warmly outside bellman remember . order room service dinner evening must say food substandard level property . caesar salad terrible chicken fish dish order mediocre . room service tab $ 100 diner style food . housekeeping staff excellent , room clean turn service , friendly efficient . hate soaps tub sink . seem like ' natural ' soap slim size melt quickly . prefer hard mill soap hotel seem like craft fair soap , natural ? guest profile stay strike convention tour group type . call judgemental people stay property notch previous Park Hyatt guest . loud , mannerless , annoying ear , oh well . good location embarcadero close sight good restaurant , good long walk Union Square . good view be lucky get bay view room / suite . feel supposedly luxury brand Le Meridien fall bit short . 
 Oct 20 2007 	 nice room nothing outstanding 	 great location / nice room / clean / modern / complaint check - in .... have full pay guest would totally unacceptable . sit lobby least hour waiting room 2:30 3:30 ... maybe even long , forget . great Price Line 144 room .... look wait ! 
 Oct 9 2007 	 wonderful room ! 	 excellent room excellent view ! work government even get government rate stay ( slow week hotel though ) ! would highly recommend business visitor ! 
 Oct 8 2007 	 nice hotel 	 truly excellent property . stay one night business . check get upgrade & quot ; studio suite & quot ; , large room seat area excellent view Bay Bridge . bathroom huge seperate tub shower . concierge recommend outstanding restaurant dinner ( Rubicon ) helpful couple question . doubt would stay . 
 Sep 25 2007 	 Class Act 	 nice hotel . front desk concierge friendly helpful . room nice bay view . really like bed pillow bathroom . location within walk distance ferry building North Beach . get room Priceline pay around $ 180 night . like pay , town sell . would stay . think one well hotel San Francisco . 
 Sep 24 2007 	 great mix corporate boutique 	 's great location downtown San Francisco - two block Ferry Terminal Building , three block TransAmerica building . the person check we friendly , although low hotel floor ( 7 ) , great view Bay Bridge small balcony . small office area desk two chair , great set laptop . unfortunately wireless access not free . the decor modern - boutique hotel corporate . bed really nice comfortable . bathroom large product nice . be large gym basement hotel . would definitely stay . 
 Sep 20 2007 	 good price nice room snotty staff 	 get good deal hotel Hotwire . location good , close market restaurant old ferry terminal , relatively short hill stroll Union Square , quiet area city . room decor nice , pretty much would expect Le Meridien , bed comfortable . small balcony look water think Bay Bridge , peered tall building . room quite dark inside due location amongst big building . reception area elegant modern complimentary coffee available bar area morning . although usually good quality tend find chain 4/5 star hotel bite faceless samey , unless be something special really ever describe ' nice ' . often 's customer service make difference . unfortunately check - in Le Meridien nothing create good impression - condescend guy behind desk talk we ( wonder have book discount website ... ) , none staff anything else make lasting impression , set final feeling place . 
 Sep 18 2007 	 great location comfy hotel 	 bed extra comfy fluffy , bathroom deck marble . 's cushy place middle business district . great view enjoy open slide door get San Fran breeze . bar fun downstairs bartender nice chat . end chat nice couple England bar . concierge excellent point we right direction every time . 's short walk Embarcadero building ( lot shopping distract ) pier cable car line . 
 Sep 17 2007 	 Terrific 	 stay 7 day labor day w / end . first visit San Francisco really know expect , many hotel choose . bonus pick Le Meridien . room 21st floor lovely view , good thing Quiet- quiet - quiet . room opposite lift honestly hear single thing outside room entire seven day . remarkable ! ! 
 Sep 14 2007 	 Lovely Hotel Worth Walk ! 	 Booked hotel last minute spg website becuase one night ( sit ) hotel stay ( westin market street ) completely sell decide give hotel try since use park Hyatt . hotel kinda off - center require bit walk bad idea area safe even night make walk light exercise . hotel lobby small ( surprised ) staff hotel extremely friendly . make feel actually enjoy work property . upon check - in , get upgrade nice studio suite room 1806 look coit tower transamerica . room large sit area . big bathroom well . shower pressure great also bed comfortable . go order famous Westin Heavenly bed trip . would sit bed look bay morning enjoy wonderful view . understand people sad leave favorite hotel . peaceful ( quiet , not hear ur neighbor 's voice , nice soundproof ) totally relax room . one remarkable thing hotel concierge team . William nice gentleman give lot suggestion place visit eat SF . make trip much easy especially walk town . gym , compare 24 hour fitness profesionall gym facility , adequate size many people use . trust , machine need workout , ignore reviewer 's complain . machine good condition well . swimming pool . SF , LA . hotel build early mid 1900 , land expensive , cost - efficient keep pool hotel that s business / financial district since customer business man , need place relax sleep , swimming pool beach scene . SF city that s famous beach scene , go LA want hotel swimming pool ! .As elevator , fast , agree other music play bit creppy . overall , lovely hotel return return SF work / fun ! 
 Sep 10 2007 	 ok - nothing special 	 come San Francisco business trip read review ' m wonder ' m stay hotel . ' ve stay lot hotel around world hotel strictly average . say ? ? well ... 1 ) Location - 20 min walk Union square area , 10 min China town 's little immediate area . overall really great anywhere - many hotel much much close main shopping area 2 ) room - decor fine not big . bay view room 22nd would expect class hotel 3 ) Gym - really small , pool , 15 machine , even change room go room sweaty gym kit - nice everyone else use elevator ! 4 ) facility - well not really apart bar restaurant . overall , hotel 4 * ok 's . small lack anything make feel would want stay . ' m sure well elsewhere similar low rate - try Ritz Carlton ( amazing ) 4 season ( nice ) Marriott ( good ) . 
 Sep 8 2007 	 overall nice hotel 	 stay hotel wedding rate close reception . nice room , 19th floor beautiful view bay city . could see sail boat bay bridge room . typical furniture , tv little low viewing bed . king bed comfy . bathroom mirror excellent , bathroom door little wierd . slide track , like pocket door , not close way . gap door wall . break , way . hotel staff nice . check lady give we key go elevator . look key folder room number forgot write . Doormen helpful , even drive we ferry build hotel car cause late catch ferry . looking stay close pier , would probably stay somewhere else . financial district , nice hotel . 
 Sep 5 2007 	 Le Meridien San Francisco : comfy bed amazing location good food 	 normally travel business truly enjoy take advantage starwood point . weekend stay Le Meridien different , except 's home town . stay rest , eat food , get room service explore town foot . location really perfect be almost like little secret . 's financial district FLAT block chinatown , union square , fisherman 's wharf , giant 's stadium BART . 's good shopping across street 's crowd weekend 's local mall . outdoor mall SF , actually . but , not spend ton time mall also want hang hotel . eat time Bar 333 order lot room service . one good thing world room service be do right . Le Meridien 's team top notch . one day soup day die ceasar salad good dressing . come fresh anchovy , not 's thing . bar good . cool music , really comfy pillow lounch couch 's fun sit window peopel watch sip good martini think ' ve live SF . highly recommend hotel fact , ton colleague take . internet speed awesome , check quick , room clean , comfy well suit single people family wish experience SF . 
 Sep 2 2007 	 expedia price could not beat 	 get amazing rate Le Meridien -- $ 160 per night , unbelievable San Francisco . check two teenager , kind woman front desk say , & quot ; bet would like view ... & quot ; promptly put we room bay view 24th floor . everything perfectly clean , view amazing . concierge friendly , knowledgable helpful . would call great business hotel . ' m sure would agree 's five - star hotel , ad claim , be solid four - star stay great location . 
 Aug 29 2007 	 can not wait go back ! 	 book mid - August 2007 3 night stay ( Spectacular Non - smoking , Panoramic View , large Marble Bathroom , Floor Ceiling Windows , 413 Sq Feet 180 Degree Views Bay ) room find bit small we . call front desk immediately ask upgrade $ 50 per night ( Studio Suite Non - smoking , City View , Wireless internet connection , Separate Bath / shower / toilet , Floor Ceiling Windows ) . bellhop respond within minute extremely satisfied new dig – corner suite 22nd floor . book directly hotel ' site get 3rd night free deal . discount , come $ 360 per night include taxis & amp ; fee . bad room area think . room 2219 fantastic . two we , would visitor area come meet we hotel night nice separate living area bedroom . bathroom much big non - suite room even nice floor ceiling window view well . room small patio balcony overlook Embarcadero & amp ; Golden Gate Bridge . bedroom lovely view Transamerica , Coit Tower Telegraph Hill . everything clean décor contemporary & amp ; efficiently do . bed wonderful . good sleep ever , plan purchase WESTIN BED near future . tv living area bedroom nice chill comfy bed movie day shopping & amp ; sightseeing . hotel staff pleasant registration – pretty effortless – concierge ' , bellhop , housecleaning & amp ; bar wait staff . complaint service room – either meet exceed expectation . thing find rather odd experience Le Meridien elevator . every time get , play sort " sound " … I ' even know call ' music . anything rainforest sound , water sound , tibetan flute , bird , whale dolphin , etc … . suppose well cheesy elevator music always give we chuckle although ' sure hotel designer ' original intention . hotel situate close Embarcadero ( try farmer market weekend ! ) within walk distance Union Square & amp ; chinatown . keep mind locate Financial District , many immediate area ’ restaurant may closed Sundays . plus side extremely quiet weekend night - quiet one could middle major metropolis . cost valet park ( self park ) car hotel ( indeed hotels area ) would $ 60 per 24hrs plus cost rental car – together , would exceed taxi bill significantly , rely taxi ' two foot get around 3 day . find sufficient enough plus exercise good excuse splurge fantastically rich dinner one many good restaurant ! would like save money , suppose bus would good alternative seem plentiful . San Francisco , especially downtown San Francisco go spendy every way indeed challenge make " budget " vacation . make sure save accordingly even mean cut trip short day two avoid stress overspend . 
 Aug 27 2007 	 Great Hotel ... Great Room ! 	 LOVED property ! ! upon check , hotel lobby invite look jazzy soundtrack filling space . get room , shock size ! like true Starwood property , linen , furniture special touch instantly make trip excellent . New York suite enormous full ample seating , window , view , tvs room stretch . yes ... two television ! work space large roomy fast internet connection . mention room service delish , arrivie fast . hotel bar great place meet friend work dinner ... bartender even remember drink return next night ! would stay recommend ... bet ! 
 Aug 26 2007 	 great experience Le Meridien 	 family ( husband 2 teenaged daughter ) stay Le Meridien 3 night recently quite pleased experience . little bit apprenhensive first make booking think perhaps stay close Union Square since two teeenaged daugther we . turn , location Le Meridien actually quite ideal . 's close many attraction be still within walking distance Union Square . our room great view , well appoint receive excellent service everyone hotel , especially concierge housekeeping staff . fact , one daughter leave expensive hair straightener room , call hotel find 's miss , housekeeping staff ( Tecla ? ) able find right away ship back we promptly . impressed professional manner care . would definitely consider stay hotel future visit San Francisco . 
 Aug 25 2007 	 nice hotel view 	 simply state amazing hotel , solid 4 star . upgrade partial bay view 20th floor please . bed like sleep cloud . get room special would reccomend hotel . parking like 50 buck day . 
 Aug 20 2007 	 lovely experience good value pricey city 	 husband stay two night June leisurely side - trip attend family event Bay area . book several month advance via hotel 's website , choose Studio Suite $ 300 / not . tricky city hotel , feel would good compromise expense comfort , disappointed . fact , Le Meridien exceed expectation many regard . check - in smooth efficient , concierge door staff consistently courteous . location excellent : able walk everywhere want go , remove crowd noise around Union Square . the room large expect , comfortable bed pleasant sitting area feature wonderful view Bay Bridge . bathroom also large beautifully equip separate shower tub . closet space adequate unusually capacious . everything -- linen , carpet , upholstery , bathroom surface -- spotless ( sort person notice every speck ) . really , housekeeping superb . room 's great advantage exceptional calm -- hear absolutely nothing room , extremely little street noise . term service amenity , use small business center behind concierge desk check work ( ugh ) print boarding pass , problem connectivity wait workstation free . take advantage hotel 's restaurant breakfast morning pleasantly surprise quality food friendly service . seem popular spot business breakfast , feel teensy bit place without power suit , not mind since smoke salmon offering delicious soon forget surrounding . really pleased stay . historic romantic , city hotel room often tiny , outdated , noisy , Le Meridien make we extremely comfortable price nearly high high - end option San Francisco ( Four Seasons , St Regis , etc ) . still close sight ! 
 Aug 16 2007 	 great homebase SF 	 short stay San Francisco , Le Meridien great homebase purpose . common area hotel beautifully appoint . modern sophisticated , yet comfortable . hotel staff extremely friendly knowledgeable . long day walking see site San Francisco , concierge Richard make excellent dinner recommendation two traveler want something casual , close - by , somewhat authentic California . like close hotel Embarcardero Center - especially since 8:30 departure Napa ferry building Saturday . not tour , would lovely visit weekend farmer 's market . not find location financial district make difficult eat explore , San Francisco walkable city nice public transportation . plus , doorman / valet car take anywhere want go nearby . the room also nice , although would expect much price room . traveler note , double bed small make & quot ; cozy & quot ; arrangement . unfortunately , view city office building . = ( nothing special hotel caliber , well - maintatine , clean , good size . a note parking : be expensive ( ' m guess 's everywhere San Fran ? ) . park across street Embarcadero Center $ 30 / night $ 10 cheap hotel accessible . oh , one thing . find elevator & quot ; music & quot ; extremely amusing first time , annoying thereafter . 
