excellent 	 spend 3 night hotel really enjoy stay . reception area attractive Christmas tree add ambience . reception staff accommodate arrive 2 hour early find we double room right away . spacious , clean , well decorate nice product bathroom . eat restaurant first night , food good exceptionally friendly spanish waiter really helpful . breakfast excellent plenty choice something everyone . well equip little gym sauna intend use sadly run time . Gloucester Road tube station 3 min walk away make easy we get around capital . two good little pub nearby shop cafe . negative thing say hotel towel really small thin - 's time change new fluffy BIG bath towel . 
 Dec 21 2005 	 Pleasant Stay 	 recently return week - long trip London stay Harrington Hall . pleased hotel , especially give price ( gbp112 - steal compare hotel area ) . room large british standard ( pretty much size average north american room ) , decor leave little something desire , not London hang hotel room . bathroom large & amp ; shampoo / shower gel always replenish ( note lady : conditioner , come prepared , hair dryer require either short hair lot patience ! ) . service fine see , although pretty much hotel sleep change clothe . early riser , can not comment housekeeping staff arrival time . excellent bakery street ( Paul 's - sinful pastry ! ) , need bother hotel breakfast . beef people allow smoke lobby ( be result Canadian , can not smoke anywhere indoor ) .All , good hotel fabulous location . 
 Dec 1 2005 	 hotel make cry 25th birthday ! 	 firstly let start tell be experience traveler , be Richmond , 20 minute away hotel tend stay self catering accommodation fancy change since special occasion , little compare hotel , say suitably impressed arrival . we excite arrive lovely plush look hotel . greet doorman feel posh stepping lovely reception area . elegant grand . happiness short live . check tell record booking hotel fully book , start panic . tell without print contain book reference number unlikely could accommodate . unfortunately ( thought ) leave home without confirmation . frantically rang home try get someone quote reference number , nobody . ask hotel internet access could confirm booking via hotmail want charge we £ 7 privilege . go pay since mistake . go outside distress . shed tears frustration decide rip open suit case hope partner pack confirmation chance . bottom case ! ! ! relief ! ! ! present confirmation leave sit foyer 15 minute feel hot bother receptionist go ' see account ' much bustle whispering tell could room , fault operator book , informed hotel booking , tell happen often ! ! ! surely case get sort ! expect go ordeal arrival . lady reception short we , unwelcoming , hospitable all . to cut long story short , yes , hotel lovely far hotel go . not find comfortable , brown blanket bed hideous ! ' m sorry sleep ! distraught find horrid nylon bed spread . spend £ 100 + night want comfort ! brown synthetic blanket pre 1950 's . tell hotel staff think English , duvet continual fitting hotel , well , let tell , ' ve blanket house - hold 30 year ! ! ! please not think one moment acceptable english custom ! felt go back time ! blanket leave cold , could not get snuggly , leave shoulder expose , keep slip bed ! be one major gripe one reason would not return ' Harrington Hall ' , replace blanket something acceptable . pro'svery cleangreat location , walk distance lovely cafe 's , museum , gallery , Harrods , etc . huge bathroom roomy bathnice selection toiletriesimpressive entrance decorlovely lobbynice atmospherevery Grand elegantcon'shorrid brown blanket , duvet , tiny weeny pillowsdull decor roomsAwkward automate mini bar , read small print explore 's offer ! £ 3.00 small Evian ! ! ! ! get 2 minute away Tescos 49p ! tiny bar soap ' ve ever see ! price English breakfast , vegetarian option ! cater special dietary need . continual breakfast overprice , cater over - charge tourist , get partner pop local cafe , 2 minute away be shower fresh coffee croissant fraction price . do like x - rate movie menu picture display room , crude , something request . appliance outdate fall apart . bad choice complementary magazine ( Men 's Health ? ? ? ) , not fancy reading ' late tip make scream ' feast soft porn , Vogue Elle would nice . something less offensive . House keep walk without give time answer knock , could ' ve embarrass . frog march one morning house keeping want clean , despite we get , time lie 's . rude ! 
 Dec 1 2005 	 Great Stay 	 stay friend Thursday Friday night . service seamless , nice toiletry , excellent bathroom good water pressure . superior double room , slightly large regular double . not use London hotel , room uniformly small . however , room separate sit area comfortable . would gladly stay . 
 Nov 22 2005 	 great hotel great location 	 Harrington Hall great hotel South Kensington . room big ( London standard ) fresh , equip big king - sized bed . hotel locate 2 minute walk Gloucester Rd tube station number museum within 15 - 20 minute walk . room face street noticeable noise . air conditioning work fine ( always case London ! ) .I would definitely stay make sure shop around discount price ( get double room £ 86 , think good value ) . 
 Nov 16 2005 	 Good 	 return night Harrington Hall . hotel minute walk Gloucester Road Tube station 15 min Harrods , Hamleys etc . check smooth room ready we wait . room clean tidy view London , well equip iron , iron board , mini safe , toilettrie etc . take hairdryer one bathroom not really powerful . staff incredibly helpful we make stay enjoyable . concierge go way get us taxi busy evening , breakfast plentiful delicious . would happily stay . need bite eat plenty cafe / restaurant gloucester road 24 hr tesco express . 
 Oct 27 2005 	 Loved Harrington Hall 	 wife , arrive London stay 5 night Harrington Hall . select particular hotel read great review must say , not dissapointe all . the location fantastic , beautiful South Kensinton . tube station 2 block away , make handy go downtown London . great restaurant cafe around hotel . not take brakefast hotel since though way price get . however , next corner street , great cafe serve terrific coffee pastry small price . the room clean , though small canadian standard bathroom large probably brand new . the staff hotel also extremely helpful amd courtious . all , would certainly stay wife next time return London . 
 Oct 25 2005 	 nice location already need refurbishment 	 stay 3 time , 1996 . enjoy lot . 1999 , good anymore 2005 , even bad . location still good , hotel scratch anymore . room look tired staff get bad . bad hotel , also nothing special . maybe worth not pay rack - rate . parking hotel opposite . expensive ! room street side noisy . 
 oct 22 2005 	 Poor Customer Service 	 carefully choose Harrington Hall Hotel South Kensington , London 3 - day stay end 2 week visit UK . book room 2 month advance . lobby crowd upon arrival patiently wait check . minute hotel employee desk say overbooked room available we . ask explain , short rude . apology , smile . say arranged room Millenium Gloucester across street send young man we check . upon arrival , Gloucester say arrangement make we . however , one employee escort we block Millenium Bailey , sister hotel , welcome . perfectly understandable Harrington overbooke , customer service deplorable . bright side , bailey excellent value - big , comfortable room , great service , nice bar dining room excellent location . would hesitate recommend . 
 Oct 3 2005 	 Harrington Hall - good choice stay London 	 wife stay hotel one night end September find room well equip , comfortable bed . snag find could open window , airconditioning work well . like another writer , thought would run short shower gel , tea bag morning , rang reception extra supply bring within short while . the lounge reception area elegently furnish relax sit , breakfast varied plentiful service prompt courtious . the hotel 's location convenient South Kensington Knightsbridge , museum Royal Albert Hall . we find Flavio , one reception staff , helpful make room booking . we would defintely stay again . Marcia Ashley Shanahan , Cardiff , UK 
 Oct 2 2005 	 '' stay anywhere else ! 	 last week stay Harrington Hall Hotel . choose several review read research several hotel London . hotel clean staff friendly accommodate room nice size city room teeny u climb luggage . do not get wrong not Ritz , location excellent near transportation .. ease hail cab .. many hotel price much high anywhere near nice . someplace actually enjoy come & quot ; home & quot ; tire day whatever ! plenty hot water air conditioning . quiet attractive . pay total 110 pound per night . BARGAIN 
 Sep 27 2005 	 mixed experience 	 clean desk staff helpful . annoy give one , small bar soap use shower sink . card bathroom door fill request supply report thing work . take 2 day get request fill another bar soap . tv channel limit , CNN poor reception day . tv remote marginal , think need well battery , request hang card bathroom doorknob , not seem help , maybe request ignore . not watch tv much , not follow problem . 2 radio station , provide tv . heavy metal ! style , particularly jet lag . alarm clock room . door room tend slam shut annoying try sleep recover jet lag first day . often wonder cleaning staff careless go room morning cleaning , intentionally make noise get we could get room clean . room size ok , small side compare U.S. hotel room , big european hotel ' ve . bartender helpful loan us corkscrew wine buy room . 
 Sep 14 2005 	 good deal location 	 stay hotel 6 night , beautiful hotel , wonderful breakfast , super close underground . around coner market , starbuck , restaurant fast food . clean hotel staff nice . nice hotel area return December . truly recommend place . research many hotel 2 month one good . 
 Aug 29 2005 	 London 's Best Value US Dollar 	 husband stay Harrington Hall London visit August 25 - 27 , 2005 . & quot ; cramped & quot ; room Paris hotel - lobby - delighted arrive Harrington Hall walk large , beautiful lobby reception area . shocked enter spacious room ( size US hotel room ) bath . stay early another London hotel go Paris week- bathroom much small cruise ship - not expect much . wonderful surprize ! take tour hotel staff member attest variety facility include free workout room locker shower , meet space , etc . dine hotel first night stay although hotel rate 4 star , food restaurant 5 star . hotel mere 2 block Gloucester Tube another great asset . computer image exterior hotel justice . beautiful old building erect late 1800 's declare historic treasurer . quite large . convert hotel , individual townhouse . can not say enough good staff . accommodate helpful . Harrington Hall Hotel hotel anytime visit London . good value money hotel stay either London Paris . 
 Aug 25 2005 	 surprise ! 	 really enjoy stay , nice location within 5 minute Gloucester Tube station . there Waitrose , boot , post office , sainsbury market area interest within walking distance . room nice extremely clean , efficient staff cater need . daughter extreme food allergy head chef make special meal , corteous person ' ve meet long time . wonderful time would't hesitate stay . 
 Aug 23 2005 	 enjoy Harrington Hall 	 husband spend 4 night Harrington Hall pleasantly surprise facility service receive . obtain good price Hotels often storey & quot ; get pay & quot ; . case Harrington Hall . room bright , clean quiet lot attention detail . staff friendly helpful . last night stay , daughter join we move we large room accommodate third bed charge additional cost . nice find clean , comfortable affordable accommodation London everything else costly . thank Harrington Hall . back . 
 Jul 30 2005 	 another enjoyable stay Harrington Hall ! 	 another enjoyable stay Harrington Hall . good quality hotel friendly staff excellent location . not use tube time ( July 2005 ) taxis frequent easy walk many area . public area attractive include attractive bar ( drink expensive ! ) , bedroom good size clean quiet night , unlike location . got good internet rate 2 night ( breakfast include ) several good coffee bar around corner plus range restaurant Tesco Express . whereas hotel 5 * quality like Royal Garden Athenaeum , exude charm cosiness often miss chain hotel - Harrington Hall supposedly part chain . would strongly recommend Harrington Hall get good rate wish stay part London . 
 Jul 9 2005 	 Great Value Great Accomodations 	 stay Harrington Hall last week June 2005 . select hotel extensive search try locate business - class room nice neighborhood near Tube stop less $ 250 US , easy task . Harrington Hall turn find . locate Kensington easy walk Gloucester Tube station , hotel also near good restaurant , shop attraction . room , fourth five floor uncommonly spacious London , clean well appoint . staff helpful restaurant suggestion , theater ticket direction . gym compact free mostly modern equipment ( weight would nice addition ) . one small beef : lack internet connection room . wireless available lobby absurd $ 7 US 30 min . end Internet cafe two block away offer broadband $ 5 US hour . , be hard find anything wrong Harrington Hall , much like . 
 Jun 28 2005 	 new favorite London hotel ... 	 would highly recommend hotel . neighborhood great- close Glouster Tube Station , lot restaurant stay open late , central museum . love feel bit swanky doorman , marble bathroom , yummy room service , not pay fortune . little problem air conditioning , technician respond complaint 10 minute fix right away . ask ? 
 Jun 15 2005 	 perfectly fine hotel 	 wife & amp ; stay October ' 04 . great location , right around corner Gloucester Road tube stop within walking distance Harrod 's . staff courteous & amp ; professional , room tad small quite comfortable . rather good dinner restaurant . 's Grosvenor House , would stay heartbeat . 
 Jun 9 2005 	 Excellent Hotel Great Staff 	 family stay Harrington Hall five day last month . room clean large expect ( triple two bed plus rollaway ) include desk small table chair sometimes late night snack . quite comfortable . although would nice refrigerator room ( minibar like vend machine ) , staff helpful friendly store father 's insulin concierge we . even borrow plug converter front desk mine fail work . delighted complimentary buffet breakfast think pretty abundant . wide array fresh fruit , fish , ham , cheese , pastry , bread , cereal , yoghurt , coffee , tea various juice nicely fuel day sightseeing . hotel 's location excellent . couple minute Gloucester Road station ( district , circle picadilly line ) least two grocery store , boot pharmacy several restaurant fast food place within two three block ( include Burger King , ok Fish Chip place , bistro , upscale restaurant well ) . two long block Harrington Gardens Road ( road hotel , direction V & amp ; ) net laundromat could wash clothe 6 pound head next destination . Tesco Glouster Road good place buy inexpensive ham cheese chicken stuffing sandwich take picnic lunch Hyde Park walk nearby V & amp ; museum Harrods . , hotel luxury resort hotel , good upscale hotel comfortable , quiet , clean , crowded helpful polite staff . satisfied price , would definitely stay . 
 Jun 6 2005 	 love Harrington Hall ! 	 husband return first trip Europe . first week London Harrington Hall , bit nervous booked hotel base comment site . finally take plunge pick hotel , realize way please people time , overall comment positive . happy report think hotel wonderful . stay 4th floor , superior double . find room good size ; plenty room spread week ( even though totally overpacked ) . LOVED bathroom heat towel bar . housekeeping staff wonderful ~ room bathroom spotless . location GREAT ~ close Gloucester Road tube station , yet street hotel locate quiet . lovely little cafe way tube station , stop morning breakfast coffee ( choose bypass expensive breakfast hotel ) . look forward next London trip & amp ; definitely look stay Harrington Hall . 
 Apr 22 2005 	 avoid top floor 	 hotel great location grand inside . quite nice little bar restaurant area , spend time around Soho / Leicester Square . tube 2 street away , 2 minute walk . on first night stay top ( 4th ) floor , quite small small double bed . noise night unbearable aircon fan . not get much sleep night , complain move large luxurious room 2nd floor . review hotel quite mixed , probably depend stay . the continental breakfast lovely . would recommend hotel get good rate , not stay top floor . 
 Apr 17 2005 	 one favorite 	 superior double hotel & amp ; pleased size convenience room . high ceiling lovely drapery floor ceiling - plenty window SPACE ! also quiet even though room road side . common area downstairs pretty plain . service good , although breakfast expensive . less block away excellent place eat - cheap , e.g . Burger King , Starbucks , ethnic type , take away other bit expensive . good thing hotel proximity Gloucester Road Tube Station - block connect Picadilly , District Circle line - awesome ! 
 Mar 28 2005 	 great hotel ! 	 sister stay hotel March 17 - 18 .... gorgeous ! 2 minute walk Gloucester Rd Tube Station 3 major line -- -- District , Circle Picadilly . although be locate right main street , quiet . bunch little cafe restaurant right near hotel . would recommend hotel hand ! fyi : great italian restaurant reasonably price , go Da Marios Covent Garden . 
 Feb 24 2005 	 great little find 	 stay part birthday surprise weekend amaze much £ 100 night actually buy touristy bit London . book directly hotel 's website turn cheap LateRooms ( hotel standard internet rate £ 99 ) get bright decent sized room clean , comfortable everything work . may flashest hotel do not really use facility hotel offer tremendous value . definately recommend visit South Kensington area compare dodgy place I ve stay £ 70 - 80 night worth extra £ 20 - 30 . 
 Feb 6 2005 	 Fantastic 	 get back two night stay Harrington Hall Hotel , fantastic , would certainly stay . 3 room fifth floor , complaint anyone group . staff friendly helpful , good sized room comfortable bed effective climate control . hotel good location close tube & amp ; bus route , taxi be easily hail outside . 
 Dec 31 2004 	 Bset keep Secret London 	 wife recently spend 11 day London stay Harrington Hall . great time staff go way helpful could we . hotel good cleaning staff ever see . our room keep spotless maid cheerful upbeat . restaurant good English breakfast serve large portion staff attentive . the quality food good menu option good . hotel several Christmas Dinners patron young woman charge professional good job restaurant Harrington Hall locate South Kensington , two block Glouster Rd Tube Station good shopping near essential well good restaurant nearby . there american restaurant corner , Texas Lone Star , pretty good american burger nachos get tired engish food . Harrington Hall extermely well maintain everything work should . the heating system good open window several time room become warm even December . would highly reccomend Hotel anyone want intimate upscale hotel break pocketbook deliver advertise . ticket major London attraction may purchase desk Hotel saving & quot ; q & quot ; ing time . 
 Dec 19 2004 	 interesting decor ... 	 boyfriend stay one night part Tour Operator 's package see Morrissey . see review initially little dubious hotel . greet friendly doorman reception staff . reception staff concierge pleased help could operate key door room ( later discover fault ! ! ) although decor room & quot ; little busy & quot ; room clean , tidy well present . bed comfortable slipper bathrobe ! queue minute breakfast able help much want . breakfast perhaps little cold unusual prepared quantity self service . good quality . although tv bedroom sound heating seem one temperature whatever set put thoroughly enjoy stay . would certainly stay . 
 Dec 6 2004 	 nice people 	 displeasure stay hotel last weekend , terrible . staff unhelpful , unfriendly . one tell hotel understaffed work long hour . problem ! room okay , quite small , thing work room , one fix lamp weekend . breakfast cold rate £ 140 high last weekend see hotel £ 99.I would suggest ever stay , well hotel less money . 
 Nov 9 2004 	 please 	 pleased 4 night stay Harrington Hall Hotel recently . book internet trepitation read review . birthday gift friend want go well . delight , arrive find Hotel comfortable staff happy fulfill every need . one small disappointment night choose eat hotel private conference eat small room make available dining hotel guest . atmosphere course understand one night . would recommend hotel convenient Glouster Road Tube station lovely area . bedroom back hotel peace welcome busy day shop . would repeat experience willingly ! ! ! sincerely , Feena 
 Oct 10 2004 	 Wonderful 	 spend one night Hotel room good , Staff polite really helpfull . food good plenty . look forward go 
 Oct 5 2004 	 Location location 	 wife visit London August 2004 stay Harrington Hall Hotel . good facility excellent location . shop , bank restaurant close Gloucester Road tube station . staff Harrington Hall friendly helpful . would stay . 
 Oct 3 2004 	 fantastic location comfortable accomodation . 	 stay twice- 1999 recently , July 2004 . husband love neighborhood , access Gloucester St. tube station ( house 3 tube line ) , large room . clean , quiet , relaxing . luxury hotel . comfortable one . walk distance Royal Albert Hall , Victoria Albert Museum , great tube line 1 1/2 block away . extremely affordable London . 
 Sep 4 2004 	 nothing work Harrington Hall Hotel 	 stay two night , September 2 - 3 , 2004 . staff rude indifferent . nothing work -- first room door lock break . second room , bathtub stopper drain ( big deal unless really want bath ! ) AC work ( big deal , especially since window could open ) . third room -- phone work . staff , include manager rude . must lot problem since client hotel complain one thing another . breakfast inlcude expensive . great area - stay elsewhere appreciate business ! 
 Aug 19 2004 	 Clean Quiet convenient 	 spend 9 night July , room top floor back . find room well appoint , clean , comfortable quiet stay enjoyable . location excellent Gloucester tube station around corner many restaurant within walking distance . friend stay block away comfortable walk area hour . Hyde Park , Natural History Museum , Albert & amp ; Victoria Museum within block . find staff accommodate friendly . overall , experience Harrington Hall good would stay hesitation . 
 Jul 19 2004 	 poor service coffee rude staff portion control restaurant 	 1 - concierge forgot deliver bag rude ask take room . explain need ticket show reception point offering bring upm room - room already room number.2 - coffee bar midnight compensation . fact night manager quite rude ask complimentary drink.3 - smoke alarm sprinkler flash red light operate night distract sleep . cover lead staff burst room accuse we smoking room . wife asleep time woken manager shout abuse . may way thing Turkey 's expect form Kensington , london.4 - biscuit room.5 - detail service room - everything tv screen category ask dial 1 reception therefore waste time.6 - Breakfast portion control . three item could chosen full english breakfast menu make half english breakfast.7 - time much issue bit disappointing pay £ 100 night stay there.8 - time apology make . 
 Jun 24 2004 	 decent Value 	 hotel convenient location Starbucks tube station street . large corner room upper floor feel spoil size quiet , clean room . note simple hotel - go boot buy soap complimentary soap harsh tiny . hard bed , scratchy towel , hey , less half price stay previous trip London . 
 Jun 4 2004 	 exciting trip ! good time . Harrington Hall nice . 	 Kim , travel agent AAA great job trip . thoroughy enjoy trip TrafagerTours . Kim pick great location stay & amp ; Harrington Hall fun . people hotelwere helpful . good time ! 
 May 29 2004 	 would definitely stay ..... 	 return 6 night stay Harrington Hall . absolutely loved ! able check early , welcome overnight flight US . hotel elegant ; lovely facade , doorman , polished brass elevator ( lift ) door , warm invite lobby , elegant ( large ) lobby bathroom , pretty restaurant . room nicely furnish victorian motif , clean . bed mattress appear new comfortable . marble bathroom towel warm especially nice , shower good water pressure . initial problem AC arrival . room hot stuffy , AC seem woke poperly . phone call promptly bring engineer room , however AC seem work efficiently . make another call , answer promptly , second & quot ; engineer & quot ; able get AC run fine . encounter line breakfast , matter time . continental breakfast adequate , wait staff efficient polite . safe pleasant location , close several attraction 2 short block Glouster Rd . tube station . hotel staff pleasant , respectful helpful . concierge ( Eddie ) absolutely teriffic ! patience saint , polite , extremely helpful , good sense humor . able book several attraction directly hotel , save time stand que . hotel quiet night , pleasantly surprised , read several mixed review prior go London . great experience , feel like & quot ; boutique & quot ; hotel , would definitely return Harrington Hall . 
 may 27 2004 	 good hotel need fix plumbing 	 stay one night hotel . able check early ( 9 a.m. ) perhaps , get shaft room ( Room 629 ) . room decent -- clean efficient . nice towel large closet . bathroom extremely nice -- spacious marble ( well 4 - star hotel stay later ) . however , hotel seem problem plumb . could hear water leak somewhere entire stay -- probably heat towel rack fridge . drainage bathtub problem . AC system make buzzing noise day , seem o.k . night . ask hotel maintenance staff say nothing could . would stay , especially winter know not turn AC . 
 May 1 2004 	 great location room - staff leave something desire 	 overall , enjoy stay Harrington Hall . fly Rome , relatively quiet elegant Harrington Road welcome change . first positive - room comfortable tastefully decorate , every amenity , doormen helpful friendly . continental breakfast include ( limited variety cook selection available extra charge ) . concierge adequate , though overly helpful . able buy ticket bus tour attraction hotel , help we avoid long queue . Gloucester Road Underground station two minute walk hotel . London unseasonably warm April 2004 stay , unfortunately , room . night , temperature room 78 degree Farenheit . since first floor , leery sleep window open . staff unresponsive request adjust temperature . overheard another guest complaint . couple issue reception desk , include confused staff member checkin , rush along check . request one hour checkout extension reception desk . respond request , approve ask . unfortunately , front desk maid keep phone we morning ask plan leave , even though make specific arrangement day . aside incompetent reception staff sauna - like room temperature , great hotel excellent location . 
 Apr 26 2004 	 Super Hotel 	 stay Harrington Hall April 9 & amp ; 10 , 2004 . lovely hotel . good hotel shower ever . lot little comfort make hotel wonderful place stay . would recommend anybody . 
 Apr 16 2004 	 acceptable price 	 need stay area access Earls Court Exhibition centre fairly regular visitor area aware handful true 4 star available within walking distance . usually book Rembrandt thro hotel-assist.com instance hotel full offer similar rate Harrington . pleased . hotel good location close Glocester road metro always bonus . staff front desk & quot ; ok & quot ; , brilliant . bedroom well furnish good standard immaculately clean . bed comfort excellent . breakfast nice civilised affair much cup replenish attentive waiter food although serve huge quantity well present cook . discount price offer Hotel - Assist people hotel good value would stay without question - brit ! 
 Mar 2 2004 	 Nice hotel good location 	 pretty good experience . room size adequate room clean well furnish . bed fine - & quot ; groove & quot ; another reviewer point . location great - short walk gloucester road tube station . street quiet safe . whole lot around area within walking distance . staff friendly . real complaint hotel conceirge helpful . give we misinformation see another guest get odd info . continental breakfast good . overall , would recommend hotel . would stay . 
 Feb 10 2004 	 nice room - wish have take rubbish ! 	 partner stay overnight Harrington last year quite disappointed . room basic comfortable , nothing outstanding fact rubbish bin empty previous guest ! bar downstairs actually rather nice , drink price extortionate even London standard ! staff pleasant overly , , apart fact hotel close everything London , ' m sure whether would return . 
 Jan 27 2004 	 bad atmosphere 	 nice standard fitting , good location , ... unhelpful staff , noisy night , non - functioning aircon , stale air , hot December . advise open window - apology , engineer fix thing . also , looong wait table breakfast , place crowd - inefficient . 
 Jan 21 2004 	 great ! 	 stay Harrington January 2 - 5 , 2004 . really well locate well furnish room quite roomy London standard . on - line picture true room . many picture line accurately reflect room find instance . staff gracious helpful nice accomodate ! unfavorable exchange rate , glad make reservation advance . son England 7 month impressed get nice place 109 pound versus dive telephone booth size room pay 70 pound . breakfast okay , nearly nice Michael Caines Exeter 's Royal Clarence Hotel , good . bed particularily comfortable definitely need update though . the staff assist post stay credit card problem expeditiously graciously well . would definitely recommend Harrington . affordable English experience hotel also really nice well convenient . 
 Jan 4 2004 	 Excellent stay detail know 	 return 5 night stay Harrington Hall . arrive box Day check New Years Eve 2003.i would echo praise list review amend follow : travel three young daughter ( 4,6,8 ) , everything great . staff nice understanding look nose . would comment minority kid . our room could use new mattress evidence heavy use & quot ; groove & quot ; . uncomfortable sure . room clean staff diligent keep clean . internet acce - high speed access available 3rd floor . , need make sure 's book . WiFi lobby , fee 5 Pounds HALF HOUR ! twice go rate needless say take stroll starbuck instead . cut price tennant imho.for breakfast - get bottom downstairs 9:30 be go to wait line . not say not warn . : ) 
 Jan 2 2004 	 Loved Harrington 	 stay 4 night Harrington Hall late Dec 2003 . location great , close Glouster Rd tube . room large ( Exec King ) , well maintain . hotel staff helpful theatre tix resv . full english breakfast wonderful . good start day . would stay . 
 oct 9 2003 	 Excellent hotel ! 	 daughter spend week London last month . think Europe must evacuated go London ! city almost overwhelming crowded- however , bright spot hotel South Kensington- superb service ; great include breakfast ; beautiful public space lobby - bar- lounge offer light fare ; lovely dining room ; large well - appoint bedroom ; helpful concierge ; quiet neighborhood many choice moderately - price restaurant ( especiallly Bar one ) , mini - mall drugstore supermarket , tube stop- within 2 - 3 block . charter bus line pick front jaunt countryside drop tube around corner . definitely stay go husband . oh , another plus- terrific price find alpha - bed 4 * hotel need price break ! ! 
 Oct 6 2003 	 not understand high rating 	 come back London , stay Harrington Hall 3 night . leave # 11 popularity ( one main reason pick hotel ) , be # 5 . ' m read last review - talk place ? ' m wonder kind show reviewer Minneapolis home , without rusty curtain pole ? hotel bad , not get wrong , clean , nicely furnish - else expect normal hotel ? good 3 - star hotel , large usual 3 - star hotel room . one two elevator break day . staff ... travel Europe 2 - 3 time year , first time , practiaclly european country , room ready arrive - supposedly & quot ; big check - out & quot ; . superior room available , 25 pound extra . be interesting , check morning overhear conversation receiption : german couple arrive , room ready . & quot ; superior room available immediately , though & quot ; . Believe , & quot ; big check - out & quot ; morning , hotel fully book . time encounter ruse Cancun , Bahamas , Dominican Republic - never Europe . bottom line : be nice hotel get good rate , conveniently locate , not expect 4 - star . unless be include , not even think breakfast - 12.5 pound get practically nothing . 
 Oct 6 2003 	 Pleasant Hotel 	 stay Harrington 6 night Sept 2003 . location excellent - 1.5 block Gloucester Rd tube station , several cafe along way . travel alone receive room far nicer ' ve see single traveler . decor extremely pleasant , room layout compact extremely well plan , ample closet space , hanger , AC , modern bath in - room safe . slight negative : 1 ) continental breakfast include room rate bread excellent , staff seem chitnzy give 1/2 cup coffee tea fruit tasteless ( though color texture fine ) . 2 ) appreciate attempt upsell upon check - in , even though not even see room . staff good , one particular gentleman front desk not seem adept customer service . example , hesitate grant request cash 20 pound traveler 's check ( passport hand , ask pound , dollar ! ) . overall nice facility would recommend 
 Oct 3 2003 	 wondeful hotel 
 Sep 30 2003 	 quite treat ! 
 Sep 24 2003 	 Good hotel - would recommend . 
 Sep 2 2003 	 highly recommend 
 Aug 31 2003 	 Great Hotel ! 
 Aug 7 2003 	 good location quiet 
 Jul 9 2003 	 high mark Harrington Hall 
 Jul 2 2003 	 great location 
 May 12 2003 	 Great Deal Location 
 Mar 25 2002 	 Superb 
 Nov 11 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Oct 5 2009 	 El techo de la habitación se desplomó encima 
 Sep 29 2009 	 Buen hotel 
 Sep 25 2009 	 Muy recomendable 
 Sep 15 2009 	 Muy bueno 
 Aug 27 2009 	 Totalmente recomendable . 
 Aug 2 2009 	 Fantástica elección 
 Jul 13 2009 	 Un gran hotel en una zona privilegiada de Londres 
 Jul 9 2009 	 Excelente . Lo que esperas de un NH 
 May 25 2009 	 Perfecto muy bien comunicado . 
 May 5 2009 	 soggiorno perfetto ! 
 May 1 2009 	 muy buena elección 
 Mar 31 2009 	 Magnifico Hotel 
 Jan 29 2009 	 muy recomendable 
 Jan 27 2009 	 Sin duda ¡ recomendable ! 
 Dec 22 2008 	 Bien ubicado limpio punto . 
 Dec 16 2008 	 Una buen decision 
 Aug 31 2008 	 Fantastico ! ! ! ! ! 
 May 26 2008 	 Nos gustó mucho 
 Feb 20 2008 	 Das Harrington war sehr gut 
 Jan 7 2008 	 ottimo soggiorno all'harrington 
 Dec 1 2007 	 buon hotel buona posizione 
 May 2 2007 	 Correcto para 4 estrella sin lujos 
 Jan 4 2007 	 Buenísima elección . 
 Aug 21 2006 	 impeccable 
