great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Nov 30 2008 	 wonderful stay Intercontinental 	 come Chicago Thanksgiving Holiday family member . service wonderful , room amenity comfortable . holiday dinner wine pair Zest also find excellent quality quantity , morning buffet breakfast . package book also include valet parking work well . 
 Nov 24 2008 	 Magnificent ! 	 work Radio Disney huge sponsor Mag Mile Lights Festival stay Intercontinental Chicago 2 night . family join 2nd night . room amazingly comfortable king bed truly appreciate wa onmy foot 15 hrs day . daughter competitive swimmer love chance swim pool rich history . Sunday afternoon Tea Zest overlook Michigan Ave . recount fun thing do weekend . Kingson Kok , Restaurant Bar manager lovely answer question history Intercontinental Chicago suggest come back self guide tour offer free . fully intend spend time . next time going make sure time shop especially since Nordstroms directly across street . 
 Nov 23 2008 	 Awesome InterContinental Chicago 	 InterContinental Chicago amazing . staff pleasant efficient . room outstanding . location could not well . second stay become hotel choice Chicago . 
 Nov 23 2008 	 Prime location room so - so .... 	 stay hotel partner 3 night begin November Chicago bask glorious sunshine election reach conclusion ( city go celebration mode ) . choose hotel purely location disappoint . fact , location exceed expectation . first time visitor city immense . impressive architechture excellent shopping doorstep . be also close departure point Chicago Architechture Foundation river cruise would highly recommend . first timer , perfect . hotel lobby impressive much talk pool stunning busy go swim , happy hotel amenity , albeit gym user would less pleased fitness facility not great hotel class . the room rate , book UK hotel website , also reasonable compare hotels city , particularly consider location . however , room , modern part hotel , OK . request king bed receive 2 double not ideal start vacation tired request move . cleanliness room could well issue electric persevere report . overall , satisfied stay IC Chicago primarily due location quality room . not receive cheap rate room would definitely complain room allocate request change . , excellent choice one would recommend , mainly first time visitor . 
 Nov 22 2008 	 great hotel 	 great location . concierge helpful ... room clean , spotless ... find dust . very good quality price pay . $ 50 park car honest price ... note leave car noon 5 pm follow day . phone , snack , water include expensive ... though go starbuck right near lobby . 
 Nov 18 2008 	 Fantastic Hotel 	 husband stay IC Chicago November 7 5 night . book standard room upgrade huge suite amazing . service hotel superb one occasion eat hotel good . pool free resident open early til late . concierge service well anywhere ' ve stay encyclopaedic knowledge restaurant area without consult book map . within couple block hotel several outlet Corner Bakery great place go breakfast be budget also want fresh food . everything egg bagel porridge breakfast plus kind thing lunch etc . 
 Nov 16 2008 	 great location energy Chicago 	 spend night historic tower Saturday night . gift certificate use celebrate birthday . lobby lively invite . several wedding go lot traffic , lobby seem overly crowded . check swift , request change king room accommodate without incident . the room spacious clean . bed comfortable . hotel location right heart Magnificent Mile . load restaurant , shopping , parking nearby . enjoyed stay much look hold 50th anniversary party location . pool also beautiful . 
 Nov 13 2008 	 please intercontinental chicago 	 return INTERCONTINENTAL - CHICAGO must say pleased overall service ammenitie hotel provide . definately plan go back soon stay Intercontinental . stay many magnificent mile thus far none compare stay hotel . Mario . 
 Nov 11 2008 	 Nice Stay InterContinental 	 take Amtrak Lincoln , IL Chicago 11/2/08 . arrive hotel 10:30 a.m. able early check . room nice , small . build couch locate directly window . could see Navy Pier , otherwise view top building . bathroom adequate - also small side . attend noon Bears game , take cab Soldier Field . first time SF - seat 2 row top ! take cab back hotel freshen , head hotel lobby bar . lively , nice bar . good size drink , friendly bartender . decide Gibson 's Steakhouse dinner . not reservation , tell table would available 15 - 20 minute . go bar order drink table ready . husband order steak . good meal , feel bit rush . next day decide shop look around . stop Ditka 's Bloody Mary - one good ' ve ! shop Billy Goat Tavern cheeseburger . walk back hotel pick luggage take cab Amtrak . hear great Garrett 's Popcorn , one able tell we . cab driver Amtrak find stop run get carmel / cheese corn combo . agree Cab driver - bit buttery taste ! staff InterContinental great . friendly helpful . book room Hotwire , money , would definitely stay . 
 Nov 11 2008 	 Perfect count 	 take daughter American Girl Weekend Chicago . intercontinental package give we discount , doll bed ( one free take home ) , cookie milk night . room impeccably clean . staff helpful . room service excellent , fast hot . hotel dining room good food warm service . pool amazing ! feel transport another time pool area magical . location good although hotel may close american Girl Place new site Water Tower Place , one across Nordstrom lovely place stay . 
 Nov 3 2008 	 great location shopping 	 hotel across street four level mall , Shops North Bridge , anchor Nordstrom 's . starbuck hotel Panera Bread close . stay historic tower room 1404 room huge . daughter hubby upgrade corner room well view , room much small , although still spacious . room service expensive . twenty eight dollar club sandwich , fruit , 1/4 cup coleslaw . 18 percent tip service charge add . 14th floor foyer see beautiful historic pool , nickname Johnny Weismuller pool . highly recommend hotel . 
 Nov 2 2008 	 great stay 	 wife stay four night Chicago Intercontinental Hotel trip combine business pleasure enjoy visit enormously . reservationist , polite , professional helpful ' ve ever encounter , room , small , clean , well maintain comfortable , nice stay . concierge make win recommendation restaurant first night , night not preexist reservation dinner , also give spot - on advice navigate train bus system one day want travel across town . room ready time , nicely maintain bed quite comfortable . digital signal LCD tv would nice , location , cleanliness professional treatment Intercontinental high recommend . definitely stay future . 
 Nov 2 2008 	 Intercontinental Chicago awesome 	 return weekend Intercontinental Hotel Chicago . hotel magnificent love historic character hotel . stay historic tower , 31st floor , fantastic view Lake Michigan Navy Pier . watch firework lake night unexpected , beautiful treat . food , service meeting space incredible . perfect weekend there . of course , location also ideal . locate Michigan Avenue , convenient shop explore fantastic restaurant Chicago offer . the so - call Johnny Weissmuller pool , name olympic gold medalist original Tarzan star , impressive standing fully restore 1929 indoor pool make we feel like transport back period time . stay many hotel downtown Chicago , year Intercontinental become absolute favorite . look forward next stay . 
 Oct 31 2008 	 home away home 	 company regularly stay InterContinental Chicago 's beautiful downtown shopping district . wonderful way make we feel comfortable cared , even repeat extended stay . come back year year , cost usually much generic hotel chain . lovely accommodation , care staff , wonderfully unique facility make pleasurable stay ! 
 Oct 28 2008 	 great location business pleasure ! 	 stay Intercontinental Chicago three night last week . ' m frequent business traveler experience property defininately far exceed expecation . hotel staff welcoming , room large , recently decorate quite stylish , hotel gym pool tremendous flexible hour new equipment ( unfortunately , always case hotel gym ) . location property amazing . lively hotel bar , starbuck chocolate / wine bar , lobby . surround hotel numberous restaurant up - scale shopping . terrific location business pleasure ! 
 Oct 23 2008 	 great view ! 	 hotel grand . interesting history . room bite small side microwave , comfort great room clean . pool like step back time . take picture not swim . location hotel can / t beat ! right heart shopping eat . walk distance Navy pier . short trolley ride museum . view outstanding can not beat . watch sunrise Lake Michigan every morning . incredible . mostly easy please , inability reheat leftover annoying . eat every MEAL . fridge stock overprice ( like 4 dollar bag n Ms 6,95 bottled water ) . could not use fridge either . bedroom home might big room . tv large flat screen awesome watch tv do not watch lot . busy see sight . overall neat stay place even well not cost arm leg per night . 
 Oct 20 2008 	 Great Location Experience Windy City 	 stay associated business travel , return personal vacation consider stay hotel . great location shop dining staff courteous . enjoyable experience overall alll 3 visit . 
 Oct 20 2008 	 Loved bed 	 recently stay property week . arrive outside bellman friendly could tell genuinely enjoy help people . check go smoothly desk clerk offer we option join loyalty club . give we room upgrade well worth money . as say get upgrade room . really neat thing corner room great view Michigan Avenue . quite bit floor space , layout , much unusable . u shape would good way describe . floor space hallway make room area large regular room . desk hall bedroom / tv area . there nice easy chair , upgrade would expect place second person sit small table . move chair desk area order something sit . turn trash use " table " since none desk hall . that aside ' get say WONDERFUL bed . comfortable want take home . sheet pillow also top notch . the bathroom nice roomy well appoint . hotel caliber would light could well light make - up mirror . really enjoy sized bath sheet . I take exception hotel charge extra wi - fi . ' pay premium rate include . irritate expensive hotel nickel dim guest extra charge . there also " ick " situation . get robe closet appear use , re - hung . something brown icky sleeve back . throw bathtub dirty towel . take away , replace . ' say anything housekeep . ' learn experience ' want ticket housekeeping ' stay property . all hotel staff friendly helpful . bathroom sink drain slowly . call quickly repair . little surprised housekeeping ' report . ' know ' notice . the location great . convenient shop Michigan Avenue tourist site Field Museum Hancock Tower . overall experience good ' stay . 
 Oct 19 2008 	 wonderful experience ! 	 hotel comfortable , safe , perfectly locate visit Navy Pier , Art Museum , shop MIchigan Avenue ... etc . the pool large , sauna work -out room , staff offer great service . stay InterContinential always try book spending time Chicago . room well equip , bed comfortable , find place comfortable stay busy city ! 
 Oct 17 2008 	 's stay hotel room ? room clean breakdown 	 not happen often : unpack , get settle notice bathroom debris trash . , study situation , see debris shower -- hotel shampoo bottle , wrapper soap bar , etc . , still take bathroom like first time trip crime scene , notice use bar soap bathtub . YUCKK . not middle night , would reject room , exhausted think simply go bed . I second breakdown one meal seek : dessert . order two item . one come , wait , prod staff action . the workout room B- well : 12 piece equipment . able get treadmill . ICH charge $ 12 privilege workout . Memo ICH : problem 530am not cash -- choose exercise additional charge bill break get home personal charge . thank lot -- not generally take cash nice hotel workout joint . the hotel room give second honeymoon . open prison - like window drape find sticker read something like : & quot ; open window swarm bug outside & quot ; Nice . I believe , base stay five star hotel . 3.5 star well . this great chain really coast Chicago . Michigan Ave address not worth . keep look Chicago . 
 Oct 16 2008 	 great hotel great location 	 great hotel great location . 29th floor room really spacious well equip , great view city . breakfast complete good selection everything . service expect standard Intercontinental . afternoon / evening barman rather unfriendly . however , good hotel . 
 Oct 14 2008 	 everything could ask hotel . 	 place stay Chicago doubt InterContinental Michigan Ave . moment pull , till time ready leave , greet smile , & quot ; hello , & quot ; , help could ever use ! strive make sure relaxing stay hotel ever . cleanliness big issue wife , hotel pass fly color . hotel also perfect location . walk front door Michigan Ave & quot ; Magnificent Mile & quot ; , numerous restaurant , Navy Pier , Theater District , many great point interest . add fantastic time Chicago ! 
 Oct 8 2008 	 Love ... think 	 second return stay InterContinental . last October 2007 one night . great location shopping sightseeing ! room nice , ' it . on first trip , stick room two bed although request one KING bed . excuse number bed guarantee , say website booking point get blank stare like " so … what … tae leave " . effort make accommodate request . nice room , small unnecessary two double bed . second trip request one KING bed , give two double bed . parking convenient . last time not rent car , time . really close SAFE parking reasonably convenient distance hotel valet really MUST . downside valet customer service . first , one tell check stand one line pay valet first pick vehicle , another line go wait give key attendant drive offsite , street get car . ready wait twenty minute car . even call downstairs 30 minute ahead time . also small area patron wait leave car valet mean street ( downtown Chicago Magnificent Miracle Mile ) block traffic ! ! ! dangerous … .also , true Californian , room freezing since Spring , already air . send maintenance fix adjustment swore would heat never . overall , like hotel , perfect thought . 
 Oct 8 2008 	 Great Location 	 daughter shopping weekend stay InterContinental Chicago . good location exactly . also location provide many wonderful choice dining . walk everywhere great location . staff warm friendly . take mini tour original section hotel . there robe room , believe end day welcome . hotel magnificient swimming pool , must see . travel Chicago , definitely stay InterContinentalit pleasure we stay . 
 Oct 8 2008 	 Loved ICH Chicago 	 first visit Chicago therefore rely Tripadvisor comment help determine go stay . , tripadvisor prove valuable resource disappoint arrive hotel . stay room 35th floor Historic Tower ( upgarde require ) find room bit small size - view spectacular ! not get wrong , room adequate well appoint , want space stretch . front desk staff accommodate move we 23rd floor ( Historic Tower ) . room much large view spectacular - give one thing another aware this . now housekeeping ( pun intend ) way , hotel , although show age bit , classy old dame fill historic design architecture . service receive staff excellent . friendly , professional duty , important we knowledgeable . many question answer need - especially Concierge ' duty . hotel right smack dab middle everything need see within walk distance - shopping , theatre , night life , . modern upscale hotel area warmth charm welcome make feel comfortable Intercontinental . come back Chicago , back , Intercontinental Hotel stay .. 
 Oct 7 2008 	 heart downtown Chicago ! ! 	 Location , location , location . intercontinental place stay want excellent experience explore downtown . great location great accommodation , place . walk front door know place value time . quickly get check room . room , notice great view Chicago skyline / shoreline . room modern & quot ; feel & quot ; old . bathroom large bright shower hot ! olympic size swimming pool definitely something least view . even well take swim sense history marble surface pool . work facility also top notch . do working , bar definitely happen place happy hour always many people sit talk . restaurant good , place explore Chicago . get location place . magnificent mile easily walk Michigan Avenue head Navy Pier . summer firework lucky enough get room face Lake Michigan , see spectacular show . & quot ; L & quot ; block away take Wrigley Ville back Midway Airport . great experience around would definitely stay . 
 Oct 6 2008 	 enjoy Great Service 	 Fantastic service . great location . nice bar . great breakfast . 
 Oct 5 2008 	 Location Location Location 	 Intercontinental locate right heart Magnificent Mile .... close shopping ever need , lot restaurant also within walk distance . we children we , age 11 14 , loved & quot ; fancy & quot ; pool ..... ornate marble pillar make average hotel pool .... locate indoor . the staff friendly accomodate ..... one night , would recommend stay one night . 
 Oct 4 2008 	 great hotel 	 agree previous opinion mostly good hotel . excellent location tourism shop around . fine room though small bathroom expect . friendly staff exception later check without pay extra 30 $ ( even need 30 minute expect check 12:00 ) . excellent bed . great indoor pool sauna extra cost . 
 Oct 2 2008 	 reliable great location 	 Intercontinental Chicago consistently reliable hotel great location . stay hotel several time Chicago please service , cleanliness , location . hotel nice bar , however , wine bar adjacent hotel ( accessible inside hotel ) , great place relax enjoy extensive wine list , cheese , olive . bypass breakfast hotel favor Corner Bakery across street , decent breakfast selection , good quality food , great coffee . previous stay without complaint issue . stay , complaint call guest service & quot ; hot line & quot ; request bell hop meet we room help us luggage check , wait fairly lengthy time , retrieve car , check bell hop stand bell hop stand receive request , wait long period time , make we late leave appointment . staff member courteous apologized delay . the intercontinental good choice business pleasure stay Chicago . experience hotel staff overall good . 
 Oct 1 2008 	 Fantastic Homely Base Explore Chicago 	 Intercontinental Hotel , North Michigan Avenue , Chicago fantastic hotel use base explore vibrant city Chicago ! forth stay matter time year , always greet friendly smile ( doorman reception , chambermaid bar / waiting staff ) staff second none . bedroom excellent right amount luxury say room overlook North Michigan Avenue , little traffic noise . and well say Breakfast - 's die ! whether fantastic buffet selection freshly make waffle . heaven ! ! business customer reasurre know need mine cater . additionally concierge great help assist restaurant reservation tourist information . include unusual request local fire department . ( one customer UK fire service dream sit Chicago fire truck ) - great experience ! , can not praise hotel highly , real gem . 
 Oct 1 2008 	 well - mean laughably poor service intercontinental name 	 ' m currently stay Intercontinental Chicago , stay Intercontinental Kowloon twice , Grand Intercontinental Seoul year , puzzle part chain . Kowloon Grand spectacular outstanding service ( Kowloon probably good view hotel Hong Kong - even well Peninsula , another fantastic hotel Kowloon ) . Chicago Intercontinental mediocre good , well - mean laughably poor service management team deep denial regard require true first - class hotel ( even middle tier business class hotel ) .It start check : always request quiet , king , non - smoking room . give room two twin bed face Michigan Avenue . okay , fine - sometimes 's work . not expect Intercontinental paper - thin wall allow hear normal conversation adjoining room , one Chicago . then call clothe press meeting next day . three call later yet pick clothe , keep tell need fill laundry request form , refuse hear form , normal laundry bag , closet . finally leave clothe bed order make restaurant time . discover return clothe pick , instead simply press , request , send dry clean . perhaps look additional revenue ? ( ) will see get back time meeting morning - confidence high . then come business center . one , not copi , printer not work , one available help fix . good suggest try print PC 's business center , one charge minimum fee log discover one unable print . result , get charge log computer , go back front desk charge privilege make black white copy deck need color . must great marginal money - maker , along line airline charge $ 10 disgusting appetite suppressant call food become nothing short peasant class . oh yes , close midnight , , despite try get 15 simple deck print 9:30 pm , still not they . finally , patience end , provide feedback hotel management get whiney excuse excuse none thing responsibility , tone suggest favor provide service . true first - class hotel least step fact , Intercontinental Chicago - hapless victim cruel landscape control whatsoever . avoid hotel - Chicago pack hotel charge rate fantastic room . 
 Sep 25 2008 	 Loved InterContinental Chicago 	 stay 4 night could please . location great ( walk distance Navy Pier , Millenium Park , Art Institute Chicago , jazz club , restaurant ... ) , hotel close public transportation . staff friendly helpful . shop along Magnificent Mile right doorstep . room would expect fine hotel . sometimes information concierge less 100 % accurate , try hard helpful pleasant . hotel let we check 3 hour early charge keep luggage we many hour check , also charge hassle . Starbucks lobby also plus . 
 Sep 25 2008 	 LOved pool professional reception 	 enthusiastic recent stay Intercontinental Chicago , convenientely locate & quot ; Magnificent Mile & quot ; . really appreciate warm professional reception , staff always ready assist . try & quot ; old style & quot ; swim pool next convenient gym facility . , dinner , not forget drop new & quot ; Wine cheese bar & quot ; , pleasant tasty experience beautiful surrounding . 
 Sep 23 2008 	 bad old girl . 	 cheap hotel Chicago expect something grand , find , almost . whilst service crack paintwork make think old lady could use little love care . overall fabric ambience great amenity good resent pay internet access pay big buck , end day , quite small room . ah yes , room , realy quite pokey bathroom look well use . comfort factor though . hotel service fantastic , room service excellent price quick time take produce anything day night . the restaurant superb . loaction ideal do not like starbuck almost right lobby . overall , stay Chicago do not mind spend buck place . 
 Sep 22 2008 	 bunch theive 	 recently company work hold huge event hotel go . make mistake let valet park car stole money vehicle . discover fact pull garage . call Yosef garage manager STANDARD PARKING assure would investigate boss would call . one call . call back next day find screening call long accept mine , call several time since still one talk . talk front desk manager informed valet & quot ; part hotel & quot ; though would investigate authority punish thief / thief . since notify company find VICTIM . traveler / tourist WARE ! 
 Sep 11 2008 	 wonderful stay ! ! ! 	 hotel gorgeous accomodating . check three try drop bag hotel early flight Chicago . staff extremely friendly ... let we check 9:30 morning upgrade room . room comfortable , clean , great view surround area . charge $ 12 day fitness center ( think outrageous ) . good thing lot walk . would highly reccomend hotel ! 
 Sep 6 2008 	 Esther Williams Pool 	 sister spend two night weekend August . stay historical tower . swam beautiful pool Esther Williams swam . room clean view fabulous . could see Chicago river close shopping etc . 5th time stay last 8 year . would not think stay another place . however , miss cozy lounge jazz playing evening . afternoon shopping would sit snack drink watch shopper go . use entertain visitor . 5 star we . 
 Sep 3 2008 	 Great Location Pretty 	 stay last year accompany Hubby trip need make work . day attend conference . neither us Chicago . stay four day . the InterContinental perfect location . be next beautiful Chicago Tribune tower , fascinating little rock embed outside wall . short walk street be Michigan Avenue Bridge , stroll explore lie across river . head different direction walk Navy Pier . another direction , historic Water Tower sightseeing . course , right Mag Mile , shop close hand -- Nordstrom 's directly across street ! get blister sandal first day walk town need buy forgiving shoe rest trip , mall close convenient . room small cozy . not much view , not really matter , spend day . furnishing rich sumptuous , bed extremely comfy clean . small sofa situate window , fridge use . not get use pool hotel , check 's nice . hotel staff helpful whenever stop recommendation direction . we become enamor city back , explore -- four day enough ! will probably see get room InterContinental . fact , Hubby go back Chicago alone subsequent trip stay InterContinental second time like . stay together , happy room , service , cleanliness , location . 
 Aug 26 2008 	 orderly hotel .... 	 stay hotel business trip last week . originally give adjoining room ( think odd since travel alone ) , problem change room go front desk request one . room fairly nice upon initial inspection . however , afternoon unhappy find show slow drainage ( gross ) . also , bed linen change ( 2 night ) stay - think bad hosiptality say least . finally , hotel receipt wrong name ( well charge ) get correct upon checkout . sure happen . reservation agent not friendly bring attention . overall , probably stay go back Chicago would probably recommend . 
 Aug 22 2008 	 Great Intercontinental Hotel heart Chicago 	 first contact Intercontinental shock : usd 50 per day parking ! must fact hotel locate Michigan Avenue . check get usual upgrade ( Intercontinental Ambassador 10 year ) . give suite 4000 . get , first lift take 38th floor , another small one 40th . open directly room 's door locate penthouse . result , 360 degree view . quite treat ! decide swim 80 year old pool , Johnny Weissmuller prepare Olympic Gold medal race . historical tour within hotel sure miss anything spectacular . course intercontinental level service stage fully fledge room delicate amenity one expect * * * * * . short , great * * * * * hotel , extremely well locate , carry lot history stay business pleasure . P.S . : make sure book room historical building ! 
 Aug 19 2008 	 Heart Chicago 	 Loved ! classic look . beautiful room gorgeous pool .. even be plan swimming , must take look ! excellent location Miracle Mile , , walk distance everything ! free Trolley right . easy get airport .. use car service .. take train bus go 3 stop drop right front hotel . Starbucks & amp ; wine , Chocolate & amp ; cheese lounge right hotel . build historical . 
 Aug 19 2008 	 comfortable elegant hotel . great location . 	 room large well furnish . location convenient shopping , family visit attraction . many fine resturant nearby . staff efficient polite , would definitely return . 
 Aug 18 2008 	 great ... even good 	 room dirty upon check . cover dust , trash take , price tag old paper table andne , tell someone would right . someone come ... eventually . decent amount time sit around wait . even second round cleaning , room still unbelievably dusty . floor , dirty towel robe bathroom , use soap / shampoo shower . call asked room cleaThe decor cheesy well , not quiet , hotel charge everything possibly could ... not expect use pool WiFi without pay exorbitant price . none extra would expect so - call & quot ; luxury & quot ; hotel . staff go way provide good customer service . bottom line ... nice , expensive get , even clean ! also charge credit card extra $ 300 can not explain seem disintereste rectify . would stay ! 
 Aug 12 2008 	 Magnificent Times Hotel Intercontinental ! ! 	 good friend stay Intercontinental Hotel Chicago year celebrate Annual girl ' Weekend . hotel ! staff wonderful , great bar , coffee morning , fabulous in - room robe - locate Fabulous Miracle Mile ! nowhere else Chicago would rather stay . 
 Aug 8 2008 	 enjoyable experience 	 stay two day attend Lollopalooza music festival . one good location Chicago , Michigan Ave near Tribune Sun - Times building . easy walk bus ride many attraction . king size room nice , large , generous bathroom . service excellent throughout . check awesome swimming pool , straight twenty . 
 Aug 7 2008 	 stay Return Chicago ! 	 arrive early check - in , able get room right away . plus ! Room nicely appoint plenty room , include nice loveseat near window . nice flat screen tv work great . bathroom large nice soap etc . also , Coffee maker bathroom nice early morning cup coffee . location ideal go Michigan Avenue store ! 
 Aug 6 2008 	 Loved Intercontinental 	 highly recommend Intercontinental Hotel Michigan Avenue Chicago . stay twice , happy accomodation service . they expectation . last year stay need get hospital middle night service , care hotel staff wonderful well follow - up concern . room beautiful , well equip , clean hotel great location easily accessible everything . can not wait go back ! ! ! ! love Chicago ! ! 
 Aug 6 2008 	 mixed experience 	 happen stay twice hotel within two week , first 4 day suite end holiday trip another day standard room , go home . first stay excellent : beautiful room , good service enjoy great breakfast , especially notable friendly mexican cook bake we excellent omelette even bring , home - make sauce . also really enjoy Eno , wine / cheese / chocolate lounge inside hotel . second stay : standard room - course- much small , also quite noisy way reach lobby level stair ( although ask ) . restaurant completely empty uninterested waitress / receptionist attempt whatsoever get we on - board ( maybe want go home early evening , guess succeed , go Copperblue , around corner ) . next afternoon , find bar staff equally uninterested , one waiter even downright blunt . hand , bell waiter meet helpful fun hotel lobby - entire building matter - great atmosphere . can not beat location , right Michigan Avenue . 
 Aug 5 2008 	 Price Better 	 Chicago Intercon pretty hotel great location , room tiny bathroom like something would expect budget hotel . front desk allow we check early ( noon ) , send we incorrect room require we carry belonging new room go back new key . tv not work , require disruptive call maintenance man . valet parking charge ridiculous -- $ 50 overnight . also upset pay internet access : 's 2008 folk , business hotel still treat internet access 's exceptional service customer pay extra ? internet service assume include every hotel , like hot water . least staff fairly friendly , bright spot . concierge helpful , take good deal time steer we couple excellent restaurant . 
 Aug 3 2008 	 Disappointing would recommend 	 disappoint stay Intercontinental Chicago . live reputation set Intercontinentals stay ( include one third world ) . arrive , first set room key work . return reception get second set key , yet unable get room . tell wait outside room security would let we . , four - star hotel end sit floor wait ( luggage , bell hop fast security ) . security let we , wait mechanic check door lock ( fine ) fetch we third set work key . our room mysteriously damp , peel wallpaper throughout . at 4 , mini - bar fridge make screech noise would not stop could heard closed door . call reception wait mechanic show fix problem . the compensation intercontinental management willing offer free breakfast , could take advantage due long road trip ahead we . we would suggest Intercontinental Chicago truly expect four - star experience . 
 Jul 30 2008 	 Outstanding Chicago 	 stay Intercontinental Chicago long weekend get away . could not well ! location perfect , room nice service outstanding . room clean bed like sleep cloud . front desk take care need include move we another room well view , hassle . go lunch move everything another room incredible view . lounge great place end night , nice atmosphere great snack . everyone hotel aim please , second stay Intercontinental definetly back ! 
 Jul 22 2008 	 Wonderful Service 	 arrive early check , offer room also inform could upgrade due Priority Club Membership . cleanliness knowledge hotel 's staff far expectation . bar bit disappointing drink poorly make ice overflow onto cocktail table serve . several bartender behind bar eventually walk bar order drink . experience -- delight stay hope return soon . Karla Riesinger 
 Jul 22 2008 	 Excellent Choice 	 recently stay intercontinental weekend birthday get - away . stay Historic Tower ( 31st floor , far east side ) unbelievable view Chicago river Lake Michigan / Navy Pier . room clean quiet . front desk extremely helpful provide local map , call restaurant reservation , answer question . treatment receive - staff , front desk , fitness center attendant , etc much appreciate . 
 Jul 17 2008 	 Great Hotel Great Location 	 want stay hotel entrance Magnificent Mile , would recommend hotel . husband book room hotwire.com get wonderful rate 4th July holiday . probably small room hotel , clean extremely quiet . bathroom nice size easily allow two people get ready one time . room large flat - screen television , desk large enough work , decent sized closet . impressed bed -- soft , soft . staff pleasant in - your - face . high - maintenance want staff constantly greet ask need anything , might place . would recommend hotel anyone visit Chicago , especially want location middle . easy walk great shopping , Hancock Tower , many restaurant . 
 Jul 17 2008 	 good location 	 well locate hotel ( Magnificent Mile ) . nice building -- least old part , build 1929 luxury ' Medinah Athletic Club ' . hotel also ' new ' wing ( build early 1960 ) , much less architectural highlight . room new wing -- seem premium stay old wing book one cheap room hotel . nevertheless , room quite spacious , well - equip reasonably stylish . room back build 16th floor bit view onto Lake Michigan . enjoyed use ' junior olympic swimming pool ' ( free resident ) 14th floor old wing -- almost two occasion go . 
 Jul 16 2008 	 Great Location Nice Rooms Complaints 	 nice location , right Magnificent Mile midst store action . walk distance Navy Pier ( 15 minute walk ) . street Millenium Park Art Institude . right outside door trolley bus stop get anywhere desire . couple block Grant Park river cruise . lot restaurant shop around . room clean , bed comfortable , great view room . service great , fast check easy checkout . charge late checkout , also hold bag need cost . would stay without hesitation . love stay recommend friend family . will not disappoint location . 
 Jul 16 2008 	 great place celebrate 	 celebration granddaughter 's 6th birthday , enjoy special weekend Chicago . never stay InterContinental , initially concerned hotel would offer hope enrich time together celebration . certainly disappointment . hotel beautiful , room clean , hotel personnel professional willing assist , location perfect Magnificent Mile Michigan Avenue ! 
 Jul 15 2008 	 functional dependable 4 - star much 	 hotel , part , provide standard 4 - star experience . room , modern tower stay , presentable dependable , unremarkable respect . 's little sense luxury place , although might case room historic tower . might find little small side , 's price pay central location , right North Michigan Avenue . the one major downside , reviewer comment , absurd range additional charge hotel levy . kind add - on uncommon hotel , be irritate charge $ 12.95 per day internet access ( really free nowadays ) $ 12 gym ( pretty dowdy affair ) , lead alone predictably ludicrous array charge in - room extra ( $ 5.95 bottle water ) .All say , 's reason avoid hotel , secure decent rate . equally , though , be certainly reason pay top - dollar stay . 
 Jul 14 2008 	 location luxury 	 look hotel truly good location , Intercontinental -- right Magnificent Mile , next Chicago River , across Wrigley Building . daughter stay getaway , quickly able get Milennium Park , shopping , Navy Pier , great dining , explore festival stroll beautiful area along lakefront Chicago River . check - in easy treat courtesy throughout stay . Maria , one concierge , especially helpful find we unique place eat . room lovely comfortable , although tub not drain well . wonderful stay ! 
 Jul 13 2008 	 enjoyable stay 	 superb suite Historic Tower , extremely spacious comfortable . staff , trainee check clerk onwards , helpful . buffet breakfast extensive good quality easily good visit U.S .. location south end Magnificent Mile convenient attraction . read review almost wonder stay hotel . 
 Jul 10 2008 	 Friendly Staff 	 Intercontinental Hotel centrally locate dwontown Chicago . walk distance Navy Pier , Grant Park , Rush Street , course locate right Michigan Avenue . staff extremely friendly room clean . valet parking also convienvent . next trip Chicago plan stay Intercontinental . 
 Jul 9 2008 	 Nice Hotel Close Mag Mile Theater District 	 old nice hotel within easy walk distance Mag Mile Theater District . pleasantly surprise extra bathroom suite , excellent house keeping service . concierge also recommend charming italian restaurant nearby call Volare . 
 Jul 9 2008 	 pick another hotel 	 many hotel pay reasonable amount money stay , bad . price range nickle dime everything ( workout room , internet , etc . ) . hotel area include much hotel much need renovation new management . 
 Jul 9 2008 	 good hotel right price ... 	 book hotel absoulute steal hotels.com . hotel great location walk lakefront , water tower el stop . room slightly big average well appoint . real dissapointment InterContinental service . check tell fee incedental $ 100.00 per night , $ 75.00 tell book hotel . front desk clerk apologize confusion , simply carry transaction , offer upgrade historic tower , bundle service ( telephone , internet , fitness center ) .The parking service even worse , never valet 11:00 pm walk key reception desk . $ 49.00 day want physically valet wait ! housekeeping efficent forgetful , part & quot ; greening & quot ; hotel give option reuse linen / towel stay . someone try & quot ; green & quot ; noftife housekeeper would keep linens/ towel 3 night stay . even day would replace linen / towel . return home stay notice $ 300.00 charge credit card , beacuse use hotel service valet call question . 6 attempt ( account receiveable clerk vacation , transfered dead end extention place hold die ) finally able speak manager duty , tell charge account ( even though look statement ) problem bank . place hold , tell fact charge twice room charge would reversed . real apology phone call end . the InterContinental good hotel get fire sale , pay peak season rate well $ 200.00 night would greatly disappoint . hotel 3 star 2 star service . 
