Welcoming 	 reception staff welcome helpful even late hour night . hotel nice , well locate . room basic , bit small basic furniture . bathroom however really nice multiple amenity . breakfast week end really good , weekday however limited choice always ask staff hot food . the negative comment hour opening bar . close 11 pm Sunday . 
 Jul 14 2008 	 Grew 	 stay hotel 2 night business trip . arrive Friday night 9:30 pm delay flight long week . exhausted . first thought cab drop wrong place look like bar music loud could hear people speak well . one door , one help bring bag room . describe check - in desk room bar loud music . also concierge desk person could book anything could hear music . dread make bad mistake book hotel . , 6th floor room totally quiet quite comfortable . room service menu service great . come next morning breakfast wonderful selection folk guitarist . next day classical guitarist . ther concierge quite helpful next day also book car airport . someone help bag well . hotel rooftop bar well great touch . look Trafalgar square . , check - out person front take long time . one come help . see cab arrange outside go make sure mine . come back third person come someone immediately come help . simply leave key flight catch . , experience mix . boutique hotel not think book due name Hilton expect . staff try helpful , somewhat disorganized . London see site around Trafalgar Square would stay . 
 Jul 10 2008 	 Location Location Location 	 recently stay 2 night Trafalgar . get , tell we room not ready really apologetic whole thing . 1 pm not surprised . get back , find upgrade us suite . room palatial UK standard - bedroom , den , 2 bathroom small room 2 armoire . the room modern hip ( way maybe try little hard ) . bed fluffy comfortable . one thing aware , however , not breakfast include - rather spendy ... $ 45 / person ! nothing spectacular - pretty basic fare . odd thing 2 flat screen tv room dvd player tv set hotel network could not use . call help , not really able much -- find little odd . staff friendly always willing help . 
 Jul 6 2008 	 wonderful stay ! 	 shop London hotel use review TripAdvisor , want share experience Trafalgar Hilton . our flight land Gatwick 7 am , would put we hotel 10 am . email Trafalgar Hilton request early check , know could provide available . arrive hotel 9:30am pour rain . staff whisk we taxi hotel . already know , expect we . room ready within minute arrival . everyone friendly helpful . concierge offer excellent tour dining suggestion . breakfast buffet every morning . would consider breakfast buffet pricy already include room rate , plentiful tasty . even live music ( jazz guitarist coffee - house - style guitar ) breakfast ! choose take breakfast buffet , Pret Manger less 1 block away . our room quiet comfortable . like more - firm bed , find bed comfortable . stay include Saturday Night , Friday Lobby Bar get hop . never hear music room ; room quiet night night . can not beat location ! many London 's tourist attraction walk distance Trafalgar Hilton . London tourist , location important I . we wonderful stay Trafalgar Hilton . 
 Jul 2 2008 	 Trafalgar disappointment 	 recently stay Trafalgar Hilton business . my driver difficulty find hotel , building & quot ; Trafalgar & quot ; sign outside . one enter small side street across Trafalgar Square . Tthe majority first floor occupy large bar . check little clumsy ; couple desk corner room . Hilton Honors member establish profile non smoker . ask room one top floor warn bar get noisy noise carry . give room top floor , smoking room . promptly ask different room tell availability first floor . reluctantly accept . room bar , main street side . noise night loud enough wake you . in general find staff polite cool . uniform black greeting door enter hotel cold . I disappoint hotel . bar , boubon bar , even London standard expensive ( $ 15e shoot good bourbon ) .The location good , find general charm , courtesy staff lack . would suggest investigate choice . 
 Jun 12 2008 	 Absolutley lovely 	 Stayed last saturday night , book night lastmin.com , get double room £ 80 , bargain . hotel good place London , right trafalgar square . check smooth staff polite . room fifth floor side view square . excellent room mod con , dvd player , hi fi flat screen tv , even iron ironing board . go evening drink roof terrace bar look trafalgar square . fab must go , drink little pricey still worth . leave bag next day could visit sight capital staff helpful . would highly recommend hotel would love stay sometime . 
 Jun 12 2008 	 Trafalgar London outstanding 	 first trip London not sure expect continental hotel . Trafalgar London ( Hilton property ) outstanding -- modern clean , top notch staff , cozy roof - top bar great view . hotel locate Trafalgar Square thus within easy walk distance major London tourist site . walk everywhere Trafalgar 's location allow we avoid expensive transit cost . nearby & quot ; Original Tour & quot ; bus great -- check . ride day on / off privilege one price . definitely consider Trafalgar London head London . 
 Jun 3 2008 	 Pleased Trafalgar 	 early check - in late check - out , please Trafalgar . we stay three night pleasantly surprise spaciousness room helpful staff . help we get ticket major attraction , London Eye pleasant came go . with central location , able walk many thing want see . we would certainly stay . 
 May 25 2008 	 family business traveler 	 Stayed night business mix . hotel amazing location , literally right across Trafalgar Square , thing could close . , room straight Ikea - cheap wardrobe instead closet mattress bed absolute shocker . bad sleep ' ve ever . staff ok , definitely warm friendly . lobby also typical Hilton , like night club happen room upstairs . think be 20 year old low expectation , will love . 
 May 11 2008 	 Jewell Hilton Crown 10/10 	 spend 4 night double delux club room , enjoy stay trip strengthen love hotel . the location amazing , style modern yet retain personal polite approach , anything one place correctly reflect majesty London modern age . every staff member polite helpfull , atmoshere buzzing , room spotless roomy . Loved stay much immediatley book another stay next month . well do Trafalger Hilton . thank thecity view room 
 Apr 22 2008 	 would stay ! 	 husband leave kid grandparent go whirlwind trip ( 4 day ) London - first time . moment arrive Trafalgar departure experience impecable service . room , advertised , minimalist design , highly functional clean . concierge ever present help we direction ticket tourist stuff drag husband ! way , want authentic London theatre experience , go Agatha Christie 's & quot ; Mousetrap & quot ; St. Martin 's Theatre . long running play London - within 10 minute hotel . always several staff member wait hold door , answer question , ask day go . lounge / bar area funky cool . hotel centrally locate short walk local underground access . can not recommend hotel enough . 
 Apr 16 2008 	 pleasant surprise 	 Realy enjoy three day stay Trafalgar . great location . spacious , minimalist room . Stayed family ( five total ) include two late teen . went see Hairspray fantastic show highly recommend . parking usual expensive right next hotel although long special deal pay full price . check efficient although little slow . gym although one run machine - get early late ! like Hilton policy charge half price second room child really help expensive city like London . pleasantly surprise Hilton . Honours member stay number around country . gripe , breakfast service extremely hit miss . walk last morning wait 15 minute absolutely service whatsoever ! ! ! busy , however , hardly staff duty . would return - maybe , could guarantee breakfast ! 
 Apr 5 2008 	 great location lousy service 	 stay last week reward stay . nice hotel outstanding location . probably place bring kid , etc . place look like & quot ; W & quot ; Ian Schrager hotel , etc . definitely different Hilton . lobby cool restaurant basement cool well . guy play live music everyday breakfast . location absolutely fantastic . find stop hotel twice day freshen , etc . tour city . got & quot ; upgrade & quot ; guess one room picture . look right onto Trafalgar Square . room need minor updating . probably 5 - 8 year since refresh . lobby well maintain . bring Ipod cord stereo . one room . nice big , flatscreen tv room . breakfast buffet great.negative -- internet 15 pound per day- ridiculous . -service average , bad . hotel management read website make change . several people comment . call Front Desk several time . one day , even pick , go . order room service three time , twice guy bring forgot bring bill , not charge . figure make internet charge ! front desk staff bad , borderline obnoxious . anyways , location motif make lousy service . 
 Apr 1 2008 	 Excellent Choice 	 excellent , modern choice London . room spacious , clean , modern , complete view Trafalgar Square . bathroom large , comfortable , quite enjoy robe slipper . surprised find chic hotel boutique - feel Hilton brand ! almost miss hotel , due ( thankfully ! ) non - descript branding exterior . location also superb , close enough activity without top crowd . stay five night would hesitate return . fabulous experience . make sure visit hotel bar , . nice wine list great atmosphere ... wonderful place grab drink day walk . truly feel like guest property . 
 Mar 25 2008 	 Fantastic 	 lucky enough put night business trip - love ! gorgeous decor , decent - sized room lovely Arran Aromatics toiletry huge size . breakfast great - really delicious food live music . pretty impressive . the staff friendly incredibly helpful . I would definitely stay - even one footing bill ! 
 Mar 24 2008 	 Excellent hotel 	 back stay easter sunday . Location exactly want london , trafalgar square , right centre , perfect leceister square , covent garden , buckingham palace e.t.c . arrive early checkin 2 pm ( checkin 3 pm ) . checkin quick . staff friendly . room standard double get amazing rate lastminute.com half normal rate . thought might end half normal type room , room nice modern . the room recently renovate modern clean . love huge flat screen lcd tv . modern large bathroom extremely comfy bed . we excellent night rest . room also dvd player sony music station well alarm clock . tea coffee facility include hot chocolate . we tire morning checkout ask late checkout call reception add charge . like hotel bit leniant towards late checkout money grab like hotel stay in . all nice modern hotel nice big room experience friendly staff . even well get great rate like one get . 
 Feb 24 2008 	 different 	 usual hilton welome , random people computer bar ! ! ! struggle along guest find reception , direct random people , not seem give dam anyone anything . politness , seem aotomatic pilot , dish room quickly . on opening room door though delight ! oversized throughout deluxe facility . , bin pretty sight , think go back bar inform situation option . 's public knowledge everyone arround room number , business be . the hotel central everywhere , extremely clean modern . when check , £ 12 add bill , ask , tell every time open mini bar door get charge , even keep water ! need sort unfrindly attitude , stay quite lot hilton hotel , never experience anything like ! 
 Feb 22 2008 	 Convenient Cool 	 fantastic hotel - convenient everything tourist . able walk everywhere else hop tube 50 metre away . and , course , Trafalgar Square foot . upgrade get view Square - deluxe room big well . the bathroom excellent seperate shower lovely Arran product - large bottle . we meet friend dinner good meal . nice Londoners not know hotel , liked say would use bar great meeting place . could not believe Hilton ! breakfast terrific wonderful service - live guitarist lovely . we also breakfast room , , great service . another reviewer complain tables restaurant low . yes , low , chair ratio perfect . I understand problem Bacardi bar , happy enough drink wine . specialise bourbon . also , would not bring elderly people might enjoy music bar . and good way enter hotel door Trafalgar Square side Spring Gardens . way wll land exactly front reception , bit deceive 's bank computer screen . the concierge usually sit inside Trafalgar Square door . otherwise , perfect . never easy relaxed trip London . I would love try summer Rooftop Terrace open ! 
 Feb 16 2008 	 unusual Hilton 	 stay 2 day short break February . style hotel different Hilton ' ve stay . upmarket , hip chic - overall good change usual . price pay ( £ 150 per night two person breakfast VAT ) sensible quality consider location central London . service bar breakfast restaurant excellent . room large clean comfortable modern minimalistic design . arrival check smooth polite understand comment guest difficulty particularly busy arrival . good stay consider return . 
 Jan 10 2008 	 absoloutely divine 	 book hotel bit mystery laterooms.com - claim great deal hotel could not put 's name .... great deal ! partner stay last night London location brilliant - Trafalgar Square front door . catch tube nearly front door . staff lovely , door open arrival departure always greet smile friendly hello . check Check efficient . room spacious bed extremely comfortable . love minimal furnishing sleek , sophisticated look hotel . eat breakfast Pret Manger door unfortunately chance sample food hotel . stay pretty perfect would highly recommend hotel romantic getaway . bathroom spacious shower brilliant water pressure . toiletry little different norm luxurious . thank much memorable stay ! 
 Dec 18 2007 	 great view 	 stay Trafalgar November 2 night treat partner birthday . arrive early check tell room would make available within 1 hour ( surprise ) . stay deluxe room nice great view Trafalgar Square , hotel great location great landmark London within easy reach . the lobby come alive evening funky dj . dinner reservation elsewhere breakfast delight live music finish tough fantastic trip London . overall great hotel courteous staff . 
 Dec 13 2007 	 Decent hotel -- service issue ... 	 hotel extremely well locate . room good size stylish . in - room tv movie system date mini bar good selection . price pay ( 300 GBP per night ) , might able get well deal go elsewhere . here nitpick small complaints:1 . hotel tack 1 GBP per night ' voluntary donation ' bill . charity , apparently . anger -- relationship Hilton extend make charitable donation behalf -- particularly opt - out basis . completely unprofessional . speak manager defensive -- opinion -- ' get ' . would like go restaurant bill inflate charitable donation opt - out ? 2 . ask slipper room several time . 4th request ( joke ) , someone finally bring -- one pair two pair request . ( normally two pair slipper - stay hotel ) . must sort disconnect guest request actual action.3 . internet slow expensive ( 15 GBP 24 hour ) . rip - off . business , sure ask hotel broadband service cost speed . seem slow dial - up me.4 . hotel great bar planning friend join pre - christmas drink , completely close private party give hour warning go elsewhere . important ( advertised ) hotel amenity completely unavailable guest , hotel make amend reduce room price . otherwise , tantamount false advertising say ' come enjoy fine bar ' guest arrive find unavailable . I will probably find another place stay next time London ... ' voluntary donation ' issue - opinion - really reflect lack understand typical business traveler . 
 Oct 28 2007 	 strange hotel 	 firstly hotel incredibly hard find ; name Hilton appear anywhere hotel , fact , hotel situate bar ! check DJ play behind reception desk odd - definitely hotel family anyone expect kind service . try book table restaurant 8.30pm Friday night tell already close . hotel also advertise 24 hour bar close 1 pm Saturday night , return drink friend ; member staff say could get drink want , not feel right chair put table floor sweep . breakfast room like late night drinking lounge , carpet furniture black staff dress black . table chair REALLY low , sit round table little armchair not allow pull table properly , set totally unsuitable eating meal , next morning decide order breakfast bring room . give member staff order tell would take least hour half deliver ! ! ! end go downstairs , collect breakfast bring room . book deluxe room two double bed , get basic room two single , give we little camp bed ! ( 3 we ) tip guy £ 10 go lot trouble try compensate , watch , get charge tip , bill £ 5.80 tip room dine not , £ 46.50 extra continental breakfast £ 15 . way , London party girl still enjoy night west end , nightclub nightlife . in summary pay location , location ! 
 Oct 27 2007 	 step apart usual Hilton - almost 	 Trafalgar clearly everyday Hilton - 's branding style clearly be , upmarket Malmaisson rather Hilton , Hilton logo see - evidence Hilton high mini bar price - plenty bar minute away . position excellent , right corner Trafalgar square , though taxi driver struggle find - signage quite small . reception decidedly odd - staff welcoming - 's unclear reception desk internet cafe hotel reception - fine whilst quiet confusing busy . room strike - quite minimalist need - seat area step - fall - carelessness . fantastic bathroom , big walk shower bath - spacious large bottle fab toiletry . rooftop bar interesting - great view nearby area - bit fresh / cool - plenty blanket , probably place go one drink rather make night it . do not try food - plenty restaurant bar near , Pret opposite great cheap breakfast buttie . overall - impressed - good room overlook front . ' m sure would keen back room . hence stay - pay bit extra make worthwhile . , 
 Oct 11 2007 	 great location nice hotel 	 great hotel location , nice clean room , front desk staff lack customer service skill , overall great , modern hotel . Rooftop bar great view . 
 Sep 27 2007 	 Awful Hotel - Stay 	 stay hotel one night friend .. lookingfor relax night hotel monent enter hotel many problem .. wait awarkd que tocheck .. finally get speak someone wait hour room ready even low 4oclock check time 3 ... service terrible . staff pretenious look nose .. one willing help we .. room nice furnish well special view .. roof top garden open another bit let .. food ok price charge tray charge another service charge think awfull asumin hotel .. relaxin stay .. hotel clearly tryin young hip trendy clearly interested .. many decent hotel london please do not waste time one .. disappoint 
 Sep 22 2007 	 good modern hotel 	 hotel excellent location . although heart one busy city Europe , hotel excellent sound proof . enter hotel one seem misss existence traditional reception area . worry ! . hotel ultra modern decor black white dim good lighting . lobby reception area take form nightclub music play early 6 p.m . although restaurant available ground basement level , evening one enjoy quiet meal music tend bit loud . room spacious ( upgrade vip Gold Honours ) clean always stock neccessitie . staff always helpful courteous . Taxi stand available , close Haymarket , short walking distance ( suggest traffic London terrible ) shopping area . experience new concept hotel . Positive would recomend . 
 Sep 17 2007 	 Real Hotel Babylon ! ! ! 	 good hotel ever stay ! hotel cool funky feel obviously money spend recently modern , contempary unlike many date hotel near by . Staff friendly generally helpful . stay 4th floor provide view accross Trafalgar Square . room self lovely oversized bed , flat screen tv , dvd player , music system . en - suite modern clean . breakfast fantastic - everything could want - even offer champaign cook breakfast ! also live music ! overall expectation 
 Sep 16 2007 	 stay -- Hilton Rip - Off 	 OVERPRICED hilton try BOUTIQUE HOTEL - stay ...... staff look we minute arrive , despite fact pay £ 300.The standard room get disabled room available . average round drink £ 30 restaurant downstairs sterile pack bar dj upstairs music . the wonderful view promise , basically can not get rooftop bar ( even guest ) 's full pretencious people quee get night . room service charge delivery plus add service charge . 
 Sep 6 2007 	 Excellent London Hotel 	 find hotel Hotwire.com ( say find we ) excellent rate $ 199 / night . get , wife not expect much , pleasantly surprised . 's trendy look ( sort w look / feel ) , ' ve enjoy : * excellent location : right middle Trafalgar Square , hotel close almost everything , walk distance many London attraction ( Buckingham Palace , Westminster Abbey , Leicester Square , Piccadilly , National Gallery , British Museum , among many other ) * room : room spacious king size bed big comfortable . Plasma TV , internet access available . * food : good . trafalgar bar / restaurant offer good food , wine , cocktail . * service : excellent * rate : reasonable hotwire . compare everything else London ( pricey ! ) good deal trip . 
 Sep 3 2007 	 Hip trendy service tempermental 	 another female friend stay 2 night hotel weekend . start great go hill second day . overall enjoed stay problem would not expect 4 star hiltonPro'sWe get upgrade executive room I m hilton gold member ( standard hilton policy ) room really nice Room cd player , dvd flat screen tv robe slipper etc really nice toiletry mention previous reviewstheir welcome bottle wine fruit return room chocolate turn service ( 1st night ) concerige quite helpfulbar rooftop garden hip trendy 20 's fungood locationCon'sWhen return shop 3 pm room not cleanedtheir not enough towel 2 us 2 phonecalls later bring up . when come back dinner 10 pm room still not clean ( rang 3 time ) bar\restuarant add service charge 1.50- 3.00 pound everything drink v expensive without this . this hotel opinion suitable old guest bar get crowded dj play not think hotel worth 190 pound night sure would stay . 
 Aug 21 2007 	 sure one 	 well can not really make mind like particular Hilton .... go niece one night shopping sightseeing school holiday break . I stay Hilton Park Lane really like room available Hilton central decide one going show Piccadilly sight within walking distance ' to list' . firstly signage outside hotel denote Hilton . ( since read hotel meet Hilton standard ) .On enter small desk one beyond bar practically bar soon enter . beyond square kind high desk computer reception staff . bit strange traditional reception staff behind seem bit temporary change layout make do . we arrive around 10 a.m travel train busy itinery want leave bag get . however friendly staff efficient allocate room immediately floor 3 . room however make double twin book quick call reception remedie Rachael one receptionist meet we landing relocate we fourth floor twin room . the twin room nice , quite spacious 2 wardrobe , robe slipper . view office book deluxe room could view Traflagar Square . the bathroom contemporary bath centre plug shower . large square wash basin shelf surround around basin place put toiletry . spacious really user friendly put thing floor . we freshen go great day . on return drink bar go room shower . Sam concierge previously get us ticket Grease Piccadilly ( phone ahead trip ) .he nice polite happy we . show we directly head evening helpful.he say request future trip would happy help could . breakfast serve downstair stairs lead bar area since find area double extra bar area evening . furnish black low table leather chair ... quite right breakfast thought . there buffet style table help fruit / yogurt / cereal / toast / pastry cold meat etc . show table ask room number waiter came cofee tea leave help . sat start eat another waiter come menu ask would like order hot menu . already start food time tell know hot menu would choose late time disappointing . fact would say whole breakfast experience rather disappointing . choose hot menu would'nt comfortable eat low table . the plus side hotel welcome staff ... stuffy friendly wonderful central location . particularly good visit piccadilly evening need transport . the side strange reception area fact bar lobby restaurant . also return evening would nice sat cup cofee people watch bit lobby soon enter hotel busy noisy bar DJ 15 yr old niece feel uncomfortable ambience nightclub hotel . we go straight room night cap . another big downside lobby .... lack ! think book London hotel new year eve mainly go sale new year day may decide go back Hilton Park Lane . 
 Aug 17 2007 	 Strange Hilton Experience 	 Hilton HHonor Diamond member , book hotel end great 12 day mediteranean criuse experience wife . use point ( category 6 , 24,000 point ) . arrive London Heathrow , catch Heathrow Express train Paddington Station , get taxi take we hotel . ( well fast way get London Heathrow - 58 pounds/2 person / round trip/15 minute way ) . driver know hotel , know street . arrive Spring Gardens , absolutely signage kind identify Hilton ! ! ! ! ! circle twice , time get start open door building open one mark 2 Trafalgar , voila ! Hilton lobby ! ! ! lobby / bar area well average upscale Hilton . really cold unappealling . room upgrade overlook Trafalgar Square 2nd floor , pretty interesting . however , room ok 1 night stay . street noise , carpet wear , fixture general look average , shelve bathroom personal thing . roof top bar area , get crowded local wife , hotel guest , could even enjoy drink ! bouncer restrict access avoid overcrowding . complimentary breakfast offer , available cost 15.50 pound ( ~ $ 31 ) per person . full , hot breakfast almost 20 pound per person . breakfast ! outrageous . food available around local area ( although really 8:30 9 ) alternative . vague explanation offer allow signage outside . say since hotel meet Hilton standard , advertise . not make sense .............. bottom line , walk convienience Trafalgar Square nearby sight , might worth . luxury Hilton , forget . 
 Jul 29 2007 	 Unbeatable 	 arrive afternoon , arrive use underground Piccadilly Circus & amp ; 7 minute walk hotel . having read previous report check , be not look forward . fantastic walk straight & amp ; within minute room . it spacious say least , great bathroom , bedroom , really could not find fault ! . view room look office care . great location see sight , London Eye brisk 20 minute walk , Buckingham palace 10 minute . later night visit bar , great staff & amp ; real top night . my stay could not well , picture follow . 
 Jul 21 2007 	 still excellent third stay 	 third stay hotel 's wonderful . corner room ( 302 ) wonderful view . hotel clean , well maintain , excellent location , excellent staff . would highly recommend . 
 Jul 9 2007 	 best ! 	 get back 2 day ago stay Trafalgar ( Hilton property ) London 's famed Trafalgar Square . absolutely love hotel . husband Hilton Honors Gold Member stay many Hilton property think hotel great . first , location fantastic . within close walk distance Buckingham Palace , Parliament , Westminster Abbey , many great site . stay Tour de France kick London opening ceremony hold Trafalgar Square . could look right window see event close ! 's also Tube station less half block away easy get anything else within walking distance . atmosphere hotel trendy . get reception desk , walk hip - look bar fill young , polished look crowd . make hotel seem desirable moment walk . night new type lip balm , cream , lotion leave pillow . also , toiletry full - size smell wonderful . robe slipper set use . issue ( seem minor glitch stay ) breakfast come free stay good . one morning go sit full hour half end breakfast egg entire time . despite tell 3 time egg way buffet , never see . end say something check receive follow - up email day manager . , think great hotel would definitely stay next time be London . 
 Jun 24 2007 	 great location 	 great location , right Trafalgar square , convenient tube station Charing Cross . room 5th floor quiet consider overlook square . faint rumble bus traffic . nice bathroom bath separate shower . Big LCD tv hi - fi . bed comfortable . downside , room smell cigarette smoke could not open window get fresh air . not ask move one night stay . staff helpful , hail we taxi bring towel we came drip wet rain storm . not sample food bar loud music bar will not everyone 's taste . 
 may 17 2007 	 Loved stay Hilton Trafalgar 	 stay wonderful . early planning stay Hilton Metropole last moment decide stay Trafalgar . the stay awesome . good perfect location tourist , soft bed , room face trafalgar square . wife Hilton Diamond member get room 5th floor ( topmost floor ) . hotel service awesome . the location perfect pretty much walk tourist location hotel . hotel front Trafalgar square Art museum , front Buckingham palace . place less 1/2 mile picadally circus great shopping Oxford Regents street . hotel theatere district theater minute walk go watch show ! .The hotel also good breakfast include rate otherwise would cost 20 GBP per person per day . we take bus tour include ride river Thames go area could not walk . bottom line want enjoy London tourist , location important 's Trafalgar . place central London stay . 
 Apr 23 2007 	 disapointe ! ! 	 book hotel month advance really look forward ! stay ruin soon walk door ! upon enter laugh 3 hotel staff . reception small desk hide corner bar . when go check receptionist rude , room ready despite we turn time put we another room . receptonist take paperwork back look we not . finally get room take 5 minute get room door play . walk room suprise picture room book room give two completly different thing ! ! chat hotel staff find correct room say regarded room one book ! later evening , return hotel around 7 pm exhausted day travel want go relax confront drunk walk bar get lift ! DJ night play extremely loud music get room 1st floor could still hear music . good thing could find good hotel location spot ! ! defiantly stay hilton hotel disapointing experience ! 
 Apr 18 2007 	 Loved Hotel 	 love hotel . get excellent deal priceline - name price- completely surprised walk . hotel modern lobby little strange also club / bar / restaurant . teh hotel room nice bed soft . nice surprise little gift ( lip balm , calm lotion ) housekeeping would leave bed . wonderful , even room serivce fast good . overall would say , wehn go back LOndon stay . location perfect , walk SOHO covent garden . right fromt spire trafalgar square . great ! highly recommend place offer calm place hip place hang night . 
 Apr 17 2007 	 shocked appauling service 	 group three we book double twin interconnecting room one night stay . arrive greet man stand random desk - reception , apparently . desk computer - could see everything computer comfortable . receptionist look uncomfortable aswel . receptionist seem bit attitude problem . lookeed cocky feel like lookig upon we - superior . smug , ' up ' look hand we key . check problem though impressed room . full sized toiletry , bathrobe , slipper , cd player , dvd player etc . comfortable bed too . when dinner restuarant feel like corner ' greasy spoon ' cafe 7 8 table , one party order & quot ; Hilton Burger & quot ; . waitress raise eyebrow say loudly & quot ; ? be burger ? ? dinner ? ? & quot ; . , embarrass rude . not order ever like ? aggro ? reply simple stern & quot ; yes ! & quot ; , said & quot ; Ok & quot ; sarcastically . food lovely , really good quality . could spot trend here . when go bar , interested see bar menu . ask politely see , barman say & quot ; well , see ID & quot ; serious tone . replied & quot ; serious ? want ID read bar food menu ? & quot ; & quot ; yes & quot ; reply . reluctantly give , read , hand back said & quot ; haha yeah that s fine & quot ; . play game we , jokey way . genuinely enjoy mock we . in bar extremely loud dj music , dreadful . could not peaceful drink . like night club , reception right next bar , feel sorry people check whilst noise go on . upon check query bill , politely ask female receptionist help we roll eye sigh loudly . , difficult request warrant reaction ? hardly . noticably none staff name tag . save neck rude cocky ? really ruin stay . 
 Apr 1 2007 	 not put rating ! 	 hotel great central location London sight see general weekend town . trafalgar square literally 30 second away hotel 's door step be within striking distance pretty much everything will want London . stay weekend think hotel facility good . expensive side standard room good size huge bed . ' ve get DVD player mini hi - fi room complimentary DVD / cd 's available via reception , however , bit date . bathroom surprisingly big issue whatsoever accommodation . hotel great bar pack non - resident . roof garden bar mean really good , offer nice view London night , not get chance check close due bad weather . there s also business section internet / office use not need . facility stay work pleasure . negative experience , really disappointing , regard service . ' m demand customer mean thing really let hotel constant mistake make staff . seem everyone trainee lack experience - service not professional . real shame everything else hotel great . example , room service would constantly screw food order actually get food ( always deliver time ) , actually quite nice . complain service checkout mark breakfast cost complimentary . maybe catch hotel bad weekend would definitely give 2nd chance would not write point . basically , service acceptable least , probably would give 4 rating . finger cross next time ! 
 Mar 27 2007 	 Hot Tip London stay 	 travel London business every year , stay Trafalgar Hilton last several year . previously , stay Metropolitan , Sanderson St. Martin 's Lane , become pricey company . Located Trafalgar Square , hotel give plenty London within walk distance , Parliament Westminster Abbey West end theater Covent Garden . ' ve never dine , bar food so - so , terrific scottish restaurant next door , cool club . least hotel bar tends fill actual Londoners weekend night , fun . bartender great work . hotel staff friendly accommodating . room look new , offer contemporary decor . deluxe room last trip big , two level , great view Trafalgar Square . good , be well worth price , good hotel great location London mid - level kind price . 
 Mar 18 2007 	 Great Great Hotel 	 wow ! hotel wonderful . location can not beat . tube station 200 ft . away , great . walk distance many sight attraction . staff nice . blow electricity room day arrive move we another room quickly . bed comfortable ! come back hotel every night room clean feel good . hotel provide full size shampoo , body wash , lotion . nice touch . time provide dvd watch . leave deposit get back . bathrobe slipper another nice touch . view not good not book would see window . not take bar / club everyone seem great time ( although could not hear elevator door close ) . 
 Feb 28 2007 	 great surprise 	 modern hotel great location , right alongside Trafalger Square . the room ultra modern give feel ' top notch ' hotel moment walk door . stay many Hiltons around world one definately . also spotlessly clean ! ! word advise breakfast expensive ( c.£20 ) would recommend get room rate include breakfast . 
 Feb 28 2007 	 Good London Option 	 ' ve stay Trafalgar Hilton twice . stay nice . room large one would expect . staff friendly helpful . bar nice - quiet morning coffee wireless access , happen evening would not know elevator door close . fitness facility nice enough , though be odd front desk staff let . location great . big downside shower leak room ' ve stay . nothing major , really hassle . sure request room back , least right Trafalgar Square . view super , noise keep night first stay . 
 Feb 20 2007 	 surprisingly good 	 well nearly stay previous review , especially discussion poor front desk experience . either read Tripadvisor read hotel review card experience great . stay week front desk find someone fix curtain room 11 pm , print map central london restaurant check flight , helpful . be 5 * place everything expect money , room large even good hotel ( one metropolitan tiny comparsion ) bar go every night upstairs quiet . good bet business leisure great price central London 
 Feb 3 2007 	 pleasent stay 	 stay january 31st february 2nd 2007.i work Hilton get employee rate low do not expext good room : - ) ! get room first floor , spacious an everything need , clean , view not nice - office building opposite . I would defenitly stay .... 
 Jan 29 2007 	 employee Inept / great location 	 like hotel front desk little slow ! location incredible . outside front door city bus ( # ( 9 ) take Harrods Department store 15 minute . arrive London 9 am allow check early , even though request early check - in . 3 pm check - in time , room still ready ... tell 20 minute another 20 minute . tiring , come 8 hour flight . book stay Hilton.com website get room $ 350 ( american dollar ) per night . include breakfast morning dinner one night . save us lot money . breakfast $ 40 ( U.S. ) per person excellent .. even though sausage taste funny . coffee great bacon egg tasty . night dinner , location close private party get room service - delicious ... fresh green bean , mashed potato , cheese caket , etc . - right . check - out next morning , charge we everything take bill . non - smoking room not available , smell smoke room . room bathroom large . 2nd floor quiet . iron board iron room , dream european hotel . bathroom slippers wonderful touch . toilitrie large 8 oz . soda ... body oil well ever ! snow day , taxi concierge call we night time . extremly busy area bus people outside day night . double pane window great never hear thing ! picadilly square two block away , convenient . free newspaper magazine lobby every morning . hotel cater young hip , dj bar lobby . 
 Jan 11 2007 	 good choice 	 stay Trafalgar 12/27 - 1/1/07 , like other , little hesitate read bad review . want fair , good hotel , pricy misc . charge ( local call cell . 1.5gbp per minute ) , pricy Bar , think location , really can not compare price non - central locaiton place . we book reward certificate , write via e - amil request extra bed son , upgrade we deluxe room high floor , free breakfast . free fruit bottle water day arrival , one bottle wine New year Eve , think pretty thoughtful . nice robe fluffy slipper , big bottle shampoo / lotion / conditioner ( good one ) , nice shower , big tub , clean modern , loved room . lobby kind strange , ( actually lobby check desk ) , bar occuppie entire space , 's good hear music time come hotel . bar service good , NYE everybody dance include waitress , fun environment . call hotel Hip , typical Hilton , think 's differnt nothing wrong . stay ! 
