Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Jan 21 2007 	 Get Pay 	 stay 7 night New Year period . great location sightseeing ! bad shower ever experience . pressure & amp ; temp change randomly burn hot freeezing cold ! pleasant way start day ! hotel look tired cheap ! want great location willing compromise luxerie ok . 
 Jan 20 2007 	 love 	 bit worried read people review hotel , nothing dissapointe about . clean tidy bedroom , friendly staff excellent location , right Maceys , Empire State Building subway station , help see rest city . Breakfast include add bonus , something get kick start morning perfectly adaquate . for people complain hotel think need look expectation price pay . want absolute luxuary butler pay extra let face come New York see city shop live hotel . to summarise well worth money , clean tidy fabulous location would definately go stay hotel 
 Jan 17 2007 	 Good Budget Choice 	 stay family October 2006 four night city break , actually first time NY therefore arrival hotel bit blur , big building distract , check - in seem swift , albeit busy reception desk . two room different floor , not issue , seven floor . room pretty basic aged , comfortable enough , bathroom clean old fitting , bed comfy linen curtain e.t.c look seventy , view speak , feel bit dark , okay , nothing horrid such . get room obviously require lift , bit ropey , walk along landing , door , one upon open steep staircase right leave paranoid go fall , okay really , quirky guess . but say , location good , near subway , cool bar street , quiet , central good value . think return NY will pay little stay somewhere bit nice , budget , busy care much room , sound choice . query : unterdark @ hotmail.com 
 Jan 17 2007 	 stay nowhere else ! ! 	 husband stay October 2006 could notfault way . location absolutely brilliant , roomwa spacious wonderful view Empire StateBuilding . include breakfast excellent -a welcomeextra hotel . adjoining restaurant / bar alsoa welcome return sightseeing - thestaff hotel extremely friendly thequality food excellent . british travel agent havealready recommend hotel many time certainlystay ou return New York - hopefully soon ! ! ! 
 Jan 14 2007 	 Great Location Great Value ! 	 never write review feel stay hotel . first trip New York City work hard research good price , location amenity . family reunion reserve 3 room total one little different . travel December 26th December 29th 2006 . Comfort Inn adorable & quot ; boutique style & quot ; not feel like typical cookie cutter chain hotel . locate 35th street 5th 6th walk distance Empire State Building , around corner Macy 's many shop even attach resturant ( good pizza ' ve long time might add ) recieve 15 % discount guest hotel . also contenential breakfast serve morning . four teenage group enough fill buy hot dog street lunch nice dinner . half block away Starbucks , 24 hour drug store , subway station deli . across street two irish pub ( loud ) parking . upon arrival room ready early check right . also friendly helpful bellman curb help we unload . also day leave help we load car . the room huge clean new date bed , new carpet comfortable bed . bathroom also clean adequit need . 's easy see old building old marble wood staircase small eleveator really add charm NYC ! picky hotel think great . look good value ideal location , look . place stay . 
 Jan 14 2007 	 view 	 problem check - in . two adjoining room connect door . clean , great room . expect see building literally outside window amazed look literally next Empire State Building . amazing sight . night could see cloud swirl round top light red , white blue . position hotel perfect . literally door turn leave end block Macys Empire State Building around corner . Time Square Grand Central within east walking distance . breakfast excellent . great choice cereal , fruit , bagel , bread , cake etc . plan visit New York next year definately go back Comfort Inn Manhattan 
 Jan 3 2007 	 okay 	 stay hotel 6 night , Front desk staff nice helpful . location excellent , literally two minute walk Macys . the room bite small side , manage , four we , two double bed bit small usual . room clean service every day . toilet mind flood bathroom , another day flush handle come ! ! not think much breakfast include hotel price , mank actually , end order fry instead one morning lovely .. next morning go another one Brendans bar ask fry , would think ask girl kill cow pig way look we , ignorant unpleasant get walk , irish think be ok wrong ! ! ! would def stay , convienent staff lovely helpful hotel , would rather starve go Brendans Bar breakfast .. 
 Jan 2 2007 	 comfortable experience comfort inn 	 family stay property Saturday , 22nd - Thursday , 27th . overall , property great experience we . build lot beautiful old architectural touch , make charming . arrive hotel , go get luggage cart unload . 2 parking garage street . one hotel 's side street offer discount stay Comfort Inn . one across street , however , offer discount . walk hotel , small comfortable lobby . staff friendly helpful . get room , real nice big New York City hotel room . breakfast pretty good . food like waffle , bagel , donut , fruit , etc . it get crowd , though . warning adhere : elevator door wide luggage cart . elevator , may feel bounce lot people . careful front step door bring luggage cart . individual thermostat room , get warm night . we close everything include Empire State Building , time square , 5th avenue whole lot . would mind go back Comfort Inn . 
 Dec 29 2006 	 great location good price 	 friendly staff , courteous helpful . let we check early ( noon ) 2 bed room vs. Queen plus sofa . complaint room -- shower would get hot cold mold ( ? ) ceiling bathroom ... size room fine ( small like review say ) , location hotel GREAT , bed comfortable , clean staff friendly , continental breakfast ample , allow check bag end stay hold later day ... price , probably hard beat . feel safe , front desk staff always around aware . 
 Dec 19 2006 	 great location 	 return four night stay NYC 7 friend / family member happy experience Comfort Inn Manhattan . stay 4 double room previously refer small . reality , room comfortably accommodate double bed , large tv , table & amp ; chair , 2 adult , 2 suitcase plenty shopping bag ! could need ! ? room low floor back hotel little dark , compensate , will not bother street noise . breakfast , plenty choice , availability seating whenever turn up . if be look decent hotel , great location , value money , comfortable room polite & amp ; cheerful member staff - 's exactly will find ! 
 Dec 5 2006 	 great location good family 	 great value - great location . room small side , consider price location 's worth . short walk Macy 's Empire State Building . breakfast bit weak , free ( always lot people - go Christmas time ) . would recommend hotel , definately . 
 Nov 27 2006 	 ny chick 	 stay hotel september.brill location.10min walk time square.everythe within walking distance.was expect small room arrive huge ny.will defo stay go back next year.the restaurant amazing - good food taste ny.friendly staff quiet . 
 Nov 22 2006 	 Fab Hotel 	 partner stay 3 night fantastic time ! hotel ideally situate around corner Macy 's ! ! Empire State Buiding . room clean spacious . hotel also fab coffee bar next door ! staff helpful , especially Benny . true star ! wonderful time . 
 Nov 20 2006 	 Brill Location ! ! 	 Husband 14yr old daughter along Brother sister law stay end October 5 day . all say brilliant time . the reception staff polite helpful nothing seem much trouble . room slightly date clean comfortable . bathroom spotless brilliant power shower bed linen white crisp . the bed among comfortable ever sleep in . just need hard day sightseeing . the location brilliant . come main entrance turn right 200 m street Macy 's turn leave walk 200 m Empire state building . we 10 minute walk times square . there buffet breakfast morning cereal fruit juice boil egg bagel toast fresh fruit coffee big donut ever see life . it enough set day . can also recommend Brendans bar attach hotel . we meal one night really good . my daughter always welcome well pop drink go out . we would certainly use hotel recommend friend . 
 Nov 16 2006 	 fantastic time 	 stay Comfort Inn Manhattan 4 night boyfriend last week . fantastic time think hotel thoroughly live great review site . England also keen sport fan espiecally pleased find Brendans bar next door show English football game get watch Spurs V Chelsea sunday morning bonus ! room spacious , clean although toilet get block deal efficently staff casue we real trouble . free breakfast great , espiecally enjoy giant bagel certainly enough start day . eat O'Rileys road twice find great value food generally nice atmosphere . Macy 's good shout near think really decent smart range clothe Blommingdales place go , espiecally jean like brand ! come New York would hesitate stay Comfort Inn ... overall great little hotel 
 Nov 5 2006 	 great location nice room city holiday ! ! ! ! ! ! 	 great location easy access everything , half block subway Macy 's one block empire state 10 minute walk times square . hotel clean room good size . breakfast nice . plenty eat . helpful staff . overall good hotel city holiday good price . 
 Nov 1 2006 	 Great location - bad room ! ! 	 stay hotel August 5 night . room 8th floor- view backside building ( not really bother we ) first plus point : smooth check - in ( although have ask non - smoking room not get room get thankfully not stink smoke ! ) great location- walk distance famous tourist spot , macys empire state building less 1/2 block away . also , NYC street lonely night 35th Street hotel locate well light 24hr parking lot well light lot people around even night . friendly staffac room nice cool ! decent breakfast- though get bore 4th day .. , negative : room : small .. place ok couple night realise , u stay 5 night u need space especially shopping bag start pile towards end trip ! bad Bathroom : apart fact really small , do all- tile old dirty , towel ok , like shower toilet fit inside tiny dirty tile room .. u know good hotel bathroom day .. sad ! u not wan na spend 5 min ! ! u know get bad since 5 day ! u put thing 1 - 2 night more . the bed- never see small double bed .. u r sure kick person atleast , ! could hardly sleep 4 - 5 hour due .I would say location u care place good , like , u need good room .. look option . ' m sure well hotel similar price . will not stay . 
 Oct 11 2006 	 Excellent ! 	 pleasantly surprised hotel . 's location excellent , compare hotel NYC , reasonably price . 's next Macy 's Empire State Building right subway line take we straight ferry Statue Liberty right Central Park wonderful horse carriage ride . leisurely walk Times Square back hotel . hotel wonderful & quot ; old new york & quot ; feel staff friendliest helpful meet long time . negative breakfast -- ' m fan continental breakfast , would love . would absolutely stay highly recommend other . 
 Oct 8 2006 	 really good location 	 visit hotel September , really great time . hotel really good location . 's block Empire State building , Macy 's 2 min walk Times Square within walk distance . hotel 's self alittle date fine we . clean . room bad size . shower plenty hot water powerful nice come back walk around city day . breakfast free fine . selection bagel , bread , cereal , pastry , fruit yoghurt . reception area free coffee day , could help self . staff really friendly . overall fantastic time New york . would say hotel though base day anyway . like spend alot time hotel probably well book different hotel hotel basic . 
 Oct 4 2006 	 central everything 	 stay September girl friend 50th birthday . we , expect anything grand quite cheap hotel , well chuff . room quite large two queen size bed , tv , safe , air con , 10th floor front . good view , mind . shower really powerful . everything really clean main concern . breakfast include price , bagel , egg , cheese , muffin etc . quite adequate . staff nice thing miss kettle room everymorne traipse lobby tea coffee , bind like tea open eye . would definetly stay central Macy , top street , Empire State round block . marvellous time 
 Sep 17 2006 	 Fantastic 	 fantastic staff , eager help direction , booking show travel airport . the breakfast buffet excellent , good choice get outta bed early enough . hotel situate close enough shop ( Macy * ) , subway two minute walk away . have stay , stay again . thank great holiday ! 
 Sep 6 2006 	 worth consider 	 stay hotel 28th aug 06 four night family friend include 18yr old 22 yr old . first impression , fair , bit tired need bit attention decor paintwork .. however , realise Comfort Inn quite adequate stay New York . friend stay superior hotel Times Square last year say even though Comfort Inn low grade hotel , well facility . ice drink machine , ice bucket room provide continental breakfast . also say bed comfortable . breakfast adequate welcome change cook breakfast day , healthy ! ! room fine , bathroom ok abundance fresh towel flannel day . run toiletry offer replace free charge possible . staff courteous . fear lift put first quite small , get use . hotel walk distance Empire State , Macy 's 5th Ave . fact walk Times Square couple time . quick cab ! thing would say double glazing bedroom . tire day New York , believe , sleep traffic noise . I travel agent wonderful hotel year . whilst Comfort Inn 2 -3 star hotel , would hesitation recommend family , friend , young people would rather spend money food , sightseeing etc classier room go sleep . clean , comfortable bed , breakfast , ideal situation , need ? 
 Aug 27 2006 	 Mediocre 	 stay hotel simply can not afford NY hotel price . room small dark . 
 Aug 20 2006 	 ! 	 afford little please look ur option . relieve finally arrive establishment , yet experience bad part holiday . squeeze elevator welcome stench stale cigarette floor . & quot ; badly need refurbish corridor & quot ; room , gue could bad , although dread imagine . room passable , sheet clean . brick wall outside window do not really bother , worried cleanliness . clean . toilet shower especially clean well . however think .. actually I m even sure .. something cover metal casing room . almost like old radiator filthy , rust well quite literally . free breakfast go , let say understand free . unfortunately hotel book package travel agent , naively choose stay . staff lovely location hotel simply perfect . person travel accept hotel think bad . guess be not . 
 Aug 8 2006 	 great location - dreadful hotel ! 	 hotel great location - get room view Empire State Building ( ) blow away ! accomodation basic clean ( ish ) . main problem concern front desk . leave envelope relative collection . enquire front desk tell envelope . ask couple time case mistake - envelope never appear . ' m sure be wonder issue ? get back tothe UK tell envelope contain thousand dollar . leave uncle - catholic priest ! ' m sure understand believe ! say stay sullied understatement ! avoid ! ! 
 Aug 5 2006 	 great hotel ! 	 husband stay Comfort Inn Manhattan 4 night July .... ! ! stay previous visit 4 year ago , stay friend last October . obviously , not happy place would not go back ! ! ! ! ! ! ! ! ! ! room fabulous , 5th floor , noise night , lovely cool air conditioning , fine bathroom , tv etc . eat Brendan 's one night , local restaurant , find Playwright nice . fabulous location , minute walk Macy 's attraction 34th Street . also easy walk Times Square , 42nd Street . , happy stay , would recommend anyone . 
 Jul 24 2006 	 great base hotel 	 husband stay comfort inn 2 week july . this great base New York City offer . we room 6th floor front hotel , find room fine need . the complimentary breakfast totally adequate , certainly set fpr day . we would definately stay . 
 Jul 7 2006 	 Great Location Nice place stay 	 spend 9 night late June two teen son . location super . bit away Times Square , middle Manhattan . could get anywhere uptown downtown within minute bus subway , $ 5.00 cab fare . nice apart tourists Times square . love shopping Macy 's Herald Square . half block away . lot restaurant close . bus run 5th 6th avenue , close get around . breakfast great , staff really nice helpful . absolutely bug , street noise night . quiet comfortable room . would definitely stay . air conditioning work fantastic hot humid day . 
 Jul 7 2006 	 location location location 	 stay Comfort Inn Manhattan May 2006 . great location , Herald Square next Macy ' 35th Broadway . Vinny helpful taking luggage let us store check check . worker hotel friendly . room small nice . shower sometimes get cold expect 100 year old hotel . hotel neat old character . go , check old railing stairway . stair old mail slot next elevator lot character . nice irish pub next door way . 32nd ' n ' stop right next hotel . price reasonable compare hotel area . breakfast include really good . would recommend hotel plan visit site . close major tourist site . 
 Jun 18 2006 	 will back - ! 	 husband stay Comfort Inn , Manhattan last month 4 night , second time stay impressed . great room 12th floor view Empire State love . NYC roast air conditioning room make cool oasis city heat . room clean , hotel great location , staff helpful breakfast ample . could want ? ! definitely return Comfort Inn next trip New York . 
 May 17 2006 	 miss already 	 boyfriend recently stay comfort inn manhatten really enjoy stay . breakfast nice especially doughnut waffle . the location fantastic empire state building , macys , times square . see Tom Cruise Matthew Broderick too . brendan food excellent irish bar accross road definately return stay hopefully long . the staff reception lovely hopefully see next time . I recommend hotel everyone . 
 May 6 2006 	 fantastic hotel location 	 partner ( fiance visit empire state building ) stay Comfort Inn 5 day begin April could fault place way . room 2 double bed , plenty room shopping bag ( important ) bathroom need . always find shower warm powerful , exactly need full day shopping ! ! hotel also provide safe reasonable price save carry large amount cash passport around day . also hairdryer iron ironing bore include make life easy ! ! staff hotel welcome Alex help query include arrange return transport JFK great value money . location hotel fantastic , metre subway station walk distance almost eveyrwhere ! Macy 's end block Empire State build one block away , must see ! ! although comfy shoe definately require ! love comfort Inn would definately stay ! ! want go New York stay posh hotel stay clean reasonable place like alot money spend shop ? ? ? know would choose ! ! go New York ' m sure fantastic time , know can not wait go back ! ! ! great holiday x 
 Apr 18 2006 	 Convenient Hotel 	 stay Comfort Inn 4 night . good part hotel convenient . room small , tell would queen sized bed give small double noisy ( manage get 3/4 hour sleep per night ) due noise outside . breakfast adequate staff friendly enough ( Alex good ) , next time would like stay hotel luxurious . would rather 2 night nice hotel 4 night . get pay , none hotel New York particulary cheap feel money ( much ) could choose much well hotel . 
 Apr 15 2006 	 Hotel excellent location 	 get back 7 night stay Comfort Inn Manhattan . hotel old two elevator slow hotel fine . room spacious clean , comfy bed , iron board , hairdryer . shower ok hard get right heat , water either cold hot . apart , excellent view Empire State Building ! breakfast great , coffee , bagel , doughnut , fruit , cereal , toast . good thing hotel location . ideal Empire State , Macy 's , subway , etc .. would like stay posher hotel next time money tight hotel job . 
 Apr 14 2006 	 Brilliant Location ! 	 recently stay hotel absolutely wonderful time . location ideal . one block away Empire State Building five minute walk macy 's time square . although room little small , spotless comfortable . free breakfast excellent . wide range bagel , cereal , toast , juice , porridge , coffee , tea doughnut eat much want . perfect start day quite dificult find somewhere breakfast city . room top floor peaceful night . staff extremely friendly helpful . wonderful hotel excellent money ! already plan next visit ! 
 Apr 6 2006 	 Great Location ! 	 visit March 31 , 2006 ; stay overnight , great location comfortable . room small 2 double bed bathroom clean . request non - smoking room smoking room . except ash tray find dresser , could tell smoking room . everything extremely clean decorative . I would recommend hotel ; price good continental breakfast great . serve we next door Brendan 's Bar & amp ; Grill ; also eat lunch food great ! . 
 Apr 6 2006 	 nice stay Murray Hill 	 recently pleasure stay 5 night Comfort Inn Manhattan Murray Hill . build 1902 wonderfully nostalgic aura it . the staff friendly efficient , except Alex - he outstanding ! day not complete without visit Alex find good place see N.Y.The room comfortable clean , continental breakfast enough start day . highly recommend stay visit N.Y . 
 Mar 29 2006 	 excellent location good place stay come back ! 	 spend 6 night NYC stay Commfort Inn . location excellent Midtown 5th 6th Avenue , one block away Empire State . also near subway station meter hotel . they serve continental breakfast plus be hard find breakfast include NYC . Breakfast serve hotel Brendan 's kind Irish Pub / Restaurant not go hotel 's comunicating door hotel pub . room basic clean big enough , bathroom also clean nice bit narrow . strange ( humidity supose ) stain ceiling.35th street bit noisy night try get room top floor . staff helpfull kind . when come back NYC stay Comfort Inn . 
 Mar 14 2006 	 gem ! perfect location top service ! 	 hotel pefect we . five budget traveler NYC five night . room ( # 405 ) wass't big , five people sleep . sheet pillow superb , something would expect five star hotel . bathroom old recently renovate comfortable . free breakfast great , selection bagel , donut , juice cereal . unfortunately hot breakfast , would not really expect 3 star hotel . location simply perfect . would want stay anywhere else NYC . metro stop mere two minute walk away , Macy 's one end block , 5 Av , Empire State Building across one block plenty food shop eat nearby . always feel safe neighbourhood . people front desk efficient friendly , especially Alex . not jump lift , , cause stop ( like ) get stick 40 minute whilst try get . would return place sure , would recommend family friend stay ! 
 Mar 10 2006 	 love Comfort Inn 	 visit Comfort Inn last 7 year little concerned recent review 8th visit disappoint . yes hotel little shabby ( be part charm ) hey get pay - not spend holiday room . lovely room 3rd floor new carpet , new bedding look bathroom spruce . like like shop New York save money fancy hotel shop money . complementary breakfast adequate Comfort Inn rival location - Macy 's end street one way 5th Avenue end street way . staff great also car service use take back airport . thank - shall 9th ! ! ! 
 Feb 21 2006 		 ' m absolutely amazed number reviewer UK issue hotel . mean ... ' ve England par place similar price . , Comfort Inn great . the building 100 year old rennovation ... selective . room 612 . be one large room , feel cruise ship state room . ergonomic room leave lot desire . get ready morning sure close toilet lid , lest something jump slope glass shelf bowl . small modern pedestal sink contrast nicely smallish , slope porcelain tub 20 's . fact , everything slope room . hallway extremely narrow cover hideous , awful carpet . make wrong left turn hallway , would tumble steep , narrow marble staircase , never hear again . the room recently refurbish , new carpet , wallpaper , bedding curtain . room still ... odd old . baseboard could use lick paint , tenth layer . radiator cover quite coat paint . furniture see well day . but can not beat location . staff friendly helpful . breakfast ample . 38 cable tv channel . korean place across street great dinner . Playwright Pub make great burger . coffee place next door hot cup pastry available time . as complain price get , ' m really curious new , clean , cheap hotel Manhattan . ' m entirely convinced not exist . want good value money , great location comfortable place sleep , trick . 
 Feb 21 2006 	 great little hotel 	 recently return second trip New York say Comfort Inn Manhattan great place stay . ok could probably benefit bit redecoration 's clean staff friendly helpful . room good size , double single bed plenty space bathroom . have safe closet useful plenty hanger space clothe . we room eleventh floor great view Empire State Chrysler building window . breakfast include price room good ( especially donut ! ) cook breakfast great dollar ( highly recommend pancake ) . also handy constant supply tea coffee lobby . Brendans restaurant also fantastic evening meal bar great place hang around whilst wait airport transfer . the great thing hotel location . minute walk nearest subway 3 minute walk Macy 's , Times Square , Manhattan Mall Fifth Avenue shopping also within easy walk distance . I would definately stay great little hotel certainly value money . 
 Feb 20 2006 	 great ! ( 2 star ) 	 & amp ; 3 lady ( age 32 62 ) stay last weekend satisfied ( relieve , consider review ! ) would definitely recommend hotel want stay central Manhattan ( literally 2 minute walk Macy 's ) budget . pay $ 154 plus tax per room per night incl . self - service eat - as - much - as - you - like unlimited continental breakfast bagel , cream cheese , bread / toast , juice , cereal , freshly brew coffee & amp ; tea , fruit - option pay extra cook breakfast 8 choice . yes , paper plate plastic cutlery , can not everything - remember , 2 star . staff friendly , though nothing complain much dealing ! 2 room 9th floor 2 double bed . room 903 faced street , hense noisy night ( although window open ) , even though far , complaint . big bay window , fridge , microwave , safe , load storage clothe ( shop ! ) , comfy bed , lovely modern bedspread , bathroom spotless excellent pressurise shower , 4 bath towel , hand towel & amp ; face cloth , change every day . can not complain . room 911 along corridor slightly small amenity , window face brick wall , not great , hey , not time look window ! also mean much quieter room . noise pipe . lift work perfectly whole stay . bar adjoining hotel ( resident could access lobby without go outside ) lovely - quiet afternoon & amp ; buzzier night - seem popular non - resident . serve food , though not sample . table service drink excellent . lobby small attractively decorate lovely couch beautiful flower arrangement unlimited 24 hour tea & amp ; coffee machine . really , far could see , would rate lot high 2 star country . sure , need turn blind eye odd bit peel paint / yellow wall , nowhere near bad expect . remember , 2 star ! convenient location Manhattan helluva lot cheap many hotel around standard ! go ! 
 Feb 17 2006 	 's deal ... 2 way around ! ! 	 okay .. be old . 's little need repair . need little paint . hey ... not . not like place , would never visit favorite , old aunt Christmas . the Comfort Inn Manhattan old maiden aunt charming , excentic , formally beautiful lady ever meet ... see , too . expect bad , indeed , delighted staff ( Alex real pro multi - tasking ) unbelievable centrallity 35th St. mention smoke cigarette not clean floor much , make sure clean sheet towel everyday ? go great length serve wonderful , fill breakfast antique dining area every morning ! ! ! gal ! ! wife stay 4 night 2 bed double nighth floor . clean , neat , view ... care . think ... Hawaii ? get fun ! ! ! want regulate temperature .... run AC steam heat little hot .... work ! ! ! ! stair stylish , iron rail marble step . makem like anymore . , hey ... elevator work ! ! ! ! wait maybe 20 second one day . love ! ! ! go CNN tour , Wall Street , Chinatown , Grand Central Station , Times Square , see Donald Trump Letterman , Michael Moore Daily Show , Spamalot , Wicked Westminster Doggy Show hound doxie pick good show later night . view , would go unnoticed . go NYC , go , go , go sleep . for slam wonderful dusty old gem , go $ 400 night place grumble much everything cost . leave pride home enjoy greatness NYC . place . and right Blizzard ' 06.Go , spend money thing count , fun ! ! ! ! ! Kevin Liz Charlotte 
 Jan 27 2006 	 good location ..... hotel leave lot desire 	 disappoint 5 night stay Comfort Inn Manhattan . hotel desperate need updating , room small , noise pipe keep awake night , reception staff unhelpful ( expection one man ) bathrooom need good clean . on plus side , hotel good location bar next door nice . feel hotel good value would consider stay . 
 Jan 27 2006 	 get pay ! 	 two star hotel ideal location Manhatten , Comfort Inn great . ok - look bit tired ( recently refurbish , floral bedding go ! ) room heating / air con mind 's , clean , comfortable perfectly adequate . staff helpful - especially Alex reception , everyone friendly . breakfast Brendan 's next door plentiful bar prove useful place relax day shopping sightseeing . price location would recommend short , frill break . would go back ... 
 Jan 23 2006 	 try place else 	 staff helpful , room tiny reserve . run , need lot work . 
 Jan 23 2006 	 ok .... 	 back 3 night Comfort Inn . first foremost ask change room allocate Room 208 - tiny tv side bed rather front watch tv bit pain ! room small ( standard double ) outdated judge crowd stay hotel could well afford apply lick paint ! Bathroom date clean - everything basic really . famous heating system act alarm clock every morning hiss sound believe room ! positive point - 2 minute walk Macy 's therefore great location . good enough breakie start day ( tea / coffee / toast / cereal / bagel / juice etc ) sure would go back though really shabby money . nice look hotel across road call Hotel Metro - sure price etc . great steakhouse around corner call Keen 's ! also Brendan 's bar next door nice drink . 
 Jan 15 2006 	 bad - good either 	 back 6 night stay Comfort Inn Manhattan . place , outdate serious need refurbishment . room extremely outdate hand comfortable . bathroom clean satisfactory . breakfast good , donut coffee morning . although mother weird gripe breakfast serve paper plate feel lack certain finesse . regard heat not much bang annoying hiss . gripe coffee make facility room , everytime want coffee go reception . regard famous Alex , guy funny screw we last day regard transportation JFK . inform we 3 bag would get SUV JFK rather taxi . obviously deal firm , end cost we $ 90 cost we $ 49 airport . please flag taxi ring one many firm offer transportation airport . the good thing Comfort Inn simply location , Macys end block Empire State Building one block away . all good holiday Comfort Inn Manhattan certainly need get refurbisher . 
 Jan 4 2006 	 good good good 	 friend stay hotel christmas 2004 , brilliant time . why go ... * Location - Macy 's Empire State * friendly helpful staff * free Breakfast Coffee * clean comfy roomsnot foget value money 
 Dec 27 2005 	 would not stay ever 	 will start positives- cheap consider location- great location ( beside Macys ) - free breakfast fineThe negatives- check fine heating system room never stop bang . lose full night sleep due . ' m heavy sleeper noise horendous say least . raise concern tell old hotel problem steam heating building common ! ! ! all could turn heating room not really stop problem ! ! next day go get earplug ! ! joke.- run shabby- Staff helpfulMy advice would look another hotel ! ! 
 Dec 22 2005 	 dishonest manager ! Room hold ! 	 stay Manhattan freqently ' m Choice Hotels Platinum member . in July flight delay room reserve credit card . arrive ROOM AVAILABLE . automatically bill credit card . phone hour trying find suitale substitute - nothing available . sleep lobby 5:00 . hotel conviently ' split ' bill -- auto bill ' full night ' paper receipt 1 night upon check ( total violation Choice Hotel standard accord rep speak ) .I write manager - respond Choice Hotels International 2 paragraph full OUTRIGHT lie ! outraged - November - finally refunded money - Choice Hotels - lie manager . other GREAT choice part town -- hotel 414 , Belvedere -- be cheap , far nice street , well staff , price ! besides rip - off - hotel mediocre expensive . street 's nice traffic choke . 
 Dec 21 2005 	 GREAT LOCATION 	 wife & amp ; stay 5 night . intend upon shopping place ideally locate half block Macys / Victoria 's secret one block empire State Building . 15 minute walk Rockerfeller Centre / Radio City 5th Avenue 15 minute heart Broadway . Central Park 20/25 minute walk well worth visit holiday ice skating . complimentary breakfast include rate ( coffee / tea / orange juice / bagel & amp ; bread toast / cream cheese / cereal ) set nicely pre lunch . serve Brendans Bar / Restaurant next door fine dinner & amp ; qualify 15 % discount hotel guest . hotel staff pleasant courteous . lift operational ! overall good value money , sure place could lick paint find clean ( towel change daily ) . say get pay life want clean friendly centrally locate hotel breakfast place perfect not expect Waldorf Astoria pay much low rate ! enjoy ! ! 
 Dec 20 2005 	 watch unwanted guest bed ! 	 hotel room quite shabby . find two different type bug bed ! Bathroom smell pee . staff helpful dealing problem . move hotel pay despite manager Comfort Inn promise refund money didnt . have travel 15 different country never encounter hotel like one . do not expect USA . 
 Dec 18 2005 	 ok problem 	 first enter Comfort Inn desk clerk complain overwork , door man MIA , lobby plant droop dropping needle everywhere , big glass entry door clean ... drop luggage come back later without see room . evening staff seem less stress first night , second night , seem distract less anxious help . room end short , narrow corridor feel claustrophobic . floor entry hall room , sink time walk across . sure would end room . floor slant toward door room dark smarmy feeling never really leave . bed comfortable bathroom clean stay . son room end floor . room big seem invite , could got bad room . ' m say bad motel - always like Comfort Inns , not good room good stay . whether short staff illness call - in , not enough staff care holiday crowd clear . not think 's unclean , lack care . , may staff . also load area tye business side hotel mean noise hour . exhausted walk New York help get we sleep , light sleeper , request room back hotel . since pay much motel , would advise book early nice hotel price less . 
 Dec 2 2005 	 great hotel - would stay 	 back 3 night stay comfort inn 35th street mother aunt - late 60 's . check smooth staff meet extremely polite efficient . also meet infamous Alex keep family entertain whenever lobby . 12th floor view Chrysler building . room clean decent size fridge , microwave , hair dryer , tv etc . bathroom spotless fresh towel deliver day , bed comfy good linen . hotel not brand new full character charm . room quiet feel safe time . ' also safe location within half block Macey ' , Empire State build Fifth Avenue . would definitely stay . 
 Nov 10 2005 	 great stay 	 first time New York- go 2 daughter -my sister friend . great holiday - hotel clean . well expect read review . bed clean confortable - towel etc change everyday . problem lifts- staff friendly helpful . great location al lthe sites- everything within walking distance . breakfast leave hotel great - set us day sightseeing - of do alot ! ! def go back stay plan long weekend hubby next year . 
 Nov 8 2005 	 hospitable 	 mom sister stay two night . arrive around 12:30 30th October check 1st November . first staff great ! helpful start , take luggage 2 hour check could begin enjoy city . always willing guide we get around . we grateful size room . complaint pull couch droop , plus side , take mattress sleep floor always well anyway order avoid bar pull out . the room , 12th floor , clean accomodating . breakfast fine , bowl raisin bran doughnut along great coffee . variety ... typical continental breakfast . reccommend take ferry tour , ask someone front desk it . great location . always feel safe . Alex , wonderful ! ! ! thank help . may peace Christ you . sincerely , Mrs . Pamela Miller ( nose ring girl , lol ) Loganville , Ga ( metro - Atlanta ) 
 Nov 4 2005 	 love location clean 	 Loved location room clean . read review worried elavator , renovate wait . would recommend price , quite find 
 Nov 2 2005 	 really pleased hotel 	 read previous review hotel , not sure expect . pleasantly surprise every aspect stay . staff extremely polite helpful ( particularly Alex ) seem know area really well . brilliant location - within walk distance load sight & amp ; shop . room clean , tidy reasonable size good sized ( & amp ; clean ) bathroom . breakfast lovely - good selection delicious bagel , cake , cereal etc . downside heating system room noisy first thing morning , lot pipe clanking start , bearable get early anyway . overall would recommend hotel would definitely stay return city . 
 Oct 28 2005 	 pleased 	 wife stay Comfort Inn Manhattan 4 night please . previous review , quite sure expect , pleasantly surprised . elevator work problem get room . king room small , comfortable . carpet kind old , bedding furniture look nice . bother noise . never hear noise hall room close we hear street noise . staff extremely friendly helpful . location hotel top notch . right around corner Empire State Building Macy 's within short walking distance numerous popular sight . great shopping 5th avenue around corner also . several convenient subway entrance close hotel . pleased would highly recommend hotel comfortable affordable stay . look plush hotel however , hotel stay . look comfort , affordability , location friendly staff , pleased . 
