amazing 	 look website . look odd - not go . , like , think look amazing re - mortgage house , sell family silver - whatever take - visit ! ! think bad review people not get ? take Partner overnight birthday . hotel stunning . wonderfully eclectic mix style . gold tooth gnome seat next giant chess set foyer - need say ! ! staff wonderful make day absolutely perfect . Booked ' romatic package ' room look amazing arrival champagne rise petal . do not eat dinner hotel cocktail Asia de Cuba midnight pack still find we table 5 3 minute somehow . fabulous vibe really relaxed atmosphere somewhere busy . thank staff make day special . 
 fabulous ! 	 beautiful , hip trendy hotel , lovely room ( studio room champagne , rise petal , candle amazing view ) bar fantastic . Asia de Cuba wonderful food service perfect , although seem little keen move ' ve finish eat , even still drink wine . pricey worth money spend ! 
 Overpriced 	 Crowdy hotel , nice people , good restaurant Asia de Cuba nice lounge bar small room expensive quality 
 Jan 20 2008 	 Triumph style substance 	 hotel pretty awesome minute walk know something uber trendy , sharp angle colour slick styling . however evidence stay recommend place desperate place fashion anything else . money sense cool school place . represent poor value money . also stay Sanderson may know part group , Sanderson way way cool , room amazing . room box . literally 12 foot across bedroom . bathroom bad size though . room really well box everything sale silly price . ' m sure must big room well , least would certainly hope depend much prepared pay guessWe do not even contemplate restaurant , check Asia de Cuba restaurant website check price , unreal . the Bar call light bar think , clearly play word call dark bar . hold drink menu candle see . dark . staff gorgeous good price joke . ( spend £ 60 plus bar 3 drink ) Bank minimum £ 10 anything beer ( £ 5.00 ) glass wine ( £ 7 ) cocktail start £ 13 . music loud night club , can not hear anything . might like take torch lift well , dark night inside button be not litthe staff good look extremely nice welcome reason front desk woman wear matronly grey outfit , guess must trendy look frumpy I . as location quite ideal although quite central near covent garden , quite reasonable walk Soho , good bit central London night drink dinner . covent garden hopeless unless go show . cool bar , load pub full tourist pre post theatre goer . walk age find bar like look be not heave . eventually settle Christophers Bow StCovent Garden nightmare unless like fall usual throng french italian school kid . ( know term large group continental school child cacophony ) , japanese american tourist move round snail pace keep pickpocket beer money . advice contemplating stay London want stay morgans group hotel trendy type , stay Sanderson , location well , hotel cooler although hideously expensive ( coffee croissant two £ 27.00 ) well experience . do not work th Sanderson way . think St Martins Lane poor value literally dozen much well hotel London will not charge much . say wad cash value style substance , place . night London two include dinner , ( nowhere flash ) drink , taxis train fare 50 mile away nearly £ 600 . warn night London ruinous 
 Jan 18 2008 	 Sticker shock 	 stay St. Martin 's Lane business trip worried would read review leave . figure since company pay , would not feel like take cleaner . no so . St . Martin 's Lane perfect example hotel could outstanding miss several simple fault . all staff helpful , especially doorman . check - in speedy . give room key ridiculous little zip - lock baggie , along guest service card ( 2 ) need access restaurant bar , normally member . stay will see little baggie annoying . normal key ring , key ring attach baggie way would preferable fishing stupid little key time . my room fine size double bed , small desk spacious bathroom great shower head toilet flush properly ( standard London ) . bed extremely comfortable . , fault St. Martin 's Lane . what find off - put thing room sale , charge credit card use . 's mini - bar also special candle , bath product , laundry bag , etc . -- extortionately over - price . point one would afraid dirty bathrobe ( hung closet next chargeable good ) lest find laundering next Visa statement . another issue pay - for wireless . ' ve stay dozen hotel across Europe US almost free internet access . St. Martin 's Lane make pay 15 pound per day privilege use WiFi signal . ridiculous . $ 500 night , WiFi free . ' m sorry Mr. Schrager . there many luxury find include cheap boutique hotel overlook St. Martin 's Lane . hotel 373 New York please find flat screen tv , iPod dock fabulous Aveda product . St. Martin 's Lane will find none . one reviewer complain much have charge box Pringles mini - bar . imagine mini - bar stock Pringles , soda cheap snack free ( smart boutique hotel ) people would rave service ? little think thoughtless little add - ons meaningful upgrade medium access room would take St. Martin 's Lane new level . 
 Jan 13 2008 	 Fun hotel great location everyone 	 let clear art outset . St. Martin ' Lane high concept , modern hotel urban flair appeal everyone . ' like modern design , small room , high - concept urban experience probably like St. Martin ' Lane . least , ' forgive particular . plenty equally expensive major label hotel London people enjoy kind experience . ' budget traveller place list . ' look something hip , off - beat , little unusual St. Martin ' Lane worth visit . I stay twice find staff professional , room comfortable , need well serve . also decent gym . large tread mill , elliptical , circuit machine weight . clean well keep water towel quest . of course , another appeal property location . St. Martin ' central London location walk distance Piccadilly Circus , Parliament , London Eye , Victoria Embankment Thames . ' mind long walk Hyde Park West End within reach . also close terrific equally designer indian restaurant call Mint Leaf Trafalgar Square Suffolk street . know abundance great indian cuisine London Mint Leaf special worth trip . 
 Jan 5 2008 	 ok ( like rip ) 	 stay SML week last month besides location grand lobby , nothing impressive hotel room . room small lack basic thing would expect - tiny , standard TV house cabinet , proper wardrobe , etcThe annoying thing hotel quite clearly take much ' guest ' . extortionate price basic item room breakfast room snack - pretty uninspiring . breakfast coffee fruit plate scramble egg smoke salmon come whopping usd 98.the cheery cake letter receive month stay note small box Pringles consume note housekeeping . letter send side World claim , convenience , usd 10 would take credit card settle bill . my stay hotel come around usd 4,000 chase small box Pringles ! priceless ! be probably ' ve evr pay packet usd 10 probably last St Martins ever get ! 
 Jan 2 2008 	 trendy hotel albeit bit snobby 	 check St Martins Lane hotel 5 - 9th December . get long haul flight New York , eager nap head work afternoon . kindly request first available room able check - in within 2 hour arrival ( bad consider full occupancy ) . however , one phone in - room safe break . give extremely tired , let slide report straight away . the atmosphere young , hip trendy . mid - twenty exactly look pleased result . however , much problem attitude staff ( especially Light Bar ) . every night go pre - dinner drink friend wait least 20 minute receive drink . sometimes would wait almost 20 minute waitress even approach take order . ' m New York use sort attitude , 14pounds ( $ 28 ) per drink , would expect more . the include breakfast sparse not include anything hot . another drawback everything room sale ( even cactus sell separately hold pot ! ) . find quite tacky . overall , would stay atmosphere , location swanky factor . however , would patronize Light Bar . 
 Dec 30 2007 	 prefessional staff comfy bed totally awesome decor 	 Stayed St. Martins two college aged son . fantastic hotel . favorite trip . hardly want leave comfy bed . staff nice helpful . love every minute . after brief jaunt Paris , return London stay City Grange management horrific item steal room . deeply regret stae St. Martins Lane center everything . stay HOTEL ! ! ! 
 Nov 5 2007 	 worth money . 5 * 	 spend Saturday night St Martins Lane utterly disappoint . see photo website also stay Sanderson ( much well ) expect lot . staff really friendly check one positive corridor 6th floor look shabby like would expect see budget hotel . room absolutely tiny . one double bed ( even king ) would also book twin frustrating . one tiny closet walk right round bed bathroom . also bedside table sort put drink . tv hidden cabinet also house mini bar absolutely tiny ! £ 3.75 Fanta would expect none less complete rip . room be not would expect 5 * hotel . sense luxury . wall paper thin also guy bang door 5 am do not help get wrong room ! ! Breakfast suppose include room rate anything hot extra £ 22 ! egg benedict arrive pretty cold . pay £ 225 room standard rate £ 350 expect ! positive 's good location shower v powerful . be look 5 * luxury not stay ! ! ! ! 
 Oct 25 2007 	 nice ! 	 location wise great . right middle theatre area . the hotel modern . great room forth floor light roomy . ever floor get go elevator ! ! wall tv screen show weird ' movie ' keep entertain . as 5 * London hotel , expensive . glass beer bar £ 8.00 wine £ 10.00 ( wow ) . Breakfast £ 17.50 toast cup tea . £ 20.00 want egg ! do not hotel tea make facility room anymore ? ? want acup tea need ring £ 5.00 cup ! ! ! ! staff freindly exactly helpfull seem engage ' beautiful people ' hotel . so want style price ? find . 
 Oct 8 2007 	 Great Location 	 staid 2 night . get anspecial deal studio ! spacious room . incredible view . very good location . staff nice more.would definitely recommend hotel bar & quot ; light bar & quot ; 
 oct 3 2007 	 Excellent stay 	 excellent service start moment walk door . person front desk first compliment history stay Morgans Group Hotels ( be true ) . , apologetic original room available ( check late flight delay ) , without prompt , offer upgrade & quot ; Superior & quot ; room - room 203 exact . nervous 2nd floor overlook street would noisy , instead peaceful relaxing . I not know much superior room cost deluxe , seem like get something quite nice . room LARGE , boutique hotel standard . bathroom - oversized tub , shelf , walk closet , separate shower full vanity sink - size bedroom ! bedroom generous queen bed , desk tv / mini bar . bed standard St. Martin 's Lane color dial lighting , ' m glad not change year . I order room service prompt tasty , end expensive got . checkout quick even print google map get work location . st . Martin 's lane one first design hotel still set standard . 
 Sep 23 2007 	 cool 	 really trandy design hotel bootique style . yes ... little expensive surely enjoy stay . hall room avantgarde sophisticated style . location perfect , heart west end walk distance major theater club . 
 Sep 4 2007 	 worth money 	 expensive , 5 Star hotel heart London . the foyer bar ground floor give impression quality hotel quality end . staff dress grey jerseys trouser make look like nightclub door staff . help fact tend congregate outside hotel entrance . on check ask concierge could taxi advise difficult get taxi area , perhaps walk street would well chance ! exactly 5 star service . the bedroom tiny furniture whch look , feels buy MFI . 's white cheap - look . bathroom door srong magnet guarantee slams close resounding crash . if squeeze luggage bedroom will defeat odd cabintet housing tv block complete corner room - like single wardrobe . the hotel website omit picture bedroom , see . , nice hotel be pass fancy drink trendy bar . want accommodation , find somewhere else , ther plenty cheap , well , alternative . 
 Aug 21 2007 	 posh hotel posh price 	 price ghastly , chick designer hotel . lucky enough stay 5 time , mostly stay suite upper penthouse room private lift . gorgeous design Patrick Stark , lot egg lie floor posh chair seem like design king sit . cool purple pool table downstairs , lift , oh god never see anything like , brilliant . I not eat restaurant normally order room service , ridiculous price like £ 18 burger chip ! meat amazing . order hot cookie amazing ice cream . the location superb , 2 second Oxford street . the outside decor let place see build 15 year ago , need TLC . pool either nice view ( unless get balcony suite even view not amazing ) worth visit dosh . 
 Aug 20 2007 	 Great Location Fun Design 	 recently stay 4 night business . first impression great , exactly expect see website stay Group ' hotel , Delano Royalton . room deluxe room full bathroom 5th floor . great room nice view Nelson ' Column . . design room fantastic . bed comfortable load wardrobe space . tv stupidly small – negative room – pay £ 300 + per night one least expect able see tv properly . bathroom fabulous – big oval shape standalone bath full walk shower . bath product also nice – Group ' hotel . hotel Gym bit grotty – floor dirty , machine tire old use excellent facility Gymbox next door . suspect guest use Gymbox . the Light Bar fantastic . expensive exquisitely make cocktail dinner . door guard impressively staff – if guest hotel list , expect turn away . hotel ' location perfect Covent Garden , Theatreland museum . staff helpful indeed make feel welcome . crucial question – worth money ? yes – great design location . top tip anything mini bar . ludicrous pay price surround bar convenience store . ( £ 5 snack size pack Pringles £ 3 packet Wrigley ' chew gum joke ) overall , stay hotel like whacky design minimalism . like old world charm – go Savoy instead . 
 Aug 17 2007 	 great expensive 	 do not book Expedia , book twin get double . nice boutique hotel expect price . nice hotel helpful staff bit expensive . 
 Aug 12 2007 	 Excellent hotel ! ! ! 	 excellent location , room clean service excellent ! love hotel location allow move easily London close attractive place . 
 Aug 4 2007 	 Best Location London theatre buff 	 get back stay hotel say love . usually try stay Claridges Dorchester since last minute trip decide Priceline hotel . really lucky get little gem hotel . trendy , really five star , say , staff fabulous room great . absolutely love location would stay alone . 
 Jul 19 2007 	 worth $ 592 night 	 fool pay rack rate London hotel . add category foolish people . although try get hotel Priceline , offer available day book . , inclusive taxis , end pay $ 592 single night frill room . little bit pricy four star hotel . the hotel chic . , course , locate St Martin 's Lane , beside many major theatre . bar dark , yet sub - light different colour give air excitement . bouncer type figure outside bar night , send welcome signal hotel guest wish patronise place . Asia de Cuba restaurant , hand , swish , great menu breakast serve Tuesday , July 17th really high quality . bedroom small , yet beautifully design , picture window opening onto London skyline . bed exceptionally comfortable conducive deep sleep . one thing find strange cabinet house tiny Sony Trinitron television really fit within context ultra modern decor bedroom . pay $ 592 night , expect flatscreen television sizeable dimension room . come St Martin 's hotel , modernise television make available patron . also , strange day glo light barely illuminated writing desk , whereas main light desk kaput . okay , know could phone room service . , discover problem 11 p.m. , be reticent sorted . , $ 592 , kind expect check everything work order assign room . the bathroom artfully conceal behind main bedroom meet high design standard bedroom . sink nature shower mean use without fear drench rest room . selection toiletry right . other benefit hotel - give proximity major theatre - could stroll , ten minute curtain rise , production Somerset Maugham 's Letter , exciting production recreate aura plantation near Singapore effortless ease . yes hotel pricy . certainly meet three requirement location , location , location . next time ' m London , think will visit weekend , enable spend least two night good five star exact price pay single night four star . 
 Jul 17 2007 	 Fantastic hotel 	 normally go London , like book Metropolitan . however , last minute booking , first choice book , decide give somewhere else try . I choose St Martins Lane Hotel seem good mixture comfort , style , great food , excellent location . not disapointe . the room comfortable , stylish , functional , nice bathroom ( great shower ! ) . staff polite , , importantly , friendly . surprising sometimes hotel like hear people moan staff look nose - not find , great . Asia de Cuba good people say , definitely one good meal ' ve London - taste , environment , staff , service menu choice ... Light Bar pretentious , great variety drink , right old mixture clientele . the location good too . I would definitely recommend hotel , business pleasure . 
 Jul 15 2007 	 Hip Hotel Perfect Location 	 book via priceline - ask 5 - star , would not say SML lofty level , still great value ( discount ) money . review confirm , boutique - style hotel modern / minimal - chic style . come London want genteel elegance , might nice hot cuppa . teenage daughter , ideal . location could not perfect , staff friendly professional room beautiful ( though fortunate upgrade check - in , ' standard ' room might large ) . two gripe : tea- coffee - make facility room , one neighbour ' door squeeky keep wake we night . however , minor complaint overall would give SMH mighty thumb would definitely return . 
 Jul 14 2007 	 comfortable clean quiet 	 boyfriend stay 1 night whilst London watch Mary Poppins . book hotel via Priceline pay £ 137 include tax . check prompt staff friendly polite . we standard room although big include everything necessary stay . room clean well maintain , shower room ( bath ) modern good size . we eat restaurant eat show leave early time sample breakfast . return show find housekeeping turn bed , fluff pillow etc pleasant surprise . room quiet air condition bonus quite warm evening , complaint bed - comfortable . check easy prepay via Priceline could fault staff - even remember show seeing ask ! slightly odd thing hotel ( someone else mention ) item room available buy - sure would want buy item ( bedroom bin etc ) ! overall good stay - sure would pay full price though . 
 Jun 27 2007 	 comfortable well hip 	 despite super hip vibe ( glass building , white lobby & amp ; room , bouncer night ) , SML comfortable hotel lovely service . the room good sized ( room 302 ) floor ceiling window . thing bit daunt need pull curtain keep pull interior expose night . good sized bath w / shower . free wifi.i try room service deliver downstairs restaurant & quot ; Asia de Cuba & quot ; - food good come 1/2 time predict ( 25 min 15 top ) .the locaion great - street Charing Cross station , edge Covent Garden 50 yard Trafalgar Square sightseeing . drawback wait line ( waiting ) check . take 15 minute sort silly since could put bill door . concierge also sit whole lot nothing everyone wait ( actually refuse help one guy want change ) - odd . 
 Jun 25 2007 	 could not even sleep 	 expensive room could not even sleep ! loud bar , could not even talk one another . terrible experience , hotel anything voice concern . 
 Jun 22 2007 	 Excellent location 	 hotel absolutely fantastic location Covent Garden , minute Leicester Square , Trafalgar Square , picaddilly ... modern hotel popular restoran nice bar , funky lobby . everything bright airy . I deluxe room fantastic view Colosseum theatre , bathtube bathroom , huge dissapointment . also do not shower cap bathroom want sewing kit , charge , really strange 5 star property . like modern design place want live right city center , definately good choice . 
 Jun 8 2007 	 cool stylish design hotel 	 Cool design hotel , perfect place stay enjoy sort modern , funky decor , unusual lobby . great location short walk Covent Garden & amp ; Leicester Square , tube stop around corner . would recomend young people want party , shop , see London , really business traveller . the room small well design ultra modern bathroom , lighting room look great create atmosphere , cam dim change colour light usless need read anything , dark I . have breakfast Asia de Cube restaurant , one good hotel breakfast ever wide choice normal cereale & amp ; bread also delicious fresh fruit juice , great omlette . 
 may 10 2007 	 nice showing age 	 stay one night mid - week superior room . A1 location 2 min Charing Cross station , Piccadilly , Covent Garden . build faceless modern block . Interior ' minimal chic ' whichis fine look bit date , scruffy place . well standard chintz offer West End place though . my wife check we not know like , problemswere report though . room nice , small , nice design touch lighting , bathroom furniture . dislike dayglo - yellow panel detail , look like someone let loosewith highlighter pen . bathroom shower really nice , bed comfy , noise problem . do not try bar restaurant town theatre . , pleasant . 
 Apr 27 2007 	 funky 	 book lastminute.com pleased room . even treadmill - upgrade deluxe one . staff wonderful , helpful . bar really cool DJ excellent . go restaurant eat 11 pm food amazing . breakfast £ 22.00 per head lot place eat nearby . cheap definetly experience . I would go back . 
 Apr 13 2007 	 first time boutique hotel 	 Booked de luxe room lastminute.com £ 219 . alight taxi greet doorman check bright american staff . one thing not like though muzak pervade whole ground floor . doubt carefully choose / compose match & quot ; funky & quot ; ambience . lift experience small screen wall show strange graphic sound doodle Cary Grant . room ( 411 ) appear show candid photo overlook side coliseum theatre . box contain tv , etc . IKEAish seem sturdy enough . excellent bathroom umpteen little light . tv Bloomberg channel plus far ' m concern . the hotel superbly situate - handy Covent Garden , theatreland 2 minute walk Trafalgar Square . return hotel see show nightcap cool bar rather impressive doorman welcome - get trouble wonder ? service quick friendly smoky atmosphere - course change July . the maid room turn light . novelty able change colour lighting bed white yellow , green lilac . bed comfortable wonderfully soft pillowsnext morning superb breakfast - full english £ 22 slightly cheap Hyatt Churchill Marylebone every bit good . fresh fruit comprise strawberry mango , blueberry , blackberry , etc . poach egg bacon , sausage , etc . perfectly cook . waiter charming Angolan . overall good experience price . would stay single night long infernal music 
 Mar 28 2007 	 poor value rmoney 	 everything hotel come high price offer poor value money . company pay event glad money ! will admit modern stylish experience service good attentive . but entry level room £ 250 + small adequately furnish equipped . everything price tag - thing expect pay mini - bar ( £ 5 small pack Pringles ! ) plus price list thing may want take room ( £ 50 hair dryer ! ) . £ 11 ' delivery charge ' want borrow dvd watch . even present bill breakfast include room rate - still not know mistake try reiterate breakfast 2 whop £ 34.50.do not get wrong , great stay feel stand still long have price label stick ! 
 Feb 13 2007 	 Ultra Modern + Great Fun 	 not know expect reading review . want visit hotel 's sister hotel ( Sanderson ) time , find perfect excuse , mate birthday ! trouble book line , phone direct honoured rate . check breeze ( need porter though ? ) room spectacular ( pay extra deluxe , well worth ) .everythe surprise traditional hotel normally stay ( Thistle , Hilton ) . everything spotlessly clean well present , bathroom fantastic great shower . go evening return find bar cool mini - club , great atmosphere great service . stay till 2 am ( close 3 ) . still make breakfast next morning glad , breakfast die , really ! overall , would say expensive , get pay . staff good , though sometimes slow . location excellent , fairly quiet street , close action . 
 Feb 7 2007 	 Funky chic 	 stay girl hen weekend . great interior cool late night bar . Got upgrade check - in room little garden . chic . do not know difference price worth though ! lovely bathroom robe long sink . typical London city hotel . staff quite distant , sad look door - man huge queue check - out Sunday ! central location hit much walking . would certainly return get good deal . 
 Jan 31 2007 	 great fun nice touch ! 	 great designer / boutique hotel . good service , one complaint , room small . like key give room . light bar pretty fab . 
 Jan 20 2007 	 Odd Approach Service Price ! 	 book small , sophisticated hen night celebration one night . room obviously clean & amp ; stylishly lay expensive provide . little price list sewing kit & amp ; first aid kit wardrobe seem little excessive , consider 's least one chemist Strand . reception staff exceptionally helpful & amp ; check - in process without fuss . however , room absolutely freeze arrive & amp ; take good hour trying find thermostat could not bear & amp ; phone reception . possibly guest information might good idea ... frankly , take work flush toilet ! bad aspect whole stay service provide Light Bar - six we trot downstair cocktail hour 1 & quot ; round flash ' Hen Night ' button pin dress - hardly fake breast & amp ; tiaras veil ! tell , uncertain term , remove button would place hour & amp ; order two round drink amount £ 200 . have think could dance table sort spend six we . apparently . whole place far sure ' specialness ' good - far shiny half ! 
 Jan 19 2007 	 bad ... 	 stay one night , spend evening London . staff attentive , not mind get grate . check fine , room small ( ish ) bad - LondonThe bathroom really nice , power shower - modern clean . would like radio something bathroom though . wish hotel would this . the room feel really secure , close internal door safe form staff walk . loved mood light effect . plastic chair room pain end sit bed laptop . wifi free , however call front desk get username password , know automatically like hotel . I want sleep wake 12 pm - phone call knock door people try get ! pet hate mine hotel . either lucky hotel work annoying be . the hotel bar ok - amazing . consider partner hotel Hudsen NYC lack . drink price require second mortgage charge room annoying . the major moan hotel tv room ! break small , however come back 2 am morning someone replace new one ( small tv ! ) thinking . like small tv ever . one reason stay nice hotel chill watch sport girlfriend spend hour bathroom ! really need rip whole tv bit start . nice 42inch plasma instal place like . 
 Jan 17 2007 	 Fun experience 	 place definately worth get great rate . check early ( really obnovious guy - negative experience ) upgrade deluxe - perfect size - would not really want small . room white love - expect night change light blue , pink , orange etc bed . table also light one favorite touch . also nice floor ceiling window . hotel around since 1999 everything look almost brand new perfectly clean- must recent refurbishment . king bed comfortable will not like room be look big cushy chair lot seating . bathroom also amazing . prefer Sanderson - lobby St Martins not compare . value slightly well . not stay be go complain comfort design . not get people book stay surprised . 
 Jan 17 2007 	 Glamour St Martin 's Lane 	 pay could afford treat boyfriend 27th birthday worth every penny . eat Asia De Cuba . food amazing , clientele - good look glam . dress nine lovely dress feel like supermodel ! staff friendly . hotel space age glam . room small ( cheap ) still glam ( except rotten old tv ) . boyfriend glam person love . romantic evening stay late next day okay . - get have pay . pretty pricey . 
 Jan 17 2007 	 Posh . Ideal Location . not make Phone Call . 	 long not pick phone room , will fabulous time modern , highly stylized hotel locate Covent Garden . St. Martins Lane easily walk Leicester Square , Trafalgar Square Soho enjoy hundred restaurant shop along way . multiple tube stop bus surround will problem get wherever want go magnificent city . decor , somehow St. Martins Lane able marry austerity museum warmth living room . candle illuminate lobby , restaurant bar frame pictures wall restaurant add feel home living . here four thing think know : [ 1 ] phone charge outrageous . end $ 230 dollar phone bill one week stay . spend exorbitant amount room alone , irate , front desk would not budge charge . [ 2 ] room , deck white drape , bed furniture , tiny . London , doubt will stay in - door long . thankfully , bed blissfully comfortable include snuggable crisp white comforter . [ 3 ] tv tiny ( reflection , suppose size room ) wireless internet service plus not end watch much television anyhow . [ 4 ] Light Bar Asia de Cuba restaurant fantastic . chic . cosmo . expensive . give idea vibe ; bar / club ( people fact dance ) group business man Sweden invite boyfriend party take part outrageously price champagne . overall , happy stay , since many hotel , doubt will stay . 
 Jan 8 2007 	 Light Odd 	 arrival , dead booking time , tell room ready could wait . 20 minute later go back desk tell thing , leave another 10 minute , still ready make bit fuss suggest drink Bar Asia whatever call . 2 hour rather many cocktail pass , time relax anyway manager come bustle apologise profusely take we room . a nice touch bottle champagne room sorry , give already drunk equivalent one night stay also drunk champagne ready go dinner . RoomWe corner suite nice one nice bathroom Hotel ever use uk.the Bar well bar Asia de Cuba & quot ; highlight & quot ; Ligt Bar , remember book , trendy apparently celebs do not recognise , honest pretty poor good fun one nightstaffdesigner ineptitude , 12 interested Armani tunic anything else OKOverallVery trendy , good fun , service expect , food expect moan really . would return , shortly 
 Jan 3 2007 	 hip- need comfot 	 stay mid - August 2006.I probably never go back unless get low rate . hotel try hip basically end give low value money . small chair room plastic . tv miniscule ( although hear upgrade ) .The two bright spot hotel are:1 . light Bar2 . Asia de Cuba , visit either without spend night ... oh , add - bathroom quite large proper tub separate shower . give high mark . bad rest room form - over - function ... 
 Dec 3 2006 	 show age 	 third fourth stay St. Martin 's Lane probably 10th Morgan 's hotel . probably last stay specific hotel . nothing horrible hotel good value money . fair , currently weak US dollar part problem . hotel 's location excellent . close Covent Garden , Trafalgar Square Strand . Philippe Starck design playful funny . love LCD display elevator play ever - change variety video art . limestone clad bathroom efficient well - design footprint . room small fairly common London hotel generally good value money . bed firm thought would appreciate end put knot back morning . never problem bed hotel . color wash wall cool burn full spctrum color . lobby public area hotel bit ropey : dirty carpet break tile lobby . experience Morgans hotel staff alternately helpful surly . use concierge act like put inquire weather forecast . lack bathtub big issue , especially long flight west coast US . love design hotel creative interesting need freshen . 
 Dec 2 2006 	 Location Location Location 	 outstanding location probably be good asset . staff excellent , friendly welcoming ( notwithstanding queue check ) . room nice although small side , feel remarkably spaceous lot natural light . make sure credit card though debit card accept purpose bill payment credit checking - surprising supposedly * * * * * hotel . minibar price outrageous ( £ 3.50 bounty bar ! ) relatively lack public space amenity bar open perhaps be important give West End doorstep . perfect weekend break see show London . 
 Nov 4 2006 	 fabulous anymore 	 friend come London see 2 show MADONNA & quot ; CONFESSIONS & quot ; concert wembley arena , decide make trip fabulous way ... book twin roon St Martins Lane Hotel . Madonna indeed fabulous , hotel quite ... room indeed white great bed , good part end : room small , choice sitting bed . bathroom ok ok fabulous , right ? light control do not work live FIXED PINK light.the t.v set smallest ever see view window feature ugly buikde ... real ugly.but dissapointe thing lobby bar : although design nicely , do not BUZZ LIVELYHOOD . feel like dead hotel , one pass good time . bar full borring conpletly do not jestufy price charge drink . service clumzy stressfull . 220 pound up - a- night spare look boutique hotel action - go BAGLIONI hotel sister sanderson . St Martins Lane Hotel do not deliver anymore . 
 Nov 3 2006 	 low value money 	 268pounds/1person , would expect far big room least bath tube together ( mention also proper swimming pool downstair miss ) ; slow service restaurant , wait 25 minute simple sandwich , even apologise ! ! , ad photo reflect color window untrue , bulb bed ( ) weak give intense lighting result see out . estimate worth offer : 120pound maximum 
 oct 7 2006 	 go London fun find ! ! ! ! ! 	 ' m Mexico City stay 15 night St. Martins Lane Hotel . really good time . Light bar amazing weekend . staff , well , , friendly , definitely good part staff concierge , Josh Brown , friendly helpful make stay well one . food Asia de Cuba great thing , well go outside try place . room small really , really comfortable , everything extraordinary stay . tv bad thing , small tv ever see . change small old . price high location worth every pound ! ! ! ! ! ! close everything , walk . definitely location make hotel really good one . planning go London , long short stay , stay st . Matins Lane . 
 Sep 20 2006 	 regrettably 5 * anticipate 	 positive hotel pretty , though small , staff terrific buck stop . priceline guest receive room 220 square foot ( even show St Martins Lane website room description ) 5 * & quot ; luxury & quot ; room bath , shower stall . previous poster rate correctly & quot ; boutique & quot ; , 5 * hotel . never hear luxury hotel offer bath tub , 220 square foot room 8 10 inch tevision . main positive staff definitely helpful personable we , sorry previous poster different experince . bid 5 * accomodation London long remain Priceline & quot ; luxury & quot ; hotel . chance try popular Asia de Cuba restaurant though understand get high remark . Hope helpful . 
 Sep 16 2006 	 Trendier thou ! 	 unfortunately case form functionality certainly example trendiness friendliness ! term atmosphere , exactly would expect boutique hotel design hotel room great end . every encounter staff prove extremely unhelpful look extremely young fashionable appear function . not look like supermodel , constantly ask present key order use bar hotel get access restaurant . disappointing fact ask present credit card security order bar accept room card guest hotel ! query tell management people ' forge ' room card ! seem hotel patronise trendy dishonest people . addittion , business facility prove poor hold meet back restaurant 3 small meeting room . disappointing ! 
 Sep 5 2006 	 Loved ! 	 find great rate hotel via Travelzoo book two awesome room half regular price . hotel swanky ( think Mondrion Hotel ) feel like middle everything ... locate short walk Trafalgar Square , theater district , great shopping great nightlife ! great concierge help we find good restaurant London , help we secure hard find theater tix ! ! great , friendly staff room nice & amp ; clean , though spacious . bar also fun , though drink quite pricey . 
 Aug 31 2006 	 small funky room 	 Disappointed small expect standard room ( book twin double get two double ) great view fantastic service . hotel like realise no - oneunless blind drunk pay 3.50 standard kit - kat .. on - one buy anything .. kid disappoint allow raid mini bar ! also bed Std room queen - sized - inch great bed eitheron positive side ... reception - Stu - first class ; friendly relaxed . door guy helpful change plan Bar door - girl unfriendly patronise - nice trendy clipboard make feel important ! overall fun place , worth £ 200 room night ? sure ... want different experience OMM Barcelona good quid Sanderson although service patronise possibly get ! 
