Wonderful 	 stay Le Meridien Shanghai part China trip . cold feeling little miserable arrive . soon enter room , forget cold ! room 36th ( ? ) floor view wonderful . although room large , feel spacious . furnish modern contemporary . husband like rain shower . location hotel ideal sightseeing . thing internet include , think could without . ( internet previous China hotel think use much . miss access . ) think return China year two , child . would love stay Le Meridien . 
 Great Great Location 	 hotel great location be holiday / leisure trip . right Nanjing Lu surround shop , restaurant cafe right literally & quot ; doorstep & quot ; , one enjoy bustle city life . breakfast offer hotel not dissapoint us - happy selection provide , room well appoint . convenient well locate cater well family travel young child . I also sister disable travel we . find hotel convenient , due location . able move freely without obtacle able wander around vicinity without difficulty . family wonderful vacation glad choose hotel . fact , month return home , family talk impending return another stay hotel . 
 Jun 22 2008 	 Interesting 	 speak conference Shanghai wife stay LRM four day early June read many accolade Trip Advisor . location great : right next Nanjing Road , across People 's Park museum , 10 minutes'walk Bund , across subway , etc . build spectacular . view superb . club room 53rd floor take advantage breakfast happy hour , nice food drink combine western chinese style . staff quite helpful , include excellent concierge service arrange restaurant tour . guest appear business people . concern lower rating : free wi - fi , whether room club room ; inexcusable top level hotel today 's world . other remark dual elevator get upper room . room , spacious , strange design aspect contemporary feel . instance , could open bathroom light night , one us use facility , woken floodlight vanity ( solid door ) . rainforest shower nice something write home . fact , first morning awake hot water . get conference wash rather unsatisfactorily . wife stay behing call front desk . send person fairly soon turn someone staff turn hot water valve arrive . turn valve cure problem one management ever apologize considerable inconvenience ; par high - end hotel . 
 Jun 18 2008 	 Loved hotel 	 Le Royale Meridien become favorite hotel chain stay new Shanghai location . first walk hotel know go great stay , staff literally nab bag minute get revolving door . quick glance , think 5 staff guest . line - up check - in staff helpful . get room happy see fairly large renovation modern new . shower interesting glass wall could see shower ( could actually watch tv showering ! ) . bed comfortable huge 40 & quot ; plasma ( LCD ) tv hang wall . think internet free work area decent . high floor nice view . breakfast buffet also good , great selection East & amp ; west cuisine . also close Bund main shopping strip near we . happy stay would definitely return travel Shanghai . 
 Jun 15 2008 	 Excellent view 	 choose hotel primarily excellent view floor ceiling window . room fine . look junior suite felt not look much different room . choose stay executive floor ( 57th ) perk free breakfast evening cocktail . service excellent throughout hotel . hotel right front Nanjing pedestrian road across People 's Square . usually stay JW Marriott across square . Marriott well bathroom Meridien much well view well location . right outside hotel pedestrian area buy water whatever need . JW Marriott not anything right outside like . 
 Jun 8 2008 	 superb hotel superb service 	 bizarre onslaught fake bag hawker assault walk rear entrance Nanjing Lu , hotel well locate , beautifully furnished , welcoming , flawless . may one good Starwood hotel world . 's high praise ; ' ve stay lot good property worldwide . 
 Jun 8 2008 	 Love Hotel 	 love everything hotel , modern hotel ' ve ever stay , extemely warmly decorate . view room amazing . huge indoor pool , sun - bathe deck overlook city . staff friendly , helpful courteous . could ask . 
 Jun 4 2008 	 Loved Le Royal Meridien Shanghai ! 	 return short trip Shanghai husband stay Le Royal Meridien ( LRM ) 3 night . absolutely love ambience hotel modern , clean room . stay 30th - ish floor , spectacular view city , floor ceiling window absolutely view justice . loved efficiency housekeeping keep we supply time bottled water greatly , greatly appreciate . amenity re - stock daily basis , shower awesome , evening turn - down service great ( water , towel , etc . ) .The hotel also well possible location , right Nanjing Road . say skip pricey hotel breakfast instead head right cute cafe across street fabulous , fill morning meal . eat Jamaica Blue every morning ; bacon & amp ; egg sandwich ciabatta bread delish ! probably complaint , other note , confuse elevator system . 's cumbersome take 2 get ground floor . 's tip though : ground floor , take & quot ; hidden & quot ; set elevator , locate behind obvious set elevator ( obvious set podium staff stand greet ) . way , get lobby level , come face - to - face next set elevator , instead walk around entire wall . also , day age , hotel start offer complimentary internet access , especially many business people travel throughout China . hopefully , LRM get soon . really nothing high mark overall quality , service hospitality . check - in breeze well check - out . 508 hotel , LRM rightfully own top spot ranking . general , pleased starwood property Shanghai . Westin also wonderful less - convenient area . can not wait try St. Regis ' m back next month . far , though LRM absolute favorite ( include four Seasons ) ! 
 Jun 1 2008 	 Great Hotel 	 return China final stop 3 day Shanghai Le Meridien . love hotel . great localtion - lot shop , c cafe , coffee shop shop galore close . room beautful well maintain . breakfast buffet great ! would recommend hotel -it five star experience . also disabiltie hotel privide free wheelchair . 
 May 30 2008 	 Awesome experience ! 	 return week wonderful hotel . location could not well , doorman incredibly helpful entire hotel modern , gorgeous spotless . book highly recommend Royal Club Floor . service superb Club Room perfect serene , spectacular view . breakfast evening cocktail outstanding . can not wait return ! 
 May 30 2008 	 hotel ok nothing single female 	 Read good comment , decide stay Le Meridien trip Shanghai month . interesting experience worth share : arrival really get lose confusing elevator system , staff lobby recognize , ignore . finally find reception get quick check . arrive room recognize strange smell bathroom . call operator fix , somebody show spray 10 minute . meantime see many black hair bed bathroom , decide move another room . try explain boy spray , English , call operator . tell , come reception . ok , 15 hour flight behind , want show clean room , tired discuss . go , luckily find agent check , really smart , give another room high floor apologize inconvenience . at moment want leave reception person ask behind , problem , turn around small man smile . introduce General Manager hotel ask wait . approach reception ask lady change room . little surprised , confuse say anything . the General Manager give new room key tell , use Club Lounge free charge stay , hope see breakfast next day . give name card word may call anytime anything I . I go back new room ( huge , called & quot ; Executive Suite & quot ; ) surprise , 10 minute associate bring fruit basket bottle red wine card sign General Manager . feel little bit strange man moment , tired think it . I business meeting day ' get breakfast Club , one time try " Happy Hour " evening , staff attentive , table lounge full empty glass plate , get drink , lot staff stand around , one offer assistance help . chat desk whole time . but come end story , come back late one night , see General Manager guest floor hand hand chinese lady ( saw ) , go guest room two room next room . confuse , think maybe ' wife , hear , hotel General Manager stay . two day later , see , another lady ( much tall ) , go room , time recognize , smile I . next morning choose Club breakfast chat staff member , yes , girl confirm , General Manager Meridien life ' hotel , yes , room floor marry ! whole story confuse , specially room change floor arrival day approach day , decide move next day stay Westin , 15 minute far Meridien . far , Meridien hotel ok , except Club Lounge , nothing special eye , travel single female , well select another hotel Shanghai , thing saw express , would feel comfortable anymore . 
 May 15 2008 	 Fantastic hotel 	 recently stay Le Meridien part extend tour China book tour operator . this hotel currently tallest Shanghai well situated . room 24th floor good view city . good view however bar 66th - spectacular night . happy everything room . the food excellent . would hard please find suitable food buffet breakfast - choice widest entire trip . also afternoon tea Cafe eat italian restaurant one evening . , food service outstanding . young italian male waiter charming . the swimming pool associate area good view city facility excellent . the staff great asset hotel . friendly , helpful , knowledgeable go way assist . English generally good . would highly recommend hotel - group love . 
 May 14 2008 	 wow view ! 	 wonderful stay around , room facility . stay two night Le Royal Meridien Shanghai love room , amazing view downtown Shanghai extend Bund across water Pudong , include famed Pearl Orient Jinmao tower . beauty hotel room 20th floor , every room floor window ceiling , be guarenteed great view . top , room amenity truly five star , american european standard . ' ve stay lot & quot ; five star & quot ; chinese hotel , real thing -- modern bathroom fixture ceiling rain shower large comfortable tub clean enough take bath . separate toilet sink area . 42inch Samsung plasma TV , load detail make stay pleasure ( free shoe shine , Le Occitane shower product , etc , etc ) . pool indoor great gym outdoor sunbathe balcony . posh reasonably price restaurant five star hotel -- try dim sum Cantonese restaurant -- good Hong Kong . room work every cent -- pay hotel ' ve pay China , well worth . 
 Apr 18 2008 	 Le Royal Experience 	 wife stay Le Royal Meridien three day stay Shanghai . absolutely love hotel could find anyte complain ( surprising consider pretty picky hotel stay ) . location perfect ! ! right middle Nanjing Rd across People 's square . across street metro 10 - 15 min walk Bund . cafe 's , restaurant , coffee shop gelato stand right outside door convenient . many luxury hotel Shanghai , location excite expensive . hotel decor amazing ! beautiful lobby fresh flower everywhere . modern , yet comfortable warm . room spacious great view Nanjing Rd . love rain shower plasma tv ! service perfect well . nice , smile people everywhere wait help anything . hotel staff speak English ( experience hotel China ) give we great recommendation shopping restaurant . I would highly recommend hotel 's perfect location , great service modern cozy room . 
 Apr 15 2008 	 hotel comment 	 wife stay hotel 6 night March , 2008 select proximity Tanjin Road pedestrian mall run right Bund ( famous pre - world War 2 architecture ) right river . impression Shanghai bustle modern city 18 million . hotel approx . 65 story high choose Club floor . buffet breakfast quite nice cocktail evening food little short quantity complain one senior staff thing improve dramatically . the room 40th level ok rainshower unusual water cover entire bathroom floor drain away . least plenty space . separate bath vanity . toiletry 1st class . go top floor time get magnificent view . make sure room least 40th floor ( Club 44th floor ) different lift level problem . staff friendly helpful nothing much trouble . good hotel . 
 Mar 31 2008 	 disappointing five star 	 hotel meet expectation . service outstanding . however , room undo well keep . see mold bathroom tile food okay . would say hotel show architecture little substance conveying 's five star hotel . hotel lack attention detail . 
 Mar 15 2008 	 doubt good place stay 	 ultra modern hotel absolute good location Shanghai . close Nanjing pedestrain mall , Bund , great shopping , People 's park Museums old Shanghai . short cheap cab ride take many great eat district include Xintiandi french Concession area . solicitor ( watch , bag , massage ) minor nuissance outside hotel . all major hotel seem small problem . if ignore leave alone . the city safe . we walk everywhere take subway - easy use modern . we club room first nice th e44th floor upgrade Imperial Suite . the view 60th floor suite amazing esp bathtub . we never forget it . the service club lounge incredible . we feel staff go way make sure enjoy ourselves . thank Ken , Bobo rest concierge staff make stay unforgettable fantastic advice restaurant . the location can not beat . if like modern high rise central location look far . for contemporary look Four Seasons good option will not get view . 
 Mar 2 2008 	 Overwhelmed 	 stay countless hotel world business pleasure one good experience ever . we stay 39th floor Grand Delux Suite appoint butler go way cater need measure trouser shorten go hotel look particular brand shaving head . though hotel staff young mid twenty , zest assist every way make hotel special . stay 4 night suite describe heavenly burgandy teak wooden floor sit area stunning bathroom rival Trianon Palace Hotel Versailles France , really impressed attention detail room everything neatly place even shower head turn towards wall avoid spray cold water put ! view truely panoramic extend 180 degree . facility superb though try chinese restaurant excellent food great selection wine champagne . book private room dinner full view main skyline . hotel beautifully present contemporary style high class fitting enjoy facility view Royal Club Lounge Bar 44th 65th floor respectively . be 24 hour room service please try wanton soup noodle soup ( Taiwan style ) . problem initially lift 's sufficient staff direct appropriately . definitely return hotel . 
 Feb 17 2008 	 Nice Hotel Great Location Upgrade Royal Club 	 parent ( Parents 66 , 35 ) return 5 night Le Royal Meridien Shanghai . choose hotel base review , location royal club level amenity . we take MAGLEV bullet train ( 40 - 50 rmb / person ( $ 6 - 7 ) ) airport 7 minute ride Shanghai Pudong area . take ~40 - 52 RMB ( $ 6 - 7 ) cab hotel . could instead choose walk across street Metro station ~ $ 1 fare six stop metro people square station right next hotel . quite busy people square station plenty opportunity experience insanity later trip would suggest take cab MAGLEV . make sure hotel address location print CHINESE go . find print Meridien website . as other recommend , second idea upgrade Royal Club level . access lounge , eat breakfast , daily cocktail , eat dinner use free internet stay connected life back home ( although slow ... 56 K check bandwidth ) . food buffet style find nice selection appetizer portion could easily substitute meal . choose eat hotel due high number poor review shangahi restaurant . meal city use Royal Club often order eat breakfast dinner . the room modern , number english news movie channel , amazing view city staff attentive . staff book ticket see acrobat parent , call cab driver glove return leave accidently eager provide help whenever want . Le Royal Meridien great location Nanjing road easily get several area city foot , metro cab ride ( cheap ) .Overall , really enjoy stay hotel gripe would painfully slow free internet Royal Club lounge well upcharge use internet room ( also slow ) . 
 Feb 14 2008 	 quite nice 	 service excellent , breakfast buffet dinner . however , not like charge use internet bedroom ( not even work properly ) also get little confused different lift . 
 Feb 6 2008 	 dirty dirty Cleaning Practices ! ! ! ! 	 2nd time stay ... overall stay 10 day . room nice , problem hire people street clean room . people experience seem like , low STANDARDS cleanliness ! ! would health code violation America ! ! first day , clean lady come room , clean . come next room small handcarry cleaning caddy . wonder big cleaning cart . not exist . she first rinse use glass water , proceed dry dirty rag , caddy . use rag wipe mirror . go , wipe counter , go inside bathroom . stand right , watch , clean normal . proceed wipe TOILET , TOILET SEAT , toddler son peed night , start wipe toilet floor , proceed wipe entire marble floor cloth . rinse/ exchange cloth even . finally tell stop clean , , let clean room . staff help exchange towel , garbage can , nasty cleaning knowledge . garbage dump floor , wipe garbage , continue wipe floor ... dirty rag . staff use clean way . really question cleanliness restaurant . trust italian restaurant little , since foreign renowned ? chef working , chinese restaurant .... not know . Le Meridien part SPG Starwood Hotels Preferred Group , aware problem , fix hotel . watch Fox news clip hidden camera instal . hotel stay okay , problem . like room set , decor . problem hotel transportation . pay premium buck hotel / airport pickup service , driver drive like maniac . feel free warn need drive slow complain management ! serious issue ! make sure know want drive slow , still come 1 inch away accident , driver slam brake . tailgating , speeding , weave 80 % car , traffic light . make sure bellhop tell drive slowly , first nightmare experience , fellow drive like maniac 1 morning ( flight delay ) thick fog . certainly hurry get hotel , traffic non existent . last thing hotel .... 4 5 restaurant eat ... lot choice dining . trust food , nothing else well know , eat . get Executive Lounge access , good hand . get free internet , free drink ( San Pellegrino ) , free alcohol drink happy hour , snack , free buffet breakfast . eat breakfast buffet ( free one , expensive one downstairs ) . course , expensive one well , lounge access , would stick free buffet , since lot item downstairs . also , request/ order egg lounge , though tell this . would stay ? maybe . know else trust China . 5 star hotel clean well ? not think . way complain make hotel well ? not think . standard China low , overall . 's personal opinion . complain topic , will see change . 
 Feb 1 2008 	 Varied Level Service 	 good part location . service ( front desk , room cleaning staff ) prompt wonderful ' ve ever experience . the layout room strange , basically go bathroom go bedroom . brother call way save money ( amount money less sqft ) . well , diehard Marriott fan family decide stay JW Marriott time . I travel book & quot ; Grand Deluxe - Higher Floor & quot ; room . apparently give high floor room talk husband , stay couple time . take husband call US get room change , either firm enough look cheap . the room clean staff keep re - arrange personal toiletry put glass shelf . sink counter clean every day . one day clean room around 5 pm though put sign room makeup early morning . if location , may well stay St. Regis next time , price . 
 Jan 23 2008 	 Fabulous ! 	 stay 4 night property ! 9th wonder world ! willing spend upto $ 220 dollar , dream come true ! Nanjing Lu , Bund , whole shanghai range . . Amazing Amazing Hotel ! must stay ! ! 
 Jan 12 2008 	 fantastic hotel location 	 hello , Le Meridien last jan.the 2 nd 4 night experience great . hotel fantastic location , heart pedestrian street 5 min . form bund . all empl . speak good english helpful info may need . room 8 Club Foor nice , large clean . well nes bund view . very good royal club lounge , good breakfast cocktail 5 pm till 8 pm vith lot thing eat drink ( also alchoolic ) , n opinion upgrade royal club floor absolutely worth money .In general fantastic hotel fantastic location . 
 Jan 9 2008 	 beautifully decorate uncomfortable room 	 stay 2 night ealry Jan 2008 . choose location , convenience use SPG point . hotel room beautifully decorate , able sleep well . experience never happen . disappointed . I able sleep whole night first night , heavily suffer allergy - believe room lot mold around sink bath room area . carry light cold , intially confused symptom next day morning , go , be clear , go back inside sson get close sink bathroom , start sneeze , red itchy eye full tear . request another room , minute stepped room , find feel much well . conclude 's indeed problem first room . bellboy tell thing happen guest , primarily poorly maintain facility room.n other . buffet expensive - 450rmb head . however , temperature room hot unless set air con temperature 18c keep set high . 2nd room cool lead bell boy , however turn aircon , become hot . keep air con 18c high whole night . many light hallway inside room thus easily generate lot heat . staff friendly not anything ( except verbal appology ) comfort complain experience check - out . not use hotel facility , can not comment oStay away hotel , fool look location . good hotel step away . 
 Jan 3 2008 	 western - standard luxury East 	 stay 2 night begin holiday spoil expectation rest holiday ! standard room luxurious , view People 's Park lovely rain shower tub . l'occitane toiletrie nice touch , dvd player room - great way escape crowd Nanjing Road rainy afternoon . the cleanliness room hotel surrounding par western luxury hotel . say hotel China , advertise 3 4 star property , measure level service cleanliness . eat chinese restaurant hotel ( Ai Mei ? ) find one well sample Shanghai outside city 12 day period . overall , service fantastic - smooth check - in , room service 4 am , storage bag day travel outside Shanghai manager 's response complaint slow service chinese restaurant . fantastic job rectifying complaint . PRO / TOP TIP : difficult communicating taxi driver Shanghai make sure ask one fold map concierge Meridien ( look like make specially hotel ) - BEST tool entire stay english chinese name top attraction , well no - nonsense picture attraction metro stop . various map throughout stay one Meridien get we market trouble find could not communicate taxi driver . CON : thing thrilled hoarde people People 's Park / Nanjing Road - cause we move french Concession end holiday , otherwise Meridien would excellent choice ! 
 Jan 1 2008 	 Perfection Le Royal Meridien Shanghai 	 stay Le Meridien Shanghai family Christmas find hotel impeccable ! room spacious , clean , moderndesign Shanghai skyline view . great plasma flat - screen T.V ! many hotel staff extremely helpful , even press elevator button greet we . hotel perfectly locate Nanjing Road 10 minute walk Bund . buffet breakfast plentiful spectacular variety chinese western food . TheHotel connect rather high - end mall convenient grocerystore . overall , Le Royal Meridien hotel stay business leisure beat . 
 Jan 1 2008 	 stay - chic ultramodern stylish 	 new , modern stylish hotel perfect service . staff speak english well , friendly helpful tip restaurant , sightseeing etc .. book room access royal club lounge . room 38m2 panoramic view floor ceiling window . great ! room modern stylish non smoking appreciate ( China lot room smell heavily former smoking guest ) .The non plus ultra royal club lounge . cozy retreat quiet breakfast lounging day evening . breakfast selection good buffet egg order . absolutely love cocktail time . huge buffet cheese selection , chinese food , antipasti good selection wine ( include ) . buffet refill late evening . upgrade royal club floor absolutely worth money food , calm great view . several internet access ( free ) club lounge . the hotel bar top floor also worth visit . large window , cozy lounger fireplace . the location hotel convenient . begin shopping street . also walk bund , prefer taxi ( cheap ) .The pool large window overlook town open terrasse . nice design , clean good place relax sigtseee . fancy juice bar close pool . at spa , one good foot massage . spa ist expensive , also , modern design stylish . we never dinner hotel many fancy restaurant outside try . dinner Va bene , upscale italian restaurant new hot spot Xintiandi . food really italian good , nice italian wine selection though expensive . the night eat new height ( three bund ) fantastic open terrasse full view bund . food simple yet tasty ( Pasta , burger ... ) . in - place , relaxed atmosphere . like much well bund next door . every week , new stylish restaurant opend Shanghai . skip hotel restaurant try one new restaurant . Xintiandi place , pack stylish restaurant flavours world ( japanese , italian , french , ... ) . upscale shop like shanghai tang . hotel concierge helpful restaurant tip reservation . stay Royal meridien upgrade royal club lounge , regret ! search chinese atmosphere , right place . 
 Dec 31 2007 	 great location 	 wondeful hotel middle Shanghai . 's Nanjing Road within walk distance busy shopping district , even Bund mere 15 minute away foot . hotel new room decor modern nice . layout little atypical appreciated . bathroom area pretty nice . allure , french restaurant , serve excellent food . 
 Dec 27 2007 	 Impeccable accomodation 	 select hotel partially base other ' review , disappointed ! stay 3 night room 55th floor . gorgeous functional room beautiful view People 's Park , beautiful area huge fountain , garden , etc . right outside Shanghai Museum . also amazing panoramic view city South West . plate fruit free drink upon arrival room nice touch well . the Royal Club lounge 44th floor ( free access Club stay Royal Club floor ) wonderful hor d'oeuvres evening , also great buffet breakfast morning . club also several computer access internet free . the neighborhood around hotel bakery , several restaurant , two Starbucks , shopping mall major shopping street Shanghai - Nanjing Road . also , Shanghai Museum within walking distance ( wonderful museum ) .I highly recommend hotel - service impeccable , staff friendly , room extremely comfortable - worth price . ( complaint internet access - expensive extremely slow . ) 
 Dec 19 2007 	 enjoy stay 	 stay 2 night . room comfortable , bed great , bathrm wonderful- minor improvement could make . gym & amp ; pool average size adequate good workout . could really fault restaurant , except reconize Asia mile card earn mile , advertise Cx Asia mile site . breakfast one good hotel coffee shop . although busy staff constantly clean table & amp ; food replenish quickly . hotel rm quiet hotel start high floor- believe office . even massage get spa excellent- course expensive chinese standard . stay way great ! oh & amp ; go chinese Rest . see AMAZING Aquarium ! ! 
 Dec 11 2007 	 wonderful -- - return 	 spend 3 night nice hotel . opt Club Floor wise choice get upper floor room , access free internet , free breakfast , cocktail snack 1730 - 2000 . one night take snack supper -- - snack excellent substantial . service good especially willing attitude . may gotten every request right first try minor language barrier will correct anything . also superb fill special request relate shopping , meal reservation , like . go Shanghai know expect enjoy much planning return trip -- - time least 2 week & quot ; walk city & quot ; .We book advance internet drive rate feel reasonable room service . 
 Dec 11 2007 	 absolutely perfect ! 	 fantastic hotel without doubt ! moment pull front entrance till check - out . Stayed Royal Club Lounge huge favor upgrade book & quot ; ordinary room & quot ; . get exclusive check - in 44th floor , room 53rd floor something like - one good view Shanghai . check offer drink way continue open bar ( perhaps ) 24hr day ( soft drink ) . 5 pm 8 pm free snack ( could replace entire meal ) , free bar good whiskey , champagne , vodka , martini . great way warm perfect Shanghai night . spa top class , warm pool unisex spa ( like Radisson Shanghai nice cold pool ) . man jacuzzi well change room . nightclub bit bore one Radisson , will trick could not ask much , sit 65th floor overlook Shanghai skyline . service excellent room among good ' ve see . nice interior , nice bathroom everything need dvd player , even though can not imagine spend much time watch 42 & quot ; flat screen tv - Shanghai call , Meridien perfect base exploration . 
 Dec 4 2007 	 style substance 	 although glam hotel ( President Sarkozy resident visit ) service still need work . definitely five star ( yet ) . check - in particularly disappointing . even though pay extra ' grand ' deluxe room ( order stay high floor ) , give room 31st floor ( 1 floor deluxe room floor ) . night would not issue . book 8 night . ask anything high . front desk staff not even bother check - say . hand key turn away , leave struggle baffle elevator system previous reviewer issue . late find colleage book regular deluxe room stay 37th floor . go figure ! chinese hotel stay , female staff tend much helpful service - orient . must ' little emperor ' system . as another reviewer 's complaint ( Flannelpyjamas ) - air conditioning issue . even though turn low setting , room extremely warm night . guest complaint hear standard reply ( & quot ; winter system & quot ; ) apparently mean air con completely shut . also could smell cigarette smoke system . breakfast fairly standard nothing get excited . 15 minute breakfast finish staff start clear qualm rush . gym good . bar top floor stunning . concierge helpful , door staff friendly . fairly disappoint review good . next time will probably stay Four Seasons room may hip , service warrant price . 
 Nov 22 2007 	 everything right ! 	 beautiful hotel , perfect central location , surround shop amenity , fantastic room ceiling floor window , excellent service , great food view 58th floor room ! pay bit extra royal club room enjoy benefit club lounge , well worth it . would definitely stay . 
 Nov 18 2007 	 Excellent Hotel 	 one good hotel ' ve ever stay . grand Delux room nice . Big Plasma , sofa , desk look floor celle window . we book & quot ; Royal Club & quot ; room & quot ; executive floor & quot ; access executive lounge . give we complementary buffet breakfast , afternoon tea 2.30 - 5.00 & quot ; evening cocktail & quot ; 5.30 - 8.00 fingerfood type buffet complimentary drink ( ironically cocktail ! ) . drink good quality help spirit , wine , beer soft drink . other thing would expect 5 * hotel - impressive pool , decour , staff , etc . so great hotel , good location ' make ' we Royal Club stuff . 
 Nov 16 2007 	 Excellent hotel 	 stay three night 11/8 - 11/11 . hotel great location , walk many place . concierge great , contact email hand setup tour , restaraunt etc ... ( ask Mike Max ) .hotel elevator confuse painful want go gym spa cross lobby & quot ; gym clothing & quot ; . lounge floor breakfast , evening snack , afternoon drink etc .. great , large room , wonderful view , quality food . hotel room bite small Five Star hotel , great bathroom / shower / tub . nice flat screen tv reasonable bed . , wonderful hotel would stay . 
 Nov 15 2007 	 resist Club level ; ask River View 	 stay ( see review May 11 , 2007 ) , like location much return despite quibble hotel . would probably come back again . the standard room - wag Starwood corporate label & quot ; Grand Deluxe & quot ; - good sized huge hotel class . one sink without much counter space . toilet enclosure frosted glass partition let sound . combine shower tub area well - design , include electric curtain raise give view skyline ( vice versa ) .The rest room comfy enough , useful sit area floor ceiling window . river view room ( sometimes call Bund view ) provide lovely panorama building , river , people walk Nanjing Road . take oversized two four pillow bed , make comfy window seat read drinking view . so get standard & quot ; Grand Deluxe & quot ; room view People 's Park , be worth ask upgrade river view large room . on check - in , get hard sell 400 yuan upgrade club level , free breakfast . not . standard club room well - fact , not face river , bad . real perk free use internet terminal - extortionate 5 yuan per minute charge Business Center . pay breakfast check email get home . the lobby breakfast buffet , despite decent variety , lack quality interest Asian & amp ; western offering . ( club level breakfast scant offering - use freebie lobby instead . ) variety , buy fresh baked bread coffee bread shop next back entrance ground floor , wait open 8:30 . tenth price buffet , eat table outside watch lady drill team excercise ballroom dancer across Nanjing Road . the location great , Nanjing Road near Metro . other mention , walk Nanjing Road mean constantly bombard huckster try sell watch shoe , , be lone male , massage . 
 Nov 12 2007 	 beautiful stylish room Meridien 	 spend three night Royal Meridien 10 day visit China . superior room king size bed gorgeous . comfortable bed , nice bathroom rain shower , huge flat panel LCD television . nice color light . remainder hotel beautiful . we enjoy fitness center , great meal hotel 's french restaurant , italian restaurant . breakfast buffet adequate , service somewhat erratic breakfast . otherwise , service excellent throughout stay . complicated elevator take bit getting use , staff always available assist . overall , delightful stay , would recommend hotel travel desire comfortable oasis busy city . 
 Nov 11 2007 	 Great Hotel 	 read review Tripadvisor choose hotel . disappointed . hotel great location end Nanjing Road . easily walk Bund Shanghai Museum , accost hawker sell fake good prostitute every foot . become tiresome quickly , typical Shanghai . room great spectacular view . staff friendly willing help . 
 Nov 11 2007 	 Mixed Middle Shanghai 	 mix feeling hotel . surface seem ultra chic modern . close look , ' find modern glass décor troubling , elevator system confuse , air conditioning erratic , one bad hotel spa world . feature package $ 310 + US night . choose stay hotel base review Trip Advisor . rate number one hotel stay Shanghai . confirm location heart everything , get hotel convenient , even ' use public transportation . local colleague stick subway two hour try get back hotel . human traffic along Nanjing Road make difficult even taxi maneuver . five minute ride could 30 minute peak weekday hour . something consider business , need get several location efficiently . prepare throw schedule window . hand able walk around shop restaurant outside hotel extremely convenient . location ' place ' spend time ' sightseeing . hustle bustle shopping Mecca start wear while . as room , bright , clean , modern , cold . mean cold , imply two thing : air conditioning system décor . air blast even set low wear jacket temperature set 23 . anything high , room become muggy humid . turn air conditioning , could smell cigarette smoke come system room . flow air keep smoke room . strange . the toilet separate rest room heavy frosted glass door . even frosted glass door , toilet ' private . hate toilet arrangement . fact , walk room initially like walk bathroom sink expose room , make feel really character . ' share room someone family , privacy issue noise factor . bath area fish bowl . shower separate tub area , nice , ' basically shower inside bathroom floor . common practice Asia , personally , think ' efficient cleaning ' find problem . everyone appreciate , area give shower little small wall glass . ( low exterior shade want private shower , otherwise display . ) basically , mean shower , water spray throughout whole bath area … include inside tub . ' hang clothe bath area unless ' prepare get item wet . shower ' hot water second night hotel . switch use hand shower attach tub . bad situation , tall , would inconvenient . bath water yellow . ( could plumb issue city , hotel 's fault . ) bath amenity nice . hadt toothbrush , sewing kit , bottle drink water , l ' occitane bath supply add bonus . water kettle french press come complimentary tea ground coffee . actually nice see rather usual instant coffee packet ( also available , least choice ) . wide flat screen tv plus plenty movie station , bed linen clean comfortable . fresh orchid next lounge chair nice touch , room include sofa coffee table . give room spread relax . nice view 37th floor bay window . lighting also do well . low bright light option . internet access wireless . mean chain desk work . nice lounge chair ' get utilize much would like . cost internet $ 22us+ day . concierge service good . think concierge service Shanghai helpful get benefit refer tour , etc … tour service available guest . ' much sightseeing since schedule really tight . visit cloth market pick beautiful quality silk fraction would pay US . dim Sum hotel ' cantonese restaurant nice , free service charge . Sunday buffet lobby restaurant expensive , $ 40us+ per person . food mediocre … and standard hotel name . go across street Costa Coffee snack breakfast . ' London chain coffee house ' pretty good . also next door pretty reasonable cantonese restaurant ' good quick inexpensive meal . do go Le Spa inside hotel . expensive , even special give ( massage facial $ 180US ) . begin spa experience check - in desk , hand cold hand towel , cold cup ginger tea . sit sip , stare across desk . great introduction . ' get escort soothe room . guess schedule appointment really tight , " & amp ; " " drive Thru " Spa . joke ! girl give massage facial strange . suffer muscle pain stiff neck . really need experienced body worker . ask focus neck back forget area , ' know get " routine " . ' work neck . back , ' place another pillow knee protect lower back . put knee keep hurt lower back . remain position hour . ask hydrate facial . week travel Asia , need skin repair . cream use smell awful , almost rotten . basically , face , head massage technique terrible . two hour treatment , rush cashier pay . little dizzy massage , lie back long , barely able walk . need break room somewhere relax . ' leave tip . rush back shower remove cream face . hotel catch spa service . spa ; ' even try " fake " . complete joke . inexperienced massage therapist esthetician . think ' desperate massage neck pain , would get walk room . keep hope would well . feel completely " " end session . ' say would come back hotel anytime soon . really terrible value . btw , ' also Starwood Gold member . give upgrade , even though pay extra executive room . ' get executive floor . suppose , might little happy overall . reviewer get Club Floor give hotel rave review . get rate $ 200 US per night less , maybe consider come . book directly SPG.com website , suppose guarantee low rate . reviewer find rate $ 200US per night elsewhere . there many hotel choose Shanghai . tend stay chain know travel Asia . travel frequently , mostly work , ' biased hotel good business service , since ' like waste company money , try look overall value . feel overcharged end stay . ' know would recommend place vacation . ' find good value corporate stay , doubtful would return holiday visit . this first visit Shanghai , ' come back often work . probably stay shangri - la new Westin next time visit Shanghai . lastly , Shanghai like rest China probably go grow pain . might try hotel another year . 
