Nov 	 Valentine 's Day 	 love city trip ! hotel great , guess celebrity room stay ? 
 Aug 19 2005 	 miss something ? ? ? 	 book hotwire $ 125 night . staff friendly , though inexperienced ( first room guest luggage , second room open guest room , third room fine ) . hotel date shabby , room uncomfortably tiny . also , Cafe De Presse renovate right US day 8 morning 6 night hear bang loud construction noise ( even weekend ! ) . parking rip $ 37 plus tax , take nearly 20 minute valet get car ready check . would stay ! ! ! 
 Jul 27 2005 	 tiny funky 	 Wierd funky hotel . tiny room , flashy furniture . try funky cool way , definitely style . definitely place business traveler . location not bad - bang front China Town gate . like blue red velvet furniture cramp room , go ! 
 Jul 22 2005 	 great concept decor noisy weird ick smell 	 love location feel hotel room definitely soundproof , advertise . night long big truck seem noisily lumbering sound like trash endlessly pick . tend make get early take advantage neighborhood . check Grace Cathedral indoor outdoor labyrinth . lay day geographicallly . chinatown neighborhood also interesting early hour . but digress . think real turnoff odd odor floor ( 4th ) room . Zen Den although small , perfect one person interesting . smell ... lie awaken middle night truck noise thought Legionnaire 's disease spore insidiously creep system . disconcert , say least . I will SF business fall / winter may give Triton another shot . will try Kimpton 's first . experience Hotel George DC -- wonderful . if end , check Akiko 's , right around corner , incredible japanese food . beautiful presentation eclectic /artistic space . SF incredible ... enjoy ! 
 Jul 7 2005 	 place real deal . Great Hotel . Great Location . 	 look place cut basic hotel San Francisco , still reasonably price , . 's locate heart Union Square , next Chinatown gate , within walk distance almost everything SF . 's good safe neighborhood . room small , surprisingly quiet well appoint . go spend lot time room want lot space , look elsewhere , otherwise gem . extras make place good ? first foremost , wine hour . many hotel guest gather lobby wine taste hour 5 6 pm 's surprisingly fun , low key social . also chair masseuse tarot card reader hang . whatever reason , really look forward every day . second thing set place apart staff . almost everyone deal friendly , knowledgeable really seem care help we . third thing value . wireless internet include free every room able book package include valet parking reasonable rate . bottom line - this boutique hotel real deal ! 
 Jul 1 2005 	 quirky disappointing 	 would hear Triton amazing experience , miss since colleague know ' m feed run - of - the - mill Hilton / Marriott / sheraton business travel . not meet expectation , certainly rate $ 250ish night . cramp claustrophobic , room bathroom fitting not great , odd smell room , wireless internet coverage room , decor ( whilst immaculate ) full - on . would pay $ 160 , bit hippyish goodwill not make remain $ 90 night . 
 Feb 10 2005 	 Triton Rocks ! 	 husband stay Triton week - end January 2005 . fifty something love Triton . cheap comfortable . bed great , shower great . room uniquely , coolly tastefully decorate . staff friendly . location , gate Chinatown , excellent . even elevator cool . hotel recently renovate show . 
 Dec 10 2004 	 Zen Den Hell 	 due convention town , force book hotel two night business trip . mistake . book so - call & quot ; zen den & quot ; , tiny room liveable nice bathroom area brightly color wall . main problem room face Bush Street , run one way financial district . night , be treat noise speed car , loud motorcycle , people chat walk past , garbage truck , , 3 a.m. , someone wander around play flute . needless say , sleep difficult , impossible , circumstance . the hotel offer swith room side note garbage truck operate side . could hear pretty well side must unbearable side building . case , be travel business require quiet hotel , avoid one . not , risk zen - like experience try get work day sleep - deprive haze . 
 Nov 22 2004 	 overprize 	 San Francisco great city , hotel rather disappointing . room first give awful . tiny , smelly , dark . second room slightly well ( also 20 US $ ) . still smelly incredibly loud - every morning 4.30 get listen dumpster car working alley street . maybe insulation really bad room . people work friendly , large astonishingly incompetent amateurish . whole place feel much like hotel run college kid college kid . 
 Nov 20 2004 	 great lil ' find ! 	 stay Triton November 11 - 14 , 2004 daughter . make reservation personable woman actual front desk Triton . personally , much prefer make reservation actual property intend stay , oppose move hotel recently make reservation thru central reservation service usually property . [ come across Triton lock - out several major hotel chain impose once - strike worker . book suite St. Francis , find involved lock - out . give cross picket line worker lock - out job agree worker , find alternate hotel involve . fortunately , thru internet research , come hear Triton . ] upon check , woman , Andrea , assist booking reservation , front desk . quite helpful describe accommodation hotel well surround area . arrive , fresh , hot cookie front desk . hot cookie appear twice day . also , host nightly wine taste lobby , along Tarot card reading . Fun way interact other stay , desire . we go funky / modern elevator ' the Graham Nash Suite , ' delightfully decorate use Mr. Nash 's personal memorabelia career Crosby , Stills , Nash ( sometimes Young ! ) well one eco - friendly room . wonderful idea ! bottle mint infuse water desk charge . Glad try ! pleasant change usual bottled water ! downside suite accustomme stay two separate room ... bedroom living room . suite one large ( compare regular sized room see pass housekeeping staff cleaning ) room couch chair , etc , along bed room . the Gates Chinatown directly across street , incredible ... inexpensive ... meal dim sum evening . pleased quality ingredient eat various restaurant throughout stay . ' ve never eat well little city ! never order room service , can not comment aspect . the central location hotel plus . Union Square right one street . trip San Francisco check different neighborhood apartment daughter , plan move there . when staff hear look good daughter live , give we personal opinion concern city 's various neighborhood , etc . helpful , familiar difference neighborhood there . by end stay , daughter find lovely , albeit small , one - bedroom apartment secure build fabulous view . room fine , bed comfy , decor definitely one - of - a - kind , good shower pressure ( important point we frequently stay hotel ! ) , staff good ! reccommend Triton anyone tire usual & quot ; ol ' ol & quot ; hotel . side lack view , ' suite ' face street , rather alleyway . however , since go stay , not matter much time . next time will know ask ' suite ' view . 
 Oct 21 2004 	 Fun Funky ! 	 use live Bay Area thus task find hotel business group four . expensive , good safe location , represent quirky , free spirit San Francisco . tall order indeed . we stay Hotel Triton one night meet criterion fly color . start complimentary wine evening , tarot card reader , fabulous staff recommend excellent restaurant end flawless wireless internet service , warm cookie , Aveda product , nice quiet room delightful ambiance oh comfortable bed . box animal cracker personalize note wait also nice touchour wakeup call Prince William singe Little Red Corvette ( appreciate ) .definitely stay ! ! 
 Oct 20 2004 	 good . 	 former San Franciscan , choose Hotel Triton funky SF experience & amp ; husband never San Fran . look great outside lobby . right entrance Chinatown , next Cafe Presse favorite card shop , Advantcard . decor really fun , funky college student kind way , nice touch like candybar minibar - like offer tray room . : room terrible . one inner room face rather depressing courtyard deck . ( never see outside room not know well San Fran usually cloudy light well say ) . room dark extremely tiny . window AC unit block lot light come small window . room small , small bed dominate room . even 2 we stand weekender suitcase , room feel , crowded . room ( include bathroom ) literally size 2 office cubicle . ' m really kid . absolutely space open suitcase . luggage rack place unfold , unless block door room door bathroom . bathroom also tiny little worn look also however try dress bit luxury anementie . thing not like Hotel Triton , unfortunently , service . not care . room connect door another room one side insulation room , standard door . bunch guy , gather conversation , Iowa day bachelor party guy name Steve marry someone name Robin . could every single word conversation door across courtyard since share corner together . even hear break glass set another one tabletop . like even try hear . put AC , tv , lie bed . uncomfortable . stuff , thought could live bit much . go request getting move . desk person say would not move we Hotel Triton rule not allow party . tell definately party . argue we party actually exist , tell we would tell clear . not want , guy getting marry , , ask move . call manager , say could not move we , would not tell we , something book room advance . puzzle . anyway , decide live stay room spend San Fran trip avoid go back room late night . be fine , plenty San Fran . one last suprise , check , 2 phone call bill ! consider carry cellphone know cost hotel phone service honestly never make one phone call room not even pick phone call front desk , walk lobby . Weird . girl counter argue we phone charge ! husband keep insist not call anyone San Fran ( friend live East Bay ) . say well maybe call restaurant . not make reservation either . finally husband say , not make call , call number see , maybe person we . , rather angrily call number nobody answer . finally take bill . whole time woman look mad like try scam . taxi come pick we , husband say & quot ; try good sport hotel room last straw . would want scam $ 4.00 ? & quot ; thing : door use real key , electronic card not keep change door lock security issue . chocolate chip cookie lobby good . location hindsight not great real tourist , opinion . Fisherman 's Wharf although garish , probable well choice , tourist activity seem begin end full od tourist busy night time . hotel 's street full homeless people night . anyway , FYI , 33 year old . hear mixed review hotel go see why . we find cool glamourize Youth Hotel vibe . great college student , think great mature adult . would ok stay friend night husband . parent would hate , decor cramp quarter issue , worth price . suggest instead , stay Argonaut Hotel , another boutique hotel , Fisherman 's Wharf . friend 's stay look nice . be get nautical theme , newly renovate , room big seem cheerful cleaner . hope help everyone make informed decision . hotel really make break trip . regardless , enjoy vacation Fun ! 
 Sep 30 2004 	 nice small hotel 	 good hotel $ 50 per night ( book via priceline.com ) . location excellent , 5 minute walk Union Square Macy 's good shopping area 's . also ChinaTown gate also cable car ride Fisherman 's Wharf . staff friendly . room little small side , bed comfortable , shower facility excellent . fridge provide . elevator little iffy . also complementary breakfast provide . avoid go french cafe next door breakfast pricey . massage chair lobby excellent . overall would rate hotel highly , room clean . 
 Sep 20 2004 	 bit worn 	 although funky , bit worn lack basic creature comfort . room nice look hotel 's website . pay 169.00 per night little much small room . room not information regard guest service telephone book ( fact , even front desk telephone book ) . not know room service read site . also give we faulty print instruction airport , frustrating . however , hotel ideally situate gate china town . get rate close $ 99 not mind small room , would great deal . 
 Sep 15 2004 	 great location hip design fun place 	 enjoy stay August 2004 . although room postage - stamp sized , be nicely decorate furnished quality bedding , etc . original art add ambiance . elevator stylishly quirky . face fairly busy Grant Ave . , room suprisingly quiet . appreciate complimentary coffee & amp ; NY Times PM wine hour lobby view pass scene , mention massage chair . adjacent Cafe de la Presse cosmoploitan french - style newsstand , cafe restaurant . Hotel Triton great base SF business touring . 
 Aug 26 2004 	 Good Value ! 	 stay hotel July ; great rate ( $ 99 ) night . really think great deal money -- - bed comfortable nice linen , Aveeda product fun hotel decoration . also , can not beat location ! ! ! also , little bar next door great ! however , lobby worn room small would recommend honeymooner folk seek 4 Star experience . perfect we easy budget ! ! ! 
 Aug 26 2004 	 name ? get room # . heck take key ! 	 stay last March . people nice , everyone work another hotel not even know buy cigarette . rate good . room clean , way way small . allow dog without hitch , cool . big downside , though , give people room number without permission -- give key ! come back room find two friend suppose meet , sit bed . , sure -- fine time , like -- not friend ? 
 Aug 18 2004 	 Trendy Unique 	 Stayed last year great time . location awesome ! immediate walk distance include shopping , Chinatown , several happenin bar restaurant . the hotel fun trendy . decoration give life character hotel . definitely change pace usual large chain hotel . the room nice , however bit small . not really matter since be spend time city , room . oh , king size bed * sigh * comfortable . the complementary drink afternoon nice touch . serve staff friendly make good conversation . overall good time would recommend stay . 
 Aug 12 2004 	 great location share quirk 	 pleasantly suprise stay Triton . yes , build old . yes , elevator keep guess actually make floor . none matter location cleanliness important . location Triton could beat , right chinatown gate , walk distance ( nice long walk ) SBC Park transportation anywhere else want go . front desk helpful attentive . not miss happy hour , beer wine free flow great chance meet people give teriffic recommendation local hot spot . massage chair fab long day walk . room not huge room SF price range ? morning tea , coffee biscotti nice touch . minor complaint : water pressure eco floor horrible . long , thick curly hair , washing could quite chore . also , buy fresh cherry market within day swarm fruit fly . hopefully keep window closed would solve last problem ! 
 Aug 5 2004 	 blast half 	 can not say enuf place . complainer say staff stuffy stuff . large group feel right home , not one complaint bunch . one four day . good music , wine brew happy hour downstairs , lobby -- fughedaboudit -- 's good , possibly well ever . afford valet service car ( tad bit spendy , hey , 's s.f . ) will not regret . baby us one staff dude get floor hand gratis rubber ducky ! cool ? will back next time hit city . thank , Triton . rock ! 
 Jul 25 2004 	 Fun Hotel ! 	 friend stay Triton Hotel 7/23/04 . great place stay want lively boutique hotel friendly service . bed comfy . complimentary wine serve 5 pm 6 pm every evening lobby guest gather talk , get massage , Tarot card read ! meet people world . also live music . 3 pm 8 pm hotel serve warm , delicious cookie ! staff extremely accommodate give we later check - out time happily answer question . hotel locate within minute Union Square right Gate China Town short walk North Beach . also take one SF Library free tour Java Walk tour Elaine Sosa , lively , energetic fun tour guide show we cool coffee house area ( $ 20 ) educate we interesting fact city . 
 Jul 20 2004 	 truly fun experience 	 spending long weekend fantastic . location hard beat actual gate Chinatown directly across street ! easy walk distance much SF offer . hotel free happy hour every evening free wine beer chance mingle fun traveller . room small yet well furnished ( else find vibrator honor bar ) . can not imagine stay somewhere else return ! 
 Jun 26 2004 	 fun little hotel ! 	 place great - friendly staff , funky decor , immaculate room . we stay 2 night 2 night Vintage Court . Triton huge improvement VC , less expensive boot ! ( okay , $ 4 / night less , still ! ) interior room comfortable queen bed . bad thing say room TINY . however , 2 people fine - cozy fact . interior room not offer anything way view , extremely quiet . 2 night look Bush St VC , happy skip view get rest ! wine / beer hour ( ) great fun - one attend tarot card reader complimentary 5 minute massage ( could pay minute ) welcome walk hill day . also two iJoy chair lobby anytime revitalization stop ! location great - right next chinatown gate quick walk cable car . highly recommend Triton , would stay . 
 Jun 21 2004 	 Hotel stay ... okay 	 husband great time visit city , hotel okay . room small anticipate dark , courtyard room way go . room adjacent wall stairwell loud couple upstairs , could hear everything . would nice refrigerator , fill overly expensive item use charge room , basically ripoff . coke cost $ 2.98 ... safe say utilize fridge ... could use . order piece cheesecake 1 scoop ice cream room service ... cost $ 18.95 ... ridiculous ! ! guess well bring along snack induldge ... price high ! ! ! staff nice helpful planning wine country tour hotel centrally locate . great trip overall , return future , would stay hotel . 
 Jun 9 2004 	 Lots Character 	 ( 2 adult , 2 kid ) stay Hotel Triton mid - May , Weyland suite . room good - sized , like fish tank ( though bit bright night ) . staff friendly , helpful attentive . let we late checkout problem . location ideal we ; love near Chinatown cablecar , close ( boring ) Union Square . morning coffee setup good selection , real mug , kid love evening cookie . definitely stay agin . 
 Jun 3 2004 	 blast ! 	 boyfriend recently stay hotel four night wonderful time . perfectly situate across street China Town , staff incredibly helpful friendly . room amazing ( ask corner room view ) . go back stay heartbeat ! 
 Jun 2 2004 	 Triton : Great Central Location . 	 enjoy Memorial Day weekend stay Hotel Triton ! Saturday night assign tiny room .. double bed break air conditioner . however , Sunday night easily move big room King bed work air conditioner . one downside , even Sunday night , 5th floor , could hear garbage truck dump glass bottle early morning . however .. hotel centrally locate excursion Chinatown Union Square ! 
 Jun 1 2004 	 yes bad ! 	 visit San Francisco least 10 time year business always stay Hotel Palomar hotel group , Kimpton . Kimpton Group usually meet standard come Hotel Palomar restuarant . decide would stay Hotel Triton see great review come site check website impress theme style . automatically greet door . early morning eye focus breakfast set ( coffee , tea ) . one frontdesk . wait couple minute get coffee first . someone get ready get . alright , understand 's fairly early & quot ; & quot ; yet wake , come ! lady quick ' m sure want fast possible . go one two elevator go room . great room comfortable bed . room simple splash pizazz . satisfied room . Thoe housekeeper attentive helpful additional ammenitie request . call downstairs wake - up call not answer till call 3rd time . check day later morning young lady help . seem continue attitude check - in . lot blank stare felt push . throughout day staff perfect . decide stay ( likely ) would come afternoon . enjoy cookie ! 
 Apr 24 2004 	 Great Time 	 stay Triton April 21st 2 night . regular room 2 double bed Jerry Garcia mini suite king bed pull sofa . regular room small , bright color make appealle . suite accommidate 2 adult 2 child comfortable . staff extremely friendly wine beer hour fun relaxing . tarot card reader ( $ 15 ) chair massage available . great time . 
 Apr 13 2004 	 Fabulous ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 hotel Triton Fabulous ! ! ! great location , right across Starbucks one gate China Town . the staff helpful friendly , bed comforatable bed world . coffee lobby great . ' ve also stay Hotel Monaco similar Hotel Triton 's own company . second stay Hotel Triton look forward say . 
 Apr 1 2004 	 Fabulous ! ! 	 stay conference , must say , love little hotel . location great , cocktail hour fabulous , staff really friendly , great advice restaurant drive direction . funky decor wall , really neat . room small clean comfortable . agree another review street noise early morning , want sleep San Francisco . much see waste time bed . overall amazing place stay . stay ! ! 
 Feb 10 2004 	 Fun Hotel ! 	 trip San Francisco accomodation hotel . fun place ! Decor color style would not think put together work hotel . give fun upbeat atmosphere . two elevator : one black light , red light . loved red light ! comfortable bed . aware european style mean small room , comfortable decorate pretty wild . staff attentive helpful ! happy hour 5 - 6 free wine beer guest . hotel right across street entrance China Town . 3 block away high end merchant shop . catch cable car 3 block away go Fisherman 's Wharf . well locate tourist . overnight , highly recommend hotel . 
 Feb 9 2004 	 Triton Rocks ! 	 boyfriend stay Triton January 23 - 26th good time . visit San Francisco often Triton far good hotel ' ve ever stay in . the room small side oppressive claustrophobic decor really fun . room stay 3rd floor face inner courtyard quiet , clean great amenity . I think good part Triton , however , staff . cool , kind extremely helpful direction , recommendation , etc ... also host wine / beer reception thing evening DJ , tarot reader masseuse really great way start evening . in term value , location service not think well Triton ! ! ! 
 Jan 16 2004 	 charming hotel 	 Hotel Triton ingredient great boutique hotel . rennovated old building charm olden day convenience new . lot color art work invite lobby blue tile bathroom , least bathroom ... even receptionist fit hotel , funky helpful . difficult find another place rate great location . definitely return Hotel Triton 
 Oct 29 2003 	 good location 	 arrive , discover internet booking thru agent not appear reservation list . good enough upgrade we Queen room King room extra charge make . located entrance Chinatown & amp ; close Union Square make convenient base move around city . room funky right . find bit noisy traffic outside & amp ; coo pigeon top aircon unit . aircon also rather noisy whenever thermostat kick . complimentary cookie nice touch though . not mind noise ( could ask quiet room ) location hard beat price . 
 Oct 6 2003 	 like Dieter SNL skit 	 first , hotel comfortable , room lovely , manager tremendously friendly . location fantastic . afternoon wine complimentary massage really great touch , decor fabulous . the front desk staff , though , need remind cast director MTV special . try conversation one . oh , try ... laugh . will wonder ' ve suddenly regress past life speak Gaelic will stare like ' ve speak gibberish . example : : & quot ; hello ! like glass ... cool . & quot ; : * * silence * * , chit chat . friend ever able get hold stay hotel , never , never , never . never . message even though know , finally see friend first time thirteen year , call average seven time leave message , make total twenty - one call simply disregard front desk staff period three day . thank . then , make matter bit cozy : somewhere around 3 a.m. , truck truck back window .. * BEEEP BEEEEP BEEEP * dump humongous truckload glass , sound like explosion , slammed slammed slam top dumpster . happen nearly every fifteen minute . horrify . however , actually might consider stay , can not imagine experience could like one . lot offer hotel staff can not consistently rude . manager really nice kind maybe entire regular staff stomach virus call team emergency replacement local Dieter School Customer Service . 
 Oct 3 2003 	 Hotel Triton well ! 	 hotel GREAT , decor wonderful , beautiful funky artwork , definatly cookie cutter hotel ! stay King Triton Suite think lovely . comfortable , clean room comfy bed . staff exceptionally friendly & amp ; location beat . Hotel Triton favorite spot stay San Francisco ! 
 Aug 26 2003 	 noisy room Hotel Triton 	 hubby stay Hotel Triton last weekend . decor ultra cool , excellent location staff nice enough . however , room small noisy . stay sure ask quiet interior room get sleep ! 
 Aug 15 2003 	 Hotel Triton - trendy centrally locate 
 Jul 22 2003 	 beware inner room 
 Jul 14 2003 	 never stay ! 
 Jul 14 2003 	 love Cute Funky Triton ! 
 May 2 2003 	 Hotel Triton BEST ! 
 Apr 9 2003 	 Nice Hip 
 Mar 4 2003 	 funky San Francisco ! 
 Jan 15 2003 	 Hotel Triton Rocks ! 
 Jan 3 2003 	 so - s0 
 Sep 21 2001 	 feel right San Francisco 
 Sep 21 2009 	 Nos cobraron fianzas 300 dolare sin avisar lo devolvieron 15 dia despue de salir 
 Apr 21 2009 	 Muy bien situado muy ' cool ' 
 Mar 22 2009 	 toll Hotel idealer Lage 
 Feb 3 2009 	 La habitación orgánica lo mejor ! 
 Jan 6 2009 	 Hotel sympa et original 
 Jan 2 2009 	 hotel super cool 
 Nov 28 2008 	 Hôtel très satisfaisant dans sa catégorie 
 Sep 19 2008 	 Una estancia notable buena atención excelente ubicación ... 
