five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 May 19 2009 	 Felt Good Trumped 	 beautiful , clean hotel . room furnishing extraordinary . downside , 's Strip cab ride almost anything wynn . ( fact know certainly can not complain . ) service generally good . tv would not work first night tech guy come quickly . ( disconnect cable ) . service request put two fairly minor issue not fulfil day make request . we not use hotel restaurant . bartender Lobby bar agreeable indeed . a minor grouse hotel charge $ 15 per day resort fee . know advance not complain . & quot ; free & quot ; water room sign say courtesy Wynn . resort fee , explain check - in , intend cover item coffee water room . come on guy , kill sign . I would recommend hotel . 
 may 18 2009 	 great deal get suite 	 get suite $ 150 Sunday night . disappointed learn extra $ 15 & quot ; resort & quot ; fee mandatory parking , walk suite , not worry . suite great -- little mini - kitchen complimentary water ( unlike hotel charge ) , stove , mini - fridge , big comfy couch view Strip , nice soft bed , lot full - length mirror , jacuzzi tub separate shower area , dual sink -- really luxurious . we not impress pool , sip wine jacuzzi bath make ( wine glass kitchenette . ) kindof cool hotel Vegas without casino -- sure Donald make $ hotel . oh , be come South , Spring Mountain exit , warn & quot ; Fashion Show Drive & quot ; = & quot ; Wynn Drive & quot ; . i.e . will not see right street sign change name Las Vegas Blvd . Donald probably not want address Trump Tower Wynn Drive , ' m guess . street not really label clearly . 
 May 18 2009 	 great Stay Trump 	 return short visit Trump Hotel Vegas . great stay . bed comfortable , room overall well equip beautiful kitchen area ( use ) . eat hotel many wonderful option close . bloody mary pool bar one good bloodie ' life . location nice ' close Wynn Treasure Island . find service delightful surprised review poor service experience nothing good service helpful staff . lobby smell amazing ' nice walk spending time smoky casino ( lobby smell Langham Place Hong Kong ) . definitely stay Vegas . 
 May 18 2009 	 bad hotel Las Vegas general . 	 many issue place hard figure begin . location way Las vegas Strip . right across street Mall close hotel side mall . could walk , good 15 minute hike main strip reach hotel . since casino want gamble must go hotel . also show entertainment option . spa , all.upon arrive tell hotel room two queen . room , accord front desk , king size bed sofa queen . desk clerk say sofa bed nice high quality . turn sofa bed like every cheap hotel mattress inch thick bedding . the room self nice , stove , toaster , blender , coffee maker , etc . although , recall plate eat . bathroom nice shower large spa tub . although location lack casino disappointment try make good choice . next morning discover horror linen change previous guest . notice one corner top sheet small blood stain . lift sheet find blood reach bottom sheet mattress pad . we complain front desk . offer move we another room . decide stay room , ask bedding replace . come back evening bedding replace . next morning discover rest room service lack . clean coffee maker replace supply use . believe glass use replace . either need change dish washer . not replace hand towel , provide new shampoo toiletry . this service provide tell discover blood sheet . can not image would like without front desk 's personal guarantee would ensure room clean . when check tell front desk satisfy stay hotel . look account tell remove $ 15 spa charge ( fee whole issue , something know hotel charge ) compensation find blood bed issue . never contact manager customer service representative discuss happen . Trump International present one two star hotel , maybe could understand . however , state 5 star hotel . even , without room service issue hotel bad choice Las Vegas . 
 May 13 2009 	 DISAPPOINTING -- UNSAFE 	 guess check Trip Advisor booking stay . family 2 night Las Vegas travel Grand Canyon . since travel 2 child ( 6 & amp ; 8 ) , choose Trump claim 5 star property locate strip . fact casino one determine factor . presume , incorrectly , hotel would offer comfort safety . not.my 6 year old find drug ( bag cocaine ) room ! Presumaby room service arrival ? . obviously , horrified . advise hotel manager happen , response simply , & quot ; thank report issue . need complete security report . & quot ; .. concern , apology ! return , respond email survey detailed information incident -- -NO follow . write letter Trump Headquaters regard -- follow ... warn , safety , service customer satisfaction concern Trump property . 
 May 12 2009 	 beautiful hotel substandard service 	 Trump gorgeous hotel . room beautiful , fact probably well - look hotel room ' ve ever . decor sophisticated luxurious . really seem five - star . complaint room bed -- not comfortable . hard , also bit lopsided . ( however , linen plush comfortable . ) big complaint hotel service . ask basic service , staff give blank look though idea talk . woman reception desk seem though first day job -- stammer lot ask someone 's help find room . also , housekeeping service not good -- neglect clean thing , forget stock other . , staff seem surly unenthusiastic . ' ve stay four- five - star hotel , come expect certain level service . Trump fall far short . would still recommend hotel lovely room . 
 May 11 2009 	 love non - gaming facility 	 love suite ! room big spacious , clean bright . look pool ( south ) tend get noisy day progress , could hear music pool room - late night awful wake 90 's hit . say room top notch . hotel locate block strip love midst LV craziness - also love gaming facility reason . also love car service complimentary , available - great used get PremiumOutlets 10 - 15 min away . order room service well LV food standard , quality taste , set room beautifully table cloth & amp ; china . wknd MissAmerica contest meet DonaldTrump lobby ! spa awesome dermalucent facial divine spa facilities fab . 
 may 11 2009 	 clean poor value / service would not come back . 	 stay one night personal trip wife hotel immaculate great expect 5 star hotel . problem service . morning wake notice regular coffee , decaf . call front desk hold 5 minute . finally speak someone ask someone bring coffee take 40 minute ! ! actually think forgot since ready leave , not bother call back . not park need valet wait nearly 25 minute car arrive . shortcoming include toilet paper equivalent sand paper , $ 15 resort fee $ 7 charge use internet include charge print ! would think resort fee would cover . 5 star , $ 350 + night room nickel dim 5 minute web print boarding pass ? ? sorry , can not recommend hotel level service . 
 May 10 2009 	 great deal 	 town concert planning staying friend . last minute decide book hotel could pool use . pricelined 5 star hotel Northend strip get Trump $ 110 . kind bum first everything great . check early able upgrade suit $ 50 . room nice , clean bed comfortable . problem get double lounge chair pool bar / resturant staff take drink .. pretty small pool area nice bc smoke free ! ! great deal ! ! would good low key couple want strip do not gamble family . G 
 May 10 2009 	 Best North end Strip Value Las Vegas : go GOLD ! 	 look ( contemplate ) Vegas would like stay high - end hotel not casino -- stay Trump . wife aprehensive first , due bad review , arrive could impress . trump excellent , attentive ( attractive ) staff member , huge suite - style room , high - end hotel chic finish , unbelievable food selection , great pool scene . resort group 15 dude look go club , perfect hotel go small group friend spouse . trump also non - smoking major plus . casino -- leave could think ' wish casino , ' Vegas night walk back smoke - free , beautiful lobby , could think ' ' m glad casino ! ' food drink little pricey , 5 - star hotel would expect Donald . close mall ( adjacent Nordstroms ) easy access great attraction . great hotel great value north end 5 - star hotel . 
 May 5 2009 	 Fabulous experience 	 Trump Las Vegas everything would expect . book Priceline able get fantastic price per night . stay 4 night 5 day not want leave ! jacuzzi bathroom , in - room kitchenette , amazing view incredible ! highly recommend hotel , especially be look quiet experience - casino Trump . the word caution strip ... close enough be basically right across street Wynn behind Fashion Mall . also , hotel virtually food - eat late breakfast bit tricky unless want pay room service . overall , excellent - come back ! 
 May 4 2009 	 truly V.I.P . experience -- well worth get discount ! 	 lucky enough get room ~ $ 100 / night ( via Priceline ) ; probably would not able afford otherwise . neatly - groom doorman greet we friendly reception desk attendant check we . another well - dress staff member verify room key rode elevator . tastefully - decorate room huge , complete single king - sized bed queen - sized pull - out couch . plenty shelve dresser drawer , glass coffee table tic - tac - toe centerpiece , magazine hardcover book . 26th - floor view amazing floor - to - ceiling window -- could see snow - cover mountain distance . amenity : huge LCD tv remote several cable channel , mini - fridge , coffee machine , two bathrobe , iron , extra sheet , complimentary water bottle , newspaper deliver door , etc . bathroom world unto : huge glass partition shower overhead shower head , another huge glass partition room toilet , large spa bathtub , bright lighting ( bright ) , cosmetic / vanity mirror , plenty thick towel soap , blowdryer , shampoo conditioner , plasma tv build mirror , dual sink , etc . doorman even able arrange courtesy shuttle run we across street Wynn . con : trash stairwell , room service cart leave hallway 1.5 day , blanket could find pull - out bed , room service take ~30 minute deliver & quot ; Trump & quot ; burger ( albeit 3:30 ) & quot ; dental kit & quot ; ( aka small toothbrush toothpaste ) .Overall , excellent amenity top - notch service ! 
 May 4 2009 	 nice place stay Las Vegas 	 wife Las Vegas dozen time stay number hotel . time around , use Hot Wire select hotel end stay Trump Tower . read review site concern choose poorly , stay turn pretty well . there lot positive . room nice clean . service average , particularly pool . really like pool area spend quite bit time . choose low floor near strip nice quiet . security good staff always lobby watch everything . elevator plentiful never wait 10 second one . shopping , Fashion Square mall right across street . the negative hotel long two block strip . personally find walk great , wife would like close strip . course 's casino hotel ; plus we maybe everyone . all , great stay . 
 Apr 26 2009 	 love hotel ! 	 book hotel hotwire , know stay 5 star hotel central strip $ 150 take chance . please hotel . lobby gorgeous , whole place smell wonderful ( must pump something vent ) . room bright comfortable . bathroom nice , shampoo top notch . ask room & quot ; away train noise & quot ; review read never hear train . eat breakfast restaurant simple small , good . we not smoke gamble , not miss walk casino . proximity mall nice , be go anywhere else take cab far walk . pool lounger wonderful . 
 Apr 26 2009 	 Know go . enjoy stay 	 use Priceline book 5 - star hotel , be find Trump . appreciate many review TripAdvisor hotel . arrive , know expect . yes , charge hide $ 15 / night & quot ; resort fee & quot ; , , not like reviewer . since 's much resort ( nice pool workout facility , 's ) , find fee hard justify . even fee , pay little room still come way ahead . unlike reviewer , problem whatsoever service . valet parking attendant prompt get car park deliver . bellman take extra time point good running route around hotel , Strip . my regular guest room oversize elegant . joy come home room long busy day . feel like come home nice house . I ' ve Las Vegas 15 time , business . ' ve stay 5 - star hotel not nice . will glad stay Trump , get deal like one get time . 
 Apr 25 2009 	 thief 	 Trump steal money ! ! ! ! ! ! prepay room arrive . freeze 300 dollar typical Hotel room insurance . check , room leave perfect condition . bill 93 dollar anounce remain dollar previously hold credit back account . wait 30 day never credit back travel card . Daniel , front desk manger , say lie we . awful tight economic time . 
 Apr 24 2009 	 5 star shabby . far away rest Strip 	 think would try LV hotel not try . receive good deal Trump Priceline . room quite nice -- studio suite . bathroom one nice ' ve see hotel . 's much choose hotel far food go casino want action , be good 10 - 15 minute walk away . pool area nice seem bit small . enjoy stay not think 's worth pay full price . one side hotel face freeway little noisy . yes $ 15 / day resort fee internet access $ 11.99 / day WiFi work incredibly well . 
 Apr 24 2009 	 wow place GREAT ! 	 priceline room get great deal . little worried becuase so - so review , way excede expectation . the room amazing ! giant jacuzzi bath tub marble huge bathroom , tv mirror , huge shower . ( side great water pressure ) . full kitchen top line cooking supply , super comfy bed . staff friendly . pool nice . location great . near Wynn Encore . side be like block half strip not put side walk get strip walk traffic 's well worth stay hotel nice price . great place stay Vegas ! 
 Apr 24 2009 	 Step strip 	 pick hotel Vegas nephew 's wedding . like smoking & amp ; casino . recommend friend . one bedroom suite & amp ; use bridal party get ready . room beautiful large . photo come great . lobby exquisite tastefully do . bed comfortable double door entry room , not hear traffic hallway . ask fruit & amp ; cheese platter deliver room tasteful well & quot ; wow & quot ; . thing not like go get car , could not call ahead valet ( way park ) would wait every time . long wait , still wait . check in / out easy . room pack everything could possibly need . Bathroom tv mirror . nice . room two bathroom put use many girl . small living room area comfortable sofa pull bed . furnishing classy . Kitchen fully stock . would love stay . also , walk bit super well light street strip get back hotel . great location tho . across street Nordstrom Fashion Show Mall . 
 Apr 23 2009 	 overall nice probably will not back 	 stay Trump 4/10 - 4/12 . overall stay nice . room priceline $ 67a night , receive free upgrade strip view room nice ! basically family look relax weekend kid . ' gambler casino issue . annoying though pay $ 15 resort fee . get nothing fee , ' another way hotel make extra cash . also , self parking valet parking slow . need offer self parking wait time get ridiculously irritate . room nice , Wynn Bellagio still step Trump . Wynn ( particular ) luxurious . visit spa nice must say . ' get treatment , relaxed take advantage steam room sauna . pool lovely relax top notch . service throughout stay good . everyone encounter helpful , kudo Trump ! also , love hotel non smoking . overall nice hotel , know ' pay $ 15 fee day ( even though get nothing extra ) , parking bit slow ' valet , hotel strip . would stay ? probably . need get rid resort fee offer valet parking return . 
 Apr 23 2009 	 terrible . never . 	 problem start . one , tell free upgrade get upgrade extra nightly surcharge . & quot ; upgrade & quot ; basically include extra bathroom kitchenette . addition , charge mandatory $ 15 / day fee include access fitness center ( usually include hotel ) , complementary water coffee room ( also usually include ) , free 800 - number dialing ( wow , thank ) , access parking garage , among silly thing . charge delivery room service plus extra mandatory gratuity ( 20 % ) top . , top , hot water next morning shower . complain thing , management basically could not care less . tell go write bad review say & quot ; fine , whatever want . & quot ; check one night fabulous time rest trip Palazzo . 
 Apr 21 2009 	 Disappointed 	 go Vegas wedding , book Priceline , not choice 5 star hotel get . disappointed end Trump , read bad review Tripadvisor . go open mind , hope good . reiterate people say , room gorgeous , lack smoke great .... however .. service severely lack 5 star hotel . check , check , bad experience everywhere . front desk rudeness , bell desk lose package deliver we , housekeeping leave wet towel floor , concierge forget book shuttle airport we ... one thing another . needless say , 5 day , happy go home . stay , matter rate . 
 Apr 20 2009 	 Nice Hotel Bad Location 	 hotel nice . love room , huge , sit area , whirpool tub , large bathroom , kitchenette . ... beautiful hotel . however , noisy . stay 33rd floor , almost top , could hear ambulance train like right outside window . hotel 5 star location 1 . 
 Apr 19 2009 	 great value lovely room 	 can not say enough nice room . like apartment . full kitchen include everything could possibly need cook / entertain . bathroom awesome include huge jacuzzi tub . hotel strip little way , that s make great . casino noise , its100 % non smoking add bonus . pool great , lay back atmosphere . lobby understated elegance , top like Vegas hotel . real drawback use valet service tend take awhile get car time , , hotel excellent value . great view room , could see way strip include able watch Bellagio fountain . would def stay . love Wynn try stay , stay trump less half cost take free shuttle run front door hotel Wynn do not want walk block . 
 Apr 19 2009 	 nice quiet clean smoking ! 	 hotel nice . room spacious well - appoint . make sure stay side hotel look toward strip . room side ( face freeway , change room ) expose loud train whistle night long . pool okay , quiet . hotel casino walking distance Wynn hotel area . entire property non - smoking , really like . 
 Apr 19 2009 	 absolute must ! ! ! 	 love hotel ! upgrade we one bedroom corner view . room beautiful bathroom huge . love bath tub ( fit two perfectly ) , window overlook Vegas . pool not anything special , 's pool 's couple story see mountain top nearby casino . mall right across street . 's easy walk strip , not much back street never busy cross . first kind bum not casino . nice walk smoke free lobby elevator right , instead walk casino . staff great we . can not wait go back ! 
 Apr 16 2009 	 Ideal 	 non smoking , non gambling five star hotel . great deal place mean relax . room perfect . pool small ( Vegas ) relax clean . lobby impressive . staff nice . two small negative point : # 1 : 15 $ resort fee like hide fee . # 2 think much understaff deal Vegas busy period , expect wait case . , be even issue . right price low , 's deal , be steal ! 
 Apr 16 2009 	 would pay bit service 	 get home trip Las Vegas kid . dad live visit fairly often . Trump Hotel room really lovely . one bedroom suite need family four . 's really offer , though . service great . housekeeping fail come room first full day . stop next morning ask we would like room clean . give time return room late afternoon find come . since casino , much choice restaurant ( want eat something 11 , neither open ) spa insanely overprice , leave hotel anything except go swimming . pool nice ( frill ) .I leave wish stay Hotel Mandalay Bay also offer one bedroom suite . would cost we bit would left much satisfied . well pool , well location , well customer service , choice eat , close proximity casino quiet lobby 's well kid . 
 Apr 15 2009 	 lovely hotel - excellent value 	 return wonderful 6 night stay Trump . we book via Priceline apprehensive follow mixed review read Trip advisor . we experience problem experience elsewhere : Resort Charge - tell arrival would $ 15 per day resort charge cover water room , use swimming pool etc . make clear unhappy paying waive without much resistance ! location - ideal bad make . walk strip 5 - 10 minute either via Mall turning leave outside hotel walk towards Encore . Lack Hot Water - problem us 51st floor . train noise - hear train time course stay certainly interupt sleep . service - staff friendly courteous booking checking . little dealing use bar restaurant stay . the Room - good hotel room ever stay ! luxurious spacious excellent kitchen facility - although make little use . bathroom huge jacuzzi bath separate shower room . view room would difficult beat . situate front hotel uninterrupted view strip . general comment hotel - Luxurious throughout . quiet smoke free - may suit everyone major positive we . hustle bustle strip hotel casino , pleased escape . excellent pool gym facility . internet access expensive - case generally Las Vegas hotel . would happily return hotel ! 
 Apr 15 2009 	 pretentious 	 mandatory valet pay tip . bathroom little dirty one big pet peeve , room fairly nice . casino price ridiculously high . hotel ok nothing write home . not tiny gift shop buy thing like tylenol shampoo . across street fashion mall back . suppose stay two night decide go elsewhere hour . check happy get not notice charge us night stay . call March 6th complain . tell would & quot ; call right back & quot ; ! wait end March transfer someone accounting get voice mail leave message . call first April leave another message . call yet finally ask supervisor leave another message . tell go write newspaper message . boy could not call back quick enough . get call back within five minute . take ten minute fix problem charge back card . ordeal ! story . aware & quot ; secure & quot ; card $ 200 per person per night . three stay two night cost security $ 1200 . not say anywhere website little shocked find arrive . not full amount card decline send manager embarrass we say pretty loudly & quot ; not money stay & quot ; ? staff young ill train . definitely never stay & quot ; Donald & quot ; . 
 Apr 14 2009 	 nice hotel 	 husband return stay Trump . get excellent deal Hotels.com little worried . room fantastic . look exactly like web site . service flawless . reviewer complain strip casino . true . nice come back quiet , non smoke fill hotel day play Sin City . 
 Apr 14 2009 	 beautiful establishment lack major frill 5 star ! 	 husband stay Trump April ... happy upgrade mid trip casino - less trump , dissappointe lack ambiance distiction expect property . big customer service already miff & quot ; mandatory & quot ; resort fee ... like reviewer feel mandatory add price hotel room daily rate ? fee not cover anything free shoe shine two mini bottle water day parking ( free EVERYHERE strip ) .... incld internet access , wifi , business center usuage etc . GO FIGURE . find ridiculous .... also RIDICULOUS room service price ( egg , 2 sausage link , toast hashbrown 26 dollar + 18 % grat + room service fee + tax ) building put mind park avenue condo building , also lack charm staff make feel warm welcome like arrive yur home destination every time walk door ... drab , impersonal make feel like bother askign question . the security feature hotel fantastic however . appreciate security camp front elevator check room key ... appreciate seperate area could answer door without give access room . appreciate inability get car without verification ownership.what do not like call car , hotel lobby casion - less devoid activity , dead , light music play , activity stair bar / lounge area one would typically come potentially entice glass wine relax chat guest retring room . nothing .... place BLAH.The room however SPECTACULAR . spacious , comfy , modern ( tv bathroom mirror treat ) marble everywhere etc ... miss ... freebie coem expect enjoy find tuck away room .... although lender ROBE make bit ... robe worth $ 125 cost take home ! ! ! ! unfortunately housekeep staff lack luster ... not show afternoon ? ? ? also room hall room service tray garbage elft day half one come pick ... YUCK ... needless say expect much 5 star Trump property ... still much work opinion 
 Apr 14 2009 	 Awesome room poor amenity . 	 upgrade one - bedroom suite . gorgeous , spacious , cheap ( $ 69 night Priceline ) . full kitchen , dining area , living room , guest bathroom , master bedroom , master bath ( double shower head , double sink , huge Jacuzzi tub ) . , satisfied room . we 44th floor , face north . could see train pass , yes , loud . woke husband , police / ambulence siren 3 time one night . though noise room / floor . the pool ok . large , 2 hot tub , really nice lounge furniture , pack . pool bar limit menu . my big problem hotel lack restaurant entertainment . Waking hang Saturday morning want cheap , greasy meal like McDonalds ( go come home 2 ) . fast food anywhere near . fact , one expensive restaurant lobby bar . be it . it really not far strip . equivalent 3 block Wynn . directly across Fashion Show Mall . prefer central strip casino however . 
 Apr 14 2009 	 wow luxury value one ! 	 check Thursday night around 10 pm , line , woman counter polite . ask high floor strip view ... say not anything high , could upgrade strip view . assign we 28th floor . be pretty high , view great . the room ( actually , whole hotel ) beautiful . room huge , large wardrobe room , lot drawer space , kitchenette sink , fridge , microwave , stove , toaster , blender ... lot kitchen tool . every room jet tub . each pair room share entryway , little weird , keep maid cart hallway add luxurious feel hotel whole . second ( locked ) door lead room entryway . train track travel N- & gt ; Vegas , pass every hotel west side Strip . include Treasure Island , Mirage , Caesar 's ... even Bellagio . train track next hotel , hear train whistle -- rocket science . reviewer want make sound like freight train pass 28th floor hallway , be like . however , night , tv , certainly hear . not wake , be use rustle corn ear Iowa , might little loud you . the walk strip 1/4 mile . road construction point , always sidewalk -- one point cross street pick sidewalk . 5 minute hotel strip . mall actually seem long , distance - wise can not swear . always stay one mega - hotel past , walk leg get one point next , trump different respect . the $ 15 resort fee scam , popular day . call ahead valet bring car , go person . two free bottle water day nice touch -- perfect size slip bag jacket pocket heading day . overall , think hotel great value money spend , would stay , sure . one nice , well - appoint hotel ' ve stay . 
 Apr 13 2009 	 Quiet Peaceful clean 	 hotel peaceful . mainly strip . across street mall case forget important item . Walgreens also w / in walking distance . quite walk hotel aside Wynn / Encore . take cab EVERYWHERE hotel . staff helpful . maid come clean bathtub @ 3 am pleasant . see 10 guest whole time , might time year go . also complimentary Escalade truck drive around . overall good experience . aside bathroom spotless arive , quite , wonderful experience . 
 Apr 10 2009 	 nice room ; poor service 	 Trump seem like good idea -- low rate ( $ 85 get room upgrade 1 bedroom suite ) room nicely put together . problem upside end . location good . get strip , need either walk Fashion Show Mall , Fashion Show Blvd . , sidewalk 's construction site . not nearly enough staff run place properly -- nobody hail cab curb , nobody open door enter , nobody help bag , forth . request room service housekeeping take hour fulfill , without fail . disappointed . definitely leave impression not get deal -- get pay . 
 Apr 9 2009 	 upgrade room wonderful bonus ! 	 one - night stay Trump April 4 . check around 8:00 pm mention receptionist dad 's first trip Vegas . upgrade room one - bedroom premium suite overlook strip . pay $ 100 night room Priceline . room list hotel website $ 350 . deal ! room gorgeous .... king size bed extremely comfortable bathroom ( walk - in shower -- two shower head ! ) big one - car garage back home . love tv build mirror bathroom ! comfortable living room area dining room table kitchenette . call linen sofa bed . one half hour , arrive , place second call front desk linen within 10 minute . take advantage well - appoint gym bit cold swim olympic style pool . love fact casino hotel .... huge plus ! make hotel seem much classy comfortable . $ 15 resort fee include valet parking . 
 Apr 8 2009 	 luxurious getaway smoke - free Vegas 	 two girlfriend planned weekend Vegas , book studio suite Trump use Priceline $ 88 / night ( plus tax resort fee ) . read reviews Trip Advisor , call hotel night arrival confirm reservation request room away train . woman phone delightful happily agree accommodate request . check - in Friday breeze -- front desk fully staff wait less 5 minute . young man check we friendly ask confirm room far train , say have move we well room train noise minimal . 50th floor view Stratosphere , see room delight upgrade 1 bedroom suite ! room beautifully appoint , 2 full bathroom separate master bedroom . master bathroom absolutely huge ! enjoy massage Trump spa , wonderful . spa small expect , nice . ask discount massage receive $ 50 coupon ( massage $ 150 60 minute , save chunk ) . use gym pool , though resort fee include use both . since group 3 , two we sleep king size bed master bedroom third sleep pull - out sofa . housekeeping came make pull bed we ( upon request ) . & quot ; real & quot ; bed quite comfortable ; friend pull - out say & quot ; okay . & quot ; first night , train wake friend light sleeper . earplug , not hear . second night , train wake light sleeper ( even earplug ) , fall back sleep shortly thereafter . 50th floor ( 52 floor total ) , plan hear train , especially low floor . we not hear neighbor ; fact , never see anyone else 50th floor weekend . housekeeping come daily ; leave room around 10 am day time would return ( around 3 4 pm ) , room make . housekeeping staff great job , . really like idea push button indicate room ready make disturbed instead hang sign door like every hotel there . we know resort fee , give deal get Priceline , really not mind pay $ 15 / day . note include use gym , pool , in - room stocking coffee / water , thing can not remember . on Friday night , great lounge singer lobby bar enjoy listen drinking raspberry lemon drop martinis ( good ) . wait staff bartender really friendly come chat we . as get Strip , couple option . always cab wait front hotel , take cab . want walk , fashion mall directly across hotel entrance , however , pedestrian crosswalk , must cross care ( surprising number car drive fast past hotel , watch ) . walk mall , take awhile little confusing inside , would give 15 20 minute find Strip . note mall close 9 pm , 's late - night option . decide walk Fashion Show drive straight hotel Strip , take 5 minute ( 20 minute reviewer say , unless really slow walker ) . also , erotic museum hotel strip , despite may read review , not crazy people linger along walkway , would not call & quot ; dangerous . & quot ; important note sidewalk side hotel continuous , get close strip , walk side road , little scary driver not pay attention . opinion , would behoove hotel finish pave sidewalk way Las Vegas Blvd . safety guest . if not want walk pay cab , hotel offer free shuttle Wynn 4 pm midnight Friday Saturday night . not take advantage , doorman offer every time walk ! Saturday night , walk Mirage see & quot ; LOVE & quot ; take we 30 minute total , door door . pretty good shape , not think walk exceedingly fast ( heel ! ) , hopefully give idea far Trump hotel . all , trump new favorite hotel Vegas . nice hair smell like smoke weekend , not miss & quot ; ding - de - ding - ing & quot ; slot machine lobby , staff go way make we happy . weather nicer , would love take advantage pool look really relaxing . great weekend definitely stay . 
 Apr 8 2009 	 simply good 	 good hotel stay vacation US Mar . simply love room , everything clean new , love kitchen .. good still need prepare semi - solid food 10 mth . love tub , fit 3 we till plenty space . son could swim , get excited see water fill jet water . location quite ok , love walk , cut across Fashion Mall across road Wynn . strip long anyway , walk Wynn Paris side first walk back Bellagio side ... start lunch around 1 pm return Trump 6 pm . could southest strip , Luxor , New York New York area , go back hotel drive along strip night scene . oh hoot train , ok we , loud mention . stay 52 floor , north view .. really regret pay strip view , think worth . 
 Apr 7 2009 	 could ask anything ! 	 another one late night hotwire bargain find . usually leary look good true ... press & quot ; agree & quot ; button anyway . soooo glad . like would expect anything carry trump name ... one detail go unoticed . everything magnificent . check breeze . long line ... expect hotel Vegas . get room everything web site say . usually go Las Vegas amazing hotel room ... use less closet ... long day casino be walk around ... come back bathroom rival hotel comfortable bed world . Las Vegas almost do not want leave room . the staff simply amazing . housekeeping , guest service , bellman ... guy clean elevator ... every one ask EXTREMELY friendly . genuine . complaint casino hotel end proabably good bad . the location little strip quick 3 4 minute walk strip ... mall hour ... cross street go mall strip . it super enjoyable stay . worth every penny weather book another website . know new top choice place stay town ! ! 
 Apr 5 2009 	 wonderful experience 	 $ 89 per night plus $ 15 per night resort fee one still can not beat luxury anywhere Vegas price . room elegant beyond expectation wih full kitchenette , jacuzzi tub , room half size Vegas .. one block east strip smoky casino downstairs . Fashion Show mall across street south . open 10:00 captive hotel Breakfast . buffet breakfast delicious expensive $ 62 tax tip ) something ahead time somewhere else store kitchenette . the restraunt serve excellent food splurge breakfast eat small meal day . look elegance value hotel give well both . the bed really great 60 year old body . try , will like ! 
 Apr 5 2009 	 gambling - free new hotel close fashion mall 	 new hotel nice decoration , non - gambling oasis Las Vegas . room large , clean necessary facility . view city also suberb . pool area also nice ans pool sizable . fittness center good spa expensive . service available bit cold atmosphere prevail . near - by road nice walk , safe middle construction ground . starbuck 5 min away fashion mall . trin regularly pass area night make bit noise , noise may come also neighbour slam door . 
 Apr 4 2009 	 Incredible Rooms - Great Place Relax 	 trump great place stay . pay $ 89 / night Studio upgrade one - bedroom . ' ve stay 4 place year . MGM , Mandalay Bay , Luxor Trump . trump good 4 , far . be get nice pool be not loud . downside could not get signal wireless internet cell phone drag . issue , really nice room really nice pool . , big casino willing spend $ 15 internet well worth 3 aforementioned hotel . 
