location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Feb 20 2009 	 fantastic place - stay 	 great hotel . phone day trip make sure reservation correct . nice touch . arrive greet friendly , staff efficient , nice , extremely helpful . location star - could not well place . facility well keep , clear , everything need . the lounge great - nice breakfast spread , coffee treat throughout day . daily happy hour great , although much city , stop briefly . great comfortable lounge area newspaper tv sit catch world minute . computer lounge handy , WIFI room make easy keep touch too . consider New York , rate great . real value . already recommend hotel friend , definitely stay . holiday teenage son , hotel area much offer we . , location can not beat ! 
 Feb 19 2009 	 Excellent Stay 	 book five nightsl parter 50th moment arrive staff perfect hotel small homely central easy return back sight seeing refreshment pastry always available include cheese wine evening . hotel 50 yard Times Square eat next door . good place eat Carmines 5 minute Hotel recomende pass New Yorker . people friendly sometimes think talk someone behind get use . use train travel tourist bus expensive would give theNatural history mueseum miss average . regret do not fly Delta airways service quite poor go British Airways . also remember hotel local tax charge work £ 20 per night top room charge . book limosine ask airport JFK price ask company bid buisness pick good . Loved Newyork would go back anytime dream holiday . 
 Feb 19 2009 	 Fantastic Hotel 	 location , staff , service food unbeatable . wonderful breakfast cheese wine 5 8 , enthuse enough Casablanca . the hotel warm welcome charm character throw . check hotel look bag not due fly evening . collect bag still invite we wine nibble last drink depart , call service 
 Feb 17 2009 	 Cozy hotel wonderful service great location ! 	 come city girl ' week - end could stay nice hotel . location service wonderful . also really enjoy complimentary lounge second floor computer , fireplace , snack day long . always someone readily available help we way . room small , nicely equip ! definitely stay . 
 Feb 17 2009 	 would not stay anywhere else NY City 	 say - want impeccable customer service , clean quite room , complimentary breakfast evening cocktail right Time Square place . pleasantly surprise even step hotel . call confirm reservation ask could assist make arrangement . arrive right assist door bag . always gentleman lobby hail cab . light bulb burn fix immediately . room nice immaculate . pillow great slipper robe nice touch . parking next door convenient . complementary wine cheese evening breakfast nice . also great gentleman play piano . also wealth information provide lot history NY City . hotel literally 10 step away Time Square yet hotel room hear nothing . quiet . highly recommend . 
 Feb 16 2009 	 Home away Home Times Square 	 husband top notch experience Casablanca Hotel Valentine 's weekend . staff extremely friendly courteous , room keep perfectly order stock fresh linen , favorite part lovely daily reception Rick 's second floor . good wine , yummy cheese selection , even great pianist , really set mood date town . worth every penny , can not wait return . 
 Feb 15 2009 	 Casablanca really oasis 	 ' ve see hotel 's great review long time , like many traveler , assume thing could not really satisfy . get New York time year experience several different hotel ( include several qualifyy up - market ) various location , always look attractive combination quality value . time ' ve check rate , Casablance , unfortunately , high wanted spend , invariably high room suite property . partner head Baltimore one - night , mid - week stay month , decide investigate Casablanca . price , time , within $ 20 place ' ve like , seem like ideal opportunity find fuss . we , right attitude hotel nearly valuable ambience amenity . praise guy get , could imagine Casablanca staff get terribly snooty , not trace anyone encounter . feel welcome minute walk lobby know make right choice . feeling never change . might miss spaciousness suite get room , extraordinary condition place , cleanliness fine detail , easily compensate . superb bed , bath . really quiet reviewer say ( 506 , inside room ) . even lounge area , would never know noisy traffic outside . whole feel oasis - like , calm , welcome hotel heart ever - crowd Times Square . experience ( love breakfast afternoon snack ) gratifying , check - out , book another stay trip make later month , rather even bother usual scroll Quikbook seek good price large accommodation . budget - willing , imagine return Casablanca many time future . 
 Feb 15 2009 	 's everything be write ! ! ! ! 	 return one night stay Casablanca read wonderful review high expectation . the Casablanca deliver ! stay many 5 star hotel NYC small , boutique hotel surpass .... hand ! book hotel since one evening want something within walking distance Town Hall Theatre . casablanca step away ! lunch next door Tony be not believe affiliated hotel fabulous italian restaurant . the staff Casablanca could helpful courteous . small lovely room look courtyard . would never know step middle Times Square .... could not hear sound . Glad find Casablanca .... highly recommend back ! 
 Feb 14 2009 	 first class service staff 	 love every minute stay Casablanca ! room 605 ( overlook internal courtyard outside patio area hotel ) find amazingly quiet consider hotel Times Square NY never quiet - even window open sleep really well . room overly large spotlessly clean comfortable bed pillow . iron ironing board , safe mini bar - not open can not comment , room . free internet access available bedroom great well Rick 's Cafe . the bathroom small attractively decorate spotlessly clean , water always hot , towel really high quality two bath robe room , plus get slipper . breakfast good - good range delicious muffin , bagel , roll , croissant , danish pastry , excellent fresh fruit salad plus basket apple , banana , orange . fruit juice , tea coffee , yoghut , good choice cereal hard boil egg also offer . tea , coffee biscuit available day long Rick 's Cafe , lovely place relax recharge battery , day , , unwind 5 - 8pm 8 + choice cheese crudite , sip glass red , white sparkle wine offer time ! make stay much enjoyable staff . staff friendly helpful especially lovely cheerful , ever smile welcome lady serve breakfast oversee wine cheese Rick 's cafe - could not enough we - real credit hotel . we would go back Casablanca like shot give chance ! 
 Feb 13 2009 	 Wife 's Favorite 	 several year ago ( familiar Tripadvisor ) , find hotel via google search NYC B & amp ; Bs book room wife mother attend annual Westminster Dog Shop . wife speak highly hotel staff establish annual pilgrimage Casablanca dog show year MIL unable attend . even get Christmas card year ! luckily able go stay Casablanca dog show . everything wife say true . staff good ' ve encounter travel . room ( # 611 ) spacious , great : clean towel twice daily , terry - cloth bathrobe , slipper , evening chocolate . breakfast consist various bread & amp ; pastry , boil egg , fruit , etc . 5 o'clock wine cheese also delight . guest meet repeat customer wife even recognize several guest previous stay . can not say enough little gem half block Times Square . oh yes , Westminster Dog Show also hit Arnold say & quot ; will back ! & quot ; Larry & amp ; Kelly 
 Feb 10 2009 	 Perfect every way 	 three we go quick overnight attend Westminster Kennel Club show Madison Square Garden . use Tripadvisor recommendation book suite Casablanca . could satisfied accommodation . sixth - floor suite one king bed pull sofa - clean , comfortable , well - appoint . staff incredibly gracious point bring four bucket ice champagne chilling get - together friend show dog Westminster . regret able spend time lovely second - floor sitting area . everything read true - complimentary wine cheese , multiple offering morning include fresh fruit , hard - boil egg , Twinnings tea persuasion , croissant , yogurt - name ! would liked spend two hour newspaper leisurely breakfast issue street noise even though stone 's throw Times Square . Casablanca within walk distance many thing one might want see Times Square / Madison Square Garden area . short walk corner get cab anywhere subway connection right ( think use ) . think casablance perfect stay NY City . central location would allow use base stay New York . matter might go invite base station daily foray anything might want . spend hour morning paper go morning walk sight see . go back respite sit tea fresh fruit . get half - price tix Times Square Broadway show return wine cheese freshening dinner . - within walking distance . place keeper small part due responsive staff . can not wait go back long stay . complaint weak WiFi signal room - issue need lot business room . computer internet access sit room , however . 
 Feb 10 2009 	 Greate Place stay see new york 	 stay family Christmas . chose hotel base good review site disappoint . hotel foot away Times Square . beat access . hotel room small well do . staff friendly . perfect place NY visit . pay location . 
 Feb 8 2009 	 great experience 	 great experience Casablanca Hotel . New York attend NYT Travel show Jacob Javits Center . check hotel early ( 10:00 ) , fully expect room ready , ! check expeditious courteous . luggage deliver room within minute downstair grab complementary cup coffee danish breakfast close morning . perfect ! room clean attractive , quiet ! coffee snack service perfect mid - day pick wine cheese 5:00 hold we nicely dinner . love Casablanca staff . every time encounter staff member hotel , greet warmly ask need anything . really , hotel find antidote anonymous experience find many New York Hotels ... ' ve stay many , many hotel New York , staff Casablanca make stay special . 
 Feb 7 2009 	 fantastic customer service ! 	 really enjoy stay . staff soooo helpful friendly . room clean important we . three room would appreciated 3 bathrobe 3 pair slipper blanket sofa bed great ! us customer service everything deliver ! 
 Feb 6 2009 	 great hotel 	 feel reluctant write review great hotel , always want able stay ! friendly , especially be travel alone , guest also similarly friendly result . 
 Feb 5 2009 	 great hotel heart Times Square ! 	 wife stay part business trip / anniversary getaway could happy choice . first , location 20 minute walk Grand Central Station 's literally 20 step heart Times Square . second , upon arrival , informed hotel reserve complimentary bottle champagne we celebrate anniversary need let know would bring room . third , wine cheese cafe weekday spectacular . great selection cheese ambiance wonderful . perfect way wind long day , whether be work tour City . fourth , free breakfast -- 's omlette pastry , bagel , coffee , cappuccino , hard boil egg , variety cold cereal fruit certainly great way start day ! Fifth , staff spectacular . phillip front desk friendly extremely helpful inquiry . Phillip recommend Haru , sushi restaurant street , food good , go night ! Virgil 's , side hotel , also good - louder large good kid excellent southern cooking . sixth , chocolate bar bedtime fantastic -- whole bar -- absolutely delicious ! seventh , wi - fi internet access free ! ( run $ 30 per night hotel . ) wire internet room free Wi - Fi throughout hotel free ( although wireless internet connection slow hard line connection room good way go ) . eighth , check - out , hotel take care luggage wife relaxed cafe tour City finish meeting nearby building . stay King Suite -- bathroom nice . room touch small ( 375 square foot ) large NYC standard . separate living area bedroom nice could watch television and/or work desk room double door could shut separate bedroom . bad issue ( slow Wi - Fi ) bit loud traffic outside . construction go building across we go 2:00 a.m. , course , be NYC truck ( car horn ) bit loud . however , second night , find blackout shade close window could close blackout blind interior blind seem help shut noise . room interior may quieter could probably request one room find noise ( bright light - Times Square ) less ( non - existent ) . , though , place fantastic , would highly recommend stay . freebie ( breakfast , wine , cheese , etc ) staff make place excellent value . stay would highly recommend other ! 
 Feb 4 2009 	 great experience - say ? 	 Spend end Jan 09 three night Casablanca hotel . great experience . location fantastic , service great , price / quality fine - say ? location 100 meter 43rd street Time square good get New York . service great - staff friendly , always prepared help . space first floor , use breakfast also available throughout day - convenient want drop two shopping - half day also use daily 5 8 pm & quot ; free drink & quot ; . daily free wine cheese must quasi unique New York . although hotel cheap , believe price / quality ratio , reason , still fine ! negative size room bathroom - not experience big problem not spend much time room ( apart sleep ) . 
 Feb 3 2009 	 love NY Louisiana 	 stay Casablanca least five different time love . staff friendly helpful . love location size . remind small european hotel . second floor room wonderful get together meet people . back next year . 
 Feb 3 2009 	 great experience 	 see hotel website look forward see hotel . sometimes photograph deceptive . case . anything ambiance much well opportunity interact amazing international staff .from pre visit phone call hotel last goodbye make stay good review say . it literally times square quiet restful get inside door reprieve activity give we time regroup enjoy amenity , head enjoy city . room adaquate bathroom great . cleanliness - absolutely spotless everywhere . the wine cheese great , breakfast nice great scone way everyone seem relaxed attitude attribute staff superb . I not think ever want stay elsewhere NYC 
 Feb 2 2009 	 Great Location Value Service Smile 	 Casablanca 's staff get A+ . location great touristy NYC vacation . second floor common room day / night long refreshment great gathering spot . bathroom large double cost Midtown chain hotel . clean environment . do - it - yourself espresso machine add bonus . bed snob mattress bit hard preference , fluffy pillow good & quot ; upscale & quot ; NYC hotel . 
 Feb 1 2009 	 place stay ny ... 	 stay Casablanca Hotel January 15th 18th , 2009 . intrigue first name hotel . since boyfriend major Humphrey Bogart fan Casablanca one good movie , decide would interesting stay hotel Casablanca theme next time go New York . decision make back 2003 discover Trip Advisor . New York 2003 win ticket see Saturday Night Live tape . ticket year remember Casablanca Hotel book reservation . turn , theme hotel least wonderful attribute . when receive automatic email state look forward arrival require assistance arrange transporation , show ticket , restaurant reservation , etc , contact , ask get ticket certain NY show . ( ' m going mention one everyone would expect ' m sure can not play card often ! ) . vanessa front desk email would personally try get we ticket show . not hear succeed get ticket prior we leave home , figure unable get ticket - understandable . get room upon arrival , Vanessa call we tell we meet lobby - get theatre right away . cold day year NY - day American Airlines Flight # 1549 miraculously land Hudson - Vanessa walk we theatre get ticket see show . value - far value go - less expensive hotel New York - service extra attention detail staff priceless . stay New York would nearly memorable staff Casablanca . surprised reasonable rate . especially consider breakfast include , plus day refreshment available , free internet access Ricks Cafe include use printer , wine cheese 5:00 8:00 every night . Wine Cheese fabulous . long day shopping walk around great way relax reboot . great pre - dinner stopover well . get back hotel particularly late one evening - 2:00 welcome ice tea pastry Rick 's Cafe . location . the location perfect . right Times Square . spend lot time night Times Square great walk hotel finish . people would take subway taxi back hotel . Tony 's Restaurant right next door great well . many nearby store - huge drug store street , Virgin Records Sephora , etc - within minute . the room clean . evening would ask need towel would left chocolate bar well . room not large - queen sized room suite available book . ' ve small room London , Italy last one New York not distress - bathroom large . bathroom necessary extra well , include sewing kit always find useful future use nice bath robe - perfect get get shower . wicker stand beside sink perfect keep makeup toiletry in . everyone work go extra mile make sure everything ok room . whenever would meet anyone hall would ask everything ok . Manager , John , introduce we Rick 's Cafe one evening ask we treat alright staff glad hear customer service top priority - show . come outside always welcome people front desk . lobby one evening group people discuss plan tell front desk down plane land Hudson early day . Casablanca take many could evening . think generous not surprise I . restaurant recommend Vanessa turn great restaurant - make reservation we short notice get excellent table . we make feel like special guest hotel - look like extend every one guest review TripAdvisor . ' ve probably stay 30 different hotels- 5 star - would say service casablance good . would not think stay anywhere else ny.next time will not long trip New York . hope rave review Casablanca TripAdvisor will able get room need . 
 Jan 31 2009 	 Superb round 	 say not say already ? book Queen room upgrade immediately arrival mini - suite . the staff friendly helpful keen stay perfect over - pushy . we wonderful time New York could not pick well hotel money . 
 Jan 30 2009 	 great little gem 	 come back 5 enjoyable day New York stay fantasic little hotel Time Square call Casablanca . for location could not well . the hotel small boutique type hotel north African flavour decor ( hence & quot ; Casablanca & quot ; ) , look though recently complete . room quite small bed also quite small , lack size make comfort enjoyment stay there . the atmosphere relax casual , include complementary continental breakfast , real fruit juice , fruit , cereal etc . in early evening complimentary cheese wine enjoyable hard day tramp around New York . the staff excellent , friendly attentive without top . example service - one evening decide watch DVD DVD player not work correctly , inform main desk , replace within 10mins ! ! ! price , beat far superior many big 5 star hotel stay past . would recommend hotel anyone . 
 Jan 28 2009 	 exceptional service 	 despite literally step Times Square , location outstanding attribute hotel ... rather , service . front desk staff multitask , one minute bellboy , next waiter concierge . actually work well service though ! remember detail guest like . and , try save money , 24 - hour coffee / tea / cookie service available big plus , especially since include 10 12 kind tea flavor coffee . expect regular ol ' continental breakfast morning , pleased find really fresh fruit low - cal yogurt . afternoon wine & amp ; cheese service unexpected ... husband think save $ 30 per day snack & amp ; drink not always realize need grab ! 
 Jan 28 2009 	 Perfect ! 	 wife get back first trip New York . fantastic city stay Casablanca add enjoyment . word go , friendly staff , lovely clean comfortable room ( small believe 's way NY ) , great breakfast complimentary wine cheese every day Ricks 2nd floor , great room service staff hotel really want make difference cover every need request . would 100 % recommend hotel anyone . great location right next Time square , 15 min walk Central Park , 5 min Grand Central Station 15 min Maceys example . hope come back real soon ! ! ! McNeill 's , Scotland UK 
 Jan 28 2009 	 good NYC offer ! 	 be look big , price , nickel dim , everything look kind hotel , Casablanca place . look hotel personality character great service great location , ' ve find right place . stay Big Box hotel various city ( Tokyo London ) want something small , mention , little character . find Casablanca . stay room 601 king size bed . room size ample clean , bed pillow comfy , bathroom good size . shower really hot ! let talk amenity extra thing come room , thing like : free wifi room , variety great smell toiletry , afternoon cookie tea , breakfast , early evening wine , cheese cracker , computer internet access rick , discount parking ( $ 25 true bargain ) . let forget , staff , incredibly nice , accomadating , professional ! 
 Jan 26 2009 	 Wonderful Times Sq Gem 	 Casablanca give husband & amp ; lovely getaway see theatre NYC . will probably never stay different midtown hotel . friendly staff , comfy room , welcome 2nd fl lounge serve breakfast , afternoon wine / cheese , 24 - hr snack : can not beat . offer great location step fr Times Sq , free use nearby club exercise . 
 Jan 25 2009 	 New Home away home 	 trouble tell everyone find Hotel Casablanca may run room -- we ! staff friendly , polite , efficient . Rick 's Cafe exactly weary Manhattan traveler need break day evening . room warm , cozy . bed like Nirvana , pillow comforter , soft , smooth sheet . list surprise - freebie fun ( chocolate bar bedtime , tiny mint ! ) location ! midst fabulous , zany Times Square , peace hotel would never know . , , staff -- lovely , smile , help . feel like move ! 
 Jan 25 2009 	 casablanca gem 	 stay casablanca 5 night november 2008 , along friend scotland . love location . step time square . hotel staff helpful . John , hotel manager always available give advice . great buffet breakfast complimentary cheese wine every evening 5 8 pm . Casablanca first port call next trip new york . hotel book transfer newark airport . journey time . perfect . cheap hotel , still worth . would recommend . 
 Jan 23 2009 	 good new york . 	 red review high expectation . let tell hotel far exceed expectation convenience warmth hotel staff neatness room . especially like complementary 2ed floor refreshment internet access , location hotel 
 Jan 21 2009 	 Loved Casablanca 	 location superb . service exceptional . Rick 's Cafe gem.-a full continental breakfast wine / champagne treat 5:00 great . relax Cafe fireplace read sip coffee / tea anytime day heartwarming . 
 Jan 21 2009 	 Felt like Home ! 	 hide jewel one block Times Square within walk distance many theater restaurant . one favorite italian restaurant , Tony DiNapoli 's , right next door . accommodation service complimentary food beverage , hotel get A+ . feel like find home away home heart NYC . 
 Jan 20 2009 	 Great Hotel Great Location 	 recently stay Casablanca wonderfully surprise little hotel . trouble find hotel , location fantastic ! hotel staff helpful room nice change typical hotel room stay year . negative warmth room , like cool room room warm comfort adjust thermostat not make lot difference . heat radiator heat versus central air hard manage . internet connection great free always factor cost hotel . I would recommend hotel anyone want visit city . 
 Jan 20 2009 	 charming friendly 	 room clean , homely small nevertheless pretty sizeable consider Casablanca 's proximity Times Square . honeymoon staff leave little chocolate bed sweet . everything need bathroom , include thing generally bulky pack travel cotton buds cotton tip nice touch . thing would say term room improve room little stuffy could smell cigarette smoke waft courtyard room . , smoker need smoke somewhere right ? thank Casablanca ! 
 Jan 19 2009 	 look forward stay . 	 stay Casablana Hotel 3 night January family . 4 us mini suite little tight manage . back hotel constant noise airconditione unit alley annoy excellent location make . also issue room far hot first night sleep airconditione ... correct next day . staff friendly helpful Ricks Cafe cold hustle New York January . computer access great kid hot drink wine cheese make lovely place relax long day sightseeing . would definitely stay Casablana look forward . 
 Jan 18 2009 	 Nice hotel 	 hotel rather nice , though several negative point : room small hot , wi - fi access unstable . also think order new towel bathroom , one seem old ... positive thing : helpfull staff , comfortable bed , cozy room , good breakfast wine & amp ; cheese reception . location great ! ! ! 
 Jan 18 2009 	 welcome home temporary New Yorkers . 	 choose Casablance Hotel back review read Trip Advisor direct amazing hotel . first trip New York coincide New Years Eve look something extra special hotel supercede expect . location hotel fantastic , part New Year celebration could watch ball drop bedroom window ! hotel 's provision gala package also contribute book not dissappoint . 5 course meal , open bar , performance form Broadway star champagne toast rooftop watch minute midnight pass , comparable dream everything fit want experience . location regard tourist site fantastic , within walk distance staff hand 24/7 assist way could . point would like extend personal thank Hassan , Maria , Geoffrey cleaner Anka extra attention detail make excellent stay . honestly rave hotel enough . future trip New York fortunate enough revisit awesome city , Casablance Hotel base . finally know can not gaurantee weather snow fall city New Years Eve ice cake . holiday dream make huge chunk Casablanca , thank guy much hopefully see real soon . 
 Jan 18 2009 	 great little hotel heart Manhattan ! 	 stay Dec 30/08 Jan 2/09 . hotel great 3 - night New Years package . moment arrive , staff fabulous tend every need . everything chocolate champagne room , great meal / entertainment Tony Di Napoli 's New Years rooftop view ball drop New Years Eve .... time boyfrend propose ! staff aware along everything make night special ! overall wonderful stay . room clean , be free wine cheese evening , well continental breakfast every morning , free wi - fi , etc . etc . location hotel fabuous ... right Times Square major tourist attraction within walking distance . include Broadway , Empire State , Central Park , Rockefeller Plaza , 5th Ave Shopping , Radio City Music Hall , etc . etc . one complaint hotel ! ! definately stay Casablanca go back NYC ... hopefully sometime year ! 
 Jan 15 2009 	 quaint wonderful ! ! ! ! 	 wonderful hotel . ! ! ! ! small ( hotel room NY , quaint . clean . staff bend backwards make stay comfortable possible . the bed pretty comfortable , breakfast , wine cheese nice feature . hotel beat path Times Square close everything . I would definatley stay travel ny.i picky stay , homework book anything . disapointe ! ! ! ! ! e . BryantBoothwyn , PA 
 Jan 14 2009 	 simply best 	 moment arrive staff friendly helpfull . room clean great size . Restaurant / Cafe 2nd floor simply top quality . location another plus Time Square doorstep . staff hotel well come across long time . David manager can not enough . ThisHotel SIMPLY BEST NEW YORK 
 Jan 13 2009 	 Amazing Small Hotel Amazing Location 	 Girlfriend stay 3 night celebrate 24th birthday , upon find birthday hotel send free bottle champagne . room small side , say less ? room well appoint spotless , bed extremely comfortable , quiet . staff do everything could helpful , free nightly wine cheese tasting really nice thing come back strenuous day sightseeing . would recommend anyone stay . TIP - fly to / from Newark , get taxi airport hotel , around $ 90 tip ( taxi driver ask tip say enough give , thing hate US ! ) get train back hotel , cost $ 15 take 25minsto get airport vs 1hour get hotel traffic , get train next time airport , 2 stop nj transit penn station much easy may think . 
 Jan 10 2009 	 like come home ! 	 Casablanca fantastic hotel , probably good ' ve ever stay . great atmosphere , small number well - fit room , excellent staff make relaxing place stay . upon arrival inform heating room set quite high , hot call downstair ask someone set we - , job do 5 minute flat room comfortable throughout stay . level speedy service norm stay . room well - present , comfortable bed . maid tidy , replace towel , replenish toileterie make bed twice day - bedding change regularly too . the service provide staff Casablanca akin 5 - star hotel . leave UK , receive courtesy call concierge confirm booking , ask anything could we prior arrival , make restaurant reservation us - case arrange local bakery make birthday cake . nice touch . , every single styaff member , maids waitresses bell - man desk staff friendly , helpful immaculately turn . ' ve never make feel welcome anywhere , staff genuinely seem mean greet we ' welcome home ' ' treat like second home ' . Rick 's cafe provide absolute oasis - breath fresh air come back movie ( even live pianist ) tranquil wine cheese reception evening - real contrast hustle bustle city street . complimentary tea ( great selection Brits not like standard american tea ) , coffee cookie really available 24 - 7 , along iced tea , filter water sundrie . it also fantastic able use great lounge area wait cab airport , - really take load base city even have check . criticism , would car service organise hotel bit expensive - end call car service see advertised tv , 20 dollar cheap , really good . restaurant next door , Tony 's , nice place great staff . be actually part hotel , affiliated , even door direct lobby restaurant . food good value tasty , little odd presentation - meal share platter two three people , be much way side . brit find thing menu tad odd , still nice evening here . we will definitely stay next time visit New York , feel really home home . 
 Jan 7 2009 	 experience ! ! 	 could not say one bad thing Casablanca Hotel . location ideal , room beautiful service exceptional . walk front door hotel , be metre away southern end Times Square . fact take photo front door hotel . Casablanca upgrade Mum King - size room , roomy comfortable , also elevator get Mum upstairs , helpful be travel someone 's little old . staff extremely helpful matter time night day walk door . Rick 's Cafe little ! would go hour day tea coffee , afternoon wine cheese session , great place relax unwind long day walk around NYC . Breakfast also lovely . would stay Casablanca heartbeat ! thank staff make stay special ! ! 
 Jan 6 2009 	 Delightful Casablanca 	 spend Christmas week Casablanca good experience . room quite nice -- splurge mini - suite -- staff lovely . couple minor critique regard room : towel bit scratchy ; not lot storage space bathroom makeup , etc . ; neither two dvd player cd player work ; arrive temp . room around 90 degree , quickly remedied cranking thermostat turn ceiling fan . otherwise , room immaculate nicely decorate , bed extremely comfy ! love lounge 24 - hour snack hot drink -- need cold windy day walk around midtown hour . continental breakfast every morning nice well . mention staff great ? can not say enough . room face 43rd St. street noise ( garbage truck 5 a.m. pleasant happen ) , hey , 's New York ! Casablanca literally feet Times Square . able walk Penn St. well Rockefeller Center , public library , skate Bryant Park , 5th Ave , Central Park , restaurant , Broadway show , etc . try Tony 's italian restaurant next door dinner first night fine -- huge portion food reasonable price , plus great people watch . next time go NYC probably stay different area city variety , be plan midtown , can not well Casablanca . 
 Dec 27 2008 	 enjoy Casablanca 	 return 4 - day stay Casablanca thoroughly pleased stay . want hotel New York City Christmas week . weather cold hotel make we feel warm cozy -- gracious staff open -24 - hour -a -day relax public room . treat able sit room next fire hot chocolate , tea , fruit , cookie time . always feel intimate bed - and - breakfast , rather hotel . love North African inspire decor -- would prefer north african music pipe public area , instead Christmas music ( complaint ! ) . 
 Dec 22 2008 	 simply Best ! ! ! ! 	 book hotel surprise husband celebrate 40th birthday quite frankly not think could possibly find well place stay New York ! start finish staff fantastic . conversation head housekeeper ( think Maria ) refreshing see much pride genuinely take make sure everyone happy stay . room ( 410 ) spacious , comfortable spotlessly clean , lounge / breakfast area . from young lady serve breakfast cheese & amp ; wine evening , reception door staff ( Hassan exceptionally pleasant run around we end ! ) simply nothing negative say people . we absolutely amazing time New York , ever lucky enough return , would consider stay anywhere Casablanca . 
 Dec 17 2008 	 Gem Hotel ` ` Casablanca Hotel '' NYC 	 Casablanca Hotel great place stay . even though address Time Square - the hotel quiet safe etc . I would highly recommend hotel . please read current review say . hotel great . 
 Dec 12 2008 	 live expectation - 	 thoroughly enjoy first ever trip NYC large measure due hotel . not want anonymous corporate monolith certainly not get one . the Casablanca perfectly position major sight , well - run , ever slightly quirky , friendly staff take personal interest one 's stay . love it . the cheese wine evening great idea - sure novelty us Europeans - good way meeting guest wish ( ) . excellent hospitality . 
 Dec 10 2008 	 disappointing consider rave review 	 really look forward stay Casablanca review top hotel New York Trip Advisor . perhaps fortunate enough stay amazing hotel certainly one . bill two night £ 700 ( flight London ) . yes staff friendly everything else decidedly average . wine cheese reception disappointing - note hotel everyone like chardonnay ! cheese could least come proper deli local supermarket phili cream cheese little tub breakfast really quite insult especially New Yorkers pride great bagel ! would save money stay somewhere else . 
 Dec 8 2008 	 's little thing .... 	 little thing make hotel stay good bad say service make hotel excellent choice stay ny.three we share King Suite room midwest standard small , NY standard spacious . street noise , NY ... not going find quiet ! little thing bring back hotel staff service . complimentary wine / cheese evening breakfast bar extremely nice come back to / wake day ... money saver . ' ve never ny thing cost much ever expect . also appreciate thing available day ... certain hour . long day city come back lounge quite nice . finally , hotel hold luggage check , hotel staff treat like still check - in . still access amenity travel city , always case . this great stay location Times Square , Broadway , public transporation , central location , etc ... real reason staff amenity . 
 Dec 6 2008 	 adore Casablanca ! 	 friend arrive home yesterday 5 excellent night Casablanca Hotel NYC . book hotel follow excellent review Trip Advisor disappoint . arrival departure , everything perfect . hotel literally 15 pace Times Square , right centre action . however , hotel , true oasis calm tranquility . complimentary hot drink pastry serve day , whatever time arrive back , always head Rick 's Cafe ( comfortable lounge area ) relax unwind . staff - Receptionists , Doormen , Hostesses Rick 's Cafe - lovely , helpful , polite welcoming . reception would always go way help table reservation give general guidance reach particular sight interest , suggest subway take etc . bedroom clean , tidy comfortable . Breakfast consist variety cereal , roll , bagel , pastry , fruit hard boil egg . could visit many time need ! ' cheese & amp ; wine ' session 5 - 8 pm night another enjoyable affair . , could take one visit counter - often ! visit New York 2000 stay different hotel . ever go back bustling , exciting wonderful city ( sincerely hope ) , Casablanca would first choice would thoroughly recommend anyone think give try . quite wonderful one good hotel ever stay . good hotel fundamental part holiday little gem make trip perfect every way . Book today ! 
 Dec 5 2008 	 Great Location 	 recently return 5 night stay Casablanca . extremely helpful staff good , clean , comfortable hotel albeit little expensive . 
 Dec 4 2008 	 nice expensive get 	 efficient friendly service , convenient location . clean hotel good state decor . room fairly small , bath ( shower ) . ancient tv take much little space . Wine & amp ; cheese nice touch , basic breakfast ( fruit , cereal , pastry ) . interesting moroccan theme - would say tacky think quite fun . Bill ( include tax ) come almost $ 1000 2 night . may naive give location time year ( & quot ; holiday & quot ; season ) , price expect something amazing , get nice little quirky hotel . reason would return . 
