wonderful 	 spend Thanksgiving week Summer Bay Resort Las Vegas wonderful time . exchange week Trading Places International . check - in Sunday breeze please one - bedroom first - floor condo . accomodation newly renovate decorate quite comfortable . king - size bed , two wall mount plasma TV 's , huge tub shower , appliance utensil one could need . location Strip convenient everything early morning run along strip , nightly stroll . transportation week , notice non - stop shuttle resort without transportation . pool hot tub jacuzzi right outside door clean , practically vacant every time use , enjoyable . employee encounter pleasant helpful . negative experience even comment wireless internet become unavailable mid - week , rest week . construction issue minimal disruptive least way . look quiet comfortable place stay , still within easy access Strip , Summer Bay Resort would high list place consider . 
 Jul 25 2007 	 not stay ! 	 nice lobby & amp ; helpful concierge . nice pool share 12 room make pretty private . bad suite filthy shabby desparate need overhaul . carpeting upholstery stain , tub / shower dirty , air conditioning blow directly onto bed feel like sleep front window unit . floor dirty , bottom foot black walking barefoot . even though book year advance , could not get one nice room main building . room separate building access alley way . little scarey late night . 
 Jul 15 2007 	 okay Main Building 	 concerned read previous review prior travel e - mail resort request room main building . request grant see layout resort really glad do . numerous block Summer Bay , many quite isolated close less desirable area . hotel entrance reasonably impressive enter lift corridor room standard decor furnish quite poor . 's really tired 's surprise demolish next year . check - in staff poor , arrive early room ( know ) ask return 3 pm . keep wait hour return without even much apology . sadly lack customer service skill happy deal again . our 1 bedroom apartment actually pleasant surprise . spacious sizeable living room decent kitchen . lot kitchen appliance appear brand new although never actually use . balcony overlook car park plus lot electrical cable suspend building , pretty site . situate right next Laundry Room free use apart detergent pretty useful . location Summer Bay excellent , two minute rear entrance Imperial Palace strip . also short walk monorail . the pool tiny honest hot spend much time anyway major problem . in good holiday 's probably well Summer Bay demolish . tired badly need upraded hence reason relocate . 
 Jun 27 2007 	 stay like old filthy 	 myhusband exchange Fairfield Share Plus point stay week hotel first happy able get VEGAS arrive see availablity . hotel dump full senior citizen act like happy . lie offerd continental breakfast one morning line building . thought must serve something good get inside one bagel sandwich bag cream cheese . People actually stuff bagel inside pocket get one . bad place ever stay . comply give week back turn go pay stay another resort . go vacation least expect accomadation level home well bad . rust toilet bath tub carpet wear smell like mildew . window a / c be like still 70 's . entire place need serious renovation . 
 Jun 25 2007 	 not let lobby fool ..... 	 family stay Summer Bay & quot ; Resort & quot ; April 8 - 14 far bad hotel ever stay . admit , lobby look pretty nice welcoming , room terrible . ' ve ever stay main hotel strip , ( Flamingo , Mandalay Bay , etc . ) not stay , 's major disappointment . stay flamingo last time expect something similar year , let . bottom line : use nice 5 star hotel , not stay here . con : -window rattle everytime wind blow - Loud A / c - some & quot ; suites & quot ; locate apart room across run - down apartment - Rooms smell bad- & quot ; Swimming pool & quot ; stand water cement hole - you hear everything go outside really outsidepros : -No roach ( surprise ) -staff friendly - they be demolish place ..... 
 May 19 2007 	 Anniversary Vegas 	 exchange timeshare one week summerbay resort . apprehensive reading review website pleasantly surprised ! unit enclose compund pool . check Friday 1 bdrm unit w / patio pool ask could 2 bdrm entitlement . tell check back Monday upgrade . unit two bathroom two bedroom king size bed living room full kitchen . 2nd floor overlook pool . family satisfied accomodation . resort offer daily activite partake spend time strip short walk . resort also offer shuttle service take return evening . staff friendly reception bell boy ( woman case ) . would stay . one thing remember not need 5 star accomodation Vegas hardly ever hotel room ! 
 May 10 2007 	 Crack - house condo life 	 15 year RCI exchange , far unimpressive , low - rent crack - house apartment complex ever stay ! ( offense crack addict read . ) place zero charm . second - story one bedroom unit reach via outside stairwell . ancient airconditioner stick front every unit . want cool , geez ever loud ! however , need keep bedroom door open catch breeze one a.c . machine give condo apartment . how get away ? simple : intend rip whole thing ground next year buy demolish place make way new glitzy Vegas hotel complex . care ? not . ( might .... ) 
 Apr 19 2007 	 not listen bad review ! ! ! 	 really worried resort read review really bad . stay Summer Bay one week March family would definitely consider stay . arrive staff really helpful make we feel welcome . stay 2 bedroom apartment clean comfortable . not use pool people every day look clean . main building , actually furth building reception even not far away - maybe 2 min walk reception . area not seem rough . feel safe walk back 2 clock morning . location resort excellent - right behind Imperial Palace hotel honest think important thing . hardly spend time room much see , therefore close strip great . be go Vegas luxury stay one big expensive hotel strip be go enjoy site fun want somewhere sleep 's clean , comfortable affordable not far away stay Summer Bay . 
 Apr 12 2007 	 go anywhere else ! ! ! 	 check last weekend 04/08/2007 time ever check hotel staying night . room give we suppose suite , really convert 1960 's motel , except bar window seven foot eight foot living room area make place feel like get real value $ 115 + per night pay . wife freak first impression place make . attempt get something well , maybe upgrade , time tell good could . litterally go another hotel 2 block road . attempt get partial refund understanding would atleast pay one night 5 pm first get . refund would offer . next morning go back & quot ; resort & quot ; want know keep register even though tell stay offer deluxe upgrade . room considerably well , surround area still questionable . decide stay place make sure get one promo suit part main structure . will get various degree mediocrity range truly poor ( pathetic probably accurate ) nice . never felt take , not get money back , not stay hotel 3 day plan . tuscany nice alternative , Modern , clean , spacious nice property . 30 % less ! ! ! 
 Mar 27 2007 	 bad say ( main building atleast ! ! ) 	 stay summer bay great . little apprehensive reading review pleasantly surprised . arrive early able get room main building . room clean , balcony furniture seem new ! staff nice . exercise room ok condition window open right next pool .. little breeze come . pool main building nice ... clean , plenty lounge chair , little section shade music play speaker . spend little time room , basically shower sleep golf strip . overall , Summer Bay bad people make sound ... least main building ! 
 Mar 23 2007 	 great place - not understand get bad review 	 stop Las Vegas last part vaction honestly concern place due really bad review . basically reasonably price place stay within walk distance core area Strip really not want go town find place stay , time not pay $ 300 + place sleep . anyway get place check , people be friendly helpful , drive room happy place . room clean , good shape . problem shower not drain well biggie . not understand people expect . sure place not new , courtyard area nicely groom clean , use pool clean heated feel safe security patrol area time . 
 Mar 18 2007 	 perfectly fine ask right question 	 read review property skeptical , everything work fine . ask unit near main building , fact nicer safe other far appear . housekeep okay job , pool overclorinate , still enjoyable . 
 Mar 4 2007 	 Old GREAT ! 	 return 1 month stay Summer Bay . one bedroom Main Building . old , comfortable clean . staff FANTASTIC ! Kudos especially Carrie , Rick Leann . resort daily activity helpful anything need . would stay heartbeat . wonderful vacation . 
 Feb 18 2007 	 $ 10.00 Quality Resort 	 Uninvited ant kitchen everyday , bathroom unsanitary , rug dirty bad odor . odor comme rug . never stay resort . wife get asthma attack heavy odor . quality resort equal truck driver quick stop motel family small children . the staff front desk excellent ( * * * * * ) . 
 Jan 26 2007 	 one complaint stay 	 stay 7 day november 2006 , , love , staff helpful polite , nice one bedrm nice kitchen living room , , would stay , , have nice time close everything .. room clean comforable , , again love , , , Tom Nancy 
 Jan 8 2007 	 love : - ) stay ! ! ! 	 absolutely love place . good place stay Vegas toddler . location awsome , right behind imperial palce , block away strip . safe walk @ late night property staff security guard . Kitchen adequately equip , bed comfortable , everything , clean , staff friendly & amp ; helpful . never ever stay @ Vegas hotel Summer Bay lot cheap & amp ; comfortable . 
 Dec 12 2006 	 Loved Summer Bay 	 stay one bed room main building summer bay resort . staff excellent , room clean bed comfortable . plenty room two people , kitchan stock well enough cooking anything might want cookThere 5 heated pool , find main pool quite nice . main building right across street Emperial Palace parking lot , less 5 minute walk Imperial Palace casino , monorail . Monorail quiet hear . must mention van driver Rick Wilke return 200 dol ar lose van . wonder many people would done Thanks Rick . 
 Dec 1 2006 	 Heck will not stay 	 write grave concern regard denial stop payment charge incur Summer Bay Resort Las Vegas July 2006 . July 2006 , daughter take group high school athlete participate Main Event Basketball Classic Las Vegas . search web find Sumer Bay Resort whose advertisement show plus family style atmosphere accommodation . arrive , find horrific realize sham corporate giant . arrive lobby Summber Bay Las Vegas property , lobby beautifully decorate adjacent lobby fairly new building attractive accommodation . escort instruct drive we see two building . get cart drive several block ( property ) away group old renovate apartment complex . get walk around disbelief . eye horrid scene . building renovate side build across street severl abandon complexes ben board cover graffiti . building derelict clearly safe place family anyone stay . abandon building see indigent find place squatter . corner far end see unsavory character appear conduct drug sale . stunned disbelief . could believe see . website depict resort 11 swimming pool volleygall pit . peered one fence could see makeshift volleyball net strunge two pole . absurd . get back cart ask escort drive we back lobby . establishment know scamme people bold outright . we return lobby ask see manager . escort manager 's office proceeded tell we policy refund deposit within 3 day arrival . tell represent web site . admit property website location Florida . ver least false misrepresentation product . choice leave book stay Residence Inn safe , clean beautifuly enivornment . I video go back capture area , want we stay . e , L. Hollins , California 
 Oct 24 2006 	 good base stay 	 say two week , good location close everythig . do not go want 4 5 star hotel , go like comfy relaxed . saff vey helpfull , problem change room . maybe go upstairs room do not like noise sound quite loud . stay room 249 pool right outside , mostly 
 Sep 20 2006 	 Great Location 	 find Summer Bay Resort well - locate , clean comfortable motel . one bedroom room , recently re - furbished , lovely . full kitchenette living area provide , 2 large television . bed comfortable , alot closet space . disappointment old bath tub , paint -over peel . small pool outside room great , large pool jacuzzi short walk away , near main reception . motel close Venetian Harrah 's , well Las Vegas monorail . 
 Aug 11 2006 	 great family . 	 two week Summer Bay Resort July 2006 . research many property Las Vegas need apartment family 4 2 small child age 2 year 8 month . much searching , Summer Bay look great close Strip accommodation style need . extremely happy property - promise standard accommodation location thing exceed expectation eg . room clean almost daily 2 week period . always something might love staying remember get pay ..... Summer Bay fantastic value money , clean , comfortable fantastic location able go girl walk rely taxi , shuttle monorail . 2 bedroom apartment ground floor close back entrance Imperial make get around easy . hire car 2 day could go Walmart grocery etc heat would often drive casino valet park ( cost tip not pay parking ! ) . .... highly recommend Summer Bay someone want comfortable 2.5 - 3 star property , apartment style , close strip ( travel agent ! ) . 
 Jul 21 2006 	 good blast 	 ' let rating fool . get Vegas 10 pm get shuttle 10.00 round trip right Summer Bay , check fast easy bell boy take we great Apt . get ready bed hour later sofa bed open look shock break sleep able first thought go problem first hour 9 day stay . Front desk call 5 min . bell boy take use new pad . problem solve . strip 10 min walk we go time even 4 lady ' alone never feel anything fear even sit front yard 2 pool 1 . Summer Bay something every day like pool party ' , bingo , free shuttle bus ride along great staff ground . sit outside door could see Harris , Mirage , pink flamingo hot spot . pool spa clean , free coffee great maid great place stay able sleep night noise wake heres kicker four us Lady 's thought way stay Summer Bay 
 Jul 13 2006 	 ok great 	 family stay 2 - bedroom unit Summer Bay weekend follow 4th July . look though facility use low - income housing project . one & quot ; renovated & quot ; unit street main building . parking ally next apartment tenent live across way . many building board & quot ; Trespassing & quot ; spray paint across building . landscape pretty nonexistant area around building pleasant . also wonder people work . many woman behind desk either multiple piercing and/or makeup showgirl . dress code seem company polo shirt . room fresh paint . bed comfortable enough tv 's bedroom living room . living room small large tear chair . Kitchen adequately supply w / microwave , toaster , blender , apt size refrigerator , dish , pot & amp ; pan , silverware , etc . seem clean . walk almost block get main pool small consider many guest resort accomodate . not think will stay . 
 Jun 26 2006 	 great location great room ! 	 read many negative review Vegas ' Summer Bay web site , genuinely worried . ask main building , people recommend , tell suite assign ( build 45 ) well much construction . ! everything new top condition . friend comfortable new pullout green - leather couch , husband queen bed . tv bedroom living room , iron , hair dryer , broom , etc . kitchen well equip – big refrigerator , oven , microwave , pot pan , silverware . ' even buy dish detergent paper towel . room clean charge stay . one complaint garbage ' clear everyday , ' really something want vacation . get plenty towel point many ! staff friendly helpful . ' free shuttle service , free breakfast pastry , twelve pool , free resort activity , etc . Monorail nearby even offer ride employee golf cart . , plus awesome location price beat ! 
 Jun 23 2006 	 Great Location 	 return week stay Summer Bay review many pro con web site say least leary staying . request receive renovate 1 bedroom build 46 , unit 812 . perfect . expect true Las Vegas resort , disappointed frill place stay agree previous reviewer term & quot ; resort ' misleading . timeshare facility former Ramada Inn , trying become resort continue upgrade property long way go rival true resort . 24 - hour security roam property never feel unsafe . not use monorail , spend money get car , money spend monrorail would spend car facility right behind Harrah 's traffic bad . use valet hotel $ 1 - 2 tip walk town heat ! 1 bedroom come fully equip full kitchen , nice leather furniture comfortable bed . real frill , pool heat little cold morning , heat day warm . grocery store far facility would recommend go Albertson 's instead Von 's . get player card Harrah 's Mirage / MGM pretty much & quot ; strip & quot ; hotel cover . go Paris buffet wonderful hotel great . buffet Harrah 's Mirage also wonderful . try nine Fine Irishman New York , New York great pub great food . want really nice night town go veneitian one restaurant , recommend Emeri 's outstanding . would go back Summer Bay long give renovate suite hope next time go finish upgrade become true & quot ; resort & quot ; . 
 Jun 7 2006 	 Great Value 	 also worry read review write . fine . everything clean staff fine . wonderful deal not want pay huge amount room . also like kitchen . build # 50 across street office . surround area look little run , not feel unsafe . security ride around nite come home late . want luxury not come . order get something real fancy pay price . plus realize old building new . plenty towel . tell stay less week room service . want charge small fee . someone come place remove trash put towel even though not stay week . long expect new fancy building , everything fine . 
 may 25 2006 	 great stay Summer Bay 	 go Vegas look review tripadvisor concern turning ! could not please , accommodation lovely . room clean tidy furniture plus kitchen appliance appear new . I however get room main block , review bad review think might good option . reception staff friendly helpful ok asking stay main block . also say everyday walk reception area never see anyone appear unhappy want change accommodation . the great thing stay main building not car , not , nearest building strip . take 5 min ( ) get back Harrah 's casino . walk car park get bit concerned first walk bit dodgy especially night , could not wrong . well lit night always plently people around plus security camera . one negative say resort view , look onto carpark . need view Vegas , much spend long room ! ! 
 May 16 2006 	 Great Vacation Summer Bay 	 return two week stay Summer Bay Resort Las Vegas . like many concerned report read Trip Advisor , find accommodation excellent standard . yes , & quot ; block & quot ; reminiscent motel , appliance inside appear either brand new , recent . leather suite comfortable , bed . towel change regularly spare supply well . , swimming pool heat , temperature 90 + , blessing . position ideal , half block centre strip . some might think easily pleased , two RCI Gold Crown resort timeshare , one USA aware different standard accommodation . we also aware particular block Audrie Street well landscape flower , shrub ornamental feature other attractive . 
 may 11 2006 	 not stay 	 not stay ! want resort go somewhere else . place bad review . spend one week April 28 - May 5 two bedroom & quot ; renovated & quot ; room . horrible . place look like government housing project . place surround board , break glass building . one small pool not even heat . refrigerator leak , son fix broken microwave , one bathtub two bedroom . mold , drain slow , someone else 's hair stick drain . horrible . cheap 70 's furniture . small kitchen . place safe . park alley next dumpster , street surround board building . first one report burglary laundry room . promise one room whirlpool bathtub . get pack , go front desk immediately tell room whirlpool bathtub take . speak Manager well Maintenance man . two room whole resort whirlpool bathtub , not work . apparently , not know whether fix tub tear building . tub locate & quot ; Villas & quot ; . not let name fool . place dump like rest resort . & quot ; Villas & quot ; bedroom view people come monorail , alley . Bottom Line , not stay . 
 May 9 2006 	 want gamble Vegas accomodation ? 	 Las Vegas home gambling not want gambling hotel accomodation . book Summer Bay 4 night early April 2006 read Trip Advisor review . price good compare strip hotel play much get away charge room . deliberately avoid weekend reason Vegas hotel price go roof visit , however Summer Bay price remain good value . feedback consider cancel booking decide gamble would ok.i need two bedroom Summer bay offer suite . accomodation certainly spacious quite well equip . outside resemble 70 's motel , inside date complaint cleanliness . suite set small gate courtyard pool , sun lounger scruffy grass , also bbq . pool available next building not heat far cold use . get accomodation & quot ; renovated & quot ; section . evident fault find - include faulty shower deliver scald water foot cold shower head kitchen cabinet would not stay shut - hazardous . sink one bathroom paint tap part miss . ground floor window slide open weak screw catch - bar window seem secure . problem get fix , maintenance staff helpful guest write problem list hotel ? guy fix shower say fifth do week . front desk staff not cheerful , check ask enjoy stay mention problem experience interest show . the location not brilliant . walk back entrance Hurrahs strip walk along service road , past rubbish across road sidewalk clearly intend pedestrian . when , next door property huge building site go 2006 least . to sum , Summer bay good value accomodation offer suffering neglect . without problem would ok . possibly be date really make anything worth money would need spending . may well accomodation Summer Bay would not go back recommend experience . 
 May 9 2006 	 resort 	 place resort . also way oversell . sad set run apartment building project - still utter disrepair board around & quot ; rennovated & quot ; building Summer Bay . use term & quot ; rennovated & quot ; loosely - ' ve basically paint landscaping do - rest - paint job good hope . room smell , furniture run stain badly - parking relegate back alley next board building large trash bin unit - be guarantee boarded building view . may may lucky enough tiny hot tub even small pool complex . if find stay base price , location 's rating - sure ask & quot ; Tower & quot ; building . least semblance 3 - star rate facility decent furniture . however , even will get plenty mildew shower curtain barely place tear balcony . cost affordable location great , think be well spend little money head Best Western . 
 May 8 2006 	 would pay stay ! 	 place tolerable get room main building - beware assign & quot ; suite & quot ; one neighboring building ... look like low - income housing go wrong ! 
 May 3 2006 	 Summer Bay Resort 	 stay lot resort far bad place ever stay . room face board building across street , feel like getto . pool room absolutely get sun . -- roll sofa joke - way anyone could sleep . finally ask move -- tell we would go upgrade room -- end go small room -- one bathroom 6 we go pull sofa bed break . place need serious remodeling do . bathroom faucet shower hang wall . sink faucet keep dripping . staff pleasant -- deal place offer . 
 May 2 2006 	 Summer Bay love ! 	 get back girl weekend Vegas stay Summer Bay . location perfect , behind Imerial Palace . brief walk strip . resort great . stay 3 girl 1 bedroom perfect . 2 bedroom 1 couch . great kitchen eat breakfast morning . use stay 5 star hotel may dissapointe think perfect . spend much time room Vegas anyway ? several pool unfortunatley get use . plan never seem time . service great . one night / morning friend walk back room 4 man resort pull golf cart give we lift back . seem roam around alot golf cart make we feel quite safe walk around dark . little mini mart quite close get water beer munchie . also use bus system get around strip , day pass reasonable $ 5.00 . super time would definatley stay Summer Bay next time . 
 May 1 2006 	 Good Location 	 return 5 day 4 night stay resort . timeshare able book point system . staff friendly helpful . location resort right behind strip close Harrah 's , Imperial Palace , right center main strip . unfortunately free shuttle Fremont Avenue available stay proceed take bus instead , bit inconvenience problem . convenience store liquor store within walk distance asset . room much desire . 6 room per build anyone book 2 bedroom/2bath . building locate next boarded building site sore eye . maybe resort invest property tear building use land purpose . room small . not care & quot ; shared & quot ; bathroom hallway . one masterbedroom not think fair couple . the bedroom consist one king bed one queen bed room . needless say area cramp uncomfortable . feel though turn around would crash someone . the room need cosmetically overhaul . tile bathroom floor begin come room could use new furniture fresh paint job . not think would pay stay . convenient since available timeshare program . not say not nice place . 's first arrive walk reception area bit deceive glitz glamour well keep furniture area . think room would also appear nice . 
 May 1 2006 	 well value room big hotel . 	 stay week . outside look like collection average quality motel although room one yet upgrade ( look nothing like picture web site date furniture etc . ) happy . clean well equip kitchen / dining area , living area , bedroom bathroom . bed really big comfortable . lot towel change almost every day . location great , attractive , 's minute walk away strip via Imperial Palace rear entrance . the downside building work nearby appear go 24/7 without double glaze noisy . 
 Apr 17 2006 	 pleasantly surprised 	 return April 16th , 2006 . book hesitation , i.e . read pretty awful review , highly recommend Summer Bay Resort . certainly location outstanding price excellent . 1 bedroom unit clean comfortable . new appliance kitchen utensil one need put meal table . tv 's work well plenty hot water . the staff extremely friendly helpful . shuttle service convenient . would definitely return . 
 Apr 16 2006 	 quiet place 	 quiet , clean safe place stay . within walking distance monorail Las Vegas Strip . also offer ' free ' shuttle Fremont strip . it fancy place stay price would recommend . 
 Apr 14 2006 	 Excellent Accommodation 	 arrive near end March seem almost ideal time ( weatherwise ) stay Las Vegas . check - in friendly give two week apartment , main building short distance across road . build 24 nice area near monorail Imperial Palace well road infront behind . although thought could potential noisey really not . although generator noise Imperial bother we occasionally problem sleep . expect building 23 , 22 away well noise wise . location could better we , exit back gate walk road along side Hilton Flamingo ( 5 min ) strip opposite Caesar 's Palace , etc . apartment obviously recently refurbish large bedroom comfortable king size bed . far far well hotel room Luxor wife stay much well value . really apartment could fault air con extremely efficient easy use . check photo review ( Sep 19 , 2005 ) apartment look ours . the apartment beautifully tidy clean odor free arrive new towel provide Thursday arrive . expect stay additional week house keeping would change bed linen end first week disappointingly . also reluctant help way provide new towel empty bin bedroom . ground floor mean access enclose area table , chair lounger sunbathe . Vegas much use area little enjoy time . building row swimming pool . we huge spa bath , seriously huge ! make use lot night relax seem endless supply hot water . despite take half hour fill bath never run hot water . the resort complimentary continental breakfast Monday morning 9am-10am get muffin , doughnut bagel , etc . appreciate although recommend get early . aslo provide free daily paper ' activity ' room . I commend free shuttle driver highly enough 6 day week 8.20am take Von 's grocery store . remember pick Von 's reward card start shop . save we $ 40 shopping . shuttle also take popular hotel strip near downtown also , real boon . convenience store near , compare Von 's Grocery expensive . shuttle also take Ellis Island many local go excellent ( homely ) cuisine cheap price . entree Thursdays 99c , deal beat , night meal $ 4.95 . know soon could save lot money go lot often . we enjoy eat Cheesecake Factory also Stage Deli must good desert Vegas . Caesar 's Shop Forum . the shuttle make several stop within property pick people area definitely look little dodgy abandon building board . abandon building belong Summer Bay . Wet walk back Ellis Island ( 10 - 15 min ) night quite safe . other shuttle taxis 3 transport method ; monorail ( fast expensive $ 5 trip convenient ) , Vegas Trolley Bus ( slow take Las Vegas Outlet Mall ) , Deuce travel strip $ 2 ( adult ) $ 1 ( child ) - slow monorail fast Trolley . want see Vegas show , try go first half price ticket place . three time never disappoint course save hundred dollar . the Vegas state charge people stay Summer Bay tax $ 5.04 per night lot really enjoy two week vacation resort . 
 Mar 12 2006 	 homely place 	 summer bay resort strip . homely place staff friendly helpful . excellent activity provide child adults.the resort casino shortage casino within walk distance.the property locate next monorail station . unfortunately USD5.00 per trip ideal option . day pass hefty USD15.00 per day.the viable option day pass bus . USD5.00 per day reasonable mode transportation.if hurry handy shuttle strip hotel regular interval boon . shuttle also make trip supermarket morning might wish purchase grocery etc.we find place homely recommend individual familes.rajamanu 
 Mar 11 2006 	 good deal strip 	 family return las vegas vacation stay summer bay resort . bit hesitant accomodation read review , decide chance stay anyway . definately right decision ! 1 2 bedroom unit like small apartment hotel room . kitchen everything need prepare eat meal ; even blender salad bowl . room clean , bed comfortable . thing notice misleading website ad say breakfast provide guest every morning ; day do monday . however , summer bay provide free shuttle popular strip hotel , las vegas definately well bargain two ! 
 Mar 6 2006 	 would not go anywhere else 	 3 girlfriend get back highly recommend hotel . yes strip , 75 yard Imperial Palace . two bedroom pull couch living room / dining room , queen one room king . thing require kitchen provide . cook breakfast ( bacon egg ) breakfast cold meat sandwich pack lunch eat dinner . cost save nice lie around morning without run coffee . little convenience store street 1/4 mile . every staff member meet go beyond expectation . want stay strip night ! unless prepared pay $ 1,000 night one strip hotel will not face strip , stuck room bed , fridge back hotel . would definately go back ! ! ! look great reasonable lunch dinner , try Max 's Aladin . $ 3.99 chicken breast bun fry , $ 6.99 dinner . amazing value compare $ 5.12 muffin kiosk Caesars . 
 Jan 18 2006 	 great place ! ! ! 	 technically ' resort ' reviewer may expect , must say really impressed ! sure Ask room renovate part hotel ( right main lobby ) step away Harrah 's ( walk casino right main part strip Ceasars , Bellagio etc . ) monorail ( never ride , assume nice ! ) . part ' resort ' ( HUGE ) look bit date old ! room small , go vegas look inexpensive , convenient clean , place ! LOVED microwave full size fridge , real plate , glass silverware ! bed actually really uncomfortable , jeez , vegas ! not really sleep much anyway ! would certainly stay anytime visit Las Vegas ! 
 Jan 16 2006 	 Hated ! 	 since become timeshare owner , ' ve come expect resort room beautiful , up - to - date well - equip . room Summer Bay Resorts neither . look like motel room 60 's great need renovation . room decor unattractive heating / AC system archaic . window unit thermostat operate manually . also rental car park alley close parking space room . also enter get room . location must also hotbe crime security guard visible good part give feel uneasiness . bedroom view include handmade keep - out warning sign affix building across alley . never book look like picture see website . take picture resort not want remember stay post website . 
 Jan 8 2006 	 Las Gag we 	 photo website look good , person , please ! ! building stay two building resort . board abandon building share common drive welfare type apartment behind . cover graffiti plastic sheet window . building appear resort map open space drive area see person . ask area safe walk room tell security would escort we want . room old outdate , bed uncomfortable . good thing closeness strip casino . when ask desk person abandon building tell we ( building ) buy MGM buy Imperial Palace next door try buy surround property . maybe try devalue resort get total property take . sale staff tell we building own resort renovate yet . not know believe . one even try sell we time . thank goodness . I guess stay main building would like hotel room . luckily rental car vandalize steal . 
 Jan 6 2006 	 Great Place New Years Eve vacation ! ! 	 husband recently return New Years Eve vacation stay Summer Bay Resort Las Vegas . pleased . 4th time stay resort , definately much well year . stay one bedroom remodel suite . furnishing new , leather sleeper sofa chair living room , nice dining area . bathroom sparkle clean extra towel . bedroom spacious king size bed huge closet dresser . good thing resort go location shuttle service . FREE shuttle stip , downtown . cab fare . able view fire work room huge crowd people . would highly recommend resort anyone want reasonable quiet place stay close stip easy shuttle access . shuttle driver excellent . would recommend always ask renovated room checkin still process remodel . can not wait go back next year ! 
 Jan 6 2006 	 mislead advertising - basic motel 	 photo provide website regard Summer Bay Las Vegas mislead overwhelming majority room so - call & quot ; resort & quot ; . seem one fairly new building include reception / sale area ( not forget time - share group ) dozen room - see photo . 1 - bedroom suite bore resemblence . acre property , multiple pool suite mention really conglomeration various neighboring 1960 's 2 3 - story court motel buy paint color . building mix scoop yet hotel - vacant , boarded , seem serve cheap apartment . suite perfectly ordinary 1 - bedroom motel room kitchen . clean , decent tropical - pastel paint job new motel - grade furnishing . carpet lay uneven floor however , obviously serious keep room truly & quot ; non - smoking & quot ; - spray room Febreze whatever . road pass thru city , half price , would perfectly fine stop . however , waste Hotels gift certificate New Year 's trip Vegas motel room represent & quot ; condominium unit & quot ; & quot ; resort & quot ; photo room turn represent probably less 5 % available room . want sell timeshare ! would trust anything say ? 
 Jan 3 2006 	 wonderful accomadation new year trip ! 	 husband return trip Vegas new year eve . strip hotel much money feel like totally lucke reserve two room Summer Bay Resorts lasvegas.com . pd . $ 150 per night , bargin . read review , call ahead request renovate room close strip do not walk far . tell room close strip not problem . friend also book room get place ahead us check . friend find assign room pretty far away strip request change . accomadate we without problem get two room next door eachother build 28 . sister stay husband spacious room come handy . renovate room great ! large bedroom living area pull - out sofa . kitchen everything need . not cook anything , however time bring home leftover eat store refrigerator - perfect late - night eating . wish every hotel one also buy beer , water , etc . keep cold . additional bonus full length mirror room . notice bath towel though , quickly realize stocked extra underneath sink along toilet paper . pleased room . our room location end perfect . rent vehicle parking free right behind buile . could walk back unit turn right left get strip hotel . directly behind Flamingo go often . also , monorrail right behind we could gotten right anytime . perfect location . overall , wonderful time new year - go several club basically tour around city gamble . Vegas much Summer Bay Resorts provide we excellent accomadation close everything want ! additionally able purchase late check 5 pm new year day $ 40 . great since normal check 10 flight not 4 . would highly recommend anyone travel Vegas - perfect stay budget family . would go back stay sure . 
 Dec 14 2005 	 Summerbay Resort ( yeah right ) Las Vegas Ugh ! 	 resort need stop right , demolish start immediately . please change name , take & quot ; resort & quot ; definitely one . shuttle pull Summerbay & quot ; Resort & quot ; , yeah , right , ( LOLOLOLOL - hilarious would even try pass one . ) expect see something nice since pleasurable experience stay Summerbay Florida ( absolutely loved ) . nope , going see . sight mess call resort exactly state , & quot ; mess & quot ; . like step set 1950 's Old Western Movie . expect see tumbleweed roll , cowboy Indians come start fight parking lot . enough , insult people dress lobby taste room may look like – yeah , right ! advice : RENOVATE ROOMS – IMMEDIATELY . bring date , live 21st CENTURY ( figured would tell since seem ' know ) . first could get hotel due fact door room break shut . husband literally pry open good shove shoulder couple forceful kick . ask fix next day admit service prompt apparently maintenance idea fix problem remain unsolved . decide kick way room instead bother staff . get door open first night , oh goodness smell other write definitely correct . old , moldy smell , ( clean disinfect entire space . could sit sleep find Walgreens bring Lysol , Comet cleanser Clorox Bleach ) old scratchy furniture , central air big lunky , chunky old 1970 a / c unit ( use anymore ? ) pleasure uninvited guest room\ , bathroom tub eyesore hot water - time hot water ? ? stay long , ' think would ' ask new room fear may get something dreadful already have . I must admit bed ok , husband sleep pretty good . staff also nice friendly . stay premise day , think would lost mind . give CHANCE free stay SUMMERBAY LAS VEGAS , would DEFINITELY PASS . unless TOTALLY MAKEOVER ENTIRE HOTEL , would never , ever stay ! 
 Nov 6 2005 	 worry happy ! 	 hello anybody go Las Vegas . we ( husband ) come home NYC ( Brooklyn ) .I book resort exchange point ( similar timesharing ) two month ago , choice stay Las Vegas without car . read bad review time , depressed see good one mood become well . thank write good news . one advise go place . location well , view room beautyfull . stay one bedroom apartment ( renovate ) , 65 year old , health problem . make reservation tell would like , include location , far main office . request meet . see try hard improve image . place good used staying motel , apartment . everythig simple , new clean . think name & quot ; resort & quot ; confuse people , expect much come place . we good , quiet place come rest couple hour go back strip . great time , one good vacation last 30 year live USA . , worry , go place happy . 
