amazing 	 stay hotel head Paris Eurostar honeymoon ! will honest - bit budget cheap 4 * hotel could find within walking distance St Pancras - expect much . staff friendly check , hotel clean well present . bed HUGE comfortable indeed , really amazing thing view ! ! ! 14th floor direct view London Eye . way hotel organise mean pretty much room brilliant view London , book special room upgrade . excellent value money - wonderful start wonderful holiday ! 
 Jan 9 2008 	 handy pay please ... 	 stay hotel , short walk king Cross St Pancras ( new Eurostar terminal ) night catch early train Paris . get room use airmile pay anything . would less happy have . perhaps room buy use Airmiles redemption , get less ideal room . room 4th floor noise main road fairly relentless pretty annoying . although loud type , even earplug , disrupt sleep . check - in desk staff off - hand unwelcoming , typical hotel transient traffic care know people stay help catch train early morning , people get late night . the hotel lobby , many people review hotel say , look good modern . bad since think hotel use rather dire office block first move London 20 year ago . bedroom neat enough , effort make give modern look . roof quite low although good size overall effect bit stark . bed comfortable suspect head towards replacement . bed somewhat lumpy dip middle . tv flat screen channel correspond listing say interface TV , seem sloppy consider satellite channel clearly point someone change put back . the bathroom look good good size , though shower foam shampoo pretty harsh ! food lobby restaurant so - so . overall hotel fine quick stop . make sure ask either high floor room face main road - room face away main road . get , hotel great 1 night stopover handy station . 
 Jan 7 2008 	 great access central London 	 hotel locate Euston Road , next door British Library Euston station newly refurbish St. Pancras station . hotel attach Shaw Theatre . 's Pret , starbuck supermarket directly across street , many neighbouring pub . usually stay right centre city walk everywhere , also great option - St. Pancras probably well set tube connection station central London . well - stock breakfast buffet . room spacious London standard . good room rate seem offer book directly hotel & amp ; add advantage breakfast include option cancel day arrival . recommend . 
 Jan 3 2008 	 good option 	 hotel locate near king cross station ( 2 minute walking ) . station lot underground line . the hall big smart staff helpful . problem heating problem solve quickly . the room comfortable , quiet , new big ( normal Novotel , huge London ) . hotel high , vision top hotel excellent . breakfast good , lot thing choice . the problem price : ' expensive . book room previously ( 93 pound include breakfast ) , normal tariff almost double without breakfast . book room www.novotel.com 2 month find tariff . I thing good idea host hotel . next time visit London book hotel . 
 Jan 2 2008 	 great hotel great location 	 go London weekend concert O2 . originally look hotel nearer venue realise would far . look hotel right & quot ; centre & quot ; London realise wherever stay , much want see would lot travel within city anyway . we choose hotel due 's close proximity King Cross station , train arrive . 100 m away station main road . also right next St Pancras get anywhere easily , bus stop right across road not fancy get Tube ( lot less scary thought would ! ) . premier inn across road - not go inside location hotel would excellent . within close proximity hotel Pizza Express , coffee shop couple bar , McDonalds & quot ; corner shop & quot ; handy get pop / sandwich etc . hotel modern extremely comfortable . service excellent , concierge always hand get cab give advice area . room decent size , great tv service . nice touch speaker bathroom could listen music etc ! bathroom pretty small size everything need . room exceptionally clean - go back room maid find sit bath scrub ! request high room view great , see City , St Pauls , London Eye get right room . 3 lift , middle one view chamber - agin see across London . book hotel directly , able get rate include breakfast ( otherwise approx £ 15pppn would not pay ) . weekend serve breakfast midday think excellent . eat area relax , extremely comfortable . range fruit ( fresh tin ) seed , cereal , hot food , bread , drink etc . would nice touch offer toast , instead one machine take . push negative hotel would say room hot ( go December not know compensate heating ! ) . individual temperature control room not useful . try order room service approx 1.30am ( supposedly 24 hour ) no - one answer - although reception happy take order . would also like see feedback card . could either get restaurant style food bar food menu . find extremely price - approx tenner sandwich bit O.T.T - price would expect something bit special definitely not . sme thing whilst : wander around Leicester Square Picadilly Circus , go O2 ( good thing get 1 day Tube pass , fiver think , get around easily . take Tube Embankment get Thames Clipper £ 4 way , O2 . turn wait boat come , take bout half hour , bar board drop 100 m away entrance O2 . ) Madame Tussaulds good though expensive £ 25 door ( go would shop around see could get cheap - shop etc sell think ) . open top bus £ 20pp could hop hop various route see everything . couple different company si check one cheap day . British Museum , huge free . would liked see show matinee Sunday except Lion King sell except one ticket book advance ( also Lion King discount ticket last minute ) . weekend away fantastic , group 6 ( 2 teen , parent partner 20 ) hotel brilliant we . would recommend hotel without doubt already plan go ! hope find information useful ! ! ! ! 
 Jan 2 2008 	 no - nonsense value money 	 book last - minute stay New Years Eve London . place charge exorbitant price get good rate Accor website : 110 GBP double room . arrive 14:30 , park Ibis hotel car park one Novotel . ibis 5 min walk away , parking cost 15 GBP 24 hour - bad central London . arrive 18:00 park street beside Novotel free . check - in fine , staff nice - recognise stay . give large room ( 421 ) separate sit area , 2 tv 's large bathroom . last time stay bathroom tiny , room vary quite lot . do eat drink hotel - would recommend hop bus Fitzrovia area 10 min away , countless well option , even Pizza Express across street OK ! problem room - quiet , comfortable , nice shower . check - out queue huge pay full drop key without queue . I would recommend place clean , comfortable stay , especially want near Eurostar station need designer glamour . 
 Jan 1 2008 	 good hotel 	 i´ve stay hotel spend 5 days.very good hotel , extremely good breakfest.only one problem light sleep : period year thousand adolescent make noise night.location great . underground beside trais statio ( eurostar ) .except noise ( huge hotel ) , everithe perfect . 
 Dec 18 2007 	 great hotel 	 great hotel - modern huge room bathroom . hear great hotel UK Europe , pleasantly surprised . food yum well . we also find staff helpful , especially reception concierge print fax personal document back Australia . could help we enough . the location central , close Madame Tussuads Euston Pancras St underground station well bus front door . complaint would lack facility around hotel cater 11month old formula , nappy etc . manage . probably business hotel still like , serve 's purpose give we somewhere retreat long day sightseeing . would go back ! ! 
 Nov 30 2007 	 excellent breakfast ! 	 two night stay hotel , room spacious clean one chair . excellent view St Pancras room , worth go top panoramic lift see London . ( not joyride busy time ! ) ourstay one lift order occasion wait 10 minute squeeze . yes , try stair , circuitious route exit via kitchen area . may queue breakfast staff efficient friendly choice food first class certainly stay could fault quality . proximity Euston/ St. Pancras enable we travel anywhere central area quickly . staff ( bar one misery ) friendly helpful , would happily stay hotel . 
 Nov 21 2007 	 unfriendly two star hotel charge four star price ! ! ! 	 ok basic two star hotel , definately worth price . nothing area day night except travel france eurostar . Dodgy night - not come be single woman . unfriendly staff ( professional , smile apart restaurant staff ) . small room , comfortable enough , basic , hear neighbour . Soggy bacon burn hash brown breakfast - ' ve well meal service station ! evening meal - 30 pound , drink alcopop afterwards take taste away ! ' m surprised 's get great review . be business trip , guess would overnight stay want sleep , certainly would not come holiday . ' m big traveller generally stay chain hotel ( accord ) ' ve never dissapointe . one let side . ' ve stay much well two star hotel . thing go , be near tube . , many hotel . ' m always look advice internet site always read review choose . 's feel necessary write review . may help other . 
 Nov 2 2007 	 great ... ' Hope 	 hotel first stop ( three night ) five week holiday UK . arrive 7 am , exhaust tire 22 hour flight Sydney , drop luggage hotel porter ; easy . little hungry , decide try brekky hotel ' restaurant , one good breakfast buffet ' see long time ; service exemplary , decor modern , everything clean shiny . busy , thing move along pretty quickly , French ( think ) maitre - d calmly manage large flow diner . problem food run , happen sometimes buffet get busy - option quickly refill reach half empty mark . the check - in process afternoon quick efficient , room exactly ' request online booking - high floor ( 10th ) , quiet , rollaway bed , rather sofa - bed , daughter . room must disabled - access one , bathroom spacious , bath separate shower , kind swing - gate door ; downside manage flood least half bathroom every time shower . minor inconvenience ( bathmat & amp ; towel abundance ) , room clean , modern & amp ; whisper quiet , comfortable king - size bed separate desk area . location - wise , bad . ' nice italian restaurant across road , couple small grocery shop nearby , plus ' two tube station ( 10 minute walk way ) , find though all - day bus pass great value ; hop - on hop - off , bus stop two minute walk hotel ' front door , trip thing touristy less 15 minute . double - decker bus daughter ' favourite thing London , much fun tube , hot , cramp , smelly generally unpleasant . I ' hesitation stay ; book website special 3 2 night deal , even , think lovely modern hotel , friendly efficient service , good location . 
 Oct 31 2007 	 lovely hotel 	 stay hotel one night theatre break beautiful hotel . stay 15th floor view London marvellous . evening meal hotel West end busy service food good . one point , large queue table breakfast . get table breakfast good , may pay downstair breakfast commence rather join large queue . conclusion lovely hotel , definitely recommend . 
 Oct 27 2007 	 great place - short walk king cros 	 complaint whatsoever place . walk king Cross minute , be Starbucks across road people like high level caffeine , bar restaurant ( Pizza Express ) across road . room nice comfortable , staff happy look bag could get room check - whilst explore city . top mark . 
 Oct 20 2007 	 Novotel Hotel near king Cross 	 need place stay London near king Cross would leave train Edinburgh morning arrive UK . novotel within walk distance ( big luggage ! ) . nice , clean hotel cater business people . service great decor & quot ; european modern & quot ; upscale . locate busy area , trouble sleep , ask room away street . not eat restaurant nice pub area actually like pub food ! review read area bit & quot ; seedy , & quot ; not find case . not think good place stay spend time London sightseeing , great catch north bind train . 
 Oct 12 2007 	 Nice hotel excellent location spacious room 	 Hotel ist 2 minute away either Euston King 's Cross Station many bus line .. locate busy Euston Street , room back 2nd floor quiet . room King size bed overall spacious nicely decorate , clean price pay hotwire steal . I would recommend go somewhere outside breakfast , price high . in - room entertainment internet . starbuck opposite side street easy breakfast internet ! would recommend stay nice starting point London activity ! 
 Oct 8 2007 	 Great Hotel 	 great hotel nice area . proximately King 's Cross Euston Station make great base explore London . king size bed modern clean room . staff good helpful . concierge direct we small breakfast place behind hotel end cost we 3.85 two . little hole wall place ask for . there also market street Friday 's . would definitely stay . 
 Sep 22 2007 	 Beautiful Hotel 	 stay Novotel year ago 2 night , be beautiful hotel great place . Regents Park road infamous London Zoo , Madame Tussauds beside regent feel get littel expensive date , that s review about . the Novotel set Euston Kings Cross station will problem get anywhere want go . the bedroom beautiful great aircon hot day UK get twice every decade . bathroom huge shower beautiful glass sink bed comfortable . mini bar stupidly expensive like place , not use automatic charge system place , remove drink food go local shop across road leave little get supply there . we problem stop give 5/5 - take 3 hour check room not ready , drink bar pathetic , £ 8 Malibu Coke squirty gun thing . window nearly fall shower flood block . put bad luck real complaint , afterall get bargin - £ 66 per person 2 night . I suggest stay try hotel facility like gym etc , never time . 
 Sep 21 2007 	 good clean hotel 	 stay business impressed . hotel around 3 min walk king Cross Station , little Euston , right next british library . reception impose , helpful efficient staff . 15th floor view great room spacious , nicely do clean . bath effective shower plenty hot water . Breakfast OK . complaint room freeze cold ( be know lot hot water , could not bring get shower ! ) could not work warm up . the area ok , chain restaurant nearby convenient tube etc . would happily stay anytme , business pleasure . 
 Sep 18 2007 	 good facility clean tiday 	 Booked organiser conference attend . arrive mid - afternoon . efficient desk staff good local knowledge . room clean , tidy aircon pleasant atmosphere . Bathroom smart plenty space fluffy towel . lot hang space , iron board cupboard . good tv / information system . point mp3 computer . bar menu supper varied , quite expensive . twin bed , well make . slightly average noise night ( police siren ) . breakfast - huge choice good food , coffee tea require , include peppermint tea . conference facility superb , aircon rather chilly . , good venue competent staff busy pleasant ambience . 
 Sep 18 2007 	 Modern Clean . great Stay ! 	 girlfriend stay Novotel Euston part package getaway London Swansea September lst year ( 2006 ) . find hotel firnishe clean modern manner . the location hotel rather good Euston tube station 5 minute walk away . hotel rather large far height go , therefore share wonderful view London high floor . the food breakfast , outstanding plenty selection . area around hotel provide newsagent nearby well restaurant . would definately recommend couple get away London , although hotel seem suited buisiness clientelle although pose problem . great stay . 
 Sep 11 2007 	 's alright 	 stay Novotel Hotel 3 night business . accomodation comfortable clean . staff seem helpful actuality not help one bit . 1 ) wake call luckily set another wake call via tv work well 2 ) internet room later find faulty wire fix even though night manager come think hopeless case . though - good price great breakfast come service . 
 Aug 24 2007 	 see view top ! ! 	 come back fab 3 day London ( even though rain every day ! ! ) . take 13 year old son first visit Capital . intend stay west end Best western read review worry . Novotel prove fantastic choice . room lovely bathroom plush 2 shower attachment ( ceiling detachable one ) glass fitting . flat screen tv tea , coffee , etc nothing else could need . breakfast plentiful , cook continental . staff lovely . good bit fact two minute walk king Cross Euston middle lift panoramic view London 2nd 16th floor . go 16th floor twice view ! ! ! , everything need would not hesitate go . also get good deal 2 night , much one night ! ! bus go past every minute go city bus cost £ 3.50 per day free son . last day , hotel securely hold luggage could still full day explore . 
 Aug 19 2007 	 convenient location 	 stay hotel family 4 night . book room hotel website family room back hotel special rate abnd sofa bed daughter . room nice clean . price reasonable consider 4 star hotel locate within city centre . it minute walk Euston King 's Cross tube station convenient we use time tube transportation within London . also opposite Britsig Library . bus ride route . 10 Knightbridge fantastic . the breakfast great choice juice , cereal , fruit , etc . might need go restaurant early queue especially weekend . the hiccup cab ride hotel Heathrow Airport . book black cab concierge night not want carry luggage train . fare fix 50 pound . arrive airport , cab driver ask pay meter . argue som time without success finally pay . apart , would recommend hotel anybody travel London child vocation . 
 Aug 15 2007 	 great value 	 book theatre break Superbreaks choose hotel location Tripadvisor review . location spot arrival train king Cross , turn right walk 800 yard there . across road late night shop food / drink , Starbucks , Pizza Express pub . hotel clean , modern , large room LCD TV , glass door bathroom , glass sink , stylish . room rear 2nd floor really quiet . a word someone comment regard noise - window handle turn 2 way , 1 way allow air therefore noise , way stop noise even low floor . staff polite breakfast could faulted . our stay par hotel stay around world load money . excellent value , return . 
 Aug 13 2007 	 Beautiful Hotel 	 stay hotel one night find hotel excellent . first foremost , beautiful hotel tastefully decorate . room modern , bathroom visually pleasant . room also clean many useful amenity . Novotel Euston also perfectly locate . within walking distance Tube 5 - 10 minute bus ride Trafalgar square Big Ben . would highly recommend hotel tourist business traveller pass . 
 Aug 11 2007 	 great location 	 husband stay Novotel Euston two night July 2007 . hotel similar hotel Canada US amenity style . room small north american standard , large European . buffet breakfast spectacular include rate . hotel locate near two major tube station train station . King 's Cross / St . pancra two block east Euston two block west . easy walk station pull luggage wheel behind . hotel locate fairly busy road , could hear traffic unless window open ( 5th floor ) . hotel right across street British Library within walk distance McDonald 's , Burger King , starbuck convenience store . room good condition except miss tile shower , otherwise clean well maintain ( see picture ) 
 Jul 24 2007 	 disatrous night endless fire alarm 	 Fire alarm sound 02:36 continue next 2 hour . responsible english speak management site blind elderly guest give guidance assembly point . lift remain action entry permit - still staff provide assistance . even water refuse guest need cleaning team seem keen keep guest away refreshment area . major neglect deal customer emergency situation staff member site identify technical fault rather need evacuate 300 + guest . truly awful guest experience apology offer refund morning . 
 Jul 22 2007 	 poor management 	 know give hotel low rating . explain bit . first however ought mention nice hotel . location access tube line good . one main reason stay . modern hotel contemporary feel decor . room great size view 15th floor window great . 1/5 rating ? let start room noise . sleep earth quake wife simply could sleep sound traffic side . know London high window offer real noise protection . junction mean instead steade road noise subject start stop car , rev engine heavy braking . 2 am wife really struggle sleep ... worry ... fire alarm go . last 20 ear hurt sec stop . quick look room go back bed . 5 min later wife ask see reception ear plug . get dressed find lift . walk way fourth find alarm go people able find exit . go get wife , time alram start floor find way .30 min later outside member staff sight . 2:30 morning ! ! ! finally get back staff can not find we route back room stair case lobby tower room ! finally back room try get sleep alarm go ... ... ! ! ! alarm goes intermitently go 5 morning ! ! ! sorry hotel nothing . sleep night way could get late theatre performance night get sleep day . needless say will not stay Novotel hotel . dread think would happen real fire ! ! ! 
 Jul 21 2007 	 pretty good 	 stay work last summer would definitely come expense . room comfortable big quite funky bathroom . give location , room quiet overall hotel nice atmosphere . use gym time feel lot less cluttered invite hotel gym ... run look British Library . hinge break tv cabinet not think fault anything else really except tiny bit expensive not get & quot ; special rate & quot ; . 
 Jul 16 2007 	 wonderful view 	 although 10 August 2006 first time stay , get well time ! frequent bar many occasion - well great place meet location wise , bar area light airy friendly staff good wine listthe standard room great value , always spotlessly clean well decorate . little bit extra executive room well worth - favourite room 1404 . large room great view London picture window . sit window sill lose vision world carry outside 
 Jul 15 2007 	 good value . good option family . highly recommend . 	 hotel offer good value centrally locate hotel . stay 16/17 June 2007 . cost : $ 510 aud ( 218 gbp ) 2 night 1 adult 2 child . get us room sofa bed double bed include breakfast ( later ) . room well set foyer / alcove sofa bed , bathroom ( separate alcove main bed area . layout great family offer privacy kid adult , whilst still one room . bathroom spacious , well lit good shower ( great water pressure ) 3 week ! big window view ( see pic ) . 2 tv 's ( 1 area , kid happy Simpsons , BBC . . ) complaint would double bed ( queen ) sofa bed little hard set ( housekeeping respond quickly ) , also room face Euston Rd bit noisy - London . . . location : Euston Road - inbetween Euston Kings Cross / St Pancras railway station ( tube British Rail ) . opposite British Library ( free 7 day ) . food : full buffet breakfast include EXCELLENT ! bonus serve 11.30 weekend . everything could want , really excellent quality hotel buffet . eat late ( 9.30am ) , consequently get day lunch - well nab croissant couple apple get we day . . . . ) . eat dinner O'Reillys irish pub street , reasonable option ( upstairs well kid ) . staff : dept . friendly helpful . previous week stay Fraser Place Queensgate apart Hilton Euston ( review come ) , would easily recommend Novotel good 3 . convenient , clean , safe , friendly , well fit can not go past breakfast set whole day . 
 Jun 29 2007 	 Good Location 	 clean comfortable room . area good bit attention ( bar area bit tatty ) . eat hotel lunchtime ( unusual we ) food excellent reasonably price . good location next door British Library close Euston / king Cross . 
 Jun 26 2007 	 recommend : could lot bad 	 design DECORThe design room Novotel London Euston smart business like . lot red cream dark wood furniture make room feel cosy warm . light not great area room dingy night , even light . bathroom , contrast , much colder feel . door sink glass opaque main wall bathroom cover mirror . view three room , vary size , pretty similar clean . hotel entrance , reception restaurant modern , clean attractive . LOCATIONThe hotel 5 minute walk Euston station west Kings Cross St Pancras east . station major national rail underground station . hotel right Euston Road busy pretty much day . be light sleeper , definitely want room back hotel ( even be , would advise room back anyway ) . general area hotel situate fairly safe time , although exercise caution night would normally around major city train station . red light district apparently block away , probably good go wander around . immediate area around hotel though perfectly nice . be good enough British Library across road hotel , good enough you . the ROOMOf three room see , one fairly small other fairly large . room choose , masse cupboard space , firm , comfortable king - sized bed , desk , flat - screen tv accompany wireless keyboard internet access connection mp3 player , chair table mini bar fill ( expensive ) drink snack . bathroom , will find toilet , sink bath tub ( obviously ) . tub average size 's two shower nozzle available reason . amenitiesthere two phone room , one desk , next toilet ( kidding ) . 's tea coffee make facility , although kettle store odd place hunt available electrical socket order use . tv miserable selection channel although offer channel French , german Spanish . ' m sure lame selection encourage watch pay - per - view film offer . 's also hairdryer ( cupboard ) plus iron board trouser press . ( amenity may vary room room ) .SERVICEI not happy noise level first room ( traffic , lift motor people neighbouring room adjoining door ) , spend four hour room , decide move . second room small window not shut properly even noisier , ask move . every Brit explain be happy something , feel pretty embarrassed , feel , pay lot money , go move . staff desk deal polite complaint efficiently without fuss . one point , three staff member crowd around computer screen try locate good room . one assure bother absolutely fine . thumb service then . CONCLUSIONThe Novotel London Euston good hotel good location . not happy two room due noise , third fine suited need . would recommend hotel ? sure . 's good hotel London , could great deal bad . 
 Jun 22 2007 	 Good well - locate Hotel 	 good hotel . room bathroom good shape . good advice site request daily breakfast add room rate . cost additional £ 10 per day . breakfast eat . choose English breakfast day . yes , heavy meal , heavy meal , need eat lunch , sometimes feel need dinner either . £ 10 per day reduce meal cost substantially . Desk service spotty weekend late evening . time , think hotel staff desk trainee bright people . daytime staff concierge could well . difficulty plug converter carry . desk immediately supply one ( take deposit ) . return room , find telephone charger fit converter converter ' shape . tell desk . ask speak concierge immediately refer local hardware store correct plug converter . travel hotel , hotel close St. Pancras underground station , two street away . area , think give hotel ' name , might close Euston underground station – wrong . Euston underground station , still walkable , two three time away . would stay . 
 Jun 21 2007 	 Great Location 	 Stayed Novotel Friday 15th June two night daughter . location great arrival station ( king Cross ) underground 5 minute road . staff friendly , room clean comfortable bed . iron ironing board , trouser press fairly decent hairdrier . breakfast good lot choice . definately return . 
 Jun 17 2007 	 great hotel 	 fantastic 2 night break novotel euston wifes birthday.hotel 2mins walk king cross euston station , good size room large bed , modern bathroom shower , etc . good bit fantastic buffet breakfast.staff friendly helpfull , return next year . 
 Jun 6 2007 	 could well 	 family stay four night , occupy two room . room basic average size . room occupy husband terribly noisy locate side busy road ( siren , siren even night ) . ask change room hotel fully book suffer two night without much needed rest sleep . bathroom also basic , sink 's drain work well . amenity include soap shampoo . location bit far center , reputation King 's Cross desirable area , feel comfortable first . in fairness , experience untoward incident throughout duration stay . there pizza restaurant front hotel , english pub convenience store really like . the staff reception really cold indifferent . ( especially woman ) unfriendly unapproachable . if not want deal people , stay service business . pale comparison hotel 's concierge find extremely helpful always go extra mile assistance guest . break camera ( London first leg european trip ) give we good recommendation fix , even call service center tell we'recoming . also give we direction go several destination . patient really want help . breakfast excellent . choice varied food delicious . restaurant staff also friendly efficient . not really great hotel , concierge restaurant staff , excellent buffet breakfast , could give another try . 
 May 29 2007 	 great hotel great location 	 Novotel London Euston bright , clean , new hotel great location , literally next door British Library , three block walk Euston underground ( train ) station . get fantastic rate Priceline , make trip possible . staff friendly , apparent negative implication fact Priceline rate . let check early ( although take smoking room ) , great come overnight flight . lobby beautiful design modern style . one hotel elevantor window outside world nice view part London . room , London standard , spacious , large bed small living area , two television , bathroom shower stall . nice view neighborhood window . maid service timely , flexible regard coming going , excellent . although not eat restaurant ( MIrrors ) , room service cheeseburger make restaurant kitchen , one good ( expensive ) cheeseburger ' ve ever eat . the negative lethargic concierge service . ask concierge help twice . ( 1 ) ask book theater ticket . dial ticket broker , surprise handed phone make arrangement directly broker . ( 2 ) watch battery unexpectedly die , ask could get new battery . answer , entirety : & quot ; probably somewhere Tottenham Court Road , know Tottenham Court Road ? walk along find someplace . & quot ; expect crack open telephone directory web site , find nearby jewelry store , call make sure open Sunday battery replacement , give precise direction store . would tip service , swear . but concierge service minor flow otherwise excellent hotel . would gladly stay . 
 May 25 2007 	 Nice hotel need improvement area . 	 ' frequent traveler go London conference , hotel conference hold full stay Novotel fairly close review read pretty good . as general experience would say hotel nice deliver good price / quality product , however mattress bed really old spring get back time ' expect 225 pound night room lousy mattress really old sheet start show hole it . the good thing need taxi early morning well consider get least 45 minute departure time concierge go street till find available one ' ever London try catch taxi street 8 know ' close impossible . ' understand hotel ( since ' 1 star hostel ) least agreement taxi company couple ready every morning . bad case scenario would least suggest hotel let know guest go need taxi morning consider long time wait course ' one wait there . a nice touch plug iPod mp3 player tv listen music . 
 Apr 24 2007 	 favourite london hotel 	 stay hotel number time never disappointed . it within easy walk distance king cross Euston railway station convenient Covent Garden Theatres . breakfast buffet extremely good value especially book inclusive rate . family room excellent seperate area sleeper sofa 2nd tv . 
 Apr 17 2007 	 Great Hotel 	 really like hotel . 5 minute walk Euston station 10 - 15 min walk away Tottenham Court Road number shop , pub place eat . hotel modern comfortable room light airy great view city . bathroom little small side , adequate . breakfast buffet type wish cooked breakfast , plenty choice cereal fruit , lovely . staff hotel friendly always ready help . ' ve stay hotel London , one would definitely stay . 
 Apr 3 2007 	 guarantee disappoint 	 book hotel considerable amount research hotel feature Superbreaks brochure . specifically require hotel close king Cross arrive Middlesbrough here . the hotel situate 5 minute walk away station indeed St Pancras Euston . location tube around area . hotel situate 30 minute walk away Oxford Street 15 minute walk British Museum . use Tube ( buy Travelcards go ) extremely easy get about . we arrive early 9.30 decide let hotel know arrive leave luggage concierge . pleased discover one room available leave luggage . check quick . the first room twin room back hotel . everything would expect hotel room , kid dive shortbread biscuit straight away . room decorate modern fashion complete flat screen tv Ipod connection . electronic safe cupboard extremely handy . bathroom modern usual supply toiletry . clean comfortable bed . after day sightseeing return hotel , room key available . second room , double , large desk corner position look window could see St Paul 's , Canary Wharf distance . right window could see Post Office Tower . room situate 9th floor . tastefully decorate , comfortable clean . there 3 lift room , middle one panoramic one . top see London Eye Big Ben . also view side build British Museum St Pancras Station . the double room front building side could hear traffic slightly . however , could hear siren go right night ( Saturday ) . Sunday night quiet though . still manage good night 's sleep though would stay again . breakfast serve Mirrors restaurant open plan bar reception area . modern feel excellent . problem get table morning stay . there vast selection food choose , cereal , fruit , yoghurt , sausage , bacon , egg , bean , toast , croissant well usual beverage fruit juice . give table help buffet ( much want ) . food taste excellent well worth . price £ 16 full english breakfast rest buffet £ 9.50 continental breakfast . breakfast include Superbreak price . on evening go Euston Flyer pub MacDonalds tea . supermarket , Starbucks , Pizza Express opposite plus station amply place food . on last day check easy quick . leave luggage concierge day . all excellent hotel hesitation recommend . strength review book glad disappointed . 
 Mar 31 2007 	 Great View 	 husband stay night Novotel . would not rate hotel 4 Star , like 3 . fantastic room , could see London , BT tower Canary Warf , 14th floor . the room large enought , bathroom clean tidy . fall room service brekkie ! ! ! husband order lasagne 11 pm cost £ 9 baked concrete , husband pick hand eat like biscuit ! next morning hope brekkie would different ! nope ! cold skin ! disappointed ! 
 Mar 18 2007 	 consistently great hotel 	 consistently great hotel central London . next British Library , stone throw king cross station . possibily good breakfast buffet town . cheap worthwhile usually cheap Novotel website ( check price guarantee ) . 
 Feb 28 2007 	 Excellent hotel 	 arrive check time able leave bag concierge . arrive back 6 pm check hassle free soon room . the room well equip flat screen tv , hair dryer ( although awkwardly place wardrobe ) , trouser press , minibar tea / coffee make facility . nice touch lead supply able hook mp3 player tv listen music . the breakfast buffet excellent plenty choice : full English , fresh fruit , cold meat , yogurt etc . queue breakfast first morning ( Sunday ) staff efficient organise clearing table show table , ' scramble around try find table yourself . the bathroom bath powerful shower – although frosted glass door bite modern toilet place next ! although centre London , hotel within 5 minute walk king cross many underground line – find useful line close weekend . also close Euston station make handy arrive train . my big gripe hotel hot – even February ! ' heating room sleep window open . room back 8th floor , ' problem little traffic noise . last day , able leave bag concierge return pick catch train home . overall , hotel add pleasant stay London would stay without hesitation . 
 Feb 14 2007 	 excellent location Excellent Rooms ! 	 get room via Priceline.com pleasantly suprise . location Euston Station Kings Cross Station . access tube bus line . hotel also directly across street British Library . check - in great , fast friendly . lobby impressive . room excellent . clean spacious . overlook street , quiet . also impressed ammentie . use shower , work great . small drawback door bathroom semi - clear glass . run first nite . room need nite light . my stay hotel excellent . encounter problem either hotel room . leave peace quiet explore city . find location next bus tube save time money . also nearby shop restaurant expensive ( relative term London ) .would definately stay highly recommend hotel anyone want peaceful stay . 
 Jan 20 2007 	 Room Nice Service unimpressive 	 London business hotel go , Novotel Euston average . recently refurbish common area room clean update design - orient aesthetic modern , yet boring case many staid business property . lobby bright , modern airy , sense light openness evident elsewhere glass elevator large open sitting area flank floor - ceiling window elevator bank floor . perhaps one complaint common area smokiness lobby permeate restaurant , though not problem July 2007 UK go smoke - free . room quite large london standard , though suspect lucke get corner room room not quite big . since hotel recently renovate , furniture appliance quite new include nifty little flat screen tv . amenity good include nice touch speaker bathroom could listen tv radio , wireless internet hop - on hop - off pay option . mean could buy 2 hour wifi time , instead use ( like hotel ) could hop 5 minute check e - mail hop , use rest time another day . bed average room include nice desk area find useful . bathroom also quite nice , though frosted glass door take little getting use . bedroom large size clean . include nice design feature glass sink , modern toilet , glass shower curtain , large mirror wall beside bath tub ( addition one sink ) . location necessarily great whether one tourist business person . convenience King 's Cross / St . pancra station , less 5 minute away . British Library across street , nice , otherwise close major attraction British Museum Bloomsbury 15 minute walk . decent restaurant immediate vicinity neighbourhood seem quite dead night . central london , though thick thing . be willing walk 20 - 30minute get west end every day , not major issue . the service perhaps hotel 's weak point . particularly unpleasant incident , not particularly personable helpful either . even though large hotel 200 room , taxi rank doorman front . inquire cab concierge , tell we hail one street . end major problem ( take 7 minute find one ) still feel good concierge would make offer help . also prove fairly reticent inquire attraction well . value - wise , manage book double room US $ 85 / night priceline , needless say , not complain front . 
 Jan 19 2007 	 convenient comfortable 	 stay 4 night due husband attend training course locally pay special January 2 night stay rate . say pay full price list £ 170 night would mind , excessive £ 89 per night include breakfast bargain . disabled room , need ' walk ' shower , huge . however spite careful keep door close shower shed water everywhere .. make floor , slippery . great someone walk problem . also , ' hotel realise people ' use room purely sleep ? would make great difference stay small sofa room could relax front tv couple hour instead try use 2 rather uncomfortable chair . say .. breakfast ( full english continental ) good , London attraction easily accessible concierge ( ) helpful indeed . room clean day high standard , bed linen change daily bed comfortable ! also pub across road , Mable ' tavern good beer London ( hubby say ! ) way , anyone want info use disabled buggy London contact . 
