great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Apr 5 2009 	 Excellent Site Business Meetings Guest Room wall paper thin ! 	 hold event Grand Hyatt March 2009 . catering manager handle event ( Lori Palencias ) excellent . make fully available go way make sure everything need . mention , hotel good location Manhattan ! everything doorstep , short trip away transit stone 's throw . guest room necessary amenity decent size NY hotel . stay one night , could hear neighbor room . LITERALLY . co - worker stay comment . President actually open door connect two room certain door end must open ( ) . definitely use Grand Hyatt NY business meeting / event ! 
 Apr 3 2009 	 Great Location Great hotel 	 find great deal hotel use TravelZoo . centrally locate , next door Grand Central Station , 2 block 5th Ave . check - in do electronically , easy follow , would nice actually speak someone ! concierge extremely helpful every time go desk area . everyone work hotel friendly , helpful always smile ! seem genuinely happy see we ! elevator separate first 23 floor 24 - 34 , express 24th floor , mean milk run elevator ride . 33rd floor ( near top ! ) fantastic view Chrysler Building ! room comfortable good chair work desk ( lumbar support ! ) . flat screen tv . bed could bit cushier , lot pillow extra blanket want . couple occasion speak housekeep front desk . time question answer friendly way , anything require see immediately . fan bathroom , not big deal . window room open ! : ) vend machine ice every floor every morning newspaper available floor . shuttle service Newark Airport one block away hotel -- 15 $ airport . love stay ! 
 Mar 30 2009 	 Grand . expensive price . excellent Location . 	 stay end January one Lexington Suites . able check midday accomodate . front desk polite friendly able give room excellent night view Crysler Building 29th Floor . room large New York standard , suite expect . bed comfortable room ipoid dock come handy . large 32 & quot ; LCD tv , sit area couch closet . room fine , housekeeping terrible . maid do not bother clean carpet table crum cookie buy . bother change glass use previous night either . fail put new bath content various time annoying . thing bother security hotel , stop one security guy ( probably latinamerican , poor ) ask see proof stay . ignore continue room one front desk people must explained stay Lex suite . do not priceline hotel book straight hyatt.com , feel Hyatt class 4 * instead good 3 * . location excellent though , reason stay . next time NYC stay Intercontinental Sheraton . 
 Mar 29 2009 	 wall thin paper 	 maybe room , could hear people hall next door room . every time elevator came go , know . every time people next door talk , talk . 
 Mar 28 2009 	 Great Hotel 	 girlfriend stay hotel March 6th & amp ; 7th 2009 . first trip city please hotel close proximity Grand central station since take train . staff helpful friendly accommodating . ask view 42nd street get room little dissapointed room clear view street . bathroom rather small room nice clean . bed king size comfortable . 
 Mar 24 2009 	 unbeatable location subway station next ! 	 though ' ve stay numerous hotel New York City , could not happy Grand Hyatt literally next Grand Central Terminal , Subway line # 4 , 5 , 6 , 7 S. stay business need get downtown , Upper West Side , Upper East Side even Queens ; not trouble location ! hotel clean sufficient travel . room small 's normal NYC size . wish Grand Hyatt offer free internet service since pay per day connectivity . room also face Chrysler building , nice treat ! 
 Mar 20 2009 	 highly recommend 	 travel NYC wife 2 night purchase hotel priceline . check staff quick pleasant . room 16th floor view 42nd St . room good size New York queen size bed . walk closet store clothe bag , large LCD tv , small functional bathroom decent water pressure . internet reasonable $ 10 per day work well . room clean nicely decorate . loved fact hotel next Grand Central Station . terrific economical restaurant choose spend money room service . gym open 24 hrs treadmill personal TV 's watch work out . we love location , quick 10 minute walk Times Square ... access subway nezt door .... lot meal choice within block . would not hesitate return 
 Mar 19 2009 	 Good Grand 	 recently stay Grand Hyatt 4 night business NYC . got great rate Priceline . hotel 's location beat . top Grand Central get virtually anywhere need go . room adequate housekeeping hit miss . day never empty trash change dirty glass . , would stay price right pay rack rate worth . good part hotel workout room . one thing beware taxi hotel . need taxi airport hotel one standing . driver refuse put meter ask plan know charge ride , quote astronomical flat rate . illegal scam disappointed see happen city grow . taxi Manhattan LaGuardia airport base meter reading anthe otherwise blatant attempt rip unsuspecting tourist . 
 Mar 16 2009 	 be ok 4 Star 's build 	 ok , great location , give serious prop . mean , anywhere city minute thank 's connection Grand Central Station , hotel ? average . weary traveler would complain escalator check , revolve door not fit check luggage , kind irritate . staff friendly enough lobby massive . impressive water fall . pricelined hotel stick room amazingly bad . Old . 's good way describe . L D. realize Trump first hotel decade ago , feel L D. Worn . cold . Clammy even . everything work room nice size NYC standard , though view air conditioning unit hysterical . 's bad place , 4 star billing . one thing , still charge $ 14.00 night internet . Shame Shame Shame 
 Mar 15 2009 	 cheap bad quality 	 expensive service bid priceline get good price want stay close Times Square . staff service bad . location excellent safe 
 Mar 11 2009 	 great location ! 	 sister choose hotel location . locate right beside Grand Central Station , walk distance Time Square close subway line . room spacious New York City standard . bathroom small clean need update . bed comfortable pillow could fluffier . find room quiet corner unit . 
 Mar 6 2009 	 Lovely Hotel 	 take surprise birthday partner . check swift much wait around lobby amazing . room lovely large bed well amazing huge comfortable ! ! ! bathroom also nice shower good strong also bathroom stock daily soap etc . room service price expensive not order unless willing pay high price . room clean staff friendly . front hotel not hear much noise . high lift quick nice . also going go see broadway show would not recommend get ticket hotel majorly mark expensive . buy New York pass glad save money skip line . location hotel ideal close thing walk almost everywhere hotel rather get cab underground handy 30 second walk grand central station . I can not find fault hotel would definately stay , last day put suitcase store room look porter break handle complain say not like get ! ! ! 
 Mar 5 2009 	 would reccomend hotel would go 	 get back stay 4 night grand hyatt , find good valu4 money , good location , clean , staff helpful , adjoining room could hear everything next door say , go reception tell , say problem put we another room straight away , excellent . location good , would like tea make facility , lovely next central station , noise , handy meal . would go hotel , go Rosie gradyson night make mistake get rickshaw type bike ride , charge we $ 30 10 min ride . $ 6 taxi . 
 Mar 3 2009 	 wonderful Big City Hotel 	 wonderful experiance NYC Grand Hyatt . stay 9 night middle February 2009 . able get hotel Priceline great price . large convention hotel attach directly Grand Central Station . make transporation subway super easy since 4/5/6 line run one side hotel , 7 Times Square Shuttle line get Times Square connect multiple line . never go outside get Subway . also lot good shop food right Grand Cenral Station . hotel lobby gorgeous - come back end sightseeing day water fountain dominate east end lobby treat . staff friend helpful . issue get room Priceline checking - even get free coupon coffee tea lobby snack bar . our room 25th floor . room view speak - look another wing hotel . however , price complaining , since room well appoint clean . also give location - building surround lot tall building , sure many room much view building across street . nice comfortable queen size bed , double closet , desk , 42 inch flat screen tv , chest drawer in - room safe . also chair ottoman . discover backside hotel face another wing hotel mean almost outside noise street ! ! agree comment bathroom small - well organize - see much small NYC ! ! never issue long wait elevator complain - however image hotel comletely full give time year current economic slow . complaint noise hall way , slam door type stuff find hotel - never real bother we . I would never hestiate stay ! 
 Mar 3 2009 	 Grand would like . 	 stay lot hotel may disappoint . not travel lot may happy give positive review . 's see . good Stuff : Friendly Staff , Room size , location , concierge lounge , fast elevatorsthe Bad Stuff : hotel room- dirty stained carpet , mold bathroom , break warn furnishingsIf get good rate $ 200 night , think get good night rest . pay find another hotel . safe travel . ttz 
 Mar 3 2009 	 ` ` nice '' need double glazing ! 	 Wife daughter stay hotel 26th Dec 08 29th Dec 08 Christmas break . Grand Hyatt lovely Hotel , great location get around New York . problem would say hotel , lack double glaze window , could hear everything go outside i.e . siren , car horn , truck , etc even people shout . first night earplug every night . shame really , room lovely clean , bed comfortable . hotel staff friendly enough approach . hotel restaurant quiet expensive , lobby coffee bar reasonable well stocked . would probably stay , without earplug ... 
 Feb 27 2009 	 Great Location ! 	 stay grand Hyatt New York 4 night December 2008 ... first , New York great city , 3rd trip girlfriend 's 1st , 's much see stay Grand Hyatt make easy thank fantastic location . 's well locate downtown , short walk 5th Avenue Times Square . long walk Central Park , be ok walk around New York , right ? lucky upgarded suite thank friend mine work Hyatt Group make reservation we , would guess quality furniture , fitting , bathroom equal throughout hotel . quality top class . if downside , hotel big , make lobby crowd busy place time , love multi cultural nature New York big place mean hear different language every day lift ... another downside cost addition , wi - fi access room $ 10 per day Starbucks coffee deliver room work almost $ 15 include room service charge , ' m scrooge clearly be ridiculous , morning walk neighbour Grand Central Station source necessary morning kick couple buck ... use gym every day , well fit never busy . room great , overlook Chrysler building 17th floor . room well clean every day good size . , extremely satisfied , , base tour New York , Grand Hyatt excellent choice . 
 Feb 26 2009 	 Great Location 	 stay kingsize room 22nd floor room 2207 . room decent size , bed comfortable , bathroom small date adequate . lack tea coffee make facility something management hotel need get sort . New York cold place February not think alot provide , take note management ! ! 's difference get repeat booking . not experience noise room usual corridor noise even not bad . could not really hear street noise either great . stay bad hotel New York pay good money pleasantly surprise time . Tina concierge helpful . overall good experience . 
 Feb 25 2009 	 Excellent staff accomodation service ! want nothing . 	 first , staff ( evertyone ) helpful , friendly , courteous , accomodating , would think guest hotel . building , lobby , room , accompany facility excellent , clean , well maintain . look wonderful stay four star hotel midtown Manhattan , look . would recommend everyone . 
 Feb 24 2009 	 good location average quality price 	 Platinum Hyatt Gold Passport member stay fair share Hyatt property around world . Grand Hyatt New York bad date . deluxe king room decent size , old , worn , dirty noisy . housekeep far par sub - standard room clean take place day - even complaint make management . beware end connect room soundproof room exist . money , would suggest try find another hotel offer well value . 
 Feb 23 2009 	 Great Room Price 	 stay Saturday night $ 105 via Priceline . call rollaway fridge travel witth toddler . come within 10 minute - charge . call downstairs 10 pm neighbor blast music - hear elevator - hotel respond immediately . think wall thin , price location serve need . bathroom small , expect NYC Hotel . expect know Manhattan hotel . 
 Feb 23 2009 	 Excellent hotel great location 	 stay 6 night big double bed room queen size perfect.the people friendly helpful . room clean great view Chrysler building . close Times square 10mn walk , next grand central station , convenient . I recommend : breakfast Comfort Dinner ( 44th street one block right post office . dinner : Metro café street hotel 500 m direction Times square . 
 Feb 18 2009 	 Room noise loud 	 Book hotel Priceline $ 122 plus taxis . bad deal , know hotel would book 3 star would save $ 40 . book 20 night year Priceline.com high end someone pay star rating . hotel little noise insulation hear every door slam noise room next door . require parking suggest central parking 213 East 43rd , 3pm-3am 8:59 $ 11 plus tax . make sure go past 9am rate soar $ 50 . 
 Feb 17 2009 	 great location great price Priceline ... 	 book room Priceline $ 128 night long Valentine 's Day weekend . expect large room bathroom NYC . room small , queen bed fit perfect . bathroom small , able get ready problem . problem hear neighbor hear street noise ( 15th floor ) expect . staff friendly , maid service start early though ( 8 ) make sure put privacy sign not want bother early . get hotel pay $ 29 via cab eleven pm . Grand Central Station great next door , good food choice subway . would definitely stay price . 
 Feb 16 2009 	 lovely stay downtown NY 	 expensive fabulous stay town NYC Christmas time . 
 Feb 13 2009 	 Better Experience Year 	 stay teenage daughter 2 night discount , conference rate equal one - half retail rate . year give much large room ( still 2 double bed ) , bathroom far comfortable attractive . friendly helpful staff . negative breakfast deliver early one morning , even awake . 
 Feb 12 2009 	 pretty nice right price 	 great deal Manhattan- $ 129 night Priceline naming price . nice lobby , great location , nice room . large NYC standard . complain thin wall room- could easily hear neighbor ' alarm , cell phone , etc . 
 Feb 11 2009 	 good location ! ! ! 	 stay hotel January 2009 , husband two child one bedroom suite . it short walk away Times Square connect Central Station - can not beat location . the room big NYC comfortable . concierge desk helpful direction . we love New York love hotel . clean staff bit noisy early morning . 
 Feb 9 2009 	 Decent pay full price 	 ' ve stay three time last month . twice business pleasure . every time , book priceline . location good room pretty nice NYC . issue stay twice business wall thin . wake 5 be someone else 's alarm first time . second time , woken 6 be someone else 's tv blaring . finally , stay husband couple night weekend . time , room clean . actually fece shower curtain next toilet . also part wrapper pillow . since move room since mistakenly give we smoking room first ( quick switch we though ) , not energy again . give , may decide try different area use priceline next time . ' m really thrilled hotel would rate 4 star . 
 Feb 8 2009 	 Good Location 	 hotel stay within Manhatten find one good location .. next door magnificent central station within close walking distance Times Square , Central Park , Empire State Crysler Building . I ask high floor room that s get .. room not brilliant view stay one night intend spend alot time inside not bother . my room spacious walk - in wardrobe ( Iron ) .. bathroom also good size hairdryer , lot hot water complimetary toilertrie .. would nice coffee make facility room could buy lobby want to . there wireless internet access ( extra cost ) T - mobile not manage connect . there good air con system room .. first time age manage get good heat balance hotel . I not eat - in hotel always think many place eat outside .. usually ( big ) breakfast Park Cafe 7th Avenue .. breakfast last day ! lobby impressive facility quick check - in .. ask extended check - out willingly let room 1 pm ( normally 11 am ) .The hotel also car ( charge yellow cab ) .. use one get airport find bit comfortable . if visit hope enjoy stay ! 
 Feb 7 2009 	 love hotel 	 hotel nice good location . right next grand central station time square 10 minute walk away . room really nice clean bed really comfortable . complaint could hear people room next door . also make mobile call 20seconds room try charge $ 20us . staff friendly nice always willing help , . 
 Feb 4 2009 	 Dull - much well alternative NYC 	 good location find hotel little dull uninspriing pretty date . cheap either think well place stay nearby , like Bryant Park . I would not stay choice would not upset business . 
 Jan 30 2009 	 Best Location New york city 	 Hyatt New York offer update technology check check . also receive information via email prior arrival . say large hotel service outstannding . lobby wonderful spacious . offer starbuck good choice . phone housekeeping find efficient cheerful voice end . hotel staff seeeeme happy every question answer satisfaction . quality bathroom 3 star offer counter space tiny , horrible toliet tub . room 4 star standard . location price certainly stay hotel maybe next time ask different room cat . 
 Jan 29 2009 	 great choice fantastic location 	 huge hotel huge city maybe impersonal , love . anywhere city look beautiful Chrysler building know far away hotel -- whether close enough walk take cab . love look outside window see famous landmark . window bit leaky cold air , fastantic heat keep room toasty cold night . room clean every contact staff mamber friendly helpful . hear nothing neighbor street . famous Oyster Bar next door Grand Central Station miss . great city ! 
 Jan 25 2009 	 Felt like Camping 	 stay 27th floor . Room look modern small side 's normal Manhattan . room adjoin someone else loud night long . bed 3 year old tell get cell phone . room next door talking hear ! could literally hear every word speak stranger . also hot water shower break . ask move next night . 25th floor room corner room 50 % large ( charge ) . night long , could hear people across hall scream hallway . wife yell bed one point quit . hotel staff friendly , hotel sound proof . even 27th floor hear siren horn night long . location perfectly central . overall , stay restful perhaps try different hotel . I stay Raddisson Lexington last time , room nearly nice , hotel quiter . also valet try charge $ 110 upon checkout parking have already pay . 
 Jan 24 2009 	 great location ! 	 location hotel fantastic . 's meter Grand Central Terminal . price good , NYC ! room small , well decorate clean ; comfortable bed / pillow . hotel charge wireless internet access room . 
 Jan 23 2009 	 Impersonal 	 stay business . glad coin . location good room decent , size hotel render pretty impersonal experiecne . elevator always pack ( point people stuff we ) take forever get one , floor . seem inumerable bus group . line anything ( check , baggage check , cab etc ... ) long . never see staff member . real problem individual staff member , think matter scale . NYC amazing city people generally friendly - consider size . Hyatt feel run mill place . 
 Jan 23 2009 	 Excellent Hotel every way ! 	 excellent hotel fantastic location Manhattan . hotel directly beside central station , take tube manhattan ten minute walk fifth avenue , braodway etc . lobby beautiful , marble interior , staff enough help . room great size , large kingsize bed , flat screen t.v . , good sized bathroom . would definitely recommend hotel term location , luxury service . 
 Jan 22 2009 	 great location 	 stay Grand Hyatt 3 night 1st Jan ' 09 – 4th Jan ' 09 . check early , room ' ready left bag go explore . ( free , $ 2 per bag charge service check ) arrive back room still ' ready , go coffee , return room still ' ready , change we different room – type , one clean , upgrade ! room nice , nothing amazing , 2 double bed , tv , desk bathroom . clean comfortable . good part room outside window Chrysler building , thrilled ! hotel great location – sandwich Grand Central Station Chrysler Building , lot restaurant , cafe etc around . although warn café right opposite hotel ( forget name ) expensive great either ! hotel grand ( hence name guess … ! ) lobby elaborate ever see , spread 2 level fountain light everywhere , plenty seating . 10 lift never wait ! also lobby ticket booth book Broadway show etc aswell coffee shop shop ! problem purchase phone card ring England ask reception use room , say $ 1.50 first half hour per call many cent , next morning push bill $ 100 door ! went complain say due code use , word manager getting involve cancel charge we correct price $ 10 ! aware plan stay ! would say great hotel , due location , get quite " cheap " via hotelclub , I m sure would pay full price stay , say , enjoy , room comfortable great base trip . 
 Jan 21 2009 	 Great Location 	 hotel locate next Grand Central Station nice . central location make cab fare destination inexpensive . staff friendly able provide information site train travel . however room small dusty . could literally see dust phone nightstand . hair dryer dust lint build fan . shower strange smell . menu price rediculously high . mention valet parking $ 55 every 24 hour ; discover later evening . take car parking garage across 59th street bridge able pay $ 11 day take train back hotel . check cab ride back car $ 13 total $ 57 compare $ 220 valet . 
 Jan 19 2009 	 great weekend 	 arrive late hotel problem arrive airport , room available upgrade large room . room great view onto main road high , effect road noise could complain . size room great sit area large tv . bed good large size wife . breakfast hotel expensive cafe across road great . also find bar price expensive , use night arrive late go look bar . would go back hotel great location reception staff great . also hotel clean tidy times noisy . 
 Jan 18 2009 	 lovely hotel - close everything . 	 little apprehensive arrive hotel previous review . arrive 27/12 stay 10 nIghts . holiday husband two son girlfriend one son . three seperate bedroom 26th floor . room clean small review state . bed comfortable . room clean everyday . staff always helpful reception . hotel idealy situate sightseeing right next Grand Central Station . really could fault wish still ! New York wonderful city visit , people friendly view spectacular . can not wait go back ! prepare walk mile good way see everything . go usual trip , Liberty Big Apple Helicopter Trip , Spirit evening boat cruise meal , Movie Sites Tour Hop Hop bus loop . visit Ground Zero move . also recommend Gordon Ramseys London Restaurant - food amazing . well worth extra money experiance . wonderful time ! 
 Jan 18 2009 	 like ... 	 stay long weekend Christmas , already mention find hotel really good location ( although NY really easy get round matter stay ) .The lobby lovely look quite classy ( love Christmas decoration - really tasteful ) restaurant overhang entrance serve nice food lunchtime really enjoy ( albeit somewhat elevated price ! ) .We find room good size ( Club floor ) - bag room even though extra bed daughter . bed really good ( include extra one - nice ' proper ' mattress ! ) & amp ; boy need go heavy cold / mild flu ( typical ! ) .The club lounge somewhat small & amp ; lack ' character ' serve reasonable breakfast ( really not like coffee machine - feel bit ' motel ' like - really expect sort service ) .So nice comfortable hotel short stay - ' but ' ? well , customer service exactly consistent . problem room key arrived & amp ; take trip reception sort ( club concierge near room let know not problem - nice day ! ) also take 2 request & amp ; another trip reception ( yes , guess club concierge smile ) get extra bed set room even though ask one book . I say , however , service seem depend individual second day lovely lady club helpful . my second ' but ' refer bathroom - OMG small ! ! also notice although generally clean superficial way ( ie dirt behind thing ) - yes know that s picky cleanliness important & amp ; find someone ' use ' sock move chair room kind start question thing . anyway overall good stay would probably look stay somewhere else next time . 
 Jan 14 2009 	 Love central 	 hotel live standard . moment walk , welcome grand lobby . around Christmas time , decoration lobby really make feel festive spirit . reception quite efficient processing , give number people come hotel . staff maintain friendliness well , even time difficulty . really commendable . room get great view , corner room . apparently Deluxe Room , slightly large Standard Rooms offer . much appreciated . room big , bathroom also spacious well . room modern furnishing , big flat screen tv . large desk also available use need . amenity provide bathroom also top quality , always appreciate . bed also comfortable , make ideal come long flight like . fitness centre top floor hotel . make great view good motivation go gym . hotel couple bar restaurant well , plenty thing entertain you . the hotel 's location probably be good asset . hotel right Grand Central Station , mean easily accessible mode transport . shuttle bus airport stop right front Grand Central Station well . matter mode transport taking , except plane course , easily get hotel . couple block 5th Ave . Taxis cheap need get anywhere Manhattan since central location . definitely worth come back ny . 
 Jan 14 2009 	 location location location ! ! ! 	 hotel perfect long weekend getaway NYC . nearly top grand central station , walkway go grand central , indoor . easy cheap get JFK , hop air train , , 7 line . want see everything short time , stay . room clean , nice new york standard , bed comfortable pillow . lunch oyster bar station . dinner tavern green . , well romantic lunch , go cafe sabarski , 5th across central park . place cheap , lovely . nice place drink champagne , eat german food , view park . perfect trip ! 
 Jan 14 2009 	 nice place nice city 	 stay christmas week . location absolutely superb ! grand central literally next door go anywhere subway . cab also well available front station.lobby quite grand indeed . lobby staff nice without special . get needed.standard room 28th floor much view . super comfy european hotel , feel quite ok . without double window bit chilly breeze get effective heating help we bother we . read lot noise problem bother . hear bad noise first place . sleep like log every night . room clean every day always clean . big tv safe room . different room clothe great ! I - pod dock radio good one , use every day.had one breakfast hotel good typically NY hotel , overprice . eat meal hotel.booke hyatt.com 199USD without fee taxis . ok price hotel quality . recommend one look prime location risk free , basic accommodation . 
 Jan 14 2009 	 well exceed expectation 	 review read prior stay , expectation high decide nothing else would central base week New York Christmas New Year . however , moment step cab outside hotel greet pleasant smile staff end stay . hotel lobby busy quite impressive . arrive early check offer room straightaway . room decent size ( bathroom compact absolutely fine ) , clean well lay walk wardrobe . king bed comfortable . clean staff seem efficient . lucky bother external noise ( ' m quite light sleeper ) .Location hotel could not well , right beside Grand Central passageway link hotel station . we not dine hotel restaurant bar although pleasant , nondescript . both check check efficient . all enjoyable experience certainly stay . 
 Jan 12 2009 	 grand hyatt nyc 	 everything enjoyable hotel , except housekeeping staff . one occasion bed properly make , bathroom floor neither sweep mopped whole stay ( week ) . whole location brilliant room reasonable size one city . 
 Jan 12 2009 	 Loved Hyatt 	 spend New Year Hayatt think excellent . wow factor enter hotel foyer cover mirror nice waterfall feature . check good , polite staff . stayed 30th floor business suite comp breakfast . room huge huge comfortable bed . downside tea cofee facility . price high room service . ( use starbuck next door take ) . Maid service great . problem noise except New Years morning 4.00am expect . continental breakfast ok $ 3 upgrate fruit cold meat $ 8 upgrade full well worth . great view breakfast restraunt , easy un - rushed atmosphere good food endless coffee . enjoy stay would deffinately go back recommend . downside holiday New Year Times Square , cold , badly organise worth 9 hour stand food toilet . 
 Jan 11 2009 	 well usual 	 vast improvement recent stay ( company - approve business hotel ) . front desk coffee shop staff definitely happy , friendlier less surly past visit . room clean , yes , cup room service coffee $ 9 ! ? like someone else mention , ask stay high floor , , particular , one side room overlook Grand Central 42nd Street . seem light spacious room . if transit NYC night two rate good , Hyatt quite ok . 
 Jan 10 2009 	 Excellent location 	 great New Year break hotel . entrance hotel impressive . service excellent staff meet friendly , polite efficient , room decent size , comfortable king size bed . room also armchair , desk , tv walk wardrobe . bathroom little small perfectly sufficient need . room decor typical & quot ; hotel brown/ beige & quot ; probably need makeover . room bathroom clean maid service excellent . review mention potential noise due thin walls- problem we , see could noisy neighnour etc ( new year hotel v busy full ) - would say avoid room near elevator vending/ ice machine . minibar , room service prompt good standard . hotel bar great atmosphere comfortable good service . lot option nearby breakfast etc- there s good food court Grand Central Station . Michael Jordan Steakhouse decent restaurant station ( cheap ) Times Square etc 10 - 15 minute walk away . location hotel great provide easy access sight ( even novice NYC taxi driver know Grand Central ! ! ) .I would return hotel would recommend subject note advice . 
 Jan 5 2009 	 nice huge hotel ! 	 lovely Christmas stay , check great , lucky enough Hyatt point card holder give club suite 31st floor , great view city . also access club lounge serve good continental breakfast , afternoon tea evening snack . room large sit area bathroom quite small , clean service excellent . hotel huge , ' ve never see many people foyer many lift ! plenty staff help direct . fantastic location , next Grand Central Station , free ( yes thing free NY ) walk tour Grand Central 's Fridays 12.30 meet Whitney museum SW corner 42nd Park Ave . this 4th visit New York say 's wonderful Christmas decoration , Christmas market ice rink . Radio City Christmas spectacular fantastic , buy ticket box office day show save ridiculous online extra charge . overall probably good hotel stay New York 
 Jan 5 2009 	 Great Location NYC 	 go New York Christmas two girl 5 day . fantastic first time NYC . good thing Grand Hyatt central location fact next door Grand Central Terminal , cab driver know . hotel , entrance lobby spectacular desk concierge helpful . however , sadly common , guest room far cry elaborate public area . basic , pretty small frill . bathroom tiny . hairdryer , iron ironing board . fridge , kettle coffee maker however , room service astronomic suggest take travel kettle tea / coffee supply . room quiet warm , problem . breakfast Christmas day hotel , big disappointment , food cold , daughter find hair scramble egg , queue people come street ( special treatment give pay guest ) . cost £ 100 3 we basic cook breakfast pretty laughable . across street Pershing Restaurant serve fantastic breakfast , comes highly recommend , however costly , £ 50 3 us fab . pancake . tell New Yorkers grab bagel coffee Starbucks , every corner . apparently tourist pay expensive hotel.restaraunt charge breakfast ! back hotel , room service good , leave tip maid day . ask thing forgot replace , shampoo etc . take LOADS $ 1 dollar bill , everyone tip . 's example $ 1 bag , $ 1 - 2 day chamber maid ; 15 - 20 % tip meal ; 10 - 15 % bartender ; cab driver 15 % fare . Christmas day dinner Benjamin Restaurant , steak house within short walk hotel . steak BEST ever taste . meal memorable . classy restaurant highly recommend special treat . concierge book . allow $ 45 + per person steak plus side $ 9 . weather - freezing ! underestimate cold NYC winter . wear thermal thick tight , hat thick scarf / glove must . lot New Yorkers wear North Face clothing , especially long coat , cold . sell ear muff $ 2 ( NYPD wear must consider ok ! ) must want keep ear drop . lot guy wear dear stalker hat ear flap ( nice ) . wrap however , sensible boot , happily trudge everywhere ( ny grid system easy follow - take pocket sized street map ! ) get subway taxi tired . here link help plan : [ - ] take full day tour ( 5.5 hour ) Board Tours , great day see much . highly recommend tour company . professional tour guide , lot get bus see site , include staten island ferry crossing get great view Liberty . tour leave every day Times Square . [ - ] also make sure go Empire State Building include NY Skyride , great . if want go shop ( not - 50 - 75 % sale everywhere ) Macy be great . unlike rest US , New York woman slim side , size NYC US small = 6 - 8 UK , medium = 8 - 10 UK large = 12 - 14 UK . big need look ' women ' shop Macy 's Old Navy great shopping SOHO . ( blend uth HO uston Street , relation SOHO London ! ) . also town ( 1 hour away ) shopping mall suppose great . ask concierge . also go China Town famous NY ' knock ' designer handbag . - great city . next time plan stay somewhere cheap , pay swanky entrance lobby room NYC small ? ? fabulous time do not forget try Cosmopolitan cocktail SOOO Sex City ! ! ! 
 Jan 3 2009 	 good Hyatt .... 	 use point stay guess can not complain much . hotel fair . good part 's proximity Grand Central Station , literally right next door . upgrade & quot ; large & quot ; room guess large NYC standard . room clean , however typical upscale Hyatt . next morning call room service try order 3 cup coffee ( pot ) 3 croissant . luckily ask much total item menu . come back charge $ 75.00 ! believe ? reason would stay location business east end area , close train . 
