location 	 hotel almost everything would want semi - budget boutique hotel - fantastic location , great room reasonable cost . thing miss - computer internet access ( though free wifi ) , decent breakast , minor quibble . water pressure not great noisy - not stay be light sleeper ! staff not especially friendly aside , price , be great place day san fran . 
 Oct 18 2005 	 not Count 	 sound like fun interesting place . make reservation travel website . three day arrival reservation get cancel -- ' water / construction ' . sound strange . call hotel ( anonymously ) ask reservation night . problem . moral story -- basically , hotel cancel reservation sell high price someone else , not decency tell truth make story water problem . find available room San Francisco Friday night three day arrival . 
 Sep 9 2005 	 Unique Hotel Stay SF 	 enjoy unique artwork lobby , hallway room . staff friendly helpful . bagel morning great . room quiet restful . bed comfortable . hotel close enough financial area could walk office . 
 Aug 26 2005 	 artist 	 stay Hotel des Arts promise . paint room absolute delight - test two - different exciting . desperate see would happily spend night 7 night different one . catch tantalise glimpse art work adjacent room elegant venetian blind - enough make want visit , not go arrest peeping . luck would one female guest allow see room reciprocate manager owner show artist visitor around rudely invite & quot ; take tour & quot ; . finally , change room leave bag one suite , small perfectly form . the bed amongst comfortable experienced hotel ( home ) - big fluffy pillow lean back enjoy painting . cleanliness beyond reproach love bathtub foot . staff friendly efficient , make we feel belong remember name , room in / move to . the music lobby lift great . complimentary breakfast simple ample - choice bagel usual cream cheese / butter jam / orange juice coffee / teanow , soon get back SFO ? Hotel des Arts .......... 
 Aug 26 2005 	 would stay 	 Loved ! ! unique concept decor hotel make stay truly memorable interesting . staff manager amicable help check even though misplace travel document take find . continue helpful friendly throughout stay well , make satisfied service interaction . room stay paint room pleasant pastel yellow , orange white , bedding clean tidy . surprised hotel 's website expect hotel live glossy photo put ... however , much impressed art room , general presentation everything else within hotel , simple yet unique . location hotel also convenient within walking distance everything want see San Francisco . 
 Aug 25 2005 	 Perfect Little Hotel 	 be big fan large chain hotel really love location hotel ( Bush Grant ) . hotel small , personable , unique . art great , find walk floor look painting plaquard outside room ( take like 10 picture room alone ) . definitely recommend ask paint room . room great bed extremely comfortable . bathroom antique feel ( claw - foot tub ) . staff friendly overall experience excellent . girlfriend definitely go back . 
 Aug 22 2005 	 reasonably price convenient 	 enjoy uniqueness hotel . room & quot ; surface & quot ; clean could stand & quot ; deep & quot ; clean , layer dust behind bed , carpet dusty . staff reasonably helpful not go way . appreciate son small room next ( love ) . refrigerator microwave definite plus also . room kind noisy street traffic . can not beat price location not intend spend alot time room . 
 Aug 19 2005 	 room 205 haunt ? 	 pretty good experience hotel . not impress 3:00 check time not arrive early . overall stay pleasnt thing could better 's staff 's fault . staff rude & quot ; breakfast & quot ; time let wife little 9:30 's supposedly . take couple pic room weird orb 's float arround pic . last night people arrive make big rcket 1 morning totally respect anyone . staff take care though . 
 Aug 9 2005 	 minimalist sure ! 	 old dirty . room carpet dirty . sink bedroom old , right side spigot strip , soap dish rusty . bedroom window open ventilation could hear person next room snorring ! bathroom hall dirty . place leave use towel ( bring room ) , leave use towel bathroom still next day , along use soap bar people etc . would stay hotel . 
 Aug 4 2005 	 Perfect lifestyle 	 not look anything fancy since know have town rather hotel room trip , place fit we perfectly . creativity abound , minimalistic style tasteful artistic , bed comfortable , amenity describe . youthful energy hostel privacy hotel . could not design suitable place . 
 Jul 29 2005 	 cheap 	 need place sleep five hour hotel unbeatable deal $ 59 night . bed clean comfy . iron room convenient . concerned share bathroom first clean never wait . high maintainance person look place sleep . 
 Jul 28 2005 	 besides blood SPLATTER WALL ! ... great : ( 	 need say ? ! time arrive friday sunday check . blood slattered wall room ! rm 306 . design room splatter effect . blue , yellow , black white . RED ! make aware problem right 1st see room friday night . still fail correct issue . seem importance . finally get agree comp one night stay , thruday follow week . week later , I m still await call back general manager Hero . I ve leave several message w/ ! ! ! ! thi customer service skill horrible ! wait line complain ! overhear front desk rep tell woman another compaint ! & quot ; well , be not yesterday , that s problem ... & quot ; unbelievable ! maybe problem resolve quickly would able give well review hotel , since dealle w/ issue entire stay ..... stay risk . 
 Jul 27 2005 	 clever concept stuffy room noisy 	 look much elegant website . clever decorate air conditioning room stuffy . small fan would ' ve sufficient . open window air hear every little noise room . fun not need alot sleep , cool place stay . kid old folk . 
 Jul 21 2005 	 love ! 	 love Hotel Des Arts . love old , honest charm , beautifully paint room , wonderfully antique ( though sometimes cumbersome ) lift , even simple breakfast bagel tea . the staff friendly , room clean comfortable , even microwave , major plus point me.i love radar hotel . be like make hip discovery . the price reasonable . would definitely reccommmend . fact , hope feature hotel architectural design magazine , ISH . 
 Jul 19 2005 	 Room 310 .... average witchcraft room 	 ' m go two review stay two room Hotel . overall , hotel charming well locate . be close Chinatown Union Square , within walk distance many good restaurant . staff nice really helpful . the first night , stay Room 310 . upon enter , think , & quot ; Okayyyy , kind creepy . & quot ; art kind dark , make room . bed paint dark mountain ( maybe ? ) six hand reach darkness . think look like palm reader 's hand , make think witchcraft . circle look sort like american indian dreamcatcher . dark , creepy , overall could live . bathroom old dirty . medicine cabinet would open , sink old fashioned kind two separate spigot hot & amp ; cold water plug drain . bathtub not good , either . , could live , except painting look like alien SKULLS around perimeter room ! ! ! imagine stare business ! good , though , closet . open closet door find face look -- large scary face devilish red eye , face sad eye , look like be regurgitate something ( suck someone 's soul ) . right large profile face , background hillside many ..... little .... crosse ..... , kind look like cemetery ! imagine ! could not change room first night fully book . however , manager ( Hero ) accomodate manage change Room 210 next night . upon stay 210 , realize 310 microwave , thing 210 . guess base review stay Room 310 , would say like descend bowel hell would hard press make stay . needless say , sleep light night . review & amp ; photo Room 210 tell different story ! 
 Jul 14 2005 	 run away ! run away ! ! ! 	 horrible experience . website completedly overstate hotel . even great sell - job website , still try low expectation know hotel likly old price & quot ; good true & quot ; .Despite lower expectation , appaule . handle old , old dirty . gross . think underpriced value turn overprice hostel . the website suggest shared bathroom every room . turn one small shower two toilet per floor -- need thorough cleaning . I receive paint room check . unfortunately , not art . like see horror movie police enter vacant apartment serial killer -- dark frankly scary . also , odor oil - base paint overwhelming ( room 405 ) .fortunately , able move unpainted room , unfortunately , filth continue . wear shoe slipper entire time carpet bad . small sink room one old - fashioned ( certainly original hotel ) sink separtate water spout hot cold . drain stopper water could mix -- regardless , would not use stopper sink dirty want touch water straight spout . alas , elevator service walk spiral staircase luggage cherry top quite experience -- thank goodness two night . 
 Jun 30 2005 	 Hotel Des Blah 	 guess will get fact experience . aware one shower per floor . two bathroom per floor . 's true overpriced Hostel . also , A / C , crack window open , screen , worry open window alley full trash bin ( bug crawl ? ) . along trash bin outside window shady massage parlor ( business work alley entrance ? ) . room impressive , old furniture , & quot ; paint & quot ; room paint white blue , even plastic chair paint white blue , suppose convinced & quot ; art . & quot ; actually embarrassed mislead website . get , immediately sheet change , since soil . mention housekeeper ( change sheet ) read review hotel ( bed - bug , sheet , alley ) , hope well experience . minute later , walk hallway take shower , overhear report front desk manager , negative manner . course , point , bad guy ! , redeem , inform manager review read , tell hope wonderful experience . ignore respond . even call month ahead time reserve paint room , suppose , get simply say & quot ; sorry . & quot ; not get hope get one room mislead website . 's good hotel however location , central shopping public transportation . also excellent new wine - taste lounge around corner enjoy . ask Joel , great . aside location nice - look lobby , not come high expectation , remember bring flip - flop shower , know park $ 24 dollar day . not expect friendly staff ( include housekeeper ! ) . many hotel vicinity , would suggest scout around decide Hotel Des & quot ; Artes & quot ; 
 Jun 30 2005 	 ok dirty 	 design hotel original price reasonable . however major problem bathroom . old acceptable , clean something not do correctly like month . dirty greasy soap rest allover bathtub sink stay change towl never clean . think take care really like hotel friendly staff . 
 Jun 29 2005 	 everything good ..... 	 wife live Des art Hotel two night , make comment , are:1 . reasonable price2 . unique decoration3 . near China town , Union Square4 . comfortable bed5 . clean , tidy room6 . vendor machine inside hotel7 . polite , helpful staff8 . rare anitique ................ passenger lift9 . need morning call , could get every day 0400 truck collect garbage ( punctuality -- -- good ) 10 . could hear every sentence back street someone come pub ( 24 hour ) 11 . fortunately , ghost appear12 . unforgettable memoryanyway , wonderful trip San Francisco , thank Des art hotel give place sleep . 
 Jun 27 2005 	 Best Little Live - in Gallery Town ! 	 's interesting see review differ one traveler next ! believe 's difference reviewer , difference experience . turn stay aproximatelly time previous couple reviewer seem quite differing experience . think Hotel Des Art great . fun much art around friendly staff great . David DeRosa design room find exhilarate return day one kind special room inste old usual decor run mill hotel w/ personallity . also sneak peak Artist Painted room excite extensive { every 3 month } change art five floor 's hallway lobby . last reviewer state Elevator - not true maybe somehow not see classic small equally decorate Otis make every floor . night construction go night across street -but turn city would alow foundation concrete work take place hour busy main traffic artery ( Des Art control & amp ; greatly apologize ) . would stay hotel much large rate fact inexpensive great location definately plus . eventhough hotel right across entry Chinatown choose food cuisine limitless within block . centrally locate make easy get anywhere well travel city . pleasent hotel great artistic flair . negitive could comment initial lack customer baggage stowage check - in / out . many hotel ' ve stay put bag safe place will not able check early , upon early arrival staff tell could leave stuff totally open , lobby { many people } not ( easy someone else lift stuff along ) . lugged , hour , make plan stowage w/ 10 hour check & amp ; depart flight . yet , find day desk person weekend person happy lock stuff empty room lobby ocupie . well - guess depend be look get travel experience Des Art definitely big plus great trip city . look forward go SanFran soon stay Hotel { & amp ; check another paint room } . 
 Jun 27 2005 	 good value centrally locate 	 hotel des art pleasant affordable . mural room unique . place euro / urban vibe . 's & quot ; point . & quot ; fancy bathroom huge luxury suite . 's great value want stay somewhere clean , affordable , central unique . not expect fancy , schmancy linen chocolate pillow . find interesting artwork , fascinating guest , continental breakfast , internet access , double - pan window ( sleep like baby ) friendly staff ... elevator . room pretty small , be sf , want , stick hotel room matter great . want pamper , treat like be spa , pay -- -- -- -- hang hotel room place . be art lover , urban dweller , not - freak share bathroom , budget lover san francisco , hotel des art perfect place chill . 
 Jun 25 2005 	 like like sort thing 	 go SF business , arrive weekend ahead & amp ; find accomodation day . snobby , overprice town , relief find unpretentious bastion reasonable rate Hotel des Arts . room not huge , clean . AC , could open window . art charming , staff helpful , whole place bohemian feel , little like roughing , iron closet . 
 Jun 20 2005 	 even funny 	 husband go California June 2005.I find Hotel Des Arts Expedia picture look like lot fun . hotel remind husband art major struggling make life . begin , hotel elevator .... fine we . second , air conditioner room , tell , say would bring we fan basement . walk room , artsy ... tad old . bathroom throw we edge . old think sure bathtub would function . shower curtain beyond old . basically take shower flip flop whole time . truly expect . would stay Triton right around block . bet air conditioner ... 
 Jun 19 2005 	 nice little hotel friendly people 	 stay hotel 5 night room share bathroom . clean white bed invite good night sleep . cute setting , character . good price safe place close Gate Chinatown . great location . the room small , one go San Francisco sit room anyway . want quiet place , ask room 5th floor , take stair take old fashion elevator . good price San Francisco good place clean safe . 
 Jun 14 2005 	 art good part ! 	 unusual little gem urban heart . monthly art exhibit , complete djs , true highlight ! stay keep hard earn lettuce pocket , splurge dinner La Central next door . loved ! 
 Jun 14 2005 	 Perfect base 	 love hotel - exceed expectation - clean , quiet central , charming room ok facility . electricity , tv bit wonky time not spoil pleasure . great contrast ' chain ' hotel ' ve use . fantastic value . 
 Jun 13 2005 	 Noisy Noisy Noisy 	 start , hotel problematic . fault though . major construction go across street , lot noise start 6:30 . 's lot traffic noise well . give room right lobby , face busy street . since lobby , hear every time someone come place . ring bell street level get buzz . hear . one bed cram close window , almost fall everytime need go . big complaint light bathroom . be cover red tissue paper , everything glow red . kind hard get feel make - up look be bathe red . pretty good deal , surprised find parking not include . fact , quote 3 different price trip . one on - line , another arrive , third ( high ) check . still not know 's . think , base information would read reservation website . not bother continetal & quot ; breakfast & quot ; . meager . even tea water tea choice bad . Luke warm water Lipton ! ? ! bottom line - will look elsewhere next hotel . 
 Jun 5 2005 	 charming hotel ! 	 fantastic hotel budget conscious traveler . art super cool feature , something not find many hotel . fill comforter . room small , typical San Francisco hotel be travel two people might recommend get suite . 's lot money extra space invaluable . CLEAN hotel . paint fresh , room recently renovate bed comfortable . staff friendly helpful . service high priority . location fantastic . 1/2 block gate Chinatown 's easy walk transit station without climb infamous hill city . 
 Jun 4 2005 	 Great Location ! 	 location Hotel des Arts without doubt highlight . hotel basic ; clean small quaint european feel . rate inexpensive one expect restaurant swimming pool . step hotel neat little irish eatery pub right starbuck leave . right across street diagonaly China Town Gate mark entrance China Town . way right street buisness distric Transamerica Building . like nice walk major San Francisco site within stroll ( Fisherman 's Warf 15 minute waslk away ) . want romantic getaway weekend San Francisco would suggest posher place . look really explore tour San Francisco plan spend time outside hotel ideal . can not find well hotel type location reasonable rate . save money would spend another expensive hotel stay Hotel des Arts enjoy San Francisco even long . 
 Jun 3 2005 	 lovely hotel 	 really enjoy stay Hotel des Arts . room fantastic . painting wall really enjoyable look . interesting place stay . go San Francisco every year New Orleans would love stay . 
 May 31 2005 	 Lovely Hotel 	 appreciate atmosphere Hotels , Des Arts provide . get tired blanket Hospital like quality many hotel . des Arts provide much needed pulse . room comfortable wife immediately feel home . share bathroom , concerned wife first , convenient never wait use . concern , quality bagel provide morning . love know hop hall stairs morning , grab breakfast without get dress shower , etc . first encounter bagel force stray connivence . bagel taste bad , brittle dry . assume plenty place get bagel SF . suggest find new one . poor bagel , minor , almost insignificant detail , love hotel stay . thank Hotel des Arts , will back ! 
 may 31 2005 	 Coolness man 	 room beautiful clean . share bathroom big deal price , artistic scenery , comfort . bathroom clean accomodate . bad thing figure park . would nice valet hotel . would also good idea get direction good price garage hand hotel . another important tip bring mosquito repellent room not AC open window get bit little . other whole experience great . 
 May 29 2005 	 Fresh Art ! 	 painter , influence inspire many SanFrancisco 's underground emerge fine artist . stayed & quot ; Hotel des Arts & quot ; specifically art , disappointed . 
 may 25 2005 	 Sleepless San Francisco 	 think Hotel des Arts quaint super clean simplistic design modern lighting highlight artwork fill hallway . thoroughly appreciate artwork ( various modern style local artist ) spouse enthusiastic style . quite pleased upgrade artist room sadden awaken 4 be loud sound alley - dump truck ... pick recyclable glass . tumble break glass noisy ! could hear crash break piece piece . last 45 minute . interrupt sleep make we miss early morning San Francisco sightseeing . rightfully , edge ask front desk attendant could move side hotel assure we truck come twice week - never two consecutive night . wrong . awaken yet 4 am NEXT night ! also , air conditioning hotel stand heat , recommend stay summer month . limited number floor fan available upon request . would stay hotel clean affordable hotel good location would definitely stay summer month ... plus would adamate request room eastside westside building leave we sleepless night . 
 may 24 2005 	 Artwork noisy neighbor go ! 	 friend stay problem one neighbor . blast radio loud stay apt . quickly go reservationist , surprise , let we switch room well location . room go one problem . bedding not seem clean . find paint stain mattress , blanket stain . enjoy artwork everywhere . elevator interesting . 1920ish , think . nice ! enjoy location . restaurant near , hotel heart financial district far away gate China town . interesting experience . feel like stay hotel . seem like apartment ! ! ! 
 may 19 2005 	 nice atmosphere friendly staff 	 room stay nicely decorate work local artist . also clean , minimal , like . staff friendly extremely helpful ( new city ) . complaint , hard find parking , , 's hotel 's fault ... 's s.f . general . would stay . 
 may 18 2005 	 Pleasant Euro - style experience reasonable price 	 Hotel des Arts nice place stay San Francisco . not want allocate much money hotel , definitely place . 's pleasantly decorate lot vibrant art , staff nice , room quaint . stay room without bathroom , fine ; never wait bathroom shower . room always make neatly time get back explore city . great place dine around french Quarter , Hotel des Arts , shopping could endure one place . air conditioning , San Francisco weather permit . 
 May 18 2005 	 one kind expereince 	 go stay , make sure stay one paint room . wife stay room paint Sam Flores ; beautiful , serene , breathtake descriptive word yhat could use room . inspiring , medative , wild more . -- -- -- -- -- -- -- -- -- -- -It like inside piece art . word picture truly recreate expereince . plan return area stay different paint room night night . the bed super comfortable ( pillow ) . Shower hot , sufficient pressure . room size bit small ( make we feel part art ) , large closet night stand provide lot storage . soft bedlamp helped set romantic mood sun go . couple afraid & quot ; someone might hear & quot ; know Sam Flores room sound carry hall front desk . sorry clerk guest might overheard passion bring pure sensuality ! breakfast : bagel , coffee juice . parking extra make sure find option detail . 
 may 17 2005 	 need 	 hotel place lie head . Hotel Des Arts , great location great price . bed super comfortable . shower nothing special . go back will not pay extra $ 20 private shower . use share one . 
 may 16 2005 	 not stay ! 	 & quot ; Hotel & quot ; nothing overprice Hostel . 
 May 9 2005 	 possibly bad hotel staff ever ... 	 girlfriend stay Hotel Des Arts four night last week . funky boutique hotel offer room share private bathroom . paint room small beautiful . artwork photography display throughout hallway floor building , room paint local artist . location perfect . hotel 2 block shop Union Square across street Chinatown gate . look budget accomodation place meet need , however thing consider : 1 ) many room window open alley 20 + dumpster . AC room , crack window . garbage truck ( every night ) , homeless people dig trash - not expect get decent night sleep , 2 ) staff pretentious , rude , unpleasant , unhelpful . deal 5 different front desk staff person , one somewhat friendly & amp ; helpful . four act like want bother guest . unfortunately affect artist display work . much artwork reasonably price , poor experience staff , mood buy artwork . afford little $ $ per night & amp ; want part city , try Hotel Triton around corner . 
 May 8 2005 	 Great Value Priceline 	 unlike reviewer , find evidence bedbug ( filth ) , interact pleasant staff relatively quiet stay . concerned see number negative review , stay completely satisfactory . agree writer point a / c ( thus probably not want stay height summer ) loud bright stay room face street ( ask look room probably good interest ) . leave window open bring enough cool air since room interior courtyard ( Rear Windowish ) hear occasional siren ( major metropolitan area ) . location convenient number SF attraction well Hyde / Powell cablecar . complaint ' breakfast ' nicely arrange , consist nothing plain frozen bagel . price pay priceline ( $ 60 / night ) ' very ' minor quibble . 
 may 6 2005 	 long not lick shower curtain liner ... 	 will okay . unmentionable , suspect really gnarly thing lurk even fancy hotel room . snag low week day rate san francisco tourism site price , satisfied get , particularly comfy mattress , top plain white duvet ... nasty polyester floral spread . stay 5th floor , face back ( note face bush st - 's construction site across st . right loud noise weekday begin 7 ! ) room quiet restful . creepy stain carpet bespeak location 's history ... closet big brooklyn kitchen . towel rival stinginess one New York Sports Club . appreciate be try something different - showcase local artist - piece piece art 's great shake , heck , find something appeal half fun ... get money 's worth patrol hall . quibble w/ continental breakfast , consider formal nicety nothing would want blow calorie ... save Dottie 's true Blue Cafe . be vacation ! live little ! will save dough stay ( weekday anyway ) . 
 May 6 2005 	 exotic panache 	 Polite , convenient , quiet , exotic , funky . travel extensively overseas ( 14 trip India , 9 Nepal , many place ) Hotel des Arts exotic panache , say , Kathmandu Guest House one night trip ' city ' . far stay twice , 2 night , one night – place always quiet , staff polite , place convenient . Chinatown Gate 30 foot away . girlfriend find hairdresser – Monica ' Clay St. – shop herb , tea … … .. Grant StWe ' always take share bath room – like pad hallway pee middle night yoga pant barefoot . futon - ish bed comfortable . 
 Mar 27 2005 	 loud room artsy beat hotel 
 Mar 25 2005 	 not expect Jewel ... 
 Jan 31 2005 	 problem 
 Dec 28 2004 	 hotel des crap 
 Oct 13 2004 	 good value would opt next time spend 
 Oct 11 2004 	 bad hotel ever stay ! 
 Sep 22 2004 	 cool 
 Sep 7 2004 	 clean simple 
 Aug 27 2004 	 hotel terrible ! 
 Aug 24 2004 	 Hotel GHASTLY ! ! 
 Oct 14 2009 	 L'arte una stanza 
 Oct 7 2009 	 Una sorpresa 
 Sep 22 2009 	 si vous voulez avant tout dormir dans une chambre total look au hasard et que le reste importe peu 
 Sep 14 2009 	 Camera piccola ... 
 Jan 12 2009 	 Atroce l'exception de l'emplacement 
 Dec 3 2008 	 très déçue 
 Sep 2 2008 	 essayer ! 
 Aug 24 2008 	 Muy bien situado pero llévate unos tapone para los oídos 
 Jul 18 2008 	 Bien situado 
 Feb 6 2008 	 Un buen hotel para dormir . 
 Jul 3 2007 	 Sympa mais san + 
