great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Aug 17 2007 	 excellent choice 	 stay July 2007 . one Doble room 4 adult . reception friendly always helpfulthe room clean . bathroom although big acceptable necesary requirment . one miner setback request non smoking room room smell ..... report recption come back night bad smell go completely . in general stay excellent highly recomend Bentley Hotel . price perfect ... good value . thank staff make stay : ) Igor Mencos familymonterrey , Mexico 
 Jul 17 2007 	 Loved NYC 	 stay Bentley December last year New Year . we fantastic time city amazing ! ! bentley great , clean staff v. friendly . when check upgrade suit lovely . I would recomend meal rooftop restaurant food good view Manhattan night fantastic . 
 Jul 11 2007 	 Great Value Money 	 first trip new york say brilliant . hotel great value money clean . big room good size bed LCD tv could want . would def stay 
 Jun 27 2007 	 pleasantly surprised ! 	 lot research book room night NYC . either go cheap ( hotel PA $ 150 close attraction ) , spend little close friend go meet . choose Bentley $ 250 night . little way . able walk central park Times Square . find hard find good place eat area . 4 year old us outdoor cafe near Park Ave place we . nice park ( sprinkler / fountain kid ) block two hotel well pavilion water . read review say hotel noisy . south side building 18th floor ( view bridge we ! ) quiet relax . maybe sacrifice tranquility view ! cappuccino bar awesome . order room service breakfast three we eat less $ 25.00 . make eat TGIF Times Square spend $ 18.00 turkey burger . hotel dark elevator hall , ' mind . clean room comfortable , especially bed . nice linen . shower need good spray bleach kill mold water hard . recommend hotel . ' stay location little downtown . want stay upper west side near hospital / museum / Central Park , give try . 
 Jun 24 2007 	 Great Value return 	 please Bentley . front desk staff courteous three day . room clean , modern , great flat screen tv , comfortable bed ' ve ever sleep . 14th floor quiet . bar top floor little disappointing , guess hope little bit nice view , still nice view river . bathroom luxurious , little small , fine . eat Ritz Diner one block towards Central Park base reviewer recommendation agree 's great place breakfast . location thick thing , still walk Central Park 5th Avenue one day hotel . find matter stay , end take lot cab . hotel right FDR , taxi driver take FDR get SOHO save time . would recommend hotel , assume price stay reasonable . 
 Jun 24 2007 	 Bentley ? ! like robin reliant ! 	 arrive hotel , way next motorway . description say 5 min walk central park , rather 25 min walk ! staff quite unhelpfull desk , concierge ironically unhelpful rather rude ! got room tiny , tiny cubbard not fit suitcase contain 5 coat hanger shelf . ( storage space ) . room tiny , although view quite nice , not look ! roof top restaurant amazing view restaurant not glamourous . the good thing hotel main porter , incredibly nice helpful shopping need . and also nice diner road get breakfast ! recomend hotel ! 
 Jun 20 2007 	 Run - not walk 	 two day stay Bentley full frustration extreme disappointment . non - functioning key card system ( apparently recur problem base review ) provide apprehension hotel security rude desk staff compound dissatisfaction . arrive Bentley Sunday morning , expect , room yet ready . go day , return around 6 pm , tell technical problem room key card system would wait bellman let room . minute , show room , bellman let - give key , not work . go bite eat return , fellow front desk ( clearly stress since other could not get room ) tell lock fix moment leave hotel , give another set key card . go room card not work . return lobby , send back room bellman , could not open door . back lobby . considerable attitude , desk clerk escort room master control box tell reprogramme lock . get room give two key . go see friend later evening , lI return midmight , key card not work . time , take three trip room hotel staff , twenty minute later finally room - work key . the next morning , kind hotel manager apologize , promise key work , tell Sunday staff notify problem weekend , not . fact matter , return later day , key give still not work . finally , manager come room get system work . when return later evening dinner , hallway five kid sit floor suitcase . ask go , tell could not get room ( 11 pm ) .so issue , couple dreary location , tv remote need new battery ( ask twice ) , furniture need refresh , sour unhelpful weekend hight staff , lead suggest look elsewhere accommodation Big Apple . 
 Jun 19 2007 	 Excellent 	 stay New Year , price excellent . reasonable size room New York , friendly staff . it be well away main tourist area , far subway , everywhere be easy get . 
 Jun 14 2007 	 good location ever 	 love Bentley hotel moment come .. beautifull , staff ok . could nicer .. interior perfect , cleaning , location could not well ! 
 May 19 2007 	 perfect pretty darn good 	 Bentley Upper East Side ( E. 62nd York ) bit mainstream NYC tourist , bus run practically door get major subway line matter minute ... hustle bustle First Avenue short walk away . plenty decent restaurant , beautiful building safe neighborhood walk . importantly , get lot hotel money ( splurge junior suite , dollar highly recommend ) , great view East River City skyline , peace quiet need . less perfect moment , like room key reprogramme could not get room return late night , break coffee machine one morning , staff accomodate friendly take care problem quickly . first trip NYC disappoint . definitely stay . 
 May 2 2007 	 HOnest Review 	 ( couple 30 + ) spend week NYC , April 15 22 . girlfriend first time NYC.We book hotel travel agent recommendation @ 220 US $ / night average . bit worry due review . here go . bentley good surprise . hotel 62th @ York avenue , centre thing , east side nice neighborhood many option eat walk . get nice room ( finish 01 ) 8th floor , nice view east river , Window ceil floor allow we see Queensboro bridge front river . ask high floor promise three day , actually stay 8th floor . room clean bed & amp ; linens ok , change everyday . marble bathroom , nice shower . flat screen tv , small closet . acce WiFi provider cost 30 $ week , reliable ( daily hourly acce price ) . actually use internet plan day due fact get bad weather ( rainy cold 8C ) first four day good one last four day ... ( sunny 20c ) . noise early moorne noisy . small fridge .... touch , get bottle fridge see charge . complimentary self capuccino ( tea ) available small reading room besides Lobby , daily newspaper magazine available . use machine capuccino/ expresso tea every day leave hotel return ... ; - ) . check & amp ; check fast / problem . service good , concierge help we question ask , always attentive . roof top restaurant simple place take drink see river @ night , eat ( breakfast dinner offer ) nothing special , worth night visit drink cosmo go stay . yes , Bentley iss little bit , nearest subway station 6 block away @ lexington 59st ( six line ) lexington 63st . ( f line ) . get Central Park 10 block away . walk nice neighborhood . believe reason hotel still 200 $ + night . Taxi Cab Midtown / Downtont Bentley 10 $ average night . believe extra 10 $ day much less extra 100 $ / day cost good hotel theater District compare Bentley . few hint stay bentley : - walk River View Terrace , amazing view Queensboro bridge & amp ; river . 3 block Bentley . - Madison Avenue & amp ; museum Mile & quot ; near & quot ; hotel , good walk day . find gem museum mile : neue gallery museum . German & amp ; Austrian ExpresSionist . right : & quot ; Van Gogh & amp ; expressionism & quot ; display . amazing.- lot good coffe take breakfast . Nearest Ritz Dinner . want somethingh hip : EAT Caffe @ Park avenue 81 . good breakfast town . fresh pastry bakery , everything good.- tram Roosevelt Island 3 block away , nothing spectacular 4 minute raid , stay Bentley Queensboro bridge side see tram every day almost right @ window , ride .... ; - ) - United Nations Building minute walk 1st avenue . - take dinner near Bentley one night . small & amp ; friendly italian ( tuscany region ) restaurant , good . 1st ( 2nd ) avenue 60th 59th . try . besides east river caffe almost hide : & quot ; Cuccina Tuscana & quot ; something like that.in summary , Bentley good hotel , middle thing , NYC reasonably price stylish decor , nice & amp ; clean room . room view river & amp ; queensboro something different add & quot ; additional touch & quot ; stay HOtel . friendly staff , nothing complain . yes long stay return . short stay NYC maybe could prefer & quot ; middle action & quot ; hotel , ton people , subway station , neon light surround .... you.hopes help- . 
 May 2 2007 	 lovely clean hotel noisey surround 	 friend arrive room allocate fourth floor , although room spacious clean noise level horrendous . complain reception say would put we another room follow day , true word put 20th floor lot less noiser . my friend double bed duvet sheet - comfortable bed . side room bathroom little small adequate . thing miss extractor fan everytime use shower room steam need keep bathroom door open . one advice shower / bath a.m. evening hot water ! mini bar room top mini bar crisp , chocolate etc . pick 20 second bill . advice leave hotel return home check bill - go mini bar - not open door 20 second . you get cleaner come everyday replace towel generally tidy room . we good panaramic view Queensborough Bridge see river ( obviously depend room ) .There cocktail bar 21st floor great view river bridge . waiter friendly . also every a.m. breakfast 21st floor - buffet style - personally not think worth money , well go american dinner get lot money . downstair lobby help coffee ( different type ) tea anytime like . on 2nd floor ice machine . 
 Apr 30 2007 	 Stone 's throw Sloan Kettering 	 sister stay hotel mother surgery Memorial Sloan Kettering . frequently go New York stay close Times Square need visit , hotel ideal . location hospital could not convienant . walk block , even able come back take nap mother recovery . since spend time hospital , not mind locate bit far Times Square tourist attraction . the complimentary espresso / coffee bar lobby really nice ! make priced hospitality bar fridge room . great view nice sized , clean room . since get special patient rate , content price . as mention several post , light hallway elevator really wierd ! 's dark metallic ( lack well description ) . elevator REALLY slow . neigborhood really nice , feel perfectly safe stroll back room late night dinner one local eatery . overall , pleased . would stay go Sloan Kettering , would choose another hotel close theatre tourist district . 
 Apr 20 2007 	 great place 	 , two adult two child , stay Bentley 7 night . good location , helpful friendly staff . like decor , restaurant , television room ( flat screen ) , bathroom . anything , would like big bed storage space . bed feel quite short consider even 6 foot . one small cupboard hang clothe . probably stay ask big room . 
 Apr 17 2007 	 Great Place Stay ! 	 recently stay Bentley . first time stay city need visit hospital . hotel good , clean pretty spacious . stay suite son room TV . restaurant good . breakfast good mostly convenient . thing park tight underground garage not bring huge suv car ceiling tight entrance . stay . 
 Apr 6 2007 	 great value NYC 	 start bad end fantastic . show original room clean yet . bellman extremely apologetic upgrade corner room . would recommend ask corner room , floor ceiling window give spectacular view East river Upper East side well Roosevelt Island . Roosevelt Island tram float every often nice touch well . furnishing decor modern stylish front desk helpful , arrange limousine service we get back Newark Airport quite reasonable . drink rooftop bar amazing view . really enjoy Upper East Side location . kind nice away glam , glitz fast pace Midtown . explore Upper East Side neighborhood , quaint full great bar restaurant . money , can not beat hotel . 
 Mar 28 2007 	 Bentleys Best 	 read review site admit little worried , 5 great night Bentley worry . the staff friendly helpfull , room clean comfortable , large size ampull room 2 people . the hotel situate good area although central short walk subway , Central Park 5th Avenue soon centre action within couple minute . as somebody else say great diner block away open 24 hour use 5 day although remember name , sorry . we venture resturant bar top floor although meal drink view bridge night great . to round stay check porter recommene use limo back airport couple buck yellow taxi charge nice way finish 1st visit Big Apple . so sum -- -- great hotel -- -great price -- -no smell lift -- -- smell petrol station round corner -- -- great staff . 
 Mar 28 2007 	 great place stay 	 go new york febuary 24 year stay bentley hotel . first time state not really know expect . delighted hotel arrive . reception staff friendly helpful . sam doorman great ask advice anything always obliging . hotel 24 hour cappucino bar lobby ( would get pastry starbuck one many bakery go back hotel late nite cuppa . bar top hotel walk around veranda give amazing view . hotel decorate neutral / natural colour throughout . arrange transport airport one sedan comfortable cheap yellow cab ( toll include price still tip driver ) . although walk need get main attraction , didn'nt mind - let us face be never go close everything want see . great little bar 62nd first ave call beckys - great food , friendly staff . tram way diner 60th second great breakfast . would go hotel . 
 Mar 27 2007 	 thing complain 	 stay Bentley 5 night start March say have hard beat hotel term price quality . location bit remove attraction well worth cab fare view alone ( even not stay hotel go bar top floor take incredible view night , really sum New York ) .Our room clean , modern spacious , staff helpful . not buy breakfast hotel , visit Ritz diner eave drop real new yorker enjoy huge reasonably price breakfast . I already reccommend hotel friend would hesitate stay . 
 Mar 6 2007 	 nice comfortable stay 	 would basically like echo much say grimnod1 - pretty much exactly judge place too . our room comfortable , great view East River Queensborough Bridge - sure ask room upper floor face river make sure get this . we not really see problem light hallway lift ( pardon pun ! ) - can not find way door key slot get eye check ! slight gripe would wall little thin , conversation tv noise next door little irritating . be tired day sightseeing not enough stop nod ! , good value , good quality hotel we , would definitely consider stay next visit city . 
 Feb 26 2007 	 Great Place stay 	 partner stay hotel twice good experience time . staff friendly , room clean restaurant good ( excellent view ) . basically good value . we travel NYC April stay Bentley . 
 Feb 24 2007 	 would stay 	 Bentley appear outside office block one time situate petrol station . not let description put though . the room decent size great view East river 59th street bridge / cable car . clean air con , reasonable bathroom . room warm comfortable even though freeze outside . the hotel safe neighbourhood mainly residential . say minute 's walk 1st Avenue find restaurant diner something eat . ( recommend Ritz Diner breakfast Angels italian restaurant nice evening meal . ) not know many go area anymore not feel intimidate walk around . use common sense . the previous review correct lift light dim peer button find floor number . not room safe even request one not guarantee . the side hotel quite walk everything ( central park 9 block , Times Square 20 block total , etc ) find good walk destination taxi back . suppose reasonably price . enjoy stay would definitely stay . 
 Feb 23 2007 	 well 	 stay hotel 4 day bit scare people comment . well disappoint intead . corridor come horror movie . dark trouble insert key door . kind funny . area nice bad experience outside hotel . recommend woman . view garbage next animal hospital . otherwise people friendly really helpful . bad experience always experience will not go back hotel . much prefer stay Central Park hotel . 
 Feb 16 2007 	 okay stay well ! 	 stay 25 - 29 January . public area hotel nice staff . room small ( fine purpose ) , however , little storage - small wardrobe one draw - bedside draw etc , much room unpack two people ! mini - bar snack tray oversized consider size room instantly charge room remove item long 20 second ! nowhere keep drink cold .. clean service etc good , however , shower always run cold ( icy ) evening , great cold outside . reporting , tell hear problem , ' ve read previous review .. rooftop restaurant bar good , extremely overprice - $ 70 salad , pasta dish 2 soft drink - could get $ 45 Times Square . hotel lack certain something - fine intend time not mind cold shower ! 
 Feb 15 2007 	 great hotel service come back 	 love . stay 4 night , large corner room , pay $ 295 night , reserve nychotels.com . great service , front desk person go way make sure happy . back soon . 
 Feb 7 2007 	 Great Hotel 	 first visit NYC could not pick well hotel stay . staff friendly helfpul room immaculate . hotel stylish rooftop restraunt amazing view city . would definatly stay would certainly recommend hotel . 
 Feb 3 2007 	 good basic accommodation 	 room fine . small clean good condition . everything work . hotel bad location , busy corner . dark service nothing special . still clean , basic accommodation . 
 Feb 2 2007 	 never stay 	 arrive unloaded bag go dinner , come back room flood room 809 toilet overflow whole room manager duty , course room send we another hotel . believe ameritania , hotel nice . Service Bentley bad cheap lighting ' even see button elevator , ever stay .. 
 Jan 31 2007 	 decieving 	 Decieving .... -pleasant doorman & amp ; bag carrier . Nice lobby.- & quot ; Deluxe & quot ; room much small advertised & amp ; feature & quot ; city bridge view & quot ; promised.-several interruption stay . inconsiderate staff.-Nothing & quot ; deluxe & quot ; television & quot ; deluxe & quot ; rooms.-horrendous , stressful parking situation . helpful all . read detail ... lobby nice doorman & amp ; bag carrier even nice . pleasant & amp ; helpful . however , decieving ... extremely disappointed get room . booked & quot ; deluxe & quot ; room base picture advertise website booking . pay & quot ; deluxe & quot ; room nothing & quot ; deluxe & quot ; . think order standard room , would same- cheap . deluxe room suppose feature beautiful view ( high floor ) , put third floor face ugly building .. view . website boast room & quot ; over - sized & quot ; would consider & quot ; deluxe & quot ; room small . interupted many time stay ... ( 3 exact ) 1 . room way corner tuck away room & amp ; elevator etc . third floor , think would nice quiet , awaken several time . seem staff go & quot ; employee & quot ; staff door around hotel ( linen closet , electrical control closet , etc . ) night early morning people try sleep , unaware slamming door disturb guest try relax . hotel would quiet , hear door slam outside room night . nothing relax . staff considerate . 2 . night , settle , two repair man barge room ( not knock ) , apologize , say need fix mini - bar ( not go use anyway due high price , un - worthy item like amstel light $ 6 , yes . ) spend 15 minute messing . 3 . early morning wake several & quot ; test & quot ; alarm communication system . someone thick accent come loud Public Address System announce something . could not understand say ( maybe half asleep ? ) call front desk make sure emergency . not , several announcement make 20 minute apart ( would begin fall back asleep , pleasant . ) alarm . last interruption get bed check . boutique - style hotel , nothing swanky modern television deluxe room . completely out - date , fuzzy blurry . give headache look . overall picture sound quality something would expect tv Motel . parking situation also mess bring car . pull hotel & amp ; take bag inside we & amp ; direct we parking lot opposite side entrance hotel . pull told & quot ; come back later & quot ; full . full ? want check room & amp ; come back later be full ? take we 45 minute get actually get inside due parking situation . front desk help . bag sit lobby 45 minute wait outside car . garage small cramp . hotel take care parking car arrive price pay stay , ' ve never see anything like . be young well - travel couple mid - twenty . stay many hotel .. boutique , 5 star . gem , would never stay . waste money get . would gladly stay comfort go back Bentley , really sad . Hope help ... take we ! ! 
 Jan 18 2007 	 way way dark ! 	 bit disappointed hotel ! 's pretty unappealing location , right foundation 59th Street Bridge . shorty like , good 15 min nearest subway - fine day , mean use taxis time night . 9th floor people say , corridor really dark . guess ' m fan modern look , everything look like & quot ; office furniture & quot ; . bed comfortable everything clean enough . surprised first morning tell run hot water 10 min hot water come ! coffee lobby welcome definitely recommend Ritz Diner nearby . next time , will go central hotel guess like quiet , modern hotel , would ok . 
 Jan 17 2007 	 Great Deal ! 	 stay Bentley January 11 - 15 rate $ 117 , $ 117 , $ 137 , $ 117 respectively . also utilize parking $ 20 day . although valet , great us want park car leave duration stay . quick easy check - in . enter room , realize upgrade standard room suite ! huge living room couch , chair , coffee table , desk , television . double glass door lead bedroom king size bed , chair ottoman , television , two wall window stretch ceiling knee ! husband figure room end 07 08 ( stay 1108 ) large suite room . beautiful view York Ave . Queensborough Bridge . tv bit outdated , not come city watch tv . walk subway good ten minute , bother we . also notice wall bit thin hear cry baby . finally , York Ave . busy noisy . would want stay close ground level ( 11th floor ) noise may bothered we . overall great experience would return without hesitation , especially could get similar rate . 
 Jan 16 2007 	 never ! ! ! ! 	 check everything fine get room . minute open door smell like puke water stain throughout . within 5mins front desk clerk call see everything ok offer complimentary upgrade . though great ! one bell boy ( act like bother ) show 2 different room choose from.20min later realize put non smoking room , switch . help bell boy bag , stare struggle bag look like & quot ; please hurry & quot ; .finally I m room , everything fine . decide hour later go go come back , room key not work . get new key . still not complain good mood not big deal get much big room price . return home check account , charge ! ! ! call tell would check ask serveral time sure . course sure even call bank hand tell day time take out . the staff help manager even bad ! bad attitude . finally person check remember bank fax hotel phone make sure recieve . assure going take care right away . not ! , call yet , deny charge say never get fax . needless say I m still waitng money fact staff could not careless attitude always quick answer brush even irratate whole experience . 
 Jan 10 2007 	 still ok money ! great location . Nonchalant Staff ! 	 stay hotel two night last week . hotel great year past stay NYC . staff change , nonchalant remember . Front desk slow respond couple heated argument cell phone 2 a.m. floor , keep everyone 10th floor awake hour . staff friendly helpful direction Newark Airport either . book $ 101 / night - standard room thru Orbitz . good price location / room , quality hotel definitely change since visit year ago . Bathroom could use little tarnish remover good scrubbing around tile / caulk tub . toilet run continuously stay . tv bit outdated , get cable station may want see ( albeit , go NYC watch tv ? ? ? ) . parking limit underground parking lot ( lot around corner hotel next one way street ) run private parking company ; $ 20 pop -- valet ! bad walk 5th Ave / Park Ave . good view skylift Roosevelt Island . would consider another stay could get type rate . 
 Jan 7 2007 	 good well expect . 	 really good hotel well worth money major City New York . room clean view great , bed comfortable room spacious . problem walk mainstream New York 10 - 15 minute walk central park even times square , much problem would stay would recomend anyone not mind bit walk . 
 Jan 7 2007 	 bad 	 Nice hotel , quite expensive , be NYC guess ... room quite large comfortable , nice view East River 1st avenue . staff reception desk friendly effective ( though could get room soon official 3 pm , i.e . 4 hour arrive ) . breakfast , go Ritz Diner , typical new - yorker place 1St avenue , far hotel . major drawback fact easy access , thus ideally locate . metro quite far ( 5th avenue ) , take bus 2nd avenue . 
 Jan 3 2007 	 recommend ... 	 first hotel even 2 star . sure get star rating . room decent 2 star . change 3 time find something not next noise elevator . travel world . bad experience ever . hotel stuff ( mostly indian Russian ) possibly worst ever see . incompetent well . mixed reservation bad even general manager could fix . charge credit card $ 1000 extra nightmare get money back . recommend stay view billing carefully . 
 Dec 19 2006 	 fab hotel good bargain NY 	 first horrified hotel right next gas station , walk lobby suprise classy hotel . view rooftop restaurant amazing , 24 hour cappucino bar definitely plus . room spacious NY , clean , view great . would definitley recommend place , issue water shower lukewarm good , room service way overpriced- go nearby restaurant instead . 
 Dec 1 2006 	 ok east ide 	 entire hotel coould use rehab . would increase tariff . ask wrap around big window corner . almost directly Roosevelt Tram- hotel 63rd & amp ; first . check several room first . 1st one rust shower toilet water.60 ' 3 type try Ian Schrager type . good staff . restaurant 2 block . Ritz Greek 24 hour coffee shop 2nd 63rd . good away tourista around time square . like Europe , washcloth ask . pay $ 307 . large long room . window sell feature . value ou like east side . forget room service . 
 Nov 27 2006 	 worth ! 	 worth ! style ( call darkness dusty decoration continual air refresher style ) without substance . small room , thin wall ( hear people next door ) . bed okay . limited storage space . uncomfortable chair . overall shoddy feel . hot water morning , none . want shower dinner bed -- going happen . management refuse acknowledge hot water problem . want room clean clean dinner , rest . going happen . always 9am room never ready 4PM raise fuss . one time actual take make room sign front door , open door put inside left withourt cleaning room . soap leave , toilet paper , one towel . . every day least one attempt enter room key card not work tot lobby get new card . desk could care less -- almost point nasty . go five day . know online reservation require stay full time book lose money . 
 Nov 15 2006 	 disappointed memory ... 	 stay Bentley year ago remember spacious designer corner room over - look East River . return customer . the feel hotel change last six year . it classify 4 star . lobby feel comfortable artsy . free coffee & amp ; tea newspaper available 24/7 . passage way nicely decorate clean . we stay time five night . book non - smoking room on - line ( average $ 300 / night ) somewhat disappointed get much small even smoky room . late hour tired , accept , move next day similar smoke - free room . the room much small one first stay , functional . window AC / heating unit come age bit noisy . bed clean comfortable , hot water one morning 7 , make shower adventure time year . we suggest mangement consider general overhaul probably try another hotel visit NYC next time . 
 Nov 13 2006 	 try bit hard hip 	 like hotel , shortcoming ought address . corner room fresh , spacious nicely decorate contemporary style comfortable bed , three roman blind cover enormous glass windowe wall extend way . stop 8 inch short window sill along two wall , create broad opening half way around room , negate sense privacy . apartment building across way , issue . long , wide opening also make room bright early morning sleep beyond dawn difficult . one blind break stay permanently lower , could lift . two go easily , give beautiful view First Avenue feel real delight back New York . whoever design elevator try hard hip lose sight common sense . car paint black inside ridiculously poorly light . tiny low watt , recess light , one corner ceiling , make dark - especially night - make hard see button operate . hallway tend dark well vase hang wall seem loom nowhere odd feeling . hall well light , would easier appreciate small vase hang door single flower . hip dark night club one thing , dark elevator hall suitable hotel traveler often tired jet lag . although Bentley offer dinner room service , offer breakfast , coffee - maker room . fortunately , Ritz Diner jast block away New York eating experience . 's fun , almost like tv movie set . the hotel seem popular Europeans comfortable walk distance excellent shopping , restaurant major hospital . 
 Oct 16 2006 	 great hotel 	 stay three night Bentley great trouble - free stay . hotel staff curtious helpful anything ask . not get view bridge guess luck draw also attribute fact not request ! room spacious clean . bathroom good condition also clean . good water pressure alway warm water . spotless clean .. location hotel close East river . take 15 minute walk Central Park . neighborhood safe little noise street . would recommend other would stay . 
 Oct 12 2006 	 Great Hotel 	 book stay Marcel Hotel since plumbing problem , ' ve move Bentley . 's central Marcel still walk distance central park fifht avenue much quiter zone . bus stop front hotel subway station two three quarter away . room great , large fashion . everything always clean room service work always perfectly . bathroom small old . shower good . staff always pleasant lobby free capuccino expresso machine . really recomend hotel . 
 Oct 11 2006 	 disappointing 	 room decent size spectacular view Queensboro bridge , however , problem . time hot water first thing morning - time day evening water well lukewarm , hallway dark , request smoking room unable get ashtray , stay go supply towel dwindle one bath towel leave room , hand towel facecloth . towel sheet also smell kind funny - clean not really smell clean . book two deluxe room colleague colleague 's room much small not fridge microwave . know , stuff picky , $ 300 + per night hotel ( even New York ) Bentley disappointing . would stay ? desperate could not find another hotel Manhattan . 
 Oct 10 2006 	 GREAT HOTEL ! ! ! ! 	 first time NYC could not pick well hotel price . location good , central not mind walk short distance beautiful street east side Subway ' perfect . bar 21st floor great staff wonderful view outside deck brilliant . all staff helpful , friendly 100 % accommodating , would return Bentley shoot ! ! ! ! ! ! ! ! 
 Oct 6 2006 	 definitely 2 star nice clean 	 stay Bentley Hotel 5 night . read review request room high could get not arrive till 1030pm not much go . male receptionist , initially little frosty soon warm , give we room 4th floor , move we 7th floor . our room right across lift actually never hear lift , people corridor . unfortunate thing adjoining ( locked ) door next room mad scottish woman speak loudly smoke well , smell come adjoining door . when first arrive room smell strongly clean fluid , wear realise smoking room not bad not spend much time room really . the bathroom clean , plenty clean towel leave bed make every day . room overlook corner East 62nd 1st Ave seem thoroughfare bridge . noise traffic like background hum soon get use bad thing honking . awoken 530am first morning due bad go till 930/1000am . ( Rush Hour guess , weekend quieter ) Nearest tube ( Metro ) station 5/6 diagonal block , taxi easy get right outside hotel , Central Park walking distance . Taxi Fare Time Square approx $ 12 , Metro Fare $ 7 day travel . aware travel taxi need give plenty time due traffic hold up . nearly miss start Broadway Show . there decent restaurant bar quite close Hotel , discover O'Flanaghans quite accident absolutely magnificent steak cook perfection , band come 11 pm end stay till 2 am , brilliant night . lead singer band use sing FatBack Band , terrific music . hallway ' moody ' , free coffee tea reception welcome , staff helpful . room small look picture site big , well room . think luck draw unless actually pay ' deluxe ' room . would stay , Mmmmm , think might pay extra go 3 4 star hotel backpacker traveller budget perfect . 
 Oct 6 2006 	 good deal new york 	 overall experience good . boyfriend get great last minute deal expedia $ 179.00 night , book week . shoudl note New York , hotel price not fix could pay much one week $ 900 night another week . bizarre . anyway , hotel great location -- 62nd York , right 59th Street Bridge . though area appear residential arrive , walk one block 1st street , ton restaurant store ( lot pizza place south bridge ) . love walk place . near subway stop bit walk ( 10 minute ? ) , 3rd 59th ( be actually Lexington 59th street stop , entrance third ) go anywhere . like staying area get real feel new york . hotel modern look staff friendly . upon arrival , bag take immediately , could check right away 2 pm . upgrade king size bed queen . room decent size teeny tiny nice bathroom . surprised lack safe -- especially since space one , ask front desk , tell we 20 room safe . bother , new york design look like fancy boutique hotel . ask twice towel shower spray outside teh curtain soak one , otherwise room clean comfortable nice stay , though dimly light bathroom . also , elevator hallway dimly light -- dark would almost well descrtiption -- weird flower motif , be try trendy entertain anything else . overall , please staying area inexpensively , second time ' ve stay , would definitely stay . good people want see 's like live manhattan rather stay downtown . ( also , coffee tea lobby great take cab laguardia make sure tell take 59th street bridge ) 
 Oct 1 2006 	 enjoy Bentley 	 stay one night Bentley end September . arrive early , staff member front desk immediately page bellhop take bag . come back later check , bellhop promptly bring bag room . see reviewer mean & quot ; dark hallway & quot ; & quot ; dark elevator , & quot ; think kind fun . room surprisingly spacious NYC , clean . view great well - Queensboro Bridge East River right view . bed clean comfortable . rooftop bar crowd , service friendly view terrific . negative bit hike subway ( 10 min ) get downtown , much immediate vicinity . area around subway stop bustle , however , be easy walk 5th avenue shopping , Central Park , etc . 
 Sep 30 2006 	 Fab First Visit NYC 	 first trip NYC , great time . Hotel FAB , lovely room friendly staff . be 10 - 15 min walk near subway station could always spen 4 - 5 buck cab . room clean , quiet lovely view Hudson Queensbrough Bridge . close Central Park . would recommend hotel . 
 Sep 18 2006 	 absolutely love Bentley 	 Bentley Hotel situate quiet neighbourhood ten minute walk 59th street subway , Bloomingdales twenty minute central park . room really big ( two double bed ) not ask superior room ! ! view absolutely spectacular- Queensboro bridge ( room 1603 ) . staff helpful friendly hotel high standard unbelieveable value . can not recommend place enough- get good deal expedia- 6 night £ 1000 . roof bar amazing view Manhattan . would stay anywhere else visit New York ... 
 Sep 18 2006 	 great place stay ! 	 great place stay ! arrive 9:00 ( check - in 3:00 ) . not room ready say another one two double bed could one want ( $ 20 say would not charge we anything upgrade ) . take room stay three night . room clean , staff friendly , location great ! rooftop restaurant tasty food . neat able go outside amazing view Manhatten ( especially night ) . hotel $ 8 cab ride Times Square , nice walk Central Park , Bloomingdales , etc . I would stay second ! 
