small 	 read negative review website , decide upgrade arrive hotel . upgrade standard double en - suite executive double en - suite cost we £ 15 night , well worth money . explain standard room small , room little bed . upgrading get small , rather nicely furnish bedroom , high double bed ( wooden carving India style ) , room underneath stack suitcase . tv , big indian wardrobe , desk . big window face Trebovir Road . bathroom small , nice tile wall nice equipment , clean ( ! ) . first morning breakfast room full , decide breakfast local cafe instead , next two morning eat hotel . breakfast good plenty : roll , bread toast , croissant , muesli , fruit , cheese , coffee , tea , juice , milk ...... service also good . room ready arrive leave luggage foyer , return , luggage hade place room . next morning discover electric kettle clean ( probably early guest warm milk something ) point , kettle change immediately . some reviewer complain room size . quite agree , everything hotel tiny . web side photo almost real size photo ! tine reception , tiny room , narrow staircase , be plan spend much time hotel , serve need . location convenient : 1 min Earls Court underground station .. 
 Nov 29 2006 	 hideous ! not even think ! 	 ' fool . picture hotel ' website bear resemblance actual room – certainly case shoebox give top floor . hotel booked call , management offer we one apartment reduce rate . quarter usual rate would much ! different street hotel three steep flight stair , largely unrenovated apartment cheap tart - up , plumb atrocious ( water shower routinely cut ) kitchen utensil etc . inadequate case chop board , mouldy . ask move hotel end stay , shoehorn small , spartan , hotel room ' ever see . £ 90 - a - night , kid . also beware ask reception book taxi . relocate ( read flee , luggage ) hotel less half mile away , pick private service charge flat fee £ 10 . place awful , awful , awful . 
 Nov 17 2006 	 fantastic 	 can not understand bad review hotel get . perhaps be be undergo refurb visitor get room not renovate ? maybe get lucky , although have book double room , actually give apartment room - still £ 89.00 - one person ever stay . really comfortable tastefully furnish needless say , clean . stay London regularly , believe £ 89.00 get nothing feel like real treat . definitely stay - happily make London base . 
 Nov 13 2006 	 Loved Executive Double 	 return visitor London , usually stay Twenty Nevern Square ; Mayfowers sister hotel however fully book Sulai transfer Mayflower Hotel . book executive double shockingly disturbed bad press - Sulai inform Mayflower standard go guidence . love decor juice bar gem . enjoy breakfast lovely . regret business do not get spend time . wi - fi accessibility 's great business . next summer ' m go bre wife kid holiday London . great value money , clean , welcome staff size room big compare european standard . one nice hotel 's iv stay London . steal price . 
 Oct 31 2006 	 joke ! ! ! 	 look picture hotel discription website hotel guide partner deceide mayflower sound like perfect place spend couple night , stranger london hotels visit daughter regular basis . arrival reception area smart , even though receptionist quick ask we pay stay advance , feel point time find gem hotel , unaware sub - standard accomadation meet ! first room show build next door filthy , rusting tap dirty wall carpet , marble bathroom insite , luxury furnishing well ! ! nothing like photo website outside hotel.we move second room , minute walk hotel , noise night unbelivable , would get well night sleep m25 ! morning try bath , hot water . complain next morning even though move , room time much well , still put noise train station building work , apology staff seem concerned compliant , worried get £ 40 us carpark ! stay . 
 Oct 19 2006 	 want stay Sauna ? ? ? 	 book hotel past experience must air conditioning time year . the hotel state room & quot ; climate control & quot ; ceiling fan . in fact 1 room 7 book ceiling fan , climate control oportunity switch radiator ! ! ! climate control upgrade air conditioning term use widely especially car market , however hotel say London tourist board approve term , nothing could it . every room like & quot ; sauna & quot ; none associate decent night sleep ! ! would recomend hotel anybody , clearly push limit reality . 
 Oct 14 2006 	 mayflow new favorite London hotel . 	 book hotel see lovely website . week later read several less steller review Tripadvisor ready cancel , decide give chance base several good review also read . pay spade ! decide book executive double big standard . since hotel London 's old building variety room size know well book standard room . room perfectly adequate size big hotels street stay previous trip . also impress cleanliness . keep look flaw discover hairdryer bathroom , closet . shower tepid water two day , discover shower safety device prevent scalding . tv not work , ask help remote . not provide Kleenex ... 's right , not drawer , closet , cabinet . could live consider provide pant press , teapot coffee & amp ; tea supply , Gilchrist & amp ; Soames bath product , first class Continental breakfast . the hotel first street leave leave Earl 's Court tube station Earl 's Court Road exit . internet cafe opposite station Earl 's Court Gardens give unlimited access computer one pound , spend two hour . Hogarth Place opposite tube station lovely french restaurant serve starter 4.95 entree 8.95 , another great value diverse neighborhood . King 's Head Pub street become gastropub excellent food find italian , japanese , indian Philippino restaurant neighborhood , mention fine grocery store take away Marks & amp ; spencer right tube station block . for people concern elevator , one can not miss unless walk lobby backwards ! will stay , gladly . 
 oct 2 2006 	 awful experience : not go . 	 book double bedroom spend romantic evening lovely initially look like nice hotel , least accord picture find advertisement online entrance property . firstly disappoint courtesy concierge think greet we smile part job description , although salute warmly . secondly , room different believe pay . instead lovely , dimly light nest , end sleep standard hotel room absolutely nothing special . however yet ready let put we . really concert dusk … 7:30am , sunny Saturday morning , woken symphony unpleasant noise . first notes concerto play housekeeper walk wooden corridor , close door loudly knock pointlessly . accompany train station ' manager , announce next departure nearby train station loudspeaker : absolutely delightful ... nevertheless , enjoyable part morning certainly drill hammering come another bedroom apparently undergo refurbishment . get ready packing bag , receive two phone call within less 10 minute lobby hurry we room . leave premise , tell concierge disappointing experience . find appropriate apologise even try take commercial approach offer we kind special treatment settle issue . manage say respond dissatisfaction " next time book room , make sure ask room front hotel " : ice cake ... certainly ' next time ! 
 Sep 29 2006 	 Location good Facilities poor 	 usually book apartment internet never disappoint however Mayflower Apartments be . we book apartment 3 . kitchen recently refurbish rest simply literally fall apart . the sofa cum bed lumpy queen size bed break . we complain reception offer give we another apartment , doubt much large different problem . there practically cutlery . oven work , washing machine could put plier ! boiler leak closet ruin shelf clothe . there internet connection promise though suppose iron hairdryer give 40 pound deposit . we two week require amenity service apartment unfortunately Mayflower Apartments live to . the nearby tube station ( never mind announcement ! ) convenient , Earl 's Court Road restaurant ( Dragon Palace one ) useful positive attitude keep we overlook shabbiness . 
 Sep 9 2006 	 not go ! 	 recommend hotel , summer winter back hotel end vast knowledge train timetable hear time ! ! ! website states climate control ceiling fan ! none room ! room small tidy warm nothing like room website , would like know whether even exist ! ! ! ! ! ! one night would ok , long tedious . beware ! 
 Aug 29 2006 	 great hotel 	 sister stay early august . think great hotel . stay one room basement floor , little noisy street nothing crazy loud . bed comfortable bathroom great . quite spacious compare place . room size great . run trouble flight london airport mess happen day get , staff really great , not charge we internet use find another flight . hotel good location , right around corner earls court underground . cont breakfast fill extend hour weekend . 
 Aug 29 2006 	 great look hotel shame room size ! 	 hotel obviously undergo recent complete makeover . result trendy , almost like boutique hotel . perhaps little self conscious image seem expense basic thing like size room . although complaint level comfort , cleanliness , standard service , breakfast location ( excellent ) , shock could advertise room occupy double room . never stay hotel room ( standard ) anywhere world one occupant climb get bed . also , room small little storage space bedroom bathroom . order get sink bathroom keep elbow fear hit nice marble wall . I feel owner Mayflower do impressive job create visually stunning hotel , try squeeze ( literally ) much space maximise profit . I would recommend stay long period lot luggage , fine day . location , minute two Earl 's Court Station , handy road outside fairly quiet ( good job double glazing ! ) . 
 Jul 26 2006 	 mixed feeling 	 stay 4 night June . reservation , red Tripadvisors review browse hotel homepage attractive photo . visit London almost 30 time , would say somewhat compare . location nice . tube station close Earl 's Court go trough facelift since visit early . also good affortable restaurant Mazala Zone near . hotel staff ok , lacking & quot ; warm old english poliness & quot ; .The room clean etc . , space exept bed . really ( know expect roomsize London ) ! husband stand force lay bed . red reviews understand roomsize vary lot . please , check room arrival , possible case . 
 Jul 18 2006 	 not book quad room hotel 	 book quad room extend flight place go . book quad room girl reception send we another apartment , locate another part street . condition room bad University reseidence . dirty one stay . since 4 lady ... feel insecured stay place . see . pay 130 pound per night expect something clean ... long term apartment clean ... can not imagine use washroom . it dirty . come back reception say guy disaapointe because1 . picture internet room totally different . guy say agent put picture , hotel.2 . elevator allocate fourth floor ( website show elevator ) 3 . want swap room guy say room leave . after insist worried safetyfinally say get room we .... thx god ... finally put we another room still room 130 pound ... becareful , someone put another buiding , mean rip ... flight right ! ! 
 Jul 14 2006 	 business traveler ! ! 	 think might cultural distance U.S. Europe explain mixed review Mayflower . hear someone pure british accent say much thing another american guest complaining management . high standard travel lot business , find much lacking tourist - class hotel . first night , put sub - ground level room overlook junk backyard . noise Underground train go back barn keep awake well midnight . ( train come ground level station two Earl 's Court . ) bitter complain duty manager hotel manager ( female night - staff person talk could care less entirely unsympathetic ) , move street - front room good light . advertise wireless internet keep cut , fan loud could not think ( important summer -- note air conditioning window barely open ! ) room big enough stretch floor next bed , could imagine sharing room , even someone like lot . breakfast good , pay extra egg anything cook . overheard another american guest tell management apartment filthy . not believe standard room look anything like photo internet . see three different . 
 may 22 2006 	 wonderful stay 	 great stay one london 's good keep secret . can not understand bad review . family thoroughly enjoy . two room one wife kid 19 16 . room beautifully design . service great . breakfast lovely . location great minute walk station . Reccommended . 
 May 22 2006 	 enjoyable stay 	 wife , get back week Mayflower Hotel . enter hotel decor gorgeous . along super - staff service , could not ask . room beautifully design wife thoroughly enjoy ourself . hotel also really nicely locate heart Earls Court , make excess shopping sight - see breeze . Mayflower Hotel , luxury hotel budget price superb location , go along morning breakfast superb , sad week end come home . Great Stuff . 
 may 21 2006 	 good place stay 	 stay mayflow 18 - 19 May anniversary . hotel well present smart reception area . staff meet always polite helpful . the room stay little small side fine price pay . understand hotel recently refurbish certainly seem case judging room nicely furnish . also digital tv , cd player radio alarm . thing not like room light adequately - dark furnishing spot light not help , plus lot natural light cut heavy curtain wooden blind . continental breakfast include price , nice . pay extra full english wish 's point ? location good , within minute walk Earls Court Road tube station , make easy we get theatre take couple show . all hotel would happily stay . 
 Apr 20 2006 	 believe read ! 	 may recommend Trip Advisor reader believe positive review hotel probably write last year . my family visit hotel choose hotel large nationally brand chain . character . would recommend room 6 7 although bathroom facility tight room 6.the hotel perfect mean , provide good value money recent renovation make many early ' poor ' review redundant . the hotel currently provide anything B & amp ; b need identify local restaurant suit palate . location Earls Court Station within minute walk convenient lift platform District & amp ; Picadilly Lines . unfortunately destination may good . if choose hotel hope experience also positive . 
 Apr 17 2006 	 poor service 	 thing bad form start . pre - booked parking space hotel jsut round corner frm hotel . problem get parking full . manager son take upon park one space wait come move car . stay one apartment accross road . first inspection everything seem fine . within minute arrive knock door . local resident complain stay tell we hotel let apartment illegally would covered case fire . go accross speak reception hotel deny say never hear . anyway sort situation expect face pay good money . after minute apartment become clear place shoddy . furniture dirty stain . light bulbs break wiring gerneral look pretty poor . eof light even send spark electricity close friend . tv reception also poor . other apartment bad opinion represent good value money . the good point Earl 's Court station minute walk away apartment . poor customer service continue departure . go reception hand key collect car . girl reception say already someone car park could jsut walk meet . walk car park find lock one sight . call hotel get send someone back car park . wait ten minute still one call say would send someone . 5 - 10 minute still send someone walk al way back hotel get key ourselves . their porter make Manuel Fawlty tower seem like realistic character . overall , accommodation average , probably bit overpriced poor service really let place . 
 Mar 20 2006 	 tiny cramp room 	 & quot ; Gullivers Travels & quot ; size room , tiny tiny cramp room suppose upgrade would hate see standard room . stay 2 night even bother unpack room . hotel clean staff friendly pleasant enough . Breakfast expect continental leave hungrier arrive . the hotel way expensive . another downside bar . round corner good area night . shower cold water trickle . average would stay . rate okay would not describe terrible definitely advertise . 
 Mar 6 2006 	 good relation quality - service - price ! 	 mayflow hotel great option travel London . friendly staff , good service , room clean correct sized , clean towel day , self heating room , big window good light , good continental breakfast , one minute walk ear ' court station , nice neighbourhood . important talk London , good relation quality - service - price . 
 Jan 24 2006 	 surprise 	 read previous review not complimentary friend little bit worried , soon fade enter hotel , lovely reception area , friendly staff . room rather small adequate , clean towel provide day . continental breakfast delicious , selection cereal , fresh fruit etc . would definitely stay , want luxurious spacious room maybe not hotel , long spend , long want see sight London . satisfied can not understand bad review previous guest . 
 Jan 21 2006 	 good Choice Earl 's Court 	 mayflow terrific value city expensive hotel . room clean pleasant , service excellent , staff friendly helpful . continental breakfast also fine -- not know people complain : cereal , fruit , juice , yogurt , cheese , coffee tea provide , else need ? hotel nice visual style , make another Earl 's Court rooming house . proximity Underground station mean get Central London 20 minute . ( one thing : room back actually overlook station , hear train pull . come find sound soothe , see might bother people . ) be travel budget want pleasant hotel , would definitely recommend Mayflower . 
 Jan 18 2006 	 LOVED stay ! 	 Mayflower Hotel clean , smart well appoint room . breakfast wonderful , staff go way helpful . thank great friendly service ! 
 Dec 17 2005 	 cramp poor value 	 superficial appearance luxury end reception . I book one " executive " room informed receptionist one fine . room tiny poor lighting literally space put suitcase . wardrobe bulb miss integral lighting unit leave expose connection indeed hallway electrical wire hang ceiling . bathroom , whilst pleasantly fit , also tiny poor lighting loo roll holder loosely fit wall badly position obstruct access loo . shower extremely poor turn fine spray simply dribble stream . tissue provide three small container bathroom product replenish second night . towel rail – hardly surprising suppose give size room . the wall room paper thin result we hear detail conversation adjacent room ( obviously subdivide room ) . Breakfast turn extremely poor " Continental " breakfast include orange juice taste water tea coffee flask . second morning milk provide sour . service " self service " point service , even cutlery collect food . finally , hotel advertise egyptian cotton sheet Merino wool blanket . neither true – indeed blanket make nylon ! ! complain time apparent complaint would well received hotel full would opportunity change room even suppose room well . stay many London hotel large room similar price . overall highly disappointing experience despite convenient location would stay 
 Dec 16 2005 	 good stay 	 stay hotel back 2002 hotel renovate , live London time flat problem . anyway , room amazing , can not remember floor though . needless say upon read review quite scared go back . make call hotel . need 4 room tell check website .... upon arrival , hotel fresh look . great . girl reception nice polite . give we 4 room go check first . indeed quite small decorate taste . live London 4 year study hotel management etc know hotel average , term price especially . hear lot complain people arrive hotel waiting room .. turn well , manager though need friendly polite , well old man work there . it clean well MUST , especially London ... p.s girl tell manager check website comment course ... 
 Dec 10 2005 	 one clean hotel ever . 	 mayflow hotel pretty Reception compare other . the staff kind helfull . room stay - in clean pretty size room not big , would definitely recomande hotel . 
 Dec 8 2005 	 never 	 good get go . room tiny notice instead actual double bed , two single put together . room even decorate properly could still see seal use floor edge . one member staff lose key . reassure do not still , would'nt admit responsibilty blame we . waste money time ! 
 Nov 28 2005 	 Adequate 	 11yr old son book Twenty Nevern Sq ( sister hotel ) arrival , direct mayflow due ' refurbishment & quot ; . intrepidation enter , already aware unfavourable review . however , say room small clean well stock toiletry , towel etc . 2 double bed like iron disappointed bath soak weary bone ! appreciate noisy neighbour booming voice 6 am ! otherwise average money- £ 89 lateroom 
 Nov 14 2005 	 horrible 	 tiny , dirty room . noisy street , noisy tube line rear . rude staff . would clean quieter sleep bench Hyde Park . 
 Oct 20 2005 	 disappointment 	 unfortunately England never fail disappoint boy disappoint Mayflower Hotel . 4 seasoned lady traveller take leisure time seriously - pride research destination place stay we extremely fortunate experienced type accommodation , hut beach 7 star establishment . well aware trick photography artistic licence write word therefore expect small room less sumptuous soft furnishing advertise - Mayflower Hotel really mis - sell last weekend . advise take apartment - consider suited need - . read Johanssens review ( unfortunately Trip Advisor ) look forward new hotel new area London . apartment connect hotel either structurally telephone line , locate separate building , 5 minute walk away - build old , tatty housing private apartment . staircase filthy dirty , stank urine litter children toy . apartment way whatsoever resemble advertising Mayflower Hotel - old fashioned , dirty complete shock enter reception hotel . maybe hotel misselling , actually employ clever marketing campaign - cry horror immediately placate offer we 2 family room main hotel . initial reaction & quot ; wonderful , exactly order & quot ; unfortunately hour become aware room noisy , grubby ( poorly launder linen ) badly ventilate ( 1 window would stay open ) , small house family 4 . light inadequate anyone wish apply make toilet one room small large bottom would easily get stick ! enter room first , would complain , compare Apartment , wonderful . , hotel aware - offer poor room first , replacement always look well ? hear 3 set guest complain also room , immediately placate replacement - small hotel find many alternative ? main hotel staff nice breakfast pleasant surprise ( fresh fruit , cheese , salad , etc - although run bread ! ) continue offer utterly shoddy accommodation pay guest clearly expect something , different 
 Oct 17 2005 	 everyone beware ! 	 return short sojourn mayflow state shock ! foreign visitor take note . four lady reserve luxury apartment two night read excellent review Conde Naste & quot ; Traveller & quot ; magazine . say disgusting understatement , believe & quot ; flat & quot ; would closed Environmental Health Agency aware shockingly filthy . flat question next door Mayflower Hotel , would appear , good five minute walk away past Earls Court Tube station . entrance , four flight unlit stair , stunk stale urine . filthy food stain carpet full cigarette burn actual flat . bed cover fit decorator dustsheet . bed full length resemble & quot ; camp bed & quot ; . phone , towel - not hang around long minute stench overwhelming . subsequent threaten Public Health Officer place two & quot ; family room & quot ; ( always spare room purportedly , intially , full ? ) . noisy , ( underground announcer love sound voice ) cramp generally one would expect Johannsens guide recommend Conde Naste - Cheap Nasty would well . foreign visitor may arrive long flight scenario would nightmare . take advice we , unless particular fondness pungent toilet smell filth , stay elsewhere . 
 Aug 12 2005 	 Nightmare Mayflower avoid cost 	 lobby hotel seem clean modern , not fool . book room mayflower , Earls Court , three month advance . room front hotel face busy street noisy night various club bar . room rear adjacent tube line , train rattle past every fifteen minute & quot ; try & quot ; sleep . staff rude least bit helpful . ask front desk clerk call taxi , call unlicensed illegal cab charge 10 GBP ( $ 19 ) travel less mile . sheet towel change 3 day . breakfast consite stale corn flake warm milk . save misery stay somewhere else 
 Aug 9 2005 	 terrible disappointment 	 staying hotel recommend famous & quot ; Time & quot ; guide awful experience . shock list book , make question recommendation . let us start noise . tiny bathroom air conditioning . fan sound las loud car engine . plus side , breakfast decent . staff try hard friendly . know neighborhood , never eat local restaurant corner , etc .. hotel make room create carve large set room . definately cut way small . amount design small lobby make room big nicer . noise street go 24 hrs day . terrible choice summer enter London jet - lag . would never stay hotel , would never stay Earls Court section London . depress economic neighborhood high density immigrant population . cup tea vacation . 
 Aug 3 2005 	 oh ! 	 reserve hotel reputable website many sleepless night review London hotel . visit London previously , know room alot desire ( unless want pay $ 400 - 500./nt ) , read think pretty decent review , book . room ( so - call triple ) 2 adult child 4 - night . tell Mayflower website hotel recently go refurbishment , ie : wood floor , wood blind , marble bathroom , flat screen cable tv , etc ... even mention Conde Naste late international directory . normal person would think ... great ! needless say , tell , receive . upon check - in greet - & quot ; upgrade suite . & quot ; wow , think ... see idea suite , clearly wrong page . 12 - yr old appal make first day London absolutely awful complaining constantly . suite apartment next door . clearly flat . woodwork filthy , curtain wrinkle , dinky 13 & quot ; tv , shower not work , unless sit tub hold handle . son sleep , twin bed , end table top flip bed roll . YUK ! ! wake next morning 4:00am go outside rang doorbell reception vent - get absolutely nowhere . since Live 8 , choice tough pay oodle - decide tough , since stay long ( thank G - d ! ! ) though email website hotel lobby complain say would look , . pisser Mayflower say offer room hotel choose apartment . receive photo room send website London office use fuel . thank goodness last trip London . 
 Jul 13 2005 	 lovely hotel 	 husband really not know expect arrive Mayflower Hotel London read widely contrast review TripAdvisor . since bit paranoid , ask see room pay ( woman desk quite happy show we ) . nicely decorate spotlessly clean . yes , hotel back onto Earl 's Court Tube Station . Tube not run middle night . noise bother we come inconsiderate guest think okay stand outside room chat 11:30 pm . yes , room exactly spacious North - American - Chain - Hotel standard , be travel light , be enough room couple small suitcase assort stuff accumulate be travel . plus , much time planning spend hotel room ? 's really place sleep . bathroom small side , shower excellent water pressure , soap shampoo provide . breakfast wonderful . week greasy , luke - warm scottish Breakfasts Edinburgh , happy find fresh fruit , cereal , yogurt , fresh roll , cheese vegetable beautifully - decorate Breakfast Room . desk staff pleasant helpful , every time go ask something . ever London , stay mayflow , would hesitate recommend . 
 Jun 7 2005 	 Mixed Feelings 	 wife stay mayflow 8 night okay . apartment rent good value money newly renovate . amount save dining well worth . bathroom clean new fixture , yet small . strangely though , shower shower curtain hence , water onto bathroom floor . ask staff curtain reply nicely shower mean ? ? ? ? ? appliance kitchen new modern . bedroom extremely small London ! one big complaint though quality mattress give we actually two single matresse push together make one queen size bed . one mattrasse wear lower . despite , apartment neatly decorate enjoy . anyway spend time apartment whilst London ? ? ? ? ? ? ? ? make sure check chinese restaurant Earl 's Court road call & quot ; Red Dragon & quot ; . two minute hotel . serve good chinese ever taste . 
 Jun 6 2005 	 great location - tiny room ! 	 agree much write already . favour hotel really close Earl 's Court tube reception area stylish , - room incredibly small . book triple - double single bed child . time three us room bag literally struggle get around . bed turn two three - quarter bed - sleep son enough room two adult one bed . go immediately reception ask move tell hotel full - have ask pay arrival not even option move another hotel ! noise tube problem room rear hotel air conditioning consist overhead fan , be warm night , we , option cool lie awake fan noise , try sleep heat - windows limited opening allow little air . personally stay Mayflower . picture bear little resemblance room give , ultimately size room main gripe . be difficult get across review difficult make stay . thank goodness one night ! claustrophobic beware ! 
 Jun 5 2005 	 clean tiny room 	 location close tube station , fact close room ground floor illuminate light top tube shed . room stuffy warm , bathroom tiny . toilet wedge corner shower sink . place stay claustrophobic large sized . two double bed ( stay triple ) push wall , could get one side . staff minimally helpful , fact become joke family say & quot ; will ask desk & quot ; able get answer , understand answer give . Breakfast okay , 8:00 mostly go . would gladly offer toast everything else deplete . 
 May 30 2005 	 gorgeous hotel ! 	 stay mayflow 20th 25th April really gorgeous ! can not understand people write crap review : twin room , small , nice decoration , every comfort . bathroom impressive part room : rather big , walk - in shower , completely renovate . hotel really look like high star rate give . breakfast room stylish cosy , , breakfast good choice , really necessary ask cook meal . would recommend charming boutique hotel everybody go London ! 
 May 28 2005 	 good ( great ) Hotel 	 let begin say rather easy please . say , fully understand negative positive review . 's matter perception come expect hotel upon check . room small , although something ' ve come expect travel Europe . coffee stain bed spread room clean comfortable . not complain bed spread hotel generally not wash often . be gross , unfortunately true . simply case unaware . advice remove whenever stay hotel . staff friendly helpful . continental breakfast delicious way start day . location ( right next Earls Court Tube Station ) great . basically , hotel anyone plan spend lot time outside hotel . vacationer meet need , exceed . would definately return another stay . 
 May 16 2005 	 Neat cramp room 	 Together wife daugther stay hotel . room two small double bed little room leave move . bathroom good , except lack hook / railing towel . I expect room back become hot summer . fan ceiling move air about . breakfast continental style ( roll , croissant , coffee , tea , juice , milk , cereal , butter , jam , cheese , etc . ) serve modern style lounge basement . we fine . the staff friendly act adequately require . if room little bit large would received high rating . 
 Apr 30 2005 	 scared reading review apartment GREAT ! 	 read review really nervous stay Mayflower Apartments . figure many people offer review either visit apartment renovate , visit busy season end less desirable apartment . like will read Mayflower 's website , apartment undergo renovation . apartment ( 2 bedroom ground floor ) look like picture website . door slide wood door sqaure window , bathroom fixture modern clean . kitchen small refrigerator , oven / range , washer / dryer combo , toaster , coffee maker , utensil dish , cup , cooking pan -- group 5 need . apartment 11 foot ceiling , bay window one bedroom . apartment clean , especially bathroom . the apartment building actually 2 door front office . key ( staff provide group 2 ) , buzz room enter building . there issue one toilet one bathroom -- pump flush . must pretty common problem UK , ' ve see similar problem hotel country . read one review describe couch dirty sit . admit -- brown fabric really look scary . inspection , discover fabric sort nap make look grungy . room come extra bedding , could cover nervous . sleep 5 comfortably 2 bedroom apartment ( 2 fold cot -- real mattress ) , 2 per bedroom one cot living room . would move furniture get cot living room . one bedroom queen bed , room two twin bed . mattress pillow average . the location hotel could well . be 1/2 block Earl 's Court tube station . Earls ' Court Road lot little shop restaurant , include little grocery store buy food , paper towel , dish soap , laundry soap . 's 20 minute walk High Street Kensington ton ton fun shop . hotel apartment quiet street consider busy Earl 's Court road , nearby park good place get away city . the hotel wireless internet access . uur cell phone plan get free datum ( regardless area ) , able get strong enough signal use access internet . nearby internet cafe be not use they . the daytime hotel staff helpful competent , red - eye desk gal work McDonald 's street . our group seek luxury accomodation , stay hotel . apartment much well expect , especially give review . apartment luxurious , darn sight well tourist class budget class accomodation . have class moderate rating . I plan bring child London future , plan stay mayflow location convenience apartment living room group . save ton money ridiculously high London dining price stay apartment eat breakfast dinner . stay apartment cheap we stay tourist class hotel . would recommend apartment highly , especially budget concious traveller not want stay bottom barrel . feel mayflow excellent value ( $ $ -wise location - wise ) group . 
 Apr 26 2005 	 expensive ... poor ! 	 wife stay 23rd April although room nice small cramp . single room really double bed . waken around 5 am bang thumping noise come somewhere wall attic , think water tank boiler something like , last 30second . every 20mins 7.15am . we go breakfast 9.10am ( serve 8 - 10 ) amazed want cook breakfast pay extra . available juice , cereal cheese tomato . not croissant leave either . room £ 89 say inc . breakfast . we make view know management check - out treat & quot ; well luck next time & quot ; answer reply & quot ; next time , hotel anyway & quot ; .Not recommend . Mr Gerry Swan , Jersey , Channel Islands . 
 Apr 25 2005 	 Bait Switch 	 one hotel mix review ? mystery solve - hotel major bait switch - photo room website representative give . twin room give totally different world anything website . small literally take bedspread front desk since place put room space leave walk . bed close together could walk . parakeet lounge chatter loudly could hear two set door . good news location - one short block Earls Court underground . bad news underground train run directly behind hotel . would helpful run fan room drown noise , fan switch break . although new switch instal , result run fan one speed high speed fear fan would come loose ceiling . two night room , show large room tell like one could pay extra 20 pound night . room quite lovely spacious . one actually get ( pay extra charge advance ) small one show . least away parakeet train . handle bathroom door fall minute touch door room hard unlock ask help desk clerk open . two problem solve next morning , tell manager people ever complain . perhaps trip advisor send copy review . decide take advantage convenient location hotel , please forewarn website photo room definitely representative hotel definitely expect twin room suitable two adult . fairness , could give rating terrible bed excellent , bathroom spotless , breakfast room accurately show photo , staff ( manager except ) pleasant eager help . 
 Apr 23 2005 	 go back mayflower soon 	 strange one hotel get vary review . stay January group friend . stay triple quadruple room , large ( London ) stylishly renovate , lovely bathroom , nice linen , cd player . room look Earls Court Tube station , make little noisy day , nothing unbearable . staff helpful friendly . overall great value money , ' m plan go back soon . see one double room , small , unusually . sound like apartment avoid . 
 Mar 13 2005 	 Mayflower cramp service bad 	 husband recently stay mayflow two night . find room small stuffy . also notice instead marble bathroom , Mayflower advertise , bathroom tile ceramic tile marble appearance - really care - odd . first day , breakfast room full come 8.00 wait table , wait 30 minute someone take order leave . not go breakfast second day . 
 Mar 3 2005 	 avoid 	 like other offer ' upgrade ' apartment arrival rest hotel full . the apartment short walk away , problem . soon look around decide stay various reasonsit dirty , sahbby thread bare capretsthe bed narrow , 8inche apart , butted wall - something can not stand , particularly narrow single . there remote 15 year old tellybut bad thing timer clock kitchen keep make clake sound time . I go back hotel proper complain , basicly refuse tostay , eventually agree put sister hotel , claim also AA 4 Diamond , course get wasn't . my impression mayflow quite nice - get stay main hotel , overbook people shabby aparment willAvoid lottery - book somewhere else 
 Feb 14 2005 	 nice time mayflower 	 stay Mayflower June 2004 find quite charming room though small , clean overall fun experience . staff bit surly , large city not anything surprised . price quite fair proximity Earl 's Court Tube station suberb . 
 Jan 27 2005 	 enjoy Stay 	 truly enjoy stay Mayflower Hotel . find staff helpful friendly . hotel close tube , restaurant , shop . always feel safe area . room clean large 3 bed , nice marbled bathroom , hardwood flooring . would definitely stay Mayflower . 
 Jan 20 2005 	 Best ! ! ! 	 boyfriend stay mayflow last November love sweet little hotel . stay room 37 not big spacious enough us shop ... marvellous lodge clean , newly renovate hotel perfect location . we return May HONEYMOON ! 
 Nov 26 2004 	 Nightmare 	 Mayfower terrible ! stay apartment discuste dirty . floor dirty sheet look like have never clean bathroom werre small could not even turn around . top , shower work properly one come fix . sevice less pathetic . would prefer sleep bad Motel 6 New Jersey , would seem like Ritz , return Mayflower . avoid cost ! ! ! ! 
 Oct 23 2004 	 good hotel london I ve stay 	 hotel nice , close earl court tube station , right around corner . yes hear train do not care do not bother . room nice , full size bed , wood floor nice design inside room . good fan bed heater room . like one touch control able operate bed . pillow bed super nice well . admit get scared go elevator hold one person hallway inside hotel small thought damn go to suck open door room 24 way go back downstairs tell staff happy . I ve stay hotel london cost 200 buck night , like gloucester bailys hotel top . thing hotel lack mini bar could store cold drink ice machine hotel like find big chain american hotel . hotel simply rock stay 52 pound night can not beat 
 Sep 28 2004 	 newly renovate 	 family stay two different hotel trip London August book internet . first hotel clean , sorely need makeover . , stay Mayflower . 's say wow ! hotel equal price location ( Earls Court ) , difference ! take Tube one line Heathrow Airport switch line plus . Tube , mayflow short two minute walk literally ! exit Tube , took leave first leave street Mayflower . walk lobby immediately know find nice place . small bar / internet area Lobby nice . favorite flow contain waterfall lobby . chic ! room two double bed tastefully decorate modern art deco design . favorite part room bathroom natural tile walk shower door . be big ! remind outdoor shower find caribbean indoor . tile gorgeous ! bathroom amenitie modern CLEAN ! ! Breakfast include price serve nice room basement hotel . impressed place area ( Earls Court ) . Earls Court general many quaint restaurant right Tube . actually , area remind Greenwich Village NYC . walk right Tube station , see area develop really nice upscale area . would definitely recommend hotel area . 's quick get center town Tube , nice outside hustle bustle city . be like 's little & quot ; village & quot ; inside city . highly recommend mayflow price ! ! 
