slide 	 hotel way . go several year start great value find . time pass standard slip . dirty towel , disintereste staff , staff reception ... sense Service 
 Sep 11 2007 	 Great Value Great Hotel 	 82 - year - old mother law stay 10 night Aug. 26 - Sept. 5 . got great rate AARP ( though rate via web source also good ) .Our stay consistent every positive thing say review . our 5th floor room spotless everything working order . hotel quiet neighborhood issue traffic noise , despite fact street side due beautiful weather , window open . bed comfortable , comforter heavenly water pressure shower great ! safety deposit box ample size lobby location minor inconvenience . high speed internet access definite plus , well worth web addicted person like , although rate bite steep ' use to . the staff friendly , responsive , helpful eager assist , often go beyond call duty . breakfast basic fresh , well prepare plentiful . light dinner hotel restaurant twice stay find food surprisingly good ! alternatively , excellent restaurant literally step away . favorite , Waterside , indoor outdoor dining Thames side , offer varied menu , fabulous food , great service , young , hip atmosphere . the bus stop literally outside door across street . bus Fulham Broadway Earl ' Court tube station frequent even weekend . c3 also get nearby King ' road ' short walk . taxis readily available via reservation front desk hail one outside . fare central London ( depend destination time day ) 10 18 GBP . ' go rely solely taxi may want take consideration , even elderly travel partner day use taxi return hotel . I already recommend hotel London friend town guest definitely use hotel future trip London . 
 Sep 8 2007 	 Fantastic Clean Hotel ! 	 brilliant hotel . stay girlfriend 3 night end August . hotel locate develop area close Chelsea Harbour . hotel fantasticaly clean throughout . make sure request ' corner ' room lucky one room massive ! hotel luxury price ( get rate 79 £ per night ) 's 10 minute walk Fulham Broadway Tube station there s plenty shop bar area . recomend skip breakfast average worth money though ! really brilliant hotel price would deffinatley stay , return London leisure interest ! 
 Aug 22 2007 	 comfortable clean hotel 	 spend three night August kid , aged 17 , 14 11 . comfortable , clean room reasonable rate . enjoy much . the negative 's little far tube although walk tube every morning absolutely problem get bus back Earls court evening tired . , C3 bus take right door . 
 Aug 16 2007 	 great value customer care 	 wife stay hotel part theatre break . spacious room first floor . immaculate . en - suite bathroom spotless , everything function perfectly . receptionist extremely polite helpful . continental breakfast ample , well present . £ 3 , guest could full cooked breakfast . finally , room extremely quiet - road noise , despite road close . neither disturbance adjacent room . put walk / bus journey Fulham Broadway - end result disappoint . 
 Aug 9 2007 	 Fab hotel 	 search internet hour find resonable price hotel would accommodate 3 adult 1 room , book here . on arrival pleasantly surprised , hotel fairly new , staff friendly room clean . check quick arrive room , single bed double , amenity need room , Hairdryer , Dove soap bathroom etc .. plus ice water machine end corridor , handy . House keep friendly efficient ask iron board extra towel . hotel new development area , restaurant Imperial Wharf , quite expensive . access London via bus tube . 391 go Fulham Broadway C3 go Earls Court . take 15/20 minute get centre London ( Oxford Circus ) . do not breakfast hotel , go Fulham Broadway , Sainsburys , Pret Starbucks . do not dine restaurant dinner , drink bar serve 1 am resident . overall pleasant stay would stay . 
 Jul 26 2007 	 Excellent room 	 Booked Virgin Vacations get hotel switch we time due overbooking issue . little wary review state way hotel . fairly far tube station , incredibly convenient get around . bus stop front hotel get either Fulham Broadway 5 minute Earl 's Court 10 , Fulham Broadway also nice 10 minute walk . not let put ... hotel well worth . great room 6th floor wonderfully furnish extremely clean . bathroom quite large english standard also clean . breakfast wonderful every day staff friendly helpful . 
 Jul 11 2007 	 good room good price ok location bad emergency service 	 clean , modern hotel decent size room - room well price low victorian era dump around Earl 's Court Paddington area . location ok - get bus Earl 's Court ( 10 min ride ) Fulham Broadway ( 5 min ride ) tube station right outside hotel . also walk Fulham Broadway ( 15 min ) King 's Road ( 10 min ) catch bus city center . breakfast edible - ok cereal , fruit , egg , lousy sausage , horrible orange juice . could not find local alternative would serve coffee pastry breakfast . reception desk service fine routine task . support service horrible - people not speak English completely clueless . fumble credit card 10 minute try use pay breakfast , someone front desk come 15 second . electricity room come back around midnight , send clueless guy go around randomly check circuit breaker - even though obvious problem card - operate master switch room . guy not speak much English either - take full hour get bring flashlight could pack bag next morning 's flight look another room . compensation fiasco inadequate , hotel night manager act somehow fault , even though clear cut case poor maintenance incompetent personnel . need anything do hotel , not waste time support people - go straight reception desk deal issue fully resolve . 
 Jul 11 2007 	 good 	 stay part CIE Tour England . nice hotel staff friendly . breakfast quite good room nice clean . thing wish close London . short bus tube rife city center . location Chelsea nice . be right water . 
 may 25 2007 	 Hotel ok - give food miss 	 Infusion Restaurant rename Confusion . wait 40 minute starter overall one half hour meal ordinary defied description . free wine way compensate - apology short staff . ' m home cook could manage people wait eat . high recommendation Waterside Inn , beautifully poise Wharf , friendly , happy staff , well price food wine . deep - WOW - like seafood will love fabulous restaurant . everything , organza cushion chair outside match candle light . chef / owner light touch presentation immaculate . 's little pricy worth . 
 May 7 2007 	 Great Hotel Excellent Price 	 stay hotel May bank holiday weekend 2007 find excellent . staff courteous helpful . room clean comfortable good size . housekeeping forget leave we coffee cup second night phone reception within 5 minute deliver room . reservation location read review site travel however London excellent transport system , bus stop outside door 391 bus take Fulham Broadway tube station C3 take Earls Court tube bus run 10 minute interval . want walk take approx 10 minute walk Fulham Broadway . find good option go Earls Court tube line run save time . get one , two , three day travelcard - excellent value use bus tube - pay individual journey expensive . 
 Apr 11 2007 	 second stay 	 stay good experience first time . experience second time - convenient early check without fuss , true non - smoking room , helpful staff , extremely clean property . 391 c3 bus quickly efficiently connect tube . stay central London find hotel conducive good sleep - well bed less noise outside window . stay . 
 Mar 22 2007 	 good value small inconvenience 	 much say not say . new hotel , friendly staff , good sized family room low rate ( 65 pound per night book hotel website ) . ok downside . 's 15 minute walk short bus / taxi trip near tube stop . every hotel London seem tradeoff overall one good value 
 Mar 13 2007 	 nice basic clean Hotel outside congestion charge 	 hotel far enough pay rip London congestion charge ( although careful sit one road away charge zone ) . guess people will not drive aware on - site parking near secure NCP charge £ 20ish per 24hrs ( not bad London ) . stay theatre leisure break travel see friend book room via www.jurysinn.com promise good price £ 90 family room Wednesday night . aware although book month advance turn reception record booking even though print confirmation ! ! hotel busy although arrive early ( 2 pm ) check people complain check - in desk make reservation could find . one guy front want add extra night stay night turn away hotel full . luckily guy behind desk get room ( unfortunately disabled room promise family room ) double bed fold bed . fold bed big enough one child leave go London speak reception reluctantly get we another fold bed . as kid we not want long walk tube opt taxi 's - easy flag outside hotel charge always least £ 10 get central London 's usual tourist attraction . overall hotel nice , clean recently develop . use restaurant breakfast fairly simple selection . check total shamble confirm book go - could left without room . 
 Feb 7 2007 	 Winter stay Jurys 	 hotel locate 20 minute walk away near Underground Station , Fulham Broadway . close Chelsea harbour & quot ; develop area & quot ; adjacent Imperial Wharf . alot new residential development plan around hotel . gas work quite close hotel . Imperial Wharf also develop already restaurant . & amp ; & quot ; Simply Food & quot ; also plan . near food outlet moment Tesco Express locate garage king Road , 10 minute walk away . a taxi V & amp ; cost £ 10 , Victoria Station . check efficient room 5th floor ( 502 ) spacious double bed bed settee . however room adaptation people disability might & quot ; circulation space & quot ; wheelchair user . ( neither us disability require adaptation Occupational Therapist ) drop rail next WC wc high normal . flush control large normalthe door bathroom wide . bath low horizontal bath rail . easy step side easy low get . bath aid provide . pull cord alarm next bath . wash hand basin low wheelchair user find little & quot ; un ergonomic & quot ; view room back hotel . air conditioning / heating efficient comfortable . bed fine additional pillow supply . ice machine land outside room . eat hotel bar evening . Lasagne chip fish chip come £ 14 . food OK . also breakfast approx £ 10 . ordinary choice cereal , juice , tea coffee . hot range consist approx 7 choice + toast cook order . & quot ; hot & quot ; choice apart toast bit & quot ; cool & quot ; . dining area bright clean . complimentary newspaper available . it take approx 30 minute walk hotel Royal Hospital , Chelsea would highly recommend . walk pleasant alongside Thames . Chelsea Physic Garden National Army Museum also worth visit . Royal Hospital National Army Museum free , charge Physic Garden ( £ 7 adult admission visit ) king road interesting good cafe & quot ; Antiquarius & quot ; Antique Centre . drink Spaghetti Bolognaise come £ 7 . cafe seem frequent Antique dealer . food provide quickly pleasant staff . it not bad stay not stay want pretty view want step straight hotel major tourist attraction . travel sight either taxi , foot and/or Underground . 
 Jan 6 2007 	 would stay 	 not understand anyone could figure transportation system around hotel . 10 minute easy - to - find walk tube . however , desire bus tube bus stop front hotel , cab tube 4 pound . staff helpful question public transportation place eat . everyone hotel friendly food restaurant good one time eat restaurant . hotel room clean amount space room fine . someone rarely spend time room holiday great place . need frequent trip back room throughout day , not recommend . 
 Oct 22 2006 	 enjoy Stay 	 stay hotel 2 night 18th October . lovely spacious , clean room . please aspect hotel . location … … .. well bus stop front door ( frequent C3 service – 10 min journey Earls Court tube ) – could see could complain . Scotland advantage come smoke hotel bar sometimes smoky . arrive stop bar lunch thing choose menu fact available …… .. even anything eat coffee . breakfast include stay almost £ 10 english breakfast rather overprice offer . staff helpful courteous . would definitely stay . 
 Oct 17 2006 	 would never stay 	 spend 6 day way location towards end stay work public transport system save long walk nearest tube station . hotel seem build bus tour operator . certainly heart thing would next time pay extra within easy walk distance restaurant , shop etc . address may say Chelsea actually Imperial Wharf , distance Chelsea Fulham - Broadway . our stay start unpleasantly tell could non - smoking room bed rather convertible sofa ( tall son ) . ask would possible change room become available tell house - keeping pay make room twice one day . reception staff largely unfriendly focusse customer service . my wife become particularly unhappy go three day without access iron ironing board . response Reception not enough . finally receive one iron break definitely create risk electrocute . seem symbolic poorly care hotel also towel thin like sandpaper . although hotel seem relatively new unhappy uncared feel it . we travel reasonably widely throughout Europe US one unpleasant experience hotel . 
 Oct 16 2006 	 Super stay Jurys inn 	 stay family party 6 , 3 us 2 room Jurys inn Chelsea nice clean hotel . near tube Fulham broadway shop get essential like Boots chemist , sainsburys Starbucks ( yummy muffin etc ! ) walk hotel good 10 minute , although want get bus c391 stop Harwood road 2 stop along get come tube station turn right cross traffic light opposite TGI Fridays stay left ( bus stop Fulham town hall front small shop sell newspaper etc ) . 4 stop hotel bus turn onto imperial way 2 second stop along , stay london buy 3 seperate day travel card £ 4.90 day cover we travel zone 1 & amp ; 2 also use bus although annoyingly late saturday ! ( wait least 25 minute suppose run every 10 12 minute ) purchase tube station arrive . lovely time Jurys inn breakfast full english £ 10 continental £ 7.50 include tea , coffee , orange juice , toast , fruit salad cereal etc nice ! 
 Oct 2 2006 	 great find 	 book hotel via londontown offer cheap rate - especially London generally expensive . hotel quite new , locate newly develop part London call Imperial Wharf . although bit far action , short taxi ride extra comfort provide well worth . walk near train station 10 minute . room spacious ( UK standard ) good size bathroom include bath . arrive early jetlagge Australia . hotel duty manager / desk manager rush get first available room we wait . 9.30 morning relief get room quickly - great service . room service meal ordinary , would suggest skip go elsewhere , handy dog tire like . morning early start front desk arrange breakfast bag we appreciate . people meet tour complain size room , size bathroom sink airconditione fan . beautiful ice cold room ample space . would definitely recommend hotel - prepare spend extra buck taxi fare will love . 
 Sep 25 2006 	 Great Value 	 wife , 20 year old son spend nine night Jurys Inn Chelsea September 15th Sunday September 24th 2006 . find hotel line pay slightly less 59 lbs per night . Breakfast include . the hotel excellent almost every respect not trust computerized wake call system . otherwise advertise - air condition , quiet modern . you understand London UK realize hotel find . first , anything comparable would least 150 Lbs per night might get lot less . second , everyone use tube get around London , regardless hotel locate . excellent bus service Fulham Broadway tube station ( Bus 391 ) Earls Court tube station ( Bus c3 ) . neighborhood safe choose walk . also travel pass ( see ) good bus - wave driver . third , not expect hotel staff tour guide . find staff friendly efficient tour guide . buy guide book go there . order tube ticket London Underground least two week prior visit . see excellent web site buy travel pass . spend $ 250 travel requirement purchase one day , seven day 3 day travel pass . zone 1 2 adequate travel area visitor . receive ticket mail California within 3 working day order on - line . everyone use tube get around London . system great coverage , efficient cost substantially less alternative . spend time figure work - will not disappoint . the hotel apparently price market Imperial Wharf development plan behind schedule building slowly . however , world - class indian restaurant ( Memsahb ) locate within block hotel . also brand new bar seat right thame several apparently nice restaurant area . all hotel good , excellent . EnjoyAlan Miller . Santa Barbara , Ca 09/25/06 
 Sep 19 2006 	 Comfortable 	 stay Sept. 5th - 13th book British Airways . charge $ 940.00 9 night . we room 526 lg . , consider London economy price Hotels , double bed air condition . tv get 6 worthless channel hey , be London ! ! staff friendly enough we helpful exception 1 think not know English well , , , atleast smile ! room clean , sheet change , great shower , looong tub fill fast , always hot water , hair dryer , coffee pot , iron ( ask ) , ice every floor , prompt elevator , safety box near front desk valuable satisfactory continental bkfst . ( food sometimes get US hotel ) side we , , , , not know washcloth , liquid soap hang wall take 2 strong hand squeeze wake call system trust . bring washcloth , soap alarm clock ! weather incredible , 70 's 80 's , & quot ; 90 & quot ; one day even warm tube ! rain ! ! Fantastic Sunday walk Hyde Park ! ! find location safe though take little practice efficiently use bus , C391 , get Broadway Fulham Tube back hotel . 's 15 & quot ; walk strong pace otherwise ! purchase 1 week ' oyster ' pass ( include bus ) cost approx . $ 40.00 . worth every penny use tube frequently bus well . attraction area problem we . enjoy stay Jurys Inn would confidently recommend other not intimidate use London transit system . 
 Sep 3 2006 	 Long Way Tube 	 stay 3 night August 2006 . arrive midnight take forever catch cab around area find taxi driver know hotel locate ! around 10 pound drive near subway station ! ( would 1 km walk . ) locate Imperial Wharf Chelsea , rich high - end area London . hotel minute away nice restaurant Thames River . many local know hotel be . the room clean air - condition . soap squeeze - dispenser wall , shower faucet confusing , hairdryer locate drawer TV . card room stop work , go front desk ask new one . elevator annoyingly narrate voice advertise could ' ve stay sixth floor design Laura Ashley 20 pound extra . , everything else fine . Innfusion Bar & amp ; restaurant nice , especially dinner . staff okay -- reserve room arrive late first night , kick someone else run room ! give smoking - permit room , request non - smoking room . I recommend new hotel willing pay taxi walk 15 min Fulham Broadway Station twice day , walk far . 
 Aug 23 2006 	 Jury ' Inn Chelsea Great Find .... 	 choose hotel base quality value disappoint . arrive London incredibly hot ! Mid 80º f - week ! thank goodness hotel air conditioning building London . room Laura Ashley floor get designer bed covering . fancy soap shampoo bring . would prefer anyway . we read viewer ' comment location . well verse NYC public transportation hard learn underground bus rail system . take C3 bus Earl ' Court ( District Line ) 319 bus Fullham Broadway . directly ( literally ) right across street hotel 10 - 15 minute ride . find another bus route ( C11 ) fall upon king road many restaurant . probably take bus back night since like get free tour double decker ! get Oyster card unlimited ride zone 1 zone 2 consider adventure ! although stay center London get around fine . day go Windsor Castle Hampton Court probably easy get location perhaps little close . also take Heathrow Express Picadilly line straight Earl ' Court . find staff knowlegible get we want go . contrary comment , staff friendly helpful . if sightseeing entire day want come back nice , clean , comfortable comtemporary hotel ' break budget . 
 Aug 22 2006 	 Mediocre hotel - like motel 	 stay Jury 's Inn Chelsea 11 night . hotel new , little year old . room adequate size two adult , would tight squeeze get two room . bed small two adult sleep double / queen bed . say 2 adult 2 child could stay room , would cramp situation . mattress hard pillow comfortable . bedspread dingy dirty stain . sure policy cleaning , stand need improvement . while Inn , switch room two time result air conditioning function entire front side hotel . happy sleep window open night tell would happy , could put room back hotel quiet . street Imperial Wharf extremely busy traffic late night early morning . also , great deal construction take place around hotel , wake jack hammer second day stay Inn . road also main route bus . needless say , sleep window open front sound option unless deep sleeper . finally place room air - conditioning work great . room back botel much quieter . hair dryer locate drawer desk room . use sit stand end bed desk . run disposable drinking cup two three day . the night staff friendly accommodating . evening staff day staff kind well , helpful night staff . able give good direction assistance get various place locate close hotel . fly Heathrow , take Picadilly undergroud Earl 's Court Station . get two option , take District Line Fulham Broadway Station walk hotel take C3 bus Earl 's Court drop right hotel . could also take cab , good option we due cost . take bus option work perfectly . going use District line , would suggest get map area know direction walk hotel . walk terribly long station hotel , luggage , difficult . actually walk Fulham Broadway station daily use tube get city center work great . I probably would stay hotel difficulty air conditioning . 
 Aug 9 2006 	 great hotelgood price not mind location 	 really helpful staff , great condition hotel ( almost new ) , aware , not know London , city centre hotel need get taxi . 
 Aug 4 2006 	 excellent comfortable clean modern - loved ! ! ! ! 	 two friend stay Jurys Inn Chelsea one night 2nd August really please Hotel . get great deal Hotel website do not book till last minute triple room spacious condsidere three us sharing . the room spotless , brand new mattress , crisp white sheet , good quality carpet really contemporary decor comfortablebathroom also spacious plenty towel available . the staff friendly approachable comfortable bed , big tv , air conditioning unit , dress table area seating definately would recommend hotel good value good quality accomodation . really nice place stay weary day travel ! ! want stay long : ) do not mind fact be not central hotel bus stop outside , nice quiet , safe area - go will please : ) 
 Jul 20 2006 	 take Soap ! 	 date stay .... 4 - 7 July 06 . since ' ve stay hotel wall mount squeeze bottle ' body wash ' bathroom rather bar soap ! thus , take soap bar . do not ask anything complicated either - like direction - totally dozy receptionist , not know name street behind hotel ( need go not know far away arrive rainy London ) . struggle find location Jurys Inn Chelsea Harbour A - z London ! ! ok location want Chelsea tube good 15 minute hike , 20 pound cab ride West end . rate might ' reasonable ' want central .... not it . oh check bill carefully use internet connection room . not working correctly call ' free ' helpline ( Dublin ) discover cost call bill . would stay ? clean really way ... might , not think bar soap much ask pay inflated London hotel price . 
 Jul 10 2006 	 good value weekend stay 	 stay 2 night ( Fr / Sat ) . five we , woman , double room triple roon . room clean reasonable size . comfortable bed . wireless internet access room . one bed triple room faulty . staff friendly courteous problem raise three move superior room whilst evening . continental breakfast include room rate 65.00 per night . choice cereal , fruit juice , fresh fruit , bread roll croissant , tea coffee adequate . easy 5 min walk New king rd 15 min Fulham Broadway bus city centre . two bus c3 310 pass hotel . Taxi town 17.00 average . 
 Jul 9 2006 	 good hotel .... 	 great hotel not mind stay slightly centre town . easy get back town need factor . located good area , though one night part tour not get explore much . service good , though open stay not everything work like clockwork yet . room nice bar downstairs nice . really nice hotel stay price location ! 
 Jul 3 2006 	 Excellent Value 	 stay 5 night ( May 13- May 18,2006 ) . air condition room clean , modern , quiet . housekeeping staff efficient curtious room make day . day start 15 minute walk Fulham / Boradway Tube Station , rather enjoy , find easy get place Tower London , Windsor Castle etc . ) . location Hotel not issue I . I breakfast twice Hotel also eat Bar time . , food service nothing remakable , ok . ask question front desk receive brief business like answer lack humour friendliness . smile small talk . overall , stay enjoyable , mainly due condition cleanliness room rate charge ( 65 per night ) . encounter problem would recommend stay Jurys Inn Chelsea . 
 Jun 30 2006 	 reasonable Hotel Reasonable Location 	 father recently stay 4 night ( 65 GBP / night w/o breakfast ) Jury 's Inn Chelsea book base strength Tripadvisor review . hotel well - appoint clean , adequately furnish room , bit small side although sufficient . although coffee maker water / ice dispenser nice add touch , wireless available HS princely 5 gbp / hour 10GBP / day . base ambiguity review , must add support think hotel ' location somewhat remote . avid runner would consider reasonably fit could bring time walk time Fullham Broadway ( close tube station ) 15 minute without break run , time could easily stretch 20 - 25 minute walk casual pace carry extra pound . also keep mind distance agonizingly long follow day walk around central London . then bang - for - the - buck factor . one thing London cheap ; know high quality hotel . bottom line Jury 's Inn Chelsea probably one well 3 star hotel London also one cheap . however , location want , spend extra money get inferior hotel close center town . 
 Jun 26 2006 	 Good Value 	 partner stay weekend . staff member helpful friendly , room decent size clean . find kettle tea coffee nice touch . clearly , downside location – Fulham Broadway Tube station little far away convenient . , 391 C3 bus pass regularly time , front hotel . black cab Soho night cost we 17 Pounds . , think Jurys inn good deal London hotel . 
 Jun 11 2006 	 bad service 	 stay Jurys Inn , Chelsea , London , May 7th 12th-2006.the hotel standard ok , also price . good situasjon want visit London down - town every day . , service staff terrible . staff reseption seviceminde , serviceminde , seem tired guest polite . also person breakfast - room impolite rude . go back Jurys Inn , Chelsea , London 
 Apr 29 2006 	 good value indifferent staff 	 choose Jurys Inn Chelsea stay one night twin son daughter able book three room online £ 65 think represent excellent value money . hotel clean room reasonably sized . snack meal bar expensive breakfast follow day also extra unexceptional ok . hotel little far town price could really complain . taxi town meal show five we share ride actual cost per head probably much take tube . I would say , , staff little unfriendly . young lady Reception particular seem struggle english language skill find difficult crack smile shortly arrive slightly alarming argument two restaurant/ kitchen staff take place lobby much consternation guest check in . on Sunday morning leave catch various train back North ask Reception arrange taxi . lengthy telephone call girl Reception announce could not say long would take one arrive suggest try flag one outside - rain quiet street hardly traffic , let alone black cab pass . eventually 30 minute cab arrive feel Hotel standard able summon cab far quickly ( king Road 3 4 minute away ) real concern apology express . however , happy stay recommend Jurys Inn place stay London . 
 Mar 5 2006 	 good review read Trip Advisor 	 two child stay Jurys Inn Chelsea two night February school mid - term break . review quite number hotel throughout London prior make booking , location price , £ 65 per night , add great review Trip Advisor , help make final decision stay London . the hotel clean comfortable , staff friendly helpful . Breakfast not include price , heed traveller review breakfast , eat elsewhere . snack arrival , quality standard not great . get hotel quite easy , take tube either Earls Court follow C3 bus directly hotel , stay , walk 12 min Fulham Broadway get tube . would certainly recommend hotel price location choose somewhere stay London . 
 Feb 5 2006 	 good 	 Jury 's Inn Chelsea 4 night ( 28/01 1/02 ) . book web final price stay 335 Euro include continental breakfast , pay little get english breakfast , offer tipical hot food . continental breakfast good , not lot choice . the room good price , bed 's comfortable . window isolate well noise outside , Tv Phillips 21 inch tun UK channel . like last review , option move center london limit good option 's get London Bus Pas . 50 meter hotel C3 de 391 , reach center London stop junction Lot 's Road / King 's Cross catch bus number 11 ( Westmister Abbey / Trafalgar Square ) stop Fulham Road catch bus number 14 ( Kensington / Hyde Park corner/ Picadilly Circus ) .No , sorry english level , improve . 
 Feb 5 2006 	 Happy BA 's deal ! 	 happy Jury 's Inn . stay part deal BA . room large , spacious CLEAN . bathroom huge nice ( bathtub though ) especially price . the staff helpful , even wait large group staying make sure assist individual traveler . arrive late one night due phone system ( want initate call room ) phone card , let we & quot ; quickly & quot ; call state tell relative safe . the negative thing report location . due exchange rate look save money walk tube stop hotel .... 15 20 min ( one night pour course taxis site ) . also traditional pub close , although pub hotel . I would definitely stay watch budget ! especially b / c review London hotel describe small , dirty room exact opposite ! 
 Jan 31 2006 	 Nice Hotel Enjoyed stay 	 3 adult share room weekend Jan . hotel clean staff find friendly . nice , upscale neighborhood , distant everything . catch cab ( £ 8 Earl 's Court Tube ) catch 391 Fulham Broadway C3 Earl 's Court Tube . bus difficult , opt cab first two day . king road nice resturant ( eat Ed 's , could not agree anything else ) . ice machine every floor bathroom super clean . plus enough towel we . overall , good ! 
 Jan 16 2006 	 regular visitor 	 regularly stay jurys Chelsea work purpose always pleaseant stay . room good size always clean whilst customer service impeccable- come reception one evening look particularly tired receptionist make hot chocolate ! get bit noisy however , would incline recommend earplug . apparently cafe new St George 's development across road nice ( cheap ) breakfast . 
 Dec 27 2005 	 enjoyable 	 , mate stay time . front desk maid everyone nice helpful . always get room upper floor great view . live desert Arizona love interesting thing one see one look window . hotel self clean modern nice room relax . bar great beer wine end day . would reccomend food though , terrible hahahhaha . oh well . breakfast times restaurant good one find , ok one want forage . feel location remote actual city center . mind walk variety way tube see great neighborhood wonderful shop . two bus line stop right front hotel . one Broadway Fulham one Earls Court one join tube . one everything one door step great place stay . direct family freind stay , love . 
 Dec 6 2005 	 Great Bargain ! ! 	 Jurys Inn Chelsea excellent price . reserve room 59.00 pound night . two brother stay room five night . staff pleasant helpful . find easy get heart London take C3 bus either Clapham Junction Earl 's Court easy access Underground . room clean food restaurant tasty pricey . view construction pricey condo build . hotel surprisingly close Thames River . would stay . 
 Dec 1 2005 	 highly recommend 	 mother , brother stay Jury Inn Chelsea 3 night couple week ago . think hotel excellent . room spacious clean staff friendly helpful ask direction . 10 - 15 walk Fulham Broadway tube station bother we , frequent bus prefer walk . tube another 10 min get centre London . downside price breakfast £ 9.50 room cheap add much total cost staying . would definately use hotel next trip London . 
 Oct 31 2005 	 highly recommend 	 hotel great value quality cost . highly recommend . room excellent – 1 double bed 1 single bed . bedspread , blanket , pillow sheet clean . addition , bathroom clean . mattress appear new comfortable . hall quiet night , relax . wake time breakfast morning , comment . bar lobby great glass wine bed . minor drawback traveler locate little bit away Tube stop – easy walk hotel ( cute neighborhood shop along way – safe ) get anywhere London via Tube . 
 Oct 16 2005 	 Decent place 	 husband take advantage British Airways ' promotion airfare hotel . get 2 free night . nice accommodate we switch day first last day vacation . hotel new modern . our room clean spacious two . adjoining pub restaurant adequate . however , situated outskirt everything . walk 10 - 15 minute Fulham - Broadway tube station . great tote luggage . bus sporadic easy figure subway . basically use hotel launch vacation back town . would stay central town sightseeing London . bus stop run midnight go Earl 's Court Saturday catch Wimbledon line . discover waste hour westminister . seem nice hotel recommend central London travel unless willing walk commute . believe read tube station propose nearby December 2005 . would confirm booking . like hotel location factor . oh yeah , eat restaurant outside Fulham Broadway station . please pass TGI Friday head El Metro 10 - 12 Effie rd . it be right top intersection walk station . spanish food menu please . good band atmosphere . save fish local black kitty blue collar . he / she seem quite happy menu choice . . lot people walk around area , many single woman seem like safe area . 
 Oct 11 2005 	 Nice hotel shame walk ! 	 stay Jury 's Inn last weekend . good value money hotel modern clean . side good 15 minute walk near tube station ( Fulham Broadway ) become bit wear . 
 Sep 20 2005 	 wonderful customer service ! 	 stay 3 night impressed staff . go way make stay comfortable . hotel quite nice , bit way . short walk bring king Road offer lovely shop restaurant . tube stop 10 walk bus drop right front hotel . Imperial Wharf development complete real destination area . Chelsea Football Club close hotel great place buy souvenir . area go Chelsea Bun Diner block away - great breakfast ! sign tube stop say & quot ; life begin Fulham Broadway & quot ; 
 Sep 11 2005 	 feel like middle nowhere ... 	 Jury 's Inn Chelsea new hotel although clean , room fairly tiny . check , ask upper floor ( view ) add smoking room , tell smoker relegate 2nd floor . reason alone , would stay . , soon neighborhood development catch , nice place , however , right ( Sept. 2005 ) , one walk least 15 minute nearest pub ! thame close ( although , mention , 2nd floor , could see bedroom window ! ) not bother hang & quot ; Disturb & quot ; sign doorknob , way , housekeeping indeed disturb , matter . although pay 49 pound per night Jury 's , still not happy not even feel like London , due remote location . access civilization obtainable via bus tube , one charm London ( like New York ) everything ( usually ) right outside door need public transportation . would stay , due ( mainly ) poor treatment smoker , tiny room out - of - the - way location . 
 Sep 9 2005 	 Excellent value hotel 	 return home Dublin spend 5 night Jurys Inn Chelsea parent . get triple room 60 pound think excellent value . room modern , clean , well appoint spacious . make several request housekeeping reception stay accommodate quickly without fuss . hotel pleasant , bright modern . bar open large plasma screen . eat bar lunch ok . could get something well Fulham Earl 's Court . as Imperial Road close , end catch c3 bus Earls Court tube station day , short tube ride city . also walk Fulham Broadway station occassionally take 15mins . train bus regular ( every 10min ) .On last day , late flight able get late checkout 2 pm . also store bag rest day . get hotel Heathrow easy take 37mins Earls Court . get Picadilly Line direct Earls Court station . cost 2.10pound adult . catch C3 bus Earls Court road hotel 1.20pound ( 10mins ) . overall great time hotel would definately return . 
 Aug 14 2005 	 Great Value 	 stay Jury 's Inn Chelsea base review read Trip Advisor ' m glad . get great deal 50 pound per night . nice residential area Fulham make feel like local . stay two week - 1 - 12 August . goal spend time Central London place sleep . hotel wonderful . bed comfortable sleep well . not much traffic outside quiet . room keep clean . eat twice can not comment food , breakfast buffet style 9.50 pound . 's bus run along Imperial Road # 391 not run due water main break , be another bus around corner , # C3 . use raining . walk Fulham Broadway station every day . 's 15 minute 's nice walk . get lose way first day . follow direction hotel websie , remember get Tube cross street TGI Fridays . first road leave Harwood Road . Fulham Broadway also starbuck mall , eat breakfast every morning . 's boot ( pharmacy ) Sainsbury ( grocery store ) well . also easy commute Heathrow Airport Fulham Broadway Earl 's Court station elevator / lift . take photo hotel reference . wonderful trip go back London , stay . 
 Aug 2 2005 	 Great Hotel - Great Value 	 wife stay hotel 4 night 18 - 22 July get great internet rate £ 49 per night . room big bright ( one wall glass ) A / c . staff pleasant helpful . check - in , check - out request iron & amp ; iron board quickly deal . ' ( safe & amp ; flat ) 10 min walk Fulham Broadway tube bar / restaurant . large bar like hotel bar soulless least stay open till 1.30am really need final drink turning . car we secure car parking available 5 min walk away cost we £ 94 . ' expensive still cheap parking rate centre London . tip : parking payment machine accept cash make sure plenty go car ! hotel handy Stamford Bridge ( 15 min walk ) ever lucky enough get ticket Chelsea match . take car London would definitely use hotel . 
