great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 Aug 22 2006 	 Excellent Customer Service 	 stay first week August 4 night Best Western Paddington Court hotel business trip . impressed customer focusse staff , attention detail willingness go extra bit . surprisingly 1 day everyone restaurant staff manager know name greet I . room well equip modern facility like free broadband internet interactive television . lounge bar equip free wi - fi internet access make business meeting feasible . location great ; 4 minute walk Paddington train station , Queensway underground station , many restaurant Hyde Park.3 STAR HOTEL 5 STAR CUSTOMER SERVICEI 
 Aug 16 2006 	 expensive Small Room 	 stay 3 night Jul 06 , Stayed single room , could stand middle room touch wall , Window would open , let heat , could hear people room next talk , Front Deskstaff friendly work . the location great near paddington , Lots Stores restraunt area , would stand Paddington area , hotel 
 Aug 14 2006 	 bad hotel 	 stay one night Best Western Paddinton London one night many . ask payment check check believe leave see room . airconditione room basement . smell horrendous , probably shower look like flood time . contortionist use tiny shower stall drop soap forget . tell upgrade we family room . imagine twin look like ! one powerpoint room hold together electrical tape paint peel wall . room small - tiny small . check time take forever staff generally unhelpful . stay peril ! 
 Aug 14 2006 	 great find 	 stay hotel August Bank Holiday could not really fault . pleasant hotel nice staff glad help we everything . room clean , bright comfortable . hotel also great location minute Paddington station god send day shopping . would definately recommend hotel nice relax city break 
 Aug 12 2006 	 Cockroach night ! 	 return home lovely trip London despite try rid memory find huge cockroach bathroom middle night provide cot shakey wooden support daughter musty basement suite . Needlessless say , wife sleep poorly first night daughter sleep we . I definitely consider get something money next time town ! 
 Aug 11 2006 	 Great Hotel ! ! ! 	 stayee April hotel sooooo nice . staff great breakfast perfect . free broadband interactive tv . room great , problem bar open 6 pm overall great hotel . 
 Aug 4 2006 	 home away home 	 live Washington , DC travel London average every month two stay anywhere 5 - 15 day trip . try ! research find one place could continue return decide try hotel despite review . well , stay Suites part hotel 6 time far since Spring clean , bright , friendly , reasonably price hotel West London . hotel make promise regard ' suite ' , never meet expectation . place ! since stay often favorite room become home away home . never disappoint . occasion reason need deal hotel staff problem , handle promptly great customer service ! management well hear customer mention well - want people enjoy stay , plan return tell other proud hotel . refer associate usually stay one large chain hotel prefer suite monstrosity . street area clean quiet convenience store restaurant right around corner Paddington station within 5 block walk . great hotel ! not ask room ; - ) 
 Jul 31 2006 	 Nightmare 	 research many hotel consult Tripadvisor make reservation . obviously expect anything luxurious give price pay , however expect clean room professional service Best Western Hotel . I request non - basement room A / c read previous review Tripadvisor . checkin give basement room ( b08 ) A / c , room awful cobwebbs bed , natural light , tiny room , A / c work . ask change immediately , view room 227 219 tiny equally awfull . inform staff member room 3rd 4th floor refurbish A / c work hotel . ask room clean leave enjoy 3 day stay london . return day cobwebbs still , seem try communicate reception staff fully understand . second day carpet seem wet appear come corridor room next door , room service . building work start morning outside 8.45 , however last morning next door . room totally gutte drilling begin whilst sleep , final straw . on check ask manager could come room , sit we lounge listen rage . also inform guest stay suite road room reform tiny worth gbp140.00.my advise guest stay away , perhaps pay little go elsewhere . shock low standard service totally ruin first visit London . 
 Jul 25 2006 	 Filthy Hot Unsafe Uncomfortable ! 	 room book free two - night deal British Air ( one & quot ; recommend & quot ; hotel . not expect luxury , expect clean , comfortable , safe place stay . room give horrific ! small , would issue filthy ! upholstery one small chair large dark stain , visible dust cobwebs wall bed , thick layer black grime inside window sash , afraid touch tv remote . carpet tear , huge rip drapery , nightstand wardrobe chip . glass window crack , outside window ( go way floor ) terrace upon find rusty razor blade many , many cigarrette butt . window also lock properly , troubling room second floor terrace outside . chain hang door - frame four hole door rest . first arrive fan room , promise website . front desk send one plug badly broken wiring expose ! second fan arrive midnight . call BA Travel complain , offer move we another hotel pay . wind go another hotel ( Travelodge king Cross Scot : clean , comfy , cold AC ! ) , british Air could long trust & quot ; recommendation & quot ; . take lot picture room send BA customer service , response offer & quot ; free upgrade & quot ; hotel next time ' m London . ever fortunate return London , rest assure give Best Western Paddington Court another chance muck vacation ! 
 Jul 25 2006 	 cancel rerservation without inform ! 	 book stay Best Western Paddington Court Hotel Suites hotel ( -- ) stay London , live 8 concert . rang hotel previous night confirm reservation horror reservation cancel , partner never . contact hotel ( -- ) say reservation cancel . personally believe busy weekend hotel book somebody offer odd rather book advance pay go rate . never get apology hotel turn without confirm reservation would extremely upset turned tell . however spend night trip London phone hour worrying would not anywhere stay , fortunately hotel ( -- ) arrange we stay far well hotel - 5 star great Eastern price pay 3 star Best Western Paddington Court Hotel . make stay - fabulous hotel ! glad good Western Paddington cancel reservation end - would appreciate tell we though ! 
 Jul 25 2006 	 book British Air stay away ! 	 dirty room , rusty razorblade discard cigarette butts balcony , filthy windowsill , unresponsive staff , etc . not three - star hotel least clean safe ? give wonderful review hotel receive guest , possible room unfit occupancy set aside british Air ? british Air , please stop recommend hotel customer . deserve much well ! 
 Jul 25 2006 	 disappointed 	 frequent traveller , business pleasure , know expect various class hotel . verdict : well hotel . room clean nice lucky go without hitch , ok . issue hotel apparently difficulty address . initial room basement , ( yuck ) unacceptable , except find ( late night ) plug bathtub miss , make unable take bath . unfortunately , hour maintenance , make shower alert reception , although not really deserve 12 hour plane . make sure follow also leave note room well reception leave hotel next day . however , come back afternoon , although room already make maintenance must 7:30am , plug still indication replacement . talk reception , conversation get another room much nice perfectly work bath . help move , almost forget not - so - nice night before . the next day attend wedding therefore spend time room 1 pm prepare . housekeeping lady come ask wanted room make , said & quot ; 2 pm , please . & quot ; difficulty English , pointed wristwatch point 2 pm appear understand . another man come ask question , tell thing . English sound natural , assume lady send confirm instruction . however , upon return room late night , find room un - make , note stick door say & quot ; clean instruct we disturb . & quot ; , late night make get someone deliver clean towel etc . make clear displeasure , follow - up check day past point care anyway , happy leave . nothing critically wrong , level service would expect rate . 
 Jul 17 2006 	 clean nice convenient hotel 	 stay Paddington Court hotel couple night last month find nice hotel , good location . staff pleasant , smile , breakfast tasty , fact advisable eat full english every day , get really good selection . as London business , hotel really good , close Paddington , great come Heathrow . big guy shower thankfully large like walk shower , something have not see often hotel , shower usually cramp good ! ! would suggest hotel employ staff sometimes may wait 5 minute see reception , apart , fine stay . come London lot business intend return Paddington Court . RegardsNed 
 Jul 11 2006 	 get Vote 	 stay hotel May 2 night , provide freebie British Airways book ticket Vancouver . walk Paddington station may block , luggage 's bit haul . area hotel locate beautiful . gorgeous white / cream building around , good pub / restaurant within walk distance couple little corner store within block . room pretty small , fine we not sleep . much see London easy get around tube ! complaint wall thin ... noisy neighbour little bothersome be light sleeper ... free internet provide tv hard navigate slow ( compare be use Canada ) . not elevator either , warn trouble cope stair . overall , decent hotel enjoyable stay . separate note , would definitely recommend take Paddington Express Paddington Station Heathrow . take 15 minute ... be nearly 15 pound ... worth cost convenience . walk hotel less 15 minute . 
 Jun 27 2006 	 Paddington court clean nice quiet good situation 	 come London professional reason , disappoint general level hotel London . find " Paddington Court & amp ; Suites hotel " place return regularly ; benefit room 2nd 3rd floor luminous , vast clean , large beautiful bathroom , internet broadband access include . continental breakfast " english breakfast " varied serve smile team . situation hotel ideal Paddington station large range bus , taxi , tube station , 3 minute walk Hyde Park . build hotel pretty well maintain , clean , flower change everyday , well provide daily newspaper . management team direct dynamic director , professional , listening request customer . come regularly London professional reason , book come also holiday family hotel , quiet , cleanliness , situation , personalize reception . 
 Jun 22 2006 	 good situation bad condition ! ! ! 	 see hotel , surprised beautiful old style facade discovering room , hapiness stop : tall dirty . a / c not work ; need change twice correct room ; ; 
 Jun 15 2006 	 high rate poor service 	 ' ve stay hotel number year . level service deteriorate time place quite poor . ' m british reviewer ( take lot we Brits winge ! ! ) internet work . extremely hot day night air conditioning work . room 3rd floor warm air rise lack air conditioning make uncomfortable experience . iron expose live wire could prove highly dangerous . leave note kindly remove replace do . basic fan provide could hold one position make annoying clicking noise . staff long friendly seem happy . rate hotel increase last year level service deteriorate . see much well day . one good thing quite clean location safe , pleasant , quiet ideal local amenity transport link . not think price worth try elsewhere next time . 
 Jun 15 2006 	 great value hotel 	 always stay ' m London . pleasant medium sized hotel situate quiet neighbourhood next Hyde Park still minute walk central London West End . tube Paddington Station 5 minute walk away , station provide service to / from Heathrow . stay many time always find staff courteous helpful . room clean comfortable exactly would expect 3 star hotel . read report people say not say must incredibly unlucky quite extravagant expectation . room reasonably price rarely problem either fix immediately ' ve offer another room . free broadband internet real bonus prove invaluable . summary great moderately price hotel great location . 
 Jun 4 2006 	 go elsewhere 	 husband , elderly mother , stay terrible hotel two night . promotion British Airways ( will hear ) , one room free two night , one night free mother , pre - pay $ 163 room one night . huge mistake ! would never stay free even pay ! fact , see room Paddington Court , call usual hotel London , willing pay full price get place , late date already full . end stay 2 unhappy night . like stay bad youth hostel . first room mother get one tiny basement room . dirty , look onto airshaft , smell heavily cigarette , tiny shower mention previous review . reach narrow dark hallway rubber pipe / hose ( sure ) dangle overhead ceiling . ask different room tell none next day , husband end sleep room spare mother . share twin room , really not lot well . narrow room two twin bed line foot foot ! room also reek cigarette , even though ask non - smoking room . toilet leak get sock slipper soak toilet water ! call reception , send someone say could stuff extra towel floor around toilet ! bed linen questionable cleanliness , wall absolutely filthy , cover smudge stain . bare light bulb hanging & quot ; desk & quot ; lampshade . room really quite hideous . next day give two & quot ; well & quot ; room . marginally well , still dreary , dirty wall one towel filthy large brown smudge ! bring towel reception tell towel would replace . never . one & quot ; well & quot ; room 4th floor ( really 5th floor ) lift break , walk many flight stair . breakfast show & quot ; full English & quot ; breakfast tell could eat & quot ; Continental & quot ; side - tacky ! terrible experience . not fool decent lobby nice lounge area . reflection room give . idea nice room show photo website . two night four different room none look anything like one website . run opposite direction ! 
 May 29 2006 	 absolutely terrible experience 	 choose best western proximity Heathrow Express , arrive close midnight medical appointment next morning , well brand name ( hope mean basic level 3 star comfort ) astounded tell arrival water problem room would sent another hotel nearby . two night book , staff apparently overlook , advice would move hotel one night move back next day . refuse basis busy day send different hotel - half hour wait . apology , refund , nothing . hotel 2 star Comfort Inn Hyde park . quiet enough suppose , absolutely 2 star tiny , tiny room , internet access , air conditioning , toiletry bathroom freeze cold room - certainly level accommodation expect price pay Best Western . guest send hotel - least three other time wait - extraordinary suposedly reputable hotel . base experience , would never stay best Western would recommend other avoid . 
 May 21 2006 	 good location basement room nasty 	 arrive first check Lincln House B B , nightmare begin , reserve online quickly day arrive one hour later . travel agent tell front desk arrive , able accomodate we first night low floor room smell terrible curtin cover window . look outside see window could stay open however chance someone could reach room , YIKES , botton window like slide door cover filth , basically spend one night horrible room next day move well room first floor new wing , Internet never work , mostly sightseeing bother change room , would stay hotel , would opt pay try Thistle hotel another upscale brand . I would lastly say location Paddington station perfect , easy National Rail Windsor London Underground . 
 May 20 2006 	 give Break ..... 	 arrive Best Western tell & quot ; problem & quot ; air conditioner would put we sister hotel block . sister hotel turn build new corporate apartment complete . would think plus , suck . mean , concierge , attendant front desk ( fact , front desk ) , hot towel heater burn leg every time sit toilet , bed basically futon one wooden frame . hate ! ! ! ! 
 May 18 2006 	 Disgrace best western name 	 return dreadful night call Hotel . when get room big delay , discover problem light . flickered light bathroom work . plus , bed linen change previous guest ! ! ! try phone reception get engage tone time walk lift break . send service manager investigate . first tell could keep fix trip switch landing tell unacceptable , decide fix properly . take 20 minute . show dirty bed linen , phone hotel manager tell good enough assured bed would change soon . also tell inspecter walk see bed , place would loose use best western name . I speak hotel manager go agree give £ 8 price room account bad service . assure would change linen . however , return ten o'clock night , bed touch , take 3 call reception get someone come one sheet , go away age get one tell pillowcase ! ! ! ! lock . believe tell lie guest time nothing make sense . go , discover soap bathroom almost wear away . stay Best Westerns London always impress fresh soap day plastec bag . next morning , check , hotel manager & quot ; unavailable & quot ; . press money price much discussion , give £ 20 price bad service . settle credit card could get well deal . disgusted place would never stay . care guest . area lovely far well hotel around many much well rate . 
 May 18 2006 	 would never go hotel 	 far bad hotel stay . know European Hotels small upon read terrible review vacation London , braced come . disappointme . live reputation . check group 12 alot luggage . staff hotel seem prepare big check . one person particular rude inform we hotel book we smoking room ( request non smoking ) . staff proceed swipe charge card charge we room already prepay travel agent . insist non smoking room tell give staff minute find room we . tell get large room original error booking smoking room . boyfriend put basement room . find room able find way everyday surprising . hotel maze small hallway multiple door close hallway . lift , top , broken stay lug luggage basement . upon get room find room small . dark smell musty . bedspread window treatment also dark navy blue help brighten room . window open outside waist level anyone could break . closed try turn air conditioning . not work . go upstairs check staff tell air conditioning work keep window open one would break . bathroom small . bad part bathroom shower literally 2x2 . everynight take shower , assaulted shower curtain clung body . way get away shower small . water flood outside bathroom floor everynight . since shower curtain long , learn first night float drain shower cause shower fill overflow . put outside shower floor get wet . conscientious cleanliness , wonder many body shower curtain clung cling everynight . find think disgusting . next noticed two pvc pipe snaking along wall drain shower . realize one pipe attach backside air conditioner air conditioner working , think would drained condensation shower . pvc pipe come side originate tank toilet drain shower . wonder could pass anytype sanitary inspection . the bed okay term comfort , initially pull back sheet find hair ( check ) sheet . also find sheet change whole time maybe customary save expense . know change brown spot sheet remain duration stay . internet television service work every night , usually 11:30 p.m. group people stay floor would talk noisely hallway slam door . neighbor could hear carry clear conversation . I usually not write letter review like easy please feel experience bad enough anyone choose stay need know could expect . understand rate affordable deal small , cleanliness good customer service important . please not get wrong , staff rude , fact really experience initial check person short we . seem change attitude another hotel representative ( think may management ) reassurre we room situation would work thank we patience . nowhere number employee come assist bag . overall , not think ever go back hotel would recommend anyone . 
 May 18 2006 	 ok price 	 first check give room basement find kind scary . room bathroom small . noise we really annoying . move we another room first floor tad bit well , bathroom definitely improvement night , actually bathroom perfect . bed small husband bed spread old attractive . honest price location fine . since never hotel ( sleep bathe ) vacation problem bother we . location excellent near main underground . return london stay could beat price . want sleep bathe recommend hotel ! 
 may 17 2006 	 false advertising 	 photo online represent room quality actually get . standard dorm room would appropriate , double bed take half square footage room , without exagerration . harried front desk staff well keep unhappy client bay . 
 May 10 2006 	 bad experience 	 stay hotel 4 night , wish could move another hotel stay could not since be already booked pay . first day , already bad impression hotel , since lift not work , everyone take stair go room , luckily room far away , hallway room narrow confusing find way . room , , small bathroom eventhough be quite clean , also small . the bad impression lead bad experience second day stay . long day work training sightseeing , go back hotel room find key not work ! ! ! go reception tell one receptionist do not work . put card card reader , reprogram give back try . , stair , around hallway , go back front room , find key still do not work . go reception , time different receptionist , thing previous receptionist , give back key process . third time go back , receptionist come room , bring something program door key still do not work 5 minute later . really tired weary point , finally door open , guy say report problem reception morning reprogram door would not problem . ? ? ? not , one report collegue morning fix problem ? ? ' m already tired can not argue anymore , go inside room sleep lousy spring bed . before stay hotel , stay one night premier travell inn county hall . totatlly different experience . almost price , travell inn definitely spacious room , clean bed , linen bathroom , also helpful staff . really recommend good western paddington hotel , choice , well hotel rather one , believe .. try : ) 
 May 1 2006 	 Poor 	 upon arrive Hotel impressed entrance give impression spacious , clean market hotel downhill . check tell ( take ) room . lift far small , two us small amount luggage manage get lift , call fussy find rather frustrating struggle get lift . as go get room look use tired , although fairly clean . bathroom smell ... well imagine , poorly disguise bleach . bed uncomfortable bedspread curtain tasteless . give sheet rough itchy . after get settle room go sight seeing . leave hotel via awful lift end basement level get little confused rudely ask & quot ; help ! ? & quot ; tell exit use stair . when get back hotel go straight room not good night sleep . next morning go breakfast . dining room staff well present . breakfast however AWFUL . bowel cereal croissant friend English breakfast . meal tasteless . milk ask fresh jug milk . coffee weak taste like sat morning . overall breakfast worst ever eat . again day go sightseeing . when get back hotel room discover towel miss , mistaken one towel . although white like thier , far well qaulity one provide . phone reception asking would go . laungauge barrier understand say say would call back , one do . the next day check enquire towel . take address say would mail , may think bit silly towel expensive one not see buy another one someone else incompetent realize different style . later day checking decide stay another night , experience hotel go stay . find hotel near Tower Hill call Apex Hotels , read review one search . 
 Apr 24 2006 	 Customer Service not Priority 	 wish would give harsh review think , however , work Customer Service first one tell people look thing complain . however case good western come . first complaint fly 12 hour find room ready . luckily , Paddington quite restaurant go go eat . finally get room . oh elevator like death trip . old , noisy SLOWWWWWW . 3 flight stair . ! room fairly clean . especially bathroom . .... room suppose interenet service . break never replace 6 day . tv like 4 channel . oh want air conditioning heat avaliable suite . even though thermostat wall . time favorite ... bring call card call home say make . even though big label phone saying accept call card . accept CALLING cards.but minor detail compare staff . mostly one work day shift lazy rudiest . leave note extra towel coffee creamer everyday . everyday day sight seeing call first desk . & quot ; right & quot ; favorite saying . know 30 minute shift therefor leave we call again . overall hotel shabby , customer service crappy 
 Apr 21 2006 	 Good Location 	 good location .... good thing hotel ! room basement . fan restroom . fact , actually set fire alarm use shower . without fan , combine basement location mold wall . really awful . guess health code UK . certain must $ 200 / night hotel room well . we arrive 10 am , room ready . seem recur statement many reviewer . long , overnight flight US , would atleast recommend look hotel may able accomodate . luckily , London sightsee not spend alot time room . good note , bed clean , bed comfortable . I would never stay . definitely bad hotel ever stay . avoid cost 
 Apr 19 2006 	 love 	 spend 3 night hotel , really like . opinion , hotel stylish . room ( standard twin ) quite small clean , bed comfortable . nothing disturb sleep - perfect . breakfast great ! Paddington station nearby , leave take train Heathrow airport - convenient . we can not understand complaint hotel ; would stay anytime . 
 Apr 3 2006 	 quite simply : DUMP 	 Reviews not lie .. place class & quot ; dump & quot ; . Staff simply & quot ; lost & quot ; not work hotel industry . elevator big enough luggage ... hallways never end maze classic fire hazard ( emergency exit ) ... room beyond small beyond dirty ... not even feel ok showering . arrive business trip colleague fumble reservation cause we one room even well one bed . argue hour state obvious : go share bed book month ago find room 2 ... basically room along make wait 4 hour get . breakfast area CONSTANT line - up ... hall way ... please ... favor .. stay away . 
 Mar 27 2006 	 star lie 	 arrival 2 pm check time wife & amp ; tell room ready yet , happen hotel - accept . follow 1 hr 10 min wait get room , bar cafe available - bar open 6 pm & amp ; close 11pm . no lift operate part hotel put carry luggage 78 step & amp ; one open 25 inch wide & amp ; one 30 inch room group 320 - 324 . room 8 ft x 14.75 ft additional 2 x 2 shower . continental breakfast limit . the chamber staff must work extreamly hard keep room , bedding & amp ; landing spotlessly clean . what want know hotel get three star rating ? 
 Mar 22 2006 	 Shabby 	 stay business trip London March 06 . deeply disapointe hotel . the problem begin check reception staff seem barely able manage simple check in . eventually allocate room small , grotty wall thin could hear resident use bathroom . avoid restaurant , breakfast buffet look great food lukewarm good , real health hazard . Paddington Court warrant rating stay . 
 Mar 21 2006 	 give chance right price 	 read review see experience somewhere . get 2 free night BA pay ave . $ 84 5 night include freeby . 's see value / budget hotel . $ 152 Rack rate . advertised , small room small bath . low water pressure . much like dorm room . clean plan sleep , pay big buck . tv adequete local channel , internet work . continental breakfast good . location fine Paddington Station block away . quite neiborhood mix restaurant shop . make around London problem . staff bit try non - ba reservation showing . fix phone call Orbitz . know London would expensive want pay Hilton . state , set sight low sleep well . 
 Mar 18 2006 	 ok would not pay full price 	 stay one night , £ 50 night B & amp ; b via Nectar card hotel offer . hotel reasonably close Paddington Tube decent area outside appear promise . however , whilst check find staff speak poor English friendly . notice several bare pipe tape - up wire hang ceiling en route basement room . room tiny need refurbishment clean . internet TV , heat shower faulty . breakfast poor staff unhelpful . overall , pay hotel ok one - night stay would recommend long stay full price . 
 Mar 13 2006 	 urge stay hotel 	 start . first , stay 2 night , check check do not receive one single smile hotel staff , te reception staff , restaurnt staff . fact , restaurant staff barely acknowledge guest , remind fawlty tower many way . breakfast bap coffee - worth it.the reception staff incompetent . whilst check another lady problem bill , reception staff know deal lady wait ahe staff ring numerous people still know fix problem . one know whart go hotel . so check go room . small room ever life . hotel 's web site expect fair bit luxury , get . express dissapointment . travalle many city , high nightly rate ever pay get basic room . stay one star hotel well room . which lead check ( not soon - still smile way ) even billing error , make staff aware , proceed charge double total price credit card . tell could fix , would ring head office self . first thing get back home , three week ago , since furhter two time , times tell card refund , still have not date . overall - smile , terrible customer service , small room , advertise free internet actually internet tv do not work , terible staff , still waiitng refund . please stay 
 Mar 10 2006 	 great location 	 daughter stay hotel 8 night January . find staff helpful courteous always available answer question . room small comfortable , clean , excellent bathroom facility usual english continental breakfast include . price pay great value location accomodation part London . find location great bus service tube stop short walk away . also short walk Hyde Park Kensington Gardens . would hesitate stay anytime future . 
 Mar 6 2006 	 confused recent review 	 feel need write review read recent post hotel ( give 1 2 5 ) .I stay October 8 night . absolutely love , busy ( noisy ) area feel safe woman stay alone . room look brand new , clean include shower work perfectly . comfortable . tiny use stay London hotel . tv , phone , safe , microwave fridge really useful week . the hotel also close restaurant , cafe , pub , 3 tube station include Paddington , grocery store there s internet cafe nearby . can not comment shopping sightseeing business do not time : ( 10 min walk shopping centre park . complaint ( reduce rating 5/5 4/5 ) similar other arrive exhausted transatlantic flight find room ready , fact take cab another hotel first night . give option , frustrating tired carry heavy bag . however hotel send nice nearby , mishap stay . mess around room do not bother much , interested clean comfortable room , get , would highly recommend hotel base experience . fact book trip April . 
 Mar 5 2006 	 Dive ! 	 unfortunately read review hotel book would not able get refund . say dive ! room small ( admittedly seem one big one read comment ) . sound insulation APPALLING . hear people room next door quiet conversation unfortunately people next we shout instead ! ! free internet tv useless , not work properly switch morning be leave - good want find info museum stuff . bathroom clean hot water seem constant . also , tea coffee make facility ok - make change hotel leave pint UHT milk instead little pot always run out . the complaint whilst key - entry lock main entrance door ( suite actually across road hotel ! ) , lock appear turn broken main entrance never lock overnight - expect see tramp hallway morning . I would never ever stay ! 
 Mar 4 2006 	 bad place ever stay ! 	 book stay hotel discount hotel website . it turn complete nightmare . we book room double bed non smoking . arrive hotel , tell we run double bed room would give we twin room . accept tired traveling . room small could even fit suitase . two bed place one opposite . window would open . ventilation . room smell . toilet small could even stand inside . would never ever stay ! ! ! terrible experience . 
 Mar 1 2006 	 dump ...... 	 first thing greet tell rather rudely reservation cancle .... could not give explanation tell would minute .... 25 minute later manage find room . show room size closet single bed . bed patheticaly bad could not beleive . litterally cave one side , flip mattress find reasonable flat surface , even , could feel ever hard spring . absolutely defy logic , price one night stay said room , hotel could go replace mattress year past 's usefullness . bathroom wear around edge filthy shower curtain . awoken one three ear piercie alarm night . radiator work stifelingly hot night , ventalation . prepay room night , early flight catch , tell morning owe aditional 48 pound . taxi pre - arange wait rack expense . say not go pay , nerve ask credit card swipe . never stay best western hotel thi affiliate .... beware , several London . Shame British Air associate establishment ... 's reflection otherwise good airline . 
 Feb 28 2006 	 Thriller 	 spend 3 night terrible hotel February 2006.the staff unpolite unhelpfull . the hotel room dirty , dark , smell windy ( old window ) .The breakfast tipical english breakfast , nothing special . the think wich good : area . quiet district London , appr.15 min . walk City Center 5 minute Hyde park ... find 100 different hotel Paddington , try find another one , hotel 
 Feb 23 2006 	 Afraid afraid 	 stay Hotel business trip , book last minute rate £ 130 per night . without doubt big dump misfortune sleep quite time . room small , dirty smelly . bar resturant be not much well . do not 
 Feb 22 2006 	 Nice Clean 	 return 2 free night BA stay Paddington Court . after read review hotel exactly decribe . friendly front staff , small room much small two people stay long 2 day carry luggage still room put anything . the room hot eventually second day manage turn radiator . very nice breakfast include lot choice nice staff nice dining room . this hotel great free would ok pay discount rate approx 50 pound . good location -- -- -buy daily bus pass 3.50 pound jump bus lot go Paddington 
 Feb 22 2006 	 total gem 	 hotel situate bayswater ideal location business pleasure take less 10 minute get heart London . book standard double room room not badly space luxury consider London hotel ! service excellent right word go . staff friendly professional . one evening guest dinner hotel restaurant . impressed quality food variety choose . hotel truly gem worth every penny ! definitely stay next trip London ! 
 Feb 15 2006 	 Lovely Hotel 	 hotel charming along staff , find member staff friendly professional helpful time , room quaint comfortable definately recommend hotel friend family friend 
 Feb 12 2006 	 Paddinggton Court Hotel 	 Hands charming manager , look every day needs always attend request immediately . polite courteous staff , reception restaurant . clean well decorate suite room . excellently locate , 5 min walk underground . great value money ! highly recommend . 
 Feb 11 2006 	 decent dig decent price 	 regular traveller London try numerous hotel capital past year honestly recommend hotel one . clean tidy , situate good location staff always willing please . fortunate get special deal , make stay even cost effective . 
 Feb 11 2006 	 slightly Dissapointing 3 Star . 	 stay single room ground floor hotel 2 night . pay approx £ 45 per night . do not include breakfast can not comment restaurant . I find room ensuite small cramp side price hotel Central London , can not complain . however disappoint find inexcusable 3 star fact carpet room look old dirty ( i.e rotten ! ) wall side bed gruby . much need coat white paint , instead gruby white wall black mark stain it . the general standard furnish lighting room average come standard colour tv remote . coffee / tea kettle telephone . also trouser press , hair dryer , alarm clock internet point ( do not use ) .The small ensuite bathroom furnish well shower hose head toy . Room clean new towel punctual stay . the quiet - ish area hotel wide road around would not bet & quot ; dead silence & quot ; untill midnight . also I m fairly certain hear rumbling underground train directly ! personally thou do not bother find general noise level night acceptable , also room ground floor would beleive least quiet . hotel staff seem ready help friendly . also well present smart appearance . highly polished floor corridor ground floor look great , shame thing like blanket floor ( outside door ) dirty plate dining tray seem leave around corridor day , presumably await next shift . the reason choose hotel beacuse I ve reason stay area walk pass notice impressive look entrance reception area . I believe & quot ; honey trap & quot ; sort standard room stay reflect standard reception entrance area . I would possibly stay hotel cheap rate convenient location , especially Paddington Station 8 minute walk away . I d also like point stage old people may find walk Lancaster Gate tube bit drag , especially twice plus daily . I give hotel 3 star 5 . 2 star little harsh , beleive generous ! 
 Feb 8 2006 	 Review 	 hotel well - furnish , provide good value money ( especially get discount rate ) staff helpful . full english light continental breakfast take . light snack available throughout day bar menu provide evening . alternatively , want vary dine many relatively inexpensive bar restaurant nearby . hotel well locate see London – 5 minute walk Paddington Lancaster Gate station . additionally , able leave luggage check - in / after check - out ' need carry around . summary , hotel provide good base see city . 
 Feb 4 2006 	 Great Service ! 	 find staff hotel thoroughly professional always helpful . room clean quiet . hotel well locate , short walk Paddington Railway Station . book room internet site reasonable rate find great value money . 
