great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 Apr 22 2007 	 mixed feeling 	 ask twin room twin bed make one king size - rectify do fairly quickly . sadly damp smell wet carpet corridor floor 2 . apart hotel good - staff courteuous , hotel room nice breakfast excellent . return . 
 Apr 12 2007 	 excellent short break Millenium Gloucester 	 3 night break Millenium Gloucester last week , also book Superbreak , give we good 3 night 2 deal 2 interconnect club room 2 adult 2 kid . we arrive early noon , although not warn hotel , happy check whether room ready . turn one one not . arrival room , still unmade , housekeeping staff nearby helpful direct we Club lounge , another member staff contact reception we . minute later , receptionist come we apologise , computer error ( happen ! ) give we key room , fine . , find staff friendly helpful , breakfast excellent , huge variety food ( include baked bean ) , well cook , room clean , medium sized , bed large comfortable , bathroom small side . well stock tea / coffee facility , 2 hairdrier , iron , iron board , bathrobe plenty towel . excellent position , minute walk Gloucester Rd tube Station , serve 3 good tube line . find handy natural history Science Museums , London Eye , Madame Tussauds , Covent Garden , theatre Harrods ! small gripe , live quiet rural area , notice road noise outside night , windows single glaze . mainly first night , guess get use , tired notice . we not try hotel 's restaurant seem & quot ; good & quot ; kid , although website say kid menu may miss ! . however across road tube station , place call Black Blue , seem popular , excellent meal ( steak Dad , burger kid yummy prawn Mum ) overall , great time , happy hotel , assume could get good deal , would happy stay next family trip London . 
 Apr 6 2007 	 fabulous experience 	 daughter return London spend fantastic 2 day Millenium Gloucester . book hotel Superbreak say fantastic hotel . room excellent quieter side hotel , request . daughter 's 11th birthday whilst hotel management make extra special provide lovely chocolate birthday cake . hotel lobby magnificent staff friendly indeed . dine one hotel 's several restaurant & quot ; Bugis St Brassiere & quot ; food high standard . the breakfast follow morning enough choice even fussy eater well cook . stay Millenium special would certainly recommend hotel location short walk near tube station . we hope return future . 
 Mar 25 2007 	 Great Hotel Fun Area 	 stay Millenium Gloucester March 10 17 . hotel lovely lobby much hustle bustle go . people man check - in desk efficient polite . lovely 4th floor refurbish room king size bed .. size room ideal bathroom do marble . desk comfy recliner room . hotel base businessman , conference attendee flight attendant pilot . buffet breakfast morning something everyone service wonderful . although hotel may close major tourist attraction London , area great . minute ' walk underground . ' also block away neat area coffee shop , thrift shop , bookstore , little food market , large supermarket , neat cafe pub . ' young neighborhood , even though hotel seem cater business people . enjoy stay buy 7 - day subway pass get around great city . would stay without hesitation . 
 Mar 25 2007 	 perfect 	 get back stay London weekend break Millenium Glouster . I must say nice hotel indeed , Rooms big bed huge .... superb location 2 minuite walk tube . hotel reception fast . room service Slow , call twice get request . the breakfast morning poor , baked bean ! ever hotel clean nice deco , everyone friendly reccomend anyone . great stay would return stylish 4 * hotel ...... 
 Mar 23 2007 	 Excellent Hotel 	 wife return London stay Millennium Gloucester week . excellent hotel excellent staff . staff often wait lobby ask guest need anything . instance , one occasion , ask twice way elevator need assistance anything . several minor issue solve immediately ( e.g. , room change , small repair , etc . ) . concierge helpful staff work breakfast area . read reviews TripAdvisor , concern initially , everything turn well ; fact , would say everything handle extremely well hotel . would stay without hesitation . 
 Mar 16 2007 	 decent value ... 	 book trip London , England 18 year old daughter treat spring break college us & quot ; Girl Time & quot ; together . Millenium Gloucester perfect need , , basically , centrally locate place sleep . arrive , asigned & quot ; double & quot ; room quite large consist two twin bed scratchy acryiic blanket . sleep twin bed since college , 25 year ago , ask room large bed . give lovely & quot ; redone & quot ; room king size bed comforter , little small comfortable . room smell cigarette smoke deal . like say , sleep . hotel locate right Gloucester Rd tube , convenient . lobby fairly nice , doormen attentive . evening conceirge helpful pleasant . daytime conceirge , however , unbelievably rude obnoxious ! front desk help courteous efficient . , think farily good value money pay , not much . 
 Mar 12 2007 	 good price 	 spend five night Millenium Gloucester February . note , hotel safe , fairly convenient location right next Gloucester Road tube stop . immediate area fill food store restaurant . say , really neighborhood visitor London would want spend holiday , prepare time tube . look nearby shopping area , Kensington High Street short ride away # 49 bus ( stop right front tube station ) . experience hotel positive overall . lobby quite nice , 4th floor king room clean , spacious appear refurbish . problem encounter erroneous mini bar charge break door lock . take two request resolve issue . breakfast ordinary buffet , though service quick friendly . bar often busy always expensive . book hotel $ 120 . @ night BA Holidays . one can not complain much generally pleasant 4 * hotel London price . 
 Feb 24 2007 	 Excellent hotel 	 stay hotel business February . could not fault . room large separate dressing area . bed 6 ft wide comfy . breakfast combination English , Continental Oriental . hotel situate next door Gloucester Road tube station sister hotel Millennium Baileys . would say bar Baileys nicer comfortable Gloucester . definately recommend hotel anyone . 
 Feb 17 2007 	 Excellent Hotel 	 girlfriend stay hotel four night describe stay excellent . we book four month advance hotel 's website get extremely competitive rate hotel standard location . continental breakfast include good nice selection first class service . the appearance decor hotel high standard clean area . we arrive midday request renovated room give excellent standard adequate size . the £ 20 voucher give come handy end eat free final night Bugis Street Cafe adjoin hotel serve good singaporian food . the location hotel second none right next Gloucester Road tube station Central London five tube stop away . staff pleasant helpful time would strongly recommend hotel . 
 Feb 6 2007 	 definitely recommend ! ! 	 boyfriend celebrate anniversary last weekend Millenium Gloucester hotel fab time ! hotel central 20 second walk Gloucester Road tube station . fly Stansted discover Stansted Express Train service due maintanence hop National Express bus ( £ 18 RTN / ADULT ) . mean take 90 min arrive Victoria tube station hour . do not know exactly hotel locate , grab taxi set we back £ 16 . would recommend take tube Victoria Gloucester Rd ( 3 stop much cheap ! ) . arrive hotel , really impressed . lobby fab atmosphere make we feel important posh ! go room , excitement mount . really high hope . open door ... jaw drop . feel like walk old folk home . room musty , dark date . horrify . immediately go downstairs reception explain be not expect price pay . thankfully , speak lovely lady offer choice 2 room . choose Club Room ( obviously great upgrade ) walk room nearly pass . FAB ! exactly dream leave proceed take lot pic video make family friend jealous ! breakfast next morning absolutely delicious wide range food choose . dining room gorgeous . would recommend Steak House around corner - Blue Door Steak House - boyfriend agree good dinner ' ve ever . romantic , yet lively . reasonably price ( 2 starter , 2 main ( steak ) , 1 dessert , 1 glass wine , 1 beer £ 60 ) . next day normal touristy thing - take Big Bus Tour £ 20 48 hour . it really good would recommend take original tour bus exactly £ 18 . include boat sightseeing tour really good show alot city possible bus . one mistake make buying tube day pass ( £ 5.50 ) do not need except go return city . be not worth . get Leicester Square do not like high escalator unable use - there s lift - I ask ! good get Convent Garden wheelchair facility 6 min walk Leicester Sq . wonderful weekend would definitely go back . problem : swimming pool ; concierge seem constantly hungover really unhelpful ; duvet really thin request blanket ; clean lady do not remove rubbish room ; hairdryer attach wall bedroom mirror : - ( 
 Feb 1 2007 	 Decent Hotel Great Location 	 fifth stay Gloucester . come back ? large room great location , usually excellent rate . four - night holiday break weekend . look number hotel book Gloucester reasonable , reliable close transport . unusually , available room 1 pm first try check . one large drug company hold conference hotel full . give remodel king room first floor 3 pm lunch pint pub road . room nice , nice hotel . bit small average Gloucester , entire room redone look quite similar one show web site . vast improvement last room convert meeting room feature Murphy bed . bed chair comfortable . decent television channel selection feature many foreign network . find quite entertaining night pub . bathroom original fine hotel good water pressure . minor annoyance – wiring ' do disturb ' ' please clean room ' light reverse , never figure thermostat new room many light switch remain mystery we even check . service expect large convention hotel - efficient polite nothing special whole . neighborhood good mention review go . short , decent choice get rate 200 usd night , want large average London room , good neighborhood good access city . rate much high , choice may provide well value . 
 Jan 29 2007 	 absolutely outstanding 	 incredibly impressed hotel . nothing much trouble staff , service receive absolutely outstanding . we really please room , bed comfy room bathroom impeccably clean . I would hesitation recommend hotel , first class . 
 Jan 24 2007 	 great stay hotel 	 family stay 3 night month think great . three room update clean - disappointment one room quite way two , although floor . as other say , location great handy grocery store across street . also find surprisingly good italian restaurant block away - look like dive outside , food wonderful expensive stay away fish dish . breakfast include room rate good full breakfast , fruit , egg , bread , meat asian food too . it interesting see pilot flight attendant lobby day - seem several airline use hotel crew . bus line nearby take double - decker one morning get close change Guards . also save money buy daily subway / bus pass good day bus tube . I would stay heartbeat recommend other . 
 Jan 21 2007 	 Quite Decent ! 	 book week Christmas New Years little worried reading review . however , pass hotel many time way & quot ; regular & quot ; hotel , Harrington Hall ( NH Hotel ) . think look fine street lobby , go give chance ! knew location perfect previous trip . we nothing fine experience entire trip . front desk helpful honored request update room . room spacious bathroom nice enough . bedroom window would open , important since appear ventilation bathroom . bed bath linen nice quality everything tidy clean . everything room work . water pressure fine , show night , perhaps be different morning . housekeeper efficient . meal expensive hotel . choose breakfast place neighborhood we eat less price one breakfast hotel . drink lobby one evening ( bar way smokey ! ) find price pretty high , too- almost 50 pound 5 drink ! stay lobby hour playing card chat old friend join we . staff try hurry we out . we really quite happy hotel . normally stay Hiltons Westins USA would consider hotel similar . none problem reviewer list . lose one hotel key card , replace instantly comment . also give extension check time , helpful flight Heathrow couple hour regular checkout . couple tips- like Waitrose grocery store little mall right outside tube station . nice take dish feel like take something back room , plus great selection tea coffee tea maker back room . also like coffee shop ( think Costa Coffee ) block Starbucks . sell internet card ( 20 minute ) helpful check flight . ( travel laptop . ) also use Boots lunch special ( sandwich , drink , snack item ) park lunch one day . make sense we leave park eat , since go lunchtime anyway . 
 Jan 13 2007 	 conciege ruin 	 stay 8 night January . large hotel close Gloucester Road tube , location excellent . decor neutral , room size quite adequate decent size bathroom . arrive heated towel rail bathroom break live wire protrude . call fix take two day chase staff . do not seem appreciate could electrocute someone . breakfast cheap get voucher reception . weekend cost £ 10.00 £ 12.50 Monday Friday . without voucher £ 17.50 . stay fine last two day . friend arrive see we whilst breakfast . ask conciege could sit we . refuse allow join we . later day order taxi concierge pick we follow morning take us airport . explain two person 4 suitcase . problem tell , car mercede big . taxi arrive follow morning ( large people carrier ) , male concierge stand shout scream we , allow two suitcase would pay extra take four suitcase . huge argument ensue . leave hotel nervous angry . pity end like wonder earth hotel employing person incapable deal professionally public . room rate start close £ 200 per night public deserve much well service . 
 Jan 6 2007 	 Location location location 	 get hotel priceline , £ 73 per room per night include taxis charge . stay three night , move Conrad , Chelsea . the location Millenium Gloucester fantastic - near tube one minute walk , ten minute walk natural history museum science museum . also plenty shop eat place nearby . ate buy breakfast , room breakfast £ 17.50 per person . staff friendly , lobby bar beautifully decorate . restaurant also look nice , not eat they . the hotel worthy four star status , aside room . room gloucester refurbish , naturally , would get cheap deal , not get one . room small dark - couple lamp , ceiling light . mini bar expensive , not even cool drink properly . shower bath inadequate , water pressure rubbish . but location top notch service make tired looking room , would certainly stay , get good deal , would certainly pay well room . even though stay lovely five star hotel second part trip , really miss fab location Millenium Gloucester . 
 Dec 19 2006 	 terrible bad experience ever hotel 	 start ? stay two night December use positive review website persuade so . the hotel lobby staff impress first arrive . on arrive room find firstly really dull decor tasteful . disappointed . ashtray room either . ( smoking room ) .After turn tv use tv guide . however , try watch certain channel find none number match also miss lot channel - notably sport channel . I call operator tell tv problem . inform lady operator mistake channel . rudely hung . call back ask somebody fix tv tell going complain hang phone laughed say & quot ; thank , sir & quot ; .The next morning order breakfast room . arrive soon man bring pleasant . , problem . despite bowl cereal include order , give spoon eat leave use teaspoon . also , salt provide food generally poor . £ 17.50 , expect . on leave hotel first day speak reception make complaint experience operator . man speak apologetic professional promise investigate matter . also explain upgrade digital tv service , problem channel bar would happy put sport want watch . offer two complementary breakfast . on come back room later day , key card not work another trip back reception ( good 5 min ) find go . give two new card advise keep away mobile phone somehow damage .... eventually get room find still ashtray ( despite mention reception already ) , bed make , however still empty bottle beside bed . the bin bathroom bedroom bag think bit dirty . bedsheet , although clean , stained . house movie tv system bad selection three year old . overall happy leave hotel would never go back . four star hotel , without doubt bad ever stay . could recommend place anybody . 
 Dec 11 2006 	 great hotel 	 return stay Millennium Gloucester ( Dec 1 thru 6 , 2006 ) wonderful stay . apprehensive booking Priceline read several negative review site . however , staff attentive , room ( unrenovate one 3rd floor ) exceed expectation , location could not well . can not even guess guest report bad stay , never meet even single employee not friendly accommodating . would highly reccomend hotel . some plus - location ( right Kensigton , 10 minute walk Hyde Park , across street Gloucester Rd . tube stop 3 line - 10/15 minute Westminster , several good restaurant shop walk distance , well museum ) , accommodate staff ( arrange car service , help we seek medical treatmet child ) , nice room ( family four room takeout room comforatbly . ) Tip - London expensive , especially Americans weak dollar . get take - out meal & quot ; Waitrose & quot ; grocery store next tube want save pound ( equate lot dollar . ) 
 Dec 10 2006 	 Cigarette Butt Window ..... 	 stay three night last week entirely happy . I arrive early ( 7:30 a.m. ) without request early check - in . sarah front desk say room ready , request refurbish room say would take & quot ; two hour & quot ; . see grim photo unrefurbished room say would wait , despite sick tired sleep stansted night ( rather , sleep stansted night ) . well , & quot ; two hour & quot ; turn five - and - a - half hour not get room 1:00 p.m. end , twin - bed room instead king - bed room have ask . ( big man twin bed comfy . ) decor room ( fourth floor ) newish kind cheap . great tv good reception . leather chair ottoman particularily comfy . open window let fresh air , cigarette butt wedge crack window housekeeping either not spot indifferent to . the staff resaonably pleasant , not crazy carnival - like atmosphere lobby ( hotel attach onvention centre ) constant gathering Qantas flight crew mill about . location superb , across street ( absurdly crowded ) Gloucester Road tube station . Burger King , Metro Tesco , Starbucks , KFC cheapish internet cafe across street , well . get cheap rate Priceline ( $ 85us ) can not complain value . still , cigarette butt leave mark ..... 
 Nov 26 2006 	 millennnium gloucester good 	 stay seven night enjoy accomadation area local eat place staff . however , front desk staff need careful tone voice respond guest question . two accosion attitude two front desk staff poor address elderly person guest seven night , namely . staff people ffine . would send friend hotlel without question . disappointment breakfast come room . first experience without breakfast London hotel since 1972 . thank God , & quot ; little hole wall breakfast eatery & quot ; across street . 
 Nov 26 2006 	 first class 	 return weekend hotel could fault part it . we book weekend saver hotel website , standard 4th floor , newly renovate room , £ 110 night , include cook breakfast . our room warm want opening window air , unusual London hotel . both room bathroom 4 star standard , lovely linen , towel bathroom accessory . iron , iron board , safe fridge / mini bar . not use mini bar handy milk . hotel bar expensive , other say hotel handy everthing need , tube 100 yds , tesco express same . some good eatery around corner , recommend Brannigans , good food rip price . would stay ? bet ! ! 
 Nov 25 2006 	 Lovely Hotel 	 return good 2 night stay Millenium Gloucester . ' ve read review little apprehensive , need , 5th Floor King Club Room access lovely Club Lounge excellent service . room spotless amenity could expect 4 star London Hotel middle Kensington . across road Gloucester Road Underground 10 min Sloane Square 15 min Oxford Street . beautiful lobby area , lively bar evening would certainly stay albeit parking pricey , hey London ! ! 
 Nov 16 2006 	 ok get deal 	 good feature hotel location . right across street Gloucester Rd . tube station near several restaurant , grocery store drug store . the hotel nice , problem unhelpful staff . get around 8 am overnight flight US . tell room would ready noon ( expect ) go hour arrive back around 12:30pm . room ready . wait lobby another 30 minute , give room . well , walk , * freezing . * try turn heat - nothing . try light - nothing . think something wrong electricity room , call operator . operator say would send maintenence . sit shiver 1/2 hour decided request new room . try call front desk twice get answer time , get bag together go back lobby . explain situation woman desk , inform we put keycard box door order turn electricity & amp ; heat ! not know standard practice UK hotel , hotel ' ve ever stay US , UK , elsewhere ever use keycard turn electricity & amp ; heat . partner even stay hotel remember . would nice desk staff inform guest feature check . woman proceed tell we problem call , need come lobby bag . tell try call twice one answer , say , & quot ; oh , well right , & quot ; like stupid could not possibly neglect answer phone . rather rude quite unpleasant . we go back room find ( completely unmarked ) box , insert keycard , get light heat turn . never get warm room though , even though leave heat constantly 3 day . understand hotel need conserve energy , unpleasant guest walk freeze cold hotel room unable get warm one small vent near ceiling heat know long , November . also heat vent bathroom , remain pretty chilly . also discover , go take nap , top sheet blanket bed , duvet . point tired though deal it . I book hotel part travel package , choice would probably stay . not think room service live 4 - star rating . 
 Nov 16 2006 	 long thank drill vomiting 	 stay hotel conference February 2006 . room clean , spacious well decorate . bathroom well equip spotless . in - room safe working properly , report reception phone send someone immediately problem quickly resolve . good far ! ! ! evening meal poach duck adjoin restaurant ill next day . whas duck ? likely think ! awoke 7:00am next day sound workman next room . hammer drill like tomorrow . also talk loudly hang corridor outside . drill user even tap little tune ! like ' carry ' movie . breakfast buffet fine . illness ' kick quite yet ! conference facility good , exception gloomy hall bowel hotel use large event . I check noon tell receptionist stay marred antic room next door . really incompetent ' even say sorry . say nothing could it . would stay ? must kid ! 
 Nov 12 2006 	 ok choice get deal 	 husband book hotel Priceline £ 50 ! find stay Millenium Gloucester find review website , rather nervous stay ! lobby / reception area truly gigantic well maintain . staff efficient polite not look nose we have evidently book Priceline ( happen another hotel London ! ) .Our room not one newly renovate room , clean . take we find individual lamp work & quot ; main & quot ; light entrance room light bit . luckily , not electocute one person suggest might ! room close lift area , hear little noise / movement . road outside also seem quite quiet Sunday morning . the bathroom definitely tired , , clean decent sized decent amount towel . make sure use slip - mat provide - need ! not breakfast hotel £ 17.50 per person ! instead , Coffee Republic top street . also cafe close Gloucester Road tube station also seem serve breakfast . all , pleasant stay , feel sorry anyone pay full price room . room stay one tired 3 star standard . however , position hotel fantastic quiet area , close tube station . 
 Oct 30 2006 	 Decent stay 	 spend 3 night Millennium Gloucester World Cup stopover . difficult find good deal hotel London time peak summer season wimbledon etc . pick hotel end . since aware nasty old room many review , especially request pay extra new room . upon late check , new room take complain upgrade Club Floor . room great condition , clean spacious big desk lucky get free upgrade 3 night . sleep well throughout problem room apart bathroom little old , nonetheless clean . staff generally quite helpful encountered rude . understand must stress exhausted begin July high season , take job service industry , excuse friendly hospitable guest ! one female receptionist look constantly annoyed question really put do not even ask anything difficult . location excellent . Gloucester road everything need need shop go sightseeing , tube station 30 metre away hotel Westminster area well bus . 74 Harrods Oxford street . recommendation , stay manage book new room club floor . otherwise , be worth money . 
 Oct 29 2006 	 lovely hotel inexperienced staff 	 generally impressed Millennium Gloucester hotel management staff . locate conveniently near Gloucester Road tube station , hotel provide we want , two comfortable adjoining club room king size bed mom dad one room twin bed two son , 5 - day vacation August . morning breakfast buffet main restaurant daily treat . everything 100 % fine one evening fire alarm ring sometime around midnight , careless kid accidentally bump emergency switch hallway . night manager duty inexperienced staff know turn alarm , rang long time , least 30- 40 minute . guest pour hotel mill around outside front door , many pajama robe , barefoot . staff provide information , even though know alarm accident already tell fire department send truck . eventually get alarm turn , could get elevator work . one employee take group we back hallway try freight elevator , abandon we could not get work , either . eventually find way breakfast room . finally maybe another half hour allow walk many flight stair room . well past 1AM . morning request partial refund approximately $ 400 spend two room night , consider needlessly dump street pajama extend period middle night . staff say , problem cause guest , hotel responsible . except one bad night really enjoy hotel , circumstance not think will stay . consider badly staff bungle unfortunate event , wonder well would perform face legitimate emergency . 
 Oct 25 2006 	 well elsewhere 	 far staff concern , issue . address problem capable handling . problem hotel rate four star hotel , one would expect find accomodation commenserate rating . room large compare lot London hotel . however , upon enter room immediately overcome musty , moldy smell . turn rather antiquate a / c , remain full - blast entire week 's stay order keep room cool , smell . overall condition furniture old , wear dirty . bed mattress poor quality fit box spring frame . result , move toward edge bed , mattress would tip would find floor . week , sheet change . vintage blow dryer provide work approximately ten second need rest half hour another ten second operational time . bathroom old looking , shower foot short modern man , toilet pump operate , unlike find small fishing vessel . food price restaurant rediculously high . over - price beakfast buffet nothing special ; door restaurant not open schedule time , staff totally disorganize . end helping put serve utensil one morning sort & quot ; get show road & quot ; . make difficult get breakfast pick morning tour . enjoy sit lobby & quot ; people watch & quot ; . however , every evening large arab gentleman entourage occupy every available seat . one doorman tell we either own , manage , hotel . either case would thought posse find suitable location hold court , allow lobby seat use guest . positive note , term access laundromat transportation , great . two laundry within couple block hotel , Gloucester road tube station directly across street , direct access three major tube line . also grocery store , pub several fast food type restaurtant within block . 's shame hotel advertise multi - million pound renovation , could not experience positive result . 
 Oct 21 2006 	 could nice hotel ... 	 week ago return London stay Millenium Gloucester . hotel , rather management terrible mess . check due confusion assign two room - naturally need one , . aware credit card number also assign two respective room . husband start call , repeatedly connect wrong room . meanwhile , struggle telephone room 466 , dead . electricity would work either . finally transfer another room . card number assign three . , naturally , aware fact , get message bank charge 400 pound ( prepay stay use service bar ) . take real investigation find happen . pleasant experience . lucky : one manager , Birgit , considerate really caring , work . take actually two day . receive apology , etc . grateful Birgit . surprise . morning 14th October ( book hotel till 15th ) inform leave , since record , date mysterious reason 14th . take time work . really mad hotel , really stand 4 - star requirement management think work mess . hotel huge . lot people come go . unprofessional people case disaster . bad thing care ... rare exception . hope hotel improve . otherwise , though certainly get lot tourist via tour operator , reputation work hotel . sorry gloomy review , mess spoil part holiday . 
 Oct 17 2006 	 Superb location hotel ..... 	 hotel locate one convenient area London . Gloucester Road tube station , many good restaurant , drugstore , grocery store , convenience store , etc .. within block hotel . however , hotel look good lobby room service need update . cold London first room give heat tv work . take 5 call reception concierge get someone try fix 1 hour decide pack bag ask new room . get second room even tell non smoking room someone smoke lot could stay room . finally , 3 hour go one room get decent renovated room 5th floor ( call executive level ) room comfortable newly renovate . however , middle night even heat supposedly work fine freeze room find blanket available . , take 2 hour someone show blanket room 3am . thus , lucky get renovate room need anything staff hotel great deal location . 
 Oct 13 2006 	 Neighborhood four star hotel 	 traveler know seem indicate difference hotel rate four star Europe oppose similar rating America . attest truth . Millenium Gloucester , air , rate two star . neighborhood , though , great . we recently spend six night Millennium Gloucester . ornate lobby would seem indicate four star experience . wrong . get floor ... 4th ... certain tiredness materialize . room enforce view . Millennium Gloucester advertising upgrading facility , apparently improvement come rest 4th floor . light room work . couple bathroom partiallypainte , indication four star workmanship . window break , upon arrival , air conditioning work . one evening , entire room lose power get ready evening total darkness . easy thing . event indicate electrical problem , incident fire alarm certainly . three time stay , fire alarm go , middle night . lobby staff absolutely useless explain cause alarm render assistance whatsoever . treat non - event . sad , especially many guest quite frightened . yet , lobby staff stand around nothing , even acknowledge fire alarm sound . scary . on good side , clean service quite good cleaning lady pleasant . breakfast breakfast staff also excellent . the neighborhood A-1 , especially due proximity Gloucester Road underground station . pleasant walk bring Albert Memorial , Kensington Palace , Royal Albert Hall . excellent pub close hotel , Herdford Arms . two foodstore immediate vicinity , Tesco Waiterose . handy inexpensive food not want dine time , get expensive . all , lack hotel excellent location . 
 Sep 28 2006 	 Great Hotel - Superb Location 	 Mother say Millenium Glouster -- great ! surprised find hotel room large expect ( european standard ) brand new bathroom great tub shower -- water pressure wonderful ! room clean service excellent . good part -- LOCATION ! around corner tube station , several restaurant pubsand grocery store . staff bit stand offish -- helpful polite . & quot ; Bugis St & quot ; restaurant authentic indonesian /Singapore food reasonable price . we , taste home ( live place ) good quality food . typical service -- bit slow american standard -- still good . overall great hotel , great location , good service surprise -- room rate get cheap day stay -- ? ? guess weekend rate end give weekday rate -- happy surprise credit card bill ! ! 
 Sep 26 2006 	 simple clean place stay . 	 stay hotel one night last week . be busy time London hotel charge great deal . pay 100 GBP plus tax double room queen size bed , affordable price time London . hotel simple fairly clean . furniture carpet quite date . room good size two people . sheet , towel bath room clean sufficient . location great , 30 second walk tube station . be less 10 minute ride major attraction London . hotel bar restaurant . be little pricey . around neighborhood , be cafe , restaurant bar , include Starbucks supermarket . small cafe around corner serve good english breakfast freshly squeeze orange juice , reasonable price . be look simple , clean affordable hotel , good value . 
 Sep 25 2006 	 Nice 	 stay Sept 4,5,6 , 2006 . arrive front desk say problem reservation . air conditioning break . put we cab send we Mellennium Knightsbridge one night . bottle red wine appear room inconvience . hotel transport we back Mellennium Gloucester two night . front desk upgrade room Club Floor , send we large plate mixed fruit . Gloucester Road tube stop Piccadilly Line 50 meter away back entrance . breaksfast , price , 35.00 pound two people . pleasure see Guys Dolls Patrick Swayze Piccidilly Theatre . nice hotel would stay . 
 Sep 24 2006 	 well expect 	 bit curate 's egg place - good bad -overall quite like it . check friendly , quick ; room not ready quite early ( 12.30 ) problem . take lunch bar adjoin foyer - impressed food . great cold cut hor d'oeuvres , cut above . I rather like bar , staff friendly . the foyer fine ; evidence & quot ; smokiness & quot ; refer review . we book club room interconnect door . mean pay full rack rate guarantee . haggle avail , swallow hard book . hotel worth rack rate , ? room little date good size London 2 chair per room actually comfy.the Club Floor lovely modern re - furbed room evident elsewhere , be OK.Club lounge floor useful - use breakfast , good choice cold meat , salmon etc . proper decent coffee machine . some glitch , hotel show age . window one room would shut properly . noisy neighbourhood outside . seriously room give loud , intermittent buzzing sound - infuriatingly every 10 - 15 minute - loud day enough wake night . . . seem relate aircon unit sound exactly like entryphone buzzer . Arrghh go ! plus side maintenance guy like shot try fix . friendly apparently overwork russian guy . fix ? well , sort of . the hotel try good locate DVD player could borrow keep 4 year old entertained ( warning , poor tv selection ) ; find one , even loan we kids DVD 's . however ! not work . russian chap try well get go repeatedly luck . Overall 's experience hotel . staff battle ( sometimes vain ) decay infrastructure . somehow come like staff hate hotel . everything else review great location etc . spot . kid museum within walk distance will not find much well . 
 Aug 18 2006 	 dreadful 	 frequent traveler spending excess 100 night per year hotel , come accross pretty impressive equally rough hotel , unfortunately fit latter category . the benefit stay hotel location , residential district South Kensington locate directly opposite Gloucester Road Tube station offer excellent link London . also summer month take 30 minute stroll Harrods Knightsbridge . however , thing nice hotel . room horrible , dark dingy , dirty thing outdate . morning breakfast unbelievably bad serve staff speak little English begin drive mental first thing morning serve person every day ask every morning Worcestershire Sauce go whole charade game finally get non eastern european member staff ( lovely Filipino lady ) immediately know want go get . go seven morning like clock work . you excitement deal front desk staff happy argue whatever request may happy tell fact wrong . eventually speak hotel manager apologise promise stay thing . thank ! 
 Aug 8 2006 	 convenient 	 wife stay Millenium Gloucester first week July . warm concerned comfortable hotel would . comfortable ! ! room 2nd floor sufficient - we really not spend much time anyway , sightseeing . week also 2nd week Wimbledon add excitement hotel , even add excitement not feel crowded rush . transportation less minute walk away , either bus underground mean could access point London easily . great pub within walk distance plethora restaurant choose make first visit London enjoyable . would go back would not hesitate stay again . John B.New Jersey 
 Jul 27 2006 	 Great Location Great Hotel 	 return 8 night Millennium Gloucester . love location great time . find staff really great helpful especially Concierge Julie . great location , right around corner underground ( Central , Piccadilly District line ) bus stop . bring 6 Day London Pass 7 Day transportation pass . get around everywhere either Bus Underground really easy ! besides transportation near shopping center around corner supermarket , boot ( like CVS ) , restaurant & amp ; Coffee Shop . also Internet Café , Pub , 24 hour food express store several restaurant across street . also could walk take Bus Kensington Palace & amp ; Gardens , Royal Albert Hall number really good restaurant within ten - minute walk . hotel really nice Continental Breakfast Buffet , include room . could upgrade full Breakfast Buffet , suppose cost extra 6 pound day . second day ask Hostess would go upgrade want particular day , say go ahead take full buffet , without extra charge ! higher price Club room wife & amp ; find big enough pretty big people . London ' spend much time room anyway ! every night either play ( 1/ 2 price ) concert late dinner . complaint first floor could hear street noise sometimes could keep , ' bother we enough want change room unpack . Loved London would go back ! 
 Jul 24 2006 	 Negotiate rate ! 	 room small , barely big enough two . clean quiet . location great , around corner Tube bus , include hop - on hop - off bus . not eat , expensive , go several restaurant around corner . 's coffee maker room buy breakfast stuff Tesco store across street . around corner cheap internet place video store , well Burger King quick snack . enjoy casino hotel take advantage half price dinner . casino membership free . the front desk staff bit curt even busy . definitely need & quot ; people & quot ; training . cafe casino staff lot friendly . first two night company - pay want stay four night , quote we $ 400 night tiny room view brick wall ! call reservation number finally get 100 pound , still $ 200 , plus 17 % tax . 's worth negotiate . 
 Jul 18 2006 	 good location much else 	 stay hotel European Tour commencing . fortunate get stay refurbish room level 4 - other lucky . lobby smell like ashtray - receptionist rather offhand dismissive . check time 2 pm arrival shortly 2 pm room still ready . apology tell hotel fully book would wait ! positive hotel 's location right near Gloucestor Rd tube station 15 minute walk Harrods , Hyde Park plenty attraction nearby . breakfast also excellent . second day hotel 's hot water system pack cold shower ! 
 Jul 16 2006 	 Room Inn 	 room reserve Millennium Gloucester . get , ask come away desk tell manager room available . move Millennium Knightsbridge . pay cab fare , stay another person real inconvenience . 
 Jul 13 2006 	 ok Wish stay Faulty tower 	 lot make Faulty tower look like well - run machine . can not even begin list problem place . travel summer expect air conditioning ... self favor go elsewhere . staff keep lobby cool 12 degree swelter room ! oh , not expect hanger work safety box either . 
