one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Feb 7 2007 	 great facility mediocre staff 	 favorite place stay Las Vegas . pro : attractive upscale hotel manageable size , quiet , clean air , nicely furnish room , free parking , free internet . con : away Strip , surly staff . I stay several time , recently December 2006 . everyone go Vegas enough favorite hotel . personally like quiet hotel retreat live amidst wonderful noise chaos Las Vegas . Renaissance provide beautifully . casino hotel , non - smoking hotel , be large place 's problem navigate . locate next Convention Center , tram take Strip not want taxi drive . self - parking valet free . I like modern decor lobby guest room . 's lavish , nicely do , please eye . lobby bar , lobby restaurant people come mile away eat , flat screen tv every room . pool area small boxed side sun hour mid - day , plan carefully want take advantage . also , pool area one place folk smoke , sometimes smokey . really cool lounge chair , er , couch really . the exercise room available 24 hour well - stock treadmill , weight machine , bicycle , even gizmo ' m sure do . there free WiFi lobby . room connect cable , be still free . I find server restuarant wonderful friendly , valet . front desk staff , concierge , wait staff bar either avoid serve we actually hostile multiple occasion stay less one week duration . wonder not management problem place many people negative attitude toward customer . friend pretty shocked . but , * still * favorite place stay Vegas . not mind away Strip , actually prefer . beautiful comfortable place stay . 
 Feb 5 2007 	 expect rude Vegas ? 	 perhaps ' ve many great hotel , not understand excitement place . think service attentiveness fair - price . part experience not like hotel ? management react bad service . get shower one morning , reach towel . without glass not realize one nasty towel ' ve ever give hotel - include hole , dirty , tear rip . look almost like old rag neatly fold towel rod . the reaction ? smug & quot ; unacceptable & quot ; , ask room number , rudely walk away . perhaps ' m ask much ask least apology , ' m turn hotel management rude . not think will stay ! 
 Feb 5 2007 	 nice 	 nice hotel , strip , close monorail stop Las Vegas Hilton . friendly staff clean nice room . ask city view , give view strip , mainly Wynn enjoy sunrise reflect Wynn Hotel .... nice . 
 Jan 24 2007 	 Loved Renaissance 	 stay Renaissance Las Vegas Jan 19th 2 night , absolutely love ! provide excellent customer service . check - in breeze ! actually check , walk around counter personally welcome name , hand room key . never experience kind customer service hotel . staff run stay friendly polite . room awesome ! ! clean quiet . bathroom huge ! 3 time size normal hotel bathroom , glass enclose shower , separate tub , marble counter lotz space , big fluffy towel . room decorate tastefully , include flat screen tv , chair ottoman , desk , luggage rack drawer , mini fridge , coffee maker , closet iron ironing board . bed nice linen , comforter , big thick mattress , little firm like . much well hotel though ! like closeness strip , yet leave hussle bussle , go back nice smoke - free , quiet environment relax . pool area look lovely , not time use . would definetly recommend Renaissance anyone look excellent hotel , easy access strip . 
 Jan 17 2007 	 Nice Place 	 excellent hotel . be across street convention center . L.V . convention , location beat . go L.V . work , gambling , make Renaissance breath fresh air . room quiet , well appoint bed , comfortable . room shower tub , bathroom large . room clean . staff helpful . monorail outside lock cabbing onto strip , desire expose insanity . 
 Nov 14 2006 	 Serene Stylish Escape 	 get back trip Grand Canyon- decide use Vegas & quot ; base camp & quot ; & amp ; intentionally choose hotel Strip yet easily reachable ( via Monorail across way ) , Marriott new property ( & amp ; Marriott earn appreciation quality lodging ) quiet , stylish hotel cater nonparty , business clientele casino . also , get great deal : $ 89 per night ! plus plus beautiful , exquisitely clean room , nice room service staff stress free & amp ; quick check - in ( take evening flight East Coast & amp ; grateful ) . minus rather isolated & amp ; deserted neighborhood- desert Las Vegas Convention Center right next door & amp ; walk get Monorail entrance- come back Strip night little creepy ; limited restaurant on - site services- food room service come 1 & amp ; restaurant , mediocre pricey . fitness center nice though , roomy , well appoint w / fresh fruit & amp ; iced fruit drink & amp ; spring water available - fronted floor ceiling window face small pool area contain within inner courtyard . look exciting , entertainment atmosphere place need respite full day & quot ; Strip & quot ; & amp ; not mind deserted neighborhood place good option . 
 Nov 13 2006 	 great experience even well service 	 say enough Renaissance Las Vegas . travel family Las Vegas , also charge make travel arrangement . never Las Vegas , nervous book bad hotel . originally book hotel isolate section Strip , go Renaissance instead Travelzoo advertise $ 89 / weeknight $ 99 / weekend night rate . decide go Renaissance base could find web , original hotel convenient section Strip , Renaissance , though Strip , well quality hotel . I happy say disappointed . staff Renaissance excellent , especially concierge everyone bell desk . hotel spotless , parking free ! ( way , valet self parking free virtually casino Strip , probably well drive take cab . ) addition , bed extremely comfortable ( mother still talk week return ) hotel smoke - free , appreciated third night Vegas . also like walk casino get hotel room . unfortunate aspect Renaissance location . feel isolated excitement Strip , drive hotel Strip could get drain time . however , commute manageable rental car . family love hotel , even relative stay one & quot ; big casino hotel & quot ; Strip ( $ 240 / weekend night room nice ) impressed . would definitely stay Renaissance Las Vegas ! 
 Nov 7 2006 	 Heavenly Beds ! ! ! ! 	 concern casino , truly not miss . busy shopping go race not care . everyone super friendly helpful , especially valet ! ! ! good part bed ! ! ! amazing ! ! ! ! definately stay 
 Nov 7 2006 	 Sophisticated 	 easy find , strip south convention center . monorail west Paradise Rd . use valet parking every chance get . attendant courteous professional directing reception . time car return , quick courteous . even forget cell phone car night , valet bring entire car , bring back parking place . check effortless , efficient , friendly . got one candy look martini olive - nice touch ! lobby slick , modern , swanky . I stay Room 355 view rooftop ventilation , view parking garage leave , view west wing hotel right , peek southern part strip distance . room small . first thing notice modern look carpet ! yes , carpet . carpet luxurious even sleep ! ok , maybe , nice . book two double bedded room . arm chair window , business desk phone , internet connection , desk lamp , small plasma tv . underneath , safe refrigerator . place leave duffle bag luggage case . right , spacious armoire . able store three dress shirt , 3 pant , 3 polo shirt , 3 pair shoe . place sit luggage case two drawer beneath clothe . bed comfortable feather fill comforter duvet cover . bed nightstand lamp AM / FM / CD alarm clock . bathroom separate shower tub small alcove toilet . nice quality toiletry . love Lather brand toiletry . beneath sink coffee maker complimentary Starbucks coffee , tea , hair dryer , towel . small problem separate shower - door shut securely cause water leak onto bathroom floor . I use fitness center . 's well equip treadmill , elliptical trainer , recumbant bike , weight machine , free weight . complimentary bottled water , towel , weird taste juice ? think Gatorade ? ? ? also two separate bathroom shower , toilet , towel , etc . three plasma TV 's well ( two cardio area one weight area ) . fitness center view pool / jacuzzi area . notice use 5:30am ! think heated , not use it . staff nice , even guest really nice . nice stay smoky hotel casino . hotel property mainly business traveler , also traveler like not like smoke noise casino . guest old business traveler type . I not eat , although stay long , would . highly recommend place ! 
 Oct 27 2006 	 great BEDS ! ! ! Bad Refrigerators ! 	 stay four night two room . web site list refrigerator , wrong ! ! ! wet bar , put food , purchase milk juice , bathtub turn ice chest . not get King Bed .. book , use price line , course guarantee , know use price line . double bed get EXTREMELY comfy ! ! plenty pillow , nice . bathroom great , location hotel great , 1/2 block Monorail self parking easy Hotel . Valet , not ' really need , bell man great , Johnny spot show we room detail , include & quot ; refrigerator & quot ; . would stay , new clean hotel , love casino ! room service good also . we complain fake fridge , gal assure we replace , suggest remove amenity so . we tell nephew could wing floor , end four floor away terrible view parking garage ! minor detail . chocolate hand nice touch well individually wrap jelly belly , jelly bean . love free room intenret sevice also , really great . 
 Oct 18 2006 	 Loved ! 	 book hotel last minute travelzoo special $ 99 / weekend night $ 100 next stay . wait go return hotel ! well expect nice respite noise smoke strip . forgot Vegas stay hotel want take bed home we . bed cozy , room service prompt yummy staff hospitable . front desk even offer print borade pass left airport . without doubt good hotel stay good accomodation . will not disappoint . 
 Oct 16 2006 	 good deal good hotel noisy 	 Renaissance well attend convention want within walking distance convention center , dislike large casino hotel , find good deal web . convenient monorail . downside nothing hotel night except bar plan go elsewhere entertainment . we ' ve stay several time , recently October . Marriott web site stay 3 , pay 2 night deal $ 149 night weekend . hotel couple year old overall nice , other note , insulation poor hear noise room next door . bed comfortable , free internet access room , service front desk housekeeping fine . breakfast concierge lounge ( Marriott Gold member ) one morning one person let member ( 20 count ) party obviously authorize use club - wait door keep go see anyone open . one staff notice , ignore . result large , noisy party club occupy space make hard other get benefit deserve - observe several people leave due lack seating . one point worth note : design pool poor . small area courtyard building . result half pool area shade morning , entire pool shade afternoon nice pool area consideration need take account . ( mirage one good pool Vegas ) .The first night dine Envy , steakhouse . food good cheap Vegas steakhouse , service poor . wait almost 15 minute anyone come ( wife leave ) , drink come appetizer , one ask food . 
 Oct 15 2006 	 GREAT hotel 	 book hotel priceline . not expect find arrive . , without doubt , one nice hotel ' ve ever stay . front desk staff friendly efficient . room beautiful . nothing would change . bed extremely comfortable . arrive late ( midnight ) able order room service , arrive within fifteen minute order . this great hotel . fact non gaming casino make great location quieter stay Las Vegas , yet close everything . 
 oct 9 2006 	 Refreshing break Strip 	 Excellent experience Renaissance Las Vegas term room quality , service value . book directly hotel website club - level room ; pay $ 164 / night 2 night receive 3rd night free . great deal top - quality hotel ( free breakfast , ! ) low - budget room Strip go least $ 200 / night . super - comfortable bed room spotless well - design without faint hint smoke . housekeeping service prompt unobtrusive . even return afternoon deliver chocolate check need extra toiletry ! free breakfast Club level room . reasonable quality food staff exceptional . go way obtain hot chocolate another guest even typically stock part buffet . no wait check front desk staff professional courteous . complicated checkout involve gift card , gift voucher credit card payment - handle perfectly problem all . strip access via monorail Wynn shuttle ( within hundred yard ) , always prefer rent car . I tend little critical hotel , restaurant , etc . nothing praise Las Vegas Renaissance management staff . 
 Oct 4 2006 	 Loved ' no crowd ' 	 stay fabulous Renaissance Las Vegas locate strip . hotel new ( year old ) , modern , business class hotel excellent customer service . immediately check - in friendly staff & amp ; instant access concierge . not crowd , never wait elevator , casino ( major plus ! ) . strip easily access via free shuttle around corner . room modernly appoint & amp ; spacious excellent view strip . I really like ' no crowd ' & amp ; ' no casino ' feature . Vegas , definitely return Renaissance . also check incredible show : Zumanity & amp ; O. highly recommend & amp ; would definitely see ( even $ 150 pop ) . [ -- -- ] food , recommend Eiffel Tower Restaurant Paris Las Vegas Hotel evening fine dining . 's Strip 11th floor Eiffel Tower replica . offer french cuisine , breathtaking view Las Vegas strip include Bellagio 's famous watershow . [ -- -- ] brunch recommend Top World restaurant Stratosphere . locate 109 story strip , offer unparalleled view restaurant revolve 360 degree . crab benedict & amp ; french toast -- good . [ -- -- ] Stratosphere , definitely ride Big Shot ( experience 4Gs ) - fave . also ride new x - Scream , giant teeter - totter , open vehicle propel head - first , 27 foot edge hotel ( 110th floor ) & amp ; dangle weightlessly pull back . [ -- -- ] 
 Sep 24 2006 	 Lovely Hotel Poor Customer Service 	 girlfriend stay hotel 29th birthday . purchase package deal include full breakfast ( room service delivery ) martinis day . get hotel , later find full breakfast include egg , bacon toast , absolutely substitution . martinis bottled state like syrup . front desk staff clueless ask certain question pertain hotel . additon , staff unfriendly accomadate ... overall hotel lovely clean . 
 Sep 23 2006 	 Happy Hotel 	 Marriott great offer begin look hotel April , four month advance husband 's birthday : $ 109 night plus $ 100 certificate future stay . book hotel backup , friend book later $ 95 night . well , never find well offer busy weekend Vegas , go ahead stay Renaissance . we really like contemporary design throughout hotel beautiful bathroom room . good , hotel compact efficiently lay : take less minute front door room . huge walk endless corridor , wait line restaurant check - in . could relax pool wait friend . one , lawyer travel weekly business , rave hotel great . one room service one restaurant breakfast . everything well - prepare deliver quickly . staff go way make we comfortable . we rent car , would recommend stay Renaissance . garage parking free , one minute lobby garage . ( get garage strip interesting : go west , away Paradise Road , first major street , south Flamingo . go north Paradise mistake ! ) 
 Sep 18 2006 	 would stay ! 	 experience front desk excellent . strip away hustle bustle . not wade thru mass humanity get pool wait forever valet get car . hotel convention center monorail stop . catch Wynn shuttle right across street . pool small courtyard shade part day . non casino hotel smoker ! yay ! room decorate modern style . love bed .. heavenly . lot pillow duvet sheet , love , nasty bedspread . bath seperate tub love Lather tolietrie . small fridge room . starbuck coffee room . ask view strip .. side golf course see light . eat Envys , steakhouse . excellent spendy . 
 Sep 17 2006 	 Best Hotel Vegas ... relax ... 	 get good hotel deal Vegas not like gamble . stay large hotel / casino Vegas far favorite . accidentally stumble onto gem CES year . lobby area really nice , simple cluttered slot machine associate noise . second stay past month . stay enjoyable relaxing . flat panel tv room nice upgrade hotel strip otherwise . highly recommend hotel anyone visit Vegas gambling easy access casino monorail taxi . staff friendly room clean . great deal anyone stay 3 night take advantage without difficulty . third night free deal correctly show bill checkout time . check - in check - out hassel free . definatley stay visit Vegas . nightly rate reasonable fluctuate wildly like hotel stay Vegas . really rate 10 10 . 
 Sep 16 2006 	 Nice hotel 	 nice room . great fitness facility . small pool . Wynn 's golf course block walk strip . would stay . convienent parking . 
 Sep 4 2006 	 horrible front desk staff ! ! 	 though hotel room reasonably nice decent condition , unprofessional arrogant attitude front desk staff assistant front office manager make stay wholly unpleasant . lack training process Marriott coupon , issue Marriott Hotels less ! ! , can not figure , rely make inaccurate assertion , hope guest go away . okay , okay , ! ! front office manager rude Marriott Customer Care specialist , know hotel problem ! 
 Sep 4 2006 	 lovely business hotel 	 second stay hotel excellent one . appreciate convenience next Convention Center without noise chaos casino hotel . hotel lovely great decor great service throughout . room comfortable pool area nice getaway Convention Center bustle . free high speed internet bottled water , plus fridge free safe room , appreciate . hotel restaurant excellent last visit , prefer healthy salad sandwich / wrap coffee shop . selection light meal extra friendly service welcome . this time also walk two wonderful indian restaurant five block away . one locate strip mall look several good restaurant . convenience store three block away . 
 Sep 1 2006 	 $ 99 night great location clean 	 get excellent rate hugely busy weekend August 2006 , $ 99 travelzoo . unheard 4 - star hotel near strip . close decent 4 - star NYNY $ 169 night . save bundle , take money , bet black roulette table $ 200 . discriminate traveler , staff make stay extra pleasant provide great service we . bag guy friendly , valet prompt courteous , checkin / out quick easy ( even give candy check - in ) , conceriege knowledgable know exactly talk , housekeep top notch - even leave we extra soap towel . room do not much view could see monorail , convention center , wynn , hilton , part back strip . attend convention Las Veags Convention Center - HIGHLY recommend stay like 100 yard entrance . strip , one compliant . lot ' old ' people hotel - nice like quiet boring . nice quiet night sleep long night partying . pool scene = bad , old wrinklie sunbathe , couple , hairy guy . restaurant : envy excellent food great price lunch . top notch service full bar . Cafe not impressive though . typical casino / hotel vegas , be young good place stay not hurt budget get great place stay . old not like smoke casino , loud noise , distraction strip also excellent 4 - star hotel that s clean relax . room typical , near spacious . LCD 32 & quot ; swivel tv , HD . accomodate bed . can not get 2 queen though . safe refrigerator come handy . bathroom clean tiled stone looking finish . walk shower glass surround clean tile . bath tub also include . Granite counter top . much leg room stretch . nice computer chair internet - think plug computer 32 & quot ; LCD tv easy viewing , movie , etc . lot modern feature new hotel . view good get , near spectacular like large strip hotel . overall FANTASTIC BUY much fact stay extra day $ 100 less next cheap 4 - star hotel . excellent location , great service , new / modern / clean room , hot german flight attendant , cute desk girl , great food make pleasant stay . would HIGHLY RECOMMEND stay ! 
 Aug 31 2006 	 nice hotel . clean comfortable quiet . cha ching noise ! 	 thank review Tripadvisor reason choose hotel , glad stay . first impression say alot , hotel front desk agent nice ! room trendy , loved decor , plasma tv , bathroom fabulous ! one reviewer say room small . think room nice size . room 2 double bed , desk chair , chair table . nice stay hotel non - casino . pool small , big pool enjoy ? fine ! hotel good location across street convention center , monorail . use monorail . thank reviewer give tip use Wynn Hotel 's shuttle strip ! great tip ! would definitely stay hotel ! 
 Aug 8 2006 	 Sanctuary 	 recently 4 night stay delightful Renaissance Las Vegas . firstly , important acknowledge location hotel , Strip . property adjacent Convention Centre Paradise Road . want hotel within walk distance Strip place you . having say , monorail run past hotel station across road . cheap $ 5.00 ride . well value buy 10 ride pass $ 35.00 . thing like Renaissance casino , therefore pass parade tourist crowd place foyer smell cigarette smoke like hotel Vegas . decor understate chic . room retro / modern style bed comfortable . excellent airconditioning . eat hotel restaurant , funky decor nice food , outrageously price either . the pool central courtyard , large , get direct sunlight day , need time visit coincide sun , late morning early afternoon . tranquil though cause run guest . would certainly return Renaissance . 
 Aug 8 2006 	 great stay enhanced care staff 	 stay on - site meeting impressed staff management 's dedication customer service . doorman ( seem ever - present ) room attendant attitude service first . room comfortably appoint . wire high speed internet access ( free ) speed acceptable get work do room . concierge staff go staff go beyond call duty assist coworker keep non work hour full fun activity . even give we tip get sell - out show work like charm . monorail pricey good transportation option . take several time happy . traffic around hotel show time terrible . LV meeting either hotel convention center , place . stay every time ! 
 Aug 2 2006 	 good convention 	 stay Renaissance July 25 - 30 , 2006 attend conference . although walk convention center disgust Hilton quite way , especially hot weather , hotel great . front desk helpful check entire stay . hallway smell clean fresh ( entire hotel non - smoking ) room always appear clean . specific request always accomodate respect notice staff many time straighten lobby common area . think room ample size . request quiet room hall high floor . desk helpful aquiring room wanted find nice staff , staff try accomodate request . negative small pool area although fitness center complete working equipment , complementary fruit , water , juice , small offer sauna , spa service , relax environment . got great rate , $ 109 / night , web site search around . friend stay nearby Hilton total dump unchanged last year . would definately stay want stay strip . 
 Jul 31 2006 	 great stay 	 stay hotel 4 night end July . want quiet hotel strip get . problem staff speak polite . breakfast hotel restaurant prove little expensive $ 45 2 people ( tax tip include ) . choice breakfast - buffet fine eat lot breakfast time - not . end go local hotel strip find well value meal . hotel doue not need small store kind buy essential , especially travel family . courtesy room check pain 9 hour kill not access room shower . room clean , modern , bright fully equip . seem quite sound - proof not hear neighbour . drawback room heavy door slam every time close . course , many people not try cushion noise not great 3 , guess get type thing , well inconsiderate people every hotel . monorail access great take straight strip help alleviate 110 degree heat ! - high standard come hotel , real complaint hotel would readily stay . great time Vegas ! 
 Jul 13 2006 	 Loved Renaissance - Las Vegas 	 spend 4 night Renaissance Las Vegas 4th July Hoilday read good review . locate Paradise Road Strip . 3 min walk Monorail make convenient go anywhere Strip . room look Strip Wynn golf course . room view great . fabulous amenity . flat screen tv nice well complimentary bottled water . the good part Renaissance non - casino hotel mean hustle bustle smoky smell contend with . the Envy restaurant little pricey food good .. breakfast one day . whole wheat pancake fresh blueberry exceptional . the staff concierge pleasant accomodate request . fault find outdoor pool small since hot - 108 degrees- do not use anyway . it pleasant , relax stay Strip . monorail 3 min walk need stay Strip pay twice money , force walk casino get anywhere deal crowd . I would highly reccomend hotel . think great value money . 
 Jun 26 2006 	 good hotel adjacent Las Vegas Convention Center 	 wife check morning nine night stay attend Cisco Networkers conference Las Vegas Convention Center . stay last year ten night conference . Hilton Hotel often ' official ' hotel event Convention Center . walk Renaissance Convention Center long Hilton - ' pass thru smoky casino Hilton way . make sure get access & quot ; Club Lounge & quot ; aka & quot ; Concierge Lounge & quot ; . free breakfast ( three newspaper ) , light dinner dessert offer every day lounge save significant $ $ $ overprice Envy restaurant ground floor hotel . our room ( 1222 ) overlook Wynn golf course Monorail distant view strip hotel . nice view western exposure keep room hot afternoon sun setting - usually keep blind close tight Noon sunset . could not get A / c room go 72 degree . hear noise Monorail . concierge staff try helpful clueless status various show town . every room free wire internet access . hotel state local phone call dollar piece , free upon checkout . seven night stay book & quot ; stay Breakfast & quot ; package . room $ 159.00 night include full breakfast two Envy restaurant ( two coupon good $ 17.50 piece , include tip ) . first three morning nice buffet breakfast - important allow eat fairly quickly walk Convention Center . buffet close last four day . extreme slowness wait staff unable eat breakfast envy four day . checkout , front desk manager credit we one night stay ( $ 159.00 plus room taxis ) make slow wait staff . we definitely stay provide get reasonable room rate access & quot ; Club Lounge & quot ; .Make sure check & quot ; Specials & amp ; Packages & quot ; section Renaissance web site . & quot ; Savvy traveler & quot ; package good rate currently available , $ 109.00 night two night , $ 100 coupon good next stay Marriott property . 
 Jun 25 2006 	 Excellent excellent ! 	 first stop wife two week vacation . pull car curb check wait staff truly sensitive helpful need . two mountain bike roof parking attendent say would park special area night . the girl sign - in delightful charming . aware first time stay eloquently describe facility . fellow take we room , Francisco , courteous well friendly describe aspect room upon deliver baggage . have great view room 12th floor & quot ; Needle , & quot ; downtown part Strip . the bed comfortable wife mention special sheet . bathroom glass enclose shower separate bath everything new modern . the in - room coffee maker starbuck coffee insert . come stay Holiday Inn express definite difference generic coffee insert . one cup room , call room service , within 5 minute girl stand door new cup . well , wife want go get free complimentary breakfast . breakfast good everything else hotel , make stop way back Las Vegas way home . oh , one good thing Renaissance casino . peaceful place one get away frantic pace Las Vegas scene . 
 Jun 20 2006 	 compare other great 	 anyone write bad review place obviously never hotel Vegas . actually get room match price pay ! everything Vegas cost , taxi 's outrageous , good meal hefty ... least Renaissance not adjust rate Vegas market ... room rate could easily 1.5 - 2x high . amazing since even hint crime , filth , shady business hotel . ( ' ve thing miss , see dirty sheet , adjust tip Vegas establishment ) monorail 3 min walk front door ( $ 5 one way trip ) . mean complete access bustle strip complete freedom leave be do ... still get go back nice place . I get insane rate popular discount website yet staff still gracious give we 9th floor room view onto strip check . find pool area relax conveniently near bar .... summary ... 's perfectly locate hotel , Vegas market , actually get good value hotel . People discredit hotel obviously travel much , especially Vegas area . 
 Jun 17 2006 	 pretty hotel snotty staff 	 beautiful propertiy , customer service seriously lack . Renaissance cold , somewhat indifferent , definitely & quot ; snotty & quot ; staff -- unusual Las Vegas , friendliness hallmark property . I appreciate quiet , refined , non - casino atmosphere , price friendliness lack service . one restaurant property -- limit hour , yet -- food option 10 pm room service . might work Kansas City , not work Vegas . however , snotty staff real downer . will not stay Renaissance . 
 Jun 16 2006 	 great business vacation 	 attend conference hotel May 24th-26th . husband come stay extra day vacation . hotel great conference right next door convention center . beautiful hotel service excellent ! Loved Lather bath amenity although not replace every day . actually receive 1 new bar soap 5 day stay . pool area pretty , , small . shady area water cold hot tub bit dirty . one restaurant prefer eat elsewhere would take monorail close . would not suggest hotel vacation far Vegas attraction . would take monorail cab get anywhere . monorail cheap - spend $ 100 monorail fare course 5 day - that s discount 3 day pass ! ! get back hotel late evening nothing nearby go snack . overall , hotel nice would stay business purpose . plan Vegas vacation , hotel would not well bet . 
 Jun 7 2006 	 get lucky Vegas ! 	 pour numerous review several travel website , select Renaissance first trip Vegas . get lucky ! loved hotel , staff , location . nice clean accomodation . enjoy excellent breakfast on - site restaurant , Envy . staff friendly helpful . pool area small cozy clean . easy access Monorail . would definitely stay . two thumb ! 
 Jun 6 2006 	 good spot Vegas 	 hotel far exceed expectation . non - gaming not navigate around smoky loud casino . everything brand new . staff welcome attentive every need . the room spacious amenity ( lather room spa amenity ) outrageous ! gym well usual hotel gym really go way make comfortable.4 star ! 
 Jun 4 2006 	 good Off - The - Strip Hotel 	 stay Renaissance Memorial Day weekend must say pleasantly surprised . arrive early request early check - in prior arrive ( 8 am ) , accomodate . room modern clean ( typical Renaissance room ) bed comfortable . close convention center monorail , pretty far removed center Strip , either 1 ) car 2 ) walker 3 ) buy pass we monorail system . be look & quot ; Vegas Feel & quot ; place not ! however , husband Vegas numerous time nice stay away loud , crowded , smokey Strip . thing not like hotel . first , wall thin door slam loudly ! luckily , read tripadvisor bring earplug - which make huge difference . second , pool extremely small not much sun . third , be small hotel , not bar / grill place get breakfast lunch .... steak restaurant ( Envy ) , room service small starbuck - like bar fruit package sandwich overprice . but overall , would stay recommend someone not mind stay away Vegas action ! 
 Jun 2 2006 	 exceed expactation 	 nice new property . meet 4 star rating . new property , maintenance issue . nice bath separate shower stall . plenty soft white spotless clean towel . heavenly bed … crisp , clean white linen … plenty soft pillow . short walk ( 1 min max leisurely place ) LV monorail station quick convenient access strip . small pool , limit dining option . 
 May 31 2006 	 Secret Shuttle 	 wonderful hotel fantastic service . yes , strip ( face Wynn golf course ) , convenient . Wynn shuttle pick across street hotel take Wynn casino . mean monorail service ' link ' hotel monorail system . hotel newly remodel , flat screen tv . free parking garage right next hotel . highly recommend alternative high rate poor service strip -- walk large casino get check - in desk . 
 may 18 2006 	 good Stay 	 friend stay Renaissance LV May 7 - May 11 . room take advantage & quot ; Escape Way & quot ; package see Marriott web site . basically , get room $ 149 / night , stay three night , one night credit check . friend stay Renaissance April 2005 impressed . however , recent stay change opinion property . when check , meet Margie . friend platinum Marriott Rewards member year , stay last year , receive complimentary entrance 15th floor lounge due platinum status . check , ask Margie possibility get access lounge due past status . margie extremely rude telling , , could get access due capacity hotel . would OK 'd nice , rude demeanor certainly unnecessary . we get room 9th floor . friend go check room , find room already occupy . room OK . return front desk quickly resolve issue , nevertheless , critical error part hotel , friend , occupant room originally give . the room amenitie nice , must say , clean staff friendly . 's refrigerator room two bottled water upon check . Monday morning , ask clean staff member additional water , give four . 's type customer service ' m accustomed stay Marriott property . the breakfast & quot ; buffet & quot ; consist egg make - to - order four - to - five hot item . cereal fruit also include . however , $ 16.95 , breakfast extremely overpriced . favor : take monorail one stop LV Hiton go coffee shop . when check , receive invoice properly credit night stay per & quot ; Escape Way & quot ; package agreement . wait printer problem resolve , finally get copy invoice night credit . however , upon check AmEx today , bill total amount without & quot ; Escape Way & quot ; credit . ' m go process getting rectify . I ' ve always enjoy Marriott property , Marriott Rewards member , go way try stay Marriotts whenever possible . however , will stay Renaissance . 
