Great 	 hotel location great . stay many hotel City must say one one good . location great even middle Time Square normally like view awesome . restaurant bar 8th floor convenient we eat relax enjoy light . room good size , clean comfortable . would definitely stay ! 
 beautiful 	 good hotel ' ve stay . astonishing view , magnificent decor ... truly amazing ! 
 wonderful hotel wondeful location 	 stay husband two teenage child hotel two night . room clean , service excellent , location could well . really enjoy heart Time Square . 
 Feb 3 2009 	 Great Hotel 	 great hotel location fantastic . the staff hotel friendly . 's choice restaurant hotel . revolve restauraunt top floor expensive , view amazing evening time . overall , would say good hotel ever stay . definitely stay would highly recommend . 
 Jan 30 2009 	 Fantastic Location 	 really enjoy stay hotel . family , two young child , love hotel . elevator great , handle mass people well ( weekend x - mas , crowded ) . check - in efficient . room ready early ( luggage storage option not ) . ' really improve location want stay near Times Square . literally right Times Square . room clean spacious . great view times square . bathroom nice clean . pay convenience nice room / location . something say walk hotel middle Times Square , avoid taxi ' drive everything within block . overall great experience hotel . 
 Jan 26 2009 	 new NYC favorite hotel 	 travel NYC quite often stay quite hotel ... Marriott Marquis favorite ... locate right Times Square , central NYC nightlife . make point see Broadway show whenever stay NYC hotel could not convenient . lobby 8th floor - away busy - ness Times Square . room spacious clean , hotel well keep good concierge floor ... great place wind business meeting breakfast well ! Broadway theatre within walking distance ' ve never bad meal wonderful 8th street restaurant ... waitstaff use diner must watch time order catch show . new NYC & quot ; home away home ! & quot ; . 
 Jan 23 2009 	 Christmas Lights New York 	 visit first New York . wife see sight Christmas light . arrive early , 9:30 , pleasantly surprised room ready . room good size nicely decorate . room quiet bed comfortable . good feature Marquis location . right middle action . easy walk Rockerfeller Center , Radio City Music Hall , Carnegie Hall , Museum Modern Art , theater . check , put bag storage sight see catch late flight . time go , bellboy quickly retrieve bag get us cab airport . in review see complaint wait time elevator . think elevator system excellent . press button floor control assign elevator . first 3 day stay elevator almost immediately . last day Saturday hotel seem busy . could wait 2 - 3 minute elevator . complaint billing . book room September charge go credit card immediately . charge $ 70 cost stay . seem bad enough charge room advance without add charge . the Marquis expensive great place stay Broadway . 
 Jan 21 2009 	 fantastic stay well organized hotel 	 however already time ago ( april / may 2008 ) , still truly good memory mega - sized hotel right heart broadway/46th . day arrival weather condition poor therefore opt choice room rather low level ( 12th floor , face TSQ , surpise ) instead 40th overlook river . couldnot choose well wonderful sight ( day en nighttime obviously ) . experience helpful staff , friendly assistance time recommend efficient hotel anybody visit big apple although clean expectation ( hair piece tear paper ) . absolute must- understatement - & quot ; ' the View & quot ; rotate restaurant almost top floor absolutely spectacular view , swift friendly service buffet ( lovely , wide range absolutely top quality way ! ! ! ! ! ! ) , make we come back 2 time ! overwhelmed sure impressed will not stop visit brilliant , vibrating , surprising city never sleep ..... must say part Manhattan feel lot safe many time instead various dutch city i.e . Amsterdam , Rotterdam , Utrecht . need say ? go go , go ! ! ! fun time life ! ! ! ! ! 
 Jan 11 2009 	 Marriott Marquis could use well security . 	 stay last night see Billy Elliott . large , clean room 2 double bed 32d floor . pricey choose pay proximity theatre . one major problem . show , plan order room service dessert decide go Juniors cheesecake . almost midnight . leave room around 11:45 pm , garishly dress young woman stand door room away room , talk cell phone . leave , knock door get answer , make agitated continued speak phone . walk past , companion look back . apparent escort scream slew profanity towards we . later decide call hotel manager ; concerned personal security compromise . companion call front desk return . manager available talk . note lack security , inappropriateness hotel allow obvious prostitute knock door hotel . operator apologize call manager promise follow matter . nobody ever contact we . prudish could care less someone hire hooker room long handle discreetly . however , appropriate hotel Marriott Marquis , allow potentially dangerous interaction respond concern . thank . 
 Jan 8 2009 	 Bed Bugs ! 	 stay hotel unfortunately ruin bed bug infestation room ! soon leave hotel bite cease . pity hotel alot go . lifts FANTASTIC issue . reception staff courteous polite . gym good hotel gym ever view Times Square . bed comfortable . room HUGE . bed bug spoil stay . definitely return . pity . 
 Jan 6 2009 	 Perfect Location ! 	 hotel fantastic . little concerned review booking , consider use large amount point stay New Year 's . arrive Tues . Dec. 30 , wonderful quick check , upgrade room overlook Times Square request upon book . disappointed . yes , hotel quite large , lift system could intimidate , actually easy . likely busy time New Year 's trouble whatsoever wait elevator . even ball drop take 15 - 20 min . get back room . hotel good location . within walking distance everything , walk , walk , walk see . would recommend take kid New York City trip , , would find plenty near hotel . giant Toysrus across street alone would provide hour entertainment giant ferris wheel walk barbie house . Rockefeller center minute even brave Subway way easier ever anticipate . overall location could beat , service excellent . compe free breakfast hotel restaurant every morning ( $ 70 every day ) staff beyond helpful direction , mapping every detail we get point b , make reservation whatever request . hotel clean , housekeep great adhere schedule day . great exhausting time try see . thank goodness home base Times Square . oh good part directly across ABC studio tape Good Morning America , get walk across street see TV . funny . enjoy ! 
 Jan 5 2009 	 great hotel heart ! 	 stay Marriott Jan 2 - 3 , 2009 . perfect hotel we . first visit New York , want stay central near everything . hotel perfect we . arrive , upgrade we Times Square view extra charge ! fabulous . king size bed comfortable . 27th floor . wish husband happy birthday check since mention comment book . nice touch . also purchase $ 40 birthday surprise . add picture include . love elevator absolutely wait problem . staff courteous helpful find way around New York . subway entrance close convenient . shop Broadway theatre right outside door . view lounge perfect people watch Times Square keep warm . everything we look newly remodel . close curtain , problem light Times Square . could not hear noise unless vehicle siren go near hotel . stay visit New York ! easy get cab leave . 
 Jan 2 2009 	 Big Apple Letdown 	 platinum Marriott card holder expect hotel service great . not . sized make feel like Las Vegas ( good part ) , lift system mean long wait often full arrive . corridor dirty bag rubbish laundry leave 5 hour day . pay $ 500 + night , view poor room window small , bathroom poor condition . staff excellent thankfully overall someone would stay . not stay many hotel fine , seasoned travel find place nothing less annoying disappointing . 
 Dec 29 2008 	 great location 's ... 	 other note , hotel center center New York City . located 7th Avenue 45th street , can not get much convenient Times Square . however , MAJOR drawback hotel elevator system . grant , 1,892 room hotel encompass entire city block , move people around hotel challenge , sure . wife routinely wait 10 + minute elevator peak time , close amount time time . guest enter destination floor keypad , whose computer system direct guest particular elevator . theory , suppose use consolidate trip , therefore expedite travel , experience not seem work effectively . base extreme challenge easily get room system , couple fact street level 8 floor check - in / restaurant / shop level , wife find another Marriott property city stay next time visit . even 1st rate location enough overcome poor internal transit system , opinion . 
 Dec 24 2008 	 Brilliant ! ! ! 	 love everything hotel . fantastic location right heart Times Square . room spacious luxurious plasma HD tv , I - pod speaker , unbelievable view Manhattan , huge bed etc . would go back flash . even lift wicked revolving restaurant top worth expense . very impressed back next time ! ! 
 Dec 21 2008 	 location - great . staff attitude - disappointing . 	 stay 4 night Marriott Marquis Times Square 4 night Dec 08 day away grilfriend 's birthday . hotel ideally locate right heart times square - really feel like centre earth stay . especially good we stay NYC day great deal time find bearing . much see NYC really good heart it . the hotel impressive , typically giant US hotel . however , staff impersonal several occasion disappoint we . reception could quite blunt busy something approach . problem check whereby actually check we room already people 's bag room ! go straight back downstairs lady correct checkin put we another room , although view back hotel look onto times square previous one . pointed lady see previous room would like see could find we one similar view , . however , next day find new room leak bathroom ceiling cause torrential rain . ask maintenance come take look leave sort headed afternoon . ask update reception whether would need move room . upon return ask guy reception outcome quite abruptly respond ' ID please ' look room detail . without conversation explanation simply start tap away screen hand we new entry card new room - explanation apology offer , seemingly unaware would represent inconvenience we . say practically nothing throughout exchange make point ask ' so will need change room ? ' , take opportunity apologise simply say yes . say , ' so will need move stuff ? ' point realise not happy offer send assistance . tell bother walk off . overall would say location excellent room generally pretty nice , gather good size NYC . reason , would probably recommend Marriott Marquis . however , experience staff meet expectation give price staying , go extra mile problem . 
 Dec 11 2008 	 pick - up discard room service cart trash 	 stay Marriott number time first time dissatisfied . first concern : food service cart leave hallway 24 hrs , broken glass hallway , trash thru - out hotel . amount money spend room would expect nothing good . must say young woman help hail cab load luggage exceptional . look hotel upon next visit .. 
 Dec 8 2008 	 Great Place 	 stay hotel one night summer 2008 say interesting . busy place ! ! ! arrive car . need go around 1 block get main Lobby . moment arrive take care well hotel 's staff . tipping must go crazy . everyone nice we extremely helpful . awesome - american breakfast . 
 Dec 7 2008 	 expect 	 view GREAT ! room lack .... one tile tile bathroom shower broken room look old . expect $ 600 night , guess pay location view ! 
 Dec 7 2008 	 Center 	 Marriott Marquis attraction within middle Times Square Manhattan . first visit hotel , quite overwhelming almost 2000 room elevator enter choose floor . amount meeting space Marquis absolutely huge , consider 's Manhattan . 's ALWAYS something go : morning , daytime , evening . ' ve stay lot hotel past , lobby 8th floor small hassle , since elevator take forever arrive lobby , escalator even long . staff friendly , employee everywhere willing help . my friend visit NYC frequently love try new hotel area , different scale . big box hotel , quite satisfied rate pay , service receive , location center . next time stay Times Square , will make Broadway show ! would definitely stay ... try Japanese sushi bar lobby floor ! 
 Dec 2 2008 	 Overcharging - Billing Hassles 	 guest private event Thanksgiving week , banquet team incorrectly charge credit card $ 400 another table 's wine . although assured charge would correct would not appear credit card , indeed charge . spend past two week lose quagmire service center , account in - house event department - avail . still stick false $ 400 charge credit card . one accept accountability mistake , one seem authority correct error . meanwhile , Marriott lining pocket difference . if billing SNAFU , would expensive overall pleasant experience . mistake , inability correct , labrynth automate phone conversation ( & quot ; Press 1 connect ... & quot ; ) well - mean ill - equip off - site service center simply unacceptable . 
 Nov 30 2008 	 overly price Bar Unfriendly Rushed Service 	 writing review base experience Broadway Lounge hotel lobby : sit nice table overlook Times Square . want order coffee ( want go Martini early one ) something quick eat . ambiance hotel lobby bar nice , clean , airy impress nice everything look ... 's good thing place have . after wait 15 minute see one waiter run back forth place , think order bar . start walk way , rush , unfriendly sweaty waiter take order leave . order cafe latte order chicken quesadilla . about 10 minute later , get latte 5 minute later quesadilla . say , food pretty good well latte . mind whole time sit coffee empty water glass , one come check we . meanwhile , see server stand bar area chat away even one manager walk around restaurant really anything ... hum ... sudden crazy man see early street singing , find way bar piano , play rather badly . another one unfriendly server talk patron ask come yelled 2 table away : & quot ; send server ! & quot ; tell come explain . leave . minute later , security person remove man piano escort . friend actually run bathroom ( piano fiasco ) talk scream profanity . we leave bar rather disappointed personnel rush , unfriendly , follow customer need & quot ; not care & quot ; attitude . receive well service low class place pay $ 30 2 coffee quesadilla , expect receive service someone care . 
 Nov 28 2008 	 Best Customer Service ! ! 	 stay 3rd 4th time amazing ! love hotel ! ! ! travel night arrive city 8:30am . want check bag bellman know would check several hour later . man front desk let we check 9 am ! ! ! ! could not believe . nice incredibly appreciate since exhausted . love hotel recommend everyone ! 
 Nov 26 2008 	 Sweet Hotel 	 employee Marroitt Hotels UK recieve employment discount , none less overall experiance @ Marquis fantastic . we room 37th floor ( room 3721 iirc ) one good view time square ! ! book hotel read mixed review ( majority tell stay ) however take gamble awesome time thoroughly recommend it . you check 4 pm day . stay 23rd 25th Nov 2008 ( 3 22yr old friend one room 2 double / queen bed ) . q check - in take moment clear check hassle tell fantastic view ( lying ) , leave bag conciege ( however spell ) go time square hour . after arrive back around 5/6ish collect key ( problem qe ) go straight room bag buy room within 20 minute . clean , comfortable , nice decor , excellant view , hassle free ( qe lift etc ) . spacious room , 42 & quot ; plasma , ipod player / alarm clock , ensuite , wardrobe , safe , hairdryer bog pleasent . this hotel busy espeically floor 8 check situate qe lift round floor take long time ( take escalator get lift another floor want ) .The cost eat drink hotel expensive personally think normal person pay excess $ 500 night ludacris pay location fact ! ! eat last night week break ' view RESTAURANT / BAR ' revolve bar @ top hotel . view stunning price reflect bottle corona extra $ 9 ( ) also buffet night bar area $ 30 poor / basic e.g salad . pay view . I could talk age hotel will not . overall good experaince suggest high floor bit noise low view worth . 
 Nov 26 2008 	 Great New York Location 	 hotel , , excellent ! right Time Square center Broadway action . really not anything major planned weekend , nice close not far look . incredible busy hotel lobby , not wait long check elevator . close Thanksgiving worried crowd , not bad . room 43rd floor view amazing , especially night . room nice size , especially NYC , warm cozy freezing evening look watch city . would definitely stay visit city ! 
 Nov 25 2008 	 Big Disappointment - will never stay Marriott ! 	 fiancee stay fun getaway disappoint mistake make staff check - in , condition room , customer service general nearly ruin weekend . schedule 1pm check - in , arrive 1:30 find room would ready 4 - regular check - in time ! settle bill , leave bag return 4:45 suppose able & quot ; simply & quot ; pick key - find room still ready . Stephanie , desk , switch room another , fail mention two double bed ( later refer queen - sized staff , Queen home much small ) , King originally reserve - would find wait 45 additional minute get room ! take 20 minute get onto elevator alone , get housekeep cart block entrance . houskeeper tell we would least another 15 - 20 minute , call desk ask could give we room 's ready ? speak Ralph , say would call housekeeper find problem . honestly , blame ? desk know room ready guest ! get another room would take long , accord Ralph , wait hall , realize point would cancel dinner reservation go straight 8pm show . get room , be realize King bed . another futile call desk nothing else available - hotel overbooke , actually . compensate , good could offer free breakfast ( not want , special place already pick ) , call concierge make new ( show ) dinner reservation . concierge , Zoe , call shortly thereafter help make new reservation , ( could not get place 10 ) say would check new restaurant call back . wait room 1/2 hour never recieve call . get enjoy view point , complete dirty butt print center window ! ! ! ! downstairs , get ready never get call back , go concierge desk find Zoe break . thankfully , Alejandra able quickly set we new reservation . show , Chez Josephine 's , recommend hotel , mediocre french food good . risotto cruncy , hangar steak 3 slice meat ... get well food diner South Jersey - much less $ 150 / couple ( be 1 drink , bottle , way ! ) back hotel finally able get 2 free drink rotate bar top floor trouble . later , room thin wall allow we enjoy couple next door argue 3 5 . also , almost zero water pressure shower toilet eat spit back toiletpaper , rather flush , 's good thing use Marriott Rewards point ( plus pay $ 200 ) , will never stay another Marriott . last time always issue kind , ' m tired take chance . my advice : stay W want heart city , go Rivington downtown price absolutely exquisite room . 
 Nov 14 2008 	 thoroughly enjoyable 	 return week wonderful stay NYC Marriott Marquis . receive reasonable ( NYC ) rate hotel website . upon check , mention celebrate daughter 's 21st birthday . assign room fantastic view Duffy Square . entire hotel appear recently renovate . hotel staff provide excellent , friendly service . new elevator system work like charm . never wait second designate elevator . all , hotel contribute magical visit NYC daughter always remember . 
 Nov 13 2008 	 Super expensive good quality service 	 attend conference Marriott Marquis decide stay sake convenience . conference get rate usd 439 4 night usd 479 5th night . extremely expensive , understandable due location : right Times Square . the room clean comfortable ; even side view Times Square . conference facility lunch provide excellent . I definitely recommend hotel want middle . 
 Nov 7 2008 	 distinctly average good location 	 return spend 5 night Marriott Marquis . good thing hotel location Time Square , good central location get around sight . location alone warrant $ 550 - $ 650 night . problem hotel vary , namely size hotel cause problem long wait lift . & quot ; View & quot ; restaurant Bar top hotel seem draw coach load people lift especially evening , get like rugby scrum take 10 minute get room ground floor . concierge desk seem personal challenge get rid customer quickly possible , personal touch . room good size , particularly New York , Mini Bar glass use 1st night room never replace 4 day stay . eat & quot ; View & quot ; restaurant 1st evening stay , great view food ordinary overprice . recommendation would not bother get decent food 1/2 price ! summary Marriott reward gold holder stay lot Marriott Hotels around America Europe worst one . stay somewhere else save money process . 
 Nov 4 2008 	 Great Location 	 hotel right middle Times Square right middle action . hotel MASSIVE overwhelming , staff friendly helpful . elevator system functional . room nice . expensive , New York middle everything ! 
 Nov 2 2008 	 wonderful hotel heart New York 	 Marriott Marquis locate heart Times Square high end Marriott 's chain accommodation appointment . easily reach subway taxi , enter breezeway beneath hotel . elevator lead 8th floor main lobby locate ( convention room fill low floor ) . elevator access type destination master pad , direct elevator program take floor . efficient , confuse everyone look button push . the staff check - in quick efficient , although room available 3 pm ( people linger noon leave ) . room , 14th floor , corner room huge comfortable bed , large sit area , large bathroom . not many window might expect , lot wind noise . room ' fridge , small mini - bar , flat - screen cable tv , in - room coffee . wire internet access key computer , two machine room , can not ' swap connection . tub - shower great , good hot water pressure . there many good restaurant within easy walk distance , convenience package store drink snack . & quot ; Restaurant Row & quot ; good destination wide variety dine reasonable price , easy two - block walk hotel . many Broadway show similarly within block two , tkts half - price office across street center Times Square . at checkout , allow half hour bag transfer breezeway order cap . take bag lobby , assume linger appearing pick downstair . this high - end property ideally locate appoint . staff great job move large flow people hotel , eager help . recommend ! 
 Oct 29 2008 	 Nice hotel busy location . 	 hotel nice middle Times Square . like room , double bed nice view . not like elevator much pay internet ! housekeeper always come early like 8am . choose hotel , would not stay . be always busy lobby locate 8th floor . 
 Oct 26 2008 	 one bad ' ve stay 	 Marriott Marquis one bad hotel ' ve stay justify price ! room bathroom small old . shower work - water come bath tap shower head . fix 2 request . however change fact hot water stay . the sheet dirty - blood stain first night get ! ! towel also dirty - find hair bath towel ( way , mere size two handtowel ) .The light also extremely annoying - master light switch , night want go sleep - will manually switch every single light room . elevator hopeless - wait age time get lift . great location - however not stay want quiet peace . 
 Oct 22 2008 	 Loved hotel 	 love hotel . request king bed , check originally give room 2 double bed . soon ask king bed , immediately move room one . room excellent . location fantastic problem elevator . find efficient . never eat restaurant hotel , drink revolve one really enjoy experience . yes , be expensive , 's New York ! 
 Oct 22 2008 	 Fantastic - stay anywhere else NYC 	 take chance book Priceline . great decision . property Broadway 45 46 . mean right Times Square . large busy . however , hotel staff every corner direct go - help luggage etc . truly way hotel rarely anymore . 2 block subway not bad times Square station connect almost subway line . head Manhattan try Marriott . regular room rate around 400 - 500 Priceline room third price . 
 Oct 21 2008 	 Location Location Location 	 hotel not near Times Square , Times Square . other review , hotel massive extremely busy , like NYC ! corner King 39th floor . room , fitness center , overall lobby atrium appearance excellent . check check quick efficient . despite size activity , room relax quiet . access everything location . theater , tour , food , public transportation . thoroughly enjoy stay . total contradiction . stay free cash hard earn Marriott Reward Points . Marquis point total less marriott 's area make sense . would spend $ 400- $ 500 night money stay ? answer . less expensive marriott well hotel 's would suffice well . impossible stay anywhere Manhattan convenient transportation , food , sort vibrant area activity . budget concern not fixate specific area manhattan , access everything fairly easily . also , will spend little time room anyway . 
 Oct 20 2008 	 first trip NYC - Marquis help make great ! 	 boyfriend return Marriott Marquis last night great stay ! purpose tirp New York attend Wine Spectator 's California Wine Experience event take place hotel - convenience sake - decide stay Marquis . glad ! check take little bit , request Times Square view bed available two double boyfriend want king . - opt king room available immediately overlook Broadway . room great ! last room end hall ( 3224 ) king bed little sit area sofa bed . roomy ! bath small little tough we get ready time . the room look like update somewhat recently - least furnishing , carpet bedding - tired area . large flat - panel TV never turn desk chair be little work well . think charge $ 17 / day internet - think bit excessive - 's opinion . the window small side , look directly Virgin store right 1 Times Square drop ball New Year 's Eve . needless say , happy room stay even front desk call say Times Square view become available . I suppose back bus bit say hotel huge ! something like 2000 room tell go elevator bank 15 elevator ! crazy ! never really wait long , couple occasion jammed elevator many people - ' m sure look like circus clown get VW time ... anyway , lobby 8th floor 's will find Starbucks , shopping restaurant bar . view bar top ( close ? ) hotel move .... ever slowly ... line probably 30 people wait seem big hit . nice drink not eat can not comment food . also another Starbuck 's first floor well . the first floor let us every direction , be nice not walk around entire block go in / out . everything anything think want see walking distance ( New York - bring comfortable walking shoe ! ! ! ! ! ! ) Lion King theatre across street , one Katie Holmes star . ton people hope Mr. Mrs. Cruise sighting - prepare large average crowd front theatre ! go Broadway door , maybe will get see Naked Cowboy ! hang ( ew ! ) always quite crowd around well . a quick tip .... purchase New York Pass hop on / hop CitySights open top bus tour - bit corny really nice . also Circle Line cruise Statue Liberty - cool . intend spending day go several sight , recommend buy pass . three - day pass get we several museum , bus ride , cruise Empire State building - include one price . handy . back hotel .... great job Wine Specator event - amazed quickly transform ballroom space . staff professional friendly not seem like & quot ; another event & quot ; - kudo everyone . some people mention busy hotel busy street hotel . um , TIMES SQUARE ! want peaceful , boutique - y stay .... go tribeca . want walk door thick thing .... Marquis great base camp ' m sure great New York experience ! happy Travels ! LisaMinneapolis 
 Oct 19 2008 	 want buzz NYC .... stay ! 	 ' ve ny many time nearly always stay somewhere different . favourite probably Waldorf Astoria go downhill Hilton take ( although understand 's way back ) . find Marquis first stay whilst base another hotel back day broadway lounge revolving bar . today 's static , still great view , will never understand introduce revolve restaurant top floor hotel can not actually see Times Square ! ' ve recommend hotel friend colleague decide give go time mixed feeling . 's great location really feel buzz NYC stay . room modern large another bonus town . come coffee maker ( also rare ) huge flat screen tv . good amenity two Starbucks hotel plus theatre ticket desk even 's theatre .... pretty much everything need shopping trip Big Apple . however , 's massive hotel lack character , elevator system design cope ( although people not like , think fine ) , except one concierge really helpful , staff not great . want personal touch stay somewhere else want bright light , big city , might work . 
 Oct 16 2008 	 Unsafe Hotel . recommend . 	 hotel excellent location , great view room , hotel area without stand overcrowe hotel , unpersonal unsafe : anybody use elevator ground floor rest floor . reception 8th floor , nobody check take elevator go teather inside bulding , restaurant high floor ... floor room .... really unsafe place . choose another hotel area 
 Oct 12 2008 	 sooo NYC ! ! 	 daughter stay Marriott Marquis 3 night base shopping trip . know previous trip location would good whole experience fact excellent . friendly staff , nice spacious room 2 double bed guarantee time booking . good facility withe hotel , include good gym ... much energy ... good luck ! easy access attraction , shop , ticket booth Broadway show subway . excellent round stay . would certainly use hotel again . only downside we want $ 30 per hour keep room pass midday think bit excessive . leave luggage friendly bell boy head final day holiday ... problem . 
 Oct 10 2008 	 Loved ! clean middle Times Square ! 	 love hotel . debate other area , mother keep tell stay right Times Square . glad ! 's large , easy get around . thing like elevator system . room super clean view great . little Mermaid right across street . Sushi bar hotel . 
 Oct 8 2008 	 Awesome Hotel 	 many trip New York City , always want stay property great location . travel Northeast decide spend one night NYC . reason ever book hotel conventionally price . I however get incredible rate Priceline lucky enough get hotel one night stay . I excite stay sometimes set expectation high get let . case ! check request view Times Square . ( ' m sure everyone ! ) front desk clerk say would pleasure tell would give view ball drop New Years Eve . kid ! magnificent view fairly low floor ( think low floor good ) . room modern extremely clean . everything hotel nice . obviously , perfect location explore Times Square . my complaint bar close early ! try get drink 12:30AM already give last call ! ! ! 
 Oct 7 2008 	 ` ` experience '' 	 alright , hotel good way , bad other . let start bad . hotel extremely large seem epicentre go Times Square . like middle thing , hotel fantastic , , crowd . near impossible get lift room street level hundred people try get times square show hotel . large hotel , suprise discover lack restauraunt . one marriott cafe close 8:30 ( HELPFUL , especially want much time NY possible ) extremely price show case restauraunt top hotel , revolve around useless circle could see NY , really could see nothing . food serve probably worth quarter price charge , extremely slow service , waiter give attitude blame another large group . needless say , Australian use leave tip good time , guy go well . & quot ; experience & quot ; leave small tip never go back . careful try pull trick put AUTOMATIC 18 % ! ! ! ! ! ! ! surcharge bill u 4 people . 5 , $ 500 bill trash eat go t0 590 . rediculous ! move . large hotel , service lack slightly , take long time get anything . put aside , top quality Marriott . room stay newly furnish , new tv fantastic view time square . say , LOCATION location baby ! ! ! ! hotel fantastc . right middle everything , walk door Times Square hit . great place . , wrap . busy hotel , expect Times Square , bad food typical marriott fashion , irreplacable location great room . definately experience never forget . 
 Oct 6 2008 	 beautiful time square hotel 	 hotel beautiful , staff knowledgeable helpful , room impeccable cleanliness comfort . everything NYC , everything come steep price tag , $ 7 bottle water , be vacation , centrally locate hotel well worth money . actually 4 star rate hotel instead 3.5 . kudo staff management point , organize , friendly . 
 Oct 4 2008 	 enjoy Marriott Marquis 	 recently stay Marriott Marquis 10 day Canada / New England Cruise . hotel great location walk distance Cental Park well . room comfortable . stay 32 floor nice view city part Times Square . service great . bed comfortable bathroom nice size . tv new great picture . would stay area . would say like stay Central Park area little well hustle bustle Times Square . 
 Oct 1 2008 	 blissful room service lack somewhat 	 stay 4 night . king room 22nd floor look right onto times square - great ! room huge , really comfy bed sheet , can not fault room . queue 10 min check 1 member staff duty ( midnight ) come check , leave bag room ( assure would bring leave luggge ) return 4 hour later , still room . credit , situation rectify immediately . 2 sour point anotherwise perfect stay . oh , $ 9 bottle stella hotel bar , barman even offer give $ 1 change $ 10 note - rather pricey standard .... get 4 5 , would go 4.5 5 give option . give price ( £ 250 per room per nignt ) , expect good , excuse . thoroughly recommend place , great location ! 
 Oct 1 2008 	 ok great - surprize 	 stay hotel two year ago great experience . , year check rate ( $ 500 / night ) thought – well , ' really expensive , ' worth it . I think hotel renovate old room . room stay two year ago everything new . room year old wear - off . linen one bed wear – hole sheet . really disappointed – $ 500 / night ' acceptable . the staff helpful apologize , offer free breakfast compensate inconvenience . suppose high - class hotel genuinely disappoint . the location hard beat though . 
 Sep 27 2008 	 ok great 	 ok . big nice room . clean everything need service good . however , place not charm . big busy hotel . location indeed close many thing want see , long day walk around city see sight would preferred quieter relax place stay . 
 Sep 24 2008 	 good hotel world ! ! 	 unbelievable stay , stay first part honeymoon amazing . without doubt 3 good day live . firstly location amazing , step Times Square hit . everything fairry close although area would need get taxi decide walk place especially great shop wife love ( wonder ! ! ) . service topnotch , always helpful respectful throughout stay meet need . the restaurant beautiful lot choice . ' m sure anyone would spoilt choice . visually hotel amazing , lift fast eye catch . Room beautifully decorate spacious . all can not knock hotel anything , amazing hotel amazing location 
 Sep 22 2008 	 huge 	 big , unpersonal charm 
 Sep 20 2008 	 great hotel 	 hi , get back UK 5 night MARRIOT MARQUIS , great hotel , check ( 5 min ) check ( 2 min ) great experience , give room overlook time square asking good could give price pay . room spacious clean , prompt service whenever rang reception ( dress gown , firm pillow etc ) , would go back instant . 
 Sep 18 2008 	 great first NYC experience 	 stay long weekend early April ' 08 . check fast stress - free ( line arrive move quickly ) staff welcome . room ready right away ( well official check time ) , clean spacious , little argue . 's several food option feel like staying point trip -- eat restaurant top floor ( decent expensive ) , well one restaurant low floor breakfast lounge drink ( , good revolving lounge fun , , like many place NYC , little pricey . ) location huge selling point place first - timer NYC like good place base ( Times Square obviously right outside door , able easily walk lot sight like Museum Modern Art -- keep mind healthy young adult child mileage may vary . ) get subway hotel also easy . thing can not really comment price room , since able stay mostly Marriott reward program point therefore get really good deal . , would book place confidence recommend other . 
 Sep 13 2008 	 unimpressed 	 looking relax , friendly , classy hotel , place stay . first , noisy area , construction everywhere noise around . secondly , pretty hotel . look like Kansas City , New York City . really class , basically & quot ; casino & quot ; carpet everywhere , large unmemorable room bad lighting really confuse elevator system jam bottom floor often . feel like really tacky Vegas casino tell truth . would stay unless absolutely . food incredibly expensive . plate nachos , two small coke ice tea pay fifty dollar room service . melt Velveeta cheese hardly worth price . dispute bill , lock we room without talk we first . funny thing company pay everything credit card issue nothing , lock we room anyway . employee basically disintereste servicing client , collect paycheck . , bad choice city stay . 
 Sep 7 2008 	 great Stay ! 	 return short trip New York City recently must say Marriot Marquis great choice trip . take 11 year old son , , enjoy trip even though near beach . room fabulous spacious clean . hotel picturesof room website true . view overlook Times Square scenic -- everything see many television image . find evey staff member come contact polite , service orient well helpful . problem enough hot water shower one day , many guest , surprised problem time . like center activity , walk venue , enjoy Broadway , great hotel . many guest never feel hotel size . could walk place want go take subway easily . taxi ride airport . hotel price expensive hotel consider similar great price point feel certainly get value dollar spend . would certainly stay Marquis future visit . 
