surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Aug 24 2007 	 Elegance location 	 stay Muse 4 night choose intrigue location , 1/2 block Times Square , locate 46th Street , one quieter street area . go 2 Broadway show stay , able walk meal locally ( db Bistro Moderne , Daniel Boulud 's lower price restaurant ) show conveniently . could hustle bustle Times Square slip around corner feel peaceful . thank read previous Trip Advisor comment , ask hotel high floor , & quot ; quiet & quot ; room , give beautifully renovate room Kimpton Hotel style panache . friendly helpful bellman , call we name throughout stay , say first ! say renovate two floor time , request refurbish room . although room large , ample 2 adult comfy king size bed , small , elegant bath . maid service superior , room perfectly clean serviced day . love small , boutique feel lobby fact small number room floor . when see huge hotel nearby almost pick , happy choice ! doormen helpful get we cab go next stay , one New York 's acclaim hotel , finish week . honestly say miss ambience Muse leave ! love Muse ! 
 Aug 20 2007 	 Nice Central Location 	 recently return 2 night stay Muse . first time stay hotel ( usually stay Omni Berkshire ) . hotel locate 46th St 6th & amp ; 7th avenue , close subway , Times Square Rockefeller Center ; enjoy location convenient many thing . however , proximity Times Square come street noise experience stay East side Omni . room 7th floor # 705 face 46th street lot people cackle / laugh late night ( 3 am ) . second night not bother acclimate able ignore it . check fast , friendly efficient . executive king room small room ' ve Omni price point , one person , problem complaint , observation . the bathroom adequate space well useful layout , toilet interfere closing door tub , problem hotel sometimes . one thing find odd room , really can not see window without stand chair . window set back 2 foot wide ledge 5 foot high , really can not see street unless drag chair stand ; really look upward . the room well maintain clean . furniture good condition . appear hotel may process redo room , furniture delivery truck deliver mattress item . each evening 5 - 6pm wine reception lobby . take advantage amenity , see set one night . believe also say complimentary coffe tea available 8 - 10am morning near restaurant . enjoy stay Muse consider future stay -- especially go theater , extremely convenient walk back afterward . 
 Aug 16 2007 	 Reception Staff Unprofessional - not worth money 	 arrive 3 staff member assist one guest . overheard discussion computer problem . standing desk almost 10 minute finally sit , literally front one not even get much glance way . husband well several wait guest , never even give courtesy acknowledgement . swelter hot day outside , clearly everyone arrive weary travel , least , take everyone 's last name recommend relax lounge could assist we . room small expect although spotlessly clean comfortable . bathroom great shower amenity advertise website . recommend ask room not face street , garbage truck begin arrive around 4 am 4th floor make impossible get back sleep . overall , feel hotel way overprice get , ' m sorry not book hotel normally stay at - the Marriott Marquis . 
 Aug 11 2007 	 Beautiful Hotel 	 beautiful hotel , balcony like deck , absolutely BEAUTIFUL . good location . pricey , worth want pamp . bed exceptional , bathroom / product spa quality . staff little tight . definately nice hotel stay NYC . stay least . 
 Jul 31 2007 	 great Stay Muse 	 back Muse 3 night stay . newly renovate room not problem ( rodent ) poster mention . not know room look , bust table , dark black furniture , chaise large plasma tv renovate room . find hotel front desk staff friendly professional duration stay . manager send complimentary cheese plate & amp ; bottled water first night note , fruit & amp ; water night . wine evening coffee / tea morning . never get early enough tea though . not problem bellman fact , flagged taxi last day stay . negative would elevator & amp ; hallway bit hot , 's . not use room service mini bar , never always super expensive matter hotel ( imo ) .I would definitely stay ! 
 Jul 30 2007 	 worth Money ! 	 first thing dog allow hotel would fine allow certain room . arrive room dog hair floor dog bark next room . complain 2 time staff keep tell would contact dog owner . dog continue bark night till owner return home . barking state 7 . offer different room . the room ok - horrible , great . location good theatre . restuarant next door ( District ) pricey worth .. plenty local restuarant pre - theatre price fix dinner alot well cheap . well hotel area price . 
 Jul 27 2007 	 Disappointment 	 Muse big disappointment . rodent ! mouse room first night ! ! ! since midnight , take sleep pill , huge exam next morning , choose make huge fuss simply move trash ( go plastic bag food inside ) hallway . get back hotel next evening tell front desk . barely apologetic , move different room , small , nonsmoke ( though originally book smoking room ) . discount , upgrade ! exhausted mood switch room put fight , resign post review . problems phone line block first room could receive incoming call . send engineer room , tell issue front desk . front desk call -- turn 'd phone line close whole time . no slipper provide -- call twice bring room . the exercise bike first room break monitor . first night , featherbe ton little feather poke ( worn ) sheet . bed second night well . service : aside problem list , service OK . doorman help flag taxi . one woman friendly rest staff seem aloof reluctant help . still shock poorly handle mouse situation . design : though room large NYC standard , hotel simply not worth . aesthetic also ok -- room dark furniture passable . midrange & quot ; boutique & quot ; hotel . nothing special term design . ' food : $ 30 roomservice american breakfast also underwhelme . though egg cook perfectly , potato terrible . room service menu overall limited choose order delivery local restaurant menupages.com instead . BETTER place stay similar price : recommend Hudson similar rate much uptown . though room tiny , clean , well design . ' ve stay several time never problem always enjoy stay . big room King size bed important , try Benjamin . expensive , everything Muse wish could ! 
 Jul 26 2007 	 great hotel experience 	 get back visit NYC . somewhat hesitant stay Muse read review . stay wonderful ! staff incredibly attentive , friendly , helpful . complimentary wine nice bonus . room clean newly remodel . plan stay Muse next trip ! 
 Jul 23 2007 	 Perfect place stay 	 Muse Hotel , New York . perfectly locate within 2 minute walk Times Square . staff extremely pleasant helpful . room large well furnish . partner particularly impressed L'Occitaine toileterie . would definately stay , next go New York . 
 Jul 20 2007 	 great room great price 	 Muse beautiful botique hotel heart Times Sqaure Theater district . surprise large room . many NYC hotel ' ve stay past , room size closet room move around . case Muse . room also nicely decorate many in - room ammenitie . would definitely recommend hotel ! 
 Jul 16 2007 	 Nice hotel great location 	 agree Xeena Vermont 's post many issue . pay $ 200.00 per night Priceline . stay NY Hilton Barclay Intercontinental past . Priceline . read review suggest Muse & quot ; threadbare & quot ; bad repair . experience good well major 4star hotel NY . , pay $ 400 per night , might dissapointe least not nickel dime much . coffee bathroom Muse free Barclay charge everything . people say front desk rude . ever nice we . welcome . place huge hold credit card though . wary . minibar ' spensive . overall , lovely place come home every day city . judge hotel purely amenity , noise level , price ... experience place feel . like favorite restaurant like atmosphere . muse perfect expensive great atmosphere 's really cozy comfortable . nice character . hope stay . 
 Jul 10 2007 	 bad Hotel Experience Life ! 	 Reservations6monthsinadvance , upon check - in tell hotel sell 1 smoking room 1 bed we . bring odor machine work stench . ater discover AC do not work . Manager move we another room ( seem give we last room entire hotel ) . furniture cram close door armoire / drawer could not open . manager 2 room available . move non - smoking room , check - in lie . send bottle wine . nice gesture , open , half bottle wine leave 5 - 6pm happy hour . next day , room never clean . response : really busy , hotel full . upon check - out , share experience hope apology . instead get complimentary 1 - night stay future visit . pay $ 350+/night treat horribly . imagine stay free . never stay hotel ! sell location , Comfort Inn across street , 129 w 46th St , half price look nice . 
 Jul 10 2007 	 Good Hotel discount rate 	 Booked Hotels.com $ 182 night plus taxis four night 7/5 - 7/8 , room # 707 , room one window look roof next door skyscraper block away . quiet ' hear guest , hear occasional car horn , big city . excellent central location , 1/2 block Times Square west 1 block Rockefeller Square East , access two Subway station . bed comfy , feather / down top , NY Times door every morning , bathrobe , lobby drink @ 5:00 pm , umbrella closet , welcome pack bathroom small book , Band - Aids , shampoo , shaver , lotion , aftershave , toothpaste , gum , q - tip , cotton ball , shampoo , conditioner . good size bathroom , bottom bathtub large chip texture floor dirt tinge . bath . shower head joint not tight mist water wrong direction ; ' want maintenance stuff put wash cloth vanity not get wet . toilet plug maintenance come within 10 minute plunger . all staff extremely friendly , greet genuinely seem willing respond request . concierge make reservation we Bond 45 , highly recommend chocolate mouse , get free champagne . I happy hotel stay $ 182 night price , have pay $ 350 - $ 500 rate would expect more . eat breakfast Europa Café end block everyday , excellent selection muffin , scone , yogurt , egg sandwich , pancake … … … … … .I problem street previous poster speak glad quieter side street . 
 Jul 6 2007 	 huge room Muse 	 really impress Muse Hotel , particularly enormous room big ' ve ever see price range NYC . staff Muse friendly , professional , helpful . also take great care little dog , often travel . downside hotel set gross block near tourist - pack Times Square . however , be also short walk Bloomingdale 's , Barney 's , Central Park , location 's perk well . 
 Jul 6 2007 	 Excellent 	 1st time stay hotel . hotel look great online ( like thing web ) . arrive good walk Penn Station , little nervous , tad sketchy look - expect rate $ 200 nyc.when walk small lobby , hip . every night 5 - 6pm wine reception . check quick efficient ! room ( # 706 ) great . tuck corner face street . room large ( especially NY ) bathroom great size . even though room face street , little noise hear . location hotel pretty decent . stay mostly west side walk FDR firework . when check ask regular rate would since get deal due holiday say rate would go $ 500 due renovation . the downside tv room , much tv watching be ny ? came get ready leave . I would highly recommend hotel . 
 Jul 3 2007 	 staff make difference .... 	 kid stay Muse June 29 3 night . small mix check - in , audrey good correct situation accommodate we . staff kind patient happy ! whole stay nothing less pleasurable Muse . without doubt , would stay . mention beds incredible sleep ! ! ! 
 Jun 23 2007 	 nice 	 nice hotel near Times Square . room nice . hotel , restaurant call District . eat quite expensive . free coffee restaurant lobby be long . bed extremely comfortable . staff helpful extremely professional . room face street sensitive noise , might good idea . room quite expensive get deal Priceline include airfare . will not disappoint stay . would definitely stay . 
 Jun 16 2007 	 great kimpton - beware concierge ! ! 	 usual great Kimpton bed ! nice hotel . - ask concierge info - racket IMO . ask small Italian Restaraunt . lady called said & quot ; muse , yes muse & quot ; - get send 300 seat joint , touristy . find excellent , small way italian joint 2 door . ask great deli . want send we stage deli ( tourist trap ) - real ( great ) NYC deli block away . ask , make sure say , touristy make sure get want . 
 Jun 11 2007 	 Great Location Terrible Service 	 husband stay Muse 6 night early May . positive side , hotel fantastic location . Times Square , Theatre District , Visitors Centre public transportation within easy walk distance . free drink afternoon great inclusive toiletry good quality ( unlike hotel ) .On negative side , have request non - smoking room get smoking room . smell strong , leave note clean ( money ) request room spray deodoriser however joy . incident become non - event though overflow toilet incident . first night , 20 hour flight Sydney , make visit toilet 3 am overflow . frantically call reception continue overflow without floor drain bathroom , look certain spill bedroom . janitor quick respond stop overflow however next action horrify . proceed use clean bathroom towel mop excess floor . soon run go grab clean towel . mop majority excess , leave room , never see . wait patiently member staff come disinfect bathroom however none arrive . eventually call reception request tell clean staff not arrive 8 am . not seem slight bit concerned raw sewerage spill floor , allegedly clean towel people dry use mop apparently need disinfectant . eventually bit complain man come room spay type cleaning fluid however guess use cloth ? guess - another clean towel ! say upset , horrified disgusted incident understatement . never receive apology inconvenience display un - hygenic practice . the complete apathy staff involve ( include Manager - on - Duty speak later day ) set tone remainder trip . reception staff incredibly rude lack sort professionalism . in summary , location great however service hygiene practice well par . 
 May 27 2007 	 good hotel ; detailed explanation pro con 	 girlfriend stay Muse May 22 - 26 executive King room , 11th floor . normally $ 500 / night room get good deal $ 269 / night ( hotwire ) .Pros:1 ) beat location . Times Square right around corner . close Central Park , 5th Ave , Broadway , Met , Museum Natural History , go . within walking distance Ground Zero / Financial District Battery Park , cab subway get fast.2 ) nice room . people complain room , can not say anything bad . grant be huge , 's New York personally not need big room . bed extremely comfortable pillow . bathroom nice . never see housekeeping room always well attend clean.3 ) helpful friendly staff . always welcome return long day . Doormen always offer flag we cab make driving arrangement we . ask restaurant suggestion provide we menus offer call ahead we . wine / beer reception nice touch although take advantage 2 4 night , briefly . cons:1 ) great location come fair amount noise , despite 11th floor . day long generally wipe end , make sleep easy even though could clearly make ground noise ( especially garbage truck ) . get stick low floor would imagine noise would irritating.2 ) apparent miscommunication front desk staff check . tell credit card number would hold incidental charge end stay . ACTUALLY put $ 150 charge per day incidental , reverse 72 hour stay . probably big deal people large credit limit ( guess might even know ) girlfriend , whose credit limit low nearly maxed arrive , create significant problem card start decline everywhere . huge deal , try emphasize person speak phone explain prior check in.3 ) Nickel Diming . $ 10.95 / day internet service yet every Kimpton hotel country offer service free . mini - bar use elaborate sensor system charge item 12 second move , thereby prevent even look fridge let alone use store thing . thing explain say & quot ; oh , 's New York & quot ; , leave bad taste same . all , great time city happy hotel . would stay , although would come credit card large limit know actually , would insist floor least high . 
 May 9 2007 	 good hotel great location 	 stay hotel three night May , find nice alternative chain hotel neighborhood . location excellent - step Times Square , far enough avoid much street noise . staff helpful friendly - call towel arrive five minute . afternoon wine soda reception lobby nice touch . room average ny - still small side , comfortable . bathroom small room price range . everything clean twice - daily housekeeping service nice . one minor complaint room service twice eight five , service early evening , odd schedule . the workout room small , new machine tv free headset . 
 may 7 2007 	 muse fine 	 New York tricky feel like spend $ 420 night ( upgrade executive king ) hotel room get something decent . get Muse . room good size , nothing special . bathtub need deep cleaning . think Kimpton hotel ' ve stay much nice . good location near Broadway & amp ; easy walk uptown downtown . 
 May 6 2007 	 great location 	 great location beside times square West 46th Street avoid madness want ! small sized lobby , room ready try check around 1 , store bag problem . lobby small maybe avoid check wine reception get crowd ! room clean good sized . book King Deluxe Room . though window small quite high room always dark . two window look onto brick wall probably add darkness . however , request quiet room little noise outside . the problem room tv unit do not point towards bed , want watch tv sit armchair ! Kimpton touch welcome pack give member ( bar choclate , bottle water toiletry bag ) . staff really friendly helpful . would stay . 
 Apr 23 2007 	 Wonderful Hotel 	 wife find Muse Travel Zoo email receive several month ago . able book three night , April 19 - 22 , $ 199.00 per night . head New York wife 's birthday email hotel ask take account . arrive , wish happy birthday put we junior suite 13th floor . see room , can not compare , room huge NY standard . desk , easy chair , king size bed , armoire , couch another chair . bathroom quite large everything good shape . probably need replace matress , still quite comfortable . the noise noticeable first night , next two . view speak , room meet need quite well . 's street Times Square , far enough hear noise . the free wine hour also nice touch . if get good rate , great hotel . josh 
 Apr 13 2007 	 pleasant comfortable stay 	 ' m glad stay Muse , pleasant , comfortable stay . staff welcome friendly . room decent sized , feel cramp . however , window somewhat high ( maybe eye level high ) , somehow make room feel less cozy ( perhaps like basement ) . bathroom huge immaculate brightly light . bed plush comfortable , appreciate lightweight comforter - heavy blanket weigh . also nice extra touch - free NYT door , cd player ( although radio not work could not get reception ) lemon soap ( not know brand name stay ) . one thing could do without free wine / beer hour . happen check go , little overwhelmed crowd lobby . perhaps 40 - 60 people , feel overcrowded . lobby big enough feel invite relax many people . adjust though , mood seem casual cheerful . 
 Apr 11 2007 	 Liked not love 	 great location , want mix Times Square ! ' ve stay Kimpton hotel ( even NYC ) nicer , seem less worn , staff helpful friendly . 
 Apr 9 2007 	 highly recommend ! 	 family choose stay Muse base feedback read TripAdvisor . love ! rent 3 room stayed Executive Suite extremely spacious NYC hotel room . location convenient , one busy street find quieter place stay ( 5th floor ) . service professional courteous . 's cheap place stay , find get lot money say Hudson even w.there bar hotel plenty place go nearby - hotel happy hour free beer / wine 5 - 6 pm everyday . 
 Apr 3 2007 	 Great Hotel - Great Location 	 great hotel location right Times Square , second trip New York absolute find . Reception Staff helpful doorman . free wine beer 5 - 6 night nice touch coffee go morning . room nice monster bed well appoint bathroom . ask reception book lunch / dinner Peter Lugars Brooklynn , stake good . also ' La Marias ' French restaraunt right next door , well worth visit . we would definately go back , although colder March Scotland 
 Mar 28 2007 	 extremely comfortable 	 location central , near Times Square . room large NYC standard , quiet . extremely clean . bed pillowtop andso comfortable . marble bathroom nice amenity kit , L'Occitane bath product , fun leopard robe . service stoodout , exceptional . husband needed & quot ; Home Depot & quot ; type suppliesfor office opening , helpful pointing right direction , let know crucial FED EX shipment arrive . staff friendly helpful . lobby swanky , complimentary wine & quot ; happy hour & quot ; evening . hotel highly recommend , stay . nothing negative stay . 
 Mar 28 2007 	 Great Boutique Hotel 	 stay Muse couple day head Egypt last month . usually stay Marquis New York anddecide try something different . glad ! get cityafter midnight take nightmarish ride Twilight Zone hotel . not arrive 2:00 a.m. ! nevertheless , concierge duty pleasant chap could not nicer stay 6th floor room high floor book . room nicely decorate , seem recently renovate . clean , bed comfortable , room quiet . huge deal . hate wall paper thin hotel . good water pressure , nice linen . eat great breakfast hotel . arrange & quot ; town car & quot ; service take we back airport time - much appreciate . great location - literally around corner Times Square . do not hesitate stay - 's great . next time would probably book hotel 's web site - would get well deal ! 
 Mar 19 2007 	 great Stay Muse 	 sister spend & quot ; girl 's weekend & quot ; Muse . plan trip March hope nice weather , surprised 5 inch snow day arrive . fortunately we , Muse close everything want visit : Theatre District , Rockefeller Center restaurant . arrive hotel early , able check right away . room 10th floor hear little street noise nothing guest . room average size , storage space ( drawer / closet ) adequate stay . bathroom large expect & quot ; welcome & quot ; goodie bag toothbrush , toothpaste sample size toiletry . as posting note , room Muse great view . city view important , would place . thoroughly enjoy stay look forward next visit . 
 Mar 17 2007 	 Muse need update 	 family stay Muse long weekend Washington Birthday weekend . ' ve stay Muse several time past 5 year . love location , 1/2 block Times Square . hotel show wear tear . Kimpton recently purchase hotel . sure plan renovating , renovation need . find wall paper peeling , mold grout bathroom , carpet get threadbear . next time travel NYC go try Comfort Inn directly across street cost 1/3 price Muse . yet try Comfort Inn , can not justify cost Muse condition . 
 Mar 16 2007 	 stay inspire 	 mom stay Muse last trip NYC . staff incredibly helpful friendly ; really go beyond call duty make trip memorable . location excellent , theatre ticket every night . room huge New York standard , bed comfortable turn every night . truly one good stay ' ve NYC , second stay Plaza . 
 Mar 2 2007 	 Muse inspire ! 	 recently spend two night Muse attend NY Comic Con . room lovely well - appoint bathroom . L'Occitaine amenitie delightful addition latter upgrade amenity bag contain toothpaste , hairgel , etc ( may gotten Kimpton in - Touch member ) . definitely one spacious room ' ve stay NY welcome respite long drive Boston ( night 1 ) even long day convention ( night 2 ) . District , restaurant hotel , delicious food service leave something desire , honest . individual server pleasant enough wait we , seat near kitchen privvy variety loud argument amongst staff member . additionally , apparently District not serve mixed drink spite fact hotel bar stone 's throw away * * restaurant food bar ! odd ... front desk staff concierge Barbara Stephen deserve additional kudo wonderfully personalize service attention detail . definitely stay Muse , would encourage anyone look little oasis calm class middle Times Square ! 
 Feb 21 2007 	 Best Location Great Rooms View 	 book Muse part weekend New York Costco package get two Nights Muse , two show ( Jersey Boys & amp ; Spamalot ) Dinner Sardi 's . look Muse site book two additional night prior package deal night . make sure get stay room four night . muse within walk distance Theaters Sardi 's . wife 's first trip New York , even though cold ( Feb.14 - 18th ) able see New York 's Tourist attraction , Time Square ( distance : 0.3mile estimated walk time : 6mins ) , NBC today Show Plaza Rockefeller Center ( distance : 0.3 mile estimated walk time : 7 min . ) , Grand Central Terminal ( distance : 0.6 mile estimated walk time : 13 min walking ) , Empire State Building ( distance : 0.8 mile estimated walk time : 17 min ) Macey 's Department Store ( distance : 0.7 mile estimated walk time : 13 min ) course go Empire State Building & amp ; Macy 's trip one block . would recommend stay Muse next trip New York . $ 25 cab ride LGA airport Distance : 7.3 mile estimated time : 16 min . JFK Distance : 16.6 mile estimated time : 20 min $ 45 flat rate , & amp ; EWR ( Newark Airportm N.J ) cab ride would cost approximately $ 53.36 . 15.93 mile . $ 15 surcharge trip New York Newark Airport . view , Broadway tall building around . not go ny look Window . 
 Feb 18 2007 	 small quaint Loved ! 	 mother stay Muse week , room small , expect New York , great place stay , service great , room service tasty . location surprising , know would good , WOW , close everything . pricey , earnt . really great time . favorite memory actually wheat base soap , pleased see hotel high quality soap good skin ! 
 Feb 17 2007 	 great location comfy room 	 spend 3 night Muse last week - feb 9 -12 . 2nd time ' ve stay th - hotel find safe choice new york . room comfy ( espescially bed ) - although large bathroom fine - nothing fancy clean large enough . thing like quiet hotel - NYC hard find - none room great view - ask one face side back hotel - quiet not really miss anything . room service good - quick tasty - another advantage stay boutique hotel . location fab concierge helpful - get we difficult get restaurant reservation Balthazar ( good french place - yummy ) . think will return - like know expect NYC one safe bet . 
 Feb 11 2007 	 enjoy Muse 	 second time past 4 year husband stay hotel although seem bit run time , still enjoy . location great , easy get taxi walk nearby site . staff friendly helpful room size fine . would recommend request high floor ensure quiet . 
 Feb 3 2007 	 beautiful hotel 	 gorgeous hotel great service . location could well . love stay MUSE . 
 Feb 1 2007 	 Great NYC hotel middle action ! 	 boyfriend stay Muse hotel recent weekend trip NYC . thoroughly enjoy stay cute little hotel ! staff friendly accommodate request question . when call housekeeping ask robe , immediately ( 5mins ) buy room . hotel block away Times Square , close 5th Ave , Rockefeller Plaza , Broadway , much . room small , expect hotel room NYC.We would definitely recommend hotel would stay again . pro : great staff , clean room , comfy bed & amp ; pillow , spacious bathroom , Location , Location , Location ! con : unfortunately , restaurant close renovation stay . 
 Jan 30 2007 	 Great Location Good Size Rooms 	 stay Comfort Inn Midtown couple time ( great value money ) , decide satisfy curiosity stay Muse directly opposite . obviously two hotel can not compare except superb location . pay $ 220 / night via Travelocity ( cheap could find - cheap Kimpton website ) stay Saturday Sunday night 20 - 22 January 2007.the lobby quite small staff expceptionally friendly helpful . despite arrive fairly early 24 hour flight Singapore , room available could check early . room size New York big . question . course still big place , town , room great size . inparticular bathroom large . room clean . carpet little tired looking , see much bad well hotel . decor tasteful . radio / cd stereo nice . tv remote bit cumbersome . work point directly Infa Red box . require little determination , master , ok.the L'Ocittane toiletry nice touch , not think try get extra bar soap housekeeping ! noise level ok give location . doorman work overtime whistle try hail taxi . bit irritate around 6 pm time slot , case doubtful sit hotel room heart New Yok City long time day . my peeve housekeeping . whilst try take nap afternoon overcome long flight , would repeatedly enter leave neighbouring room clean allow door constantly slam . effort prop door open close quielty make . 14 slam 20 minute lose patience ! , however , nice hotel already mention location mind blow . hotel perfect , come fairly close . 
 Jan 22 2007 	 Disappointed 	 book hotel husband stay couple year ago enjoy stay . disappoint , husband remark downhill go . bathroom grimy , sealant mouldy , grout miss tile floor etc . Decor bad i.e . peel wallpaper . heating / ac unit extreamly noisy . 14th floor noise street ( garbage truck etc ) awful . stay 5 night get good night sleep whole stay . would suggest stay request high floor . televison remote work properly despite speak reception never fix . the size room ok , big review rave . room justify price pay . this hotel need major renovation . perhaps unlucky room . the doorman excellent far helpful friendly staff - nothing much trouble . eat District Restaurant one evening excellent - excellent food service - could fault . barman small bar also good , friendly chatty . 
 Jan 20 2007 	 good hotel ever visit 	 trip NYC include stay Muse . love . pet peeve noise room , could not tell anyone else . not hear voice hall , people flush toilet , ice machine - nothing . pure silence . sleep like baby . convenience location great - right Times Square . staff could not nice . 's pet friendly , , lot dog ( big dog ! ) staying never hear single bark . complaint could not buy robe wear . suppose sale online animal print want tan one . toiletry really nice , btw , little extra not expect . be lucky enough get back NYC , be definitely go stay Muse . 
 Jan 9 2007 	 Location Location Location 	 take girlfirend New York surprise 40th birthday spend long time research hotel NYC want everything perfect . muse everything review say fully meet expectation . staff great , room excellent ( junior suite balcony 15th floor ) location perfect locate mere 100 yard Times Square . of special note Barbara Concierge make quite arrangement recommendation prior arrival bell boy arrange excellent car transfer airport P & amp ; L.Would stay ? absolutely ! 
 Jan 4 2007 	 perfect trip ... 	 say .... friendly , helpful , nicely decorate , spacious ... bed .... wow .... ' m british , hotel standard good UK , lovely , clean , friendly hotel . location PERFECT people like hustle bustle want & quot ; new york experience & quot ; . room clean daily , never hesitation , even tidy leave mess ! concierge staff amazingly helpful , little expectant tip , that s culture NYC / U.S . hotel . overall would recommend Muse , would stay , would love back NYC little long experience life . stay New Years eve celebration perfectly place , aware able come go please festivity - brave like rest ! love Muse non corporate quirkiness - want get away trup , Comfort Inn Marriot Hotels New York city something intimate special , look . 
 Jan 2 2007 	 Great Customer Service 	 like small boutique hotel , since member Kimpton , naturally look Kimpton hotel research hotel NYC . choose Muse Kimpton one week visit NYC .The good : - Great Customer ServiceStaff , front desk housekeep helpful friendly . always smile say hello walk . even remember greet we name time walk . - request high floor , away crowd . receive request room without problem . important us lot time , even request specific room , never get room request would give excuse hotel.- room bathroom pretty spacious NY standard . - bed comfortable . trouble sleep night , sleep night whole time there.- complimentary wine serve daily 5 - 6pm lobby . 's nice . take time relax catch . - Location location location . hotel 1/2 block away Times Square block 5th Avenue . be always something something eat . never grow bored go hungry . bad : - much love friendly housekeeping staff , disappointed cleanseness . mildew grow around tub . bath rope blonde hair ( be blonde ) make we think wash since last use . black stain white comforter . carpet dirty . white sock turn black walking around room . - lobby tiny , get really pack complimentary wine hour . be kind hard relaxed worry someone might trip you.- Check bill daily . room friend ' room charge movie not order three day row . finally ask block pay - preview channel . must note charge take without problem . overall , be nice hotel . likely stay . people make stay nice . work housekeeping though . 
 Dec 11 2006 	 Great Time Square Location 	 stay hotel first trip New York City & quot ; adult & quot ; . perfect spot want tourist . locate near Times Square , Central Park Broadway . room fairly large , modern comfortable price hotel fairly reasonable New York standard . staff pleasant allow we early check arrive exhausted red eye . I would definitely recommend hotel anyone look stay near Times Square . however would choose stay location . would likely opt hotel close Central Park . 
 Nov 13 2006 	 Loved Muse 	 stay Muse weekend November 11th . can not say enough nice thing hotel . moment pull car front hotel , time leave fantastic . the staff friendly . Husband 's 60th birthday . when find , receive champagne , fruit beautiful card . our room nice size balcony , 15th floor sip champagne admire city view . would highly recommend hotel . 
 Nov 8 2006 	 fine great ! 	 Muse , stay November 4 - 7 , 2006 . enjoy stay , would agree four star hotel . busy weekend due New York Marathon , use Priceline book room . since get good price , probably complain , pay rack rate would definitely disappoint . the location hotel great . quiet street , block Times Square close Rockefeller Center , 5th avenue shopping , etc . find easy catch subway nearby get cab front hotel . complimentary wine 5 pm 6 pm nice well . find beds comfortable bathroom nice size nice toiletry include . on hand , room bit worn . also , clean service good job , leave garbage trash can wipe sink . room hole sink apparently sprinkler miss . never see four - star hotel . finally , find staff ( exception doorman ) bite cold aloof , though put ask question . all , not really spend much time room anyhow . would stay Muse get good rate . would stay pay full price . 
 Nov 7 2006 	 bad hotel ever 	 bad hotel ever , especially Kimpton . day manager not friendly , quote Global Kimpton Member room rate , manager site try tell could not get quote . try say get deal Manhattan hotel . room dark dingy , ventilation room , turn air conditioner cool room , become like refridgerator ... could not control room temp loud fan , could not sleep 3 night . worth 599.00 night charge . would not even worth 100.00 night . would stay ever . 
 Nov 6 2006 	 Muse gem ! 	 family four , two adult two teenager , return week NYC , stay Muse Hotel . hotel perfect location , quiet street ( W 46th ) , minute 's walk , , heart Times Square . atmosphere area buzz friendly feel safe time , even late night . the hotel staff could not helpful look we well minute check . upgrade free charge executive double / double room see four we sharing . one concierge call Stephen particularly good give we great advice information . the bed feather topper make comfortable danger might stayed instead explore city resist . bathroom spacious L'Occitane toiletry huge fluffy robe . complimentary coffee lounge every morning complimentary wine reception lobby 5 - 6 evening . all really great experience look forward return Muse . 
 Nov 6 2006 	 immaculate ` ` hip '' good location ! 	 husband go NYC 4 5 time year stay 4 star hotel several year . lately , seem like get little worn try Muse first time read review Trip Advisor . FANTASTIC ! immaculately clean hotel room . really clean ! wonderful soap shampoo . good size bathroom , clean ! ! nice staff , helpful bellman , be even happy hour complimentary red white wine lobby every day 5 6 . ( nice touch . ) location terrific . go one block heart action . 2 shortcoming feel obligated point : 1 . consierge staff knowledgable . happen NYC marathon Sunday concerned get back airport Sunday morning . two different employee not know time race begin would affect traffic area . not think good . also , # 2 . hotel 46th street even bellman agree often hard flag cab location . cab come 46th stteet already rider cab . walk 5th Ave flag cab , think mention . spite 2 shortcoming , back . hotel $ 100 less night one stay , 's well location much much clean . ; back can not wait ! 
 Nov 4 2006 	 constant pierce whistle doorman 	 nice hotel , clearly try attract tourist . couple doormen & quot ; hail & quot ; cab , blow obnoxious whistle ' ve ever hear -- - make impossible sleep get work do . complain front desk , say sorry . nothing change . ask doorman , say good tip . stay plan hotel whole time , baby need get sleep , go elsewhere . 
