ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Aug 31 2007 	 lovely relax hotel 	 really nice traditional hotel , room lovely abergae size London , King Size bed clean bathroom . long get good rate excellent value money . location practically right across Great Portland St 5 - 10minute walk Euston . service good hotel clean , would recomeend anyone . overall fantastic definitely go back 
 Aug 29 2007 	 overprice value 	 stay Melia White House four night think presentation . positive somewhat conveniently locate , every cab driver know , close tube station , breakfast good . main negative expensive hotel , service good . staff nice completely unhelpful unintelligent . example , meet sister - in - law arrive hotel day expect meet get hotel . leave handwritten note we front desk , front desk fail give we message check . instead give we message hour check , explain could give we note early room number match note . I.e. , could figure leave note we give we check . thus , sit hotel lobby hour wait sister - in - law , know have late hotel front desk not give we message ask . 's one example complete unhelpfulness . addition , reserve king size bed instead get two twin bed push together . tell room actual king size bed , even though check early . , would say fact hotel convenient get reason worth stay . 
 Aug 29 2007 	 highly recommend right offer 	 simply say enjoy stay hotel . would recommend special occasion romantic weekend London . 
 Aug 22 2007 	 Excellent Hotel 	 stay Melia Whitehouse anniversary 19/20th August can not fault hotel , note book special occasion honestly say hotel make even well we , allow check early , upgrade superior room staff check staff clean staff courteous pleasant . facility location excellent , selection breakfast great , busy first day breakfast rather allow anyone wait redirect we Royal Lounge prevent queue . in can not wait return hope take Mum birthday later year . 
 Aug 19 2007 	 enjoy weekend Melia 	 check service great , efficient allow we check early standard 3 pm time . staff front desk friendly helpful . the location ideal access Regents Park visit London Zoo . come late concert , make mistake order couple drink without check price first - moral story check price first bar extortionate . bar staff also considerably surly staff front desk ... ! whole , good experience - would recommend hotel base location ( tube station minute 's walk away Regent 's Park around corner ) also comfort hospitality . 
 Aug 9 2007 	 Superb Hotel 	 hotel exceed expectation . accomodation excellent , comfortable bed every amenity could wish . cleanliness order room excellent . the staff courteous helpful .We take Royal Service book well worth extra cost . Royal Service lounge ideal place relax drink available day . evening canape alcoholic drink offer . breakfast wonderful , everything think , well present always replenish time . would strongly recommend hotel quality , price location . look Melia next time go London . 
 Jul 31 2007 	 Splendid ! ! 	 decide weekend break pamper work stress tension . decide choose hotel base good price value . book directly hotel 's website superior deluxe room £ 140 per room per nite include breakfastthe room marvelous ! huge bed - king bed stylish classy deco . comfortable . tv cabinet refrigrator mini bar , coffee & amp ; tea facility . large size marble bedroom . iron ironing board , safe box . internet access , coffee table 2 chair tea . beautiful bathroom decent size , bath great shower , tilesthe breakfast good breakfast ' ve ever see hotel Europe ! everyhte .... pancake waffle kind muffin , danish bread , cook order omellete full english breakfast kind sausage ! ! lobby stylish , marble posh decorationIt 4 stop tube victoria station stop warren street tube station via victoria line walk 10 min hotel . hotel opposite great portland street tube station perfectly honest , hotel much well quality Marriot Park Lane , London would definitely stay - room price , definitely good value ! hate classic deco prefer modern , simplistic deco - hotel 
 Jul 30 2007 	 nice catch 	 stay Melia White House 9 night July . request Queen bed , forget mention have late check - in . arrive , friendly receptionist ask want upgrade . decide , cost £ 25 per night , stay many night . think hope would agree upgrade , not room Queen bed leave we ! thing request , still could not fulfil . give receptionist disappointed glance agree take twin room first night , switch room queen bed next day . get key card , go find room . when arrive room , hear phone ringing inside . not open door quick enough answer , someone knock door . receptionist , appologize inconvenience , one receptionist check family two room , mark one room database . , would mess twice , get upgrade free . yey ! lot happy . room get huge bed , quite lot space nicely decorate . small cupboard mirror . bath room not huge , still good size . glass door bathtub , water floor shower . bit dark though , bad . one robe one pair slipper , not use problem there . the problem room air conditioning . either cold warm . leave 22 c , feel varied 17c 25c . want bit freeze 17c , warm air come vent almost ceiling level . mean room top half warm , bottom half cold ... happy that . our feeling staff mix . waiter cafe style restaurant friendly . receptionist , concierge bell hop sometimes bite cold service mind . maids forgot replace face cloth bathroom , happen mention Maid manager one day , make sure face cloth want . People stay hotel aware two thing : mini bar weight sensitive , report thing remove move bottle around . need pay £ 5 per night use mini bar ! also , 's construction site close , not look finish 2007 . be quite noisy ! hotel good , catch . 
 Jul 15 2007 	 wonderful hotel ! 	 love Melia White House ! stay 2 night recently , tell hotel surpass expectation every way . location excellent , across road tube station next Regent 's Park . room bathroom tastefully decorate , comfortable . breakfast superb . ice cake staff . without exception , staff extremely friendly helpful , unfortunately common London hotel . staff foreign - spanish , south african etc . could reason ? definitely stay . 
 Jul 15 2007 	 nice hotel get good rate . 	 small queue check arrive see quite quickly . remind receptionist email ahead ask king room interconnect twin room , teenage son daughter , hotel acknowledge produce email . check two king room next door . get room change even though point initially check . receptionist apologise say not king / twin interconnect room . ask email reply say request note mention possible . not know answer initial introduction hotel , say least , frustrating . room allocate floor long way apart different corridor , ideal seem option . the standard room small previously mention room smart , comfortable clean . bathroom also small bedroom bathroom provide everything one need small space . air conditioning efficient . could hear people talk room next not know loud whether wall thin . liked ' feel Spain ' throughout hotel find staff friendly . we breakfast mas card holder book room rate get two breakfast price one two staying room . breakfast £ 20 4 we ( 2x MaS card holder ) pay £ 40 course work £ 10 not bad . request advice food item one party serious allergy say could not sure thing query . not give we lot go allergy sufferer eat little . ( cafe nearby cheap breakfast ) . quality breakfast item good good choice . overall like hotel would stay get good rate . get good offer special promotion Sol Melia . MaS card holder get email special offer another good reason join online . 
 Jul 5 2007 	 Nice hotel 	 Excellent location next Regent 's Park . ( must see ) underground station next block . 2 day business business partner ; neither we experience problem note other . we nice , spacious ( Europe ) room . helpful staff . complaint expensive bar . 
 Jul 4 2007 	 okay nothing special 	 everything work vey well , staff friendly efficient , room clean ( small ) plumbing good . somehow though bit old - fashioned . my real complaint restaurant starter great main course good - dress , cook price . restaurant service lacklustre . the on - line price pretty good London time year , though . I will not rush back . 
 Jul 2 2007 	 Spain London 	 husband stay hotel 4 night recently business purpose pleasure . choose 's location close work . cheap £ 230 night , rise £ 298 Saturday night . definitely think worth . take Royal Service option seperate check desk find queue main desk 15 minute ! hotel situate right beside tube station hand travel around city . room leave lot desire , request king bed get two small single large piller change pull together , believe small single . table place beside one bed mean could get one side move table desk ( maid continue move back day extremely frustrating ! ) . room extremely small Royal Service special room hate think standard double like . the bathroom worst ever . bath situate long dark corridor climb edge get shower far end dark corridor . see believe . elderly infirm way could got use . extremely dangerous amazed get away use room . rest bathroom small . get one pair slipper last day finally leave second pair . robe . the breakfast Royal Service lounge full buffet dreadful . cold every day . even new fry egg would come would freeze . complain morning time say thank bring attention nothing . main breakfast area rest hotel must reviewer breakfast reconcile visit rave review . the staff find hard understand we spanish , meet one english staff member stay . know spanish chain hotel would expect english staff work . constant stream spanish visitor stay speak staff spanish loudly . quite expect centre London . the lounge area spacious visit number evening . alcholic drink free hot nibble leave buffet tempt . finally , large construction work happen next door hotel noise unbelievable 8 am morning right 6 pm . hotel mention anywhere website prepare . want stay room day , will not able due noise . luckily work Sunday one day silence ! definitely would return hotel regardless 's location . plenty hotel area well . 
 Jun 30 2007 	 Loved .... 	 purpose overnight stay London go Snow Patrol concert newly open O2 arena Greenwich . mind look hotel , close , Jubilee underground line . Melia White House fit bill perfectly one stop Baker Street easy access Jubilee line - brilliant ! hotel reception welcoming soon check , bit disappointment creep ..... pay £ 135 night Last Minutes ' ' Top Secret deal ' ( know go , much secret book ! ! ) believe reserve tiniest space hotel call bedroom ! yes beautifully do , bed huge could let 2 people pass one another : ( bathroom , describe bathcupboard ... door open room inside even room turn round , let alone undress . ( go forwards come backwards ) positive note , breakfast great , something quite decadent offer champagne ( cava ) breakfast drinking ! ! ! one night , hotel want many reason , main one location . hotel Spanish , spotless room tastefully do stay long one night , lack space room occupy would probably send mad ! ! ! ! ! would stay ? yes , one night ! ! ( also price right ) 
 Jun 4 2007 	 Excellent 	 Booked Late Rooms morning get deal . double room £ 245 breakfast manage get room £ 105 . great day / night . lovely clean room , staff friendly , hotel clean lovley decor great location transport etc . great jazz pianist bar well . certainly recommend visit . 
 Jun 3 2007 	 Fab hotel excellent location ! 	 book overnight stay Melia White House Hotel ' Superbreaks ' , far cheap deal could find net- would recomme way book anyone . hotel excellent- polite welcome staff Reception desk , immaculate throughout comfortable bed ( need pound London 's famous street ! ) hotel 's location fab ! walk king Cross , take 20 min , tube station ( Great Portland Street , 1 stop king Cross ) directly opposite hotel . ideally place Madam Tussards , Oxford Street , Regents Park , London Zoo Baker Street . stay hotel go concert Wembley Arena Metropolitan Line 2 stop Great Portland Street . breakfast fine- lot choice good busy 4 * London hotel . recommend hotel super base explore London ! well do Managers Staff . Rachael David Richardson 
 May 24 2007 	 elegant Hotel reasonable rate 	 stay Melia White House Hotel May , 2007 thoroughly enjoy stay . quite surprised upscale room -- although small , elegantly appoint bathroom update room . public facilite lobby also quite surprisingly upscale , give reasonable ( London ! ) room rate . little beat track Regents Park , Hotel almost directly across Great Portland tube station , make rest London accessible . staff attentive , although think concierge desk quite knowledgeable encounter London . feel $ 40 ( U.S. ) breakfast Hotel -- take breakfast pret porter behind tube station . negative visit -- since hotel stay adjacent reasonable breakfast place . pret porter quite good quality food coffee , definitley upscale . for price , would definitely stay . think excellent value . 
 may 20 2007 	 great place stay 	 Booked Top Secret hotel Lastminute , except easy work hotel . get good deal Saturday night £ 115 per room , bed breakfast . bit usual budget , stay London short notice . arrive 12 noon receive prompt attention , not surprise room not ready check not couple hour , leave luggage helpful concierge go shopping . arrive back late afternoon go room discover allocate Superior double room . really pleased . lots space , comfy 6 ft bed nice bathroom . breakfast lovely , try disguise cheap orange juice ( seem fresh ) , pancake waffle available well english continental breakfast . I smell smoke lobby come back night , not use bar , not worry sorted July smoking ban come . not problem lift button either system explain check in . if get hotel good price next time London , definitely consider . close proximity Great Portland Street tube real bonus . 
 May 11 2007 	 incredible hotel 	 travel London 4 child spring break . hotel wonderful . book trip travel agent get incredible deal . Breakfast include every morning . food good . hotel really nice . great location . could walk Regents Park , zoo , Madame Tussaud 's , Bond Street , Oxford Street . underground stop right across street . room roomy . large family -- 2 teenage girl , son young daughter , sometimes hard time squeeze room . kid little , could fit one room . mom dad baby one queen bed toddler . kid grow , obviously not work anymore . sometimes get three room make work . room Melia White House roomy enough able comfortably three girl share room Mom , dad son . staff friendly . room clean . hotel concierge able help we get ticket attraction 
 May 11 2007 	 wow ! 	 change ! stay 14 year ago soon 5 star hotel . good breakfast ever Europe ( 30 + trip ) room size - bathroom marble - great location bus tube . book American Airlines ticket . wife love wine chanpagne breakfast ( include ) everything could think serve . Loved . 
 May 10 2007 	 Good Value business class hotel 	 10 15 min walk Euston Station 2 min Regents Park . hotel clean , neat tidy clearly professionally run . find setting cosmetically nice decorate high , although might say slightly old fashion standard . hotel take 1999 spanish group seem improve place . bedroom , expect , clean net good size 6 pillow ! ! ! two restaurant offer catering appeal people – ' posh ' restaurant seem bit expensive one expect . find décor main lobby bar area appeal do high standard . staff professional pleasure deal . need book ahead get standard room – price go lot . 
 may 7 2007 	 go on- treat ! 	 book Melia White House " Top Secret " deal last minute dot com save we fortune . impressed hotel first time stay , book another visit return . lovely reception – marble floor chandelier , staff reasonably friendly , courteous well turn . tough one occasion wait forty minute check room ' yet prepare despite arrive 4 pm . whilst wait bar order drink - small bottle .of beer bailey total extortionate £ 14.00 ! ! ! standard room quite small , high standard . tastefully decorate immaculately clean throughout . fixture fit good quality bed , towel bathroom product . our superior room spacious good facility : internet , well stocked mini bar , etc huge comfortable bed . nice bathroom lot extra immaculately clean great view Regents Park . easy commute – fairly central . lot thing treat stay . piano bar entertainment , evening , though mention – drink expensive . breakfast fantastic ; stay would recommend try least . continental full English , selection yogurt , cheese cure meat . extensive range fruit fresh dry , DIY muesli , champagne strawberry . excellent regret eat restaurant evening . would definitely recommend hotel , comfortable degree luxury . well locate . lovely room . real treat -Get upgrade ! 
 May 4 2007 	 expensive excellent location 	 Booked hotel Top Secret Hotel lastminute know beforehand one , much cheap usual rate , glad . upon check tell partner , arrive later would sign form , even though pay everything ! room small , furniture bit shabby side . see room make sense advertise throughout hotel upgrade £ 25 , opinion afford go upgrade . food restaurant lovely , warn , portion enormous ! staff restaurant however , bit pushy keep try get we order extra thing really not want need . particularly another coffee still halfway first . fault cleanliness hotel throughout , staff attentive , take speak 2 different people obtain bucket ice , despite ask additional wine glass never appear end use tumbler champagne . 
 Apr 26 2007 	 expensive quality 	 large hotel central London . stay twice . standard room later suite . quality standard room average comfortable . the suite good large double bed . nice bath room . staff encounter friendly helpful . breakfast extensive , hot food could hotter ! bar area comfortable lot sofa's . the hotel direct car parking local parking expensive . there also gym sauna , use they . I would stay . 
 Apr 23 2007 	 Excellent hotel tiny standard room 	 hotel book Hotwire vastly discount rate even compare Melia website weekend rate . arrival ask upgrade tell full not able oblige . go room , spend 5 minute decide go back ask room change . room immediately behind lift , mechanic bell could clearly hear , well dark small . seriously standard room small bathroom possibly smallest ever see four star hotel . reception perfectly pleasant find junior suite top floor , end corridor overlook Regents Park . room lovely bright thank west face aspect clean , tidy smell beautiful . rest stay superb include service receive staff ( language issue ) excellent singer bar evening . would certainly return Melia , finger cross another great Hotwire rate ! 
 Apr 16 2007 	 Excellent flexible 	 agree everything review . place luxury , marble , serve - your - every - whim kind feel standard room weigh £ 105 / night , book morning stay . the A / c room not work realise get back around 10.30pm . have think would need London April ? check desk get someone come say cold air not blow , happily move we upgrade we would worth £ 25 would othersie payable . checkout smooth well - handle . definitely stay - suit need location requirement . 
 Apr 15 2007 	 real gem 	 Booked hotel [ -- ] great rate include superior room full breakfast . great room lovely furniture . bathroom , although little small everything need . hotel well situate get around London . drive West Country , unsure park , ask advice doorman happy us park outside hotel £ 10 ! hotel lovely bar , night enjoy exceptional jazz piano . real bonus ! staff hotel friendly efficient . plenty level service equal hotel stay London . advice : get good deal will not go wrong hotel . back ! ! 
 Apr 3 2007 	 excellent value Spanish 	 Booked day lastminute.com ( & quot ; secret hotel & quot ; easy identify description ) £ 98 per night excellent buffet breakfast ( although mix officious staff member say include one breakfast despite clearly book 2 adult per room - discussion manager apologise common - sense prevail ) . otherwise staff - mostly spanish - friendly helpful . hotel spanish feel , familiar stay Melia hotel Spain , widespread marble opulent fitting . able try main restaurant menu look intriguing . pleasant bar piano . excellent location 3 tube station nearby , next door Regents Park 10 15 minute walk Oxford Street / Soho . would definitely recommend hotel weekend London get good deal price . 
 Mar 23 2007 	 Fan - tab - ulous Darling ! ! 	 stay strand London unexpectedly . point something superior could ease stress nightmare travel experience believe Hotel certainly ! ! nice folk Disney put suite , say one word : STELLAR . room fantastic- neat , well present clean ! love design- understate old fashion . stay well bad hotel world certainly nation capital- rank top 3 ! really superb well locate Tube . breakfast buffett alone make worth trip - yummmmmmy ! ha ! would not hestitate recommend it- well worth money expensive consider excellence ! ! 
 Mar 12 2007 	 nice enough - but drawback 	 much reviewer say would agree ... originally book deluxe room offer Airmiles standard room mean could get free stay rather pay little £ 300 2 night upgrade room , hindsight would rather well room . the standard room small , enough space get past bed ( 18 inch foot bed ajoine wall ) . bathroom could struggle person ' generous ' proportion get show ( bath ) problem elderly floor slippery wet foot . noise neighbour traffic noticable , one night leave tv ( get sleep ) stop hear people next room , noisy , wall soundproof hear lot ! ! one selling point deluxe room soundproof , something may want think about . the chain , believe , spanish one consequently attract large number guest Spain Portugal smoke common , surprised see number smoker puff away public area . funny get use smoke free atmosphere notice not . get easy come Heathrow , tube train make simple journey , Gatwick bit complicated study tube map carefully . London underground expensive one way travel , buy day pass 's much well deal . breakfast include room plenty choice , full english european style meat cheese pastry etc . however english food often cold time get eat it . the cleanliness room friendliness staff second none , always smile always speak pass . I like lift ( get use ) .walke time shop ( Oxford Street ) 15 minute , tube convienent line attraction either need walk Warren Street ( 10 min ) change system ) . Oxford street like high street UK brand may choice want see something different , close Liberty 's Carnaby Street however . all may stay hotel definately standard room , ask desk upgrade sell £ 25 ( wether per room person know ) wish . clean friendly short walk away lot touristy bit right next tube station , good price central London hotel . 
 Mar 11 2007 	 excellent location lovely hotel . 	 buy ticket go see musical Billy Ellliot Saturday 10th March want stay hotel well budget hotel without charge fortune . this hotel certainly fill criterion . pay £ 96.35 standard double room , beautiful . we offer upgrade figure not necessary amount time go spend room . the decor room tasteful 6 foot bed ( 2 single together ) . fantastic , lot room stretch . although bathroom not large , well fit shower powerful . need walk round London day ! location perfect Great Portland Street tube station 2 minute away . breakfast expensive , approximately £ 20 per head , short walk Marylebone High Street many patisserie lovely cafe serve high quality food reasonable price . we would hesitate stay hotel . 
 Feb 24 2007 	 birthday stay 	 book super break , birthday Jan , boyfriend impressed hotel . arrive get offer upgrade , room really nice . staff pleasent helpful . would definatly stay , boyfriend actually comment want stay come london . breakfast meals hotel must . 
 Feb 23 2007 	 exceed expectation 	 since get good deal online hotel , think may little run , happily surprised . newly renovate , classically decorate , clean cozy . be right across street underground stop , bus stop , right door Regents Park , great running stroll . pull - up driveway , door man , bell hop -- work . enter rather grand lobby , always full smoke , remember somewhat norm London . room , hear thing neighboring room outside . help hotel set back little bit major street . room darken shade good job keep street light . one glitch upon arrival email ahead guarantee non - smoking room , reply set , get say non - smoking room . arrange one within 20 min . , consider lucky one . if be look place right center action ( would also much expensive ) , great place . , walk shop Oxford Street tourist spot Baker Street Mayfair . great explore foot - go beyond , 's easy catch train bus . great experience brief trip London able fit , hotel base . even quite great restaurant neighborhood - couple pub , one music , couple italian place . remember - everything be expensive ! 
 Feb 22 2007 	 small room well maintain 	 excellent hotel use one night business . room exactly show website . room especially bathroom ' compact ' well maintain clean . bed comfortable plenty channel tv . safe room well standard many hotel room even today . the bar live jazz nice selection bard food . would happily stay though would love able afford suite . price cheap online look around . bit wait breakfast go elsewhere short time . nice place good atmosphere , hotel welcome encourage spend evening hotel , rare day . 
 Feb 19 2007 	 lovely hotel 	 stay hotel two night February 07 , book AirMiles point . pleasant surprise ! lovely hotel , charming attentive staff . check good , wait five minute although people smoke lobby , definitely smoke fill suggest previous reviewsThe lift easy use , enter floor number room tell car take . the ( standard ) room somewhat small , perfectly adequate need , lovely finish furnish throughout . bathroom lovely , finish black & amp ; gold really good selection toiletry . bed comfortable ! buffet breakfast yummy ... plenty cereal , fruit , bread , cheese , toast & amp ; croissant even fussy eater ! especially love doorman , resplendant uniform hat , always hold door open we ! overall , charming , well run hotel great area lovely staff- highly recommend . 
 Feb 18 2007 	 neat enough ready wrestle lift 	 quick jaunt London romantic treat , White House provide lovely backdrop - suspect management hope place jaw - dropping , basis fall short , be tidy , clean ( mostly ) well - staff , although bit surprising wait five minute four member reception finish tap keyboard acknowledge . fair , apologise keep we wait . the lift service , frankly , bizarre - tell system be go central control panel , assign lift . ' ve enter floor , be - 's way punch different number arrive . suspect idea mean efficient , stop several lift head floor time , might make sense skyscraper . seven story building , not work - 's slow , glitchy , create knot confused people stand around try work get . fact , go breakfast many people stand hope lift show floor decide go stair instead . already cereal other make breakfast room . the room clean , good condition ( slight damp come shower , bit rip wallpaper , nothing seriously wrong ) bath high , deep narrow - would not recommend people mobility problem , people like bath . 's list relax bath salt available , relax bath would take side , ' m sure . we fix tv - get picture - aerial come back . ( ' m aware TA user mark sort thing . ) one hundred quid night hotel feel get away provide standard Nescafe room - drink bear pass relationship coffee - will never understand . although Marleybone Road , double glazing keep sound , , unfortunately , noise couple next room sex . not last long - good we , slightly disappointing , fear . breakfast wide selection food buffet , although scramble egg liquid count drink range jam limited choice two ; serve 10.30 pretty good UK standard . ( might Saturday time , though . ) , great stay , great location - bang opposite Great Portland Street tube walk distance Regents Park Euston Station . 
 Feb 14 2007 	 Service COMPLETELY AWFUL 	 Hotwire mess hotel book hotel switch month march february . call hotel get change date , absolutely refuse would not even let pay fine fee anything change date . say would need pay entire room entire stay . not even London absolutely check , could not even call email check & quot ; show & quot ; . completely awful service try deal problem refuse even credit one cent . unbudgeable awful service . 
 Feb 9 2007 	 Convienient comfortable 	 booked trip Priceline get nightly rate $ 115 per night 14 night . give king bed room 3rd floor - smoking . room adjacent elevator . caution sound elevator cable likely disturb sleep - change room noisy morning particularly . the king bed extremely comfortable . Duvet rather blanket . plenty space store luggage underneath plus really be not adequate closet space virtually useful drawer space . bathroom closet size room . adequate one person time . room service bit hit miss . room clean linen change room person leave window room open day three occasion ! three cold night Feb snow . 2 call Room service eventually speak Duty manager - do not happen . request ice one evening have not arrive 45mins , cancel . apology offer be not great service hotel floor ice machine . internet service outrageously expensive 9.99 gbp ( $ 20 ) per hour 30 gbp ( $ 60 cover internet inhouse movie ) 24 hour period . the room mini bar usual inflated price want minibar clear use cost 15 gbp ( $ 30 ) per day . window sill work well place keep drink / yogurt stay Feb. the tube station - Gt Portland Street 2 block hotel . bus stop outside station three bus Baker Street station . get oyster card plan use tube bus double cost do not use one . available tube station newsagent shop . top buy Weekly Oyster pass save lot money . Tescos metro store close Gt Portland St Station open 7 am midnight . pret manger store . excellent breakfast supply . check check efficient quick . arrive 8 am give room immediately . coffee shop - Davidoff Cafe produce excellent coffee 1.80gbp per cup . inhouse shop . bar lively well use - noise issue . many staff guest Spanish make one iota difference apart lobby full smoker morning evening , change June / July 2007 smoking ban public place . nice stay overall couple minor issue . would stay . 
 Feb 8 2007 	 nice hotel 	 enjoy first stay ( 6th February 2007 ) .Nice , comfortable hotel , plush ( traditional ) decor . good check out . very helpful concierge . very nice bedroom . extremely comfortable bed pillow . seem remember website say something sound - proof room - true - could clearly hear tv next door ! good breakfast - lot choice - full English , egg cook order , cereal , yoghurt , bread , pastry , fresh fruit etc ..... short taxi ride Euston Station . close Great Portland Street tube . 
 Feb 7 2007 	 Nice hotel 	 stay 5 night , New Years . unlike review , check - in smooth fast . take 10 minute time walk till room . room small , even european standard , well furnished . bed pillow comfortable . ample closet space . bathroom little dark , tub difficult get without slip . use bar room service since many pub close . Tube stop literally 2 minute walk . convenient . concierge helpful , suggestion wonderful . I get fantastic deal Priceline hotel , would stay price similar . 
 Jan 31 2007 	 sure really ! ! 	 try keep thing brief : stay property within portfolio great , hence reason book direct unfortunately feel bit let Oxford . postive : * great location * impressive impact upon enter * great bar evening drink * modern - quirkynegative : * staff - reception staff seem untrained dis - interested help give basic information , lack attention detail . actually wonder one young guy suffer hangover ! sorry bit presumptious .... restaurant staff fine generally lack customer service area - smile would nice ! * book suite extras due special occassion totally overlook * room - avarage even within suite air conditioning problem , request floor heater * drink expensiveI think would return shame potential ! 
 Jan 31 2007 	 friendly slow check - in ever experienced 	 other note , check - in issue . first stay Sol Melia hotel , stand queue smoke - fill reception 20 + minute far good first impression . 3 staff concierge desk nothing , 3 reception deal laborious procedure surely unnecessary ( doubtless other ) provide information book online . I say staff friendly throughout , helped - hurry , lot bag , abide memory stay . I say room , whilst small ( go basic option ) , well maintain large hotel ' ve stay , spotless . the location good , tube station right across easy get mainline station , plan journey mind . 
 Jan 30 2007 	 great love ; ) 	 & amp ; friend stay 5 day january 2007 . book royal service ( read great review ) , great : ) get free breakfest , drink & amp ; snack day . free internet lounge . ( expensive use be room ) room small think ok . bathroom clean nice . hairdryer awful , bring be . trip overall great , would stay . ; ) 
 Jan 24 2007 	 Perfect Posher City Break 	 stop December 1 night really pleased have pick hotel . location wise , spot need , equi - distance Euston Marylebone several tube station yet still feel like retreat city hub - bub . head Jazz Cafe Camden cheap taxi drive away . room perfectly adequate ; quiet , really comfy bed , nice interior design somewhat pokey bathroom . can not comment food , honest , little put £ 18 price tag , hey ho , 's London ! be couple night London look accessible , clean , comfy accommodation 's bit posher typical travel tavern feel , place really please . 
 Jan 24 2007 	 pleasant stay would stay 	 book deluxe room 6 ft bed , double glaze slightly big nicer decorate standard room . room stuffy aircon do not appear work window open time tend get bit cold time , long closed room stuffy again . the bathroom well light , light shower toilet light sink . the food hotel think disappointing , eat restaurant do not really enjoy food think expensive be . the hotel clean , staff courteous friendly , spanish foreign nationality time language problem one waitress restaurant . I would definitely stay , location good overall cost hotel room competitive hotel standard . 
 Jan 22 2007 	 watch vat ! ! ! 	 arrive early afternoon find small queue reception expect long wait least 20 - 30 min get serve member staff , staff quite slow check people not seem concerned people wait . majority spanish language barrier quite difficult . hotel nicely decorate present lift high tech interesting ! finally arrive room find quite small clean well present ! not touch anything minibar automatically charge account , small coke would cost £ 2 £ 4 bottle water . certain standard room include need NEW window shabby drafty other double glazing . overall room nice , however there s movie channel tv . room service- check bottom menu VAT 17.5 % add everything order . time come check surprised learn VAT add total amount pay room , not state beforehand especially confirmation email state total amount due not include VAT . good position London , directly opposite Great Portland st station far London Zoo . there s nice little pub across street call Green man , friendly ! ! ! overall enjoyable trip , turn expensive originally think . 7/10 
 Jan 15 2007 	 surprisingly good 	 stay one night Junior Suite , book via hotel 's website . upgrading , get check 's know Royal Service - well worth money ! room spacious , well furnish one comfy bed ' ve ever stay . Royal Service also get pillow menu great , complimentary drink ( include bubbly ) private Royal Lounge 6 pm 10.30pm along free tapas . house - keep prompt , waitress lovely breakfast scrummy . well recommend . 
 Jan 12 2007 	 Surprised ! 	 book Melia White House wife long search online . review seem spotty overall good . arrive , surprised . certainly exceed expectation base review . staff friendly courteous , room good size , clean well appoint , location hotel terrific . subway stop one block away ( NYC ) find within walking distance many location . would stay heartbeat . 
 Jan 2 2007 	 Fantastic ! ! 	 return romantic trip London Melia White House Hotel . book hotel extensive research web special stay go propose girlfriend . book contact upper management see arrangement could make . staff helpful make fine suggestion . happy help out . we stay three night turn exactly hope would . girlfriend ( fiancee ) always critical hotel ( ) neither we could find fault . lobby impressive enough gold marble . spacious breath nice luxurious atmosphere . book Royal Service room , express check check deluxe room . bouquet flower set room previously ask room big , clean service one hope find . interior decoration appeal we especially great big bed ! book private dining suite 2 hour , one hour complimentary . Royal Service guest use business meeting room free one hour hardly appropiate place propose hotel make offer . also book sax player hotel fine playing dinner . the actual evening perfect ! ! ! highly romantic excellent food service . manner hotel staff helped simply amazing ! wonderful stay . feel sad leave . know standard room like seem afford extra pound , get Royal Service feel like 5 star gueat 4 star hotel . 
 Dec 11 2006 	 good stay London 	 Good stay close Regent 's Park . spanish staff friendly london hotel staff . gym large appear , around 20 excercise machine ( albeit weight machine ) free weight range 2 - 10 kgs ( around 4 22 lbs ) .room : small , typical London hotel . comfortable ( medium ) bed pillow . in - room electronic safe provide . internet access pay go service , far cheap use cybercafe Oxford Street . Minibar also provide ( though plan use personal fridge , electronic sensor detect charge 15 pound day ) . major complaint 2 electical outlet easy access . bathroom equip hairdryer . bathtub deep average ( plus ) though fairly difficult get without slip . lotion , shampoo bath gel ( generic Melia brand ) provide . also available ( 4 pound ) menu bath salt dead sea . Breakfast ( 19 pound ) widest selection ' ve ever see London restaurant , seat quick . tip : join loyalty program , breakfast become BOGO , get newspaper morning . recommend : yes 
 Dec 5 2006 	 Top Service 	 stay family several year ago . wonderful experience . service excellent room clean , cozy large . staff knowledgeable friendly . room service perfect . close Regents Park step Great Portland St tube station . ten minute walk Oxford St shopping . overall , pleasant stay problem . 
 Dec 5 2006 	 overall good 	 stay 2 night November 2006 , room nice , clean nicely decorate . quite small , adequate . follow advice review use Tesco Express opposite breakfast ! definately good tip save queue / crowd restaurant . there s also tube station opposite ( Great Portland Street ) , Regent 's Park minute walk . pub across road ( tesco tube station ) also ok , serve food also , another alternative eat hotel . overall pleased Melia White , although comment Restaurant Bar use ... 
