ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Dec 12 2008 	 good choice consider stay NYC 	 lot research prior book hotel choose mainly base review Tripadvisor . hotel good choice must stay Manhattan visit ny . room comfortable , location good . staff great ( except one Librarians little snooty ) lovely chat fellow guest glass wine evening . however , beware use telephone ; buy phone card use make call ( include local call 1800 number ) upon checkout , surprised find charge phone number dial additional minute . would expect hotel callibre . 
 Dec 9 2008 	 good place stay New York 	 time arrive leave staff friendly could not helpful . igor front desk friendly go way ensure everything need . the hotel perfectly locate away hustle bustle yet close enough easily access sight Manhattan . we upgrade room arrival ( need big bed ) queen room Fairytale room great . comfortable facility need . the free cheese wine every day 5 pm 8 pm brilliant touch sadly manage avail trip . not cheap hotel find net worth every penny . 
 Dec 8 2008 	 Fantastic hotel location 	 husband surprised ( book lover ) trip NYC three night stay hotel . could enjoy experience ! staff warm welcoming , moment walk door - 11:30pm ! room cozy comfortable love Dewey Decimal numbering system . the breakfast include perfect amount less three decaf cappuccinos day fabulous little machine ( accessible 24/7 ) . day touring , enjoyed come back hotel lounging 2nd floor sit room snack also watch DVD comfort room late one evening ( DVD 's AFI 's top 100 movie list borrow front desk ) . slipper robe bedroom add bonus , evening wine cheese reception . the guest friendly definitely & quot ; upper class & quot ; group would find average chain hotel ( not find single one stuffy ) , really add experience . treat equally guest guest staff , despite fact easily 10 - 15 year young guest , really nice ( rare ) .The location can not beat experience , look forward return NYC stay ! 
 Dec 4 2008 	 quiet New York 	 charming serene experience stay LibraryHotel . staff genuine quietly efficient . justlike come home every afternoon warm welcominglounge offer afternoon tea ! superb location - stylish comfortable every way ! real boutique gem ! 
 Dec 4 2008 	 hotel make holiday brilliant ! 	 come say superb hotel . room lovely ( stay Geography room ) staff could not friendly helpful , thank help restaurant booking . the cheese wine evening great idea ! 10 10 , can not wait come back . 
 Dec 3 2008 	 not miss 	 wonderful place ! like come ' home ' evening . take shoe , put slipper walk lounge cup tea ! go back room , change evening enjoy glass wine cheese nibble venture cold . could fault place . 's location perfect - quietly situate near enough site , shop theatre subway . this 18th birthday treat daughter staff could kind . every one go way wish happy Birthday , moment step car airport champagne card lovely surprise . lucky stay nice hotel , think ever encounter great staff . we also dine Madison Vine bistro first evening , busy eve Thanksgiving , food nice . 
 Dec 3 2008 	 Happy Holidays ! 	 great deal trawl list list hotel decide book Library celebrate wife 50th birthday disappointed . yes quite expensive - Thanksgiving 1st December hotel bit expensive anyway actually save quite bit time money consider follow : -1 . hotel centrally place midtown be reasonably fit walk place ( therefore see experience city ) save money / time process.2 . complimentary breakfast excellent- great food start day . Most hotel either not provide charge privilege.3 . hotel supply coffee / tea pastry etc . , day long go shop say 5th avenue return hotel hour later recharge ourselves- save costs4 . wine /cheese evening great- would often chat wth fellow guest save another bundle cash pre dinner drink / hassle find nice bar somewhere . we Junior King suite perfect wife 17 year old son happy large sofa bed room . room keep pristine condition- immaculately clean , flat screen tv , luxurious bath / shower complimentary bottle water .A couple tip go New York want special message display love one / birthday treat phone Hersheys Times Square ( call be ) $ 5 15 minute display message move screen face Times Square world see- wife could not believe see message birthday- lucky since Hersheys actually close Thanksgiving $ 10 message show midnight day day Thursday . another tip try book helicopter flight- use Helinyc.com excellent . check weather forecast go enjoy fantastic sight trip remember . book basic & quot ; New Yorker & quot ; trip cost $ 150 person 15 minute lucky helicopter ourselves . the south seaport - pier 57 think , near Brooklyn bridge also good shopping / city view reasonable restaurantsas far restaurant go couple ok meal recommend place quite expensive- benjamin Steakhouse 41st /Madison , Trattoria Trecolori 47th / Broadway Padre Figlio near UN building 44th/2nd/3rd ave . good meal bit expensive Salute- Madison 39th- not mind pay bit quality meal superb . one word warn go back airport ask hotel book taxi- make sure know much taxi going charge ... not problem go Manhattan airport since JFK around fix $ 60 incl tip / toll going back try charge like . hotel tell we people carrier cost would $ 88 ... ok arrive JFK driver try charge we $ 150 .... little chat driver accept $ 88 . one final point arrive JFK ... get one UNOFFICIAL cabs might try lure cheaper deal ... hear case mugging / tourist take different destination make give money ATM ... queue minute attendant get yellow cab take SAFELY destination . all unforgettable trip return fantastic hotel city . happy Holidays ! 
 Dec 2 2008 	 Loved ! ! 	 stay Library Hotel 3 night . can not fault anyway . everything perfect . moment check , staff could not friendly helpful . great . location great , pretty much thick thing right beside beautiful Bryant Park . room small , share girl friend luckily would away together not mind snug . would well couple room . however not enough complain . room iron , iron board , hairdryer , slipper amazing bath robe ever ! ! great thing plug socket take European plug - super handy one adapter we . breakfast great , yummy bagel fresh fruit . yoghurt , cereal etc - proper continental . & quot ; Reading Room & quot ; open day tea 's , coffee cookie . cheese wine time evening wonderful .... nice treat come cold head town . I can not reccomend hotel highly enough ! certainly stay next time go NYC . 
 Nov 29 2008 	 great find ! 	 almost everything perfect ! service cleanliness impressive . nice subway around nyc day know go back clean room tough customer come clean room ! room small 's much see New York stay room much anyway ! complaint bed comfortable . however , due cleanliness , service , amenity , location would definitely stay recommend other . can not imagine well location ( 1 block Grand Central Terminal ) friendlier well train staff ! 
 Nov 25 2008 	 Perfect petite 	 lovely decor , fabulous location , wine cheese afternoon great , room small 
 Nov 22 2008 	 Perpetual Guest 	 first find hotel four year ago . although room small , privacy , ambience staff make lack space . bar , restaurant reading room unique welcome ever busy non - personal transit world traveller . recommend like high end hotel chain still want benefit luxury . 
 Nov 19 2008 	 Pleasant stay 	 great stay recently well situated near Grand Central within walk distance many sight . staff excellent , especially poor bell boy handle luggage ( lot ) . issue one staff member ( see ) whole good stay . I friend 2 night alone 2 2 different room . first junior suite roomy well appoint . use sofa bed take quite bit room room sleep . noisy fronted Madison ave ear plugs work treat - even sleep major accident right outside apparently . the second room full size petite small still enough room get around . front 41st Street noisy earplug dampen noise . the complimentary wine cheese night lovely really nice atmosphere relax chat in . breakfast good - lovely staff nothing much trouble - good selection thing . little touch like next day 's weather forecast , complimentary water chocolate pillow turn lovely . the hotel restaurant excellent full meal snack bar . nice theatre . I one real issue dark haired girl reception . feel seek alternative career path serious attitude border plain rudeness . when check give credit card guarantee account . friend check 2 night stay 2 night . go check give another credit card put charge tell first credit card charge friend check . ask tell change room ! ! ! ! not leave hotel change room . exceedingly surly quite rude . also check card , one give guarantee payment , find original charge still hold . back week would expect release . on whole good hotel would stay . 
 Nov 17 2008 	 almost perfect stay 	 stay Library hotel last week October 2008 part honeymoon around US . positive - hotel fantastic location right near public library within easy walk distance Times Square many NY landmark . room relatively small , spend time room NYC wrong reason . continental breakfast provide excellent variety wine cheese reception evening pleasure comeback . Igor ( Chief Concierge ) funny extremely helpful - even provide exact detail small concert hall New Jersey map direction . negative - firstly , mention reviewer , hotel take payment time booking . give book accommodation Aus dollar 98c US dollar disappointing payment would take checkout dollar drop 59c . mean stay cost extra 1500AUD would book . secondly , huge issue check credit card . advise check cost accommodation plus $ 100US per day incidental would place hold . fine . unfortunately depart ( account finalise ) amount hold release result hotel ' double dipping ' speak . contact hotel ask release fund ( give pay account full ) receive unfriendly response front desker name Lennard inform we hotel bank quick blame hotel mistake . ( EXPENSIVE ) phone call bank Australia able confirm indeed Library still fund hold ( total 2800usd ) . another unpleasant conversation Lennard , force call bank Aus back ask call Library hotel . Luckily bank luck speak Lennard able resolve situation immediately . really spoil fantastic stay . overall - would stay ? absolutely - room clean , well serviced , food great location excellent . would anything differently ? yes , would not provide credit card security avoid unfortunate situation find . 
 Nov 16 2008 	 Wonderful Hotel 	 stay Library seven night late October . amazing hotel well deserve high rating Trip Advisor . as other observe , location central provide great access restaurant , Times Square sight . stay Library different stay regular hotel . feel like like homely club . friendliness staff extra rarely get hotel : & gt ; complimentary breakfast wine tasting/ nuts/ cheese evening fantastic ; & gt ; tea coffee make time day dining area , american convention provide room electric kettle problem ; & gt ; small touch , handwritten weather forecast evening bed turn , really appreciate helpful . our room large available ( Junior Suite ) quite roomy enough . room bathroom beautifully appoint . one disadvantage - faced Madison Avenue , probably noisy room ( fronted quieter 41st Street ) . quickly work , leave air conditioning overnight , traffic noise pretty much block out . our gripe unable pay accommodation advance . australian dollar plummet 98 US cent book room 65 cent stay , problem ! leave aside , Library Hotel strongly recommend wonderful place escape New York . 
 Nov 13 2008 	 Fantastic Stay 	 really enjoy stay Library . friendly staff , well locate high quality facility . would definitely stay 
 Nov 11 2008 	 Excellent Stay Start Finish 	 stay Library four night October 2008 celebrate 30th wedding anniversary could not pick well place world ! first visit NYC guarantee will not last . everything perfect morning walk lobby right include check . staff truly exceptional . breakfast , day coffee goody great hotel location central couple newbie explore Big Apple . mere word describe gem experience . will back ! 
 Nov 10 2008 	 Treat 	 Indulge periodically Library hotel great place . fun premise ( room furnish accord Dewey Decimal system ) great location , helpful & quot ; librarian , & quot ; be delight . sparkle clean room , day snack - even champagne , charming roof deck late check time , could want ? 
 Nov 10 2008 	 Perfect Hotel experience 	 husband return 2 night stay Library . definitely one top 3 world - wide . room equip slipper , robe amenity gracious good friend 's guest room . book hand everywhere - well select dusty ! guest lounge 2nd floor wonderful cappacino espresso available day ; leisurely delicious array breakfast treat till mid - morning truly nice wine cheese early evening ; include . location great - accessible walker 5th Avenue , Rockefeller Center sight . the service perfection ; never walk door threaten day night without offer umbrella clean shut vacum wait elevator . restaurant adjacent hotel well roof garden lounge time try . impress we quiet hotel room . oasis ! solo traveler Library also appear provide great security . 
 Nov 7 2008 	 lovely hotel realistic expectation 	 love hotel ! agree review - room small ( size fine we ) , bit overrated people feel . nonetheless would definitely go back . room clean , secure , quiet comfortable . book theme lovely ( although not real use we put fantasy / fairytale room interest fairytale ! location great , breakfast perfect . really not anything complain not think , time think pretty normal hotel really nice touch . free wine cheese hour fab idea ! 
 Nov 7 2008 	 great hotel heart NYC 	 stay three night follow cruise really pleased level service , quality accommodation terrific location hotel . we arrive 10 am day NY marathon expect store bag head room ready ( advise hotel early arrival email ) ; however , hotel already room available , terrific give we chance unpack freshen head rest day . the staff professional accommodating could not enough we stay . room fairly small , room two we move around well accommodate three large suitcase standard room . room bathroom spotless welcome slipper bathrobe use . the complimentary refreshment , continental breakfast cheese wine add bonus free internet access , allow we complete check - in flight home even leave hotel , great . the attach restaurant , Madison Vine , look lovely not seem great choice vegetarian , another reviewer say , dine concourse Grand Central Station literally around corner , big deal . fantastic location within reasonable walking distance major attraction would definitely recommend hotel , stay elsewhere previously . we be sure back ! 
 Nov 2 2008 	 size issue stay ' the Library ' ... 	 book Library Hotel 5 night October celebrate 30th birthday , read much great overall experience stay boutique hotel . book sum $ 575 plus tax night Deluxe Queen . upon arrival , show room ( Architecture , way ) completely floor size . extremely small . hear hotel room Manhattan smallish expect much sizewise , quite honestly , shock we price . soo disappoint book three month previous arrival really look forward stay ! room decorate adequately , various architecture book side table nice bathroom , hotel kindly provide bottle champagne arrival circumstance would pay money type room anywhere else earth ! breakfast provide generous continental spread , serve ' library ' atmosphere , really good bar rooftop lovely , first night , start search alternative hotel . fail believe price / size , could not well Manhattan . find one twice size almost half price Bryant Park , delight ! ' Library ' manager extremely helpful accommodate upon check . not imagine guest often , quite honestly , 5 night city , be go go spend sort money room , want get bang buck ! 
 Oct 30 2008 	 Fantastic Hotel 	 stay 5 day October honeymoon well , could not happy . the location hotel great - easy walk everywhere Subway doorstep foot give up . the hotel nice , yes room small size boutique hotel honest , much time spend room anyway ? .The staff deserve special mention , especially front desk : Attentive , helpful Friendly 3 superlative mention - find we great mexican meal final night actually interested day night - bump experience 5 star territory . make feel like stay another number room 1000001 ! ! .Also worth mention breakfast & amp ; cheese & amp ; wine evening - price valuable . fantastic idea skimp either - great selection breakfast item cheese top drawer too . overall top rank hotel world staff . quite simply - Brilliant 
 Oct 30 2008 	 secret gem heart NYC 	 spend five night Library Hotel October 2008 comment stay : - great location one block away Grand Central Station , Madison 42ond - ' famous ' neighbourhood Chrysler building around next block corner , Grand Central two minute away National Library street- nice restaurant walk distance ( Benjamin Steakhouse – ' meat long time ? go get cure ! ) , Todai ( all - you - can - eat japanese Seafood Buffet Restaurant 6 , East 32ond ) , Grand Central Dining Concourse Hotel : - nice , quite small , early twentieth - century flair nice lobby extremely friendly , reliable helpful reception staff ( ' think ever encounter team well work together professional ! every one . ) can not live without read : MUST east coast.- Bistro - like restaurant ground floor ( unfortunately ' get time ' dine - in ' ) nice open air terrace bar 14th floor ( attention : also open non - resident thus get crowd ' hour ' reserve space hotel guest ... : - ( . ) room : - rather small ( try pick cheap category ) , stylish , load theme book shelf ) - nice270 ° - view Madison Avenue 42ond till Central Park corner room - love window open- tiny well equip bathroom mat glass wall inlay towards room , allow daylight shine inspecial : - complimentary wine cheese bar early evening ( great head concert dining afterwards ! ! ) - nice complimentary breakfast , though slightly cramp , helpful staff ' lean ' choice ... , ' ( nearly ) free ... pleased stay recommend hotel ( though quite pricey ... – ' central mid NYC ! ) . stay give one notion bustle New York landmark around every corner . 
 Oct 30 2008 	 perfect ! 	 stay Library Hotel honeymoon praise hotel staff enough . service facility excellent . staff time helpful give great recommendation . book petite double room indeed small - perfectly form . complimentary breakfast & amp ; wine cheese evening guest big bonus . definately stay Library . would highly recommend . 
 Oct 28 2008 	 Fantastic Boutique Hotel central location lot extra - great ! 	 stay Library Hotel 3 night trip UK celebrate husband 's birthday . fantastic boutique hotel superb attentive staff many extra like cheese & amp ; wine reception every evening , bed turn - down service / bathrobe / slipper / choc , breakfast complimentary refreshment / pastry day . make stay special usually stay large hotel ( Marriotts etc ) find beat hand personal touch . room small well appoint , NYC - much time spend ? ! centrally locate , infact walk almost everything need taxi twice . would highly recommend hotel 's restaurant Madison & amp ; Vine , Roc night , Empire State day , Circle Line 1hr boat trip around Liberty , Blue Fin restaurant Broadway , Mama Mia Broadway Grand Central Station Oyster Bar , WOW , much , much mention ! love . 
 Oct 27 2008 	 hide Little Gem NYC 	 boyfriend surprise 30th b - day take NYC . use trip advisor find hotel also tour guide book settle hide little gem . hotel close grand central station make easy use subway system also close lot area Manhattan ( i.e . Times Square , Empire State Building , shop etc . ) room contemporary decor elegant . service beyond outstanding ! super pleasant staff constantly treat we like 5 star hotel 5th ave ! evening offer wine cheese beautiful piano room view top floor beautiful rooftop bar outdoor patio ! breakfast list continental , way well consider continental ! even latte maker / machine ! check late luggage store late depart guest make nice we . pick bag room store without second thought ! decor charming service beyond 5 star ! boyfriend NYC couple time always stay big hotel completely impress selection Library Hotel vow never stay anywhere else ! total hidden gem NYC ! enjoy .... 
 Oct 26 2008 	 Location Presentation service Fantastic ! 	 amazing boutique hotel perfectly locate heart New York . staff excellent , helpful sightseeing idea brief stay ( 2 night ) restaurant suggestion ( eat attach restaurant first night - food service excellent ! .The room well appoint , corner traffic noise constant tired night do not keep we awake ! theme Hotel well do . we would highly recommend Hotel . 
 Oct 26 2008 	 visit Library 	 stay July 2008 tour west coast America . find ice cake way finish amazing trip . hotel everything could wish . room well appoint need . adverse comment wardrobe small , spoil stay . complimentary toiletry & amp ; dress gown available little touch chocolate note inform weather next day nice touch make stay feel personal . staff could not enough we . the hotel good position . within walking distance major site . lazy walk anywhere bicyclce taxi everywhere prepared take life hand ! ! Top Rock incredible view across city , amazing see Empire State Building angle . MIchael staff could not enough we . complimentary breakfast good cereal , bagel fruit , pastry choice incredible mention complimentary evening drink nibble . hotel connection New York Library wide variety reading material room breakfast area make interesting place stay . would certainly go back . 
 Oct 23 2008 	 impressed delighted 	 moment arrive welcome friendly informative - every member staff go way helpful . room comfortable clean public room impressive . breakfast good cheese wine buffet excellent . location great , near Grand Central 15 minute walk Central Park one way Empire State . would recommend hotel would certainly stay . 
 Oct 18 2008 	 think build much anticipation stay 	 love concept hotel want stay Library Hotel year , finally summer 2006 . perhaps room select ; however , small not quite charming imagine . stay hotel , select large room ' ve pretty much decide keep lodge Upper Westside , really enjoy stay second leg trip 2006.a positive aspect hotel close proximity NYPL Grand Central Station . also score point creativity ! 
 Oct 12 2008 	 wonderful small hotel Mid - town ! 	 spend 1 night NYC 15th wedding anniversary , look something small intimate ... find Library Hotel ! Front desk staff friendly helpful ( thank Prosecco ! ) . room quite small , even upgrade , well appoint clean . overall theme unique hotel & quot ; extras & quot ; add bonus ( terrace bar breakfast room - time check - out fitness area ) . would definitely recommend stay use future . 
 Oct 8 2008 	 WIfe 's 30th 	 could not fault ! book back review website . also choose 4/5 star hotel size - 1000 room hotel another number - place staff know . Walter , Michael Billy extremely helpful great talk . location great - right centre great access visitor attraction . breakfast good - selection pastry , cereal freah fruit along juice coffee . also help complimentary cheese wine 5 - 8 help unwind little day take site head evening . can not wait next trip NY definately check Library 
 Sep 30 2008 	 wonderful place 	 come back long weekend New York safely say Library Hotel one good city offer . the thing really set place apart standard service uniformly high . employee seem try everything make feel like guest private staff . add fabulous location sheer quirkiness library concept recipe make heaven . I never need find another hotel Manhattan . 
 Sep 30 2008 	 wonderful honeymoon 	 decide marry NYC use TA choose suitably romantic , luxurious hotel . fan big impersonal hotel find Library fit bill perfectly . apart spotlessly clean wonderfully quiet lovely bed bedlinen , spacious bathroom lot storage space . particularly like little touch like makeup / shaving mirror & amp ; clock radio . really appreciate day coffee etc beautiful reading room , mention cheese & amp ; wine evening - wonderful come back hectic day ! really make though staff make we feel really special - could one ask ? would especially like thank 2 room maid come check minibar & amp ; come rescue trouble get wedding dress ! return room wed memorable experience rose husband order arrange beautifully , bubbly ice rise petal scatter turn bed - wonder tear leave ! thank Library Hotel wonderful stay . 
 Sep 28 2008 	 relieve 	 love place . relieve never stay NYC . use Trip Advisor make decision place rank # 3 . see hotel price per night ( $ 350 ) would choose one mile . beautiful room - small , modern clean . friend stay Jersey save money , agree worth pay extra close action . perfect distance Times Square - close far . helpful staff , great continental breakfast beautiful reading room . would stay although would able afford $ 350 rate high give real amenity , think price high . would take big hotel day though b / c NYC - not see room anyways ! 
 Sep 7 2008 	 good location expect 	 book 4 night stay Library Hotel wedding anniversary disappoint . hotel fine - room clean staff helpful friendly . not however wow factor expect review website . room - one expensive hotel - small dark , ' library ' philiosphy book contain 12 title . compare hotel similar price area expect . be look somewhere crash explore new york think would good choice - location excellent - be look something bit special would stay elsewhere . 
 Sep 6 2008 	 find - thank Tripadvisor ! 	 hotel gem . whilst room european rather american size work well facility need - staff could helpful attentive . theme library book create uniqueness carry Reading Room Poetry Garden roof glimpse Empire State Building . breakfast vary adequate , provision unlimited coffee refreshment rest day boon - complimentary wine cheese early evening provide tranquil oasis great opportunity recharge battery day night ! hotel sister deserve high ranking list favourite hotel New York . see also review Madison Vine , bistro - 's good choice time - particularly want somewhere easy fall evening arrival ! 
 Sep 5 2008 	 excellent small hotel 	 nice small hotel conveniently locate Manhattan . business family : great kid though means & quot ; targeted & quot ; kid , penthouse lounge view city raidable snack supply ! sophisticated smart ( overrun family ! ) quiet clean well appoint ... view $ 150 night less large & quot ; name & quot ; hotel . ' ve never problem always impressed service ... want snack , dvd , book ( Library Hotel ) , eager send . really nice . quiet room . much well & quot ; fashionable & quot ; small hotel stay NYC , sometimes style trumps comfort . 
 Sep 5 2008 	 everything 	 stay Library Hotel first 4 night honeymoon . ideal & amp ; looking start 3 week break States . Librarians greet we bottle champagne & amp ; nice welcome note long trip Scotland . give good room ' Paranormal ' & amp ; name certainly not put we ! ! staff great & amp ; give we plenty advice place eat etc . benjamin steakhouse great NY experience across road . stay total six hotel across States honeymoon one definitely favourite . certainly unique & amp ; relax give surrounding . room immaculate , dvd collection come handy & amp ; ideally locate tourist spot , theatre , restaurant etc . free internet use come handy & amp ; complimentary continental breakfast bonus . we would crticise price rooftop bar . relax sure soak free wine head ! ! 
 Sep 5 2008 	 oasis calm big apple 	 Library hotel real oasis calm otherwise frenetic big city . locate close Grand central station ( include bus shuttle JFK ) handy subway , hotel great find . room individually design match different literary theme although room small ( New York ) , guest lounge rooftop bar good place chill relax . the staff faultless little touch like dvd library ( include 100 film set New York ) really nice touch . 
 Sep 4 2008 	 NYC good . 	 conscientious considerate staff Library Hotel make brief stay city great pleasure . arrive two hour schedule check - in time staff hurry arrange room . follow brief wait ( less 45 minute ) situate " upgrade " room – large reserve -at additional cost . even brief ( one night ) stay make use library sit area , business center , wine cheese hour rooftop bar . ' imagine anything could make stay enjoyable . wonderful staff set tone , beautiful accommodation quaint set convey mood , amenity complete package . ' wait return wife much long stay . I must say reluctant write review want little gem hotel remain secret . djm 
 Sep 3 2008 	 perfect ! 	 wonderful special hotel New York ! everything carefully study . the staff professional prepared requirement . simply perfect ! 
 Sep 2 2008 	 wonderful boutique hotel 	 Library Hotel 's location perfect -- short walk Grand Central Terminal , could take subway make connection . hotel easy walking distance many New York attraction . since travel alone , want hotel good , safe location . hotel 's proximity subway system , never take cab stay . able walk use subway get everywhere need go ( include many different area Manhattan , Bronx , Queens ) .I stay petite room , book 800.003 , poetry room ( have request ) . room comfortable quiet . enjoy return room night find turn - down service . hotel staff friendly accommodate . second floor lounge wonderful place sit read , food offer throughout day plentiful . breakfast , offering typically include several different cereal , egg , fruit , various type bagel , croissant , pastry , assorted muffin . beverage include coffee ( plain , espresso , cappucino ) , tea ( numerous type ) , milk , juice . throughout day ( include late night ) , one could enjoy cookie , pastry , coffee , tea , water , lemonade . evening , staff serve wine ( white , red , sparkling ) , assorted cheese , cracker , bread , mixed nut . Madison & amp ; Vine -- restaurant ground floor -- offer room service guest Library Hotel . I recommend hotel several friend since return New York . love small size hotel truly luxurious touch . since english teacher , regret time room read book poetry ! 
 Sep 2 2008 	 faboulous visit Library ! 	 completely agree comment make previous couple indeed excellent hotel . daughter stay five night , previously stay Casablanca Hotel two year ago ; good even well . location excellent , could not fault room , lovely quiet , fabulous roof terrace bar course find breakfast evening wine cheese good well . however , special mention must go staff ; Nick , Igor team , completely professional , courteous without gush nothing seem much trouble . fabulous time New York staff absolutely make much we , everything would expect Boutique Hotel . thank hope visit shortly . Kate Holly Stafford , Wiltshire , UK 
 Sep 1 2008 	 enjoy Library Hotel 	 second visit . great access Grand Central . staff courteous . breakfast buffet nice , like 14th Floor Bar Terrrace . will stay need area Manhatten . 
 Aug 31 2008 	 oasis calm ! 	 arrive hotel 9 a.m follow bad 24 hour ( cancel flight ! ) luggage miss ....... warmly welcome front desk staff . although far early able check room offer breakfast use hotel facility . also direct good place buy emergency clothing ! set tone two night stay ! staff could helpful . recommendation ' special ' restaurant spot ( include find later request ' booth ' ) . hotel everything many review say -and ! room 12th floor extremely quite ; clean comfortable . other state cheese wine offer evening wonderful touch set tone go dinner . the whole ' book theme ' make hotel special , unique contribute calm effect follow day walk around ny.a special comment need make personal approach Walter Nick humour openess make stay ny relax anticipate leave JFK morning . thank . 
 Aug 30 2008 	 wonderful Hotel NYC 	 book hotel site . staff nice helpful soon reserve room . every room name specific topic , inside find book ; asked & quot ; ancient history & quot ; room , reserve room . the reception doorbell staff helpful . the room clean well maintain , bathroom . inside room find complimentary bottle champagne , everyday 2 bottle water . the breakfast good complimentary ( common NYC , spend great amount money breakfast ) , afternoon tea wine / cheese evening . the rooftop bar simply great , staff wonderful ( great compliment girl ! ! ! ) .I will return hotel without doubt . Library Hotel make love New York . 
 Aug 29 2008 	 ! 	 husband celebrate 20th anniversary trip ny stay Library Hotel - love every minute ! complimentary bottle champagne await arrival , room , staff little extra ( turn service , wine & amp ; cheese afternoon , helpful concierge ) make memorable visit . would not hesitate recommend hotel - bed comfortable , breakfast great location perfect walk everywhere . can not wait visit ! 
 Aug 25 2008 	 Great Hotel ! ! ! 	 Library Hotel unique well worth explore . 's excellent location midtown Manhattan . staff respectful warm helpful . room comfortable nicely appoint . strongly advise check excellent website get feel concept hotel . could not please hotel offer . excellent place . ' m sure child welcome , however , hotel probably gear toward adult . 's small & quot ; boutique & quot ; hotel , like . sophisticated refined . cheap , nice place Manhatten ! highly recommend ! ! ! Randall & amp ; Deanie VincentWalker , Louisiana 
 Aug 25 2008 	 treat new york 	 stay hotel 4 day August 2008 . staff information / service provide superb . room ( junior suite ) great . location central . breakfast , snack , wine cheese , ask . pleased , think good value would go again / recommend . 
 Aug 24 2008 	 Spot service fab location great atmosphere 	 husband get engage Library Hotel roofop Poetry Garden couple year ago , boutique gem incredibly special we . recently return quick anniversary celebration happy experience charm amenity Library . reception / lobby staff incredibly accommodate , approachable gracious . often personally contact hotel ensure stay order ? hotel location fantastic ( weather permit , walk Bryant Park Grill outdoor lunch spin carousel ! ) adore Library uniqueness , character overall ambiance . be also great bottled water , good coffee hour , breakfast wine / cheese disposal . value excellent . not hesitate book . back ! 
 Aug 21 2008 	 Great Hotel shame staff 	 husband , daughter stay junior suite Library Hotel week long stay New York say nearly every service offer hotel second none- room clean turn service evening wonderfully luxurious touch ( little inconsiderate global environment ) . big let we , hate say , overall standard service offer main reception staff , could haughty even rude approach information advice . spoil otherwise great trip ! 
 Aug 15 2008 	 simply perfect ! 	 nothing negative say hotel . arrive quite late greate helpful frendly staff nice chill glass wine room . perfect start stay . breakfast , complimetary tea coffee wine cheese reading room lovely . bar balcony overlook NY library , Empire State bulide Chrysler beautiful , could spend hour ! also ideally locate explore New York without noisy . ok room may small hotel clean , beautifully decorate large enough comfortable . would stay ? without doubt . would reccommend friends family ? without moment hesitation ! 
 Aug 12 2008 	 Excellent Hotel could not imagine stay anywhere else . 	 husband stay Library Hotel late July first trip New York . perfect location explore city , close major site city . arrive 12 pm due delay flight 28hrs travel Australia fast , friendly effecient staff make check pleasure . we prepare shoe box size room , pleasantly suprise find room generious size plenty room two we plus 2 large suitcase carry luggage . bathroom beautiful , rest room . breakfast pleasure morning , great bagel coffee perfect way start day New York . breakfast room tranquil relax , day coffee snack keep we go . the free wireless broadband room also great extra . rooftop garden beautiful , great view city . this great place stay New York , could not ask anything . much look forward stay future 
 Aug 9 2008 	 LOVED EVERY PART HOTEL ! 	 wonderful time ! room awesome ! stay Love Room balcony . view beautiful . room relax escape crazy city . service great ! staff helpful friendly . different lounge area hotel decorate nicely . breakfast superb every morning ! honeymoon LOVED ! 
 Aug 5 2008 	 Library Hotel - hide gem ! 	 Library hotel ideal base holiday business traveller New York . centrally locate within walking distance ( short cab ride ) Manhattan 's attraction . the hotel , relatively small , homely atmosphere due friendly helpful staff ( librarian ) . peaceful continental breakfast , all - day coffee pastry evening cheese wine available wonderful retreat hectic life outside . ideally locate return occasion day refresh facing & quot ; life outside & quot ; again . by way plenty book read find time ! ! ! 
 Aug 4 2008 	 lovely staff -- noisy ! 	 staff Library Hotel could not nicer . breakfast room lovely food fresh . even elaborate espresso machine turn stellar coffee . every non - resting moment spend great . however , room noisy sleep distant dream . arrive -- late change room -- realize heating cool system fan rival stadium cheering . literally loud talk . try , abe , turn become hot ( August city ) , turn back , blast . furthermore , room book -- junior suite sixth floor -- corner two NYC 's busy street . room , unlike other stay city , seemingly barrier keep city sound . short , husband night . hate critical place hire lovely staff . however , ultimately we stay hotel sleep luxury , us sixth floor suite , reach . 
