Crowne 	 Amazing hotel . posh pricey wonderful place brilliant view times square . 
 great short break 	 hotel ideal position visit major shopping centre , view get soon go reception door Times Square . we arrive Thursday 5.45pm trouble book queue , book break use point upgrade onto conceige room , corner room view central park distance Times square also include free breakfast save time money use conceige lounge day . the bed extremely comfortable surrounding pleasant . staff efficient parcel deliver hotel arrive keep safe . I would hesitate recommend hotel visit Crowne Plaza would hotel choice . 
 great place 	 nothing complain . great location , friendly staff . nice clean modern room . fantastic 
 fabulous staff great hotel location 	 trip surprise husband birthday , come mixed group set couple , two family child . we arrive soggy Saturday half term , greet large check queue , diminshe swiftly efficient friendly staff .Although room not ready not deter we experience action 1st ever visit NY . go walk arrive back 3.00pm queue check horrific everybody want collect thi key etc . queue dissapate , whilst wait speak lady name Vicky husband priority point , able use surprise , soon see name recognise call make 2 month early ! ! ! ! great service skill , impress even , remember bday treat , good thing ever happen upgrade we King size room overlook Times square . WOWThe hotel comfortable poeple already express view internet charge , drink food , agree , ny .. visit deli etc splash out . all staff always courteuous , helpfull excel area , request room extra pillow etc , meet expectation . I problem return home card use twice bill , apoligetic swiftly refund , thing happen everybody human . to finalise love location hotel simply brilliant , thank Leo always smile nothing much trouble , Teresa sort payment Vicky thank .. asset crowne plaza . 
 Nov 5 2008 	 avoid Awful Hotel 	 hotel really nightmare . check , totally disappointed front desk service . hotel refurbish , DIDNT water one DAY . give we bottle evian water brush tooth . change room three time get decent one problem system . keep give room either service didn´t even bed ! Crazzy , awful experience call five STARS HOTEL isn´t even one star ! don´t go please , make wise decision money . & quot ; good & quot ; thing location - location - location , it´s first time manhattan , , you´d prefer go another neighbourhood . 
 Nov 3 2008 	 great location 	 worry service reading review , fine . book direct hotel confirmation letter state room 2 double bed ... exactly get . spacious comfortable . lovely bathroom . 26th floor . front entrance broadway still close renovation enter back either 48th 49th . cause issue however . staff helpful reasonably friendly . do not think get cheesy Florida - friendly anywhere NY anyway be not expect anymore get . location fantastic . 15yr old travel love excitement Times Square doorstep . plenty place eat within short walking distance hotel . would stay . 
 Oct 29 2008 	 good value Times Square 	 renovation complete inside , bar start operate middle Stay . Great Location tourism middle New york . stay concierge floor , honest could find difference . ( dedicated check , concierge , lounge .... ) maybe bathrobe extra lotion ! ! room nicely refurbinshe . water pressure disapointing . choose due great rate get ( 289usd ) , compare chain hotel area , Breakfast ( avarege ) include . overall , deliver expect . would stay price ! 
 Oct 28 2008 	 great family hotel ! 	 read number negative review site , bit worry priceline.com assign we Crowne Plaza Hotel Times Square . however , fantastic experience ! hotel clean , 15 year old son love center action Times Square . high -- 34th floor not bother city noise . find hotel room quiet , even though hotel busy . never hear noise thehall room . room large , plenty room king - size bed rollaway son , also regular room furniture , include chaise lounge , desk , chest drawer , include flat screen tv . bathroom plenty roomy , tub shower . bed especially comfortable plush top mattress . hotel staff unfailingly polite helpful . negative report . not try restaurant , eat go . would stay . 
 Oct 28 2008 	 stay Somewhere else 	 travel new york city atleast 3 - 4 time year bad service ever receive life . we check 10 minute check time ( usually be not big deal anywhere else ) tell we come back actually check time , problem . go check back 10 minute later tell room ready ask long tell & quot ; 5 min , 30 minute , 1 hour , do not know & quot ; nice answer ! ! decide leave bag bellman could walk around time square bit room finally ready . we finally get check , hour later , bag nowhere find . literally call front desk 4 time check bag . finally go downstairs angry service manager assure bag would soon . use walkie talkie bag 10 - 15 minute later already wait hour . elevator many angry guest well , one tell we book large suite way ahead time pre - pay could not get suite order U.N hotel giving room instead . room okay , comfy bed seem clean . 3 we stay one really think room decent . great location , probably one cheap hotel find nyc 3 star level . stay Sofitel & quot ; W & quot ; usually , decide would rather pay extra $ 200 night receive outstanding service amazing room . usually check front desk person ask stay case think know service ridiculous do not even bother ask . sad ask . 
 Oct 26 2008 	 Loved Crowne Plaza Times Square 	 return 5 night stay daughter honestly say not think could find well hotel . clearly hotel towards end modernisation process apart enter hotel rear ( still impressive entrance ! ) little evidence disruption . room spacious , extremely clean great facility . thought swimming pool fine - clearly market private health club guest facility - hey - go New York swim . location hotel could not well location . spend hour research go although see couple bad review hotel find evidence back . none hotel price range could match location , central everything well possible place stay . hotel nearby Marriott Marquis quick look round whilst not seem good . would thoroughly recommend would not hesitate go back . 
 Oct 23 2008 	 Nice Hotel 	 Regardless web site say , ' ve book room call ahead confirm ammenitie available . three night / four day stay . got great rate . room brand new ... clean , new carpet , new shower head , etc . lobby bar & amp ; restaurant yet open , enter garage facade still work , laundry service available time . the people nice , room clean ... think nice , mid - town hotel look action comfort soon . 
 Oct 21 2008 	 Great Stay / Great Staff 	 1st time stay NYC , hotel extremely clean ( even though go construction ) , extra friendly helpful staff . go back NYC November plan stay . 
 Oct 21 2008 	 fantastic 	 husband stay past weekend absolutely love . room recently renovate spacious . service great location perfect . not eat hotel can not comment 's food . would definately stay ! 
 Oct 20 2008 	 knight town . 	 affinity old lump , God know . ' stay many year room door would close , window would open , air con would work maximum , hot cold , ' step around stain carpet look though something live die leave rot year . now , old mistress reborn . recent ( ongoing ) renovation rejuvenate ' ready face 21st century . kingsize bed magnificent , décor contempory comfortable , WiFi work , ( post demonstrate ) view Manhattan 36th floor one good New York . true , reception staff greet though adversary medieval joust soon mellow compliment kind word . defend honour lady , , great unwashed , soon besmirch . 
 Oct 20 2008 	 Fantastic hotel location staff 	 hi , go NYC Sept year get marry stay . hotel construction upon enter little worried would find . absolutely fantastic , not worry work go . room give we view right onto Times Square first night stay hotel send complimentary bottle champagne cheeseboard , note say congratulation pende wedding . lovely touch . request big small staff hotel , whole experience we absolutely wonderful would recommend hotel anyone good stay . 
 Oct 17 2008 	 absolute crap 	 suppose 4star hotel . rubbish . website say & quot ; welcome flagship & quot ; . God help rest well . restaurant available breakfast bar relax cocktail . place go location . 
 Oct 17 2008 	 disappoint 	 choose hotel look long hard hotel family room facility applicable family travel child . Crowne Plaza boast family room 2 double bed also leisure club swimming pool sound perfect . call book stay , ask would like pay $ 170 extra room 42nd floor come access executive lounge free snack drink would available throughout day buffet breakfast would served morning . snap offer drink snack would ideal child look forward holiday . when arrive hotel , inform major re - fit underway executive lounge close , along bar , restaurant even toilet upper lounge bound unless attend conference hotel ! ! also pool available child anyone 18 yrs old explain we time book even though book department know child 's age . area hotel accessible us foyer , room breakfast room , morning . fight reduction nightly rate reflect feature withdraw also promise food basket arrive room consist 1 apple , 1 rotten slice apple , 1 tiny applie pie 1 small bottle water ..... 4 we ! ! room also bathe glorious sound workman drill first day stay , despite manager assure we work currently do ! ! restaurant open food drink order via room service hugely expensive even , take 2 visit bring correct order . ' m sure hotel fully re - fit re - opened , lovely unfortunately feel let hotel booking department use , fail inform we re - fit impact would stay . love NYC would ' ve enjoy even another hotel . use Crowne Plaza hotel . 
 Oct 15 2008 	 good hotel great location ! ! ! 	 Room clean big , good view ( 21st floor , corner - room ) .Staff ok , could little kind / friendly . first 2nights little cold keycard work two time ( go reception change ) .Good hotel , great location , maybe little bit expencive tought . 
 Oct 14 2008 	 staff rude poor service amenity 	 booking stay crown plaza check webside . say renovation complete end sept . sure , call hotel tell everything complete hotel minor work outside . everything fully operational . check , platinum member piority club normally get extra benefit upgrade exec floor complimentary breakfast . tell hotel recognise status upto individual hotel . could believe never problem anywhere else . ask see manager rude deny request.i also discover resaurant open dinner bar also close . tell wait liquor licence . complain front desk manager time agree give free breakfast . beg make feel bad . read review different website hotel rude staff . really could care less . would recommend stay hotel due attitude staff . 
 Oct 14 2008 	 pleasant stay 	 also worried read negative review already book two room via priceline 230 $ room . stay perfect , location great , hotel nicely renovate , bed comfortable . staff always friendly helpful . would return anytime . 
 Oct 13 2008 	 excellent location ! 	 one good feature hotel location . block many Broadway theater Time Square . room nice - ' ve stay lot hotel . clean comfortable . flat screen tv ( actually time watch tv fun stuff ny ) . array pillow bed vary firmness choose . nicely decorate room bathroom . night 's stay , hear street noise neighboring room . light bright busy street outside easily block darkout shade . stay ( Oct 1 2008 ) , entrance bit hard find , seem construction build main street . basically , look big Hershey 's sign / store , hotel right ( entrance around block , either way ) . lobby check second floor ( floor ground floor ) -- take escalator elevator . breakfast hotel extremely pricey ( not include room rate ) -- 's plenty breakfast option within walking distance ( be New York , ) . 
 Oct 12 2008 	 great place 	 room renovate clean crisp . front desk staff helpful adressing door lock suspect ( slightly ajar renovation ) billing change require office . therefore subject sight sound Times Square , need tune , even supply night mask , ear plugs , linen spray , etc . ( thoughtful touch ) . plan return wife pleasure trip . 
 Oct 9 2008 	 Superb Hotel 	 read quite negative review book hotel , worried visit go go . arrival friendly , polite swift . checking - in dream room perfect . only day one nice breakfast , offer extensive choice American Continental . the atmosphere relax . all staff , entrance lift waiter friendly polite . I would thoroughly recommend . 
 Oct 5 2008 	 Great value Great Room Great Location 	 stay write review October 2008.i book room Priceline $ 220 hard find kind quality room Manhattan $ 300 . feel treat differently hotel check - in .. many guest prepay third party . ask check - in King non - smoking got . check 5 pm Saturday night might expect busy latecomer try get Broadway get front desk 5 minute . I receive call front desk hour make sure room fine . excellent refurbish room live 4 star rating . lobby fully renovate except minor detail . room reportedly refinish . I would surprised pricing creep work way renovation reputation . 5 night save easy $ 1000 comparable room enough pay conference attend . even go attend conference solid room pricing go $ 400 + Manhattan . the slight negative place reflect young family nature time Square quiet business trip ... minor annoyance ( bang door , hall congregating , push elevator button wait still wait , etc . ) great value overall . I think negative slight annoyance $ 400 + room expect experience live $ 400 anywhere else ... lifetime kind room . welcome NY baby ! : 
 oct 4 2008 	 Avoid cost 	 stay two week business , bad . upon arrival take 45 minute check - in , get room clean . wait another 30 minute room clean . front counter staff rude people ever , include management . pay full price , get less half service . elevator slow wait forever . wireless internet $ 20 day slow dial - up connection . go check - out 6:00 a.m. three rep behind counter three make wait busy hotel paperwork . not normally write review hotel bad . believe get away poor service . take money act like bother problem . hotel counter staff nasty rude really care . People constantly complain front desk . internal phone room work . stay away ! ! ! 
 Oct 4 2008 	 make Feel like Cattle 	 city offer fine hotel , service , hospitality world , be simply excuse bad experience Crowne Plaza . web site call hotel & quot ; jewel crown . & quot ; well good , be pretty sad . three night , four day stay continuously disappoint , begin fact front hotel construction taxi circle three four time try find could not even put proper sign front . experience ensure never stay again.1 . two occasion need visit front desk ( something try good avoid ) , meet unsmile staff member clearly make effort go way hospitable helpful . basic level service industry courtesy seem much effort them.2 . add unpleasantness front desk experience , lobby area sectioned system allow people stand line serve . everyone stand big mess compete one another attention next desk clerk . 's uncomfortable wait long . staff avoid make eye contact look type something be important * * not deal next customer.3 . even call room get help something ( like fact need password get internet 's one word instruction hotel desk ) , be impossible get front desk phone . call numerous time , would ring ring . even trouble get room service pick ! 4 . hotel business center , make fax , wait 15 minute front desk & quot ; non - line & quot ; finally force desk clerk get attention , reliant unhelpful people . course , not go not care , go use kinko 's . 4 . husband awake 6 am first morning stay ( way work conference ) hot water . blame construction apparently go 6 month ! 5 . 's hard get taxi front . bell hop often miss go need flag cab . 's basic service NYC hotel , nevermind one caliber price . 6 . beautiful open lounge area lobby be rope one allow sit see . sad ? really , say feel unspecial , like cattle , stay . one person smile courteous would not write negative review . ' m pretty forgiving not require much attention . hotel simply definition poor , apathetic service . 
 Sep 30 2008 	 big mess 	 spend 4 day , bad experience ever ! ! almost one hour check inbreakfast take long every day buy package ask storage , package get lose ! ! ! write email ask package cause someone sign nobody answer . 
 Sep 24 2008 	 great view 	 enjoy great view Times Square Empire State Building tastefully decorate corner room 32nd floor . wonderful experience really mar ongoing reconstruction work non - existent lobby . 
 Sep 22 2008 	 Rude Nasty Atmosphere 	 call hotel prior reserving room want sure would get Concierge Level corner room advertise online . tell could reserve room check time 3pm . get 3pm wait long line tell room not ready guarantee would get corner room . ask speak manager tell we thing . apology , eye contact . tell we would prove supposed get corner room , confirmation email confirmation number ; room detail . wait family hour half non corner room . ask manager pool say lap pool child allow . say fitness room would pay $ 15 per day . security person stand elevator inform we move quickly want catch elevator . apparently kid door close quickly open miss first one . see elderly man almost fall try get elevator . assign elevator family member stand front would miss elevator again . when get room luggage wait another half hour . thought would read , lamp break . thought would shower , one robe suppose one . report broken lamp lack robe . never come fix lamp take long time bring robe . apology staff . we go breakfast suppose include package , go back rude nasty front desk get & quot ; voucher . & quot ; morning want eat breakfast . also , free parking include plan one tell we process need voucher front desk . get back sporting event security man elevator rude we say , & quot ; show key card . & quot ; never say please unfriendly . finally get room want order room service learn menu hotel service book room . call room service tell look hard . room , ask pizza , cheese burger , one beer , one water glass milk . deliver one napkin , one set silverware one saucer plate . charge $ 75 . use hand towel bathroom plate / napkin . we glad use security lock bedroom maid try barge without even knock . apology . also receive turn service promise . when get buffet restaurant breakfast next morning employee dress suit stand behind host desk complain customer another customer state , & quot ; loud demand italian man & quot ; awaken early want well service . not know ' m guess & quot ; italian man & quot ; vacation get want employee want . waiter restaurant nice employee Crowne Plaza staff . apologize less adequate service ( knife table napkin ) dirty coffee cup table . when go check , man front desk try take credit card payment without ever show we bill . check bill notice extra charge parking suppose include plan . tell remove charge . apology . I ask restaurant staff new management stay three year ago great experience , never return . spend $ 1000 awful two night stay . would treat well stay Holiday Inn . want experience boy get one ! exception two waiter restaurant every employee rude nasty . even employee walk hall would yield guest . guest beware ! 
 Sep 22 2008 	 utterly Incompetent 	 arrive late town ( 11:30 pm ) not think have problem guarantee reservation call alert front desk would arrive late . & quot ; Jaime & quot ; tell worry -- room would hold . upon arrive , crowd people lobby wait room , oversell . offer put rollaway conference room ( $ 450 night ! ) . make clear would give room pay confirm , 20 minute heated argument ( want get town important meeting next morning ) , relent give room . think front desk staff may kill mob lobby give room people look like wait hour . problem not end . lose key , schleppe back get new one . back , new one not work . back , 15 minute desk staff look confused , finally & quot ; key machine break . & quot ; really ? can not make key ? sorry , think hotel . silly . say would send security & quot ; right away & quot ; let . 30 minute later ( already go elevator 15 minute total 45 minute ) , let . late work . first problem , could let pass , previous stay , overcharged , noisy room ' ever hear , move promise would , wait 45 minute line check , give key room already family . although close office , never go back . 
 Sep 17 2008 	 Crowne Plaza 's good 	 return trip NYC . 3 night cost issue , stay 3 hotel , bid Priceline . third Crowne Plaza Broadway . $ 255 . definitely top - of - the - line luxury hotel . front desk staff friendly , helpful able accommodate special request . room clean , spacious comfortable well decorate . hotel great location , Broadway , close subway , walk distance Rockefeller Center . change hotel frequently , need ask hotel store luggage . bell staff Crowne exceptionally helpful say might difficult get luggage mid - afternoon , quick get mid - afternoon nice , joke around help manage get need . time stay hotel bit construction . Broadway entrance close , not bother we . bar also close , next door bar go nightcap . additionally , ' never see hotel careful security . night , door elevator , need show room keycard security guard gain entrance . 
 Sep 15 2008 	 Stolen Bags Bellman ! give $ 100 	 travel often business never experience terrible customer service like ! room not ready check bag porter like always . return meeting could find luggage . secutity director say would review taple . next morning bag still locate advise shop need would reimburse . bottom line 60 day recieve form resolution . persistent followup insurance company hotel finally result advise NYC limit $ 100 event lose bag . $ 5000 worth item luggage well item purchase result incompetence recourse take court . also contact attorney General well CEO Crowne Plaza ! stay Crown Plaza NYC please leave bag bagman ! ! ! ! ! ! 
 Sep 13 2008 	 Best Trip ever ! 	 stay five night love . arrive great look hotel position right heart times square . lobby rennovation however every thing ele complete . incude new renovated room . we book double bed room give King size corner room breathtaking view . room really good size nice place come every exhaust fun day . clean every time leave room . I polite staff polite that s work , helpfull smile even though arrive midnight . ordeded room service could ask .. lovely food service excellent . location .. location ... location ... perfect location ... want broadway times square .. book hotel ... tie want get bed ... look always find Crown plaza ... review excellent hotel .. excellent location .. great room great service ... remember people polite staff would expect staff polite , even though would try ... help help .. great service experience ... small renovation lobby aware anyway .. do not effect we one little bit once last little bit renovation complete hoel get well .. 
 Sep 7 2008 	 never return hotel 	 12th visit New York UK every time like stay new Hotel . never experience bad service hotel one . trip take mother . arrive hotel & quot ; mentioned & quot ; renovation work do Lobby lift . noise drilling tell upgrade well room . thanking go nice , small corner room one double bed . go explain mother double bed question , surly , miserable unhelpful receptionist ( would call professional , would could call surly ) explain although 2 pm , nothing could refuse change room . even room originally book . sigh breath shrugged shoulder infurate . speak sweat manager promise rollaway bed would deliver . two hour later - rollaway bed . another trip reception . & quot ; way ! & quot ; . return Dinner - still rollaway bed ! many trip hour reception right Midnight - rollaway bed ever deliver . receptionist Manager well train fob people . appear run around circle , unable cope . regular trip reception many other seem experience similar problem - & quot ; room 's ready yet - come back hour & quot ; seem catchphrase . there many Hotels New York anyone would MAD choose one . want take chance - guest ! never thankful holiday finish . 
 Sep 1 2008 	 not go Pool 	 kid need pool , NYC severely limit -- & gt ; 10 hotel city they . the Crowne Plaza one available ( within reasonable price $ 370 / night ) 2 double bed pool . what can not find anywhere pool lap pool 's really part health club . part actually know deal breaker want we wear swim cap , have happy sell we $ 3 piece . now , play pool 9 7 year old wear swim cap old people swimming lap not mind . otherwise , hotel OK . stay Le Parker Merdien last year . pool fun , want $ 600 / night year . 
 Aug 31 2008 	 miserable staff 	 wife , 6 year old son stay two night August , way back UK spending two week Florida . whilst Florida stay Crowne Plaza two Holiday Inns experience polite , pleasent help staff - not case New York . when check lady reception must gotten bed wrong side everything much ask . get room fine nothing special thought would check room directory could not grumpy reception staff . problem not one due construction work carry ! ! breakfast hotel first morning want breakfast cereal toast cause sort problem staff . rather allow we get staff take nearly 30 minute . charge sum $ 40 , kid eat free Crowne Plaza ! ' m sure must hope people use room service look price . I ' m platinum level Priority card holder stay chain hotel quite lot never meet unhelpful staff , seem give blame everything reconstruction . my advice people think stay pay $ 400 per night book somewhere else least work complete , location good 's hotel close ' m sure lot cheap . my advise Management would send staff Florida hopefully might learnt pleasant customer ! 
 Aug 29 2008 	 newly renovate room . lobby still renovation 	 look place sleep hotel nice . room newly renovate nice clean good size . lobby still construction not anyone talk help . also resturant lounge hotel time , think 's plan part renovation . good location look hang around time square . 
 Aug 19 2008 	 never come back 	 come NYC family weekend see Yankees play enjoy dine NYC . son book room hotel use Orbitz ; reservation book reservation use hotel 's website . request room two double beds.1 ) hotel undergo major renovation . tell , loud construction activity 7:15 p.m. Friday . dining room bar ; room service limited breakfast seating.2 ) apparently overbooke double / double room type . finally offer king rollaway 6 1/2 hour arrive Friday . took three request rollaway bring room ; finally arrive 11:45 p.m.3 ) tell MOD would free internet service ; web site indicate pay internet service . could access service without agree pay it.4 ) reservation price include parking . check , tell need give parking garage hotel voucher parking ( $ 78 ) . return hotel get voucher.5 ) line staff ( housekeeper , bell staff ) courteous , friendly responsive . Front Desk concierge unresponsive , evasive problem room , drop ball rollaway twice . luggage stay cart lobby almost 4 hour regain control . general impression - guest bother.6 ) MOD finally get we room helpful , not follow internet service offer accommodation wait 6 1/2 hrs room offer alternative.7 ) two night cost $ 832 . location convenient , lack training , limited service mentality , totally uncare front desk staff manager make overpriced regardless convenience . family never return think twice book Crowne Plaza hotel . 
 Jul 30 2008 	 great hotel great location 	 stay lot hotel New York find good . arrive 9.30 morning expect tell come back later check , room ready we , much appreciated . room modern , comfy quiet .. staff friendly helpful , doorman cleaner , everybody say hello , unusual hotel make we feel like not another guest . the location hotel great right heart times square , close theatre 's , restaurant shop . go back hotel would recommend other . 
 Jul 24 2008 	 ok pricy 	 great hotel . bad thing : - check - in nightmare . arrive noon . told come back hour . lunch return around 3 pm . still ready . & quot ; another hour so . & quot ; go buy show ticket return couple hour later . still nothing . & quot ; another 45 minute hour . & quot ; time 's 6 pm show start 8 pm . room finally ready 7:50pm leave time get clean dressed . frustrating lead along like . stand line 4th 5th time , notice tell everybody pretty much thing . - Renovations hopefully improve thing , meantime , not plan sleeping be work floor . - real lobby kind place relax , be either room , Times Square . - need corkscrew room . room service happy bring one - $ 5 charge . Kinda chintzy IMHO . - hotel 's right Times Square probably bad place stay New York term crowd tourist . good thing : - new room nice . - Hotel 's close theatre 's be town . 
 Jul 23 2008 	 ask corner room ! 	 stay hotel several time year attend annual conference New York . although might think price range personally , conference hotel reasonable . location great : right Times Square , block several Broadway theater , several subway line , etc . although lobby busy day , nicely appoint staff always helpful prompt service . high floor , street noise barely noticeable . one visit get corner room view two direction , give amazing panoramic view across Manhattan surround area . 
 Jul 22 2008 	 dirty well use room 	 pretty disappointed stay hotel . cost room , expect . soon walk , notice food stain white bedspread , wrinkle pretty dirty carpet , random hair place . appear vacuum recently find & amp ; coin floor . furniture wear spot well hotel directory mentioning amenity , place eat , etc . also , could get internet work despite call Information Tech . talk 10 minute . notice renovation sign somewhere lobby hopefully redo room . would not stay unless room redone . 
 Jul 18 2008 	 complete renovation -- avoid complete ! 	 stay 4 night business happy not fork money stay . entire hotel renovation complete pain even get lobby ( back matter ) . one eleveator work main floor 2nd temporary lobby , make long wait try get hotel , particularly rush period . room large size NYC standard , nice , bed comfortable , could not get past construction , esp . $ 600/ night RIDICULOUS get . bad drilling would wake 7 am floor . not stay renovation complete . location nice ( Times Square thing ) place go right . 
 Jul 4 2008 	 unfortunately ... disappointing ! 	 positive note , check - in check - out fast easy . furnishing room nice , bed extremely comfortable . great lighting bathroom room . room quite spacious , good - sized closet well . adequate hot water excellent water pressure 4 adult show hour . although hotel renovation , still general feel good quality luxury . family feel safe ' at home ' . unfortunately , service resolution issue standard . I stay many ' InterContinental Hotels Group ' hotel ( include Crowne Plaza 's many Holiday Inn 's ) , graciously grow expect fairly high level service quality / luxury . also grow expect aspect room / overall stay order ... issue , deal swiftly professionally . case hotel . surprisingly , none staff pleasant professional , overly helpful . issue bring staff 's attention resolve , eventhough pleasant courteous make light issue . issue : hotel directory room , phone make outgoing call , coffee maker break , club amenity deliver , enough towel , people beside we fairly loud . issue rather surprising , give quality luxury Crowne Plaza hotel ' ve stay city . I absolutely feel receive good value money pay . pay executive room .... expect 46th floor , view Broadway , upgrade amenity , club lounge , etc . place regular room , 5 floor issue ( mention ) .conveniently staff management , comment card available upon request , nobody available hear feedback . up stay , always extremely impressed IHG hotel ... especially Crowne Plaza 's . always proudly give positive feedback praise deserve . base stay , recommend hotel anyone know . would , however , highly recommend Holiday Inn Fifth Avenue ( close ) . might give hotel second chance future , anytime soon . I genuinely hate say family quite displeased stay overall , service receive . : ( 
 Jun 24 2008 	 fab hotel 	 ( mother , daughter , sister law ) return crowne plaza , moment undergo ( word ) reinvention . what fab hotel , moment restaurant bar renew , know go , 2 new room ( think finish sure ) fantantic , downside get lift lobby first floor another room ( change work finish ) times long delay get first floor . the hotel right middle times square , room hear anything include guest staff excellent polite , already look return new york book crowne plaza time rest work finish . 
 Jun 24 2008 	 bad PLACE EVER 	 Bed bug , dirty glass , rude management .... need say ? ? travel business quite often , ' ve stay Super 8 's Four Seasons ( depend pay bill ) . case , would happy Super 8 - least not spend $ 300 per night room running WATER ! stay away want good value ! ! 
 Jun 23 2008 	 mess reservation 	 spite fact book August , hotel manage mess reservation Christmas 2007 . arrive late flight , warn phone twice previous two week , find room available . book twin room give small double room cot . next day move we twin room superior room originally book . the staff hotel , however , wonderful - blame InterContinental admin screw up . I write letter complaint IC , never get reply . it also disappointing note vegetarian meal restaurant Christmas Eve . 
 Jun 22 2008 	 stay nightmare ! ! 	 stay Crowne Plaza nothing less nightmare . stay 4 nights/5 day seem long . checking , think , , bad decision time know well . little know bad still come . flight evening check do noon . think make use time went shop . luggage laptop check hotel baggage area much assurance secure . return , hand luggage laptop miss ! ! look everywhere locker area be not . security manager call disbelief do not much say . little time hand , relunctantly file write complaint hotel take flight back home . month nothing do lose laptop . hotel do not know go miss still do not claim loss . sincere advice fellow traveller , much possible avoid stay reckless hotel . 
 Jun 22 2008 	 okay location ! 	 stay hotel within NYC decide try Crown Plaza . 1 reason due take 5 people find nice hotel fit 2 room . assure renovation would affect stay . early request checkin wait room available . nice call cell available . stay 34 36 floor room . boast pool fitness center spark son 's interest . run get swim suite night . get back tell rent swim cap towel ! price room offer . my wife want coffee front desk say would send . get ground make coffee okay coffee pot either room . luckily starbuck close . overall room sleep nice 8 am next morning renovation proceed ! think sleep well eithr floor , hear jack hammer wake . check go way ! hotel like overall far Sofitel ! two block away , 4 star rating cheap hotel ! 
 Jun 22 2008 	 still bed bug problem 	 stay hotel 5 day notice numerous itchy red welt 3rd day . think nothing , continue stay hotel last night see bug crawl comforter wake morning . strongly urge stay hotel well reputation , hotel obviously take problem seriously . talk much create program ensure guest sleep well , yet not take care big pr nightmare 2 year dateline story . 
 Jun 18 2008 	 could not get right 	 stay hotel last year GREAT experience . decide stay . unfortunately , experience not even close one 2007.I get early tell could not get room want around 3 pm keep check back see room ready . around 1:30 check back tell different person room might ready much later take different room . , decide take offer go room , room clean go back front desk . time , give another room right front elevator refuse finally take another room , nice update . try cash check credit card back say not cash check traveler check . get last day , find around 10 bite body . time wear whole experience call front desk tell leave . ask experience , tell bite talk Front Desk Manager say would get back check room . call return home leave message follow yet return call . the hotel renovation issue improve renovation complete . staff friendly accommodating . can not decide return . 
 Jun 13 2008 	 inadvisable 	 spend five night Crowne Plaza . hotel currently renovation everything provisional lobby dining room . renovation work start 08.00 . spend day room impossible except wear ear muff ! incredible noise late afternoon . Bar 's , restaurant close November . lobby accessible via management company always take elevator show security room key , cumbrous . we pay around 700 $ room old , minibar , small cabinet bathroom scruffy . houskeepe lousy , bath never really clean . Marks parent guest still visible toilet ! ? ! good thing hotel locate really close Time Square , view 24th floor nice staff helpful friendly overall would recommend stay renovation . 
 Jun 13 2008 	 Comfort Convenience 	 's tip : ask renovated room . 's , not disappointed . four night , family stay double / double corner room 36th floor afford we view Times Square , Empire State Building Rockefeller Center . love contemporary feel renovated room new color palette consist blue , brown gray fresh calm long day explore New York . ' ve got try really comfortable bed plush duvet . noise - room generally quiet time could hear police siren street ... biggie , though . hotel currently undergo renovation , could hear drill daytime - a / C , negligible . notice though noise apparent bathroom . since day , not hear much , thankfully . we 32 & quot ; LCD tv snow issue Crowne Plaza maintenance guy try fix . loose cable back make channel snowy channel fine . tv not completely fix manage live anyhow . room not coffeemaker microwave oven request mini fridge promptly bring one . also , steam iron ironing board room , clock radio hairdryer . lamp fascinating - one extra outlet could plug charge cellphone conveniently . the bathroom clean bright . love faucet ! problem water pressure hot water . shower great , . one pet peeve though rack toiletry . pain keep little toiletry bottle stand it . also , prepare annoyed navigating & quot ; two lobby & quot ; . hotel main entrance get main lobby go one floor via elevator . take another elevator get room . sort tedious time , guess security check main entrance alright safety practical reason . all say staff amazing . helpful accommodate try make sure need meet . get really early check bag ask porter good breakfast place 's close . recommend Ellen 's Stardust Diner whole family enjoy listening singing waiter . also call Guest Services couple time ask business center ( close renovation ) vend machine ( unavailable due renovation ) always suggestion offer . housekeeping also friendly efficient . last day , hotel also gladly keep bag we check out . for first time NY tourist , think Crowne Plaza ideal place stay . parent really happy location . block away tour bus stop subway station . 's short walk Times Square , close restaurant , delis , grocery store ( recommend Food Emporium 8th 49th belly Delly Deli next Duane Reade cheap , hot meal ) . wish room equip amenity like small appliance since relatively long stay hotel . however , rate get room newness location , be satisfied always remember stay Crowne Plaza Manhattan . 
 Jun 12 2008 	 friendly staff problem renovation 	 happy stay- lot problem due renovation , friendly staff . take several call room madeby 7 p.m. ( ! ) room somewhat small & quot ; busy & quot ; .Despite great location stay away hotel . Alex 
 Jun 6 2008 	 absolutely appalling ! 	 spend long time select consider , judge web - site image , top class hotel facility site , wish use . wrong ! hotel process major renovation , mean dining , bar & amp ; lounge facility not available . hotel ( time stay , 11th - 18th May ) shutter . workman close proximity room , drilling , power chiselling & amp ; hammer 7:15 ' til 5:30 pm , several day . lift ( Err , elevator ) seem constant use throughout night ( room incorporate lift shaft wall ) & amp ; use restrict workman use , mean access & amp ; room take lot wait around . take good book , ear plug , well still , stay away ! thing good Crowne Plaza Times Square immediate access Times Square . , forget plenty Hotels similar access ( experience , quick glance lobby door ) . porter plead we come back future , say go wonderful work complete . , know say first impression & amp ; experience , not want another . 
