check 	 not actually stay night clift ' ve many business meeting Red Room . service always excellent & amp ; love decor ! 
 Nov 2 2007 	 rude wannabee ! ! ! 	 not waste time go Cliff Hotel ! go anniversary walk disbelief ! fill many wannabe , actually make laugh . staff , customer , everyone ... think someone special . try walk amongst crowd , stand stiff give hard time scoot through . then shocker ... want take photo Red Room ( bar area ) hostess tell husband take photo . ask hostess said & quot ; respect celebrity guest . & quot ; although , tell we could take picture . guess ... be exactly . husband say & quot ; right , go stand will take photo you . & quot ; , switch place LENS ( ha ) take photo . hostess , obviously little upset able get around stupid rule photo , get phone say something either manager know . take photo , husband ask hostess & quot ; celebrity be try respect privacy ? & quot ; honest respond & quot ; one . & quot ; , husband respond & quot ; well think eager take photo wannabe customer , please ... & quot ; start walk finish overprice drink lobby . do drink , sip leave . low behold , approach staff member saying & quot ; drink lobby ! & quot ; quick response & quot ; uh , empty . & quot ; husband 's response & quot ; yeah empty , want we carry back ? & quot ; ha , not like response much . my husband Dallas , see way celebrity , much well boutique hotel top notch customer truly & quot ; & quot ; someone . even finish drink hotel lobby would like . , not waste time go Wannabe Hotel ... a.k.a . Cliff . will stand look around customer ask & quot ; dress way ( fashion go really really bad ) . & quot ; , wait Ashton Kutcher walk say & quot ; okay ' ve punke , & quot ; hotel scene one big joke ! remember get around take photo stupid place will not let . straight hostess mouth : take photo ! welcome ! 
 Oct 21 2007 	 cool chic miss little something 	 stay Clift hotel end road trip around California . arrival greet friendly door staff competent reception . walk lobby hotel impressive give impression chic trendy hotel . we stay delux room 6th floor hotel . give we slightly large room storage space standard room . room self nicely design comfortable bed . however let self final touch tv cabinet do not fit style tiny t.v , bedside table also little worn . hotel self minute walk union square excellent location . note previous post people feel unsafe area , say never problem ever . the hotel bar appear popular busy weekend also quite pricey ! however cool place get drink go out . be warn may show room card gain entry hotel night appear quite strict . could seperate guest entry . overall hotel would suit people enjoy stay modern contemporary hotel , however time feel style place substance . 
 Oct 20 2007 	 simply love Clift ! 	 ever spend time San Francisco , stay clift . besides fact Hotel right center everything ( union square ) , service amenity simply great . boyfriend stay two night overwhelmed special style Hotel . the room comfortably furnish ( LOVED bed .. ) clean . be lucky like we , get room one upper floor room big . make sure stay next elevator , be bit noisy . service also perfect . people front desk friendly helpful , natural way . help everything whenever . simply feel welcome , good feeling . please make sure dinner Asia de Cuba . dinner tasty creative , real fusion , also light cuisine . 's bit pricy be definitely worth make stay clift complete . all say really sad leave San Francisco , like San Francisco , also love Clift ! ! hope go soon possible . 
 Oct 10 2007 	 sleek stylish hotel 	 friend book we Clift night surprise . treat ! swish stylish hotel , design Phillip Starck . room small suite ; calm , modern comfortable design . nice luxury like cd player , huge tv thick lustrous curtain . Designwise , downstairs exciting . wood panel Redwood Bar ground floor amazing , make ( believe ) single tree dark atmospheric . fact , darkness seem design theme running area corridor . bar , dispense excellent pricey cocktail , light art wall cool contemporary - video screen visit show photographic portrait watch closely would see move then . it be pricey place though , ' m sure extra money really buy anything nice design . Breakfast not include , gym spa use . 
 oct 9 2007 	 absolute must ! ! 	 husband stay honestly say good hotel experience ever ( stay fair ! ) service fantastic- staff enough help really go way make stay special . we book delux room get upgrade suite amazing- huge beautiful throughout comfortable bed . bathroom huge slightly negative thing could say , push ! whole hotel immaculate inside- beautifully do Redwood Room ( bar ) definitely must . please read stay ! ! ! 
 Oct 8 2007 	 Untraditional Hotel 	 return trip SF stay Clift . reason , difficult get hotels union square area , know close neighborhood one another , not want stuck area could not walk around . premise stay area easily walk neighborhood get around easily . see end review ... , pro conspros : close theatre , chinatown , within walk distance trolley bus wharf , north beach , telegraph hill , etc . People nice - experience snooty . concierge front desk arrange rental car leave area drive coast , restaurant recommendation , etc . bartender friendly server friendly receive fast service bar eat . bar trendy , great people watch - great place many trendie go . 20 - 30 something love place . very unique experience - hotel alike many way ; hotel truly stand unique . business center cost 6.95 use internet 15 minute ; be cool area lot plasma tv . good workout area . con : room detail list reviewer ' m agreement ; coffee maker water room silly - none even lobby . nowhere put stuff ! shelf bathroom workable , really much room move . nowhere put stuff - extend stay , crowded drawer . for mature traveler , business traveler , may different - trendiness versus value overall will not win . for money , value not . additional : theatre district , district within block - easy get around . really want walk versus take cab central area theatre , financial , shopping , chinatown ... lot traffic like many downtown area . very casual everyplace - dress , mostly casual . 
 Oct 8 2007 	 uber chic ? 	 hotel chic hurt bar area seem packed everynight local seem spend money bar / night club area receptionst freindly mess reservation completely . hotel fairly central next two theatre cause problem get back hotel time wrong . room basic little touch ( coffee maker , water etc ) 3 night stay choclotes pillow . ok stay would not stay fair nice hotel available money 
 Sep 23 2007 	 great expensive 	 hotel look like club come . reception lobby area dark decorate lot wood concrete ( good way ) . hallway 's purple elevator different colour 's constant funky music reception , lobby , even elevator . the room small decorate big mirror front behind bed . colour use interesting well partialy purple wall furniture orange cubic bed stand . personally not like . bathroom really small . closet doorhole shelf somekind small trendy drawer . functional . the Bar decorate completly wood really nice . especially live portrait . want sit 's go cost pricy bottle liquer need reserve . the restaurant look nice offer pricy fushion food suppose share amongst able . food good service . wait time long well . another interesting feature week - end transformation . bar one town 's hotspot people stand line get . doorman change bouncer forget roomkey hard time get . not use valet parking . 's number public parking place nearby much cheap . good thing clift location , everything else overrate . 
 Sep 19 2007 	 avoid Clift Hotel 	 Clift Hotel bad place stay San Francisco . - arrive 8 pm stand line get question doorman / bouncer . trendy restaurant bar flow Hotel Lobby understand ; cool finish day meeting . stay unless party feel make across street nearby hotels.- Washroom super small . toilet mirror drain work well.- want watch little tv bed ? bring binocular in - room 19inch tube tv ! fancy soap , nice sheet , paper thin wall ; expect hear neighbor . 
 Sep 15 2007 	 Incongruent design 	 Clift market 4 - star boutique hotel downtown SF . indeed downtown hallmark funky boutique hotel , 4 - star ? absolutely not . the lobby darkly decorate rich wood , huge ( mean huge ) sit chair - think need small ladder get seat - lot couch friendly staff , doorman arrive 5:30 pm Friday night . as check , offer bellman get bag room enter elevator , like twilight zone . first elevator rode mirror inside red mirror . dizzying , opinion , especially step elevator floor vague lavender colour . elevator blue mirror green mirror . Oy . our room lovely corner room , small , mindful fact old hotel property ( think originally Four Seasons hotel ) room grand era much small today . furniture blond wood modern someone see fit paint flourescent coral color underneath furniture give & quot ; glow & quot ; . well good , except paint peel off . the bathroom fully mirror ( regular plain mirror rather color mirror elevator , thank God ! ) give nice bright feel . provide toiletry fabulous - basil lemon ( think ! ) bar soap cool plastic case , shower gel , on . we go dinner show Mission District return hotel midnight , doorman finally appear not going let we without key , even though super - pack bar scene happen right beyond lobby . guess Mission District casual outfits would not pass muster bar let produce room key . check quick painless , weird charge dispute , , friendly staff counter . overall , definitely three - star one way come close four - star market . 
 Sep 11 2007 	 fur knicker 	 final leg honeymoon decide stay Clift San Francisco . expect chi - chi designer hotel certainly lobby / reception area impressive ( also dark ) . arrival receptionist precise quick , less hospitable hotel would stay sure . we get room see expect . small city centre hotel tiny bathroom . however make we slightly sad tiredness room . certainly touch since conversation Starck Shrager . minimalist letter , frill associate 5 * hotel . everything pay . tv let ( sad know comment ) . old school Philips 20inch tv - probably age hotel . good quality hotel - particularly consider 5 * boutique would plasma ' box ' console ( also contain mini - bar ) .The bathroom obviously original clift accept although chic bowl stand table not fit vintage bath , tile toilet fixture . seem lot laziness term try finish job off . linen soft comfortable towel appalling . pulled thread wear place . would expect . staff reasonably polite helpful ( although not clear operating concierge not ask first ) .Asia de Cuba success , although informed portion large recommend choose one appetiser one entree . problem eat meat / fish not meat eater could get leave . good bet order 2/3 appetiser instead . carrot cake amazing also enough 3 people ! ! meal include two glass wine plus water coffee $ 168.00 not bad compare UK price . choose wisely .. Redwood Room avoid Friday Saturday due number people ( mainly external believe ) . think hotel let guest , not provide private resident bar consider status price . overall okay worth visit . ' ve stay hotel Europe also Bellagio Loews . clift need revisit guest experience opinion . 
 Sep 6 2007 	 Cool hotel great location 	 Stayed Clift girlfriend weekend getaway ... speedy nice front check experience . doorman also great get we car service quickly . we stay 14th floor- quiet room decent view . think room decoration simple clean . the decor front lobby cool funky . also come back late one evening hang pack bar- Redwood Room . table service waitress bit snooty- not care . overall , bar quite trendy fun prepare drop buck drink .... try lavendar lemondrop martini ... 's good stuff . I would stay recommend friend want stay busy trendy spot city getaway . minute walk Union Square , good restaurant ton shopping nearby . 
 Sep 4 2007 	 horrible experience Rude Staff worth .... 	 first experience use travelocity decide take chance book little getaway Labor Day weekend . since use live SF travel quite frequently work , quite familiar city know would want stay union square ( boyfriend never good & quot ; touristy & quot ; spot ) . usually prefer stay Sir Francis Drake Westin St. Francis overbooke . leave Clift Hotel Nikko . definiately make wrong choice even though hear good thing lounge restaurant . since stay Morgan ( NYC ) several time assume would pleasant experience LOVE Asia de Cuba NYC . wrong ! arrive Clift , doorman even open door even aknowledge pressence . check - in smooth girl certainly rush we annoy question . original plan spend first night dinner Asia De Cuba start early evening cocktail Redwood Room . BIG MISTAKE . upon check - in ask need reservation Redwood Room . girl give we & quot ; preferred customer & quot ; card sort explain would get we right problem . approach hostess 730 pm . couple guy front we hostess assisting . patiently wait , large group come behind we . matron group approach hostess - cut front everyone else interrupt conversation hostess 2 guy . rather tell RUDE woman go stand line actually assist ! guy front we look apalle infuriated . finally turn ( like matter hostess ) rudely tell we could not come without reservation . say people arrive 9 pm . explain want one pre - dinner cocktail . point get even rude . point decide place want spend money anyways . obviously do not care actual guest ! scene horrible anyways . do not think patron age 65 entire bar .... much & quot ; hip & quot ; bar scene . try complain manager busy personal conversation one doorman . decide money well spend elsewhere opt dinner hotel . lovely meal Marina district go drink Matrix patronage appreciate drink accompany side rudeness . might also point martinis $ 8 matrix oppose overprice drink Redwood Room serve along snooty attitude . LA stranger attitude plain RUDE . aside horrible experience first night , hotel lobby quite nice . room small somewhat dirty . bathroom appalling - dirty towel , fan do not work , standing room . final day , anger night one wear slightly ( probably spend little time hotel possible ) . pack stuff relax morning shopping . day , housekeeping enter room even though & quot ; disturb & quot ; sign door . since nothing take ignore . , mere hour escape Clift , knock door ... housekeeping . explain leave 1 ( check time ) please respect & quot ; disturb & quot ; sign . 15 minute later , another knock door . housekeeper . tell & quot ; still & quot ; remind departure time . sure enough , another knock door could ? housekeeper . point frustrated boyfriend tell wait outside gather stuff ( half pack ) . clearly want we go sprint elevator check leave clift behind . trust , Clift offer nothing validate horrible attitude behavior . high hope place impressed , would consider stay monthly business trip SF . forget . definately tell everyone know stay probably never stay Morgan either clift affiliation . trust , well Sir Francis Drake Westin . least know exist gracious patronage . advice Clift , perhaps remember serve guest vice versa . thank put stain otherwise lovely trip . 
 Sep 2 2007 	 really nice great location ! 	 trendy hotel , real beauty inside . great bar scene , food great . room nice , great view , comfy bed . tv horrible , 12 inch ... say work aspect . Morgans Hotels fun hip . can not go wrong . breakfast staff waiter Asia De Cuba amazing ! 
 Sep 1 2007 	 Great Hotel Service 	 husband get back San Francisco stay Clift hotel . excellent time can not say enough good thing hotel service receive . first night hotel could not sleep service elevator next room loud keep we night . call front desk morning switch we another beautiful room later day . hotel well situate near Union Sq . close public transit . hotel clean friendly staff . especially recommend talk Steve concierge . helpful recommend great restaurant thing around San Francisco . also recommend instead take organized tour Napa Valley like husband want , arrange car rental we give we great driving direction go . really high light trip . make little itinerary able see vineyard want see even make lunch reservation wonderul restaurant we . overall great service ! 
 Aug 29 2007 	 like W will love Clift ! 	 trendy hip hotel . coolest place ever stay . great hotel room view city funky amenity . bar downstair smoke hot ! must see memorable place . 
 Aug 26 2007 	 Excellent Location Beautiful Worth Money 	 clift beautiful hotel -- lobby stunning , furniture gorgeous , elevator sexy , love periwinkle silver decoration think hotel room pretty . location terrific -- great restaurant within step hotel , excellent shopping . great front desk service . say , think worth near $ 400 pay night . bed comfortable although room quiet . first trip San Francisco ' m glad stay , next time will probably look hotel place emphasis comfort style . 
 Aug 24 2007 	 Nightclub pose 4 star hotel 	 hotel gorgeous . staff superb . room nice although pay upgrade fee $ 75 night room priceline 260 sq foot . coffee maker room . television tiny . pool . must call ice sometimes take 30 minute deliver . room service price unreal- $ 18 hamburger . internet service ( $ 10 night ) noon noon . unlike place 24 hour period . parking run $ 45 night plus $ 6 parking tax fee . for luxury would say 4 star hotel Hyatt Hilton . feel like nightclub hotel attach . bar PACKED night crowd linger small lobby . I would stay . 
 Aug 24 2007 	 Attitude Clift 	 upon arrival Clift , embarrassed behavior desk clerk , loudly announce , around , lucky get room get , book Priceline . incident shortly follow concierge , , starting advise we , take call proceeded help person line , rather explain middle help guest , get back person . , decide eat dinner Asia de Cuba , hotel , get really snotty attitude hostess ! dinner great , though . addition , room lack place unpack , set thing bathroom . feel rather inhospitable stay . far concern , people would enjoy place enjoy abuse ! 
 Aug 14 2007 	 way ! 	 325 usd room rate small room dirty towel ! way ! stay san martins lane london enjoy lot , 's way choose stay another ian shragger hotel sf . sorry even Asia de Cuba failure . do not stay couple 2 luggage . nice thing famous & quot ; redwood room bar & quot ; pack every night great ambiance . location great many alternative area . 
 Aug 10 2007 	 Location ! location ! location ! 	 satisfactory result first - ever priceline bid 4 - star hotel SF Union Square West area - estimate saving $ 75- $ 100 & quot ; standard & quot ; 2 - queen room rate . clift practically next door Curran Theatre , two block west Union Square Geary . every staff person ( housekeep front desk ) contact friendly , professional accommodating . love contemporary decor . one whimsical , huge , armchair lobby photograph - & quot ; 's truth ( insert raspberry cheer ) & quot ; , word Lily Tomlin character ! enjoy 4 - day girl 's getaway great city bay leave heart - stress , $ , etc ! minor complaint little space shelve / storage ( bathroom especially ) drawer , in - room coffee maker . storage would sufficient one person . 
 Aug 10 2007 	 absolutely fabulous . Wonderful Hotel- 	 return beautiful Hotel . staff probably courteous friendliest staff ever encounter . hotel delight see . Beauty everywhere display white tulip reception whimsical furniture . the bedroom delight lovely colour white linen . nervous read comment tripdvisor . book Hotel directly visit Sf . would stay anywhere else . 
 Aug 6 2007 	 return 	 give room fan work bathroom . complain give another room fan work bathroom . idea good service . we tell parking would $ 45 / night . charge we check $ 65 / night point double charge we one night . clearly nobody review bill . furthermore , wake early morning bill slip door . something find completely unacceptable . it well run hotel , go way make one comfortable . nickel dime every little charge . not mind pay service good , mind hide charge pay service get . instance internet connection . the internet connection room faulty slow data rate . stay 2 room problem . business trip easy go find cafe pay internet connection . sting like work hotel room already pay clift internet connection . also , morning leave , internet access shut hour checkout time . give internet shutoff , housekeeping come shower , charge sheet unceremoniously shove door early morning , feel though shove door . one expect civilized hotel . I find hotel cold impersonal poorly train staff . water ice available room . room tiny . bar downstairs full 20 something heavy drinker tend cluster outside front door smoke . pleasant atmosphere . many really nice hotel San Francisco opinion one second rate good . would recommend . well hotel right street charge less . 
 Jul 26 2007 	 good hotel SF ! 	 spend lot time Bay area primarily business try usual suspect keep come back clift time time . 's service make want return -- moment greet car folk work door friendly charming ( mention easy eye ! ) check - in room service , know ' m go top - notch stay clift every time ! room amenity well ' ve find city ; Ian Schraeger - design know will visually interesting appeal , plenty space , ambiance lighting , candle , outrageously comfortable bed , lot bathroom counter / shelf space , Frette robe ... nothing leave spare ! Redwood Room always good time , ! , good stay SF definitely worth price admission . ( PS -- remember be parking car call downstairs advance will worry ! ) 
 Jul 24 2007 	 worth . 	 recently parent stay spent evening . sure , place incredibly well design quite pleasant look . however , fitness area stink spa . our room border shoebox size . price , favor stay W even Huntington , extra luxury . bar gorgeous definitely worth stop drink $ 14 drink range service less superior . restaurant also lack many level . felt rip would stay again . this hotel long Ian Schrager property new gramercy park hotel , sure show . 
 Jul 23 2007 	 clift funky 	 wife get back 3 night stay Clift . love . keep mind get great deal hotel use Priceline ( $ 150 night ) . pay list price hotel , think would disappoint . theme funky contemporary .... lobby , elevator , hallway , room . think pretty cool . read ton review site negative thing often get pointed size bathroom , tiny ! litterally 1 foot 2 foot area stand bathroom , that s . find conceirge , front desk staff doorman attentive accomodate . also find time visit Redwood Room drink 2 . place happen trendy . expect pay $ 13 - 15 trendy drink however . wife mid 30 's , would definately stay , use Priceline . would not happy pay $ 300 + rack rate appear website . first time SF , location could well . seem right middle everything 
 Jul 22 2007 	 Cold Dark Grey 	 Booked hotel basis 's 5 * rating location close Union Square . first impression lobby area cold dark seedy . remainder hotel , lift , corridor room continue cold theme primarily grey color everywhere supplement dim lighting use air conditioning . depressive ! . bed comfortable , room bathroom clean well stocked . breakfast room cold appearace temperature seem like seedy ( cold ) night club . breakfast quality good expensive . internet usage expensive printing charge 7.50 extra per page ! ! . summary , good location not go expect warm , bright luxurious surrounding . 
 Jul 5 2007 	 ZERO CLASS - Front Desk agent 	 book stay Clift via word mouth co - worker . expect something great - stylish unique . get COMPLETE opposite . 1 . DoorMen HORRID . care talk amongst even open DOOR completely disregaurde . 2.once walk dimley light lobby ( like pitch black , although give credit creativity ) appal wait Front Desk Clerk even acknowledge ! bc guest even phone call duty . talk amongst laugh . could believe even express disapoinment arrival . clerk Terra think shrugged shoulder procede Check . ( terrible service ) could least apologize make certain last impression.3.The room extremely small dresser ! feel like back University Dorm Room ! please CLIFT get time ! good : Redwood Room alot fun . well stay another hotel ( CLASS ) visit Redwood Room night . overall grief style hotel . understand Clift everyone way unique & quot ; approach & quot ; hotel ... think confuse carless treat guest like would neighbor street . idea class ! blame management hiring DUMB kid probably never work hotel do not get train ( ) behave class .... message : dont stay clift 
 Jul 1 2007 	 Dark 	 Clift lobby dark cool . staff always pleasant , overly friendly . PYT 's double doorman could stand little attentive ( often fail open door manage hail cab we would go Oakland - head Russian Hill ! ) . room smallish , uncomfortable - mirror almost everywhere helped maintain illusion room little big . room clean , bed pillow particular , super comfortable . shower pressure temperature perfect - almost powerful count ! toiletry provide smell great work well . ' m still use body milk hoping find something comparable . we surprise Clift charge $ 10 day internet high - end hotel . room service expect exhorbitant - still much expect extra fee tack on . the location great though - everywhere want go easily access foot nearby public transportation . have happy stay Clift . 
 Jun 29 2007 	 Staff 's attitude overshadow beautifully design hotel 	 hotel typical Ian Shrager , unique design attention detail . Morgan hotel nyc anice design well less attitude ' expect form san fran location . room little small ' expect . bar gorgeous asia de cuba good nice touch addition hotel convenience . .The hotel staff whelm design hotel . will not characterize doormen euro - jerk ( guy morning ) nice helpful . night crew horrible . one particular individual ( moron pony tail ) cool ( least think ) anything seem go way rude guest non guest . ' expect much doorman open door guy go way open answer question get cab . bouncer attitude helpful doorman . walk old couple front ask stay hotel . embarrassed say " yes suite idiot " . laugh . bartender ' much well ( guy shave head wednesday need get clue ) cool serve people drink ( girl big boob ) . drink expensive ( $ 8 beers/ $ 16 martini ) ) pay bar nicely design . Front desk hit miss . check good check painful . Ian shrager put much work hotel staff attitude design would 5 star hotel instead 2 star hotel attitude select few . I ' go back clift plenty hotel nice without attitude . 
 Jun 28 2007 	 Satisfied Clift 	 beautiful public space active nightlife & quot ; Redwood Room & quot ; weekend . interior design room well think , chic minimal , update since 90 's appear . however , room good condition well maintain . staff friendly helpful time . hotel good deal pay ( @ $ 190 / night ) Travelocity . would definitely stay . 
 Jun 26 2007 	 Fantastic Hotel Fantastic Staff ! ! ! 	 wife stay Clift Hotel Friday June 22 Monday June 25 . read review mixed feeling hotel . even go far contact assistant manager concern ( Jenny ) put ease . stay room 419 even though bit small clean . size room not bother we since rarely room travel . bathroom tiny , expect hotel middle large city . decor awesome , traditional stuffy hotel hip chic . hotel staff welcome hotel visit . doorman talk much site entire weekend . occasionally open door help other cab help someone direction , biggie . ask late checkout accomodate we without problem . overall , think great hotel great location ! book hotel online get great rate , next time SF definitely stay . thank 
 Jun 22 2007 	 Great Location 	 surprised husband trip SF see beloved Giants home game . pick hotel especially 's boutique , masculine decor feel . personally taste -- prefer comfy decor setting -- right hubby 's alley . doormen helpful would direct we great place eat , thing see would flag taxi 's we . drink bar around 9 pm could see & quot ; young , hip crowd & quot ; bar get crowd . room small . room 4th floor , noise street , expect be stay hotel middle city ? bed comfortable clean . bathroom tiny ! could barely fit one person ! location great ! walk door step shop , trollie , taxi be whatever need . would recommend hotel family people prefer luxurious accomodation . overall , good experience . 
 Jun 21 2007 	 Attitude 	 , family 4 , stay clift regularly 3 year greatly enjoy location , decor , friendly staff . March try make reservation stay favorite suite tell never allow 4 people stay together suite . reservation agent continue insist true even tell stay numerous time past could look record . ask possible take two room two adjoining room . make effort helpful explain situation call manager . appalled would treat potential guest attitude , much less previous customer . try . write review 3 month later still irk ! 
 Jun 19 2007 	 Mixed . 	 spend three day clift find experience mix . good:1 . location -- can not beat.2 . front desk crew -- helpful friendly.3 . bed bed linen -- comfy . the OK:1 . lobby decor2 . doorman -- friendly enough , rarely open door you . the bad:1 . lighting -- terrible lobby room . hard even read.2 . storage -- essentially none . use funny plastic cube nightstand dresser available.3 . room size . pretty small good hotel . small bathroom.3 . charge internet service . 
 Jun 6 2007 	 happen fashion designersma 	 check Clift , clerk say lucky staying & quot ; rate & quot ; . procede tell we would disappoint room not upgrade well room much high price . give we key . the hotel poorly light conceal age , blemish cleanliness . clift get calling & quot ; jet set & quot ; hotel will never know . ' ve stay Dubai , London Gstaad know jet set reside - be not place like . would recommend thee Clift people spend lot time watch MTV not faint clue class . 
 Jun 3 2007 	 never dull moment clift 	 ask David , Guest Experience Manager . San Francisco Saint Patrick 's blast North Beach . clift still international , dressed crowd . 
 Jun 2 2007 	 Clift RATED ! 	 Clift definitely rate . mention several review , doorman lazy worthless . have fire thing bad guest opening door open door stylish guy pony tail stand watch . help baggage . add five star rating ? bathroom horrible . marble floor scuff stain look dirty even visit housekeeping . small ! never see small bathroom . little space personal toiletry ! room cold univiting . ol ' Phillipe S. may go celestial cloud crap , itcame cold uninviting . bed horrible well . will take Westin pillow top bed time lumpy bed clift . and can not find room room dresser ? three night live suitcase dresser . nice sized closet , handle hang clothe , K - Mart college dorm style open shelf unit closet , would nice dresser ! ' ve stay , well remodling , try . prefer Fairmont Westin Clift . clift comfortable place stay . care design , design way , love design . obviously hoel management drop name every review response . also reviewer mention high room service charge , agree 15 % gratutity , 5 % surcharge $ 3.50 delivery charge . get overprice room meal . walk Starbucks every day glad . overall bad hotel 5 star ? please ! 
 May 22 2007 	 thtat good 	 Clift Hotel stark little warmth ambiance . room small . staff friendly helpfull . would go back 
 May 20 2007 	 small bathroom .... 	 ok . keep Morgan place dark ? ? stylish lobby bar almost do ... location good ( edge ) , room indeed small , view narrow airshaft dull brick building ... ( high floor except ) ... room design photograph , living , drawer ... none , use desk , can not get rest room , small tv , bad , small bathroom ' ve meet , much furniture odd location , move room .. well , relax soak mini tub either ... , however , redeem aspect : bar great , restaurant good , bed super staff particular accomodate helpful ... place well keep clean . would stay , well Superior rm 315 sq ft king sleigh bed tub shower dvd cd high ceiling room ... $ $ $ suite fun interesting big suite ( apartment ) GREAT ... , will try another place next trip ... $ 300 + per night ... well place 
 May 18 2007 	 ridiculously overpriced 	 stay Hotel Clift 2 night . first , good impression : lobby decoration really great . see room . small , basic , dull , equipement particular . cookie minibar stale 4 month . laundry cost half purchase price clothe turn poorly iron . breakfast expensive limited croissant fruit juice . never could speak reception without queue 10 minute . , go drink , stay ! 
 May 18 2007 	 Excellent ! ! ! 	 partner & amp ; arrive clift long flight London ...... hotel stylish & amp ; design ...... check fast efficient . staff charming ....... beautiful room top floor ....... view wonderful ...... room stay certainly tiny spotlessly clean . must say chambermaid thorough job ! hotel bar wonderful cocktail & amp ; great place observe people ....... breakfast good . concierge great suggest restaurant & amp ; make reservation ........ wall thin .... yes hear person room next ....... overall ......... wonderful stay @ clift definitely return . 
 May 14 2007 	 Pass hotel 	 stay Clift hotel 5 night May , 2007 . decor interesting funky . room small mention , bathroom extra small . room closet store clothing . room slightly different , purple , cream orange tone seem consistent . enjoy decor , room noisy . literally hear people speak next door , not loud . one noisiest hotel room ever stay travel lot . unfortunately guest despite ask hotel security quiet , continued party well past 3 am . ear plug not trick . ask room change . handle efficiently not guest stay beside we , new room quiet . hotel staff helpful relocate we recommend restaurant offer suggestion . not think professional one would expect class hotel , get job do . eventually . location excellent feel safe . I will back SF , will not stay . can not recommend , even short stay . 
 May 7 2007 	 clift make first visit west coast complete 	 cofirm comment recent report ... hotel cool ! Decor throughout excellent ... staff friendly helpful location excellent certainly hope revisit hotel next visit San francisco 
 May 4 2007 	 Agressive Room Service 	 hotel super nice cool , however room service appear bit agressive . two - week stay get two phone call ask want room clean . approach question several time front room door two occasion room service knock door purpose even & quot ; disturb & quot ; sign hang door . notice room clean absence even though sign post sheet change even though place be - eco - friendly - do - not - change - sheet label pillow . furthermore door wall kind thin pleasure listening & quot ; knock - knock - room - service & quot ; routine play door floor twice day . reviewer say noise hotel mostly party , however think otherwise . 
 Apr 29 2007 	 Love CLIFT 	 great service beautiful hotel . travel regularly U.S. Europe find one good hotel stay . service consistently first rate attentive staff . everyone super friendly , person phone . ' help restaurant reservation , wine - taste trip , spa reservation , pleasure . Asia de Cuba , restaurant , great food , tend towards deliciously exotic … Redwood Room , must one beautiful bar city , great place drink meet friend co - worker . I come San Francisco work stay clift make trip seem like pleasure . I will definitely back . 
 Apr 26 2007 	 Honeymoon Heaven 	 stay Clift part 3 stop USA Honeymoon ( Vegas & amp ; NYC ) staff Clift credit hotel treat we like friend rather pay guest . counterpart Hudson NYC take leaf training book . upgrade advance ( without ask ) suite 1533 , beautiful , bright crisp corner room . clift boutique cool style , bar bit dark overpower worth cocktail people watch . talking - look ' painting ' wall - cool .... concierge deal every need - travel advice , restaurant reservation , airport car , even liase vegas regard item leave room . eat hotel much cool food SF . ' tourist ' photo sit big chair lobby must ... imprtantly - experience clift also must . excellent location - 1.5 block Union Sq , close tram / bus link . professional friendly service . funky design still comfortable . Californian , lay back cooool ......... would go back heartbeat 
 Apr 25 2007 	 nice . 	 return five day stay Clift . late 50 's much enjoy hotel . staff friendly accomodate . arrive late due flight problem check accomodating . theater ticket essential . surprised find Theater virtually next door give we crucial minute . åctually spend little time room typical us room size issue . room nice comfortable . expect need enormous room . think decor interesting different . complain city issue , expect , threaten least . clift staff always outside welcoming . Redwod Room rather amazing . get good deal room course make lot difference . 
