Great 	 husband two teenager stay Hilton Islington November 20 - 26 . arrive hotel 10:00 a.m. room not ready 1:00 p.m. hotel staff everything possible make we feel comfortable . reserve double room husband twin room kid . son come Swansea stay twin room kid not crowded . room clean plenty room get around . question every day concierge helpful . 
 Aug 28 2006 	 trendy location 	 recently spend three night Hotel family include wife three children aged 12 , 4 , 1 book two connect room . although Hilton Diamond Member upgrade well room due fact connect door standard room . however find slightly cosy well refurbish . reception overall assistance average good exception . dinner twice Mosaic Restaurant general food acceptable exciting even consider price . also breakfast good due tight space provide suffer queue wait time . would rather recommend spend time eat elsewhere consider hotel locate one good trendy place London taste londoner live . but also centre London Piccadilly , Regent Street easibly reach bus tube . in general satisfied stay could choose stay future . 
 Jul 17 2006 	 positive staff good location 	 stay five night hotell first week July heat wave London . first night challenge air condition break , give new room next day without problem , staff move suitcase London . two adult , one teen one child give large family room ( Hilton Club room extra bed ) . room clean , bath room spotless teen really enjoy big towel dress gown . staff helpful room , luggage information travel around London . hotel locate close busy street many bus line right side hotel 3 min walk Angel tube station ideal get around London ( take bus line 274 Hyde park past Regent park camden Islington sight seeing ) . although central location , experience traffic noice hotel main street . breakfast hotel every morning plenty . kid offer pancake without ask . also breakfast one many small cafe resturant immediately outside hotel prefere . evening dinner outside hotel one many resturant around corner enjoy eat different culture cuisine every night . apart air condition break first night , pleasant stay use hotel future visit London quiet location , nice staff , cleanliness many resturant nearby . 
 Jun 28 2006 	 centrally locate pleasant stay ! 	 stay 1 night 20 June , 10 min walk Angel tube station . convenient location lot resturant bar around . check ok . ask free upgrade HHonors Gold vip , give non - smoking Club room level 1 . free breakfast , ask say one enjoy one offer time ( 1 week saty , receive apology Manger error promise rectify next time ) .Room clean spacious . bathroom amenitie ok . boiler , Tea , Wine complimentary . noise night ( face courtyard ) . swimming pool free access Health Club nearby . staff ( Ben ) friendly helpful . internet Access 3 pound per 15 min . connection central London easy via Waterloo King 's Cross . shopping mall ( N1 ) one block away shop like GAP , Woolworth , etc . good choice dine 2 / F Mall , Yo Shushi , Japanese Noodle , Pub , chinese Buffet resturant etc . 
 may 29 2006 	 Pleasant surprise 	 spend 5 night late May ( business leisure ) . hotel locate 200 meter convenient underground station ( Angel northern line take vicinity St Paul ' , London Bridge London Tower ) , whilst Islington per se tourist attraction . 10 minute 13 - 15 pound night cab drive downtown 15 minute 17 - 18 pound cab drive Paddington Station ( Heathrow Express ) . supermarket , cinema franchise eating ( Starbucks Wagamama ) nearby . the neighbourhood many little less expensive restaurant , shop bar ( check king Theatre 115 Upper Street free life music every night ) spend evening away overprice place , tourist crowd noisy drunken youth Soho Leicester Sq . 15 minute walking bring British Library magnificent exposition old illustrate book . the Hilton pleasant surprise know London hotel ( know around 10 know ) . room spacious ( luxury London ) decoration modern . everything look quite new clean ' smell ( also uncommon London ) . lame tv channel keep busy rain . stuff helpful go way . breakfast rip ( 18£+VAT ) pay apart . well take morning stroll eat double food half price nearby Café . bathroom amenitie minimum , iron board room quick / efficient housekeeping . ask room face backwards courtyard , since view independently room least ' get entrance ramp noise . overall adequate 4 star hotel , honest price / service relation , like would expect european city , since London , turn rather pleasant surprise star price category . 
 May 8 2006 	 Good Location 	 partner , daughter return weekend Hilton , Islington . three us happy experience . room third floor spacious , two double bed along double sofa bed . mini bar , however depart lift vend machine usual minibar stock drink snack . operate insert room card make selection . price reasonable . food hotel restaurant quite nice however service slow . Islington trendy part London fill fantastic restaurant service problem . 's also area atmosphere lively relax . Islington house plenty antique shop , however bring comfortable shoe shoe shop practically non existant . would recommend hotel area anyone want shop city day ( transport link excellent ) chill evening area feel safe . hotel good value money would hesitation recommend anyone . ten year old impressed Hilton Islington much forgot bring playstation happy walk , eat , shop complain ! ! ! ! 
 Apr 19 2006 	 Great Location London Tourism Business 	 stay part dual pleasure business trip . nice , clean business type hotel Hilton standard . staff helpful . 3 minute walk Angel Tube station , make get anywhere London 10 - 15 minute easy indeed . good part hotel location centre Islington 's many shop , bar restaurant within easy walk . stay next time London ! 
 Mar 21 2006 	 never stay Hilton 	 one bad hotel ever stay category . service shocking ; stay 2 night , morning wake wrong time wake - up call ( first day , 2 hour early ) . mention reception not even get apology , bad thing complete rip - off regard internet access . hotel ' ve stay offer 24 - hour in - room access rate , calculate 24 hour time first log . one . I log first time noon , less 5 minute midnight charge 2 full day ' internet use . query check - out manager tell clearly state ( not ) basically tough luck . water mini bar room , ( mostly ) unhelpful unknowledgable staff , bad corridor decor ' ve see long time . say positive note ? not lose laundry . Islington great part London , go back , would stay 5 minute walk hotel Jury 's Inn folk stay lovely happy , smiley service . go way avoid hotel Hilton chain future . God , make feel well , get chest . travel regularly work lot country around world , never move write negative review , place really get goat . 
 Jan 2 2006 	 Great Property ! definitely back ... 	 get great price roughly 85 pound night New Year 's weekend . admittedly gold member Hilton upgrade probably not hurt come away really , really , really like hotel Islington neighborhood . lot little bar restaurant cafe area think hotel be relatively small ! ironically benefit . also stay hotel planning take early morning London City Airport . work perfectly . take Tube Angel Bank change easily London City Airport . look early morning departure part London hotel work you . what like hotel ? highly efficient front desk staff ( elvio incredibly helpful polite ) beautiful room . hotel modern design , great location , pleasantly surprised rate get . room quite luxurious bathroom nice . enjoy stay Islington area . certainly feel free use hotel home visit part London . 
 Aug 22 2005 	 good base weekend London 	 Hilton locate main street Islington ( Upper Street ) British Design Centre . near tube / metro stop Angel ( Northern Line ) five minute walk hotel . Islington bustle part London , Upper Street great choice shop , bar restaurant , really take opportunity enjoy rather limit Hotel 's restaurant room service . the Hilton undergo refurbishment moment , , unlike london hotel , limited noise , lot care staff ensure good stay . room nice , lucky enough give room 2nd Floor , ( non - smoking ) refurbish update modern day furniture akin Executive Floors Hilton London Gatwick . room feature thing would expect Hilton . room air condtione , sadly , open window room fresh air , bit disappointing . like last reviewer , room service breakfast whilst nice , cold time get , shame really - quite good . not eat restaurant , service look slow , food appetising , wallet favour take walk Islington . all good hotel good price , would stay ! 
 Aug 18 2005 	 nice modern hotel great area 
 Jul 30 2005 	 Good Location 
 Jul 13 2005 	 nice hotel great area 3 star 
 Apr 22 2005 	 Recommend 
 Apr 6 2005 	 good value London 
 Feb 28 2005 	 Good Option North London 
 Feb 3 2005 	 worth consider 
 Oct 15 2004 	 good location ok room confused staff economical 
 Jul 27 2004 	 Great Experience 
 Nov 13 2009 	 Mauvaise expérience grosse déception 
 Sep 18 2009 	 Déçu ... 
 Jul 23 2009 	 ottimo hotel bella zona 
 Jun 1 2009 	 gute Stadthotel 
 Dec 9 2008 	 Duper Hotel Klasse Lage 
 Jul 14 2008 	 Hôtel très correct pour le centre de Londres 
