Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Aug 9 2008 	 one good stay domestic hotel ever ! 	 husband spend special 20th anniversary Sofitel . everything hotel exceed expectation , wonderful stay . room nice size bed incredibly comfortable luxurious . room immaculate , leather couch chair relax well handsome desk use . tv 40 & quot ; flat screen hd swivel settee king bed area . Bathroom . wow ! soak tub , shower two , soft towel live ORCHID luxurious marble bathroom . soft robe slipper slip ... Heaven ! Chicago experience killer heat wave , come back plush , cool quiet accomodation good . feel like Rock Stars . it not get well sofitel ! 
 Aug 6 2008 	 Cafe Des Architects great place lunch ! 	 stay ( yet ) Sofitel , pleasantly surprised way lobby look overall impression hotel make . however really good lunch Café Des Architects , hotel . take ' one plate / 4 mini - course lunch ' include appetizer , salad , main course dessert choice , bargain . food truly excellent Europeans , thoroughly enjoy modest portion . excellent wine , friendly service everything classy style . promise , ever return Chicago , try Sofitel . 
 Aug 5 2008 	 amazing service location amenity 	 husband expensive taste hotel , book Sofitel base Trip Advisor review , hotel class ( like five - star , etc . ) usual criterion . hotel expensive city , definitely seem well - lack luxury . 10th anniversary vacation , due limited time , decide city / shopping long weekend instead tropical / beach resort . disappointed ! hotel great location right downtown Chicago , walk everywhere use cab wear sky - high heel go place far away . great restaurant hotel ( Cafe De Architecture ) awesome sit outside breakfast dinner - food wonderful ( , high expectation ) . service every person deal exceptional . courteous happy assist . almost never wait anything . clean staff practically invisible . do not think ever see anyone hallway , room immaculate whenever get back shopping . room contemporary chic amazing city view . great restaurant find everywhere around hotel , good shopping Midwest . 
 Aug 4 2008 	 always Fantastic Sofitel ! 	 friend Patty stay Sofitel love . come time make plan husband celebrate anniversary last year year choose stay Sofitel . beautiful , clean , staff helpful friendly . walk everything fantastic location ! candle always light burn lobby ( smell wonderful ) Rasberry power right . fresh beautiful flower arrangement lobby well . last year 16th anniversary happend suite available 16th floor upgrade we give we & quot ; royal treatment & quot ; year wedding celebration upgrade room great view ! always stay Sofitel great & quot ; romantic get away & quot ; truely make great experience . thank Hotel Sofitel see March 2009 18th anniversary celebration ! Norine & amp ; Brett King 
 Jul 30 2008 	 Sofitel great 	 wife return four day trip Chicago Sofitel wonderful . suite 23rd floor everything imagine . stay Waldorf - Astoria New York upscale hotel . far good . super modern . flat screen television room . king bed comfortable hotel bed ever sleep . bose alarm clock go , not want get . send we two Voss water truffle first night . everything well do . the hotel two block Magnificent Mile everything want see short walk cab ride Sofitel . definitely back . 
 Jul 30 2008 	 good hotel ... 	 good hotel , excellent location , attentive staff . everything scratch ! : room quite small , although big window help make claustrophobic . also find lobby quite dark even day . true enough , atmospheric , make difficult see properly ! 
 Jul 26 2008 	 great place stay 	 Wife take quick weekend Chicago last minute . booked hotel thru one last minute travel site around $ 200 per night . hotel chic trendy . room extremely comfortable clean . drink hotel bar arrive . little pricey enjoyable . hotel one block Michigan Ave near John Hancock building . breakfast right next door Tempo great breakfast head day . prepare Tempo take cash plan ahead . great weekend trip Chicago . great shopping , great food lot fun . bring lot money worry much spent get home . 
 Jul 26 2008 	 like everyone say ... 	 yes , like review write , ' hip ' place stay Chicago . fairness , place ' ve stay Chicago .. hope go back one day . my sister husband suggest we stay room location . welcome exit not warm ' ve encounter , fast routine . issue . room tiny , nice . washrooms awesome ! location everything . know Chicago much offer - not . fall love city would tell people hotel . little expensive get , be look heart city , . also eat breakfast Cafe des Architectes delish . little expensive , well worth . 
 Jul 25 2008 	 simply excellent ! 	 wife stay several time always consistently excellent . the bellman greet like friend valet take good care car . the lobby attractive modern . receptionist friendly , last stay , upgrade we well room additional charge ! room gem . clean , modern attractive . super - comfy bed great comforter - sheet . nice soft pillow . work air condictioner ( nothing bad A / c not work ) . bathroom granite - lined , clean attractive . all one block Michigan avenue $ 300 / night taxis . you can not beat . 
 Jul 23 2008 	 's Perfect @ Sofitel 	 can not add much rave review ; confirm full extent every positive previous review aspect negative whatsoever ! favor spring suite . can not vouch restaurant many great place within easy walk distance : Hugo's / Gibson 's , Rosebud , Ditka 's , etc . , etc . bar quite enjoyable cocktail people watch . 
 Jul 15 2008 	 Loved ! ! 	 stay treat Chicago recently concert . totally LOVED ! ! call either Front Desk Room Service , phone answered & quot ; Hallo Mrs ( Name ) & quot ; great personal touch . vanessa front desk , go way help - store thing safe could book room . room wonderful - bathroom luxurious . 30th floor view superb . order room service come quickly guy friendly nice . doormen great wear jean tshirt one day still open door , snobbery there . comfortable , cozy bathrobe available bathroom , light go wardrobe ( never see ! ! ) , tv HD ready flat screen . bed like sleep cloud - good sleep while . would stay ? ? oh yeah ! ! problem - need save first ! ! 
 Jul 15 2008 	 First Class Hotel ! 	 one good hotel ever stay . room amazing , bathroom first - class , Service impeccable . location perfect ... walk distance John Hancock Tower , Rush St , Michigan Ave . , Red Line Train Station . price bit high , find good online deal . hardly ever write review , feel hotel deserve 5 - star write - up . 
 Jul 7 2008 	 good 	 not well stay -- ever . sad leave could not stay long . strike first smell hotel , fantastic . fact , buy candle bring home . great gift shop fun hotel bar -- good sign . ever detail think recommend hotel highly anyone want breathtaking experience moment walk door . 
 Jul 7 2008 	 never stay another hotel 	 far one good vacation ever . staff Sofitel amazing - front desk housekeeping . love every little touch add even fresh flower lobby . honestly never stay another hotel unless Sofitel destination . the building beautiful , bathroom gigantic ( compare place ) . bath shower . bed comfortable bed ever room service morning never disappointed . could go magnificient stay cute little park across street check 
 Jul 7 2008 	 absolutely Fantastic Hotel 	 stay four night amazing hotel . book suite surprise . room huge mention bed ! pull sofa bed sit room , stayed never sleep well . bathroom huge beautiful Hermes product . turn service every evening comlimentary bottle water . staff extremly helpful friendly . the reception area fantastic fresh flower everywhere , smell would greet door . honestly say one good hotel ever stay wait return . fantastic location close everything . 
 Jul 3 2008 	 MacLure 's - London - Loved ! 	 husband get back 3 night stay Sofitel Chicago . far nice hotel ever stay ( stay lot ) . staff go way make stay enjoyable . bathroom large , bright , & quot ; clean & quot ; . turn service night bottle water bed side table nice touch . would defineitly recommend hotel . 
 Jun 27 2008 	 Remarkable Architecture 	 Striking architecture beginning describe one good hotel experience professional life . attention detail room bathroom remarkable bed good night 's sleep ' ve ever experience hotel . Gorgeous LCD tv Bose wave machine add enjoyment . sofitel worth extra $ 's . 
 Jun 18 2008 	 nice nice London Sofitel 	 return 5 day sofitel . yes bed fantastic room immaculate . service good , stay Sofitel London service superior . , comparison , simply could not rave other . may London hotel small . front desk staff greet name know room . lobby tea room close , front desk bring tea computer room . make special effort see Chicago Sofitel . find doorman certainly respectful dressed , service door consistent . time open door . big deal , perfect service . again comparison , concierge service good . think good service , do not get feel really care . one particular could barely crack smile . however , housekeeping staff friendly helpful . the location good , , perfect . find always travel theatre district , millinium park area , would prefer hotel central Magnificent Mile area . say , close restaurant . 
 Jun 11 2008 	 Fabulous 	 can not really say anything hotel not say . simply fabulous . attention detail impressed & amp ; husband . automatic soap dispenser , free internet access fact maid come room dinner straighten name few . we eat Cafe des Architectes impressed . delicious food reasonably price quality . great service too . if fancy eat great restaurant close ... pancake die , great fish Hugo 's Frog House unique experience Giordanos pizza place . save hard stay hotel worth every single penny . 
 Jun 5 2008 	 Fantastic - Prepared Ooooh Aaaaah 	 Sofitel Water Tower simply fantastic . travel extensively throughout Europe U.S. , easily say one good hotel ' ve ever stay . the experience start even enter gorgeous lobby contemporary glamor . whether arrive car , cab , foot , doormen Sofitel offer exemplary service , greet cordially open door . Mother 's Day , even hand pristine rose thorn remove ! say enough adequately describe top notch service hotel ! yes , interior - everything lobby , room , bar restaurant - stunning delight ... service really blow away . stay . regret it . finally , note regard negative review hotel , specifically claim doormen & quot ; snotty & quot ; & quot ; stuck : & quot ; simply not see . say never happen , not witness anything . say mother stay Mother 's Day weekend dress comfortably jean ... yet treat every bit respect businessman suit . perspective , service uniformly wonderful Sofitel Water Tower . 
 Jun 3 2008 	 wow ! fault ... 	 give hotel enough praise - rank good hotel ' ve ever stay with . we stay 3 night ( May 8th - 11th ) incredible experience . firstly hotel amazing architecture exterior wow'ed soon pull it . the reception / lobby / bar area spacious grand , chic contemporary inside 's gorgeous . evening night light scented candle throughout lobby smell divine . our room 23rd floor ( room 2311 think ) perfect , central view impressive John Hancock Centre straight front we could see top gorgeous old Water Tower . room generous size , generous size bathroom decorate high contemporary standard . chaise lounge flat screen tv . good part room though bed . never sleep comfortable bed life , amazing . the hotel great location , 's minute walk John Hancock Centre Magnificent Mile . bit concerned read couple negative review staff snooty not dress right way look monie . 2 regular 30 - something dress casually jean t - shirt get 8 hour flight not look great . staff friendly pleasant throughout stay , helpful pleasant . it be excellent value money high - class standard hotel . relative live Chicago area friend family stay ' major ' hotel costly less standard . rate Sofitel Water Tower highly too . Book , will not disappoint . see photo evidence need . 
 May 23 2008 	 good experience Chicago hotel 	 one good hotel ' ve stay Chicago . ' ve also try Amalfi number large chain hotel downtown . one good . great service , beautiful room , roomy bathroom , top - notch amenity . 
 May 23 2008 	 love Sofitel ! 	 say enough good thing property . hotel attractive , room nice hotel fitness center top - notch . order room service breakfast stay one good room service experience ever ... food amazing ! hotel use Frette linen towel plush high thread count . feel like sleep cloud ! hotel locate couple block shop Michigan Avenue ideal location business leisure trip Chicago . 
 may 22 2008 	 Fantastic Sofitel 	 return three night vacation Chicago would fair say hotel one good ever stay . moment arrival make feel welcome . flight get we Chicago hotel 11 am , really expect drop bag go day . able get room straight away- one great view Hancock Tower 20th floor . concierge helpful throughout , offer advise reach certain attraction , happy book restaurant / tour us behlaf . also order baseball ticket deliver hotel advance stay , hold behalf hotel , get upon check without problem . the room fantastic . exceptionally clean modern , feel new first stay ! bed shower well ever hotel stay without question . we eat hotel restaurant one night , food good quality , , excellent service , recur theme three night stay . great central location . could not ask anything . book direct hotel good rate . definately recommend . 
 May 18 2008 	 adore hotel ! 	 Sofitel Water Tower splurge , worth ! great review TripAdvisor inspire stay February 2008 trip Chicago , glad . absolutely comfortable hotel ever stay . coziest bed , pillow comforter , HD flatscreen tv , plush bathrobe , lovely marble bathroom . comfortable not want leave . also find customer service exceptional . staff extremely knowledgeable attentive . 
 may 17 2008 	 solid professional service business 	 hold numerous 2 - day meeting year , U.S. premium venue . group 's Spring 2008 meeting thoroughly research downtown Chicago meeting & amp ; conference hotel market , select Sofitel . group 12 , include 8 ceo 's , thorughly enjoy Sofitel experience . meeting banquet staff great job respond need , room perfectly comfortable , clean quiet . food private breakfast , break lunch 5 - star quality . bell staff Concierge handle special request unhesitatingly competently . returnn Chicago will go back . 
 May 16 2008 	 Top Class hotel ; lovely experience Chicago 	 one good downtown hotel ever stay top class business friendly . stay twice far year , ' go wrong select wonderful hotel corporate event personal leisure trip . staff really friendly business facility offer really good . restaurant manager last time offer complimentary breakfast wait 5 6 min extra table busy Sunday morning . hotel great leisure hunter shop enthusiast 1 minute away heart magnificent mile . since ' m eco - friendly travel enthusiast , last time find CTA metro station 2 min walk hotel ( brown line – Chicago avenue station come north bind Loop ) Room facility great , great bed , quality toileterie love HD channel play large 36 ' lcd tv.and , bit nipping type love read negative comment , yes write one favor . hotel pool really ' see major drawback stay downtown many well activity yard / block away view relax pool . whole heartedly would recommend anyone ! 
 May 14 2008 	 unconfortable hotel . 	 front desk cold unfriendly . room stain carpet small . informed front desk unhappy , move even small room ( small tv ) clean carpet , locate next maid 's closet . needless say , listen housekeeping staff go storage room night day . the room small , generically decorate , poorly design . lobby also small seem stick early 90 . bartender surly unfriendly . never stay . 
 May 8 2008 	 business elegance 	 decide stay partly Tripadvisor 1 position partly good room price deal ( 300 usd per night ) .It nice , big hotel would expect Sofitel fancy orient . room large ( really ) comfortable bed hd plasma tv though bit soulless . on first night eat Cafes des Architectes pleasant experience , tuna amazing would definitely recommend eat least . breakfast food nice seem understaffed ; wait breakfast could little bit short ( buffet , order everything ) .There din next hotel call Tempo , ' time people wait line get maybe worth try eat least breakfast . hotel full business people even weekend hotel strong business feeling , seem perfect hotel businessman would like feel stylish place . on arrival bell boy anybody wait we ( come around 9 p.m. ) day really many staff people take care door taxis incl bag . gym small size arrive around 7a.m . full ( happen ) . equipment top quality though . it funny everyone Chicago react admiration say stay Sofitel . overall pleasant experience would stay . 
 May 5 2008 	 wonderful experience Terrific Location 	 recently return 3 - day weekend Chicago 's Sofitel Water Tower . observation : positive:1 . hotel locate upscale , beautiful Gold Coast city , two block Michigan Avenue , also block beach . 2 . every aspect every management employee - level worker hotel professional , gracious , friendly accommodate fault . 3 . hotel interior beautiful , modern elegant without hint excess phony snobbiness . 4 . room ( 27th floor ) spacious , extraordinarily clean , ethereally quiet . view city Lake Michigan . bed far comfortable ' ve ever experience , marble bathroom separate shower purely decadent . usual luxury - level hotel amenity provide , include usual toiletry , powerful hair dryer , robe , slipper , iron , iron board , fully - stock minibar , large electronic safe , 40 & quot ; flat - screen tv , desk hookup internet , etc.5 . nicety provide upon arrival , include cheese platter , fruit , chocolate , bottled water.6 . restaurant ( Cafe Des Architectes ) provide wonderful service abundant , 5 - star food . room come breakfast include . opt coffee one morning brunch plan elsewhere , receive $ 30 credit hotel bill eat , thoughtful ( virtually unheard ) gesture.7 . bar ( Le Bar ) also accommodate late - night drink , food dessert . crowded hopping 2 be nightly , yet get table fast , friendly service visitsNegatives:1 . coffee - maker room . quite surprised , consider plethora amenity offered.2 . contrary lead believe , hotel charge $ 10 / day internet access.3 . daily newspaper provide . the big negative get stay two night terrific hotel . spend lot hotel neighborhood ( Peninsula , Four Seasons , etc . ) ' m sure much well accommodation service could possibly merit additional charge . Sofitel Water Tower one fine hotel ' ve ever good fortune stay world . 
 Apr 27 2008 	 Loved hotel 	 husband stay several hotel Chicago last year ( Renaissance Wacker , Westin Michigan Ave , Hotel Monaco ) Sofitel definitely favorite . bed hotel amazing ( not want leave morning ! ) , room comfortable , clean , bright , bathroom spacious . lack coffeemaker perhaps slight inconvenience , honestly , be Chicago -- 's starbuck every corner . the location within walk distance many restaurant shop ( block half away Ghirardelli chocolate shop -- great plus chocoholic : ) ) , include craziness Michigan Avenue . find staff friendly polite . problem encounter miscommunication front desk valet one morning want pick car . somewhere call front desk front desk 's call valet , request car lose end stand outside several minute , wonder valet lose car . soon return front desk inquire delay , offer apology valet rush car we quickly . harm do , certainly not tarnish view hotel . all , great hotel , will definitely return next time be Chicago ! 
 Apr 17 2008 	 nicely - light room snotty staff 	 Sofitel Chicago great place stay , dress act like well - to - do European . think twice like wear casual clothe small stature , person color . room nice- like huge window cover one wall , color scheme warm beige , calm comfy . also , restroom roomy typical hotel , separate bath shower . the service ? well , definitely feel staff could lot nice . staff interact stiff snotty . warm greeting front desk smile doorman . several time , doorman would ignore presence fail open door , although see near hotel door . stay hotel week , end open door numerous time . door inconvenient handicapped old , narrow heavy double door . 
 Apr 16 2008 	 Perfect 	 stay one week March . Perfect hotel , friendly helpful staff , great location . hotel room stylish well keep . quick check , staff always ask want taxi whenever walk . would even consider another hotel go back Chicago . complaint would room do not coffee maker microwave , 's extent . Room order stated wifi access , cost $ 10 day , RJ45 desk also cost $ 10 / day . slightly mislead wording book internet access 
 Apr 14 2008 	 highly Recommend Sofitel 	 spend two night Sofitel fabulous stay . immaculately clean room , contemporary / comfortable style , plenty space two guest one room , city view . favorite thing : quiet room ' ve ever stay ! ! complete silence . housekeeping not knock door bug we way . leave , let know come back nicely refurbish room . room service food excellent promptly serve . flat screen tv plus decide stay one night watch movie . all , wonderful stay perfect location reasonable price . 
 Apr 12 2008 	 great hotel 	 hotelier , say one good hotel stay . nice blend contemporary classy design . room clean design still warm feel , also large city hotel . service great - experience Fron office , bar a - la carte breakfast restaurant . staff friendly professional . also , love flower decoration lobby . look forward next stay ! 
 Apr 6 2008 	 Loved - could easily move ! 	 stay Sofitel week March read review trip advisor . ' m happy report almost everything perfect ! bed ( mattress & amp ; pillow ) probably comfy one ever sleep ! ! bathroom large power shower superb . appreciate 24hr gym tv screen fit cardio equipment , free fresh fruit ( apple & amp ; banana ) gym nice touch . & quot ; turn & quot ; service evening also nice gesture - bottle evian water , re - make bed . & quot ; business centre & quot ; downstair free internet access come handy . staff front desk doorman generally helpful friendly . 3 fault could find . first ( minor one ) housekeeping leave enough shower gel / shampoo one person daily even though two us room ! second heating control vent bit noisy , need turn heating night else noise vent would keep awake . room still remain reasonably warm though . third , significant one , restaurant downstairs , virtually vegetarian option breakfast evening meal ! ! however , find excellent vegetarian restaurant 10 min walking distance call & quot ; Karyn 's Cooked & quot ; 738 N Wells Street . food amazing end meal ! overall , would definitely recommend stay hotel , stay next time ' m chicago ! 
 Mar 29 2008 	 Sofitel deliver 	 recently spend night Sofitel Chicago Water Tower -- nice hotel great location , beautiful building , nice room , nice view , nice bathroom . everything work . price bad , either bar restaurant -- continental breakfast feature fabulous french style pastry . , well price , well run hotel . would definitely stay ... 
 Mar 24 2008 	 bad Hotel money 	 never write review , feel important state hotel # 1 2008 traveler choice . Terrible Service , Lazy Doormen / bellman / concierge / valet , Lack Respect , allow dog bark morning multiple complaint , Phantom charge room , front d checkout checkin pompus . ice cake watch doorman stand watch father try open door push stroller infant son , doorman watch nothing . girlfriend young , look young dress , honesty make money ... treat like cheap poor kid . dinner reservation Spaiggia want order car pick we , concierge exclaim , & quot ; know jean running shoe right Mr. Blank ? & quot ; assume dumb realize 5 star $ 200 / person restraunt will not allow tennis shoe young ? dissapointed . nice looking , comfortable bed , great room service , contemporary , young crowd , service terrible . 
 Mar 24 2008 	 Excellent experience 	 husband spend one night Sofitel Chicago Water Tower . wish stay town long hotel excellent . room bathroom nice . bed comfortable make nice linen . issue noise sleep well . hotel staff accomodate friendly . strongly recommend hotel stay . 
 Mar 23 2008 	 first class ! 	 first stay Sofitel Water Tower last week . room beautiful , stylishly decorate , enormous tv set . service good , staff helpful . definitely recommend other . 
 Mar 22 2008 	 Disappointing 	 disappointing experience ! money , could get much well value another hotel . first , even though two block west Michigan Avenue , almost middle nowhere . interesting restaurant , bar , shop . luckily , one good breakfast place block - Tempo 's . eat breakfast ; will love . skip hotel 's breakfast offering head Tempo's . check quick uneventful . our room 22nd floor nice view Hancock . downside room nasty noxious cleaning spray housekeeping use - visit room twice day . time would enter room , poisonous cloud orange smell cleaning would attack sense . stay long , would probably call asked room clean . oh , reason will never stay : $ 9.95 / day internet access . [ - ] T - Mobile access constantly log back to . the bed comfortable , robe not . turn service nice touch , especially water bottle - staff turn A / c room swelltere return it . two people fit shower , not try it . we will not stay , mostly whole internet issue . 
 Mar 15 2008 	 true Luxury stay ... 	 hear property much stay usually always bit disapointed .... one live expectation .... stay Deluxe Room much big standard ( worth upgrade buck ) .... room brand new flat screen tv , great Sofitel feather bed .... great view well stay 32nd floor .... restaurant one good town would definitaly recommend , great brunch weekend .... hotel look like open much shape see everything look carefully .... last least 2 block away michigan avenue shop .... great location ... 
 Mar 10 2008 	 fabulous hotel right near miracle mile 	 decide stay Sofitel rank # 1 Chicago tripadvisor certainly live expectation . room big clean , sophisticated , linen high quality , baby crib setup arrive lovely linen . bathroom big large shower nice toiletry . highlight ; breakfast - beautiful pastry egg benedict crab cake amazingthe coffee car valet deliver - nice touchthe concierge staff print mapquest direction we couple time event attend suburbsall staff helpful nice . I book online hotel direct get decent rate book couple week advance . 
 Mar 10 2008 	 even cleaner smile 	 good hotel experience five year ! ok , go season , little pressure staff , everyone , mean everyone , include many , discreet , cleaner , give smile . the room well equip - well generous sized shower bathroom , late 42 inch hd plasma tv enjoy super comfy bed . the one downside restaurant , service little slow food great value ( surprising French - own establishment ) .but clincher great doorkeeper . even freeze weather , show unfaile courtesy helpfulness . hotel would well try mystery shopping Water Tower find do . 
 Mar 8 2008 	 would stay 	 stay one night . easy access train underground airport , $ 2 , stop chicago walk 1 block . staff reception pleasant helpful . large reception lobby pleasant restuarant , do not eat . breakfast ( cheap ) diktaas next block . room clean , smart large comfortable bed HDTV.Easy walk hancock tower michican ave , central seeing sites.would stay 
 Mar 8 2008 	 comfortable modern 	 book hotel via hotel website good deal internet . expect high standard consider website mass positive review TripAdvisor . be situate well : short walk main shopping area great bar / restaurant ( gold coast ) . modern clean hotel impressive lobby , albeit dark glossy ! room & quot ; wow & quot ; friend check . pay $ 950 3 night ( room ) expect large luxurious room . two girl share , enough room luggage . say bathroom immaculate great fog free mirror , bed extremely comfortable nice touch evian water turndown nice . decor modern , clean tasteful cool chaise longue corner room . use room base , not see much hotel , apart small bar quick drink one evening . ( lot city type customer extremely noisy ) . Brit abroad miss opportunity hot drink room first thing morning bedtime , refuse pay room service price cup tea coffee . starbuck plenty ! ask concierge advice thing inside ( bitterly cold ) information correct , regard museum etc . would advise check website museum art gallery travel . save unnecessary taxi ride long walk ! would not hesitate recommend hotel . say tin ! complete online hotel questionnaire email directly manager regard room size offer upgrade next stay . worth tell hotel think soon possible , rectify problem quickly keep future customer . one piece advice british traveller - plan present debit card check - in , hotel want take refundable amount card . want charge $ 1000 3 night stay , leave reel ( also short lot spend money ! ) fortunately check staff charge minimum $ 125 . everyone want pay credit card , please aware rule use debit card . 
 Mar 7 2008 	 Great Staff ! ! 	 everything outstanding , attitude staff top . rate $ 185 , think tremendous value . will stay . 
 Mar 6 2008 	 Perfect many way 	 favourite business hotel hand ! stay many time . wonderful location food . stomache flu stay hotel instead attend meeting .... could not happy . bed comfortable 's hard get . ask corner room .... bathroom big nicely appoint . 
 Mar 3 2008 	 Perfect Romantic Getaway 	 husband go Chicago 4 night weekend . I book directly hotel exhaust online opportunity . get good deal call directly . the hotel 2 block Magnificent Mile 's quiet close everything . staff exceptional . ask upgrade arrive give we one . room ( King deluxe ) good size bath lovely - separate private rest bedroom . bed exceptionally comfortable . room service outstanding - breakfast room every morning . we would definitely stay would use Sofitel city . 
 Mar 1 2008 	 Snobitel 	 stay one night end January . woman front desk answer phone call middle check we basically dismiss we . try ask question blow . room however , beautiful fantastic bed . location also wonderful , could see John Hancock Center room . dessert hotel restaurant also fantastic . chocolate / Grand Marnier combo one highlight trip . experience check little bit well , still warm friendly , hence name & quot ; Snobitel & quot ; . 
 Feb 27 2008 	 Positive Overall 	 not great hotel ' ve ever stay , bad ( even close ) . disappointment , think friend feel , room dinky . , coffee maker room , not huge problem Starbuck be every block , 's English would enjoy nightly tea ! also like start day coffee would rather pay $ 12 pot room service . bed excellent room quiet , tv well average pre - sleep viewing , always nice come back room find bed nicely turn bottle evian bedside . would stay , would hope get room cheap next time one discount site . complaint tell concierge service city 's museum free month February , take $ 20 cab ride Museum Science Industry , tell pay entry fee . big deal find afterward close 45 minute . Lesson learn : always double check concierge tell . 
 Feb 22 2008 	 Nice Hotel Nice Location 	 stay Sofitel week October ' 07 . location great ( noisy , short walk Michigan Avenue & amp ; subway station ) . staff polite concierge service excellent . room double comfortable bed . large small either ( Nice Comforters , Huge Window , Nice Bath , well Decorated ) . hotel 's bar small well appoint ( ' m Cal use smoking allow bar ) . lobby huge chic . not try hotel restaurant plenty place around town cafe ( can not remember name ) block corner nice homey . overall , Sofitel great pick complaint . would recommend friend without reservation . 
 Feb 19 2008 	 Nice Stay 	 recently stay long weekend Sofitel Water Tower partner . staff really great overall enjoy stay . would stay . however , small detail set hotel apart always take care . ' m Sofitel Privilege member typically get room perk ( wine , etc . ) upon arrival . happen . big deal though . one issue lack hot water shower . mention , appear nothing hotel could . sleep , luck . get great rate hotel really prime location . nice room , nice view upper floor . great breakfast hotel cafe . highly recommend . aware north - bind red line subway operate right due construction . 
 Feb 16 2008 	 take care problem . A+ stay 	 stay sofitel business upon arrive tired late reservation could find . book stay hotel reservation site instead hotel even though nothing could find , able get room rate say give . hotel manager follow problem back home make sure everything feel good . much either & quot ; W & quot ; hotel place normally stay Chicago ... Sofitel , be great location , dynamite bed luxury bathroom new home windy city . 
 Feb 6 2008 	 Loved ! 	 stay many Accor hotel around world certainly top . room outstanding - extremely comfortable well appoint . bed amazing - comfortable . great bathroom well . staff always courteous efficient . location perfect . highly recommend ! 
 Jan 29 2008 	 wonderful hotel ! 	 love stay Sofitel Water Tower Chicago . husband want stay somewhere near downtown walking distance different sight . hotel locate couple block John Hancock build close Michigan Avenue shopping . hotel room clean never see cleaning staff hallway . always complimentary bottle water next bed night . nice touch . also read comment candle light lobby everyday nice smell , well . would stay recommend other . 
 Jan 27 2008 	 Perfect many way 	 take Amtrak train Chicago depart Milwaukee Airport station . first , must highly recommend way get Chicago . train ride quick easy . Chicago , cab ride fairly inexpensive within city great deal traffic , getting lose , find parking gas involve drive city . arrive Sofitel Water Tower early worried room would ready , suprise , able go straight room 32nd floor ( top floor ! ) right away 9 . amazing view Downtown Chicago even Lake Michigan . bed extremely comfortable , curtain tightly close able sleep late , comfortably . step away luxurious bathroom miss already , 8 hour later ! spend lot time relax suite enjoy large LCD tv . sushi deliver Kamahachi great . great favorite sushi place , great deliver right suite ! sofitel nice walk Michigan Ave , pleasant suprise warm weather , 30 's , brave enough shop bit . also recommend restaurant Café des Architectes great place breakfast . french toast fingerle potato perfect ! room service breakfast next morning perfect downstairs . see hotel rate # 1 probably always stay hotel return Chicago . fact , sure check Sofitel Hotel city travel . perfect many way ! 
 Jan 26 2008 	 Sofitel lovely ! 	 agree review . hotel beautiful service fantastic respect ! price high value good . stay beautiful , modern suite & quot ; romance package & quot ; -- include dinner excellent Cafe des Architectes . part package , waive entire dinner charge family 4 , include tip ! would definitely stay . 
 Jan 25 2008 	 New Tradition 	 stay hotel last year ( 2006 ) Mom holiday shopping . enjoy stay much find location perfect come back 2007 . room service wonderful . live Chicago make tradition stay downtown Mom night Christmas shop Michigan Ave . location truly perfect hit store staff helpful many trip back forth hotel lot package . sofitel go place stay -- go apart tradition . 
 Jan 19 2008 	 stunning lobby great room fantastic hotel ! 	 spend night Sofitel last week impressed design , comfort , location , staff . visit , fully understand well rate hotel Chicago . wonderful experience start lobby , manage pull rare blend sleek design decadent comfort . ask room high floor , will get good view Downtown Chicago may even glimpse Lake Michigan . however , view high point room . bed quite simply comfortable one remember sleep ! much end spend much time room . bathroom great - spacious , luxurious bright . sofitel locate minute walk one end Magnificent Mile , excellent starting point walk around Chicago . oh , visit winter not want brave element , room service menu actually quite decent . definitely come back Chicago , without doubt , stay Sofitel . 
 Jan 18 2008 	 Nice Hotel Great Location 	 stay couple night infeb . 2006 hotel lobby stunning . sophisticated . would recommend hotel adult travel without child business traveler . family - friendly establishment . room good size bathroom wonderful . stereo system hear tv bathroom . nice feature one party get get dress early morning , still sleep . gym also nice new equipment . breakfast restaurant . average .... really worth price . Skip go McDonald 's around block . location excellent , short walk John Hancock building . complaint keep hear noise bathroom wall . finally call complain b / c difficulty sleep b / c noise . send repair man quickly , could fix problem . something pipe wall shrink expand , stuck noise . wish hotel staff would least offer put we another room . 's fault could really find though . 
 Jan 9 2008 	 fantastic french hotel stunning view . 	 one great hotel ever stay ! UK business pick girlfriend Chicago airport decide make use valet service . brilliant . car take bag room know . meal restaurant good formal . lover , family business people surrounding without anyone look place . bar great stay open 2 am weekend great fun ! room little small nevertheless view 23rd floor amazing ! wardrobe door break pain much fun could bother report leave ! ! superb location . stay two night . believe review hotel awesome ! 10/10 
 Jan 2 2008 	 absolutely Fantastic 	 love love love Sofitel Chicago . five night stay celebrate two 30th birthday , room fab gorgeous view John Hancock building . strawberry dip chocolate arrival waiting room . clean staff unreal , never see time leave room come back clean room fresh towel , also small bottle evian every night . reception , door bar staff extremely friendly - almost everyone meet wonderful city . hotel good location , everything walk distance , great restaurant , bar shopping . frequent traveller New York , say Chicago blow water group certainly back ... definately stay Sofitel . 
