perfect 	 part group 4 couple stay hotel would recommend highly . the room good size location could better less 5 min walk oxford street bond st tube station.lot restaurant within walk distance . staff hotel helpfull give we lots recommendation restaurant shop , sightseeing etc . the hotel relaxed atmosphere away hustle bustle . 
 Oct 23 2007 	 Overpriced Mediocre Hotel Masquerading Upscale 	 one pay $ 532 night room , one expect certain degree comfort , even London . Millenium Mayfair deliver value price . fairly sophisticated consumer hotel . stay Ritz Paris , Arts Barcelona , Chateau Chevre D'Or Cote d'Azur , etc . , etc . , think pretty good judge hotel service . afford stay anywhere like , fool seek value price pay . my wife come London almost every fall , previously stay Connaught , Claridges , Beaufort Clivedon Townhouse discover Intercontinental Hamilton Place near Buckingham Palace ( start 240 GBP ) . love , shut repair two year find another place , , stay three night 2006 Millenium Mayfair find nice hotel right Grosvenor Square Mayfair section London . currently hotel kick three - week anniversary trip . stay 2006 . first , give crummy room face look like scene Dickens , squawk , put we large , comfortable room big window face Grosvenor Square . since final room get nice , decide stay year , would stay again . I book room Millenium 's site ask room Club privilege ( snack drink private area ) 260 GBP per night . good room could get without move junior suite , need . even though return customer , show preference . lobby staff make almost exclusively Eastern Europeans give warm fuzzie pre-1992 USSR . upon arrival , show garrett room 7th floor tiny window column middle room . amenity like robe slipper . my wife get phone front desk move another room 3rd floor overlook noisy entrance area . lot squawk meet general manager , move room last year . however , two tiny cake soap , one washcloth , one bath towel . in - room internet connection advertise complimentary function ' m pay 5gbp 4 hour internet use moment via Wi - Fi network . telephone room desk across room bed , get bed answer it . there 110 v electrical outlet bed , wife use heating pad need ( cancer patient constant pain ) , staff bring transformer weigh 15 pound . when leave club room one day , rude staff member stop wife take partially - consume bottle mineral water room . claim liability purpose ( might fall cut ) . ridiculous . likely real reason hotel want sell bottled water mini - bar gbp 1.95 -- ( $ 3.99 ) .We accustomed bottle water available without cost since fine hotel provide cost room . the good part , last night , return late hotel theatre , wife craving chocolate . call ask maid staff drop chocolate expect would normally leave turn - down service . complete silence phone , call night manager confirm ( ) chocolate ( b ) turn - down service . so , want pay $ 532 night average room , stay . wife go back intercontinental next time visit London . 
 Oct 8 2007 	 wonderful location ! 	 stay 3 night choose Millennium Mayfair hotel central location resonable price compare 4stars hotel central locate . unfortunately , sleep London cheap ! ! ! ! location hotel wonderful , close Oxford Street , Hyde Park quiet elegant area London . the room clean comfortable . the hotel staff not friendly really enjoy stay . sorry english perfect 
 Oct 7 2007 	 love much would'nt mind revisit 	 location super ! ! ! ! safe convenient , Roosevelt memorial garden directly opposite hotel , one year old daughter outlet energy time feel comfortable . Oxford street hyde park moment away Harrods four minute away taxi . as hotel , extremely convenient , clean although room bathroom little small . breakfast bar excellent waiter kind . the hotel staff helpful kind , need ship item cargo everything find good shipping company wrap box pay billing room . 
 Oct 3 2007 	 two twin king make 	 fiance stay hotel two different occasion . like previous reviewer , welcome back either give simple ' goodbye ' way . front desk hotel warm fuzzy way . however , concierge pretty friendly bartender clean people 4th floor.we ask king bed give two twin push together . price pay night , expect well 150 thread count sheet . overall smell room odd.we average experience . location perfect . close everything include bond street tube.a sidenote : one treadmill gym extremely loud worn . desperately need replace . 
 Sep 30 2007 	 Luxury Hotel tad pompous 	 Lastminute book really good rate ( £ 400 3 night ) . reception staff little stiff sniffy follow procedure guess . room small PERFECTLY form , delightful . window open , aircon dark age never use care ! . comfortable bed well appoint bedside light horrid one stick headboard . amenity require business - internet , phone . bathroom clean , bijoux , plenty linen GREAT vanity mirror good hairdryer . some noise guest forget - yell one another corridor ! - quiet night . only roomservice fabulous way norm usual room service offering . great location food , shopping walk work Bond Street . excellent would definitely return . 
 Sep 18 2007 	 incompetent staff terrible room 	 son stay Millennium Mayfair Hotel July horrible experience . although , London weather mild heat turn room 78 degree . unable turn heat 6 hour tell conceirge service maitenance man finally show . could fix problem assistant manager would move we another room . management send room fan bottle water room still swelter . club level guest yell hall night . needless say good night sleep . the next morning still guarantee room change change hotel . use American Express reward point pay room unable reinburse . we move Dukes Hotel service excellent helpful . lovely hotel would highly recommend it . Atlanta , GA 
 Sep 17 2007 	 clean great location 	 nothing complain hotel . location great , amenity clean , hotel staff friendly helpful . one downside arrangement furniture . long day walk explore London , one would like catch daily news case , World Cup . tv face window sofa face bed . one would think tv usually enjoy stand front window oppose sit sofa watch bed . overall , nothing complain . otherwise enjoed stay . 
 Sep 17 2007 	 Nice Location Outdated hotel 	 choose hotel central location somewhat reasonable price ( convert US dollar anything expensize ) . drop wrong hotel ( Mayfair ) arrive Millenium Mayfair Friday night , large event take place . hotel entry slightly hard find , packed people . lobby nice check fine . make way room 6th Floor . request room view Grosvenor Square book room upon check - in get view motor court . fine . room nice size , one thing can not get still smell . every time come back room smell terrible . mix old , smoke something else can not describe . room outdate , light poor , bed nice clean . hotel seem lot event could not keep window open loud outside . great location , close Hyde Park , Oxford Street , heart Mayfair . not regret stay , probably would not stay . 
 Sep 16 2007 	 FABULOUS TIME FANTASTIC STAFF EVERY 1 THANKU 	 HI EVERY1 stay 1 night 15 sep 07 , could talk praise place till lose voice love much , start floor manager MR damien wood everything mr wood organise spot excellent great service thank damien MR mohammed mazir floor manager excellent great service make everything spot , also alfie concierge helpful thanku much , reception girl thanku much resturant food awsome especailly full english breaskfast ummmmmmmm lovery staff excellent , cark parking hotel faultless especailly parking court yard staff excellent , stay deluxe room well sooooooooo nice everything , room service great food bring room great stay 4th floor look park fantastic BIG thank everyone involve great value money hotel BACK mr & amp ; mrs Goddard 
 Sep 4 2007 	 expect Little Things Count 	 second stay 2 month . total 16 night . also last . expect welcome back return guest ! forget warm feeling front desk check computer say & quot ; welcome back . & quot ; expect special courtesy ; note GM , fruit bowl . another body check mostly surly front desk staff . Booked Executive Club Room . unsmile young lady desk ( Linda ) offer key room 204 . nothing could prepared bad view hotel room encounter 30 year stay hotel . concerete block somehow house air conditioning unit . say ugly would understatement . complained & quot ; charming & quot ; Linda unacceptable inform book Executive Room Executive Room ! end conversation . never see room 204 ? could aplogize advance hotel full ? Passed Manager Duty give room overlook Grosvenor Square ( one small window ) . strange room require illuminate entire room open light bathroom . one light switch ! pleasant night one 's companion . noisy , quite bizarre lighting sleepless night go front desk 6AM ask change . new Manager duty finally offer nice room despite poor bed ( every room terrible bed ) pleasant . expect & quot ; heavenly & quot ; bed & quot ; hotel . spring wire order night inferior linen . Club Room ammenitie nice . staff Club Room helpful friendly contrast imperious group front desk ( one notable exception- Marina lovely helpful ) . less one deal Linda , Andreas other front desk pleasant stay . ask late checkout ( flight 9:30pm ) another Manager Duty ( yet another ! ) inform charge would 120 pound . ok , 6pm late check often good customer give break . place ! add insult injury , despite pay charge locked room overstay check time ! hotel patronize largely Middle Easterners treat colorful noisy indian wedding . make lobby pretty hectic place . perfectly fine property great location , opinion , poorly manage little put guest first . Millenium standard ? singaporean hospitality ? despite many nice letter write website Front Office Manager seem care reason convey care staff . really want like hotel ( despite rather outdated decor ) make home frequent trip London one never feel home . obvious last two stay . shall move elsewhere . start General Manager , whoever he / she may . 
 Aug 21 2007 	 London Weekend Mayfair 	 stay Millennium Mayfair 2 day part Cunard QE2 package . hotel locate quiet refined area London Grosvenor Square back door American Embassy right across street . staff extremely welcome helpful , especially concierge steer we towards great sightseeing ( Hop , Hop bus Hyde Park , five minute walk away ) several dining possibility . room compact , tastefully decorate seem recently renovate . motor entry side hotel , miss view Grosvenor Square . nicely do marble bath - one small bathroom ' ve ever encounter , well equip . odd bath QE2 almost twice size hotel bath . ... spend much time anyway ? hotel offer oriental restaurant ' celebrity chef ' bar restaurant . price somewhat steep ( £ 20/ $ 40 breakfast ) several pub restaurant short walk hotel save good deal cash shopping ( Bond Street 3 block away ) . would gladly stay next trip ! accomodate staff great location . 
 Aug 2 2007 	 lovely hotel peacfull surrounding 	 arrive back London stay Millenium Hotel really please . review suggest staff unfriendly room small , not find case . staff pleasent arrive room not ready bring we tea pass time . see man Brian Turner who s restaurant hotel . result food little bit exspensive , treat egg benedict waffle every : ) room feel like mini flat big room cumfy bed clean bathroom . location hotel really good far Bond street station 5 - 10 min walk ( ' feel like thou sun shine ) around conrner Claridges . although close shopping hub , park outside hotel make fall like tranquil place . really nice hotel would recommend . 
 Jul 30 2007 	 good enough 	 nice room delux . bar night nice cosy . bed wer not good . staff perfect although girl main desk wer not friendly helpful . food average . although one thing point , ur non smoker good go bar shall say rule relaxed night , round enjoyable night , good place lie head , row cab wait outside , perfect ! ! 
 Jul 29 2007 	 Great Location 	 stay MIllenium Mayfair 2 night prologue Tour de France . hotel great position Grosvenor Square 5 minute walk Selfridges Oxford Street Bond Street within easy walk distance . also able walk Hyde Park see Prologue . good weekend deal , approx £ 123 per room per night include breakfast , book directly Hotel think great value money give location size room . allocate 2 refurbish room fourth floor overlook Grosvenor Square quiet spacious . staff good , particularly concierge team , manage get we Ivy Restaurant Saturday night . bit mix booking , convince Ivy , Hotel , however hotel make bottle champagne ice room return . eat Brian Turner restaurant great italian restaurant , ' the Spaghetti House ' square informal meal great atmosphere . part chain would never guess . would definitely recommend hotel particularly weekend deal would hesitate stay . doubt , book ! 
 Jul 18 2007 	 ok well 	 book hotel continuation transatlantic cruise Cunard 's QM2 . location great -- heart Mayfair . hotel look ok staff exceptionally polite efficient . , room bit date quite let suite QM2 . first room assign overlook HVAC unit , smell A / C not work July . second room new , much , much small . proud premium restaurant , headliner chef -- Brian Turner -- , all - day casual restaurant ( contrary material say ) . food price beyond reason -- 20 pound ( $ 40 ) continental breakfast via room service . reasonably price restaurant area . Cunard book number English - speak people hotel , clientel seem Mid - eastern Asian . one channel tv Al Jazeera , actually watch time time , Millennium Mayfair arabic subtitle dub . expect & quot ; English & quot ; hotel . 
 Jul 9 2007 	 good hotel room bit date ! 	 get say idea stay Mayfair really exciting area fab quiet hotel within walk distant Oxford Street Piccadilly major attraction . reception nice clean Brian Turner restaraunt offer nice menu . staff extremely helpful room service take 10 minute . dissapointment furniture room seem date , 4 star hotel Mayfair nice downstair would expect . manage get hotel 2 night £ 235 6/7/007 . would pay £ 300 two night . overall average hotel fantastic location . would stay . 
 Jun 27 2007 	 great hotel great location 	 stay Saturday Sunday night whilst attend gig O2 arena . having pay £ 135 per night room colour view little - addition gain free upgrade deluxe room ! good point : hotel clean staff , friendly . enormous room city centre London . some comfortable bed ever sleep ! air conditioning almost work ( still good even cheap american motel ! ) amazing value moneyBy far comfortable hotel stay London , despite pay past . need improvement : bar price high , couple sandwich around 12.30am quality good . blunt , pretty awful . understand will not chef duty time , ingredient scratch . there good cafe Berkeley square 5 minute walk away breakfast look expensive . finally , interesting read hotel 's history . be great able stay somewhere place world event ( one stuck mind end Napoleonic war announce ) .Overall , would heartily recommend hotel one . 
 Jun 26 2007 	 great Stay ! ! 	 wonderful stay Millenium . room nicely appoint , bed quite comfortable , great pillow , upscale bath ammenite Americans use ! great staff ; knowlegeable helpful . really like location . definitely would recommend . 
 Jun 15 2007 	 good staff 	 stay 2 night in - house conference June . surprised budget run hotel - must give good deal ! excellent location , nice room ( air con quiet - perhaps lucky ? ) , good shower overall little noise either outside guest . breakfast buffet fine ; huge everything fresh tasty . particularly impressed staff efficient friendly , whether check - in , breakfast pass housekeeping staff corridor . clearly well train . one gripe - conference dinner food cold arrive . may partly fault though think speaker over - ran . lunch provide good . wish could try Turner restaurant menu appeal . overall good conference venue ( hope use ) would also recommend tourist . 
 Jun 13 2007 	 good all - rounder 	 husband stay 2 night celebrate 30th birthday 5th wedding anniversary . we book directly hotel secure good rate include breakfast . service prior stay front office superb beyond expectation . having stay birthday last year know expect : location leafy area Mayfair , directly opposite Grosvenor Square American Embassy . exclusive calm air place be within quick pace 10 - 15 minute walk near tube station . lobby elegant spacious . kind event / function go weekend threre , result minor chaos lobby delay not long . room rate we check desk per agreement quickly sort . we make way upto room 4th floor . overlook car park view speak , not plan spending time look window not problem . the room refurbish variety ( ask upon check want refurbish non refurbish room ) . size small last stay pleasant , bright airy . large queen bed , sofa chair , desk , air con ( louder last time efficient ) . usual trouser press well iron & amp ; iron board put good use . tv not work begin pleasant engineer send fairly quickly fix problem . the marble bathroom clean functional overhead shower good pressure ( great drainage ) . plenty towel toiletry . overall room average , comfortable luxury touch , well sound proof good size London standard . because event take place letter day advise we expect breakfast room extremely busy advise get 8 am ( thank ) order breakfast room . pay £ 5 surcharge morning much pleasant relaxing experience . the front office book we dinner Turners restaurant within hotel celebratory dinner . dine restaurant previously love let time . Asparagus , smoke salmon , beef fillet , ' banger mash ' , chocolate pudding vanilla ice cream went storm nice merlot . service superb great sommeli , Patrice , hand . good see Brian Turner kitchen too . one difference previous experience spoil last stay . kindly present complimentary bottle wine room recognition birthday hotel also advise Turners restaurant occasion - give dessert beautifully decorate candle Happy Birthday write lovely suprise . even check clerk wish Happy Birthday . extra special occasion time , suppose hopeful repeat experience , especially have bowl service receive front office make arragement . fact not happen disappoint we , detract overall good service functionality hotel , be little extra mile touch ( service front ) make place stand I . one warning . space hotel small rear car park upon arrival ' shoo ' NCP car park , tell space reserve due event night . & quot ; happen first come first serve ? & quot ; ask . not apply today seem . car prestige make ( incase fussy car ' on show ' ha ha ! ) . particularly bother , instead park adjoining NCP car park ease . however , wish would bit insistent first place , 1 day 21hrs pay princely sum £ 84 parking ! thought have become use London parking charge . overall , Millennium Mayfair excellent choice wish hustle bustle instead prefer relaxed environment spend time London comfort , business pleasure , without pay ridiculous price less service ( past Le Meridien Grosvenor House May Fair / Radisson hotel ) millennium ability go beyond usually expect . rate good star hotel certainly consider next visit London . 
 Jun 12 2007 	 Nice hotel slack staff 	 good reception , quick , professional polite . I club room GBP235 per night . internet connection another GBP20 slow - could make call use skype quality bad . poor sound insulation room expensive hotel . also half room face onto square first night car alarm go 30 minute 9.00pm 9.30pm . room service rarely answer phone not seem want give room service say item room service menu available - example 7 item Dersert menu serve one ( ice cream ) . ring 8.00pm 9.30 pm one anwere phone . the Valet also not answer telephone want suite dry clean ring 8.00pm 10.00pm one answer . other quite nice hotel think price well . 
 May 30 2007 	 Loved Millenium 	 see hotel list one Travelzoo Top 20 list , decide give try . hesitant reading review , even confused mother tell stay luxurious wonderful . could review different ? guess really come matter taste , , be use . agree mom one . love hotel . classy elegant , beautiful area centrally locate . room huge .... bathroom large clean ..... bed large comfy . could ask hotel . feel wonderful relaxed time walk back lobby town day . I not generally stay 5 - stay , fancy hotel . ' m type try boutique , off - the - beat -path hotel offer slightly personality sophistication . say , may run - of - the - mill ' m aware - - especially people typically travel well . think lovely , enjoy every minute stay . the Mayfair area beautiful upper - class . hotel , close tube stop , close Bond St. Green Park . walk almost everything -- hyde park green park , picadilly circus , Covent Garden , Soho , river , etc . lot shop close , include Selfridges department store Oxford Bond St . hotel tuck back residential neighborhood , 's minute walk be bustle street . feel 's good world -- nice quiet oasis sleep relax , yet close enough get town . 
 May 29 2007 	 dichotomy 	 first impression hotel great – lobby / public area smart , price pay ( GBP 178 ) leave think ' get real bargain . reception staff polite & amp ; professional . even able get room despite arrive around 11 am ( guess availability efficiency , still nice ) .The room Club Room look bit tired – could probably face lift , nothing wrong room . a / C blow cold air , light work ( small gripe , hotel – / well lighting bedroom please ) .The bathroom small clean . shower powerful easily adjust . all staff polite / friendly – always greet " good morning / afternoon " .but let down : breakfast – full english buffet Turner restaurant . personally expect something well " celebrity " chef give name restaurant . nothing say " wrong " , scramble egg look bit grey & amp ; stodgy , bacon ' look cook ( couple resident make similar comment ) . coffee ( decaf ) lack substance – hot & amp ; taste coffee , weak . knife available butter / preserve ( easily remedied take one form next table ) .breakfast include package , ' pay GBP20 top room rate would ' ask reduction . overall ' well breakfast Holiday Inns . Housekeeping – return room breakfast maid cleaning room . great , think , give quick tidy breakfast . wrong – servicing ready next guest ' even check . sheet change , towel replace etc . leave we wondering happen lot & amp ; fact ' spend night room service previous occupant leave ! 
 may 24 2007 	 highly recommend 	 US many tell we expect much hotel Europe . would guess people never stay Millenium Mayfair . hotel perfect section London . within walk distance good shopping world also surround many great authentic english pub . breakfast little pricey would recommend couple local place locate within block hotel . room staff great . listen recommendation . never feel uneasy area hotel locate safe nice . 
 Apr 27 2007 	 Fab Hotel 	 booking hotel spend lot time research London Hotels , major point encourage book number good review write fact hotel respond criticism , indicate care . I disappoint , upon arrival give room upgrade ( good friend tip hotel 50th birthday ) . room large , comfortable bed large bathroom large , seperate bath & amp ; shower . all staff , particularly front desk staff , extremely courteous friendly ( always case upmarket London hotel ) .will definately recommend hotel anybody look good , well keep central hotel . 
 Apr 13 2007 	 absolutely lovely ! ! 	 say enough wonderful thing hotel 's truly amazing staff . although husband travel London several time , first time take twin 6 year old boy . look large room ( rare London ) without spend college fund . every question phone email answer promptly graciously . enquire possibility secure small refrigerator juice water suggest empty minibar use ! check 11:00 room ready -- minibar empty , additional twin bed soon make , extra towel slipper ... without we request ! ! ! husband joked could possibly make request staff would deny -- -truly gracious , friendly hotel staff ever encounter Europe ! , ready ? ? college fund tact . still try find stayed describe 4 - 5 star hotel fantastic deal offer . king - sized bed , comfortable . water pressure bathroom surprisingly good creature comfort provide . WE DEFINITELY back ! ! ! ! thank memorable , stress free holiday ! 
 Apr 13 2007 	 luxuriously central yet peaceful find 	 return five night stay London , well half nothing good thing say Millenium Mayfair . send quick note Front House Manager make aware early arrival , pleasantly surprised find room available we arrive one much large understand norm London . room wonderful view , luxurious tub recoup weary leg day explore , safe / minibar / robe / large sit area amenity would expect hotel prestigious address . location also remarkably quiet hear little street noise stay . concierge helpful several occasion , notably get we reservation Savoy tea . hotel small enough service remain excellent , yet large enough satisfy every want have likely type trip . situated 2 block south Bond Street Station / Oxford Street , 2 block west Bond Street shopping hotel perfect couple seake pay touch extra ( though get phenominal deal online ) location central virtually everything would choose London . less 10 minute stroll south Green Park / Buchingham Palace , 15 minute walk east theatre excitement west End , next door Hyde Park . for Budget mind nice pub area eat well pint 20 pound two , several cafe morning pastry coffee 3/4 pound . luxury mind , Gordon Ramsey Claridges ( Michelin rate restaurant international repute ) one block northeast hotel - though would likely need book advance . from luxury centrality Mayfair location , proximity canadian american embassy ( neighbour hotel ) , top - level service attention , Millenium Mayfair make shortlist stay city full choice . return London , stay . 
 Apr 4 2007 	 Excellent . fully intend make base town . 	 book direct hotel birthday treat 16 year old daughter complement shopping theatre trip . excellent ! ! ! know special occasion give we upgrade room overloke Grosvenor Square , access Club lounge , full english breakfast include . facility lovely , position excellent service first class . one thing impress prior book fact front house manager take trouble read respond review posting site . well worth visit stay future whenever town ( , follow visit likely regular occurrence teenage shopping ...... ! ) 
 Mar 8 2007 	 eeek mouse 	 hotel plus point ie - nice quiet location - within walk distance Green Park Bond Street , nice bedroom , nice communal area . negative side though cost £ 9.00 glass wine bar , major factor ensure never set foot hotel MOUSE running restaurant breakfast ! ! ! ! top waitress calmly say run past & quot ; not worry love , see well ! ! ! ! & quot ; regular occurance ! will not back . 
 Feb 27 2007 	 good time Millenium Mayfair 	 Millenium Mayfair good hotel fantastic central location . comfortable pleasant atmoshpere . small bedroom look little old fashioned like personal taste prefer minimal look . public area hotel look modern . we couple small problem street noise toilet became block tell reception staff . guy reception deal extremely helpful pleasant offer we different big room , complimentary breakfast access Club Lounge . new room quiet member staff could nicer . general staff pleasant . this second time hotel would definitely go back . 
 Feb 27 2007 	 not take Notice Negative Comments ! 	 husband stay mayfair millennium 2 nt 21st Feb 2007 celebrate husband 's birthday . please take notice negative comment post site beautiful hotel excellent peaceful location , plenty character excellent stay . the hotel take every precaution , closing area prove contaminate spoil experience one little bit . so think stay advice would go ahead certainly stay next trip London would hesitation recommend other . 
 Feb 2 2007 	 radioctive material ! ! 	 stay hotel 5 day learn hotel someone poison ( murder ) radioactive material ( Polonium 210 ) ! dangerous material able confirm management whether represent serious threat hotel guest . insist show kind document goverment authority whether hotel clean one even want talk . currently worried whether expose material . eat breakfast , stay floor believe event take place . really unbeliavable british authority allow hotel open ! ! least inform guest incident take place millenium- not know last day would never choose stay knew . not recommend anyone stay place hotel prove threat public health . 
 Jan 30 2007 	 good value money London 	 stay Millenium Mayfair long week - end January find good deal London . ok palace hotel still confortable well decorate , nice 4 star luxury hotel . lobby fine , restaurant 's design interesting room big enough feel well , even furniture room may bit modern ( decoration British make quite typic ) . location perfect , Grosvenor Square idealy locate quite smart Mayfair area , 10 minute away Picadilly Oxford Street . center London enjoy quiet night sleep , enjoyable . staff front desk bellboy helpfull . recommend adress London . 
 Jan 29 2007 	 excellent value quality ! ! 	 second time hotel time even well . room excellent , quality throughout good exceptional value location . already plan return later year . 
 Jan 29 2007 	 ok nice part London 	 wife stay Hotel two night . purpose nice weekend London . book Hotel official website get Superior room 275 pound total . kind money hope clean , centraly locate nice Hotel . mayfair nice area like much . the Hotel overlook small park actually see american embassy room . room keep clean small bathroom ( consider price ) sleepibg area nice size . problem hotel noise street . wndow simply sundprove enough . even though fourth floor first night constantly awaken cars street . find solution second night stay . simly keep aircon night give constant noise room make possible sleep well . one thing mention review , lobby often fill people party . noth bother particular . cheke - in late night remove atention away arrive guest Hotel . staff try well , really keep festivita away lobby area hotel . small prayer manegement , doorman street , major hotel area one ? good hotel , leave aircon want good night sleep nice area Mayfair , London . 
 Jan 19 2007 	 Booking procedure / Reservations 	 force stay London Thursday 18th January due terrible weather disruption cause travel . like many other , upon find strand , begin search hotel room . company use travel reservation company find room hotel . book secure use credit card . know secured bed evening go dinner colleague similar situation , arrive hotel later evening . upon check tell booking confirm long room ! personal opinion company frequently use hotel group therefore able secure room reduce rate . give number people force stay London evening sincerely suspect room resold full even premium rate . the desk clerk make arrangement stay sister hotel - helpful gesture . summary : service would expect reservation top London hotel . 
 Jan 16 2007 	 wonderful wonderful wonderful ... 	 friend return exhausting weekend Millennium . stay several time chain New York good fun . the concerige look we like gold dust . able get we book Saturday night Cipirani [ correct spelling ] fully book buzz celebs . expensive worth .. we book night club & quot ; Funky Buddha & quot ; . next day sunday book fully book Nobu Met Night Club . guy desk big thank . make trip .. even hair salon ready we day check out . the negative due hetic night life endure miss breakfast morning . location super enjoy walk , wonderful walk past Hyde Park Harrods . anyone like Sushi . Yo Sushi Harrods 2 across street something else . our room comfortable indeed , perhaps little warm side , air con do not seem come , perhaps month January do not expect need . 
 Jan 13 2007 	 Millennium Mayfair Top Experience 	 stay Millennium Mayfair several time . ( worried , glow dark yet absolutely intend return month . ) also stay several hotel London year . time good room hotel , usually large London standards- key element choose hotel . one small room call front desk able willing quickly change ! staff helpful responsive- case every hotel stay London . food bar okay love piano player . another real plus choose hotel travel business . work late- add nice relaxing end day . recently hear bar , one two hotel , close . hope open soon ! also like location- easy walk Central Jubilee Tube line Starbucks . ( sorry thing expensive hotel breakfast really want good coffee . ) also easy walk Oxford Picadilly well Leicester Square / West end nice day . 
 Jan 12 2007 	 please 	 book hotel behalf friend come London concert rare special occasion want make memorable . location perfect worried negative comment forum contact hotel direct . put member staff ask email concern within hour helpful reply Front Office Manager . my friend happy accommodation service still enthuse trip . not stay can not comment first hand say impressed hotel quick respond seem committed provide good service . 
 Jan 2 2007 	 Luxury Traditional Style Hotel 	 traditional style luxury Hotel heart Mayfair London short walk Oxford Street . location great explore London many room overlook small park . staff great could not helpful . concierge walk tour info look reception change room request . my flight cancel due weather do not mind another night stay Hotel . the second room give do not like much mention reception give choice room view . room vary size shape furnishing nice . bathroom be not large do not separate shower / bath would draw back people . famous chef Brian Turner restaurant hotel do not get eat here . maybe next time . 
 Dec 20 2006 	 Excellent 	 wonderful 3 - day stay Millenium Mayfair last weekend . check - in staff cheerful , pleasant really apologetic room ready time check , even though waaay early ( around 10 am ) return couple hour later , girl remember name ! way gothe room ( nr 233 , King Superior ) huge ! big many London bedsit , ' sure ! enormous , comfortable bed ; widescreen tv channel 16 language ; seat area , free magazine ; work - desk ; spacious marble bathroom bath separate shower . location hotel excellent Soho within walking distance , Oxford Street Bond Street block away . , say : wonderful stay . come back , sure ! special kudo hotel - staff ! every single one , chambermaid bellboy concierge check - in staff , without fail friendly , helpfull , service - minded , : cheerfull . ps : tone bit " cheerfullness " review , " criticism " :1 ) ' doorman Grosvenor Sq entrance.2 ) entrance could slide - door instead revolve door3 ) lay - out lobby illogical . instead check - in desk full view , appear & quot ; hidden & quot ; around corner right . 
 Dec 10 2006 	 wondeful 	 originally book stay different London hotel due problem fire system re - locate Millenium Mayfair . read reviews hotel recent media coverage dread stay . say pleasantly surprised . hotel great location , NCP car park underneath staff friendly . hotel would expect location like Mayfair . room clean spacious lobby , bar restaurant nice . price cocktail bar mini bar astronomical expect Central London . definitely go back would also recommend other . 
 Dec 10 2006 	 problem 	 boyfriend suprise stay hotel 21st . arrive around lunchtime , although arrive check two man , allocate room tell come back later . phone advance request room view , phone call must completely ignore certainly view . room clean comfortable come get sleep complete nightmare . constant tapping noise window throughout night , far hot air con work . staff indeed friendly reasonably accomodating , would rate hotel 4 * overpriced get , well night sleep hostel cost £ 10 night . 
 Dec 3 2006 	 love 	 stay hotel 2nd December mum 60th birthday . review read internet little worried going find , stay hotel know reason worried . check quick easy helpful friendly reception staff find reception area grand . two room different floor be not problem . room 116 516 , recently decorate , clean comfortable reasonable size.neither room view overlook grovenor square problem we go time . want room overlook square would suggest email speak manager get ensure view square . mini bar fully stock , tv workle perfectly aircon bathroom compact , clean everything need . go rooms.there nice range breakfast friendly staff . definetley go back stay hotel next time Mayfair . 
 Nov 29 2006 	 confuse worried ! 	 stay hotel last Friday surprise husband . arrive , lot police outside hotel . check ask receptionist say unsure , probably US Embassy opposite ! room not available left bag go shop . arrive back later , police still , also news crew . ask policeman go time start get nervous . say russian man die visit hotel part ongoing investigation . we give room 5th floor , dark dingey , also twin ! book double confirmation . rang ask come reception would sort . realise error , give we complimentary upgrade king deluxe room 1st floor . room huge overlook Grosvenor Square ( news crew ! ! ) .We switch tv see news ... hotel .... headline say radiation find ! ! great ... worried . recently operation still stitch , last thing need ... health scare . I ring ask speak manager put another gentleman ( deal pubilicity ) assure nothing find reporter over - react nothing worry all . when return meal later , also police standing guard end corridor . it late check find somewhere else , believe danger , surely hotel staff would advise we move we different hotel . go bed . I not think management hotel deal situation well , email concern ... response yet ! hopefully risk , leave worrying . especially book anniversary break celebrate success recent operation . 
 Nov 28 2006 	 Nice Hotel 	 husband stay Millennium 18th November . celebrate husband 's birthday London one night ! therefore essential choose right hotel . hotel nice room lovely , spacious ( ensure booking , room would seat area , room sofa armchair ) . bathroom quite small spotless . little disappointed bathrobe provide could fault facility provide . hotel quite expensive expect location . real downside hotel reception staff . find unfriendly disintereste guest . warm welcome arrival , even smile . however , not let put , would definitely stay hotel Hotel Manager take note customer review , sure rectify team unfriendly staff provide training customer care . 
 Nov 19 2006 	 plush surrounding ! 	 spend night order attend dinner near - by location . great location Grosvenor Square . bit mix room room initially allocate twin double ( hate single bed ! ) initial doubt whether could rectify ( apparently fully book ! ) , able move different room . receptionist particularly helpful . dinner return bar several guest , staff attentive pianist / singer entertain we . nothing particularly dislike- hotel plush , room fine , service good pricey ( expect Mayfair ! ) . breakfast ok except bacon ! slight issue addition heavy & quot ; service charge & quot ; bar bill , despite left cash tip anyway . question amount take bill . 
 Nov 18 2006 	 like mold ... 	 ... place . sure ask one room top floor overlook Grosvenor Square . offer & quot ; upgrade & quot ; express dissatisfaction first room ( noisy , carpet stain , panoramic view filthy rooftop ) . upgrade include room humid musty , peel wallpaper visibly streak black mold . be quite certain room cat 's meow hundred fifty year ago , today desperate need wreck ball new roof . needless say keep room move , we get sick brief exposure mold end spend almost entire day London clinic . third room passable still big letdown , nothing like photo . unable find another room duration stay , resign stay room little possible . first last visit hotel . 
