pleasant 	 stay hotel Thanksgiving holiday surprise please ! hotel accomodation great . room comfortable king bed & amp ; sleep like baby ! continental breakfast great ! hotel bar great ! will stay hotel ! location ! ws fabulous ! 
 Nice Budget Hotel 	 town Macy 's Parade select hotel base fact good deal could find . selection criterion . look clean , simple room , . husband stay every hotel price range imaginable , trip , try stay cheap , know would never room . room clean small . NYC hotel small , brace . bed comfy bathroom clean . lobby area nice provide complimentary breakfast coffee , juice , bagel , do - nut . location great explore subway around corner one block . complaint AC bang roar night ( even , yes , know , be true ) . let front desk know , polite , nothing fix . strange window unti banging , never hear neighbor street . staff polite , old exactly & quot ; hip & quot ; cool place eat drink . advice . would probably stay , personally fan neighborhood close Times Square , many visitor , location perfect . 
 great value 	 travel NY often business stay many nice hotel ( Palace , Plaza , etc ) , bit worried one . travel mother , want spend lot , review choice TripAdvisor , pick Hotel Times Square . must admit good choice value - minded traveler . relatively quiet block 46th 5th 6th avenue -- close 5th Avenue shopping east theater west . would caution guest avoid room east side hotel next several month , however , big construction project start lot next door . room face 46th street noise minimal ( NY ) . hear nothing wall either . the room small normal ny . room clean bathroom newly remodel plenty shelf space nice enough towel . problem hot water . bed comfortable sheet soft , albeit rather thin . blanket bedspread ok , likely area watch newness redesign start fade . the room always warm , often hot fact , sleep AC low make temp perfect well block street noise . the breakfast room downstairs ' m sure elevator low level . doorman , help luggage get taxi . lobby nice computer guest use . my complaint vend machine not work newspaper available purchase hotel 
 Feb 26 2009 	 great value fantastic location 	 look good value hotel great location one . room comfortable clean . complimentary breakfast excellent - bagel , cereal , juice , fruit , tea coffee plenty . desk staff polite helpful time . problem heating fix almost immediately . ask pillow bring promptly . location superb - close everything . window rather dirty thing could find fault hotel . intend return next year . 
 Feb 24 2009 	 wonderful place stay . 	 stay 18th Feb , check 22nd Feb , would highly reccomend , even though renovation progress disturb we , another aspect way choice smoking room , central , pleasant staff ample breakfast . 
 Feb 23 2009 	 Great Location Great Price Clean Rooms Great Value Money 	 stay hotel Feb 15 - 19 , check Feb 20 . got room ( one Queen size bed ) 11th floor . experience generally pleasant . location great - near Times Square many place eat nearby . room comfortable clean . however , heater room work . internet access also choppy , go regularly . business trip therefore use room basic accommodation , nothing . one incident upon checkout management work address staff : check 8 am plus ask front desk staff help call taxi . say concierge usually concierge staff arrive yet . therefore , flag cab outside . surely , front desk staff dial cab use phone line re - direct absent concierge desk ? think basic service , even budget hotel . flag taxi really big deal bear mind foreigner hope get help also freeze cold outside . price range , would say good value money , visitor must manage expectation expect 5 star comfort service . would give ' 4 ' rating checkout incident . otherwise , be worth money . 
 Feb 20 2009 	 fine accomodation 	 stay 11 18 Feb. room 12 floor , great . clean , comfy , lot hot water clean towel every day . room ipod player large flat screen tv.wireless not work weekend . Reported take untill mon / tue fixedThe lobby undergo renovation - times noisy dusty something keep mind be plan stay next month . much trouble pass lobby . breakfast fine one occasion - not come US eat continental breakfast ; - ) offer bagel , toast , porridge / flake , donut , juice , fruit yoghurt . only let arranged parcel ship hotel save international shipping charge . front desk staff know expect , yet 1800H Weds leave hotel assure not arrive . yet upon return home find parcel deliver 1521H day refuse hotel . not good , will pay awfull lot ship import tax beacuse someone incompetance . 
 Feb 13 2009 	 Great value good location ! 	 hotel lucky suprise . splurge 5 star hotel , want cheap hotel last stop - boy place worth money . the location alone worth price ! 5 - 10mins walk 5th ave , time sq , bryant park , subway station , rockefeller center , public library . awesome ! great irish pub within 2 block , fast food could need surround , plus great shopping rd 5th , tkts theatre booth street times sq . the hotel cozy , room small , that s expect NYC hotel room . lobby staff friendly , 2 computer lobby internet , horrible use . slow , riddled virus . the room clean , bathroom average . nothing grose , passable . toilet flush problem , staff came fix within 10 min . maintenence guy lovely enough fix damage suitcase , going far go downstair get right tool come back fix it . the compliemntary breakfast ok . can not really complain free , place sit , take food back upstairs room . tip would use tray room take downstair load , tricky carry everything up . the lift fine old building , never wait long they . the construction work go next door , do not bother . sleep right it . for amount money pay room , well worth . I d stay location staff . 
 Feb 3 2009 	 great find great location ! 	 main thing hotel location : close Times Square theater , 5th avenue Rockfeller Center . rate quite good ( consider NY price ) room , good furniture well clean keep . hand , room stay could little large , believe 's much ask NY . 
 Feb 1 2009 	 good hotel price 	 stay 5 night January 2009 . two double bedded room 10th floor look sort sideway onto rather large hole ground building site next door . the room clean comfortable , although bit small size , not New York spend hour room . there noise building site maybe refurbishment 11 pm one night . mostly daytime early morning . breakfast include rate make hotel good value money include - bread roll , toast ( make ) , bagel , ice donut , jam , three type cereal , butter , cream cheese , apple , banana , orange juice , apple juice , tea , coffee milk . downside lovely food breakfast area refurbish lucky enough get one table chair great - manage twice , otherwise take want eat sit sofas end reception , bit cold ( outside temperature 15 degree F Brit minus ) automatic door keep open shutting . if computer wireless device , use free wireless internet anywhere hotel , include room , otherwise two computer reception area free internet access , although not new reliable , usually least one work not cut internet . location great , block centre Times Square . 46th Street come TKS booth . would probably call Hotel near Times Square . 
 Jan 29 2009 	 perfect 	 change hotel times square , horrible night Pod - hotel . spend whole night surf good price good hotel . decide try , get really good rate website . reserve king- room , little compensation horrible last night . we arrive hotel check - in time , nice piccolo come take bag storage room . lobby simple classy . check - in go well , direct room 4th floor . room really clean tidy , toilet sanitize seal . whole room really clean scent . bed huge , pretty soft . room equip coffe maker , sort nice stuff . street silent , great location , block away Times Square . I need print car rent voucher , not printer hotel , get direct comfort inn , half block away . get print paperwork . bit cold room first , contact reception , maintaince guy came make trick warm . , temperature great . really love , clean , silent classy . scream youngsters corridor , distraction . there two thing little bit confused . houskeeper , seem bit enthusiastic cleaning room , come room two time without knock , time & quot ; disturb & quot ; -sign hang door . bit annoying . the thing concern phone call room . Finland , tought will call reception price . tell , price would around 70snt per minute . tought much cheap cell , use phone call family . check - out take well look receipt , notice charge around 2usd per minute . ask receptionist , bad excuse . agree , hurry airport . summasumarum , would , propably stay summer . great pleace ! 
 Jan 18 2009 	 Great Location shame smoking room . 	 hotel conveniently locate Times Square Fifth Avenue . lot thing right doorstep fault anything . arrival room not take long realise smoking corridor . shatter go bed bed linen etc stale smokey smell . ' ve ask move not really plan hotel much . hotel staff mostly friendly not hot water . front desk first tell we leave run 5 minute 10 min call back , tell leave run 15 - 20 min ! convenient much shopping do ! ! happen three time stay become little tiresome staff helpful . breakfast plentiful previous reviewer say , many place eat due current refurb . , good value money would stay . 
 Jan 16 2009 	 stay stress free 	 stay 3 year ago pleasant experience . go back last year well . year stay delightful . clean , quiet room comfortable bed . hot , multi - head shower . nice common area , perhaps important , incredibly pleasant helpful staff . area safe 's lovely park right across street . complimentary breakfast include fresh fruit , delicious coffee , juice , yogurt , bagel , . wish could visit NYC often could stay often ! think nice hotel unbelievably reasonable cost . 
 Jan 12 2009 	 clean location 	 close Times Square . clean room bathroom . decor lobby bit outdated do not let fool . room good size location perfect . problem bfast room modernise bfast eat mostly stand couple table chair available . apart bfast seating , complaint whatsoever . pay $ 144.99 two people night ny that s bad . important thing bedroom immaculate . 
 Jan 12 2009 	 + ... LocationClean comfortable friendly 	 celebrated 40th anniversary fun trip NYC . location perfect walk Midtown .. ( check charming Bryant Park NYC Library ) , subway right farther trip ... include LGA ! room large clean , bed comfy staff regularly ask we everything ok ...... generous continental BKFST start we every . walk Del Frisco 's great steak dinner awesome view ! obvious hotel try please ... thank great visit wonderful city ! ! ! 
 Jan 11 2009 	 great room great price 	 fellow friend stay book room 2 double bed . room fantastic , keep clean housekeeping free breakfast ample , downside fantastic stay front desk liken Fawlty Towers . seem one clue . however find amusing add charm . room thoroughly modern , comfortable bed yes review breakfast room small process update provide great service time see inconvenience . location excellent handy everything . 
 Jan 7 2009 	 Perfect Hotel Family Budget 	 need affordable place close Times Square take family eight ( almost teenager ) . hotel incredibly convenient , clean , newly remodel , accomodating . need pull extra rollaway bed much nicer expect . room stay large , bed comfortable . would not hesitate stay . 5 minute walk heart city . not scare outside .. inside great . 
 Dec 29 2008 	 great place stay NYC 	 stay Hotel Times Square week November 15 22 . husband travel business , accompany . location great , couple block Times Square , within walking distance everything want Midtown . even walk Metropolitan Museum Art 35 - 40 minute ( fast walker ) . room completely acceptable , although small , well lay . unpacked , put suitcase closet , room cluttered entire week . make reservation , tell clerk would stay week say would note try give we big room , not know actually case . arrive hotel noon able check right away . would say room recently renovate give facelift , look modern . wireless internet access problem , necessary business trip . problem window bit drafty , think many long black hair towel . bit pet peeve mine hair aversion , think thick , coarse , black hair visible enough remove . bathroom floor heat , sure design chance , case nice touch . think stay room 604 ( ? ) pipe really noisy time . seem like heat bit less noticiable , light sleeper definately wake . tell front desk offer move we another room , someone look ( maybe fix ) . choose move convenience , absolutely reflection hotel staff , seem less noticable last day stay . continental breakfast nice touch , need breakfast , yogurt , toast , cereal , doughnut , usual . clean tidy attendant time . pay $ 160 plus taxis room per night , think well worth , especially NYC . third trip NYC , would definately return hotel . look luxury , clean , standard hotel base day activity , . staff extremely pleasant issue hotel . bed really comfortable , big plus book ! ! ! ! plus ipod docking station think really nice touch . amentie high end hotel budget hotel price . Canadian usually stay Delta hotel , would put Comfort Inn line , certainly high end . eat great brazillian restaurant nearby , plus Burger Joint Parker Meridian , Keen 's Joe 's Shanghai , great spot . definately stay Hotel Times Square . great hotel , great location . 
 Dec 25 2008 	 Perfect location 	 Location , Location , Location . block half Times Square action . want near Times Square , place . not judge book 's cover . New York City version good Hampton Inn HI Express . facade cover scaffold temporary sign . be clean , modernized , doorman tip ! stay hotel weekend Christmas . know NYC tourism due economy thinking year go ever one . make reservation week departure taxis cost $ 179 usd per night . arrive Friday morning surprised room immediately available . ( unheard NYC holiday ) . room ( 821 ) two double bed two spacious closet . NYC standard room adequate size . tv reception great flat screen fiddle cable work acceptably well . bathroom lack exhaust fan ( normal old building ) . bathroom & quot ; sour rag & quot ; odor . complimentary room safe . some review complain slow elevator wait fine . review state , weak area service continental breakfast . crowded Times Square New Years Eve . supposedly , renovate breakfast area breakfast serve small lobby . keep remind & quot ; free & quot ; . eat probably save family four $ 25 - 30 per day NYC price . mcdonalds around block several small brazilian italian restaurant nearby . 
 Dec 22 2008 	 Great Hotel Great Location Great Price 	 stay Hotel Times Square weekend Christmas ( hotel NYC mad expensive ) great rate . book hotel 's website easy . arrive Grand Central Station take 5 minute taxi ride hotel - location GREAT . 5 minute walk Rockefeller Plaza , little Times Square , central park far either . subway stop close , get taxi problem ( staff helpful gladly get we cab ) .The hotel also great . lobby look newly renovate . everything quite classy , especially lower price hotel . room well design - pretty modern , something not find often cheap hotel - furniture seem new . flat screen tv hot , iHome ipod dock / radio sit dresser . pretty nice $ 150 night ! room spotless perfect order . everything clean , look like first people stay room , something say hotel ' ve stay similar price . nothing hotel could well . room small have expect , little , problem . would recommend Hotel Times Square couple weekend trip , family four , anyone . definitely good find . 
 Dec 18 2008 	 Location Location Location 	 Four we stay Dec. 4th - Dec. 8th . check early able get room . late flight Monday put luggage storage . everything clean , room big especially NYC . bathroom nice size keep clean entire stay . breakfast sufficient temporary site small . anytime need anything hotel staff quickly meet request . draw back language barrier front desk employee . safe tourist area easy walk times square Rockefeller even 5th street shopping ! 
 Dec 15 2008 	 quaint good location 	 return night 's stay & quot ; Hotel Times Square & quot ; . , first , notice obvious external renovation perform , hurt stay way ( mind , Saturday evening stay , perhaps not work time ) . epitome quaint , european - stype boutique hotel . come New York take show & quot ; holiday energy & quot ; city , stay long room . however , location truly help we enjoy every part city want encounter -- Broadway Rockefeller Plaza even Paul McCartney sighting . room , find cozy comfortable . tv large , free Wi - fi highly useful , bed clean restful . young couple , size room fine -- sure family would , definitely mean 2 people use , find sufficient . be look wide , open space , find big , pricy place . be look stylish place lie hat , try Hotel Times Square . the complaint concerned parking ; difficult time find correct parking garage take advantage discount , end pay arm , leg , another leg different place . clarification would helpful . otherwise , joy . front desk helpful , albeit little difficult understand . 
 Dec 14 2008 	 GREAT DEAL - great LOCATION - GREAT STAFF 	 move Hotel Times Square two night Hilton Times Square ... disappointed ! sure , Hitlon could see Empire State Building window 42nd floor ... believe , plan spend time NYC look window , guess something wrong ! lolbee serious . location great : across street Times Square : truly reach less 5 minute walking.5th Avenue end street ; side , 6th Avenue . this mean reach popular attraction minute : shop 5th Avenue ( Saks , Cartier , tiffany everything else ) , Rockfeller Center , Radio City Music Hall , BB King Club , Mme Tussaud on . the street safe , let tell stay alone - young woman , use go night . never problem . from , easily get cab time ( day night ) , reach subway step ( less 5 minute ) . like bus , also jump : end street ( 5th Avenue ) .The building around gorgeus , big deal , beautiful architecture masterpiece NYC close distance . in street , also find & quot ; Monster Sushi & quot ; : like miso soup sushi - sashimi - maki , find really exciting , expensive all . and hotel : quite small , familiar simple , small lounge wooden wall leather couch . stair amazing , look old fashioned time clearly renew lately . the room exactly way look picture applecore site : main colour green , furniture new . the bath reasonsable size , not forget bring ( buy ) shower cap , not give that . most important thing : room perfectly clean , 2 lock . the hotel ver peaceful , anyway : perfectly safe even single girl . the staff absolutely great : always nice willing help , available time , matter obnoxious ! ! problem noise , windows soundproof : use earplug order able sleep . not think position room make real difference . what else say ? love hotel , staff location : definitely regret Hilton , price one single night high 3 night Applecore . great deal , great stay . 
 Dec 13 2008 	 pleasantly surprised ! ! ! 	 stay hotel December 9 - 11th wonderful time ! come two night ( business ) Waldorf , little nervous staying hotel . outside nothing special ( renovating ) , pleasantly surprised room value location ! hotel area run $ 300.00 + , able get room hotel website $ 200.00 night . room small clean ! ! & quot ; negative & quot ; ( be small one ) pillow . flat terribly comfortable . location terrific ! two block Times Square , Rockefeller Center , etc . great location ! ! ! ! would definitely stay ! ! ! 
 Dec 12 2008 	 great location minimal service 	 hotel great location access theatre district . room good size New York City . bathroom descent clean . bed sheet pille , make bit uncomfortable . nice bistro 44th - db Bistro Moderne . McDonalds Subway close well . little service available , example , concierge . even order extra pillow take 3 call 2 day . breakfast adequate , fruit , pastry , coffee , orange juice , run food early . arrive near 7 start will not food leave ! 
 Dec 11 2008 	 Great Hotel - Excellent location 	 like lot people ' know expect read reviews hotel . girlfriend stay 4 night think hotel excellent . ' nothing fancy room big , warm clean . bed & amp ; towel change every day . bathroom large great shower . location good thing hotel . ' 46th street 5th & amp ; 6th avenue great midtown location . walk Manhattan , ' block Times Square , Rockefeller centre , St. Patricks Cathedral , Empire State building , etc . yes breakfast ' much ' middle Manhattan , ' short place eat . two computer lobby internet access often queue room wi - fi access bother bring laptop ' problem . I would definitely stay come back NYC , ' sure . bit hard spot outside building work go next door banner front door . one tip keep eye website often get good late availability deal . hotel book month ago , notice much cheap week travel cancel reservation book save hundred dollar . 
 Dec 9 2008 	 clean great value location 	 book online 4 day first week December . hotel great location ( 46th st . 5th 6th avenue ) . hotel close Times Square , Broadway , Rockefeller Center etc . room appear newly renovate update . exterior hotel still undergo renovation , negatively impact experience all . we arrive 1100am room available luggage store ( free ) go brunch . tell room would ready 1:30pm ( even though check - in technically 3:00pm ) .love room ! nice decor , spotlessly clean , modern bathroom ( unusual glass door ) , bed comfortable . plenty light great IPOD dock clock radio . interior room view unless count fire escape trade absolute quiet . breakfast room extremely crowd , food always available . front desk housekeeping staff helpful . totally satisfy experience . great value price pay . 
 Nov 28 2008 	 big disapointing 	 find hotel happy still find something good price good place . but check , guy front desk tell reservation two room . I say not need two room say & quot ; ok & quot ; .When sow next time , tell like , everything ok , charge room . after one hour discution , sistem mistake , print paper , ( prove , coz confirmation number paper e - mail competely diferent . ) tell internet reservation anything , talk menager . when go back room try call internet company phone find web site . infortunately dial number speak guy front desk ? ? ? couple day find menager , tell check call , never do . so find finaly , nothing . she say , & quot ; sorry & quot ; give credit card , give permition charge . that be , pay two room hotel , never give second room , way , may give room somebody else . I hope go to charge , never go hotel . if think room cost 180 $ , noo cost 370 $ nightly . 
 Nov 24 2008 	 heating ? 's blanket 	 good quality hotel , fantastic location . however , stay ruin : . maid knock door everyday 9 10 morning check see vacated room every 15 minute . find v annoying . idea lie , esp weekends.b . heating , break . call reception get fix hear nothing 30 minute . hour constant chasing ( since reception seem consider urgent matter ) , someone eventually show blanket - since apparently run portable heater night ! apology explanation offer , absolutely pathetic ! c . tv work 2 day . stay mean , 's good value money , anything go wrong , not expect anything . 
 Nov 21 2008 	 decent good value money 	 nothing wrong neat , clean comfortable hotel , might bit tired run around foyer , breakfast room well really not know bother , load decent diner nearby count actual room lodging quite respectable . room quite large NYC standard , bed comfortable , good shower decent bed , US $ 150 per night good value . son fact family room 9th floor , 2 bedroom accomodation large enough really family 5 ( chidlren still small ) , excellent , like sort thing flat screen Tv 's bedroom . anyway , decent , good value location without spectacular quite ok . 
 Nov 13 2008 	 come ' princess ' ... good . 	 return first trip NYC boyfriend . tripadvisor bible can not tell long look hotel suitable term accommodation price . do not ask we find hotel - price five night stay attract we initially looking think bad . must admit reservation stay one star hotel - pleasantly suprise . the hotel perfectly nice meet need - great location , friendly staff , incredibly clean mod con . room huge ! comparison hotel tiny room double price laughing . large plasma wall , comfortable bed bathroom be not lavish lovely clean certainly meet needs opinion warrant one star . breakfast fine . small seating area self service . certainly be not 5 star cater fine small selection pastry , cereal , juice fruit etc - serve disposable plate . the downside must mention follow . room allbeit lovely face road side 11th floor - unfortunately noisy us sleep constantly interuppte be not great - ask change room say could however time get act together hotel sell could not move . also last night - exhausted jump bed new undersheet ( fresh bed towel every day ) bobble itchy - however bother boyfriend say remind stay grandmas kid - take ! would stay hotel ? price right able get room face road probably . 
 Nov 13 2008 	 great Room Excellent Location 	 return terrific 4 - night stay ( Thu - Sun ) Hotel Times Square New York City . book room hotel website ( applecorehotels.com ) receive nightly rate $ 140 excellent compare other Manhattan ( Sunday night even little less expensive $ 120 ) .actually , like 4 1/2 night -- arrive around 10:00 morning , intend check bag sightsee 3:00 check - in nice enough give room early ! even provide complimentary goodie bag toothpaste , deodorant , shampoo , razor , Aleve , granola bar . the room top ( 11th ) floor rear tower definitely much big nicer expect base reading review NYC hotel . much view , want stare window anyway ? ! ? room clean seem recently remodel . window heater / air little noisy , otherwise work fine . amenity include queen - size , pillow - top mattress , iPod clock radio , flat - screen tv , closet safe . the small elevator slow busy time , minor inconvenience . exercise room basement small bar 2nd floor . draft beer $ 3 mixed drink $ 5 . staff friendly helpful providing assistance direction . the hotel locate 46th Street 5th 6th Avenues . ( street corner sign actually say & quot ; Little Brazil . & quot ; ) street one - way , vehicle need approach 6th Street direction . construction area , not really problem . location perfect access 5th Avenue shopping , Rockefeller Center , Radio City Music Hall , Broadway / Times Square , Grand Central Station , Bryant Park / New York Public Library , Museum Modern Art , Central Park . addition , subway access block two away travel little walk distance . due close proximity tourist location , always seem pedestrian traffic nearby , safety never issue walk neighborhood , even late night . last - minute supply , Duane Reade store nearby open 24 - hour . in summary , would definitely recommend location anyone stay midtown Manhattan . 
 Oct 30 2008 	 really Good Hotel ! ! ! 	 say disagree review , stay hotel October 22 October 27 . really please hotel . get pretty sweet deal hotel . arrive 7:00a.m . allow early check - in . see room , expect , get two bedroom suite ( 1211 ) . many people site complain elevator , honestly problem whatsoever . Orange County , CA , never NY . family really fall love NY . hotel location perfect , two block Times Square . definately stay hotel next visit ! ! ! -CHRISOC , CA 
 Oct 28 2008 	 first time NY Location Perfect ! nice Rooms ! ! 	 hotel good start . flight Long Beach JFK arrive NY 5:45 , little scared be not go room available early check - in . surprise , check we right get ( 6:30 ) even upgrade 2 bedroom suite top floor . staff helpful question . room clean small everyone say . perfect location , one light away Times Square . 's Subway ( rstrnt ) like 20 foot away , & amp ; Mcdonald 's right around corner . Rockefeller Center next block , Radio City Music Hall . be first time NY Orange County , CA , expect alot . ( cause ' m use Vegas room ) let us say expect . read alot review prior stay people complain loud noises 7 & amp ; place horrible .... ur VACATION ... care wake early , u want sleep 20 hrs . fun we , cause since vaca , want early possible . ( construction go week , weekend . ) nice place . would stay again . oh , also get discount far price . think total 4 night , pay 1291.00 opposse 2000 place . 
 Oct 20 2008 	 everything need fantastic location ! 	 concerned reading review Trip Advisor Hotel would awful really enjoy stay . expensive £ 175 night location perfect want central everthing could not find anything complain . bedroom clean arrive clean excellent standard everyday . everything need hotel room safe , hairdryer , towel , toiletry , ipod station , coffee machine etc good working order . would recommend place want spend alot time Hotel want experience spectacular view City want good standard accomodation great location place . 
 Oct 17 2008 	 Hotel ( stay ) Times Square 	 book online 4 day second week October . hotel quaint 12 story great location ( 46th st . 6th 5th avenue ) , newly renovate refresh . arrive 1000am room available luggage store ( free ) go brunch . tell room would ready 1:00 return noon , 12th fl . room ready . loved room ! nice decor , spotlessly clean , modern bathroom , bed comfortable ' ve stay . husband love little reading light side bed IPOD dock clock radio . interior room view unless count fire escape trade absolute quiet . great sleeping . hear noise hall adjacent room street . hear construction noise mention review ... breakfast room busy change minute minute depend time . basic continental choice something everyone never see shortage . staff professional helpful . last morning , 6:30am , concierge go 6th avenue bring we back cab airport . totally satifye experience . great value price pay . 
 Oct 9 2008 	 horrible experience Super 8 Times Square 	 change reservation follow day due flight cancellation . holiday snow storm , fly Denver . call hotel let know would arrive late , clerk rude uncooperative . end cancel reservation finding room elsewhere . definitely would recommend hotel anyone ! 
 Oct 8 2008 	 Excellent value money 	 read countless review various economically price hotel NY , opt one since majority review positive . arrive promptly check find room modern clean . review state room small european standard , room adequate . location hotel fantastic , 5 minute walk Times Square couple minute nearest subway station . check time 12 noon staff happy store luggage we later day . alternatively , hourly rate keeping room late check . overall , impressed hotel purpose need - shop sightseeing clean comfortable bed return end day . give 1 piece negative feedback , would continental breakfast extremely basic ( free ! ) . throw away dish / cutlery / cup ok want grab something rather savour first meal day . unfortunately , witness staff member servicing kitchen area use tea towel wipe surface see wipe trash bin . mean report reception staff forget check . apart , absolutely fine would definately return trip purpose . 
 Sep 24 2008 	 bad : ) 	 return NYC good time . choose Hotel Times Square time plan New York , hotel price INSANE . Hotel Times Square cheap one could find good location $ 349 / night . review absolutely scared . hotel use Super 8 . website give 2 star less . , arrive hotel pleasantly surprised . new writing review , let go pro con list ... pro : - hotel within block ( definitely walk distance ) times square.- room clean ( majorly important ! ) - bed soft- staff friendly- free internet- Free continental breakfast.- 24 hour Business Center ( small adequate ) - Concierge helped point nearby food delivery place , able buy theatre ticket pick we , able coordinate shuttle transportation we . con : - hotel old , expect small slow elevators.- bathroom small side . room seem little big bathroom others.- mention early , hotel old , though room renovate , tightness awkwardness hallway stairway show age hotel.-the internet 's wireless capability not work room , front desk not ethernet cable , without internet first day - business center , breakfast room , fitness facility bottom floor hotel far ' m concerned little scared go ! - 's real restaurant within hotel . however , 's load restaurant deliver , concierge give menus phone number . - cab know hotel tell address ... 59 W 46th street , say & quot ; 46 street 5th 6th Ave & quot ; usually will get right . so , end result ... hotel four star hotel ... 's old , 's small . , get job do . clean , be near times square radio city build - a - bear , thing . would stay ? price right .. sure . be business person need lot upscale technological amenity , be person looking pamper next trip ... not stay here . but someone need clean , moderately price place rest head day New York , good place . 
 Sep 19 2008 	 Great Value 	 pleasantly surprised cleanliness , location courteous staff Hotel Times Square . read many horrible review hotel not sure expect lobby well light , well staff concierge extremely helpful . room clean , bed comfortable amenity plentiful . review negative breakfast keep mind continental , buffet . happy see fresh , unbruised fruit plenty pastry bread . subway block half away , close Times Square Rockefeller Center . definitely recommend . 
 Sep 18 2008 	 outstanding service value ! ! 	 stay hotel recent White Sox / Yankees series . check prompt efficient , desk person even put we suite . really friendly . toss we ' welcome kit ' necessary last minute trip forgot toiletry thing home . room perfect . clean late electronic gizmo ... flat panel , tv , iPod dock . even coffee maker ample supply , Bathroom well light clean ( mention comparison place ' ve NYC ) .great location . terrific folk . great place stay ! ! 
 Sep 17 2008 	 locationlocationlocation ! ! ! ! ! ! 	 head NY Chicago see beloved White Sox take Yankee 's . decide book Hotel mainly low cost stay compare hotel Time 's Square . admit worried place go dump . arrive impressed condition Hotel two block Broadway do not hurt either . subway two block away head Yankee staduim . car service nice ( price low cab Shea Staidum ) take Mets game . shopping locate 1 block east hotel 5th ave . room big expect , clean flat screen do not hurt either . parking non - existent bring car . walk 90 % Times Square . two negative comment . depend free breakfast fill ...... week 7 am construction start , do not expect sleep . I m sure common hotel though . back next year check new stadium alread book stay ....... 
 Sep 17 2008 	 Excellent Budget Choice Midtown 	 price right ( stay ) , Times Square Hotel outstanding budget choice New York traveler . hotel convenient Theatre District , Grand Central Midtown . hotel recently redo room clean , price , comfortable . one caveat would check price versus establishment booking -- price varie substantially basis market booking . veer $ 300 + , likely well elsewhere . low price point , worth . 
 Sep 9 2008 	 Great Location value ! ! 	 wow ! leave review little gem . season traveler , stay well . quick Fashion Week trip , need stay within budget , book . gal pal could happy . location key , walk tent Bryant Park , Rock , Bobby Flay 's restaurant ( Bar Americain , good great ) , Gershwin Theater ( last two rain ! ) really feel central ' venue ' . room clean , look like photo . comfy bed , plenty towel ( pet peeve mine skimpy towel ~ these 4 bath towel day ) . nice LG flat screen , good AC , coffee maker plus , in - room safe easy use . the staff let we NOON , since early , get room 4th floor hear slow elevator . reality , couple time impatient lift , mostly fine . I recommend watch website look fall rate . , hotel honor everlowering rate time call . save $ 70 per night method . we skip breakfast buffet , instead go Pret - A - Manger , Brit cafe around corner 6th . GREAT FOOD COFFEE ! bring lunch back room save bundle . in short , will back . would rather spend money sightseeing shop fancy hotel . sis stay week pricier ( $ 500 night ) place , much big room plumb awful ! ! give place try . think satisfied . total gamble , pay ! ! 
 Sep 8 2008 	 good location dark room basic facility 	 spend 2 night hotel . the location perfect , central , adjacent Broadway etc . at good , would say hotel & quot ; basic & quot ; someone not fussy . the room decor uninvitingly dark . window filthy warning sign open they . the hotel say computer game room , not say $ 8 per hour old Nintendo 64 game . the breakfast buffet sort hall free table always available . lot construction go within hotel . lift slow could wait get one . the & quot ; business lounge & quot ; internet access back hotel small room , behind storage area construction material . old basic computer low spec . if be stay night two , want central location compromise quality comfort suppose 's okay . 
 Aug 30 2008 	 Great 	 would like inform management hotel friendly Patriciais . she welcome clean room 804 superbly . in age busy life , smile face service industry go along way . sure Patricia touch live many travellersand would like acknowledge make difference stay atyour hotel . Jeanne Waas 
 Aug 25 2008 	 could well bad 	 Positives : good locationdecent pricereasonable ratecleanfriendly staffnegative : towel rack bathroombreakfast jokeTV 's automatically tune pay - per - view adult content previewssome mention cabby able find hotel never let deter we Manhattan . fact , ' m sure ' ve ever take cab directly hotel . Part Manhattan walk . get within block walk . much fun . the breakfast buffet complete joke . first morning gave never go back . table busy hotel . worth trouble . the irritating thing whenever return room switch tv automatically tune pay - per - view channel . unusual hotel . bother every single time preview show adult content . make sure change channel quickly 's appropriate kid see kind stuff . especially irritate consider bill family hotel . I guess key question come back ? maybe . depend deal find would consider stay . 
 Aug 20 2008 	 Great Manhattan hotel 	 stay 2 young child mother - in - law . hotel excellently locate Times Square . basic adequate complimentary breakfast . room extremely spacious two comfortable bed . we pleasantly surprise hotel . experience , would say represent good value . 
