great 	 third stay London past 12 month continue excellent . Book & quot ; Vista Suite & quot ; get room separate , generously proportion sit area bay window big curve sofa sit read New York Times coffee spectacular view Central Park ( river high enough floor ) . really believe room great value consider size / cost option mid town hotel standard . located couple block park , shop 5th avenue , carnegie hall half block Moma , ideal position long weekend NYC . feel like private apartment . new boutique ( hip ) hotel may eclipse London & quot ; cool factor & quot ; , hotel offer good looking , functional , immaculately clean room ( still smell brand new never smoke ) , quiet . get old want hear thump hotel bar 3:00am London pleasantly peaceful . restaurant food good , especially breakfast selection . gym well equip free WiFi . concierge department helpful doorman remain touch edgy . , go wrong choose London . 
 Aug 15 2008 	 Trendy Comfortable 	 pay stay far less attractive hotel NYC . London tastefully appoint spacious , clean , quiet room nice decor , ample amenity outstanding service . breakfast lunch restaurant excellent . look place stay view , may disappoint , depend like look -- simply interested something upscale , & quot ; funky & quot ; centrally - locate near Park , Theatres , Times Square fine dining , nicely . my stay business , ' m bring wife next time anniversary September -- show photo hotel 's website love ! definitely worth try . 
 Aug 13 2008 	 great location good value 	 recently stay 2 bedroom suite hotel . bedroom nice private great view , bathroom nice , overall great choice family four . cost ( $ 650 + ) plus taxis high consider location quality think good value overall . complaint coffee maker room extraordinarily expensive room service breakfast ( $ 30 - 40 / person breakfast ) . fortunately plenty rest . nearby . overall pleasantly surprised certainly return . 
 Aug 11 2008 	 okay . . . 	 new London NYC occupy old Rhiga Royal Hotel , prime , offer large enjoyable room NYC . slide , unfortunately , tired old property , take management slick , new , stark - but - oh - so chic hotel . 's ( & quot ; & quot ; right word ) , comfort seem leave style . sit either white leather rocker blue dapple - gold sofa suite area , slide without grace style . look amentie around room ( coffee maker ? phone book ? bottled water bedside ? ) remind cool room . everyone staff try hard make experience pleasant , nonetheless remain clear enough staff go around . 10 - minute wait concierge desk proof enough . convenient mid - town location , alone overcome shortcoming . 
 Aug 11 2008 	 Fantastic 	 read lot review hotel enjoy hotel - GROW ! husband get marry New York 2 week ago stay London . fantastic time . hotel well ever stay . bed abd bed linen ( egyptian cotton ) beautiful . want put bed suitacase take home ! ! ! ! ! stay 2 night London suite 23rd floor . some people forget like get away chill . care bathroom perfect art great - enjoy break people ! work 5 day week glad pamper get super hotel like . way bathroom cool shower lovely hot bathrobe fab mirror great - woman want ! ! ! ! ! eat Gordon Ramsey restaurant beautiful . food exceptional . breakfast bit overprice hey hol care right . lift work perfect - creaking ! concierge helpful help we find specific store NYC , post info home etc . truly fab hotel husband certainly go back ! 
 Aug 7 2008 	 Best Midtown Hotel 	 hotel take midtown hassle typical many midtown Manhattan hotel ( stay many ) . immaculate , check - in check - out seamless courteous even crowd lobby , room spacious , comfortable quiet , shower awesome , service prompt courteous . worth nightly rate must stay midtown important . 
 Aug 4 2008 	 Exceptional service - love London 	 stay London NYC 40th birthday April , can not praise hotel staff enough . front desk manager exceptional throughout whole 4 day stay ( Michelle , star ! ) , nothing much trouble - make feel like important people hotel . whilst downtown first day , hotel deliver room ice birthday cake , fruit platter , bottled water , bottle wine ice , 40th birthday card , complimentary . get level thought & amp ; attention small , quieter hotel would superb - large , busy New York hotel , be truly impressive . the hotel beautifully appoint . soon walk lobby , tell lot thought ( money ! ) invest place . room ( 46th floor ) corner suite , view Central Park couple block away one side , Brooklyn river ahead . view incredible , suite huge ! main living area cool designer rock chair ( 7 year old daughter love ! ) , write desk chair , big plasma tv , electronically control blind ( ! ) , huge sofas lounge . bedroom bed large hotel room ' ve stay , another big plasma tv , cool feature like iPod speaker dock . luxury continued bathroom , walk show 2 shower head either end shower area , number setting , simulate rain , 8 hour plane perfect remedy travel weariness ! hotel situate within couple minute walk Central Park also 5th Avenue shopping ( much wife 's delight ! ) . not eat London , afternoon tea , several large gin & amp ; tonic bar afternoon ( well , relax sightseeing ! ) needless say , service bar area understate efficient . we book directly hotel - offer good price guarantee , save usual trawl hotel website get good deal . risk sound like advertisement hotel , would not consider stay anywhere else New York . fact , be process plan Christmas trip back year . 
 Aug 2 2008 	 one favourite hotel 	 stay three hotel two week area : Waldorf , Michelangelo London NYC ( order , nostalgic content , reputation Ramsey ) . favourite . staff ( one exception whose name record ... concierge & quot ; can not & quot ; attitude ) fantastic . room large ( vista suite 41st floor ) extremely well appoint . travel tiny Sony Vaio computer apprecaite build monitor connection large LCD TV- bonus ! ) . power curtain nice touch , bed nice . food fantatic ( Ramsey fan colour perspective suppose ) .The much vaunted bathroom poorly design not care & quot ; Waterworks & quot ; ! fortunately little time spend really matter little . slide door not really close way . shower plain silly . sure well pay designer think look good paper , shower & quot ; stall & quot ; ( large , still stall ) build foot wide gap function well . first think maybe panel miss , apparently design . sheesh , human shower thing without wade pool outside shower do . in event , would hotel choice return trip . 
 Jul 31 2008 	 Rubbish ! ! ! 	 book London NYC change Mandarin Oriental worry Trump Tower blocking view park etc ... wish have stay original choice . I book directly hotel london vista suite twin bed , bath french door high floor possible , get hotel show room 37th floor one double bed ... good friend 20 year old daughter , go reception complain tell suite have booked not exist .. vista suit twin bed say could put & quot ; foldaway & quot ; bed room ! blow top manager say ok will give another room show 2 little single bed view close office block next door could see photocopy do ! back reception say far happy not sort go create rather large scene street hotel , manager say could persevere room one night would try sort next day , say could promise would deal ... send free wine 3 nectarine ! next day give option sort room problem within 3 hour get we another room another hotel pay , finally give 2 room next door price pay initially . I feel ought say sorry cause problem think conformation letter eye bind contract have order not feel bad all . room nice bed fantastic , shower hand dreadful design not matter angle position shower head end soak floor ... housekeeper must tear eyelashe frustration ! beakfast menu laughable , not would cry ... £ 4 half grapefruit .. £ 7 bowl rice krispie £ 7.50 cup coffee ! never go back hotel already book Mandarin November hotel look around room ... Trump Tower near bad people make , yes 's hey New York everywhere look there s skyscraper . 
 Jul 10 2008 	 great stay 4th July 	 stay 4 th July weekend happy aspect . sofa bad choice feature compensate . great bath product , two flat screen , excellent bed . loved walk shower . suite end build front rear view Manhattan . excellent mid - town location . ' ve stay many time Righa day well stay far . 
 Jul 7 2008 	 impressive ! 	 often stay four Seasons equivalent property , London NYC meet exceed expectation NYC . location ideal ( 5 block Park , block Broadway show , great restaurant around- not go foot ! ) . hardwood floor , elegant hotel , great bed , quiet ( 46th floor , right elevator , sound issue- still sure anyone elevator bell re 3 elevator ) . Julie Andrews book we , superb- Four Seasons ( indeed well ! ) service- great work great followup , include arrival . front desk good . criticism doorman , stand around street not open door greet guest , nitpick indeed- 's good hotel is- go level pickiness ! be tough customer please , surely back London NYC . not try Gordon Ramsay 's restaurant- be fan , hard find something menu teenager ! 
 Jul 6 2008 	 love 	 plan long weekend NYC ... partial work , partial girl 's weekend partial couple 's weekend . loved hotel . lot room . good ammentie . excellent fitness center . be treat well staff . twice give use house vehicle . not cheap , highly recommend . also great sushi restaurant one half block away hotel . 
 Jul 3 2008 	 large room good location 	 London modern hotel NY standard huge room . decor modern 2 room suite accomodate . agree reviews sofa uncomfortable . find room quiet . gym amazing . think coffee / tea maker request . service make room efficient . overall good stay . 
 Jun 15 2008 	 Perfect 	 stay London NYC last October perfect start finish . room unbelievable size NY beautifully decorate . staff wonderful , extremely helpful unobtrusive . food , whether room service , bar restaurant , among good ' ve ever restaurant certainly blow hotel food water . would recommend whole heartedly ' m go back October . 
 Jun 11 2008 	 great room 	 Excellent design location Midtown . best/ large room see Manhattan . excellent staff , great concierge . bar/ public area match NY hotel . 
 Jun 10 2008 	 nice .. room book issue 	 Booked week advance girl getaway . be difficult find hotel NYC offer two bed spend lot time search . London offer two bedded room decent rate . book thru Expedia print confirmation . upon arrive hotel around 3 pm , ask want king queen bed ! tell desk reserve 2 bed 1 bed acceptable want share bed friend . manager nice enough explain limited # double bed room lot family weekend ( aware guarantee type bedroom reserve ) . give we discount room late us book anywhere else . housekeep great making bed two separate sheet / blanket king bed , work okay . must run problem offer we . problem say nice , room clean , new , nice bath quiet . restaurant breakfast good although expensive ( $ 20 egg ) . favorite location city 's touristy , overall may consider husband . 
 Jun 6 2008 	 good choice ... get good rate 	 return 2 night stay London . stay property several time Righa , well aware hotel 's terrific location . hotel , preceede review seem accurate . attractive common area service seem consistently good . room spacious nicely appoint , especially like contemporary decor . say , rate $ 600 / night place worthy rate . get attractive rate , will not disappoint . 4 star property view , nightly tariff reflect . couple final pro / con : fitness center superb - one good ' ve see non - spa hotel . restaurant ( Gordon Ramsey 's ) flaw expensive . will not go detail , NYC far many great restaurant , especially price . settle drink bar go somewhere else . 
 Jun 5 2008 	 great Hotel standard 	 London great Hotel standard ! room specious well design bed soft comfortableThe service welcome pleasantcontinental Breakfast fresh richand location perfect ! ! ! less 5 minute walk central park , 5th avenue ' great shop , time square … .We stay 5 night look forward come back again . last least concierge service outstanding – prior arrival restaurant reservation make fast efficient manner ! 
 Jun 4 2008 	 Great Hotel would definitely stay ! 	 stay London one night great experience . hotel staff superb make we feel like queen . bellhop give we 10 minute tour suite not miss thing . thrilled find pretty large suite regular room price . still bit pricey , be definitely worth extra money . the location great - easy walk wherever want go ( Rockefeller Ctr , etc ) let we store bag hour checkout see site . superb hotel around . 
 may 30 2008 	 Fantastic 	 book London Suite Memorial Day Weekend ( 4 night total ) pleasantly surpise value money hotel . suite high floor overlook Central Park West , George Washington Bridge bit Hudson River . suite ( large living area seperate double door sleeping area ) free wi - fi , able dowload favourite podcast play ipod dock provide room . the bathroom comfortable nice walk - in shower massive shower head ( bathtub ) . dress area seperate bedroom bathroom . the room quiet close bedroom door ( living room ) , shut noise sometimes get hotel corridor . the location fantastic - 1.5 block east 5th Ave shopping , 1.5 block west away Broadway / Times Sq , 3 block south Central Park . the gym one well nice private hotel gym ' ve hotel . the staff efficient polite . I not try room service restaurant comment site - be Midtown , plenty place eat nearby time day night . I ' m back New York business June book London . 
 May 28 2008 	 great location far perfect 	 stay London NYC Memorial Day weekend . first good stuff -- -the hotel chic , modern , clean GREAT location theatre general sightseeing . request non - smoking room day , assume request -- -- whole floor would non - smoking . hotel smoking room not appear sell , not know people would not request smoking room smoke ? case , walk elevator actually cloudy hall . someone hate cigaratte smoke way , disgusting . go sightseeing check return bit well decide change room . late night get bad . issue noise . window not appear soundproof be light sleeper , request high floor not stay . 
 may 28 2008 	 Lovely Hotel - Concierge Complete Joke 	 stay 3 night stay May problem arrive - concierge & quot ; forgot & quot ; book table Gordon Ramsay 's although nearly cancel room ( complain via e - mail regard restaurant booking not get response ) still good value money , talk room request assure restaurant booking would taken care of . when arrived meet wonderful porter show we room . fantastic room big NYC standard request high floor bath meet ( 49th floor overlook slightly block central park ) . first night food wonderful Gordon Ramsay 's bottle wine fruit leave room complimentary ( corkscrew forget though ) .as 2 different package check check back day 2 , start get confusing staff . debit full amount credit card first night although pay cash . call request advise room service start get picnic basket ready ( package ) . put someone else comment already speak Jason regard not know price - start get baffle . explain fact guess free package booked.45 minute later arrive downstairs go Concierge request basket . concierge get phone make call commenting time new package offer ( website 8 month clearly first order ) tell would another 10 minute . husband coffee maze 20 minute go back concierge , time tell would another 30 minute - make decision go shopping come back get later . lovely - although take another 15 minute locate concierge think deliver room not also ask would room - would want picnic room 23 degree heat couple block central park ? ask address 2 different place Concierge get address wrong - second cab ride 10 block ! ! .The second day breakfast include go restaurant - tell would charge room dining include - even say would not bottle champagne include still want we go 49 floor room order - end reception say would clear post bill would not charge follow morning would need take expensive champagne breakfast room , course forget remove total bill . th champagne breakfast superb room last morning Sunday morning also much nice - 45 minute though long time wait smoke salmon scramble egg though . this Hotel get many thing right - location , room size , room gadget ( electronic blind , curtain ipod decking station ) bathroom , room service staff , Gordon Ramsay London Restaurant . concierge complete joke can not even book table restaurant hotel , can not get address right direction , can not organise picnic hamper room service ( clipboard organise ) . check staff moody stand offish - shame fantastic hotel , would stay never deal concierge minimal contact check - in reception . 
 May 27 2008 	 Good Show Old Chap ! 	 stay London Memorial Day weekend , find much like renovation Righa Royale . location great , within 10 - minute walk reach top attraction Central Park , Time - Warner Center , 5th Avenue , Rockefeller Center , & quot ; Wicked & quot ; . take one cab , run late . be much way public area , except sensational gym . lobby really long hallway high ceiling check - in desk . lounging , etc . bar locate restaurant , 's lobby bar proper . lunch & quot ; Maze & quot ; , offer exceptional food three course $ 35 . lobster risotto utterly superb . $ 35 great deal , splurge couple cocktail , tax tip $ 86 lunch . still memorable , attentive service reservation waitstaff pleasant room . drink expensive , like everywhere else New York , firmly land $ 20 drink [ $ 10 beer ! ] fine check - in experience , agent communicating housekeeping find room ready 10:30 , fantastic . receive escort room , room tour , ice service , personal fridge bring room -- minibar room personal item , be one weight - sensitive set - up , much leave fingerprint , charge you . how describe room decor ? try stay -- look like crash pad co - design Austin Powers french prostitute . thus , three - arm torch lamp round reflective metal wall piece side - by - side three - sided burgundy velvet sofa living area . somehow , work distinctive rather horrify . bedroom [ french door ] reserve traditional , comfortable linen mattress . window room open slightly , hear cacophany honk driver solve city 's traffic woe horn . 's closet ; clothe storage large free - stand rack drawer space . 's iPod dock , good lighting , wall switch sheer curtain . find Waterworks bathroom little stark -- white , sort narrow , feel kind like inside egg . tub 's bit short shower door not meet back side , be open gap . 's obviously deliberate , ' m sure point . want style luxury slightly bearable price topmost property around town , try . compare London place ' ve -- St. Regis , Peninsula , Four Seasons , Mandarin Oriental , Ritz - Carlton -- $ 130 $ 270 less per night stay . not quite effortless grace refined elegance hotel , still lot offer . Couple New York note : -- Whole Foods Time - Warner Center great stop tasty , quick sandwich salad lunch -- Peninsula 's redesign rooftop bar , call Salon de Ning , terrific . [ though see note land $ 20 cocktail . ] -- & quot ; South Pacific & quot ; Lincoln Center hypnotic wonderful . 
 May 26 2008 	 London : solid 4 - star value 	 London 4 - star hotel less typical NYC price 's win combination book . London 5 - star hotel be pay expect soft spot . pay around $ 500 / not one bedroom suite wife two small child . consider good value . will like London : excellent fit finish . clean , modern , shiny functional . room spacious comfortable bedding , flat screen TV 's , nice closet , good lighting easy internet connectivity . the gym state - of - the - art - outstanding . lot cardio machine , Life Fitness station , Bosu swiss ball . excellent . Curbside help top ; effective , always lend hand . Front desk give we early check - in late check - out respond anything ask timely helpful way . food restaurant good . close equal get place like FS RC . location 7th 54th put perfect spot walk Central Park Times Square , without feel hustle bustle get close Times Square . what will not like London : price restaurant bar high . service sub - par price tend feel little cramp even though design layout appeal . I like lobby ( lobby lounge ) let spread , sit sofa wing back chair chill . like several NYC hotel , room London 's bad . overall , would call London comperable Sofitel nice 4 - star value would recommend highly . 
 May 21 2008 	 London @ New York 	 London NYC . start ? much talk . book London Suite hotel 's website . First 's easy hotel website ' ve ever visit . take less 10 minute read hotel , check different suite book mine . so get hotel cab . doorman open door wow , shock ! italian mob style ( positive way ) . dress black well cut suit , coat hat . barely time pay cab driver , doorman , welcome use name ! ! ! ! gold star doorman . soon get London lobby , feel somewhere else stressful New York know . hey , stop second middle lobby enjoy good smell , perfect lighting , relax lounge music nice painting behind front desk . get desk check young girl behind desk tell possible check 3 pm ( check time ) . almost 600 suite can not accommodate guest come couple hour ? ask talk manager young man funny french accent come rescue . find suite call corner suite high floor beautiful view Hudson River Central Park tell will ready half hour . explain hotel amenity invite drink bar would not wait rain . 30 minute later , come back ? french guy key . treatment . escort suite , follow bellman bag . suite . separate bedroom living room , big bathroom , 2 tv . interior designer inspire day work hotel plan 's still great . gold star french guy . make day wonderful order dinner suite . wait 45 minute wrong order come . let us talk food . part 1 , Room Service word Room Dining , really interesting . small portion . add cost . long wait . forget . be New York . ask concierge , will send somewhere . part 2 dining experience London . difficult get table Gordon Ramsay restaurant . stay 4 night hotel get table casual dining 5:30 ... advice , try book table restaurant long time advance . well , want nice relax large room well locate hotel Manahattan , know go : London ; food ? ask blond guy Concierge desk . be get good contact . 
 May 17 2008 	 Jawdropping Impressive 	 enjoy 2 fantastic night girlfriend April 2008 prior boarding QE2 . know go disappointed hotel recommend discern english friend . room 25 floor & quot ; London Suite & quot ; . expect & quot ; real & quot ; suite , 2 separate room . bed incredibly comfortable quilt matress sheet . dress room area , bathroom double walk shower . staff could nicer well arrive around midnight mood hastle . conceirge service helpful girlfriend list shop visit busy 2 day schedule . hotel incidently excellently position shopping sightseeing . downstair restaurant bar mix together bit odd . say full afternoon tea fantastic light scone ever taste ( Mr Ramsey 's reciepe wonder ) breakfast excellent . vast portion thank godness english appetite . there not many hotel say would like rush back London one . 
 May 16 2008 	 trendy spacious worth Attitude Lack Service . 	 husband & amp ; stay London 3 week April , 2008 . familiar Manhattan hotel & amp ; apartment hotel definitely provide spacious room price . majority room suit square footage list website exaggeration . stay London Suite 500 sq ft - large living room couch , desk & amp ; chair , separate area mini bar & amp ; flat screen tv . mirror french door separate Bedroom flat screen . bathroom huge . bed & amp ; linen comfortable . 3rd guest one weekend & amp ; enough space 3 we . ( ask cot couch decorative comfortable ) ( people may interested know - tea / coffee maker room , chocolate turndown , newspaper deliver door . ) guest note - always mysterious mini bar charge bill . check folio daily make sure not charge . finally mini bar lock manager avoid future debate charge keep add despite fact not use mini bar ! majority London Suites View Light face office building directly across street . good room across hall face uptown , London Suites upper floor side . not mind upgrading insist high floor & amp ; amazing view Central Park & amp ; GW Bridge ! high floor , corner room 7th Avenue great Hudson River & amp ; NJ view . very limited room service menu & amp ; small portion . not overly impress food even though Gordon Ramsey restaurant . Room Service tray often line hallway - sometimes almost 24hrs . housekeeping staff take answer not want room clean - & quot ; disturb & quot ; sign - still continue call repeatedly early morning ! request refrigerator stay long , break . other available , next morning 7 am member staff show door . 7 am bit early knock someone 's hotel room door . also double charge dry cleaning . seem like hotel poor management . if gym important - satisfied . 's open 24hr day extra charge . free water bottle & amp ; earphone . modern machine - cardio & amp ; weight - spacious & amp ; clean gym . complaint area . while impressed size & amp ; decor room overall ambience hotel - extremely disappoint lack service attitude staff . everyone front desk attendant waitress extremely arrogant . tell hurry afternoon tea ( mad reservation ) want table another reservation - even though restaurant practically empty & amp ; not even hour ! get waitress order drink London Bar take least 30 minute even approach attitude . specialty drink menu worth wait price . ' m native New Yorker & amp ; use trendy place , attitude overpower & quot ; coolness & quot ; .After 3 week deal attitude staff could wait check . realize arrogance & amp ; lack quality service could mask David Collin 's beautiful interior design . look trendy hotel & amp ; look past extremely rude staff , poor management & amp ; lack quality service may like London . expect greet smile & amp ; treat like pay guest - would recommend hotel . 
 May 14 2008 	 great location even Better Hotel 	 great location , great hotel even well staff . stay London three night recently definately come back . location perfect broadway show dine great restaurant ! Carnegie Hall , Central Park MOMA literally minute away . check smooth efficient concierge Jarod encyclopedia NYC ! eat fantastic restaurant , see 2 broadway show great time meatpacking district ( must night club ! ) . room spacious beautiful hard wood floor fantastic dual shower . view central park nice , although high floor prefer next visit . can not wait visit summer try Gordon Ramsay . 
 Apr 29 2008 	 wonderful ! 	 great location , spacious suite , modern feel , great bathroom amenity . love hotel hope go back . 
 Apr 28 2008 	 Loved London 	 recently stay London recommendation friend . start , please everything . NYC wedding , call ahead request early check - in . front desk person- jason , attentive helpful say not think would problem , suggest call ahead day . , reach jason , tell everything set . indeed , be . our room , regular London suite , wonderful . would guess 500 sq ft . separate living area . modern , livable nicely appoint , LR hardwood floor BR carpeting- like . french door separate 2 room . bathroom narrow long work well we . take quite water shower heat , huge deal . another poster state , room quiet . comfortable- love bed , love pillow , even fall asleep stiff sofa living room , must uncomfortable . we often look suite hotel travel daughter still crib . London would work wonderfully we , would plenty room pack n play LR.Afternoon tea part package Amex lovely . waitress excellent -- notice tea look weak , go get new pot . ready give extra tip tell gratuity include package- nice , extra tip , impressed . scone unbelievable . not particularly love area -- 's little close theatre district taste , close central park 5th avenue , can not really complain . the negative think parking charge -- $ 55 . next time self park nearby lot , many . 
 Apr 23 2008 	 stay hotel avoid restaurant . 	 get back four night stay London NYC . travel parent , two bedroom suite . enjoy hotel much ( though agree thing well other ) would highly recommend . first , lobby beautiful . not large , place hang ( not even chair ) , can not sit around enjoy drink friend . nice place meet friend go evening . room clean beautifully design . sofa living area build lounging . not sort sofa sink , instead bit formal . genius sofa ( curve build wall like banquette ) work combination coffee table front create two entirely different room . table coffee table height , nice living room area . coffee table adjust raise height dining room table living room suddenly become dining room want eat . 's genius ! wood floor living room . the bed London NYC super comfortable . , like , allergic pillow , know ask pillow room replace synthetic , usually get hard , uncomfortable piece foam . London NYC . synthetic pillow bring room comfortable . hate climb bed find sheet poly - cotton blend . cotton sheet London NYC disappoint . the bathroom room beautifully design . tile cover wall floor ceiling attractive pale blue color match rest room . tile sort rough ( think call ' tumble tile ' ) hand - finish look . large two bedroom double shower double sink . room great shower head plenty water pressure along handshower . bath product ( shampoo , conditioner , body lotion bath gel ) Waterworks . one thing notice hotel quiet . grant , 39th floor , almost noise corridor either . finally realize wall hallway paint , instead wallpaper velvet - like fabric ' m sure absorbed noise . the staff polite attentive . want clothe launder house bring room could hang dry hotel graciously accommodate I . the London NYC five block Central Park two block Museum Modern Art close Broadway play . hate Times Square , get to admit convenient see play . while enjoy stay overall , agree restaurant ( own Gordon Ramsey , celebrity chef London ) pretentious odd menu . , will readily admit adventurous eater , artichoke soup frog leg ... gag ! carpaccio tuna swordfish ... veal sweetbread ... double gag ! ! ! portion extremely small , encourage order several item share want . problem , could not find anything menu appeal . half menu cold food . figure order fish dish cold side menu , not pay attention get basically sushi ( * loathe * ) . not eat , never offer remove menu . room service also ludicrously expensive . order one order pancake , three scramble egg diet coke bill $ 60 . know Manhattan , wow ! advice stay hotel ... comfortable , stylish convenient ... avoid restaurant eat elsewhere . 
 Apr 21 2008 	 Splendid ! 	 town weekend choose London base several recommendation -- disappoint . fantastic . location perfect . near everything ! place clean , beautifully decorate staff -- wonderful . suite 35th floor zero noise . cocktail bar -- service great bar drink great . snack table lounge -- service snailish bad enough dampen mood . breakfast include room rate -- $ 379 per night suite NY ? seriously amazing value ! food good . not eat restaurant however -- maybe next time .. honestly great location , many option . would stay heartbeat . really good : ) 
 Apr 19 2008 	 spacious room ( modern ) attentive staff 	 INCREDIBLE room service . Chef Gordon Ramsey 's London restaurant downstairs . great location city . walk distance Times Square theater . the con uncomfortable couch living area . low back armrest - hotel room function first design second . , room incredible . highly , highly recommend . 
 Apr 15 2008 	 Liked place 	 wife stay London NYC four night early April 2008 . frequent visitor New York Ireland ( twice year last five year ) generally stay Waldorf = Astoria ( although first time stay UN Plaza Hotel would not recommend ) .as travel time sister - in - law , want get two - bedroom suite londonnyc seem offer good price ( think $ 917++ per night ) . generally stay one - bedroom king suite WA $ 750++ per night charge seem reasonable . the day trip start get cold foot hotel many review TripAdvisor seem negative , especially review mention hotel pr people make positive review site . check last minute ( ie 27 hour check - in ) price two - bedroom suite drop slightly even find WA two - bedroom suite $ 100 less per night . almost change decide would much hassle bear mind sister - in - law travel London . retrospect , glad not change reservation hotel excellent . location absolutely superb - much well wa - especially wife like shop midtown hotel close heart Fifth Avenue . also quite close Central Park Columbus Circle short distance away . hotel relatively modest lobby provide opportunity sit relax unlike WA . however , quite personable find staff helpful approachable . use service concierge ( arrange minivan take we extra luggage airport ) accomplish minimum fuss . also ask travel power adapter leave home provide immediately fuss ( problem last year WA end buy one gift shop - bit irritating ) .The bar quite attractive space lively evening . feel pleasant aspect hotel . service bit patchy food service slow . bar food three occasion would not rave although alright . can not really comment price seem okay . the room quite nice - two - bedroom suite actually one - bedroom suite associate queen room . two room access one external door open small hallway hotel corridor two door , one lead room . imagine room rent seperately external door leave open . take suite sister - in - law queen room . I initally bite disappointed room small wa room ( although approx $ 450 per night one - bedroom part suite compare favourably WA suite ) . however , stay go grow like room lot . wife , generally dislike modern interior , really like room comfortable happy . bathroom especially excellent two shower ( bath ) nice washbasin set . however , door bathroom bedroom slide - over would not stay shut . although annoying , not much problem door not open directly bedroom rather closet area . however , imagine problem people . not bother complain try fix . closet area bite sparse room size . closet unit mobile unit open side relatively little storage space . room make large closet space would enhance room . the bathrobe excellent - ' m big guy first hotel bathrobe actually fit many year . the in - room entertainment average ipod clock - radio plasma screen television . work desk quite good , contrast another review site , find chair pretty comfortable . the bed excellent although little bit soft side . room also safe feature miss wa.i use gym three occasion find excellent - street ahead WA . think hotel must access pool well suggestion hotel guide concierge could arrange quite easily . we not use room service can not comment . turndown service exactly would expect hotel standard . when holiday always eat breakfast hotel occasion felt pricing quite steep offer ( bowl cornflake $ 14 ? ? ) . generally light breakfast Metro Cafe across street Irish Pub excellent reasonable . all feel excellent four - star hotel ( think 's four - star ) would compare favourably many five - star hotel stay around world . would not Four season Mandarin oriental standard would not price bracket anyway . I would recommend anyone stay londonnyc experience something quite civilised . 
 Apr 14 2008 	 great hotel ! 	 back great ilttle gem midtown manhattan . negative hotel - food , room , location , service etc excellent . back ! 
 Apr 7 2008 	 Great Hotel ! 	 stay London long weekend amazing ! great location , within walk distance great shop . see two Broadway show walk well . staff great , friendly , etc . room fantastic . like hotel room modern , different - than - all - the - other design , love room ! bathroom great ( 2 shower ) , comfortable bed , plenty space . love suite layout , like apartment . eat breakfast morning restaurant , good . also afternoon tea , great well . would recommend hotel anyone ! 
 Apr 3 2008 	 good NYC - look ! 	 can not say enough amazing thing hotel - room , service , location - oh , mention service ? ? NYC business 3 week hotel make whole thing possible . room spacious living area ( particularly great woman meeting want separate space ) ... honestly say 3 week one thing go wrong heavy service demand . miss call , lose fax , slow baggage , anything . even stuff usually annoying - like housekeeping check make room - handle graciously . the negative mention , case important , room service pricey restaurant locate property . nothing much do - super expensive find appealing . but hotel seem aware , provide in - room fridge free snack , course , midtown new york , food step front door . it usually virtually impossible find hotel major city practical business comfortable stay vacation . London - walk distance everywhere would want , great business service , bed / linen make want stay sleep whole day ! fact , suppose go away one weekend area , choose stay London instead relax like tourist . I stay whenever NY - let ( ask lot work ! ) . not miss chance get . friend colleague see room experience service comment special midtown Manhattan hotel . 
 Mar 28 2008 	 must stay ! 	 book 30th anniversary therefore want perfect . look Trip Advisor book comment make think maybe book somewhere else . glad not . hotel room ( London Suite ) , Gordon Ramsay restaurant , staff , amazing . well look . thing could make well would meet Gordon ! 
 Mar 25 2008 	 highly recommend 	 hotel 5 min stroll Central Park , Broadway , Times Square 5th Avenue . perfect location view . the room everyone else say suite , spacious , clean problem noise ( 11th floor ) bar seem place & quot ; see & quot ; price match . not try restaurant want eat , advise booking ahead resident hold sway reserve table . only complaint would room service charge . top already hefty room service menu price & quot ; convenience & quot ; 17.5 % room service charge 10 dollar per person service charge . quite shock sign 2 coffee room ! seem like blatantly rip off . ask doorman breakfast restaurant reservation early due time difference etc immediatley respone place call Park Central , around block . recommend , food terrible seem lazy recommendation view Carnegie Deli close much well later find ( go early queue 11.00am massive portion beware ! ) good bar next door & quot ; Faces Places & quot ; irish bar around corner 7th Ave show premiership football we interested , good atmosphere , bit cheeky charge 10 dollar cover charge seem place around see 's do ! go Empire State - tip buy Express pass online go ( cost additional 20 dollar ) get massive queue 8.00am observation deck . probably save 2 hour queue reckon ! good bar greenwich village & quot ; 1849 & quot ; great food live music every night . stay London , will not disappoint reasonable room rate class hotel . 
 Mar 24 2008 	 really enjoy London 	 return three night stay London NYC . total five people reserve two room . arrive New York noon check see could drop luggage begin sightseeing . one room ready we . room ready return late afternoon . room large clean . bathroom tub great shower . pulsate shower head great pressure feel great muscle sore walking . bed comfortable , include rollaway use teenage son . price alittle high wanted pay , overall great stay . staff friendly helpful . one doorman particular really hustle get us cab go airport . Fifth avenue close unexpectedly street gridlocke . load bag cart , roll block seventh avenue find us cab . get airport time ! would stay . 
 Mar 23 2008 	 great time 	 March 18 - 22nd . business pleasure great time . location great , close everything . room spacious overall hotel nice . room extremely clean . service hotel employee also outstanding . drink lite eat bar one evening . service great food mediocre . maybe night . overall though , great time would definitely stay . 
