great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Jan 24 2009 	 Fantastic 	 Fantastic againa wonderful hotel wonderful location wonderful city . staff great room substantial NYC standard . [ bed vote # 1 mattress world ( survey ) ] . look downtown location ( friend stay Soho Grand ) select MidTown . midtown deliver fantastic retail therapy , 42nd street , Central Park , MOMA , TheMet [ not miss ] , restaurant , bar stunning architecture . real answer MidTown vs . DownTurn solve fast subway [ + cheap ] taxi . 
 Jan 24 2009 	 Fabulous Location 	 get back four night stay Palace love every minute . main concern find right hotel we make sure good location . want able see popular NYC spot , not want take cab everywhere go . palace perfect choice . we easy walk Rockefeller Plaza , Rainbow Room , 5th Avenue Shopping , SAKS right across street , Magnolia Bakery , FAO Schwarz , etc . even able walk Times Square , although little . hotel staff could friendly helpful . work several different conceirge stay , one knowledgeable happy make reservation , give direction , love recommendation . room good sized , large flat screen tv , spotlessly clean , beautiful view ! 
 Jan 23 2009 	 Exceptional hotel 	 add positiv remark splendid place . for sure one good hotel travel experience . thank entusiastic opinion Tripadvisor book hotel directly website night absolutely satisfied , fantastic location vis vis St. Partick Cathedral top quality room perfect service . I reccomend also fitness room friendly staff . how wonderfull spend one spring week NYC , live terrific hotel . 
 Jan 23 2009 	 wonderful hotel 	 join QM2 New York hotel list .It wonderful . 80th+ floor fab view across New York across road Zac 's 5th Avenue .. much husband dissapointment . staff fall help nothing much trouble , 6 year old fussy eater well cater . try fruit platter breakfast ! oh goodness feast ! would highly recommend hotel , really wonderful . 
 Jan 23 2009 	 omgfantastic 	 already read review , not need tell good hotel , fantastic , good location , amazing bed , good night sleep , friendly staff , excellent gym lovely view . breakfast little place call Newyork Luncheonette , family run excellent value . spend new year eve time square good night ever . everything NewYork big well would imagine , ice skate central park snow , bright light timesquare shop 5th ave , think go can not decide , go , good thing ever , will not regret sure . 
 Jan 19 2009 	 Palace amazing 	 Palace beautiful bedroom really big NY standard extremely clean comfortable . staff courteous helpful . beautiful lobby Gilt bar incredible - spectacular room - not mind pay $ 18 per drink . atmosphere incredible though , worth . location fantastic - right across street St. Patrick cathedral . negative worth mention price breakfast outrageous ( $ 150 four basic egg / bacon / toast breakfast ) not make mistake - eat somewhere else ! 
 Jan 10 2009 	 Fab time palace ! 	 book 3 night stay palace trip husband young child 1yr old base tripadvisor review be not disappoint ! pay $ 2500 inc tax 3 night executive level room . expensive midweek definitely worth every penny . stay past waldorf , fitzpatrick essex house definitely favourite . location superb - easy walking 5th ave central park times square . staff superb welcome accomodate . executive lounge great full hot breakfast lovely food throughout day inc mini deli style sandwich soup pastry lunch . lovely comfortable oasis relax superb view st patrick cathedral . find end eat meal convenient baby esp nap ! husband use gym love esp view . upgrade room view cathedral spectacular room great nice size large flat screen comfy bed . 30th floor . wonderful relax trip can not wait go back 
 Jan 7 2009 	 Fabulous Palace 	 really beautiful hotel , room good size ! bit research & amp ; many hotel manhattan tiny room - standard king room size Jr. Suite , make price right . upgrade view cathedral without ask , staff friendly helpful . eat anything @ hotel ... 's expensive . cocktail @ Gilt , lovely , Service impeccable . really enjoy stay . 
 Jan 6 2009 	 Felt like queen ! 	 recently take 2 daughter good friend New York holiday , want treat first class experience . let first say , stay several different hotel New York last 10 year , never experience quality class hotel represent . entry courtyard fully decorate tree , elegant foyer staircase entryway , feel like royalty return home ! picture Trip Advisor not begin show elegance hotel . bed like sleep cloud , comfortable , hard get leave room day . location close Rockefeller Center , shop one family could survive - the New York Palace Hotel one miss . although take bit splurge we visit , deal find Trip Advisor , hopefully return spring pamper ! 
 Jan 5 2009 	 Beautiful Hotel 	 hotel wonderful , look beautiful outside interior match . contact hotel prior trip surprise present girlfriend arrival give upgrade ...... VIEW ! ! room look St. Patricks Cathedral , amazing . room large clean great tv bed lovely bathroom great toiletry . hotel concierge helpful always offer assitance staff welcoming . want beautiful hotel top location one , definitely visit New York Palace future . 
 Jan 2 2009 	 Elegancy New York Palace 	 always want stay New York palace….and happen . book Holiday Special , include four night / pay three King Room American Breakfast . take cab hotel arrive , people wait cab airport . doorman take luggage bring inside we . lady reception polite friendly . request view cathedral , give we . also high possible wit room 17th floor ( room number 1716 ) already satisfied . ' rush hour ' people check . bell boy available take luggage room . leave luggage bell desk . go front would take care luggage . ' always excite open door expect . well , assure meet expectation well . wow , great room view … .. fantastic . view Saint Patrick ' Cathedral Rockefeller Center background . luggage come five minute later , quick . room large , space super clean . every room door bell instead bonk door . two chair table window . work space / desk also comfortable desk chair . also large ( 40 inch ) flat screen , mini bar ( expensive ) safe closet . bathroom perfect size . enough towel large fluffy European Bath Products . enormous bed extremely comfortable . control panel bed heat , air , light , etc . one touch put light . warm , ' go bed , use control panel . turn service faultless . Delicious Lindt chocolate pillow . background music . Bathrobe lay bed . soft slipper next bed . well , need say ? house keep excellent job ! write ' thank note ' ( Christmas Eve work ) give extra money . come back also write we . nice . Christmas Eve pleasant surprised tasteful gift hotel . happy Holidays Chocolate . thoughtful ! lobby / entrance classic , grand staircase high ceiling . enormous chandelier hang middle staircase . Christmas decoration lovely . Christmas tree luxurious decorate . courtyard front hotel decorate large Christmas tree thousand Christmas light . favorite ' photo spot ' tourist . sometimes crowd people hang around courtyard . sometimes annoying ! place quiet ! People scream . people stay manner respect guest . find hotel … but ' know ' always affordable . great deal Christmas . ' mailing list , know future … .. really bad thing say hotel except one thing . pay $ 16 per night internet access . stay Milford Plaza , Helmsley Park Lane , Hotel Park Central , Hilton New York Hilton Garden Inn Times Square , say New York Palace well ! ! 
 Jan 2 2009 	 fantastic = just perfect 	 moment arrive could perfect . staff helpful friendly . room ready we arrive 2 pm . ask room view . . husband explain email previous ask possible room view 60th Birthday . receptionist say would look ano room we . find one $ 35 per night . process accept say please wait one moment sir go away short , come back tell we boss agree upgrade we 31st floor extra cost . perfect birthday present view St Patricks Cathedral New York City large georgious room . keep pinch time 19th-23rd Dec 08 . thank New york Palace wonderful staff always remember 60th special reason highly recommend hotel anyone stay New york special occassion . oh Christmas decoration fantasic side outside hotel . thank 
 Dec 31 2008 	 ! ! ! Best Hotel ever ! ! ! 	 travel NYC December 26th 30th 2 child age 2 5 . travel extremely high expectation hotel meet surpass ! one well good hotel stay 12 year family travel . we book directly hotel reserve King Bed , Cathedral View room access Executive Lounge . nightly rate $ 620 usd worth every penny some . from moment arrive , serve like royalty . 5 year old daughter ask Bellman Mathieu hop luggage cart ride room . the room fairly large accord NYC standard . room extremely clean ( hotel ) . bed heaven like . furniture beautiful like new . nothing good offer . Molton Brown soap granite bath , hotel get pay more . the service unbelievable . wait nothing . clean room second leave without ever even see clean cart hall . concierge top notch . doorman mailman ... staff happy return happy serve you . the Executive Lounge offer good service ( already miss Juan Carlos ) , serve great breakfast buffet every morning , light lunch , open bar ( everything could want ) late afternoon light dinner dessert time 8 930 pm . lounge get soft drink , water , juice , fruit , cookie , candy anytime day . say juice cookie , not mean Oreos Tropicana ... freshly make cookie real orange juice . access lounge raise price room , worth every penny considering would pay $ 8++ small bottle pop in - room service free access ... nothing bad say hotel . expensive like say , get pay much . upon departure , two child give hotel bear take home souvenir stay ny . truly simply good . 
 Dec 29 2008 	 Lovely Hotel Great NYC Location ! 	 spend Christmas New York City , New York Palace perfect location . across street Saint Patrick 's Cathedral short easy walk Rockefeller Plaza . ( note : wish attend Midnight Mass , must send ticket two month ahead time . not know , hotel concierge able assist us ticket . ) trouble reservation . room ready early request , one hour . even ready hour check - in time . front desk staff particularly accommodate , night manager call complaint , offer we upgrade room ready immediately . nice , still bit disappointing . original reservation adjoining room friend see quite awhile . future make request urgent , note room west side hotel ( 32nd floor ) fantastic view . east side floor look brick wall . the hotel lobby comfortable fun place people watch . Christmas decor elegant outside light tree well Rockefeller Plaza . hotel several great photo spot ! concierge desk make reservation nice restaurant theater district we . note often recommend premium seat high price eatery , one , Bistro Milan , perfect . tip concierge assist we , people . wonder many hotel guest country tip handle different manner . it busy place , meal hotel pricey . choose deli around corner breakfast , enjoy dinner Istana , hotel restaurant lobby , delicious food , great people watch . try formal restaurant , Gilt , next trip . the room lovely well appoint robe , slipper etc . housekeeping staff excellent job . always courteous , quick , efficient . turn service evening nice touch , robe bed , ice , chocolate . bed linen comfy feel clean . pillow duvet excellent , towel nice thick . warning : not pick goody refrigerator bar . lift , scale make note charge . parking pricey convenient . park , could take car without extra expense , drive necessary . walk excellent restaurant , store , theater . hotel really great location . 's close Times Square well , offer much quieter elegant atmosphere . times want cab doorman wait we . overall , stay nice . hotel beautifully decorate , elegant yet comfortable . busy place , busy one would overwhelmed . lot security , obvious . put hotel top list plan next trip NYC . 
 Dec 28 2008 	 wonderful time palace . 	 stay palace 4 night can not fault single minute . partner book trip suprise prior arrive e mail hotel inform trip special reason ( proposal ) . e mail back say would try give we upgrade room good view . arrival put room fantastic view cathedral also upgrade room package include breakfast every day . room really nice size , although mini bar pricy buy drink local shop take back room . 1st night complimentary bottle water chocolate cover strawberry leave room turndown service . Molton Brown toiletry replenish twice day maid service room always spotless . reception staff , doormen concierge always polite friendly way day . hotel location brilliant . within 10 minute walk various direction Broadway , Times Square , Central Park , grand central station Rockafeller Center . empire state building 20 minute walk too . all fabulous time we would never stay anywhere else New York . 
 Dec 26 2008 	 Palace Concierge Saved Day 	 stay Palace Hotel impressed service breakfast move write review . end breakfast Istana lobby area , four year old girl decide world end candy cane break . cry uncontrollably disrupt pretty much entire lobby area . hustle front door try calm . immediately concierge ( name Bitan believe ) came talk daughter calm . bring cup water teddy bear tear forget . kind helpful would stay Palace next time ' m New York . 
 Dec 22 2008 	 exceed expectation 	 although ask room double - bed , priceline 2 guest instead 4 ( kid ) , book room king bed . hotel accomodate , although room w / double bed , give we extra large king room 2 cot kid . work great ! staff accomodate , get deal room , convenient everything . ( careful , everything hotel expensive -- parking $ 50 / day , internet , spa , etc . -- could even afford eat hotel 's rstr 's ) . view St. Patrick 's cathedral world , mention view 50th ( could see Radio City Rockefeller center ! ) downstair subway level Rockefeller Center plenty place eat ( cheap ) , include Starbucks , great view ice skating rink . good Christmas vacation ever . 
 Dec 22 2008 	 Palace still Palace 	 New York Palace indeed one New York´s top hotel . stay last June night moment walk front door treat like rayaltie . although walk wear Jeans cardigan treat dignety rescept one never get feel staff look whatever wearind , something happen grand luxury hotel . stay deluxe king corner room room please spacious decour make fall lager it´s 350 something square foot . common area hotel room combine opulence bygone era modern amenity like in - room climate control 40 inch plasma . we eat Istana restaurant twice although nothing special food , swift polite service make it . the New York Palce generally consider one New York´s top hotel . People tell it´s nothing compare like Peninsula , Plaza Ritz - Carlton central park beg differ ! location Palace excellent much well fact upper east sider ( pierre peninsula ) . Palace manage great luxury hotel without attitude snobbery selectiveness . sure , it´s glamorous flamboyant Plaza Peninsula glamour come excruciatingly tight security occasional snobbery New York Palce one top choice New York accomodation . 
 Dec 16 2008 	 Lovely Hotel 	 partner stay 3 night Thanksgiving , hotel beautiful well locate , request view cathedral , give we - amazing ! , room spacious bed extremly comfortable , excellent house keep lovely Molton Brown product bathroom - fault would overpriced lobby bar $ 15 + tip small glass house wine , guess expect hotel standard , also stay clear mini bar - unless expense millionaire ! apart stay great would love return one day . 
 Dec 10 2008 	 fabulous hotel 	 wow ! Husband stay night past weekend recommendation friend . able check early ( around 12 ) . friendly efficient staff ( front desk doorman ) . lobby fantastic- decorate beautifully holiday . gorgeous view cathedral center hall . room super clean fairly large nyc standards- will post pix later . bed comfortable- sleep great ! good location- able walk TImes Sq - Rockefeller Plaza - etc ... absolutely would stay ! small word caution -- may oversight overcharge drink lobby bar . order 2 glass merlot . Bill charge we 1 merlot $ 14 1 cabernet savignon $ 24 . restaurant downstair pretty pricey ok food- ie lunch - burger , caesar salad shrimp 2 glass pinot grigio $ 150 w/ tip . egad . 
 Dec 8 2008 	 stay Somewhere else 	 husband stay one night April 2007 . know review little late come , recently join tripadvisor people know experience have . my husband book room we . propose night . set room perfectly arrive chocolate eat milk drink chocolate . also copy computer game get desk note write notepad saying & quot ; Marry ? & quot ; . also buy bubble bath we use night ... overall , well plan part ... husband explain hotel staff set room early night . set room , put & quot ; Disturb & quot ; leave . come back later , disturb long , walk room , husband notice milk put room outside room across we . obviously oblivious , go room , check minibar notice everything place go . run phone hallway ( yet propose , not want overhear ) call ask enter room & quot ; Disturb & quot ; on . to make long story short , minibar guy come back stuff ( barely speak English , might add ) , not apologize come room . say see luggage stuff , think one room . clearly unacceptable . raise problem head security hotel . say do , well offer we inconvenience complete lack respect privacy free upgrade room tower come back within year . needless say , not go back . would raise complaint high hotel privately own royalty guy Middle East . the good thing say hotel breakfast die ! get french toast come strawberries banana , heaven ! not stay , definitely eat get chance ! 
 Dec 2 2008 	 beautiful 2bdrm suite . great location . 	 stay extended family seven New York Palace Hotel Thanksgiving holiday , five night . enjoy tower portion hotel , room 4701 4702 , look east view river . suite decorate art deco style large dining table , living room , full bare catering kitchen ( place setting , flatware , pan , toaster , etc ) , half bath addition bedroom ' full bath . free internet provide hotel , not think 's free non - tower room hotel , lobby . the bed extremely comfortable , towel large fluffy service offer abundant . this beautiful hotel , close Times Sq . , Rockefeller Plaza Theatre district . highly recommend Palace wonderful NYC experience . 
 Dec 2 2008 	 Suberb can not fault anything ! 	 stay number Hotels throughout Europe America confident state New York Palace good one stay date . the location hotel excellant excellant view Cathedral short distance away Times Square Mid town . find location hotel pleasantly quieter area Times Square . the entrance Hotel grand & quot ; wow & quot ; factor . Christmas tree outside Hotel astounding . having read previous review bit worry lobby area opt room Towers . the lobby area nothing worried , yes lot people hang around , bother party . reception staff tower great , nothing much trouble , hotel room brilliant , clean comfortable . the entire trip pleasure , staff polite , professional nothing much trouble they . I would advise anyone go hotel , remember say , & quot ; pay get & quot ; . 
 Nov 30 2008 	 Amazing Hotel 	 final part honeymoon wife spend 3 night New York Palace . we fantastic stay New York , love city can not wait return . the New York Palace amazing location beautiful view cathederal . fortunate enough get upgrade room view cathederal one helpfull friendly member staff . state previous review nothing seem much bother . room really good bed one comfortable sleep on . I can not say enough superlative hotel . would recommend New York Palace anyone stay Manhatten . 
 Nov 24 2008 	 Wish could stayed month ! ! 	 amazing hotel ! ! staff , room service , room unbelievable . moment arrived - greet & quot ; family & quot ; . every Staff member come contact friendly accomodate . room beautiful spacious . hotel locate next everything safe secure . enough room write great thing love hotel . hope get go back hope soon . 
 Nov 20 2008 	 good hotel 	 New York alot , always stay lot hotel never find one right . find New York Palace , always stay here . the lobby beautiful , special , feel like king walk around . room also high quality , make feel relaxed happy long day work . window , could see magical church , think well view nyc.the staff good make lot thing happen quickly ... want taxi , taxi , want flower , flower ... nothing much trouble . 
 Nov 18 2008 	 moderate stay Palace 	 return 4 night stay Palace . first trip New York . room spacious clean . bathroom small , shower bath tube . believe 5 star hotel ? ? ! ! perfect location . short walking distance 5th Avenue , Times Square Central Park . could not well . but happy staff . unfriendly ! ! furthermore , hotel crowdy due annual global investment conference . will not return Palace . worth usd 500 per night . 
 Nov 18 2008 	 Excellent Hotel 	 hotel great location , decent sized room worthy 's five star . would recommend hotel anyone . 
 Nov 17 2008 	 Love Palace ! 	 return weekend trip NYC see Christmas Spectacular Radio City . choose Palace one night stay . get well ! arrive staff friendly , even make big deal daughter 8 . book American Girl package receive cutest little pink bed , pillow blanket could take home . even purchase extra friend ! call ask one , housekeeping bring American Girl Place bag within 10 minute request . room 23rd floor , beautiful view St. Patrick 's . couple block Radio City , Rockefeller Center American Girl Place could walk shop sightsee want . staff amazing , room beautiful ! Gosh bed comfortable ! room large , large LCD TV , control panel bed heat , air , light , etc , request take care immediately positive , friendly attitude ! special thank Britan - check we , make daughter feel like princess ! leave luggage Bell Desk , call ahead 20 minute let know come luggage car wait we . courtyard beautiful , grand staircase ........ thank New York Palace trip NYC never forget ! definitely stay Palace return NYC ! 
 Nov 12 2008 	 Excellent Hotel ! 	 travel 3 kid age 9 , 10 & amp ; 12 Europe 2 1/2 week , last stop New York 6 night . could well place we end trip ! ! hotel fantastic staff excellent . doorman concierge helpful whole trip . obviously need laundromat Europe long concierge recommend , fantastic , husband get truly experience New Yorkers ! location unbeatable , walk everywhere view St. Patrick 's cathedral topped stay . go 4th July weekend get excellent deal include breakfast . breakfast super pricey definitely add bonus . definitely stay ! boy love ! ! 
 Nov 8 2008 	 Pampering 	 go girlfriend last March , great time . splurge , worth . hotel well locate walk walk shop shopped . New York , expect pay twice much everything . keep mind will problem . manhattan several time always try different hotel . come back hard . 
 Nov 4 2008 	 fantastic location 	 arrive early afternoon . got excellent room view cathedral . spacious ( NYC ) room . staff throughout fantastic - nothing much truble . the good bit location - easy get anywhere . subway two block away , place interest walk distance away . definitely try stay go NYC . 
 Oct 30 2008 	 nice pricey 	 NY Palace fantastic location comfy - bed amazing - want take home ! stay deluxe room make sure get breakfast include rate . breakfast tasty expensive . lucky enough complimentary american breakfast meaning could choose anything Istana breakfast menu . breakfast two easily come $ 100 - $ 8 coffee , $ 10 juice ... 's $ 36 ' ve food ! not use well - stock minibar since expensive - bottle water $ 10 , bottle cost $ 2 shop across street ( warning - item charge take stand 30 second even not use ! ) .We splash Palace honeymoon get feel not enough money stay ! plenty cash leave pay room will fine . 's shame pay room , less get include ! , cheap hotel stay trip complimentary water wifi - big ask . 
 Oct 26 2008 	 feel posh stay ! 	 good location want walk shop / central park really easy get NYC attraction . great hotel , good food , room standard etc . price , would expect ? annoying thing pay $ 16 per night wifi access . mean . rip - off . Wifi free every hotel stay in.even $ 80 price . 
 Oct 24 2008 	 highly recommend 	 great hotel great location , perfect base explore new york . great breakfast .... good waffle ' ve US ! 
 Oct 18 2008 	 4 Perfect Nights NYC 	 take mom NYC celebrate 70th birthday . look 20 different hotel city finally decide Palace location , reputation recent review . disappointed ! location superb check - in , staff , concierge , maid service , etc . friendly professional time . book package include american breakfast morning . food mediocre ( w/ stellar service ) - would recommend many little coffee shop area . starbuck across street well . breakfast run upwards $ 80 two people 's include room . per review , room spacious clean - bathroom large NY hotel room . health club large state art equipment gorgeous view St. Patrick 's . locker room shower great w/ bathrobe , lot fluffy towel steam room . go 3 Broadway show enjoy ! choice little Mermaid , legally Blond Orange / Osage County . one thing notice really cold theater bring jacket scarf wrap around shoulder . palace provide complimentary shuttle theater district 7:30 evening . however , be 15 minute walk theater district . take shuttle walk back . self guide walk tour SoHo Greenwich village one morning go Central Park walk around people watch . also fortunate encounter huge street fair Broadway span 5 city block - fun check vendor bargain . another day spend Board tour NYC - book 5.5 hour city tour cover Manhattan along ferry ride Staten Island . great way see sight get acclimated city . bus accommodate 32 passenger nice small group . also take bus Madison Avenue Metropolitan Museum Art . lunch museum cafe , however , would recommend anyone - 2 salad , 1 wine , 1 coffee $ 75 - meal memory hit AMEX . 's nice walk back Palace MET . exit upper west side follow Columbus Ave . way thru Central Park . bless amazing weather take full advantage outside . NYC wonderful place - feel extremely safe wherever go . 
 Oct 16 2008 	 truly Palatial 	 first time NYC , hopefully last . Palace exactly , palace . room huge wonderfully clean , marble bathroom big home , problem . bed , not think could possibly bed comfortable home , admit wrong .... lie bed like sink marshmallow , simply wonderful ! view St. Patrick 's Cathedral Rockefeller Centre , look scene wonderful way start day ! staff superb , special mention must go Juliana Esteban Istana , be extremely good job , also genuinely friendly ! husband contact Hotel go inform approach birthday ( 51 ) return room first evening delicious chocolate cake , bottled water card wait ! turn service faultless , chocolate pillow , ice bucket fill , handy chill bottle Snapple bring we ! breakfast Istana every morning , recommend , everyone start day drink fresh orange juice whilst sit beside marble pillar ! yes be fairly expensive stay Palace , worth every penny . would stay ? heartbeat ! ! ! 
 Oct 15 2008 	 can not get much NY Palace 	 location superb , staff overly friendly build NYC landmark . visit NYC tourist , place worth splurge . room modern comfortable , good feature every room outstanding view . even gym face St Patrick 's Cathedral . would definitely recommend hotel anyone . see , make video stay : [ -- ] 
 Oct 15 2008 	 big room quiet comfy bed . good visit . 	 stay many time Palace work year fine never wow . NYC fun last week book 2 night give know room spacious good location . walk around NYC day , great come back big room , big comfy bed peace quiet . although not interact staff much , guest service team super efficent helpful produce tourist info need . palace might exciting place stay want late NYC style trendy hotel bar , want good night sleep comfortable place decompress day , think fit bill . 
 Oct 12 2008 	 love 	 first time NY concern comment size quality NY hotel room . hotel lovely . request high floor great view cathedral rockerfeller building . bed huge , bathroom little date lovely hotel clean . staff helpful feel safe . get access gym change room freshen come home ( night flight ) would definitely return . yes cheap location excellent would highly recommend . 
 Oct 4 2008 	 would definitely stay Palace 	 great hotel , would definitely stay . even though 's huge hotel , not feel like . everyone friendly , helpful , efficient ( stay Tues - Weds ) . price range ( pay $ 385 week night business ) , fantastic . room spacious , bed incredibly comfortable , partial view . quiet relax music already get room , chocolate next bed nice touch . not ultra luxurious like St. Regis , example , price range beat . big place , seem put lot think making stay comfortable inviting . already say staff really great - handle bag quickly , make change , get room , get cab , without ask . 's great good location . positive say place ( provide context : recent stay : four season Boston , St. Regis New York ) . 
 Sep 29 2008 	 Incredible Weekend Get - away ! ! ! 	 remarkable weekend New York Palace Hotel . interestingly house many folk UN World Conference security high , great prepare we hinderence . acutally , kind exciting . hotel , grand house modern hotel - amazingly combine , offer old word style look along modern / contempoary flare . want pampered dissapointe . staff perfect pre - theater dinner Gilt one Ill remember long time . room huge , comfortable attention detail evident everywhere . location could not well . Madison Ave , quick walk theater chaos theater district great . I m NY quite often work art scene , time want NY get - away , relax restful . ' ve return NH well rest , great memory feel great value . 
 Sep 22 2008 	 Perfect every way 	 family four stay New York Palace hotel three glorious night July 2008 . could well : large room 25th floor overlook St - Pats Cathedral ( standard room ) , unbeatable central location , one hotel Manhattan offer city view speak ( make sure cathedral side hotel ) , large comfortable bathroom , great bed , luxury touch , turndown service every night , etc . pamper service level everywhere hotel outstanding . definitely worth every extra dollar ! 
 Sep 16 2008 	 nonsense quality 	 stay September end multi location stay find New York Palace great hotel . to fair even explore day nice come back something consistently good quality comfortable . we eat hotel ante try different choice New York treat oursleve breakfast room nice . the staff helpful upgrade we room amazing view ( fair imagine room amazing view ! ) bed really comfy room surprisingly spacious New York , great air conditioning . good mid town location ! 
 Sep 8 2008 	 truly ' palatial ' 	 partner return Labor Day Weekend New York Palace everything outstanding : room , service , location , bed , everything . I assume NYC non - smoking , Illinois . arrive give smoking room quickly change non - smoking problem . the room huge NYC standard great picture window view city . not inexpensive , worth . 
 Sep 5 2008 	 Fantastic ! ! 	 husband stay New York Palace last week August . fantastic stay ! first arrive little nervous everything formal bit stuffy style . however , check go room , love hotel . view room absolutely take breath away ! ! look 15th floor St. Patrick Cathedral . unbelievable ! ! room nice well . think pretty large NYC standard . turndown service every night nice touch . breakfast include room . think breakfast good . bobby waiter couple morning excellent , attentive friendly . location hotel perfect . middle everything . last year stay Omni Berkshire close Palace . really like hotel well . however , find Palace nice . would definitely stay Palace . 
 Sep 5 2008 	 dissapointe 	 yes , hotel grand location excellent . still general feel hotel business - orient pure luxury . concierge always extremely busy ( honest helpful ) , staff bar restaurant seem bit frustrated room nothing special . hotel lack accommodate atmosphere - 5 - star property come level service . 
 Sep 4 2008 	 New York Palace : location can not beat 	 New York Palace - formerly Helmsley Palace - consist modern hotel tower build 1980 historic 19th century brownstone Villard mansion behind St. Patrick 's Cathedral . the public space restore mansion , opulent - bit small . aptly - name Gilt bar / restaurant lobby wonderful place grab drink drip renaissance - revival gilding fresco . the hotel room modern tower , size price vary . nightly rate climb room face St. Patrick 's room high floor . recently stay 39th Floor , executive - level room , view cathedral quite spectacular . the bedroom , furnishing , bedding , amenity would expect 4 - star hotel , similar Ritz - Carlton size quality . bathroom small size , however , although immaculate update , probably could use renovation . one odd feature room outdate control panel rest one nightstand . must date hotel 's opening 1980 , ' ve never see anything like another hotel . panel gold button control light , air conditioning heating , even privacy light outside door . might seem futuristic & quot ; Jetsons & quot ; kind way 1980 , quite anachronistic 2008 . light switch throughout room similarly style confusing figure out . one small downside : picturesque courtyard Villard mansion front hotel lately become tourist attraction , prominently feature tv show & quot ; Gossip Girl . & quot ; often find work way past group tourist get hotel entrance . regardless , service , location , view , ambience beat . 
 Sep 3 2008 	 New York Palace good experience 	 second stay New York summer previous stay Mandarin Oriental . honestly two hotel completely different detail . favorite one far Mandarin main position prefer well location New York Palace , close main shopping favorite area short walking distance Saks . everything New York Palace right ; Junior Suite Room Towers Section nice quite large . comfortable room beatiful bathroom ( Acqua di Parma sample , really nice ! ! ) .. New York Palace try hotel restaurant . breakfast . quite expensive limited menu service slow particulary friendly .. great experience . people work Concierge tower nice helpful , thank . good experience New York , favorite hotel style accomodation nothing complain . 
 Sep 3 2008 	 Excellent hotel fantastic location . 	 beautiful big hotel fantastic location . excellent spacious room fantastic view - room St. Patrick Cathedral . bathroom good equip . 
 Sep 3 2008 	 * * * * * * * * * * word describe PALACE ! ! ! * * * * * * * * * * * 	 amazing ! ! fiance book 5 * hotel want BEST , get married 27th May 08 , Central Park , New York ! search month find perfect hotel , matter cost , fall LOVE Hotel , lookin photo , main stair do imagine walk grand stair princess wedding dress , ! ! ! staff Amazing ! ! every single one ! really could enough we , two daughter age 4 half , 2 half . breakfast restraunt , honest us 4 $ 110 . bout £ 60 , wait , Husband full breaskfast ( ha ha ) small plate , one portion bacon , egg , sausage etc . bagal , girl piece toast jam , juice , $ 10 ! small glass , would recomend breakfast ! ! ! would recommend Istania Restraunt evening meal , world , good beef every taste melt ! ! room high standard would expect 5 * hotel . Location FANTASTIC ! ! close 5av shop , walk distance Times Square , honest , much see walk take in . we love much soon come home book stay Palace next year ! ! ! u go New York really want time life would recommend stay ! ! ! 
 Sep 3 2008 	 pure luxury summer fun NYC 	 spend two night New York Palace Hotel special treat wedding anniversary . normally frequent luxury hotel , able get good deal ( least NYC ) weekend August ( $ 345 per night plus tax ) . hotel certainly disappoint ! first , location wonderful -- -we generally prefer stay Midtown Manhattan central position proximity theater district one favorite restaurant ( Becco ) . particular trip take we around Manhattan , Battery Park Upper East Side . make use subway lot appreciate convenience hotel 51st Lexington stop . even arrive New York Palace Hotel , impressed base experience customer service phone advance inquire dvd player room . courteously inform although room dvd player , engineer would please set one we . great able watch wedding dvd , tradition anniversary ( look even well large flat - panel television room ) . arrive hotel , awe beautiful lobby restaurant space , especially main entrance , face St. Patrick 's Cathedral . view cathedral gild lobby area truly magical ( make we feel Europe ) . stay Waldorf = Astoria bachelorette party previous year , although find common space lovely , would say New York Palace beat Waldorf , especially give view cathedral . also extremely pleased room -- -it shockingly large NYC standard chock full every amenity could imagine . beautiful wood marble - top furniture , large flat - panel television mount wall , huge closet lot quality hanger full - length mirror , extremely comfortable king - sized bed , extra - large fluffy towel bath robe , mini bar stock premium liquor snack , etc . also always love room - darken curtain make seem be cave even be bright sunny outside ( great sleeping ) . turn - down service night memorable well ( delicious chocolate ) . , afford stay hotel like , mean ! feel truly pamper surely enjoy central location well historic opulence interior exterior space . 
