would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Sep 23 2008 	 well expect 	 book hotel priceline $ 265 plus tax . read mixed review , extremely nervous - last weekend away stay Ritz Carlton , expectation high . give newly renovate room 44th floor . lobby nothing special , however , staff friendly helpful . able check little early . the room large New York standard , decor new . however , look closely , well keep would like . wallpaper hall room peel , stray paint place clean recent paint job . drain sink shower work , nothing bed two sheet coverlet . blanket comforter anything . bed comfortable sheet seem good quality , extremely confused sleep without blanket . seem replace & quot ; soft good & quot ; room , full overhaul - would explain wallpaper bathroom fixture . overall , bad stay , would probably stay . oh , location GREAT ! 
 Sep 21 2008 	 ok find bargain 	 room need complete makeup , stuff crash touriststampede time suare area , find special rate 200 $ $ $ $ $ ! ! ! ! ! ! ! 
 Sep 17 2008 	 Great Location 	 return trip NYC . 3 night cost issue , stay 3 hotel , bid Priceline . second Millennium Broadway . $ 215 . concierge , bell staff , front desk staff theater staff friendly helpful . room clean , spacious comfortable . hotel great location , half block Broadway close subway Rockefeller Center . 
 Sep 17 2008 	 Pre - cruise stay - excellent choice 	 April school break - cruise NCL Dawn . Amtrak PVD Penn Station , quick taxi ride hotel . ( Pope actually town weekend - crowd still enjoyable city : - ) stay one night pre - cruise Millenium Broadway Hotel near Times Square one child , age 12 ( one college could join we ) . excellent location , great price $ 284 total via Travelzoo deal . front desk service ( believe name Tabur ? ) excellent check we early . renovate room 40th floor . ( make sure ask . hear room do yet ) . comfortable bed . starbuck , irish Pub , toy r Us step hotel - literally . great italian food nearby . Duane 's block away misc item even beer wine . ( be treat Massachusetts . imagine find beer CVS - ha ) Sunday , take taxi port - believe also around $ 15- $ 20 include generous tip . would stay hotel visit NYC . centrally locate almost HALF price Marriott TImes Square , etc without discount ! ! ! 
 Sep 17 2008 	 Great Location 	 goingto US Open year never stay great location . great resturant across street , many show 1 - 2 block away plus , # 7 subway open 2 blk away . friend handicapped accessibility always problem . hotel great problem scooter , provide we wheelchair , grade we suite would room . hi floor fantastic view Times Sqq . especially busy Labor Day weekend , thin later week . Dine show intimatcy service . 
 Sep 16 2008 	 great location remodel hotel large room ny good service 	 Hotel great surprise great location , room remodel quite spacious New York put we 43rd Floor fabulous view Times Square . book thru Travelzoo discount rate well hope . arrive 12 noon room available we immediately . great , chance clean head city day . not use hotel 's food service , starbuck right door get morning coffee yogurt . many different type restaurant within block want food . staff pleasant helpful . say enough location . go three Broadway play able walk , avoid crazy cab madness evening . alone worth stay hotel . 
 Sep 9 2008 	 great location 	 return weekend stay Millennium Broadway one & quot ; Superior Rooms & quot ; . room big expect clean . location hotel fabulous . definitely stay next trip New York . 
 Aug 30 2008 	 room 4 star 	 buy room priceline . expect 4 star experience end front desk . disappointed room . 4 star standard know . work Las Vegas resort know take get 4 star rating . staff nice address name check property . ( must get 4 star rating . ) expect deserve 4 start rating . get room , 4 star experience end . room shabby well worn . wall cover big black scuff mark suitcase . air condition ok really not pump much cold air . chair room thread barren . twin bed room lumpy uncomfortable . room seem clean ... would expect 4 star property . room furnish like 2 1/2 star . disappointment $ 275 night ! not mind pay kind price good room , expect room good condition . room $ 180 range , would not complain ... much nice place available $ 200 range . never use priceline book room . idea 4 Stars mine different . also , would issue two warning property : one- travel companion wake day stay bad case allergy . cover rash feel sick sinus . leave room , fine . could not determine sheet air condition unit make we sick . vent cover black film . Two- come back show let evening , run large group airline flight crew . 20 people group . would check property large bag hour evening . along people return show cause bottle neck lobby elevator . took we 15 minute one night get elevator . location Broadway great . sound Time Square loft street room night . must say expect due location , not bother . , something think close Broadway . if look 4 star property . would look place else . get room property cheap look place close broadway ... place . 
 Aug 30 2008 	 bad Times Square 	 stay one night good experience . , choose deluxe room upgrade something high level . high floor tend quieter lot less street noise . hotel within walk distance many attraction easy transit . be especially handy crash long day shopping Broadway show ! room 2 double - comfortable , fair sized bathroom ( though show wear tear ) lot room luggage work . check - in easy , friendly , staff pleasant . I prefer quieter part town Times Square need day find Millenium excellent choice . price right go ! 
 Aug 28 2008 	 Excellent Location ! 	 excellent location . room adequate , hotel practically Times Square probably will not spend much time . also cheap hotel area . 
 Aug 28 2008 	 Millennium Mixed Bag 	 originally book different hotel near Times Square , Travelzoo run special Millennium decide jump . read review become rather concerned , end keep reservation . the pro : location pretty hard beat . be literally half block center Times Square . fact partially obstruct view Good Morning America studio 36th floor room . be also deli across street , not try , seem fairly busy would certainly convenient . the bellman doormen friendly helpful . soon pull , fully uniformed doormen side . door , bellman helpful store luggage room become available arrive early afternoon prior check - in time . the room clean everything could tell . a / c work well , fact well . middle night get turn set temperature low . bathroom spacious nice large marble top counter high end ' sample ' toiletry . room safe provide along large closet flat screen tv . the Cons : never ever sleep uncomfortable bed life . literally feel like lay wooden board underneath thin sheet . pillow not bad , literally vertical mattress absolutely give . friend tossed turn night long , try desperately find comfortable position , use . the front desk staff marginally helpful upon check - in . ask early check - in , take info , sign paper , go tell room available yet . ask come back 2 pm , would definitely something ready go . check bag bellman head city . return around 3 pm , hungry sore foot want take quick cat nap go rest evening . return desk , different person time , ' m tell check - in time 4 pm ( find rather later anyway ) . tell already check , waiting room become available . repeat 4 pm mantra . friend crash seat area lobby wait . 4 pm roll around , time 's long line check . finally get front , get cross eyed look yet another different person . go back behind secret little door finally emerge 10 minute later key . previously ask possible maybe get room view least high floor . yeah , not get either . big deal , kinda blow entirely , say word room neither great view one high floor . less impressed whole entire check - in process . no ice machine could find . ice bucket top shelf closet upon inspection ' welcome ' book sit bureau , ice available upon turn service calling operator . end go room temp soda night . while parking expense ridiculous NYC whole , $ 55 night still steep think . yes , 's valet , valet garage one block , take we half hour get vehicle back . put we right rush hour traffic . whole , aspect nice , not think would choose stay establishment , though location quite appealing . 
 Aug 27 2008 	 wonderful Millennium- will go back ! 	 stay Aug 22 - 24 . book Travelzoo $ 199 / nite w / upgrade king . great ! worry previous review consider book Westin Heavenly Beds . need- Millennium great . great bed , room big Grandy Hyatt blackout curtain . check early 1:45pm late checkout 1 pm . room 45th floor view Chrysler bldg . river . new 40 & quot ; flat screen instal room ! upgrade room . complimentary tea / coffee room . concierge graciously check we online Delta return flight print boarding pass . hotel great location Broadway quiet street major pass street . 's street Spamalot- ticket discount Travelzoo $ 70 . TKTS booth 46th street outside Marriott Hotel , wait line pay cash . price use Travelzoo discount ticket . 's : Carnegie Deli lunch $ 30 , Pedicab Central Park $ 65/ 1 hr . tour , Spamalot show $ 140 , comedy club $ 10 cover ticket street vendor around Times Square , Ferrara 's bakery Little Italy dessert , Sparks steakhouse- Gotti make start Boss , view WTC 4 WTC Battery Park . chinatown great designer knockoffs- purse $ 35 , necklace $ 10 . take NJ Transit Penn station airtrain- $ 30 pperson . hotel bellhop store bag late flight . enjoy ! 
 Aug 25 2008 	 wonderful hotel heart New York . 	 stay Millennium Broadway week honeymoon fabulous time ! right Times Square , could ask well location explore city . room huge - big bed ever see ! whilst recently decorate clean could actually see Times Square window ! room good air conditioning - hot - stay week ( long average apparently ) give fridge ideal keeping drink bottled water cool . from able walk Empire States building , central park get tube anywhere Manhatten Island . would go back New York stay - fabulous place stay ! 
 Aug 17 2008 	 Excellent hotel great location 	 stay weekend Millenium Broadway fantastic . sceptical hotel near Times Square classy nice . room good view Times Square , staff courteous location hard beat action NY.If want good hotel centre action , . want peace quiet , look elsewhere . 
 Aug 16 2008 	 Thumbs Millenium _ great experience 	 stay various Manhattan hotel year . primarily 4 5 star hotel . must say pleasantly surprise experience Millenium Hotel . room nice size NYC . Excellent Location . heart New York , Times Square , bryant park . go wrong location . starbuck right next door . main train stop take anywhere Manhattan Times Square . 1 Block hotel . the room good shape . comfortable bed , maid service good . call housekeeping , ask comforter , bring one within 3 minute . came wrap dry cleaning bag . nice press . impress speed service . front desk nice pleasant . use honest , people write bad review must different hotel , could find fault hotel . pay 199 Sunday night , 249 mid week . well worth money ! would stay without hesitation price . 
 Aug 11 2008 	 not bother 	 many great place stay NYC one they . we order room king bed - get queen . when check front desk - direct another hotel next door - kind puzzle . almost lobby hotel - person sit desk computer . when get room - look nothing like website incredibly small . a real disappointment . try another place . 
 Aug 10 2008 	 Lovely Hotel 	 staff efficient pleasant . room spacious beautifully appoint . location convienient walk Manhattan -- Time Square . price reasonable . hotel help make stay enjoyable experience . 
 Aug 8 2008 	 rotten rotten over - price dirty hotel .... avoid 	 new husband stay 17th-24th July part honeymoon . check , think would go ask upgrade assure good view . reach room ( 37th floor ) could see office building . laugh , look around ( tiny ) room , dirt see . carpet filthy , horrible cushion bedspread bed clearly not clean anytime recently . also , room right next housekeeping every morning without fail 8 am , door constantly bang open closed , exactly want woken honeymoon . housekeeping also not come every day 3rd day clean towel , go desk ( 11 pm ) complain tell have send along right away .... wait half hour someone come door rudely pass without say word . bin room flow rubbish , like water bottle etc start collect rubbish plastic bag wait bin empty . overall , find staff rude even restaurant not scatch - dirty , food seat . retrospect , wish complain honeymoon would spend £ 1,200 room 7 night . the plus side location , would recommend stay somewhere bit away Times Square full on . to sum , really really disappointed hotel , state clearly 4 * ? really not know get away statement , opinion , would not even 3 - ' ve stay clean , nice youth hostel . 
 Aug 8 2008 	 great affordable hotel 	 return 5 day milennium Broadway Hotel . find great deal thru TravelZoo 199.00 per night . hotel centrally locate visit tourist site . room clean nice decor . night room extremly quite new york . 31st floor . the problem find make reservation tell would get two double bed . actually bed enlarge single .... 3 we make work ... would stay come city tourist thing ..... 
 Aug 8 2008 	 Great Hotel Price 	 stay Millennium form 31 July – 3 August . location hotel great . got good deal Priceline $ 222 per night . room size adequate two adult . stayed 40th floor , corner room partial view Main Street . Lot ' s … . shop due within walk distance hotel . must visit Macy ' . dear wife get lose place . hotel definitely 4 star rate Priceline close 3 star rating . hotel serve purpose visit . check - in check breeze . Staff Front Desk helpful polite . décor hotel OK … …… .. overall stay great stay next visit ny . 
 Aug 6 2008 	 Awesome 	 well , ( wife ) stay July 10th - 15th 2008 honeymoon , get marry July 4th . 5th time NYC since 1999 wife 2nd 2yr . far away good hotel ( ) stay NYC , poss one good hotel stay full stop . read review , bit & quot ; eek , hope pick right & quot ; . could find fault , staff ultra helpfull polite . stay room 2101 ( think 01 anyways ) big room floor , two seater sofa , single arm chair , tv , view Times Square ( night light light Times Square , awesome ) one comfortabe bed ever stay . bathroom big , clean marble finish . room clean noon day floor . rang ask fridge store drink etc pretty hot stay ( great raining day back England ...... ) . fridge deliver within hour . location hotel 2nd non , next door toy r Us , awesome . great eat place / bar rght street 44st exit call Virgil 's , nice , traditional american bar ( seem good share local , must ok ) . another great place eat & quot ; Ruby Tuesdays & quot ; Times Square Champs . would advise anyone stay ( go room , not want upgrade serve purpose , clean , secure ( safe room ) comfy ) . end day , do not go city like NY spend room , great place return batter bruise foot day . location staggering . would 100 % stay . 
 Aug 6 2008 	 Disappointing 	 wife marry NYC two year ago , stay Millennium ( albeit Premier tower ) week two city , great . much , return July , think could not go wrong return . wrong ? ok , not Premier , Superior King high floor , think would good . firstly , good . large room NYC standard , reception staff excellent . ask fridge room , nine night , promptly arrive second request . however , bed really uncomfortable pillow virtually pointless ( might well head mattress ) . external noise , consider 31st floor instrusive , A / c poor . now admittedly , night animal , late , clean people call first morning ask would like room clean . , quickly get , allow job . however , soon stop , last five day room not deal , question whether wanted clean . 's wrong ! , miraculously , cleaner arrive room 9 am departure day , asssumingly ready room next incumbent , despite fact ' do disturb sign ' door ( 24 hour journey home ahead . ) unfortunately , recommend hotel friend honeymoon year . great time Vegas love NYC , really not like Millennium . I ' m sad write negative review , give previous experience , encounter . location - wise , great , many hotel district try next time . we return hotel . 
 Aug 6 2008 	 Good Review 	 2 night stay pleasurable . superior room 48th floor ( book thru Travelzoo $ 199 per night special ) . ' ve stay city several time large room ' ve yet . course , city would average small . the check staff pleasant . note review enough pillow blanket . extra closet . not need ask anything . flat screen tv not work well , not watch tv . tell furnishing wear , remember room house different people every day , generally not care bump rough something . guess ' m trying say realize hotel room get alot wear tear . $ 200 night NYC right Times Square , ' m surely complain ... 
 Aug 2 2008 	 Fantastic Hotel 	 hotel amazing . never New York , friend idea great location would . right Times Square lot great restaurant around , plus fantastic shopping theatre show right doorstep main attraction within short walk . apprehensive safety leave home need not . even early hour morning area buzz people enjoy not see hear trouble feel safe whole time . we fortunate view Chrysler building , Empire State building well Times Square 33rd floor room . book Expedia tell expedia guest automatically give premier room . large , clean comfortable twin bed ( 4 foot small double ) . bathroom lovely soft towel luxury toiletry good powerful shower bath . our receptionist not overly friendly polite helpful allow we check use room several hour early . concierge helpful booked we reasonable car airport return trip . we plan return New York absolutely definitely stay Millennium Broadway would highly recommend other . 
 Jul 30 2008 	 great location average hotel 	 second time stay Millenium Broadway . chose hotel due $ 199 Travelzoo special great location ! definitely 4 star almost 3 star . long room , 9 hour total 7 + asleep , room serve purpose . location block ts noise . interior lobby dark kinda gloomy room brighter . think could choose different color bedspread drape , orange seem little tacky . like say not room long enough really notice . within walk distance lot attraction , Rock Center , Central Park , Macys , ESB . like walk since flat , hill , attraction might far some . would stay right price . 
 Jul 28 2008 	 Motel masquerade ` ` 4 - star '' hotel ... 	 stay Millennium Broadway entice low Sunday - night rate offer travel website . alas , pay dearly frugality discover , brutal fashion , reality & quot ; four - star hotel & quot ; . first inauspicious sign awful kitsch frescoes hang lobby . commission , presume , remind one Italy day high Renaissance , possess , like much hotel , -- -look -- - high class , half glance reveal utter tawdriness . staff worker generally suffer lack attentiveness decorousness , time wait able check - in , process acquit complete indifference . our room , supposedly & quot ; superior & quot ; class , standard size , large enough NYC standard , condition ! , completely meretricious , faux - everything , distinctive aspiration motel quality . crack wood ; paint - peel , mark , smudge wall , water stain bathroom , lopsided , half - break faucet , shower head insipid water pressure , towel & quot ; dry & quot ; creak like old - house , itchy bed ineffectual blanket couple old , rock - hard dilapidate mattress , tv whose audio shoot full static , dirty carpeting . call house - keep extra blanket , inadequate sheet . thirty minute later one come call , find deliver wrong room . send good ; man show bear armful & quot ; first - class & quot ; bath towel ! upon tell extra blanket want , finally appear minute later something fold coat hanger . shall describe unique object ? piece thin foam , kind one find use package electronic item , half size adult human . bad possess stench content someone 's vomit . course unusable -- - fragance noxious indeed impossible live room thing . after fetid final straw resign fate , check next day morbid haste , learn hard lesson . all could excused -- - , expect -- - mom - and - pop strip hostel Smucksville , charge $ 40 / day . think scandalous Times - square property international chain , nominal rate $ 400 / day . yes , scandalous even Sunday rate , motel far surpass achieve . 
 Jul 27 2008 	 find ! 	 find ad travelzoo room Millenium $ 200 middle July shocked see Times Square hotel decent quality rate . overwhelmingly impressed find hotel blow away expectation . room recently renovate , clean spacious ( NYC ) . check - in process quick efficient location superb . absolutely back hotel thrilled find gem certainly sweet deal . 
 Jul 26 2008 	 Palace ......... 	 stay business meeting room small like New York hotel , upgrade 50th floor smoking room assign . upgrade full size bed . call extra pillow blanket twice never receive . front desk staff helpful . room freeze time . location crowd right Times Square . great place eat right next door call bond 45 good meal . homemade pizza well . concenigere desk helpful . prefer stay close Rockfeller Center . 
 Jul 25 2008 	 Great Hotel Great Location 	 stay Millennium July 3 July 8 , 2008.check - in breeze room great . we incredicle view Time Square . the room clean comfortable . tv small not care little time watch tv . location convenient especially plan see Broadway Plays . would go visit day get back room shower change heading play . the location also allow walk several major tourist attraction , Time square , Central Park , Rockeffeler Center , Radio City , etc .. definately stay againthere deli style store 44 45 street , great salad sandwich . one tip would give give enough time catch elevator tend get busy time . 
 Jul 23 2008 	 good location - bad hotel experience 	 hotel great location , couple second Times Square . that s pretty much . first agree review - consider standard room , cleanliness , reception area etc , 4 star hotel . 3 , maybe 3.5 most . I book Sunday Night Promo Package hotel 's website . follow text copy directly website text book confirmation well : & quot ; package receive 20 % discount well available Standard Room rate Sunday night stay . top , receive complimentary upgrade Superior Room complimentary coupon cocktail beverage sensational Charlotte Restaurant Lounge . & quot ; well , check refuse recognize . argue upgrade Superior room . do not know anything coupon cocktail , resultate run several time back forth reception bar discuss bartender reception staff .... get drink already pay . - funny . also , claim 20 % discount already reflect price confirmation , totally wrong accord information Hotel website . later admit information Hotel website misleading give 20 % discount . also , claim Superior room ( locate floor 28 high ) flat - screen tv . ( see website ) . superior room 39th floor flat - screen . ask reception staff , answer Superior room flat - screen tv , . well , earth claim room description ? ? ? ..... hotel need educate staff well stop lie room description web site . 
 Jul 21 2008 	 definitely worth price ! 	 stay Millenium 7/19 7/22 . first trip New York . first , Millenium Broadway right heart Times Square . location excellent . starbuck right downstairs great . impressed accessible thing walk . hotel 4 star accomodation . stay Standard , king size room 20th floor . tell front desk first time NY request upgrade . course , say room available . room receive adequate size , . carpet dirty . television old , remote barely work . internet access $ 10.95 day slow . view partial view marqui building . bathroom tub dirty shower curtain tub would clog everytime take shower . hotel overprice dirty . maybe upgrade room nice , beware Priceline , get standard accomodation . could receive well deal Travelzoo upgrade room Millenium . know . likely never stay Millenium , however . next time , stick Marriott hotel . 
 Jul 19 2008 	 Great Hotel NYC 	 hotel staff great . book secondary provider treat well check - in . request king bed smoke - free room request grant . room clean well maintain . hotel locate near Time Square . criticism could hear party hotel roof accost street Saturday night go 3:00 . Friday Sunday night quiet – try get room high floor possible – especially weekend . fair – blame hotel noise adjacent building . 
 Jul 19 2008 	 Best Hotel Times Square 's doorstep 	 hotel amazing . staff really friendly room awesome . make sure get superior room view incredible . stay 50th floor - room 5004 , brilliant view empire state hard rock cafe.air con awesome room everything ever need 
 Jul 17 2008 	 great stay 5 - star 	 want stay heart ny , great hotel consider . positive : - great location- great staff service- nice rooms- business functionality : flawless , high - speed internet work great cell phone receptionnegative : - megaphone announcement room number . would think hotel would know , wrong.- restaurant : far bizarre experience ' ve restaurant attach hotel . first , place look close - dark , damp / musty vague smell vomit . upon ask , person dress somewhere waiter - - janitor / clean - up - crew confirmed & quot ; yes & quot ; , & quot ; serve food . & quot ; sit next table either : a. massive food fight b. wild party leave someone forget clean upAfter two waiter ask we need anything drink , apparently sure actually serve we , tell we & quot ; need anything , yell direction someone help you . & quot ; ate get , downside hotel . all , rest stay fine , bad restaurant , end still recommend stay ( not eat ) . 
 Jul 15 2008 	 Good Hotel Good Price 	 stay hotel 2 night love it . Great Location ! Great Price ! friendly staff . we encounter staff member rude . Front desk bellstaff helpful . and hotel right middle action . I would hesistate stay hotel 
 Jul 14 2008 	 get promise 	 research hotel online , pretty much rely picture , time picture inaccurate . in hotel picture close reality , stay superior room 30th floor room 3001 get nice big room big comfy king bed , view time square , nothing bad say hotel , really value money time square . pick favourite hotel time square would say Marriott marquis millennium Broadway hotel close runner . star rating would 3.5 although hotel rate self 3 star recommend stay want close Time Square . 
 Jul 14 2008 	 IGNORE NEGATIVE REVIEWS ! 	 read negative board little concerned & quot ; win & quot ; Priceline . check go smoothly - return , quick . room extra large - NYC standard . view Chrysler Building 36th floor great view . would prefer Times Square view , hey get room Priceline would not expect & quot ; good room & quot ; allot . a nice touch return midnight security guy check room key - make we feel secure . I definitely book Millenium next trip . centrally locate step away Times Square . 
 Jul 12 2008 	 great location value New York 	 like other also book special deal Travelzoo include free upgrade superior room . give superior room corner 45th floor view Time Square . room bathroom huge . bed comfortable . location central doorstep bustle Times Square . would definitely consider stay . 
 Jul 7 2008 	 Great Service 	 staff GREAT ! travel lot never staff friendly helpful . actually change room 3 time great . first room 52 floor ( high ) , go 16th floor ( electrical outlet not work bathroom , 3311 , GREAT room ! ! ! ! fabulous location ! ! ! 
 Jul 4 2008 	 Excellent Hotel 	 return 3 day stay Millennium Broadway , can not complain ... front desk helpful checking checking , problem hold luggage check , one thing hotel friendly staff . clean hotel , room nice , bed comfortable , air condition always keep room relax temperature .. 24th floor , noise hear sirens police , ambulance . good part Millennium location , right middle times square , everything within walking distance , include many top tourist attraction .. not take one cab . would highly recommend hotel anyone visit NYC ! 
 Jul 3 2008 	 pretty good 	 hotel well locate near Time Square result , pricey . even Priceline , come $ 240 night . room functional necessity . say small aparently room New York hotel . either way , comfortable room . service good staff helpful . location central , busy noisy around hotel . Time Square busy hour consider outdoor noise hear hotel . 
 Jul 3 2008 	 thank Travelzoo enjoy 1 night stay 	 read previous post - know could give shabby room . therefore , check , ask room high floor ( request one flat - screen tv ) . room outstanding - clean , modern , high , quiet . not coffee - maker , request one new one bring room within minute . also request stand - alone fridge , b / c would read use mini - bar store thing ( have charge move anything one inch ) - not remember bring one . even misstep , can not complain , b / c 1 night stay terrific . 
 Jul 2 2008 	 Location Location Location Value 	 return Millenium Broadway . room fantastic , 45th floor , view wonderful . room clean coffee maker add extra treat hard day walk . location perfect . match . look many hotel none match location , walk door New York foot burst activity . staff helpful . Deli across road soooooo useful hot day . read mixed review , disappointed , honest location make anything . not put read negative review . EnjoyCK son 
 Jul 1 2008 	 Great Times Square Hotel 	 wife return 3 night stay New York City Millenium Broadway . part business part fun . from moment arrive reception hotel staff wonderful . upgrade room 40th floor available quite large New York City standard . request housekeeping take care immediately . every employee hotel meet friendly could enough make stay enjoyable . we come New York City 40 year stay large small hotel good bad experience . the Millenium Broadway done 's good make we want return hotel . a & amp ; JMarblehead , 
 Jul 1 2008 	 great stay ! 	 recently stay hotel week ago complain single thing . first stay July 2006 satisfy enough return . staff front desk friendly fulfil every request ask . check Friday afternoon around 1:00 even give we high floor room view Empire State Building , Chrysler Building bit Times Square additional fee , simply ask . room clean fresh . issue find upon arrive room light bulb burn , yet quick call front desk two minute later bulb change polite hotel worker quickly apologize changed bulb . bathroom clean clean every morning housekeeping head city . concierge service prove trip helpful finding provide information we . well , doormen friendly willing carry nice conversation hail cab main entrance hotel . one pleasing thing take notice stay enter hotel approximately 11:30 night , doorman ask see room key , safety measure keep riff - raff . true issue find two nice stay Millennium Broadway follows:1 ) WiFi access do day - by - day 24 hour fee basis . order gain internet access must charge 24 usage fee room , charge day wish use WiFi . free WiFi would ideal , charge necessary , flat rate fee stay would second ideal . 2 ) hotel , beverage snack mini - fridge come hefty price , charge $ 5 12 oz glass bottle Coca - Cola little extreme . however , solution . one would take short ride elevator gift shop buy soda water $ 2 . secondly take short walk Duane - Reade around corner buy . overall , really find one reason make case would bad place stay . location perfect come . price reasonable competitive Theater District hotel Times Square . plan return hotel future trip New York continue see reason . 
 Jun 28 2008 	 trust not stay 	 book travelzoo get good deal location . would say location would absolute thing good place . staff extremely rude . upon check - in tell bring luggage yet bellman expect tip . needless say not get one . bed extremely hard .... extremely . parking hotel block half away hotel 55.00 / night . parking lot , lock car . retrieve video camera leave vehicle find car unlocked . locked left return place souvenier vehicle , unlocked . complain know keep lock . would big deal parking lot easily accessible public . upon check , attempt charge parking originally tell . attempt charge 65.00 night instead 55.00 . also , receptionist tried charge full price room instead deal receive travelzoo . receipt , would luck . would definitely say avoid place unless get incredible deal . otherwise , will sorry spend hard earn dollar sub - par hotel . 
 Jun 28 2008 	 nice overnight stay 	 husband stay Millennium Broadway one night short weekend trip city . the hotel conveniently locate Times Square . arrive around 11:30 Saturday , able check room right away . give nice corner room 25th floor . small side , definitely fine 2 us short stay . bed comfortable bathroom nice really nice bath product . hotel old side , ' m sure renovated room ( ' m think ) be look super luxurious place , not it . the complaint would A / C not cold would like , leave night , room cool enough we sleep . I would definitely stay hotel visit NYC . 
 Jun 25 2008 	 definitively 4 star ! 	 stay 4 day 06/08 friend . request bedroom 2 double bed ( superior room ) Hotwire also phone hotel . upon arrival ( 3 pm ) , tell Superior King size room assign we . tell come back 4 pm ; come back line finally get request . force call housekeeping get carpet clean arrive rooom ( large & quot ; dust bunny & quot ; ) . use least 15 different key card stay ; work time . hear every possible excuse front desk people , problem never correct . & quot ; Concierge & quot ; personnel really helpful seem willing go extra mile suggest restaurant / bar , etc . another proof hotel deserve 4 * ranking . good location , room large NY standard , also quiet . bed firm good . & quot ; key card situation & quot ; really annoying bother we complete stay . lose faith Hotwire rank trust anymore . would consider go back hotel price reflect 3 - 3.5 star rate somebody give warranty access room every time want ! 
 Jun 24 2008 	 can not wait leave ! ! ! huge waste company 's money ! ! ! 	 feel compel immediately warn unsuspecting traveler , write review ( thankfully last night ) . first impression hotel intimidate man behind desk inform we , confuse russian accent , check - in 4 pm ! never hear late check - in . case , change tune protest say going give we good non - smoking , king room house- corner room 52nd floor . feel quite privileged rush upstairs thought would spectacular room ! instead , walk room overwhelmingly stink MOTH BALLS ! ! ! not expect spend NY business trip grandmother 's closet . clear moth ball / bleach stench attempt sort cover - up , smoke otherwise . call front desk , minute claim room , finally ask we come back downstairs could get key different room . new room : literally fit sheet bed . throw flat sheet tuck . not take long come undone reveal bare mattress mention , terribly , terribly uncomfortable . something feel wrong sleeping bed . ( see other mention lack fit sheet- must trend ? ) view stare straight huge office building brightly light flourescent light provide constant glow straight room . kind feel like cubicle try sleep . internet unreliable call complain 5 time finally get night take bill . tell intend get work do online evening service fail numerous time . Television give & quot ; humming & quot ; noise make difficult enjoy . picture poor . big tv watcher , watch , be hard give good picture good sound ? $ 450 night , expect flat screen . even close ... mini - fridge . bring one upon request , , $ 450 night- fridge ? ? ? Hairdryer shut 3 time use , deal - breaker , come ! ! ! ! give something ! huge waste money . find new place right nearby literally $ 150 less . lobby alone new , wonderfully light , modern clean . really wish could jump ship spend last night instead , nonetheless stick another 12 hour counting minute . 
