great 	 hotel gem . like small hotel attentive service , place ! whole staff nice , polite , smile time , front desk housekeeper , breakfst staff etc . Breakfast include good , include good coffee . room clean bit small . but care , NY visit shop , stay room ! location perfect , litterally 2 block Penn station , Macy 's , Empire State building etc . even walk way Times Square , Broadway central park ( need time however ! ) go back recommend anytime ! price make even attractive : app . 250 $ US room 2 double bed ) . 
 Apr 10 2008 	 bad 	 family four spend 5 night . easy find , great location everything walk distance . quiet room ask . room little small side two adult two teenager fine time spend . maid friendly efficient room spotless . bed little small exhausted not move much ! ! staff helpful apart one guy reception cool . warmth welcome arrive long flight 7 hour delay ! breakfast bit farce . first couple day good - 14 small table dining room cramp . 14 floor room 6 room per floor ! ! breakfast finish strictly 9.00am weekday come 9 nothing leave . waiter want 9.10am . helpful easy work dining room . final day large college group go breakfast 8.30 nothing leave ! supply demand - go go . probably spoil stay early rest time quickly last day want bit rest -8.30am - late surely . all love ny - think return marathon November try find apartment . Andrews Cafe 7th Ave/35th street - excellent way . 
 Apr 8 2008 	 great location complaint 	 stay Wingate 5 night recommend . not go want pampered luxury , will not get , would not expect price location . would compare room Holiday Inn style ( overly modern , clean definitely shabby ) .The room well present clean . consider Manhatten , room nice size . coffee maker room , kettle ( pod / sachet machine ) . free internet access complimentary breakfast ( mainly pastry , bagel , cereal couple hot item , like egg ) . also waffle maker make , note breakfast room get busy ! ! half block form entrance Macys Starbucks either end block ( 35th & amp ; 7th 35th & amp ; 8th ) . great Midtown location walkable Empire State , Times Sq near subway entrance 35th & amp ; 8th ! great NYC , will not room much anyway ! ! ! 
 Apr 6 2008 	 great location friendly staff 	 stay Wingate one night , follow recommendation see Tripadvisor . review big help wade option stay one night NY . staff helpful friendly throughout ( unusual ny generally ) . two room - 205 206 spacious ( NY ) modern LCD tv good desk / chair laptop work , clock radio comfortable bed . bathroom 205 surprisingly good size . breakfast follow morning good - complaint . let we leave bag checkout day . overall find many thank give good review help we make decision . 
 Mar 28 2008 	 great location niggle 	 like review say , hotel well locate Midtown , ( although immediate surrounding bit downmarket ) , ideal we family vacation . the complimentary breakfast sound great , choice bit limited . breakfast room tend get crowd shortage plate , silverware , cup , even food every day . its hotel 's fault , cellphone service really bad - non existent fifth floor . our room door lock need reset twice key kept reject , one one occasion leave waiting room ask reception twice get fix . despite ask reception room safe unlocked . we room front hotel really noisy night garbage collect / delivery truck Macys go . other party room back really quiet . so - ask room back , keep staff need something fix ! 
 Mar 23 2008 	 Great Value Business Travellers Midtown 	 book colleague Wingate comparison shopping Trip Advisor . happy have do research ! wingate pride set business traveller definitely case . free high speed internet room , comfortable desk / chair / bed heck lot space ' m use New York City pay $ 400 / night tiny box . pay $ 315 include tax literally nothing could ask hotel room . fact ' ve already book another stay next month return New York office . it little unfortunate two high school dance team stay hotel ( teenage girl - figure ) weekend guess can not really complain . reception terrific though - put colleague onto floor girl not . , could one ask ? except mute button 100 teenage girl , not think staff could help much front . the breakfast , include room price , not fabulous 's acceptable suit taste . egg runny tasteless , towards end morning might bad luck . really 's unfair complain - free job . my suggestion property ditch loud pulsate music lobby . can not hear room ( be problem per se ) 's quite annoying be wait meet someone car arrive . not seem fit brand hotel , find little cognitively dissonant . 's minor comment take context really comfortable enjoyable stay . will back ! 
 Feb 23 2008 	 geat hotel great location 	 stay wingate four night mid feb . lovely hotel , tuck away 7th ave 35th , opposite Macys . small hotel room spacious comfortable . breakfast great start day . ideal location sightseeing , shop etc short walk times square subway end street . normal rate pricey get good deal one website connect tripadvisor . would highly recommend hotel.mary , ireland 
 Feb 19 2008 	 Great Location ! 	 stay Wingate Inn 9th-14th February great location hotel ! book follow great review give website . close subway station get around downtown short walk Empire State Building Times Square – plus shopper ( like ! ) Macy ' top street ! Hotel newly build everything clean new feel . room big bed comfy . fridge , microwave coffee machine room , plus free bottled water give daily . even provide free ' time ' magazine find ' happen city . this hotel also provide breakfast good variety – egg , bacon , bagel , toast , waffle , cereal fruit – really helped set good day sightseeing . this second visit New York stay Hilton Garden Inn last visit great think Wingate top , breakfast option ! 
 Feb 17 2008 	 Great Location 	 great location - 2 block away Madison Square Garden , Manhattan Center , Penn Station ... long walk Empire Stat e build even Times Square ! great hotel , staff friendly . . free WIRELESS INTERNET ! ! ! nice sized room bathroom , esp NYCity ! ! ! ! clean , free breakfast miss day .... bar restaurant right next door , although food good . room mini fridge , microwave coffee maker ! ! ! ! ! free BOTTLED water wonderful ! ! ! ! would definitely stay ! 
 Jan 27 2008 	 quiet boutique hotel 	 stay Wingate seven night January business New York city . select one several suggest travel agent location - minute Macy 's , Madison Square Garden several subway line . quiet part 35th street 7th 8th Avenues . arrival departure , could wish well hotel location . staff courteous friendly . arrival ask quiet room give room upper floor . room spacious , clean well - furnish easy chair , desk chair ( WiFi access ) , hdtv comfortable bed . bathroom light , clean well - appoint . room well service every day . coffee , tea bottled water provide free charge daily . breakfast include - fresh fruit , scramble egg , bacon waffle well usual fare . , great room hotel return busy day night . would return family . 
 Jan 26 2008 	 50th birthday surprise 	 first trip New York . research various hotel prior settle one ( mainly result review trip - advisor ) .The hotel centrally locate couple minute Maceys , 5 minute Empire State build 10 minute Times Square . we find staff friendly helpful . the bed exceptionally comfortable room pleasant . the breakfast would expect U.S.A . dining room quire small always manage get seat ( perhaps hotel not overly busy ) .In , hesitation book hotel return . 
 Jan 15 2008 	 Christmas New York 	 first visit New York arrive late Christmas Eve UK . prior arrival Elvis Gonzalez , front desk manager helpful provide we excellent advice . like hotel give high floor room 17th floor noise never problem . location excellent walk subway though get taxi problem one way street . excellent proximity Maceys , Emprire State Building Madison Square Garden . front desk really helpful tourist question must hear thousand time really appreciate . breakfast disappointment Christmas Day two day , table sit , run egg , bread , cutlery etc could cope number people restuarant . think hotel design business person tourist . 
 Jan 4 2008 	 Great Hotel Location ! 	 stay recently , say hotel stay NYC say make top 5 . room clean , staff friendly , breakfast bar great ! pick hotel 's close proximity Madison Square Garden . feel comfortable walk back hotel concert . great shopping area also Macy 's right block . would definately stay hotel . complaint since hotel small , not taxi stand outside . leave , front desk little busy decline call taxi we . tell we walk street hail one . 
 Dec 31 2007 	 not live potential 	 price room good ( Manhattan ) , operation hotel frequently disappoint we . housekeeper ' come make room 4:00 . happen , family ' go occupy small common area hotel , overflow luggage body guest wait check in . breakfast complete disaster . 12/24 , breakfast suppose go 6:00 9:00 , run OJ egg 8:15 , bagel shortly thereafter . line waffle - maker get long nobody could get coffee . even good day , set - up breakfast buffet ergonomic nightmare , need fix : first milk pitcher , cup / glass ; egg bacon ; plate ; bagel / bread , follow toaster ; next napkin / silverware ( plate ? ) , butter / jelly bread ; fruit ; yogurt ; cold cereal & amp ; bowl ( remember milk ? ) . get inexpensive breakfast corner 35th 6th Ave . , breakfast one thing make place suppose bargain . the hotel parking . 
 Dec 31 2007 	 love much book 2008 	 book hotel extensive reseach internet , hotel hugely overprice time want travel , admit cheap certainly not anywhere near expensive . frirst time ' ve New York hear friend horror story small hotel room bad service etc . hotel new room reasonable size fixture fitting new quite modern . the staff really friendly helpful overbear one pet hate , can not stand fake ' have nice day ' , like leave alone get holiday . the location great , far enough away Times Square crowd near enough short walk literally second away Macys . hotel prettiest street feel safe , street fill shop yes hear binman noise morning , hey New York city never sleep . make sure take advantage breakfast great , would highly recommend make waffle ! ! ! 
 Dec 22 2007 	 Pricey hey New York ! 	 stay Wingate 2 night November 2007 . room cost £ 220 per night , expensive 3 star hotel , hour research give find anything cheap well ( get quote £ 400 + per night 4 star ! ) understand New York , compare £ 110 pay 5 star Mandarin Oriental Miami stay day early feel rather inflated . hey market force that . the Wingate end good choice end – street Macy ' around corner Port Authority Building go catch bus make yearly pilgrimage Woodbury Common . despite close Macy ' Wingate slightly beat track hotel easy get taxi . go back JFK book car hotel collect instead . grumble hotel sit reception 30mins waiting car outside staff front desk fail tell I … good job leave plenty time get airport infamous NYC traffic ! ! ! ! ! hotel room clean heater / ac unit . room fridge microwave , plus coffee make facility . also inclusive continental breakfast downstairs behind reception . view typical NYC view , next high - rise hotel block ! useful Business centre downstairs , access free internet printer , mean could go airport armed boarding pass pre - booked seat . finally would like share ' wisdom ' NYC – fourth time 4 year big apple . flight get cheap cheap , £ Euro get strong , influx ' bargain hunter ' mean Midtown Hotels get dearer dearer demand accommodation get strong strong . ' let put though ! plenty bargain still though ! 
 Dec 20 2007 	 Noisy nice 	 travel lot Europe US first trip NYC . traveler include , wife , 20 - year - old daughter boyfriend . day Thanksgiving ( Nov ) 2007 , partly schedule time see Macy 's Thanksgiving Day Parade . overall enjoy stay . hard compare NYC hotel , , first stay city . room comfortable , particularly bed , everything work fine . staff friendly helpful regard hotel feature , etc . , though know little surround area . the hotel location fantastic . terrible view ( typical NYC narrow street & quot ; canyon & quot ; trash sidewalk morning ) block west entrance Macy 's two block Empire State Building . walk distance virtually everything , take we 15 min get Times Square 30 min south side Central Park . I really two complaint hotel , one can not really much , noise . wonder NY & quot ; city never sleep & quot ; be next impossible constant police siren . literally NIGHT long . doubt 10 min stretch without . solution ? buy EARPLUGS one numerous pharmacy . also , might slightly well side hotel . face 35th Street noise Broadway travel canyon . face inside block ( north , example ) might little well . the complaint really something breakfast . grant , busy time breakfast area plan hold everyone hotel , presumably even fraction . 20 people seat , usually one two waffle maker work , could mean 20 - minute wait . usually egg sausage providing be one first 30 people morning , otherwise run . ditto coffee . also donut , pastry , yogurt . plain decent -- not enough busy morning . fortunately , NYC , couple $ 5 breakfast place within one - minute walk ( Broadway . ) would not mind stay , though since NYC big , would probably look stay somewhere near Central Park not get much opportunity explore area . midtown , though , happy hotel . also , advise book early save money ... daughter book six month pay less half pay book three month ! hope help ! 
 Dec 17 2007 	 Warm friendly .... good ! 	 long flight Australia husband chilly weather welcome New York . Wingate Inn Midtown excellent choice stay Manhattan . twelve month old accommodation include complimentary breakfast . boy ... enjoy make - yourself waffle ! internet use gym free . half block Macy 's Department Store position perfect . friendly staff greet we desk . two full day explore city take beautiful sight Christmas light decoration . booked & quot ; special price & quot ; could not do well . 
 Dec 16 2007 	 Love Wingate 	 traveler write , wingate great hotel . location perfect see NYC site : 's easy walk Empire State Building , Times Square , Bryant Park , Grand Central Station , even Rockefeller Center , Fifth Ave , Chelsea , much ; be also 1 - 2 block train subwaystation access site afield ( e.g. , downtown Financial district , uptown Central Park / museum beyond , well Brooklyn & amp ; Queens ) . comment forum safety areaat night ; desk clerk reassure we fine really , even folk conservative ; return around midnight couple night , feel completely safe . staff friendly , helpful , other state , willing keep luggage arrive early leave late . room bathroom nice large nystandards . lot little eatery neighborhood , sit - down course well salad hot - food buffet take - out may wish take something back room ( small fridge , microwave , also asafe ) . 
 Dec 14 2007 	 Great Hotel 	 recerntly stay Wingate 7 night , hotel great . room bed huge staff friendly helpful nothing much trouble . hotel great location , able walk Macys , Times Square , Empire State Madison Square Garden . breakfast great , do not eat every day waffle treat . a useful tip anyone go visit Empire State - buy express ticket line get , let walk top queue , go wait time 1 hour get top , pass get 5 minute . also able walk top queue come back . well worth especially do not much time New York . all Wingate brilliant hotel location even well . would stay recommend people know go New York next year . 
 Dec 13 2007 	 Excellent 	 stay hotel 4 - 7 Dec 07 . hotel excellent location midtown block Macy 's easy access attraction subway . room clean , well maintain , good size bed comfortable . plenty towel bathroom wall mount plasma tv , fridge , microwave coffee machine room . staff friendly helpful breakfast great . hotel lobby small hey , . would definitely recommend hotel . 
 Dec 8 2007 	 Excellent Hotel choice 	 stay thxgive weekend . overall good choice NYC . centrally locate advantage little outside Time Square madness , still close enough walk there . room clean , well appoint good size ny . amenity . staff nice , breakfast little crowded , overall good selection . make sure need 2 double Beds call re - confirm reserve . reserve double Queen get none available end give we 2 king room instead ( hotel 100 % book ) ... would stay . 
 Dec 7 2007 	 nice clean hotel 	 hotel really nice clean . bathroom big full bath . staff helpful friendly . stay 15th floor face street . even though high could still hear garbage man around 6:00am . besides wake everything else good . would definitely stay . 
 Dec 6 2007 	 New York 2 	 stay wingate hotel 21st 28th november , two room three teeensand wife . the kid love breakfest , room comfy roomy . location fantastic empire state , macys time square , staff really helpful . side anyway lack bar shopping , suppose open 7th dec , would interesting ! ! ! ! ! hope helpful anthony188 @ btinternet.com 
 Dec 2 2007 	 comfortable friendly beware overbooking ! 	 comfortable stay . room spacious ( NYC standard ) , clean quiet . staff ( front desk housekeeping ) beyond friendly ( smile , eye contact seemingly genuine interest helpful ) . nice complimentary breakfast , food nothing write home . , hey , free be New York , free anything great ! backside hotel quiet . place appear really good soundproof room floor never hear peep anyone , even though hotel full . , however , virtually cell phone signal room head lounge second floor make phone call . big deal , especially local phone call free . one recommendation , though . try arrive early day hotel oversell night arrive . perhaps fluke , would pain travel day find without hotel room .. get last room . feel bad 3 party arrive get elevator . also , not lot restaurant near hotel serve dinner 10:00 pm . quite long walk try find place open business night arrive . however , location great far convenience subway , etc . nice hotel ! 
 Nov 14 2007 	 problem 	 problem start . sleep face main street , happen low floor , hear pound recycling truck right across hotel . last 4 am , loud ! move different floor , find ice machine dispense ice night long ! not quiet either ! location ok , staff bad , good.2/10 
 Nov 6 2007 	 Best Quality Value 	 check Friday , stay 3 night . room 602room extremely clean comfortable . hotel tuck away 35th street 1/2 block 7th avenue . walk Penn Station luggage problem . total experience great one . mind rate $ 399.00 per night , think outrageous hotel type $ 459 . take subway throughout Manhattan easily location . walk till late night feel safe . hotel fairly new , restaurant site room service , problem many restaurant near . rate include breakfast every morning , egg , bacon , sausage , waffle , fruit , yogurt , bagel , cereal , juice , etc . room flat screen tv , wall , also come microwave mini fridge , coffee maker , mini bar stock overprice item . staff friendly helpful . would definitely recommend stay . way look inexpensive place eat , try department store Macy 's around corner . low level & quot ; Marketplace & quot ; , salad , sandwich , hot food , pasta , etc good price . Wish would find soon . often end pay high price rude service bad meal restaurant Manhattan . 
 Oct 24 2007 	 lovely quiet good breakfast central 	 hotel great value . huge Kingsize bed , room bathroom . lovely bed linen , clean complementary breakfast pretty much everything could imagine include nice waffle ! around corner Macy 's street subway go Central Park Soho . our room back build dull view another building , perfectly quiet , good consider constant traffic siren noise NYC.We stay Beekman Tower hotel dive compare place . recommend . plus staff great , sort we taxi 's load stuff . 
 Oct 16 2007 	 great hotel price ! 	 actually find hotel search one travel website . disgust use one & quot ; traditional & quot ; online booking site , decide give Wyndham call actually give we * * price even list hotel website ! location right Seventh Ave . Fashion District , 6 block away Times Square . really great location service excellent ! ' ve stay boutique hotel throughout city far good & quot ; chain & quot ; hotel money . room nice spacious , clean , comfortable . nice size , especially hotel city . take advantage free Wi - Fi throughout hotel . free breakfast well , although little questionable . all , great experience ! definitely would stay ! 
 Oct 7 2007 	 Great Price ! great place ! 	 find heart Manhattan ! right around corner Macy 's Madison Square Garden hotel lot offer . nice size room even family four ( 2 adult 2 teenager ) . great view , price room clean comfortable hotel close proximity public transportation . not let side street scare night - it be half block main artery feel safe walk back night Times Square theatre district . two computer accesible . one second floor overlook lobby one low level less busy . also , breakfast good nice selection choose great coffee ! staff especially helpful accomodateing . definitely stay . hope not ruin great find tell many people ! ! ! ! ! ! 
 Sep 26 2007 	 comfortable hotel fantastic location 	 stay Wingate Midtown Manhattan Aug 25 Sept 3 , 2007 , enjoyable experience . hotel new , room fresh comfortable bed , flat screen tv . complimentary hot breakfast excellent , make - your - own waffle , bacon sausage . ( could use little variety though ; stay 9 night , breakfast every day ) .The location perfect , heart fashion district , Macys many shop attraction ( Borders , Madison Square Garden ) two - minute walk away . subway station main line corner street , short block away , include line 1,2,3 , , C , E , Penn Station main line . hence , hotel easily accessible subway , train , bus . the staff , every man woman , courteous , friendly helpful . request make promptly cheerfully attend , even make wee hour morning . appreciate kind service , especially exhausting day , 20 hour air travel . ( aside , mention arrive JFK airport 7:45pm , make mistake call AIRLINK NYC shuttle 8:30pm . driver late hour , go around 10 terminal JFK almost 2 hour fill van . know location hotel . , arrive hotel 4.5 hour call AIRLINK ! strongly advise traveler use shuttle service . use SuperShuttle instead , reliable efficient ) .there , course , problem ( hotel perfect ) . arrive hotel 1 am , room take , place room 305 , room design handicapped guest . hence , bathtub , closet clothe ( open rack ) . importantly – critical business traveler – mobile phone signal room , perhaps room back hotel , tall building around , low floor . may true . 5 room every floor , traveler specifically request place room . complain , transfer 2 day later room 1204 , room perfect . large previous room , front street , could easily get mobile phone signal room . tub closet . tv face bed , previous room , cram top drawer leave bed , make uncomfortable watch . traveller ask high floor room face street get good deal . on whole , would highly recommend hotel business leisure traveler . 
 Sep 25 2007 	 fantastic deal NYC ! 	 stay Sept 22 - 26 2007 . Read review check website . thrill accurate ! wingate 35th NYC amazing deal city charge hundred dollar worn looking room . hotel EXACTLY like 's picture claim : big room , date furnishing , free bottle water , refrigerator , microwave , breakfast , business center , real closet helpful staff . downside location 35th street ... prettiest street city . however , be conviently locate easily walk many sight , load restaurant , etc . would definitely stay ! 
 Sep 19 2007 	 great service value ! 	 husband stay one night ( Saturday ) Wingate . locate Garmet District couple block Madison Square Gardens Penn Station ( Amtrak bus ) . 's great location want lot shopping ! arrive check - in room ready , hold luggage . front desk courteous , friendly , helpful , refer we name . room clean room one top floor ( prefer decrease street noise ) . would recommend request room ice machine floor . ice machine locate hallway next room ( ' m sure make noisy stay someone room ) . free continental breakfast nice treat ! hard boil egg , waffle , juice , coffee , bagel , fruit , yogurt ... good enough get go morning . hotel offer free wireless internet well . microwave refrigerator room . enjoy brief stay Wingate would recommend other ... inexpensive compare hotel Manhattan area . 
 Sep 17 2007 	 Great Value NY 	 look family friendly , reasonably price , comfortable , clean hotel central New York area . find , . room comfortable , nice bedding sit area . clean , modern , nicely decorate . hotel within easy walk distance Times Square , Macy 's , shopping , Greyline terminal . greyline good tourist trap ever see . able hop bus see NY one day , include tour top empire state building ! great place travel kid room well insulate , provide portable crib , decent breakfast , close everything . 
 Sep 11 2007 	 Great Hotel 	 stay hotel 1st week September 2007and say hotel good . location wise central Midtown Manhattan , Times square Central Park within easy walk distance . empire State building less 10 minute away Macys shop 5 minute walk excellent location . this hotel high hygene standard room service excellent . staff hotel could helpful excellent mannner courtesy say pleasure speak . overall would recomend hotel anyone look good Hotel good location excellent cleanliness . 
 Sep 9 2007 	 good small hotel centre midtown 	 keep short hotel already lot review site . good : - hotel clean - room back hotel ( twin room back , king front ) quiet . virtually street noise unheard area- Location excellent ( time square 10 min , Macys 3 min , Empire State 10 min ) - room decent size - staff eager help friendly- free breakfast free water room day . good : - facility little lacking , example bar , restaurant room getting change give roon last day- road hotel be not great night ... however literally 40 seccond quick walk seventh av do not find problem . overall great stay want stay midtwon area hotel excellent choice cost . 
 Sep 7 2007 	 Fantastic 	 say not already say , clean , big room , even room 2 double wheelchair store , staff brilliant , would ask day pleasant good personality , ask everything ok problem cleaner desk staff , everybody would help anyway could . as former comment dark scary , never scared walk street wife wherever New York , actually feel safe walk street night New York home city Manchester Uk . I would recommend hotel anybody , fact today workmate fancy visit New York . if staff read review thank , make stay , 3rd visit good . do not take photo room photo hotel website true picture room amenity . 
 Sep 6 2007 	 Wingate keep word 	 ' ve book room large advance 10 day vacation ny ; ' ve wonderful town several time know perfectly Manhattan fall trap also expensive hotel . this time ' ve carefully read valuable review post tripadvisor decision thank ' ve take excellent choice . even ' m italian write review english order make available large number user ; way hope review useful ' ve read . the hotel extremely clean everything seem brand new : particularly remarkable city often hotel show sign oldness . my room spacious comfortable ( especially wonderful bed ) ' ve appreciate complimentary water ( pay attention : water apposite label free ; bottle fridge fee 5 dollar read cap ) .Oddly be nothing else fridge exception water : ' ve find point little bit strange actually . unfortunately ' ve confirm main fault user record : air conditioning extremely noisy compel turn ; significant discomfort hot period year . I hope staff able read repeat signal review order something solve problem . the complimentary breakfast really bonus : generous , assorted pretty good ; appreciable also 24hour gym ( even ' ve never take advantage ) .Noteworthy internet connection , limit high speed connection room : computer business center , free connection guest lack laptop . regard location ' ve deny speak dangerous zone : 35th street luxury part town quite dark dull especially night hour , be nothing dangerous here . honestly prefer midtown block place beetween Central Park Times Square , glisten appearence , safety reason . totally useless add candid picture , since find really trusty . finally , consider price ' pay king bedroom , 160 dollar per night , consider hotel good ... could excellent slight improvement . 
 Sep 5 2007 	 good hotel 	 good hotel situate excellent location . walk distance Times Square subway station . ( 4 adult ) stay 1 non - smoking 2 double bed room . room quite spacious clean . attach bathroom also clean nice . hot breakfast good . location size room , price pay good . good hotel . 
 Aug 31 2007 	 Fantastic ! great staff lovely room . 	 go New York June honeymoon trawl hotel hotel site find one do not bad feedback say hard task ... one bad feedback book . disappoint . arrival room ready little mix room ok , sorted professional put right . room lovely ( penthouse suite top floor balcony ) highly recomend one room , bed huge , aircon whilst noisy day time suprisingly quiet night . location perfect first time New York visit round corner Macy 's Empire State . all fantastic hotel , restaurant hey New York ! want stay hotel fantastic array take menu choose deliver hotel staff happy bring food time . a great hotel trip lifetime . 
 Aug 28 2007 	 ok Day not gou Night 	 travel NYC every 4 - 6 week stayedin almost hotel . many ourbusiness wholesaler city . likestaye near Javitz near Macys walkable many thing less crowdedthan midtown near Times Square . heardthe great review Travel Advisor decide give whirl . be aware bell hop locationand lot baggage one help . to catch cab also bell hop mustgo block Macys pick one , sogood haul luggage . otherwise youcan call car youto meet front door . room smalland clean . breakfast nice crowdedthey allow enough space . this hotel locate garmet district 6 pm place become dark full interesting character . Most could without gatheredin cluster . security guard onduty hotel either . one outsidemonitore anything . there little light walk backto hotel dark allthe business surround area closedwith garage door clustersof man gather around . it block half Macys butafter dark long long walk ! feel safe allthere . travel alone another womanI recommend stay planon go dark . dark fine . for money Radisson much betterarea lot light lotsof security include bell hop easy access cab . 
 Aug 27 2007 	 two Thumbs ! 	 hotel great ! picky , especially cleanliness . room spotless large , wifi great , AC work well . Breakfast expect well . stay next time visit NYC . 
 Aug 27 2007 	 Little Gem 	 come accross hotel visit New York friend last April . entirely happy hotel book another tourist chatting speak highly stay Wingate . call hotel enquire tell we special rate advertise , $ 120 room , reasonable ny ! staff extremely helpful pleasant could enough assist we . room beautifully decorate bit small . twin room consist two extremely comfortable double bed , good sized bathroom , tea / coffee make facility microwave . internet access free fast seem common NY hotel . I would highly reccommend hotel , close action shopping , would definitely try stay next trip New York . 
 Aug 24 2007 	 great hotel 	 confirm positive thing say far hotel . a minor point : - slow elevator . spend 5 minute wait one.- Breakfast area get pretty crowdy . - Loud A / C.Overall , great hotel . relatively quiet yet central location , close ACE & amp ; 123 subway line ( get $ 24 unlimited metrocard stay week ! ) . 
 Aug 23 2007 	 great budget hotel 	 2 room wingate , one parent one husband , 18 year old son . comfortable well look none us complaint . staff always hand always keen help . position Garment district great , thing within walk disatance . view street hotel particularly inspire go New York would assume . breakfast brilliant ' cook waffle ' fun . complaint previous reviewer scarabble egg interesting . hotel wither reviewd egg supplier , change cooking method people darn fussy 5 party could see problem . fact room price include breakfast good enough we ! ! . would recommend thsi hotel friend would go back . 
 Aug 22 2007 	 Best Deal Town 	 wife stay hotel two day ( 8/19 - 8/21 ) scouting hotel go book , convinced get good deal . want stay three hotel actually cancel one reading review hotel . disappoint . room seem brand new . fixture , toilet , sink , tub , countertop premium quality spotless ( mildew even scrutiny ) . bed extrremely comfy . sheet / bedspread spotless premium feel . also fridge microwave ! wow . we really appreciate fact many thing include price extra charge : internet access , business center access , bottled water , luggage hold ( arrive early ) , free hot breakfast ( unheard ! ) .finally , staff extremely helpful . give we great suggestion food direction . our complaint air - conditioning fan fairly loud . man , job . cool room five minute flat . there question would come back hotel . 
 Aug 21 2007 	 Wingate- 's winner ! 	 stay Wingate 4 night teenage child . wingate locate smack - dab garment district , mean fairly quiet night need sleep . hotel clean well - maintain . room good size Manhattan , include two double bed , large desk , microwave , small refrigerator , flat - screen television , generously sized bathroom . deluxe continental breakfast include morning lovely room back hotel . location perfect- 35 th street west 6 th avenue . kind shocked nice staff were- people store New York tend rude . hotel extremely good value money . pleased stay , definitely back ! 
 Aug 20 2007 	 Excellent Value 	 stay Wingate Wyndham 5 night would stay return NYC . centrally locate close Penn station handy catch 7.15am train Niagara Falls . the room comfy spacious awsome shower . downside room air vent quite noisy . staff helpful able recommend restaurant close hotel arrive quite late evening . the breakfast spread quite impressive waffle maker high demand . get early will miss . pay $ US290 per night ( taxis include ) think bargain standard hotel August . 
 Aug 19 2007 	 great find ! 	 great find ! stay one night perfect shopping getaway ! easy find , staff helpful , keep luggage us check - in next day also check - out . clean worried , huge room sufficient spotless ! involve little bit walk place like Time Square attraction still close enough walk . pleased ! ! 
 Aug 11 2007 	 would gladly go back 	 start state not originally suppose stay , ' m glad company book overbooke hotel , stay fabulous ! would hear horror story small room New York ... not . room one king bedwa wonderful size , bed super comfy , entire hotel smoke free , breakfast , superb , hot , substantial , free . I would ranked everything perfectly one inattentive guest service agent - one check we . everyone else amazingly helpful nice . also , brochure hotel room say hotel hot tub , not . , however , nice computer printer free DSL print boarding pass you . this hotel block away Penn Station NY , make really easy get airport via public transportation . ( able get Newark $ 15 AirTrain . ) also , small subway outlet corner easily transport Times Square Rockefeller Center not want make walk . ( easy walk Times Square Rockefeller Center ... take time . ) also really close great shopping ( garment district afterall ) , restaurant - try Scotty 's yummy grub , Empire State Building . my favorite eatery - though off - topic - serendipity 3 Frrrozen Hot Chocolate , accessible via subway . overall , hotel pleasant surprise . would definitely stay . , price rating 2 - 3 star hotel , luxury excellent . definitely underranke . 
 Aug 8 2007 	 Great Place Stay ! 	 do internet research last winter first trip New York August/2007.Came across hotel Manhattan . clean room , friendly staff great morning free serve breakfast ( waffle , sausage , egg , cereal , fruit , juice etc . ) hotel also great fitness room computer room guest use . easy walk Empire State Building , Macy 's ( right street ) , Madison Square Gardens , Times Square etc . great eating place also area . subway location within 1 - 2 block take anyplace need go New York . great time New York Wingate great place stay . booking early get great rate $ 189 night ( plus taxis ) . great price part town . worth . side stay bed pillow comfortable . tend big hard pillow . besides great . front desk super helpful answering question get around New York . $ 45 hotel also provide SUV vehicle service back airport . not worry find taxi etc . one final thought . be go New York first time , buy good map New York City subway line . familiar subway system travel New York , Bronx , Brooklyn etc . $ 7 day . way go . also buy cheap compass tell direction be walk . great trip Wingate place stay . 
 Aug 7 2007 	 Great Deal 	 thoroughly enjoy stay hotel . check 3 , allow check early freshly clean room . room date . never use , gym business center hotel well . air conditioner work extremely well scorch weekend stay . seem loud , do not prevent bf sleep . complimentary water , fridge microwave room , block Times Sq , Madison Sq Garden , Penn Station , Manhattan mall , subway stop corner street . the problem small . first , view awful , bed pillow firm uncomfortable . 
 Aug 6 2007 	 expensive ` ` complimentary '' water 	 ok stay . guest note quite noisy street construction ? go middle night . 14th floor still wake many time first night ( Fri . ) . next night well . room clean enough bed comfortable pillow horrible . stiff neck use , second night stay floor . continental breakfast adequate bonus . disturb though morning stay people walk around barefoot breakfast room . like saying & quot ; shirt shoe service . guess ' m one seem allow Wingate . big gripe hotel & quot ; free water & quot ; provide guest . know provide complimentary water open fridge see two bottle water assume free charge . see sticker tag indicate would charge $ 5.00 dollar per bottle . complain management charge stay bill . feel take . hotel NYC stay elsewhere next visit . 
