Fantastic 	 back 4 night stay Marriott Eastside . bit hesitant stay Lexington Ave previous trip NYC always stay close Times Square , good location ever . hotel locate less 5 minute walk 5th Ave less 10 minute walk Times Square . staff friendly efficient especially Irish Porter Donegal . pleasant helpful . room service one night could walk day shopping . food service great cost $ 70 dinner two beer tea include . never stay hotel close Times Square , will stay Marriott . concierge great organise ' town car ' we go airport cost $ 75 include toll tip - cheap fare ever pay airport hotel NYC . seventh trip NYC would say good trip ever far fantastic hotel stay . will back ! 
 Sep 15 2007 	 eastside 	 good hotel overall . try get high floor . stay the11th floor hear lot street noise ; require ear plugsin order sleep night . also helpful havea sleeping mask since window shade paper thin keep exterior light . otherwise , bar / lobby nice conducive drink heading restaurant . please know subway readily available travel eastside . however , order switch westside take shuttlefrom Grand Central , 7 block hoteland rather time consume . it good buy get good deal Priceline.com 
 Sep 9 2007 	 good solid place stay NYC 	 good place stay NYC . good location ( Lex & amp ; 49th ) , nice room , good amenity . flat screen tv 's , comfortable bed , free coffee lobby . other state , old hotel , room small , comfortable . day , hotel pretty full small elevator slow crowd . otherwise , like place would stay . second stay past 4 year . also stay Doubletree / Metropolitan block north , would say Marriott well . 
 Aug 28 2007 	 Great Service Location 	 son & amp ; travel NYC celebrate 18th b'day . request double room high floor absolutely problem wish honor . room beautiful initial view wedding rooftop build next door . get street level , realize W Hotel . Waldorf Astoria across street ! recognize good neighborhood immediately start take advantage explore else within walking distance . Rockefeller Center block away 49th Times Square pleasant jaunt Lexington 42nd Street . everyone Marriott helpful . accept bonus buck even though receive reasonable pre - pay rate . Doormen offer restaurant suggestion ask help we goal eat different ethnic food restaurant whenever get hungry . even give we great suggestion find late night cigar celebrate actual 18th birth day . housekeeping really wonderful , indulge chocolate need every night . we love Marriott Love NYC ! 
 Aug 12 2007 	 strand Manhattan due Reservations Mishap 	 never stay hotel would accept exclusive elite coupon stay night free . book stay phone Marriotts 800 number tell could use certificate time . however , arrive informed New York hotel honor would pay night . manager provide printout hotel include know reservation say could use . contact Marriott say could force hotel honor coupon contact every hotel Manhattan see would honor coupon . one would , put Courtyard 3rd still pay full rate night . ' ve since complain customer relation agree honor coupon next stay Marriott regardless accept coupon . prefer stay Marriotts reliability consistency will not allow incident change mind . would recommend property past ' ve stay one Times Square complication . 
 Aug 10 2007 	 Change Good 	 hotel believe 33 floor w/ 600 + rooms.from 22 floor consider Concierge floors.which access lounge.33rd floor Suite room located.as well room 06 & amp ; 28 low floors.are also consider Suite room ( acc . inform housekeeper ... ) ; -dpro'slocation - midtown 49th St. Lexington ave.walking distance Bloomingdales , St. Patrick 's Cathedral , Rockefeller Center . : shop 59th St. ( Claire 's , H & amp ; , Express many ) : restaurant ( Smith & amp ; Wollensky steakhouse , Mr. K 's , TGI Friday 's etc . ) Access Subway - two block uptown take . 6 train ( Manhattan bind ) . MTA bus M101 downtown , stop block away hotel . also taxi cab park outside hotel 's main entrance . room : family & amp ; stay last year renovation begin , thankfully go back last month re - do . the change : Carpet - brown ( dull , old , boring ) TOred - ( w/ swirl print , modern vibrant look ) hallway - use dark w/ less corner lamp - now , much well lighting fixture plus wall frame decor . the big mirror front guest elevator w/ black chest add sophisticated feel hotel . we room 27th floor . king size bed , w/ sofa bed.3 window , 3 side table , ref . , flatscreen tv , a / c , coffee maker ( 3 decaf , 3 regular , 4 condiment pack , 1 set tea ) BED : 3 sham , 3 feather pillow , blanket , duvet ( white sheet ) plus red bed scarf . it make room look much bright . the wall paper beige way well brown one hotel have . the bathroom almost . ( marble tile floor ) except addition big mirror new shower curtain . b / R Amenities : Bath & amp ; body work product . ( small size ) 4 towel , 4 handtowel , 4 washcloth , 1 bathmat.hairdryer , 2 laundry bag , iron , iron board ( inside closet ) .FITNESS CENTER : locate 35th floor . go 32nd flr . connect another elevator back get fc . new exercise machine . Earphones provide . machine equip w/ tv screen . be also 2 flatscreen tv set FC . rack handtowel . water dispenser . bathroom . concierge LOUNGE : access depend room level membership . open 7am-10am .. breakfast ... 1 pm drink ... 5 - 9pm light snack .... close weekend though . service : housekeeper kind & amp ; anticipate need . extra towel room & amp ; bathroom amenity . * * * * need imrpovement : front desk staff . unprofessional loud deal w/ guest . ( base obeservation handle guest ' reservation query . ) * * * * food : best tip , eat . Room Service menu not impress we . good breakfast Cafe ' Metro 2 block uptown 6 train station half price . * * * * * platinum member , expect renovation would also mean provide fully stock mini bar . nothing . also , amenity like Robe slipper would nice ... even bath gel mouthwash standard room . pay $ 400++ / night , & quot ; little extras & quot ; would appreciate . * * * * * * TIP : request turndown service . offer sleep oil chocolate . * * * * * * use door sign housekeeping cleaning . avoid disturb loud knock 8 am Saturday morning . * * * * * * * choose room 6,7,8 , high floor . tell room quite spacious plus sofa bed ... btw , room w/ king bed . * * * * * * * NON - smoking hotel . inform housekeeper find cigarette 's room ( proof thereof ) guest / s smoking room , call supervisor , inspect , bill guest $ 250 . think twice feel like smoking room ! convenience , will defintely come back . for business traveler ? yes would reccommend hotel.but family ? able see room rather small accommodate cot ... not mind overcrowding , hotel might right . ; - ) 
 Jul 20 2007 	 location great room update watch noise low floor 	 stay Marriott East Side several time year location perfect we . first impressed room makeover , intial impact realize thing not right . first closet small . New York , small closet ' ve ever see , look like broom closet . add , place safe floor , room leave shoe closet , let alone luggage . several item also store closet really limit store . yes 3 large size dresser drawer , prefer clothe hang shoe keep closet . bed comfortable , overdone bit number pillow - place put go bed night keep throw floor . big problem us noise . 6th floor , Lexington Ave side street noise night awful . husband live New York year , be use city living , could not get loud . sleep well night . upon check - out front desk agent say since historic building sound - proof window . honestly never issue stay , low ' ve ground level . would definitely recommend high floor & amp ; room face Lexington Avenue . 
 Jul 7 2007 	 great hotel 	 husband , 3 child age 11,9 7 return great holiday New York . hotel really clean . junior suite accomodate 5 us 2 double bed 1 room pull sette , husband sleep seperate double door . bathroom spacious clean . hotel room coffee maker buiscuit desk 2 television . central location get 2 10 minute walk times square 25 min central park . the staff helpful friendly check midday . daughter poorly let we keep room untill leave airport extra charge . food lovely breakfast plenty choice suit everyone taste . stay 1 evening meal usually would eat route somewhere nice reasonably price . have 3 child find hard get accomodation spacious comfortable hotel manage would def stay would recommend anyone . 
 Jun 22 2007 	 nice 	 although room large , big enough well appoint . 9 hotel stay NYC May & amp ; June 2007 , second nice . bathroom probably nice . match container bathroom amenity , include one q - tip , none hotel . gym pretty good . location convenient mid - town easy walk Grand Central . 
 Jun 20 2007 	 Nice business hotel stay fun 	 stay Yorktown Marriott trip primarily visit Metropolitan Museum Art Central Park . block walk attraction , not far Upper East Side safe enough fun walk through . the hotel comfortable . sixteen floor fifteenth . view interesting : straight two adjacent tall building FDR drive East River ( really cock head . ) view , though , & quot ; rooftop & quot ; accord bellhop . room individual coffee maker , full size iron ironing board , good tv web access well internet jack hairdryer . great bedding comfortable bed . many NYC hotel , alot space room . wardrobe , 2 queen bed , read chair workdesk handy pullout desktop take room . nice bathroom good water pressure davy Gate toiletry . Lower Level , hotel jacuzzi ( good tired foot ! ) lap pool open 9 pm . also workout room new treadmill . favorite gratis Maxwell House brewer offer freshly brew cup coffee well stock condiment also low level . do try hotel restaurant ; make bad first impression refuse let mother son use restroom & quot ; restaurant guest only . & quot ; be okay , room NYC full great restaurant ! block quickstop store open late stock disappoint New York City standard . to end another note ; valet bellhop great ; friendly , efficient fun rest staff . recommend business pleasure alike . 
 Jun 5 2007 	 great corner room ! 	 attend conference Marriott Eastside 5/29 - 6/1/07 . take red - eye flight Sacto . JFK arrive hotel little 10 : 00 Tuesday . room available , king handicap acessibility . take want drop luggage , clean bit , site - seeing . room locate corner 5th floor . 3 set window face 2 different street . 5th floor recently re - do like many floor comfortable plasma tv , frig / cool , wonderful Marriott bed etc . room large compare NYC standard . bathroom huge shower ( handicap ) , never expect soak tub . wireless $ 12.95/24 hr period fast never crash ! NYC noisy night . honk honk honk , ..... really not notice . never eat restaurant , although bar comfortable , multiple tv 's , snack mix , expensive drink . bell cap , desk clerk , concierge extremely helpful would definitely stay . fitness center 35th floor since new renovation happen 32 - 34 , need use stairs fitness center 32 .... whoooooooo , work - out . free fitness center , good equipment , lots tv 's , water towel available . floor 32 - 34 ready mid June check ! subway station 3 block away . lot site within walking distance : Radio City Music Hall , Rockefeller Plaza , Central Park , Empire State Bldg , Times Square , Theaters , NBC , etc . wonderful full service deli be across street . last day , ( Friday ) get late ( 2:00 pm ) check without issue . Marriott still number 1 choice . 
 Jun 2 2007 	 Adequate street noise much bad other Lex 	 ' ve actually stay hotel 3 time business 1999 2003 . adequate hotel , convenient location , nice bar . however , suggest get room Lexington Ave side street . side street noise awful - overnight garbage truck pickup not seem noisy nearby hotel . suggest request room high floor possible avoid street noise , bring white noise machine block . 
 May 14 2007 	 Bland 	 agree reviewer hotel seem date worn . look little extra come Marriott brand . room clean , spacious ( New York standard ) , price would expect least in - room coffee , mini bar maybe robe ... store around hotel close 7 pm , many restaurant ( really overpriced , even New York standard : 14.95 $ 2 egg bacon , 3 $ coffee ... ) & lt ; stay Upper West Side next time , cheap hotel rate neighbouhood feel 
 May 10 2007 	 Hmmmm ... probably .... 	 stay 3 night business . Marriott Marquis charge $ 400 night week go ( think spring break ) hotel $ 100 less , company encourage stay . , like Marriott chain , overall . play & quot ; point game & quot ; travel business might better choice nearby , chose & quot ; & quot ; reason . good : 1 ) nice bed clean room.2 ) friendly professional staff . 2 ) Decent wait time elevator ( problem large hotel NYC ) .3 ) quick room - serviceThe not - so - good : 1 ) immediate location interesting ( yes , know Manhattan , business stay reasonably close hotel work long day ) . far walk see noteworthy & quot ; site & quot ; Times Square , Central Park , etc.2 ) Building seem dated need immediate refurb.3 ) price could probably get something nice not play Marriott Point game.4 ) room small price paid.5 ) view even though high floor ( unless like stare office building across street ) .6 ) Overall & quot ; old & quot ; feel atmosphere ( not mean people , & quot ; tiredness & quot ; everything associate property ) .Will great time stay ? course . 's NYC overshadow every nuiance ' ve cite ( will not great stayed ) . 
 Apr 24 2007 	 ! ! cancel penthouse reservation 3 day b4 arrive ! 	 4 month advance arrive booked penthouse room large terrace . rate quote $ 1600 per night . I speak directly " salesperson " book room - due cost involve . I send reservation confirmation email ( confirmation # ) month arrival date .. still , sure , call salesperson back 3 business day arrive re - confirm stay . I tell : " oh go call … tell room renovation ready stay . & quot ; point $ 2000 worth theater ticket book + dinner reservation make + business class flight book month before . I travel extensively ; * * never * * hotel arbitrarily cancel $ 1600 night reservation within 3 business day arrival . Marriott ? never ! ! ! 
 Apr 20 2007 	 Nice Hotel 	 make reservation internet . good rate hotel . location perfect . close principal tourist place . type transport . room clean small . personnal nice . recommend hotel hope comme back soon . 
 Apr 20 2007 	 Nothing Special 	 Stayed weekend Marriorr East Side . although room clean bed comfortable , room size jail cell . window right prison wall shake every time another door close hallway . ' m Marriott Silver member ! nice upgrade ... call hotel building & quot ; historic & quot ; - 's old see well day . the staff friendly struggle reservation system general customer service . not understand rate web reservation system . business meeting next day present set customer service challenge . the in - room tv keep lose satellite signal rainstorm weekend ; use room service food less average . try keep mind 's Manhattan ' ve stay brand name hotel much , much bad . the lack organization hotel leave bad impression . I would hold business meeting . get sleeping room , would deal . ' m go back unless be absolutely necessary . 
 Apr 2 2007 	 Hotel does't live promise 	 stay New York Marriott East Side two night ( March 24 - 26 ) 2007 . make reservation request two thing : two double bed early check - in . get neither . arrive hotel 10:00 . fully expect room would ready - correct . also learn request two double bed confirm ( request ) make reservation . say could give king room two roll - away bed . pre - registered room ( mean would take cc info put system . need pick key . ) also say room would ready 12:00 noon . check luggage go explore city . return hotel 1:00 . room still not ready would not ready 3:00 . basically , request early check - in mean nothing . time , wait line front desk , overhear quite conversation guest situation bed . hotel need double bed ! ok - finally 3:20 room ready ! arrive room , discover four large container disgust chinese food obviously overlook housekeeping staff cabinet next refirgerator . food not miss morning . food day grow mild obviously spolie - YUCK ! ! ! promise , roll - away bed arrive without blanket pillow . one roll - away break . deal first night use pillow throw king bed blanket find closet . the hotel location within walk distance Rockafeller Center , St. Patrick 's even Central Park . 's subway station nearby anything else close hotel . the hotel offer complimentary coffee morning . since not spend much time hotel , adequate need . will look elsewhere different hotel next time . 
 Feb 10 2007 	 good location okay hotel room need refurbishment 	 location : goodthe location hotel great . okay , right Times Square like Marriott Marquis ( much expensive ) ... hotel 10 minute walk Rockefeller , 15 minute Times Square , 5 minute Grand Central & amp ; 5th Avenue 3 block United Nations , bad location hotel . we pay 199 dollar room time book NY promo Marriott Rewards member . check - in / service : friendly quickwhen arrive 20th January , lobby quite empty check smooth friendly . request room high floor get 21st floor . however , get hotel , bell boy carry prompt luggage assist us taxi . check - out bill automatically print put door . hassle leave . stay 2 night hotel . room ( room nr 2115 ) : expectedthere one window overlook Lexington avenue lot building , fine . bed comfortable fluffy pillow nice cosy duvet . bathroom rather small everthing , also clean . room obviously need upgrade see fall debris ceiling . fridge room empty noisy night switch .. generally room nice even though high expection Marriott . good news Marriott fan room undergo refurbishment , little display lobby improvement way new colour scheme etc . food / breakfastwe not take brekkie hotel sample food lobby lounge . small bite service quick efficient even bar full . verdict : well , location great , nice landmark building , overall good service soon new room upgrade . not bad hotel would not stay property price , well option around . 
 Jan 31 2007 	 would not stay 	 stay 3 night work trip really disappoint . room ( not cheap ! ) one window hardly light dark dingy . customer service good ; ask coffee maker room ( automatic ) not arrive . expect fax , wait 10 minute reception , advise fax break tell need give different fax number , go business centre ( ask ; would still ask ! ) . give Marriott Rewards card check check ask whether could check point tell sheepishly not add . many hotel New York , lot much well value . will not visit ! 
 Jan 26 2007 	 woeful trip 	 terrible hotel patronise management complaint deal shambolic manner never never stay Marriott even free . we book trip telephone sure 2 queen .apon arrival 1 queen available arrive Belfast 14 hour away receive petty apology book be not family happen .As bother worry guest .We end lousy large room 2 flea ride roll away deliver 7 hour later checkin .... husband large amount loyality point mean nothing complain politely . we even receive request 3 day early bedlinen requirement ask staff ensure young jet lag child comfortable street ? ? ? ? ? ? ? ? 
 Jan 25 2007 	 noise 	 friend stay hotel visit New York celebrate St Patrick 's Day . ' ve stay lot hotel city , bad one . room 11th floor could hear lot traffic noise street . also problem radiator room , pipe make tap noise regularly . complain staff say hotel old . surely Marriott fix problem old property well modern one ? not stay Marriott hotel anymore response complaint . 
 Jan 25 2007 	 Overall Good Stay 	 NYC business trip , decide Marriott East Side location work , restaurant , city sight . also want full service amenity . room nice size NYC standard , clean well keep . request & quot ; quiet & quot ; room away street noise Lexington Ave . bother street noise , noise heater wake several time night last two night stay . temperature city drop dramatically , like warm , toasty room . explain hotel engineer , pipe make noise building old . nothing could noise . noise problem co - worker , different room , like warm . , preference toasty room , may issue heater noise . go Shelton Grille breakfast one morning , fail deliver order . wait 20 minute , leave work . waiter apologetic , insist give order go . also complimentary . the entire hotel staff ( except gift shop cashier ) helpful polite . concierge great restaurant activity suggestion . 
 Jan 7 2007 	 good expierance 	 hotel old . not seem particularly worn , feel historic nothing noticeable I . we two room 12th floor . one big bathroom one big bedroom ( maybe inch ) bathroom clean , nice bath & amp ; body lotion shampoo . plenty towels.our window face side street lexington soo not noisy.beds double comforable . conciegere great help . location amazing . we want late night desert keep kitchen open we . two things:1 . dad like square pillow pillow way soft fluffy ... perhaps something nthe middle two 2 . remote tv not work one come anything . really not matter room watch tv nice get weather report see score late night get back hotel . 
 Dec 21 2006 	 Great MidTown location 	 spend Dec 16 & amp ; 17 hotel , NYC expert find location excellent . 2 adult 3 kid camp room room experience . service great , location great , easy on / off FDR , $ $ $ $ parking NYC . less 30 minute walk almost MidTown location . take line Times Sq & amp ; Grd central convenient . 
 Dec 11 2006 	 like hotel 	 stay hotel 3 night . like much . the hotel kind old . room big ( compare hotel room NY ) still old . bathroom : big old . lifts hotel horror ! sometimes wait minute till come floor ! ! ! location hotel ok . close 5th Ave . that s . also stay SOHO GRAND hotel Soho , love . want stay area Marriott think would go W - HOTEL right next door . stay look much nice 
 Dec 2 2006 	 good hotel GREAT location 	 stay two night end Nov. 2006 tourist NYC . got good deal Priceline . hotel old , great character . service front desk concierge impeccable . however , lobby area get busy early evening . room nice ; pretty much would expect Marriott - complete essential amenity . complaint room quite noisy hour , traffic Lexington . highlight hotel GREAT location lot GREAT shopping nearby easy access cab subway . 
 Oct 18 2006 	 Depend Marriott 	 almost always depend Marriott New York Marriott East Side live expectation . location 49th Lexington Avenue great four day within walking distance , include Broadway show . feel safe neighborhood . room small tastefully decorate comfortable bed . end pay twice room hotel across street 6 month ago , reflection overall NYC hotel market room class price $ 400 neighborhood . thing would appreciate provide either big towel terry robe . , less experience trendy W Hotel across street . 
 Oct 15 2006 	 always Happy Marriott East Side ! ! ! 	 husband stay city child without ( 2 girl 7 & amp ; 9 ) . compare Marriott East side Hilton 6th W times square 's easy give hotel rave review . oct 6 - 9 . arrive always greet smile hello 's . hotel guest relation coordinator Kenda remember we everytime go ( 3 time year ) . particular stay reserve Jr Suite pull sofa child . get 6th floor room smell smoke ( non - smoking hotel ) tub clog . call service desk request change room due fact asthmatic child . give room instead Ambabassador Suite 33rd floor . hotel staff could helpful . profile Marriott states asthmatic child , however not feel switch large suite . believe relation staff try keep 's guest . never experience rude employee hotel . stay 3 time year past 5 find quite amazing . sure everyone know , JW Marriott parent company Ritz Carlton . frequent guest Ritz Boston well Ritz Beach Resort Naples FL . easy compare category 7 Marriott Ritz . anyone expect large hotel room NYC somemore research , ' ve stay quite small . ' m sure fact city populate . pay $ 500 night completely fine get ( even room not change ) Location , block good shopping site NYC . easy highway access fact large city yet hotel get feel neighborhood . would recommend hotel anyone want enjoy New York ! ! ! ! 
 Oct 4 2006 	 Good Business Travelers 	 frequently stay East Side Marriott NYC business . recent stay June 2006 . hotel conveniently locate east side midtown , provide great location need get cab airport also within walk distance client meeting . the staff friendly - always willing call cab smile help bag . often arrive morning straight LaGuardia , room not ready , bell captain happily check bag smile . room not huge , clean functional . room high & quot ; club & quot ; level large regular room , room marble bathroom comfortable bed . use fitness center site , trouble room service hotel restaurant . overall , think East Side Marriott convenient provide good business service traveler . would also consider stay leisure , although can not comment concierge service . 
 Oct 4 2006 	 average hotel great location 	 stay Marriot East Side NY 5 night sept 16 th . sept.22.th . five night pay 2900 $ ( include tax ) think much expensive , comparede hotel standard , think , average . reception dark , dull , smelled sort & quot ; moldy & quot ; . room include comfortable bed ( be important ) , quite small , simple . seem quite worn , carpet stain , bathroom ok , warm everything put get quite humid . people frontdesk ( reception ) seem bit rude . say hello velcome arrive , goodbye leave . reply yes og shortly question , never give smile . first impression USA whole life , wonder land . still find strange people work hotel nice , velcome polite . good impression get people meet NY , business leisure situation , stay . manager desk right beside also polite nice helpfull . concierge well ! great hotel two thing : location fantastic ! walkingdistance almost everything , love ! since UN General Assembley gather , traffic big mess , lovely walk distance . love Starbucks next corner . great thing hotel fitnesscenter 35 floor . love ! morningexercise great view Big Apple , believe lucky ! ! . visit restaurant breakfast . cost 25 $ . quite expensive , could eat much like variation great , even though eat fresh strawberrys toast bagle everyday . well admit quite disappointed mye hotelroom . ( suppose heared lot big room bit & quot ; glamour & quot ; come american hotelstyle ) glad not realise price left , employer pay .... love New York , people , city , everything ! ! ! ! ! ! ! ! 
 Sep 13 2006 	 nice room 	 stay New York Marriott East side 9/3 - 9/5/06 . hotel location GREAT - 6 block middle Times Square $ 5 cab ride . old hotel , fact think say something tall hotel world 1920 's . translate room layout somewhat awkward , closet tiny , elevator small . not slow , fit 5 - 6 people . nothing term decor look old outdated . bed wonderful ! room nicely decorate . notice stain ceiling , not make break stay . gym great view city . eat restaurant bar good . concierge helpful attraction . expensive , shocking hotel downtown NYC . 
 Aug 23 2006 	 wonderful experience 	 husband return 4 day visit New York . commute 30 year love visit . think guarantee king/2 double give queen . push & quot ; service & quot ; button phone accomodate upgrade superior room - Asst . Mgr . extremely nice ( can not say check - in clerk ) . Marriott Silver Elite member may bear upgrade . room wonderful , clean , great view Chrysler Building . incident room window come track - maintenance secuirty guard nice respond immediately . move give another upgrade room . staff , check - in clerk friendly helpful . love new Marriott duvet - cozy . concierge staff also helpful . hear door slam noise street ( 22nd floor ) . wonderful experience . 
 Aug 17 2006 	 Nice Hotel nice location . 	 stay 3 night August ( 2 adult , 2 teenage child ) find nice hotel . main plus point location . staff helpful friendly . expensive side $ 376.00 per night , probably location anything else . order large premier room two queen bed good size . room rear building , view , clean comfortable . would not hesitate stay . lift , never wait 20 second . 
 Aug 13 2006 	 nice hotel horrible view good location expensive 	 first time take family trip New York , great trouble trying find hotel room sleep 5 people ( 2 adult , 3 child ) finally pick Marriott East Side . hotel room $ 500 night expect something bit well normal . check - in easy , open door room disappoint . room looked date ( decor & amp ; furniture ) view bad hve ever see . first impression zero 5 ! ! end think room comfortable enough ( even though mattress sofa - bed could thick bed frame tend dig thigh roll ) , view room not really matter time spend room sleep . the hotel great location ( opposite Waldorf Astoria ) hop - on / off stop Circle line bus company 50 yard away . hotel bar nice staff friendly . think hotel comfortable , good location , horrid view room expensive . much doubt would stay , depend hotels New York take 5 people 
 Aug 2 2006 	 Nice overprice ... 	 ' ve stay many Marriott always good experience can not say one . start , expensive . book room 4 people specifically request 2 double bed . check , staff tell not room type request would live king roller bed . tired argue take . 3 people king 1 roller . king bed nice comfortable . however , roller comfortable friend could not sleep night . hotel nice room nice clean expect . however , 6 , awaken construction outside window . whatever , take drink fridge get charge even not drink . simply take stuff look , check , argue front desk charge . overall , would say nice hotel couple , single . 
 Jul 22 2006 	 impressed ! 	 wife stay July heatwave ..... find room large , cool , excellent bedding , wonderful bathroom ( marble floor rainshower head ) , quiet . 37th floor work room amazing view modern equipment . let reservation staff know 40th birthday book we upgrade room send fruit ...... really nice touch . feel like real NYC hotel . yes elevator vintage 1926 really enjoy stay . marriot starting really impress overall . stay 3 different hotel 4 day stay think impressive . 
 Jul 12 2006 	 Good Overall 	 family recently stay Marriott East Side NYC 6 day good experience . hotel check - in staff nice upgrade room express concern room small roll - away ( base review post TripAdvisor ! ) upgrade corner room enough room we . hotel locate close subway ( 3 min . walk Lexington ) centrally locate Manhattan . starbuck 1 block away hotel close numerous deli , pharmacy , etc . concierge helpful restaurant recommendation direction / advice . gym also nice - locate 35th floor . view quite interesting aerobic machine tv . also machine weight small ( 1 person ) free weight / stretching area . advise however , hotel noisy - windows thin - even 19th floor could hear car honk every night , night long , earplug ! addition , air - conditioner room noisy turn on / off night long . also , maid service bit lacking - stain carpet ; dust everywhere , mildew stain bathroom grout , etc ( think must management issue Marriott , similar experience Boston Marriott Long Warf prior stay East Side NYC location . ) although maid service 2x day , neither clean refresh in - room coffee maker , change sheet put away iron / ironing board unless specifically request . overall , think hotel good value ( $ 250 / night ) would recommend anyone light sleeper neat - freak location . 
 Jun 30 2006 	 bad ! 	 4 star hotel ? room closet ; rug upholstery stain tired , bed awful end sleep mattress floor . the public area crowd unappetizing people world : horde loud pushy family dress short too - tight clothing . waits too - few elevator ( half service ) average fifteen minute . the redeem feature helpful maintenance maid service staff . perhaps feel bad guest . what dump ! 
 Jun 26 2006 	 Marriott East Side Better think 	 read bad review , already book Marriott Eastside , expect bad . bad ! hotel centrally locate Eastside / Murray Hill . 's easy walk place . room bit small , NY historic building . sure get high floor avoid road noise avoid slow elevator . upper floor seem get elevator descend gym 35th floor . price right , location good , staff courteous . 
 Jun 6 2006 	 run worth price 	 Booked East Side Marriott business trip New York . hotel ( Marriotts ) ' ve stay world , bad . run hotel , mildew moldy shower , break lock door , lemon lysol flavor body product ( actually rinse lotion b / c smell terribly ) . almost $ 400 / night , find much well ... even Big Apple . 
 may 25 2006 	 dirty smoky room 	 book hotel convention . rate good , room dirty : carpet stain , smoke smell cover heavy perfume . originally large corner king room , ask move another room smell bad could not sleep . receive small room right next elevator . smell little well small room , carpet extremely dirty . there also party next one night , people hour lot smoke . do stay use full service Marriott , disappointed . well service clean room stay Courtyard 5th Ave . pro : - Location - cheap convention room ratecon : - Sub standard service - dirty - extremely slow cramp elevator 
 May 22 2006 	 Good Good 	 father book room Marriott East Side attend 2 day family event . arrive Friday 6 pm find room two double bed available , would put room king bed roll - away bed could provide . reservation clearly state request double - double feel necessary obvious reason . understand request process work , policy allow person guarantee room two double bed allow look elsewhere . realize Marriott 's cancellation policy extremely generous ( allow cancellation 6 pm day arrival ) , would perfectly willing hook night 's room rate guarantee bed preference honor . want take chance request might granted exchange generous cancellation policy 's fine . request can not guarantee opportunity look elsewhere option , find 6 pm Friday night sleep bed father ! 's expensive get product pay . credit front desk clerk handle situation reasonably friendly manner upgrade we junior suite placate we . other review mention elevator . elevator situation truly horror show . take way much time get elevator , particularly crunch hour . plus , engender confidence elevator act bit quirky operation . several elevator make odd sound would lurch bit transit . end take sta irsof time . the bathroom vent , tv place way could see fully either bed , couch . good luck find get fitness room 35th floor ( hint ... take least 2 different elevator ) . sheet nice , high thread count variety comfortable . room mostly clean , although beard trimming around sink check . breakfast include room rate reasonable . breakfast buffet nice variety . several time go seek advice concierge station desk . seat arrangement lobby bar not think well . also notice next night people ride elevator eat fresh chocolate chip cookie . ask get say give check . cookie we check process . Guess 's way cookie crumble . this hotel gear toward convention . would steer away particular Marriott NYC pleasure many well choice great intimacy . feel like hotel factory . 
 may 20 2006 	 nice hotel nice location bonker city ! 	 1st time New York . nice hotel , choose due review webpage . got corner room , nice , well view high go . comfortable bed . fridge coffee machine available freeof charge upon request . as good location anywhere New York . subway two block away . short walk Rockefeller , 5th avenue , time square , central station . lot restaurant minute walk away . Deli next door rip , one road corner excellent breakfast , drink cup tea ! 's also excellent oriental style deli short walk away 3rd ave . one tip , ask concierge car take we back JFK ( 4 us big suitcase ) , say would cost $ 109 plus toll tip . Spoke Bell captain , get we Lincoln town car $ 55 . suppose ' ve get hobble . if go New York would probably stay somewhere else , due sheer number option available , would definitely recommend hotel anyone ask . 
 May 6 2006 	 BIG ROOMS GREAT LOCATION 	 get room 1 night priceline.com rate $ 130 . surprised walk past hotel many time 's & quot ; hotel business district & quot ; W , Intercontinental , Doubletree , Radisson , Roger Smith many other within 2 square block radius . 6 train 2 block away 51st street . allow check 1 pm give room 2 double bed . room big bathroom big well . later night check bank account see hotel authorize $ 400 charge . confront front desk confirm $ 52 authorize , $ 400 could nothing . would wait 48 hour charge drop . disappointment whole stay would stay . 
 Apr 6 2006 	 great bed ! 	 stay hotel attend conference January . good thing place bed , one comfortable hotel bed ' ve ever sleep . far well so - call & quot ; Heavenly Bed & quot ; Westin brag . sheet soft , comforter fluffy warm pillow big plump . upon arrival ask corner room , get one . worth ask . room far big room travel companion . view one window picture postcard view Chrysler Building . great ! ! ! complaint would elevator . sometimes wait 5 minute one arrive . 
 Mar 21 2006 	 Nice Place 	 stay mid october sunday overnight stay . everyone hotel nice helpful . room nice . get room $ 140 priceline okay price . find room $ 300 night normally almost choke . would felt rip pay much jus ordinary hotel . guess nyc price though . bed comfortable staff nice . stay worry , high expectation either . 
 Mar 14 2006 	 Loved Marriott East Side 	 wow ! ! ! experience ! ! wonderful time past weekend Marriott East Side . group 7 , mom 's daughter 's New York girl 's weekend . 2 room , one King bed , small room , cozy , ( great view Lexington Avenue ) perfect 2 people room suite , 2 double bed queen pull couch , sleep 5 girl room enough room ! coffee pot , extra pillow towel fridge deliver soon call . everyone hotel friendly helpful moment arrive leave ! ! pefect location , walk distance everything ! ! ! wait go back ! ! 
 Mar 3 2006 	 good hotel 	 stay conference overall , impressed hotel . room small clean . old hotel ( remodel ) old hotel room smell - bit musty . hotel nice fitness center . business center 2 computer adequate . location across Waldorf next W. one thing must say room extremely hot . one cold day NYC history open window turn a / c ! overall nice hotel . 
