love 	 stay 5 night read rave review really live noise . great , modern , value money hotel . staff second none super - friendly , proactive attitude . there load great restaurant , bar , cafe club nearby even bar restaurant downstairs worth check meal drink head elsewhere . we always look forward yoghurt , muesli , banana OJ morning . 
 excellent stay 	 stay one night impressed . lovely reception area great room . small problem try check ( hotel fault ) reception staff could helpful . though free banana / yoghurt / orange juice great idea . would recommend hotel highly definately stay . 
 excellent location great value . 	 hsband London January 2008 stay Hoxton Hotel 5 night . manage get £ 29 deal . location perfect , close tube , take - away shop front hotel , walk distance supermarket . staff friendly & amp ; accommodate , aircon blow loudly , upon request kindly move we another room . room cosy , nice bathroom shower , large LCD tv fast free Wi - Fi . I ' hesitate stay . 
 rate HOXTON high ENOUGH 	 stay Hoxton Hotel time , £ 1 & amp ; £ 30 - special sale price . its easy reach get town , clean modern . staff great can not enough help . love alternative attitude brand . 
 Mar 25 2008 	 Weekend Break Hoxton 	 stay Hoxton 2 night . around corner hotel catch 55 bus take Oxford Circus . bus also stop near show Spam Lot blood brother . walk Regent St Oxford St problem . not ticket machine bus stop pay £ 2.00 per person . Oxford Circus area purchase day ticket £ 3.50 , end 4.30am - good value money , espically use ticket get around bus London - eg Harrods , trafalga square , picadilly circus , leicester square , etc , can not bother walkour room 538 face wee supermarket , front hotel - wee bit noise last around 5 minsgood point .... Free SafeFridge - water milkCoffee / tea make facilitiesbreakfast bag - orange juice , banana , yoghurtFree internet accessbad point ..... hotel non smoking - take 60 cigeratte come back 40 cigeratte - accord daughter good . would go hotel ........... definately , even though smoker , know stay long , perhaps would end non smoker LOL . try talk hubby go around Nov another show . the show daughter go blood brother - fantastic show . 
 Mar 25 2008 	 good hotel central London 	 's really difficult find hip hotel room central London cost 59 pound ! Hoxton Hotel one ! 's really convenient - 3 min . walk distance tube station - Old Street . lobby well - design , like traditional style hotel . staff helpful polite . arrive 2 hour check - in time staff allow we early check - in . though room little bit small , be really cosy modern - LCD TV , couch good thing free - of - charge wi - Fi service room ( usually charge hotel ) .moreover , bathroom super clean . be exactly like photo show website . another bonus point breakfast . 59 - pound room include Pret - A - Manger breakfast ( yokurt , banana orange juice ) ? be really fantastic ! ' ve recommend hotel friend since stay there . I will absolutely stay Hoxton Hotel visit London again . OliviaMacau , China 
 Mar 24 2008 	 good th price 	 stay hoxton last visit London , bit way compare normally stay . hotel modern nice enviroment , staff friendly . room really nice modern love staying hotel . ony downside noise bar downstairs get really busy music do not stop till early hour . lovely hotel nice staff nice place eat noisy long day shopping ! 
 Mar 20 2008 	 another fantastic stay Hoxton 	 second stay Hoxton , another wonderful stay . impressed last time , time well way . really warm welcome reception checking , receptionist congratulate we get good rate ( ' m one lucky one manage get £ 1 deal last sale ) seem genuinely please we , gently suggest therefore spend lot extra money food drink intead . take friendly manner intend . room wonderful . be true be big room around , cleverly design feel quite spacious . bathroom wonderful , walk - in shower , everything spotlessly clean . bed extremely comfortable , great night 's sleep . Noise not seem problem , guess depend room hotel . nice thick curtain bedroom , nice able block nearly light . the minor problem breakfast deliver around 7.40am , despite we request 7 am . partner go work , arrive late . not know one - off , ongoing problem , need hotel early , would recommend request early time . 's yoghurt , banana orange juice , sit hallway hour will not harm . Old Street Station short walk away , be close local bus take west end . rush , decide catch bus town - word warning though : not rush hour . rush , end get bit stressed journey took far long expect . staff reception check also seem professional yet friendly , genuinely interested stay . almost faultless would highly recommend hotel . 
 Mar 16 2008 	 Hoxton perfect 	 recent trip London , stay Hoxton . say least ..... pleasantly surprised . room large London Hotel ( shower awesome ) . provide free internet , light breakfast , bottled water incredibly cheap local phone call . entire staff friendly helpful restaurant excellent . minor problem hallway dark well light . 
 Mar 12 2008 	 Comfortable noisy 	 stay March 08 , pay average £ 80 night . the comment beneath capture worth emphasise room quite small - Premier Travel Inns offer space though admittedly less panache . also - noise . inside hotel fine , though crash empty bottle recycle container back hotel nightly occurrence ( suspect hotels bar ) rubbish collection lorry come every weekday morning 7am . it locate area charitably describe ' edgy ' - Hoxton may well ' up come ' rather low starting position . could recommend neighbourhood lone female traveller . as aside , use National Express dot2dot hotel shuttle service pick we hotel deliver we direct terminal Heathrow - much quick train lot comfort lugging bag stair much money . 
 Mar 11 2008 	 Modern stay one favorite city . 	 stay well part week February / March . lovely stay , hotel nice , fabulous responsive staff , comfortable bed , nice size room . front desk greet politely let we check early ( get around 10 am think ) . room ready , clean . Lobby picture , hallway remind loft New York City – modern vibe perfect we ! ! great size bathroom : huge shower rain type shower head ( tub , need one ) , ton counter space , extra large fluffy towel . breakfast outside door every morning ( pick time 6 , 7 , 8 , 9 am deliver ) yogurt & amp ; granola , banana , incredible orange juice . milk 2 bottle water provide daily free charge small refrigerator . Hairdryer provide hotel good , large standard size one , powerful one blow ton hot air - plenty get - up go long thick hair . large flat screen tv , desk TV / web browser , WIFI , drawer desk , small wardrobe hang space & amp ; cubby , room fridge , electric kettle , tea coffee , Aveda hair skin care product . little limited place put clothe , squeeze two , guy use ? computer available use free lobby never problem find one available need , also large library book , video , cd ' lobby anyone use . our room leave side building ( face hotel street ) look towards Shoreditch , nice view . however , think someone mention window , really street noise , could hear wind howl ( windy we 2 day ) could hear bottle go recycle bin several time night . tube station ( Old Street ) quick 3 – 4 minute walk around corner , Liverpool Street Moorgate 10 minute walk either direction . Bakery , coffee , sandwich shoppe plentiful need worry need quick break snack . reception always quick recommend great place go see eat , list Hoxton ' provider ' local guide provide room . 
 Mar 8 2008 	 Excellent Value Money 	 stay Hoxtons two night end February . hotel city centre hotel ' ve stay London easily accessible via tube . think slightly long journey reach hotel compensate quality value hotel . room excellent many nice touch food service receive excellent . would certainly recommend hotel would stay next time visit London . 
 Mar 4 2008 	 modern young hotel 	 fiance book hotel recent visit london.modern hotel , please outside however star trek theme hotel corridor . room clean like idea fresh milk fridge tea . bottled water also provide . bathroom lovely , bath lovely aveda toiletry ! mention receptionist check helpful mention would like quiet room act shocked discusted suggestion despite amount noise come atrium bar area ! breakfast nice provide brown bag ( banana , yogurt orange juice ) . also get breakfast option bar downstairs . also tube near hotel closed weekend maintenance make trip nearest underground alot long . also seem build work go vicinity minute . 
 Mar 4 2008 	 good hotel 	 Saturday 1st - Monday 3rd MarchRoom 3353rd FloorOld St tube station close ( 5 min walk ) close due work go Liverpool St 15min walk 5 min taxi ride ( approx £ 6 ) . Old St close heavy bag would catch taxi Liverpool St Hoxton hotel . taxi rank outside Liverpool St tube station taxi pass hotel time need book one advance . reception staff helpful knowledgeable area . ask pocket sized map immediate area useful I . the bed comfortable hotel bed ' ve sleep . shower powerful large enough 2 people ! nice size flat screen tv . room bed clean . almost feel like home ! ! ! bar restaurant never time use . newsagent be across road open 7 am -11pm everyday sell alcohol usual thing shop would sell . pay good credit / debit card . use free wireless ( laptop ) code password require connection speed good . I would give hotel 5 star small thing . ask iron / ironing board bring room ironing room 6h floor use slight inconvenience . complain . Harsh know . I would say Hoxton different hotel ' ve stay room like none ' ve see . look forward visit Hoxton near future . 
 Mar 1 2008 	 ' ve stay Dorchester and Claridges ..... 	 ' ve travel Londn 25 year , stay 1 star 5 star hotel . hotel surpass . 's amazing blend ultra cool syberatric luxury . Quiet need , stimulate want , hotel fit bill anyone want bed bath waste life . dozen free CDS demand , hundred movie demand , internet acess free room lobby , hotel one neeed . the room quiet , lobby bar restaurant vibrant . student human nature , hotel . gay , straight , hot model dorky cool , hotel be look happen London stay . in case think shill hotel , check previous review . will see queen bee highly critical . find fault . be simply great hotel . stay enjoy . 
 Feb 29 2008 	 Ye Olde London ? 	 trip London ' ve last 10 year , far great ! Hoxton fabulous hotel ! arrive late afternoon tell staff name quickly give key room , explain thing work within 10 minute walk hotel room unpack ! room nice size , palatial suite , enough partner . free breakfast bag really nice touch ironing room , free internet nicely sized cake soap ! spend 4 night Hoxton great time ! close action London also right party district London ! Grille downstair nice food friendly staff , Friday Saturday night turn bar ... staff night bit , will not let bring we ! 
 Feb 21 2008 	 excellent value 	 Americans travel London well advise check place . ? room actually affordable , even decline dollar . hotel clean staff responsive . nice touch like flat screen tv 's modern bathroom . restaurant downstairs actually quite good , . hotel modern , upbeat feel . book room directly hotel get great rate . 
 Feb 14 2008 	 Nice hotel great location 	 hotel nice . great restaurant & quot ; breakfast & quot ; serve daily , fruit , juice yogurt . staff nice helpful . direction hotel easy follow website . location ' great , little sketchy walk night . restaurant around hotel also good . would totally recommend friend ! 
 Feb 13 2008 	 Funky Fun couple niggle .... 	 stay Hoxton one Christmas Presents read various review look forward stay . the hotel 5 minute walk Old Street Tube Station ( closed weekend ) 10 minute Liverpool Street . the foyer welcome funky stylish touch . bar / grille always busy though eat elsewhere . a cheery helpful member staff check we within 5 minute room . unfortunately bed etc unmade brief visit back reception secure room fourth floor ; tell quiter , later . the room clean lot nice touch ; plenty glasswear , corkscrew , bottle water even fresh milk beverage choice . though hairdryer iron board - 6th floor . busy time get early ! also safe take small laptop . the shower fantastic perfect wake - up , little brown bag breakfast ; , J , Yogurt banana though might get tad boring day ! Hoxrton come area plenty decent bar eatery close never feel unsafe come back late night . the major bug - bear noise . woken 0200 group scream / shouting / swearing / singing banshee hotel courtyard . though leave window open glazing seem inadequate . & quot ; friend & quot ; obviously decide include everyone else partying ! also emergency siren ( count 12 ) add terrible night sleep . please Hoxton invest triple glazing ! would stay mostly yes will take earplug ! 
 Feb 11 2008 	 great modern hotel 	 stay hotel boyfriend feb 8th-11th feb 21stlocation : oldstreet station couple min walk hotel hotel location great surround area near oldstreet station slightly shabby dirty . busy area night lot young people attract club / pub near hotel . go restaurant call Yard really enjoyable good winehotel : pleased arrive hoxton , firstly notice quite busy range age young old , staff friendly check easy , day night hoxton bustle atmosphere even enjoy night bar area , sometimes even find hard get seatsroom : room lovely be not disappointed , room decent size , modern clean , bed comfortable , bathroom great size shower amazing , flat screen tv , free mini fridge free water milk safe . bring laptop free internet access , handy . fault room , thing be not pleased situate , 5th floor round side bin keep wake every morn abt 8ish clank bottle getting put in2 bin bin change , not happy heavy sleeper may problemoverall hoxton great hotel would def return fab , London lovely place lot see would def recommend stay hotel ! ! ! 
 Feb 9 2008 	 good value London ! 	 bit far Central London amazing hotel ! go Hoxton every two week job ' m always happy ! vraiment un hotel fantastique et un prix génial ! 
 Feb 6 2008 	 Great Value 	 stay Hoxton two night . we get excellent direction hotel web site . get underground Old Street station Heathrow airport , hotel minute walk station . able check early great early morning flight . quick snack restaurant still serve breakfast . charge £ 20 two small snack even charge two glass water . I teach bit expensive got . the room modern , clean well lay out . the breakfast bag excellent idea great start day . you also buy beer , wine , chocolate , etc .... reception consumption room reasonable price . the location around hotel clean area seem modernise past year . but Old Street Station area around dirty could big clean up . overall would go back Hoxton great value money . the thing tourist center city , pay hotel make ( £ 160 ) .I would also recommend Caffe Uno Charing Cross Road , behind Leicester Square , excellent food . 
 Feb 5 2008 	 Excellent London Hotel 	 stay Hoxton London January 2008 , travel business . excellent modern hotel , superb service , great amenetie , wonderful design . room clean , big nicely decorate , even sense humour ( , really ! ) . hotel free internet access , breakfast include deliver door morning . hotel restaurant , apparently trendy moment . Hoxton minute away Old Street tube station , convenient City area ( Bank , Liverpool Street Station ) . would definitely recommend business traveller . minor issue noise : room face street , noisy thoughout whole night . room quieter . 
 Feb 4 2008 	 top mark hoxton 	 back Hoxton friend 3 night stay . the staff , ambience comfort food excellent . having read previous report go eat hotel decide last evening . sorrywe eat early food service excellent . the Hoxton top list next visit . 
 Jan 30 2008 	 great price Hip Room .. come dust cloud break glass 	 price - quality ratio excellent , amount ( pay average 79GBP per night 3 night ) , get design hotel , smack center London near hip East end , restaurant , club , bar ... name it . on close inspection , Hoxton Hotel little rough around edge , like 's neighborhood , verge become next west end . service impeccable throughout stay . check breeze , receptionist recite well rehearse check routine , barely see personnel , everything well keep . problem overcharge credit card . housekeeping hand , leave much desire . enter stale / DUSTY ( could see dust cloud ) room , help leave window ajar air . sheet / Bathroom clean . good describe kind room look good dim lighting , not see dust collect surface grime there . the breakfast wonderful start morning room come mod con + view Gherkin City London ( 5th floor ) , long be partially deaf , restaurant empty glass night ( 9 - 12 pm ) alley beneath scare much . by mean , book Hoxton , already well hotel London price range . ignore pretentiously hip lobby / bar weekend head nearby hoxton square instead . 
 Jan 27 2008 	 great interior - 8 hour power outage ! 	 love room - great bed , fantastic sheet , great pillow , gorgeous bathroom , fluffy towel , mini bar free milk cuppas room , quiet ( face back courtyard ) lovely free breakie ( juice , yogourt , banana ) . view location super . , bad , power outage weird reason last 8 hour ! business area seem affect . go around 7 . get call tell we leave room around 11 , & quot ; safety & quot ; reason , power would 20 minute . get back 5 power still ! lobby full cranky people , wait , candlelight . seem management - one leadership position deal issue . not enough flashlight . front desk assure we book hospitality suite nearby Holiday Inn , could go shower rest . walk 10 minute holiday Inn manager / staff idea talk want sell we room night . even call Hoxton talk someone else front desk , also idea hospitality suite . complete cock - up . luckily , power finally return around 5:30 . offer discount night 's stay , give people free drink / meal restaurant . fact , check , charge mysterious extra 20 pds , even though book online pre - pay . hurry airport miss later . great place stay pack small flashlight get stairs power go , sure examine bill check ! 
 Jan 25 2008 	 well do 	 stayed Hoxton Hotel year - end holiday . choose hotel affordable price room book advance ( £ 39 ) , well positive review website . while hotel tourist centre London , find tube well bus easy use , location big hassle . the hotel exceed expectation . check - in fast friendly . room modern , clean nice extra like free bottle water , Frette linen ( luxurious ) , flat - screen tv free internet . also find free light breakfast convenient . 
 Jan 23 2008 	 Brilliant always 	 can not say enough good thing hotel . second time ' ve stay Hoxton great first trip . friendly staff , cool decor , bed ( bedding ! ) incredibly comfortable ! clean room . love little touch - bottle water fridge , fresh milk filter - bag coffee breakfast bag . keep eye site deal . stay two night £ 80 great value money . 
 Jan 23 2008 	 good hotel ' ve stay - anywhere ! 	 Hoxton , opinion , good hotel ' ever stay ! combination get fantastic price Superbreak , couple quirky , innovative non - pretentious fab hotel make birthday trip one remember ! hotel situate minute walk Old Street Station ' look interesting outside . however , enter lobby , transport mad mix scottish baronial , ultra modern quite bit kitsch ! giant papi mache eagle vary states flight soar head ( sound tacky ' ! ) ' surround variety comfy sofas designer chair either end lobby roar fire end top . reception staff efficient friendly check quickly . step lift turning corner , enter corridor room – light funky floor ceiling orange light ( think sophisticated in / out indicator ! ) . room ' massive , certainly tiny either . really lovely bed trendy paper , scissor , stone cushion chaise longue build desk / mirror / tv unit . bathroom clean really modern big shower retro touch form Pears soap ! another nice touch middle mirror heated bathroom steams shower , still see ! good bit ( price / design / staff ! ) add value element . Breakfast include Superbreak come form brown paper bag hang outside door banana , fruit granola yogurt Pret orange juice . something different refreshing . fridge room – free half pint milk free bottle water – ' complain ! also get little fold credit card sized map tell cool thing Shoreditch / Hoxton area great finding place eat go . extra good value – 50p coke reception – bar chocolate - think beer £ 1 ... ! rip off ! free broadband access lobby , pay per view movie also cheap remember rightly little touch make whole experience fantastic ! ' book go back week ! term eat – Wapping Food great special occasion Zigfrid von Underbelly Hoxton Square fab reasonably price casual meal . in short , ' stay anywhere else ! ( unless room Hoxton ! ) 
 Jan 21 2008 	 Excellent area great value be lucky ! 	 try get one real cheapie £ 1 end pay £ 69 still great price trendy hotel London . actually live round corner want try would hear good thing . the room comfortable , excellent power shower , big bed , fluffy pillow duvet , flat screen tv , lot dark wood . other seem like Pret breakfast bag think bit cheap . fair enough ' ve spend £ 1 would not expect full brekkie restaurant , otherwise would . I would definitely recommend hotel , particularly young club type appreciate design location . 
 Jan 20 2008 	 nice room pricey though restaurant could well . 	 stay 2 night know area well , room really good , feather duvet pillow , large clean bathroom amazing shower . free milk water daily . restaurant quite poor , service slow , stay great Winter Sale meal 1/2 price , never happen even though make clear booking restaurant , constantly check bill . BIG RIP off.think rate quite high time £ 120.00 + booking charge full price time , change book date without pay again . as much choice area monopoly . 
 Jan 19 2008 	 surely good value hotel Central London 	 clean , modern , spacious well locate night Shoreditch . book well advance able get good deal room mean absolute bargain compare price Central London hotel . you could tell hotel 's brand new could new lick paint book early get good price can not go wrong nonsense hotel.nice touch like breakfast pret , power shower , milk fridge , free wifi ... downside probably fairly noisy room pretty hot despite January ! ( though air con ) 
 Jan 15 2008 	 love Hoxton ! 	 stay pass London meet friend Dec 27 . also recommend also stay Hoxton hear good thing . hotel really wonderful friend love too . the room somewhat small , design well not feel . rate night 59 pound . free water bottle coffee fresh milk really nice . bag breakfast also good , enough start day . staff incredibly friendly helpful . organize meet bunch friend dinner . people turn hotel staff reserve couch finish dinner . food ok , think 's place London . drink also ok , happy cool space friendly vibe ! come back hotel stay New Year 's Eve hotel staff remember we . room great last one shower leak bit still can not fault place . rate NYE 99 pound , happy pay hotel real gem London . return time travel back London ! 
 Jan 15 2008 	 Loved Hoxton ! 	 agree review , Hoxton great little place stay . pay £ 99 , compare get elsewhere London bargain . funky , clean , gorgeous soft sheet , comfy bed , amazing bathroom free water ! check fine , staff friendly full information hotel . cocktail bar great atmosphere full saturday night reveller . not eat Grille breakfast bag sufficient , look nice . problem room hot not sleep well comfy bed . morning find air conditioning control - doh ! definitely stay , refreshing booking page endlessly £ 1 £ 29 room offer next ! 
 Jan 15 2008 	 love Hoxton 	 Hoxton Hotel real find London : be get expect design hotel , nice lobby , fashionable friendly restaurant , perfect trendy location , nicely design room , also cheap ! pay average 75 euro per night double , less hostel . I definitely warmly recommend hotel , nice lovely Shoreditch area , near Old Street Tube Northern Line . ask . possible , room back 5th 6th floor , quiet nice open view . 
 Jan 14 2008 	 trendy 	 hotel trendy , use british term , even cheeky . service pretty good room clean well - appoint . restaurant little noisy inside - face room . also , much folk rave breakfast , get little old first two day . restaurant still get sea leg issue service . , all - in - all , favorable experience would stay . although , sadly , come close low - low rate folk site receive . also take note comment neighborhood , not really find cause support claim . 
 Jan 13 2008 	 rare bargain London 	 one bargain London not compromise comfort , cleanliness , modern convenience price . stay two week July 2007 business trip enthusiastically return two - day meeting January 2008 pay ? 79 night . light breakfast eater , include breakfast great . room sparkle clean quiet , although small . also get free high speed internet ( wire wireless ) , cheap international phone call ( 10p minute ) , nice restaurant lobby special deal available ( 7 p.m. 7 entree ? 7 , February 's 50 % sale food item ) . tourist , could stay west end near attraction victorian georgian era townhouse 's convert hotel ratty carpet , ancient bathroom , soft saggy mattress , elevator accommodate one person -- spend money . Hoxton beat path East End , be 10 minute walk tube Liverpool Street Station . 
 Jan 10 2008 	 great stay ! 	 stay Hoxton 2 night Dec 07 . comfortable experience . particularly cold outside , warm & amp ; comfortable feeling enter hotel . room not big double bed . everything need . appreciate idea stuff inside room use without additional charge . fresh milk , 2 bottle water , many coffee tea bag free lite breakfast everyday . be free newspaper ( Guardian ) lobby . free Wi - Fi service room . not bring laptop , use free & quot ; Internet TV & quot ; ? service ( although be difficult navigate tv , suit need check urgent e - mail , etc ) . phone call fee room cheap ( 3p per min UK landline , 5p per min call US ) . late checkout fee also expensive ( 5 pound / hour 12 noon ) . bed comfortable room silent . temperature room good . great sleep every night . shortfall area hotel locate . locate 3 minute walk Old Street tube station , quite convenient . however , area around pleasant traveler think . neighborhood quite silent people especially night . be many office building around , seem unoccupied . be shop around , 1 - 2 mini shop , fish chip shop , etc . however , companion / group friend , think fine stay area . city high living cost , think service / facility provide Hoxton comprehensive really think traveler ' perspective . will stay visit London future . 
 Jan 9 2008 	 lovely anniversary stay 	 go Hoxton anniversary month . really good , ' ve stay lot nice hotel job , one quite close good . eat restaurant far well expect , restaurant breakfast good well ( take complimentary one snack lunch - can not cope yoghurt morning ) . small issue staff leave breakfast thump door alert us - half hour later . not ask wake - up call planning lie , unwelcome . tiny thing though otherwise excellent experience . 
 Jan 7 2008 	 good hotel 	 stay couple night November . good : -The hotel , clean , funky say , bed definitely comfy ever sleep . want one mattresse bed . breakfast bag great idea enough . food Grill excellent expensive . the so - so : - room small ( perfectly form ) wall paper thin . book table dinner difficult . weekend , place jump book table 9.30 pm go back room bottle wine ( albeit reasonably price London hotel ) could not even get space bar wait table . good : - say , area around hotel not well pretty far everywhere ' ve really get get tube taxi go anywhere . Old St Tube Station desperately need clean also need something amount beggar . would find quite threatening would own . finally : - try check , receptionist busy tour guide group Germans . great helpful friendly can not believe ' m moan , hurry get Gatwick 20 minute give could not afford wait long . member staff lurk around background unwilling help desk generally chat amongst . last ( lasting ) memory hotel . say , 's good hotel good facility load go . try thing differently work . need get staff customer service course place great . 
 Jan 7 2008 	 much little 	 great hotel pay average 59 GBP per night , bargain . room adequate size , great bathroom facility . free internet downstair bonus . restaurant little pricey breakfast cafe nearby make cheap easy breakfast , free breakfast hung door morning enough get go morn . gripe pillow comfortable type hotel . aside , hesitation recommend other , would definitely stay return London . 
 Jan 5 2008 	 please people time ! 	 organise conference meeting overnight stay 26 professional - experience world traveller vary degree extreme fussiness dietary requirement . the dedicated Hoxton event manager terrific - deal constantly change schedule meal change all - day conference room booking . Hoxton reservation - prompt make individual room booking , experience delay get e - receipt large sum pay 16 overnight room ( staff turnover may something ) .However , person liable get neck 26 unhappy individual - thrilled Hoxton exceed expectation - everyone delight accommodation , ambience , food even location convenient accessible different journey part UK . think Hoxton definitely future itinierarie somewhere stay London . I would thoroughly recommend Hoxton . 
 Jan 4 2008 	 Brilliant hotel 	 stay Hoxton London marathon lucky enough secure one hotel offer . honestly say extremely impressed hotel . check quickand efficient staff extremely pleasant helpful . frequent restaurant hotel bar receive excellent service area . not use room service find thedelivere breakfast morning great idea especially day run could take eat pre - race wait . highly recommendable hotel shall definitely use . 
 Jan 2 2008 	 say blurb ! 	 Hoxton fantastic place stay London - clean , comfortable friendly . breakfast bag great - enouh get start morning , bed clean comfortable ( feather pillow - dreamy ! ) bathroom equip power shower . towel not change daily need remember hang room not huge big enough sleep ! service charge bar one watch charge credit card upon check - probably ensure not ' do runner ' ! ( release fund check not spend £ 40 ' capture ' ) . area near city transport link adequate - hurdle find hotel tube station ( take we get end 's bit side street ) . Hoxton situate probably ' good ' area London feel little wary walking back night . also , non resident use bar restaurant regularly . say , would definitely go back - would try get one special rate rather pay full price . 
 Jan 2 2008 	 Superb Value 	 stay Hoxton New Year totally impress whole place , even regardless amazing price . pay grand total £ 29 per night ( £ 99 New Years Eve ) sort hotel London would excellent - hotel good simply unbelievable . staff great , room although small tasteful shower top drawer ( especially pull round New Years Day hangover ! ) breakfast fine . not eat Grille can not comment bar area really nice popular evening . immediate area , Favela Chic , couple door hotel funky little place course Hoxton Old Street virtually doorstep . can not recommend place highly enough get early , deal really top notch . would definitdly stay London . 
 Dec 31 2007 	 good good people make 	 read review seem love Hotel . good hotel look past nice touch well Hotels London charge £ 115 night . the Bottles water milk fridge welcome decent quality coffee . bathroom pretty impressive spotless clean . local area Hox Guide useful funky art wall room cool . take become another Hotel . room service terrible . menu tiny quality dreadful . ' like yogurt breakfast bag tell could change anything else would pay extra fro breakfast restaurant – pay £ 115 night would expect choice breakfast include . the lobby area bar restaurant always pack local guest . ' get table eat ' book table ' know time would eat . the Hotel offer time time room start £ 1 pay full price hotel par many other – ' get suck nice touch see , HOTEL 
 Dec 30 2007 	 Loved hotel sour receptionist 	 stay Hoxton 14 Dec - 17 Dec , really enjoy stay . definitely stay get good deal . not manage get one £ 1 night , get one night £ 29 , total cost stay cheap , consider high standard hotel . the room really good size love comfy bed gorgeous bathroom . London hotel size ! ( ' ve stay really small one ... ) reason give 5 5 , guy reception handle check - out . tell bottle wine room , not . point , not correct mistake , give long , hard stare instead , clearly try get confess ! repeat , bit sternly , buy anything shop stay . get angry , accuse yell ( ? ? ? ) tell job , unfortunately problem guest order room - service conveniently & quot ; forgetting & quot ; afterwards . stroppy ruin good impression hotel . see another review complain receptionist bad attitude , must one ! staff lovely could not helpful . ' ve write hotel give name receptionist question , hopefully send customer service course : ) : hotel lovely , room great even though East London , central tourist hotspot far away : ) 
 Dec 22 2007 	 Hoxton Rocks 	 admit not want review hotel not want share , see late ... want ensure always room stay hotel / urban lodge . I really sure begin , hotel overwhelmingly cool . ground floor uber cool loungy area , fabulous restaurant , free internet ( cheap crap computer either , super fast connection , flat screen etc ) , gallery space mostly swank / posh feel . warn , hotel guest frequent restaurant / lounge scad local , advisable make booking ( room service well ) .I never hotel every detail thoughtfully artfully execute . room super fun , super clean , super cool . washroom room lovely black granite , spectacular enormous . far comfiest bed entire 5 week trip , not cheap mattress pillow - comfy lofty . duvet rock , heavy fill CLEAN - actually not want leave bed , fabulous ! room decorate mural London , bed super fun rock - paper - scissor pillow , sofa room velvety funky . breakfast course creatively think well , partner pret - a - manger serve simple breakfast fare . paper bag room , fill many party , choice leave door , morning hung bag food back door . course , restaurant also serve breakfast , people like way marathon Heathrow extremely efficient . I would say thoughtful thing do dream & quot ; Hox Guide & quot ; , little fold cool thing within walking distance . bit foodie , impress dining guide ... go one suggest location probably one good pizza 's EVER ! Hox Guide list restaurant , Bars & amp ; Pubs , Coffee stop ( thank ) , Clubs , Venues Galleries , Places Interest Shopping . seriously impressed guide include map location mark , brilliant ( nice rely Lonely Planet ) .lastly , detail place excel , flat screen tv ' locate beautiful wardrobe - hang wall afraid knock brush past . drawer contain fun coffee 's , tea , blow dryer etc . item lay carefully label . sign point direction fridge 250ml carton fresh milk tea coffee ( none rubbish find hotel ) .Everything rock hotel . hope branch open hotel . 
 Dec 19 2007 	 great hotel poor attitude . 	 Hoxton run special offer room book 3 night . at first get little lost find hotel , near tube station Old street little away Liverpool street , find hotel little worried area , family friendly experience walk dark . when go immediately impressed interior , look funky posh ! receptionist friendly congratulate we get special deal ( mean 1 night stay £ 1 ) .the corridor room different exciting , dcor fab . room comfy bed , flat screen tv , hair dryer , tea coffee make facility , safe mini - bar , bathroom walk - in rain shower really great.however ... guess £ 1 night first night hot could not get air conditioning go , window look onto enclose courtyard could not really get relief , really hot could not sleep - go ask assistance , tell yes know problem could not anything tonight , ask electric fan something assistant look like insult mother , also say room nothing could . night terrible think get 20 minute sleep altogether sleep ground beside air conditioner . the morning go straight reception complain , say would send someone , someone come instantly inform us room ' very hot ' ! look air conditioner agree kaputt could not fix tonight unhooked window , fair make significant difference , night 3 air conditioning fix sleep cool soundly . also visiste bar night 3 thrive funky atmosphere . its shame hotel lovely experience sour one member staff resistance ' exceed customer expectation ' . honestly leave ' what want ? ! ' impression lower opinion hotel significantly . 
 Dec 18 2007 	 Hoxton fin 	 stay one night hoxton , great bathroom clean , everything new shiny . bedroom fine , probably would not stay several night littlestorage space . continental breakfast bag ok . free internet access handy staff pleasant approachable . watch 12.5 % service charge bar , well buy half bottle reception terrific price . 
 Dec 14 2007 	 Love dthe Hoxton 	 stay Hoxton November 28th December 5th , accompanied boyfriend business trip London . company choose hotel ' location office . check breeze , arrive around 10 able check early without event . room comfortable , bit small . one small " closet " maybe four hanger , two empty drawer desk . nowhere near enough room two people put one week ' worth clothe , leave thing suitcase chair . , however big complaint . prêt breakfast cute idea , although get tired yoghurt end week , appreciate free breakfast . lobby offer four computer free internet access available 24/7 . grill quite good , offer small selection , seem enough choice please anyone . wish hotel little close " action " , convenient Old Street Station ( 5 minute walk ) . eat great Eastern Dining Room right street , fantastic Thai restaurant . , rate hotel high . modern cute , service extraordinary . would perfect weekend stay , ' planning staying week , may want look somewhere little room . 
 Dec 4 2007 	 great hotel word warn 	 partner daughter rent 2 room weekend 16/17 November endorse previous positive review would like share word warn . return hotel early saturday evening straight away drink reception area . unfortunately , return room partner realise leave coat downstair seat . go steal . know happen anywhere take care spoil weekend . waiter say see coat leave assume go outside smoke leave . many non resident use hotel bar need take special care possession . one thing , eat nearby Furnace pizza restaurant excellent . 
 Dec 3 2007 	 Loved Hoxton 	 stay Hoxton one night - Saturday - check quick easy staff reception desk helpful . the room lovely quiet - despite next building work , could not hear it . breakfast good - hang paper bag outside door mark many people want breakfast time get Pret Manger yoghurt , orange juice banana fresh coffee , tea milk available room . location great - 3 min walk Old Street tube station . would definitely stay . 
