disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Nov 9 2008 	 great location blip ! 	 arrive back spend one night hotel . we arrive 1 pm queue check . take age get front queue tell come back key ( queue ! ) 2 pm ! check - in process shamble receptionist good English . the room fine- quite spacious quiet - side hotel . the hotel brilliant location- yard Marble Arch Tube . the lift always busy- take forever ! lift number 5 break we trap 10 min -- horrible experience ! apology give we . we use stair 2nd floor experience . however stair behind concierge desk absolutely horrible -- like service stairwell . far could see theses stair -- God help everyone fire ! go bar charge £ 43 4 short mixer ! ( 2 brandy , 1 gin 1 vodka ) include 12.5 % service charge ! ! service ? - queue 3 deep bar drink . rip ! italian restaurant across hotel entrance ) lovely special lunch menu -- 2 course £ 7.95 glass wine £ 2 -- lovely ! 
 Nov 8 2008 	 good value good breakfast excellent location 	 stay Cumberland full mark Front Desk staff know . London hotel next Marble Arch tube station Oxford Street , arrive car choice 24 hour ncp car park minute away -be sure ask concierge discount voucher . the room comfortable - large , London , bathroom clean , bright modern . computer keyboard room provide internet access need . make sure take clock see time night though . Breakfast Market Cafe , self service , food everyone 's taste system work well . we could not get Rhode 's Brasserie due private function disappointing , eat bar instead - little hamburger lovely enough share . the Cumberland good value excellent location . 
 Nov 7 2008 	 do not spoil breakfast . 	 husband stay hotel night Monday , 6 November 2006 . check pleasant quick allocate room locate right next door lift first floor . unfortunately , continuous ping lift disturb addition noisy air - conditioning unit outside bedroom window . ask move , relocate room quieter wing hotel . please aware though hotel situate Marble Arch traffic noise 24/7.that evening stay hotel complex use bar Rhodes restaurant . standard food superb service impeccable . next morning arrive downstairs breakfast absolutely astounded take breakfast really resemble school canteen – market restaurant . place noisy exude strong smell fry food . enquire whether correct place alternative breakfast room . unfortunately , tell . show table queue breakfast ! return table coffee pour , table stable coffee spilt table onto suit . extremely embarrassing room pack . staff pass napkin damage do . the lovely relaxing ambience reception area , bar bedroom along superb food service Rhodes restaurant totally blight dreadful breakfast experience . 
 Oct 30 2008 	 Great Location . 	 read review little apprehensive hotel book work . however , need not worried . lobby impressive arrival coincide lot other wisely sprint reception desk avoid consequent queue . check seem slow process . room - large single room experince London , quiet well equipped- flat screen tv , iron etc .. modern bathroom . everything clean functional . wireless internet price . Breakfast Market- little impersonal large choice . criticism coffee good luke warm . check fine- notice one man complain room- principally next busy lift offer move himHowever , main benefit hotel fantastic location Marble Arch end Oxford Street 
 Oct 29 2008 	 average hotel great location 	 book Cumberland due great rate offer aswell location - hotel Oxford Street shopping weekend , could ask ! arrival be impressive . reception lobby huge , modern clinical . get idea be top modern hotel room follow suit . unfortunately not . room basic nothing special , small side - alot big many London hotel room . everything need clean . plenty wardrobe space . mini bar empty apart complementary water - strange . maid clean room next day make bed change towel , not even remove dirty glass lie around . final morning maid knock door 4 time , even though tell first time not check 12 - will not get long lie hotel ! not use bar restaurant , mainly price . load place eat drink round , short stroll away - pay extortionate price . would stay get great deal rate , location fantastic . otherwise would look elsewhere . 
 Oct 21 2008 	 Convenient Modern Hotel 	 end stay Cumberland chance , Virgin Vacations , original hotel problem . great replacement . Cumberland seem recently update , decor clean modern . problem room bathroom door strangely big opening doorframe . minor trouble . room spacious London standard , clean enjoyable relax in . the location also can not beat -- outside Marble Arch tube station , street great shopping . full english breakfast also include cost , great bonus . definitely recommend Cumberland ! 
 Oct 21 2008 	 great night away lovely hotel 	 daughter wonderful night London meet family Cumberland Hotel Marble Arch . fantastic time hotel superb position . clean , lovely room yes absolutely huge , add excitement live tiny remote village . staff helpful good laugh we take photo reception area . truly stunning hotel . room modern huge , hey - be London - want stay room ? bed comfortable problem someone next room noisily passionate half 12 night ! quickly though ! ! breakfast well organise consider amount people hotel . take separate suite well 88 year old Grandmother find bit noisy main area . sit wait ! 2 Aunts come bit later take La Carte restaurant breakfast busy . wait couple minute seat everything self service wait . food hot nice plenty choice . fantastic ' pod ' chair reception area sit listen different sound ! artistic . night twin room £ 139 think extremely good value would definately stay . 
 Oct 3 2008 	 bad service ever ! 	 stay hotel husband & amp ; 2 child age 10 & amp ; 11 26th sept last 3 night . make book telephone & amp ; receive e - mail confirm family room reserve . get hotel @ 4.30pm travel Ireland firstly tell room ready even though check time 2 pm & amp ; secondly twin room book . recepionist surprise even give child small teenager ! state family room book quote 6 digit reservation number give . enough & amp ; want see copy e - mail receive . try access e - mail hotel unsuccessful . proof e - mail end stay twin room night . room eventually ready 5.30pm . the room small - contain 2 large single bed 4 we squeeze . we poor night sleep & amp ; add misery first floor - night club noise level increase hour hour 4 morning . attempt change room next morning tell would cost extra £ 40 per night extra . decline . arrive home check e - mail discover FAMILY room fact book . send e - mail complain hotel reply would refund £ 65 credit card . fact £ 120 state we would cost extra £ 40 per night upgrade . gripe : movie charge - £ 5.99 /internet charge £ 3.99.i recommend hotel - price extortionate , service atrocious & amp ; certainly care customer . 
 Sep 30 2008 	 tiny tiny room inpersonal service poor breakfast 	 shame ! stay hotel year ago - day , Meridien flag . fair . ok , it´s Huuuuge hotel , good job . come back month , nothing horrible : use room , dirty bathroom , poor breakfast , service . wait 1h taxi - doorman/ taxi boy available ... go ! 
 Sep 28 2008 	 Excellent Hotel 	 back 2 night stay Cumberland hotel . find hotel excellent , clean spacious modern room . excellent location oxford street 2 minute marble arch tube station . would definitely recommend . 
 Sep 22 2008 	 bad hotel ever stay . 	 hotel book via company business use , wise would walk first night . we arrive hotel due error part place twin room . room shabby large brown mark carpet window lock could pull inside blind . request double follow day give another room floor end hotel . unpack find air con work wait many hour maintance man arrive tell could fix . pack belonging move yet another room 5 floor . contact reception desk ask call another room avalible tell busy would go reception orgainse self . room also shabby wardrobe door close fridge inside catch hold brown masking tape ! ! .The bathroom door handle come hand husband place reception desk . iron board iron state left disturbe sign door house keeping call phone whilst sleep ask want room clean way wake . occasion keep knock even shout ask wait bath . the food price redicula pay £ 9.00 two bowl fry arrive cold , order kebab £ 14.50 2 small skewer ever see rocket , breakfast £ 21.50 ! ! ! . collegue also stay single room hairdryer cut every 15 second electric light keep go , one morning actully get shower dark . ordedere breakfast last day arrive breakfast bill even order , ( check bill ) apologise send bottle cheap white wine . bill 4 night stay nearly £ 1300.00 . stay hotels world , customer service dreadful . 
 Sep 21 2008 	 like sleep Jet Engine . Noisy . 	 last year live London watch Cumberland hotel renovate . one stay Cumberland 1 night recently . initial impression excellent , lobby look world class raise expectation rest experience standard . not so . once get beyond check - in disapointment start . seem renovation work , reason cost , update area be . window . poorarriving room note window original , date 1920s . double triple glaze . old rickety single piece glass . result insulation . unlucky enough , get room face away street look forward night interrupt sleep . noise hotel aircon system reverbarate entire hotel - ' ve sleep quieter plane . secondly , window old fit frame poorly - expect draft cold air gush room . minibar . emptymini - bar fridge room . nice . open minibar - empty fridge . bizarre . bedding . tired . superficially seem excellent hotel . location good central London . everything else could much much well . try elsewhere reader . 
 Sep 20 2008 	 definitely worth stay 	 would definitely go back Cumberland stay London weekend . great location , wow factor reception area friendly efficient service . particular would highlight concierge service outstanding .Our bedroom delux double standard bedroom cost we £ 130 room . third floor impress quiet even extent disturb morning overslept . room small clean , good sized bathroom bed really comfy , not breakfast meal hotel - 15 min appetite raise walk away Soho range wonderful restaurant . good place stay pay low room rate London much fingertip explore 
 Sep 20 2008 	 Fab location - shoebox room 	 stay hotel weekend friday sunday . location : I ve got say dead impressed location literally Oxford Street great shopping could pop bag back room carry ! could see Marble Arch right outside window awesome . busy road would expect . check : ok offer upgrade room another £ 50 manage batter right , negotiation ! basically could view . impressed reception arrival , floor light different colour different time day ? dark though . good concierge service . life size sculpture . several restaurant ( think 5 ) include Gary Rhodes ( bit pricey we ) breakfast deal last minute plentiful lovely . room : modern flat screen tv bright colour lovely bathroom , although small bit claustrophobic nice clean nice bath product . hardly room stay thing plan . do not get around visit nightclub downstairs . would stay heartbeat - location really . 
 Sep 17 2008 	 great location ! 	 spend 4 night Cumberland January 2008 absolutely thrilled . large triple room 6th floor find nicely decorate modern . staff front desk part lobby wohole hotel absolutely helpful friendly - not know whether lucky whether must catch everyone great mood , really happy way treat stay . breakfast good , although quite surprised realise , huge difference range variety weekday weekend ( bread , toast etc . ) .The location , point many already , ist excellent right next Marble Arch Oxford Street . & quot ; Original Tour & quot ; ( 48 Hour ticket sightseeing bus ) absolutely great , nearly route start directly front hotel Marble Arch . definitively return ! 
 Sep 15 2008 	 extremely overpriced crummy 	 rapidly fall starThe guoman - own hotel seem rapid decline . recently , stay Cumberland second time two year « design hotel disease » really set . opening , Cumberland true marvel . a huge lobby change colour light interesting art welcome traveller deep pocket . feel dead , however . like huge , neon light coffin door man not bother open door since busy pander sheik . the hotel generalfast forward two year , hotel appear approximately half quality . attentive concierge help everything replace woman attentive Facebook account actual customer . restaurant sub - par price breakfast terrible even take british food account . save grace hotel lobby bar effective maître de maison , nice fellow slight french dialect help well . , however , change fact toilet locate somewhere around kilometer away , one level basement hotel . trek mythical toilet Cumberland , disappointed find unclean , outdated smelly leaky gent toilet . one urinal leak instead fix , buck place . good all . for nightlife entertainment , 's night club basement hotel . club rather tacky worth mention . this large hotel , will find get lose dimly light hallway . find room actually difficult , sam say find elevator . sign room helpful , sign back elevator almost non - existent . might ask , & quot ; uh , can not follow sign back elevator ? & quot ; alas . since sign point room locate near elevator . fire maze hotel go right catastrophe . when try use exercise facility last time , make mistake check kill time treadmill flight City . Cumberland change / shower facility gym skip run . roomthe room ok size , bed . time bit lucky get quite large room king size bed . however , crummy work builder really start show everywhere room . paint fall , silicone work bath terrible , shower construct way avoid ice cold stream face ture on . the carpet next door peel , service list phone coming . small detail take care cater posh segment . my room ( 1010 ) face wonderful marble Arch thus great view . sound busy street , much . outer window would close properly inner window take sound dampening . optimal . minibar contain water , mind . tea set minibar quite nice . price paying room , could better collection tea however . bath amenity sparse exclusive give room price . when try use internet connection , disappointed notice WiFi room . resort use cable Ethernet . charge room rate notice massage flicker screen fast read . successfully connect net , muck setting Mac , make officially first hotel trouble connect net five year lifetime Mac . sumthis nice hotel , course , review take consideration quite hefty price charge . ' m willing pay lot stay place , service quality need par price . overall impression Cumberland overprice 70 % 100 % price . potential , could quite live expectation . steer away , several well alternative price range . 
 Sep 15 2008 	 Ultra Modern 	 though London several time first time Cumberland . artistic love staying place art lobby . multi colored light change pink day time light blue night say least different . room okay size London standard . modern flat screen tv light glass back drop bed . really care frosted bathroom door since travel whatever great week . would go back . close tube , grat location , great staff . cool bar . 
 Sep 15 2008 	 never 	 book double deluxe room two night birthday celebration husband . disappointment . dirty carpet , rusty sink fitting , suspicious curly hair sink , empty mini bar , incredibly noisy . ' market ' eat breakfast appalling . noisy beyond belief share table couple . speak husband mean shout mean guest table could hear conversation . imagine holiday camp like . even queue seat . 4 star service ! corridor dirty tired . reception area , whilst modern , make feel queasy . save grace Gary Rhodes experience . 
 Sep 10 2008 	 Great round 	 thing let pay lot get breakfast include room little musky perfect , pay lot location worth every penny single overnight stay right . miss useful amenity like free wifi night not really bother . easily spend 2 day ( ) one hyde park one shop nice weekend away . hotel clean room , lovely building , comfy bed nice quiet room provide central london . 
 Sep 9 2008 	 Got soul . 	 walk main door thought & quot ; WOW & quot ; , totally different every single hotel , love contemporary look feel reception area , spacious . check 12 noon , book deluxe king 2 night get upgrade Hyde Park view reception , ask want bath shower , say bath , tell room ready till 2 pm , prob go Natural History Museum get back 5 pm . get direction room , follow instruction get lose , ask 5 member staff one person could tell we . 15 minute finally get room , downgrade without tell , ie Hyde Park view , man 's land annex , get show bath room . go back reception not fancy long walk breakfast & quot ; main & quot ; building , change room problem find room give poor direction . finally get bad mood . room could not really fault , spacious London Hotel , nice pic headboard , modern style lack type soul , type character , neither . sink , well , let say , buy house style , would first thing pull out . location - brilliant , end Oxford Street practically 2 minute walk away Marble Arch tube station . staff - Clueless cold , hint Guoman Hotels , try get staff serve Breakfast , wait 10 Minutes coffee , 2nd morning give fruit juice breakfast . food - not try restaurant , look price walk exit straight away , anyone prepare pay price deserve money , grant pay get , rediculous . Breakfast ok , nothing special , par 3 4 star hotel , love freshly cook pancake choice fill cook front , hate people moan rip pay £ 20 ( per person ) breakfast . in nutshell , cold , soulless character extremely overly price , alternative nearby well price staff actually know time day . definitely hotel ever set foot , go work pay , would ask could get another hotel even mean downgrade 2 3 star hotel , ' m serious . also beware stupid inflated price busy , try book hotel time stay sometimes single sell £ 300 , would not pay £ 150 king room let alone single hotel . 
 Sep 5 2008 	 average quibble 	 : Cumberland member Guoman Hotels , small up - and - come local chain hotel . locate old beautiful building . take 2003/4 underwent massive renovation program become Le Méridien Marble Arch use Le Méridien 's short - live art+tech concept . needless say , deal not last hotel open Cumberland , Guoman Hotel , operate day . location : one hotel 's strong point . Cumberland Great Cumberland Place directly across Marble Arch frontage Oxford Street . extremely convenient multitude shop Oxford . marble Arch Tube Station locate Oxford side building , along Pret Manger restaurant corner hotel . LOBBY / RECEPTION : lobby resemble modern art gallery , stark white wall floor , differently color light everyday , video play behind reception desk , photograph , water wall three large sculpture . reception long desk sufficiently staff . CHECK - in : simple process cheerful , polite employee . not take five minute . corridors : hotel 1019 room , make one large hotel London . corridor long bit drag since make turn get room . corner heavy door keep noise ; door close night , pushed open whenever . room : room , 5018 , deluxe room . upon push heavy door open , greet bank three large window roll - down blind overlook bleak hotel courtyard . room consistent art+tech concept , create modern , art - orient space . large room blue - green color scheme backlit photograph , wood paneling glass . two bed back large etched glass headboard light inside create nice piece art . bed fit egyptian linen one large square pillow fold half & quot ; create & quot ; two pillow one need . bed comfortable , bit worn . wall - mount plasma screen television ( ' m guess 37 inch ) place front bed . one closet next television slide frosted glass door . within enclosure mini - fridge , swinge table contain tea- coffee - make facility safe . phone call charge ; local call 60p minute national call 1.50 pound minute . internet access provide cable desk wirelessly ( pay use internet ; payment make online purchasing card reception ) , signal extremely wonky waver strong weak different part room . find strong signal lie door foyer ! BATHROOM : familiar art+tech bathroom concept , will sure understand . bathroom somewhat small spacious enough . door bathroom frost green glass , create small gap along edge even close locked , might inconvenient privacy issue ( & quot ; sounds & quot ; make within bathroom also hear room ) . frosted glass sink seemingly float ; right lie toilet , leave sink shower stall . shower rectangular stall two large clear glass panel bathroom side normal glass wall . shower strong refreshing , rich towel hang rail toilet . small bright green light next toilet sink can not turn , light room night , create ominous glow like something alien movie throughout entire room . food : breakfast Market restaurant hotel 's basement . access take elevator room lobby , walk across lobby staircase elevator next main entrance , go basement walking bit restaurant . restaurant large compare school canteen . undoubtedly modern , black leather beige seat , gallery lighting , glass partition . buffet design five station along one wall : english breakfast , bread / pastry , meat , egg station juice / cereal / dairy . food good extremely high quality . tea coffee serve waiter waitresses wander around restaurant . service : hotel falter . one must keep mind large hotel service not always particularly prompt . despite , stay large hotel , Cumberland still seem take long usual . staff extremely polite throughout stay , find time major issue , especially ask item send room . ask laundry bag send , thirty minute later still arrive . call housekeeping , take fifteen minute send member staff bag . believe little training punctuality fix this . CHECK - out : check - out take mix - up bill . rate include VAT breakfast , erroneously pay wrong bill include supplementary charge . bring immediately receptionist , insist rate include VAT breakfast , already pay whole bill . supervisor come , check system see vat breakfast mean include refunded additional charge we . overall : , good hotel comfortable room excellent food . however , need polish customer service order provide excellent overall experience . I would stay . 
 Aug 29 2008 	 Disappointing - awful 	 say , everything read far confirm , thank goodness upgrade , extra 25 pound night get we follow - creak toilet bowl , leak bathroom sink , rot wood back sink , light work , problem connect internet , clean smell bedroom - curry smell corridor . the ambience corridor blue box room number white door reminisance incarsaration movie . type look wall mount tv adequite size , however , whole wall mount installation cord hang 3 large socket view , could easily hide behind flat panel . the carpet badly stain many place look cheap ( today not even vaccume , glass change , make tea , still desk unwashe ) wall safe fail cool security get belong out . previous reviewer liken breakfast area school canteen , one breakfast , eat rest stay . find patissere across road hotel , actual executive building opposite , good breakfast ever . despite certainly disaster , would expect value cost . 
 Aug 18 2008 	 average 	 must admit travel agent get good agent rate hotel.i think I d get bargain call 4 star hotel central london de luxe room.how wrong i.the hotel busy load people mill round huge soulless reception area.check efficient exactly welcoming.the double de luxe room obviously single room double bed shove .one side wall hardly room walk about.the breakfast room remind school cafeteria breakfast good average although good cater many nationality stay here.i pay similer amount stay london return next time wonderful raddissson chain personal intimate stay luxurious surrounding . 
 Aug 6 2008 	 big pricesmall room 	 pay £ 556 2 nights,2 double room . we put single room , double bed . the furniture room rearrange bed jammed wall unit foot end opposite wall , make impossible climb without disturb wife . the tv towelrail work many hook snap , curtain hung rail . breakfast disgrace . hot food cold could even cook toast . and microwave & quot ; fried & quot ; egg ? rate 1star , let alone 4 
 Aug 3 2008 	 good ...... 	 stay Cumerland 8 people , book total 5 room . ' ve stay hotel couple time rate highly , make experience time disappointing . queue check long slow . reach desk , room allocation slow , although staff still friendly . unfortunately , one room ready , even go back time say , still one room not clean . room , tv not work shower door not shut , precariously support one leg elbow whilst shower ! one answer try 3 time call front desk , queue ! loud music play 3 am . idea come , room face onto ugly roof people room , not come outside hotel . lift complete nightmare ! take age come even , completely full wait , wait . good point hotel restaurant cocktail bar attach . excellent food drink , even well service . large conference go , even , not think will rush back favourite London hotel ths weekend . 
 Jul 25 2008 	 modern shabby round edge 	 stay 3 day Cumberland , end Oxford Street / Edgware Road , right busy Marble Arch tube station , fantastic location tourist many stay hotel . the hotel 's foyer area huge white , colour light modern artwork give trendy feel . reception staff friendly helpful , impersonal touch enormous hotel . we problem room get ( someone use service we arrive ) , immediately upgrade big room fuss . my tip try get B & amp ; b rate breakfast alone almost 20 pound per person . go cafe nearby get breakfast fiver . also , not drive hotel 's car park , though put car nearby Bryanston Street NCP car park get 25 % discount hotel guest . good car park astronomically expensive location . I find Cumberland clean tidy , faded look large , busy hotel sometimes get time . room also clean , well lay comfort comfy bed . minibar , tea- coffee - make facility . overall , probably will not stay unless get really good rate . rather expensive get , tourist might willing splash central location . 
 Jul 24 2008 	 Great Location- Claustraphobics need stay ! 	 check ahead partner arrive evening call ahead notify hotel would check indicate time 3pm , wait 3 hour room ready ! hotel aloft guest wait room simply ready , absolute joke start finish ! room , even call deluxe double order tiny , view tatty decor . room service edible staff check friendly incompetent . location shopping could well centrally locate Marble Arch tube line explore city , hotel extremely disappointing experience one revisit - price - worth ! - stay somewhere else 
 Jul 22 2008 	 Fantastic room 	 book Londontown.com get fantastic deal two night New Year . arrive wonderful reception modern nicely greet , room fantastic comfy bed ever ovely linen . want go show hotel book we , fantastic seat well . breakfast include amazing would cook order , anything want . drink pricey bar , expect suppose 
 Jul 21 2008 	 awful service 	 apprehensive reading review think great location gave go . wait nearly half hour check pain bearable . relieve saw room - twin clean modern , sink leak call quickly get sort . next morning shower ( great shower ) good breakfast ( good choice ) return room find clean - great . however look item want return leave bed ( gift receipt ) could not find - look everywhere go ask housekeeping run upset return item ( ? ? ? ! ! ! ) ask take say do not know ! ! ( perfume ) matter ? property ! ! cut long story short , hotel deal issue assure would work give we 2 bottle ( house ) wine , seem understand issue - girl say think leave gift note say ' for ' - note ( receipt ) belonging still room obviously try get . upon check hotel next morning , girl still clean ! ! say - clearly take issue seriously bother guest 's personal belonging . sorry long review please warn ! problem other hotel complete disregard issue worry . shocking customer service , would never return recommend hotel . 
 Jul 21 2008 	 staff problem 	 daughter arrive Cumberland hotel , walk foyer think ' wow ' , be wonderful . matter go down - hill . long queue check . problem regard member staff whilst stay , customer service abysmal . whatever happen customer right . unfortunately customer never right Cumberland , leave doubt . never . 
 Jul 17 2008 	 Awful Service 	 stay 6 night work price charge standard . system connect wi - fi terrible - collect voucher card front desk . first time return get second one tell ( ! ) instruct book another session online use credit card pay . work card charge anyway complain staff audacity tell nothing hotel problem BT ! never anything remedy problem get internet work . disgrace ! 
 Jul 16 2008 	 Magnificence Shoebox Room 	 hotel modern responsive , one aware lower price room particularly small USA standard . expect convenience available , , case , double bed one side wall , make get one us chore . guess one could say elegant , air condition shoebox money buy . convenient Tube Hyde Park , need quick meal , McDonalds KFC . point , however , must also advise other hotel still work correct duplicate billing room , since pre - pay Priceline hotel also charge credit card night . significant lapse quality bookkeeping , hotel correct ten day since acknowledgement would follow problem . 
 Jul 15 2008 	 Front - Standard room poor ... upgrade ! 	 ' ve return three night Cumberland . turn reception give big expectation , bit wait check seem people problem reception . meet great member staff come apologize chat five minute quickly pass . check super friendly offer upgrade , turn . reception cool thought would continue room . I allocate smoking room 6th floor . corridor way invite long walk give impression vast size hotel , walk first overcome heat , smell . rank , bad BO smell combine sewer ( polite ) . & quot ; Deluxe Double & quot ; tiny , furniture warn bed linen also look bit warn grubby . I stay 10 second room return reception upgrade . give king room executive building , short walk entrance hotel . cost extra 30 pound top Deluxe room , also give extra 24 hour internet movie late check . two couple front queue also upgrade room . this room actually pretty good , be new renovation executive building . be also lot quieter . room not huge decent London standard . lot fresher feel . bed look well bathroom little stylish . air con also work well . Elemis toiletry , good UK spa brand plus lot tea , coffee milk cookie . the design room stylish little unpractical , little storage everything little awkward . guess fitting modern style traditional building . light cool back light headboard , neon light quirky artwork . fridge free bottled water mini bar . the staff hotel ultra polite friendly cleaning good . toiletry refresh stay . however .. evidence cockroach , see last day . forgivable age building still unusual London . the lift building mind 's , give completely random journey every time . think spend time lift subway . I not eat hotel friend night . drink Carbon , bar . quite pricey . I ' ve get say price pay , even fork upgrade not bad . ' m sure would stay , would not go Standard & quot ; Deluxe & quot ; room . look directly room main building see quite room fan must trouble aircon main building . due people also leave blind window open . prove entertaining sight etch memory time yet ( shudder ... ) please bare mind stay . actually , stay bad hotel grade lot money upgrade worth . would check hotel another room choice not available . hotel website describe place & quot ; World Class & quot ; hotel , really 's claim 's rank Tripadvisor probably little honest . 
 Jul 7 2008 	 like sleep aiport comfortable 	 review look good - picture look classy - good deal Lastminute.com decide book one night . yes , location amazing - short walk Oxford Street , far hotel experience go Cumberland suck . hotel massive , suffer impersonnel indeed . lobby digital screen , installation art piece contempary feel look good , like rest hotel looks decieve . 6 people check desk 5 people front queue supprise take 10 min check . check equally painful . reception full people sit around , huddle around pile suitcase , sit wait , queue check desk - like airport . room okay - rough around edge , plasma tv , iron board , good shower stain carpet enough toilterie . hotel bar restaurant include - base impersonal reception experience , decide spend money elsewhere might actually get personal service . bed comfy one night £ 99 decent - stay long would drive mad . grab bargain go elsewhere . 
 Jul 6 2008 	 Great Location Good Rooms Facilities 	 selp 3 night good experience . perfect location , good price ( around 160 ) staff helpful . first room club ( Carbon ) noisy switch 8th floor room view Hyde park . decent gym ( small get job do ) room big decorate taste . would definitly go back . 
 Jun 30 2008 	 Decent enough 	 stay Cumberland twice eight day , would stay . first visit issue , efficiently deal with . check : prompt courteous impression thing always easy , feel back come unpacked massive queue two people work behind desk . however , deny first impression hotel exciting . foyer like modern art gallery hotel check area - fantastic art installation , cool exciting lighting system air cool , calm efficiency , belie reality property , definately style substance . the room : first visit go back ask different room aircon action , positively reverse - room like sauna . however , guest relation manager move quickly much well , much cool room . problem , solve . second visit , ask check whether ' like upgrade park view room £ 25 extra , inlcude free internet - £ 20 per day , make good deal . book hotel website £ 110 good deal ! bed great time , shower powerful , room clean decor modern impressive , impressive finish look tired , even though renovate 4 year ago . overall : well worth money , exceptionally central , impressive design good bed , second large hotel UK , need improve service delivery . busy time , staff struggle cope , unwelcome . competent guest factory , style public area room decor quickly undo mediocre service lack attention detail . maybe Cumberland drastically cut room rate . 
 Jun 27 2008 	 cash go flash recpetion area 	 walk stunning reception area , level expectation high . however , frankly speak , kinda start decline get elevator . long corridor rather grim tired looking , room small , shower leak water room poorly stock ( mini - bar - ? ! ! ) . , average London standard , not bad - trust . 
 Jun 26 2008 	 great location 	 cumberland one good location london stay.the tube bus station half min away . great shop like mark spencer , mother care , etc 2 min away.breakifast good good thing concierge service.alway ready help , book theatare tick , explain reach destinations.just great.the bad thing bed , uncomfortable toooo small . 
 Jun 24 2008 	 Size not everything 	 spend weekend large hotel , get good review open year back . first impression get foyer similar size look railway station still queue check in . the deal get include breakfast complimentary bottle wine however get latter checking ... despite tell twice would brought room first night . the room decent size basic two 3/4 sized comfortable bed , small wardrobe old - fashioned look empty fridge . bath large shower fine . however , glass sink stand proud vanity unit mean stand 3 foot away mirror shaving . robe fancy toiletry , norm day . towel rail toilet bowl annoy green light side loo light room glass bathroom door night , could turn . bedroom mount flat screen tv ' central face onto one bed . view window ugly overlook room , privacy blind black blackout curtain draw day ' want overlook . we sixth floor , must nearly hundred room , well sign . eight floor hotel , small six elevator constant use often mean long wait . breakfast buffet style queue seat service impersonal feel hurried queue guest wait . on plus side hotel close tube station Hyde park many nice 4 * hotel actually offer four star service . overall lack service , ambience , staff guest give hotel four star feel , rate would rather stay adjacent Marriott . 
 Jun 23 2008 	 Great Hotle Business Leisure 	 always difficult find good hotel London £ 200 stay London monthly work Cumberland one favourite . price around £ 170 per room London price good . lobby spacious give great impression . hotel 1000 room across 2 building , try request stay main part build room big far luggage . room good size comfortable interior . choice 3 bar different restaurant open late . Location Pratically next door tube station great sightseeing . would recommend hotel defintely business traveller due facility tourist want easy access city grand hotel . 
 Jun 22 2008 	 Great Location that s 	 book weekend May regular apartment full . God mistake , check slow , front desk abrupt speak poor english.room horrid say least . bed uncomfortable , food average . stay location can not get cheeap last minute deal that s . 
 Jun 20 2008 	 Great Hotel Great Staff ! 	 stay Cumberland one night unsure read bad review Trip Advisor really happy choice arrive . every member staff speak friendly helpful . room great . compare hotel stay London positively huge & quot ; deluxe double & quot ; . bathroom lovely importantly room spotless . breakfast really please drink bar lovely atmosphere . like different hotel one read review , understand people different experience , go pick ( take picture ) plug socket shower head perhaps need book somewhere much expensive ! 
 Jun 18 2008 	 great location ! 	 hotel reasonable price travelocity deal . London SUPER EXPENSIVE ! ! ! ! low hotel : room size - fairly big consider europe london . get king room . big screen tv - poor channel choice . coffee / tea maker nice selection tea coffee provide . small nice iron / ironing board . nice powerful hairdryer ( lady ! ) .bathrooms - nice , clean . small shower water could spill . much counter space keep toiletry . nice toiletry provide - lotion , soap , bath gel , shampoo , HAIR CONDITIONER . room service avaible til late hour ( maybe even 24 hour ) - food good . price everything high ! let us put way , spend $ 16 american dollar one liter bottled water ! ! ! ! well eat out . the hotel lobby impressive - modern classy . kind remind W hotel style . nice bar / lounge / club . seem pretty happen place Friday Saturday night . line get club fee get unless guest hotel case free . there casino across street hotel nice choice restaurant . one indian / french fusion restaurant one block away - La Porte des Indes- upscale excellent food ! location excellent - literally right across street Marble Arch . get double decker bus tour stop right . close subway system . everything within walking distance . oh , also convenient store across street . good snack , bottled water , internet access . also concierge help book tour - double decker bus tour , Stonehenge , Bath , Windsor , Stratford Upon Avon , Oxford - name . good part tour pick hotel . travel anywhere catch tour bus . 
