Leopard 	 husband London Thanksgiving week year try Rubens Hotel . hotel gracious , warm comfortable . room quite spacious London standard . ask turn service . chocolate yummy . favorte part stay meeting Said Mahri , manager Leopard Bar inside hotel . luxurious room wood panelling . romantic chic . say charming gracious host , knowledgeable London retaurant bar scene . 
 Pleasurable stay 	 fantastic location right next Palace , wonderful walk St James Park breakfast . stay catch couple show west end . bit way Covent Garden ( £ 15-£20 taxi ) ideal start point variety bar drink in . the service really good , consistent whoever meet whether reception , breakfast staff barman . standard room also good , bed one good ' ve ever stay ( wife want buy one ! ) . picky little pricey . lunch consist couple drink , salad , steak fry £ 50 . say plenty people eat drinking know ! really enjoy stay would go back . 
 Apr 18 2007 	 Confort class 	 first class hotel , excellent service . great location , front Buckingham Palace . staff professional make yorself home . confortable room , find want . Library Restaurant excellent , top livel sercice higth quality food ! 
 Apr 16 2007 	 happy 	 stay Rubens husband 7 day pleased . room well keep , clean , nicely decorate , although quite small little space unpack . bathroom rather large good lighting makeup mirror . staff polite attentive . food good ; breakfast , snack , evening drink . piano player nice addition lounge night . location well . would highly recommend hotel . negative report . 
 Apr 14 2007 	 Excellent staff location room 	 fantastic location discover London , minute away big attraction . many attentive concierge , excellent reception staff , always helpful friendly . breakfast muesli bar even include Bircher Muesli - ' m convert . book Easter weekend package include junior suite , pack lunch ( huge ) , free bathrobe slipper kid , plus Easter egg hunt Easter Sunday . 
 Apr 12 2007 	 old fashioned service smile 	 yup - great . spend one night business . concierge helpful .. staff attentive polite . breakfast full English . good . the location next Buckingham Palace not get much well London tourist . one criticism would room rather dark . say , enough chintzy decor distract.the Rubens rock ... 
 Apr 11 2007 	 great location 	 Reubens Palace perfect location central London combination business vacation trip . locate within easy walk distance museum , Buckingham Palace Westminister Eye London . easy access London underground . hotel well maintain great staff . add extra cost breakfast internet . breakfast excellent huge buffet style egg station . staff knowledgeable local direction , resturant service . small room careful cost room book , room comfortable quiet . opinion hotel charge wireless internet connection ! 
 Apr 10 2007 	 disappointed 	 spacious room anything . king bed really 2 twin push together , one inch high huge gap . staff smile lot , way people not speak English ask something not want tell can not understand . service bar incredibly slow . 
 Apr 3 2007 	 smile Hotel 	 abide memory staff smile , attentiveness seem excellent ratio staff customer . stay 3 night first small room equally tiny bathroom mould grout . even space store unpack case . ask change give another room extra cost , prove entirely adequate well equipped . a / c work well bathroom good appointment always plenty extra complimentary water etc ( executive club package ) . club give entitlement complimentary drink evening service . location great breakfast extremely well provide . love attention provide delicious artery clogger black pudding , porridge , kipper , smoke fish alternative really good selection health food extensive range organic food nut . bar area relax plus good lounge pianist . try restaurant excellent well cook meal average restaurant would stand alone . book directly believe obtain good corporate deal . would certainly stay recommend whatever reason travel . 
 Mar 27 2007 	 Great London location 	 want hotel great central location husband birthday . stay Saturday 24th March . reception staff helpful & amp ; welcoming & amp ; able check 2 pm . room 1st floor & amp ; whilst quite small beautifully furnish & amp ; spotlessly clean . the location really ideal - 15 minute stroll Harrods / Knightsbridge & amp ; even close Victoria & amp ; minute Buckingham Palace . the breaksfast good see anywhere - much choice & amp ; nicely present . buffet apart tea / coffee & amp ; toast . I book online directly wiith hotel & amp ; felt get good value money . overall would recommend hotel short stay London . 
 Mar 21 2007 	 Fab Location Excellent Service ! 	 husband stay Rubens early month , fabulous time ! book great deal website standard room . quiet room ( recommend stay back Buckingham Palace Road quite busy ) quite large european standard , lovely real king - size bed ( two twin push together ) big bathroom stock Gilchrist & amp ; Soames toiletry . forgot take picture , room do hue brown look like nice recent photo would see either TA hotel website ( can not remember ) . remember pleasantly surprised decor size since expect small room perhaps little shabby ( later trip Ireland ) . floor creak bit hallway , never head sound room -- remarkable old building gigantic city . ' ve stay brand new hotel soundproof less peel wallpaper . the housekeeping staff excellent . always room clean well keep load we additional toiletry ( hotel stingy Rubens certainly not ) . since unseasonably warm sunny entire time , use a / c -- quiet work quite well ( often little well since return one evening find would turn low bit frigid ) . breakfast buffet fine . sausage not really favorite , nice poached egg . nice tthe rubens fresh fruit pastry since several place later trip ireland unidentifiable can fruit horrible white toast . the location amazing -- across busy Buckingham palace ( set Commonwealth Day state visit president Ghana ) , can not recommend Rubens enough -- especially load hotel less stellar location double price throughout city . able walk major attraction Westminster easy pop park get St. James Mayfair . love see mail deliver horse Mews well see royal household dog walk ! addition location , good part Rubens we staff bar . since London pub restaurant close relatively early , end evening hotel bar . good irish coffee ' ve ever taste first night -- make double cream 's wonderful . rubens large collection Scotch whiskey , scottish bar manager provide perfect end stay London sample several fine whiskey load story grow Scotland several distillery throughout country . return London , defininitely stay Rubens ! ! 
 Mar 15 2007 	 Beautiful Hotel - Return 	 Rubens recommend local stay London . check Victoria Park Plaza ( please see review hotel ) dissatisfied . want remain Victoria section London . ruben conveniently locate 1 block away Victoria Station Underground theatre district . the hotel staff friendly courteous . Door man always open door front desk always helpful . travel alone staff offer call cab . staff also helpful recommend area restaurant way get around via tube . the bedding high quality : warm , thick blanket sheet clean soft . mattress firm bed stable provide extra blanket six ( 6 ) firm pillow . room beautifuly decorate drapery colorful bed coordinate wall paper . room large US standard , 25 inch television , blow dryer ( surprisingly quite adequate ) , cable / modem internet connection , desk , full size wall mirror , full size closet . hotel assistant helpful advise thing locate hotel room check in . the bathroom clean well stock amenity clean towel daily . bath tub nice deep bathing shower combine bath tub . bathroom also impeccably clean daily . two bathrobe also provide free charge . bathrobe thick , terry cloth excellent quality . I alarm clock , staff provide wake - up call ask call make time request . as expect , room service pricey . hotel offer early morning breakfast room service ( start 6:00 a.m. ) late night snack menu . due price , utilize room service . price range 8 GBP 20 GPB depending order . also eat area restaurant utilize Marks & amp ; Spencer market locate Victoria Station . use laundry service pair jean wash . jean pick immediately upon request deliver day wash dry satisfaction . Daily Telegraph also provide daily free charge . the surround area hotel quiet night . thing room close together . final night , neighbor hotel guest quite loud hear talk laugh wee hour . the downside hotel price internet connection . one hour , charge nearly 8 gbp expensive consider hotel like travel lodge charge 8 Pounds 24 hour access . place phone call Hotel also quite expensive . good bet communicate email rate call US expensive England . plan return London Rubens . hotel beautiful service impressive . 
 Mar 13 2007 	 Great Hotel Outstanding Service 	 bad experience hotel London 2 year ago research find Rubens ( red carnation property ) . hotel central location make need taxi underground limit . locate across street side Buckingham Palace . hotel traditional area fabric cover wall traditional furnishing decorative piece make comfortable feel . truly feel come home day long day sightseeing . easy see hotel lounge area always close full people sit around tea cocktail fireplace comfortable seating wing back chair set group throughout 2 room ground floor . room well appoint comfortable . decor warm like upscale B & amp ; B hotel . service outstanding . consierge helpful make arrangement sight dinner well suggestion get airport . door people reception desk also always greet we warm hello . really feel like home away home . need keep medication cold call ice twice day . every time ice deliver room less 5 minute . would continue stay Rubens Red Carnation Properties future . 
 Mar 9 2007 	 Fine 	 look special offer hotel website . pay £ 116 one night Winter Warmer special . get room upgrade - choice option - think well value money . say , would hate think low grade room like ! room clean bathroom nicely kitte , room dog - leg right next generator ! deal also include full english breakfast welcome drink arrival . decide claim drink return theatre evening ( way , give Cabaret wide birth , weak sign flat ending ) . bar staff claim know nothing deal - send reception get voucher . receptionist also query entitlement - have couple ( expensive ) glass wine theatre point , stop ! make sure push ' ve promise . public area hotel far impressive room breakfast great . load choice plenty it . ruben well locate - would strongly urge take stroll park Cabinet War Rooms Churchill Museum , absolutely fantastic . Westminster Abbey , also worth admission price . 
 Mar 3 2007 	 average .... good location / do not eat 	 Checked Jr. Suite 4 night . @ $ 400 per night . jr. Suite size large room U.S. , not expect anything expansive . no heat room arrive thermostat AC . call turn radiator room . like everyone say , floor make oddest noise creek every time move . o.k . first , get annoying . housekeeping replace wash clothe 2 day row ( remove replace ) . , finally call asked wash clothe . service bar / retaurant deplorable . food mediocre rude unattentive . price terribly high compare nice restaurant London charge . eat couple time convenience . bartender rude know fix drink . ask & quot ; double & quot ; whiskey bartender say & quot ; double , taste like it . & quot ; ! ! ! see pour one shot glass . basically attitude .... $ 12.00 drink tell basically drink shut . unreal . so , good place ? location good sightseeing / touristy thing . short walk ( couple block ) St. James Park / Buckingham Palace right across Mews . nice walk Westminster Abbey area nice day even soho.oh , like many european hotel , King bed actually two twin push together . may oddball , icannot stand fall crack middle suppose King bed ... uncomfortable . Front Desk , Doorman , Bell Stand , general service acceptable nothing extraordinary . like another reviewer state , hotel website bite top exaggerate / misrepresent room service . whoever website deserve award , make marginal hotel look great . 2nd time stay afford least Jr. Suite , disappointed likelihood give size room service . moderate 3 - star property . oh , need high speed , run $ 30 day internet .... , good luck find anything inexpensive London . dollar miserable Pound .... buyer beware . 
 Feb 27 2007 	 good place stay 	 Stayed Rubens long weekend begin February . choose base review close theatre decide go . pleasant friendly staff , nice fresh clean room bathroom ( ' m picky bathroom ) . good powerful shower plenty hot water . extremely comfortable bed ! – duvet blanket . room over - big big enough want long weekend capital , be go spend much time . ok , floor creak – heck , 's old building not recall disturbed night ( ' m particularly heavy sleeper ) .Best breakfast spread ' ve see hotel - ever . carvery dinner inclusive deal choice buffet excellent well cook – soggy veg ! nothing negative – definitely go back 
 Feb 26 2007 	 great value really helpful old fashioned service 	 recently stay several 4 star hotel London well far . room bathroom well stock basic , bed bed great quality . the room ready arrive 11.30 fail get back time check 12.00 happy follow phone call collect luggage hold evening . stay couple day snow staff helpful knowledgeable amend travel plan get around due snow . eat hotel can not comment quality food , menu include Indian themed week sound great good value . location work great base Paddington meeting West end , Westminster Canary Wharf . would certainly use hotel . 
 Feb 21 2007 	 Nice Hotel - Food Average 	 enjoy 2 night stay . location opposite Royal Mews excellent easy walk many famous landmark . dine Restaurant night . first night try la Carte Restaurant rather pricey would say food average . bar comfortable nice place relax . follow night dine carvery pre theatre supper . much well reasonably price . staff attentive friendly . room small side comfortable . breakfast buffet style huge choice . 
 Feb 12 2007 	 could not fault stay 	 stay 2 night arrive Friday midday , 2 hour official check , room ready check pleasant efficent receptionist . hotel busy duration stay never receive anything helpful efficient service , always deliver pleasant cheerful way , can not praise staff enough . watch breakfast carvery , guarantee pile pound . hotel spotless well maintain , ideal location certainly return . 
 Feb 7 2007 	 wish something good say 	 work Travel Co - ordinator book two appoint sale manager Rubens Palace hotel look impressive web site , good location decent price well . surprisingly enough , manager arrive hotel tell hotel FULLY booked despite fact confirm booking . shock everybody ask go hotel 9 pm . think unacceptable call hotel find happen . duty manager explain outbooking happen rather often be normal practice . manager travel around UK business 20 year never happen before . I could see review people really like experience hotel , well , never get experience . 
 Feb 3 2007 	 Fantastic Hotel ! 	 first trip London , hear small hotel room U.K. , pleasantly surprised find hotel room spacious comfortable ! bathtub large room overall extremely nice ! staff incredibly friendly , . big complaint floor upper level squeak loud walk , be late , risk wake guest , . hotel also short walk away everything ! couple block Victoria Station , be right across street Buckingham Palace . 15 minute walk River Thames . good location ! ! well worth money , look forward go back ! 
 Feb 1 2007 	 Great Hotel Best one I ve stay London 	 visit London many time get little tired expensive hotel offer little lot money . hotel different . rubens lovely hotel friendly staff , good location . worth pay bit big room . room spacious , comfortable bed , everything would require . food high quality , piano bar feel comfortable . great facility pool etc bother , problem . the good hotel I ve stay London far . 
 Jan 18 2007 	 absolutely love ruben 	 return great trip London ... stay Rubens Palace absolute joy .. room wonderful bed heavenly long day sightseeing . feather quilt luxurious , hate get bed morning . service incredible , consierge go beyond duty . whole staff hotel marvelous , friendly , courteous helpful . can not wait go England stay Rubens . 
 Jan 13 2007 	 Wonderful Week Rubens 	 stay Rubens business trip December absolutely delightful . though first trip London , not really know expect . however , Rubens absolutely wonderful choice term location ( walk distance Buckingham Palace Victoria Tube station ) . staff accomodate room service well average . complaint ( rather suprise ) size room - room tiny - would say bathroom almost big room , think 's typical european hotel . complaint would floor , quite creaky lift , slow . room quite expensive manage , would certainly recommend Rubens . thank lovely stay~ ! 
 Jan 2 2007 	 Sheer excellence ! 	 organise theatre break London sister 's 60th birthday November . look triple ensuite room eld sister come break . look hotel far away theatre well know London sight come Rubens theatrebreak website . not know expect want good birthday treat sister let Rubens . moment greet door time went back pick luggage travel back home various part country treat curtesy respect . the service excellent staff helpful ; room high standard lose element luxury triple room - fun room together . bar reception area warm comfortable ; full charm without stuffy . we excellent pre - theatre meal hotel make evening run smoothly taxi call soon finish ready go theatre . location hotel also excellent spot sight see shopping - literally around corner Buckingham Palace , opposite Royal Mews . thoroughly recommend hotel anyone want luxury comfort along excellent service - whether travel abroad UK will not disappoint stay Rubens Palace . 
 Dec 14 2006 	 good Chesterfield 	 staff good , friendly helpful , thing quite right . bathroom small get shabby . chip crack tile , funny old coat arm loo bath panel old - fashioned chip . expect well £ 180 night plus vat . bedroom pleasant quiet give location , not sort curtain ? ? ? pound every hotel ' ve stay curtain hang , have rich woman . their sister hotel , Chesterfield , much smarter well maintain . 
 Dec 6 2006 	 Gem London 	 good hotel . think find regular little gem stay ' m London . nothing much trouble . staff polite , smile friendly . Manager meet we arrival introduce . upgrade King ( without ask ) housekeeping knock door early eve check anything want . Slight hick - up restaurant first night , quickly put right staff apologetic . Buckingham Palace within walk distance cut across St James Park walk attraction . walk Westminster Oxford St. shopping . Taxi Paddington around £ 8 £ 9 . stay Red Carnation Hotels ( Montague Gardens Bloomsbury ) , location far well . can not wait return . 
 Dec 1 2006 	 Fancy reasonable ! 	 stay Rubens Palace last two night trip great . room nice clean hotel classy . enjoy evening bar good service piano music background . location ideal , block Victoria Station . service pretty good little snobby not know be young do like many guest . overall , great experience exchange rate not bad price would pretty reasonable . 
 Nov 22 2006 	 first class hotel terrific location 	 stay Rubens many time , continue hotel choice London . location fantastic , across Royal Mews backside Buckingham Palace , importantly , stone 's throw Victoria Station . , transportation world doorstep . the hotel traditional , up - to - date . room remodel update , represent excellent value . although room huge , statement almost irrelevant London even top - end hotel seem cramp . bathroom well appoint . staff friendly accommodate , well . breakfast buffet - style , wide choice option . bar cozy , formal dining room , Library , quite handsome capable . we recommend property highly . be consistent multiple stay , offer first - class , value - base experience . 
 Nov 21 2006 	 great stay loved location ! 	 great hotel price . husband stay October pay around $ 175 per night 5 night . king bed room take lot space . room little small side not need king opt queen space . hotel great location w / in walk distance Victoria Station . hotel staff friendly helpful . enjoy full breakfast every morning . eat vegan diet soy milk many organic cereal / nut , etc . we unusual . end walk many attraction occassionaly take tube quite easy use efficient . London great . complaint hotel room smell kind funky like mold mildew bad . 
 Nov 14 2006 	 favorite hotel world 	 hotel one good hotel ever stop & amp ; think visitig go , problem everything good , room , food , staff , visit every year 2 3 time & amp ; hooked , want something special book royal room nice bit small nice , 
 Nov 7 2006 	 Comfy Nice 	 agree reviewer staff friendly helpful . room comfortable reasonably sized washroom London standard . easy access Victoria Station many pub well price eat place nearby . would stay . 
 Oct 28 2006 	 Loved Hotel 	 great time London . breakfast wonderful , everything could think ! high Tea must , treat . location could well . able access public transportation , private tour walk Buckingham Palace . great staff great room . everyone hotel helpful . 
 Oct 15 2006 	 would stay 	 2 twin room 5 night Sept. second stay Rubens . full fill every expectation . high Tea , drink snack bar , full English Breakfast use concierge wakeup service . find everything excellent . food bar exceptionally good work well quick dinner theatre . concierge always smile , tremendous help acquire various ticket , gentleman helpful we 5 year ago . not miss special hotel . 
 Oct 6 2006 	 Upstairs / Downstairs -- two different world 	 Location terrific , across Buckingham Palace Westminster area near Victoria Station . downstair lounge restaurant well appoint quite lovely . piano bar charming , music every night . downstair desk staff management extremely helpful accommodate every step misstep along way . breakfast feast english breakfast include room rate . one day give full english breakfast . however , next day tell Continental breakfast include want charge we huge amount english breakfast . argue point , hotel management immediately give we English breakfast without charge . never sure what . upstairs , room much less positive experience . hotel old creaky , tiny elevator . room small could not open suitcase simultaneously . hotel claustrophobic . housekeeping nightmare , perhaps victim new cleaning staff . one day room not clean almost 5 pm . next day , certain essential toiletry provide . call housekeeping get room turn - down service , still toiletry . room tv screen quite small , 10 channel . Wirelss internet service $ 20 hour ! desk chair room . remove small table room make room suitcase . hunch hotel many different category kind room . ' m sure large comfortable . 
 Oct 6 2006 	 Greatest Hotel London 	 would liek share experience fine hotel . I stay many top class hotel London yet never find hotel trump ruben value money location . I first stay Rubens 2004 since , stay hotel time visit London . the staff greatest curteous experienced hotel . reception concierge , manager door man . one enter hotel , tell whole different league other . hotel must occupy great position hotel England . directly opposite Royal Mews , extention Buckingham Palace , Queens horse keep . fortunate enough room , always , face Royal Mews , often see morning , Queens rider train exercise horse . room grand decor size depend cost particular room . decorate traditional georgian style almost emulate style Buckingham Palace , extent . room complimentary slipper usual consumable cosmetic product . addition , plush bath robe . bathroom modern style complete thing would expect 5 * hotel . afternoon tea superb take tea room overlook Buckingham Palace . well price beautiful surrounding . similarly , bar similar style , back tea room , grand range cocktail canape . furnish typical Queen Anne style even teh odd British Military Souvenir hanging standard ( colour ) various regiment British Army well life size Home Quard uniform complete Bear - Skin . of evening , one take drink loung , whilst listen range easy - listen lounge singer pianist . atmosphere one would expect perhaps 50 year ago London , hard find Britain today . a tip would suggest would - be - guest , return visitor , upgrade ' Royal Room ' . room prime position overlook Buckingham Palace , seperate wing hotel , access staying room . room slightly big standard room , yet theme particular monarch history past , decorate even high standard . room little expensive , however , well worth extra expenditure . overall , certainly stay Rubens near future , continue . ruben surpass fine hotel London , well worth price consider experience stay hotel amazing location . go experience little part british history . 
 Oct 5 2006 	 could make well choice 	 result excellent review Trip Advisor , book 2 superior twin room 5 night Rubens late September , 2006.We find good rate website include full english breakfast day . actual experience Rubens fall far short excellent , although okay . our big problem lack friendliness . plan rely concierge advice moment arrive , treat like second - class citizen front lobby people . perhaps woman ( 4 we ) ; perhaps book gay rate stigmatize we , perhaps feel appearance not standard ( have fly night 9 day safari Kenya ) . problem : spite request , never get partial roll toilet paper room ; wake - up call not happen ; one toilet flush occasionally . leave notes housekeeper , tell check - out call front desk . full english breakfast include lavish lovely every day . however , coffee service spotty , downright rude two morning . last two morning get lucky likable young man . leave big tip ! suggestion would tip well meal first day guarantee good service rest stay . young woman , Monica , breakfast hostess , friendly likable person . attitude exception demeanor lobby staff majority waitpeople . room bit small even though opt superior twin . not even ask upgrade view room plan spend little time room . find room spotlessly clean pretty . double set window render room quiet , yet also open window wish . linen nice , though bedspread weighs ton . one two room problem toilet , guess unlucky one . also receive welcome newspaper morning . coffee room instant coffee , practically always outside USA . not bad . know know , would instead choose location near Piccadilly Circus , find spent time , attend theatre , general area . get cab theatre London difficult . impression Piccadilly Circus area 's bit rougher neighborhood , never feel hesitant area . ruben directly across street Mews ( carriage storage museum ) Buckingham Palace walk big gate change Guard 2 minute hotel 's front door . Victoria Station also 2 minute direction . shopping area well . westminister Abbey riverfront within pleasant walking distance , . walk St. James Park Buckingham Palace pleasant stroll . also least 8 attractive pub eat establishment within two block area hotel . 
 Oct 3 2006 	 Great Oasis London 	 wife , son , stay Rubens Palace could happy . suite elegant separate bedroom living room area . location could well , mere block Victoria Station , block Buckingham Palace , within walk distance Westminster Cathedral Abbey , well Parliament Building . staff extremely gracious helpful . restaurant quite good , afternoon tea exquisite . London hotel rate competitive , room staff make impression will not soon forget . also within walk distance number good retaurant serve variety international cuisine . next trip London include another stay Rubens . 
 Oct 3 2006 	 stiff 	 book hotel 1 night return flight Europe Vancouver London . price 99 GBP per double room per night include taxis english breakfast . the building old , floor squeaky everywhere . the stuff polite friendly , maybe little bit much , smile look fake we . general , everybody try serve hard could , feel quite uncomfortable . room small , tv , desk big wardrobe . washroom fine spacious everything need - shampoo , body lotion , hair dryer , etc . english breakfast tasty : bean , sausage , mushroom , scramble egg ham . also variety croissant , danish , etc . time waiter stand right behind , want get quickly could ! check - up surprise charge 35 GBP breakfast ( greatly overprice even London ) . seem surprised learn breakfast already include price , although apologize revise invoice immediately show book confirmation Venere.com . I would not stay hotel next time London - stiff . 
 Sep 28 2006 	 close queen get 	 spend three night Rubens Palace August love . location worth price . easily walk luggage Victoria Station also locate within easy walk distance many London 's top attraction include Buckingham Palace , Westminster Abbey , Big Ben , London Eye , etc . travel alone feel safe come go night hotel . room small well decorate quiet ( second floor room ) staff pleasant sometimes scramble get tourist information . instance , miss change guard Buckingham Palace tell wrong date . breakfast morning amazing variety food bit pricey . would stay . 
 Sep 14 2006 	 hard find fault - ! ! 	 wife stay 3 night August one special include bottle champagne . right get hotel door could tell somewhere care customer . stay find staff friendly welcome ready act request . the room small building old convenient spot ( near underground , Buckingham Palace , Westminster etc London Parks ) . however , clean well decorate . the breakfast nothing short superb . much variety , , friendly helpful staff . want hotel close many London 's highlight ( mean get ) , operate diligent staff little bit english history throw , look . 
 Sep 10 2006 	 Royal Sleep Rubens 	 stay Rubens Palace last year Christmas holiday feel service quality hotel unbeatable location exceptional . the front desk extremely friendly helpful concierge . wait last minute secure airport transportation ask concierge recommendation . make call confirm registration twice write note slip door . also write recommendation New Years Eve dinner . also feel breakfast staff extremely professional although bit overprice include rate . cafe two three block away much cheap also serve full english breakfast half cost . the room beautiful large standard room stay London . remember bed , one comfortable pleasure sleep -- plush comforter , pillow mattress . would return Rubens bed alone . as location , really can not beat . first hotel across Buckingham Palace also walk distance Victoria Station . stay Hyde Park , much preferred close bus / tube stop rely much expensive taxi , particularly come back theatre bar night . a recommendation -- Spaniards Inn Hempstead , although bit way , well worth . definitely return Rubens next visit London . since recommend hotel several friend also not disappoint . 
 Sep 10 2006 	 weekend ruben 	 stay ruben august bank holiday . live expectation , wonderful weekend could'nt praise staff highly . old fashioned typically english bit tlc would highly recommend ruben . 
 Sep 5 2006 	 Pleasant Stay Rubens ! 	 arrive Rubens August 8 two night whirlwind tour London . research London hotel thoroughly book stay Rubens . let say , definetly disappointed ! little concerned other post size room . however , size room issue least . double twin room plenty room . room beautifully decorate classic english style . bathroom especially nice also plenty room . do eat Ruben 's restaurant . plenty restaurant nearby . crave american fast food , not forget fast food restaurant Victoria Station . you stay rubens never worry take taxi , Underground , city bus get tourist attraction . arrive Victoria Station Terravision bus Stanstead Airport . walk 3 - 4 block hotel take Hop - on - hop - off bus pick Grosvenor Park ( directly across Victoria Station ) . many attraction within walk distance . all staff encounter Rubens extremely nice attentive . front desk , concierge , doorman , even maintenance staff ( arrive door within 5 minute report light bulb blow ) pleasant . to sum thing , look forward return London someday time spend . DEFINETLY stay Rubens . 
 Aug 30 2006 	 Rubens place stay ! ! ! ! 	 return european vacation London , stay Rubens . hotel fantastic ! although , room small , one reviewer indicate , clean well maintain . hotel great location ( short walk Buckingham Palace Victoria Station ) . staff extremely attentive , courteous helpful . hat 's folk front desk , folk clean . need something right away -- within minute . regard food , hear british food bland , Rubens , much well expect . hotel may 4 - star rating , much well 5 - star hear . wish could give 5th star ! 
 Aug 28 2006 	 Golden Wedding Celebration 	 gift parent celebrate Golden Wedding Anniversary , book Rubens 3 night . wonderful time touch personal care attention receive , make feel welcome special . love everything hotel room ( superior double ) , decor lounge , breakfast , evening meal Old Masters , location , view mew ..... , organiser payer bill , find staff efficient helpful able accommodate everything ask . would strongly reccommend hotel would not mind stay ! thank Dave , John , Soliman , Nathan , Michael particular . June , Leeds , UK 
 Aug 27 2006 	 love british experience immensely ! 	 recently spend night Rubens Hotel husband thoroughly enjoy . choose Rubens meet requirement -- thoroughly british hotel centrally locate . goal get sightseeing short amount time experience hotel decorate 100 percent English decor . base criterion , ruben perfect fit . arrive bus Victoria station please hotel short walk . love decor hotel old english painting authentic furniture . seem appropriate location near Buckingham Palace right across street . room small , tastefully decorate bed comfortable . think bathroom nice modern , love designer soap . nice tea service hide armoire well , pleasant surprise . I search long time find book agent would include breakfast room rate want experience . glad continental English breakfast elaborate something never forget . include rarity many kind fresh berry unusual kind seed mueslix cereal . wait staff extremely efficient attentive head waiter lovely gentleman . negative encounter slow check procedure slow housekeeping . computer seem slow . however , go flow get upset . desk staff manager friendly apologetic . end , upgrade room deluxe double view Mews happy . the restaurant expensive many restaurant street . find nice healthy sandwich shop also enjoy Fish Chips Shakespeare Pub nearby . if stay , try get rate include breakfast prepared slow check take ride hop -hop bus wait room become available . bus stop right nearby , see major site quick manner . would definitely go back love . feel like get experience authentic nice slice british life 24 hrs . 
 Aug 19 2006 	 Lock Valuables 	 spend 5 day ruben lot positive : lovely decor location can not beat . within walking distance Victoria Station hop on / hop bus busline run nearby . short walk Buckingham Palace Mews . bad : room tiny , even european standard . totally unpack relieve room congestion option wardrobe drawer block desk . tub / shower incredibly slippery , even provide bathmat , tub surround leave high ground climbing adventure . several we slip fall either tub climbing . eat hotel twice food overprice simply average . enjoy late drink snack Cavalry bar , , overprice . I surprise little information desk could provide we dining facility , let alone recommend nearby restaurant . concierge guide book similar thumbed fin good indian restaurant . the bad experience , however , first day . son - in - law leave Balckberry coat pocket hang coat back chair . go dinner , return , find Backberry missing . staff make followup whatsoever . ask every day time act like never file report . obviously number people access room small 2 hour window , see evidence staff anything retrieve Balcberry . stay , lock everything ! 
 Aug 16 2006 	 nice hotel good breakfast ! 	 stay teh Rubens 4 night July . staff nice , room small Europe comfortable . robe slipper supply . elevator slow be o.k . stair . the breakfast well one month european trip . even provide selection organic product ! location good . close Victoria Station . Buckingham Palace , Queen 's Gallery Mew across street . rubens pleasant surprise ! 
 Aug 2 2006 	 overprice 	 fine air condition great William concierge could not nicer .... book breakfast include upon checkout , charge we $ 70 day -- young son 2 bite potato certainly not worth $ 35 day ! complain removed breakfast charge . I read comment not disagree -- pay $ 400 night price underwhelme -- - $ 150 night , would great . 
 Jul 28 2006 	 extraordinary ! 	 hotel delightful . disasterous one - night experience another hotel check Rubens Palace week think heaven . begin ? staff top - notch , friendly , extremely efficient , entire place spotlessly clean , room nicely furnish well - equip amenity would expect . arrive London heat - wave , please air conditioning room well throughout hotel make comfortable . rubens English , not miss wonderful afternoon tea . John Bar Manager go way accomodate we , William Front Desk courteous , helpful , professional . location great , around corner Buckingham Palace , within easy walk distance Victoria Station many shop restaurant . London expensive city sure get back , will sure stay Rubens ! 
 Jul 27 2006 	 everything expect . 	 daughter Rubens 7 night . previous review go small room . find room standard London hotel size - small North America pose problem we . comfortable ample room move around . room clean beautifully every day bathroom spotless . room service two occasion prompt efficient . breakfast amazing impeccable service dining room staff . reception staff efficient well . hotel good location - close Victoria station road Buckingham Palace . we amazing stay could not ask . felt get great value money . would definitely stay would recommend Rubens . 
 Jul 16 2006 	 Excellent stay 	 return 2 night stay Rubens . get good deal , £ 119 night superior room incl full breakfast bottle champagne ( prompt champagne come problem ) .The room decent size , clean , nice decor bathroom view Royal Mews . Soundproof , well stocked bathrobe , slipper , plenty storage . tv reception abit fuzzy not really watch tv ! staff lovely , friendly , stuffy , excellent service smile . breakast really nice full English , healthy organic thing , lot choice fruit fruit juice . not place go can not stand Royalty otherwise fab stay ! 
 Jul 11 2006 	 Loved Rubens Palace London . 	 spend night pre - cruise Rubens Palace Hotel near Buckingham Palace London . AAA agent find , $ 188 , taxis night , would highly recommend . typical small european room , nicely decorate ... breakfast pricey need , find small restaurant 2 minute street ample offering reasonable price . close Victoria Station street Buckingham Palace gate . concierge helpful , lobby staff . 
 Jul 10 2006 	 Excellent hotel ! 	 Rubens Excellent hotel ! ! first let say particular hotel spend great deal time research hotel stay London . positive review TripAdvisor turn true . ignore negative one . stay Rubens 5 night 2 room ( one King one Twin ) . location excellent ... across street Buckingham Palace , block Victoria station , within walk distance lot sight . hotel maticulously maintain . room plenty big enough actually good size european standard . stay much small room . room decorate quaint english style really nice . yes , floor creak little add ambiance room . elevator small , 2 , anyway , care . lobby , bar , 2 restaurant beautifully decorate . chance eat casual lunch afternoon tea room area dinner restaurant . one offer excellent buffet lot food variety include desert . first class dining experience . breakfast buffet also good choice . eat hotel expensive , primarily due almost 2 dollar 1 pound exchange rate . hotel staff friendly attentive every need . bottom line Rubens trully great value price . would definitely stay recommend without reservation . 
