Nov 	 love 	 love ! great ! @ room large ball ! 
 oct 9 2006 	 great location great value 	 Stayed Embassy Suites Downtown 5 night attend business conference . location fantastic , need rent car make hotel without one ( take airport shuttle taxi ) . everything walk distance , great restaurant close , safe area . front desk manage find free King suite upon request check , since reserve double mistake . room keep clean , bed comfortable , absolutely problem room . extra value daily breakfast manager 's reception . even line seem long breakfast , move quickly , always table available time need one . nightly happy hour nice change 12 dollar drink pay area restaurant , take advantage be inclined . premium brand , hey , be free . also nice greet upon return hotel evening friendly , & quot ; welcome Home ! & quot ; porter . seem make effort friendly warm . would use hotel . 
 Oct 3 2006 	 Liked staying area 	 find property decent value great neighborhood . emotional attachment Palmer House , cheap , , course , free breakfast , free drink plenty space . everything pretty well manage maintain . really like stay part town ... feel little scary part loop dark , feel safe walk around area . selection restaurant well , . 
 Aug 28 2006 	 nice hotel right middle downtown action . 	 stay Embassy Suites Downtown one night . nice place , one cheap could find right middle downtown . thing not like parking situation . hassle get garage w/ traffic , valet nice finally make . issue ready leave wait get car outside lot – car ' always stay garage . room nice clean . staff friendly ( exception front desk person ) . ' take advantage Manager ' Reception , complementary breakfast next morning include omelet bar . yum ! recommend hotel want nice room cheap rate downtown , right middle action ! 
 Aug 26 2006 	 Downtown Chicago Embassy Sweet 	 good place stay Chicago ! location excellent , couple block away Michigan Avenue great restaurant . staff knowledgeable friendly . hesitate ask question . especially enjoy manager 's reception , feature free drink snack 5:30 7:30 every evening . ( snack soft pretzel , taco , hush puppy night stay , chip pretzel also serve night . ) people complain selection , speed able get free drink ... 's free drink CHICAGO ( something complain book ) . able get drink want , many want , within 2 hour . bartender also friendly . the breakfast decent enough . french toast , bacon , sausage , egg plentiful hot breakfast day . bagel , toast , cereal , milk , great orange juice , passable coffee round daily breakfast offering . would recommend peaceful early breakfast ( around 7 am ) instead join chaotic rush around 9am . I definitely stay next trip Chicago . 's tip : park 10 buck cheap per night lot around corner hotel Ohio ( quick leave State Street ) actual hotel lot locate State Street . 
 Aug 14 2006 	 could not ask well hotel ! 	 go spend 5 day friend , child . great place ! staff helpful , free breakfast manager reception excellent , could not ask well value . drawback swimming pool 4 ' deep , not bother 9 year old . great time anyway . room clean well maintain . 
 Jul 14 2006 	 Great Place 	 get really nice rate Priceline spend weekend place . breakfast second none , really like lobby set . PERFECT LOCATION . walk distance everywhere . people write review criticize noise , 13th floor not notice . withe walk distance mile many attraction . want hit Sears Tower , also recommend walk ( kind hike lot see ) . great hotel , many . 
 Jul 7 2006 	 nice time 	 stay July 3 , 2006 2 kid . location close everything . able walk Rock N Roll McDonalds , Rainforest , Hardrock , Ed Devebicks ( sp ? ) . also catch sightseeing bus Mcdonalds . walk shop Michigan Avenue . subway station also nearby take Millenium Park Grant Park Taste Chicago . the staff friendly . 2 hour cocktail reception breakfast include . plenty seating . love extra space room . park parking garage not problem . the lobby area really pretty cascade waterfall . the complaint kid say pool small . 
 Jun 29 2006 	 Excellent Family Hotel 	 family stay five night great experience . staff friendly helpful . concierge helpful give good advice . place family friendly . breakfast evening reception , fancy , quite wecome make hotel good value family . the location great - restaurant grocer nearby . Michigan Ave . couple block away . train block street . Sun - We d great , line . start Thursday get little crowded pool get bit rowdy . otherwise , complaint . all , great place day city kid . 
 May 10 2006 	 Great Honeymoon 	 honeymoon first moment arrive , treat well . suite top floor clean , comfortable , nicely appoint . clean state day staff . Gina Richard concierge outstanding give we several excellent suggesion dinner Bella Luna Grande Lux Cafe . awesome . Richard also get we book Pennisula Hotel Spa short notice wonderful couple massage . the Hotel perfectly locate block Michigan avenue . surround many , many resturant bar . the one item less perfect airconditione unit cool room quickly . 
 May 9 2006 	 two night Embassay Suites 	 Nice hotel , excellent location . request late check , may explain back corner room face parking garage . bit noisy bad . room clean , prisitne , clean . bed comfortable . Breakfast include nice touch cafeteria fare , bland coffee ! ! manager reception nice , cocktail good , staff friendly , hor doerve minimal frozen . still nice place grab drink dinner . front end staff accomodate , door man pleasant . Maid service congenial . all , would stay , basically nice place stay top way . 
 Apr 19 2006 	 highly recommend 	 stay group 7 woman everyone we would recommend . location fantastic shop , bar restaurant right doorstep . room clean every day , towel replace great . Breakfast include offer good selection . really appreciate Managers Reception every evening , shocked find drink free 2 hour ! ! ! staff friendly always willing help . fault hotel would leisure facility . pool quite small one occasion get jacuzzi friend child jump constantly really annoy we . however not stop we enjoy , would definitely stay return Chicago . 
 Feb 26 2006 	 great stay 	 stay hotel many time . good stay far . service excellent ... friendly staff . great happy hour breakfast . highly recommend hotel . also great meal across street Weber Grill . 
 Jan 22 2006 	 Embassy Suites State - great 	 especially appreciate helpfulness Titus , Food Service Manager , Richard , concierge . would definitely come back stay hotel , great staff , location service . 
 Dec 12 2005 	 good family hotel 	 teenage daughter stay July 2005 . hotel block subway station ( ride train Midway ) close bus route go Navy Pier ( good nighttime ) . able walk everywhere . Michigan Ave 3 block . starbuck nice grocery store across street . many restaurant within block - ESPN Zone , Hard Rock Cafe , Pizzeria Uno , Weber Grill quite other . room standard Embassy Suite . clean non - smoking king bed comfortable . ask room away street view adjacent parking garage room quiet . hotel midweek lot noisy kid . eat breakfast crowd separate seat area young child small furniture , cartoon big screen kid - friendly cereal . concierge , front desk doorman helpful . internet access overprice . refrigerator fill expensive minibar item . we take go grocery instead . pool small . mostly kid use . 
 Sep 10 2005 	 Good Location Okay Hotel 	 hotel good location room nice ; service fine . far many kid run around weekend -- mean run . include breakfast , food marginal . full breakfast , serve unattractive manner . much selection bread front . food attach restaurant great , though . probably great place weekend family young kid , situation . primarily business stay weekend . much quiet week . guy work garage nice helpful . 
 Jul 11 2005 	 stay hotel ever year 	 every July travel Chicago shopping attraction . hotel first Chicago . everything need comfortable trip cook order breakfast manager reception , place favorite . see July . 
 Jun 15 2005 	 problem Parking 	 go Chicago go Cubs - Red Sox game stayed call stafff stated block form public transportation . know well try drive Wrigley Field . allow leave car hotel parking lot 4 hour checkout , without pay $ 28.00 per hour parking fee . disappointed hotel would accomodate request . otherwise experience fine would recommend hotel stay . 
 Apr 19 2005 	 great location nice staff 	 arrive early hotel greet nice doorman . advise we keep car flasher check hotel . front desk staff average , basically ask form payment give we room key . room rate include parking . drive parking garage ( next door ) give valet key . purchase parking room , sure tell valet . hotel give voucher kind . valet nice walk right hotel . garage heat look clean valet garage . our room look State Street . hear El night time , good light sleeper . room paper thin ! hear neighbor 's alarm go 6:00am morning . since property pool , get alot child run hallway . bit distract , nearly enough kid would yell parent sit atrium . hotel fault -- parent need watch child bite respect hotel guest . breakfast average . learn one imporant thing- egg look glossy- do not eat ! egg taste like rubber Saturday alot well Sunday . pancake , sausage , bacon good nonetheless . staff take extra care make sure buffet full hot food .... hasbrown , egg , toast , pancake , sausage bacon . wait staff always clean table someone leave . impressed weekend get busy . leave clean table next guest . aslo great job keep atrium clean & quot ; mad rush breakfast & quot ; hour . everyday manager reception . nice sit atrium enjoy nice glass wine look waterfall . atrium splendid ! el station far , next block . town Cubs game . get EL Red line Howard , get Addison . ride far either . know game , vice versa come home . beat we sit traffic , hail cab . EL employee station accomodate , well get everyone though line safe fast . over expericence average Embassy Suites . light sleeper , try ask room away State Street . downtown Chicago can not help hear horn , emergency vehicle El noise less desire of . location 3 block Michigan Ave . okay- eat Cheesecake Factory near John Handcock tower need brisk walk . love Chicago sure return soon . 
 Mar 17 2005 	 great place stay ! 	 return week stay Embassy Suites Downtown . pleased service , employee , room , really everything ! breakfast really good . notice arrive late morning line little long early riser , not problem . atrium eat really light beautiful waterfall run water - pleasant . attend evening # # # # # # # # time . fine , though be much alcohol usually busy something else Chicago love . conceirge really helpful get we priority seat Cheesecake Factory Saturday night wait 10 minute - fantastic ! doorman remember we would return fun teenage daughter . room clean 3 sink great . minus bed pretty hard uncomfortable . location big plus . close El , 3 block Michigan Ave . 11th floor look toward lake beautiful view ! would definitely stay . 
 Dec 25 2004 	 good deal . 	 hotel great location , room nice , presume room suite ? ( per title ) . room two room , two tv 's small dining table , four chair couch . room ( importantly bed ) comfortable . the good deal though happy hour , thought would involve two one drink 5 - 7.30 pm , perfect want party Chicago , not get wrong big control party full rowdy type great want drink hit town evening versus pay Chicago price night . the breakfast morning standard good . all take advantage hapopy hour breakfast good value package . 
 Oct 27 2004 	 Great Choice 	 Embassy Suites State Ohio Chicago great choice we . initial welcome doorman front desk staffer maid bartender evening cocktail party waiter breakfast , everyone seem go way make we feel welcome guest . suite corner thus not usual corridor window - plus we . suite look like redo everything tip top condition . area great restaurant nearby include Weber Grill across street . three block walk Michigan give we chance see lot shop restaurant . initially consider one small botique hotel like Whitehall Tremont , happy select Embassy Suites five night stay . can not say enough good thing hotel . 
 Sep 21 2004 	 great location ! Great Staff 	 stay early Aug. 2004.the location near subway big plus . starbuck right another big plus . staff accommodate , especially arrive early stay late , let we check bag desk . comfy bed . I recommend ask room right front elevator - it be noise . big complaint stairway seem emergency use . not want wait elevator , happy use stair , lock . ask desk , said & quot ; oh , sorry , be lock & quot ; . 
 Jul 31 2004 	 stay Better Embassy Suites 	 stay July 26 - 30 2004 . location perfect downtown attraction . within walking distance ESPN Zone , Shopping , Navy Pier . lobby nice staff welcoming . stay 7th floor end . nice 2 different view look outside . room outdate . ventilation bathroom room feel damp humid time . clothe even damp feeling . bathtub crack chipping . bed comfortable ( cheap mattress ) . manager reception dissappointing . beer ! ! 's hold middle attrium kid run around . breakfast awful . 4 morning never hot breakfast . eat cook order breakfast . nothing cook order . everything cold . thing hot coffee . $ 200 + night hotel . worth . stay much well Embassy Suites . would go back . 
 Jul 25 2004 	 Hotel need updating 	 stay Embassy Suites hotel past use think nice place stay . time travel mother look forward another good experience Embassy Suites town . unfortunately , disappointed . the room , especially plumbing , show age bit run - down . mildew growth shower drain one sink . faucet old somewhat damage need replacement . free breakfast budget - white - bread barely appetizing . room okay - nothing special price . we pay $ 200.00 / night . read somewhere hotel & quot ; recently update & quot ; . stay 6 year ago , honestly say hotel update . fact , hotel decline need makeover . ( especially bathroom ) look new place stay next time travel Chicago , bummer love location . 
 Jul 23 2004 	 great location room average 	 location good , hotel show age . carpet main hallway nice , room furniture show wear . pay $ 200 / night , would expect well decor . pool tiny . the breakfast probably bad Embassy suite stay . there room improvement ! ! ! ! 
 Jul 5 2004 	 ` ` good time '' 	 Embassy Suites fulfil realtor cry & quot ; Location - Location - Location & quot ; check 3rd 4th July , 2004 , easy walk Grant Park Taste Chicago , later , short walk near - by Navy Pier view firework . try get room winter , season subscriber Chicago Symphony , many interesting place also nearby , include North Michigan Avenue , Art Institute , ETC . would go New York London beat week - end get - away . staff nice job , price reasonable , give good quality . college age daughter sleep adjoining room hide - away couch , family large two , sure beat rent second room . highly recommend . 
 Jun 28 2004 	 generally good lodging lot kid run around 	 complete six night stay Embassy Suites Lakefront Chicago . find other mention , expect lot kid run around . we present problem attempt use swimming pool lap swimming . unfortunate one reason make reservation specific location . kid unsupervisie make game get way . never time could use pool without encounter unsupervised child drop pool parent . the morning breakfast fine . could select either buffet line go otherside atrium breakfast make order . do quickly . evening drink snack exactly , nothing fancy bad . without exception staff solicitious , helpful , efficient . room arrange particularly quiet sleeping . remember close door bedroom . I would recommend lodge traveler prefer avoid abundance young child . family kid , location close Navy Pier , could place . 
 Jun 2 2004 	 Decent hotel 
 May 30 2004 	 love make order breakfast 
 Apr 14 2004 	 Great Value 
 Mar 15 2004 	 Best Value Town ! 
 Sep 14 2003 	 Wonderful Hotel - Loved Stay 
 Aug 23 2003 	 Kid / Parent Friendly ! ! 
 Aug 18 2003 	 Rowdy group destroy stay 
 Aug 10 2003 	 Downtown Chicago Awesome 
 Jun 11 2003 	 great family 
 May 6 2003 	 favorite Chicago 
 May 6 2003 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
