Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Jun 5 2008 	 Clean Room 	 bit scared booking reading review , room fine , yes 's average , guess use stay Wynn Bellagio would not meet expectation . clean , average room , bed clean bathroom . room ready arrive 2 hour early upgrade we standard ocean view tower without problem free . also 100.00 promotion go sort joke , not win anything promotional machine , hey , fun money anyway . walk strip bad , maybe 6 7 minute , not hike mile mile casino find room . think complaint work vend machine hard come ( store right downstairs ) leave window open smell like chicken wing . think would stay next trip be still around . 
 Jun 3 2008 	 bad thought have 	 find place hotels.com $ 29.00 night . price , thought & quot ; ? & quot ; first impression ... bad valet service . wait 15 minute come take key , be not like valet busy , one wait car park . check , go room 6th floor ocean view tower . hallway smell kinda bad , musty like . room be not bad . bed comfy , room pretty clean , decorate tacky cute hooter decor . ( like beach florida type theme ) two coplaint room air conditioning noisy , MOLD shower curtain liner . complaint pool area ... nice pool area , really cool look pool bar . ( 3 day end may ) weather hot ( mid-90s ) pool bar never opened.all , bad go sleep room vegas wake hour . 
 Jun 2 2008 	 dump 	 room unmitigated dump . carpet polka dot cigarette burn something white . not want know . wall paper thin . folk next door loud , could hear every word . noise hallway garage come right . light come connect door bright enough require put pillow head get sleep . one point think , & quot ; least bathroom clean . & quot ; summary inspection prove wrong . floor dirty . faucet tub leak long , rust metal part it . service ? service ? tell hotel sell will not around long . loss . 
 May 30 2008 	 Pleasant surprise 	 & quot ; Hooters hotel ? & quot ; usual comment response , & quot ; stay Las Vegas ? & quot ; yes , pleasantly fulfil need short stay Vegas . arrive late evening promptly check . tell non - smoking king not available , could non - smoking dbl change king next night wish . not really matter stay dbl . room clean nicely appoint knotty pine beach look . nice toiletry bathroom , generic hotel soap shampoo , two luggage rack . ( many time hotel one person get luggage rack one end put stuff floor ? ) plus : * concierge - type guy helpful info transportation * on - site restaurant open 24 hrs * Players Club kind offer promos ( take advantage ) * 's block Strip bloody reasonable rate ! * end Strip , not construction noise . minus : * airport shuttle p / u stop . walk next door Tropicana pick . * room service not come . order hamburger 3 wait 40 minute 20 minute delivery . never show . bad customer service [ ok long run . reeaally need sleep tequila beer drank celebrate concert would see bud : - ) ] .overall nice stay . would recommend Hooters anyone 's look hotel reasonable rate not need fountain light show front . clean , quiet everything need . 
 May 27 2008 	 blast ! 	 go Vegas feb . strip sighne Hooters Rewards Program , come home recieve mail hooter invite we stay 2 free night , book trip May ! staff super friendly , arrive early available room ready we ! room clean super cozy king size bed ! hooter also give husband free ticket Bobby Slayton ( weak ) , really enjoy show would see ! BlackJack Tables allot fun hooter girl friendly ! side Hooters Dan Marinos , eat else whare ! 
 May 26 2008 	 Clean Comfortable 	 book Hooters Casino Hotel price location ( south strip , car need ) , reasonable review Unofficial Guide Las Vegas Tripadvisor . no - frill establishment , room clean , bed comfortable . problem room ready 4PM promise . room sufficient need ; spend day elsewhere return sleep . good choice look basic inexpensive accommodation . 
 May 23 2008 	 Ok price 	 boyfriend stay Hooters basically willing accept anything awesome price . price good figure room sleep aere . problem seem outweight good pretty easy go person . AC Hooters sooo loud clanky . keep we night . secondly , one ever win slot . thirdly , carpet absolutely horrible room hallway . time even smell vomit . YuckService Dan Marinos Hooters suck ! food great , , time wait least 10 minute table even get acknowledge . owl card- wow .... joke ! reason never really able tell get comp far point go . earn 20 point get 10 cash reward . cash we without tell we loose accumulate point get owl perk . even 100.00 slot play advertise place . problem area rope restricted play 100.00 . 8 machine one ever pay . see comidian Bobby Slaton awesome Owl card pay show . watch drink price though ! order 1 captain diet second one double . price ....... 27.00 ! needless say , spend lot time MGM right across street fun ! would say hotel really need work customer satisfaction . likely back . 
 May 18 2008 	 hooter awesome ! ! 	 husband stay love ! yes old property need bit TLC price awesome ! property clean , staff friendly ! love hooter theme restaurant great ! shame go to go ! love ! ! 
 May 12 2008 	 ok stay . 	 arrive hotel noon . chick desk act like problem try check early make clear room would available 4 pm ( fine ) . give card say rate $ 59 . book $ 49 since receipt show ( call hotel book phone early week ) stick pay extra $ 10 . big deal . come back 3:30pm room ready . hotel room big bed comfy . dry paint split floor bathroom sink carpet dirty . open window great view south strip . window gross though . bad part room A / C unit . old dirt turn make horrible grind noise . laugh everything wrong hotel though knew go tacky . a / c really pain though try sleep . slept turn vent not make noise hit COOL button . Lo behold middle night somehow COOL come ( one touch ) grind noise would not stop literally could get unit go . push button several time nothing . stay , even leave check still on . the staff act like go way not . none nice Hooters either , believe look . $ 300 slot play get not worth . be allow play designate machine . also check 10am housekeeping come let know . knock door 8:45am ask need help get thing together check out . this hotel ok be really tight budget ( spend extra $ 20 night get cheap room Excalibur ) . would not stay quite frankly , ' m glad place getting sell close . 
 May 9 2008 	 thing know 	 place cool go make sure get owl card ( be free ) list free goody get hooters1 : six pack beer2 : two one dinner coupon3 : 300.00 free slot play.4 : 4 free show tickets5 : free stay hotel . 4 night dec . 2007free stay 3 night memorial day weekend 2008not bad , not think . 
 May 4 2008 	 wow ... worst . food . ever . 	 ' m write review comment Dan Marino 's restaurant . stop shortly midnight 25 cent Hooter 's wing special . big fan Hooter 's wing , order 20 expect great late - night meal . wrong ! wing arrive pale , sickly look . drench grease minimal breading . top , almost cold . guy devour almost anything matter taste like , figure not really matter would taste like long fill . well , first bite almost vomit mouth . keep mind never turn meal picky eater . taste wing indescribable ... something along line 2 week old dead roadkill ( perhaps possum ) drench greasy raw sewage . Disgusting . crazy thing actually able eat 3 half - hour . place bet eat 20 , would bad odd Vegas . everyone table identical experience . total , order 80 wing eat 6 . want start anything , pay bill get heck . short trip street McDonalds heaven ... taste like 5 star restaurant comparison . swear Hooter 's completely point . never eat . think cause get lump throat . literally bad food ever eat 30 year planet . 
 Apr 29 2008 	 LOVED Hooters ! ! 	 boyfriend stay weekendand LOVED room . read bad review little nervous going room , nice room stay month ago Luxor . bed super comfy , room spacious . downfall maid service come around every morning knock ask want room clean , even disturb sign . everyone super friendly great deal food . even end stay extra night ! ! 
 Apr 24 2008 	 Hooters awesome 	 5 mate get back 6 night vegas stay Hooters - awesome . read review bit worried need not . pool , casino food good . girl obviously lovely everyone really polite . great stay definatley go back . go friend definate , couple - depend like . family really no . there good mix male female surprising good see . thoroughly enjoy . 
 Apr 20 2008 	 Loved Hooters 	 stay Hooters April 14 - 19 , 2008 . really not sure expect room , casino love . check early find room us hour check - in . second floor oceanview tower , king size bed . far standard room , spacious . bed super comfy , feel like melt ! downside room bathroom , big tub , kind dark . as far gambling go , dealer pleasant . always cocktail waitress nearby . eat hooter 3 time ! course , love wing . all , would stay heartbeat . 
 Apr 19 2008 	 like disgusting college dormatory 	 right accross MGM would expect least average accomodation . check tell & quot ; bungalow & quot ; room . actually mean stuck run seperate wing along side pool area . first thing notice security guard everywhere . enter building notice disgusting stained carpet throughout hallway . wall dingy dirty . get room see door not really fit doorframe . deadbolt strenuously manipulate . humble view loud parking lot 2nd floor patio door bolt shut . obvious Hooter 's concerned appearance condition accomodation . be look clean comfort feel security stay away ! ! 
 Apr 7 2008 	 bad stay Las Vegas 	 stay Hooters Hotel Casino April 2008 bad hotel visit Las Vegas . hotel room bed mattress bed bug , bathroom dirty upon check , sink bathroom clog , internet work . upon complain front desk take hour maintenance staff show . would definitely recommend hotel anyone else . 
 Apr 6 2008 	 impressed 	 less comfortable experience . hotel ok however obviously remodel old hotel , see old air condtione unit . carpet room dirty hallway cigarette burn stain . one thing annnoye overalll experience would beeen 3 star otherwise . would expect high degree cleanliness pay . the restaurant sub standard , breakfast Dan Marinos be cheap less would expect . although go fruit option ok . service slow . also hooter restaurant substandard long delay inaccurate order deliver . I would recommed hotel really want 2 star service 2 star price . location good strip . warn . 
 Apr 2 2008 	 Family stay - nice heated pool comfy bed 	 upset property thru bid Priceline ( $ 52 + fee ) one night prior morning flight LAS , worry would appropriate family . however , least Monday night stay , property quiet . downside : 1 ) smoky registration area casino 2 ) walk casino luggage get elevators3 ) could hear guest open closing door , make child awake fear someone enter room4 ) sink bathroom make get ready chore four people , altho vanity area light wall mount mirror use grooming.5 ) lumpy pillows6 ) stain carpet , bit mildew showerThe plusses:1 ) nicely decorate pool area waterfall large hot tub 2 ) soft sheet soft mattress 
 Apr 2 2008 	 much fun - make point find Manny Bartender ! 	 fellow Vegas lover : read review somewhat skeptical , find Hooters knock drag BLAST . 13th trip LV will definately stay . travel ton , be look Hotel Bellagio Lite , not . however , want mix island + LV - place . our first room near dumpster empty 5 am - wake call - haha - ask room change receive one without much hassle , though not ready later day , desk staff change room fantastic really funny . entire staff friendly , fun , unlike place actually seem enjoy make sincere effort make guest feel welcome -- sorry , Harrah 's - 're & quot ; scripting & quot ; employee fall short , would rather get & quot ; HEY ! be back ! & quot ; end fun day fake scripted & quot ; Hello Mrs. Decker , day , Mrs. Decker , assist , Mrs. Decker & quot ; day . ( background hospitality work Casino gaming 9 year ... ) two must : one - find Manny -- 's one male bartender - worth visit right . be tired LV bartender not know actually tend bar ( i.e . scan bar , remember drink , make feel like be regular local watering hole ) - 's guy ! ' m sure could dog pony show toss bottle flame drink , be interested make sure feel welcome swap good story two . go say hey Manny , leave nice tip , chill bit gambling round . Second must : hang day time dice crew - folk property decade . real dealer know game , funny lingo , run perfect pace table . will not feel hurried feel like nap roll . also unlike house sweat money - crew box congratulate winner , real enthusiasm cheer also give new player good bet information overly gracious tip put line odd ( not cheap folk , be go put crew line , play odd ) regularly engage player fun conversation , talk March Madness , inquire whether people fun . huh . seem & quot ; get & quot ; , not ? ? ? blackjack dealer & quot ; could not lose & quot ; - personality repeat yell floor & quot ; get & quot ; hilarious . know place run well floor came start yelling & quot ; Bust , come dealer , bust & quot ; . funny . overall service fantastic , beverage service probably good Vegas - personal , speedy , tip receive real gratitude . note , bartender encounter make great bloody mary - big deal we ! be rate player somewhere else tired feeling like number play not appreciate , call Faye , one host , consider give Hooters business . woman , honestly attest fact & quot ; Rack Pack & quot ; brilliant marketing - funny - lady , ' m sure , lovely look , also great attitude treat player - regardless gender tipping level like king queen . yes , $ 5 table game . & quot ; light & quot ; roulette table cool , dealer game encoutere teriffic . think overall good thing hooter people fun great energy casino time . people 80 be sit next college kid everyone fun . even though & quot ; spring break & quot ; season not feel though & quot ; frat & quot ; atmosphere , extremely personable interactive Security Staff - especially pool - make huge effort interact everyone develop relationship one guest go little & quot ; line & quot ; humor tease back good behavior . , summary , give try . be look fun place not take seriously understand 's overall experience much win / lose statement may ' ve look ! 
 Mar 31 2008 	 great ` ` okie '' other 	 get back hooter yesterday great time . review couple day ago , Okie beautiful Kari ( mention often great ) compliment smile right away ( need stereotype people Oklahoma : ) see , tell hi Oklahoma guy & quot ; nice tooth & quot ; .The casino small far fun . ' ve Vegas 7 time stay strip place alive day . hooter dealer awesome ( David Lito crap table ) girl great . 80 % ritzy casino dealer seem try kill mood force unhappily lose money . hooter , throw dice 5 hour Friday Saturday , blast . also nice fact help not experience get drunk : ) Sports Book - really fun really easy get drink free .. play video poker . small close early , remember early flight . may get cash ticket . the room ok , compare Hampton Inn type place . room 5 hour night , not go . smell fine , good pool view ( Bay Tower ) keep clean . pool area alway happen bar ( scenery behind bar ) great . I probably would ' ve go 5 star food well available . hooter restaurant always packed . not know people not eat local Hooters , eat one . choice Dan Marino 's decent breakfast , $ 50 dinner will disappoint ( unless love unlimited baby back rib , be luck $ 16.95 ) .once , need Bellagio venetian glitz , stay . want good time down - to - earth people , hooter great . plus , still actually comp meal something play 4 - 5 hour casino . hear change ownership theme soon , pay attention . hope help ... Book Fun ! 
 Mar 30 2008 		 Las Vegas March Madness know would spend lot time Hotel . Hooter 's meet need perfectly ! ! travel alone various friend come game . buddy stay Luxor , MGM , NY NY close . stay 3 plus Rio Bally 's past Vegas excursion . I honestly say stay Hooter 's probably pleasant stay Las Vegas . since , need minimal surpass . probably would not stay travel wife , experience would . location great - 5 minute walk be Tropicana / Las Vegas BLVD intersection . 5 minute MGM monorail station . price pay insane close action . as property , presently surprised . check process snap extremely friendly staff . 5th floor room Bay View tower good view MGM / Monte Carlo - little balcony could stand let fresh air - something rare Vegas . past complaint old bathroom accurate - want posh bathroom - look elsewhere willing double price . use bathroom shower , dispose waste brush teeth - place suffice . room comfortable bed nice . place clean maid service prompt thorough . as rest place , not spend lot time casino . like crap one table go make hard get hot . spend time MGM Mandalay Bay gambling plan come . think dealer friendly gamble pretty lively . pool area pleasant quite spring breaker party area , everybody seem get along good time . eat lunch hooter twice dinner Marino 's twice issue either place . filet Marino 's rival Austin 's , Palm place would cost twice much . bottom line - experience great . would definitely recommend know be get . Ceasar 's , Mandalay Bay Bellagio . however , nice cheap plenty old property Strip . regret look like might hooter come next March be back basketball tournament . 
 Mar 28 2008 	 love ! 	 hooter great place stay be Vegas . buddy spring break , see fellow spring breaker stay , also meet family , old couple , business people stay . stay one tower room CLEAN COMFORTABLE . entire staff Hooters , host check - in , dealer wait staff , clean lady , friendly we . price great , unlike Vegas hotel , Hooters charge resort fee top regular room rate . the location ideal , one block strip right across street MGM Grand , also serve Monorail stop . eat Dan Marino 's also Hooters restaurant good food reasonable price . pool area nice , nothing like Mandalay Bay , also not pay Mandalay Bay price stay hooter ! ' ve Vegas time notice Hooters fun casino . dealer ( hooter girl ! ) friendly talkative . make time table fun entertaining , matter whether be win lose . ' ve play casino dealer impersonal . plus , Hooters big casino / hotel , not need walk mile room , play , cocktail server make way around much fast . this positive stay . definitely go ! 
 Mar 23 2008 	 lot fun agreat price 	 know 's first place think go Vegas . give try . really like location . strip really close not pay strip price . lot fun . clean room . great Price lot freebie . 
 Mar 14 2008 	 Perfect Okies ! 	 teeth Ozarks home away home ! place remind truck stop drive hope not break ! least , hooter good hot chicken wing right ? wrong ! cold bad tasting . the girl friendly seem bad mood . also , sorry say , good look work Hooters . the room dirty poorly decorate . mildew shower curtain . thank goodness stay one night ! 
 Mar 10 2008 	 great price 	 hotel close walking distance one popular strip intersection . room nicely lay nice size . bed pillow comfortable . decor fun beachy lot pine wood accent . room clean . put smoking room non - smoking full not smoker , room not smell like smoke . bathroom could use little update not bad , old . casino kind small fun atmosphere . would stay price . 
 Feb 28 2008 	 work 	 stay Hooters bachelor party Feb. 23 - 26th . get rate $ 65 / night average book knowing would spend little time room . mind will try include little tip trick find there . our room fantastically hideous orange green . bed advertise queen ( tell never confirm ) well full size . use bed probably 6 hour entire trip big deal we enjoy soft , big , comfortable bed place . view pool would great use . hot tub go strong 24/7.the casino small comparison nearby . however stay always find easy find table jump , minimum vary $ 5 - 10 BJ , Roulette , Craps . dealer friendly attractive . agree casino top one go term attractive , nice , flirtatious dealer . definitely make experience enjoyable . go make sure sit Kari Kellie deal , extremely fun play game with . we eat hotel , choose Dan Marino 's breakfast . buffet $ 8.95 , trick get decent meal we . buffet include egg , bacon , sausage , hash brown , fruit , cereal . biscuit gravy disappointing . attempt extremely late night / early morning visit back DM tell wait ( funny b / c noone place ) .Overall hotel meet need , gamble quite bit casino . we find slot pretty loose half come ahead casino . one last note Vegas couple year ago use & quot ; ticket 4 Tonite & quot ; service . basically offer show ticket half price day show . find time dinner golf green fee also available . plan play golf definitely check place ! not bring club sorely disappointed could ' ve get fantastic rate . also note Treasures package include dinner . entail $ 3 ( yes $ 3 ) get complimentary limo , cover charge , half price dinner . tell catch , not . dinner average , go somewhere else good steak dinner . look Fat Tuesdays around strip . 5 location ( one Planet Hollywood , one MGM ) offer several different size flavor frozen drink ( margarita , etc ) reasonable price . example choose 46 oz . margarita pay $ 11 one , refill $ 8 rest time . compare one drink $ 7 - 9 unless be gamble course , pay easily . slot - play quite find wheel fortune round gigantic wheel center far loose . play NYNY , PH , Monte Carlo , Flamingo , Palms every time hit least $ 50 . well worth ( note find machine max . bet set 15 credit 80 ) . Played Wizard Oz Top Gun extremely disappointed pay . last 5 minute max each . hooter Hotel / Casino thought would , book knowing be go get disappoint . close strip ( 5 min . walk MGM tram ) , good casino environment , cheap price . can not beat guy trip budget stay . want 3 star shell money stay one many different option ... 
 Feb 26 2008 	 Fun affordable 	 Booked web site , get $ 50 per night rate . think good true , not . even upgrade we tower room free , let we check early . dealer personable , drink service BEST VEGAS ! could not finish drink bring another . can not compare casino far decor frill , want good time lay back atmosphere , Hooters place . 
 Feb 25 2008 	 want 	 place want . do not want spend money would stay strip ( NY NY , Luxor , TI etc ) do not need room full work art ( Wynn , Bellagio etc ) . price great , book direct hotel location excellent . bathroom be not good I ve - old , mean small unclean - shower could better ? two restaurant good , expect , drink price cheap chip . bed comfortable room good size - anyway , Vegas , want spend much time room ? ? ? ? location ideal - across road MGM grand , next Tropicana - walk hotel door , walk two minute strip - excellent . would definatly use - oh hooter girl bonus well ! ! ! 
 Feb 24 2008 	 Impressed 	 Date : February 24 , 2008traveler minnesotai return day get away Las Vegas . choose Hooters Casino Hotel price also check review saw rate 3 star Hotel . originally give room 10th floor unimpressed along drain bathroom sink hardly drain , think fluke ask different room . 2nd room even bad . first thing want 2nd room give turn fan . lid flip adjust temp . crack fell hand . bathroom sink drain bit well , though still back , take shower next morning end stand water come within 2 - 3 inch top tub . call maintenance people ask fix drainage problem tub . & quot ; fix & quot ; do day take next shower , stand water & quot ; & quot ; ankle half way shin . also lightbulb bathroom entire time plastic tag floor door never vacuum up . I picky person hotel room water drainage problem over - all ick feel room , would never recommend hotel . would strongly suggest spending bit money well room well hotel . 
 Feb 22 2008 	 Perfect right traveler ( ) 	 try decide stay next visit Las Vegas , consider hooter reason ... 1 . stay Mirage / Treasure Island / Ceasars / Flamingo / Harrahs / Excalibur / Luxor / Hilton / Bally 's . gamble lot . although none group well gambling last trip , agree one thing , hooter friendly , fun casino ever , hand . opinion share wife . could hooter good job hiring , ( likely ) , dealer get keep tip . unlike casino & quot ; pool & quot ; tip , dealer get keep whatever tip he / she receive . casino , one good dealer typically follow 3 4 bad bad one . unfriendly distant many dealer casino always come across , Hooters . bad dealer Hooters fun 80 % dealer place . always like Harrahs becuase seem little high number happy , friendly dealer . hooter even blow away . guess & quot ; style & quot ; play treat dealer & quot ; adversary & quot ; , not care socializing , might care casino . however , like & quot ; play & quot ; play , Hooters casino you.2 . hooter right strip , share parking lot ( basically ) Tropicana , directly across street MGM . easy get anywhere want . taxi line never long , right across street monorail . hooter small casino , like huge casino ( get lose ! ) , Hooters . like small comfortable ( friendly , see # 1 ) , will like hooter . plus right next large casino Vegas ( MGM ) want change thing up.3 . hooter generally much less expensive big strip casino . get $ 400 night Venetian Suite Hooters ( $ 79 whatever ) , get nice , clean room comfortable bed . hooter upgrade we check nice room available . other group standard ( tower ) room clean comfortable , terribly fancy . sign wear , interior door close properly , sign depreciation , really , look problem . room view generally nice strip mountain , one room look pool , not nice February probably pretty awesome pool actually use . sit back strip , view generally obstruct monster strip ( one bad view ever upgrade Ceasars suite ) . would complain , however , manner Hooters place spotlight hotel face toward strip ( room ) , light come , little like police helicopter million watt spotlight hover outside window . think could reposition light indirectly shine guest room . however , big enough problem lessen overall enthusiasm property.3 . service generally friendly prompt . problem room safe day one , room 15 - 20 minute call . problem Vegas property take day take care . overall satisfied service hooters.4 . eat main Restaurants , Hooters Marinos . good steak Marinos , feel may lower quality ( price ? ) appeal broad array customer . quite quality dining experience hope . hooter hand Hooters . & quot ; Hooters regular & quot ; , probably Hooters 4 - 5 time life , wife one one time . seem pretty standard compare other ' ve . decent food , decent price , decent service.5 . group people age 23 - 48 , include man woman . everyone agree hotel casino meet exceed expectation , offer outstanding value . if casino exist young , imagine would go anywhere else . dealer & quot ; Hooters Girls & quot ; , include man woman button shirt . however , Hooters girl deal many case & quot ; model beautiful & quot ; . top friendliness , heterosexual single man ( probably many married one ) , really seventh heaven . place drunken slob disrespect employee ( plenty security ready help street ) , fun , behave , will blast . all Hooters employee , include & quot ; hottest & quot ; hooter girl , seem go way make wife feel comfortable . really good time . however , feel uncomfortable get cab Ceasars tell driver take Hooters ( work shopping ) . uncomfort probably exascerbate jerk respond & quot ; whoo - hoo ! & quot ; . know kind couple , & quot ; Hooters & quot ; name much ! conclusion , look fun , convenient , small , clean buy necessarily luxurious place stay Vegas , think 'd hard time find well choice value . Vegas & quot ; veteran & quot ; , half battle determine good & quot ; match & quot ; group & quot ; personality & quot ; . hooter pleasant surprise we . wherever end , remember , not take afford lose , great time ! ! 
 Feb 21 2008 	 close Mandalay Bay / Luxor end strip 	 get great price accommodation budget hotel need . overbook could get non smoking bungalow ( although book line ) . move next day . internet access end cost 30 % room rate . ribs restaurant good . mentalist show hooter blow mind away . worth see . 
 Feb 19 2008 	 dirty 	 dirty organize nasty stain last people . get clean . never stay customer service suck recommend stay ! thing half way decent lady 
 Feb 18 2008 	 get Pay 	 Buyer Beware- Hooters casino Hotel not be crack . 's really nothing glorify Motel 6 ! ! old San Remo get small make - over call Hooters . really long way go match competition . real party atmosphere day night . look , Hooters place . carpeting hallway patch ( repair not match ) , also problem bathroom drain . restaurant not great expensive . , spend buck stay elsewhere look real vegas experience , know next time visit vegas . 
 Feb 15 2008 	 much well expect 	 stay week Superbowl place quiet seven day stay . compare strip hotels casino brightly light little small cramp . really quiet table operation go elsewhere action . non - smoking room King size bed . clean , bed wonderfully comfortable great view strip distance . two restaurant , Hooters ( yuck ) Dan Marino 's 24 hour diner ( ok ) . service pretty good . Dam restaurant shut ago Porch Dogs part hooter winter . the strip 5 minute walk , MGM grand lobby directly across Tropicana Av . hotel feel little way monorail deuce bus allow easy access whole strip . for $ 39 day weekday $ 79 day weekend say excellent value money . south end strip save nearly £ 200 stay . full LV strip experience price ' m complain . 
 Feb 12 2008 	 $ 39.00 Night Poolside 	 visit Las Vegas last week mom birthday . stay hooter casino small , close strip , heck deal . find $ 39.00 night two double . stay BUNGALOWS . use SAN REMOS hotel , build probably 70 's 80 's . room clean , bed great ! bathroom obviously old , big deal . expect VENETIAN . room 164.we use key get build well back parking lot . it convenient car , casino . multiple elevator , hike hour leave something car . poolside , fire pit outside window . noise level little high hotel , age ... sign member card take , slow move line . worth . receive coupon book , $ 100.00 worth slot play free ticket see BOBBY SLAYTON & amp ; ROBERT DUCHAINE . ticket sell almost $ 40.00 person . the Hooters rest good . normally do not eat can not compare . Dan Marinos leave bit desire , slow service , consider midnight wing special advertised allover hotel . all .... great deal , complaint . 
 Feb 11 2008 	 Great Value 	 great experience Hooters hotel . 's luxurious , room clean , nicely decorate , great value location . think Hooters decor light wood orange refreshing change stay many drab , dark casino hotel . hooter attitude come across fun , sleazy . one tiny gripe though , sheet seem make polyester something comfortable . check - in breeze , staff friendly , guest courteous , really like stay small place not walk mile get anywhere.location good feature , right next Tropicana MGM Grand , within walk distance middle strip . right Tropicana also make quick trip airport easy drive car . also like could park right near casino lot instead navigate parking garage . the pool area small nicely do , definitely gear toward sit around swimming . I say though impressed Hooters casino . 's small , table start $ 10 mostly novelty poker game horrible 6:5 Blackjack . cocktail service almost nonexistant . , be really issue since much well casino Tropicana MGM Grand right next door . all great place price , would definitely go back . 
 Feb 9 2008 	 pleasant surprise 	 Feb. 3 -feb . 8 2008 - travel cheapo love walk , take break cold walk mile day bonus hassle . ' m middle aged woman never Hooters restaurant . imagine hotel full drunk guy roam hallway , elevator , pool . think would uncomfortable like stay big frat house . ' m gambler decide take chance . super bowl need worry , guest staff respectful pleasant . ' ve bad experience imperial palace college guy scream throw object balcony . front desk , coffee shop , promotion , everyone helpful friendly . problem lamp room . staff arrive fix within 10 minute . 17th floor pool view . ' m sensitive noise night . pool sound airport bothersome floor . travel work , vacation many place yearly 20 year Vegas . hooter good bed far anyplace ' ve stay . shape - place - bed high platform hop , bar stool rather chair . one thing hate large fake potted plant every corner room . take much space way . hooter frill , wait line , great location , good night sleep . find new place stay yearly trip . 
 Feb 7 2008 	 Hotel Nightmare 	 bad hotel ever stay . send staff 12:00A.M . morning use high pressure water jet clean vent roof top . room next . try compliant manager duty , response , stay routine maintance . suffer unbearable noise 3:45 a.m. work 7:30a.m . follow morning . let everyone know terrible stay century . 
 Feb 5 2008 	 favorite ... 	 stay Hooters Superbowl weekend , Thursday Monday . we bungalow room , front desk not especially helpful direct we get . actually go outside , around pool , side door get room . what bad : -hallway room carpet disgusting stain - pool view bungalow loud , blast music 8 am midnight.-one day housekeeping forgot give we towel . next day towel recieve dotted brown streak ... yuck ! -Tahiti village timeshare desk within casino mean shortage people bother be young couple.-player club line always mile long . what good : - $ 60 / night first two night - Fun casino-5 minute walk front MGM - Watching Superbowl Hooters Sheila waitressI will not stay , be look somewhere cheap stay , not look frill , hooter work . 
 Feb 1 2008 	 Good Bad Ugly 	 first impression great . .... Heat / AC - bad old Motel 6 . get night turn heat off . food - Dan Marino ashame put name dump . service - service ? price - GoodCasino - one good small casino ' ve spend $ $ . hope OSI wakes . need training staff Bonefish Grill shape place . call get sh .. together . Garry 
 Jan 31 2008 	 Surprise ! ! 	 go Las Vegas work - relate convention need affordable room near host hotel ( Mandalay Bay ) week . Hooters Hotel room $ 50 / night reserve due proximity convention . reservation quality stay drove town since theme property re - furbish old hotel ... surprise ! hotel staff greet we arrival friendly courteous promptly direct we elevator room , opposite end property small tidy casino . room HUGE well - appoint . hotel recently remodel acquire Hooters room new furniture , include large work desk accommodate two we use laptop , easy - to - use internet access , high bar table stool take snack break , easy chair lounge large , comfortable bed . Ocean View side hotel nice view Strip 9th floor room . bathroom large clean usual feature ( toiletry , hair dryer ) room well ventilate , quiet well clean entire stay . property also feature ' beach ' area pool 3 restaurant , include ' hooters'what expect no - frill budget stay turn relaxing , comfortable budget - friendly . stay travel work Las Vegas . 
