love 	 husband come hotel several year . location excellent , staff wonderful , room comfortable . lot old fashioned charm . hotel like home away home . also great access shopping , North Beach , public transit great restaurant . 
 Petite Auberge Hotel treasure ! 	 husband pleasure stay Petite Auberge Hotel recently . delight friendly courteous staff . room quaint , cozy comfortable . in - room fireplace add much charm hotel . breakfast delicious exceed expectation . petite auberge delightful change large , impersonal hotel . ' ve already recommend Petite Auberge friend . look forward stay San Francisco . Dr. E. Mr. J. Pieterse 
 Old Fashion Charm 	 stay Petite Auberge several time last year think home away home grand city San Francisco . centrally locate great resturant , entertainment , course shopping ! back visit San Francisco ! 
 Petite Auberge San Francisco Ca 	 one good hotel stay . fine service , friendly staff , excellent room great breakfast . would highly recomme next trip San Francisco 
 May 18 2007 	 great vibe bad bad room 	 Petite Auberge lovely hotel great location . sadly , book get queen room without fireplace . say sound fine show get room 22 . right next stairs elevator go NIGHT . hard sleep restful room . check morning let gentleman front desk know hard sleep noise say , & quot ; oh , yeah . know & quot ; . suggest future inform people room situation grunt . reaction go . would love stay , behavior attitude towards feedback acceptable give bad review . book risk ! ! 
 May 11 2007 	 comfortable room cental location 	 would recommend bed breakfast style hotel , like stay house rather hotel ' stay want bog standard hotel . tip would ask room away elevator . we stay 2 night April 2007 , book direct hotel . find comfortable , frill small room everything could need , except maybe bathtub ( stay standard queen maybe room ) . bedroom small comfortable tv ( cupboard however top draw pull tv rotate could watch tv bed ) , heating , bathrobe toiletry . hotel quiet , room directly main street ( Bush Street ) could bit noisy seem busy road big city like San Francisco . view side hotel run building however bother we room quiet could open window . arrive hour prior check - in however room ready able check - in . breakfast nice cereal , toast , pastry , hot sausage bread butter pudding . cookie available day reception , also nibble drink early evening . serve basement sit area sofa gas effect open fire , nice area relax busy day . soft drink fridge hot drink available day free charge bonus . step lead hotel street level , could maybe bit awkward heavy case less able , helpful guy available help need . also take bag room ( elevator floor ) . leave valuable safety deposit box sister hotel ( White Swan ) next door , ' sure whether Petit Auberge ' take . the location hotel Bush Street convenient , cable car stop couple block away , several nice restaurant area , especially favourite Cheesecake Factory Macy ' Union Square ! seem pretty safe walk back hotel night . hire car ' Farrell Street convenient place 7 minute walk downhill hotel . we would highly recommend hotel location great , minus point view bedroom . 
 May 8 2007 	 Petite large 	 husband stay Petite four different time , time get well . recently , spend 36th Anniversary Petite greate Michael show we room - large Deluxe Queen w / Fireplace room back hotel . Steve prepare room anniversary - beautiful huge flower arrangement , bear w / balloon , Champagne , San Francisco Getaway Cards , make reservation dinner . this hotel old , character . good room room fireplace keep warm cool evening . room supply wonderful towel , Aveda bath accessory , coffee maker ( coffee / condiment already wait make ) , bathrobe , newspaper , magazine , book kind write desk share trip family friend . the staff make hotel . Michael , Steve , Andy , Patrica other yet really get know . Andy always help , give water / soda leave touring , suggest restaurant site visit well handle luggage . Patrica make good breakfast town . everything homemade serve professionally . make sure food warm , replace get low constantly clean Sun Room . Michael Steve handle front desk - hotel reservation , restaurant reservation , theatre reservation , hail cabby , make tour reservation never tire bother Bongas ! anything want , ask , everything power accommodate you . we sadly leave 6:00 a.m. 5th day Petite - getting say goodbye friendly family . highly recommend Petite everyone loves pamper , , shall return soon . diane Leroy 
 May 3 2007 	 terrible 	 though hotel terrible first reaction rude staff boot . arrive 5 minute early receptionist offish . matter help month old booking find even though Hotels.com . ( huge company ) .So give last room available ' ve travel much mean bad room next lift . the room noisy dreadful view run building next door 5 m away , create terrible view . also asthmatic book hotel chintzy case mean old become unwell . I ' ve include photo cupboard without door inlay tv ' watch bed nice touch . I ' travel great deal hotel live old review . the save grace home make food , good cake staff morning helpful enough recommend hotel . 
 Apr 26 2007 	 nice property great location 	 stay 15 year ago own another group return brief business trip . rate comparable less name brand hotel ( Hilton , Marriott ) city . property boast great atmosphere . much lobby amenity onsite ( conference room , workout facility ) offer nice seating area breakfast area . breakfast great -- hot oatmeal , cereal , bread , muffin , fruit , breakfast meat variety egg . bottled water soft drink availabe 24/7 downstair refrigerator . room well appoint , big . room , queen fireplace queen bed , smallish bathroom tub / shower combination two chair seating . room would want spend much time not large . would tight 2 people . be San Fran sit room . overall real nice property lot character . want amenity stay name brand hotel . 
 Apr 25 2007 	 Great Location 	 stay Petite Auberge April 3 Nights . look mainly great location not disappointed . short walk Union Square trollie take way Fishermans Warf . room small nice clean - problem noise lift shaft could heard paper thin wall . staff friendly helpful make we feel welcome comfortable . 
 Mar 6 2007 	 lovely loud 	 stay conference Fairmont ( two block away two steep block ) . charming hotel lot nice touch . room ( cheap ) small charming comfy . staff friendly . breakfast wonderful , hot oatmeal , homemade bread , frittata , waffle , lot fruit . my complaint , significant , low level room loud late evening morning . sound someone bang garbage can alley something . street noises loud . light sleeper , recommend spring room high level . overall though , be great location charming property . 
 Feb 23 2007 	 Loved Petite Auberge San Francisco 	 return spend 3 day Petite Auberge San Francisco . 26th Anniversary Valentine 's Day decide Petite . treat graciously attentive staff hotel . love fireplace room make romantic getaway . gourmet breakfast good variety food day . special treat wine canape time day start 5 pm . give we chance meet guest chat . room well appoint include bathrobe coffee maker . hotel staff especially knowledgeable know good restaurant , make reservation , call cab , give direction get around , etc . hotel well locate close many attraction . highly recommend anyone wish stay San Francisco . the Morenos , Pahrump , NV 
 Jan 29 2007 	 Fabulous Find 	 come back four night stay Petite Auberge . terrific place great location ! couple block away Union Square little bit hike ( hill ) wharf . People hotel could accommodate . room great fireplace ( quiet , clean fine we ) . large room every convenience would want . breakfast delicious staff busy put thing clean table . cookie good , evening hor d'oeuvre fun . owner also White Swan inn two door hot spot wifi access . great place -- would highly recommend ! 
 Nov 16 2006 	 Great Place great staff terrific location 	 wife & amp ; innkeeper be kinda picky place stay . spend 2 night Petite Auberge & amp ; extremely glad . Steve & amp ; staff friendly & amp ; helpful . room ( # 52 ) clean & amp ; comfortable even though size small . breakfast good & amp ; afternoon wine / cheese gettogether right . property locate happen safe part city near great restaurant , cab pick up , cable car , etc . highly recommend PA friend , guest & amp ; whoever read . definately book room return San Francisco . 
 Oct 23 2006 	 Perfect location 	 stay Petite Auberge 3 night attend wed Chinatown Union Square . location perfect could walk wedding event well many daytrip adventure . staff super helpful planning excursion , facilitate request share local info restaurant attraction . room certainly expect old small city hotel -- charming , cozy quirky , yet clean reasonably quiet . window open ( love fresh air ! ) lovely courtyard garden lot sunlight also let city noise , come NY not issue we . breakfast indeed wonderful , homemade cookie free access cold bottled water drink throughout day evening nice extra . 
 Oct 19 2006 	 Noisy room ! 	 location hotel overal atmosphere great , never experience paper thin wall life . feel people room go fall . hear every step coversation . grant , light sleeper , hotel could use update . staff friendly knowledgable . would stay . 
 Oct 16 2006 	 great location service 	 stay 3 night way home Australia . spacious fireplace room , despite book cheap internet rate site . helpful front desk staff , enjoy evening eat wine taste . San Francisco greeter also terrific . great location . walk leg close cable car / bus well . floral guy would happily go back wife . 
 Sep 12 2006 	 charming character BB big town San Fran 	 hit Petite Auberge right middle July heat wave . room small , hot downfall . absolutely love free bottled water ( especially heat wave ) great breakfast . also nice surprise Aveda product bathroom ! mention room hot , staff send fan we help alot . front desk staff wonderful , provide direction answer question ( sure must get many time every day ) . always friendly make we feel home . I impress B & amp ; b feeling not normally get big city . location great well , walk public transportation easily . long not mind small room ( common San Fran ) would highly recommend Petite Auberge . 
 Sep 8 2006 	 disappointed 	 wife & amp ; often stay quaint little hotel city change ownership . since come corprate umbrella & quot ; hospitality & quot ; company , lose charm personal service make refreshing . last stay marked reduction quality : food service offering breakfast ; room clean , old carpet , dust , etc . ; lack friendly staff . I write Petite Auberge recently send postcard seek consideration promotion property . answer . intend return . anyone recall former Petite Auberge likely answer . sadly , be large hotel Union Square we . 
 Jul 24 2006 	 Best Kept Secret San Francisco ! 	 Petite Auberge tuck away , close Union Square , Chinatown , trolley line . remind we stay Paris -- tiny room , fantastic ambiance service . breakfast serve morning delightfully decorate breakfast room . talk full gourmet breakfast . evening ( 6 pm recall ) wine hor d'oeuvres serve area . book room gayot get great rate $ 85 / night -- San Francisco ! ! ! another small boutique hotel property 2 door own folk , White Swan , lovely ! Loved would love return ! ! ! 
 Jul 16 2006 	 look forward return 	 one room fireplace , adequate size two people , complete comfortable mattress , read lamp could read , clean attractive bathroom . Petite Auberge decorate fare - thee - well , side tastefulness . truly recreate feel inn France , except sumptuous breakfast croissant , piece baguette , although offer , . staff knowledgeable helpful . location convenient nearby attraction public transportation . hotel may offer service large , commercial venture , offer something important -- distinct personality . stay add pleasure four day San Francisco . tempt sit fire read hotel - provide newspaper hour . 
 Jul 9 2006 	 Small beautifully form .... reet petite 	 fabulous place ! stay one night ( regretably long ) en route San Francisco Napa , land England afternoon want drive long flight . one hour rest , join fellow guest convivial conversation afternoon wine reception . great fun ! breakfast delightful staff could enough we , even offer we bottled water onward journey . fabulous place not expect facility large hotel . room cosy large bathroom adequate . personally , problem , people might . 
 Jun 8 2006 	 well bad 	 husband stay Petite Auberge Memorial Day weekend so - so . nice thing not - so - nice thing . pro : everyone friendly go way helpful . arrive 3:00 wait half hour room ready . wait , front desk staff give we recommendation good restaurant lunch . send we wonderful mexican restaurant . housekeeping staff breakfast / appetizer host extremely friendly every time pass . go pick couple bottle water way back one night breakfast host cleaning offer we cake take back room wine . chat we least 20 minute . the hotel definitely charming . like way decorate . really feel like quaint french inn . location perfect . close enough Union Square cablecar without middle crowd . we love cookie complimentary beverage always available . nice grab soda bottle water couple cookie way back day walk numerous hill . wine cheese evening nice touch . con : room tiny . book cozy queen & quot ; cozy & quot ; understatement . constantly bump . really not enough room 2 people luggage . bathroom small shower stall . keep bang elbow side . include breakfast nice able take advantage one three morning . start 8:00 weekend holiday . early tour book leave 8:00 could not breakfast hotel . breakfast one selling point hotel end go buy breakfast twice . big disappointment well waste money . the noise morning unbearable . awaken 5:30 a.m. two morning ( include Memorial Day ) garbageman . sound like half hour . could not go back sleep . many time walk front desk nobody . walk next door White Swan need help . little inconvenient . also make feel little uncomfortable think nobody case emergency . overall , Petite Auberge right . husband like part probably would choose another hotel next trip . 
 May 30 2006 	 Charming Anniversary Retreat 	 surprised wife trip SF anniversary , Petite Auberge delight scored & quot ; hubby point . & quot ; hotel charming , staff ( front desk housekeeping ) friendly , helpful , aim please . man , not let feminine decor scare away ; find welcoming , homey , quite masculine - friendly ( think & quot ; European & quot ; rather feminine ) . many nice touch , include wine appetizer reception , good full breakfast , many . not & quot ; get & quot ; complaint alley noise -- think hear dim , distant cluttering delivery people , nearly noisy hotel ' ve . & quot ; cozy queen & quot ; room small expect base review . wife say can not imagine stay anywhere else San Francisco . forget big hotel stay Petite ! 
 May 7 2006 	 Great Place ! ! 	 ' wait go back ! ! ! place awesome ! close everything . love walk city stay San Francisco perfect walking . especially enjoy wine hour evening . great time chat people get idea place go place eat . meet wonderful people world . food wonderful . nice homemade breakfast every morning - delicious filling . bed comfortable ! ! would highly recommend Petite Auberge . take tour 3 Sonoma winery ok . also rent car day go Sonoma visit winery blast . would recommend instead take tour . cheap fun . great italian restaurant around corner block call Lottavo Ristorante . 
 Mar 14 2006 	 Twee Hotel nice location noisy room . 	 average hotel ' m sure would return to . pro : staff find courteous helpful . good location close union square cable car line take tourist location . complimentary breakfast , newspaper afternoon wine . con : cozy room translate pretty small really . bathroom need bit redecoration . the wall ceiling thin , wake every morning people room walk around / shower 4 morning , wife even use ear plug ! often front desk unmanned require visit adjacent Swann Inn help ( part hotel group ) amenitie internet available Swann Inn . 
 Jan 22 2006 	 lovely hotel - reservation 	 ' ve return 5 - night stay petite auberge would definitely reccomend , reservation . on plus side , hotel great location , short ( though steep -well SF ! ) walk union square even close cable car stop . staff without exception friendly helpful great restaurant suggestion . breakfast freshly bake cake cookie wonderful complimentary water soda take hotel . the room clean , comfortable everything need , bathroom ( nice Aveda toleterie ) . small though - big problem not spend much time room , still worth note . sole real problem hotel around 5.30 morning refuse collecor seem make mission make much noise possible . perhaps Petite Auberge invest decent sound proof ? 
 Dec 5 2005 	 Noisy 	 stay Petite Auberge Conde Nast Gold List . still wonder make list . room big enough two people . bump elbow side shower small . bad thing noise . two night . morning 6:00 a.m. sound like garbage man drag garbage alley . make matter bad , clock alarm go room next we 6:30 a.m. wall thin , could hear room . one room turn alarm , call front desk . take 30 minute turn first morning . second morning alarm go . ( never fix first morning ) . call front desk come turn off . it may cute good location breakfast , go hotel sleep be happen . would recommend hotel anyone . 
 Nov 16 2005 	 everyone cozy comfortable good value 	 small , friendly hotel country french motif . stay three night would generally recommend it . staff courteous breakfast good . room -- & quot ; cozy queen & quot ; -- definitely small side , stall shower ( tub ) bathroom , perfectly clean , comfortable , functional . location within easy walk distance downtown , near public transport . lot little extras free charge -- breakfast , newspaper , wine cheese afternoon , tea , coffee , soda , water available day . also not impose fee calling - card telephone call make room , nice . give age building , probably good choice people want every modern convenience , would frustrated old - fashioned elevator room key not always work first time . also probably plan use car great deal ( valet parking ) , require lot personal assistance front desk concierge staff . these caveat aside , Petite Auberge comfortable , well - situate , friendly place stay , nice breakfast goody throw free . good value fairly expensive city . 
 Nov 12 2005 	 Exceeded expectation 	 thoroughly enjoy 5 day stay Petite Suite Petite Auberge . mild November weather add pleasure able savour California wine cheese prettily flower deck . make good use whirlpool tub , long day walk hill San Francisco . breakfast really good , fun chat guest wine cheese evening . 
 Oct 26 2005 	 ok 	 wife show hotel find Petite Suite give away someone similar sound name . although give first night free ( stay small room reserve ) , Petite Suite ok experience . retrospect , would stay , recommend friend . stay many boutique hotel San Francisco , fan type hotel , many problems:1 . bed first room Petite Suite bad smell . could tell pillow , comforter mattress,2 . bathroom mildew smell,3 . although complimentary beverage coffee , milk leave day spoil night,4 . make sure light luggage - check , lug bag stairs breakfast floor , take antique elevator 1 flight street level,5 . wireless / wire internet service , go White Swan Inn,6 . many time , one front desk hotel . I still go boutique hotel SF , one . 
 Oct 15 2005 	 Cutesy 	 husband pick Petite base online recommendation . stay honeymoon . staff kind accomodate . make attmept decorate room ; however , mylar balloon deflate ice melt champagne . room style . build old decorate like little girl room . even teddy bear bed . fact , husband say well comment like stay doll house . hotel conveniently locate many thing ; clean ; staff personable . style . 
 Oct 10 2005 	 would recommend Petite Auberge Day 	 husband celebrate honeymoon Petite Auberge week late September . love nearly everything Petite ! Steve front desk resource weather report , restaurant suggestion . food provide breakfast wine snack afternoon delicious plentiful . charm novelty French B & amp ; B middle downtown San Francisco find ! location Petite everything ideal , room cozy , clean inviting , staff eager please . complaint room ( # 46 ) back loud club street behind Bush Street noise irritate couple night stay . meet wonderful people wine reception evening able share story attraction visit , etc . day . would love return Petite Auberge one day would recommend hotel anyone look unique , charming stay fun , bustle city . 
 Sep 14 2005 	 Cute Convenient 	 wife spend one night Petite Auberge way San Francisco . true room small , would recommend get room fireplace - little large cozy . everything work order stay find staff helpful set dinner reservation provide general info area . hotel block away convenient Union Square . 
 Sep 14 2005 	 great hotel romantic get - away 	 girlfriend town wedding Hayward CA . stay close wedding site couple day chance wedding go San Francisco little mini - getaway . first time use recommendation tripadvisor absolutely thrilled . hotel like review mention . small boutique - style hotel great location truly short walk Union Square , Chinatown , Cable Cars . european feel small room bathroom not space , make spade atmosphere . it like bed & amp ; breakfast hotel book magazine room , free umbrella rental , helpful staff . not time try free wine - taste happy hour free breakfast two morning ( one begin breakfast hour one end ) delicious fresh time . romantic hotel satisfied recommendation use tripadvisor plan up - come trip . 
 Sep 7 2005 	 return Petite Auberge 	 choose hotel great review tripadvisor.com . also list top US hotel . partner get , little dismayed size room , little bathroom look old worn . television hidden cupboard , would swivel 90 degree watch bed . unfortunately , swivel board design turn 90 degree ( perhaps -45 45 degree ) , end watch television angle . service hotel also lack . bed sheet dirty , request change . instead change sheet , stack sheet leave bed we change . another case questionable cleanliness sighting rat run across breakfast room evening . needless say , & quot ; gourmet & quot ; breakfast next morning . I definitely would recommend hotel anyone , certainly return hotel . 
 Aug 29 2005 	 still love Petite Auberge 	 second stay Petite Auberge . still charm lovely ... location greatest . Steve front desk especially pleasant knowledgeable . love european look feel well suit San Francisco . cozy room vintage good sense word . everything work perfectly clean comfortable . outstanding coffee available day - yummy cinnamon granola among ( comp ) breakfast item . hope next visit not take another 20 year ! 
 Aug 19 2005 	 enchant experience Petite ! 	 fiancé stay warm wonderful little gem hotel week begin August can not rave enough ! staff friendly , knowledgeable accommodating , treat we like family . everyone , concierge bellboy member housekeeping staff , nice ! fresh cookie lobby real treat well unlimited coffee , tea , cold water bottle soft drink . queen room fireplace right size , big enough two people would not feel crowded small enough feel cozy intimate time . bed firm side comfortable , pillow plentiful ( ask extra one reservation ) fireplace thing come home long day 's worth sightseeing ( August San Francisco cold ! ) . bathroom clean nice tub , great water pressure , fluffy towel , two bathrobe , hair dryer , Aveda toiletry hand make soap . breakfast excellent , good strong coffee , choice tea , cereal , oatmeal , baked good ( muffin , scone , biscuit , croissant , bread , etc . ) , boil egg , sausage , fresh fruit , frittata ( quiche , ' crust ) , milk , butter , cream cheese , honey , jams juice serve buffet style . ' usual hotel breakfast , leave stuff hardly ever get hungry day . I ' recommend hotel parent young child ( room smallish , child - friendly amenity ) business traveler ( work space ) , couple 's excellent ( romantic ! ) value price . can not wait go back ! 
 Aug 17 2005 	 charming place 	 husband stay Petite Auberge three night recent ( first ) visit SFO . find charming little place gracious helpful staff . everyone nice , people work front desk kind gentleman help we bag lady take care housekeeping set breakfast every morning . room small , clean comfortable - need place sleep night shower dress morning adequate . complimentary breakfast fabulous ! thoroughly enjoy fresh fruit , baked good , quiche yummy delight morning . make nightly wine reception , good wine , tasty snack great conversation guest . location convenient - able walk pretty much everywhere easily catch public transportation go beyond walking distance . definitely would stay recommend without hesitation . 
 Aug 16 2005 	 SF All - Time Favorite 	 stay first - rate hotel honeymoon two year ago , keep go back every time stay city . intimate , quiet atmosphere heart SF wonderful . Petite Auberge & quot ; petite & quot ; service hospitality ; staff attentive , helpful , knowledgeable many thing stay city . full breakfast delicious , coffee please coffee & quot ; snobs & quot ; beverage limit snack available time want . unfortunately , not hotel evening hor derve , ( sorry spelling ) , wine ' ve busy tourist thing SF . however , briefly sail parlor evening ritual , hotel guest seem enjoy . another feature like quaint french countryside decor throughout hotel . hotel 's amenity , price good value SF standard . 
 Aug 12 2005 	 petit perfect ! 	 price hotel hard beat . partner stay 5 night end July enjoy every moment hotel . breakfast superb give opportunity build friendship , want , guest . similarly , late afternoon wine reception pleasant one occasion start break 8 pm . stay Nikko Crown Plaza SF whilst merit , small , intimate , well present locate Petit Auberge one would happily come back . 
 Aug 11 2005 	 relaxing Stay Petite - Book Advance ! 	 stay Petite Auberge week June . definitely call ahead book one large room fireplace - small room MUCH small couple luggage bathroom stand shower ! stay large room fireplace absolutely perfect beautiful . totally love . love staff ( unbelievably nice we ) food great . great location feel like come & quot ; home & quot ; night , rather big , corporate hotel . 's close everything , include type transportation , really enjoy stay . know get book room make sure booking size want . ' great place ! 
 Aug 8 2005 	 spoil Petite ! 	 wife return & quot ; second honeymoon & quot ; week ago wait write review see wonderful memory stay Petite Auberge would begin fade . well , not actually share fabulous experience family friend , make we want go back another & quot ; escape & quot ; early normally would ! good thing stay feel like one beautifully decorate outfit french boutique hotel heart Nob Hill San Francisco . know name come door check ! happen ? within 24 hour staff know helpful discovering would likely want explore Bay Area week . send package ahead along flower ( local florist recommend staff ) place room day arrival . room look like arrange everything wife . staff attentive & quot ; & quot ; like family help we . mention room perfect order clean soon leave day . even leave one morning quick snack return completely clean room - almost hiding hall wait we leave could start clean . many thing stay wonderful well . fireplace wonderfully decorate room real treat . bathrobe one wife 's favorite ( much two hang closet right ! ) . full breakfast morning ( come room ) , delicious also serve great little french cafe atmosphere could check guest see go day do day . also primary conversation wine taste ( free room well ) evening around fire lounge . guest would gather end afternoon exchange sightseeing explore story wine ( many choice ) snack . informal would not include conversation choose . sometimes good breakfast glass wine wanted - get . , value room outstanding . get much pay . doubt mind stay Petite Auberge every time come San Francisco ! look romantic get - away , disappointed . 
 Jul 17 2005 	 adorable ! 	 LOVED Petite Auberge . bottom floor room fireplace , believe one large room offer . peek upstairs room , see really teensy ! room right next kitchen , stock 24/7 soft drink bottled water charge . breakfast always good - great coffee ! free newspaper weather report every morning door . front desk staff GREAT - recommend good restaurant would never find otherwise . kitchen staff also friendly . favorite thing place nightly wine snack service . great way meet people - make friend many ! Adeva product great touch , . hotel within walk distance many thing , cable car line far all . book way ahead time ask room fireplace , place become favorite location heartbeat ! 
 Jul 11 2005 	 wonderful 	 wonderful little hotel near Nob Hill San Francisco . perfect location explore . extremely nice lot personal touch push way average ! could not believe find nice , quiet , clean convenient hotel price ! would definitely stay would absolutely recommend other . breakfast much well continental breakfast offer hotel . also offer round - the - clock complimentary fresh - baked cookie , coffee , tea , soft drink bottled water . every night 5 p.m. , offer snack , wine cheese cozy downstairs area hotel ( complete gas fire ) . excellent hotel price ! 
 Jul 2 2005 	 Small Friendly Hotel 	 moment walk feel welcome , begin delightful person front desk . room decorate nicely , lot & quot ; home & quot ; touch , book not nail shelf -- actually pick read ! breakfast include quite nice , wine cheese afternoon . little conversation area downstairs , private little patio adjacent breakfast room . pleasant experience . 
 Jun 30 2005 	 great place stay SF 	 return road trip California first stop Petite Auberge San Francisco . disappointed . hotel lovely slightly use feeling ( good way ) . room cozy , staff incredibly friendly helpful . also perfect location transit walk around . able access internet sister hotel couple door particularly enjoy wine snack late afternoon . would definitely go . 
 Jun 27 2005 	 love ! 	 Petite Auberge far exceed expectation ! husband come trip drive coast pull , go find would many various bag . speak amazingly nice woman desk , Kahulia impress enough jaded New Yorker manner , walk back tell husband & quot ; be nice , be little scary ! & quot ; well , continued way , give we map , route thing see return rental car afternoon plenty suggestion . able upgrade room , luckily b / c think poster 2 may correct assumption room size . said & quot ; may fit originally book room bag ! & quot ; great room fake fireplace , clean , lot cozy pillow really enjoy room . free water / soda disposal convient , ' ve never see hotel , make start day ( come back long one ) much easy , save lot $ water ! love wine cheese hour , nice little touch help we refresh head night . breakfast acceptable , everything good , review read lead high expectation ( someone say & quot ; good ' ve ever ? & quot ; ) , normal complimentary hotel breakfast . turn service note , care . overall , staff really give place nice touch . one woman front desk sour unhelpful , ( stark contrast Kuhulia ) still well get major chain . 2 different bell - hop man helpful , one give we extra wine miss end time evening another give we great rec restaurant Dim Sum . location impressively convient ... short walk Union Square get cable car go place , think neighborhood great location tourist ! get price on - line service part satisfied .... think regular price call directly probably much . highly recommend hotel would definitely stay ! ( ps- choose read Trip Advisor review , thank ! ) 
 Jun 14 2005 	 disappointing 	 Stayed June last visit 5 - 6 year ago . meantime change ownership go downhill . room not appear redecorate year bathroom particular badly need attention . whereas remember comfortable bed lot pillow time uncomfortable night lumpy mattress 2 nasty synthetic , thin pillow . sign advertise turndown service . Breakfast ok . a shame really staff helpful 's great location Union Square will not go back . 
 may 17 2005 	 Petite Auberge really petite 	 husband come California stay Petite Auberge French Country inn two night . booked & quot ; cozy queen & quot ; room believe one small room . price $ 150.00 per night plus tax . hotel quaint , neat clean within short walking distance cable car transportation Fisherman 's Wharf , Pier 39 Chinatown . be within walk distance Union Square . problem hotel room small place lie luggage bed . much move around space room either . bathroom tiny clean . hotel offer free continental breakfast morning wine cheese 5:00 day . would know would booked large room believe come fireplace . , even , believe price would even high pay cozy queen think get , be much . , though , be good location like cozy tight french country inn , petite auberge place . 
 may 11 2005 	 Warmth charm 	 love Petite Auberge ! stay 3 night Honeymoon treat stay Petite Suite . enjoyed walk private entrance , relax garden deck , savor fireplace inside suite . staff helpful kind , especially assistance help we successfully find bag mistakenly leave taxi . Petite Auberge conveniently locate easy walk take cable car destination . check Inn disappointed . 
 Apr 28 2005 	 Service beyond Compare ! 	 bring wife San Francisco first time anniversary April 21 - 25 , 2005 select Petite Auberge base picture review find online . experience Petite Auberge EXCELLENT . please friendly , helpful , thoughtful staff , front desk maid , food server free breakfast . room beautiful , extra provide staff anniversary trip ( wine , Happy Anniversary balloon ) without remind thoughtful appreciated . location Petite Auberge much well expect . two block Powell Street Cable Cars , two block three block Union Square ( suggestion Petite Auberge advertise great location well website since think would plus ) . breakfast , guest talk also please Petite Auberge , hear complaint criticism great place stay San Francisco . come back San Francisco , DEFINITELY stay Petite Auberge . thank . 
 Apr 15 2005 	 fabulous find 	 stay Petite Auberge three night prior embark cruise vacation simply overwhelm treatment receive inn located heart San Francisco . hard imagine could experience warmth charm bed breakfast establishment middle vibrant city exactly encounter stay . staff exceedingly friendly helpful room cozy comfortable . particularly enjoy meet guest corner globe breakfast morning wine hour late afternoon . Petite Auberge within easy walk distance number attraction minute Powell Street cable car . definitely place return next trip San Francisco . 
 Apr 8 2005 	 perffect spot 	 boyfriend come back trip San Francisco still talk wish back Petite Auberge . we stay 5 night Cozy Queen room . room indeed cozy comfortable ' find small need . find tastefully decorate , love friendliness helpfulness well amenity property . nice touch could alternate breakfast wine service White Swan two door away give change atmosphere , first concerned bored breakfast place 5 day row . staff everything think , restaurant thing list , water / soda refrigerator save headache look CVS . another nice touch manager come talk we see everything ok , one night wine / hor d'erves hour . place really make feel special centrally locate . 
 Apr 6 2005 	 rave Petite Auberge ! 	 March 2004 , book much anticipate stay Archbishop 's Mansion internet . fiance get engaged fly San Francisco May , find overbooke , sorely disappoint ! apologize , promise we good room Le Petite Auberge instead . idea expect . what lovely surprise ! moment enter door & quot ; Petite & quot ; shower care . concierge put we lovely cottage back , replete champagne bowl fruit . private porch , brim garden flower absolute delight , fireplace warm heart , oh , breakfast , oh , jacuzzi ... incredible stay : ten time well ever could imagine ! since , ' ve want gush wonderful everyone we , busy wedding plan subsequent move . yesterday happen come across Petite Auberge postcard , simply write . folk blessing place treasure . 
 Jan 31 2005 	 wonderful Stay ! 	 wife spend four ( 4 ) night recently Petite Suite . lovely room gas fireplace seperate entrance . room quiet , quite large . morning breakfast afternoon wine reception wonderful , staff hotel extremely helpful restaurant recommendation , tour , transportation question . hotel location great - several block Union Square cable car . definitely stay Petite Auberge rather large San Francisco hotel stay previous visit tosan Francisco . 
 Jan 16 2005 	 Nice Hotel City Break 	 whole find hotel San Francisco expensive . find little one upon recommendation Tripadvisor ' m glad stay there.- Excellent location heart city- small room nicely furnish clean . however , make sure request room away elevator shaft little noisy- nice breakfast & amp ; free cookie throughout day- friendly staff give good advice see city 
 Dec 1 2004 	 hotel heart heart San Francisco 	 visit November 2004 . wife impress total experience . breakfast fantastic afternoon treat great ! overall atmosphere cozy great , right outdoor patio nook . read review stay , lot people talk small room . offer large room want , happy small room . bed comfortable , room everything need well nice extra touch right rosemary mint shampoo Nivea moisturizing creme . ' ve never stay place seem structured interaction guest find nice . get informal hint guest visit tourist site day early . can not get current , visitor - friendly tip ! location great well . not rent car not take cab . simply get 7 day muni pass catch nearby ( 1 half block ) cable car ( Powell Bush ) nearby bus heart content . unlimited ride , hassle park anywhere . even BART station take we SF Airport easily accessible . also appreciate free wireless access available we White Swan Inn . sister inn , front door key one get we easy check email anytime want . write weekly column Winnipeg Sun contact many folk speak engagement . not make recommendation lightly , anywhere mention trip San Francisco , will mention place . hotel little pit stop rest trip . become integral , enjoyable cozy part memory San Francisco . 
 Nov 28 2004 	 great location great service ! 	 stay November 16 - 21 , medical conference , happy choose intimate , quiet hotel ! block Union Square , location great cable car / public transportation , shopping explore city . breakfast wonderful , room comfortable , appreciate attention detail decorating - feel like small european hotel ! every staff person friendly welcoming - yet since 's hotel bit private bed breakfast ; pressure socialize prefer ! can not wait come back .... 
