Montana 	 anniversary gift wife London decide stay Montana Hotel , Kensington . Montana choose recommendation work colleague . perfect every way . location perfect . Bang heart Kensington Knightsbridge convenience shopping , bar london offer . the hotal Gloucester Road opposite Gloucester tube station ideal quick train ride site London short walk Kensington Palace Gardens . soon arrive look exactly like website photograph staff friendly welcoming . room adequate short stay , simple elegant . request bottle champagne place room arrive , explain reception first anniversary . surprise also complimentary box chocolate rise place bed , course take credit wife ask ( thank guy extra ) . hotel indian restaurant also serve breakfast convenient quick breakfast go explore . ask reception direction place go helpful even arrange couple excursion us whist . overall fantastic hotel accessible fantastic location . keep Montana . 
 bit let - down 	 location suberb 100 metre Gloucester Road tube station . sadly quite let service reception . guy encounte seem quite annoyed someone disturb surfing internet . room okay size , shower almost pressure ! ! also quite disappointed get small bar soap ! ! shampoo whatsoever . return hotel ! ! ! 
 Apr 17 2005 	 definitely Convenient Location ! 	 although first stay Kensington , want stay somewhere close museum Cromwell Road . firstly , pleasantly surprised convenience hotel 's location . directly across street Gloucester Road internet cafe one hotel staff suggest use instead hotel 's internet . diagonal hotel Gloucester Road tube station , tube line take popular route location sightseeing , supermarket , drug store cafe within mall . Gloucester Road plenty place eat , satisfy pallet . hotel , one issue resolve almost instantly . pressure hand - hold shower low ( prepared hold one hand go business ) . report front desk way time return , problem resolve . room stay literally fit full - size bed 12 & quot ; leeway side side . bed comfortable one careful step lead bathroom . 
 Mar 11 2005 	 GREAT value ! ! ! 	 Reservations mishandle agent receptionist overwhelmingly nice reassuring would work ! ! two different triple room week spacious scrupulously clean . modern bath . small elevator . adequate breakfast , excellent indian restaurant , affordable ( London price ) dinner . staff friendly helpful . Tube stop 100 foot door . outside upkeep superb - certainly look expensive . friend go London two week already reservation . sure return ! travel extensively near top price . 
 Feb 26 2005 	 amazing hotel .. amazing price ! ! 	 stay Montana 4 day enjoy evrytime .. double room ready upon arrival .. nice people .. friendly overwhelmin customer service ... staff definitely make stay well .. funny ! ! Assest hotel location walk away tube .. shop complexes tube ride away te good thing hotel 45 min Heathrow airport 1 direct tube line .. probelm ourflight ticket Chris / Auggie ( receptionist ) wow helpful organise evryte we .. stay many hotel one feel like home .. restaurant amazing good food inexpensive compare other area .. definte stay next time ... great hotel .. great staff .. 
 Feb 13 2005 	 good rounder 	 stay 2 night hotel - family room - ready check 4 proper bed ! room basic tea / coffee stuff long anyway - sleep basically . hotel right road Gloucester Road tube station connection need stay ! breakfast serve hotel basic - oj / tea/ coffee toast jam do not expect anything else without pay £ 4.50 get full cooked brekkie £ 1.50 cereal - toast fine get door morning ! staff friendly helpful time . altogether good hotel short stay London reasonable price . 
 Jan 30 2005 	 Woow place 	 Woow beautiful hotel ... loctaed walk distance tube provide easy access centrral london .. staff Montana absolute angel say ... make mine wife stay pleasurable something worth remembering .. stay 7 night night enjoy upmost .. staff friendly pleasant ... ifwe need thing good service .. lift tad small location , staff friendliness excellent value money .. hotel area much dear much comparitiv differemce .. thunbs chap would defintely stay .. 
 Nov 21 2004 	 clean great value hotel London 	 research hotel London several week decide Montana . glad . hotel , although little worn great value London . travel family price location perfect . indian Restaurant good hotel restaurant staff friendly . minuscule room norm London , family size room good sized . hotel clean . stay another London Hotel February , 2004 although rate cheap really shabby . look clean , safe , reasonably price hotel London place stay . great rate available hotel - assist . 
 Nov 21 2004 	 Good Little Hotel Great Location ! 	 stay Montana Hotel 17 November . need cheap hotel last night London like Gloucester Road area . quote we price 75 pound husband bargain rate 65 pound . room large expect budget hotel . double bed also twin bed . side bathroom size closet clean plenty hot water . also , bed extremely hard okay one night . breakfast include rate . free breakfast consist coffee , tea juice toast . anything else extra free breakfast adequate . would probably stay nothing else available mainly like area . 
 Nov 15 2004 	 Great Hotel 	 stay Montana 3 night . hotel great value . room clean . friendly staff . great location follow locate nearby : tube stop , 24 hour grocery store , pharmacy , post office , Starbucks , various restaurant , several ATM machine . would definitely stay . 
 Nov 13 2004 	 location ! location ! location ! 	 stay Montana twice would definitely consider . price right consider receive clean , comfortable room 50 step Glouster Road tube stop . neighborhood safe offer plenty restaurant pub , well Kensington Palace museum . breakfast definitely bland get 's go door . not pass one ! 
 Oct 6 2004 	 excellent safe location 	 make book internet : -- -hotel - assist -- - give we last night charge 8 night . people hotel frendly make stay good . indian food restaurant good . lift small hey long stay lift stay ? Room ok - need pillow deleivered room right away . location well - many many restaurant area feel safe many rich people live part London . Metro opposite simple travel attarction . stay . 
 Sep 26 2004 	 Perfect need ... 	 stay Montana Hotel 8 night June . last year 's experience another hotel , bit nervous would find . well , let tell plus minus ... plus side ... 1 . great location : hotel right across street Gloucester Road tube station , grocery store , post office , internet & quot ; cafe & quot ; , several restaurant , stop Big Bus Tour . also 3 block Natural History Museum , Science Museum , Victoria Albert museum.2 . friendly staff ... include desk staff , breakfast staff , housekeeping staff.3 . clean room4 . window open way ( least room # 303 ) 5 . large bathroom plenty room stuff ( medicine cabinet ) side ... 1 . room noisy due traffic Gloucester Cromwell Roads . , choice make left window open.2 . place rather worn ... clean , worn . be look fancy new , ai not place you.3 . single room tiny . long narrow.4 . complimentary breakfast include 2 piece toast , orange juice , tea coffee . item available additional charge . add corn flake £ 1.50.5 . internet bar work . quickly begin use internet place across street.6 . microscopic elevator ... 3 people top fit . , figure wait exactly 10 second closing door , matter many time push button . ; ) , begin think place lucky elevator give fact 's protect historic building ( victorian era ) .Overall , please Montana Hotel . £ 59 / night , get pay . plus , charge last night . decide check day early due tube strike ... not want take chance miss flight next morning . not check 4 p.m. , easily could charge ... fact , expect . , not . 
 Sep 2 2004 	 Excellent budget stay family 	 family 5 stay family room Montana August . ( be apparently one room London sleep 5 without require two - room suite . ) clean , decent accomodation ( air conditioning , bless hot day , private bath ) reasonable price London ( 99 pound night ) . Light India restaurant superb , elegant attentive service . hotel across street Gloucester Road underground station . plenty cafe restaurant neighborhood ; 's small waitrose supermarket arcade outside underground station exit , another large supermarket , Sainsbury , 5 - minute walk away west Cromwell Road . hotel staff helpful friendly . highly recommend Montana . 's luxury hotel pleasant well - maintain . 
 Aug 31 2004 	 good little hotel 	 daughter spend week Montana Hotel , Kensington early August . clean comfortable . warm weather , fan provide request life - saver . ideal location minute Glouchester Road underground station , across street bank machine ( call & quot ; cash point & quot ; ) , Waitrose supermarket , several restaurant fast - food outlet . 2 minor complaint hotel : 1 - the continental breakfast include white toast , juice tea coffee , monotonous week , would suggest order something else la carte supplement toast . 2- numerous fire safety door slam shut time someone go unless be hold closed . sort hydralic closing device make quieter would appreciate room door . good place stay would certainly return . 
 Aug 23 2004 	 Montana meet need Savvy Frugal Tourists 	 stay Gloucester Road Montana Hotel three day July . single female , feel safe well care . location .. location .. location .. close tube Piccadilly Line save precious vacation time quick trip back hotel easy need drop package rest bit . small room , bathroom hall .. 35 GBP night ... hostel close price . breakfast spartan , toast , coffee , juice . Peter bartender always .. morning breakfast late night need help internet access bar . sweet man . I definitely stay next trip London . , modest comfortable room South Kensington , price , beat . 
 Jul 20 2004 	 Great Location watchout ! 	 wife , son stay Montana Hotel Feb. 18 - 28 2004 . location great , tube stop close , walk distance several pub , grocer , fast food , local shop . hotel clean , go upgrade time , good point . hotel one elevator order whole stay . keep tell would fix & quot ; tomorrow & quot ; well tomorrow never come , walk several flight stair , fun health problem . room least one flight . hotel restaurant close entire stay also , management tell we arrival even though speak day . serve cold toast warm juice , tea coffee every morning free charge , however much toast . staff unwilling compensate we misfortune . the staff management & quot ; care & quot ; attitude . room small , however expect . room layout strange , could watch T.V . one side room time nowhere sit except bed . hotel clean , cost we $ 135 U.S. per room night . Holiday Inn kensington Forum street , full time visit , next visit London stay . however tight budget , shouldgive Montana try night two location well advertised . London GREAT city visit wherever stay ! 
 Jul 15 2004 	 good twist 	 hotel room small clean . service good professional helpfull staff . breakfast ( toast ) serve small restaurant ( hotel Restaurant ) do tastefully . location great ( near Tube ) . something keep mind stay hotel . restaurant food bad expensive . charge every little thing except water . also , carefull ask hotel staff arrange taxi airport . quote 45 pound hotel Heathrow ( high start ) . cabby ( probably relate one staff ) ask 60 pound rudely insist rate . well , not get . make sure drink bar . bartender hoot . 
 Jun 20 2004 	 great location price 	 nice clean hotel reasonable price . location can not beat ... 40 yard Gloucester tube station . lot local eatery , 24 hour grocer Starbucks . breakfast toast coffee , extra egg , potato , etc . definetely stay . 
 may 21 2004 	 great deal 	 frequent traveler London , always lookout hotel good location reasonable price . good one ' ve find far Montana . rate quite good ( especially seventh night free ) accommodation fine long look clean comfortable sleep bathing facility . want lot charm elegance , . location great -- near tube station , shop , museum , great restaurant -- staff extremely helpful courteous . indian Restaurant adjoining lobby first - rate , although breakfast barely adequate : toast , juice , coffee . stay six week fall 2003 plan go back fall . room small always ask large room available . give spacious room . 
 may 12 2004 	 basic hotel ... tourist class 	 stay one night ( night Sir Cliff Richards perform London ) April . find room clean , basic . happy in - room safe . desk staff bit harry place full . double bathroom ... overlook back fire escape ... quiet . location perfect connection Gloucester Tube across corner bank ATMs . pub outdoor dine close mall shop grocery store . price consider good London Friday night stay Darlington Hyde Park , something miss include GBP . previous writer specify tourist hotel .. guess goof pay Darlington elegance . would stay price come . Guess Sir Cliff 's performance cause jack price ! complimentary Continental breakfast basic week London . hotel include full english Breakfast price . 
 Apr 9 2004 	 nice hotel 	 love hotel . basic clean room big enough . pay 35 GBP get room without bath . bath hall never problem get bathroom . complimentary breakfast enough last afternoon . room sink , tv , hairdryer safe . people nice , especially Peter . internet access little money , nice little bar , elevator fine . circle / district / Picadilly tube line near many restaurant , grocery , shop . 's even air condition . beat hotel be budget . 
 Mar 30 2004 	 Little Gem Hotel 	 Montana come recommend mother - in - law , experience world traveler . not good tourist class hotel London , not know be . excellent room , great rate , professional staff , nice little bar , good indian restaurant adjacent connect . incredible location across street Gloucester Road tube , shopping center , pub , food , etc . need go ! ! remember , tourist class hotel , Ritz Savoy . want artsy / fartsy go elsewhere . I highly recommend Montana plan return next year . 
 Mar 28 2004 	 Nice Clean Hotel near tube store 	 stay Montana 3/9 - 3/12 04 . room small bath , however clean well locate neighborhood . staff helpful , internet connection downstair bar ( 1 LBS ) , breakfast toast , juice tea coffee include room , English breakfast extra . shampoo however towel bar soap provide . Glouchester Tube across street , straight shoot Heathrow . grocery store little mall Tube , restaurant nearby small store late night shopping . museum nearby walk distance . inexpensive place clean neat - if not spend time room perfect ! 
 Mar 11 2004 	 Near tube stop . 	 stay 6 night ( Feb 23 - mar1 2004 ) good part hotel location near tube station 3 line near nice grocery store . bathroom 2nd good part ; decent size good shower . room really small . elevator seem forever & quot ; repaired & quot ; ( make person wonder , eh ? ) . kitchen renovate , , open left , not know food . say ? price right . 
 Mar 7 2004 	 good value price excellent location 	 good attribute Montana proximity Glouchester Road tube station . station , virtually anywhere central London within 10 - 15 minute . also nice food store ( Waitrose ) small shopping mall adjacent tube station . bank , post office , ATM machine across street Montana . ther nice pub two blook away . experience Montana positive . room ( # 212 ) small clean adequate . bathroom adequate plenty hot water demand . bath towel soap provide bring shampoo wash cloth . personnel Montana friendly helpful . lift hotel operational stay ( say lubricate ) . unfortunately , kitchen renovate stay food beyond toast coffee / tea available breakfast . not ask hotel clerk order cab . end non - licensed cab cost we twice much licensed cab . . 
 Mar 2 2004 	 Montana conveniently locate 
 Feb 5 2004 	 pleasantly surprised 
 Feb 5 2004 	 Good Hotel ! 
 Feb 5 2004 	 Excellent 3 Star hotel definitely stay ! ! 
 Feb 5 2004 	 thank recommend 
 Feb 3 2004 	 Excellent Bargain Hotel 
 Nov 26 2003 	 Great Bargain Wonderful Location 
 Oct 20 2003 	 small convenient 
 Oct 5 2003 	 Gloucester Road gem 
 Apr 14 2003 	 Montana Hotel . Kensington 
 Sep 5 2009 	 Deludente 
 Mar 14 2009 	 Buena relación calidad precio mejor ubicacion 
 Nov 19 2008 	 tre bien située pre de la gare 
 Aug 27 2008 	 Sconsiglio vivamente 
 Mar 29 2008 	 ha encantado sorprendido 
 Mar 26 2008 	 Excelente ubicación cómodo agradable . 
 Sep 24 2005 	 estancia muy satisfactoria 
