stay 	 spend 2 weekend night London Guards could wait leave . receptionist barely speak we check .. ask breakfast time , check etc . give one word answer . stay quad room smell like grandmother attic . luckily next hotel Edinburgh laundry facilite clothe smell musty . daughter fall badly wet floor come downstairs one morning ( sign post wet ) 3 employee watching not say word try help . unbelievable . Lancaster Gate tube stop also shut not even convenient . breakfast sufficient server polite . positive thing say hotel . many option London stay hotel . 
 Aug 11 2005 	 Good Hotel Nice location 	 reading review London Guards Hotel site , book room . disappointed.- nice location : 5 min walk " Lancaster Gate " Underground station . quiet neighbourhood.- good value money : get good price internet one night , Saturday Sunday . - Clean & amp ; spacious room . : advise one review , ask room upper floor make booking . give room 4th floor . quiet apart continuous " buzz " come air conditioning engine roof building . ( although matter ) .- surprised nice fridge room . also kettle , tv , hair dryer . bath room spacious clean . towel shower gel provided.- Nice continental breakfast : tea / coffee , croissant bread , jam & amp ; cereal , orange juice . tip : make book London hotel ' website get unofficial price : ' save money hotel really good value price . ask room upper floor : maybe 4th floor want avoid light " buzz " come roof .I definitely come back London Guards Hotel next visit London . 
 Aug 8 2005 	 great location / value 	 good , clean hotel , pleased price pay ( via lastminute ) high ceiling many mention , like stay london home convert hotel . clean , look good outside , quiet location behind church ( see hyde park , block front ) receptionist nice helpful . breakfast nice affair , crosaint , toast , juice , cereal , etc . full english cost , not , continental enough ( basically eat ! ) right , AMERICANS : : : : ( say american living England ) may like . 5 minute walk ( yes WALK ) Lancaster Gate Tube station . equivalent 3 block . nice , clean , safe street though ! great location not mind take tube everywhere . zone 1 , central . room adequate double ( probably small yank use ) single bed well . ( even though two us room . ) remember american mention towel small . find adequate , clean , white , etc , fit ok . ( Size 12 UK , think 10 US ? ) cable good , tv work , kettle , etc , could find fault price pay ( 59 £ ) happy . 
 Jul 25 2005 	 Nice Room Pleasant Staff Great Location 	 small Botique Hotel edge Hyde Park bayswater Notting Hill . 3 - star hotel could find offer large room ( family 5 ) airconditione reasonable price . hotel old - world charming . come across new Hilton Marriot , come across authentic british . beautiful old world crown mold lobby corridor , internet access lobby , basc breakfast interesting bar friendly staff . location excellent : nice neighborhood , centrally locate near tube . stay London time business pay much higherprice hotel significant way outshine London Guard . nice place sleep visit London ... save money city .. will need ! 
 Jun 22 2005 	 nice hotel 	 get expect . friendly staff . nice triple room . AC o.k . breakfast bit poor fair . area quiet near beautiful Hyde Park Tube . 
 Jun 22 2005 	 ask room upper floor 	 stay London Guards Hotel June first night assign room depress , dark , dant musty . bed terrible term large divet depression middle cause one either roll side sink middle . ask different room second day give room wonderful contrast . room high 15 foot cornice ceiling , large window , flower wallpaper , smell lovely bed firm level . difference ! ! ! could not ask well room , sure ask upper level room one basement ground level . 
 Jun 13 2005 	 good hotel good Price ! ! 	 recently stay 3 nigth London Guards Hotel . 4 adult family room . London pleasantly surprise size room . room big London standard , refrigerator keep beverage snack handy . bathroom good size tub quite nice . water pressure excellent plenty hot water . continental breakfast include . location great . tube bus 1 1/2 2 block away . Hyde park also 4 minute walk hotel . hotel staff friendly . help we book tour great . anyone car , carpark far hotel offer discount rate guest hotel . overall , pleasant experience . would definitely come back hotel highly recommend . 5 star good hotel good price . 
 Jun 1 2005 	 spacious London hotel 	 return stay England include two night London London Guards Hotel . please hotel . quad room ( 2 adults/2 kid ) large , even american standard , high ceiling huge window add spacious feel . two double bed single side give teenager tiny bit privacy would expect shared room . electric tea kettle fridge , able nice snack time room . bathroom sizable good water pressure plenty hot water . window room bathroom open nice breeze . staff friendly competent , particularly bubbly . would add addition include breakfast order full breakfast -- find 3 pound ( approx . $ 5.50 ) could get one order egg bacon large enough supplement family 's breakfast ( piece bacon [ good bacon ] , bit scramble egg ) . everything clean neat , fancy . would definitely recommend hotel . 
 may 23 2005 	 pleasantly surprised 	 read several review London Guards London hotel , expect jammed equivalent storage closet . London Gurards Hotel pleasant surprise . first , location great . within block radius Lancaster Gate tube station , bus stop , cash machine Shell station , fairly good shopping district relax walk Kensington Gardens . hotel locate couple block busy Bayswater Road , pretty quiet . room huge , fancy . clean large enough 3 we move around pretty well 5 night . fact , large motel havestayed & quot ; States & quot ; . request room 3 single bed , get . bathroom & quot ; functional & quot ; , nothing special . shower plenty water pressure hot water . one negtive theair conditioning . not work first night , staff check get work . however , not work second night . third day tell turn 10:00 pm due noise . thankfully , temprature night cool , window open room fan . continental breakfast , include room , small , tasty , cereal , bread , juice , coffee tea . staff polite courteous seem happy help need assistance . not know visit London , , London Guards Hotel would definitely deserve consideration accomodation . 
 Mar 24 2005 	 ok 	 London , everything tend expensive , hotel good value get reduce rate booking though third - party website . the problem : make reservation twin room , give room double bed ( big enough one person ) , sofa bed ( linen ) , roll - away cot ( big enough child ) . request room change second night much well room . 
 Feb 27 2005 	 gem 	 stay four night February , 2005 . anyone complain London Guards Hotel stay many London budget hotel . gem . check , first take ground floor room , research tell tend noisy . mention , give room first floor overlook Lancaster Gate . cleanliness excellent . bathroom large enough , clean , functional . staff pleasant helpful . breakfast entirely bread corn flake - type cereal , refrigerator room , simply little shop great meal room . first place check return London . 
 Feb 21 2005 	 Guards Hotel 	 stay girlfriend 4 night mid Feb . find hotel well average good value . although want stay hotel suggest shop around website good deal - £ 130 night double room , pay £ 160 four night one website could pay £ 400 duration . the room big London , nice fridge thing expect . reception always helpful never bug . hotel clean , room - service would clean room want pretty much time day ( till 5 pm ) .The hotel locate leafy bit Lancaster Gate 5 - 7 min tube , , pretty much perfect . also local store , sell odd bit might need ( newspaper ! ) good budget London hotel stay , next time ' city stay . one minus point though , like many hotel London leave key reception go - say security , never keen idea ' way . 
 Feb 20 2005 	 dump 	 stay July 2004 find dingy run . indifferent staff . would recommend . 
 Feb 18 2005 	 great value price 	 wife stay three night London Guards lately . get excellent price -- -- -- -- -- - book month beforehand ( less third rack price ) . must say hotel great value price pay . the room clean comfortable , thus double bed stardard wide not bother we since like sleep close ... breakfast hearty already know expect ( thank reviews site ) ok.i would definitely recommend hotel anyone not want need five star luxury cheap , comfortable clean room quite near center London good public transport connection . 
 Jan 14 2005 	 good room good location good price . simply good . 	 girlfriend stay London Guard three knight please stay there . the room clean bathroom ( take mind ' totally new building ' Hilton ) . room look much room photo display page . the last time visit London stay much expensive hotel horrible . ' sure expect hotel price . it ' super fancy suite people want nice , clean , cheep hotel close city centre . would strongly recommend hotel anyone travel London . 
 Jan 7 2005 	 Nice hotel great location good price 	 worried staying hotel , since bad experience another privately - own townhouse convert hotel . pleasantly surprised . hotel locate three block Lancaster gate tube near north - central part Hyde Park . also walk distance Paddington Station . lift ( elevator ) . room spacious desk , wardrobe , safe , refrigerator tea kettle . bath clean nice large tub shower ( even medicine cabinet hairdryer ) . continential breakfast include . could not happy price apid cheap 3 week stay one well budget hotel stay anywhere . would suggest book taxi hire unmetered private car try overcharge poor driver run red light . 
 Nov 7 2004 	 good location funny bathroom smell 	 outside lobby pretty . pc lobby provide cheap internet access check email . good safe location , right tube stop park . think room typical ( small bed / bathroom ) european 3 star . interesting 2 - story , 2 room , 2 bed room even though need one bed . bathroom towel funky smell . husband like , think worth pay location quality . little & quot ; secret & quot ; - surreal russian - run bar basement . check . 
 Sep 25 2004 	 smelly 	 room smell filthy cigarette smoke . ask non smoking room tell ! room lovely street quiet . great location , smelly room make difficult sleep . 
 Aug 30 2004 	 Great Value 	 thoroughly enjoy stay hotel . last minute book twin room end family room - plenty space spread ! perfectly situated seeing sight . also breakfast seem perfectly adequate us staff friendly helpful . small niggle plumbing . shower rather antiquated run bath one morning , cold water come bath tap hot shower ! price pay great value - want luxury pay luxury price ! old building modern & quot ; box & quot ; . would happily go back 
 Aug 24 2004 	 excellent value 	 return two night stay . hotel clean , staff pleasant , triple room spacious . area although minute london pleasant close tube . find two nice pub food drink two nice restaurant . minus point bar / restaurant close hotel , would return recommend hotel . 
 Aug 20 2004 	 good place stay 	 enjoy much stay airconditioned well equip ensuite room bargain price . breakf good - extras pay . 
 Aug 18 2004 	 great value 	 stay London Guards hotel two week August , 2004 . thrill large , clean , air - condition room . hot water run couple time maid make executive decision & quot ; rubbish , & quot ; needed throw away ... otherwise visit stress - free pleasant . ( include ) continental breakfast orange and/or grapefruit juice ; dry cereal ; toast , croissant roll ; coffee tea . one could order menu ( expensive option ) one need substantial start day . since refrigerator room , could handy stash yogurt snack . 10th trip London never return hotel ( include Hilton Sheraton ) , would definitely return London Guards ...... think excellent value . location convenient shopping , restaurant , public transportation . like walk , literally step beautiful Hyde Park . 
 Jun 18 2004 	 great staff 	 staff terrific .. solve A / c problem , set private car back airport we , help direction place change money . would stay . also good location .. near Hyde Park tube station . 
 Jun 15 2004 	 place lot potential . 	 stay London Guards June , 2004 . first positive - maid great job keeping room clean . sheet , floor bathroom always clean . room also quiet . unfortunately , appear repair high priority . I.E. , ice - maker work entire 7 day stay . shower hold duct tape , couch room tattere stain . finally , upon arrival , catch Heathrow Express , hail cab Paddington Station hotel ... cost cab 4 pound . ask concierge arrange cab take we Paddington Station catch Heathrow Express return home . instead cab , arranged & quot ; mini - van & quot ; take we airport . van small cab charge 13 pound trip . 
 Apr 12 2004 	 Love hotel ! 	 ' m puzzle negative review see . stay London Guards December 2003 find wonderful . room clean bathroom pristine great shower . room HUGE , ceiling high could lie bed gaze window particularly nice rainy morning . upper floor quiet lovely . good thing fridge air conditioning well , bathroom sort , entrance room ( inside room , course ) separate room 2 door . not know , like privacy allow . internet service downstair cheap staff cheerful , even wee hour morning ! bed comfy hotel nice quirkyness , full secret passageway odd angle . take 10 minute find way downstairs first time stay ! lol love place money ... come people , let us sooo critical . want quality Savoy , stay Savoy . 
 Apr 7 2004 	 Quality Slipping 	 return week long stay London Guards . third stay hotel disappointed decline overall condition facility . bed covering dirty , room well clean , run hot water several morning , elevator floor warping , wallpaper peel wall . staff helpful , however , allow move suitable room one become available . love location staff hotel sure return unless room rate extremely favorable ! 
 Mar 11 2004 	 unhelpful staff 	 London 2 american friend change hotel original book good ! go on - line find , unfortunately ... arrival , guy reception helpful tell we although book triple room actually double extra single bed . one situation know take long find another hotel short trip etc etc agree take . room small ok -the window rattle whole night - heat cold bathroom . one key night two we go theatre friend recover flight . receptionist put ask open door - think wake ! do not go - find another , friendly hotel ! 
 Mar 2 2004 	 Saty away 	 sleep , bed way hard . room tiny . brakfast lite snack , well vend machine . attraction way far . stay away 
 Jan 12 2004 	 Dreadful 
 Jan 7 2004 	 Clean Quiet 
 Dec 16 2003 	 good value good location 
 Jul 23 2003 	 Great Location ... 
 Jul 1 2003 	 would go back ! 
 Jun 6 2003 	 London Guards disappointment 
 Oct 8 2009 	 Tranquillo e ben collegato 
 Sep 14 2009 	 Très bien 
 Sep 13 2009 	 Für City Trip beste Wahl 
 Sep 3 2009 	 albergo ideale per visitare Londra 
 Aug 31 2009 	 Il peggior servizio mai avuto ! 
 Aug 23 2009 	 Calidad precio se corresponden 
 Aug 21 2009 	 Bon Hotel 
 Jul 28 2009 	 Empfehlenswert 
 Jul 14 2009 	 Volveria ir sin dudarlo 
 Jun 28 2009 	 ottimo 
 Jun 26 2009 	 ottimo hotel 
 Jun 14 2009 	 pulito e centralissimo 
 Jan 11 2009 	 Indische Gastwirtschaft 
 Nov 2 2008 	 Bon rapport Qualité / prix 
 Oct 28 2008 	 Comodo e essenziale 
 Oct 6 2008 	 Das Hotel London Guards ist emfehlenswert ! 
 Sep 7 2008 	 Furchtbar dreckig ! 
 Aug 23 2008 	 Céntrico zona tranquila buena relación calidad / precio . 
 May 13 2008 	 Parfait pour visiter . 
 Feb 17 2008 	 Awful 
 Jan 4 2008 	 Encantador 
 Dec 16 2007 	 Hôtel de charme dans un quarti résidentiel face à Hyde Park 
 Dec 11 2007 	 Nada de lujos pero muy buen situado 
 Dec 6 2007 	 ha rispettato le aspettative 
 Sep 28 2007 	 e ` andato tutto bene 
 Jun 22 2007 	 excelentemente bien ubicadolas habitacione son comodas el baño esta bien 
 Sep 7 2006 	 Bien dans l'ensemble malgré certain point à améliorer . 
 Aug 24 2006 	 tranquilidad muy malo escaso café 
