dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Sep 21 2009 	 Nice Room amenity 	 everything come price . tick tack . be $ 40 use fitness room . local call $ 1 . coffee machine . appear impressive , amenity bad Holiday Inn Select Courtyard . music pool loud could hear 20th floor suite . would stay . 
 Sep 21 2009 	 absolutely Beautiful Resort Questionable Service 	 first , venetian beauty , ground , suite , restaurant , convention facility , etc . truly first class resort . suite ( ) WONDERFUL spacious ... say , mulitple suite stay ? original suite one standard suite ; however much plush swanky upgrade suite spend final night . original suite , unpleasant odor emit water closet salon bath . simply try mask odor room spray day 1 , odor become unbearable day 2 . place call guest service continually put hold total 15 minute ; call end leave message . message return within 10 minute , tell maintenance would shortly ... maintenance never come day 2.on day 3 , dial Guest Services HOTLINE ( & quot ; IMMEDIATE & quot ; service ) ; , put hold toss around leave another message . message immediately return dial HOTLINE toss around finally speak apologetic lady understand problem vow send Maintenance room right away . wait Maintenance approximately 30 minute leave . return , Maintenance pull toilet wall note contact Guest Services . my fourth call Guest Services result place hold finally reach someone put hold consulted manager problem . tell would move upgrade suite trouble . the upgrade suite HUGE truly massive master bathroom ; however , decor rather bland traditional compare rest resort . all , place simply gorgeous well position Strip particularly work do Sands Convention Center . 
 Sep 20 2009 	 bomb ( great way ) 	 ok , first lthis first trip Sin City . place another level ! nice . show room key guard time want go room , not loose , 's long walk throught Resort . get room , floor . big bathroom , soon walk , tub , shower , bathoom door , double sink , flat screen , make - up table . come good bed sleep well ! carry self 3 step living room . thing say room goody fridge , please not take anything fridge , pay , thing go weight ! WHOLE RESORT ~ when go shoppe , get lose . ' m tell right . not ask free drink get gambling , make find way around 10 ' x bad . get drink every u turn head course , go stair food court try ice bar get drink , go back stair order free shot put drink make strong . Gambling~ not GAMBLE want REALLY win money , go casino royal ( think that s 's called,1 door ) Black Jack table min $ 5 , put girl $ 5 $ 100 ! ! ! ! ! ! ! ! ! ! oh 4 free spin Slot outside place , do not trick , win thing slot inside ( say $ 100 free slot play ) win , trust ! get around ~ please not rent car . feel like walk leg , even bus pass ! take bus ever go , be cool , clean , double decker , be every one use . althought make million stop . get pass , think one way $ 3pp , 24hr pass $ 7pp , . use cab one night going come ( freemount street , not let driver take interstate $ 23 come back , go girl take strip way $ 11 , either way 's pretty see strip light ! load walk still get bus pass matter what . thing do ~ be smart ! get every single book downstairs , take couple hour read different thing get coupon , 2 1 special / show / dinner ever . must go WAX MUSEUM front VENETIAN GOOD , GET take different PIX really great STARS like 2 PAC , SNOOPY DOG , OBAMA , PRINCE , BEYONCE , play boy MAN SELF , MANY . let KOW think ! go SEE water SHOW FRONT BELLAGIO be free , COOL , different . ' m going tell else , know like , 's alot different thing think . shop ~ go town Freemount street ! shop much better/ cheap . food CHEAPER plus not leave Vegas getting fry oreo , BOMB ! ! ! ! ! ! ! ! ! ! all ~ it be great place , high end . watch club open / close ( TAO ) 's bunch half dress girl , man wait line get . say 's maddness , be maddness ! ! ! ! ! ! ! ! make sure checkout store MJ go shopping spree . shoppe stair Venetian . can not take pix inside store ( can not tell outside ! ~~~~~~~~~~~~~~GOOD LUCK BLAST~~~~~~~~~~~~ 
 Sep 19 2009 	 fabulous accomodation 	 trip summer first Las Vegas child - age 11 14 . several hotel book decide go venetian . stay hotel year prior impressed room size location . arrive , checkin quick courteous , well informed touch anything honor bar unless willing pay it - our child also inform . opt room without strip view - we would already see . standard view beautiful view mountain , UNLV , plane land Mc Carran . worth $ 40.00 / not , saving . staff friendly , room large clean , wonderful location strip . plan return December . aware , though , valet parking take . sometimes be easy take cab . 
 Sep 19 2009 	 wow definitely experience Venetian ! 	 celebrate wedding anniversary trip Las Vegas stay Venetian . picture line simply hotel justice . beautiful simply top ! great experience first visit Las Vegas . the room lovely . oversized marble bathroom , large , cozy king size bed sink living room . room clean quickly every day . sure ask extra towel . room , 23rd floor venetian tower , overlook expansive pool complex . challenge halt construction . pool , music , drink comfortable lounge chair make . pool refreshing . you never need leave hotel . enough restaurant choose . go Delmonico 's special dinner . service lovely special treat restaurant honor anniversary . food serve timely , delicious hot . Emeril 's New Orleans would recommend Delmonico 's Vegas . everyone go bouchon breakfast . world . service little odd another table meal attempt serve we . not order , know not . confusion clear service focus . not waiter assistant delivery food seem morning . not care egg , try husband cheese frittia - oh good . french toast top . we also breakfast spa . BEST coffee . try spa Palazzo breakfast healthy tasty . go spa attentive service . worth long trek Venetian . take short cut pool desk fourth floor . lot fast less winding go hotel . we would highly recommend Venetian would go flash . 
 Sep 18 2009 	 wow ! beautiful resort .... ' m miss right ! 	 first impression Venetian Wow factor , facility , service restaurant wonderful , especially Grand Lux Cafe great food service . the pool area absolutely beautiful entrance venetian stunning beautiful painting ceiling . the suite huge fabulous , complaint . central everything across street Volcano Pirate show well 5 min . walk Fashion Show Mall . would definitely go back . thank westjet overbooke Bellagio put Venetian . 
 Sep 18 2009 	 Fantastic Hotel take time find way round . 	 7000 room join Palazzo huge complex . we get lose end wrong tower . load restaurant price two food court mainly burger italian . plenty chair round pool staff bring cold towel , cucumber eye ans slice orange . room twice normal size three Televisions include one double wash basin ( not ask ) . hotel top Strip decent part walk Planet Hollywood half hour walk . way every block line spanish speak woman man ' Girl 20 minute ' shirt push cigarette card picture semi dress woman . pavement litter discraded card . two pole dancer could see people microphone try get people bac ke loud music . . whole thing look tacky sordid . really good bargain go Las Vegas Outlet mall near Airport . ( Taxi $ 19 . ) .Good Hotel , helpful staff . excellent food . unfriendly fruit machine ! . 
 Sep 17 2009 	 amazing stay Venetian 	 stay Venetian 9/13 - 9/16 . whole experience simply amazing . stay Bella View Suite , semi - decent view strip , view pool area Venetian / Palazzo . room spacious well appoint simply gorgeous every way , shape form . get lucky check - in Sunday , wait line 3 minute . later day , notice 100 + people wait check , could see people could complain check - in queue . location venetian perfect , close everything Monorail board @ Harrah's / IP etc . . . ) however , regard gambling , find lucky Venetian ! gamble good , drink service chart . get free cocktail gambling make top shelf liquor ( grey goose white russians patron margaritas rock ) . casino treat well entire trip ! ! ! get room ~ $ 150 per night , great deal would highly recommend stay hotel get room & lt ; $ 200 / night . negative think battery low in - suite safe , take little bit time lock money up . P.S . & quot ; perfume smell & quot ; hotel over - bear we , actually liked mask smell linger cigarette smoke . 
 Sep 17 2009 	 Fantastic Stay ! 	 WOW , say minute see Venetian Resort Hotel Casino outside inside ! see previous post lack customer service experience , fact quite prompt need many way . wife travel need refrigerator medication ask bring right . place beautiful , see post place start show age , see none , room ( 21 - 235 ) Venetian Tower quite impressive cleaning service good job night . mention room suite , two queen bed sink live area large curved couch , din table computer desk . three tv 's one large restroom see separate Shower , Large Tub marble double sink , sit area lady well separate room toilet ! medical conference meeting room HUGE well design . 5 floor room , conference around 3000 attendance fill 3/4 large banquet hall , breakout session venetian perfect choice . some post not like Venetian Fragrance put casino hallway , bother , find refreshing . choose stay Venetian must see : Phantom Opera , Opera fan show magnificent ! Wax Museum ( not remember name ) great time go thourgh worth price admission . Pool City ! least 6 pool choose lot space nice gardening around . venetian Shops , experience , river go gondola ride available driver sing ride . restaurant , not go anywhere else eat , several place eat fine dining quick eat . place HUGE , 5 plus day get see Resort definately stay future . thank venetian make stay wonderful , complaint , one give much 5 be earn one . 
 Sep 16 2009 	 wow hotel resort - like glitz arrive ! 	 spend time Vegas one hotel / resort would go past Venetian . room exquisite , 3 plasma per room / suite , San Marco Square , canal singe gondalier , shop , show . this hotel everything one would expect Vegas . reasonably price excellent facility 
 Sep 15 2009 	 nice facility ; large deluxe room 	 enjoy Venetian -- check little slow desk agent pleasant advise room view have reserve downgrade view courtesy pro rata refund - insist receive room reserve discussion agent management receive room reserve rate reserve ; assume yield algorithm not make cut insistence meet agreement receive room book hassel ; room nice expansive ; furniture new tvs uncleanliness defect ; facility resort beautiful pretty amazing include enclose St Mark 's square dinner nice stroll opera singer etc free entertainment ; 20 restaurant , ton marble central location strip access make recommend choice 
 Sep 14 2009 	 get pay 	 room expensive ~ 317 / night Fri & amp ; Sat night , even cheap room . restaurant price cheap etc . , place great , almost definitely go back . stand feature : food ( almost ridiculous quality array ) , staff ( attitude & amp ; staff level strong everywhere ) , nice room , even expensive , beautiful setting etc . , free valet ( though think property well ) minor weakness : Venezzia wing / tower stay bit confusing get around , main pool ( Tao Beach ) mid - day shade , not bad summer tanning , pool tad tight lounge chair , get pair 10 - minute wait - bad . have fun go Tao night club , quite scene , 0 wait & amp ; 0 cost , due guest , wife - date ( would $ 15 w/o fem ) . definitely young crowd , mid 40 , fun anyway . we go Wynn Le Reve ( cirque style water show , great ) , Wynn also nice , seem like look / feel venetian well , limited interface w/ Wynn staff say Wynn 's folk ' average ' , vs top notch Venetian . bottom line -- want premium destination ( match pricing ) , can not imagine well Venetian / Palazzo . 
 Sep 13 2009 	 gorgeous close everything 	 son , daughter book hotel travel agent . get great deal price summer rate . room ! ! big , clean comfortable bed , everything could ask ! eat breakfast Grand Lux Cafe every day . great food service friendly , quick efficient . the hotel huge could spend time discover beautiful thing offer . 's clearly beautiful hotel Vegas . the Blue Man Group show awesome worth every penny . gambler fun playing slot little bit . when go Vegas will stay . 
 Sep 13 2009 	 venetian answer 	 ok , answer . look nice enter amazing lobby . room nice . see depth , see many stupid thing . 1- take age bring luggage room . 2- room lack many basic thing like slipper , laundry bag , 3- toilet shower spray . mean basic thing 5 star Vegas resort . 4- pool dirty clean . disappointing ! ! 5- body bother ask wish drink . 
 Sep 13 2009 	 beautiful room great strip location 	 room fantastic , could pack bed would . clean daily great ! wold really reccomend . pool area 10th floor hide gem peace quiet . 
 Sep 12 2009 	 good get 	 hotel get well well . 2nd visit say probably favorite hotel strip . the hotel beautiful course , room get even well . standard suite stay ( hotel suite ) size studio apartment . bedroom area step living space . huge bathroom probably anyone 's fantasy , soak tub , mini tv , bell whistle . room total 3 tv end watch all . the resort ton dining option . able get pastry breakfast pastry stand ( multiple location casino floor ) gelato die food court . worth every penny * * * highly recommend & quot ; Noodle Asia & quot ; casino . & quot ; Dimsum - chinese - Asian & quot ; one combo casual dining . vegas price reasonable , plenty option , food actually good . highly recommend shumai noodle soup . * * * personally not love & quot ; Blueman Group & quot ; show . cheap ticket ' m glad . expect extravagance bit animate interactive . bad , great . enjoy stunt like drum digital prop . 
 Sep 11 2009 	 wow ! 	 Fun hotel , cool thing see doglitz galore ! centrally locate , gondola ride fun must do . lot shop inside hotelBe sure walk thru entire hotel beautiful 
 Sep 11 2009 	 go class style ... bring wallet ... 	 favorite Hotel Las Vegas .. 1st hotel , new one . back 4 time stay suite 34~36 floor . great staff , professional , clean ! beck call ! venetian everything would want ! entertainment , show , great food , especially Delmonico restaurant ! must stop hungry good taste food ! large clean room , quiet , clean , around excellent experience ! pet , case classy hotel ! highly recommend ! 
 Sep 10 2009 	 nice friendly hotel . 	 Flew Vegas Southwest Sept. 6th . want avoid outrageous charge Sat . night stay . Stayed Sun - We d. Bella Suite Venezia tower $ 80 night . Joined Grazie player club previous trip even though play slot briefly , receive e - mail great rate offer . try book line rate $ 50 per night , would not go , call Venetian . ' m glad learn low room Venizia look parking garage . room 12th floor great view airport mountain . check noon . take 45 minute bell hop bring bag room , seem bit long even big hotel . need room receive bag . bell hop friendly regard give tip get around hotel . hotel casino relatively easy get around read sign . room beautiful clean . bed comfortable , great . staff meet friendly security everywhere . make sure key ask see day long go hall lead room . casino nice drink service slow slot tight , expect Labor Day weekend . seem reoccure theme many casino trip . use pool , walk around main pool area . lot chair , many get sunlight 11 . Venetian seem large number kid , hotel quiet regard kid scream hear people party hallway . hotel Vegas , wall room thin , be bad . we see Zumanity , book leave Vegas show appear sell , ' m glad book leave . show good , adult need open minded offend easily sexual performer get audience involve . book ticket Wayne Brady legend though ticket tonight , great place get discount ticket show day next . Wayne Brady funny . legend good impersonator , ok . say none venue appear bad seat theater small . also see titanic Luxor last day trip . enjoy , think 's worth $ 30 per ticket pay box office . box office Luxor titanic exhibit also slow . 3 people work , 1 seem really work . I usually eat one buffett per trip , one eat three . buffett Treasure Island descent . buffett Paris disappoint 45 minute wait get lunch food bland . Spice Market buffett Planet Hollywood excellent always . regard restaurant ; Margarittaville great always regard food drink atmosphere . blt entrance Mirage good BBQ nachos shake , hamburger worth price . happy hour Cantina Shops venetian good drink food . before leave Las Vegas , pay $ 10 per person early bird check Southwest , could make sure would sit next travel Vegas make sure ' m check exactly 24 hour flight . early bird work well A20 . concierge Venetian check we print boarding pass cost anything , tip $ 5 . next concierge desk venetian company charge $ 20 per person check bag fly Southwest forget airline . also print boarding pass check bag . next time see bag get plane destination . feel service worth fly Vegas late worry go back hotel get bag head airport . check bag Venetian , take monorail MGM explore south side strip . go airport take taxi Mandaly Bay , happen taxi ride cheap . overall , Vegas fun always would stay Venetian could get good rate room . 
 Sep 9 2009 	 not bad 	 hotel pack everywhere hotel Labor Day 's weekend . pool pack . beach party Tao Beach ( room face ) , party blast 6pm-4am friday saturday night . I like be conveniently locate Strip . casino not bad . pool would nice 're many people it . the reservation desk packed work fast . not feel comfortable check stuff desk check many people . I would come back , 's holiday 's weekend ..... 
 Sep 9 2009 	 hate Venetian 	 book room directly hotel tell cheap suite could accomodate family ( include 3 kid ) Rialto suite $ 359 per nite ! receive room elevator due noise guest get elevator ( scream , matter hour ) keep we awake 6 next day . ask move next day move Bella suite number bed without foyer $ 50 less ! ! ! ! ! ! ! ! ! not offer begin ? ? ? bed uncomfortable 1 person turn person feel it . perhaps due sheer size place , hotel zoo average age 19 guest type people would not want around kid . would definitely stay somewhere else next time . 
 Sep 9 2009 	 Remove under - aged girl exploit 	 1 . check - in good2 . lose luggage bringing room delay we hour.3 . room average although light poor4 . Grand Lux Cafe , B & amp ; B Restaurant Dos Caminos Pallazio deliver great food.5 . casino average ; although , frugal gambler.6 . hotel large try service lot guest drive customer service basically not go Vegas not stay Venetian . take 2 day maid provide full - service room.7 . Canyon Ranch Spa lucsious experience remember ; although , pick - up service spa poor8 venetian need seriously consider outside entrance / exit Tao Beach pool scene . hotel inundate trashy , obnoxious , drunken , scantily clothe , under - aged teenager young 20 something obviously without adult supervision display respect around . include guest non - guest ( identify green armband ) alike . apparent intervention hotel security . find irresponsible hotel allow behavior impact pay patron . least could enforce dress code throughout inside hotel ..... bathe suit cover - up would start . 9 . venetian total dissapointment .... see # 8 . thing worth visit Minus five Degree Bar Mandalay Bay , dine mix Mandalay Bay , take Sundance Helicopter Tour Grand Canyon early possible , roller coaster ride NY NY , Canyon Ranch Spa Venetian take Limo ride vs . taxi ride .... be worth extra money . stay Palazzo vs. Venetian ... issue state # 8 seem control . get married renewing vow like book event Wedding Bells Chapel . go www.aboutvegasweddings.com check review . my last parting word Venetian ..... get class put clothe back ! 
 Sep 8 2009 	 Excellent 5 Start Hotel Strip 	 favorite hotel place ' ve ever stay around world . beautiful resort pool , large casino , . bring KIDS ! : ) 
 Sep 8 2009 	 Beautiful Hotel extra include . 	 stay Venetian three night start September . room amazing , 28th floor , view strip , bath & amp ; seperate shower , 3 flat screen HD tv 's , massive comfy bed large corner sofa . hotel venetian nice saw . pool area great ample towel cover provide . suite rate include two ticket phantom , cost $ 166 make room cost $ 149 night seem reasonable . phantom good although abridged version . there however extras include room . fridge room digital mini bar . WIFI free pool lobby $ 9.99 per day room . Breakfast also include . we check 1 say would call we soon room ready . do thing 4 phonecall , go check room ready . need long day travel . overall hotel stunning , room amazing due size little impersonal ( Vegas hotel ) end pay extra . 
 Sep 7 2009 	 fake place - service comfort genuine 	 enjoy far ever expect . suite lovely - comfortable bed , lot room , amazing bathroom . every member staff speak go way helpful . 19 year old nephew thrilled place love Vegas experience . whole place fake , plenty fun Venetian Resort great place stay . recommend recommend . 
 Sep 6 2009 	 thank Venetian . . . 	 honestly , overall impression Las Vegas one horror -- fake ( daughter well ) . venetian bright spot stay Las Vegas . adjoin Venezia Bella View Suites , spectacular . bed sooo comfortable , a / c great , sit area spacious comfortable , bathroom huge luxurious . convenient show nice store / restaurant right downstairs , well couple pool . 's big thank Venetian : check , daughter discover leave ring bathroom suite . give size hotel number guest come go day , not think would ever see ring . email Venetian get home , next day get phone call Venetian tell locate little ring , hundred ( thousand ? ) room . daughter re back finger within week . thank , Venetian Hotel , wonderful customer service ! ' m recommend Venetian everybody know be go Las Vegas ! 
 Sep 5 2009 	 LOVED VENETIAN 	 stay four night Aug 25 - 29th . mountain view room , king size bed 28th floor . room spotless , large comfortable . check - in long line , take 10 minute . many restaurant eat , love Chef Lux , breakfast two morning . large , really hard find way around . thought pool small amount guest . would definately stay . got great rate thru Expdedia , could also get rate hotel web site . hotel mid strip , short walk casino Fashion Mall . romantic place stay also . loved stay . order room service one morning , delicious elegant . 
 Sep 5 2009 	 Delightful ! 	 broadly speak , long stay Vegas hotel , condo town . however decide June couple day night town enjoy Strip able drink three without worry DUI police ! e - mail offer Venetian , one night $ 118 ; extras include $ 50 free slot play , £ 35 bill Woo Restuarant , upgrade Blue Man Group ticket etc etc . so , rang book . take 10 minute drive place town , valet park car . seemd loooong walk valet desk front desk , get , check , 11 am , although officially could not 2pm . on enter suite , reaction & quot ; book one night ? & quot ; ...... lovely , - later find - bed comfortable ever sleep . try call front desk see could extend stay , get nowhere , eventually troll back desk , stand line age ( grrrrrrr ) manage secure second night rate - without extra . we love Venetian , Palazzo , casino seem less frenetic other strip , although ( strangely ) also busy . meal Woo scrumptious , sear scallop serve heaven ! moderately successful casino , overall well satisfied $ 236 worth . on checking , go Grazie player club desk , tell new member ( join claim $ 50 free play ) wouild entitle ' free gift ' . turn , gift $ 50 free play . however really great bit although mean high roller clock enough Grazie point second night comp would free we , whuich halve cost stay . on way stop play second run $ 50 free slot play . lose , slowly - not matter free play ! - fact $ 0.58 - yep , fifty eight cent . my wife start win , include progressive jackpot . cash $ 247 cent . check cash get back home place Paradise , $ 80 go - two night venetian gret food drink , lot casino play come home profit ! 
 Sep 4 2009 	 amazing consider Palazzo instead ! 	 research internet advice stay Vegas , choose Venetian get stay . order & quot ; king size , luxury suite & quot ; arrive could get smoke king size , two - queen size non - smoking . make reservation venetian , get two - queen suite Venezia Tower , ( correct ) may exactly ... sure one . loooong walk lobby room Venezia Tower locate adjacent venetian . ( experience tipping check - in person see upgrade , maybe ... ' ve hear ) forget saw room . extreme . enormous luxurious . would definitely stay ! ... venetian popular LOT people . stay Vegas would not stay venetian rather Palazzo , people seem bit earth . staff venetian helpful pleasant , target audience venetian posh wannabee . cocktail - waitress venetian arrogant , not even appreciate tip give they . be sure get pay . not settle less - might try see , sure get want persistent . PS - sure check mini - bar statement correct . apparently , use weight - trigger , use minibar - fridge cool personal beverage , will charge weight difference - FYI . 
 Sep 4 2009 	 great resort everything need 	 stay two week venetian spacious suite overlook main pool area . Vegas destination go , Venetian definately one list visit - excellent shopping range ' high street ' ' designer ' , huge range restaurant choose excellent chinese restaurant casino floor open quite late night , superb facility pool area helpful knowledgeable concierge service . Madame Tussaud 's good fun aswell ! canal gondolas , experience venetian little top fun make go buy afternoon Chai Latte quite entertaining . we really enjoy stay venetian great base holiday full concert excursion , well relax pool little bit gambling . it not cheap stay venetian look great facility , large suite tv every room ( bathroom include ) everything Vegas offer doorstep would great hotel . 
 Sep 3 2009 	 Trip Report Aug 25 - 29th 	 here trip report Aug 25 - 29th . I find pretty good deal thru Expedia 2 Orlando Vegas , Price include 4 night venetian , airport parking transport airport hotel return . fly Delta , like quite bit leg room . cost $ 1000 . together . go thru venetians web site , room rate would either way . everything go smooth happy choice . I find great link thru TA discount & quot ; & quot ; , use code summer get good seat , first seat $ 125 second $ 25.00 . really enjoy show feel well worth money . we arrive venetian around 4 pm . long line end wait 10 minute get check . friendly check , problem . get mountain view room 28th floor . wonderful . love room spread . quiet , . read slamming door night , hear none . love 3 tv . bathtub huge wondering would enough hot water fill . fill quickly . find hotel hard find way around , remember landmark room . think pool kind small many people , trouble find chair . kind tired first night eat Dos Caminos Venetian , coupon 25 50 . food good fresh tasting . stay casino pretty empty . Grand Canal alot fun explore . many place eat Venetian hard decide . the next morning eat Cafe Lux Venetian . I banana pecan pancake , delicious 3 people could gotten full plate . DH strawberry french toast , excellent well . like food much go back next morning too . we go explore strip , take lot picture . not vegas 15 year alot see . went casino look around . not think big one pay kind money . not see anyone win big 4 day . wandered fashion mall eat stripburger . shake yummy . restaurant.com gift certificate problem use it . the casino street crowd Tues , Weds , Thurs Friday start get crazy crowd . go see Jersey Boys Thurs night , , go directly Pallazo buy ticket , figure . come around 100 , good seat really enjoy show . go see Bellagio fountain Mirage volcano show . bad , could not get front could still see pretty well . wander TI try see siren show , crazy packed left . also go Cafe Reba tapas , another gift certificate use problem . food good price little high . buy gift certificate restaurant.com not get around use , refund call customer service . there thing want see run time think cost much . old vegas cheap drink cheap food . really like Venetian would stay , great location . 
 Sep 2 2009 	 good room ever eventually 	 able check within 10 minute arrival . get room , find one light entire suite work . , call front desk , take 7 - 8 minute could talk human go prompt , tell either would send electrician could change room , would send security let we also someone new room key . decide change room hall . wait outside room 30 minute one show . maid go kind enough call we . another 10 minute security finally show let we . still room key . wait , start put thing away find safe inaccessible . , call desk , wait another 7 - 8 minute talk human , explain situation . tell someone would send . 10 minute , someone fix safe time . still room key . call desk , wait 7 - 8 minute human , tell feel hold hostage room . tell would send someone ( oh ! ) could pick downstair . decide latter . say do , love room hotel . large comfortable room ever stay - clean , 3 nice tv , remote control curtain . smell lobby quite pleasant . pain could not use fridge sensor stuff , use one 2 sink , fill ice keep beverage cold . good perk receive $ 50 slot credit , come away $ 55 . outdoor gondola ride love . Madame Tussaud 's fun . dinner hotel good . pool great , plenty lounge chair towel . 
 Sep 1 2009 	 Impressed 	 expect outstanding hotel , mediocre good . Stayed Venezia Bella view suite really large room sink living room . 1st room give dirty use pillowcase leave room . 2nd room well perfect . view suppose strip hotel set back Blvd . look window see Mirage Treasure Island along ugly roof top building front hotel . mini - bar fridge room space rent one $ 25 per day , outrageous . pkg . come cont . breakfast pretty basic - bread , coffee juice . average ok . hotel pretty paint ceiling marble everywhere . 2 food court restaurant pricey . 2 pool area nice fun like hotel . ' lot walk , get casino food court room hike - have take 2 elevator get lobby . nowhere sit either . place sit slot , card table , bar restaurants- anywhere spend money ( like hotel area . ) get good deal book Expedia go season ' never cheap go vegas- food , drink , show attraction expensive year round ! mention gambling . bottom line- hotel nice nothing special . 
 Sep 1 2009 	 Fantastic Hotel 	 fabulous hotel great room . plenty space quality fitting - bed amazing ! hotel unbelievable quite easy get lose big . walk casino shop get street , 10 minute walk get outside . Tao Beach pool deck ( 4th floor ) nice drink extortionate - 2 beer 2 frozen soft drink = $ 46 ! 1 minor downside security bang door people fail respond wake call , mean 2 early wake up without ask . phone loud enough not know could not respond wake up . all glad choose hotel would definitely stay . 
 Sep 1 2009 	 Unbelievable hotel - love ! ! definitely one good 	 stay last year final leg honeymoon could not thrill choice , particularly end cheap 4 star hotel strip ( be tip brit ) hotel not ( hopefully will not ) add supplement staying weekend , virtually every hotel do . in short ride airport know minute arrive something spectacular whilst not hugely impressed vegas whole , stay hotel fantastic . grant , massive hotel - not Vegas , use would consider ' normal ' hotel , will shock - 's huge . opinion , bad thing , 's part Vegas experience . check take unless arrive late 's quite trek room casino , many floor , be worth , room amazing . fairly price luxury , plush furnishing , excellent equipment wonderful facility . set double level , two plasma screen TV 's within 10 foot , bed die , corner sofa . downside view enormous window , inevitably look build work - would probably case hotel constant building work Vegas . the hotel well place , get chance take resident show - phantom opera visit , fantastic . everything could need site , include designer shop famous gondola . try , time take helicopter Grand Canyon , definitely highlight stay , bellagio fountain great , operate every half hour definitely worth see day night . the Venetian , also Pallazo next , almost finish visit , Venetian 's sister hotel , ' m sure amazing , would definitely stay recommend ever return Vegas . go enjoy ! ! 's fantastic ! ! 
 Aug 31 2009 	 fabulous stay 	 return 5 night stay Aug 23 - 29 . second trip Vegas . much prefer venetian Bellagio . venetian connect Palazzo huge . many restaurant . great fish taco Dos Caminos . Grand Lux breakfast buffet big Bellagio buffet good meal enough choice . yummy risotto Canaletto Ristorante . room quite large nice view pool area north strip . keep blind open night raise bed area light beautiful . read comment room cleanliness lighting . room perfect . housekeeping visit daily follow direction place towel want replace floor always leave fresh one . everyone encounter extremely pleasant helpful . pool crowd never trouble find lounge . see Rat Pack show Plaza Beatles Love ... would recommend . wish back like aroma . always glad step back venetian strip . 
 Aug 31 2009 	 love ! 	 enjoy every minute stay ! stay 10days would stay long . staff helpful . hotel central every . good restaurant hotel good value money . love 
 Aug 30 2009 	 Definately 5 Star Hotel 	 fiance recently travel Vegas long weekend . Vegas stay Treasure Island . opt Tower Suite Treasure Island not disappointed . however , familiar hotel strip , venetian almost directly across street Treasure Island . catch eye decide head back vegas decide try venetian . resort definately 5 star staff room . usually like get & quot ; upper tier & quot ; room hotel ever stay basic room venetian well nice room stay hotel . resort clean , room ... well even basic room take breath away . like air freshner must put vent . location nice , convenient attraction strip still quiet . draw back resort expensive . long island ice tea 12 buck pop great . nice thing expensive exclude people really not want bunk next . tip : be gamble take day trip . Las Vegas great starting point bunch short drive great place . go Lake Havasu , AZ ( beautiful drive ) , Death Valley , Area 51 ( definately get Alien Burger Lil Ale ' Inn . something quirky still lot fun . 
 Aug 30 2009 	 Super nice except check 	 check 3 night stay venetian room 9138 . promise high floor view Las vegas Strip , get 9th floor end hallway ( long walk elevator ) view pool okay do not complain . suite compe . pro : clean , friendly , good food . con : Bad Vegas economy = tight slot ! tip : walk next door Casino Royale $ 1 Michelob beer bottle . 
