spend 	 stay wife anniversary . check upgrade harbor - view room , find chocolate wait us & quot ; happy anniversary & quot ; note ( tell special occasion make reservation ) . room spacious , spotless , look brand new , quiet - could hear noise room hallway . hotel quiet weekend - 's busy week weekend 's nice place get away . dine hotel 's restaurant pleasantly surprised get free dessert account special occasion - front desk communicate restaurant anniversary . think nice touch . room service breakfast next morning overlook statue liberty ellis island perfect way start day . highly recommend . 
 Apr 21 2007 	 way ritz standard 	 good -- pay extra club level access / food presentation worth . five food presentation , day drink , cookie candy great . breakfast presentation especially delicious -- love oatmeal . -- club level employee ( i.e . concierge server ) extremely helpful efficient . -- bathroom update , marble nice . -- comfortable bedsTHE BAD : -- room bit date reminiscent stay typical day inn anywhere , america . -- overall contemporary design open space , grandeur typical ritz . -- major problem check . book club level room word & quot ; club room & quot ; receipt . however , ditsy female receptionist keep say & quot ; club & quot ; room category idea & quot ; club room & quot ; could mean . irritated b / c , well , obviously , else could & quot ; club & quot ; mean club access reserve ? result phone call back forth american express , kind person gift we stay , nearly explode blubber receptionist . -- eventually , place club access room , harbor view compromise due lack room end city - view room . point , since either club access view , decide go former . FINAL comment : nothing hotel would set apart random , unremarkable hotel -- surprising , consider 's ritz . lose , however , b / c husband still able memorable time ... much b / c ritz , b / c company : ) . 
 Apr 19 2007 	 first choice 	 stay regularly business travel ( least every month ) reason close proximity client . love view room rise Bar service definitely erode last year . example last ( two day ) stay : ( 1 ) two day cold shower complain receive simple & quot ; really ? & quot ; follow ( 2 ) shoe shine service failed actually shine shoe ( stay hung door overnight even though call ahead ) ( 3 ) breakfast order come 45 minute early request . not acceptable level hotel . I would suggest stay St. Regis midtown unless absolutely must stay near financial district . 
 Apr 17 2007 	 Super Hotel Experience 	 stay 1 night end 10 - day trip get away people . Ritz Carlton disappoint . we contact hotel directly reservation ; talk courteous agent get great rate . 2 teenage child we four we stay room . hotel give we spacious corner room . quiet except heater come on . room furnish calibre 5 star hotel , similar Ritz Carlton stay near Las Vegas . needless say , everything clean . bed comfortable ; bit soft side I . every staff member meet courteous helpful . request receive late checkout . store luggage dinner restaurant . food restaurant good . the hotel bite far center action , easy get even subway . wait 15 minute get taxi many come ; perhaps particular night . the line - up Ellis Island Statue Liberty start form 8:00am . 3 minute walk hotel , get great head - start . overall : great hotel experience bargain New York standard . 
 Apr 7 2007 	 Different experience 	 stay property December 2006 visit relative take kid see city holiday season . stay 4 night . my experience really different expect 5 star hotel . stay Ritz Four Season hotel usally find really great . the doorman good , helpful get we taxi . the spa small massage get good staff nice . work room excellent.1 . first come via limo LGA 30 min drive depend traffic , hotel limo service upon arrival great bring two children seat limo important since 4 - year old 7 month year old . 2 . doorman , bellservice quick luggage load effecient manner.3 . check , greet nicely small chest file toy bin , little one . check - in process fast room rather quickly . room baby crib request , two small stuff bear girl . rate around $ 750.00 per night , premium room view statue lIberty.4 . fun start , first room clearly room handicap . handicap , one family , believe room use people really need . bath tub , essential baby . hotel well aware come two kid , shocked , call see move another room , tell we premium room totally book . ask upgrade , say $ 250.00 per night get suite . say fine , quickly move suite view two tall building side without view statue liberty . be not even go move again.5 . suite quite large NYC think well apointed . nice living room , nice master bedroom , wondeful bathroom closet . would expect flat screen tv , , amazing travel Asia , room much advanced . bathtub great , especially wife daughter long day CIty . wireless internet , DSL charge . location way Mid - Town taxi ride necessary , LOCATION GREAT BUSINESS TRAVELER FINANCIAL district.6 . bar lobby nice view bay food good ( appetizer ) , lounge think 11th , great drink wonderful view . concierge feel little , since ask less 3 time get movie list ( dvd ) little one never come , recommend quite restaraunt eat , never offer make reservation us.7 . well upon day departure 30 degress windy , flight 5:00pm request see late check . deny . stun since pay around 1100 per night ( 4 Nights ) two small child . wife , would big deal , would cruise around City hour . bellman check luggage storage basically entertain kid keep warm 4 hour go Airport . decide fill comment card room ( first time ever I m 33 ) , let management know go we . I m really picky , feel know . I contact around 6 week later manager hotel , apologetic , actually offer we free night next time come ( ask , expect ) . also ask do not ask upon check - out get late check - out . said & quot ; 5 - Star hotel & quot ; . nice , really appreciate call , ask would come back , say probably stay 4 season next time . nice really end send we free night via letter . overall nice hotel great location financial district bit away Mid - town , thing happen we . btw , girl check put we handicap room , well deny request late check - out . polite , Ill let decide think read review . 
 Apr 4 2007 	 hotel will loee New York 	 actually , boss splurge one . make day early conference - arrive Taxi , staff overly friendly - king stay . it be southern tip Manhattan , Green / B Line Subway 3 short block north , hotel car service , drool cab driver wait ' ritz'-y customer outside , get around simple . the conference city great , hotel always remember . bar floor open night amazing view Hudson towards Statue Liberty , help morale consider 'bout 10 block ground zero , former WTC.At 28 floor , hotel 14 floor , rest Residential Ritz ( whatta life ... ) . boss splurge put we 11th floor , otherwise know club level , ' club ' concierge lounge allow access new york paper read , laptop use , nearly drink want ( wine , water , soda , juice , aperitif ) feed like : great breakfast spread , amazing appetizer - induce late lunch , plentiful dessert . oh yeah , every time step outta elevator - there s alot good , nicely display candy sitting wait you . bed great , shower great , woman love light - up makeup mirror , ice bucket day , amenity unexpected shoe shine , personlize weather forecasting , Bose Clock Radio more . if ' ve get cash want treat like royalty - stay ( might wan na stay rest life ! ) . 
 Mar 28 2007 	 Disappointing 	 please able book room Ritz less $ 300 . night . however , service disappointing . stay Ritz Carlton property , find hotel could compare . upon check - in , offer option bag bring room . ask newspaper prefer , . credit , find one ( slightly wrinkle read ) promise one deliver room next morning . happen though . since visit warm weather , enjoy location spend good deal time walk Battery Park . also able explore Wall Street , Chinatown , Little Italy , Greenwich Village without use taxi . could accomplished cool weather , though . last day stay , check ask car bring front . front desk tell we would 20 minute . unfortunately , take nearly hour car appear . although inconvenience minor , leave we feeling would stay elsewhere next time . 
 Mar 20 2007 	 Impressive New York Hotel Standards 	 Ritz - Carlton Battery Park New York offer contemporary hotel experience , comfort frequently find New York City hotel . over year , opportunity experience several Manhattan hotel , yet continue return Ritz - Carlton Battery Park several reason . find NYC hotel , even four five star category , often lack space . $ 300 - 400 per night , preference least room comfortable spacious . Ritz - Carlton Battery Park offer spacious accommodation ( comparable find RC property ) respectable price NYC standard . although may argue location somewhat & quot ; distant & quot ; would much prefer comfort service decent price . property comparable amenity room size ( ie . four season New York , Mandarin - Oriental , Ritz - Carlton Central Park ) often charge excess $ 700 per night comparable accommodation . Battery Park locate low point Manhattan , adjacent Wall Street Statue Liberty . although distant Mid - Town , be convenient SoHo , Meatpacking District , Financial District , Chinatown , Chelsea etc . be visit NYC tourist , not find property inconvenient , aforementione neighborhood disposal . yes , Time Square Central Park cab ride away , want spend time anyway ? room consistent Ritz - Carlton property , particularly contemporary minded . bathroom spacious Manhattan , feature separate glass enclose shower individual soak tub . bed also extremely comfortable , feathertop bed high end linen . if be able book room club level , would highly recommend decision . additional $ 100 - 150 per night , Club Level offer guest ' five daily food presentation breakfast evening dessert . alcoholic beverage also include ( offer top shelf liquor ) travel NYC weekend , hotel probably offer good value city . weekend rate begin $ 295 / night . 
 Mar 15 2007 	 good stay Overpriced get 	 attend small conference company hotel February . aspect hotel like lot , though disappointing , especially high end hotel . the hotel great food- good food ' hotel . like Mojitos , try , even , expect , pricey . breakfast item nine West restaurant great , pretty pricey . though delicious hash brown bacon bargain $ 8 , delicious orange juice $ 6 glass ! service , expect , good Ritz CarltonThe hotel cheerful room quite large , especially New York City .. prefer sleek model design , come décor , furnishing Ritz Carlton , remind stay wealthy old relative slightly old fashioned taste . the gym adequate ( nice view 14th floor ) . compare gym ' use four season Park Hyatt hotel . even Westins Hyatts ' stay well hotel . also pool , surprising high - end hotel this . the location hotel , way downtown far go see plus minus . somewhat isolated probably quite inconvenient want spend time midtown . however , hold conference isolation work advantage since few outside distraction . plus side , also subway stop , two street away , hotel next beautiful waterfront promenade great stroll running . one thing bother hotel put handicap room ( bathroom seeperate shower stall like room hotel ) . wish tell give opportunity wait another room . I might stay business event , overall ' think great value money . 
 Feb 2 2007 	 Nice Stay - got great deal - waaaay downtown though 	 someone originally tri - state area ( NY , NJ , CT ) travel NYC buddy mine never NYC Michigan . want stay Manhattan stay really nice hotel . Believe , search Expedia find great deal Ritz Battery Park . ( $ 250 night August night ! ) explain buddy Battery Park southern tip Manhattan far distance Times Square / Central Park etc ... hotel nice . typical Ritz nice service . doorman helpful question catch subway , get cab etc ... checkin quick convenient . upon checkin , ask we newpaper would like deliver door morning ( WS Journal , Times , USA Today ) . expect ( since Ritz ) bag bring room check late offer . afternoon , turn service provide nice music play bose stereo provide room . Mini Bar nicely stock pricey . ( yet NYC , bad option since store open late night financial district ) extra cot request since one bed king room . cot uncomfortable bed comfortable . small desk phone iron , iron board available room . furntiture room nice oak furniture classy . 14th floor , Terrace Bar dine / drink inside outside . view outside outstanding weather nice , definetely check out . the hotel quiet long night party hussle bustle midtown manhattan , quite nice hop cab go back quiet hotel . cab fare Ritz Battery Park midtown run 15 buck ( depend driver ) . hotel across street battery park really nice relax nice view Statue Liberty Jersey Coast . finally , room great view statan island ferry right street . all , price pay , worth stay . look good deal travel site book . 
 Jan 25 2007 	 can not say ' m impressed : ( 	 girlfriend go NYC Christmas break decide stay Ritz hope similar well hotel stay in . the location not problem , yes way simple 15 minute train ride 5th avenue similar ! ( watch dodgy return weekend service we Brooklyn twice ! ! lol ) think main problem Ritz seriously par ... staff attentive enough first thing morning quickly lose interest day go majority concierge team could care less bag door busy talk cabby loiter outside ... order champagne surprise gf certain time ( take NYC propose ) arrive hour late .... probably foreign staff member could barely speak English that s another story ... overall mediocre 5 star hotel .... 3 star generous tbh , come nowhere near average 5 star ... maybe club level different there s hardly point taking option unless be think live next week get inclusive price ! 
 Jan 22 2007 	 Great Weekend Getaway 	 husband stay one night getaway get great rate US $ 295 . moreover , use platinum card get FHR amenity receive complimentary breakfast , complimentary lunch , upgrade harbour room 4 pm check . room - standard Ritz Carlton room - Bvulgari bath product . although quite disappointing return room evening turndown service . addition , reservation note would celebrate husband ' thirtieth bday , acknowledgement . front desk valet service - extremely nice go way greet we . , nobody lobby area open door . extremely cold windy night - surprise service offer . in addition , grab drink bar 14th floor . view incredible must summer month – balcony . service - okay - mess wine order - order Chablis - upon taste almost positive . note people would know , husband business - quite positive inquired . acknowledge mistake state swap Chablis neighbor 's Sauvignon Blanc . although provide correct wine , never go woman adjacent table acknowledge mistake . believe poor taste . brunch - magnificent . egg benedict onion potato incredible . addition , great seafood - colossal shrimp crab . since limited stay restaurant combine coupon towards Sunday brunch – charge ! please note location night ( traffic ) 15 minute cab ride - ~ $ 15 Union Square ( 14th Street ) . would stay tourist look explore Manhattan ' far main attraction . overall , get great deal negative easily overlook . 
 Jan 16 2007 	 Great Property Great Stay 	 return stay property great time . second stay Battery Park . book directly RC website snag great deal . service impeccable , staff friendly welcoming . room quite large ( king bed city view ) clean . bathroom large great ammenitie replace daily . order room service breakfast time second . find food excellent ( though pricey ) . also dinner 2 west excellent service . the big drawback , other site mention , distance midtown / uptown activity theatre major museum . 's pricey cabride , depend driver ( know shortcut pay attention ) . however , be willing brave subway , be walk across street , be two stop outside SoHo three four stop outside Greenich Village ( cab ride SoHo hotel $ 7 ) . still , like property good . view sof Hudson Statue Liberty breathtaking , lovely little tuck away restaurant grocery store within couple block walking distance . dinner restaurant call Cove reasonably price absolutely outstanding . be person thick , 24 hour day , not . however , be person want business / play day come chic , comfortable , calm room night , place . 
 Jan 9 2007 	 much well 	 3 adult arrive give we double room tell we , even though know 3 we come . arrange roll away bed put room go eat . come back rearrange furniture get around room . roll away bed sheet fold blanket . ask duvet tell not spare one ! tell stain toilet wall twice clean . complain room reception lady speak we English . gentleman reception speak another guest English . start discuss problem infront us - English ! think rude . lady look see could move we sister hotel . able offer we refund . decline unable get we room suppose ? think going get 5 star luxury not . treat like second class citizen . we stay New York many , many time year expensive hotel stay bad . 
 Jan 6 2007 	 great experience 	 wife stay one - night getaway book Amex Platinum Travel , entitle we complementary lunch continental breakfast 2 . also upgrade upon arrival city view harbor view room . clean , straightforward Ritz Carlton . decor modern room lavish ( double sink sit area ) comfortable view harbor stun ( probably unmatched NYC hotel ) . service throughout stay excellent staff seem well train pleasant . stay , wife also massage spa say among well ever . use gym , huge decent array treadmill / elliptical freemotion free weight . highly recommend Rise Bar quick pre - dinner cocktail . would even well summer terrace outside set additional table weather permit . overall lavish Ritz ever stay , adequate , offer excellent service make great break stress Manhattan . Battery Park City actually convenient go downtown , stroll along waterfront leave impression be different city altogether . look forward next visit ! 
 Dec 13 2006 	 Service Expectations / Great Property / Tough Location 	 stay Ritz early Dec 2006 . two connect room us kid . objective pre - christmas weekend NYC . hotel room great - would expect ton dough . service surprisingly good - generally - restaurant , concierge bellman . really acceptable wait long time service breakfast - especially wait staff stand around talk . breakfast $ 30 per person pancake - good service build price deliver . we solve breakfast problem walk 1/2 block great little grocery store . also wine store nearby . experience NYC traveler know location WAY downtown . Perfect Statue Libery tour , far enough Midtown 1/2 taxi stop we would take we way Battery Park . if business Financial District - would might stay , far south base general tour NYC . well service lot NYC hotel . 
 Nov 19 2006 	 can not wait go back 	 fabulous one - night stay Ritz - Carlton . moment check , everything great . find staff exceptionally friendly helpful - fact , good customer service experience , particularly in - room dining staff . contrary another reviewer 's report , arrival , door man actually come bound across lobby open glass door we . room nicely appoint comfortable window open . bathroom fantastic . room quiet , hear anything room hallway . entire corridor full wedding professional basketball team , sound . in - room dining , weekend brunch like nothing have ever see - fabulous presentation - look fantastic ( $ 65 ) . hotel bit far action , great water . pave path along water enable walk , biking , & amp ; rollerblade number intimate public gardens space instal along path . refreshing access , especially NYC . definitely Ritz convert experience . 
 Nov 12 2006 	 Loved ! 	 mom , sister stay facility first weekend November . suprisingly , good deal could find room big enough we share ( weekend rate $ 475 night ) . upon check - in , tell upgrade room view Statue Liberty - not even ask . view amazing , especially night Statue bridge light . room decent sized , two double bed comfortable . bathroom , mention review , large NYC standard -separate tub , shower toilet room - marble . nice ! use concierge several time , really go beyond recommendation restaurant right . excercise facility top floor good size numerous machine free weight ( towel bottled water provide ) . find staff friendly , though would not say completely amazed level customer service - sister mom make comment high - caliber hotel , open door ignore staff time . negative , tourist , location bit remote ( area interested go ) . Staute Liberty , Ellis Island Ground Zero within walk distance . , however , miss dinner reservation show underestimate long go take drive LIttle Italy dinner Broadway show . seem like location would almost suitable business traveler . , though , take subway anywhere New York , would stay faciltiy . also happy brisk fall weather beautiful tree change leave - carriage ride Central Park highlight trip - beautiful ! definitely nice time year visit ! 
 oct 22 2006 	 Shame build quality 	 hotel great site , wonderful view good facility suffer problem many modern hotel . construct cheaply possible partition wall flimsy not mind conversation tv sound neighbour intrude space place . hope adjacent young couple good time . New York price someone commission building meet reasonable standard noise insulation . 
 Oct 6 2006 	 wonderful stay Ritz 	 hotel wonderful ! ! ! right battery park tip end Manhattan . service beyond compare room decent size New York City . concierge fabulous get we great NYC restaurant Saturday night . sure stay ask & quot ; service shuttle . & quot ; free shuttle hotel provide . may get lucky like get take hotel 's stretch limo ! ! ! hotel quiet comfortable . want near action though , really not place - good way Times Square . however , World Trade Center Site Wall Street within walk distance ! 
 Oct 4 2006 	 go view 	 stay nearby family function Saturday night week ago . two room , one harbor view overlook Statue Liberty , city view , limited high rise apartment nearby . harbor view definitely worth extra price , par hotel caliber , Peninsula Four Seasons . room large refined , top quiet elegance ; bed comfortable bathroom full marble . sure check back hotel website reservation near , price book couple month back actually drop date near , hotel change rate . overnight parking steep ( $ 60 ) Sunday buffet brunch hotel restaurant likewise ( $ 45 ) though top notch ; hotel close ferry downtown attraction , haul midtown . service helpful , stay enjoyable . 
 Sep 17 2006 	 Lovely Quiet Battery Park Ritz 	 check hotel today - overall find hotel lovely - room large , great amenity ( Bulgari bath product ) , nice turn - down service night , comfortable bed , friendly helpful staff ( see exception ) . have never stay Battery Park / Financial District area pleasantly surprise lack street noise night ( compare hotel stay midtown meatpacke district ) . pay similar rate pay Hotel Gansevoort recently get much large room well extra . the reason give & quot ; Excellent & quot ; rate poor service receive doorman ( 3 ) upon leave hotel . walk bag one help another depart party car two other stand around talk driver . make eye contact one two ask could get cab . ignore completely say something doorman help guest whistle cab . cab start pull , continue ignore not wave driver ( could ) , walk back cab could not get door bag , one doorman finally walked open door . busy , would understand , one wait help time three . dissappointe common courtesey standpoint , let alone rate pay stay Ritz . nice way end stay , otherwise lovely . 
 Sep 13 2006 	 Quiet elegant 	 family stay Labor Day weekend Ritz . catch play , sightseeing attend US Open . staff friendly furnishing nice indeed . city view ( look north ) fine . ' m sure harbor view even well . we like solitude location lack traffic noise night ( plus reasonable room rate ) . make sure take walk around Battery Park head nice walkway Hudson side one World Financial . great landscaping , yacht port , etc . enter one World Financial view Ground Zero lobby area . ( 4 - 5 block walk ) also walk Seaport ( 10 block Ritz ) . pizza Pizzeria Uno . unfortunately subway stop near Battery Park not operate weekend , must cab go uptown . downside lack restaurant within walking distance ( although shopping / retail area one World Financial ) . cab ride midtown around $ 15.did eat hotel except drink / appetizer lounge bar call & quot ; Rise & quot ; 14th floor . nice great view Statue Liberty , Ellis Island , etc . even see Queen Mary 2 dock Governors Island . there great place one block call Amish Market . want snack , drink , deli item , breakfast head . eat breakfast every day $ 15 would cost $ 75 room service . would definitely stay . also would highly recommend italian eatery call Maria Pias midtown West 51st . one block west & quot ; Wicked & quot ; theater . dine twice . great food reasonable price . 
 Aug 28 2006 	 Great Stay 	 wife nice stay Ritz . NJ little getaway weekend . do type trip number time typically book American Express . we give upgrade harbor view room check . nice surprise ! room large clean . & quot ; large & quot ; , mean nice size room NYC . ' ve certainly stay large much much small . understand previously mention comparison Marriott , NYC nice - sized room . telescope nice add treat work well . bathroom also large immaculate . not get chance utilize bath butler , look pretty cool . one thing : love mattress concierge desk helpful show we could purchase . two restful night ! wife also enjoy massage spa , clean , professional relaxing . restaurant nice sunday brunch pretty spectacular : shrimp , crack crab , salmon , omelette , waffle , steak , chicken , dessert table die for . two thing stand mind RC - BP . one service . never hotel everyone , maid bellman front desk staff , hospitable would go way acommodate we . secondly , location work well we . live 5 mile outside NY happy removed midtown . spend time Battery Park ( Museum jewish Heritage great stop ) also walk Brooklyn ( Brooklyn Bridge ) Tribeca Soho . a beautiful hotel amenity would expect 5 star . 
 Aug 28 2006 	 okay Ritz Standards 	 stay 1 night August 2006 . , location great , Battery Park okay , quite far thing want NYC necessitate $ 15 cab ride way everything want ; could not take subway reliably cuz construction happen place . hotel new big , lobby quite small noisy active . lot group stay , volume noise ' ve come expect luxury hotel . staff friendly check - in quick , refinement miss ... like lobby lobby bar area . room average size , remind marriot , albeit nice marriot . thing room remind luxury hotel size bathroom Bulgari bath product ( nice touch ) . ' ve lucky stay nice property , maybe ' m spoil ? hotel leave want ... good part rate get , quite luxury property , even mid - range property , NYC . four Seasons , comparison , large quieter sophistication can not beat ... extra cost worth . want stay Battery Park , fine choice , be go spend lot time midtown uptown , would stay somewhere else . travel back forth not worth . 
 Aug 14 2006 	 Refined perfection Ritz ! 	 spend recent weekend Ritz Carlton Battery Park enchant serene , understate elegance lobby decor spacious , soothingly decorate room . furniture condition room simply perfect . bathroom large enough mini - spa stock deluxe Bulgari amenity . bathrobe luxurious ever see -- super - plush terry satin pipe collar sleeve . constant traveller , see good , bad ugly Ritz property set new high standard hotel excellence . perhaps outstanding feature gracious service , start moment alight entrance continue -- sadly -- must depart . enjoy breakfast room room service fare delicious -- notably -- promptly serve . do try one bath bath menu . select , bath butler transform bathroom candle - light , aromatherapy event , serve glass champagne leave indulge perfect bath . we pay $ 275 / night little slice heaven gladly return next New York . 
 Aug 7 2006 	 exceptional service staff 	 wife stay two night Ritz cousin 's wedding . first stay , highly recommend hotel . yes , be pricey ( able get discount room part wedding party ) low Manhattan location far action midtown , Times Square , Fifth Avenue , Central Park , etc . 's beautiful property , spacious well - appoint room , good food close downtown , Wall Street , Statue Liberty / Ellis Island . good service . staff -- check - in clerk bellhop concierge doormen housekeeping -- professional , courteous friendly . wedding reception first - class affair , cousin mother extremely please everything wedding planner food & amp ; drink waiter / waitress service especially hard - work staff . wife travel lot , usually child , special memorable romantic getaway we ! 
 Jul 29 2006 	 amazing stay 	 stay one night husband 's birthday . upgrade fabulous suite - probably nice hotel room ever stay . huge window overlook harbor Statue Liberty . room ( # 317 ) spotless , tastefully decorate , like say many huge window showcase spectacular view . receive one two bottle complimentary champagne ( one sweet housekeeper Digna ) . find staff nice attentive , seem genuine . fitness center good size , open 24 hrs . drink bar rise great view 14th floor sunset special . we problem get cab evening next morning plenty cab line wate guest . walk pleasant 25 minute home dinner tribeca Friday night , bad option either . overall think hotel great $ 370 good deal NYC . love area - totally different midtown look . 
 Jul 24 2006 	 Wonderful Service 	 return weekend stay Ritz - Carlton Battery - Park . hotel good location , room nice , harbor view spectacular . however , aspect hotel obvious early often service . stay many good hotel around world , must say every employee meet extra friendly helpful , make obvious prime management goal . stay Club level ( well worth extra charge ) , concierge ( Cullen Angelica ) absolutely bent backwards help we ( e.g . excellent restaurant reservation , times & amp ; direction attraction , casual mention wedding anniversary result many favor , etc . ) . will definitely back .... 
 Jul 8 2006 	 4 5 star 	 never stay Ritz - Carlton hotel suppose expectation bit high . ' get wrong , nice stay hotel beautiful , guess expect bit . business – classroom ( set ballroom ) pretty standard , food spectacular , lobby extravagant , front desk staff courteous , room unlike Hilton Marriott . little thing take away experience : wait one evening 30 minute find we cab , rooftop bar loud , expensive normal , view room back alley , toilet ( vacuum - power flush ) extremely noisy . as business room pay , ' feel gyp pay usual $ 600 night . nice , spectacular – expect . 
 Jul 7 2006 	 Perfect room 	 spend delightful three night two - year - old son , wonderful time . Harbor View room , although could not make head tail telescope , really not necessary . delighted wonderful view Statue Liberty , Ellis Island , water taxi ferry , . bathroom big , well - appoint , beautiful ' ve ever New York . room quite big , even huge New York standard . decor lovely perfect condition , featherbe dreamy . father wife stay across hall city view room . room identical , except view , $ 85 less per night . ( feel extra cost view worth every penny . ) stay Club level , not know value could add already magnificent hotel , unless one need eat five time per day . the room clean , though spotless : find old bottle cap luggage key hiding underneath furniture . housekeeper first night order special teddy bear son , free overnight shoeshine well do . we eat breakfast hotel morning . buffet weekdays offer delicious selection not - too - outrageous price ( think $ 25 ) , especially not charge son . Sunday buffet top presentation price ( $ 50 ) . every day offer delicious variety food impeccable quality . the Ritz obviously expensive , find much low rate ( $ 420 ) hotel 's web site 800 - number quote we ( $ 595 ) . Manhattan rate general quite high right , think rate represent good value enjoy . one minor item front door hotel quite heavy automate . doorman , often otherwise occupy getting taxi , open door wheel stroller bit challenge . my significant complaint Ritz staff tip balance helpful obsequious , point make uncomfortable . expression thank meet response & quot ; pleasure , & quot ; & quot ; absolute pleasure . & quot ; get try meet waiter 's eye refill water glass breakfast , even get & quot ; pleasure & quot ; simply smile nodded gratitude . enjoy fine hotel excellent service , servility encounter here . all , wonderful stay , would return absolute pleasure . 
 Jun 20 2006 	 dream 	 wife stay Ritz Carlton second honey moon . wife never New York special could . stay club level initially give city view , upgrade Harbour . 's fault , City view basically construction view moment splash majorly go Ritz Carlton first place , seem stupid save $ 60 per night upgrading . fast efficient , fact someone came check happy room begin say lot service . could not happy harbour view , great room . even nice service Club level staff . always accommodate , cheerful chatty , really make experience stand . fantastic time New York . location hotel we perfect - review seem mention beautiful park across hotel . fantastic morning stroll away hectic hustle bustle mid town . want noise excitement mid town , might , lot place within walk distance two subway stop close taxi tap outside front . Personally would rather go experience mid town hustle bustle , come get good night sleep . food Club level excellent . british be little wary ridiculously huge american portion , choice lot small portion food perfect , not make feel like go waste . also great californian Merlot well wine , one particularly good . type person enjoy pick hole everything moans walk anywhere , like centre noise , maybe hotel not perfect . want feel like royalty sip whisky rock whilst watch sun set Statue Liberty , favour book Ritz - Carlton Battery Park Club level . will not regret moment . 
 Jun 7 2006 	 Great Service good room good location 	 stay hotel weekend room club level overlook harbour ( . 1115 ) . room bright nicely decorate . comfortable bed , large marble bathroom Bvlgari amenity . service club level excellent , staff greet name . food presentation great , good selection food drink supply plentiful . minor issue adresse : first , know weekend , inform club level guest dress code elegant club lounge , not enforce ? sourrounde people short sneaker , tracksuit bathroom slipper time Ritz Carlton style . second , room start show wear furniture carpet - stain scratch - minor renovation would due . 
 May 30 2006 	 Terrible Service 	 guarantee one price room end book entire room type try get switch correct room , would honor price quote 4 hour . cancel reservation rest week stay one night ( late cancel night ) 5 star hotel . much well place city like New York w/ lot well location . 
 Apr 30 2006 	 Spectacular View Great Location ... 's detail ! 	 return lovely weekend Ritz Carlton Battery Park ... previously book trip February cancel last minute due sudden hospitalization family . could nicer cancellation , rebooke whole trip . beautiful hotel make well fantastic spring weather experience . front desk staff arrange early check - in problem , Concierge give we excellent recommendation lunch . valet staff prompt courteous , view unparalleled . enjoy promenade along river , coffee lobby morning , everything perfect ! 
 Apr 25 2006 	 go wrong Ritz ! 	 second stay Ritz Carlton , Battery Park sure third , fourth , fifth ... etc ! stay Ritz Carlton 's always stay club level . value receive extra charge per person extraordinary . small meal beverage service greet portion day staff second none . enter Ritz Carlton Club Floor , essentially become part world never want leave ! Husband , wife , 2 daughter ( 15 & amp ; 12 ) spend short weekend enjoy spring weekend walk low Manhattan take Broadway matinee . the accomodation wonderful view NY Harbor treasure ! true New York experience ! 
 Apr 17 2006 	 fabulous stay 	 stay Ritz - Carlton 2 teenage child , club level could fault anything hotel . first time NYC everything great - expect , staff really helpful , hotel lovely . can not wait go back . 
 Apr 15 2006 	 Disappointed Ritz - Carlton 	 ' ve stay nice hotel , first time stay Ritz - Carlton . overall , would say somewhat disappointed experience fall beneath expectation . first , positive - bathroom nicely appoint spacious bath , shower stall , toilet alcove large vanity area . outside , room really nothing standard Marriott room . service spotty - first arrive ( 3 pm ) remnant another guest ' room service outside room ( not take away approximately 2 hour ) . clean lady come room prior checkout start clean . call concierge , front desk , etc ... result unacceptably long wait time . bathtub stopper not work ( although maintenance worker quick come fix ) . furnishing bit worn ( stain carpet gouge wood furniture ) . valet bring car around checkout , even offer help load bag car . at hotel carry Ritz - Carlton brand ( pricing ) would write minor nuisance ; Ritz , expect well . 
 Apr 11 2006 	 overall good package little sloppy detail . 	 travel business . pre - book non - smoking room . Put & quot ; non - smoking & quot ; room smoking floor . could smell tobacco instantly . apologetic move proper non - smoking room . Room get large enough spread . excellent bathroom tub separate shower cubicle . ample work space . internet access cost . large tv want watch rubbish american program . only order breakfast room service . not bother . tea toast serve cold time request ignore , call early time slot request . have dinner main restaurant . excellent - steak speciality . pricey cater business clientele lot business discussion go on . Gym , good range cardio strength equipment operate 24x7.bar nice view Hudson river Statue liberty . ok - nothing amazing . Got overcharge laundry . dinner charge twice two differnt check . I consider sloppy 5 star establishment , although correct immediately front desk . wonder many people would even notice late . location boring need close financial district probably well pick nearby hotel . I ' m give 3/5 blob base price service ratio critical issue non - smoking room overcharge . 
