let 	 budget hotel budget hotel . bad hotel ever . depressing . upkeep . shower appliance come hook . stain carpet . personal unfriendly / demoralized . think want get rid budget crowd altogether . leave one night . favor go well hotel nearby . 
 Jan 29 2007 	 Rubbish 	 stay hotel two night end business trip fly back UK . reception public area stylish contemporary . however , room allocate non - renovated room shabby tatty , clearly need pende renovation . book Superior Room fail see room book could describe . would not stop hotel , would recommend unless guarantee receive renovated room . 
 Dec 14 2006 	 get suite deal 	 book last minute stay two night Peace hotel . go directly novotel website find could book king executive suite $ 135 per night . room top floor view great , room huge . actually like two room , one large bedroom king bed great furnishing , sit area complete couch , chair , large tv , dining area sit 6 people . two full bathroom executive concierge lobby hall . free snack drink 6:30 , also set - up breakfast morning . everything perfect . would highly reccomend hotel , spend extra buck get executive suite . 
 Nov 17 2006 	 Beijing 's good 	 stay October year find clean , large room great facility ideal hotel pleasant stay Beijing . the breakfast buffet well ever encounter travel , bar face street , & quot ; happy hour & quot ; great place unwind day shopping touring . it also walk distance Forbidden City main shopping area well . we recommend friend visit Beijing . 
 Nov 11 2006 	 Loved Novotel Peace 	 great hotel term room service . book deluxe room king bed come breakfast . cost approximately US $ 100 . great breakfast , great room ( big clean ) great service staff . first check , safe room battery . call immediately someone send replace battery . another time , tv remote work immediately call , service personnel come check . great buffet breakfast every morning ! furthermore hotel fabulous location , right next shopping eating area . 10 min walk forbidden city tiananmen square . 
 Nov 9 2006 	 excellent location good room 	 back trip China . stay hotel three night , much well expect read comment site . give large corner room triple aspect window sofas , well appoint comfortable . Buffet breakfast good . some excellent restaurant within easy walk distance . staff ok could little friendly 
 oct 22 2006 	 nice lobby great buffet dumpy room will want know ... 	 review hotel spot , however feel compel share experience business travel China . help one person avoid hassle mistake make , accomplished mission . important thing remember travel China culture honoring reservation distant second try get pay everything . not worry , not specifically single tourist -- spend amount time type thing one another . book mutiple reservation ( Shanghai , Xi , Beijing ) course several year many time claim & quot ; lose & quot ; reservation ( even prepay point reservation American Express ) fight get already pay instance . hotel & quot ; lost & quot ; reservation well . rate two room ( prepay American Express ) 108/ US per night . oddly enough , confirm pay full price room yet claim one room full hotel . long story short ; two call american express , four hotel promise & quot ; accomodate & quot ; arrive -- complain -- lot . arrive try make feel guilty getting pay say kick peope . imagine audacity . room adequate . finally get room second room big stain carpet first break safe . bed stiff board . walk Forbidden City 15 - 20 minute take short cab ride . hotel arrange car service take great wall ( ask Ba Da Ling ) 1200 rmb . highly reccomend use car service go anywhere . hotel room massage often include & quot ; extra service & quot ; ( use imagination ) quote 180 rmb massage . person arrive , price might double triple hand pen start tell write price . general advice travel China:1 . bring document proof reservation2 . book third party ( like travel agent ) third party give confirmation number , not assume hotel honor recognize confirmation number3 . whenever , will ask someone local call hotel confirm . 4 . want arrange car pick ( highly reccomended ) use VOIP cheaply call hotel ask . 5 . prepared haggle almost everything . , try keep cool understand part business China . usually , put big enough fuss , give deserve . 
 oct 4 2006 	 Great Location 	 previously stay Beijing want hotel central novotel definately . 's 5 minute walk main shopping street close main attraction . stay twice holiday start July end trip August times great stay . check quick easy front desk staff talk good english . room large compare hotel even though book standard room fruit basket room . hotel also provide small bottle water room free charge . bathroom standard room impressive bit date clean . on second stay arrive early morning ( 7 am ) expect able check later , ask front desk room ready however decide upgrade suite even though book standard room . room awesome , bedroom connect lounge room bathroom really nice . resturant breakfast two morning stay can not fault food , good . ' m chef hotel often examine people serve breakfast novotel great range food . chef cooking fresh pancake , waffle crepe . another cook egg . section freshly cut fruit , traditional chinese breakfast , cereal , juice , whole fruit . expensive ( 120cny think ) worth eat alot breakfast food high quality . the front desk great deal help bell boy concierge . assist instruct taxi driver go , plus small card whole list tourist place english chinese , good give taxi driver . this hotel would stay 
 Sep 11 2006 	 Good Location 	 stay August 30- Sept 1 2006A $ 230 3 night ( we d thur fri ) book directly hotel website cheap avenue ( hotel website , agent etc ) Location - GreatFacilities - GoodStaff- PoorFound staff average , porter pushy ! be not even cab guy try get book car go wall . say expensive would want check around price , say knocks 4 pm , have not hear would come room ! hour later another one start we . reception staff clueless , communicate email several time arrival say fly Beijing 10 pm 1st require room till 6 pm , half day rate apply . charge full day rate do not argue kind enough check we 8 am day arrival . check 6 pm keep ask leave early . hand frequent flyer card cashier say could not use book internet agent . explain book direct hotel . take number yet appear account .... know thing take time wait . room old wing know would get old room price pay . be not expect filthy bathroom though , orange mould bathroom shower pretty horrible easily wipe away towel sure housekeeper could not . stay basic accomm time , would never expect Novotel . the resturant would not let we order menu breakfast insist buffet need order room service do not want buffet . order continental room service follow day several thing miss . however order early dinner room service day departure food great , huge portion fast service . 
 Aug 29 2006 	 nice downtown location 	 Nice hotel great location . pleasant lobby bar good price good music . terrific breakfast buffet . if 10 - 15 minute walk major attraction far , cab less $ 2.00 usd . lot within 10 minute walk range . staff helpful arrange tour trip Great Wall . would definitely recommend property . 
 Aug 20 2006 	 well situated overate 	 move Marriott West Novotel convenient location . entrance hotel spacious beautiful . people desk helpful could see room come check . decide give try stay 5 night . put room & quot ; newer & quot ; part hotel . room good size bed comfortable 's positive thing say room . it , dirty : dark stain blue carpet , stains grey , old curtain , stain lamp shade , poor lighting , break cheap furniture . the wall also need serious coat paint dirty . the electric tea kettle melt rim heat end piece pastic cup tea . bathroom also poor condition . towel old sink chip old black dirt mark . I talk manager explain surprised see room poor condition 4 star hotel . ask come see room . , seem surprised saw pointed room . within 2 hour , call we tell we put we Deluxe room 16th floor . room bit clean new , sturdy furniture , sink bathroom also chip , overall , impressed . good part hotel location food . breakfast dinner buffet excellent large variety good quality food . 
 Jun 29 2006 	 excellent value great location great food 	 second time stay time great . rate standard 4 - star , resonable price . room modern , clean , large . location excellent ; walk Forbidden City . good amazing buffet breakfast / lunch western eastern food . first eat trip , pig two solid hour ! ( mind , spend previous three week northern China Russia . ) small problem close construction hotel , ask move we , . 
 Jun 1 2006 	 good hotel great location ! 	 stay hotel 4 night May 2006 really enjoy . room clean , spacious ( two bed ) 14th floor away road noise outside . fact whole hotel nice quiet . bathroom fairly basic room everything could want . good small pool hotel , sauna etc always quiet . staff reasonable amount English concierge helful finding restaurant etc . main restaurant hotel buffet day not fancy one occasion eat food good ! someone else mention air crew , plentiful . think keep hotel go ! problem . you could walk main shopping street good restaurant , 15 minute could walk Forbidden City . Taxis plentiful area , warn need destination Chinese ( hotel handy card main tourist location Chinese ) .Just road chinese night food market - one want try something different ! 's experience ! experience hte pimp outside simple & quot ; & quot ; get rid . everywhere China nothing particular hotel . I get taxi airport cost around 80RMB not bad lucky traffic . fact get taxi around city cheap - never consider drive traffic mad ! 
 Apr 26 2006 	 rate hotel- two level accomodation not tell . 	 .We party 5 adult two room . ( 1 couple one room 3 single another . couple get ' upgrade ' superior room whilst 3 triple room west wing . well , west wing room leave lot desire . room west wing bad condition peel wall paper , well worn furniture carpet badly need replace . whole wing desperate need refurbishment bring 3 star standard . bathroom old yet clean though water pressure poor . big contrast friend ( couple ) upgrade ' superior ' room . room one would normally expect ' standard room ' 4 star hotel- definitely superior standard . would expect NOVOTEL hotel room . whereas triple room west wing leave lot desired- ' surprised NOVOTEL embarrassed condition room wing- would expect NOVOTEL surprised lack consistency usually go NOVOTEL hotel know level standard expect 
 Apr 13 2006 	 sure warrant 4 star 	 common area hotel nice , room not seem live promise . room quite basic , bed uncomfortable bathroom ordinary - not even think abou take bath ! however breakfast good , dinner one night eat . location good good restaurant shop nearby . group girlfriend location feel safe . hotel seem use Air France staff overnight , morning / afternoon / evening , would go lobby drink every available ( empty ) table would mark reserve Air France . a large group we arrive hotel check - in time ( 2 pm ) luggage , one 6 room available reception staff pretty unsympathetic . find reception staff staff bar / coffee lounge rude one occassion . overall - enjoy stay would stay price right . 
 Mar 23 2006 	 good comfortable 4 star hotel 	 first hotel extend tour Beijing . enjoy stay happy hotel . expect compete five star hotel offer good decent accommadation , great breakfast wonderful time . unlike previous writer problem street . Wangfujiang close happily eat local dumple restaurant problem . two woman , never felt threaten harrasse . look like tourist issue . great night food stand Wangfujiang near hotel - eat stall fun watch ' action' . breakfast hotel good ! initially not seem like much soon realize hot dish around chef station along back wall ( container recess not really see ) . croissant , befit hotel french background excellent . our room good , decent , clean , 4 star quality . ethernet internet Access fee room daily maximum believe 60RMB 100 RMB.We enjoy stay would return . reasonable rate check price internet hotel . 
 Feb 19 2006 	 get to kidding 	 conference Beijing Friday decide stay weekend Novotel . corporate rate RMB650 USD80 include breakfast , taxis charge , stay suppose deluxe room 16th floor . room , good , equivalent three star hotel US , feature quite worn carpet , small television , old couch hard huge king size bed . bathroom however leave lot desire - shower little pressure experience initial shortage hot water . breakfast hand quite good , especially stick western selection - fry egg , bacon salmon . chinese pastry fruit prove ok , great . I think Air France Aeroflot put crew hotel get fair share airline thoroughfare . every SINGLE HOTEL CHINA , PREPARED FOB PIMPS ENTER LEAVE premise SUN go . think location great , definitely close Wangfujing Pedestrian Mall walk entire length Mall get metro stop . , prepared fob pimps.a local taxi hotel airport set back USD15 ; USD30 opt hotel car transfer . pick latter , be worth . Beijing taxis complete bloody disgrace . overall , okay experience . 
 Nov 6 2005 	 fair 4 Star Hotel 
 Sep 8 2005 	 verygood option 
 Aug 26 2005 	 good deal Beijing 
 Aug 21 2005 	 Outstanding . believe review 
 Aug 2 2005 	 would not go back hotel either ! 
 Jul 12 2005 	 would stayed elsewhere ! 
 Jun 3 2005 	 3 star room 4 star hotel 
 Mar 29 2005 	 good first visit Beijing 
 Feb 1 2005 	 Standard hotel central shopping area 
 Sep 27 2004 	 well hotel 
 Sep 27 2004 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 17 2009 	 Hotel bien situé 
 Nov 16 2009 	 Bien 
 Nov 3 2009 	 ideal avec des enfant 
 Oct 8 2009 	 splendida posizione per visitare la città 
 Sep 4 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 3 2009 	 Un bon acceuil dans un hotel vieillissant 
 Aug 27 2009 	 Hotel parfaitement situé Buffet excellent tarif étudié : GENIAL pour la famille 
 Apr 7 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Apr 4 2009 	 Hôtel de très bon standing au Centre de Pékin 
 Mar 2 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 20 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 25 2008 	 ? ? ? ? ? ? ? ? ? 
 Dec 11 2008 	 Novotel Peace : Buena relación calidad - precio 
 Nov 4 2008 	 Excellente situation et très bon confort 
 Oct 7 2008 	 Excelente 
 Sep 26 2008 	 ? ? ? ? ? ? ? ? ? 
 Jul 31 2008 	 parfait rapport qualité / prix 
 Jul 28 2008 	 Muy buena situación 
 Aug 30 2007 	 hotel 2 etoile 
 Aug 25 2007 	 muy recomendable 
 Aug 2 2007 	 Super rapport qualité prix 
 Jun 4 2007 	 Espaces commun très bien - Chambre éviter ! 
