boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Aug 20 2007 	 Love Hotel Rex 	 enjoy Hotel Rex ! great location . ambience charming . friendly helpful staff . great weekend trip 
 Aug 14 2007 	 Cliche good way . 	 exactly would expect San Francisco boutique hotel - small , charming , friendly , great bar attach good restaurant . room bit small , expect S.F. , hotel strategically locate easy wallet . would definitely stay . 
 Aug 13 2007 	 Rex Really Rocks 	 great boutique hotel fabulous area San Francisco . Union Square block half away . obtain transportation sup easy hotel -- walk corner hop trolley stand outside hotel ton taxis always drive ready pick . walgreen across street -- convenient . location great 's noisy night . room small clean nicely decorate . bed amazing -- comfortable . hotel 's restaurant , Cafe Andree , wonderful place breakfast , good coffee town ( Equator Coffee , yummy ) . husband dinner one night Cafe Andree . compliment Alejandro , chef , dinner magnificent innovative . also hang hotel 's lounge wine hour -- blast . great jazz singer , Denise Fraga , night , wonderful relax busy day activity without leave hotel . staff friendly ( front desk , restaurant , lounge , even housekeee ) . Rex 's management phenomenal job show aspect hotel moment walk , know somewhere special . already plan next trip SF Hotel Rex . 
 Aug 13 2007 	 believe good review pretty awful hotel 	 stay Rex couple week ago , back trip States . always believe get pay true Rex would pay lot less do . at first thought room not bad , bit tired shabby staff seem friendly enough location not bad . problem start first night room stuffy air - con control not seem much . ' ve stay hotel terrible air - con year pretty much accepted must another . however second night get back hotel - typically cold San Francisco summer night . walk hotel place like , get back thye room 's even bad . pretty uncomfortable night follow go reception complain heat air - con working . reply ? ' oh room not air - con ' . turn control have play heater ! stagger ask ' m tell 's one room every floor air - con give we ! pay front Expedia smack get rid bad room someone be already pay . get move air - con absolutely tiny room . funny thing last night come back room night suddenly temperature fine would obviously trouble heat too . it seem plenty people stay great time 's fine - not experience know ! advice would plenty hotel area handy location - wise probably tired uncomfortable Hotel Rex . 
 Aug 4 2007 	 Service name game . 	 time first contact hotel rate , etc . staff never let we . front desk accommodate . line taxis limos we , help direction attraction . maids friendliest remember . room great , clean , shower excellent . David lounge fantastic ! hotel staff live expectation . location great , quiet , block Union Plaza many nice restaurant shop . definitely one good stay ever . look forward stay Rex every time visit San Francisco . 
 Aug 1 2007 	 Rex rock ! 	 Rex busy part town situate nicely somewhat quiet street . staff great room nice . upgrade king without even ask . able take walk Giants Stadium see baseball game . lot gallery area ( check Hang gallery ) shop plentiful . Rex nice place return busy day . btw stay away Sears breakfast- stink ! ! ! 
 Jul 31 2007 	 Fantastic hotel ! 	 love gotel - cozy 1930s style boutique make feel like live inside Henry Miller novel . room small , small , nicely decorate warm , invite color . bathroom great nice water pressure , nice mint - thyme bath product , powerful hairdryer . room keep clean friendy staff linen nice . staff across board cool - check - in , transportation help , laundry service , check - out . never notice oft - mention musty smell hallway , sixth floor , maybe not . low floor seem colder mine - use stair lot elevator slow walk great SF food anyway . location super convenient bad homeless . feel safe petite , solo female traveller . sightseeing much never get take advantage free wine adorable lounge . tv reception awful , go vacation watch tv ? would definitely stay next time return SF , esp . boyfriend . like room much , stay one night pig room service . 
 Jul 25 2007 	 Great secret 	 location fantastic not even good part ! free Internet , Free Wine Staff ! staff recomende something every night , make dinner reservation we even map dive bar tour we . room european size window unit airconditioner ok . hotel great price , money find ! 
 Jul 16 2007 	 enjoy stay Rex ! 	 Hotel Rex truly hide - gem Union Square ! 's comfortable , clean , well - maintain . staff friendly amenity great -- free wireless internet , business center , evening wine reception . also like hotel 's location 's quiet side Union Square , away tourist . 's great 's block away main shopping center , include Saks , Tiffany , Macy 's , etc . we surely stay Rex ! 
 Jul 9 2007 	 Great Hotel - clean friendly staff 	 take husband San Francisco 65th birthday . book Hotel Rex read good review Trip Advisor disappoint . staff helpful friendly . wine serve evening reception good morning coffee delicious . room spacious clean hotel location serve we well . wonderful trip definitely stay return SF . future trip certainly check sister hotel . 
 Jul 5 2007 	 Vintage Charm 	 spend age trying choose right hotel SF 2 night stopover . glad pick Hotel Rex . great location Union Square , nice pedigree litle quirkiness . also like literary slant adjoin Cafe Andree next door ( nice pancake coffee breakfast ! ) bedroom small side crook floor , also bright - quite Parisien feel . regret would liked spend night lounge lobby . maybe next time . 
 Jul 3 2007 	 be look forward next visit 	 stumble Rex planning honeymoon . be literary fan streak artsy - fartsy , right alley . for month , tell friend upcoming stay literary salon . think nuts . upon arrival , ( $ 40 taxi airport ) check find comfortable , albeit small room . we tell room get big high go , second floor . bathroom smallish , uncomfortably . 's well - stock mini - bar ( great hold leftover restaurant area ) , spa robe wardrobe . the hotel situate comfortable walk distance Union Square China Town , smack dab middle run gallery . spend lot time gallery hopping check active art scene city . if want touristy - type stuff , staff help figure good way spend $ $ -- weekend pass vs individual admission ... 's delightful cafe adjoin hotel , well . wine reception evening warm welcome day run around . good part though , artist series Rex Salon . stumble upon Antigone Gone concert -- worldclass guitar player would impossible see elsewhere ... salon intimate -- 80 - 90 guest , not bad seat -- actually SEE musician play ! LOVED stay Rex plan celebrate many anniversary come ! 
 Jul 2 2007 	 Rex good 	 sister , mother stay Hotel Rex weekend getaway . wonderful time plan make yearly tradition . reserve one bedroom sutie lovely three us since king bedroom parlor pullout queen bed couch . ( also 1.5 bath accomodate comfortably . ) enter Suite , music play faint smell jasmine hung air . instantly feel home . open bottle wine listen music courtesy hotel- Kim Nalley jazz cd . wander lounge 6 pm complimentary glass wine listen live jazz since Friday night . great way start weekend City . head nice dinner catch Jersey Boys street . next day able walk right hotel Union Square shopping . Hotel Rex divinely locate explore sight San Francisco offer . back . will return soon chorizo omelette Cafe Andree ! 
 Jun 29 2007 	 wonderful place/ Great Find 	 come Brooklyn , New York first trip San Francisco . husband stay hotel June 3rd June 8th . wonderful experience . location great near everything . staff excellent . although room small , King room , clean comfortable . purchase unlimited travel pass Walgreen 's locate right street hotel . use whole time . ride trolley bus unlimited . stop right corner street hotel . walk shopping area short walk . hotel great would recommend anyone . price right . every evening complimentary glass wine sit bar / library area . cozy lovely . great touch . planning trip San Francisco definitely consider find . love . 
 Jun 19 2007 	 Rex Rocks 	 Hotel Rex gem among many touristy -- pricey -- accommodation San Francisco 's Union Square area . PROS : reception area lounge decorate charming literary fashion , room clean bright albeit bit small american standard . staff ( over - the - top ) friendly accommodating . hotel situate half - block famous Powell cable car line . , can not beat free glass wine every night ( 5 6 p.m. ) . husband fortunate stay free two night use credit card point , even book hotel credit card network , notice hotel great value . con : hotel free WiFi , unable connect number favorite site , include webmail . minor disappointment bath product Aveda brand ( something read early review ) . overall , positive experience . 
 Jun 11 2007 	 hide gem 	 come town business expect usual . boy surprised . staff know name 2nd day friendly help anything direction great neighborhood restaurant . room clean beautifully decorate - remind home . would come back ! 
 may 29 2007 	 Lovely Hotel great staff great location 	 Rex perfect location first stay Frisco . 's Union Square half block trolley car stop . henry front desk friendly we check quickly , great serious jet lag ! room quite small nicely decorate , clean well appoint . cd player load couple jazz cd , keep theme hotel mini bar well stock . room view San Francisco sit hotel room look view , be much else ! every night complementary glassof house wine bar weekend atmosphere quite buzzy . concierge lady behind bar helpful dinner recommendation direction . around corner hotel , & quot ; Sears & quot ; Union great option breakfast , get 8.30am avoid queue ! rex great base explore city . 
 May 28 2007 	 terrific small hotel 	 husband stay last two day honeymoon , extremely happy room kind staff . not luxurious hotel San Francisco , one nice pleasant place ' ve ever stay . hotel especially lobby attractive , wine / jazz hour hold particularly enjoyable . room pretty , nicely decorate scrupulously clean , bed comfortable . can not say enough nice thing staff -- helpful direction friendly . upon hear honeymoon , Rex upgrade we king size room extra charge . be friendly ! great location near Union Square , too . we would definitely stay , encourage family friend well . 
 may 25 2007 	 Rex another great find San Francisco 	 great place stay San Francisco , especially love restore hotel eclectic sense decorate ... friendly member staff quick respond question , knowledgeable & quot ; City & quot ; room service breakfast perfect every way ... yummy cinnamon roll french toast , hot coffee delightful , prompt service . we ticket production Curran Theater hotel minute walk distance hotel . a neat spot find .... unpretentious professional every way ! 
 May 14 2007 	 Rex gr8 	 wife stay Hotel Rex April 2007 whilst visit San Francisco Australia . find via web site say - thank trip advisor . first trip USA love SF Hotel Rex . staff fantastic , room nice location perfect we . half block cable car line ( Powell St ) , short walk 24hr convienience store / Starbucks Union square short stroll shopping , great bar / restaurant ( include Andrees ) . free internet access great overseas guest , complimentary wine taste every night bar cab ride Fishermans Wharf around $ 8 . chinatown short cab ride , & amp ; Park Giants game . low light SF amount homeless people prey everytime stop pass money weather unpredictable ( Hotel Rexs ' fault ) .Thumbs Oz 
 May 13 2007 	 great atmoshphere 	 wonderful little place heart SF . special quality dutch call & quot ; gezellig , & quot ; place 's cozy , convivial welcoming . room comfortable homey , food cafe tastey lounge / bar buzz interesting mix people , especially happy hour bar offer complementary wine . location perfect - block Union Square step cable car . can not go wrong stay . 
 May 5 2007 	 San Francisco 's Gem ! 	 San Francisco business stay Hotel Rex . usually not write review , compel receive good service hotel ' ve ever stay travel . ' ve stay high - end hotel , Ritz , Four season frankly , usually get stiff service . Hotel Rex personable service . staff restaurant , housekeeper , front desk friendly , sincere , professional . hotel also provide free WiFi , rare . free wine every afternoon nice touch . love lobby ! Hotel Rex gem ! 
 Apr 28 2007 	 great location good one night ... 	 choose hotel base Trip Advisor review , hotel 30 % discount Expedia one night husband stay head Napa week . Hotel Rex GREAT location explore downtown San Francisco . park car hotel valet ( $ 38 total day -- beware ) , walk Union Square take cable car Fisherman 's Wharf Chinatown . chinatown well within walking distance , though , come gal not fond walk much . anyway , Hotel Rex quaint hotel . smell little musty , deal , decor atmosphere cool . room small . & quot ; queen suite & quot ; book really tiny due big furniture . hotel offer free glass wine 5 - 6pm bar , budge 6 pm deadline . arrive 6:15pm , would not even throw we bone . kind disappointed . , like Hotel Rex . would not book full price , though . get stay one night San Fran way somewhere else ... not pay $ 200 room . be crazy . 
 Apr 27 2007 	 Fair price Nice Area Great Staff ! 	 stay Rex week . stay enjoyable , room comfortable , good part courteous staff . plus , block away Union Square shopping nearby , walk distance China Town . right next cable car line ( powell street ) . definitely recommend hotel . 
 Apr 7 2007 	 come back Hotel Rex 	 mom stay April 2nd- April 6th 2007 . elevator small go normal speed . room normal size much flavor carpet furniture . bathroom big thought would . basic yet elegant . feel European I . the service amazing , always friendly wanted assist we anything could , even hold bag checkout Union Square . for 139 night , hotel tendroloin , next Cable Car . would stay ! ! ! ! 
 Apr 6 2007 	 convenient chic 	 efficient helpful check - in room individual feel funky lamp artwork . hotel stylish comfortable bar actually like sit whilst drink free glass wine evening . breakfast couple time good locate close Union Square shop restaurant cable run end street 100 m away . room overlook back alley quiet therefore want . even change bedding towel daily unless tell . altogether good value would recommend . 
 Apr 3 2007 	 wonderful ! ! 	 wife stay Hotel Rex , tack day business trip bay area . basically , read hotel website review , confirm Hotel Rex advertise - friendly helpful staff ( stuffy pushy way ) ; room huge , comfortable , clean stylish . location great - near trolley bus line , walk distance Union Square shopping , restaurant bar . course lobby / bar great place hang enjoy nightly wine reception . overall , cool , reasonably price hotel heartof San Francisco . if / when return would stay Rex maybe try another Joie de Vivre hotel . 
 Apr 2 2007 	 lovely hotel nice location 	 mother stay October two night overall experience great . clean , quiet room spacious enough . location close union square shopping ( yea ! ) pleasant stay . staff extremely friendly accomodate overall great experience . restaurant good atmosphere great . 
 Mar 30 2007 	 Loved ! ! ! ! go ! ! ! 	 definitely worth ! search good quality hotel / boutique come across Hotel Rex . thank fellow advisor tip ! definitely take fabulous time . candid traveler photo practically one take . help opinion – 33 - 34 year old married couple bay area . location : place good walking distance Union Square . take $ 6 cab ride North Beach hotel – definitely bad . downfall Union Square full homeless people . ' shocked get approach 6 panhandler every time set foot outside hotel . downfall hotel ' location , location general . price : , good . rate $ 132 per night worth every penny . able check early . upon check greet nicely comparison high - end hotel area . also upgrade king bed suite room . nice part . also include 5 pm happy hour free glass wine hotel bar . nice . meet nice couple bar . comment hotel : décor french flavor . bar area fill comfortable ambiance gorgeous painting well - know novel align front bar entrance . elevator slow small need update – say this … it might take away hotel antiqueness . room clean spacious . love simple touch ( cd alarm radio couple cd next Aveda bath product ) . note light sleeper : bathroom toilet flush pretty loud hear adjacent bathroom user flush toilet night . ' hear people ' think wall thin enough hear conversation love session – perhaps ' plumbing . 
 Mar 30 2007 	 Hotel Rex ` ` king '' ! 	 daughter stay Hotel Rex recent visit San Francisco . hotel clean , staff exceptionally helpful , ambience charming location great . hotel recommend Best northern California guide disappoint . 
 Mar 29 2007 	 great ... 	 book executive room not much get little bit extra space . well , have hated see small room look like not huge - not fall thing not would call spacious . check whilst room quite nice , bathroom really basic little bit grotty - sink crack , bath look old .... go reception tell not really expect find crack sink another room . show another room , although sink new , little basic - sort thing might expect find youth hostel hotel charge decent price . tell hotel not happy tried find we alternative accommodation sister hotel room hotel tiny , check go stay JW Marriott round corner , streak nicer , $ 20 night . high hope Rex base website review honest , flesh , not great quite sort ' boutique ' hotel lead expect . although experience room not great , staff helpful not charge we first night decent . 
 Mar 24 2007 	 great room location service price 	 recently stay ( week March 12th ) LOVED Hotel Rex . find queen room cozy comfortable . even though book trip travelocity give one large quiter room upon check - in ! location AMAZING . not car trip San Francisco rely public transportation . could not find well hotel . bus cable - car stop need get museum , zoo , Exploratorium 2 short block away . BART station 5 DOWNHILL block , fairly easy catch cable - car UPHILL want way back ( cable - car stop right corner street Hotel Rex , however often opt walk home -- -The Cheesecake Factory way ) . also , find Hotel Rex quiet . never hear hotel guest , outside noise occassional emergency vehicle ( maybe 2 3 entire stay ) . finally , good map find San Francisco ( buy 4 5 ) free map provide check - in desk . definitely stay . great . ( side note , definitely recommend San Francisco Muni Pass -- unlimited bus , cable - car BART ride -- CityPass -- plus admission several San Francisco attraction . save bundle super convenient . ) 
 Mar 13 2007 	 Super hotel - great club atmosphere 	 recently stay Hotel Rex Mar 2 – 7 . nervous find good hotel since Pan Pacific change hand year want find new good hotel San Francisco visit . any minor problem resolve quickly pleasant stay . Hotel Rex great hotel staff great , especially two people check we Rhenan . room general décor super , clean , service great . Hotel Rex exceed expectation . we definitely recommend Hotel Rex friend know always look good hotel San Francisco . 
 Mar 12 2007 	 Rex Best ! 	 find Hotel Rex hotel.com website , virtual tour decide place -- centrally locate , wonderful hotel library bar , lot art book . greet warmly front desk , enjoy wine reception great dinner restaurant . , room lovely . absolutely recommend . also stay Water 's Edge Tiberon New Year 's Eve -- another fabulous place . enjoy different hotel experience , find ! 
 Mar 12 2007 	 Hotel Rex perfect weekend getaway 	 surprised husband weekend getaway San Francisco Valentine 's Day gift . Hotel Rex perfect number reason - location , ambiance , affordability . take BART airport find hotel quick easy walk Powell Street station . ambiance cool , quaint , unique clean comfortable room . finally , think GREAT deal consider ideal downtown location . love walk tour new city , find Hotel Rex perfect home base explore city . ABSOLUTELY stay Hotel Rex every time visit San Francisco , look forward recommend friend well . 
 Mar 8 2007 	 Love Hotel Rex ! 	 travel San Francisco frequently always stay Hotel Rex many charm . never write review - return another fabulous stay decide add comment . Jeff reception really exceptional always make feel welcome . friendly , hip efficient . hotel delightful - perfect location close gallery , Union Square Chinatown . Restaurant ( Andree ) wonderful food - eat meal , daily wine taste jazz Friday terrific . really enjoy atmospheric lounge area never feel uncomfortable sit alone book glass wine . travel alot business 's always easy away home - Hotel Rex , cozy room , great business centre fabulous staff make wonderful - every time . 
 Mar 7 2007 	 mixed feeling 	 stay 2 night . hotel good location near shopping , chinatown plenty restaurant . hotel old world charm . think husband preference trendy boutiquehotel quite expect since have find locationon [ -- -- ] . think could use update , especially bathroom ( however plenty rail disable elderly guest ) .The staff really friendly , helpful efficient . problem hot water service attend promptly stay front desk even offer move we decline . run hot water janitor 's room apparently next , get hot water go . phone room also work properly . one elevator . some pro free wi - fi locate near Union Square major department store ! San Francisco short time want spend time near Fisherman 's Wharf 's nearby attraction , would recommend stay somewhere close Fisherman 's Wharf . long walk hotel cable car ride $ 5 per person / one way . make sure not get room 406 ! 
 Mar 3 2007 	 gem 	 truely lovely boutique hotel . ' ve stay hotel B & amp ; Bs city . yet , despite lack couple thing , put one top 5 % many reason . absolutely stay . daughter go San Fran visit Academy Art University January . normally good time year SF , lucke warm , sunny weather , yet another snow storm rage Colorado part us.the Art Academy relationship York Hotel block away . however , want little close shopping Academy , York 's twin bed not really fit need . also not want share bed . Rex offer 2 dbl bed room , perfect we . excellent location Union Sq area . beautifully decorate , comfortable bed , lot power outle good location , clean ( tho carpet look bit worn , badly ) . wonderful , intimate restaurant able late night dinner 1st night . good thing check late dead tired . 's A / c room need , not course . control heater bit hard locate , actually , not even know room 2nd day . happen notice accident . good thing room chilly night . room free WiFi , well stock mini fridge , gourmet snack ( expensive , handy not feel go ) , excellent cell phone reception . bathroom bite small , well appoint . water pressure great plenty hot water , even 8 . room one side hotel nice view , honest , not care . quiet . would rather little view peaceful room ' m light sleeper . elevator small slow , would read review , 's old hotel not mind . 's part charm stay historic style place . note replace soon anyway . tired waiting , walk stair stop check floor need rest . well friendly helpful staff . really appreciate help give . warm , friendly , knowledgable professionable too . I choose hotel base location , review see , website 2 review site , Friday evening jazz performance . however , plane delay , unable attend entertainment . funny thing discover several employee attend Art Academy . talk extensively female bartender one student meet . everyone exceptional , even housekeeper ( course tip well help ) . bravo ! thing could complain lack swim pool hot tub , would nice soak long day walk , site seeing , shopping , beach going , etc . also , restaurant closed remodeling weekend , small continental breakfast put guest . however , food go quickly . anyway , pleanty good restaurant go nearby sort meal might want . , care ? especially like intimate bar - library- lounge area . homey comfortable . free glass wine evening adult juice soda kid . might nice see little snack child , cookie , cheese , cracker fruit . good selection top shelf liquor . might suggest game perhaps keep people entertain stay bar drink order snack , especially child . plenty book borrow tho . sure check drawing wall . one last thing ... hotel half block away Powell St. Trolley . suggest get multi - day Muni pass take full advantage ride trolley bus walk hill get difficult load luggage shopping bag . buy airport , train bus station location . well worth town day . beat pay $ 5 per ride trolley . also beat drive , pay high gas price , pay high rate parking . the Hotel Rex part small group boutique hotel . check website : http : //www.jdvhospitality.com / hotel / hotel/13 . yet stay other , think try another next trip June . may come back Hotel Rex 's pretty hard beat . love small establishment . 
 Feb 24 2007 	 great atmospher bar decor 	 husband book Rex website like look , disappointed . decor glitzy , fabulously colourful arty 1930s way . even telephone bar old black one . staff friendly helpful , nothing seem deter make stay good one . stay day decide return night tour Sonoma . upgrade suite , fabulous . room gorgeous bed super comfortable . use restaraunt dinner , drank bar go . whole three week travel around California , really friendly hotel bar love ! eat good , fresh breakfast hotel cafe . go back San Francisco , return Rex Hotel . 
 Feb 21 2007 	 San Francisco Charm 	 stay San Francisco frequently business . try several Joie de Vivre hotel love old world charm elegance . Rex great . small enough staff know convience need i.e. , restaurant , lobby bar , internet , large clean room , welcome staff . right around corner Union Square ! stay want charm old San Francisco . 
 Feb 19 2007 	 could not ask 	 wonderful three night stay . hotel artsy fun . staff friendly helpful . centrally locate near many amenity ; food , shopping , gallery , etc . good rate . highly recommend . 
 Feb 17 2007 	 new Home away home 	 wife stay Hotel Rex weekend getaway . treat well nice welcome amenity ! staff friendly efficient . lounge nice , cozy feel . nightly wine hour guest receive complimentary glass wine . try restaurant food delicious ! feel home right away . Hotel Rex surely & quot ; home away home . & quot ; 
 Feb 14 2007 	 GREAT find ! 	 love little place ! ' ve stay bunch hotel San Francisco , $ 400 , jewel . parking situation bit inconvenient , San Francisco , parking always nightmare . location can not beat , room great , staff awesome . price unbelievable . great time Fri . night cocktail party , meet lot fun people . two room next , private little hallway front could lock , like suite . new San Francisco hideout ! 
 Feb 13 2007 	 Great Stay 	 hotel really make we feel home . room nicely decorate casual . management terrific deal stay book exactly request . location great . close shop close terrific restaurant . 
 Feb 1 2007 	 mixed feeling Rex 	 stay Rex Jan 2007 4 night read here . it top location near Union Square close cable car , shop , gallery , theatre , good restaurant etc . cafe next door ( Persimmon ) great breakfast ( fantastic egg benedict reasonable espresso ) Rex interesting feel charming bar / lounge area free glass wine evening . be free wireless internet room free business centre two computer , printer etc . be really positive . on side room bit musty / dusty . colour scheme bit strange unless front ( noisy ) outlook . airconditioner window mount one , good heating system . bathroom small overdue makeover . staff ok least friendly three place stay trip . it old hotel interesting vibe - room feel bit tired due re - furb . some observation ' m sure sense mixed feeling . 
 Jan 29 2007 	 Good Location 	 can not beat location . would stay , probably . elevator small scary ! room ok , windows paper thin ! another disappointment room safe . 
 Jan 19 2007 	 us winner 	 Booked hotel close business appointment ( ) shopping ( wife ) . location quite good . end like . when arrive , first room put small , dark , overlook airshaft . number two choice small , dark , airshaft . number three bright sunny , street air conditioning hot , even window open traffic noise abundant . staff rather indifferent – agree pay – get decent sized large room back . bit shabby , least livable . low enough floor take stair doable ( elevator small slow ) .We travel great deal , U.S. abroad , 40 year . stay dozen hotel year , many price range . Rex mediocre good . 
 Jan 19 2007 	 great way experience San Francisco 	 stay Hotel Rex two day trip San Francisco . one highlight trip . staff Hotel Rex could pleasant accomodate . provide wonderful suggestion place eat garciously make reservation we , even change mind twice . enjoy live entertainment friday evening wine reception . intimate set music great . the room small side would expect old hotel city . find draw back , cozy . room clean comfortable . spend day evening seeing sight , spend great amount time actually room . location perfect walk want see . know other complain elevator small , unless enormous amount lugage issue . find decor charming definately stay Hotel rex next time San Francisco . location price , ideal . 
 Jan 15 2007 	 Hotel Rex 	 Hotel Rex - nice place , small room , average good . bathroom small . leaky shower etc . location make attractive . staff average good . 
 Jan 8 2007 	 happy customer 	 Rex prove great choice . location great , staff helpful , bed super comfortable . check queen room , turn handicap accessible . ask room available shower head standard height , move nice king room . Decor room lobby new , nice . plan wait elevator be upper floor , be slow small , big deal . step cable car couple block Union Square China town . we love Rex . 
 Jan 8 2007 	 Great Hotel ! 	 street , one would even notice hotel due simple facade . step , escape hustle & amp ; bustle Union Square . we enjoy stay hotel . staff friendly . room attendant clean room always smile . we love wine hour live jazz every Friday night . surely return wonderful hotel . 
 Jan 3 2007 	 Outstanding service 	 people Hotel Rex outstanding ! give 110 % make stay enjoyable comfortable . room somewhat small tastefully decorate bed wonderful . 
 Dec 31 2006 	 lot recommend hotel 	 Rex lot positive . well locate , near Union Square lot shop restaurant nearby . staff friendly room , small , clean well furnish . free wireless internet access room another nice touch free glass wine serve 5 6 - ensure guest gravitate lounge create warm , friendly atmosphere . we breakfast restuarant good although plenty good restaurant diner nearby . the fault would find lack tea coffee make facility room . , good value mid range hotel . 
 Dec 29 2006 	 great customer service helpful friendly staff 	 stay Hotel Rex room clean neat hotel staff friendly , helpful provide exceptional customer service . bathroom nice size bedroom good size , tv small . drawback soft bed , linen make . location perfect close everything . find hotel good deal purchase & quot ; buy 2 night get 3rd night free & quot ; . would recommend stay . 
 Dec 6 2006 	 Fantastic Ambience employee helprful 	 attend charity dinner function decide stay San Francisco weekend . quick phone call hotel accomodate employee helpful . room clean well think convenience guest . relax atmosphere feel safe . 
 Dec 6 2006 	 nice great location couple minor issue 	 stay Rex couple night November ' 06 travel San Fran business . room nice good size comfortable bed , clean bathroom , everything look . locate within walking distance another hotel host conference attend find stroll Hotel also within close distance kind retail store anyone could imagine . since ' m guy much shopper not take advantage , seem recall Macy 's , Gap , Nike Town , etc .... , similar would find major mall . part staff friendly helpful stay enjoyable . would certainly stay less expensive Hilton / Marriott / Hyatts typically call home certainly comparable . 
 Dec 4 2006 	 great hotel value 	 husband stay Hotel Rex Thanksgiving . choose hotel , large part , due great review get Tripadvisor disappoint . location beat . two short block Union Square couple block Chinatown . also get sort public transportation short walk . staff friendly , room cute although comforter little dirty ( sheet clean ) . importantly though - room quiet . husband light sleeper , major plus . daily wine reception fun lot guest attend . love definitely go back . 
 Dec 2 2006 	 great stay nice people 	 spend weekend Thanksgiving San Francisco , great stay Rex . large king room look courtyard tree -- surprising middle San Francisco ! hotel staff uniformly nice , complimentary wine reasonable quality serve graciously . eat small restaurant breakfast , twice ( great granola fruit also three - grain pancake ! ) . also enjoy couple appetizer go theatre serve promptly , tasty . rate reasonable , location excellent , housekeeping superb . free internet , touch SF Jazz Festival cd 's player , well high intensity desk lamp available make feel like care . I would fault noise toilet flush ( tank less type ) hear room . 
 Dec 1 2006 	 substandard experience 	 , , mystify review hotel positive . expect service good previous reviewer say would find quite mediocre . front desk staff business - like particularly friendly . service Cafe Andre actually poor stay . also , decor room somewhat wear , noise street night necessitate use earplug order chance get good night 's sleep . shower keep turn repeatedly use , annoying . many wonderful hotel choose San Francisco , Hotel Rex certainly give reason return . 
 Nov 20 2006 	 good value 	 stay Rex 30 oct 3 nov . 's characterful place room big clean quiet . toiletrie Aveda , cd player free wine cosy bar evening . staff helpful , although not really need much beyond check check . , good value although not rate food particularly would suggest run around dottie True Blue Cafe breakfast alternative . 
 Nov 16 2006 	 leave lot desire 	 pre - pay 4 night , otherwise would check . room not clean . bed soft uncomfortable . staff generally nice much help respect tourism activity bus tour . busy time , perhaps need hire people . 
 Nov 13 2006 	 nice hotel friendly staff 	 stay Labor Day 3 night deluxe queen room . room not huge good size two people . bed true queen size comfortable nice bedding . room nicely decorate medium size tv , desk , 2 chair , cd player cd 's , AC , small fridge . room clean housekeeping wonderful job cleaning everyday . bedding towel change every day . although option change everyday save water ( good idea ! ) . also turn service leave yummy chocolate pillow . bathroom small hairdryer Aveda product . room not much view not mind since not spend much time room anyway . hotel staff friendly . allow check early ask need help restaurant reservation general information SF . free map guidebook tourist spot need bring . hotel also free computer access room could either work read . restuarant small not chance eat . think less 20 seat . 's wise make reservation arrive early . also bar / lounge area . elevator fairly small people wait , take stair . hotel within walk distance BART station . Exit Powell 's ten minute walk . fridge fully stock like hotel , price high . Walgreens street hotel stock water snack . lot restaurant area . bit expensive 's expect SF whole expensive . 3 starbuck coffee house near hotel . like shop , hotel minute Union Square also within walk distance Chinatown . actually walk Pier 39 not seem far . SF reliable efficient transportation fairly price case not want walk . not recall exact price parking since flew hotel charge $ 40 per night . overall great stay hotel . highly recommend would stay . 
 Nov 12 2006 	 stay big box hotel stay Rex ? 	 attend software conference Moscone Center last week . conference hotel usual suspect Union Square : Hilton , Marriott , Palace , Westin . see Tripadvisor review place think ( rather company ) pay money stay mediocre big box hotel . book highly rate Rex glad . upgrade we King Executive roomier . bed extremely comfy ; hotel quiet night . friendly service , nice breakfast room , convenient valet service ... $ 60 less big box . slight ding musty odor another reviewer mention ( hallway room ) incomplete housekeeping . not get shampoo replenish 2 day ask . also , not get bath towel one day ask . however , small thing . Hotel Rex well . 
 Nov 10 2006 	 Care Relaxation Heart City 	 able visit SF good time year ( September ) , extra bonus stay Hotel Rex . look forward come back Hotel 5 pm recharge battery lounge complimentary glass wine . atmosphere relax accomodate , feel like oasis middle hustle bustle city . staff personel give we great tip . feel like home away home recommend plan travel SF stay Hotel Rex . 
 Nov 7 2006 	 Hotel Rex - not Understand Reviews 	 wife stay Hotel Rex 5 night September 2005 . book hotel base largely positive TripAdvisor Reviews . say mystifie review hotel positive . room elevator small hallway strong musty odor . never bother review hotel time stay since stay Palace , Hilton Salerno . hotel superior Rex approximately price . note fire escape map room small floor even large room would return . 
