absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Apr 8 2007 	 filthy hallway 	 one become prisoner one 's room take get . room passable , airless fairly clean update . get room grotesque . public space noisy disorganized , oddly small ( sized ) ammenitite . hallway absolutely filthy- college dormitory , cheap hotel , filthy . prepare walk dark , dirty , ragged , buckle carpeting , past cheap metal door scrape wall . dark , dingy .... ugh . hotel cheap well locate . 's emodiment old joke , & quot ; food bad portion small & quot ; . 
 Apr 8 2007 	 mixed feeling 	 wife stay Parker Meridien romantic extended weekend without kid . wife like stay property time visit city like variety . read review Parker Meridien seem like no - brainer book room Central Park view 32nd floor ( king size bed ) .We love travel New York native New Yorker Queens live Louisville , KY.Good : Location , location , location . perfect location upper Midtown within walk distance theater district central park . hotel quiet despite midtown locate far enough away Times Square matter . restaurant scene around hotel fabulous although may say many location New York . may suggest Osteria de Circo , Rue 57 , Red Star Grille , PJ Carney 's pub / food , many recall right now . I train 10 mile race , proximity central park 6 mile run loop invaluable . hotel first class fitness center provide access guest well independent New Yorkers interested great workout . Gold 's Gym nothing facility hotel . the staff extremely accommodate responsive need . bad : room clean well appoint suited businessman 's stay romantic weekend . & quot ; king size & quot ; bed queen size well comfortable . one thing wife concern temperature room previous reviewer mention guest could adjust thermostat . reviewer right mark . room extremely hot ability adjust temperature . portable fan bring room provide relief . $ 440.00 / night would expect more . ugly : NoneWould stay : try another hotel area first 
 Apr 6 2007 	 internet via cable 	 book via Priceline ( 175 usd ) treat differently , apartfrom get room low floor . hotel excellent location , decently design room , stand apart way . Burger place fun make well food home . wireless internet . internet cost 16 usd / day , irritate . ok , fantastic . fine pay less via Priceline . 
 Mar 30 2007 	 big dissappointment ! ! ! 	 price pay two night , expect get . receptionist come across friendly . room 825 sign damp window bathroom need decorate . book Expedia ine , pay £ 400 two night , expect something good . air conditioning room noisy , partner find difficult sleep . , would recommend . enjoy stay . 
 Mar 30 2007 	 always great stay 	 recent business trip stay Le Parker Meridien Hotel . stay , happy say thing good remember . thing bother platform bed . low ground hard back . gym , front desk staff , room amenity , cleanliness fantastic . make sure expense business breakfast downstairs Norma 's -- -the good place city power breakfast . 
 Mar 29 2007 	 unpleasant experience 	 frequent Priceline user , end Priceline . ' ve do Priceline London , Montreal , Chicago , San Fran , New York -- often stay large city . check , tell get & quot ; Priceline room , & quot ; make feel differently . , stay five night king - sized bed available , ask rollaway bed add room . do previously London , Montreal , Key West charge . ask $ 30 fee waive could not provide room two bed , say would waive fee not pay Priceline . bid ( total offer price ) screen , say would need charge bid & quot ; & quot ; $ 240 . ask speak manager , request decline . addition negative experience , find bed hard ( boxspring ) , receive turndown service five night , charge $ 8 / hour internet service . burger hamburger joint , tasty burger . really , decent thing entire hotel stay . would book . call Starwood be affiliate Starwood ? ? 
 Mar 24 2007 	 Le Parker Meridien Hotel - Great experience ! ! ! ! 	 decide stay city overnight attend tv Land Presentation meeting former President Bill Clinton ! call hotel directly though include Starwood Hotels listing , get point stay privately own . however , think ( ? ) could get point upgrade regular room suite ! suite roomy , sleek , chic , minimalist sophisticated decor . 1426 height quiet exc perhaps occasional siren . Mattress comfy think . live area 2 sofas , one pullout would good child ; however , door separate live area bedroom consideration . also , flat screen tv swive cleverly either living room bedroom . room clean . understand not include two bathrobe room ( husband not care anyway ) , oddly , one washcloth ( although plenty towel ) . large modernist walk - in shower , tub . hotel short walk russian Tea Room dine night millenium go Friday evening ( see review ) . enjoy stay would stay . tell burger place hotel know outstanding burger ( huge line place check ! ) not chance sample burger . would eaten breakfast dining room ; however , look like madhouse eat elsewhere . staff friendly personable . 
 Mar 19 2007 	 Awkward staff 	 book hotel via Expedia 3 month advance , since travel adult son , ask twin bed . Expedia make clear can not guarantee meet special request . not think ask twin bed special , catch last time visit NYC use Expedia , stipulate essential ask book Le Parker could not guarantee that . needless say , reaction arrive hotel 10 hour flight Ireland Newark 2 hour cab ride due cross - town traffic , tell twin bed room leave . protest , clerk agree put rollaway bed room son . not satisfactory not really choice . on return room later night , rollaway not supply . receptionist could not care less , reluctantly agree try get rollaway we , tell would cost extra . go say fault . have book direct instead Expedia , say , could got bed want . 's hard escape conclusion either nobody bother look book request turn , else hotel treat Expedia booking second class . the hotel ok , though give detail facility check - in , directory room , idea restaurant bar available eat meal elsewhere . unlike reviewer , think room good bed really excellent - son less impressed spend 4 night sleep amount camp bed , though ! , good hotel let attitude staff not appear grasp concept customer service . 
 Mar 18 2007 	 fine clean hotel NYC 	 overall , good stay hotel . lobby room nothing special . however , room ( suite ) clean spacious . limited amenity room ( shoot glass drink glass coffee maker ) . hotel staff friendly enough nothing special . hotel great location - could easily walk Times Square , Carnegie Hall , theatre . 
 Mar 18 2007 	 overate 	 stay 6 night include Xmas 2006staff pleasant , helpful & amp ; friendlyexcellent location explore nyccartoon lift not grab useful hotel featurepoorly light , ordinary room ( non Central Park face ) cheap fitting - although clean require refurbishment Noise room next door intrusivereade light bed joke & amp ; require replacement could touch wall toilet /bathroom stand arm outstretche Toilet door close properly - hotel attempt repair like rest room well wornDo not get popularity Burger Joint - food ok good daily queue spill lobby Queues & amp ; wait time Norma 's meant eat outside hotelportion roof ( great view ) close 
 Mar 18 2007 	 quite 	 fourth time stay primarily excellent location . concern room seem slowly inexorably deteriorate last one give 25th floor ( $ 300 ) definitely 3 * hotel . tv looked date , bathroom tiny none toiletry ever replace . also , carpet stain chip furniture . maybe bad luck , overall look Parker Merdien see well day live past glory . breakfast staff ruder ever ask wait even half table empty ( book ? nobody show finally give table 15 min ) . go Astro round corner - well fun ( LOT cheap ) . certainly Meridien standard anymore . 
 Mar 13 2007 	 okay ... 	 first , get great rate Priceline , can not complain much . , next time come , definitely find somewhere else stay . many choice New York stay again . service excellent ! lady front desk helpful polite , enough people around help bag . service defintiely strong point perspective . however , room 19th floor gem . seem much like old dorm room wiht view modern touch hotel room . woodwork bathroom nice look update , otherwise paint look old dingy , carpet poor repair , bed good . seem like try toss new item otherwise old room call good . leave thoroughly uninpressed . I move Benjamin later trip feel far surpass Le Parker . 
 Mar 13 2007 	 Parker Meridien excellent 	 whoever complain get attitute staff Parker Meridien crazy . treat kindly front desk clerk , doorman , concierge , etc really could not find anything wrong hotel . room spacious , cozy , modern , comfortable great view park surround building . husband even flower send room beforehand take care . one night give conceirge 1.5 hour find we great sushi restaurant ( Saturday ! ) hook we great sushi place call Aja . husband get massage say massuese wonderful ! think favorite part hotel funny Looney Tunes cartoon play elevator . fun watch great ice - breaker elevator rider . most - favorite - favorite part hotel location ...... middle crazy Times Square .... charming area NYC 's south central park , close subway line close awesome shopping . could not happy stay plan . thank Parker Meridien great stay . make b - day perfect ! 
 Mar 11 2007 	 Great experience 	 make weekend reservation Hotwire receive Parker Meridien hotel . upon check - in , front desk clerk nice display negative attitude Hotwire reservation . ask possibility upgrade offer suite reasonable surcharge . suite roomy , king - size bedroom separate living room sleeper sofa . everything room neat , clean , working order . location hotel great attend event Lincoln Center theatre district . surround area kind food could want , take - out place sit - down restaurant price range . ' ve stay hotel past never bad experience . usually book use Priceline Hotwire always please receive hotel . 
 Mar 4 2007 	 nice 	 nice , clean , ultra modern . make reservation Priceline get rate $ 150 per night . room clean quiet . NYTimes Economist deliver Saturday morning ( paper Sunday ) . Room come tv ( large ) tape player dvd player well game thing . refrigerator coffee maker room mean room service , mini - bar , go . ( Astro diner 6th 55th close reasonable breakfast . ) 
 Mar 2 2007 	 avoid cost 	 return home annual & quot ; girl 's weekend & quot ; NYC , could not get computer fast enough write review ! absolute worst ever experience hotel ! let us see , begin ? ! ? ! upon enter hotel , bellman hover close actually touch we could tip . check desk meet ' Carlos ' proceed argue we regard reservation . call hotel directly make reservation shocked fact say reserve appropriate room , nothing offer we unless wanted spend $ 100.00 per night , continue argue want hear option . finally , tell we could offer we king size bed roll - away accept . ( conclude throw key friend ) . show room find hard believe roll - away go fit , remain hopeful . next , go lunch & quot ; Burger Joint & quot ; , , big surprise , get upset stomach . recover lunch , go fun town . return hotel around 12:00AM , guess ... roll -away room . call front desk , wait 30 minute , call finally bed send . course housekeeping idea suppose fit bed room , 1:00am rearrange furniture . ( oh , forget mention meet overbearing doorman demand see room key let we re - enter hotel night . ) exhaustede , felll bed , know enough hotel want seek room elsewhere rest weekend . , grand finale , next morning , two time , door open people give key tell room ! pack decide return New York Palace , usually stay ( excellent hotel ! ) . suprisingly , upon checkout , charge wrong room , include room 's mini bar , resturant gift shop purchase ! fortunately notice error correct leave ; however , let hotel management know unhappy , basically say & quot ; bad & quot ; offer compensation error . 4 ( hah ! ) star hotel pit ! * one last detail ... tell mini bar ' motion sensor ' much touch , would charge . kind rip ? ! ? 
 Feb 28 2007 	 good value - poor service 	 room quite small small bed ( ask king queen small standard double ) majority staff friendly helpful , plain rude ! great location though , close shop , central park , lot good restaurant . rue 57 corner 6th 57th fab breakfast . 
 Feb 23 2007 	 thank trip advisor ....... 	 hotel book guest tv show . reservation make ( 4 night ) go Trip Advisor start read research numerouse review . sort low well notice heavy criticism several year ago . also notice well review folk upgrade . 's course take ..... contact reservation department tell read numerous review site , glow glaring , hesitant could expect stay . ask everything power ensure stay well possible , include specifically ask whatever upgrade able . responsive every level . bed comfortable , suite upgrade large NY studio apartment accomodate we ease . Bathroom immaculate spacious . staff go overboard whenever ask anything . location subway truly unbeatable . thai restaurant literally next door affordable delicious . always cab outside . complaint , day age relatively serious , wired internet free ( $ 16 / day ) achingly slow . everything NY expensive hotel ( $ 355 / not ) exception . ' m sure could save $ 80 different place would certainly look hotel service receive . thank TripAdvisor.com ! ! 
 Feb 20 2007 	 pretty hotel great location small room / bed 	 great location heart midtown next Carnegie Hall walk distance lot main attraction . beautiful lobby workout facility . breakfast Norma 's nice vacation treat - even though pricey . one major complaint small room bed ! four people promise room & quot ; two double bed & quot ; . first givin king bed room front desk tell we even though reserve two double bed , could not always promise online reservation detail . end change room double bed room much surprise double bed small . would say size twin full size bed difficult share . keep mind plan two people room . make work tight . overall trip great love NYC . look great dinner spot , Otto Pizzeria ( Mario Batali restaurant ) great fun , young scene . even spot A - list celeb ! 
 Feb 20 2007 	 Fantastic ! ! ! 	 book LeMeridien Parker thru hotwire get great rate $ 155 per night ( extremely cheap 4 Star weekend rate ) . go low expectation , soon be satisfied . our Air Canada flight delay , end check hotel Midnight . kindly ask front desk clerk be still able get room high floor , end upgrade we Tower club room free ( 29th floor ) .Our room large , modern , well think every amenitie could want . housekeeping be friendly attentive . entire experience hotel great ! ! ! location amazing , far enough away Time Square close enough everywhere else . do not hesitate stay hotel ( especially $ 155 night : ) enjoy ! Jason 
 Feb 18 2007 	 Strange Hotel 	 sister stay two night end January . get decent rate two twin bed plus , would not stay recommend hotel . first , another reviewer say , entrance hotel really 56th . drop 57th wandered seem like office buidle find front desk . leave front entrance time ever see doorman check running sidewalk help someone else . thus , never anyone help hail cab , etc . find strange NY city hotel . able breakfast Norma 's have make reservation leave trip . food good , could not rate one good breakfast spot have review suggest . yes , be expensive , NY spot . the room clean decent size , wall thin bed , someone else mention , uncomfortable . room service prompt good although one morning 30 minute breakfast deliver knock door attendant ask room service table . not even finish meal ! bottom line hotel strange vibe we . lobby lack character , mention sense bustle staff presence would expect . , be many choice NY stay somewhere mediocre like hotel . 
 Feb 16 2007 	 Great Location 	 one good hotel location price range . 's locate three subway line mean easy access almost everyhwere . room great well fit . food hotel pricey excellent 's surround great local restaurant . a short walk Central Park Upper Manhattan Shopping area . the staff excellent helpful , complaint attitude doorman , always seem effort answer question . super clean secure great location . pay premium well worth . 
 Feb 6 2007 	 nice hotel . . . 	 stay hotel February 3 , 2007 one night . stay king tower room 29th floor . first problem tell hotel 57th street entrance really 56th st . resulted stop car 57th street , unload luggage help take long corrider 56th street side hotel . , check breeze . people front desk nice , friendly helpful . the room neat small . bathroom clean small . nice big T.V . right front bed dvd player attach , awkward semi - circle contraption swivel amd take lot space . park view ok since hotel 3 block Central Park anyway . big criticism room hard platform bed . comfortable way tuck bed cover , could get past shoulder unless 5 ' . tv nice able watch two movie bring we Blockbuster thereby avoid pay hotel fee room movie . would say nice feature room . one chair near desk could use eat , eat room would limited eat bed . go two restaurant hotel , Burger Joint Norma 's . heard rate highly , one good burger city , good breakfast . burger joint small fast foodish . much variety chalkboard menu , hamburger cheeseburger without fry , one size drink . kinda like spoof Saturday night live year ago Steve Martin Dan Akroyd guy behind counter keep say & quot ; Cheeseburger , cheeseburger & quot ; . far burger , big deal , ordinary thought . ever eat burger Jackson Hole , far superior . ask everything burger , put dijon mustard hamburger , unless like kind mustard kinda spoil . next morning , Sunday , go Norma 's breakfast . person front desk we big favor tell we need call early morning make reservation . get , place pack hear hostess tell someone 3 hour wait reservation . Norma 's classy , upscale restaurant . food good , cook order . consequently quite wait get food placing order . like coffee . way strong flavorful . fresh squeeze orange juice good taste like squeeze ripe orange . Norma 's expensive . breakfast two come almost $ 70.00 , include tip . enjoy food experience prepare pay dearly it . overall , like hotel . get great rate . ' m sure would stay , primarily not really care bed . 
 Feb 5 2007 	 great service ! 	 wonderful stay Meridien ! clean , nice pool , courteous staff . not go serendipity 3 restaurant - bad experience . 
 Jan 16 2007 	 ok worth price 	 Nice hotel , modern design , clean , amenity would expect . worth extra $ $ compare other ny , Westin Times Square W property . definitely less traffic / room turnover Meridien , welcome change & quot ; normal & quot ; Marriott / Starwood quality . book $ 199 web special . note earn starwood point hotel - not participate . 
 Jan 12 2007 	 heat 	 book 3 night . cold check first morning . make earnest effort help , work . send space heater extra blanket . morning technician spend hr servicing radiator . thank . right christmas . unseasonably warmt warm . find another hotel town put huge damper plan . never . 
 Jan 2 2007 	 great hotel great food onsite ! 	 good long weekend New York City hotel icing cake ! able check two hour early , front desk nice give we choice two room different floor state pro con . choose high floor even though say small - virtually street noise floor 30somethe . room small husband big people enough room move around . bed comfortable . Norma 's take reservation - great food burger joint great ! 
 Jan 1 2007 	 great location ... 	 recently spend 3 nite Parker Meridien Christmas mini - vacation . location fabulous , 2 block Central Park , step away great shopping 57th St. , 5th Ave , Madison Ave , etc . room nice , largish New York standard . my big complaint room extremely hot ! must 75 degree entire time . thermastat room anything , tell winter hotel heating . also tell temperature automatically set accord outside temperature , change . make difficult get good night sleep . ' ve stay summer , not remember problem . do not stay cold weather month , unless like room super heated ! 
 Dec 30 2006 	 Fantastic Xmas experience 	 return spend 5 night Le Parker Meridien Christmas . single male parent 2 teenage boy love . stay 5 year ago still fav hotel Manhattan . service great , love pool . Breakfast Norma 's must . say thank LPM . 
 Dec 28 2006 	 Fantastic Location 	 hotel perfect location vacation . want go Carmine 's , Central Park Lincoln Center give we close stop home base . pros- Location , location , location . look uptown hotel great place stay . would perfect 5th Ave shopper museum go - er like walk city . lobby beautiful large NYC hotel . bell staff maid friendly helpful . little necessity shop lobby nice need Advil . stay 14th floor problem noise street room . reviewer say room messy mildew , room clean bathroom good order . pool- nice , tiny pool roof , great view Central Park . novelty anything else . charge use internet , cable desk area make laptop use easy . wireless unavailable . con - we priceline room think silly pay room . could ruder we booking via Priceline spit we check - in . first , could not & quot ; find & quot ; reservation , could find one night , . proffer two print out confirmation number agree check we . would work we type room , floor room , side hotel wanted- anything . lady check we must say & quot ; would possible book us & quot ; 20 time 15 minute check process . Honey , think be good priceline- not work . not take money treat we like -- well , know . room small , well organize except fact dresser . sorry , not like look clothe suitcase weekend . armoire , nothing . closet curtain half closet floor take room safe . can not even stow suitcase luggage rack . unpacker like , find annoying . not eat . Norma 's jammed pack day hour long wait time turn lobby Dr Norma 's waiting room hungry cranky . connect & quot ; french & quot ; restaurant rude waitress world serve we ok 90 dollar brunch 2 hot chocolate , 2 iced tea , burger , salad , egg benedict french toast take almost hour half get serve even though restaurant 4 guest entire time . manager seem nice , however , hope get fire soon not loose rest customer . & quot ; burger & quot ; joint ok , NYC must really burger town consider anything average . many great place eat NYC , not waste time eat house unless injure . 
 Dec 27 2006 	 great overall hotel ; super locatoin 	 Booked hotel day visit . price reasonable ( NYC ) $ 240 / night . parking $ 45 / day . hotel room ok size modern style . hotel staff extrememly friendly helpful . Burger joint inside great cheap lunch breakfast die . breakfast ... wait 1 hour . not take reservation . call first thing wake take name table . 
 Dec 26 2006 	 great stay 	 give good rate get Priceline ( $ 140 ) , happy stay . room sizeable NYC hotel room , location fantastic . especially enjoy great food available hotel - burger joint Norma 's . despite assurance put name list Norma 's hotel guest get seat promptly , expect wait anyway . 
 Dec 19 2006 	 nice 	 room typical rest county , mean large NYC . good shape quiet . think thermostat eventually get temperature right . really appreciate early check bag storage check . concierge give good advice theater ticket find shopping outside Midtown . complaint $ 8 fee use internet business center really slow service restaurant , Norma . 
 Dec 11 2006 	 love 	 will make short . loved hotel , room restaurant location . bit costly 's worth . 
 Dec 3 2006 	 favorite hotel NYC 	 take weekend trip NYC every year , stay many different hotel . Le Parker Meridien far favorite . location fantastic . room overlook beautiful Central Park . room immaculate wonderfully decorate . service outstanding . definitely stay next trip . oh , breakfast hotel ! 's delicious ! 
 Dec 3 2006 	 ok ! 	 nice room clean . also great location beside Grand Central . however Big Hotel .. almost impersonal . Gym ok - big . Breakfast also somewhat uncomfortable waiter watch plate constantly see eat whether need pay ! staff could also helpful / genuine . find quite indifferent . a high end hotel overprice get ! 
 Nov 9 2006 	 good choice 	 stay business trip find , consider price mid - town NYC . nice touch - comfortable bed , free NY times morning , thing expect give price . beautiful pool free hotel guest . negative ( 1 ) hotel could use renovation . price , shower show wear furnishing update . ( 2 ) staff check - in / check - out could friendly . skip room service ( overprice so - so ) go burger joint . also find Norma 's overrate . say , quality choice excellent location . 
 Nov 2 2006 	 woulda think ? home one good burger NYC . 	 say burger find Burger Shack , old school burger joint locate next front desk . worth every penny . spend many penny enjoy one good burger NYC . 
 Oct 31 2006 	 Great Stay 	 stay one night business trip . nice short stay . love decore place . expensive , worth cash . 
 Oct 26 2006 	 Love Le Parker Meridien 	 love style pretty much everything Le Parker Meridien . suit beautiful modern décor , comfortable , location especially good . ' easy walk midtown . subway half - block away . the room nice bright task lighting , like read , . television wall turn bedroom sit room area . bathroom nice spacious lot counter space , ' tub . the room stock refrigerator sensor automatically add charge bill . use refrigerator store water , easy matter charge remove . we special breakfast Norma ' Parker Meridien . meal fantastic , beautiful modern décor match rest hotel . Hamburger Joint also locate lobby good hamburger fry , cheap price NYC standard . also coffee / snack stand lobby . the staff great . 
 Oct 16 2006 	 top NYC choice pet owner ! 	 wife stay one night Saturday early October 2006 . due circumstance beyond control , force bring two dog we , one 150 lbs . pay $ 229 upgrade tower , park view room , potentially Gold status Starwood . room - clean sleek , modern colorful feel . hold true ambience hotel general . food - eat establishment ( bother NYC ? ) , order late night breakfast room service . food signficantly above - average room service ( especially breakfast ) .staff - businesslike , quite friendly . many take time greet dog . location - 2 block Central Park , huge plus travel pet . overall impression - $ 300 / night NYC busy season , would hard - press well . can not emphasize enough great hotel pet . fee charge pet weight limit . 
 Oct 1 2006 	 First Class stay 	 stay 3 night Meridein find hard fault - room well equip , large enough ( Manhattan ) spotlessly clean . staff excellent request meet , i.e . quiet room location away elevator . restaurant excellent beware Norma 's breakfast get busy advisable book ! yes breakfast . Norma 's trendy breakfast place New York - food great . even $ 1000 option Lobster fratatta 10 oz caviar ! will glad know rest price normal . the hotel also two restaurant - try french one dinner one night excellent . also burger restaurant hide behind curtain lobby - not try always look busy . location excellent - block 5th , Park Times Square . we would definitely go back . 
 Sep 5 2006 	 Great Memories 	 wish hotel stay good Parker Meridien experience . travel alot business pleasure always read review TripAdvisor advance trip find comment Parker mix questionable , decide check -- pleasent surprise find positive comment right negative one wrong . room lovely wonderful view lot space . temperature perfect throughout entire stay . bathroom look feel clean . try Normas love -- much food . burger great worth 15 minute wait . hotel close everything . one problem tv , engineering come within minute show we son pull battery control . we back -- try , not believe read . 
 Aug 25 2006 	 old girl be not use .... 	 stay yearly business . hotel ok state decline . the bathroom need refurb . mildew . corner throughout room could done good dusting / vac . temp room hard control . window always need wash . towel thin . charge gym internet many year petty . ask room Starbucks side use wireless open network range . staff either great ambivalent . elevator well last year . room service drama trip rate seem high . line Burger Joint long eat Seppi 's service understaffe overwhelmed . price point hotel well neighbourhood . shame Drake Plaza close . want something similar style try Chambers street ( although issue coworker say ) . blakely good ( & quot ; trendy & quot ; ) . Essex House Pierre change hand . avoid Hemlsley Park Lane . big point Hilton close allow double dip . supposedly new hotel opening near Columbus Circle try next trip really like area . hotel pinch not buy hype need place crash . 
 Aug 21 2006 	 far well one 	 breakfast horrible ! say good NYC , could see 's shame serve kind dish . receive pancake cover salty caramel sauce peanut recover maple syrop fruit , side , cup salty butter ... originality ? Trust 's horrible dish ! place , & quot ; snobish & quot ; staff terrible ... hotel , like design ( flat TV modern bedroom , samll room ) staff people unpleasant polite . price high really high general quality ! 
 Aug 21 2006 	 totally - stay 	 book 3 night Le Parker Meridien , leave morning first night . arrive find so - so , tiny room horrible bathroom ... plaster falling ceiling , also cover black mold spot . shower reeked mold drain also not work correctly , take shower like swimming . decide deal night event go , night bed extremely uncomfortable temperature room unbearable . , first thing morning , call ask different room . first reaction , & quot ; oh ' m sorry , explain ? & quot ; say , & quot ; not say something we yestereday ? & quot ; haughtily tell would arrange new room could leave bag bellman later , would get we new room . also lecture complain AC say be control entire building , room . BRAND NEW DIGITAL thermastat right room WALL ! ! well , attitude combine mold bathroom , decide LEAVE . get Internet , find another hotel ( actually cost we ) , book bolted.do stay ... , RUDE ACCOMODATE . 
 Aug 16 2006 	 Rubbish 	 terrible place ! paper - thin wall , whole hotel stank fast food , staff obnoxious crass . really really unpleasant environment . never go back . 
 Aug 8 2006 	 90 % great 	 really hot NYC last week . boyfriend decide treat weekend hotel pool . stay Tower Room park view 29th floor . room bathroom good size . linen great . bathroom amenity great . also dog friendly ... appreciate . Friday night notice air conditioning work great . ask look next morning . engineer explain system . one vent desk near window provide air whole room . offer fan send . fan help considerably . temp make room bit uncomfortable time pay almost $ 300 / night & quot ; cool & quot ; week ... city live ... bit disappointing . we take advantage hotel roof deck pool . deck crowd , pool rather crowded family . pool attendant explain norm weekend . still quite pleasant . view deck really one NYC site take least life . nice there . we check Hamburger joint behind front desk Saturday afternoon pleased find crowd . return Sunday dinner little wait time . think food good reasonably price . 2 hamburger , fry shake $ 20.the price internet little high ( $ 16 / day ) wireless ... quick provide internet cable . seem old - school bring along day . everyone front desk pleasant . concierge helpful can not beat location view . 
 Jul 29 2006 	 mouth trouser 	 ' ve stay hotel NY twenty five year , everything downtown flop - house Intercontinental usually know pretty much ' m go get . hotel promise much : web - site classy , foyer classy location pretty good . cartoon play elevator cute , suspect be device get look security camera locate next monitor . the corridor trendily dark , conveniently mask state carpet wall - nice floor . then get room : want view anything another building , need make sure well 22nd floor . ludicrous revolving pillar house huge , dreadful quality tv ( web - site say ' steal them Times Square ' sort make sense Times Square AV store mostlly sell date , overprice rubbish ) entertainment item take massive part room . mine mess cable cable tv termination box literally hang back . heavily - alarm ' do not use fridge even look funny not want charge ' mini - bar take even space . got clothe ? well , be shelf hangar behind curtain couple drawer side room . want actual fridge , housekeeping may able provide one extra $ 30 . bathroom show sign neglect enormous circular mirror render useless fact mist slight hint steam - will sell one home $ 300 , though . fact , room , will find booklet will tell much spend bathrobe , towel , shot - glass brand tat , nothing will tell much phone call room cost . 's adequate desk space , although ( broken ) Herman Miller chair room would not fit desk unless lower height would suit midget . want use internet access room , prepare shell another $ 18 day , $ 8 go wireless foyer . breakfast ridiculously expensive - Granola , egg bacon , orange juice coffee witll set back around $ 40 - good . sadly , Cosmic Cafe would easy alternative choice Columbus Circle , relocate 888 8th Ave . , ten mnute walk away . ( still worth walk - much meal quarter price service well . ) couple local alternative two Starbucks within easy reach . staff , get attention , polite , hardly welcome . maid polite room reasonbly clean , experiment , leave tear part luggage label floor room next bed . stay entire ten day hotel . not think vacuuming come room - clean remit much . one final thing - room key - card twice length credit card , stick wallet get bent pocket . on positive note : burger joint , hide foyer next reception desk , cramp , noisy pack , burger pretty good . prepare eat run , eat stand busy time . pool small , nicely position gym OK 's thing . if get cheap deal , impersonal atmosphere place might go unremarked , rack rate , hotel equivalent clip joint . promise champagne deliver ginger ale sky - high price . 
 Jul 25 2006 	 abysmal attitude snotty service 	 book 4 day visit NYC preteen daughter . begin end , never see single hotel employee smile . want use pool ; told & quot ; close notice ceiling repair & quot ; one night ask let know open , front desk frostily advise check back later . check back next day , oop , & quot ; pool close early weekend . & quot ; ask could get late checkout next day use pool morning , frosty tone say & quot ; really can not tell . will call morning would not get hope up . & quot ; ! ? ! minibar deliberately set use frig restaurant leftover ... 's sign say housekeeping perhaps able store something ... 's room ... fee.the tv remote not work , toilet run , tv checkout not work , thermostat break . the concierge good restaurant reco , , unpleasant attitude ... seem put ask question all . the doorman regularly difficult find . it be bad , lovely facility attitude truly condescend unhelpful will actively avoid future . ' ve stay Michelangelo , Essex House , Morgan three different W Hotels Manhattan ... terrific wish have choose time instead steer everyone else toward future . 
 Jul 23 2006 	 absolutely 4 * * * * ! ! ! 	 room furnishing think attractive , little ikea ' ish look . platform bed mattress extremely uncomfortable . husband get little sleep , sleep horrible mattress Air Conditioner could lower comfort level , set 65 degree , room temp never get 74 . ask maintance come look , not help . hot humid , room hope get relief . think could do much well another hotel money spend night . 
