excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Apr 5 2009 	 good 	 great location room shabby . expect well 4 * hotel , public area great get bit let get room . 
 Apr 5 2009 	 great location value 	 town event Madison Square Garden . arrive train . choose hotel base location . perfect - right across street Madison Square Garden Penn Station . convenient ! also centrally locate head explore direction . base low price , sure expect , pleasantly surprised . staff exceptional ! room neat , clean surprisingly large NYC . could ask . would definately stay ! 
 Apr 5 2009 	 Slap bang mid Manhattan ... excellent location ! ! ! 	 really glad choose stay Affinia Manhattan ... recommonde trip advisor reviewer ! arrived check straight away take room 13th floor . travel mum know book queen bed helpful friendly receptionist say could change we double queen room night later extra cost , not one available night ! bonus not expect ! ! first room medium sized kitchenette , clean view tip Empire State Building . side bathroom really small ( really problem ) need abit revamp not spotlessly clean . otherwise , happy room ! next day go see gentleman check we take safe item put reception safe ( safe staff need key access ) hotel staff arrange bag move new room ... save we alot time energy ! long day city come back collect key new room 24th floor .... blow away ! double size , 2 queen bed , modern large bathroom , bright kitchenette huge balcony ( not think many balcony either ) ! do not view Empire State building matter slightest . noise 2nd room , high floor rear hotel , similar 1st room ... hear police / fire engine taxi horn New York time get use not disturb sleep . also bed comfiest ever sleep really count busy day Manhattan ! overall , would definately recommend hotel especially LOCATION ... round corner Empire State Macys ( 5 min ) 10 min walk Times Square . absolutely brilliant ! oh fab breakfast diner go Andrew 's 7th Avenue 36th Street ... turn right outside hotel will walk upto right ... great variety food reasonable price staff great ! ! ! 
 Apr 3 2009 	 good value bring ear plug want sleep ! 	 & quot ; special price & quot ; score Expedia , get good value : large bedroom 2 full bed , 2 bathroom , decent sized kitchen . not know many Big Apple hotel would accommodate family 5 without break bank . major problem almost impossible sleep , seem 24 - hour construction , intrusive church bell , rowdy Penn Station / Madison Square Garden crowd - even window close . normally would count turn air conditioner fan mode white noise , air conditioner cover . place peaceful stay . 
 Mar 30 2009 	 not let Lobby fool you- unless 're Spring Break hotel awful . 	 several good Priceline deal nice hotel last year finally hit bad apple . Affinia like nerd school try cool can not pull . lobby look ok- certainly spacious service check - in check - out mediocre money grubbing . room have not update probably 20 25 year wear flip flop disgust carpet room . as Priceline element- think Affinia offer former & quot ; maid 's room & quot ; next incredibly noisy service elevator Priceline customer complaint inevitably come offer chance upgrade another 40 dollar . feel like scam couple shoddy old room enough make never stay . tood bad location across Penn Station great . 
 Mar 30 2009 	 great city - good central location 	 fantastic time New York , 8 year old son love love gorilla hotel leave bed - ok pay , cute idea . hotel good central location , easy walk load site shopping Macys , sephora old Navy mention few . lovely little greek cafe across road 5 minute walk , restaurant / bar nile nice well . we get deal lastminute , half price hotel website . get inside room near lift , problem sleep like log lovely quiet warm , clean room . little kitchenette great grab toast coffee getting go early - top empire state building 9 am . the tenement museum low east side definitely worth trip - really interesting . love polar bear small zoo central park - look like lot fun . not cheap holiday , New York great place visit - whatever interest age . 
 Mar 28 2009 	 great location great hotel 	 location hotel good , 7th avenue 32nd street . right opposite Maddison Sq Garden Penn Station . when arrive hotel get little check time room ready , able store luggage go walk wait room . the location hotel close Macey 's Empire State Building , walk 5 minute towards direction Central Park Times Square . able walk place , though take subway go see Statue Liberty . if would rather pay privilege get boat Statue Liberty take Statten Island Ferry - take Statten Island back free . need zoom take photo Statue though - get great view dock city landscape . I not greatly impressed room , mine 9th floor still noisy noise city traffic . room warm even though turn radiator right , not seem make difference . bathroom smallest ever see . the cooking area useful though , fridge good . need kettle really , though use microwave boil water drink . coffee maker take age water still not hot . I really like New York , lot see - child take toy r Us Times sq go ferris wheel , also animatronic rex impressive . wife love shop 5th avenue - well mostly shop window ! personally love go Rockafeller Centre see city landscape Empire State Building . we also go Ice Skating central park recommend . I think New York something everyone would go , would not choose hotel . though hotel staff great , especially bell boy . 
 Mar 26 2009 	 huge room great location Broadway - real find ! 	 ask 2 room high floor get 1 floor 21 1 floor 24 , large , beautifully fit separate kitchen bathroom . real bonus balcony 24th floor room - maybe get birthday- plus ! breakfast room take bell boy 's advice turn right hotel street opposite St Francis 's church 's great little diner seem frequent NYPD must good . would certainly recommend fluffy pancakes bacon maple syrup . great stay - front desk staff able make restaurant reservation we , check flight online free reception ( get printout ) . siren truck leave adjacent fire station seem go night problem sleep throught actually love - part city life . location great be head broadway show - within easy walk distance course directly opposite Madison Square Garden Penn Station ( subway line1 ) . good room - luxurious , clean great place flop day 's sightseeing 
 Mar 25 2009 	 Great Location great city ... 	 wife stay Affinia March 09 4 night . personally hotel snob therefore review honest piece highlight exactly hotel . location wise absolutely brilliant . opposite MSG therefore Subway station . Times Square 5 minute walk tourist venue become apparent . hotel humble opinion faultless . staff arrival departure brilliant ... maureen customer service desk particularly helpful . room perfect short stay . large comfortable bed , yes bathroom small seriously care ? unless try squeeze family elephant will not problem . miss bath especially mile walk daily shower hot welcoming evening morning . first night radiator make intermittent clunking noise need turn fault fix ... not need anyway room warm enough . room service order one night , come within 15 min . room clean request tv decent channel fall asleep evening . heck , even room look Empire State extra cost ! ! ! ! look value money , excellent location addition friendly staff look . would definitely go back New York would also stay Affinia . 
 Mar 24 2009 	 probably good budget hotel room NYC ! 	 two friend stay four night hotel perfect . room kitchen ( inc fridge , oven , microwave , toaster , coffee machine ( kettle boil water hob tea ) , sofabe , tv , another tv bedroom two big comfy bed not good enough two bathroom ! breakfast every morning Bagel Mavern right across street ! could walk straight Penn Station subway right street . there plenty restaurant / take - aways / grocery store within one block hotel ! area quite noisy night expect centre New York ? ? ? nothing earplug will not fix ! concierge really helpful recommend restaurant visit book us reservation could not fault food ! highly recommend rent bike cycling around Central Park 6mile loop - beautiful way see ! hotel great good sized , clean room helpful staff - problem would defintely stay ! 
 Mar 23 2009 	 Fantastic hotel 	 moment make reservation ( terrific rate Travel Zoo ) , feel special amenity offer on - line . check hotel , front desk professional , cheerful friendly room incredibly spacious comfortable . find Concierge Desk great resource ( dine Lugo Cafe nearby , upon recommendation ) , love boarding pass print - out station Concierge Desk . highly recommend hotel location thoughtful guest service , well spacious room gracious staff . 
 Mar 23 2009 	 perfectly fine 	 old clean elegant hotel . extend family book three room one night love be across Madison Square Garden , close Time Square hubbub New York . surprisingly , room quiet staff courteous helpful . teen young kid like spaciousness room . 
 Mar 23 2009 	 excellent hotel great location value money 	 great location . large room new york , clean frendly , good value money , good pillows.tinafrom london 
 Mar 19 2009 	 Comically Misproportioned Bathroom 	 studio suite queen bed . huge room bed way one end desk . plenty space couch coffee table , instead large empty space . fine , bathroom comically small . probably small shower ' ve ever see life . remodel , would make sense take empty space main room use build shower bathroom normal human could use . be go Smurf market , down . everything else great . location excellent , get great deal Expedia , staff friendly helpful . would stay . 
 Mar 18 2009 	 ' ve well stay ... 	 stay Affinia Manhattan one night March 2009 , annually . great location , nice staff . 4th floor room ; small view top Empire State Building great view . I well experience Affinia . con : -In - room internet access work , despite repeat phone discussion technical service . -cable tv reception terrible.-Smallest hotel shower ever.-billing check issue ; central reservation system place reservation onsite system . hotel overcharge group additional night ; resend confirmation receive hotel prior checkin . pro : + location : Madison Square Garden Penn station+overall room size NYCHotel room ( believe public area ) undergo major renovation begin May , good . place could use spruce . 
 Mar 14 2009 	 great location typical tourist ! Fridge / oven room virtually unheard NYC 	 visit NYC 30th birthday mum , neither us New York due price review trip advisor decide place base . arrive early morning flight UK dump bag room . huge good quality furniture / fitting although could probabally update sometime soon clean well present . quite noisy night people mention visit 24 hour city expect ? ! do not keep awake though tired walking ! ! brilliantly place we , 7th Ave central safe . couple minute walk Macys often call way back ` home ` night . Near Empire state / Penn Station / Madison Square Gardens / Central Park etc rest tourist attraction away space can not near . useful Tourist Info stand lobby helpful sort usual tourist thing ( show Broadway / Bus Tour etc ) small fully stock shop next door sell everything could want eat - plenty fresh bread / milk , drink snack etc useful room self catering aspect . never go hungry thirsty though starbuck every 100yards kid ! brilliantly equip kitchenette , do not want splash fancy restaurant visit tourist attraction shop ! ! - save fortune eat evening although would recommend Gordon Ramseys Restaurant ` London ` treat ! 
 Mar 8 2009 	 Big room Great Location . 	 would say , read review hotel start bad outlook stay Affinia Manhattan . arrive hotel , great location staff helpful get attention . lobby beautiful modern bar / restaurant connect . parking outrageously expensive ... New York City . call ahead speak employee change room request one decent view . arrive room massive clean . bed comfortable sheet leave little desire . staff accomodate every request go beyond ask . great place stay not incredibly picky : ) 
 Mar 6 2009 	 2 bathroom Manhattan ! 	 several girlfriend stay Affinia Manhattan February 27 - March 01 , 2009 could happy . book reservation Travelzoo get unbelievable deal ( $ 199 per night . ) one bedroom suite 2 full bathroom , quite unusual Manhattan . bed comfortable kitchen efficiency come quite handy . concierge helpful , give great restaurant tip easy - to - follow direction . hotel old not many update , lobby beautiful . check - in breeze . Affinia Manhattan directly across street Madison Square Garden block away fantastic shopping . also , hotel restaurant great friendly knowledgable bartender ( especially Jamie ! ) 
 Mar 6 2009 	 excellent really comfortable spacious central Manhatten Hotel 	 stay 4 night stay 1 bed suite - really spacious clean . hotel really central everything 2 block Macy 's - shop heaven directly opposite Madison Square Garden . find hotel excellent value definitely come back ! ! ! ! ! 
 Mar 4 2009 	 love location incredibly accomodate staff . 	 love location , incredibly accomodate staff . stay Affinia year ( far back Southgate Tower ) get well . ten block south Times Square , quite crazy , directly across Penn Station , two block Herald Square , location could not well . family meet weekend City , we arrive way early check , Affinia find room check we 10:30 a.m . concierge service excellent . twenty three year old son girlfriend would call service part city ask advice ! studio actually nice one bedroom suite , spacious well view , great kitchen come handy breakfast late night snack . 
 Mar 3 2009 	 Great Hotel ! 	 stay Affinia 3 day could fe fault . room huge bed really comfy . staff friendly helpful . conceriege service suburb , offer great advice recommendation . the hotel great position - nice central . 
 Mar 2 2009 	 large room good staff 	 stay hotel get fabulous deal one occasional sale . although pleasant stay , doubt would stay full price easy find cheap room quieter neighborhood . our train arrive Penn Station mid - morning . hotel almost across street station , quite nice able walk right hotel rather wait cab . also great location last day mean could full day fun 7:00 pm train without factor time retrieve bag distant hotel . ( go Brooklyn last day , especially appreciate . ) arrive hotel expect stow bag . instead , get room right away . exact type room request not available yet , offer we choice couple room ready , think great service . choose room two bed 4th floor . see room give , contact desk verify price . room BIG , mean hotel standard , NYC standard . big feel need make sure would surprise checkout ! besides two bed , room full couch , desk , dresser , ottoman . table , think odd since certainly room one , room full kitchen . the appliance kitchen , exception microwave , definitely old . even rust refrigerator . everything work condition clean , complaint . last time hotel room actual oven ? pot , pan utensil , entire array . example , colander , although would think pasta would pretty common quick dinner road . the bed comfortable bathroom roomy clean good amenity . main complaint difficulty moderate temperature room . room quite warm , could turn temperature slightly . however , several friend live old high rise city , common problem , ' m sure be much hotel could short major overhaul . furnishing decor particularly fancy - definitley old building - everything clean . the staff friendly courteous . son get bad rash , staff quickly point we pharmacy could help we . also quickly point we delis , grocery store , common need difficult find neighborhood . concierge seem help lot people get ticket show . concierge staff not seem much knowledge good way get far - flung site try get , people likely stay neighborhood show , shop standard tourist site , concierge service likely adequate guest . lobby small , chandelier fancy elevator door . kid ( age 7 10 ) love , feel though royalty . also love regular revolving door side entrance . automatic revolving door main entrance move slowly , naturally inclined push , cause problem , not give urge ! 
 Mar 1 2009 	 old style wonderful -- location location location 	 way , NYC noisy -- siren , loud voice building , etc . I wonderful stay past weekend ( acutually three night ) . yes , room furnishing ( exception mattresse TV 's ) antiquate . personally love it . I want go Rangers game Broadway show . walk block game , block subway take show . walk whole block take subway see new Citi Field . I take advantage conceirge know could . room huge personally love style though hear renovate . not want leave hotel even extend one night original discount rate though not ask price break . note : bathroom kitchen small style hotel , fully functionable . live area huge . obviously woman not design ! water pressure shower excellent . cable excellent MSG YES sport fan . plenty radio morning alarm . snack soda machine . bar restaurant let take drink upstairs . 
 Feb 28 2009 	 sure 	 hotel hotel website clearly mention pet friendly property find hard way . stay 2 night Feb 09 good experience . allergic dog / cat uncomfortable . carpet stains room dusty . fussy guy sure hotel define pet surprise huge cockroach bathroom rest soap bar . ( photo attach ) . go manager room change staff take regular thing big issue . apology . guess may New York thing . stay sure . 
 Feb 27 2009 	 excellent hotel welcome 	 Excellent hotel , perfect location . door man great door , hotel staff extremely welcoming , get bag take room bell boy show around room massive ! room 24th floor balcony look maddison square gardens . choice 6 pillow change many time want great . room clean tidy , massive bed , small bathroom - small , large tv load channel , desk chair , sofa chair small kitchen area everything need huge fridge freezer . would definately recomment hotel everyone . central location , road maddison square gardens one block macy 's , times square even central park within walking distance . 
 Feb 27 2009 	 love 	 hotel great staff helpful . room spacious clean even little kitchen useful . move room due decorate floor get similar room high . thing let hotel Spa mention brochure , be , 's sister hotel many block away . walk spa would perfect . 
 Feb 26 2009 	 Hello NYC 	 stay 3 night Affinia Manhattan . place clean well appoint . room large , complete kitchenette . space definitely plus well excellent location right front Penn station Madison Square Garden . shower small clean good water drain . 9th floor face 7th Ave believe noise level tolerable . provide ear plug never feel need . heat good . service quick pain free . got room right away fuss check 11 pm . stay $ 250 night . dog show 3 day see lot beautiful dog owner stay hotel . treat be allergic pet please aware hotel welcome . wold stay hotel . wonderful experience . 
 Feb 24 2009 	 good location excellent service . 	 stay 5 night could barely fault . really could not choose well location come NY holiday . penn station opposite hotel use train transfer JFK . really easy , fast cost around £ 15 two we . also Macy 's 5 min away 10 -15 min walk take Times Square Empire State Building . book Virgin Holdays standard room separate kitchen enormous ( comfortable bed ) . perhaps modern decor , quality fitting nontheless , high standard cleanliness throughout . noise could hear street ( 18th floor ) bad . breakfast morning Bagel Maven across street could recommend . bagel , pancake cook breakfast excellent reasonably price . hotel staff friendly efficient obviously well trained . make pleasant change rather gruff attitude often get New York . all pleasant stay pleased booked hotel . top mark Affinia . 
 Feb 23 2009 	 Excellent Location 	 family 4 ( 2 adult & amp ; 2 kid age 6 & amp ; 11 ) stay Affinia Manhattan 27 Dec 08 - 2 Jan 09 . night arrival ( 10:30pm ) , advise 1 bedroom suite available king suite ready we . exhausted lose piece luggage forget transport company 2 hour ( way USE GO AIRLINK SHUTTLE ! ! ) , could not bother arguing take room offer we . room 2 QSB one room fine first night definitely want KSB bedroom adult pull sofa sit room kid . hotel offer we $ 100usd reduction first night . follow night room ready great . bed comfortable choice pillow . view window 15th floor , Madison Square Gardens . spacious bedroom ensuite kid spacious room bathroom . kitchen well equip . heat good except one space heater turn entire time , hot touch dangerous case one kid touch it . on New Year 's Eve room service hotel . food exceptional , equal first class restaurant fraction price ask NYE meal ! ! location hotel great . block Times Square . shop great Madison Park Avenues . time year sale exceptional . definite must Ruby Tuesdays & amp ; Bubba Gumps eaterie Times Square . try get Red Lobster & amp ; Hard Rock line always long . highly recommend & quot ; Location Tours & quot ; . tour Tv Show Movie site New York also many other choose from . we go see Hairspray Broadway . New York must see Broadway show - stand line almost 2 hour tkts ( discount ticket ) ticket . never know available get front line whatever , will not disappoint . we travel Water Taxi Hudson River come close Statue Liberty . tour last day take place sun setting , spectacular scene . also highly recommend Ground Zero site . real eye opener see extent damage . also amazing see new structure build . FAO Schwartz - great see Big Piano , familiar movie & quot ; BIG & quot ; . & amp ; World & amp ; Dylan 's Candy Store fun visit not spend budget ! not scared height , recommend , Top Rock Rockefeller Centre . amazing 360 degree view New York . make sure good walk shoe great deal walk ! 
 Feb 22 2009 	 great hotel Superb location excellent helpful staff 	 stay 5 night holiday teenage daughter . location , opposite Penn station couple block Macy 's Empire State Building outstanding . staff well organise real & quot ; & quot ; attitude , whatever query . arrive jet lag , check quick efficient , book one room suite come two bathroom , huge bed ( one comfortable ever sleep ) large sofa bed lounge daughter . also two large tv' - not much tv watching . ( New York even well bill . ) send tenday weater forcast along & quot ; pillow menu & quot ; extras could order week leave UK . within hour special pillow arrive along freebie basket yoga mat , block fitness gear / DVD 's etc . accommodation great , lot little touch - luxury aveeda toiletry , fresh ground coffee replenishe day , kitchenette huge fridge . concierge desk really helpful - they book trip , show , advise transportation , load information fingertip friendly helpful . room eighth floor , double glaze , spacious quiet . complaint drawer clothing chest tend fall pull get clothing . cocktail one night Niles - pricy everywhere . try restaurant room service . italian ( Luca 's ) couple block away recommend go several time eat . 
 Feb 20 2009 	 Fabulous ! 	 stay Xmas New Year 2008 . early check - in smooth , really good reception staff - fact service personnel fantastic- concierge bellhop . room large NY standard safe , workable kitchen . term noise see mention one two people- room high floor honestly notice street noise window shut . the foyer great public area well maintain , well appoint business center , quick ( expensive ) internet . the location superb- block two 3 different subway line , round corner Macy 's B & amp ; H , next Penn station Madison Square Garden . dozen place eat fact restaurant ok attached hotel . I make reservation really well ahead time get rate around $ 200 , not think happen ! price Affinia good buy NY ! 
 Feb 19 2009 	 careful booking Priceline . 	 first time ' ve encounter problem book Priceline . reserve hotel Priceline.com call hotel request 2 double bed & quot ; Suites & quot ; Affinia Manhattan hotel . reservation tell although hotel & quot ; Suites & quot ; single room ( suite ) accomidate single bed . room book Priceline . comment not offer single room website assure exist . 2 we go , need upgrade regular room option second bed . first hotel ' ve ever encounter priceline discriminate base book . 
 Feb 16 2009 	 enjoy stay 	 husband , son , age 22 & amp ; 20 stay Affinia Manhattan New Year 's Eve . check easy clerk helpful . minor problem think request room two bed instead one . none available , give rollaway bed charge . son six foot share bed would uncomfortable . location great . across street Penn Station take train , take Megabus . review say , be short walk Times Square . kitchen small , cook be vacation ? ! also coffee maker , great . although expensive side , four people 's bad New York City . would definitely stay . 
 Feb 15 2009 	 great stay 	 stay Affinia excellent ! check great easy . room huge room two we . staff accommodate location great . book Travelzoo Valentine 's Day pay $ 169 . 
 Feb 13 2009 	 yike 	 half hour wait bottle wine room service- drink send back come back us lipstick stain glass -- -when go check could not find reservation , -- virtually everything electronic room break ( tv remote , phone etc etc ) never figure wrong operator assist call service long distance go direct much expensive direct dial rate bathroom small barely room turn around -- fine- $ 400 per night one obtain much well accommodation area NY . 
 Feb 12 2009 	 fabulous hotel good staff ever 	 stay Affinia attend Westminster Kennel Club Dog Show . room spacious impeccably clean fresh smelling . check breeze staff friendly polite . grant every request smile thing do timely manner . travel dog pet friendly , . never go back dog show stay anywhere else . Affinia Manhattan first class hotel step Madison Square Garden . 
 Feb 11 2009 	 fantastic location 	 partner find stay Affinia excellent . arrive Newark catch new jersey transit Penn Station - thehotel across street . easy walk distance almost anywhere . would recommend Ground zero museum workshop - 2 hour day memory stay forever - move . Brooklyn Pizza tour also good . find room slightly small hoped ( book studio ) kitchen speak really microwave , coffee maker fridge adequate planning eat anyway . 21st floor - ' m light sleeper find noise disturb . great location excellent restaurant , shop entertainment ( doorstep really . this 4th visit New York - first time Affinia like location / hotel much I m go back end Feb 2 girlfriend ( 1 bed suite ) . room clean ( although maybe little tired - old hotel afterall 
 Feb 11 2009 	 get room away elevator ! 	 stay last week family friend girl meet check desk helpful great . room lovely 3 us room right wall 6 elevator go night . next morning move room soo noisy do not know could put anyone there . it problem change get bump beautiful room , kitchenette hotel great really come handy . would definietly stay good location staff seem really friendly . one thing u forget put ' do disturb ' sign room door clean staff walk 8 am morning , us morning lock door try anyway knock every hour hour leave around 11 am ! def good idea put sign put lock door unless u want wakeup call really early ! would highly recommend , adjoining pub great next door across road . really great location . 
 Feb 10 2009 	 bad price 	 hotel great location , reasonable rate Manhattan . lobby nice , attach restaurant / bar nile quite good . staff helpful quite pleasant . room okay . room smallish kitchen decor date 1970 . room clean generally quiet . even though location overlook MSG traffic noise pretty moderate . much nice hotel NYC , place well situate people need area . actually bring room 21st century location would exemplary . 
 Feb 6 2009 	 beat location ! ! check room dirty magazine 	 Wife spend 5 night honeymoon hotel overall enjoyable stay . location great - arrive via rail many suitcase bag across road Penn station bonus . see sights city train via Penn , also easy 10min walk Times square number time . room comfortable kitchen bonus , however find difficult buy grocery area end even use kitchen 5 day . couple negitive : like traveler , need laundry howveer hotel laundry room hard find crazy , 20mins looking get staff member show suprise , suprise housekeeping area acessable via service elevator that s say ' staff ' ? ? ? secondly , wife pretty disgusted find 2 adult magazine ( feature large woman ) inside drawer bedside table . clean staff must check room well . make feel bit sick thinking bed night we ! kinda put damper honeymoon romance . 
 Feb 4 2009 	 great hotel great location ! 	 4 we stay January sister 's 40th . 3 we share one bedroomed apartment one person studio room . apartment huge - 2 bathroom , great kitchen area , dining table , 2 tv 2 huge bed , sofa - bed lounge area . 12th floor definitely keep awake noise night ! hotel great location - walk Times Square not seem long ' ve do hundred time ! reception staff friendly use information desk , really helpful . also room service late one night food great . would definitely recommend would love go back ! 
 Jan 30 2009 	 good except check - in 	 boyfriend stay Affinia Manhattan Jan 09 , arrive New Years day . arrive early ( 1 pm ) tell room would ready 3 pm . return 3 pm told still not room ready we , would wait . lobby really busy , think problem lot staff turn post - new Year celebration . wait hour approach queue reception . finally get room 4.15pm . good absolutely exhausted flight , freeze outside seat lobby ( perch windowsill ) . think must one - off bad day they . apart bad start , hotel great every way . room good size , double bed good pillow ' ve ever sleep , include ! room really easy heat cosy spending day harsh weather . loved ! plenty space luggage clothe build - in wardrobe chest drawer . decor nice , although not like blind often refuse cooperate ! view ok ( building really ) room face west see lovely sunset . the kitchen area 4 hob gas cooker , microwave , toaster , fridge filter coffee machine , well cutlery , pot utensil . kettle , heat water hob microwave . handy make breakfast room not venture cold empty stomach . K - Mart near Penn station probably good place buy basic like milk , bread etc ( ask staff direction ) . also whole food supermarket walk 7th Ave towards Chelsea ( nice bit pricey , fresh produce ) . bathroom small , shower ( bath ) clean nicely fit . shower powerful , although cubicle small - could problem some . New York noisy , night . floor 24 ( total 28 floor ) , room 2407 could still hear traffic . yet sleep like baby every night tired bed comfy , not problem . lobby information area pick free newspaper helpful magazine like Time . barely interact staff can not comment say seem generally helpful . overall , would recommend hotel . location almost unbeatable kitchen really make feel homely , private self - contain - perfect couple want alone ! like pretend little apartment . hotel facility basic , not go New York spend precious time hotel . 
 Jan 28 2009 	 great location shame service ! ! 	 go friend arrival allocate room double bed , specify book twin room , go back reception tell could not gaurantee would get room book even though book 9 month advance ! receptionist rude unhelpful saying would pay $ 100 camp bed , long argument give free tell would get room twin bed next day ! room get follow night lovely , ery big everything could need . hotel noisy right center New York like sleep would advise hotel . however shop ten tis hotel great ery central ! would go back price right would definetly shop around next time ! 
 Jan 28 2009 	 New York New Year 08 	 warm welcoming good way fo descibe hotel . first impression walk stair foyer grandeur place . sure , be little date , add character . we room 1607 great view overlook seventh avenue . distance could see Times Square directly we Madisson Sq garden . the room comfortable although ask king size bed , give we two queen size . not really matter though queen size big enough two we anyway , find choice stay particular night ! room 's kitchen although use fridge sink , suppose nice addition . the location hotel brilliant . walk north directly 7th avenue get Times Square . grab cab south way statue liberty etc . basically , great central location . as place New York food good . room service supply restaurant next door . try angus burger , good ' ve taste . we New York 7 day New Year fantastic hotel not let we one bit . overall , would recommend hotel anyone know visit New York . hotel ideal position watch one big boxing flight Madisson Square Garden . let us hope Hatton fight ! girlfriend say will back point future would definitely stay Affinia . 
 Jan 27 2009 	 great location spacious room 	 hotel right Penn Station , make easy get everything train . never even bother taxi . short walk Empire State building too . our suite huge . bedroom two queen bed , tv nice sized bathroom . living room fairly comfortable sofabe , tv , desk , full bathroom full - sized kitchen . lot cupboard drawer space . not bother cook kitchen well enough equipped . would comfortable week - long stay . only drawback - table chair eat meal bring . . 
 Jan 26 2009 	 BIG problem 	 experience nightmare . depend internet access ( advertised ) job . large problem . first , be $ 20 per day internet access ( even browse internet business center pay $ 5 - $ 10 ) . second , something go wrong can not access internet , expect help . give user name not work , management absolutely idea help . technical support staff . spend 2 1/2 hour Monday morning desperately try get access internet ( need user name work ! ) avail - management act like impose ask help . manager even say & quot ; ' m technical person ! & quot ; - SOL try figure . would think hotel size frequent business traveler would prepared respond guess username not work . as room , floor stay reeked smoke , despite fact supposedly non - smoking hotel . Guest service humidifier send help smell , fan humidifier noticeably cover mold dirt . almost offensive would send state . the room also noisy tired . tell bother put much money update room ( tv , carpet , furniture cheap old ) .There thing hotel good , quite redeem . first , room large bed comfortable . order menu different pillow type . room service restaurant hotel bad ( say lot come room service hotel caliber ) . ask DVD player play yoga dvd bring right set I . in SUM , would say reason stay hotel would got good rate . 's worth rate pay - nearly $ 300 per night . transfer Kintano internet issue soooo much nice ( let reiterate -- soooo muuuuch niiicer ) , price ! ! ! shop around stay Affinia cheap option will not depend internet . 
