love 	 love Art , sculpture , bed / room , restaurant , pool , service , vive , peace . love sexy , romantic feeling place . spa open stay would really perfect . stay Hotel 2 month really love feel really comfortable satying . adult place sensual painting hotel sculpture . vive , look feel place scream passion romance . casino place great quiet , healthy peace relaxation . 
 thankful restaurant close 	 Artisan website give false impression actual property . stay hotel attend son 's wedding . Maria , wedding planner , staff organize handle detail . hotel disaster . maintenace problem . party four room . problem encounter room door become unhinged bathroom door would close . light bulb miss one work 40 watt make room dark dreary . Shower water would turn , water closet would stop run . call front desk ask maintence issue . maintence duty . hotel locate near expressway prepared hear car truck loudly accelerate night long . drywall drop hallway ceiling several room door & quot ; red & quot ; stop order Las Vegas Inspectors state room could occupy . learn upon arrival restaurant use Private Dining Room close two month . communicate son daughter - in - law prior arrival . probably BEST . book evening dinner wed two wonderful restaurant strip . make wedding . tolerate Artisan . staff try , receive backup Management Ownership . be like bleed hotel revenue put investment back . interesting bar . rating Wedding Chapel , strip restaurant = a+ Artisan= D- suggestion : stay strip , save cab fare , enjoy well lit room maintence perform . 
 Oct 20 2005 	 1st Choice Artisan 	 would like thank staff management Artisan create pleasant place stay Las Vegas . last two year , stay various hotel strip . choose Artisan 7 month ago whim pleased choice make . stay Las Vegas least month Artisan always first choice . room always clean , staff pleasant helpful , price reasonable , ambiance hotel much like . bonus us casino deal . real kicker ambiance . art decor hotel always make we take time look way lobby , room hallway full eclectic art work . we art photographer appreciate art kind , choose Artisan home visit Las Vegas . 
 Oct 17 2005 	 good keep secret 	 letter write owner hotel . People , ' m tell ya place awsome ! .I want thank hotel staff write stay hotel . as say phone , move San Francisco . I love Vegas will admit stay big hotel fun . a year ago . but ' m sleep call mall style hotel . the Artisan hand favorite place stay Vegas . I feel like transport back SF drink friend hotel Nobb Hill . the style hotel blow door anything strip offer . I could care less 1500 room mega mall hotel . with 's neon glitz pack slot area . I actually sit bar real conversation patron bar tender . it like home . but right amount class decor let know special place . I check Friday night touch staff hotel . that decide check back Sunday night . the Artisan new home away home . I make point stay least twice month sure . 
 Oct 4 2005 	 bad hotel ! ! ! ! 	 live 2 night , start Oct 1 , 05 . restroom pathetic , - rusty faucet , dirty tub , housekeeping ! ! ! room door ' work , customer service really bad , front desk guy rude . the picture website restroom match reality ( least room , stay 3rd floor ) . lobby stink . room well light , room two small lamp , one ' working ! ! ! room door ' open / close properly ( break lock ) . book via hotwire ' get mess ! ! ! already complain hotwire place . want enjoy Vegas , stay hotel . 
 Sep 27 2005 	 run run run 	 joke right ? ? nothing nice place , rude , rude , rude , dirty , dirty , dirty , help ! ! ! run 
 Sep 21 2005 	 Liked Artisan lot 	 hotel cool . different hotel stay . yes first might seem spooky get use painting wall cele . great time definitely book . bar excellent well . 
 Sep 12 2005 	 wonderful Stay Artisan 	 husband wonderful stay Artisan moment walk beautiful lobby leave . decor beautiful different . celebrated birthday could not feel like Queen . thom , restaurant Justin Andrew , bar stand particularly . friendly , professional courteous . food outstanding Sunday live Jazz band play champagne brunch . look glitz bright light & quot ; strip & quot ; place . , however , want nice , unique hotel & quot ; beat path & quot ; highly recommend Artisan . 
 Sep 9 2005 	 place need time break ..... 	 first spa ... pool . front desk staff disorganize . one know go . one truely friendly christian waiter . everyone else seem pissed work . room right ramp freeway . noise issue will not happy . food resturant average . wine list nothing really offer . art work decor amazing ! love everything visual . little afraid leave car parking lot since really bad area . would never consider walk night anywhere , cab would way do not car . place really good bone , need lots work ! new staff care completly operate spa pool . want adverstise gourmet food . maybe time place grow , , outside going look around great art one drink may pass . 
 Sep 6 2005 	 beautiful art work every room ........ 	 friend stay hotel labor day weekend . actual web site say spa open sep 1 , be not dissapointment . pro : beautiful art work every roomclean bathroomsfully stock towel etc .. cozy bedshbo televisioncon : freakin smell lobby ( hold breath pass ) Spa available102 degree vegas pool function ! ! gym ? bicycle set weight -- unbelievableNOT close STRIP like tell . drive STRIP.just make sure u call ask spa pool open book room artisan .... 
 Aug 22 2005 	 not knock till try ! 	 husband miss flight unexpectedly book another night Vegas . tired strip jump Expedia find Artisan . glad ! ! food fantastic . staff attentive , even meet owner . plenty occassion life stay Comfort Inn , venture try something different . besides extemely affordable comforable love way decorate ! location heart Gambling district sometimes wear . 
 Aug 16 2005 	 Interesting Place 	 unusual interesting decor , nice staff , little tough get strip 
 Aug 1 2005 	 horrible horrible horrible 	 wish review book . miserable place . begin ? basically , 's dive try give facelift paint art wall nice furnishing room . , ugly , old lady still ugly old lady even make - up clothe . staff not seem care one bit guest ( except nice waiter sense humor ) . advertise thing free dinner 2 falsely advertise . tell phone book could room service get try send room say could not & quot ; gourmet package . & quot ; plus , book , say dessert dinner tell not . arrive , hand piece paper say get salad entre , try order phone , tell salad not include . , SPA ? ' ve got kid . not even water swim pool . hot water room one morning hardly water pressure throughout . cheap , crummy place stoper bathroom sink something fall drain retrieve , . not go place ! ! 
 Jul 31 2005 	 probably 	 7/29/05 stay . lobby hotel must also serve makeshift salon , smell hit we enter build reminiscent chemical use bleach / color hair – strong rotten . pass layer stench , air clear sense recoup . must say enjoy decor lobby adjoining bar – dark wall ceiling break strip 's flash neon light . definitely want relax . 's nice change . upon check - in front desk staff friendly helpful , though must confirm error reviewer point , fail tell ( point type notice conveniently push side ) & quot ; energy surcharge & quot ; receive upon check - out . really forthcoming information . be one small thing stick customer 's craw give reason write hotel off . the room nice seem pretty clean . in - room air conditioning unit two knob expose electronic – graphic guide tell on / off adjust AC / heat . unit also seem lack sensor – either leave AC . make energy surcharge real insult . note artisan : please purchase energy - efficient air conditioner stop infuriate customer unnecessary fee . I able get late check - out ( Artisan 11:30 ) problem . upon check , woman front desk seem scowl question energy surcharge – appear well train battle customer question extra $ 3.50 . overall , place fine need roof head look something unique , must prepared irk detail . 
 Jul 27 2005 	 bloody joke ! ! ! ! ! ! 	 first soon walk smelly place know big trouble , waitress antonette rude smell like booze along sweat , bad taste , wait food seem like life time , get room smell sheet look like never change week , stuff floor take shoe sock get black yick ! ! ! ! ! ! ! good feed back do owner fool everyone come , dont fool ! ! ! ! ! place worth strip mile away walk , , , , , , , , beware , , , , , be bloody joke ! ! ! ! ! kitchen / bar help smell ..... 
 Jul 24 2005 	 bad Hotel ever stay ! 	 hotel truely nightmare . description picture web reflective getting . first hotel 1 block strip , 1 mile really walk expressway & amp ; railroad way . stay hotel either rent car take taxi everywhere go . exterior Hotel retro look , however upon enter dark stale , musty odor permeate thru hotel - lobby , elevator & amp ; room . carpet room dirty disgusting , last day husband already pack sandal walk bathroom barefoot put shoe , tell would disinfect foot upon return home . bathroom ceiling mould grow - UGH ! ! ! sheet rough , thin pilling - never use pillow . tv & amp ; hall light work , report front desk , attempt ever make fix . would never recommend hotel anyone know . 
 Jul 12 2005 	 Energy Surcharge - Fraud ! 	 June 2 , 2005 , family check Artisan Hotel Las Vegas overnight stay . reservation make Expedia , pay Expedia . upon check give Artisan credit card " incidental " . incidental charge . upon checkout charge card $ 3.50 " energy surcharge " . complain , tell post upon check , clerk point placard ( obvious , pointed check ) .this nothing artisan ' attempt petty theft . here fact : Nevada Power charge base rate energy regulate Public Service Commission , apply " Deferred Energy Accounting Adjustment " ( DEAA ) , adjustment allow Public Service Commission account fluctuate energy charge . adjustment go down . the DEAA adjustment Nevada Power Customers post -- -- - . non - residential customer adjustment $ 0.00450 per kilowatt hour ( kwh ) .Our room two - bed room . look nameplate air conditioning unit , ' estimate ' 10,000 12,000 btuh unit . conservative , look catalog datum 14,000 btuh unit , 9.3 EER ( efficient today ' standard ) . unit draw 6.3 amp 230 volt , 1.5 kw . add conservative estimate 300 watt ( 0.3 kw ) lighting . assume air conditioning operate full blast ( cycling ) light 24 hour . total energy consumption would 1.8 kw * 24 hour = 43.2 kwh . energy adjustment , , would 43.2 kwh * $ .00450 = $ 0.19 . ninteen cent ! assure , real energy use would less half ! first , room overnight . second , energy use assumption well overblown - a / C assumption oversize , A / c cycle , use fraction lighting assume . so , , Artisan ' " energy surcharge , nothing BIG CHEAT . basis whatsoever . other issue : & quot ; art & quot ; ( actually cheap print ) hotel mostly nude - even guest room . something teenager need expose . mold throughout bath area - even cover ceiling . bath run steady stream water . ( , will bet cost Artisan ninteen cent ! ) 
 Jun 12 2005 	 Artisian spa - less 	 upon arrival first staff member encounter unknowingly owner , Mr. DaSilva . several passing man not courteous staff unique atmosphere would left immediately . appreciate early check - in due morning flight female front desk quite friendly . housekeeping staff quiet morning , attentive need , room clean comfortable . stop bar one evening find staff professional pleasant . Mr. DaSilva could learn much customer sevice employee apparently lack area . Smiles acknowledgment go long way . 
 Jun 3 2005 	 place ? ! 	 read review wonder would , stay one night since head elsewhere . alright , hotel little different would not say bad . theme art candle , yes , dark- yet different ... room clean nicely decorate , include bathroom . negative , place right i-15 , loud , request room side . also nice walk strip not ... restuarant pretty good good service ! actually place class unlike establishment Vegas - Enjoy not afraid- different ! ! ! ! ! ! 
 May 29 2005 	 bad hotel ever ! ! ! go 	 strange horrible smell hotel , hardly see light main entrance candle ( look like spirit/ devil place ) spa even swim poolreally strange decoration paite frame wall spend one night find sheet not change . the Furnitures break could not take baththe room noisy ( locate next motor way ) GO 
 May 13 2005 	 disappointing hotel 	 hotel advertise Spa one block strip . true . hotel almost one mile strip , spa facility pool . lobby dark need flash light get around . fake art wall tacky . also , hotel totally non - smoking smoke , plan stay . management staff lack customer service . 
 May 9 2005 	 totally Disgusting 	 first clue entrance canopy – 100 + bulb probably 10 % burn another 10 % totally missing . whole place dark dingy – hiding ? ' ask ! carpet totally wear numerous burn mark . must paint eye close - prevalent black paint place – include beige wall cover , grey baseboard , vinyl floor , green carpet , etc . phone message light blink five day despite numerous assurance " maintenance " ( misnomer ! ) would take care right away . tissue dispenser empty three day . shower pressure totally pathetic . blue carpet cover bathroom floor pattern wear vinyl hair leave arrive 5 day early – ugh ! Formica drawer unit entire front edge chip break away . nude picture bedroom wall man ' genital scratch . ' mention " energy surcharge " go check – ' crisis end couple year ago ? every hotel stay . disintereste staff . this place embarrassment lodging industry city Las Vegas . book agency client favor take list . stay away – warn ! truly disgusting place ' ever stay . 
 Apr 26 2005 	 not afraid stay 	 earth give hotel negative review ? kid ? kidding ? HIGHLY recommend hotel everyone . exquisite ! ! spend 5 fabulous night , definitely return . we arrive well midnight , fatigue long stressful day travel . minute pull beautiful parking area hotel , know special place . walk magnificent doorway , enter another world , aglow light dozen white candle , magnificent painting , sculpture , water fountain . ethereal music play softly , scent heavenly -- definitely aroma therapy ! ! ! instantly every trace tension fatigue leave body overwhelming sense peace well - being . room equally fabulous ! bed make like work art , ton decorative pillow , soft chenille throw blanket drape stunning bedspread . big comfy chair , glass table silver tray glass ice bucket . plush satiny carpet make we want go barefoot ! ! ! nice oversized showerhead long deluxe hot shower . Magnifying makeup / shaving mirror . trust -- - everything room work like charm : plumbing , light , tv , refrigerator , heat , A / C , iron , hair dryer . key . hint problem anything . , 's look ! ! bed pillow soooooo comfortable . sheet softest ever smell clean fresh ( room non - smoking ) ! towel washcloth -- - fluffy soft , like typical & quot ; sandpaper feeling & quot ; towel find hotel . toiletry ( soap , shampoo , lotion ) import Australia ! ! ! ! restaurant ? will not find delicious food intimate invite atmosphere anywhere Las Vegas . be open 24 hour ! ! ! Chef Franco 's omlette die ! ! ' m coffee drinker , friend say BEST ! like wine ? free WINE tasting every day 4:30 hotel guest ! ! ! need go online ? free internet access lobby , charming little office hotel guest . the staff great ! ! ! hotel guest treat like royalty , attention every detail . neither word photo justice incredible place . see . friend stay another hotel , tell come see hotel ! speechless . admit , ' ve never see anything like ! location perfect -- - right Route 15 , parallel Las Vegas Blvd . I truly not understand negative review website . absolutely nothing negative say -- -- be really rare ! ! 
 Apr 13 2005 	 worth $ 29 . 	 time worth spending , eat listen piano player . leave ! not fool first floor , floor give attention . heed warn , smelly elevator first indicator many , reveal & quot ; hotel spa & quot ; really & quot ; hotel spa & quot ; . never mind . Hope never speak owner . rude care nothing stay , already fork credit card . hate first night , tell would pay full amount anyway not stay night two . plumming horrible . unless like shower pool dirty water . toilet back . hotel locate bad area make matter worse infested strip club . say , one would think security would first thing owner would invest . Park risk ! get good night rest , unless use hear police emegency siren . food entertainment good , know will back . wish read review make reservation . return . rate ! pay amount stay anywhere else . 
 Mar 30 2005 	 be picture 	 fairly new , boutique hotel great idea many painting sale display everywhere , lovely lobby good location . set foot door picture change . reception person take forever acknowledge new guest although one else sight . room enough light read light entranceway work . soul restaurant dinner time , open business ? double pane window result noise freeway surround property . next morning 's shower varied tepid cold . place available breakfast premise . daytime receptionist inform difficulty , plain rude uncaring . provide name phone Manager arrive 10:00 a.m. five day , still wait return call . favor stay somewhere else . 
 Mar 25 2005 	 sad SAD 	 walk smell really bad bad sick get bath room . water work , water good times hotel spa . nastyest place . would give back money five min . 
 Mar 16 2005 	 great bartender strange cover odor 	 stay business want place infest granmother pump nickel slot 24 hour day decide try joint . happy 's location driving be bury 15 , easy place appointment . bar fine . great pour bar staff give fast look direction . christian desk positive helpful well rosy night dude . door card not work fix apology give realistic reason . housekeeper fine cleaning far could see . oh , yeah , toilet run time time not keep awake . strip club ? hell , be Las Vegas everywhere , get go Utah . what odd place air scent sprayer place . give headache first night week , get use . stay ? sure . staff good / excellent condition building line pay . hotel service consultant give place good mark . see lot still work finish , -- -- good value . selection scotch could broad , travel business / alcohol lover like rely small luxury life road.jb SE Asia 
 Mar 15 2005 	 owner post Positive Reviews ... 	 ... Desparate Attempt Save Dump 's explanation positive comment . know suck , anything hide . everyone see front desk stay complain somthing . broken shower , leak , stain carpet - stain mattress ! ewwwwwww ! ! ! ! ! ! ! pit . mistake . express surprise SPA , manager duty look right eye say , & quot ; make reservation , * ask * spa ? & quot ; absolutely lice nest armpit strip . like dodge hooker drug deal get room maybe place . year ago , stay reclaimed holiday - inn - now - youth - hostel bit strip . place nicer . cost $ 15 night ( pool party every night recall - oh yeah , be another thing not tell . even pool not open ) . stay away ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Mar 14 2005 	 False Advertising ! ! ! ! 	 book online ad say & quot ; 1 block Strip & quot ; . unbeknownst we , 4 MILES Strip -- accord Front Desk Clerk . ask ad 's say & quot ; 1 block & quot ; , answer , & quot ; be 1 block Sahara & quot ; . ' m sure go I15 power plant past homeless people corner , certainly go walk appear safe area . I15 major highway room face , unfortunately , window appear open time glass thin . noise whatsoever reduce window . also smell lobby , something like really sweet air freshener cover bad odour . artwork lobby , dark , overdone look cheap . cab driver never hear Hotel explain say thing -- & quot ; would stay ? ? & quot ; Needless say , spend $ 200 U.S. cab fare Strip 4 day stay , would recommend hotel anyone want go Hotels Strip -- would highly recommend stay somewhat costly , clean convenient location Strip . 
 Mar 9 2005 	 will love romantic unique atmosphere 	 walk door say , & quot ; oh God ! & quot ; never see hotel like ! Vegas many time decide take & quot ; gamble & quot ; stay property since still & quot ; unknown . & quot ; gem desert ! decor amazing inspiring . food phenominal . service friendly welcome , sit lounge ... guarantee owener come say hi ! staff efficient ! reccomend property everyone . picky traveler , may say may mean much traveler , property worth see ! wish receive praise ! , glad stay Artisan ! 
 Mar 6 2005 	 WONDERFUL ! 	 not understand negative review ... hotel little dark , style . artsy . yes close freeway , opinion sound occasional loud car well hearing & quot ; de ding & quot ; slot machine night ! staff on - hand FABULOUS . waitress great ( antinette deserve bad review get , 100 % attentive we ! ) , bartender friendly professional time ( Carey make good drink ! ) , much fun hang every night go town . take time develop personal relationship everyone , stay sure ! hi great people work ! -Cat MI 
 Mar 6 2005 	 good hotel Vegas 	 first time Vegas , ' ve never feel comfortable vacation life . be Vermont , take lot make we feel comfortable anywhere , especially Vegas ! ! employee make experience complete we . service name game vacation ... right ? ? ? food fantastict , get well . free wine tasting miss , ( sorry Carey ! ! ) enjoy great drink , will never disappoint . love comfortable bed infinate pillow , will heaven . bartender , head server , handy man ny , owner owner daughter ( GM ) ; without use name , make trip ultimate vacation . hope return Vegas soon return Artisan ... see new friend . would lucky stay amazing new hotel . well check still room . and go ! lot ' love miss ! Shannon Ryan , VT 
 Mar 1 2005 	 Liars 	 place joke ! go website click reservation Masterpiece Suite price come $ 399.00 one night ( check Thursday night April ) . however , call confirm reservation say actual rate $ 899.00 night . SCAM ! say website price wrong would honor . avoid PLACE ! ! ! ! SHADY ! ! ! 
 Feb 16 2005 	 complaint 	 food excellent , food service average , bartender go way provide fast good service . beautiful decor . will back soon ! 
 Feb 12 2005 	 great hotel -- creepy painting ! 	 ' m local Las Vegas resident decide stay Artisan Hotel get house . cheap , let say definitely get money 's worth . lobby absolutely GORGEOUS . painting EVERYWHERE [ even ceiling ! ] decor creative . ambience cozy invite large , comfortable couch coffee table .. -- painting start get . lot creepy -- especially painting room ! painting bed seem stare right back . even walk hallway .. feel like character follow eye . be pleasant picture , either . 's painting ghost people die witch plain creepy image ! ... pay two night stay one . 
 Feb 11 2005 	 joke 	 Stayed mid January . wait quite bit frontdesk service check . front desk clerk not nice . seem like keep something else . art throughout hotel ok , not compensate overall experience . room smell musky not clean hotel room ' ve stay Vegas . go bar night cap night strip . seem like soap opera hotel watch scream match evolve fist fight involve Artisan employee fighting lady . never experience hotel . like try different hotel everytime visit Vegas , one bad experience far . other pleasant ok . one hotel never stay . 
 Jan 31 2005 	 Got marry chapel stay 	 get marry Artisan 's Wedding Chapel Friday , January 28th,2005 . absolutely beautiful . go hotel wedding , go wedding Company Las Vegas ( google ) . highly recommend chapel - nice ..... much well chapel strip , go Wedding Company , get great service ! not know anything else hotel ........ advice get marry ( wedding company ) stay elsewhere like ( stay Venetian ) . 
 Jan 22 2005 	 disaster 	 get 1 a.m. late arrival guarantee Travelocity . go check , tell room available Expedia people say also turn away never receive reservation either . ask use phone call Travelocity , clerk say & quot ; can not tie phone send side hotel coin telephone ! & quot ; wait hold Travelocity hour 15 minute , girl call hotel clerk directly get back tell nothing could clerk rude too . seem like lose lot reservation different company not seem worried . want get strand hotel not honor reservation try help get room , place you . and want wait month still get refund travelocity use book company . yes _ know seem impossible many call e - maisl refund yet room Travelocity could reserve . 
 Jan 9 2005 	 recommend 	 would like give hotel 1 1/2 star actually can not bring click ' okay ' summarize stay . overall experience consider budget price not total nightmare place definitely downside trip . bathroom tile chip , room strong mysterious mineral - type odour not fond , location awful . understand place Strip can not help disappoint 's essentially lock highway road pretty bad , industrial area . result , significant extra money spend cab completely nullify whatever saving may gain . stay another hotel ( even expensive one Strip ) far much well option . 
 Jan 4 2005 	 Renassiance Reborn 	 Artisan Hotel Las Vegas ' new well keep secret . masterpiece artist begin blank canvas diligent delibrate brush stroke create work art enjoy . owner Artisan Hotel & amp ; Spa ! stay Artisan early stage remodeling must say extremely impressed result date . come matter patient . November 2004 hold luncheon restaurant Chef Franco prepare exquisite menu guest . guest amazed see wonderful work art display magnificent Wedding Chapel . highly recommend Artisan Hotel travel need . location non - gaming property convenient accessible activity Las Vegas . 
 Nov 29 2004 	 HOTEL HELL ! ! ! ! 	 recently spend 3 miserable night life Artisan Hotel find later & quot ; converted & quot ; TravelLodge . they describe & quot ; Las Vegas ' first small , luxurious , non - gaming , boutique hotel & quot ; . not know definition & quot ; luxurious & quot ; however definition not include non - functioning toilet , electrical outlet alarm clock . suppose include clothe iron burn mark carpet , dirty floor bedroom bathroom area . speak bathroom , itappear hire blind person paint clean . maid service terrible - dirty glass leave dresser , new bathmat provide . say & quot ; conveniently locate I-15and Sahara Avenue & quot ; maybe understatement century . highway ramp 50 foot bedroom window effectively create illusion one sleeping stand Nascar track . complain front desk everyday , however concern greet apathy derision front desk staff . leave message hotel manager , David Poire , first day never return . perhaps unbelievable bizarre part ordeal dealing maintainence man . man come room 3 time address issue noise break toilet outlet . reassure multiple time step would take resolve issue , would report front desk nothing could do . even tell come room perform request task seal window however merely knock door RAN away . occasion , report talk reality never show . perhaps mentally disabled simply pathological liar ... not know . when finally check , exhausted sleep deprivation late alarm clock not work , nothing room beenfixe . toilet still break , outlet still not work , floor still dirty inside room still sound like parking garage . make one final appeal front desk requestingthat owner , Ninette Douglas DaSilva , contact . still never hear either . suprise ... 
 Nov 26 2004 	 Loved Artisan 	 second stay Artisan time one newly remodel suite . masterpiece suite must 1000 square foot Michaelangelo artwork everywhere . also , 2 large plasma tvs pool table leopard side , animal skin chair , bronze statue much hard describe . amazing room ever see ( include tv ) . plan stay , unique hotel world . P.S . italian chef cute . 
 Sep 21 2004 	 Cheap not expect walk Strip ... 	 stay two night recently cheap rate weekend . first impression good . hotel stick Freeway railway track several Gentleman 's club neighbour . lobby smart little OTT . room adequate date shabby round edge . call place Spa not pool spa ? ? ? wait hour time need cab time add taxi fare wait time would cheaper stay strip . not fool map walk strip Hotel unless like dodge 65 mph traffic . would not stay . 
 Aug 9 2004 	 Great Quiet Relaxing 	 hotel great change pace . get go play , hear noise hustle bustle city come back hotel & amp ; room relax . love funky artwork around hotel would definitely stay . price great pleasantly surprised . 
 Jul 20 2004 	 love hotel ! 	 hotel exactly look . be bit funky really fun , eclectic decor . true , room could update bit . may glitz glamour one expect Las Vegas , since business convention want quiet comfort . be exactly find . ' m light sleeper , sleep well hotel memory . quiet . also find service outstanding . everyone helpful , friendly . room service , everything else ask deliver quickly . love , go back pleasure , will stay , away smoke - fill , noisy casino hotel short distance away . 
 Jul 2 2004 	 totally horrify 	 arrive hotel enter lobby think lobby nice , enter elevator everything go hill . enter room ( 401 ) first think room clean . bathroom filthy . bathtub stain , chip , contain rust spot . toilet paper holder look though wipe month , roll paper holder use . toilet flush properly would not stop run . room suppose non - smoking room , distinct odor , leave belonging smell like room ( good ) . king size bed break sag middle , think hammock tie two tree would comfortable . can not even begin describe condition carpet . go town additional night , would cancel rest stay find another hotel . 
 may 27 2004 	 bad room rude desk clerk 	 owner spend much time money room lobby , hotel would hit . , would not stay free . matter much maid clean room , way clean stained carpet peel tile bathroom . feel sorry staff , accomodate willing go way , hear unhappy guest raggedy room . exception desk clerk name Rosy , plain rude , employee artisan good thing hotel . 
 May 9 2004 	 well review suggest luxurious 	 pay little room read review really worried . not . think lobby pleasant , although call several time tell pool spa would open time arrive , . probably will not long time . extend renovation make lobby room nice . right room along line nice motel six . technically hotel block away strip , walk . railroad track sidewalk . keep mind cabfare .... go cheap take cab Circus Circus walk take day bus pass . problem room service cleaning room , tip well . lounge nice . expect price pay . nice & quot ; ding , de , dinge . & quot ; say , nice experience ( probably expect bad ) probably stay strip convenience ( pool spa ) future . be business may pleasant place stay . 
 May 4 2004 	 bad bad bad bad 	 everything horrible . call spa , yet spa . toliet leak entire time , come fix everyday , yet never fix ! ! come unannounced room 7:45am ! ! not waste money ! ! ! 
 Apr 15 2004 	 Awful Filthy 	 far bad hotel ever stay . late check would immediately check . Floor clearly vacuum carpet obviously grind dirt . use bathtub clean sleep fully clothe top bed take one look linen . Old , chew wad gum arm one chair . toilet periodically run , stop , run . hallway , lobby elevator equally filthy . call room service , never receive order . check next day instead stay three night plan even though room book part pre - pay package . 
 Mar 29 2004 	 not bad 	 book trip Expedia flight hotel combine . never hear Artisan figure not far away need . book , read review kinda freak . well , not bad . lobby black always dark , decor . not see much freaky artwork . 5th floor see artwork . think process change thing . floor not slant , , sure not notice . water pressure , wish water pressure home . not notice cigarette burn carpet , , not look . clean bed comfortable . use stay Bellagio , sure not place . use Holiday Inn , Travelodge like , dissatisfied . note , block strip 1 mile convention center . need take taxi strip . one piece advice , book hotel accomodation seperate . call hotel straight find well deal call directly . 
 Mar 15 2004 	 not Freak ! 	 okay , read review visit scared ... nice hotel ever stay fine . room clean housekeeping timely everyday ( stay 3 day ) hotel dark .... lot remodeling go ... bar resturant expensive helpful need . two child we feel safe hotel . walk Palace Station hop shuttle airport strip location . cab fare upper strip ( Riviera , Circus , Circus ) $ 6.00 $ 7.00 . look elegant ... stay elsewhere . look budget , decent room fine place stay . 
 Mar 12 2004 	 Run Hills 	 not know write positive review obvious stay hotel . tend agree review ( positive review must empolyee ) . hotel far worst ever visit . get much sleep first night becaue toilet keep run . towel odor fabric softner detergent . not even mentioin condition room . terrible . leave first night stay else . waist time money stay . 
 Feb 17 2004 	 unbelievably terrible experience 	 bad hotel experience ever . time feel like Twilight Zone . minute walk door realize make mistake . spa . not fool claim . close thing spa will find leaky showerhead 6 inch top head shower . statement & quot ; guest room tastefully decorate oil painting & quot ; true consider frame reproduction bird eat one man poope another , third man vomit undreneath fourth man bird fly anus tasteful . be fall asleep every night . detail ... restaurant unless consider 4 table rope around middle lobby restaurant . ( fact sit breakfast first morning eventually someone walk though ask we want eat . order drink , coffee water , never return ) washcloth whole building ask several time could not get entire weekend . staff rude first 5 minute end . none cab driver ever hear place get thing within walk distance Artisan nasty 700 strip club . take word not stay ! 
 Feb 13 2004 	 run life ! 	 positive review hotel fake . write staff . the place scary dirty , dirty , dirty . afraid crawl bed place filthy . it loud can not sleep . cook not show work restaurant not open ... ... whole day ! ! walk 12 block food . mention dirty ? mention problem staff , respond ... not care ! run life anywhere near ! ! ! ! 
 Jan 20 2004 	 fine alternative . 	 Christmas Holidays , stay . read review , bit apprehensive . find reason ! hotel , luxurious , fine facility . yes , problem ( would like bit water pressure 4th floor , ) clean quite serviceable . main problem , mind , be four block strip , road pattern not allow exactly easy access . 's fine low - cost alternative Las Vegas . 
 Jan 15 2004 	 not believe positive comment ! 
 Jan 8 2004 	 neat littel hotel 
 Dec 30 2003 	 Great Hotel 
 Oct 22 2003 	 bad art reproduction top 
 Oct 6 2003 	 please consider awful place ! 
 Sep 29 2003 	 check Checked ! ! 
 Aug 12 2003 	 relaxation spa 
 Jun 7 2003 	 par 
