great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Jun 9 2008 	 Hotel VIEW 	 Perfect location anything would like New York City . arrie staff friendly provide we subway bus map . get room not big room world , stay room New York ? ? look window amazing view Empire State Building . the bar roof definitely shadow esb.there subway terminal less block front door less block away esb macy' . can not wait come back Hotel Metro , maybe try Asian Karoke bar next door . 
 Jun 8 2008 	 amazing stay Hotel Metro 	 stay 5 night end May / begin June . criticism think one lift one night , room really noisy street noise easily block air con fan . hotel amazing , lovely big room ( superior ) even mini double big NYC . roof terrace amazing view Manhattan breakfast fantastic . long day sightsee fab dinner wonderful grab free coffee lounge head roof terrace see NYC night . hotel staff great , call reception twice safe working ( fault ) ask work fan air con , time engineering guy room within 5 minute help . room meticulously clean shower great , wonderful water pressure , thing miss bath . 
 Jun 4 2008 	 location um pillow ! 	 wonderful location ( many say ) 20 - 25 minute haul LaGuardia . we walk everywhere ... way 5th Ave central Park , Village , tribeca Soho Little Italy . the concierge service tremendous . town see Eagles MSG ticketless Saturday show . instead pay upwards grand good seast scalper , tthe concierge suggest check main ticket booth hour prior show ... land third - row seat floor ... Joe Walsh never look good ! room fine clean . bathroom nice large shower . give useful safe room . the bed extremely comfortable pillow ( yup ! ) good ' ve sleep on . great staff . accomodate . breakfast set - up go beyond would expect & quot ; continental . & quot ; quite sure folk , , complain . good continental spread ' ve ever . bagel , cereal , fresh fruit salad , coffee , toast , juice ... highly recommend Metro . susceptible noise , ask interior room . 6th floor street - side get little raucous time . Dave 
 May 30 2008 	 right street ... 	 select Metro offer really good rate BA website book flight , third NYC trip + really good review , say would go back Metro base visit . the location great close 34th St Subway , block away Macy 's & amp ; esb , walk distance Times Square etc . we really like rooftop bar , breakfast need . ( see could become congested breakfast , problem find seat every morning ) room fine , nothing special , clean well equip ( iPod dock radio / alarm nice touch ) double shower really nice ! room ' internal ' view rather dark , nice quiet . room look onto 35th St look much bright airy . the steak meal Metro Diner excellent ! food across road Brendan 's Bar Grill ! ! overall , great stay Metro would recommend friend / family . 
 may 30 2008 	 great location excellent base explore NYC ! 	 hotel perfectly locate walkable Times Square , MSG , bus - tour departure , 5th Avenue Empire State Building . also direct subway line Yankee Stadium ! despite quiet unlike hotel area . the room clean bathroom great shower . maid service excellent .. roof top bar great place start night , overlooks empire state building chill place , criticism hotel breakfast little thin choice ( bagel , muffin , yoghurt cereal ) be not complain include price . I would definately consider go back . 
 May 29 2008 	 ok stay Hotel Metro 	 stay Hotel Metro 5 night . hotel clean enjoy continental breakfast . large room face front hotel could see esb window . shower - bath o.k . room clean high standard one problem front hotel noise . luckily take ear plugs o.k . hotel easy walking distance Times Square , Flat Iron Building , Macys , Madison Square Gardens , Central Station far Central Park ( 25 minute ) . reception staff always helpful arrive tell book 4.00 p.m. go walk 4.00 . would stay hotel would ask room back hotel next time take ear plug ! 
 May 28 2008 	 strategic position Manhattan 	 good hotel strategic position . easily go Penn station , Times square , Macy 's , Empire State building . small room . 
 May 27 2008 	 perfect location fab breakfast room 	 stay 15/05/08- 22/05 hotel brilliant location ! subway station street along macy 's , manhattan mall , herald square empire state fact hotel middle everything ! breakfast morning brilliant large lounge area large selection bagel , fruit , toast , cereal , juice , tea coffee etcThe room clean shower spacious although room ( 801 ) small particuarly bed small actual room clean tidy . we also go restaurant across hotel call brendan brilliantly cook steak 
 May 26 2008 	 Midtown 	 Hotel lovely clean although go view , perhaps another hotel would well venue . location good Empire State Building easy access subway ( must , experience ! ! ) penn station . Time square far , nice 15minute walk take pass Bryant Park . mp3 docking station locate within room although tea / coffee make facility within room , 24hr facility breakfast room make pleasent social gathering . staff front desk nothing friendly helpful . although suppose review hotel , can not write report without suggest go ' world yacht cruise ' Pier 83 , fantastic excellent view manhatten night well high quality food service smile . 
 May 24 2008 	 great spot middle NYC 	 come back NYC . go weekend friend ( 50 's ) boyfriend ( early 30 's ) . 5th time Big Apple . drove park car parking lot block Hotel Metro . stay 2 night hotel family suite . great staff , friendly . room double room one share bathroom . one room small door privacy , nice queen size bed tv , 2 window , small desk . second room large one 2 double bed , tv , small table nice cozy chair corner , one window . everything clean . bathroom decent size , well equip bath old empty fast .... thing like . wireless internet work great . breakfast include , yummy run 11ham wich great people like get early . roof terrace real nice , amazing view Empire State Building , great place relax long day walk around NYC . even middle Manhattan , room fairly quiet ( hear loud street noise nothing wake sleep ) . 3 we would definitely go back , price worth ( pay total 960 $ 2 night taxes inc . ( Saturday Sunday ) plus 50 $ parking 48hours . ) could sleep comfortably 4 people even 3 couple not mind share one bathroom hotel rule let ... sure . glad stay , great choice people mind little less luxury little room . picture hotel website trust . 
 May 19 2008 	 awful 	 unlike review family nice stay hotel stay one night , thank god ! call day see could early check inform we would ok . daughter graduate college city 6 pm want time get ready . arrive 12 tell room would ready another hour , shopping come back hour tell room still ready proceed go get lunch becaseu tell room would defenitly ready 15 min . return hour new staff front desk tell we room still ready , woman rude arrogant wanted leave , wait another 30 min finally put & quot ; penthouse & quot ; room two bed small . five people stay . call front desk ask cot inform penthouse suit 2 people go charger 25 $ extra person . say thought could get roll away bed , none ! daughter boyfriend end sleep ground . bad enough daughter find dirty boxer bed ! ! ! ! almost die see disgusted mortify one complain hotel easy go person along family stay plan awful would go back recomend hotel anyone ! ! ! ! ! ! 
 May 17 2008 	 Great Hotel Great Location ! 	 return stay Hotel Metro , please ! book room Hotels.com , usually get small room double bed . however upon arrival , friendly staff upgrade room large queen room back hotel , without we even ask ! great recommend restaurant activity stay , overall nice ! room good size , good amenity within , great toiletry . bathroom definitely small side , make interesting shower , really not anywhere put shampoo , conditioner , etc shower ! not big problem though , rest room great . breakfast major plus- save us lot money throughout stay ! yummy bagel , muffin , cinnamon toast , cereal , fruit , & amp ; juice . breakfast go 11 am , work great late morning long night explore ! rooftop deck offer great view Empire State Building , must - see . another plus great location . stayed base everyone 's review great location , definitely pleased ! subway literally step away , work great . Macy 's close , esb around corner ! pizza place corner like reviewer mention great place slice pizza ! Hotel 35th st 5th 6th avenue , make little less loud , say , time square , offer enough traffic easily catch cab day . overall , location definitely major advantage , close enough everything need easy navigate ! really enjoy stay Hotel Metro , first - time visitor New York City , find staff helpful , would highly recommend ! 
 may 17 2008 	 Excellent 	 Excellent place stay . hotel clean comfortable . room spacious clean . front desk staff helpful . excellent location subway street short walk shopping . would stay question . breakfast everything need place eat close . would hotel choice anytime . picky person brainer . rooftop view Empire State Building beautiful . 
 May 16 2008 	 Shhh not tell anyone good will never get back ! ! ! 	 apparently , hotel use bit tacky run . well , evidently undergo fairly recent reno , turn fantastic little find ; real gem hotel . ' beat location , 35th 6th , subway stop right end street , walk distance much , block away Empire State Bldg . , really ever 10 - 15 minute cab subway ride anywhere else . love ! family 4 one family room . book online direct . sister separate room ; book Expedia . " double " room get advertise Hotel ' site ; room bite small reserve company like Expedia use . front desk staff doorman great helpful ; evidently , hotel NYC keep staff loyal like , tell something . room clean staff wear back support protect ; tell hotel care enough ensure job safety . our room , 902 , toward back hotel , good , quiet . sister ' original room , 203 , top stair lobby . first night , get sleep due noise level ; sound really carry lobby , ' light sleeper , pass room . ' also place construction right next door , overnight shift working also contribute noise factor . however , next day , hotel graciously , without fuss , agree move sister . end 712 , slightly large accommodation , much well . note -08 room immediately across elevator door , light sleeper hear traffic night . the family room 3 bed accommodation , one master queen bedroom , 2 double bed open room . really look like picture web . room tv , good sized single bathroom shower , separate 2nd sink outside . room mini bar , read rule carefully . nice selection amenity bathroom . carpet evidently fairly new . towel close " spa " quality ; one wear towel bunch 5 day . lounge lobby get day coffee / tea , brekkie serve . actually quite surprised quality quantity breakfast food . fresh bagel huge muffin , fresh fruit , fruit salad , yogurt , manner toast , include pop tart ( ! ) cereal . tend get bit crowded around 8:30 9:00 , open . tv complimentary newspaper throughout . next location , good part Hotel Metro price . originally make reservation Affinia Manhattan , often recommend TA , charge $ 700 + 2 bedroom suite , include kitchenette , breakfast , right near train station . Metro charge $ 423 , include breakfast , ' 4 minute walk Macy ' . room huge , totally delighted place . would go back heartbeat ! 
 May 15 2008 	 Spot 	 hotel lovely , staff would anything make stay enjoyable . advise top place visit eat . could fault breakfast , fresh fruit , bread , bun , iced bun , cake , cereal , yogurt , diced fruit , jam , marmalade , cheese , tea , coffee , pure orange juice , pure apple juice , milk , porridge could eat much want din room take room . room hair - dryer , iron + iron boardsin well safe + minibar , try use mini bar , go corner shop beer . roof top lovely sit beer look empirestate building . the thing need american travel plug whic buy + @ £ 12 . 
 May 6 2008 	 Awesome location ! 	 start location . good hotel ' ve ever see location ' ve good one . literal stonesthrow Macys short walk place include Empire State Building great view room . the rooftop also give great view December slightly cold hang ! room quite small comfortable well keep , plus shop around hotel will find New York hotel thing & quot ; small room & quot ; space premium . although expensive city Metro reasonable consider NY get great location . the staff unobtrusive helpful ask . nb : stay , head front door , turn right , cross road call pizza place corner slice coke . pizza fantastic ! 
 Apr 21 2008 	 Fantastic 	 everything seem web tripadvisor comment . the view empire state building stunning look see hotel top building ! easy shopping macy walkable Penn station . fact walkable key site - quick metro / bus / taxi away . excellent muffin ! criticism would size bathroom small quality room . 
 Apr 16 2008 	 Perfect Central Location 	 ' ve arrive back great long weekend Manhatten , stay Hotel Metro want share experience other think Hotel option . we select Metro apparent central position , not disappointed . fly Continental Newark , have pick direct flight , return Edinburgh via Birmingham could steer clear mess Heathrow . Continental look we pretty well . flight take 7 half hour , depart arrive time . choice in - flight entertainment impressive make journey bearable . arrive Newark , take New Jersey Transit train Newark New York Penn Station , three block Metro . two adult one child train cost $ 33 way . cheap cab , Penn Station 40 minute boarding train . Metro sit narrow street block away Empire State Building ( left ) Macy 's ( right ) , already good starting point sightseeing . not big hotel find comfortable need . listen , not visit New York City sit around hotel room day ! ! ! get enjoy place ! party three book double double room . expect abit squeeze 4 day . arrive delighted find would allocate we something akin small suite - one main bedroom two double bed , one separate room another double bed , shower room . power shower would understatement ! oh , ' other half ' complain hairdryer lack power actually dry hair . CRISIS ! well - stock fridge plenty choice although price typical hotel price , curious warning & quot ; item remove 20 second would bill ... & quot ; would know ? ? ? Big Brother watch ? ? ? heed warning would read street noise , 3rd floor room prove low enough benefit full flavour neighbour Irish Bars , & quot ; 24hr horn - honking & quot ; staple diet US driver . disturb we first night . every night , tired walk fresh air , sleep like baby . breakfast include price honest , disappointment . get early beat crush . layout continental style servery poor occupie corner dining room . mean busy , get trap mass wait behind . 's ' flow ' . be also lack seat two four morning , stand beside table family eat , fail miserably attempt eat large bagel gracefully ! ! service good . staff polite , helpful attentive without face . example - partner ask ask lone female reception could find & quot ; Hooters & quot ; ( want one T - Shirts ! ) receptionist not even bat eye check internet detail , call check address , give write detail locate ! incidentally , not taste Hooters fry chicken order - busy ogle waitress ! ! main bus tour company operate past Empire State , arrange buy ticket easy well worth cost . could get anywhere route time 9 am til 6 pm tour guide informative amusing . we , location though . Times Square 10 minute walk away Metro . Penn Station also home Madison Square Garden - 10 minute walk . Empire State sit 5th Avenue , renowned shopping . Broadway end street theatre begin 5 minute walk away . would go back ? heartbeat . would stay Metro ? definitely . would take family ? absolutely ... ! next time , be go enjoy evening entertainment will not visit & amp ; world ! ! ! one word warn . prepare leave manner courtesy behind . big city . seem like everyone fixate go , anything destination game barge way , without apolgy even acknowledgment . will not spoil enjoyment fabulous place though . enjoy . 
 Apr 12 2008 	 Great Location ! 	 could hardly fault Hotel Metro ! Location could not well : subway end street along Macy 's , 15 min walk Times Square , half block esb ! staff really nice , room big enough even view esb . breakfast fill never crowd . tiny little negative point : air con noisy bedroom , airline earplug solve problem ! 
 Apr 12 2008 	 add ! ! ! 	 stay Metro first week April , take vacation shopping trip & quot ; well half & quot ; . well , lot add previously positive comment , say agree totally hotel great find NY . pay get , room , hotel staff , exceptional value definitely stay again . the hotel locate great position 5th 6th Avenue easy access Newark Airport . catch train airport NY Penn , take 30 minute cost $ 15 , walk 10 minute hotel station . walk easy way pass shop Madison Square Gardens , ' sunny day also get great initial view esb ! hotel five minute Macy 's one way five minute shop 5th Avenue . take 10 - 15 minute walk Times Square subway access end street . while see two show Broadway purchase ticket $ 60 piece last minute booth 46th Street , behind Marriot Times Square area . I would also recommend restaurant across road Hotel , Brendan ' , first night walk age look place eat end back . atmosphere good food value . great selection fish meat staff really helpful . try ; good place first night , get bearing . the Statton Island ferry good , get great view DT Manhattan . if happen go Macey 's get discount card visitor centre ground floor mezzanine level , save 11 % purchase provide & quot ; slight & quot ; relief credit card ! ! enjoy . 
 Apr 11 2008 	 Great Location 	 first trip New York select Hotel Metro soley Tripadvisor review - ' m glad say exactly describe , i.e . good location , friendly / efficient staff decent - sized , clean , room . lounge free coffee nice touch - slight niggle morning area use breakfast get crowd , hot . say , would certainly book Metro future visit New York . 
 Apr 8 2008 	 Hotel Metro real gem ny 	 choose Hotel Metro thank reviewer website . could not fault . staff extremely helpful . 2nd floor room back mean really quiet could walk upstairs . free internet access . excellent huge muffin bagel / cereal / yoghurt complimentary breakfast day tea coffee / hot water provide free . superb location one block Empire State Building Macys ... short walk Times Square Broadway .... extremely good value money ( book BA that s fly NY wih ) . highly recommend . travel teenage son twin room 2 big comfy bed . Metro Grill attach hotel serve superb steak fry cheesecake get 10 % discount staying hotel . walk Central Park hire bike $ 20 2 hour manage cycle round whole thing . 
 Apr 7 2008 	 great experience overall 	 stay hotel end February week say be great ! reason choose review would read here- want add compliment . firstly , good thing hotel location , location , location . first time NYC , really book blind . be within walk distance sight , place bit far away , be subway station less minute away . Macy 's stone 's throw away , Empire State Building around corner- though see room be feel lazy ! staff lovely , helpful booking tour give advice direction . the breakfast amazing- 5 different type bagel , bread , cheese , fruit , cereal , muffin , juice , tea , coffee- really great set day . 's complimentary coffee tea lobby throughout day- fantastic ! room lovely , really quite big standard room . safe really big , laptop fit plenty room money , jewellery etc . be ipod dock , great listening tune be recover day trek ! shower gorgeous too- really powerful ! 's plenty shelf room bathroom , important be try pamp make - up ! not bother bring hairdryer space , one hotel fine- battery not power use , really annoying hotel . there slight problem restaurant- boyfriend eat hour due close Wednesday , food look like throw together . waiter friendly , look , taste , like food take fridge pop microwave . think business separate hotel- thought 'd mention it . basically , would definitely book hotel- 's real gem . ' ve compare experience people , really seem price pay , get many extra 
 Apr 5 2008 	 great find 	 read previous review hotel decide book . give price less other consider , great expectation . hotel great find wonderful location - one block Macy 's , walk distance Theatre District , close subway shopping uptown Soho . staff friendly , room adequate size , complimentary breakfast welcome addition . would recommend other stay next visit NYC . 
 Apr 4 2008 	 staff really helpful - nice continental breakfast 	 moment arrive staff seem happy see we arrive ( verse think another pain head way ) , treat we guest helpful throughout entire trip direction , theater ticket , transportation , etc . youngest son 's first trip Big Apple think great . thank make first trip memorable ..... will back . the location also nice centrally locate Mid - Town . Dan H - Apple Valley MN 
 Mar 30 2008 	 Great Place stay 	 positive write Hotel Metro previous posting correct . friendly helpful staff , great access subway , great shopping doorstep , tasty pizza end street , comfortable clean room little else would need ! ! room face street therefore experience reasonable level street noise , NYC get use quickly . yes room small , comfortable not spend lot time anyway . breakfast room 24hr coffee great albeit little crowded morning ! thoroughly enjoy stay back next New York . would recomend Hotel anyone 
 Mar 29 2008 	 Good Location Small Rooms 	 remind several independent hotel ' ve stay Europe . small room , small bathroom , small elevator ... like american mega - chain . nothing special room , basic need major refurbishing . tv 's old , two remote different control function . thing room like shower . front desk friendly accomodating . next door small pizza shop , Metro Grill standard american fare ( great desert ) , two irish pub couple korean / asian restaurant side street . go shop area -- prepare large crowd extremely mess / unorganized rack ! ! tell million people pass shop day . hard find something not right rack floor . 
 Mar 28 2008 	 new nice 	 stay Wednesday Sunday . location hotel excellent ( one block Empire State Building one block Macy 's ) . friendly staff , espescially bell boy . free coffe tea 24 hour 's complimentary continental breakfast nice . breakfast room well partially set sofa 's coffe table , remember two room eat breakfast . second one much well . room clean , european standard size . safe room big enough . could put laptop side . use penthouse terrace smoker 's party , much well standing sidewalk . test fitness room did'nt see anybody else either . location close main sight 's bus stop tourist bus . wery close subway . like would probably recomend friend even though want big room . hotel probably need & quot ; brush & quot ; room 's near future , still problem 's two room book . try get room back side avoid noice street . 
 Mar 27 2008 	 Hotel Metro - hide gem 	 everything say hotel ( positive ) true . great Midtown location subway end street train direct Battery Park ( Statue Liberty ) , posh shop ( 5th Avenue ) Central Park West . Macys , Empire State Building , Times Square , within walk distance . good shopping prepare look large department store world doorstep excuse spend dollar . great place eat would highly recommend Oyster Bar Grand Central Terminal real romantic treat try World Yacht fine dining cruise around Manhatten Bay night ( WOW ) .We not keen Metro Bar Grill attach hotel bar place eat . we stay Queens size bedroom stay plenty hotel right 5 star would say base value money faultless . yes , room small comfortable bed , nice sized wardrobe / closet , safe laptop small bag functional bathroom great power shower . NYC place go go spend length time room , simply place sleep . room front overlook 35th Street noisy get use . NYC really city never sleeps make we get early every day . breakfast fill coffee / tea really welcome benefit stay Hotel Metro . overall NYC amazing city ever visit , fast , noisy , bustle enjoyable absolutely revistable . Hotel Metro base camp great , great hotel reason would DEFINITELY stay again . we really hope help previous review help we make right decision . 
 Mar 25 2008 	 Great Deal NYC 	 Nice hotel reasonable New York City price . clean room , friendly staff , good continental breakfast ( muffin , cereal , yogurt , etc . ) . room TINY ... forewarned . double room nothing double bed little extra room - could not even open bathroom door way w/o hit bed ! ( bathroom small , well - tub , shower . ) ... excellent location , great pizza door . surround irish pub & amp ; bar , within walk distance NYC tourist spot . definitely check view rooftop terrace . make stay worthwhile ! ! 
 Mar 22 2008 	 love Hotel 	 get back two day stay Hotel Metro . stay end 2005 , like enough stay March 2008.As review indicate , location great . Empire State , Macy 's , Madison Square Garden Times Square minute walk away . time pay double bed ugrade King Bed nice soak tub cost . bed really comfortable , room include closet safe . Breakfast include , good . Rooftop area nice , hotel nice fitness area also . not let 2 star rating site discourage , hotel great place stay fairly reasonable price . travel lot world , stay lot 4 star hotel , hotel meet need nicely . 
 Mar 20 2008 	 Love Metro 	 stay Metro five night February , extend one night flight cancellation weather . hotel accomodate need charge fair price despite bind . room spotless comfortable . desk staff lovely . breakfast abundant though particularly innovative . hotel half block nearest subway convenient public transportation well within walking distance many tourist attractions.i stay . 
 Mar 19 2008 	 great hotel great location 	 Excellent hotel . ' ve come back stay ( 11 - 17 March 2008 ) reiterate positive reviewer say . brilliant location , 34th St subway 100 yard away take down - town major place Manhattan . hotel incredibly clean decorate nice modern/1930s style . room back hotel quite dark , darkness also get quiet , away hub - bub Midtown Manhattan , much need hectic day city . spacious bed huge comfortable . tea / coffee make facility room 24 hour access hot drink downstairs lounge . staff helpful friendly . toilet flood one point member staff come fix within minute . also provide useful local information . well free breakfast ( quite unusual NYC hotel ) also free computer access , gym amazing roof terrace look onto Empire State Building . would hesitate recommend hotel definitely stay go NYC . recommend friend family ! 
 Mar 18 2008 	 wonderful experience start finish . 	 originally plan stay another ( far expensive ) hotel . the travel agent highly recommend hotel go ahead . I bite apprehensive must admit glad listen ! ! ! start finish daughter treat like resident . through work stay Ritz Carlton Miami January - the front desk Miami could learn lot Anu , Matthew etc etc . we upgrade large room well worth every cent . our every request deal promptly efficiently include morning daughter shut coat safe stuck ! ! location great shopping subway too . I love breakfast selection -this also save we fair bit money may add . all say one negative thing stay here . Roll March 2010 God willing return celebrate daughter 's 30th birthday ! ! ! ! 
 Mar 16 2008 	 Great Little Hotel 	 16th March 2008just return 5 night stay Metro , New York book along flight British Airways much research . virtually every review hotel favourable , would certainly agree everybody else . fantastic location , couple block Empire State , round corner 5th Avenue Metro stop nearby ; could not well . room excellent clean mention rooftop area affords brilliant view Empire State , especially night . breakfast good set we nicely day 's sightseeing ; staff helpful need . recommend Ruby Tuesday restaurant Times Square , good value good menu . altogether excellent stay , look forward go back , would hesitation stay Metro . 
 Mar 11 2008 	 Great Hotel 	 great hotel fab location . room comfortable , clean spacious could not fault . breakfast include price consist bagel , fruit , cereal etc enough keep go lunch . roof terrace fantastic great view Empire State Building small gym also . location great MSG 34th street shopping . would definitely recommend hotel . 
 Mar 7 2008 	 wonderful stay ! 	 much comparison shopping research , choose Metro recent long weekend Big Apple . travel two old child , -- -who brother sister , post - puberty flat refuse share bed -- - need three bed . easy find NYC ! thrill Hotel Metro 's Family Suite ! kid room two double bed room ! staff great- manager even send bag souvenir leave home we ! happy arrange transportation , recommend restaurant , hold luggage flight . breakfast filling , place immaculately clean , location perfect ! could possibly ask ? 
 Mar 3 2008 	 helpful staff . 	 room small adequate , comfortable clean , quieter rear . great position shopping & amp ; sightseeing . pleasant helpful reception staff - include doorman - ' ve find New York . breakfast gourmet feast adequate price range plenty alternative nearby substantial prefer . would stay . 
 Mar 2 2008 	 great location ! 	 mum stay Hotel Metro February year . receive decent rate Expedia impressed review hotel receive website . I book month advance request non - smoking room away elevator . much disatisfaction , give smoking room right next elevator - impressed ! however , hotel 's defence , smoke room well maintain smell smoke bad , enter floor catch smoke room . sure request non - smoking room health reason , give well chance get one . the elevator bit annoying , hear people get night & quot ; ding & quot ; arrive floor . think room one old one , heater not work in - room safe website state . on positive note though , location sensational ! room comfortable always clean . breakfast day great , coffee tap 24/7 also nice treat mum big coffee drinker . like hotel elevator stair not like elevator . bell staff could little helpful . upon leave bell guy watch mum struggle bag , not even open door we . find little rude . 
 Mar 1 2008 	 truly hidden gem ! ! 	 stay Hotel Metro Feb. 24 , 25 26 truly enjoy experience . location excellent , walk almost anywhere . staff extremely friendly helpful . nice continental breakfast available daily enough selection satisfy almost anyone . room nicely appoint though somewhat small comfortable . good value money . would recommend anyone want stay New York without take second mortgage . Larry North Carolina 
 Feb 25 2008 	 great Stay ! 	 wife stay four night mid February . choose hotel base review TripAdvisor say helpful . find staff great room large expect ( stay king superior ) well maintain . continental breakfast well stock provide good healthy fuel start day sightseeing . location great Macy 's 1 1/2 block away , MSG 3 block , Times Square 6 block . subway entrance block hotel . issue find decent restaurant near hotel late night ( show ) . everything seem close 11 pm . learn eat head back end day . overall great stay reasonable price . Hotel Metro definately home future visit . 
 Feb 24 2008 	 little gem ... 	 visit Hotel Metro 4 night last weekend say wonderful . usually stay hotel road - . hotel clean , relax staff face really nice helpful need . stay Superior Queen room one person size plentiful . complimentary breakfast excellent choice - muffin huge ! visit New York every year time Metro place stay , roof terrace open stay amazing take coffee sit admire Empire State Building , rest recuperate ready next spot shopping ! thank Hotel Metro . 
 Feb 23 2008 	 could not happy ! 	 stay 2 bedroom suite find price reasonable , room spacious thoroughly enjoy visit ! main room two double bed , round dining table 4 typical armoire tv , etc ... nothing fancy , update , clean plenty room move around . 2nd bedroom king bed , desk tv stand . great put kid bed able retreat space could watch tv without disturb . Breakfast include downstairs comfortable lounge area make 3 room variety seat dining table overstuff armchair couch . CNN flat screen tv 's cold breakfast generous . yogurt , muffin , donut , toast , bagel , fresh fruit , juice , coffee , tea , hot chocolate , . guest european fun sit guess language speak . also bar upstairs open nice weather gorgeous view Empire State Building . the staff friendly helpful location ideal ! 1/2 block Macy 's maybe 3 block Empire State Building . would probably great location Madison Square Garden Bryant Park visitor . subway entrance close Duane Reade drugstore around corner . great location , great service , excellent accommodation ! would definitely stay ! 
 Feb 22 2008 	 Great Midtown Hotel 	 book hotel BA website offer comparison central hotel price really reasonable . ' superior queen ' room nicely decorate , clean adequate city break . would read much small hotel room find enough we . bathroom also nicely decorate marble basin good shower . ok elevator go refurbishment two work honestly wait couple extra minute big deal - we anyway . we could not fault hotel staff - be face need anything helpful obliging . free breakfast bonus location hotel perfect . Macy 's Broadway one end street 5th Avenue . subway station minute street connect joys rest city . be average hotel decent rate , could . 
 Feb 15 2008 	 would definitely go back 	 get fab deal BA website spend night due fly back UK . stay friend outskirt NY rest stay wanted evening Manhattan dinner etc . friend stay another ' top ' hotel pay least double price use ' bed night ' . room clean staff helpful . confirm BA flight 24 hour able confirm flight , book seat print boarding pass free charge . the free coffee tea lobby welcome treat snow fall city breakfast enough keep we go well lunchtime ! problem get pass cab take we Grand Central get airport shuttle . walk ( lot luggage / shopping ) main road flag one down . my mum get lot ' senior ' discount around city without show ID . get 11 % everything ( include sale price ) Macy be go Visitor Centre first floor show ID . fabulous stay NYC round . 
 Feb 13 2008 	 Great Location 	 want hotel close MSG . perfect location . stay 2 year ago like price good city hotel . clean , nice comp.breakfast . two thing bother me- doorman - door heavy quite abit wind make hard hold elevator slow . 
 Feb 7 2008 	 friendly place stay 	 hotel pretty inside people work nice . go way help whatever need . hear room New York small . small . room stay perfect one person . queen size bed comfortable . whole room clean well appoint . look luxory hotel , . however , look good hotel feel safe central downtown Manhattan , one . would definitely stay . 
 Feb 3 2008 	 Perfect NY hotel 	 comb Trip Advisor comment book Metro July New York . ' m write review confirm every good thing ' ve read true . hotel chic , professional , clean , air - condition , convenient good value money . even though friend New York area , think will stay future . 
 Feb 1 2008 	 Hotel Metro staff 	 stay Hotel Metro last week . although luxury facility , hotel clean air sophistication . staff pleasant . Ana Maria bar particularly cordial . would stay . 
 Jan 23 2008 	 could fault ! 	 book hotel BA website attract price . expect much really suprise pleased . reception staff friendly even though check early room ready leave small gift know birthday . comment size room enough space . queen bed , dress table , set drawer , 2 bed side cabinet wardrobe big enough clothe 2 suitcase ! free safe inside wardrobe - trouble work someone arrive within 10 minute help ! view esb roof top terrace great . hotel great location , really central close Times Square . sub - way less minute hotel great way get . breakfast right street certainly enough keep go lunch , huge muffin , toast , bagel , cereal , fresh fruit tea coffee tap day . reception staff helpful booked attraction we well arrange return trip airport shuttle bus ( slightly cheap get cab good ) . really great value money hotel excellent location . would stay would happily recommend . 
 Jan 23 2008 	 great location great staff . 	 wife stay metro four night early january . we mainly choose hotel recomende several friend stay , could beileve well locate hotel macy ` one end street empire state building end . first trip nyc could hope well choice accomodation . staff friendly could enough we , stayedin queen room although huge clean tidy comfortable bed , day hard shopping welcome relief . wife definitely stay next visit big apple . 
 Jan 22 2008 	 Great Location Friendly Staff 	 hotel retro decor would not first choice upon book due first week December not lot vacacnie price range give chance . please discover arrival hotel central look empire state room . hotel definitely retro style clean , maid service daily clean need . breakfast limit enough start day ( fresh fruit , toast , yoghurt , pastry muffin ) , self service could get enough fill ! one tip would get early prepared take something back room limit seat breakfast area . staff friendly helpful . would definitely recommend hotel other , good budget choice city hotel expensive . 
