nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 Sep 8 2008 	 hate ! 	 look review hotel Chicago somehow follow link review Belvedere NY . read review recognize lobby room picture line . mom stay back 05 one night town see Mamma Mia . absolutely hated hotel . location good , step away Times Square area easy walk theatre ... location prime concern , Belvedere . however ... room ridiculously small dark , bed hard uncomfortable , view window back neighbouring building . honestly hate place , serve purpose one night NY . travel NY 07 stay Afffinia - much well stay , slightly different location ( see review Affinia ) . one caveat maybe Belvedere upgrade room since 05 , beware ... ! 
 Sep 8 2008 	 Great Hotel 	 nutshell , Belvedere lovely hotel stay . clean , staff friendly helpful . also , block away many Broadway show , include Gershwin Theatre currently host Wicked . although central Times Square / Broadway , situate quite street , away hustle 8th av . slight downside lift facility bit sketchy time usually morning time . 
 Sep 8 2008 	 great location 	 spend two night Belvedere mid August . travel two other book room 4.the room quite roomy enough four us luggage - although stay two night may rethink . the room two queen bed sit area near window . bit extra room make comfortable could set suitcase way . entrance hall bathroom near door mean hear noise hallway even though directly opposite lift . Airconditioner noisy - partner end wear noise reduce earphone block noise cut . ( four room could not switch get stuffy quickly ) great tv room , free internet connection close Time Square ( less two block ) - would stay sure ! 
 Sep 5 2008 	 great location 	 return fantastic break New York . party 11 we age 14 80 stop Belvedere Hotel . mention previous review lift slow apart complaint . room spacious clean , staff friendly helpful , location perfect . could ask ? not eat hotel breakfast every morning 1950 's style & quot ; Olympic Diner & quot ; ( turn leave hotel entrance leave onto 8th Ave - 2min walk ) . cost approx $ 7 tea , juice pancake / waffle . we buy 48hr pass hop , hop open top bus tour . $ 49 well worth . stop close hotel 8th Ave . guide much well other . two memorable sight turn Times Square first time view Empire State Building , breathtake . if get chance would suggest try BB king 42nd St. see Harlem Gospel Choir , ( $ 27 ) put X - factor contestant shame ! also visit revolving & quot ; View & quot ; top Marriott Hotel Times Square drink evening . adult 9pm . those want bargin take trip Woodbury Common . 's $ 40 hour long bus trip Port Authority Bus Terminal . fantastic break , look forward return . 
 Sep 2 2008 	 Belvedere - disappointing 	 stay Belvedere daughter , neice & amp ; great neice 3 night /4 day stay . ( age 18 53 ) plus side hotel good location , 5 minute walk Times Square . the hotel staff courteous & amp ; helpful . the reception nice . when look hotel 's website say refurbish 2007 , fact refurb start 2007 unfinished . put small room 4th floor , shabby , dirty curtain - disappointing . there plug point pull chest drawer unplug tv plug hair dryer . however hair dryer bathroom wall . there filter coffee maker ( coffee supply ) cardboard cup , spoon , none room kettle , want tea heat water microwave . we complain get move room 12th floor refurbish spacious . ( much well ) lift quite small slow . the air con old noisy - take ear plug ! honest would not stay Belvedere again . breakfast hotel expensive $ 17.95 take 2 minute walk Pigalle ( turn leave hotel , cross traffic light corner ) lovely freshly cook breakfast / lunch / dinner traditional old french style surrounding . lastly highly recommend & quot ; Big Apple Greeter & quot ; free service , arrange & quot ; native New Yorker & quot ; take tour city , call Al Riggi , fantastic ! know NY liike back hand , history , culture etc walk 7 hour see much could cover - highlight trip ! 
 Aug 27 2008 	 beware money deduct 	 return New York two daughter , one aged 11 , one aged 15 . bit anxious never New York especially two daughter , although cause concern , people always friendly helpful . hotel pleasant , breakfast available hotel reasonable price , could also evening meal , even phone take - away delivery , although order pizza never turn . down - side experienced hotel , tell deduct money credit card . stay hotel , first time actually money deduct card , usually take number security , state , time say go subtract credit card , imagine inconvenient , find contact bank . credit back ' ve check , helpful actually need money be big Apple ! hotel good location , near enough action , far enough away expensive part nyc . MY TIP : take blister plaster walking not believe be comfortable shoe still will not cause get ! 
 Aug 26 2008 	 charge incoming fax ! ! 	 arrive Belvedere check - in staff bellman seem friendly enough . room clean spacious thought good value money . room third floor call elevator would come ground floor go way 17th floor get we way back . time use stair . never supply sufficient towel face cloth . we go hotel café breakfast next morning . $ 18.99 american breakfast $ 13.99 Continental breakfast . overprice much choose . also hair hash brown . one point really make angry fact receive two fax . one Big Apple Greeter arrive day check . Niagara Falls Experience pick - up time . already knew pick . however , fax fax hotel 11th August Urgent write . experience 12th August . receive fax 16th August . good job knew pick ! ! ! 's , actually get charge fax . one . complain one receptionist rude say would pay . say going pay someone send fax , not ask , pay mention receive 16th August 11th . say give fax 11th August . the receptionist tell not pay credit card file . ask take invoice tell go . ask manager manager take charge fax update invoice . say charge people incoming fax . all guess stay hotel ok however , bellman seem overwork hardly ever open door we . 
 Aug 20 2008 	 Hooray 	 Booking hotel New York easy business . seem price hype . begin pull hair recomende hotel friend cabin crew national airline . tell would stay pay stay ( say shopping expedition ) . advise check website book room work 600 euro 3 night . end executive room comfortable bed partner ever sleep ( 6 ft sealy ) . location excellent ( room face onto original Fame school ) Times Square 2 block 9th ave nice inexpensive restaurant right beside we . staff lovely room quite . hopefully will back New York distant future , would overjoy stay . 
 Aug 20 2008 	 clean outdated room 	 book hotel hotels.com well price location amneitie . upon arrival belvedere doorman david greet we verywell . check desk nice find we room 10.00am check time 4.00 pm . get 7 floor get room nice entrence way nice tile . the bed low soft room little date clean . bathroom nice clean . amenite nice workout room breakfeast etc.etc .... problum 2 elavater 17 storie buildingand small . place little pricy convienynt . consiare helpful ( ) . look good location clean room . stay 
 Aug 19 2008 	 go executive room 	 recently enjoy three night stay Belvedere wife agree good mid price option great location . we arrive 2 pm tell room would available 4 pm , bit annoyance plan shower change go food , end world . return room ready first impression do well price pay . hear ongoing refurbishment take place room high floor nicer spend extra $ executive room please choice . mention other fridge kitchenette area convenient allow guest bring snack drink much reasonable price average hotel minibar . bathroom nice decor furnishing general could usually expect three star hotel . in contrast previous posting problem street noise air con although two elevator inadequate number guest , take extra minute two time day . the hotel , facility , staff great , thing really make hotel top pick location . be far enough away Times Square less overrun chain store tourist , still close enough bright light neon jungle get feeling be thick action . load attraction within easy walk distance several different underground line stop around area hotel . get area Manhattan surround area short period time form hotel , breakfast happy stay local really enjoy couple lovely breakfast Pigalle Olympic Diner . also enjoy drink several bar restaurant row well dinner Joshua Tree really like atmosphere areaall thing consider £ 110 / night normally lot pay 3 star hotel , however hotel 's location worth much would hesitation stay 
 Aug 18 2008 	 Belvedere AWESOME AWESOME AWESOME ! ! 	 book room training attend ( American Management Association ) cautious price ( $ 177 - unbeatable NYC ) . read comment trip advisor site , little worried hotel . however , horrible start trip ( flight get cancel arrive NYC day late ) , astound friendliness front desk staff . room originally book & quot ; Double Double & quot ; non - refurbished section hotel . check , hotel staff immediately upgrade we & quot ; Executive King & quot ; small upgrade fee ( end even charge we anyways ) . room AMAZING ! ! ! marble entryway , minibar w/ fridge microwave , wall - to - wall marble bath . view NYC room BREATHTAKING ! believe lucky got , especially flight trouble . wonderful staff accomodation Belvedere definitely improve trip make one memorable ever ! 
 Aug 18 2008 	 great experience -- would definitely stay ! 	 much research , wife decide stay Belvedere . decide stay mainly price , location , free continental breakfast ! addition , review excellent . the negative thing say , everyone else seem agree , elevator extremely slow ! middle day , fine . morning evening , everyone come / go , slow ! also , people comment negatively A / c window unit , work like charm ! room beautiful ! would DEFINITELY recommend stay definitely attempt stay Belvedere next stay ! 
 Aug 17 2008 	 two thumb Belvedere ! 	 exceptional location Belvedere Hotel make special . anything want access Manhattan easy mid - town location . room clean , air condition , good bed , super rate , like safe . front desk staff friendly attentive need . three concierge helpful insightful ask thing . can not wait stay Belvedere . discount Broadway ticket , head low Manhattan , South Street Seaport booth Front street . hour open . will not disappoint . 
 Aug 17 2008 	 pure qualit good location 	 two day 2 teenager always concerned get 3 star hotel wrong large city mixed quality cleanliness , however dissappointe Belvedere , clean comforatable , staff friendly location great . could not fault anything would hesitate recommend it . the mexican restuarant nearby whilst look authentic average handy hotel , would not ttherefore rush back . having stay new york times past know easy get either location indeed hotel wrong past take chance pay odd 4 star chain hotel ensure ok , Marriott . hotel however good value option tourist people want spend fortune . I hope help . 
 Aug 15 2008 	 location good part 	 location good part stay . elevator take forever small full time . kid end use stair 9 flight beat we every time . hairdryer bathroom short spare closet . tub not drain fix complain . 4 people room deliver 3 towel 2 washclothe every day even tell need 4 say would note record , call every day towel . smoke detector short 3 a.m. disconnect get sleep . fix next day happen day later . breakfast ok free $ 18 would not worth . like say , location good part . 
 Aug 12 2008 	 slow speed internet connection .... 	 Executive double - bed room well - appoint , nice kitchenette , call high - speed / wireless internet high speed ( 5 - 10mbph ! ! ! ) . something expect nice hotel NYC . service alright except take two phone call hour later receive extra set towel . consider location , hotel price bargain ( NYC standard ) book thru hotel 's website . 
 Aug 8 2008 	 's ok place 	 's ok place . great location . room low level look bit tired date . power cut use hair dryer whilst aircon . shower pretty naff , call janitor twice unblock sink bath waste pipe . loo close wall side right handed ( get drift ? ) heartily recommend & quot ; Amy 's Bread & quot ; 672 Ninth Avenue ( 46th & amp ; 47th Streets ) breakfast ? absolute jewel place . turn right hotel , 1st leave walk two block . 's leave , blink miss . great coffee , croissant cake sandwich . even French think great , go drove . big bowl Illy coffee , 2 fresh OJ 's , half baguette butter jam .... $ 13 - 50 . might sound lot , staff great , know make bread etc ! really , really , try . laundry next door Amy 's really good . service wash $ 8 10lb washing . get back noon take 8 am . come back neatly fold plastic bag . 
 Aug 6 2008 	 Loved Belvedere 	 meeting relative Ireland New York late July stay Belvedere Hotel . hotel within walk distance Broadway restaurant row lucky enough restaurant week ! room nice 2 double bed bed comfortable . room window AC unit hard keep regulated time . hallways air condition not hallway much . child we hard get elevator stroller elevator usually full time get floor end take service elevator end hall . hotel staff delightful . not problem hairdryer blow power room do . check time 4 pm get get room wait around lobby store luggage go something city . the room kitchen , fridge , microwave , sink cabinet could bring leftover back put fridge . hotel cafe delicious breakfast buffet $ 20.the gift shop nice snack tshirt . I would definitely stay hotel . 
 Aug 6 2008 	 nice room concierge worthless 	 charming hotel good location New York , block times square . stay price right . room nicely furnish bed comfortable . room pretty big new york hotel room notoriously small . lighting could bit well full length mirror room . the bathroom lack counter space pedestal sink , curve shower rod make shower feel spacious . overall bathroom clean functional linen good quality . the check staff friendly helpful , concierge USELESS . deal different bellman , helpful , other . Tip tip tip tip tip want good service . people want money not afraid ask take . 
 Aug 6 2008 	 Sleepless New York 	 stay Belvedere weekend getaway . review accurate small room size , room clean bed comfortable . plenty closet drawer space . issue AC . reviewer complain window unit , space heater - like unit inside room sound like volcano every time go . staff friendly militant 4 p.m. check - in . nice location , seemingly close everything . good price find , like say , come another price call lack sleep . 
 Aug 6 2008 	 mixed stay Belvedere 	 hotel ideal location sight New York Times Sq Empire States within walking distance . room ok bit cramp four we also furniture rather date worn . breakfast plentiful hade pay kid not mention time booking . bad thing a / c room noisy last night break leave room hot sticky . lift also problem size hotel two three seperate occasion break . would perhaps stay good predict many trip advisor review . 
 Aug 3 2008 	 Great Location 	 hotel 5 min walk Times Square . hotel clean tidy , although room bit small . family room 4 , two adult 16 yr 19 yr old . travel America last stop , amass lot stuff be not enough space room case . one bug bear hotel lift , small stop every floor ! ! staff hotel helpful , help we book show Broadway . would stay come family would request big room . the internet use hotel expensive store street really cheap internet . 
 Jul 28 2008 	 make want stay long ! 	 initial reaction enter standard king bed room place old small . bathroom take small new level . wash hand sit toilet . also problem someone else mention hair dryer blow fuse . second hair dryer place closet one seem okay . front desk staff pleasant , would not let we check 4:00 pm even though ' m sure arrive 3:00 pm room available . concierge always line . the elevator painfully slow rather small . really frustrae wait forever see full elevator open , wait next . one ice machine one soda machine , locate second floor . the location good . well money . Skip Belvedere . 
 Jul 19 2008 	 Attention Ladies 	 want go New York heart set stay Belvedere , not go summer . power go ( twice ) blow dry hair , instruct operator air conditioning blow dry hair . clearly happen time . ' m sure spend day take phone call woman whose power go . also , 2 slow elevator New York City transport hundred guest ( slowly ) room . not even talk bathroom yet ! be small . say small , mean SMALL . pedestal sink . enough say . oh , front desk desk talk behind back think hear range . not even complain anything ! ' m save Tripadvisor . anyways , 's million place stay great city , not bother Belvedere . 
 Jul 15 2008 	 Excellent location 	 great location walk distance Broadway , Times square central park , several breakfast diner nearby , subway 2 block away 7 day pass ( $ 25 ) great get we everywhere even go Coney Island worth visit time try Nathans hot dog . highly recommend Ellens Stardust diner evening corner couple door theatre show Mama Mia , server sing song show musical adore place , hotel clean staff friendly helpful moan elevator , sooo sloooow apart tick box . 
 Jul 14 2008 	 great place stay 	 stay belvedere ago though family find great place stay . NYC 's quite thing see hotel 's great place stay night . time walk friendly doorman hurry assist we carry bag inside , staff counter helpful friendly time stay hotel , make way room find nice room decent bathroom comfortable bed . hotel walking distance Times Square . hotel amount floor laundry room . overall hotel great place stay friendly staff , comfortable stay ! 
 Jul 13 2008 	 great 	 hotel convenient Times Square , pretty much extent like hotel . the lobby nice , room standard somewhat old . the hallway hot , elevator . the a / c window unit room pain , curtain cover up . at night two choice : 1 . run a / c keep curtain open ( could not sleep light shine ) 2 . run a / c blind close , keep air circulate throughout room ( good feeling summer night ) .The bathroom small , place thing . there zero additional pillow blanket available . each night ask additional towel bring room . the doorman would not allow use luggage cart checking , lug everything lobby ( could ' ve use service , day NYC tip ) .finally , upon checkout , tell valet would bring car around 15 minute , mention trek lobby stuff , pleasure wait lobby 1 hour vehicle . I probably will not return hotel anytime soon ! 
 Jul 11 2008 	 wonderful value 	 ' ve stay 3 similarly price hotel within 2 block Times Square Belvedere easily good . 's basic good -- good location 8thand w48th , decent sized comfortable room , friendly helpful staff . drawback 2 slow elevator ( be service elevator one seem mind guest use ) , ice machine locate 2nd floor , long curtain cover window - unit air conditioner block air flow room . ( rig something night , though , well . ) not try breakfast buffet -- walk corner deli ( Green Emporium ) little bit far 8th Olympic Cafe . adjacent fine dining restaurant -- Churrascaria Plataforma -- excellent brazillian steakhouse , bit pricey ( $ 140 two we ) . belvedere great hotel money ... will stay heartbeat . ( sure meet little old lady live couple door run hostel ... 's special . ) 
 Jul 11 2008 	 Great Hotel 	 first time New York City concerned find hotel not expensive provide quality room service . Belevedere provide . wonderful hotel quiet street two block Time Square . location perfect . staff helpful friendly . stay Executive Double double suite . room bit small 2 adult 2 teenager well worth , bathroom large lot marble mirror . recommend ask room street side , upper floor . great view city light . sightseeing tour Grayline worth money . 3 day hop - on / off pass use first 3 day , help we learn city get around site . China Town / Little Italy much fun shop - wait buy stuff . try Carmine 's dinner . we great time love city hotel ! would stay again . Jay & amp ; Katie - Portland , 
 Jul 7 2008 	 Great Place Stay ! 	 hotel great location . walk distance Central Park , Broadway , restaurant . concierge´s service helpful restaurant´s reservation ( get we table Babbo´s Mother´s Day evening , short notice we ! ) . look reviews hotel booking , peaple complain elevator ( slow ) . didn´t think slow didn´t bother we . definetly come back ! 
 Jun 30 2008 	 pleasantly pleased 	 third trip NYC know hotel hit miss , whole point go New York City hotel room much . plus , hotel rate skyrocket -- cost room boutique hotel stay seven year ago rise $ 350 / night $ 1,400 / night . absurd . yes , Belvedere old window air conditioner . clean , much big expect old building , far sound proof chain hotel . fridge / microwave area nice closet , . lobby area nice staff friendly . comp breakfast , though room coffee maker . property conveniently locate , huge bonus feel safe comfortable . pay $ 184 / night via Priceline . 
 Jun 29 2008 	 convenient everything ! 	 Hotel quaint , clean , convenient everything want do / see ! also understand hotel room NYC , room nicely sized . would definitely stay . 
 Jun 27 2008 	 Loved ! 	 stay Belvedere 5 night June 2008 . lot research hotel quite expensive New York . however , Belvedere mid - price range decent review compare other there . we impress moment pull . bellman wonderful remember we throughout stay always greet we . front desk staff nice . however , get room , impressed . hear horror story small dirty room New York pleasantly surprise . book Executive Suite bit alarm realize right across hallway elevator . however , walk room , nothing worry . hallway bedroom hear noise hallway sleeping . floor countertop marble clean . replace toiletry bathroom every day . plenty hot water shower water pressure good . the bed comfortable also fridge , sink microwave work well leftover . internet free room problem access . concierge front desk helpful assist we learn use subway system ( plenty station near hotel ) . addition , recommend declicious chinese delivery place . we eat breakfast hotel one morning overprice selection food . however , service great . addition , plenty great restaurant near hotel - really enjoy japanese restaurant across street . also , Food Emporium nearby great prepared sandwhiche , fruit , pastry , etc . recommend stop get snack room . we nice view city well AC work great . nice remote control could control temperature without get bed . overall , great experience recommend hotel anyone ! 
 Jun 26 2008 	 ok 	 stay 6 night - clean comfortable . first arrive though give terrible room third floor old , poorly decorate really , really noisy . luckily fiancee work hotel request give another room ( book superior room ) . duly provide relocate 11th Floor . room much nice - huge bed compact , nice bathroom . breakfast first morning thereafter - not seem great value . all though could not complain . location fine theatre , etc . lot good - value money restaurant 8th avenue . 
 Jun 23 2008 	 happy female business traveler 	 stay 3 night extremely happy stay . clean room contemporary style great location ( 2 block buzz Broadway ) .My complaint could get wireless internet work entire stay . talk tech support several time day unable resolve thing . Saved Starbucks T - Mobile hot spot , 1 block away . the room right 1 traveler . two would top not plan spend time room , would fine . room microwave good - sized fridge . would recommend place would stay . 
 Jun 22 2008 	 wonderful new york ! 	 stay hotel june 7th 5 night , hotel perfect location far enough time square bother noise 5 min stroll away , hotel clean staff helpful , room 3rd floor much view adequate size three us . decorate tastefully sufficient air conditioning need heatwave . small leak behind sink promptly fix reporting reception , also electric go couple time dry hair airconditione ring reception reporting , soon put back . do not use lift much could walk stair 3rd floor . do not eat hotel plenty restaurant nearby want try . overall clean nice 3star hotel.new york absolutely fantastic , good holiday yet , manage pack lot trip thank new york pass give discount free entry sort attraction empire state building . recommend helicopter tour amazing way see city . grey line bus tour also good give lot info city hop hop like . good restaurant stardust diner waiter waitresses sing , give confidence go audition broadway entertain dining experience . I stress anyone must go new york die amazing city ! 
 Jun 21 2008 	 Great Location 	 smart clean hotel excellent location . 10 minute walk Times Square . staff friendly helpful . room not massive day ' til late . fridge coffee maker room . would go back . 
 Jun 21 2008 	 gem 	 hotel dump . staff friendly helpful , hotel old wear . room tiny hallway hot ! move room in - window air conditioning ( yes , be old ) blind , option wake crack dawn sun sweat death . choose sweat first night ask move room blind , able , otherwise , would demanded money back . coffee shop not open 7 am , actual restaurant premise , even though state , attach Brazilian Steakhouse , walk around block get ? ? take mother NYC first time life want near touristy attraction , Rock Ctr , Times sq.etc . pay $ 600 2 night ( hotel price ) total waste money . picture Expedia completely deceive , never stay non - chain hotel . 
 Jun 20 2008 	 good place stay 	 stay 3 night great . room spacious Manhattan . bathroom small other area price range . kitchenette ( fridge , microwave coffee maker ) bonus . bed comfortable . location central - walk Central Park , Metropolitian Museum Art ( long walk ) , Rockefeller Center . nice deli 9th 48th 49th call Amish Market . lot restaurant 9th . subway confuse first - station 8th 50th two entrance - uptown downtown . want go Battery Park , go subway station Broadway 50th . previous reviewer suggest elevator end hall - quick . would stay . 
 Jun 19 2008 	 okay 	 friend go stay another hotel , decide try Belvedere base review , location , mostly save round $ 250 total three night . lobby nice clean . ask renovated room , tell would $ 50 per night extra , give we refurbish room instead , whatever mean . room clean real concern , able relax need . really can not stand room dirty ceiling floor , neither . bathroom little mold around faucet , toilet close wall practically sit sideways . hard get toilet paper without slide little . would say side like 4 inch wall , strange . not know heavyset person could use . bathtub drain slowly , wind take shower inch water tub . toilet clog one night , call fix , do promptly . electricity room go blow dry hair air conditioning , take 30 minute restore call front desk . happen three time . hotel great location , although nice view would well , worth save money use attend show . overall would stay , picky , money issue would stay elsewhere . 
 Jun 11 2008 	 pleasantly surprised 	 book two night stay Belvedere US open , half expect small room / bathroom price ( ~200 / not ) give review Midtown hotel price range . room quite spacious separate area entrance microwave , fridge , sink . location fantastic , 5 min walk Times Square , middle everything . would definitely recommend hotel semi - budget traveller not want rough much . 
 Jun 9 2008 	 Fantastic Location 	 Stayed week April 2008 . bit dubious reading less favourable review , however soon find complaint unfounded . room basic clean , although bed amazingly comfortable . never eat hotel many place nearby . someone trip advisor recommend deli corner street look like florist outside , use cheap handy supply . the staff helpful , book Sex City tour desk hotel find reasonably price quite obliging . there slight issue wait lift , however do everybody else use service elevator end corridor . staff not mind . as far concerned fab hotel price even location . moan minnie , want splendour Four Seasons , book Four Seasons ! ! ! 
 Jun 9 2008 	 Perfect Stay 	 belvedere perfect weekend visit ! room describe , friendly staff , gym adequate course location amazing . definitely back ! 
 Jun 8 2008 	 please 	 family 4 ( 2 kid , 2 adult ) stay Belvedere 3 night . please 2 thing - conceirge service location . ... impressed ! room small . air conditioner window unit cover curtain . , want window cover curtain night , air conditioner cover . bed hard rock ! charge room internet fee even though never work . phone hour wireless internet help line , still get service still charge .. ask additional toiletry item promise right away : item never come ! husband expect fax . tell we 2 day row receive , entire time . even bother look . stay ... stay Sklyine hotel 1 night much impressed room service ! cheap ! 
 Jun 7 2008 	 good value great location ! 	 great stay Belvedere hotel . friendly staff , great location close Times Square en subway . room clean plenty towel . good bed . stay 7th floor moment stay renovate yet . friend 17th floor renovate room look nice ! fridge room convienent . breakfast hotel , go cafe Hilton end street . nice . go back ny go definitely back hotel . 
 Jun 5 2008 	 HORRIBLE STAFF 	 good friend go NY pre - christmas vacation choose Belvedere hotel friend suggest since near home . hotel bad , room kind dungeon - like small not big deal . good location , thing trump everything good hotel AWFUL STAFF ! ! basically happen put bag storage hotel day go claim , one miss . ask one bell man say & quot ; thought see another guest grab shelf , & quot ; & quot ; think know it . & quot ; right . hotel staff go 7 hour surveillance footage ( would not let we see ) find bell man actually take bag blame another guest . return bag room discretely . SHADE - BALL ! also see get fight cab driver outside hotel waiting cab , begin yell racial slur . disturb . top , hotel nothing accomodate we far give we discount stay , despite ruin entire night plan one employee steal one bag . STUPID , STUPID people . not stay , not care guest LIARS . 
 Jun 3 2008 	 Belvedere live review 	 return 4 night stay Belvedere . location perfect , staff amazing room beautiful . stay upgrade room unlimited internet 19 year old daughter , use every evening . room spacious mini kitchen useful . NY1 deal include great buffet breakfast . rest day snack . hop - on - hop - off bus around corner , buy pass office instead street guy get discount AAA CAA . half price TKTS short walk huge lineup , take hop - on downtown South Street Seaport line short see three show four day half price . would definitely stay . 
 Jun 3 2008 	 really enjoy Belvedere 	 New York couple day find Belvedere gem . reasonably price location could not well . issue check , due mis - communication hotels.com , front desk helpful friendly , quickly sorted . room clean spacious , staff really accommodate term organize later check - out time hold onto bag . would stay ! 
 May 30 2008 	 top venue ! 	 stay hotel early March 2008 [ UK ] , 3 night . great location NYC . good room good , small bathroom . hotel small well equip gym . staff speak friendly , polite , helpful cooperative . the breakfast ............. absolutely superb ! ............ fantastic choice ! overall , good hotel , nothing negative comment , would definitely stay . 
 may 28 2008 	 Overall Great Stay 	 return 5 night stay ( May 22 - 27 ) book online via hotels.com . arrive late Thursday night greate w / great enthusiasm courtesy elevator head room minute . regular double 8th floor echo 's comment , room good size NYC . a / C unit work fabulously ( important we ! ) also serve white noise hallway noise . might heard door near we shut couple time voice halllway twice , overall , soundproof great w / the unit ! sleep almost 10 a.m. late arrival ! staff excellent . every single person greet we , friendly willing help . easily receive late check - out ( 1 p.m. ) last day wonderful able go last morning still come back hotel clean prior catch cab airport . the bed nice warm ( consider keep freeze room ) fridge godsend NYC - bottle cold water hand fabulous . bathroom small , manageable showered shift ! two issue regard electricity . blow 2 fuse two different day , learn perfect combination blow dry hair kitchen area tv a / c unit . anything much . understand hotel old ( everything NY seem power issue ) work , staff come immediately re - set fuse . outlet situation good woman . one extension cord one bed order use hair straightener and/or curl iron front dresser / mirror , unplug nightstand light ( and/or clock depend want move ) outlet . , many building ny issue hold hotel . location super , staff fabulous would not hesitate stay and/or recommend hotel . watch website deal lucky get & quot ; 4th night free & quot ; continue watch special . 
 may 27 2008 	 Happy Repeat Customer 	 first stay Belvedere September 2004 , happy room service , decide take advantage & quot ; stay 3 night , get one free & quot ; deal hotels.com visit New York daughter . book King Executive room , hotel website state King Executive room renovate . arrive early check - in , get call lunch offer us queen room available immediately . decline offer agree wait king available . arrive back hotel 3:30 give room 15th floor face 48th St. impressed renovation ; room look , even smell , brand new . entryway bathroom do beautiful brown marble , kitchenette area also marble countertop . small fridge hide sink area , microwave coffee maker , utensil . bed pillowtop mattress comfortable , small flat - screen tv dresser . large closet iron ironing board , safe , hairdryer . housekeep great job cleaning room every day , plenty Penhaligon product . guess one complaint , would towel not soft , minor ! front desk staff bellman nice , always someone open door greet we . also store luggage hail cab we need one . location great - 's close several subway line near Times Square , street quiet . fire station corner , live near fire station home , not bother siren . 24 - hour grocery store corner 48th 8th buy snack , drink , sandwich , etc . 9th St. lot great restaurant ; recommend Vynl Eatery , within block Belvedere . daughter enjoy stay Belvedere , would not hesitate recommend other . 
 may 22 2008 	 great hotel big room 	 stay 1 night catch flight JFK . room 14th floor great ! staff professional friendly . check & amp ; check breeze . room large expect , especially NYC , king bed comfortable ! ! lovely light , warm duvet pillow . bathroom small , bath / shower take little drain , managable . room quiet , even though locate front elevator . long corridor front door bedroom area ( bathroom kitchenette locate ) block noise hallway . location fantastic , right near broadway times square , block rockerfeller centre . highly recommend Trattoria trecolori dinner , round corner 47th st . excellent hotel , would definately stay . 
 May 19 2008 	 3 night Belvedere 	 return 3 night Belvedere hotel . book website take advantage NYC1 package . breakfast good , though would not want pay price buffett include huge breakfast eater . soon arrive luggage hotel cab . excellent service bellman . check quick easy . room ready we arrive 12:30pm , not want check bag come back later . ' m still bit confused room refurbish not . one person say refurbish room another say not . despite , like room . ny several time large room . nice comfortable king bed white comforter . Room keep clean . bathroom bite small think par course . look picture post traveller go belvedere website . good true likeness . like little fridge microwave . hotel great area , always remember Hershey 's street easy find . eat many near place suggest other Pigaelle 's Bistro , Sombrerro 's mexican , 48th venture 44th 6ish ? John 's pizzeria . excellent food . subway close everything walk distance . you can not beat price definitely worth stay Belvedere Hotel . 
 May 19 2008 	 Oasis Times Square 	 looking classy , low profile , well maintain charming room mid - town area not think could better Belvedere . qualify say stay one Executive King Rooms 15th floor , appear elevator stop , hotel gradually update floor start top . consequently , may room appointment would lovely room . executive King large NYC standard . marble bathroom glorious , great hot water pressure , toiletry pennhaligon great . lot towel , nice robe . kitchenette coffe pot , cup coffee provide every day . plate utensil provide . small refrigerator fine . pillow top king size bed comfortable . flat panel TV HD , fine dvd player . desk two night stand , well large closet , hair dryer iron ironing board make room easy live 5 day stay . noisy neighbor one night stay desk respond immediately great since 3:00 a.m. ! neighboorhood not know NYC classic mid - town west side , across street P.S . 17 perform art high school . tress apartment , step away restaurant row great bistro bar 9th avenue . chinese try West Side Cottage , 9th 47th , italian beat Basilica 9th 46th . amish Market 9th 50th great grocery snak room , hot food well . hotel within walk distance Broadway theatre , easy get 1 , 9 , , C E subway line 50th . stay NYC often , hate hustle Times Square , come NYC see much theatre possible . Belevedere quiet classy compare madness mid - town , perfectly place theatre vacation . definately stay . 
 May 19 2008 	 Excellent Location ! 	 stay four night Belvedere . book hotel 's website avail NYC package include breakfast . breakfast great - cereal , egg , pancake , salad , fresh fruit , yougurt etc . - really keep we go mid afternoon . one small negative tea coffee could hotter . room great . deluxe double double load room three people . one small negative bathroom could big . Hairdryer , iron , iron board supply . kitchenette handy coffee machine . planning return trip would not even bother look different hotel . Reckon can not beat price location ! read mixed review hotel personally could not recommend enough - be New York , be go spend much time , believe ! 
 may 15 2008 	 Near broadway 	 stay Belvedere 5 day , find experience enjoyable . the hotel room clean comfortable . also staff exceptionally helpful courteous . can comment hotel food eat timeThe location excellent , short walk action .I would use hotel visit NY . 
 May 13 2008 	 good location 	 good room great location . close touristyattrraction , restaurant row , theater district . room large well appoint micro wave smallfridge . not restaurant site cafe breakfast onlydid not look invite . Maid service slow seem large amount young group site . bad , would look around go back City . 
