great 	 Location -- wonderful walking , shopping , dining go outservice -- extremely warm , friendly & amp ; helpfulatmosphere -- historic , elegant , uniqueroom -- modern , comfortable , spotlessly clean 
 Nov 3 2008 	 Halloween weekend outstanding Ambassador East Chicago 	 absolutely wonderful ! ! ! every Halloween weekend family freind spend night hotel could meet costume visit one club . holel accomodate . friend family stay hotel enjoy . Celebrity Suite perfect meeting place ! room 1 dining room , large living room , bedroom , kitchenette , 2 nice bathroom ! ! breakfast outstanding ( egg benedict well ) . guest stop also impressed . agree Abassador East hotel place stay next year celebrate annual Halloween spookathon ! ! complaint parking Ambassador Garage run early friend family find parking elsewhere . 
 Oct 28 2008 	 Ambassador East Classic 	 friend choose hotel base excellent promotional offering disappoint . premise classy guest room clean comfortable decent size . Ambassador East slightly north shop Michigan Ave . , easy bus ride away shopping museum etc . would definitely consider stay hotel return visit Chicago . 
 Oct 21 2008 	 Ambassador East ` ` JEWEL '' 	 great hotel . wife stay 10 year ago business . time stay 5 night . business couple day remain time pleasure . also wife 42nd class reunion . ok , hotel might need little remodeling , still elegant . service , check check , concierge bell man , everything magnificent . never find hotel well service , impeccable . location phenominal . couple block heart city . many restaurant within walking distance . ever go Chicago want stay beautiful hotel , stay . also , price hotel every website possible not go stay , decide call hotel directly , believe , price much less expensive booking hotels.com etc . give hotel aaa+++.jeff California 
 Oct 14 2008 	 return 	 second time 1 year definetly return ..... terrific service staff 
 Oct 14 2008 	 Beautiful classy old hotel 	 return stay 3 day Ambassador East Chicago . hotel nice , beautiful old hotel great neighborhood . lady check new , friendly efficient . doorman polite . pump Room elegant quite pleasure breakfast . presentation nice hate take something mess . service prompt intrusive . $ 25 , overprice . internet price pay room $ 119 per night reasonable . overall would say one nice hotel stay price . could well job maintenance . 
 Oct 14 2008 	 Fantastic Location 	 Ambassador East hotel locate posh , beautiful neighborhood Gold Coast . two block lake 15 minute walk Michigan Ave ( Magnificent Mile ) .The hotel surround amazing home gorgeous architecture . quiet tranquil , yet close great restaurant nightlife . room nice clean , staff super friendly , amentitie great . suite ( 3 people ) sofabe king bed comfortable . nearby restaurant great food great price : Marios - italian foodchipotle - MexicanCorner Bakery - great breakfeasti absolutely stay hotel next trip Chicago ! ! 
 Oct 8 2008 	 great value 	 Ambassador East quiet side street north Water Tower great shopping . staff friendly efficient . room clean small . Overall 's great hotel price . 
 Sep 25 2008 	 Loved love love ! 	 choose hotel base reading past review could not happy . everyone party think fabulous find well , friendly staff , doorman front desk ! street 's beautiful , line tree flower locate close everything ! & quot ; flood Sept. ' 08 & quot ; , rain 3 day straight still blast . highly recommend hotel anyone . P.S . yes , bathroom small much time one spend bathroom ? ? 
 Sep 24 2008 	 Ambassador East Review 	 Quaint boutique hotel nicely locate north end Magnificent Mile ( Michigan Ave ) . excellent service , quiet neighborhood , good atmosphere / food Pump Room restaurant lounge , nearby parking ( reasonable price ) , well - appoint room , great restaurant within walk distance Rush Street . stay suite king - bed standard room clean , comfortable , nice old - world atmosphere . would highly recommend . 
 Sep 22 2008 	 Satisfied Customer 	 stay Ambassador East weekend gettaway quite satisfied . book priceline $ 200 / night , could ask ? location great ( close Magnificent Mile , Rush Street , Subway ) lot site within walking distance , good part time 's quiet little pocket city . love wait hand foot like extravagance hotel . look value cleanliness , elegant charm , great location , friendly knowledgeable staff think enjoy Ambassador East ! 
 Sep 8 2008 	 Lovely Hotel Overall 	 stay 3 night , 4 day Chicago Ambassador East . decent hotel , overall . one person desk & quot ; eh & quot ; everyone else super nice super helpful . location really good ... walk charming residential neighborhood way Magnificent Mile . use gym also everyday decent . couple exercise bike , Elliptical & amp ; 2 treadmill , also free weight & amp ; weight lifting machine . area could give TLC Ambassador East clean really nice , plus hotel old building- think landmark sort . bed super comfy well . 
 Sep 2 2008 	 FHM Ambassador East Hotel Wonderful 	 husband stay FHM Ambassador East hotel 5th Anniversary . hotel unique beautiful ! staff absolutely wonderful ! everyone nice wish we Happy Anniversary ! great time ! highly recommend hotel would love stay ! thank ! ! ! 
 Sep 1 2008 	 location location location 	 prepare hotel old . historic list . update do doubt .. forewarn . clean staff phenomenal . having say , beat location . right heart Gold coast . take train o'hare right city . drop 4 block hotel . one block beach public transportation right . incredible area explore . I highly recommend Ambassador East 
 Aug 30 2008 	 great location lack area 	 stay hotel part wedding group first visit Chicago . location great ; area charming , restaurant shop , even farmer 's market Saturday morning , within walking distance . , however , extremely disappointed check - in front desk service . arrive early , completely understand room not available , let know would return planned wedding activity , 5:00 p.m . return 5:30 6:00 p.m . tell room still not available , one room category have choose not ready due & quot ; full house night , full house night , late check out . & quot ; good offer point less room wait . decline less room , 10 minute , front desk clerk say room ready give key . arrive room find housekeeping still . back front desk remain relatively unsympathetic tired traveler , finally offer small monetary discount first , three , night . room nice obvious wear ( tear upholstery ) extremely small bathroom . experience not improve check . bill incorrect nightly rate mention discount first night , clerk ask & quot ; would speak & quot ; make . talk add insult injury ! 
 Aug 30 2008 	 Nice hotel 	 look reasonably price hotel in / near downtown 4th July holiday , find Ambassador East . other note , neighborhood pleasant , 's short walk want go . be couple block red line subway , , surprisingly , hardly use pleasure walk everywhere . not think difficult get to / from hotel use orange & amp ; red subway line Midway airport . , one small suitcase & amp ; limited mobility . typically not opt elegance luxury travel , since not spend whole lot time hotel . first impression Ambassador 's lobby elegant , however , plenty marble & amp ; crystal throughout . nice , thought , would not live , room ? find quite comfortable , could not believe score decent room downtown Chicago well $ 100 / night . chair & amp ; carpet show sign wear , not objectionable ( have pay lot room , would object ) . bed comfortable adorn abundance pillow . staff helpful courteous . let store suitcase day have check could get sightseeing late afternoon flight . free internet available business center . overall , enjoy stay Ambassador East would definitely stay . 
 Aug 26 2008 	 great hotel 	 Booked room online get great rate $ 200 cheap summer hotel room Chicago nice location , 3 block think water . even though rate cheap , service wonderful , front desk polite & amp ; cheerful , doormen valet great helpful , even put fridge room request , free charge ! fitness room clean , large provide fruit clean towel , great view city top floor hotel . location hotel safe , beautiful area . check rate directly online hotel 's website , least expensive . stay sure . 
 Aug 20 2008 	 Awuful Service Ambassador 	 reason ' m give hotel 2 star doorman extremely nice helpful . otherwise , service terrible . book thru Priceline get room $ 200 . call ask 2 double bed . king bed tell we upgrade would $ 20 extra could call close date see open . meanwhile assure we would roll way wait we room.-day arrive call see , double bed room open . lady say & quot ; change policy regard Price Line Customers & quot ; would extra $ 100 . go try sell room $ 300 . ask cot , quote & quot ; change policy & quot ; could guarantee . finally , arrive request cot , take 3 phone call day cot arrive . room , fine , nothing special , ice machine 2 floor . elevator tiny , bathroom small . definitely advertise Priceline etc , obvious dislike customer . 
 Aug 15 2008 	 AMbassador East need work 	 large group company stay Ambassador East begin May . hotel good bone serious need renovation . will list problem please keep mind picky traveller . wallpaper room literally fall wall point . room shape size abnormal generally small . bathroom old clean . room need redoing , way around . look though cent spend update hotel 30 year . staff hotel pretty great . front desk personell super friendly helpful . valet staff could nicer not terrible . hotel locate beautiful neighborhood block & quot ; rush DIvision & quot ; , great little strip bar . Rish Street also ton great restaurant , want like going eat . 
 Aug 4 2008 	 Ambassador East Hotel - Chicago 	 Ambassador East Hotel place stay visit Chicago fun business . style design 1930 's unrivaled . love hotel continue visit everytime come Chicago area ! give TRY , LOVE ! ! ! 
 Aug 1 2008 	 great hotel beat location 	 everyone friendly helpful . room near elevator , figure would noisy , not think hear much . train within walking distance . would definitely stay . 
 Jul 31 2008 	 find hotel great experience 	 find Ambassador East Hotel real gem . great area town , close lake run , walk , biking , well situate one good neighborhood Chicago , Gold Coast . the hotel well maintain staff warm friendly . Chicago business not able take advantage amenity hotel offer . use fitness facility top floor well maintain good equipment use . apple orange also available there . the bed comfortable , bathroom little small fine use , soap shampoo good quality . new carpet throughout room quiet - not hear guest elevator even though right next it . I not need ice think notice ice dispenser 8th 9th floor . 12th floor . I return hotel Chicago . 
 Jul 29 2008 	 ambassador east disappoint 	 disappoint overall . staff friendly , professional , & amp ; efficient . common area lovely aging . Pump Room seem lose 's charm . close event much weekend leave eat drink hotel . hotel not even drink machine . room acceptable . carpet large stain furniture . bathtub mildew & amp ; small & amp ; toilet close wall sit angle . the dust ruffle look someone ill & amp ; leave soil . particular room REALLY small & amp ; could barely walk end bed & amp ; entertainment ctr . without getting bump . altogether overprice get . check room accept ! 
 Jul 25 2008 	 Ambassador Class 	 wife stay Ambassador East 17th 23rd . thanksgiving dinner Pump Room year ago . dinner amazing be another story . hotel wonderful location tony neighborhood , tree line street west Lake Shore Drive . build classic Chicago architecture reception classic Chicago well . staff friendly , helpful go way make stay memorable . think ' little thing well run hotel make stay special . Ambassador East certainly well run . woman take care room always greet we smile hello whenever see we . small thing one be appreciated . another actually small thing : mention upon check celebrate 8th wedding anniversary check clerk make point saying & quot ; Happy Anniversary . & quot ; , return room dinner first night , find anniversary card , bottle champagne ice plate chocolate cover strawberry wait room ! attention detail ? room , comfortable , well appoint well keep bed wonderful ... wish could taken we . thing worth mention Pump Room still pump Room . breakfast several morning food service top notch . mention hotel bar also must visit . wall cover photo rich famous patron past make interesting browsing enjoy cocktail . bottom line ? be weary high tech , overly hip hotel seem norm Chicago today , might want slip back time Ambassador East find first class service mean . 
 Jul 18 2008 	 great experience Ambassador 	 upscale hotel friendly , efficient , helpful staff . common area tastefully decorate definite feel luxury . standard rate would high we , able find fabulous mid - week rate . book original reservation Travelocity , find need additional room . go hotel 's website find reasonable nightly rate well even travelocity rate . , feel get good value money spend . great time we ! 
 Jul 15 2008 	 great hotel Chicago ! 	 book place Expedia without Chicago , know city . turn , could not pick well place ! location fantastic , Michigan Avenue short ( nice ! ) walk away , subway block away , lake around corner . area lovely full place eat drink . hotel nice -- stay 5 night room good size , nice bathroom . hotel feel clean , staff friendly -- not use service , eat restaurant / breakfast judging experience hotel ' m sure fine . negative thing say airconditione bedroom quite loud ( might due fact use one bedroom ) . also , phone charge expensive -- everyone know hotel phone notoriously expensive , charge excessive . , however , fantastic stay would recommend Ambassador East anyone . 
 Jul 8 2008 	 Exquisite Comfortable 	 please almost every way Ambassador East . staff extremely friendly accomodate moment arrive . classic feel hotel feel stale least . room clean whistle extremely comfortable . maid service sharp tile bathroom spotless . qualm price valet parking ( $ 40 / day- suggest park lot directly across street $ 26 instead ) , small tv ( computer monitor big ) , view ( face towards north , scenic ) . hotel rich history appreciate 's character moment enter lobby . never make Pump Room , hear good thing . neighborhood fantastic- quiet safe , lined tree , near shore . price ( $ 150 / night summer extend weekend ) , will hard - press find well value Chicago . 
 Jul 7 2008 	 Dreary hotel 	 promotional rate Travelocity , know would not receive fine room . Chicago one night would barely hotel . thank goodness . room small , notice immediately two huge circular stain carpeting . room could use paint , good cleaning . public area dreary , furnishing & quot ; tired & quot ; . pump Room breakfast good . would recommend hotel price . 
 Jul 7 2008 	 great value 	 book couple month ahead time special rate offer directly hotel ( $ 99 / nt weeknight ) stay Fourth July holiday weekend . location ideal , couple block Clark / Division train stop ( Rush / Division & quot ; scene & quot ; -- whether wish partake ) , hotel locate quiet side street , toward lake , feel WORLD away Rush / Division . walk brunch date Lincoln Park , north hotel . the staff extremely helpful , doorman concierge staff ( help we make dinner reservation week advance ) . leave room day one occasion , forgot take & quot ; privacy & quot ; sign , room make . call explain ask fresh towel , offer someone make room immediately . also , surprised nice cheese tray bottle wine husband 's birthday . downside room feel little & quot ; date & quot ; nowhere put toiletry ( good shelf vanity ) cramp bathroom without afraid thing would fall toilet . thing clean , bed comfortable . think ask room away elevator , end room door DIRECTLY across elevator , noise problem . in - room safe would nice , well . , lot & quot ; wow & quot ; factor compare ohter place stay , GREAT value money town hard find good lodging deal . 
 Jul 4 2008 	 reviewer not tell 	 Funny one mention room not curtain . oh , yeah little sheer curtain still see course anyone see . also , want sleep past 5:00 can not sheer curtain sun shine . bathroom door either not close must slam hard . know true change room . change room ? room next door party . loud paper thin wall hear everything say do . it great location think next time stay someplace little modern curtain decent bathroom . 
 Jun 30 2008 	 stay 	 hotel definately 4 star . it locate within walk distace everything must Chicago . Most , price per night unbeatable type hotel be . it stay choice every time visit Chicago . the entire staff frienlist people ever meet . you need try ! ! ! 
 Jun 18 2008 	 impressive building 	 hotel situate nice part Chicago build great . pump room impressive history . room nice accord expectation . however , personnel hotel expectation , correct use type hotel . 
 Jun 9 2008 	 will recconmend friend family go Chicago . 	 Ambassador East delightful surprise great price . the service great , neighborhood delightful within easy walk distance Lake . Tthe Concierge provide we right bus information ( # 's , place ) get around Chicago quickly efficiently . pump Room like step back time , easy imagine movie star politician populate table . recommend Ambassador East friend family come Chicago . Mary Ellyn Cleavland 
 Jun 7 2008 	 Ambassador Perfect 	 not find tired . 's classic . service fantastic , room lovely , small bathroom ? service property really good value . location great -- two block Michigan Avenue -- two block way lakefront Lincoln Park close . love . restaurant , history , probably well one time , many close wonderful restaurant , care ? caveat : leave kid home . kid friendly , frankly like . room service okay , huge choice , adequate . would not recommend pizza . overall , though , grande dame hotel appeal personally love , history resonate throughout , make atmosphere quaint relax . 
 Jun 4 2008 	 great stay Girls Trip ! ! 	 get great deal place Hotwire.com . Downtown Chicago $ 79 night ( dead Winter - boy smart one , huh ? ) call get room upgrade even though book , reservation lady ( super nice ) keep search we day day day find room need ! addition , front desk Manager extra helpful accomidating need our . the hotel lobby beautiful . block Lake Shore . be Lake Shore 's beautiful stroll away Michigan Ave ( might add , perfect girl trip ! ) .It 's beautiful neighborhood also right pub ( want fun night dancing ) , great breakfast joint , national bank ( Yay ATMS ) , even CVS Walgreens ( also must girl trip ) .I visit Chicago every year first experience Ambassador East Hotel . happy say meet expectation . 
 may 27 2008 	 Perfect location 	 stay 3 night , great location , Mag Mile Hancock Observatory 10 min away , restaurant N Rush Division 5 min away . everything close . room clean , unfortunately get smoke one , not smell much feared would . price $ 70 / ngt thru priceline could not well . 
 May 27 2008 	 Pros Cons 	 Overall enjoy stay Ambassador East . get great deal , much . pound city sidewalk visit . pro : find deal $ 99 / night , be unusual see price exceed $ 300 / night hotel . lobby large elegant comfortable place sit hang . service good . allow we check early check late . consierge nice helpful . location nice residential area , safe fun walk admire stonefont townhouse . hotel 's location ideal we , be Lincoln Park City , venture direction . pump Room , restaurant hotel , famous fabulous . breakfast great affordable . ask front desk 20 % coupon . con : 's old hotel , suppose renovate soon . we stay third floor , room small , not mind much . not great view , not stay room much . see small cockroach room . the elevator really slow , use stair room ... good thing third floor . tv small sound get loud commercial . 
 may 22 2008 	 American Girl Weekend 	 check find Travelocity & quot ; superior & quot ; room one queen bed face interior building . ask could upgrade price attendant give we different style room . upgrade room include 11th floor view complementary . know can not always happen listen appeal behalf wife daughter not get travel often really improve quality stay . thank keep put customer first ! 
 May 13 2008 	 Loved Ambassador East Chicago 	 stay Ambassador East group friend may8 - 11 , 2008 . want get away celebrate Mother 's Day own . we three room room wonderful . hotel european décor ; nestle quaint neighborhood call " Gold Coast " . able walk shopping , dining nightspot . location give sense security . feel safe walk day night . the staff hotel friendly extremely knowledgeable area give we many suggestion place go place see . many fact return September . the world famous Pump Room must . Chef Nick Sutton talente . mother ' Day Brunch culinary experience , many choice . lamb Eggs Benedict personal favorite . if dine . 
 may 10 2008 	 GREAT stay complaint ! 	 Hubby , 2 adult daughter stay Ambassador East 2 night ( May 5 & amp ; 6 ) . Hubby Executive King Suite girl double / double room . ex . King Suite picture hotel 's web site . large & quot ; L & quot ; shape room . sit room sofa club chair , coffee table , 2 end table flank sofa desk chair . two window area AC unit . especially appreciate lamp 3 - way bulbs ample wattage reading ! bed area one window AC unit . king bed excellent mattress ; good quality sheet comforter . bed flank nightstand lamp . dresser coffee maker . Coffee drip directly disposable cup . like much well small pot . never convince really clean ! absolutely will not use coffee pot bathroom ! bathroom coffee ... YUCK ! mini bar tv top . could view bedroom sit area . bathroom small . pedestal sink 2 glass shelf . vanity . good water pressure . double / double room 2 double bed , separated desk . room fine 2 people . 4 people share space , well really like neat . problem noise hall adjacent room . staff friendly . absolutely complaint hotel . far north many hotel , present problem we . 151 bus 2 block east Lake Shore easy access Michigan Ave . 
 May 8 2008 	 Amazing value Great Location ! 	 Travelzoo advertise amazing rate time period have Chicago , make reservation . little apprehensive mixed review tripadvisor , rate unbeatable . walk lobby , intoxicate aroma beautiful lillie . 2nd impression Francesca , check we . woman could world 's bad grouch eat hand . be totally genuine , great sense humor , remarkably professional . actually staff way , Francesca especially impress we . room ( 1450 ) . fairly small , enough space night . : complaint site thin wall : actually not bad , ' m light sleeper . not hear anyone adjoining room morning , hear everyone 's door slam inadvertently - seem spring - load . workout room top floor cool view enough equipment keep feel guilty . nice touch stock fresh fruit . 's also free internet business center . Husband really love get 3 paper every morning , usual USA Today . love comfortable bed turn - down service . another advantage location - be 5 - min walk Rush St. restaurant / entertainment , 10 - min walk lake , 5 minute Red Line . beautiful neighborhood ! not need in / out priviledge , use $ 29 parking across street . will definitely stay ! 
 May 6 2008 	 Great Ol ' Grandeur heart Chicago 	 stay hotel , review many on - line choice , ask college friend , live Rockford , advice hotel stay . pick one , base location near lovely old neighborhood near Lake . upon arrival , doorman , bellman , front desk staff welcome ! explain package , include free internet , free breakfast famous Pump Room ( great food ! ) ) , lovely large room view city ! could not perfect ! 
 May 5 2008 	 love everything Ambassador East Hotel 	 Ambassador East wonderful hotel . conveniently locate pleasant setting , room beautiful comfortable , staff courteous helpful , Pump Room great place meal drink 
 Apr 27 2008 	 Great Historic Property 	 company book group Conference Sales Meeting . service friendly , helpful property beautiful . hotel clean fill history . thoroughly enjoy stay rate reasonable well . 
 Apr 17 2008 	 Easter Ambassador East 	 spend Easter great Suite Ambassador East ; Frank Sinatra Suite . arrive bouquet Tulips room . Saturday night dinner Easter Bunny deliver chocolate box full Chocolate bunny . when make reservation speak Sarah mention 30th anniversary . upgrade we suite send we amenity . totally blow away unexpected . stay special one never forget . hotel locate historic neighborhood , ' Gold Coast " three block Rush Street great dining , although ' leave hotel great dining experience . able walk everywhere ; close Michigan Avenue think . feel safe walking around area Chicago . we Easter Brunch world famous Pump Room , food top . chef creative brunch culinary experience . this first time stay Ambassador East last . love history hotel rich history ; service impeccable . staff warm cordial . 
 Mar 27 2008 	 nice old Hotel / great resturaunt PUMP ROOM 	 stay wedding , Lobby beautiful , old hotel bed comfortable , clean , service great . heat a / c bit noisy , wall bite thin . , reasonably price Chicago . recommend family kid . close resturaunt local bar . pump Room lobby good breakfat buffet ' ve ever , well worth money . lot celeb pic neat ! ! exactly downtown , taxis expensive , need one get , go Navy Pier , Sheds Aquarium museum . sure drive Soldier field . site . great experience . 
 Mar 16 2008 	 Love Old Charm 	 love old building great customer service , stay . wall door thin stated review . room clean . room big window , let great light . bathroom small today standard , hotel build America develop love affair bathroom another room instead room specific funtion . bed great back love ! ! front desk crew helpfull nice . learn lock door battery operate . problem fix quickly . hotel safe area , important . close shipping , good restarurant , public transportation . enjoy slow pace life , GREAT customer service , old building , hotel perfect . visit Chicago , stay . 
 Feb 8 2008 	 major value ! 	 Ambassador East 1920s grand dame locate Chicago 's good neighborhood , Gold Coast , five minute walk superb restaurant , shopping night life . pay $ 100 Hotwire . location , price staff 's welcoming attitude make fact hotel overdue cosmetic redo . bottom line : get right price , scored- big time . $ 300 night , go elsewhere renovation complete . our room neither large small , average sized hotel room , white tile 5 x 8 bathroom ( tub , pedestal sink toilet- stop , 's ) typical prewar building . decor neutral mauve English flower drape . 's place time worn bit date . however , room clean whistle ; bed new well appoint ; everything work nothing gross decrepit . hotel 's smallish lobby warm gracious . if pay lot money , would pull defect itemizer make long list . come Chicago use hotel resort stay , would disappoint . however , love bargain ( especially 's great neighborhood ) come Chicago city Ambassador East perfect . for mid - December weekend AE cheap ticky / tacky cookie cutter budget chain hotel less desirable locale . we , character , soul , location , functionality price combine equal wonderful stay . 
 Jan 23 2008 	 would not stay 	 good thing hotel curteous staff : amazingly friendly . poor tiny room way past 's prime . 2 piece break glass floor , hair coffee maker , terrible drippy shower head , dirty smudge wine glass , break tv , loud furniture move noise morning room next door . ' m sorry report bad experience 4 - star hotel , will not stay ever . 
 Jan 14 2008 	 ok price 	 stay two night , Friday Saturday , weekend getaway.1 . get room $ 70 / night Priceline2 . park across street $ 29 / night instead $ 41 / night Ambassador charges3 . could hear every noise hallway room next door . not stay 7th 8th floor unless want listen ice machines.4 . staff nice helpful5 . maid clean room twice day6 . hotel old need update . room clean , show age.7 . good location . lot bar restaurant near . 15 minute walk Crate & amp ; Barrel , 45 minute walk theatre district . 's locate residential area . safety concern walk night . & quot ; L & quot ; station nearby.8 . room small . 
 Jan 10 2008 	 Disappointed Ambassador East 	 book hotel thru Hotwire think get 4 star hotel . would rate like 2.5 star . the hotel see well day . key not work first room assign . go back front desk reassign different room . upon arrive room , disappointed hole wall condition bathroom . wear , bathtub chip look invite . toilet barely function also . bed ok sleep well . comfortable bed hotels downtown book Hotwire . I order breakfast room service mediocre . $ 20 include tip tax , would like juice and/or coffee include . order eggs toast potato . location also beat path . would rather hotel near Michigan ave . past . I would definitely look elsewhere stay Chicago . 
 Jan 8 2008 	 bit fade good value 	 bit hesitant staying ; previously think one & quot ; great hotel & quot ; . fact , look like could use bit rehab ; public area bit fade , room carpet small cigarette burn . room heat thermostat , loud would start shut sharp , wheezy burst . business center consist three pc , two always fritz . wifi room , available purchase reasonable rate , could purchase entirety stay . but overall satisfied stay . staff extremely helpful ; room quiet bright ; bed comfortable . there exercise room top floor simple , up - to - date nice view city . although business center primitive serious businessman ( see ) , free , include use printer -- refresh change exhorbitant printing rate hotel business center . since like northside neighborhood , happy take El , location nice I . the immediate neighborhood hotel nondescript . but block south get nice , 3 block el stop go loop . good weather could walk water tower lakefront , winter need take cab El get anywhere . hard time find good & quot ; mid - range & quot ; hotel inChicago . hotel not nearly good & quot ; full business hotel & quot ; ( e.g . Marriott ) north river ; much cheap thant hotel ( book ) much well hotel know level . 
 Jan 6 2008 	 past Prime ! ! ! 	 hotel cute also remind bit haunted mansion . cozy grandmother 's china cabinet feel romantic well . location great block away Rush St. home many trendy fantastic restaurant . N. Michigan Ave , home Magnificent Mile , 6 block away scenic walk . upon arrival , hair leftover previous guest pillow restroom ! really distasteful ! wallpaper also wear due old age hotel . enjoy stay would recommend 2 night . 
 Jan 3 2008 	 Ambassador ` ` Least '' ....... 	 like website picture star attiibute . although hotel situate quieter street Gold Coast area Chicago , need extreme makeover . although lobby check - in experience ok , room standard room rate post / pay . particular room small size lack update clean decor would expect type hotel . although high standard , willing comprimse certain thing . comforter / duvet cover require - not require certain thread count fill level - would like one bed upon arrival say room . open door almost step King bed , clearly apparent lack bedding - two sheet pillow ( two small pillow look like pillow would typically find closet spare pair ) . immediately call front desk , accomodate we ( later evening - depart room evening ) comforter additional pillow . oversight accomodate we complimentary breakfast - comment later . bathroom dirty hotel -- - paint chip wall toilet seem archaic look . surprised actually work . wall room need major rennovation , common area hallway . whole place look worn old ( understand - -or historic website may indicate ) . service , overall , ok front desk . hit - or - miss inquire various thing . pump Room , albeit stately , good food ( complimentary may alter opinion somewhat ) , service uneven barely . certain due server note complimentary house certificate / instead typical full - pay reservation make guest . overall , would look stay somewhere else Chicago area . 
 Dec 29 2007 	 grand old lady 's see day ( great value $ ) 	 book hotel via Hotwire , certainly not first choice place . purpose visit overnight stay Chicago change flight O'Hare Amtrak train next day . various friend Chicago hang fun overnight stay there . I not hotel , though neighborhood certainly well known ( Gold Coast ) . upon check - in , impress pretty Christmas decoration grand old lobby . though , peek one side lounge , notice large old - fashioned room , furniture seem cheap , small , out - of - place spaciousness lounge ( also , bar lounge , like might expect ) .my room nicely appoint comfy bed . bathroom small . however , huge walk - in close size NYC apartment . overnight stay , not make use closet , though . the carpet hallway outside room fade old - ish . overall - great place $ spend ( right around $ 100 include tax via Hotwire ) -- be definitely walk distance Rush / Division bar , importantly , shop along Michigan Avenue ... walk even blustery wintry day 2 degree ( Fahrenheit ) wind - chill . also , be close Red Line subway station Clark / Division . 
 Dec 28 2007 	 disappointing 	 book one - night stay avoid interrupt future husband 's bachelor party . $ 300 night , disappointing . paper thin wall like everyone report . bathroom small poor shower operation . Valet parking $ 40 + slow . 
 Dec 26 2007 	 great experience 	 wife stay Ambassador East Hotel first 3 day honeymoon mid - October . decide split honeymoon stay two different hotel could experience different aspect area Chicago week . will start say great experience . check - in , indicate honeymoon upgrade suite . the Ambassador East probably 10 15 minute walk North end Magnificent Mile . also 2 3 minute walk lot great restaurant bar Rush . our room incredibly spacious well appoint . suite ( 3rd floor ) two large closet , large & quot ; living room & quot ; large bedroom . bed incredibly comfortable bathroom nice enough . would pay full price suite , probably would give rating 4 , staff kind wife great time , decide give five . it also worth mention concierge helpful . my wife decide eat Pump Room restaurant , impressed . find food service mediocre . atmosphere probably pretty neat sinatra use eat back day , anymore . although unimpressed Pump Room , staff kind enough seat we & quot ; Sinatra Booth & quot ; back corner enclose curtain . neat experience really redeem value meal here . the Ambassador East old hotel , charm old neighborhood . staff 's kindness overall charm hotel really impress wife I . when Chicago , definitely consider stay Ambassador East . 
 Dec 18 2007 	 paper - thin wall ! 	 unless want hear conversation intimate relation detail ( mean intimate ! ) , not stay . wall thin . husband , daughter , wake 7 : sound intimate happening adjoe room . follow night , midnight , could hear entire conversation couple next door . location great would stay . carpet wear upholstered chair stain dirty . 
 Dec 12 2007 	 recommend unless not shower 	 recommend , unless not shower shower require 20 - 30 minute running order warm lukewarm temperature . complain management response ' it old building 13th floor , take water get ' . understand challenge old building , poor infrastructure hotel unacceptable . overall hotel little bad wear . service also poor . room book discount conference rate master bill credit card charge normal rate - double bill we . 
 Dec 9 2007 	 terrible really wear 	 tradition spend night Chicago anniversary . time Ambassador East Hotel . not outstanding , guess 4 star want little & quot ; ok & quot ; . corner room 5th floor , pretty good size . furnishing would tasteful day , everything tired worn . carpet stains raveling door jam . view street , nice . bathroom sink deep water stain , towel extremely rough . hotel 80 year old could much charming , need freshen . would say be probably 2.5 3 star . 's little beat path ( Gold Coast area ) lean residential within walk distance everything . 
 Oct 26 2007 	 good time Ambassador East 	 book 3 room 3 night extend family holiday Ambassador East October 2007 . find service provide every member Hotel staff fantastic , location handy need room superb . hotel room decor self - describe ' timeless grandeur distinction ' . find pleasant tasteful . parking exxie ( around $ 25 / night ) part life Chicago imagine . hotel staff help we arrange 3 aspect visit ( Second City , Chicago Tour Bus excellent dinner venue ) grateful . 
 Oct 25 2007 	 Disappointed Ambassador 	 wife recently celebrate 10 year anniversary decide go Chicago long weekend . stay Ambassador East extremely disappointed room . want 4 + star hotel ( pay 4 + star price ) expect little . ' m sure Ambassador beautiful hotel 50 year ago , unfortunately do nothing keep date . room extremely small , outdated , air conditioner continually make annoying rattle noise . staff friendly defintely opinion worth money . DaveQuad Cities , IL . 
 Oct 5 2007 	 Convention 	 stay AE last December wedding anniversary service top . clean , comfortable room staff excellent . come back reserve six room company attend convention . everyone love room location . back year 's anniversary . 
 Sep 25 2007 	 Great Location . 	 return Ambassador East Hotel . overall good time . staff service wonderful - able accommodate we early ( early ) check - in - wonderful . location great . walk everywhere . 1 - 2 block North Division street close Lake Michigan Rush street . park ( expensive - choose public lot across street $ 29 ) walk everywhere else . we room 9th floor - end hallway - quiet . view much speak - look another building court yard . room king bed - comfortable - nice linen plenty pillow . sit chair table ( worn ) small desk . tv armoire . small closet robe . bathroom OK . basic tub w / shower . sink pedistal toilet industrial looking . shelfs room toiletry - find annoying . room / carpet ceiling look bit old tired . build old brick building fit nicely surround structer . bar restaurant hotel - Pump room - menu look great peaked atmosphere look nice . trouble dress code - jean allow plan casual weekend getaway . check breeze . mini bar room - price really o.k . room service menu look good ( order Pump Room menu room - room - really place & quot ; eat & quot ; want table bed ) .For price location - would definately recommend would stay . 
