change 	 stay downtown 2 - 3 time per year last 6 year , 6 year ago never think El Cortez would even consideration stay . dump , dirty delapidate , somewhat scary part downtown , 2 block east Fremont Street Experience . clientele seem fit place perfectly . smoke pour casino door open ( smoke notice haze inside ) foul odor hang air . over year , would drop moment curiousity . notice , unlike downtown property fall decay , El Cortez spiffe up . early year , convince well half come . vow 6 yr early never . end spend 3 hour , shocked turnaround ( still skeptical ) .We get offer stay new Cabana Suites ( agree would go elsewhere not decent , well research remodel , etc . web showing ) book , opt Tower room Suites non - smoking . ' m glad , Cabana Suites also across street , attach main building . the change superficial . service excellent around . book give we room number . arrive hour check - in time room ready ( room number give we month early ) . see smudge print elevator panel , anywhere ( although pet peeve mine , nearly every property nice big furnish hall exit elevator knicke good maid vacuum not touch . ) . room large , clean ( fear barefoot property ) well appoint . flat screen tv , big enough . except tv , look like picture website ( believe , many property room ) . bathroom kinda small , not problem . electronic safe mount near floor closet area . will not find amenity already place room , be available , call . need hairdryer offer bring frig well . not see happen often . old noisy heat / cool unit floor window . output air intake vent ceiling control wall near door . old ' popcorn ' ceiling . gambling fun , great mix new old machine ( still coin payout , old Vegas ) limit low table ( $ 3 BJ 3/2 25 cent roulette $ 1 minimum ) nice hit cold streak . casino clean times 3 + day stay . common see maintenance people pick around place , floor people , server , security well . machine wipe trash empty cup / bottle lay round . air clear odor . Carpet floor clean . fellow patron friendly , loyal following . we eat day Cafe Cortez . great food lot cheap ( frig come handy leftover ) . yes , Jackie around , eat next table Sunday morning . not try Flame hot dog cart , hear good . not want stop gambling eat , service deliver food . forgot try , see many people use it . there still character , 's typical downtown . security abundant , inside . see disturbance . short walk experience plenty safe , day night . walk one night Binion 's eat coffee shop ( sure glad , unfortunately go couple week ) problem . fact , enjoy El Cortez much , time leave property . bottom line , El Cortez rank # 2 far downtown property go ( Golden Nugget # 1 , much expensive ) . look hip crowd expensive dud , go GN . like we , average work class people , EC place go . 
 's ok returning 	 get room tower . room clean ( enough ) roomy sitting room . however , not like bathroom - kinda old tub slope . sink outside bathroom also slanty little counter space 's low . bad thing ventilation hotel - can not stay away smoke , even non - smoking room . air casino quite bad , even restaurant . section coin - operate slot machine think old - timer preferred substance sound coin . try restaurant hotel alright decent price . friend get room Expedia $ 42 / night , 3 - night stay special . room situate top parking structure 5th floor ( think convert ) , kinda weird new furnishing decor room . 's suitable look good price . finally , must mention El Cortez 2 parking structure , one attach , one detach . also separate building ( El Cortez Cabana Suites ) across street . excellent location want Fremont Street Experience . everthing ok stay , usually look comfort excitement probably will not return . 
 El Cortez 	 totally awesome host staff totally excellent ... nice room good slot play ... new ventilation nearly totally move old smokey casino problem ... Old Vegas well ! ! ! 
 Jan 16 2008 	 would stay 	 reading negatve review El , husband little hesitant stay , not choice one free trip . say , pleasantly surprised . arrive , gentleman check we ask smoker , tell . say upgrade we king non - smoking room additional charge . stayed would call old part hotel . room clean ( thing ) well supply ( bag goodie other refer ) fact hair dryer . check hotel online though know bring , problem . front desk worker nice staff deal . receive & quot ; fun book & quot ; coupon check - in . contain thing complimentary drink $ 5.00 slot play $ 5.00 table play . room good size sitting area . bathroom tad small , doable . water hot . good part though bed . mattress pillow great ( thing . ) sleep great . first day order room service breakfast . food good . however , provide salt find necessity . receive comp other talk dinner casino , look Roberta 's price , opt eat Fritzgeralds ( short walk hotel ) . great special ( watch time ) . take 's advice website use Duece bus get strip -- nice , clean , double decker bus great deal $ 5.00 per person 24 hour pass . never problem walk bus Freemont Street Experience ( recommend see ) . okay , ' ve hear good , side coin . really two complaint : other state , even non - smoking room little smoky , unbearable . two , use complimentary drink coupon , ask Crown Coke . bartender tell could not free Crown top shelf ask would settle Jack Coke . not quite think right . , would . 
 Jan 12 2008 	 Tower Room = huge ! 	 rush pick El Cortez coz 's far stripe . around thanksgiving pay $ 100 night . Tower Room 2 queen bed , big room ever stay rate.it old hotel , lobby stink badly ( would well smoking person ) , run elevator do not stay lobby 2 sec . go , air good . surround area pretty need room bed stay . like bathroom , bed nice . heater HOT ! like old classical style room . stay , offer 2 free night dec stay 2 night Nov. great deal , get coupon not time return . 
 Dec 29 2007 	 horrible service smoking room 	 Booked reservation Vegas package website end El Cortez . wife react smoke call Vegas website make sure get no - smoking room select non - smoking option reservation booking . also print non - smoking room confirmation think problem . upon arrive El Cortez hotel check - in find non - smoking request ' request ' room smoking ! ! ! appartently pay ( much ) deluxe room / suite smoke - free everything else smoking . hotel service terrible end cancel room find another hotel far superior cheap . everything dirty yellowish brown smoke throughout hotel casino area . I would never return hotel . appear sneaky trap book hope choice upon arrival . impression front desk , clearly . not mind hotel offer smoking room ( probably well business ) imo request non - smoking room can not accomidate book reservation ! ! appartently hotel allow / advertise various website book reservation ' non - smoke ' even not room tell request bind ! ! ! Ridiculous sneaky , mean hungry business not think practice reward . 
 Dec 19 2007 	 Hmmm ... one 's tough 	 two day Vegas need plug cheap stay . amazing , travel web site , price truly move target . not move fast enough get new property either side Strip , old tired downtown LV be . first foremost , price absolutely fantastic decent hotel . El Cortez probably grand dame day . questionable area await revelopment , overall scheme thing really fray tacky , price , doable . park car garage ( security time ) use room ... , casino food bargain monger , partake too . the furnishing room ornate comfortable . sleep well . bathroom fine . bargain price , accommodation totally acceptable secure . in conclusion , like / tolerate old downtown Las Vegas , definitely doable . look place sleep 's fairly nice bargain price , definitely doable . want hotel stay part memorable Las Vegas experience , place . 
 Dec 10 2007 	 Pleasant Surprise ! 	 hotel get much controversy try curiosity sake . recent 5 night stay Vegas , choose stay El Cortez last night , December 2nd book tower room since advertise nice . Hesitant , yes , boy surprised enter room . room large small separate sitting room loveseat . carpet new furniture also appear new not look like cheap pressboard stuff either . bathroom small , remind bathroom Gold Coast . complaint tub film obviously could use well cleaning . I enjoy casino bj dealer nice . good security around hotel especially entrance valet parking attentive . unfortunately , not get chance eat restaurant . would stay , betcha ! 
 Dec 4 2007 	 never return 	 stay El Cortez two night . book online travelworm.com . pay extra Tower Room review say new slightly large room . get room not appear correct know picture online not always correct . not next day find stuck pavillion room instead tower room . the pavillion room locate outside . wall fairly thin . one point night could hear man woman argue much supposed get pay . try cafe downstairs service horrible . take hour breakfast 15 20 min wait order come . besides later day get sick egg order . if want kind experience would stay Motel 8 next door . good thing say room appear clean know . 
 Nov 28 2007 	 El Cortez place stay 	 will not say seasoned Vegas traveler stay share seedy place . unfortunately , seem negative comment garner attention . admit hold breath check hotel . check - in breeze we . hope upgrade tower room guess not use right approach . matter . pavillion room suit we fine . fact , sister tower room not huge difference size . the room clean comfortable . shower bathroom small need huge room shower toilet ? spend time room instead check downtown .... might want rethink Vegas vacation . this not place see see . 's cozy old school Vegas Steve Wynn work Golden Nugget . mean play roulette buck mimimum ? El not huge place will not find overstuff slot machine . crowd old probably fill local tourist . Security- walk Cortez numerous time never feel like look shoulder . foot traffic fro Fremont Street Deuce bus stop . think panhandle twice four day .. happen near Walgreens near Neon museum . security guy always outside visible side casino . side note : recommend Mamacita 's mexican restaurant across hotel .. great food cuban mexican choice . small party store ( next door ) great paper , soda , type novelty purchase . owner nice guy . the hidden gem deuce bus . 2 dollar one way Strip go head get 5 dollar pass 24 hour . deuce stop directly across street Fremont Street sign . I will definitely use El home base future . make sense dole money could use say ... do not know .. gambling ? two thing .. Al Stokes slot manager .. terrific guy ! go way make sure group blast .. thank Al ! ( btw say & quot ; stoke & quot ; meet lol ) drink service slow time . mercy section happen . server sort huffy complain . can not say pleased final resolution ( drink ) isolate incident . see .. blast ... 
 Nov 26 2007 	 seedyscarycraphole place ! 	 maybe cool back day anymore ! room fall apart . see elderly man get beat literally outside main entrance . picky person safety everything appreciate clean room find ! seedy hotel questionable part Las Vegas . 
 Nov 10 2007 	 Dysfunctional reservation system still great value fun hotel 	 doubt El Cortez , want cheap downtown Las Vegas room one night , take chance , pleased . access interstate easy , weeknight checkin quick efficient . the El Cortez possibly old hotel downtown Las Vegas , architectural hodgepodge . vintage room original room ' 40 locate directly casino , accessible stair , elevator . pavillion room top floor parking ramp stand next original hotel . one park near elevator , room relatively close one 's auto . tower room separate tower add old hotel . it long hike parking ramp elevator registration . suggest motorist stay pavillion room choose use valet parking leave luggage car , register , return luggage instead schleppe registration desk . I stay pavillion room , small side , like Las Vegas hotel price range nothing way amenity coffee , fridge , etc . , idea one gamblie instead stay one 's room . El Cortez casino grind joint not expect high roller , room safe . find room clean perfectly satisfactory brief overnight stay minimal time room . pavillion room access outside walkway open weather . room great view front door , single window next front door . think high rise motel . pavillion walkway seem spooky dark , well light , monitor multiple security camera , patrol guard . while subject security , previous reviewer complain unsafe location . apparently think Las Vegas urban Disneyland solely pleasure , non - tourist banish gulag . find area El Cortez Fremont Street mall well illuminate patrol . local ( perfectly innocuous ) downtown resident outnumber middle aged tourist couple stretch pant . I eat chinese buffet ; $ 5 discount coupon supply upon checkin price $ 4 . nothing spectacular , good value pleasant meal . large full breakfast coffee shop graveyard special rate $ 4 . good food , good service . my complaint registration system . phone hotel put hold ten minute . couple session gave book priceline.com $ 36 total week night room . apparently norm -- finish make another reservation El Cortez . hotel website , spend five minute hold reach reservation clerk -- previously disconnect -- tell could not stay Friday , stay Saturday well . thank , rang , book Friday night room i4vegas.com $ 65 total . have plan far ahead might get well price , since reservation three week advance , find weekend price increase reasonable . I think El Cortez great value touch oldtime Las Vegas ambience . not let flaky reservation system discourage sort place appeal . 
 Nov 7 2007 	 Best Value Downtown 	 look super clean comfortable room theplace . tower room huge beautiful . superfancy offer old time feeling . like jump back time . you might greet goody bag deoderant , soap , facial scrub , body bath product , toothpaste , shampoo , razor ( good one ) even aftershave . hotel room time stay month . the food pretty good cafe stay open night . good soup steak . treat like family buffet cafe . you really appreciate front desk check nice people around . make sure comfortable stay . really try hard . the comp good remember use card play . comp staff quick nice . see get comme use card . the casino favorite old 9 line slot machine well new one . play penny , nickle dime . great variety . if worried shady neighborhood , not ! security around building , parking ramp , watch walk block Freemont Street . glad return quiet hotel room noise street . likely safe since securityis always watch you . yes , charactor roam casino secuity cover . watch purse wallet wouldwalke street anyway . El Cortz wrap white fluffy towel offer comfortable night quiet sleep . truely good downtown . 
 Nov 2 2007 	 great value hotel 	 hard time find decently price place stay , find place web site . price excellent , $ 40 night 4 week night . pay pavillion room upgrade tower room since pavillion overbooke . other say , decent hotel nowhere near nice strip hotel . comparable general downtown hotel like lvc , fitz plaza . problem away fremont street experience . block away neonopolis least 2 -3 block general action downtown . security guard corner hotel fremont street , guard 24/7 . another 24/7 guard back parking entrance . guard front look fremont street make sure people safe walk block el co. lot construction go , condo build right across street provide safety additional foot action . first night stay 2nd floor room . problem smell cigarette smoke sleep . next day ask n / s room tell room n / s already . move 12th floor room ( great ! ) awesome view strip . someone else say , lot noise club next block last 2 a / c drown noise . get pay , decent , cheap safe place stay . provide nice quattro razor soaps shampoo addition mouthwash , moisturizer cleansing pad . also offer coupon book $ 5 cashback machine , match $ 10 play bj , $ 5 meal ( sign player 's card ) . generally , nice place stay , casino so - so , food okay room tower decent size , could fit 4 comfortably . 
 Oct 28 2007 	 good deal money 	 use stay strip big casino 's , thisplace not . however , stay place , like Circus Circus , Fitgerald 's , place represent excellent value . stay tower , would recommend . room clean , bed really nice pretty big size . bathroom small water pressure average . one thing keepin mind noise , Saturday night , hear loud music club last 1:30 am.the good news even though downtown , locate close deuce bus stop take strip . also , find staff pretty friendly , however , not gamble , sure rest staff be . overall , pay weekend , little comparedto strip , pretty satisfied get . , would normally go nice casino strip huge difference , big price difference , think reasonable alternative someone consider look clean place crash sleep . think key thing remember pay little comparison casino 's , think good job would expect price . good go El Cortez ! 
 Oct 28 2007 	 Pavillon Rooms - Read Important Advice 	 stay Pavillon room several night . important advice : accept room number 5502 5508 range . room locate near elevator , floor tile , wall ceiling concrete , sound echo LOUDLY . Vegas , issue , people go room hour . People engage loud conversation wait elevator . roll luggage make lot noise pull floor tile . near elevator ( ) , will hear it . good things:1 . price . got good price line , excellent value.2 . air conditioning heat ( central ) work well.3 . bed comfortable . good quality soap provide , also provide razor , mouthwash , moisturizer , shampoo . 4 . free parking . security constantly patrol parking garage . bad things:1 . room door , bathroom door , heavy industrial grade door , impossible close quietly . will hear neighbor open close doors.2 . cable tv feature limited selection station , notably Weather Channel . consider weather channel big omission , consider vacation want know go weather.3 . provide shampoo really bad quality . , big deal . other comments:1 . hotel staff excellent - bad , certainly could little friendly . would play Roulette table hotel , gaming staff surly.2 . Hotel Food : chinese Buffet mediocre . Kitty 's coffee shop quality shop . note breakfast buffet cost extra $ 2 weekends.3 . Pavillon Rooms 2 Queen bed , good 2 people . small 2 , opinion.4 . excellent access Fremont street . Felt safe walk time . bus stop catch bus ( Deuce ) Strip conveniently locate . note bus take good 20 minute get to / from strip . bus driver cranky.5 . room immaculate . bathtub need regroute . wood furniture many little dent scratch . problem , look new pristine , hotel . 
 Oct 23 2007 	 expect 	 daughter stay October 17 - 21 . book pavillion room . arrive find upgrade tower room . view room seventh floor mountain soar distance . eat two restaurant food great . chinese buffet exceptional , staff treat we like royality . the serving Miss Kitty 's could eat . staff , desk clerk bell man security guard polite helpful . can not say enough good thing El Cortez . would recommend hotel anyone want visit Las Vegas . refreshing stay area away noise bright light strip . plenty shopping eat place within walk distance . way go El Cortez . 
 Oct 10 2007 	 Got expect 	 get two room $ 49 . smokey downstairs low floor smell . good way ease Vegas style , could overwhelmed strip . cheap open table could always find . People say dodgy part downtown , do not think . never feel way time walk around night . security guard right corner well . one block Freemont Street Experience . want save buck stay downtown would recommend . 
 Sep 18 2007 	 good deal price 	 look decent hotel near Fremont Street cheap weekend . El Cortez low price hotel fit bill . gamble EC several year back remember low - roller casino not - so - great area , not thrilled . read review seem overall positive . ' m opinion hotel room place clean sleep , long 's dirty , be fine . decide give try . I book Pavilion Room ( much nice super cheap vintage room read ) $ 50 / night Thurs - Sun . arrive first noticed area hotel locate appear much nice remember ( new condo build nearby ) , casino quite nice much upscale recall . check , happy find upgrade tower room . downside smoking room ( request non - smoking ) , overwhelming odor not bother I . our room 9th floor direct view Strip ( well much see look straight Las Vegas Blvd ) really cool . room big other stay Vegas . two queen bed , plus write desk small couch . decor nothing outstanding nice enough , terribly old looking . bed comfy pillow bed soft , although outer bed cover couple cigarette burn . there decent sized sink area separate small bathroom / shower area . shower fine use , low ! ' m 6 ' 3 & quot ; maybe 3 & quot ; clearance head , shower head chin level . water pressure good job . one complaint toilet run night . long shut bathroom door not annoyance , be something fix ( especially drought Vegas ! ) .The notable thing complain rattle A / c panel roof . try stop rattle success eventually get use . , toilet run obviously problem one room enough condemn place overall . fact , would stay second . ' ve stay Vegas Club three time would choose EC everytime instead . redeem coupon good funbook , hardly gamble trip ( although EC know loose slot low limit ) .Overall , happy stay would recommend EC low cost comfortable stay . 
 Aug 26 2007 	 Perfect Place Vacation 	 stay 7 night El Cortez . honestly find anything bad say ! book website . $ 30 week $ 53 weekend pavillion room . room nice clean good bargin LV opinion . sure request fun book coupon couple time email go . give $ 5 credit slot ( every 14 day ) $ 5 dining credit book . buy american casino guide book net thru Amazon etc . tell book room coupon get one night free . Kitty 's diner hotel good food resonable price $ 5 coupon 's really good deal . hotel 2 minute walk bus stop strip . bus stop right Freemont street . new double decker bus great $ 5 24 hour go anywhere . not believe review say 's bad area . securiy guard day think midnight corner hotel course security guard bike area . use stay Stratosphere even well deal . Sign free shuttle back airport check . hotel ' m stay . 
 Aug 26 2007 	 Hotel reasonably clean 	 stay hotel : Aug. 14 - 21 , 2007.we 3 people staying room . firstimpression room pretty decentsize 2 queen bed ( pavilion 2 QUEENS ) . bathroom okay cleanness & amp ; small ... basically open door & amp ; toilet theright & amp ; bath tub really close toilet . not problem hotel employee . discomfort oneweek & amp ; not coffee pot room . please note : charge refrigerator , coffee pot , iron board iron , hair dryer . I enjoy short walking distance busstop & amp ; fremont experience . ' ve several hotelsin Las Vegas business , couple ofbad experience , though hotel okay ... , comment old part hotel notgone renovation . keep hotel mindon next business trip . 
 Aug 24 2007 	 dump food pig slop 	 never ever go back El Cortez , real dump . food pure pig slop management thug cheap suit . pay next time stay strip . El Cortez dangerous area dangerous people wander casino time . nightmare . 
 Aug 21 2007 	 Las VEgas Trip Report 	 two underager time , Aug 5 - 8 , old enough drop Tournament king , course love , could stop Bally 's & amp ; G. Hiya ! mentioned & amp ; G , first impression come strip YUCK ! want see experience come faorite get away place let tell . could believe crane construction hole scenery . could stay home see . go ? Wynn elegant 's want see lot Las Vegas . thank God Downtown . stay El Cortez , clean , quiet , renovate big enough 3 girl assort foo - foo . right outside 3 old / new neon piece instal 4th way . WHEE ! ! love old school . Freemont East sign store spiffe inside . long & quot ; questionable & quot ; dark block Cortez Freemont St . experience . first time notice significant amount police security presence . squad car , bike , foot , corner , store , everywhere . afraid look eye acknowledge anyone else area . rowdy fun rowdy up - to - no - good . will keep first . ' m go back Sept , wheeha ! , stuff , fountain , Slots Fun , ( love sound coin , tell old school ) Laughlin many many margarita . ; ~ ) 
 Aug 11 2007 	 wow well ever expected 	 pick hotel price surprise nice room , stay tower look everything looked newly decorate ! bed comfortable room lot space nice sit area shower plenty water pressure ( big plus ) everything nice new clean ! complaint lack sign casino , thank goodness sober trip Vegas time might never find back nice clean comfy room ! 
 Jul 28 2007 	 clean Place sleep 	 place really nice even stylish decor , look CHEEP clean place stay , great . AC work really good , really imortant July . bathroom probably original one , hey care . sleep hour clean long night partyin' . hey coool club street Griffin . great place stop way night . 
 Jul 22 2007 	 El Cortez es El Perfecto ! 	 pleasure vacation Las Vegas , Nevada middle July 2007 . originally consider stay strip one popular Vegas hotel Bally 's Wynn . however , speak friend frequently travel vegasi set stay downtown avoid crowd reap gambling profit . tell little known hole wall family run operation call El Cortez hotel casino . at first skeptical , particulary reading long list bad review trip advisor . friend encourage stay El Cortez check Orbitz great deal trip . sure enough , find 5 day , 5 night plus airfare package Hartford , CT $ 315 . amazed deal could not pass . figure even place total dump vacation still steal . I arrive El Cortez Sunday afternoon . not visually pleasing neighborhood , soon enter hotel pleasent ( gorgeous ) hostess greet answer question . small trash fire put arrive smell little like burn plastic . check breeze promptly make way room . room spacious clean two queen bed , 36 - inch plasma tv , newly renovate bathroom . bathroom generallysmall , plenty mirror granite counter top . halfof hotel renovate make sure specify wanta renovate room arrive . extra cost . sportsbook tastefully do pleasent staff . six 50 - inch plasma quite small plasmas well . sportsbook elaborate Strip book , leather seat incredibly comfortable odd actually well strip sportsbook . unfortunately , slot machine still coin operate . table game however wonderful . never crowd dealer seem genuinely happy . 500 dollar blackjack table stay . even play hand Jim , own operator El Cortez . big drinker nice guy . the chinese buffet excellent . rival chinese buffet Vegas . also try sit restuarant , immaculate reasonably price . well meal 30 buck 150 spend 7 course meal Wynn week . I say enough El Cortez . truly pleasure stay downtown hotel . back December . please don'thesitate take advantage hotel dirt cheap deal find Orbitz , Travelocity , Expedia , etc . Viva LAS VEGAS ! ! ! 
 Jul 17 2007 	 wow -- El Cortez really nice ! ! ! 	 spend 3 - day June El Cortez find property personnel way expect . room one Pavilion room garage great value clean . bed comfy shower refreshing . there issue walk El Cortez LV Blvd catch ' Duece ' Fremont Street Experience . area major improvement , well - light , monitor / patrol -- feel safe . use common sense would anywhere else . I eat restaurant would rate food much average great value money . the gaming fun . play mostly BJ video poker . not forget use coupon Fun Book . $ 10 match play coupon special deal give $ 20 player 's card . they also give 2 Free Nights coupon go back El Cortez 6 night August . Good Luck ! ! ! 
 Jul 11 2007 	 get really really good deal ! ! ! 	 stay Las Vegas many many time , like stay Lady Luck hotel downtown , Unfortuntaly close pick place else . choose El Cortez find mistake internet . stay El Cortez June 30th - July 5th 2007 , entire stay $ 55.20 . vintage room , one flight stair . bad . room clean , small one queen bed . bathroom fine , vanity . water pressure little weak , job . first night shower door fall track . tell front desk next morning fix right away . pillow little thin ask extra problem , ask extra blanket room little chilly , problem get blanket . must pump air freshner casino always smell like colone . senative might want stay elsewhere . walk Fremont Street Experience never trouble . always feel safe even late night . breakfast buffet little skimpy price right $ 5.95 use $ 5.00 meal coupon fun book steal . nice stay , say get really good deal . expect much pay . pleased receive . web site show picture room casino , look include bed spread . would stay . 
 Jul 7 2007 	 El Cortez Fine 	 first Vegas hotel double rate Friday Saturday , move El Cortez Friday , June 29 , second half trip . stay five night . prepaid $ 252 Orbitz , include taxis . ( suspect could well poke around internet , good rate El Cortez web site offer , take . ) check around 6 p.m. ; wait , pay reservation . put $ 50 hold credit card incidental , never use . my room tower , seventh floor . clean quiet . fixture old , everything work . two queen bed , fairly firm . enough soap , wash cloth , shampoo , towel . sheet towel good quality , super - plush super - high - thread count . good water flow shower head ; water hot off - peak hour , like early morning early evening , mid - morning , never real issue . air conditioner control old thermostat . room get cold want cold . need wake - up call one morning get one , time , live operator . I not gamble casino except use $ 5 match play coupon blackjack little poker . room fairly smoky , bother . Clientele old moderate mean . & quot ; Jackie & quot ; Gaughan , hotel owner , play poker one morning . I use parking garage . guard post entrance sidewalk nearby . Valet available . area around El Cortez spruce . condo tower go next door , section Fremont Street lead main downtown casino district landscape Vegas sign add center island . two block take get El Cortez Fremont Street casino great , warning hear overblown . I eat breakfast careful Kitty 's , El Co coffee shop , $ 5 voucher coupon book . french toast coffee ; nothing special , fine . service good . it be 10 minute Strip take L.V . Boulevard Charleston i-15 South . for single person car , old people plan gamble , good choice . staff friendly competent . room old clean . would definitely stay . 
 Jun 13 2007 	 's great 's bad well . 	 book tripre first ever trip vegas 5th June . select first night hotel want freemont street night expore part vegas . reach hotel arround 10.30pm , hotel overbooke room category . straight forward , give we upgrade room price add bonus free breakfast coupen two + $ 10 casino coupen without even ask we . good deal start with . hotel kind old facility , tell look . room big nicer . casino hotel small . whole area construction disappoint first night ever vegas . morning breakfast ok . great one 's fine compare MCD fastfood place . fresh fruit . can fruit . egg waffle good . good choice . hotel crowd like 50 + would suggest young crowd . Infect would stay whole area . way go strip hotel . pay $ 40 night arround rate stay 's Excalibur next night . be far well deal Cortez sure . another funny thing , owner hotel stay top floor come know we elevator next morning . say , seem like totally family run hotel . like big house strip . overall , ok . worth try . pay $ 40 get back $ 15 breakfast + $ 10 casino credit + 2 free drink ( be free anyway play ) + $ 10 planet holleywood food voucher ( tripres.com ) . overall worth deal like stay free . 
 Jun 11 2007 	 great atmosphere nice room . 	 nice . stay June 04 June 09 Ogden House 5 storey motel own El Cortez , across street behind hotel ( Ogden Ave ) - take less minute walk across street motel lobby @ El Cortez . room comfortable & amp ; clean . a / c work great . large - credenza style dresser , queen bed , 20 & quot ; tv , chair night table . bathroom hadplenty counter space . shower great . soap , shampoo hand cream . housekeep awesome . $ 25 per night , Friday night $ 47 . got fun book check another Wednesday night person front desk check cool ! funbook $ 5 coupon slot play , $ 5 entree free gift El Cortez keychain picture . couple coupon not value . check El Cortez website info Fun Book . Toured El Cortez office , lot cool picture memorabilia include many gambling chip feature Jackie Gaughan . staffat hotel great include poker room boss Tracy , one dealer . see Jackie Gaughan time play poker saidhi . Kitty 's Restaurant @ El Cortez good vegetarian omelet spinach $ 3.99 graveyard special sausage egg ho - hum . enjoy free ( coupon ) clubhouse lot fry inside casino - & quot ; gameside dining & quot ; call - sit play penny slot machine take order , bring tv cart everything right . Kinda neat although without free coupon Idoubt would - maybe . the Slot Club Card offer free coupon ( gameside dining , extra pointday , free slot tournament - lot wrist exercise ! $ 5 free slot play ) point poker table . leave 171 point think tell could get 2 1 buffet . I would stay problem . right offer two free night July August anybody stay hotel April June . 
 May 30 2007 	 El Cortez good ! 	 stay El Cortez May 20 May 28 . reservation hotelclub.com pay 80 usd per three night ! hotel clean , location perfect staff friendly . hotel entrance beautiful casino , arrive Hotel paper need change discount book 5 usd play casino . gift , one key ring photo , nice ! bed confortable sheet towel clean smell good . 's refrigerator microwave bedroom , eat Vegas cheap , not matter we ! 
 May 23 2007 	 Pool Great Room way 	 place seem remodel . tower room spacious , well design clean . staff courteous . lot construction around hotel minor inconvenience . price find could take cab Stratosphere pool way nice . close walk Fremont Street . never feel unsafe outside time day night . casino upscale peppy Main Street Station Golden Nugget , price close walk great place sleep . come place urban renewal occur area . south side great view strip skyline . take advantage low price . 
 May 16 2007 	 good deal 	 book travelocity pay $ 275 3 night roundtrip flight Detroit . little skeptical trip , turn really good deal . hotel fancy good place stay cheap . stay tower room cost $ 10 night definately worth . room really big little sit area couch table . also desk bed comfortable . complaint room water pressure good shower head really low not really big deal . the casino nice other , time smell little strange , still fun nice really low minimum table game . eat careful Kittys decent really good . think 's well idea walk towards Fremont St. eat restaurant . walk 5 minute feel safe walking time night . overall , look cheap clean place stay casino near Fremont St. El Cortez great idea . 
 May 8 2007 	 Whatta Deal ! 	 pleasant surprise ! first vacation 12 year , come town big convention . friend spend $ 200 night Strip , wife book we online - round - trip flight Denver three night @ ElCo less $ 190.00 . math ! not much except sleep & amp ; shower , great place base . 5th - floor tower room great view south Strip ... light beautiful . bed comfortable , shower fine , free valet parking across street nice ( get extra tip end week ) .We walk Fremont St Exp couple time always feel completely safe . get quietly panhandle , daytime . wife say enjoy Fremont Strip , Strip overwhelming ... much see . plenty cheap souvenier downtown , ; - ) real annoyance ... $ 12 dollar day wireless internet , always problem get online . Condo construction across street , currently remodel porte cochere entrance hotel , Fremont St front casino repave / rebuild ... could occasionally hear construction , never problem either we . we ' ve tell lot friend great deal get ... would stay heartbeat ... thank , ElCo , great stay ! 
 May 3 2007 	 Good Budget Option 	 boyfriend stay El Cortez two night visit Las Vegas . decide pay little possible hotel spend money good seat Cirque du Soleil show tour Grand Canyon instead . pay $ 60 night get vintage room , smoke old part hotel . read people 's review , feel like overpay bad room ( since other stay new tower room pay well experience ) . price discrepancy might due seasonal difference , begin summer . ( stay April 28 - 30 , 2007 , hotel completely book ) .The hotel downtown , away Strip , not mind rent car . hallway lead room dark smoky , room , thankfully , ( although throughout night feel cigarette smoke creep room ; expect Vegas ? ) . nice oak furniture big tv expect , basic cable . bathroom old , seem maintain well . clean sheet towel save day , not find hair mysterious stain much expensive hotel room ! hair dryer bring . walk Fremont Street Experience ( block away ) Midnight Sunday not feel unsafe , security guard stand around . Fremont Street Experience totally awesome , love video / audio show . walgreen ABC store right underneath Fremont Street Experience dome , sell kind thing might need trip , like water , band - aid , etc . old school casino right , ! frankly , enjoy part Vegas much Strip . much easygoing ! Strip crowd awful , not fun . parent , might want reconsider let kid see free & quot ; Sirens TI & quot ; show front Treasure Island . catch 11:30 show Saturday , bunch parent bring little kid , think inappropriate considering contain mostly adult ( sexual ) humor girl dancing thong bikini top . also , hotel give coupon book voucher free drink , $ 5 slot play credit , $ 5 restaurant , etc . think nice ! front desk personnel , nice , , care sort thing . , El Cortez good budget option . 
 May 2 2007 	 favorite Vegas getaway 	 3 close friend visit El Cortez least twice year . start stay ElCo 7 year ago travel agent recommendation . will not stay anywhere else ! tower room far nice . vintage pavillian room fine easy get . stay away Odgen House across street . something need room provide always happy bring . ( refrigerator , Coffee pot , etc . ) sometimes front desk staff flaky print confirmation info bring . gamble top notch treat loyal customer like royalty . play couple day go slot club request host . host anything ask within reason . ( meal , room , ticket , etc ) first visit not pay room anymore believe way get jacuzzi suite compe . make sure use Jackie 's club card get comp . the slot loose , video poker even looser , plenty low denom table game , reasonable price food ( mostly compe ) well keno Vegas . dealer usually new other say always friendly able speak english well . keep eye mistake . mistake see player favor anyway . as other say not let neighborhood scare . never problem , area really start & quot ; nice & quot ; .Jackie really know treat people will not around forever please enjoy landmark . Jackie usually find poker room early morning usually wear trademark green tie give good look woman hard time . please try visit rise property value area cause El Cortez become another victim implosion . El Cortez Vegas opinion . Good Luck tell Jackie Justin say hi ! 
