stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Jan 2 2007 	 Big Disappointment ! 	 stay Hard Rock New Year 's Eve see Supernova . season traveller stay many hotel Las Vegas . room Hard Rock mediocre . not provide blanket , coffee maker , even vanity mirror . first night , shower drain plug bad flooding . try call customer service , phone not work . call front desk use cell phone . send someone fix shower evening . bed lumpy bathroom small careful avoid rub toilet closing bathroom door ! oh get ... extra $ 20 charge per person use gym time . the casino happen place evening . need update ventilation system handle cigarette smoke upgrade sound system sound sub - standard . plan stay Hard Rock plan pay lot Taxi ride strip far walk ( approx . 1.5 mile ) strip . also note hotel 's restaurant give 2 1 discount guest Las Vegas hotel guest , except Hard Rock guest . not make sense , since one would think hotel would give special consideration people guest hotel gambling casino . lot hotel Las Vegas treat patron well well amenity . 
 Dec 10 2006 	 hard rock good 	 organizer trip usually consist 15 20 male age 22 30 , hard rock place stay . say would stay different place every year find place like . look party , course would not go vegas , place stay . room ask . clean , small little balcony , big open french door nice . bose stero nice touch . room also safe free work well.the casino great . party go time . dealer friendly helpful . , always stop play card way room every nite , usually sober whatsoever , dealer would look . place take advantage , dealer seem go extra mile make sure know matter drunk , be not miss anything.the pool amazing . highly reccomend rent cabana . 250 day , flat screen tv , fridge , safe lot chair couch . get amazing waitress service one . ( grill ham cheese good hungover drink corona sit pool . } water slide , sandy beach , woman shake stick at.body english locate hard rock . one good bar vegas . ( pure still good . ) vip room , 19 we bet another 50 people bring . definetly good time.the downfall , front desk staff . smart . room prepaid , keep try charge we . could not understand go problem solve . luckily travel agent fix get home.all , 20 , 30 , still like give er 40 ... stay . do not drink , party , like rock music , like loud .. do not stay . stay every year end . lot single guy / girl .. whatever . stongly reccomend place back next year sure ...... good time 
 Dec 2 2006 	 Kind Place ... 	 stay one night business trip . ' m mid-40 's guy discover pretty quickly place . first , feel old enough everyone 's father . guest , staff club visitor mostly 20 - something . much crowd party - hardy type seem compete could yell loud bar around small casino . give credit , practically yell hear loud rock music seem seep every corner place . like lot tune , gee , could turn volume little bit ? ! minimalist - style room fine huge plasma tv decent work area . Believe , we actually come Las Vegas business ! internet access expensive $ 12 / day . be aware sound really travel hotel -- wall , ceiling door . not get much sleep glad meeting next morning . People run hallway yell night . put towel substantial open bottom door . help little . 2:00am 3:30am young partier bang door . exhaust next morning . do not experience restaurant except 24/7 coffee shop OK . Waitresses attentive , food come quickly least music little less loud there . the hotel poor location want go walk escape noise . ' ve stay practically every major Strip hotel ( Las Vegas convention nearly 100 time ) go back one next time . 
 Nov 15 2006 	 Good Place 	 $ 5 fee add room charge , be uncommon day . price , room nice . like mini - bar ' you move , buy ' concept ' . room clean spacious . maid try enter even disturb sign , beware lock door inside . casino small quaint , dealer friendly . place popular bar scene night . pool impressive . restaraunt good . 
 Nov 8 2006 	 lock belonging ! ! ! ! 	 weekend September 15 - 17th stay Hard Rock Hotel Las Vegas . ALWAYS stay hotel go Vegas becasue always fun time . put & quot ; DISTURB SIGN & quot ; door . want anyone enter room clean , purpose . Sunday return room find item missing room . purse , wallet , perfume , makeup , shoe , etc . $ 3,000 worth stuff . go security desk rudely tell & quot ; maid not steal & quot ; investigation , probably will not find anything . imagine insensitive guest upset belonging steal . investigate find maid come room . room never clean nobody enter room . understand investigation take time , almost 2 month , know take item , Hard Rock Hotel employee . not get thing Hard Rock , letter , apology . NADA ! ! ! ! ! ! ! stay - lock suitcase ! ! not leave anything room not want steal , bc apparently free take Hare Rock Maids ! ! ! ! ! ! ! 
 Nov 8 2006 	 beware hidden charge ! ! 	 beware hidden charge ! ! ! everywhere look hit you . first rate web look good . check check sign Early Checkout $ 75 payment agreement tell two $ 5 per night charge automatically add . 1 resort fee one shuttle charge . not even know shuttle . also room glass , want / need drink water take pill thirsty drink sink open $ 6.50 bottle water . nice touch . addition make sign statement bring food / water room charge $ 25 it . the room par Holiday Inn country , Holiday Inn stay would put stain carpet furniture . go one many wonderful hotel Vegas .. avoid Hard Rock . 
 Nov 5 2006 	 Fun Times Hard Rock 	 stay Hard Rock Hotel late October , 2006 Thursday Monday morning pleasant experience . definitely singles/ young adult hotel . would say target age would 21 - 36 . nothing bad say hotel , 's favorite hotel world , definitely great party hotel . go party seven friend ( include ) put standard room next door . standard room not big , be make sleep clean pleasant . casino little small thought -- everything need . pool amazing , good fall -- imagine summer . favorite restaurant Hard Rock Mr. Lucky 's 24/7 diner always open . staff never give problem like world 's strip , cheap , quick , convenient cab ride strip . local store strip mall nearby need dose reality Las Vegas glitz . would probably stay another hotel next time -- experience something different -- would never turn another stay Hard Rock good . would definitely stay though make repeat trip . 
 oct 22 2006 	 Love Music Food Casino 	 not stay hotel , budget , end Casino every night wonderful food 24/7 restaurant . love music , include everything 50 's present -- leave alone play penny slot walk around want . strangely enough , not mind music loud good . take back notice group young man walk around appear huge bottle beer ( ? ) , realize probably performer . schedule , not get go various shop -- look like something have enjoy . reason food ( great waiter waitress ) , be worth visit . notice three old woman look like place -- sort like expect & quot ; action & quot ; anything -- far crowd Friday Saturday night , understandable , not appear pick - up bar -- although like anywhere , look trouble , always find . far , favorite Las Vegas restaurant casino -- see several . budget allow , would stay hotel instead across street , still easy walking distance . 
 Oct 17 2006 	 great time 	 strip , nice hotel . little expensive . casino small , fun crowd - young . great meal Pink Taco , Lucky 's . great pool . nice room . 
 Oct 3 2006 	 Awesome place stay ! 	 excellent place stay . stay around 15 casino / hotel would place top 3 . room great . view stunning . balcony , could see Luxor way Stratosphere , also pool area . the Pink Taco excellent well Luckys . also room service quick food great . all , would recomment highly . back near future . go Vegas every 4 - 6 month . 
 oct 2 2006 	 Hard Rock Hard beat 	 stay couple night early September far th place stay Vegas - actually feel like hotel casino inside rather casino happen bedroom . room well appoint unlike previous poster expereience room make morning everything take care . staff extremely warm helpful . breakfast 24 hour diner excellent . agree last poster taxi strip essential cost $ 7 . surcharge room use shuttle service see sign operate there . overall , worth detour stay Strip . 
 Sep 12 2006 	 Hard Rock rock 	 stay 3 night early Sep 2006.great location - 5 mins/ $ 7 cab airport . short cab ride brisk ( hot ) walk strip - walk recommend . check - in probably downside - see pre - register arrive quiet time otherwise register , leave bag return later ( say 5 pm ) actually get key room . room spacious clean room service late ( well 1 pm ) erractic ( bed not make towel not change one day ) .The Sunday pool party ( rehab ) great fun - well worth town . pool complex really good get busy arrive early lounger . casino ok - min bet $ 10 though - bar good open hour . food good breakfast bar eatery starbuck helpful . all great fun : would come . 
 Aug 28 2006 	 hr rock 	 stay hr girlfriend mid August . late 20 's ( 26,28 ) . great time . hr treat we well . stay many Vegas hotel none like . never feel lose sea people like strip hotel . ( hotel top THEhotel overall experience . ) friendliest dealer far Vegas . love playing card good old Rock - N - Roll . never fun playing table . meet lot good people table . enjoy casino much light , small , open Vegas Casinos . plenty non - smoking table open . really like party atmosphere . much right . like play table slot recommend get back Stage Pass ( Players Card ) start gamble . hr extremely generous comp . place strip even let get player card unless play least $ 25 hand . case HR . play ask pit boss comp food anything else . nice tell yes . , list send special email offer . get one offer room low $ 25 week $ 49 weekend ! food Mr. Lucky 's great . girlfriend love oversized bowl coffee . pink Taco pleasant surprise . guac plate perfect . room good . carpet little wet ( steam clean ) check , least know clean ! ! loved french door open fresh mountain air . glad bring CD 's Bose stereo . enjoy large plasma live concert channel show Woodstock . bath tub look new great excuse relax little . the pool nice escape . say lucky get umbrella . would fry . I celeb sighting . Tommy Lee , Dave Navarro , Wee Man . miss Mike Tyson couple occasion . overall think hr place Vegas . already book another trip December group . 
 Aug 23 2006 	 crack 	 friend stay week Hard Rock . overall , not think 's four star hotel . 's probably 2.0 star 3 star hotel . hotel atmosphere average . music rock indoor mostly hip hop r & amp ; b outdoor ( , not know ) . good hotel single not like kid . kid . clean service great . bartender good extremely rude especially young clientele . customer service overall terrible . firend look young like spend money . treat well hotel thus spend money casino . security rude part , reception less impressive . music club mostly hip hop , r & amp ; b , Top 40 , expect Hard Rock franchise . also sewage/ water problem address quickly leave entire hotel , especially pool smell like garbage fece . pool water give rash . the staff apologetic eager resolve problem especially package book third party hotel . compensation problem experience minimal reflect opinion hotel . overall , hotel good want party day night not mind disrespect staff be . 
 Aug 15 2006 	 good time @ Hard Rock ! ! ! ! 	 book vacation Travelzoo get good deal plus alot 2 1 deal meal . go Vegas 15 people , 9 we stay Hard Rock absoultely love ! yes 's strip 's short cab ride away ! night not feel anyone really loud hallway upstairs ... however hard rock people party hang room ! music casino great , friend sing along not find loud . room good look exactly like picture disappointing thing appear every room balcony mountain view side french door open 6 inch balcony . Mr. Lucky 's big hit friend especially chicken finger ... be budget eat $ 10 person , concerned spend money alcohol . also strip mall across street cheap food option ! Rehab pool party crazy amazing time everyone need experience ! Rock Spa good well spend afternoon enjoy whole experience ! would advise signing player club Hard Rock get $ 10 free slot play $ 25 match bet nice perk . body english fun want get free room card bring lot girl door 10:15pm . however kid place Hard Rock hotel lot kid friendly Vegas Outlet ! would definitly stay hard rock 's small managable unlike casino Vegas . 
 Aug 14 2006 	 FANTASTIC ! ! ! ! 	 ( married couple 30 & amp ; 31 yrs ) stay HRH 5 day . we visit Vegas every year past 5 year first time stay HRH . place FANTASTIC ! ! ! place stay . the staff incredible . friendly courteous go way . big spender , yet treat like high roller . the room spacious cool plasma tv , Bose CD player . nice open french door night time let cool desert air in . we go & quot ; Rehab & quot ; party Sunday . wow ! ! ! ! ! fun time ! must next trip . rent cabana stay cabana host Erik great job make we feel like vip . well worth money . we stay Bellagio , Mirage , TI , MGM . HRH top hotel easily . if trying decide hotel stay can not go wrong Hard Rock Hotel . 
 Jul 27 2006 	 Wow 	 visit HRH many occasion , always enjoy atmosphere , gaming , friendliness employee . today choose spend time Hotel Casino take spin bike property enter enjoy Starbucks coffee little gaming action . shocked find bike remove security visit . inquire reason hotel staff would cut lock take bike , tell bike allow anywhere property . find disturbing since Hard Rock Hotel always market " save planet " sponsor global environment . guess customer ride bicycle less monetary value offer hotel look upon less regular suv drive customer . 
 Jul 3 2006 	 lot fun Hard Rock 	 ok , take get review , ' m go back Vegas next month start think . Hard Rock lot fun ; music good . room Bose Wave Radios . book mountain view room wake 7 construction noise outside ( building stage killers concert couple day later ) . also , mountain view actually mean airport view . not , unless really need save money . couple thing room break . complain eventually get move suite pool side . nice ! ! separate living room , huge bathroom jet tub , etc . we room service . want tuna steak sandwich get pool day , not menu , bring anyway . think get much well treatment suite . 2 single girl , age 28 . hardly women hotel . every time sit gamble , guy another table would try get we go table . mid - week . first , not like bc far strip , shuttle service limit , taxi ride add . Thursday not want leave ! hotel definitely take different attitude get close weekend . the highlight trip last night , come 5 , two member Green Day play $ 5 blackjack table . see we checking invite we play . cool ! ! would stay , expensive weekend , really fun time . would not recommend first trip Vegas , since good way strip , unless not mind pay $ 10 taxi numerous time day . we eat Mr. Lucky 's several time . good country - fry steak mash potato . $ 7.77 deal ok , cheap . also , pretty good comp hotel . 
 Jun 29 2006 	 good time Hard Rock 	 husband stay Hard Rock two night , join friend Flamingo 3 night . we mid 30 really enjoy Hard Rock . fun place like small side ... not wander forever find want . everything main casino floor include restaurant , pool access , room access . music good play everywhere . would even like pump room ! would not say extraordinarily loud - could still talk problem . room spacious clean . furnishing bite sparse plain - expect flashiness guess . like fact could open balcony door . bathroom good size lot counter space decent lighting . plasma tv nice touch , really use much . pool really nice ! Thursday right open ( 8:00 ) get chair . would say chair not fill late morning , early afternoon . guess 's one benefit party hotel , everyone sleep ! waitress friendly drank & quot ; Rock Star Lemonades & quot ; day , sell big plastic tiki glass $ 14.50 . cheap , hey ... Vegas cheap ? Friday bit different story . weekend need wristband enter pool area . chair fill quickly lot crowd general . late afternoon lot cup junk lay around . think prefer weekday pool scene since be little slow . not even want know Sunday Rehab party like . comment music pool general . Hard Rock , music play seem fill whole area . could not see speaker figure come , volume everywhere , seem & quot ; & quot ; we . Flamingo .. music blare speaker 6 inch head . depend sit , either blast , barely hear . time felt blast out . we pink Taco dinner first night really good . hit happy hour special 2 1 beer margaritas . also lot chip salsa . food reasonably price give lot . fill margaritas chip , end take half burrito back room late night snack . get quesadillas pool next day also good . Served salsa , guac , sour cream . breakfast Friday go Mr. Lucky 's good omelette . finally hit Mr. Lucky 's dinner famous $ 7.77 special get nice sized salad , small steak , 3 shrimp skewer , huge scoop garlic mash potato . great taste great deal . some general observation : contrary popular belief , 's supermodel Hard Rock . notice shape size pool one beat flogged ! yes , & quot ; notice & quot ; girl , one princess decide go topless cabana , would say exception , norm . also , conscious event go Hard Rock decide stay . Saturday & quot ; Ultimate Fight Night & quot ; Friday , fighter crew roll . lot guy , lot testosterone , lot team flag team color . feel fight ring not go fight weekend ! spoil Hard Rock bit disappointed get Flamingo . would definitely stay Hard Rock . 
 Jun 26 2006 	 Dirty Pool Decent Room 	 stay hotel 1 night visit many time gambling . room clean , modern look flat screen tv , well sized standard room . rate week reasonable weekend way overprice . not complaint accomodation except disgusting pool area . keep short : water clean , cloudy appearance slick greasy layer top . straw float around people drink pool . swim around fake glitter eyelash beer tab bury beach area . overall , grossed 5 minute wade swimming around . would not mind stay hotel ever visit pool area . need sterilize . 
 Jun 20 2006 	 special meal deal 	 stay Hard Rock Las Vegas manage walk hotel eat 777 special meal deal . staff friendly attentive need . food fulfil ambiance throughout casino great nice young feeling . great memorabilia throughout 1st floor establishment . ' beat path ' always taxi cab take we want go . 
 Jun 19 2006 	 Great Place fun party 	 go Hard Rock Hotel last year 10 friend celebrate bachlorette party . good time ever . room spacious , plasma cd player wich use time . bathroom little small clean . definetly hotel stay want party , fun meet young people . plan family trip , quiet peacefull hotel place . staff extremely helpfull , mention concierge help we make reservation BEST night club . the view room incredible ( pool ) .The pool amazing , music , drink service great . I would stay minute ' m plan party , like say planning go family look relaxed time place . LOVED staying ! ! ! 
 Jun 12 2006 	 People sex pool - bad hotel ! ! ! 	 husband book three night end May 2006 . soon walk lobby overhear someone complain registration desk people openly sex pool , ask cancel reservation . sorry , need 72 hour notice . stick . room sub - par say least , disgusted see handcuff sexual aids room service menu . room overlook pool treat view half naked woman parade around pool , couple engage sex act right open . appear encouraged staff , consider room service menu . wall painfully thin , able hear party next door one side couple engage vocal sex side room . couple meet restaurant tell we deny admittance pool not young swimsuit model - type . hotel restaurant name & quot ; Pink Taco & quot ; ? come on . we leave next day never return . family beware . stay clear . 
 Jun 11 2006 	 may stay anywhere else Vegas ! 	 return 1st stay Hard Rock ( many time , never stay ) . husband early thirty , contrary popular belief reviewer , still love party age ! ( lame people thirty , sorry , not come Vegas ) hotel perfect place good time live ! come meet friend Rehab party , far good pool party ever , quite possibly , good party , period ! relax , party Monday , great way recooperate Sunday 's Rehab : ) waitress / cocktail staff pool awesome ! ( especially busy ! ) DJ 's good ! room great , clean . problem noise , room much anyway . front desk staff accomodate , well bell staff valet . complaint last morning ( check ) , front desk call ask credit card put charge . not problem , since check anyway . problem , call almost 9 A.M. little early opinion ( vegas , think leave one file ) casino , not play much usual , pool partying . normally , though , everyone great , usually catch glimpse celeb two play blackjack sit bar . bartender friendly talkative , usually glad help hangover concoction . Restaurants- Pink Taco favorite- be like party within party ! food drink awesome . Mr. Lucky 's good all - american food 24/7 . not impress Nobu , even hype . sushi connoisseurs , ' ve lot well local vegas sushi joint . shop Hard Rock great- even not lot money spend , least check Hard Rock gift shop ( not know name ) unique thing bring back friend . , love place . stay Wynn , Treasure Island , Monte Carlo , Mandalay Bay , Luxor , Aladdin , New York New York , Stratosphere , even Sahara . want eat gamble . want truly unique , rock roll party experience , stay Hard Rock Hotel . come home already look excuse come back next Rehab party Hard Rock ! 
 May 12 2006 	 Party dude ! ( really be bad . ) 	 Hard Rock definitely party spot . not expect quiet night 's sleep ( be music channel tv -- block guest ' noise ) . expect ton attitude staff reveler ( look like SoCal & quot ; & quot ; crowd , will make easy . ) forget use valet parking -- traffic flow pattern awful , be quick self - park garage walk hotel casino . all sound pretty negative , right ? 's lot love . Muay Thai kickboxe spa gym , all - night diner Mr. Lucky 's serve great good , swim - up blackjack gorgeous polynesian pool area , body english nightclub ( really decent DJ ) , super - mod design room , outrageous naughty mini - bar room service item . free local call , too . all , give price ( especially mid - week ) , be good deal Vegas . fun ! not car , plan take taxi to / from Strip , shuttle run short hour . 
 May 6 2006 	 Party Hotel 	 stay bunch people good friend birthday kick weekend Rehab party ( Sundays ) . also popular concert Joint go . busy weekend . not start well check inform would charge 150 night incidental use debit / credit card . stay Four season Mandarin hotel never charge much incidental problem card . room average decent bed flat screen nice view . one horrible thing room little hot water . turn water one one morning time get water feel even remotely warm . room service great excellent food . casino favorite place gambling . gamble Ceasars Palace several hour could not wait get back Hard Rock casino . never even get one drink 3 hour ! Celine show wonderful , would go back hotel see . pink Taco Luckys good food service . nothing spectacular , nothing complain about . geared towar young people great people watch . pool nice although never hear music water ? cabana one day really nice attentive service . waitress Rehab horrible . keep license tab time go could not find hour . doubt would stay price , not bad . cool hotel stay like 21st bday celebration bachelor party . hit 30 might want stay somewhere else . 
 Apr 30 2006 	 great stay would stay 	 stay Hard Rock business meeting . arrive check 11:30am , room available ( check - in 3p ) take cell . middle shopping casino shop call tell room ready , 10 min get ... excellent turnaround . room view non - existant ( roof side building ) not mind since get check early business . room nice size ... roomy good internet access . Drawback already report many time previous review ... wall paper thin sleeping goal good place . Overall 's great casino since 's small intimate . shop good eat good ... eat steakhouse Pink Taco . room service breakfast excellent morning check - out . constant heaviness cigarette smoke / smell room meeting room really affect everywhere go Vegas like living ashtray not fault HardRock . would stay HardRock get strip away hustle big casino . dealer upbeat friendly . nothing beat play blackjack great music play ... discern detail gambling hr . 
 Apr 27 2006 	 terrible Front Desk : Nobu great 	 Hard Rock hotel great collection rock memorabilia great atmosphere casino . Nobu restaurant wonderful sushi pretty pricey . serve staff Nobu 's great . however , registration front office staff incredibly rude ! ask rating say open & quot ; 11 year , 3 month 5 day need rating . & quot ; ask brochure show room brusque helpful . hotel staff seem unhappy perhaps labor problem . room ok worth relatively high price casino strip . end back venetian great time usual . Bottom line : problem rude hotel staff much well value Las Vegas environment casino worth second look . 
 Apr 16 2006 	 never 	 stay April 13 - 15 , arrive 13th room HOT water ASK another room first tell we wait Plumber arrive 45 minute . mention view a / c unit . finally get room switch go get new room key . we get new room glass drink although NONSMOKING floor stunk smoke tell front desk basically do not care . 230 a.m 9th floor alarm go one would tell we . floor look dirty room well . we expect package ask tell arrive one ever contact we . the upside place bell desk concierge . TOP NOTCH SERVICE ! guys EXCELLENT ! also offer free limited shuttle strip do not read fine print little bitty 2 x2 card give , would never even know . eat Mr. Luckys inside order American Breakfast ask crisy bacon , pretty good . dont order steak egg still be not sure even steak look like trapper keeper . 
 Apr 3 2006 	 Awesome Customer Service 	 purpose stay Hard Rock son friend attend concert Joint ( hotel 's concert hall ) . convenient room facility , parent could close kid could come straight room safely . the impressive part stay great customer service receive staff ... registration clerk , maid & amp ; housekeeping service , restaurant ( Mr. Lucky 's ) , hotel gift shop clerk bell & amp ; transportation service ... cordial , helpful , professional polite ... matter obvious & quot ; high - end & quot ; client ... treat we level service . appreciate that . the kid think decor awesome , comprehensive rock memorabilia ... Rock museum .. fun look display past present rock n roll memorabilia . room clean , bed excellent ... kid love big screen tv , bathroom quite large clean . view french door wonderful . enjoy peaceful sleep ... noise , anticipate review ... hotel wonderful shuttle service , every hour hour two destination end strip ... need car rental . kid enjoy rock concert stay & quot ; cool & quot ; place ... , mom enjoy well ! 
 Apr 2 2006 	 Hard Rock ` ` Rocks '' ! ! ! 	 love hard rock , stay 6 time , without kids 9 & amp ; 14 yrs . go back April 23 , 2006 . love room nice one occasion crappy room check carpet wet , imediately move another room . pool awesome , beach shack food pretty good , order fruit salad one day fruit rotten , entire bill clear new food bring . waitress friendly accomodating , clean . love & quot ; Joint & quot ; see alot different concert last Motley crue . first Bonnie Raitt Indigo Gilrs , great . can not wait go back securty room excellent one get one sneak . rock spa comparable reg sp price service . lot see many celebretie frequently around . Rod Stewart , nicki sixx , vince nell , Jackson Brown , lisa presley .. sum 41 . can not wait go back . 
 Mar 24 2006 	 even decide get marry Vegas ! 	 hi , would not hesitate recommend hotel - 's cool Vegas definitely good place celeb spot ! meet Matt Sorum girlfriend ace stay hotel - really friendly stop chat . drummer Green Day ( sorry , forgot name ! ) stumble one great hotel restaurant drape two blonde girl .. Motley crue playing week ( great gig way ) Vince Neil entourage wander past sit bar ! kind place recognise familiar face everywhere ! hotel sooooo cool , hotels strip not patch - 's definitely one would stay Vegas . worry tne strip , hotel offer free shuttle , actually walk strip day take 20mins - October warm , nmot sure would good idea hotter temperature .. ? ! concert venue - Joint - one good ever - atmosphere fanstastic , great view big , get see stadium band close : ) stay near back ( bar ! ) still great view band . UK gig tend get crowd everyone get jostle around - case Joint enjoy gig even . people seenme cool sort thing hang round group enjoy beer atmosphere . we take walk pool fantastic , thing would criticise unless size 8 , 6 ft perfect looking model , may feel slightly self concious ! enjoy margaritas poolside bar underneath waterfall instead ! staff seem friendly - even security staff far cool good ! thing would say corridor decor could probably bit re - furb , that s small minus ! great hotel , fab city ! enjoy ! : ) 
 Mar 20 2006 	 Coolest hotel ever ! ! ! 	 stay hard rock October . definitely great place .... much expext party spot . check - in painless ... although require 200 dollar deposit credit card clue . room .... standard room ... absolutely world huge plasma tv 24 hour live concert channel cd player interesting merchandise mini fridge ! ! couple spot carpet bathroom floor .. honestly ... party , care minor detail . book Expedia ... obviously give mountain view ... still get pretty cool view think . see strip club right across street . pool sweet .... great place drink , party , hang , play blackjack ... whatever wan na . night , whole place turn big party scene ... 's people hang center bar , play roulette .... awesome . not make body English , ' ve hear great thing ... true hard get show big group guy , that s true good club vegas .... quite frankly glad way . I ' ve read review service good staff snobby although not know people go ... not see . think everyone way nice friendly pretty lay back . definitely stay next time go Vegas ... even go to think twice . 
 Mar 20 2006 	 Hotel management ? get ball ... 	 Hard Rock Hotel use sanctuary strip . light breezy room , hipper lay back clientele break stuffiness afford mature Strip casino . however , give way absolute anarchy part guest seem indifference behalf hotel management . ' ve stay least half dozen time past 8 year see slow decline decor ( time major update guy ) manner hotel operate . first , yes , & quot ; party & quot ; hotel draw much young crowd average get security hotel room floor guy . 's reason , unacceptable , people host loud party room spill hallway 4 . also , ask non - smoking room pillow clearly come smoking room . also zero maid service ( leave room 9 am , come back 2 pm leave 4 pm ultimately return past midnight ) two night stay . love casualness hotel experience permanently turn stay future . 
 Mar 11 2006 	 pretty good experience HRH 	 get hotel courtesy shuttle around 1 afternoon . take bit check not credit card reserve room put $ 100 deposit . cash , credit card . finally get check make call parent . room wonderful , clean . loved plasma tv . bathroom nothing special . view pool strip . cool night outside light change wave . door open little bit , get cold breezy ( plus could smell yummy food first floor . ) friend sister get slot card coupon free shot glass $ 15 purchase , say clerk HARD ROCK store give shot glass without make buy anything . , go store get cranky get snotty say buy something . try explain friend sister not buy anything , insist buy something . refuse , walk . cocktail waitress always ask want something drink playing slot . eat dinner Mr Lucky 's 24/7 . good . 
 Mar 9 2006 	 Decent Hotel 	 stay Thanksgiving Weekend - hotel fine . main problem window keep open - really windy . room clean comforter look worn . think perfect hotel young crowd . 
 Mar 3 2006 	 way overrate 	 Hard Rock use nice spot . strip , still great place go weekend . use hostess make sure never problem world . last trip nightmare . call hostess find leave Hotel early week . give another hostess assure would problem . book room compe one night time . explain thing get expensive . ( compe every trip entire stay due play casino . ) upon arrival say reservation Pool View room change mountain view due excess demand . ( another slap face . ) top need wait hour still clean room . ( 6:00pm . ) call hostess complain never go tback . check say compe one night already play rate night . since back Las Vegas three time . heacy hitter , compe room , meal , service venetian mandalay level play . Hard Rock get pretty full . use great place people go . snobby 20 year old 's dream hotel . stay Palms . 
 Feb 27 2006 	 another experience good 	 ok let start true people work Hard Rock - act snoobby like not want work . nobody say good luck cashier . waitstaff Mr. Lucky 's tall rude man . food always great Lucky 's Pink taco great . dirty martini SIMON yummy pricey well . sushi NOBU fabulous think somewhat reasonably price . upgrade luxury suite arrive room . go take shower , box soap comes open wet use bar soap maid leave . feel disgusting . call front desk report probelm offer move . refuse anything we far credit food stay . think Hard Rock Hotel issue clearly need address Maid staff whoever manage housekeeping department fire . stay year November sometimes December pretty good rate Sundays . wil return hope get people nice personality . example young dark haired girl work Cuba Libra morning sunday kind , helpful friendly . rest staff could take lesson . 
 Feb 17 2006 	 Good Experience ! ! 	 party hotel ! soon walk , sense atmosphere .. snotty place really feel comfortable hotel ! definitely young crowd , be 30 something might like place much ; also do not really like party atmosphere , well will not like either ! .. pink taco real good mr luckys well ! also great time body English ! even get free drink ticket one promoter club even get escort front door club one bouncer ! ! definitely go back ! everyone nice helpful ; check quick .. room nice clean modern ! love plasma ! cd player room ! ! 
 Feb 15 2006 	 Hate Hardrock 	 Hardrock horrible . husband go vegas wedding thought would fun stay Hardrock . room O.K . stain bed , blind would open . hall loud night , since obvibously party hotel . they charge credit card $ 800.00 check absolutely spotless room damage . take we two month dispute get portion money back . make sure stay $ $ hardrock tell anything wrong room pay . 
