Great 	 take girlfriend Chicago surprise anniversary present weekend Thanksgiving . unfamiliar Chicago , know want stay near museum Millenium Park . value travel website , find rate Hotel Blake less half advertised rate sell . review say 3 - 4 star , really not sure expect . when show , pleasantly surprised . 's good neighborhood , minute walk Michigan avenue . check late , desk staff courteous helpful , though unpack carry bag . Valet - parking available hotel , half price parking available literally street hotel . make room 9th floor , amazed room . large room , magnificent bed , good decoration , huge bathroom . train traffic noise 9th story , get excellent sleep comfortable mattress . free wifi , excellent soap , shampoo , body wash , etc ... even sew kit . room definitely deserve four star , minor quibble little mold shower stall otherwise impeccable bathroom . never really try tv , room clock connect ipod , think neat . the free breakfast great unexpected , recommend get early ran donut danish well post closing time . service uniformly cordial helpful , recommend good restaurant nearby attraction . ( awesome , get early ) . picture Chicago post Hotel Blake website representative actual view hotel , google map let know expect vicinity . overall , heartily recommend Hotel Blake probably stay get rate . 
 Jul 22 2007 	 wonderful experience 	 check Hotel Blake afternoon far thrilled experience . absolutely wonderful . king room large three huge window allow lot light float room . bathroom expansive granite countertop double sink . room chic crown molding , high ceiling , cool decor . business center available 24/7 clean , expansive fitness center . hotel situate near everything . ' m happy choose Hotel Blake . 
 Jul 22 2007 	 Great Loop hotel around corner Blue Red line 	 great boutique hotel Chicago theater district . stay week July 2007 . be six block west South Michigan Avenue perpendicular Art Institute Millenium Park . Blue Line O'Hare dump LaSalle Street station , block Blake . Red Line , run State parallel Michigan Avenue take Cubs Sox game , block away Harrison Street station . also catch bus museum anywhere else along State Street . hotel old building recently renovate . standard room ( double queen ) regular size nicely appoint . stay InterContinental Chicago , room similiar feel . air heat good . bathroom sizeable , new , clean , well finish . safe room , fridge . hotel small fitness center big window overlook street . hotel pool . free USA Todays available front desk . housekeeping service consistently good . front desk staff friendly , efficient , knowledgeable local restaurant get around CTA train bus . get hotel somewhere around $ 140 hotels.com , rack rate high . be great value money . visit Chicago fun year , always stay North Michigan , rate easily run $ 250- $ 300 . opt Loop time try something different , see could get price , close Museum Complex six - year - old daughter . 's great hotel be Chicago business financial district courthouse , convention Loop , family outing concentrate South Michigan Avenue attraction museum . will also get completely different feel city stay Loop . intend spend time North Michigan , might still worth hotel saving , will endure bit schlep CTA , foot , cab . nit : 1 ) notice 's lot street noise Loop North Michigan ( siren , trade vehicle loading unloading ) ; 2 ) hotel free in - room internet , need use business center , one pc , usually busy morning ; 3 ) restaurant offering noticeably few loop area compare North Michigan . hotel good restaurant call Custom House , noteworthy nearby restaurant Orange Edwardo 's pizzeria . compare North Michigan , ample nearby opportunity grab quick , cheap breakfast , lunch dinner place like Panera 's bread , Potbelly 's , Subway , Starbucks , Dunkin donut , etc . put together quick picnic baguette Panera 's cold cut , etc . White Hen grocery 's block hotel . White Hen also sell beer wine . 
 Jul 11 2007 	 Chic slightly disappointing 	 recently stay Hotel Blake conference downtown Chicago . hotel 's location great ... everything accessible . rate quite high , typical hotel period -- several conference time . hotel chic , albeit quite dark overall . lobby terribly comfortable inviting . major disappointment lack high speed internet access room -- repair entire week , find unacceptable . one computer one ethernet cable business center , always wait use either connection . plus side , use printer business center free guest . also , completely unable get Verizon wireless service 6th floor room ... go sidewalk make call . the mattress comfortable , linen quality would expect level hotel . bathroom , however , exquisite -- large , two sink set large marble vanity , wonderful , elegant shower ( tub , 's something be look ) . complementary toiletry also quite nice -- lotion , shampoo , conditioner , body wash , large bar soap , Bed Bath Beyond . view room ( , gather ) horrible -- wear stone side neighboring building . hotel shorter surround building , flank side , diminish view . finally , hallway echo horribly door seem slam constantly , cause wake several night around 2 3 . be look chic hotel image , go Hotel Blake , not expect terribly comfortable , except be take shower ! 
 Jul 2 2007 	 Nice Boutique Hotel 	 book Thurs . Sat . stay Hotel Blake get good rate $ 149 / night website . enjoy stay . hotel busy street , convenient walk distance Grant Park , Michigan Ave . , etc . décor trendy boutique , room spacious . king room , fold - out sofa bed . pro con : con : 5th floor , hear lot traffic noise S. Dearborn St. every night . ' suggest request high floor . our main door ( room 506 ) ' close way , pull shut coming & amp ; go . there ' many towel king room , however housekeeper readily supply us towel . the toilet flush extremely loud & amp ; foreceful . we could not adjust room temperature adequately , either warm cold . a light bulb miss lamp . pro : great location South Loop , walkable Grant Park , Millenium Park , Library , Art Institute Chicago , etc . very nice décor lobby room , cool music pipe elevator . Front desk personnel friendly & amp ; helpful , especially Jesse doorman . the fitness room spacious , equipment up - to - date . there free internet access lobby . our bathroom long counter 2 sink , large rainfall showerhead . we ' eat in - house restaurant Custom House , order room service ( rather pricey ) Edwardo ' across street reasonably - price & amp ; good , Potbelly Sandwich shop next door , well Starbucks corner . all good hotel . stay next month . 
 Jun 27 2007 	 good location art institute symphony 	 stay Blake two night . Magnificent Mile area well location shopping restaurant , Chicago symphony , location great us - ten minute walk . definitely try restaurant & quot ; Orange & quot ; breakfast , around corner Blake . huge selection breakfast fresh juice fun , casual atmosphere . thing not like magazine room . cover stripper magazine go nightlife . guess aim clientele family . 
 Jun 25 2007 	 Nice Stay Blake 	 attend business trip Chicago boss make hotel arrangement Hotel Blake . read reviews Tripadvisor ( good bad ) really expectation . pleasantly surprised ! GASP ! low : prior arrival call Hotel Blake get reccomendation car service pick airport . alison front desk professional effecient . take care arrangement . arrive Hotel Blake , doorman . not bother , relaying may care thing . front desk staff friendly check quickly . king room , # 902 , lovely . bed comfortable . love rainhead shower . though , step away show head could get little chilly . bathroom need fan help steam everywhere . tv phone bathroom state room description . big deal either . encounter one problem safe lock close arrive , call front desk say would need fix . tell Maintenace way . procede finish pack still maintenance . meet client bar downstair could long wait call front desk , tell cancel request right will call morning . put & quot ; Disturb & quot ; sign head Custom House ( Custom House moment ) . return room , hour later find safe open . maintenance still come room enter & quot ; Disturb & quot ; sign door . please . call front desk , rapidly take complaint apologize . receive call Manager apologize mix . understand folk problem Housekeeping . know go , read review , call make sure room clean first thing morning . first morning forgot take advice ! LOL leave room around 9 am return around 4 pm find still clean . argh ! housekeeping knock door moment later clean room . next morning call request Housekeeping come early , problem solve . the hotel sell never lack elevator . front desk always , helpful friendly . doorman sporaticly . Custom House nice . enjoy cocktail two night . apetizer first . great dining option within walk distance hotel . Orange breakfast , Hackney 's lunch dinner . will see folk walk dog restaurant patio dog friendly . I would stay Hotel Blake . , learn review proactive , ie : call leave housekeeping come asap . would give Hotel Blake 3.5 star . 
 Jun 25 2007 	 not scare negative review . 	 look little weekend getaway boy stumble Hotel Blake . read bad review little hesitant , , since stay one night , figure worth try . ' m glad booked room - hotel modern fantastic . room huge tall ceiling , bathroom large ( tub , huge walk - in shower ) , bed incredibly comfortable , beautiful view 5th floor room . park street overnight free ( charge 9pm Saturday free day Sunday ) MUCH nicer pay $ 40 hotel parking . ( day , plenty parking ramp lot around , , avoid pay full - price parking . ) see web site ( [ -- ] ) , nicely situate sort activity event . good , fantastic independent bookstore end street . ( great we nerdy type . ) not absolutely pristine detail , close enough , ' m pretty picky . ( e.g. , toilet handle break , get engineer room fix dinner . ) , think hotel lovely . would definitely stay . 
 Jun 15 2007 	 Blech Hotel - luxury ? think 	 Stayed Blake hotel three day month . stay many time Chicago , want try different hotel ( usually stay Sofitel W ) . Chicago pretty book week review Blake reassuring wereally look forward trip . well , much truth advertising . begin ? service can not fault not . website talks choice daily newspaper . choice USA Today ( refer - McNews ) . good partt , see paper outside door , go downstairs tell would pick front desk . request deliver dead - eyed receptionist shrug walk away . next day , zombie relieve dead - eyed guard tell could get newspaper want one . one starbuck across street arm . request one next day . never receive one unsurprisingly . three request room clean meet kurt & quot ; well next shift soon - 's convention town & quot ; . every time room & quot ; serviced & quot ; course something miss - coffee towel , etc . alert rather annoyed front desk manager room service tray hallway 8 hour finally remove . 2 hour later . the room book . book expect one suite list website . suite tell check . rate exorbitant size room receive . response get one patent shrug . ask speak manager . shrugged say not sure would get . & quot ; drop & quot ; .The good part stay doorman seem genuinely embarrassed lack service . doorman . look like be cut back service teice arrive night one find lobby . doorman , desk service . one point sit see long would take someone show . half hour novelty wear . anyone 's market white vase , stop Blake 10 be take . anyone market good service good value , steer clear two star rip - off . 
 Jun 8 2007 	 Hotel Blake -- Great Hotel Great Neighborhood 	 not let early review say area dicey sway . middle downtown Chicago , big city . be use city , everywhere seem dicey stay couple hour . I live area year list hot new neighborhood Chicago . 's far residential loop , will see people baby carriage dog Saturday , not something will see north . be beat path bit , big plus not fight crowd 800 people walk door . 's quick walk distance Grant Park ( nice hotel will find anwhere near Grant Park , would argue ) hotel excellent boutique hotel . boutique hotel though , not expect type stay would get holiday inn & quot ; corporate hotel & quot ; . 's modern , mean open shower ( yes part true ) , rain head shower head . know use , will appreciate luxury . 're & quot ; splasher & quot ; definately get water room , may . muffin pastry , would definately recommend Orange breakfast around corner . plus three four lovely brunch place within walk distance . Chicago walk city , keep mind stay , be good bet probably walk everywhere . I would highly recommend Blake . 
 May 23 2007 	 great time @ 413 	 travel Chicago really scare read web page bad time have . I say really nice experience recommend everyone go Chicago stay , ' say metro station two block also bus stop really close . my room 413 exceptional room , sleep like baby ! ! ! clean OK.My complain food menu morning breakfast add tv channel . I pic room , e - mail doubt @ hara_45040 @ yahoo.com . nice place stay ! ! ! 
 May 19 2007 	 Big Disappointment 	 money spend , greatly disappointed . king size bed really two single bed . shower design enclosure , thereby get floor wet easily . floor marble without mat , thus make wet bathroom floor dangerous . bad part , separate heat a / c control . like old cheap appartment , management decide put heat a / c . chiilly night instead front bed , tv set side room . room dimensions odd . mention disappointment , ammenitie resemble nice 3 star hotel . staff friendly location ideal . money expect luxury hotel . 
 May 2 2007 	 Bye Bye Tub ! 	 first enter room Blake , locate conveniently near 2 El stop , pleasantly surprised see lovely , large room marble BR . oops , get ready long , leisurely hot tub bath , notice tub missing ! ! call desk ask get room tub say -- tub hotel , except first floor . one choice room -- dumpster first floor . 4:30am morning close encounter smash , bang , clanging , even Saturday . pay full room price , ask possible get complimentary continental breakfast . , response , not . $ 16 , battle room service give coffee OJ continental . & quot ; choice one & quot ; . pastry delicious , though . also , must say housekeeping superb , kind accomodating . front desk staff need work smile . 
 Apr 30 2007 	 nice terrible high - speed internet connection . 	 stay Hotel Blake two night visit Chicago last month . overall , place nice . room large large bathroom . ample space sit relax , bed king - size bed wonderful . however , one main reason booking & quot ; complimentary high speed internet & quot ; necessary boyfriend travel editor work home . internet connection slow disconnect every couple second , make impossible get work do . call assistance say would problem remidie within hour , never happen . also , park hotel $ 39 per day . public parking structure right street ( easy walk ) offer overnight parking half price . 
 Apr 18 2007 	 don´t call anyone Blake 	 go bad situation fast stay Hotel DRake April 5th . make overseas call endure 4 minute , long . charge 35 dollar first dial , conclude one answer phone , 63 dollar second one . sign show hotel bad telephone rate America ( doubt , check bellsouth.com ) charge , checkout , ask front desk lady make sure apartment , two call list . rude we nothing charge we . tell write note manager , answer explanation ever come . disapointe treat like & quot ; oh , don´t know thing expensive America & quot ; . fact know thing FAIR America , live Detroit quite . also know Saint Paul , MN , two day , pay 16 dollar 13 minute call make hotel room well . call cost we almost much stay , never happen . oh , talk hotel : image internet may look well really . plus : breakfast expensive - aware ! Milena e Joao Pitella JuniorStayed Hotel Drake - Chicago ( IL ) April 5th April 6th long come back ! 
 Apr 12 2007 	 Hotel Blake 	 Overpriced , surround area bit dicey , find out . I suggest find something cheap , cleaner safe look couple block north . also , air filter room filthy not serve coffee muffin ( miss ) .only highlight Custom House restaurant , would never stay hotel ever . 
 Mar 29 2007 	 Excellent hotel location - recommend 	 Hi , stay hotel March 9th till 17th . get reception , lady see go stay 8 night say : & quot ; going stay long we , therefore give one nice room & quot ; . indeed true . room big , clean well know optional , like iPOD station wireless include . the staff friendly helpfull , ask information grill & amp ; bar walking distance recommend good one call & quot ; Blackies & quot ; , 5 min . walk . one day , want print something , ask receptionist possibility toldus could use & quot ; business center & quot ; lobby , pc printer , could print whatever need free ! location good , Blue Red Lines 3 min . walk . may sound enthusiastic guy , visit hundred hotel life , include 5 star , none offer service kindness Blake hotel . Hotel Blake rule ! enjoy stay . 
 Mar 12 2007 	 Pleasant Surprise ! 	 nice surprise . book hotel [ -- -- ] bit apprehension give review get good price decide chance . ' m glad . hotel conveniently locate : 2 blk Blue Line , 2 block Red Line , 2 block elevate loop train . easy get O'Hare , never take cab anywhere want go . be locate across Public Library ( gargoyle roof library make easy re - orient get subway ) near Publisher row section Downtown failry quiet area . lot restaurant club area easily head part loop find want . the room large compare Chicago hotel , nicely decorate WONDERFULLY comfortable bed ! marble bathroom large large step shower great water pressure , hot water , & quot ; rain shower & quot ; shower head , not miss tub . free wireless internet plus . one thing keep hotel perfect housekeeping room late afternoon . room immaculate bathroom upon arrival throughout stay . eat Custom House ( restaurant on - site ) see lot local come go dinner time , take endorsement . pizza restaurant across street good , also stumble upon Plymouth Restaurant 2 blook away . 's casual , much look great price , large varied menu , good food open breakfast dinner . steak dinner fresh steam veggie , bake potato greek salad $ 15 ! stay W , Chicago Hitlon , Swissotel , Hotel Allegro top list . front desk staff professional , problem elebator , room 4th floor quiet customary morning traffic noise would expect hear downtown hotel city size . Hotel Blake move top list . 
 Mar 6 2007 	 Disappointment 	 first room : large well appoint , dresser tiny closet . suppose put clothe ? ? stay night , huge issue . room , however , & quot ; odd & quot ; smell , miss sprinkler head , pillow tear open , two curtain fall , two lamp break , toilet splash bowl flushed hardware tv armoire bent . clearly look though serious party take place room housekeeping well put back together . feel like Motel 6 , & quot ; luxury boutique & quot ; hotel . we ask item fix , front desk staff insist take well room , . second room gorgeous . large , clean , sexy , still dresser , make . iPod dock nice perk , small sofa snuggle great shower . the second night stay abruptly wake 5:30am blaring music room next door well loud raucous guest two adjacent room hallway . immediately call front desk assure we would address . 20 minute later noise finally stop , 5 minute . take another 20 minute quiet return . we check morning relay concern front desk staff . emphatically deny looking & quot ; party hotel & quot ; , ' m convinced . first room clearly trash party , follow night party happen hallway . assure General Manager would touch discuss matter we . still wait call ... pity . place potential . 
 Mar 5 2007 	 Nightmare Hotel 	 direction hotel wrong . arrive hotel look nice . 5th floor . hallway stunk like mildew . get room look nice first . hole wall , fill matress cover , ( double comforter / blanket , ) body fluid stain . express badly need clean , obviously , not clean often . seriously dissappointe part two morning row able shower . first morning , birthday , front desk inform we experience boiler issue . tell we would wait least 2 hour hot water . make good circumstance go Sears tower unbathe . hot water work afternoon . next morning hot water . time , tell wait half hour water heat . , still hot water . get tired waiting leave home shower . expect morning shower appoligie front desk , go Hotel Blake . , choose somewhere else ! ! never recieve compensation hassel , even phone call promise & quot ; boss & quot ; handle complaint . convieniently , & quot ; boss & quot ; not work weekend , weekend complaint deal Monday . as restaurant , spend $ 40.00 two cheese omelet , two cup coffee , two order whole wheat toast . fancy , good . reccommende breakfast . 
 Mar 1 2007 	 Mixed Bag -- Good Value 	 stay Hotel Blake business five co - worker . pay $ 119 per night , price ' good value . room mixed bag . room fine : clean nicely decorate . other complain room small room hot ( HVAC work ) . closet tiny , dresser room . bug , , , fine ( stay two night ) . bathroom clean modern . shower big plus , especially downtown hotel : huge sunflower showerhead plenty hot water water pressure . human element hotel another mixed bag . one party ask front desk clerk could get change $ 20 , tell simply , " no . " morning , ask couple cab , front desk staff look we like ask spaceship . offer call hail one we . idea help inform we would tough find cab morning ( 7:00am ) . take we 30 second flag first one street . experience fine . if look clean , no - frill hotel get rate around $ 119 , happy . 
 Feb 13 2007 	 Loved Blake amenity location 	 get killer deal February promotion $ 129 / night . little concerned previous review noise , appear correct stay relaxing . the room spacious , king size bed extremely comfortable , ipod docking nice bonus , walk - in - shower even Grohe Rainshower head home ! Custom House restaurant attach hotel little pricey highly recommend it . great location excellent value . 
 Dec 16 2006 	 whow ! ! great place $ 100 	 say whow ! ! $ 100 get great room 11th floor . spacious room , great location - 10 minute walk fountain / millinium park , 10 minute walk Chicago theatre . able find car parking block $ 20 one . train station 5 minute away . bed bed sheet absolutely awesome comfort feel . bathroom spacious double sink relax shower . iPOD docking station great touch , tv high quality , internet connection available utilize . room spacious definelty feel 4/5 starish . could hear noise neighbour , although know little loud run lobby hallway . love quietness light sleeper . wife LOVED stay definetly stay ! drawback slow elevator curtain could little dark sun shine would creep morning still great place stay ! ! 
 Dec 12 2006 	 Blake awesome hotel $ 	 girlfriend book hotel over - weekend stay visit friend Chicago . read review Hotel Blake , know expect .. however , hotel excellence service product ! check delightful allow we checkin 4 hour advance ( 11 am ) . hotel lobby clean trendy- conceirge service , bellman front desk crew helpful . room spacious every amendity include iPod radio full size european shower . room extremely clean comfortable- comforter pillow make king size bed real treat . we never visit restaurant , however , bar nice retreat- nice people . ann bartendar informative . thank Ann ! pizza parlor accross street awesome- try visit least once . Dislikes property few- one , be good location want shop near Michigan Ave shop ... however , be block away & quot ; Red LIne & quot ; subway system- get anywhere . cab however , never problem catch busy Dearborn Street outside hotel . another dislike , Non Smoking floor , however , nieghboor must known- smell smoke first night night long . overall rate hotel price range good value . suggest immediately get know Subway system Chicago stay keep cab eat away wallet . 
 Nov 25 2006 	 nice hotel ! 	 stay Hotel Blake Thanksgiving . get excellent rate Expedia ( inexpensive downtown Chicago , ' m sure holiday something ) . bed comfy , comforter pillow . room spacious bathroom huge . two sink husband compete sink time shower huge one large showerhead simulate rainfall . finish room nice ... definately make feel stay something unique opposed chain hotel . couple parking garage close want avoid ridiculous charge valet parking neat , little breakfast place right around corner ( called & quot ; Orange & quot ; ) . nitpick windows want close completely bit extra city noise could do without . , short , would definately stay . 
 Nov 25 2006 	 Blake ok 	 husband return stay Hotel Blake last weekend ( 11/17 - 11/20 ) . select Blake base picture review , also price trip incredible- $ 565 2 include rd trip air Phila . well Blake bit remote part town , lot immediate area . however , theater district block away Sears tower , millenium park . restuarant bit -- least good one : ) anyway , staff Blake friendly accomodating , traditonal concierge service . one offer book anything we , politely hand we map direct we go book thing . lobby georgeous ! ! room bit small , nicely decorate . however , bathroom look like motel . paint ceiling peel big chip hang . room need bit attention detail . small stain carpet , tv channel guide completely wrong , channel . sure hubby could switch different room , tired night arrive busy care . not think would stay Blake , unless get another incredible deal ... maybe ! 
 Nov 20 2006 	 Blake Perfect Exploring Chicago 	 wife go big city like Chicago one thing : walk many interesting eating , drink , shopping , entertainment destination possible . therefore , hotel location absolutely critical interest spend much money room feel need hang instead enjoy city offer ! say , Hotel Blake PERFECT choice we . find Expedia deal $ 139 could not happy hotel . lobby restaurant elegant hip ( although not eat ) . room clean modern , king bed incredibly comfy , huge shower head delightful . oh , staff friendly professional . all , ideal location explore Chicago foot subway . truly could not ask anything . even pay regular price $ 159 , still would great deal compare boutique hotel area close $ 300 night . definitely stay Blake highly recommend other . 
 Nov 8 2006 	 Besy USA hotel yet 	 get great deal Expedia particularly travel alone - usually expensive hotel . easy find ( subway O'Hare ) great get around city - Red Blue Line Subway station nearby walk problem place want see . hotel staff helpful , room keep spotless tidy , quiet location lot hot water available . internet availability useful . would return anytime . 
 Nov 6 2006 	 Great Stay 	 great location price ( $ 149 per night expedia.com ) . 3 block Red Line CTA stop two block Blue Line stop . room modern design size nice . check late problem . bathroom CLEAN outside noise would disturb stay . the housekeeping staff great job . would definately recommend location get similar price . 
 Nov 1 2006 	 Great Chicago Marathon Location 	 stay Hotel Blake three night . location perfect . hotel five minute walk Grant Park ( marathon start ) . room clean , quiet , cool view Sears Tower Stock Exchange . front desk / lobby service average . clean staff friendly . free internet access helpful . check in / check problem . 
 Oct 27 2006 	 mostly positive 	 wife Chicago run marathon October 22nd . initially book Blake back January trepidation hotel undergo renovation review good . however get good rate stay glad . renovation complete generally quite pleasing . much & quot ; boutique hotel & quot ; style , not style , look elsewhere . suspect degree satisfaction one depend room . initially give room 7th floor face street . good , except narrow room chest drawer kind . also , small closet . maybe issue travel alone , stay one night not mind leave clothe suitcase . ask move tell several different room configuration floor . however , front desk staff happy accomade need move big room , back side building . note odd number room back side look brick wall narrow street ( like laneway ) away , maybe 25 foot . issue we , since not stay city hotel view . however big issue garbage bin hotel business laneway , garbage truck come every night 4 . ridiculous ! awaken sound truck compact garbage middle night . perhaps would noticable high floor ; 2nd . ask move next day tell possible hotel sell . Hmmmm . positive note , room clean well appoint , bed fantastically comfortable , maid service great . however , room bathtub , would nice soak run marathon . shower really big , marble tile . note early review , traffic noice could issue . Congress Parkway , north end hotel , busy 8 lane street . ideally one would want big room upper floor , south end building . friend room , would give Blake 5 star review . do not use fitness centre go restaurant , look nice restaurant busy , good sign . other positive friendly helpful staff location , 3 block Michigan Avenue Grant Park . also nearest CTA subway station ( LaSalle ) 3 minute walk . blue line , train go O'Hare Airport . Plymouth Restaurant , 5 minute walk , serve & quot ; casual American & quot ; , include breakfast sport bar downstairs , well rooftop bar ( open late October ) .Overall , would consider stay Blake , give rate increase ( depend stay ) , value money quotient go . 
 Oct 26 2006 	 Hotel Blake : ` ` must stay '' 	 stay HOTEL BLAKE ! ! husband second trip Chicago . first visit , stayed & quot ; renowned & quot ; ( say ? ) Whitehall Hotel … which totally suck ! ! ! experience Whitehall bad terrified hotel receive few four star unbearable . however , stay Hotel Blake prove star - system wrong . honest , little apprehensive stay blake read poor review . plus , low price name ( perhaps knock - off & quot ; Drake Hotel & quot ; ? ) make we wonder kind bad imposter Hotel Blake might . worry nothing though -- everything perfect ! starter , could not ask well location . blake block Theater District , short walk Chicago Institute Arts , $ 4 cab ride train station within walk distance ton shopping , restaurant , etc . hotel immaculate ( trust I … I ' m extremely picky ) . modern , stylish décor , outstanding staff service , everything Blake top - notch . oh … and shower fit queen ( king ) … and big enough fit ! however , review mention , Blake flat panel tv . get idea , clue … but go Chicago watch tv anyway ? not disappointed . without doubt , will stay Blake highly recommend same . PS : make reservation hotels.com another travel website , sure call hotel confirm reservation , bed - size , etc . ( tip : phone , ask big / nice room . ) not ( like one guest encounter checking ) , 's chance Blake able accommodate initial reservation , since reservation make online ' always reflect hotel availability . hotel 's fault . 
 Oct 23 2006 	 bad ' ve stay well ...... 	 read review Hotel Blake , little hesitant book . town business need area . hotel obviously old play either way people . not mind age , make kind chic really . room 7th floor not bad . spot wall paper peel wall near floor , hey , 's cosmetic . room clean . complaint . marble floor bathroom little dangerous wet careful . room quite large high ceiling street face wall window . 's up down . draft glass quite chilly . know nature big old building lot glass ..... drafty . big complaint noise street . directly Dearborn Congress quite busy hour . ' m certain would suffer location city , stay downtown location Chicago right Michigan experience street noise experience Hotel Blake . next little issue valet parking . realize not lot option park downtown can not complain $ 36 / day valet parking charge . would complain , however , fact first night arrive never park car , leave curb night front hotel try charge we $ 36 anyway ........ minor complaint would funky smell hallway . room not smell , hallway musty almost leak & quot ; propane & quot ; sort smell . staff friendly accomodate .... issue . summary , stay financial district , could stay without suffer badly , would not first choice . would probably stay pinch , really choice . one thing say , stay , sure eat Edwardo 's across street . excellent pizza great service . really nice little place ..... 
 Oct 4 2006 	 good boutique luxury hotel city ! 	 good boutique luxury hotel city ! clean room , friendly service upgrade amenity . IPOD dock station nice touch ! ! work facility good city Peninsula . it be design hardwood floor consist high - end Life Fitness equipent , free weight , machine . overlooks downtown area . great view ! book Blake . 
 Sep 28 2006 	 beware : False advertising 	 boyfriend return weekend stay Chicago Hotel Blake . originally go stay W City Center due last minute deal Expedia , positive thing read Hotel Blake , decide stay new boutique hotel . hear kinks initally work . unfortunately , true disappointed lack customer service attention detail boutique hotel , especially Preferred Boutique group , usually . first , might read & quot ; luxury boutique hotel & quot ; Expedia 's web site false advertising . hotel look nice outside locate great area , none luxury promote ( i.e. , plama screen tv , tv bathroom , robe , Molton Brown product , morning paper etc . ) . , customer service awful - make we feel like constantly put time ask something . when arrive , room warm air conditioning not work window open . staff offer provide we another room situation . fan anything - basically tell we tough . also , try talk manager several time stay never duty . could go ... , look luxury boutique hotel get away spend little extra stay James W Lakeshore Hotel Blake still need LOT work customer service training . 
 Sep 11 2006 	 great way Celebrate Anniversary 	 husband celebrate anniversary city location great ! close michigan ave shopping . room spotless amenity fabulous . also one comfortable bed ever sleep ! ! A+ stay . 
 Sep 5 2006 	 amazing convenient Board Trade 	 stay Hotel Blake two separate business trip Chicago . visit make even well friendly staff always greet name go beyond anticipate need there . as business woman work Board Trade find location Hotel Blake incredibly convenient well . I look forward return Hotel Blake soon . ' m fortunate travel agent find gem hotel accommodation . 
 Sep 5 2006 	 great stay Blake 	 stay Blake great ! wife & amp ; stay recommendation friend . romantic evening two we not even leave hotel . hotel staff courteous & amp ; helpful . concierge even get favorite italian Ice Tom & amp ; Wendee 's . 
 Aug 17 2006 	 Great Stay 	 Hola , return wonderful 4nite stay & quot ; Hotel Blake & quot ; , could ask anything consider price pay . staff friendly helpful especially Patrick . cater need , great smile . boutique hotel get expensive time go . feel fortunate stay lovely place . would go back heartbeat . also love help , thank take time give feedback . trip Chi Town super ! ! ! ! ! 
 Aug 17 2006 	 Great Location nothing spectacular 	 husband stay hotel recent trip Chicago Lollapalooza . hotel block walk Grant park numberous & quot ; L & quot ; station perfect location . room nice , newly renovate , room view white brick wall . biggie , not Chicago spend much time stare hotel room window anyway . bed comfortable renovate bathroom rain - style shower head great . overall nice hotel , rave complaint . definitely work package deal save money rate , location great . 
 Aug 16 2006 	 Beautiful Building Great Hotel 	 Hotel Blake beautiful hotel excellent location ! build historic fabulous , room comfortable , roomy , quiet . would absolutely recommend stay . 
 Aug 4 2006 	 not stay 	 stay start pleasantly enough , 6:30am Saturday morning awake loud construction abate . staff hotel unapologetic refuse anything alleviate situation -- include move another room , offer discount rate , etc . proceed run - around management dampen stay . excited fact hotel new small boutique establishment rather chain , quickly realize lack competence integrity . plenty well place stay Chicago assure management safeguard need good night 's sleep . 
 Jul 24 2006 	 beautiful room great stay 	 stay Blake July 15 - 19 little wary due review website . negative review base fact hotel undergo renovation past year . well , renovation complete lobby floor , hotel beautiful ! room ( 616 -- standard king ) spacious ( 400 s.f . ) great view Chicago public library . note : highly recommend get even - numbered room , since odd - number room face rather unattractive white wall . bed large comfortable , flat - screen tv great , spacious bathroom finish stylish marble large vanity two sink -- perfect partner . favorite part room new carpet -- great style great texture ( usually not notice carpet , wonderful ) ! lobby rather small unremarkable , attractive . agree other post Orange restaurant around corner -- great breakfast ! young Patrick doorman helpful . location one block south loop within easy walk distance ( 5 - 10 minute ) anything downtown area . would stay ! ( move Hotel Burnham -- # 1 Chicago accord Tripadvisor -- middle week due Priceline reservation , think room Blake much nicer ) . would definitely stay ! 
 Jul 12 2006 	 highly recommend Blake 	 wonderful stay Blake . hotel staff . front desk housekeeping staff , go beyond meet every need . accomodation beautiful , bed one comfortable ever sleep . special recognition go Patrick , direct we good nightlife available Chicago . definately stay . 
 Jun 27 2006 	 Hotel Blake 	 recently spend 3 night Hotel Blake please stay . room average clean lovely bath king size bed . location could not well . choice walk many area take subway ( block half away ) bus ( across street ) . recommend buy CTA visitor card many day plan stay . not eat hotel breakfast Orange Juice Co. around corner excellent . meal large ( share breakfast ) . tourist visit Saturdays try free & quot ; EL & quot ; tour leave Visitor 's Center Cultural Center . Chicago Trolley / Double Decker tour excellent well river / lake boat tour ( use Wendella near Wrigley Bldg . ) . hotel area make enjoyable long weekend ! 
